could 	 get great deal Priceline two day advance annual black Friday boondoggle . location beat . one half block Union Square . lobby busy arrive people come go - they several doorman valet duty . even though arrive busy time two hour ahead schedule check immediately greet give room . front desk , gracious accomodate fact accidently show credit card wallet ! ! wait elevator , notice lady really struggle get elevator really big rolling suitcase . employee jump nowhere help ask other need help . nice - I love see people make extra effort come service . lobby nothing exciting . 's long narrow , front desk right enter elevator leave . behind elevator small seating area decorate holiday . room 21st floor . look Westin St. Francis ( daughter fascinated outside elevator ) , Sir Francis Drake Hotel Starlight Room tiny peek Union Square . book room bidding site . . expect get one & quot ; less room & quot ; , be fair enough . room seem sub - par anyway . spacious clean like location high floor . right next housekeeping closet expect noise morning , happen . either quiet 's little used closet . bed super comfortable nice linen . extend stay , plenty room put thing . spacious closet , two dresser . tv amoire Mini bar / fridge - sensor kind can not use fridge stuff . 's desk chair small sit area arm chair table window . Liked iPod docking port . thing room not perfect , other mention , furniture little bang up . the storage bathroom countertop . nice , Portico brand white ginger soap shampoo little tube toothpaste ! not eat Grandview 36th floor go look BEAUTIFUL spectacular view ! ! would drink bar full . would recommend hotel service , cleanliness , spacious room awesome location . especially get $ 66 price tag ! ! fun ! 
 Jan 3 2008 	 Loved Grand Hyatt 345 Stockton St . 	 stay Grand Hyatt Dec. 30 one night wonderful time ! hotel conveniently locate near Union Square Chinatown . get room overlook Macy 's Union Square . room spacious bathroom large well . bed comfortable room quiet . hotel valet staff friendly work hard make stay pleasant . bonus , thoroughly enjoy snow village display three side hotel lobby . highly recommend Grand Hyatt .... can not think anything negative stay . 
 Jan 2 2008 	 Triple Check Bill ! 	 stay hotel first year wedding anniversary . WAY PRICED ! ! thing push fact overcharge stay , ... twice ! ! ! unacceptable ask . upon check - out receive bill charge we extra night stay , approach front desk take charge , without apology . , 3 week later stay hotel , new charge appear credit card additional $ 1200 ! ! ! make charge 3 week checkout $ 1200 ? extremeley upset every time call tell & quot ; accounting staff & quot ; town holiday . wish could take back time never stay ! 
 Dec 31 2007 	 Underwhelmed . stay away 	 book stay Christmas week . although desk clerk recommend particular floor two room , view , view promise . later learn training . second room ready 7 pm . helpful four weary traveller awake since 3 day . hotel manager duty offer comp we one night , , sense displeasure , offer comp we two night room - acceptable ; not come promise . bill checkout compe one room one night . later , telephone tag , compe room one night , deny offer comp we two . food average . waitstaff restaurant ( breakfast ) terrific . room also average . tv work fuzzy picture channel . bed comfortable . the slide glass door one room open arrive required housekeeping close , break . we never stay . avoid hotel . 
 Dec 31 2007 	 mixed experience ( Diamond member ) 	 Grand Hyatt . little disappointed . positive : - location terrific- view excellent- size manageable- gym solid- employee professionalnegative : - Regency Club lounge tiny ( stand ! ) . food / Beverage choice standard . - public area dark old - fashion 
 Dec 28 2007 	 extremely busy ! 	 prepare wait line elevator least 5 minute , crowd people rush . take stair 18th floor one point , wait elevator 10 minute . Grand Hyatt , need major renovation . also , wall paper thin , hear neighbor talk normal voice times night . book priceline , would not put 50 night , worth . 
 Dec 27 2007 	 lovely Stay Grand Hyatt 	 decide stay Christmas Eve Christmas relax mini getaway apartment south bay . book hyatt website AAA discout include full breakfast two Grandviews restaurant / bar . Grandviews aptly name , locate 36th floor hotel , amazing beautiful view bay city . Grandviews worth visit even not stay hotel . our room 17th floor decent view bay tall building . bed comfortable , comforter plenty pillow . toiletry adequate , nothing special shower either bit hot bit cold , temperature control difficut tweak . however , hot water never run , plus . this hotel satisfy short stay provide quite excellent value SF . plan stay . 
 Dec 26 2007 	 rate terrible terrible service 	 thougt could go wrong Grand Hyatt . boy wrong . give room whose wall thin could hear every piece conversation come next room . ask front desk room move guest service agent tell we nothing available check back next day . make attempt assist we . next day , attempt room move guest service agent reluctant assist we . room move we threaten check . 's mildew bathroom room , crack caulk light not work . last night , try retrieve package Front desk . guest service agent tell not know becuase part job wait bellman assist . would rather wait 10 min sip starbuck coffee talk fellow colleague rather make effort look package . 
 Dec 19 2007 	 right place theatre shopping 	 stay Grand Hyatt Christmas shopping show Curran Theatre . lot great shopping around nearby Union Square short walk theatre . China town Ferry Building also nearby . unlike other , find concierge pleasant helpful . able book last minute dinner re great little bistro two block away . pack 20 minute arrive . staff pleasent , available helpful . the room quite pleasant , though extraordinary . bathroom small clean . bed , however , 10 ... comfortable . view ? pay bay view ... worth , like view . view top floor Grandviews resturante lounge magnificant . food ... well , go drink . second stay pleased visit . 
 Dec 14 2007 	 Grand Views ! 	 third stay hotel , first shortly open . wonderful view 26th floor , many gorgeous building City . bed comfortable , room clean , although paint peel ceiling bathroom . my problem noise could hear sound like vibration ceiling near door . want call front desk , time happen ( late night ) , really not want maintenance person room . fault report it . the location hotel great want near Union Square great shopping ! 
 Nov 20 2007 	 average hotel customer service 	 Imagine distaste arrive hotel East Coast shortly midnight local time find hotel give away room . never mind room guarantee credit card , card already charge entire stay . room could stay - roll - away bed . much deliberation unaccommodate front desk person , double room finally find put we evening . a king room suppose find we luggage automatically move next day . return hotel around 1:00 p.m. , yet happen . another less pleasant exchange front desk yield another double room ! finally able locate available king room return original room retrieve bag relocate king room . overall , hotel average . nothing stand hotel make recommendable . room clean ( minus coffee pot still half pot coffee arrive . ) location great access China Town , Ferry Building excellent restaurant . night - cap Grand View bar 36th floor enjoyable . bell - staff available upon arrival assist bag , door direct we check . ( hopefully due arrival time still surprise . ) Linens glass - ware room keep bare minimum – surprise room set accommodate two people . travel lot realistic hotel expectation . comfortable Wingate Inn well 5 - star hotel . ' look service ( friendly otherwise ) , avoid property . ' say find Sheraton Marriott brand nearby . ' look clean hotel ' leave alone , place . base stay return hotel consider Hyatt top choice brand city choose hotel future . 
 Nov 8 2007 	 staff really make Grand Hyatt Grand 	 stay lot place San Francisco , finally find keeper . staff upon check - in great - use kiosk , guy front desk say & quot ; let check give good room & quot ; . room quiet , okay size SF . gym smallish well - equip , fee ( unlike Westin St. Francis ) . concierge helpful , recs similar Chowhound ( not send place pay well ) . location perfect go work , would wonderful tourist well ( close Union Square amazing restaurant ) . time wait share - ride van , thedoorman immediately get limo airport price cab ride . ( $ 45 flat ) Mark Hopkins nice bathroom , noisy & amp ; pricy , St. Francis nickel & amp ; dime plus check - in line appalling . next trip sf : Grand Hyatt 
 Oct 26 2007 	 Good - stay away 	 ' ve stay three time last month . two three time upon check - in informed & quot ; overbooke & quot ; ask whether want double bed room , room pull - out bed , smoke king room . double bed room work desk , past time stick smoke king room . be right , people still smoke . could tell . horrible experience . oh , way , furnishing date . look nice 1990 , ' m sure . today flat screen commonplace compete hotel . 
 Oct 20 2007 	 excellent experience 	 complete 10 night stay Grand Hyatt room 2508 excellent . somewhat apprehensive reading mixed review site , apprehension completely unfounded . third stay SF ; previouslystaye nearby Sir Francis Drake also Hotel Boheme . TheGrand Hyatt stand head shoulder either two . let respond issue previously raise , particular order.1 . room size . room anything go , room quite simply palatial . anyone consider room small never stay hotel New York indeed call & quot ; boutique & quot ; hotel around SF . 2 . & quot ; Tired & quot ; decor . perhaps fair criticism , everything relative so - call & quot ; tiredness & quot ; would issue baseline 6 star asian opulence . perhaps & quot ; date & quot ; would well word , none shabbiness word ' tired ' implie . , really want see tired date , go anywhere market boutique.3 . lobby . yes , shamble - layout dictate central core elevator . really , cares.4 . staff - without exception extremely polite , efficient , helpful . special mention must go concierge use shamelessly least daily basis - nothing difficult goldmine local knowledge . hotel concierge simply hand pamphlet . can not praise highly enough . and must also say location excellent , bed one comfortable experienced hotel good fitness centre . term value money - never score rock - bottom rate like offer priceline ; instead pay $ 239 night . consider rate still good value money , give location hotel , time year quality service provide . I would hesitation stay . 
 Oct 10 2007 	 satisfied priceline price 	 let start say think hotel SanFran overprice . manage get tell great rate - 148 / night 3 night . amount , I m use stay nice hotel room . would say room average . get non smoking king size bed 15th floor , view back tiffany building . other talk pay much much . real complaint - check process smooth room clean daily . do not see many bum outside , see intimidate aggressive . location perfect we , 2 block chinatown , locate directly middle upper end retail outlet . girlfriend visit shop nearby .. car rental location 5 block away , problem find . trolley block away , 30 bus take chinatown fisherman wharf - quite convenient . check simple , simply dial number leave . extra charge put bill . 
 Oct 3 2007 	 Great Location 	 stay 2 day . location great , union square . book priceline , expect much . however , check - in person quick , efficient smiling , give we high floor view union square . room fine without & quot ; grand & quot ; . another occasion , reception also able change canadian dollar US dollar quickly , although warn rate high . problem want change . armed review hotel , make right decision car stay . need . take BART train airport hotel . MUNI Pass great way see city . leave , walk car rental nearby drive away next destination ( San Jose ) . prepare pay everything . internet access $ 10 . charge want print something . do not touch minibar . however , automate machine print airline boarding pass ( Free ) . Checkout do machine well . in summary , Grand Hyatt good hotel great location . 
 Sep 17 2007 	 great locatoin noisy need work 	 stay Hyatt get wrong foot check - in tell we could put roll away bed room even though part reservation . excuse national web site know room SF Hyatt small space roll away bed . pretty lame organization sophisticate Hyatt , really amount bait switch . offer we second room discount original reservation plus surcharge roll away . nickel dim continue . parking $ 55 plus tax tip . internet connection $ 9.95 per computer . wife travel laptop . although decide share one connection , mean one us file environment answer email . also surcharge exercise room . our room 32nd floor overlook Union Square . night stay , construction crew instal awning exhibit , hear beam clank truck backup warning night . hotel also need renovation . bathroom & quot ; featured & quot ; 5 & quot ; CRT television instal must height tech , look like museum piece . on positive side , location great 32nd floor Regency Club offer good continental breakfast staff cheerful helpful . 
 Sep 13 2007 	 ideal location 	 first time visitor perfect location , walk distance many attraction close public transport link , include cable car not mind long queue . hotel good outstanding . get high floor unobstructed view make big difference . excellent concierge service direct we good restaurant , one duty manager reception clearly think deal customer beneath dignity . the in - house restaurant adjoining bar wonderful view , restaurant small everyone want breakfast , evening quality expectation price charge . ok arrival day not want go , much well within comfortable walk distance . if fly SF not bother car . other mention cost parking , simply not need car . rent one day leave Santa Barbara , several rental agency street five minute walk hotel . 
 Sep 8 2007 	 Nice hotel nice location 	 Grand Hyatt think big chain hotel big city ; fill business tourist folk alike . surprise either , hotel 's location downtown , close financial hub suit , fanny pack crowd , block away great shopping Market odd smell Chinatown . majority personal travel , wife secure great rate use Priceline . got to love William Shatner ! ! room large expect major downtown hotel clean . bed not & quot ; heavenly & quot ; cloud - like , sleep well be really need . one mildly disturbing room feature paper thin wall . be light sleeper , bring ear plug remedy situation . we not car , can not tell parking . avoid rent car ( i.e . be stay city ) , . parking SF Olympic sport ; EXPENSIVE olympic sport perform highly train craft . besides , SF great city explore foot Muni bus system BART ( use SFO city ) one good public transportation system country ( relax , NYC still good ) . oh yeah , California cable car line three block hotel . take within block two Ferry building 's restaurant gourmet shop . I would stay hotel without question . 
 Sep 5 2007 	 great Stay ... 	 great stay recently Grand Hyatt San Fran . room clean spacious view fantastic . bed comfortable wall little thin - sleep well night stay . highly recommend traveler SF area . 
 Sep 1 2007 	 convenient place stay 	 room nice - though small . bed comfortable . general view city room , spectacular , look wall , either . AAA package include breakfast . breakfast good dining area 36th floor wonderful view . Regency Club level access lounge . nice - , great view . also nice able go get bottled water ( charge ) day evening . it & quot ; amazing & quot ; hotel experience , nice work fine vacation . definitely negative hotel experience . want stay good hotel downtown area & quot ; reasonable & quot ; price think . would stay . 
 Aug 31 2007 	 expect SF Hyatt 	 recover know valet parking cost we $ 50 day ( need valet want car back cruise around town , $ 30 across street in / out privelege ) , welcome friendly staff help friendly bell boy room . room 2 bed , tight ! view overlook Union Square spectacular . hate admit , room hour , start notice thing would expect price pay . AC function properly . chair upholstery poor bathroom tile grungy ( minor maintenance need probably affordable Hyatt ) , closet door pretty banged , microwave , refrigerator bad , could not get sleep night due construction ( jackhammering ) 11 night . want check follow day , find charge we day $ 50 penalty charge check early . 's Grand Hyatt ! ' ve stay cheap place well quality room . staff excellent though , second get there . room average . not staff , would give Grand Hyatt low rating . 
 Aug 29 2007 	 Great Location Staff 	 come SF celebrate friend 's 4oth birthday wonderful experience Grand Hyatt . room lovely bed fantastic ! room include two breakfast per day hotel 's restaurant staff great . one server offer give we & quot ; go & quot ; cup coffee hear we talk go coffee shop way Napa . view room restaurant bar amazing . would stay Hyatt ! 
 Aug 27 2007 	 Reservations merely ` ` preference '' 	 wife one night reservation break leg Hawaii Alaska flight . make reservation month advance . upon arrival 8:30 p.m. , tell hotel King Bed ( reserve ) , reservation merely & quot ; preference & quot ; hotel could decline accommodate , could give wife double bed . would reduce rate ( pay $ 250 ) anything make problem . usually , hotel can not give room reserve , make attempt make , Hyatt . the room fairly roomy San Francisco , service restaurant staff bell attendant good . Union Square location also convenient . however , obviously well choice near Union Square . 
 Aug 26 2007 	 Great centrally locate hotel . 	 husband colleage head San Fran business trip , decide tag along . book priceline get rate $ 120 night four night . arrive super late Tuesday night / Wed morning upon come Oakland airport , go wrong Hyatt . two San Fran , close . turn stay Grand Hyatt , Stockton Street , half block away Union Square . check - in easy , room 5th floor . room nice , ihome alarm clock dock ipod . dissappointe first morning see although coffee maker bathroom , coffee make mini - bar cost $ 4 ! go mezzanine first morning get small coffee bottle water cost $ 5.50 . fine business traveler expense , recommend go startbuck across street , get bottle water Walgreens street ( ) .otherwise , eat hotel , go drink Friday night Grandviews Lounge 36th floor , great view . also use fitness center , well - equip . check crowded , use automatic check - out machine take advantage use computer lobby print boarding pass . service hotel also good beat location . 
 Aug 25 2007 	 great time Grand Hyatt 	 stay Hyatt Union Square girlfriend birthday party great time . hotel staff helpful friendly . one reason select hotel 's location .... close everything . Powell Street cable car take Fisherman 's Wharf block away . chinatown block away right middle great Union Square shopping . stay Christmas time shopping enjoy experience also . I able book room get breakfast include , sure check see still run special . breakfast top floor fantastic view city . serve egg , potato , bacon , fresh fruit , pastry etc . good way start day . end day drink top floor bar enjoy also . the room fine . comfortable bed , desk big window give wonderful view San Francisco skyline . thing not like parking fee ..... $ 45 night park car ! hear public lot near charge $ 30 might want check . concierge helpful assist plan birthday party . suggest restaurant activity make event extra special . thank Grand Hyatt wonderful time ! 
 Aug 24 2007 	 good Beds Great view 	 stay two night ; one use Gold Passport point AAA rate ( $ 159 / night , think , include breakfast ) . nice hotel excellent location , though typical San Francisco boutique hotel experience ( i.e. , teddy bear , chintz , free wine , woodburne fireplace ) .Pros : -- really nice room giant window actually open little , good bed cute little ipod dock / radio ( make sure dim bed could wake middle night , bathe harsh ghastly light try figure turn without wake spouse . answer , cover one 8 10 pillow Hyatt strew bed fix morning ) . -- awesome concierge crew -- help everything , right boxing tape many wine purchase return flight . -- great breakfast restaurant 360 degree view fantastic wait staff . con : -- much lobby , like lobby . -- bell staff little clueless . -- really expensive parking , 2 three place cost half much right around block . -- room little corner near elevator shaft ( room 1424 ? ) . bathroom could hear loud scary noise , like phanom train , rush every minute . probably change room , wa not loud bedroom sleep soundly comfy bed . 
 Aug 23 2007 	 Great Hotel ! 	 Fed Govt . traveler rate website $ 140 night 8/19 - 24 king smoking room floor 3 - 17 ( request upper floor smoking room view bay ) call airport ask option get hotel , take BART airport $ 5.30 Powell St. station walk 4 block . try express checkin could not . line fast turn 19th floor overlook union square . hotel rectangular three four room per floor overlook square bay please 1917 handicapped room . slightly large room due huge bathroom . reason could not get express check - in want make sure get tax exempt form room tax , provide ( not realize exist ) . read review elevator ( 6 ) good fast 1 - 2 minute . frequently early back noon period want room clean , always call housekeeping leave tell room immediately clean . great location ( ton top notch store ) , Great View , staff friendly helpful . go business center pm check - in flight tomorrow print boarding pass , informed terminal printer lobby could free . nice touch ! also get great professional massage , haircut , etc . next door St. Moritz Salon . wonderful stay . 
 Aug 23 2007 	 Weekend San Francisco US - Grand Hyatt San Francisco 	 come San Fran two work week Silicon Valley . choose Grand Hyatt mainly right middle city , Union Square . the hotel tall lobby look quite nice . dark marble , give look luxury class . valet parking work excellent right outside hotel check fast smooth . room ok , big , neither small . view amazing floor ceiling window , face business district S.F .. huge bed huge desk area , lounge chair , turn face window sat drink look wonderful view 25th floor . the bathroom nice rest room . look bit old fashioned compare rest room . big old detail old appliance use , like hair dryer . the sky restaurant bar good . view make poor service bar , restaurant much well breakfast bufé excellent , especially view Golden Gate Alcatraz . overall , good hotel room . nothing spectacular luxury , well average . 
 Aug 12 2007 	 ok Hotel ; High Price 	 Hyatt 's parking situation attrocious . drive around twice try find way self - park . dice . pay $ 45 per night park car . cost small fortune park car city , not like force use valet . room ok size clean . every morning ride elevator feel like local . stop every floor . become joke amongst we one morning . elevator full -- room single new person -- stop every floor 30 , . 
 Aug 11 2007 	 Typical HUGE Hotel -- good service charm 	 first , room ready arrive 4:30pm . tell would ready soon , go kid ' room wait hour . come back -- still ready . tell , , would ready soon , go dinner , come back -- still ready ! turn previous guest check yet ! well , finally kick person , finally get room . give we half - price room 3 day , thing get shaky start . this big hotel , lot people work , stay . not like -- impersonal -- , guess well . concierge helpful , basically try good job . another day stay room clean -- -- get back dinner ! good location SF sightseeing , plenty dinner place nearby . 
 Aug 8 2007 	 Great Hotel - Great Location 	 wife spend four night hotel start West Coast tour . disappointed . reserve Regency Room . locate 31st 36th floor permit access Regency Club lounge . great complimentary breakfast available every morning soft drink throughout day . view spectacular . our room comfortable , everything clean well stocked . hotel location thing really please wife . day sightseeing ( credit card ) within walk distance Saks , Niemen Marcus Macy ' . evening , variety bar restaurant close . big mistake – know well – bring car . nothing 4 day except rack parking bill hotel . include tax , parking charge $ 50 per day . warn ! 
 Jul 29 2007 	 great hotel ! 	 get excellent price normally otherwise expensive hotel . nice room good service . Union Square overall nice area , would say Hyatt Fisherman 's wharf might well term location . union square primarily shop name brand store . Powell street close though get cable car ride easily hotel several bus line close well not rent car . hotel parking expensive though , almost $ 50 overnight overall location lack place eat . great hotel , great locatio ! 
 Jul 24 2007 	 nice hotel drive ! 	 get great deal Priceline can not really complain . hotel nice clean , employee great , location decent San Francisco want able walk usual tourist site . one problem be drive . trap force pay ridiculous price parking . Valet July 2007 , price $ 49 night add fee bring total park car -per night- around $ 56 – price state sign " hotel guest . " get great deal Priceline something still want drive , suggest find public garage least pay half . 
 Jul 20 2007 	 Great City Centre Hotel 	 enjoy 2 night stay hyatt 3 & amp ; 4 july 07 thoroughly recommend . receive warm welcome arrival hotel personal service continue throughout stay unexpected give size hotel . book reasonable AAA discount rate 2 queen size bed room 2 adult / 2 kid . room overlook city 20th floor - great view still city view . bed extremely comfortable lovely crisp cotton sheet bedwear . room could big standard size actually ample we . bathroom well equip good shower albeit tile little beige worn look washbasin unit marble . weird feature coffee maker bathroom . could hve fit writing desk . however , small screen tv bathroom great hit kid . lounge bar 36th floor wonderful view Coit tower bay . bar snack menu - burger , pizza etc . burger excellent terribly expensive give location $ 16 . drink bar likewise pricey $ 5 - $ 6 draft beer $ 8 - $ 9 glass wine . bottle probably well value give tremendous view San Fran u get really small price pay privilege . great fortune watch 4th firework lounge never forget experience . lounge staff great . not try restaurant regret breakfast include rate , however , complimentary starbuck coffee available morning lounge complimentary San Fran Times deliver room . fitness room look like would serviceable do not visit spa . hotel v centrally locate centre shopping district 2 minute walk Chinatown . stroll Chinatown take 10 minute hotel Little Italy never short restaurant choice within easy walk distance hotel . cable car terminus 5 min walk away . take rail link airport get Powell think 3 - 5 minute walk hotel . Taxis Fishermans Wharf $ 7 really centrally locate spot . love would definitely return . 
 Jul 14 2007 	 High Quality Central Location 	 Grand Hyatt exceed expectation ! check early busy summer week without wait line . staff courteous attentive . place clean well maintain . Maid service little quircky . view range nice outstanding . 's perfect central location allow we stop break unload purchase busy day . teenager love place . surcharge final bill ! 
 Jul 10 2007 	 worst well either . 	 stay Grand Hyatt San Francisco two night weekend . hotel well . be get many piece could great property , be still miss couple vital one . the check - in process brusque efficient . offer upgrade additional charge , decline , go 12th floor room . room nicely appoint well - light desk good work area . room decent view San Francisco , noise factor . bed comfortable plenty pillow . furnishing room appear relatively new , though hole one sheet bed . upon take shower next morning also find hair previous occupant ( ) room . one hair bathtub , along hair stick back door . unnerve lapse cleanliness poor service go along . first call involved front desk clerk rush get line rather solve problem . transfer housekeeping , promptly hang ask extra attention pay room next clean . call front desk back ask speak manager tell not one duty clerk sure would . eventually housekeeping take care problem receive call member housekeeping management apologize problem ( offer room change - decline ) . multiple call part resolve issue deal one call . ' ve stay 4 - star property area offer much well consistency cleanliness service . future would probably choose one first option . know service cleanliness Hyatt rise level property , however , have willing give another shot . 
 Jul 9 2007 	 Pleasant Stay S.F . 	 Perfect location northeastern side Union Square , safe , convenient everything , near good shop close Chinatown Gate . everyone work pleasant , friendly , helpful . room nice . fitness center one good ' ve ever see hotel . complaint breakfast room much small , result wait time hour table . really throw plan every morning . need serve breakfast much large room . breakfast buffet excellent , staff kind friendly . elevator also require quite wait sometimes , large hotel 5 6 elevator . overall , really enjoyed stay , not pay extra breakfast- will waste lot time morning waiting table ; eat coffee shop diner surround hotel . 
 Jul 7 2007 	 Disappointed 	 return 10 hotel vacation Hyatt feature poor term quality cheap . room ok wardrobe door loose faulty . hair sink bath put . good measure ( lack ) customer service filthy window report immediately check - hand mark write internal window . tell someone would clean , would clean next day - needless say remain uncleaned check two day later . location good point . 
 Jul 6 2007 	 Nice Hotel Great Location 	 stay Grand Hyatt , San Francisco business meeting visit friend family . great location Union Square , extremely easy access Downtown Chinatown area . spend well part time meeting wander around shop . I go graduate school San Francisco remember hotel chain become Grand Hyatt . nice hotel . staff attentive , room ok . arrive late misfortune get room fifth floor -- noisy street noise kind claustrophobic , would definitely suggest upper level room , high get . request change make get room 12 floor , much quieter seem big . food okay , eat 4 meal hotel -- nothing outstanding , could well consider San Francisco ! another tip stay -- self parking , valet $ 43/ nite . save $ 20 / nite parking across street Stockton / Sutter Public Parking garage , self parking . Parking San Francisco nightmare . 
 Jul 2 2007 	 Clean 	 Loved location , walk everywhere . dbl bed room comfortable enough accommodate 2 couple . nice staff , clean room ! easy check check ! great ! 
 Jun 27 2007 	 Excellent value view location 	 back two night stay Grand Hyatt San Francisco , June 23rd & amp ; 24th , 2007 . really complaint hotel . Valet parking entrance always convenient . able call room car door 10 - 15 minute . pricey parking $ 43.00 per night , plus tax , much garage around hotel . like walk door climb right car time need . Front Desk staff courteous efficient . room 26th floor face west beautiful view . room clean , nicely sized King bed , large desk , two comfortable chair , adjustable end table . furniture bit date worn , nothing would complain . bathroom roomy clean , albeit bit date decent . marble counter bath . excellent shower head great pressure . love Portico bath product ! small , funky look tv enjoy watch news use bathroom . Hallways keep clean . generally quiet . issue noise . elevator not unreasonably long wait , usually two minute . property generally well keep feel upscale . top notch luxury , nice . eat breakfast morning Grandview restaurant 36th floor . incredible view city . suggest go look . food pricey usually case hotel restaurant , want convenience able grab quick bite busy schedule . wait staff good friendly . food tasty , complaint . pay $ 159.00 room book directly Hyatt website , use Senior Citizen rate . believe AAA rate . money excellent value . recommend hotel likely consider hotel first option future trip San Francisco . good point , location , location , location , get high floor , view . 
 Jun 23 2007 	 Great Hotel ... Extras ? ? 	 stay Hyatt 1 night tour California . the hotel high standard would expect , moment arrive feel like money fall hand various & quot ; add ons & quot ; .The valet parking $ 40 night . in room bottle water side note say $ 5 each . I go use internet lobby tell & quot ; $ 5.95 15 minute & quot ; .I go across road Holiday inn ... free ! go night wait 15 minute car valet busy bring eveybodys car , would rather park car , lot easy know US seem big valet thing . we could not fault location , bed awesome , do not think would stay add ons put . 
 Jun 20 2007 	 good location 	 Hotels part large chain tend impersonal & amp ; homogenous , sense Grand Hyatt exception . however , aside be hard criticise . the room spacious , bed huge & amp ; comfortable ( stretch right still can not touch edge ! ) everything room & amp ; bathroom work . low floor , view noise street . great view Restaurant & amp ; bar , quite expensive . position good - central San Fran close Cable car stop ( not wait terminus , jump stop block 2 along - wait ) .concierge service helpful . would stay , mainly position . 
 Jun 20 2007 	 Excellent location 	 hotel great location , easy walk union square shopping , Chinatown . comfortable bed , fairly quiet room , 7th floor , still hear loud street noises room ventilation mask fairly well . staff friendly , lounge 36th floor excellent view city , get room $ 80 priceline , would stay . 
 Jun 18 2007 	 perfectly convenient 	 book hotel directly website reserve executive room business floor . impressed deal able get look forward stay end relax holiday . firstly , location fantastic . hotel conveniently locate close tram bar . rage shopaholic , place provide easy access shopping direction walk hotel . location also allow fantastic view city , bay view one side Union Square . room spacious , comfortable clean . wardrobe also sufficient enough room shopping . bathroom also equally roomy , great amenity . room fabulous view overlook Union Square also provide great view sunrise morning . since book executive room , access business lounge breakfast early evening hor d'oeuvre . lounge great view bay , get early enough grab seat . issue lounge big enough number people access . fortunate get seat whenever need , people make stand around wait seat . hor d'oeuvres evening also great . would also find substantial meal supply well , pasta . would end late dinner . service lounge friendly courteous . well appreciate . overall , hotel class act . great view , great room wonderful staff . 
 Jun 16 2007 	 amazing view 	 read review stay expect bad ...... fantastic ! ! ! ! ! upgrade use club facility 32 floor prove really good short stroll room casual hearty breakfast buffet amazing view city Bay . also good tasty nibble early evening ahead big night out . I definately stay . 
 Jun 13 2007 	 good location 	 stay hotel June 7 - 10 conference . location great , block Union Square , approx . 7 block Metreon Moscone convention center . conference facility fine . starbuck across street , drug store block away , two private garage within 2 block hotel . hotel parking available $ 50 / night . room nice expect . good part quiet bed comfortable . bad part check ( exhaust want hot shower ) discover hair tub . also mildew soap holder . one phone call correct problem promptly . second phone call operator bring housekeeper room within 10 minute repeat clean bathtub . towel provide nothing special . bathroom clearly need renovation water pressure decent . another good thing hotel exercise room - top line equipment , good quantity complimentary access . another poor point hotel slow elevator . not know elevator work , hotel full capacity , old slow elevator - every time wait usual elevator arrive . not eat hotel restaurant can not comment . overall decent stay great location . lookout dirty tub ! 
 Jun 7 2007 	 great experience 	 stay long weekend pleasantly surprised . room clean bed comfortable ever sleep . good part hotel concierge service . give perfect direction every tourist attraction professional . Loved recommend charter shuttle back airport discount rate . perfect location - close every mode transportation , coffe shop , quaint bar block away , awesome shop around . tip : Buy 3 day muni pass good muni bus , train trolley . save ton money . not waste time cab . we accidentally charge mini bar - someone move something - point mistake quick remove bill . beautiful hotel deserve four star rating . definitely recommend family friend . 
 May 29 2007 	 can not happy .. LOVED ! 	 bf return memorial weekend get - away SF : ) happy service receive Grand Hyatt : staff- front desk 's quick friendly ; ask room change due view happily assist us- housekeeping 's courtesy check clock out- Grandviews Restaurant 's incredibly warm friendly , almost feel like home ! first room- 24th floor face Financial District- nice king bed clean- can not really say much since ask another room well viewsecond room- 25th floor full view Coit Tower , TransAm Building , Bay , Angel Island , etc . ( see pic ) - two full bed 4 pillow .. comfy .. love ! - bit dirty past guest leave bit garbage one drawer jean back closet ( okay .. ) - love scent soap ( citrusy ! ) use AAA card able get free upgrade upgrade front desk ( $ 20 ) .. be worth ! RESTAURANTAgain , AAA card , receive free breakfast Grandview Restaurant - choose either buffet one entree menu . opt buffet coffee / juice / smoothie serve we automatically . buffet consist egg , sausage , bacon , french toast , oatmeal , fruit , cereal . hit spot late night toursiy activity City ! reiterate service fantastic ( esp Danny Wendy ) ! hotel not much frill ( compare W ) 's much warm homey .. location unbeatable ! definitely recommend hotel stay SF be no - fuss efficient kinda person ! 
 Apr 16 2007 	 great view ... be lucky enough get one 	 recently stay Grand Hyatt conference enough luck get room 16th floor face water . could not see bay , great view Coit Tower Transamerica Pyramid . gorgeous day night . love slide glass door , could take picture window get fresh air room . also like nice big closet good - sized bathroom . Wished could brought bed 's pillow home I . the concierge helpful GrandViews bar top hotel spectacular . omg view .... sigh ... anyway , complaint room service . relatively fast , food not great . great place nearby , would take time walk elsewhere . nice hotel sure , glad work pick $ 275 night tab . 
