quiet 	 stay 2 bedroom unit clean comfortable . bed comfortable staff nice . fact nonsmoke property wasvery attractive we since 's hard escape smoker actual casino . the property close enough walk MGM although car , walk mostday strip . 
 excellent accomodation friendly service 	 convenient location , close major attraction , heart downtown . everything need comfortable stay . 
 Aug 25 2009 	 good Kept Secret Las Vegas 	 go Las Vegas last 16 year always stay hotel ( 7 11days ) . year hear Desert Rose Resort friend decide check review different source . we decide try boy hit jackpot . 1 bedroom condo staff could serve we enough , friendly always accomodate need . the room clean always extra towel room every day . good variety continental breakfast item , ( bread , fresh fruit , cereal , cheese , starbuck coffee available 24hrs , Monday Thursday Managers reception , beer , wine , juice , snack include . 7 minute walk MGM could get monorail go end strip , 10 minute main strip . certainly book next year Desert Rose Resort . good place family pool cost reasonable . 
 Aug 25 2009 	 price right ! ! ! 	 surprise happy choice . staff welcome , courteous helpful . nice continental breakfast service . room clean comfortable . nice kitchen appliance , dishware , etc . Bellagio ... pay price ! 
 Aug 23 2009 	 Pleasant Stay Hot Las Vegas 	 nice two bedroom apartment two bathroom kitchen . place spacious showing wear tear living room area . reasonably clean central air conditioning work well heat . complex part time share fill diverse group people . front desk pleasant breakfast adequate , pastry , fruit , cold cut , hard boil egg , toast , bagel , cereal , juice Starbuck 's coffee . complex locate next Hooter 's near MGM Grand , Tropicana Luxor . see two show , Ka MGM Grand Criss Angel -believe Luxor . Ka visually spectacular recommend . Criss Angel 's show weird magic , dance slight comedy . suppose Cirque Du Soleil like & quot ; & quot ; Ka . Believe disjoint disappointment . the Desert Rose convenient Strip parking adequate . also close airport not hear airport noise . like quiet overwhelmingly large busy . 
 Aug 23 2009 	 well relax two week road trip 	 spend 13 night road , Desert Rose good place stay . eat day day , great place spread cook something simple macaroni cheese break . not actually get much see Las Vegas site since relax . two teenager comfortable establish area first moment ... one one room , room . it also close enough walk strip without much trouble . 
 Aug 21 2009 	 enjoyable stay kid Las Vegas ! 	 choose Desert Rose base review Tripadvisor . great move ! travel two boy age 12 9 year . room great , comfortable bed , full kitchen breakfast include . get time breakfast get busy . 5 7 manager drink . beer , wine snack . really good value money . location another big plus . close strip strip . size resort good . walk big mega hotel ( long long line check ) glad Desert Rose . boy find way go swimming , would never case big hotel . the service quick , prompt friendly . concierge see , want something organise well . 
 Aug 21 2009 	 surpass expectation . 	 Returned Desert Rose third time year , time stay one bed condo . 2008 stay 2 bed condo 's . condo roomy well lay kitchen area . the wholr resort extremely clean maid service come every day clean replace towel . free breakfast need day , plenty variety , good coffee . pool fantastic never get busy , child 3 2 love . favorite place stay Vegas . price weekend go fantastic $ 46 / night . beat place price free breakfast fully equip kitchen force go spend $ $ $ eat . 
 Aug 21 2009 	 Awesome location ! ! ! 	 beautiful resort price world awesome location . stay week room plenty extra , decline daily maid service . little home away home ... buy grocery keep spend money fast food . nice kid able grab breakfast watch tv morning room relaxed couch drank coffee . location make easy take break strip stop back room snack little nap ... especially 1 yr old ... & quot ; FULLY EQUIPT & quot ; kitchen everything need , even clean supply ex . ( broom , iron , board , dish soap , dishwasher detergent , sponge , paper towel , etc ) even clothe basket use site laundry facility .... find yearly vacation spot ! ! ! ! ! 
 Aug 20 2009 	 enjoyable stay 	 family six stay hotel recently . book 2 - bedroom 1 - bedroom suite . two teenage daughter love second bedroom 2 - bedroom suite two twin bed share bed . bed comfy linen soft . never experience pool view suite constantly full ( even 7 morning ) . husband experience free breakfast early riser breakfast conclude 9 am week . however , say crowded hectic worth hassle . perhaps extend service hour one hour would help ease congestion . another complaint stationary writing pen room . day , leave tip housekeeping , would find scratch paper write indicate use money . husband also notice wait we lobby television magazine occupy time . would also recommend hotel increase number tv channel provide guest room . also mention two interior parking area close cause remain front lot fill quickly evening . occasion require park two building away unit go build maze get unit . notice hotel security officer constantly walk premise feel safe . overall , add negative positive , pleasant stay would definitely return Las Vegas . 
 Aug 20 2009 	 Hassel live '' 	 husband go Las Vegas celebrate birthday anniversary . also invite sister friend whose birthday be also 08/2009 along significant partner .... great time Las Vegas nice return hotel clean , cool , provide ammnetie offer & quot ; free continental breakfast & quot ; plus breakfast delivery Shell Vacation elite member .... guest love hotel , cleanliness , hotel staff especiall housekeeping staff . think anyone stay Desert Rose Resort treat great experience . 
 Aug 19 2009 	 sanity middle Sin City ! 	 love stay desert rise ! convenient strip allow also & quot ; escape & quot ; casino environment come home peace quiet . staff friendly , room wonderful . kitchen great help great leftover Vegas . love continental breakfast happy hour . definately stay come back Vegas ! 
 Aug 17 2009 	 always happy ! 	 family travel Las Vegas 3 4 time year . travel husband alone , always stay casino hotel , 4 child ( age 3 - 14 ) love Desert Rose . 4 kid need lot room privacy . nice 1 suite 2 room join double door . mom , love fact lock front door secure room , lock door shut door middle hope not lock can not get either door . Desert rise great location , right behind Hooter 's walk MGM , Mandalay Bay , Excalibur , Luxor , NYNY , Tropicana , Monte Carlo lot shop like & amp ; store . not want wait taxi walk Hooter 's less block away , always taxi 's wait customer . pool great , continental breakfast good save $ , actually ham serve along normal stuff find other . also meet greet thing evening , serve free beer , wine , soda & amp ; snack kid . service always great , people always friendy room always clean . good thing place casino , not busy activity people get around get room . place anyone , wether business vacation , alone family . highly recommend resort . back . the thing recommend hot month ask 2nd 3rd floor room . hot month criket desert cockroach push way room crack 1st floor . 's big issue cause home . hotel clean spray bug . come right get rid spray room non toxic odorless spray . love , sure ! ! ! look special link website , get 2 bedroom suite $ 99 night pay front . nywhere else would cost $ 150 breakfast offer . 
 Aug 16 2009 	 good stay long Time ! 	 Resort one Best stay many year . go back get use , sometimes need break away make change thing use . 's find resort 's AWESOME ! ! ! ! ! ! ! ! ! staff really enjoy show . they big part make decision go back . Great Resort back , guest . 
 Aug 14 2009 	 Excellent Place stay 	 return two - week stay Desert Rose Resort . no complaint . look great base casino minute strip would recommend place . read positive review disappoint . return near future . 
 Aug 14 2009 	 Comfortable Friendly Great price 	 comfortable apartment style hotel close strip . quiet , clean friendly . Breakfast offer every day provide enough food carry dinner . pool area large scramble every morning grab free lounger . room clean well maintain appliance new work properly . the complimentary manager 's reception week lovely perk . would stay next trip Las Vegas . 
 Aug 13 2009 	 great stay ! ! 	 stay desert rise august 3rd 6th , 2 bedroom suite , everything go well ! ! price good deal ! ! & amp ; wife & amp ; 3 daughter stay , consider ! everthing go well , good value $ $ great location ! ! meet expectation , bad ! ! probably stay ! ! ! 
 Aug 13 2009 	 Relaxing Fun 	 timeshare Las Vegas able reserve room foundout daughter grandaughter come visit . go line wantedsomethe close airport nice ammenitie , accustom to . Desert Rose place ! could walk strip catch monorail . roomwa comfortable everything need . pool ground cleanand staff friendly . would stay recommend friend family . 
 Aug 11 2009 	 nice surprise ! 	 room cute . also great suite . come back raft Grand Canyon nice space spread . can not go wrong price . wish warm meat breakfast rather deli meat ... offering make it . definitely something consider go Vegas . 
 Aug 11 2009 	 Good Location amenity 	 stay week visit relative friend sightseeing . location good short walk Strip . staff friendly helpful . clean get tired need refurbishing carpet etc . great continental breakfast every afternoon free wine beer snack . follow previous review request second floor quiet . even checkin clerk admit compressor roof loud 3rd floor . give away trip weekend & quot ; social hour & quot ; . pool nice small exercise room . great kitchen livingroom etc . 
 Aug 10 2009 	 GREAT PLACE GREAT price ! 	 stay Desert Rose Resort one night wish stay whole vacation . check welcome courtesy call . offer complimentary breakfast happy hour . hotel beautiful one bedroom hotel cost 100 less great ! would definitly stay . right across Luxor Tropicana location great also ! ! 
 Aug 7 2009 	 nice 	 nice location roomy place staywould come visit LV future . stay Planet Hollywood , Luxor , Paris Flamingo favourite . situate behind Hooters Tropicana , place comfortable . time share location stay like hotel . security hot ease . 
 Aug 7 2009 	 perfect 	 clean , quiet , comfortable , perfect location ! stay 2 night explore zion , brryce . GC 
 Aug 7 2009 	 great value perfect place family 	 spend night Desert Rose . great deal family young kid . well update room . good ( unfortunately crowded ) breakfast . walk distance MGM Grand , New York New York Excelsior . comfortable bed , even foldout couch . great A / c . quiet . definitely stay here . oh , security personnel excellent . get call night let we know electornic device car turn . husband go car check security guy wait explain 's good we take portable dvd player inside , . be go beyond call duty book . 
 Aug 6 2009 	 great family friend ! 	 stay 1bdrm 2bdrm stay friend ( timeshare owner ) - family toddler . family friendly , great pool , incl . small kid 's pool ... full kitchen fantastic must - have kid ! nice little porch hang .... location great - right behind tropicana . easy / short walk across street MGM Grand ! free breakfast decent - coffee starbuck ! clean pretty modern . awesome stay ! 
 Aug 5 2009 	 Awesome hotel ! ! 	 stay 4 night , be great hotel . stay two bedroom apartment nice . surprised price , think wrong first . my husband stay main bedroom also fit crib 18month old son . extremely comfortable king size bed , tv really nice ensuite . my sister - in - law son stay bedroom queen bed tv . and brother - in - law stay lounge pull - out sofa . the room small balcony , full kitchen ( awesome ) small dining table second bathroom . aircon really nice pool spa . also toddler pool fantastic son . hotel also elevator , laundry room ( free ) internet access ( think free , check website ) .All , stay America 7 week one good hotel stay at . the down - fall times call desk thing take deliver ...... carpet bit dirty , wear shoe around room otherwise sock get disgusting . not encounter bug . highly recommend hotel . 
 Aug 5 2009 	 ideal location family friendly clean spacious close Strip quiet 	 return week Las Vegas Desert Rose . family four find Desert Rose fabulous location ideal need . Buffet breakfast fantastic , room huge contain every convenience . mum , dad two daughter 15 21 , two one - bedroome apartment ideal . pool facility fantastic manager 's ' happy hour every Mon . Fri . bring guest together . 5 minute away hustle bustle Strip give one choice step full - on Vegas experience . highly recommend . maureen family ( Vegas Robbie Lindsay 's wedding , July 29th 2009 ) 
 Aug 5 2009 	 Home Away home 	 book room online not sure would deal dud . pleasantly surprised ! not day go not point say glad stay DR instead Strip . stay 3 night , feel completely home . if want retreat fast pace Strip want able hop right back show casino be ready , DR place ! be already talk next trip Vegas would not stay anywhere else . 
 Aug 4 2009 	 excellent value clean 	 book 2 two bedroom unit 8 we would gladly stay venue . internet not free back Feb - downside . book via expedia home Australia everything go plan . excellent holiday . 
 Aug 3 2009 	 Wish find Desert Rose first time around . 	 stay NY - NY Hotel Casino , Relief finish vacation Desert Rose . upon enter 2 room suite Desert Rose , teenager ( girl boy , 16 & amp ; 18 ) ask could extend vacation . unlike Casino hotel , Desert Rose serve overnight guest ...... will not get feel ( hotel right strip ) & quot ; hotel & quot ; afterthought casino . pleased say least , feel lucky discover hotel . 
 Aug 3 2009 	 wonderful experience 	 really enjoy stay . staff helpful always pleasant . total vacation wonderful . thank much help . 
 Jul 31 2009 	 everything Came Roses DRR 	 stay Desert Rose Resort ( DRR ) , 27 30 July , ' m happy report , , follow advice Trip Advisor ( TA ) booking accordingly pay . usually stay one Strip hotel South Point ( see review property ; still favorite hotel overall Vegas ) , read TA 's review note high rank ( . 4 book last week ) DRR -- find great rate Expedia ( $ 46 / night prepaid booking ) -- decide try something different . ' m glad . DRR live high praise fellow TA reviewer : location , suite , amenity excellent ; get anything close rate pay ( close , say , $ 100 / night weekend ; usually avoid Vegas weekend , though ) , highly recommend property . I ask -- get -- nice one - bedroom suite third floor build back side ( i.e . close Strip ) property . ( DRR garden - apartment style resort , three - story building arrange square around central pool reception area . ) check parking could not easy : process take 2 minute , room key map park around back , right next building . gate building main facility lock accessible one 's room key , work every time use . suite fine : promise , full kitchen , granite countertop , separate bedroom . decor furnishing similar South Point Hotel , much -- especially bathroom -- think DRR use company makeover . two tv -- large CRT unit , rather promise flatscreen , not issue , not use tv much Vegas hotel . tv work provide plenty free channel , handy one living room one bedroom . reviewer note , suit good , strong A / C ( 70s/80s - style lever thermostat work fine ) , temperature bedroom always degree warmer living area . matter ; keep thermostat low , BR sufficiently cool . not partake free continental breakfast , appreciate Starbucks coffee available throughout day early evening lobby , well free beer wine 5 7 p.m. , nice touch set DRR apart Vegas hotel . one good feature DRR location . Las Vegas , rarely free traffic problem , become particularly unfriendly automobile late , especially surface road east Strip . many heavily use road , include Koval , Harmon , Flamingo , Tropicana , undergo major , traffic jam - induce rerouting repair . fortunately , DRR easy get , even upheaval take place Tropicana , be short drive walk Strip . ( hotel also accessible Reno Rd . , free construction lead right Strip . ) parking dream ; park right next building , be . DRR big , either , add human feel . while ' m solo traveler , notice lot family kid DRR , see : 's outstanding value family , really attractive , user - friendly property . full kitchen , decent ( though adequate ) pool , family - friendly facility make DRR excellent choice traveler . night , property quiet , room , hear noise guest . ' ve Vegas , know rare treat . free wireless internet , find fast reliable , also great touch one not find Vegas hotel . unlike property give one limit free wifi , say , lobby pool area , DRR 's free wifi available everywhere property , include suite . while will probably stay one favorite regular hotel ( S. Point THEHotel ) next time -- like buzz big hotel -- ' m sure will stay DRR point future , highly recommend be look great lodging value Las Vegas . 
 Jul 30 2009 	 WAO ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 start say well stay Vegas . Desert Rose room typical hotel room , small apartment . full kitchen , nice bed , even dishwasher . else : free breakfast , free internet weekly happy hour wine beer . superb customer service . well locate . 5 minute walk Strip street Desert Rose Hooters hotel . casino , quiet . ten minute airport . minor complaint could small bathroom . issue . stay many Vegas hotel , include Signature . , recent stay Desert Rose , new home Vegas . summary : Desert Rose place Vegas ! 
 Jul 30 2009 	 overall wonderful hotel ! ! ! 	 hotel awesome great free breakfast morning . also nice two block away strip . room also fantastic full kitchen big plus . thing not love pool . area nice hope big pool . hotel great ! 
 Jul 30 2009 	 wonderful hotel reasonable rate 	 stay three night . room large clean . great air conditioning . nice pool . enjoy breakfast happy hour beer snack . located block Strip ! great hotel reasonable rate . 
 Jul 29 2009 	 overall nice place except bug ! ! ! 	 hotel situate convenient location lot perk . room cozy kitchen new great family . would really like recommend hotel , except couple little thing crawl around . yes , roach huge downfall experience . roach bathroom , around outside unfortunately lobby breakfast serve . excuse give heat . ' m sure buy excuse , big chain try really get rid problem . ' ve stay resort experience hot weather like Vegas , guess , ROACHES . 
 Jul 29 2009 	 great place stay . 	 Desert rise great place stay family , Vegas . strip , great room staff . 5 us 2 bedroom suite nice large . continental breakfast well stock muffin , toast , fruit , bagel , hard boil egg , cereal . nice go eat breakfast stay . Happy Hour 5pm-7pm weeknight plus . serve beer , wine , pop , nacho 's pretzel . pay $ 65.40 night room , hidden fee . small nice pool swimming , bbq grill picnic table want grill . family first time Vegas would definitely stay . 
 Jul 28 2009 	 Desert Rose Resort absolutely wonderful ! 	 stay Desert Rose Resort absolutely wonderful . room excellent . staff excellent . everything excellent . would recommend resort anyone . 
 Jul 28 2009 	 Nice room 	 room nice love kitchen supply - really cut cost eat able prepare meal room . fan breakfast however , would prefer something hot instead selection offer . ... nice place . 
 Jul 25 2009 	 great experience family 	 family truly enjoy stay Desert Rose Resort . staff helpful kind wiht question help around resort . stay go Vegas . 
 Jul 25 2009 	 like staying timeshare without presentation 	 book base review price . close south end strip ( 1 block MGM , Tropicana , Luxor , Excalibur ) . nice accomodation , full kitchen , quiet . nice not walk forever car room . ( like big casino ) like complimentary happy hour ( beer , wine , soft drink , nuts , snack ) . staff friendly helpful . would definitely stay . 
 Jul 24 2009 	 Perfect girl Getaway 	 two bedroom two bathroom suite , ideal three lady . two twin size bed one room king size bed . even queen size hide - a - bed living room . could easily three lady suite , reasonable price . suite clean , though little worn ( furniture carpet could stand replace ) . bathroom immaculate , bed sooo comfy , sheet nice try figure kind could get bed back home . great full kitchen dining table seat 4 . Wal - mart 3 - 5 mile away , warn - not car cost $ 45 round trip taxi go supply . flat screen tv living room 32 inch tv 's bedroom . even balcony two chair one smoker able sit living room smoke . visit Vegas often , say fantastic usually stay one casino go way downstairs casino smoke ( prefer non - smoking room non - smoking husband ) . breakfast good , lot variety . manager reception really nice considering drink cost we $ 7 - $ 12 club bar strip . place locate south end strip , adjacent airport , 5 - 10 minute walk MGM , Luxor , Excaliber . even though close airport think share property line , never bother plane landing taking . staff friendly helpful . definitely place stay family gathering group friend want stay together not want crowded standard hotel room . really , can not say enough good thing place . 
 Jul 23 2009 	 nice place 	 check quick easy . staff friendly helpful . 1 - bedroom suite . spacious . full kitchen come handy . overall great stay . 
 Jul 23 2009 	 great stay 	 wonderful stay , staff housekeep helpful friendly . room 1 bedroom beautiful . 1 block away hooter 2 block vegas strip . think wonderful . would definitely go back . 
 Jul 22 2009 	 comfortable quiet 	 first time will not last . quiet , love complimentary breakfast . complaint washing machine work . 
 Jul 21 2009 	 nice spot near strip family 	 Desert Rose easy find four tired traveler make way car rental station airport . check - in breeze . get suite , kid instantly decide love room queen bed couch . wife wake early next morning hit limited breakfast ( service start bit later weekend ) . make trip Tropicana Vons order pick supply rest week . even little time breakfast walk Strip two ( 10 minute get bridge Tropicana Excalibur ) head airport 3 - day rafting trip . wife next two night , concierge ( fantastic ) help decide good way hit Strip see show night . hotel also close airport ( easy cab ride ) ' hear noise busy airport . one common question forum whether be safe walk back hotel night , wife ( not like big city ) say never feel uncomfortable . negative hotel ? room probably letdown anyone think go top - of - the - line resort ' strip , base stellar rating TA . case , Desert Rose ' credit , bill 3 - star hotel TA . ' find bathroom say lot hotel . one room leave lot desire , especially one master bedroom , tiny . resort also crowd feeling time , peak time breakfast / reception , time pool demand , even try find parking space night . one thing teenager comment odor hit walk Strip Hooters lot . ' nothing Desert Rose control , make lasting impression kid . bottom line : would stay ? maybe , go sort trip need place room full family four stretch two night , one close enough strip wife could walk show two night three we go . would probably pick somewhere else walk strip consideration , since easy drive part town casino , need . also would suggest hotel anyone interested hustle bustle four five star casino resort Vegas -- Desert Rose would fit desire . also think 's bit stretch call hotel & quot ; Resort & quot ; , since quality 3 - star hotel block strip . knock overall rating notch , since hotel seem bit overrate TA . also round followup email Shell Hospitality group send link TA review , since probably contribute overrate problem TA . 
 Jul 21 2009 	 great place - great value location family - friendly 	 comfortable , clean , convenient no - casino hotel great free weekday happy hour beer , wine snack nice lobby hang friend . pool great suite kitchen big plus . perfect home base Grand Canyon raft trip ! 
 Jul 19 2009 	 Great Place Second Time even well first 	 front desk wonderful even help we switch room . end one group keep ask help . wonderful every time . Great Location , easy walk casino crowd noise . 
 Jul 18 2009 	 nice front desk staff 	 location convenient walk distance Strip . complementary breakfast coffee nice . front desk helpful check - in check . 
 Jul 18 2009 	 great place great staff great service . 	 staff friendly , helpful . room quiet comfortable , CLEAN . pool great . enjoyed stay much return . 
 Jul 17 2009 	 Oasis City 	 hotel exceed expectation . two bedroom apartment ready check , give two , one - bedroom apartment work great we . bed extremely comfortable apartment quite luxurious , spacious , well - furnish . coffee provide room day ( Starbucks ) toiletry always replenish . read complaint breakfast , pleasantly surprised abundance food offer . bagel , package danish muffin , bread , cheese , turkey ham , boil egg , fruit along gourmet coffee , soda , juice . always lot people seat available , always take food back apartment prepare . amazed staff able replenish food quickly , people take fast could put . hotel offer happy hour two hour day ( 5 - 7 ) , complimentary wine , beer , soda , snack . pool refreshing , busy weekend . spa nice hot . plenty chair around pool . location excellent .... two block Luxor MGM . car usually drive hotel / casino use valet park ( $ 3 tip ) . hot work great ( though valet lot sometimes full , case self - park lot ) . however , easy walk hotel Luxor , MGM , Hooters hotel ( 10 - 15 minute ) . highly recommend wonderful hotel . home away home four night would definitely stay return Vegas . 
 Jul 17 2009 	 totally recommend ! 	 great , clean , calm place agree positive comment already summarize other . one thing would like add : ever see check in / check line Luxor , MGM , Bellagio etc ? nightmare- mile long ! will not problem much small personal place ! certainly come back visit Las Vegas ! 
 Jul 17 2009 	 short walk strip 	 great stay Desert Rose . breakfast room every day free beer happy hour lobby . short walk MGM Grand Luxor . always plenty Las Vegas . fitness room pool available . would definately return . also free internet . 
 Jul 17 2009 	 family friendly without dingdingde 	 Vegas karate tournament husband young daughter compete . also weekend UFC 100 , quite busy . Desert Rose Resort close enough strip want want , far enough away away slot machines noise strip . room beautiful comfortable . complimentary breakfast quick easy enough get we go morning . staff friendly helpful . 
 Jul 17 2009 	 great hotel ! 	 stay Desert Rose 2 week June see last visit Vegas September ( stay elsewhere ) disappoint . the room lovely spacious clean daily high standard . one problem hairdryer replace within 10 minute enquiry . the pool lovely whirlpool free towel . could maybe chair / lounger see people come go pool day 's great problem get one . the free breakfast manager reception add bonus . the staff friendly helpful whatever request . it quiet gambler great bustle casino . only 15 minute MGM Grand monorail strip deuce . all brilliatnt place stay already book 2 week end June next year . 
 Jul 17 2009 	 glad choose Desert Rose Resort ! 	 travel Las Vegas early April . time , son 20 month old , want quiet place stay separate spot sleep . Desert Rose Resort perfect ! strip , far . quiet spacious . staff helpful friendly . this place perfect family young child , someone want quiet non - flashy place stay . be look hotel casino , . otherwise , stay ! will not disappoint . 
 Jul 16 2009 	 great family hotel 	 wonderful , low - key break casino . easy access Strip , far enough away escape quiet evening . particularly good family travel teenage young child . Resort well maintain . downside include slow wireless internet connection noise air conditioning unit . 
 Jul 15 2009 	 Best Place family near strip 	 stay Desert Rose 4 night trip Las Vegas recently . family - friendly establishment nice room , balcony , high - speed wireless , free breakfast , evening reception weekday , exceptional pool facility fitness center , within walk distance strip . top , price amazingly low . kid stay pool time extremely hot Vegas . also make lot friend pool leave we alone enjoy . none we like gambling , take stroll along strip night enjoy people architecture . kid love Adventuredome circus - circus hiking nearby red rock canyon . highly recommend family . 
 Jul 15 2009 	 Great Hotel 	 love hotel . value location . right airport strip nice . room awesome ! moment step lobby friendly group worker whole state nevada . take care everything promptly well . even security deligjhtful believe name Lisa help direction . in word Aronld , & quot ; BACK & quot ; . 
 Jul 15 2009 	 great Alternative LV Hotels great value 	 friendly efficient reservation onsite staff . little slow check group arrive . size registration desk fairly small number employee process registration limit . manager special , breakfast happy hour backlogge poor traffic flow limited space accommodate guest try serve . minor nuisance wait line 's offset nice facility , friendly staff value compare typical LV hotel . would recommend other travel LV . fun ! 
 Jul 15 2009 	 great 	 hotel could not convenient , clean comfortable . definitely stay ! 
 Jul 14 2009 	 Hotel hall clean room big . 	 impressed walk hall room carpet hall dirty . complain carpet dirty tell front desk tell sometimes clean carpet . management offer speak . also , think pool cloudy towel go pool end day . care outside appearance facility . think look lot well line . daily breakfast great big saving . 2 bedroom unit meet family five need big enough we comfortable . overall impressed . feel 150.00 per night could stay nice place strip . 
 Jul 14 2009 	 comfortablegood size room clean would recommend . 	 pleased hotel , two bed apartment well equip ( although hotel America seem supply kettle t - bag ! ! ) coffee maker , clean tidy . short walk strip - far really nice somewhere quieter come away strip to . complimentary breakfast , good early get seat . good pool seating , travel three teenager , good hotel stay space / value . 
 Jul 14 2009 	 great alternative casino hotel ... simple close everything . 	 catch raft trip ... clean , large room , surprisingly quiet block MGM . cab ride airport $ 8 - 10 . breakfast ok , staff friendly / helpful mini - store next front desk . compare monster casino hotel , nice walk right front desk get room within couple minute . large seem , eat breakfast early stake pool chair crowd wake . 
 Jul 14 2009 	 Fantastic hotel - would highly recommennd 	 return ( 13th July 2009 ) 2 week stay Desert Rose Resort , great place stay , locate 5 min , ( slow walk ) , strip , friendly staff , nice well equip kitchen . drawback pool area , be big enough amount guest , get sun lounger 8 am near impossible . 
 Jul 13 2009 	 relax Reliable 	 stay third time Vegas . great getaway Strip even though be right behind ! 5 minute walk MGM Strip . clean quiet relaxing resort . Bonus free breakfast free drink 5 - 7pm relax pool . free wi - fi unlike Strip resort charge . great family want get away casino 's . front desk staff nice helpful . would definitely stay ! 
 Jul 13 2009 	 wonderful facility ~ absolutely love ! 	 return yesterday four - night stay . friend want personal privacy yet area socialize relax upon return room . two - bedroom , two - bath suite perfect need . impressed first moment arrival : everyone courteous , efficient , helpful . room exceptionally clean well - appoint . pleasure full kitchen necessary item readily available . already start plan next trip daughter , husband , two granddaughter . regret looks wait spring . thank everyone great time ! 
 Jul 13 2009 	 great trip . 	 Location one block strip away hustle bustle . easy walk casino southern strip . staff great , concierge helpful . room nice bed comfortable . free continental breakfast great help save dollar Vegas . 
 Jul 13 2009 	 great price well stay 	 staff friendly , service great , back would recommend place family friend . close strip walk , far enough enjoy peace quiet . 
 Jul 10 2009 	 great place stay 	 impressed comfort cleanliness resort . great pool breakfast enjoyable . hotel staff accomodate service great . short distance action srtip still quiet . would definately recommend resort anyone . sincerely Mrs Angie Lewis 
 Jul 9 2009 	 good value las vegas 	 great place stay , close strip away madness . problem milk Sunday breakfast item Monday . staff friendly helpful , particularly concierge . would recommend anyone come Las Vegas . 
 Jul 9 2009 	 BEST Family Friendly Resort 	 svc owner love first stay point ! ! place unlike Vegas hotel family friendly term smoke , gambling , night life amenitie Vegas hotel strip : pool , spa , fitness center , free breakfast , laundry , BBQ grill ( grill ) , full kitchen ( cook ) , comfortable bed , nice furniture , great view unit , free wine / cheese evening , nice / helpful staff , clean unit , well keep ground , walk distance glitz Vegas 's 're . mother two teen impress could Vegas hotel , busy holiday weekend ! ! 
 Jul 9 2009 	 great room price 	 stay Desert Rose 17th June week really can not say bad thing place . full kitchen living room nice bedroom comfortable bed . side find . bathroom bite small view outside . get room ground floor face look like laundry room . try breakfast first day not impressed . free unless fancy cereal tea / coffee really worth visit . price get doubt well close strip . 
 Jul 9 2009 	 Excellent 	 return , Hotel excellent fast check , arrive 1 pm start unpack room within 10 min , breakfast free excellent , bagel , toast , ham egg cheese , plenty fresh juice . do tend get busy round 8 am ish . however seem big problem , Plenty towel bed available arounf pool day , odd day bed , go 10 am . Felt safe go return strip night , always turn right front door head towards hooter / mgm , cross end road MGM front lobby . happy hour 5 - 7 Monday Friday , free beer wine small nibblesStaff friendly always greet hello smile.taxi airport $ 13 tunnel ! , $ 10.50 return ? taxi Freemont $ 21taxi Stratosphere hotel $ 19Why go anywhere else ? 
 Jul 8 2009 	 Perfect 	 place perfect 5 we . 3 child we ; age 12 , 14 , 18 . lot space . really nice full kitchen . kid enjoy swim every day . free breakfast good start day . 3 tv relax hotel , could 3 different channel . husband check work email every day room use free internet access . location convenient place go . room clean staff friendly . parking close room . first stay Desert Rose would definitely stay go back Las Vegas . 
 Jul 8 2009 	 surprisingly Affordable First Class Quality 	 impress first , appearance resort - clean well take care . follow , every step way , impressed . check breeze , wait friendly , cheerful reservation clerk . parking excellent close room . room top class - furniture comfortable fashionable . pool awesome . always plenty towel pool side , plenty lounge chair table . the continental breakfast time - need morning do not feel like cooking head gi - normous buffet . the entire staff come contact outstanding front receptionist , maintenance staff housekeeping staff . the walk distance strip seem like & quot ; hop , skip jump & quot ; happy close . the price room phenomenal ! could go . needless say , tell everyone Desert Rose definitely plan come back future . 
 Jul 6 2009 	 Gem Desert 	 Desert Rose Inn & amp ; resort - far nice hotel ' ve every stay ! 's 2 block strip like mini apartment . fully stock kitchen , dining room , bedroom , bathroom , private balcony , pool , hot tub . maid even dish . staff friendly ground & amp ; room clean . hit strip morning go pool afternoon go town night . nice hotel - would recommend friend . 
 Jul 6 2009 	 quiet clean good value strip 	 Desert Rose excellent value Shell Vacations Club hotel resort . stay twice last year . trip even well first . room clean quiet . however , breakfast boring - food everyday 8 day . pool nice people tend set camp lounge chair early never leave day . convenient walk distance location next Hooters MGM monorail . 
 Jul 6 2009 	 love ! ! ! 	 I ve get back week stay desert rise las vegas love . room big everything u need plus . good location within minute walk strip . nice get madness strip perfect ! ! do trip hotel good . hotel staff happy help everything.very good vale money would stay 
 Jul 6 2009 	 winner ! 	 perfect way & quot ; win & quot ; Las Vegas ! gaming site , close enough play little popular casino . breakfast good selection . room clean- love individual balcony . 
