much 	 good hotel service start check - in front desk agent Red Roof always friendly ! make sure thing need night greet we everytime walk past desk . room cozy clean . comlimentary coffee room perfect morning . will definitely stay soon . 
 Mar 6 2006 	 Red Roof Inn cheap gem ! 	 stay Red Roof Inn Feb 2005 . first , great location , one block North Michigan shop ! check - in one minute , room immediately ! old hotel , carpet brand new , not choose hotel carpet . room extra clean bathroom immaculate . & quot ; disappointing & quot ; thing encounter ice machine 2nd floor stay . break , go 9th floor locate . give 3 ice chip 5 minute wait . highly recommend hotel . definitely stay . 
 Jan 24 2006 	 would reccomend hotel ever ! ! ! ! 	 friendly place stay . make reservation month advance , husband enter room discover give we queen size bed request king . haul lugage back front desk . tell employee mistake tell king size room avalible . tell wanted room make reseration ( confirmation # ) discount room give we . talk manager ( via phone ) give key king size room ( think none leave ) . one apologize . room clean small . would stay Red Roof Inn . 
 Dec 14 2005 	 Location Location Location .... great price 	 reading review personal recommendation friend , decide try Red Roof Inn . 2 friend travel Chicago girl weekend know would not hotel much . look safe , clean place close shopping sight - see area . suit need . 's nothing fancy . suite pretty satisified . full bath , cold since outside wall window . water temperature good . heater hot one room cool . suite refrigerator microwave , coffee pot sight . coffee available lobby morning . room clean furniture good shape . request non - smoking room , give smoking option switch another non - smoking suite . offer non - smoking double . check suite decide not bad . although hall reek smoke morning . desk staff could friendly ( except one exceptional young lady ) need invest coffee pot room . visit West Egg Cafe street breakfast ( get early avoid line ) Joey Buona 's great italian ( pizza pasta ) . 
 Nov 21 2005 	 Good Location Good Price 	 Red Roof inn ideal location want access Michigan Avenue . hotel locate near many eatery bar ( try O'Neils - 3 store front RRI , bar 12 foot wide great time ) . staff hotel friendly helpful . issue hotel room clean . issue bathroom trash floor . hotel room small well , long want hold social room , ok . would stay base price location . 
 Nov 21 2005 	 Downtown Chicago bargain 	 visit Chicago first weekend November two teenage son . look something affordable yet close sight book Red Roof Inn base review Trip Advisor . hotel exactly look : inexpensive , heart downtown , clean , friendly staff . yes , room bit crowd 4 , not much convenient location worth ! perfect family budget . not stay want luxury extras , happy basic , be right place ! ! ! 
 Nov 21 2005 	 Great Hotel 	 one good hotel Chicago price location . be half block away Magnificent Mile surround good restaurant . also convenience store near hotel . convenient public transportation . stay standard room first night . room small clean . bed comfortable . next night , move King Suite lot room 3 people . staff helpful friendly . 
 Nov 12 2005 	 Impressed Red Roof Inn 	 well locate , clean pleasant room - would stay Chicago ! 
 Nov 8 2005 	 Great Place Great Location Great Price 	 get back form Red Roof Inn Chicago . first location excellenet- ½ Block everything want magnificent mile , next Marriott ( whose price 3x red roof inn ) . room nice . get king Suite king bed bath one room separate living room fold bed bath . also get double deluxe big room two double bed . staff friendly help we everything need . late flight leave able store baggage check internet rent . remold look like place ever well next time stay . 5 star wonderful place price , HIGHLY suggest red roof inn . 
 Oct 28 2005 	 Great Location 	 stay RRI summer teenage son nephew . get deluxe room two double bed . guess get deluxe room problem reviewer store luggage move around . area outside bathroom luggage clothe . leave hotel early morning return late night sleep . room clean location great . want spend lot hotel rri perfect we . eat Corner Bakery block away breakfast . 
 Oct 27 2005 	 great value great location frill 	 pleasantly surprised short , early week stay . location perfect , heart downtown close great restaurant bar . not stay want extra , not . one wait door assist baggage , room small bathroom small , may go another floor ice . would estimate 's 15 year since carpet replace . although start re - do small lobby day leave . however , staff friendly helpful can not beat price area town . would definitely stay . 
 Oct 17 2005 	 Mediocre Hotel 	 pay $ 80 / night book Expedia . location great ... short walk Magnificent Mile bus stop . subway stop several block away though . room small two people opinion . partner enough space two suitcase . hotel two small slow - move elevator serve 16 floor . elevator often full , would wait come around again . we give smoking room even though request non - smoking . one bedspread several dark brown stain , request change first morning . pull bedspread , place floor stain clearly visible . housekeeper make bed stain spread . call request new spread , make bed deliver . bathroom clean -- definite plus . none front desk staff member encounter personable . talk several staff member , none seem enthusiastic . two different staff member engage obvious personal call check guest . ( one talk baby shower , another one make plan later night . ) request second luggage rack , request deny keep extra hand . overall , real impressed hotel . price great , staff cleanliness impressive . 
 Oct 5 2005 	 well price indicate . 	 last year stay hotel across street Red Roof Inn . year , hotel 's price go $ 80 night . require change accomedation year 's trip . see RRI last year decide worth look year 's trip . boy glad . 's location half price . when judge hotel , two thing look . first bathroom second cleanliness . RRI , bathroom little tight around toilet , shower roomy . room clean housekeeping come every day . get rain two day front desk give we extra towel question . room small minimal furniture . shappe like long rectangle door head bed long side . 's 3 foot end bed wall . make feel small . one piece luggage per person , room get crowd real good place store bag . pay extra refridgerator microwave worth every penny . desk corner small dresser tv top . hanger far end room near bathroom . I want stress price , good hotel near Michigan Ave . 
 Sep 25 2005 	 happy staff/ happy customer / equal great stay 	 wife stay red roof sept 10 15th get l train ohare clark st $ 1.75 $ 6.00 cab hotel staff pleasant whole visit advice tip problem location great 50 yard michigan avenue 10 15 minute stroll navy pier load resturant bar nearby room get 15th floor clean tidy two double bed pay $ 700 could pay lot something upmarket see city law order 2 time night hotel fine enjoy 
 Sep 16 2005 	 Good Experience Price 	 stay Red Roof Inn town wedding . not expect much pleasently surprised . room clean bed comfortable . location fantastic . room small expect - even city hotel . travel couple alone would suggest request room one king size bed . room 2 double bed difficult navigate . trouble find place put suitcase ! overall good experience . 
 Aug 28 2005 	 Great Value 	 hotel wonderful suprise . like every review say , room small . Chicago spend time hotel room sleep , something seriously wrong . hotel clean quiet . close everything . one small block Michigan Ave . city transit close accessible . major shopping close . close restaurant . anything could possibly need . West Egg cafe place breakfast . one block hotel . line up place every morning . complaint hotel one staff night . call front desk glass ask could come get one working time . price pay small inconvience . look hotel area almost twice price glad pay extra . really great value hotel . also deep dish pizza , go Gino 's East , probably good pizza ever . 5 - 10 min walk hotel straight Ontario St . 
 Aug 11 2005 	 Great Value 	 want say first , nervous expect . read lot review site Chicago hotel price pay ... not know expect . boy ever pleasantly surprised ! Red Roof inn nice hotel heart Downtown Chicago . read small room , key find getting & quot ; KING SUITE & quot ; , like $ 10- $ 15 / night ... plenty room wife 2 teenager ( sleep fold sofa ) , 2 tv 's , 2 bathroom , Microwave & amp ; fridge room . pay $ 130 / night , compare $ 200- $ 300 / night hotel walk past daily basis ( i.e . location ) .The good part deal location . literally 1 short block heart Michigan Ave/ & quot ; Magnificent Mile & quot ; . Free trolley run place want go ( museum , shopping , navy pier , park , etc . ) catch within 5 minute walk hotel . lot wonderful restaurant , take Amtrak Chicago San Antonio ( want & quot ; experience & quot ; train ) never rent car . mostly trolley cab ride . again , room nice ( 4 season , comfortable bed , nice linen , clean ... plenty hot water ) . GREAT place budget minded family interest Chicago nice place & quot ; palace type room & quot ; .by way , try Garrett 's Popcorn ( caramel corn ) , AWESOME ... know good count 32 people stand line wait get Michigan Ave ... well worth like caramel corn . thank TripAdvisor .... ALWAYS use site future travel 
 Jun 18 2005 	 Good Deal 	 stay 5 day . decide get business 17 & quot ; tv get pretty spacious room . suspect pay little extra get slightly big room adequate price well worth it . location extremely good . side toilet & quot ; wedged & quot ; wall mean uncomfortable use . sure do plenty space move little . would stay . 
 Jun 7 2005 	 wow ! ! small room 	 friend stay Red Roof Inn June 3 - 6 . trouble decide 2 3 star . room clean , wonderful , SMALL ! ! ! could get small room . read review say , think , & quot ; small could REALLY ? & quot ; book anyway . answer : SMALL ! ! ! : ) hardly anyplace store luggage anything , room walk , bathroom tiny . remind tiny hotel room see Europe something . front desk staff nice enough . definitely no - frill hotel , get pay . , good thing clean hotel , , would pay little money stay someplace nicer . 
 Jan 22 2005 	 excellent place stay ! 	 great place , location , price ! want go windy city couple night , place perfect . step away Michigan Ave . room clean arrive , clean every morning . complaint heat room . 10 degree outside , heater blow cold air . go front desk ask blanket . ( ' m think rate ' m pay place , ask extra blanket fine . could pay $ 400 / night across street another hotel , still problem . ) big deal . come back room next day , replace heating unit room ! staff friendly . place look treatment receive hotel . free breakfast , bellhop , room service , USA today paper deliver door . ( think free paper might available front desk though , well free coffee ) Valet parking available . pay $ 24 . choose park car carry stuff room , would $ 22 . 2 extra buck well spend opinion . good value downtown Chicago ! 
 Oct 11 2004 	 Great Place Price 	 probably find hotel well location Chicago rate anywhere nearly reasonable Red Roof Inn . room small somewhat date , Chicago , stay room anyway ? get , eat great food fun . ask staff recommendation , receive great advice restraurant cafe . although consider good place stay Chicago fun , could recommend Red Roof business stay , unless goal save money . 
 oct 9 2004 	 Perfect location spotless comfortable . 
 Aug 29 2004 	 interesting find 
 Aug 12 2004 	 Red Roof inn CheepClean good location 
 Aug 3 2004 	 1st Trip Visitor - Friendly Chicago 
 Aug 2 2004 	 Uhh say gross tiny 
 Jul 20 2004 	 Best Deal Town ! ! ! 
 may 31 2004 	 good place stay 
 May 18 2004 	 great place 
 Oct 16 2002 	 Dissatisfied Red Roof 
 Apr 24 2002 	 great location nothing nice say 
 Nov 22 2009 	 Quand même bien . 
 Apr 30 2008 	 centro con camere minuscole 
