would 	 visit NYC Thanksgiving week husband 4 child , age 10 - 15 . happy time give we key card 29th floor room check ! room clean , bed comfy , towel plush . always someone helpful desk . work desk personnel , doormen concierge ; helpful quick respond need . size room midtown location amazing ; suite way go family . we find cheap parking icon parking garage , skip valet parking hotel offer . neighborhood , proximity subway station add value hotel . say , stay , stay , stay ! ! 
 wow can not go wrong Dumont 	 hotel extremely clean super comfortable ! ! tha housekeeping staff extremely polite amazing job refreshing room ! & quot ; full & quot ; kitchen huge plus want bake fresh pizza @ 3 am : ) full - size fridge keep Grey Goose cold . Freezer ice tray , huge plus do not think ! bed comfortable room large ( 400 + sq ft ) especially NYC . tv bit outdate ( ancient tube tv ) . front desk staff pleasent deal , problem check . gym / fitness center open 24hrs : ( think fitness suite hotel ? : ) would definetely recommend hotel price range , stop research stay , love ! thank Affinia Dumont . 
 Apr 11 2009 	 Lived Hype 	 pick hotel base review read TripAdvisor.com . booked & quot ; one Bedroom & quot ; suite size room great . pleased overall value $ . hotel locate 34th Ave Lexington 3rd . Empire State Building Macy 's within walking distance . close subway stop 33rd Park ( 1 - 2 block away ) . overall , pleased stay . 
 Apr 10 2009 	 Excellent position visit 	 freindly warm welcome , fast lift great location town New York , walk place . room kitchenette useful tea making go breakfast every morning run $ 30 two . ask high level floor get veiw away street noise . several good local restaurant Cuccinas dinner Penelopes breakfast , nearby local deli . well - great position bad -decor slightly date ( problem ) 
 Apr 8 2009 	 enjoy stay back 	 husband visit New York end March celebrate special occasion . book Affinia Dumont read positive comment Trip Advisor get good special rate offer Affinia website . request nice room view celebrate wedding anniversary . complimentary bottle champagne await we arrive room . really appreciate feel set tone next day . nice management / staff hotel recognise celebrate special occasion treat like number . our room 36th floor fabulous view city Chrysler Building . room lovely spacious 2 double bed , living room kitchenette . great much room kitchen facility . staff friendly helpful . I definitely stay recommend friend visit New York . 
 Apr 8 2009 	 great great Great ! 	 mother , 12 year old daughter take trip New York 5 day book Affina Dumont . pleased , front desk crew knowledgable helpful . Paul awesome ! location nearby downtown although heart thing , quiet sightseeing welcome relief . bad thing experiene room get cold time . restaraunt next door ( Barking Dog ) one well experience city . bartender server awesome ! hotel one would tell friend stay , assure everytime go back NYC would never stay anywhere Affina Dumont ! great service , great value , great room , great location ! 
 Apr 7 2009 	 Perfect Tourist - y Stay 	 let us preface review say New York many time - live Philadelphia often come city day visit friend . husband want spend romantic weekend , catch Broadway show see tourist sight ( never ) Affinia perfect tourist 's getaway . price also reasonable get : modern , sizeable room , adjoining kitchen amenity ( save $ $ make meal room , store water snack ) clean reasonable - sized bathroom . hotel also perfect location - right Murray Hill close distance tourist attraction ( Grand Central Station , Broadway / Times Square , NY Public Library Empire State Building five minute walk away ) . walk site , take short cab ride there . the subway station also nearby take uptown Central Park museum downtown Lower Manhattan go take ferry see Statue Liberty , Ellis Island , etc . Penn Station street hotel 20 minute walk West . the room not uber - luxurious - bed really comfortable duvet , plush pillow good linen - end day - 's really need - good night 's rest . decor average , furniture good shape despite bit nicked . kitchen not outfit modern appliance , stove , oven , refrigerator microwave . bathroom shower good water pressure , towel bit rough . want view , make sure request room floor high 20th , otherwise will not see much . stay away hotel 's & quot ; restaurant & quot ; - Barking Dog 's food lamentable ... service inconsistent . must , stop drink snack . besides , convenience store , three door hotel ( be hungry thirsty necessity beer ! ) - along thai restaurant right next door . dining , suggest try Penelope ( ten minute walk lexington ave corner 30th ) - cute , casual affordable . I can not say much service receive hotel not interact much - except front desk check . bellhop clean personnel always friendly smile . we choose hotel review , location ( close broadway catch show ) definitely price ( hotel 's website , reserve prepay rate $ 165 / night ) 's good be look sight - see lot - however want authentic experience would suggest stay another neighborhood ... towards Lower Manhattan - like Greenwich West Village - not many high - rise - quaint street , shop restaurant . 
 Apr 7 2009 	 Outstanding ! 	 Atfer much research book room directly Affinia January sale promotion . request number toiletry complimentary service offer nice room offer special occasion . room give junior suite top floor . 37 storey 's view East River Chrysler Building . amazing view day night . room spacious clean . service receive hotel staff first class moment arrive , maintenance guy come bolt cutter break padlock case ( doh lose ! ) , receptionist Tennille book Buddakhan dinner Saturday night doorman Chris always get we taxi within second . nothing much trouble everyone friendly . location hotel great , minute walk subway Empire State building , restaurant downstairs ' the Barking Dog ' get hearty breakfast dinner american style portion ( HUGE ! ) . already recommend hotel friend family , great hotel decent price . K GuytonLondon 
 Apr 3 2009 	 completely average 	 husband stay 3 night end March ' 09 . choose great review cheap - ish price ( make reservation far advance , not prepay . get refundable rate . price drop significantly we book ( January ' 09 ) check keep change reservation order get cheap price ) . request thing online concierge , receive none without we call ask . 's negative point . seem pointless online service one actually looks follow it . the room clean enough . kitchen leave much desire way plate ( 1 plate 2 people ) , bring plate not matter . bathroom expect amenity , although bathtub annoying use . rubber stopper thing difficult use . t.v . bedroom living room , nice . radiator make weird rattle noise whenever heat come . far heat concern , make air really dry stuffy . bad sinus like will open window heat ( least window open , definite plus compare hotel ) .Overall , stay adequate . not expect much , not get much . list pro con : pro : CheapHas Kitchen24 Hour Fitness Room ( not use , though ) con : really dry hot air roomNo robe unless ask ( despite fact state site every room robe ) 1 plate provide eatingbarke Dog really bad food , not get room serviceNo breakfast providedif want breakfast , be diner Lexington 22nd serve day 's decent food . will even deliver free . also , be wifi . plan use internet bring laptop . 
 Apr 3 2009 	 Lived TripAdvisor Ratings ! 	 month research various hotel New York , stumble across special rate Affinia Dumont Travelzoo . familiar hotel , read dozen positive rating TripAdvisor impress glow review . I rather picky , deviate Starwood Kimpton chain gamble . undaunted , decide give Affinia try pleasantly surprised . the location excellent . city visit NYU see sight , Dumont 's location , everything itinerary easily accessible . room incredibly spacious , comfortable . be look Four Seasons experience , will disappoint . furnishing little worn tired , certainly acceptable price point . although bathroom appear newly refurbish , kitchen look much date . , still pleased room - one bedroom suite 2 queen pull - out queen sofa sleeper . the staff really make hotel special . front desk staff housekeeper even doormen , staff seem genuinely proud work hotel . always greet smile , respond every request smile extremely attentive service . request high floor , give 36th floor ( 37 ) . one glare problem - lack complimentary hispeed internet . would make stay complete . if be look bargain New York City , look . Affinia Dumont wonderful hotel Murray Hill area surround wonderful little restaurant , bakery deli . next time return NYC , check Affinia Dumont first ! 
 Mar 30 2009 	 would stay heartbeat 	 one nice hotel experience ever , great helpful staff , wonderful view room , close subway , nice gym . food hotel , sure serve food . find hotel trip advisor thrill able stay great hotel reasonable price -- although think get good promotion , may always great deal . matter , stay NYC , first choice would stay hotel . 
 Mar 30 2009 	 go back 	 friend & amp ; stay Affinia Feb ' 09 4 night . recommend hotel friend & amp ; dissoppointed ! stay studio suite & amp ; request corner room 2 window room great view Hudson River top floor ( 37 story ) ! view amazing day & amp ; night ! find kitchenette really handy breakfast morning . room spacious . 2 big extremely comfortable bed ! room always clean . great choose complimentary item concierge menu ( do receive email book confirmation hotel ) . lovely go back nice warm cosy room hectic day shopping & amp ; sight seeing ! staff friendly & amp ; helpful & amp ; happy help we question . location ideal . near empire state building & amp ; plenty shopping close ( Macy 's main attraction ! ) . subway stop 1 block away . I deffinately go back Affinia next time go ny . will not even bother look around 
 Mar 30 2009 	 Hidden Gem ! 	 one bedroom suite large rorom ever NYC . spotless , friendly helpful staff . Kitchentte allow we take leftover we snack . location 34 3rd great , within walk distance venue . we season NYC traveler - back gem . 
 Mar 30 2009 	 easy location clean room ! 	 room large compare room NYC . fit three adult without problem room . staff nice helpful . room clean , would suggest ask extra towels- thin . great view . find great rate make even well . little time use room , worth . 
 Mar 28 2009 	 Excellent NY Hotel 	 stay December , 2008 conference NYC . chose hotel base review TA . second year row stay Affnia Hotel NY December , stay previous December Shelborne Murray Hill . Affnia Dumont rate high thought would give try . this nice hotel , large room ny standard . room clean comfortable , staff phenomenal . price room stay lower much small room hotel . probably Manhattan . however , bad walk get everywhere need be . I return year , bring family extend stay . 
 Mar 26 2009 	 pretty good Affinia standard . 	 stay November 2008 3 night . think glow review Tripadvisor hotel would fantastic . . stay Affinias like much well , like Affinia Chicago . staff mostly friendly helpful . enjoyed talk many bellhop front desk employee hotel need renovation badly . looks run . bathroom , fixture old cruddy look . shower ok enjoyable ( need new shower head ) . window would open inch . blind would come way . suppose , would . order movie one night picture tv fuzzy . call front desk say would send someone . come 20 minute later fiddle talk phone least 15 minute , say could not fix . front desk give we refund movie never get watch annoying . also not restaurant . one next door hotel might be awful . food stink . need place serve breakfast , minimum . upscale hotel always decent restaurant breakfast & amp ; business meeting . nothing terrible say . pay good money hotel old beat . need well shape comfortable inviting . cheap stay . would consider staying renovate could get low price room . otherwise , would . 
 Mar 26 2009 	 Great Service Great Value Great Stay 	 wife recently go New York birthday . normally stay close Central Park , time want stay Murray Hill area . research book Affinia Dumont hotel 's website price equal less expensive travel site . upon arrival service great doorman , Bellman Iris front desk . explain purpose trip , ensure receive great room , great view . throughout stay Iris rest team Affinia Dumont offer well friendly , professional service . back ! 
 Mar 22 2009 	 highly - recommend ! ! 	 hotel excellent , well service , room , cleanliness friendship people work . definitively go back chance . 's highly - recommend ! ! 
 Mar 20 2009 	 not want leave ! 	 hotel nice can not say enough good thing ! ! room huge smell great -- HATE hotel smell like cigarette ! ! bed comfortable , be close subway ( 6 train-1 block ) , 10 minute walk Times Square , be nice quiet ! ! hear horror story super small room not want cramp 4 day choose one . ' m glad homework research find Affinia ! ! love kitchen full - size refrigerator ! come evening nice cold beer relax ! first trip New York come back , definitely , will not even look anywhere else ! ! 
 Mar 20 2009 	 Comfy bed Dumont 	 although bit pricey , hotel worth . great location , efficient service , excellent bed , really clean . although not flat screen tv carpet start look little fade , definitely consider stay . little kitchen also handy ! 
 Mar 19 2009 	 great location large room excellent value . 	 Affinia Dumont excellent value would definitely stay . location E34th close subway , walk distance Macys shop along Madison Fifth . village subway stop away . the Affinia Dumont convert apartment building , mean room substantially large typical NYC hotel room . room also kitchen . save money trip buy breakfast item drink store mini kitchen . could spend money great eat ! like Affinia Dumont follow reason : 1 . helpful staff 2 . well - equip workout room 3 . location 4.larger average room 5 . mini kitchen 6 . comfy bedsWe not like follow : 1 . high daily fee internet access 2 . poor television receptionOn first evening , doorman helpfully direct we Hudson Grill dinner . reasonably price good . return lunch another day recommend . 
 Mar 17 2009 	 please everything Z ! 	 spend three day Affinia 34th Street three friend 18 month - old puppy . ( five middle - aged people ) blast . hotel personnel incredibly nice , lobby inviting , room clean great view , location perfect we . price fairly good well . small complaint kitchen could stand upgrade bit . 
 Mar 15 2009 	 Excellent hotel great city view 	 location - reasonable . Lexington street line Subway station two block away . lobby - nothing grand , tasteful attractiveCheck -in - friendly efficient . never see line . elevator - issue , wait . room - large , wonderful Chrysler building view . corner room could also get view East River . one blind broken care . Kitchenette - not stay hotel week , ; really need one . bed - comfortable , bathroom - everything clean well maintain . would come back without hesitation . btw , food try Cinema Cafe ( corner 3rd 34th ) La Giara 3rd South 34th . 
 Mar 15 2009 	 Beautiful Hotel Amazing Staff 	 return 3 night stay Affinia Dumont say enough great . room beautiful , spacious fantastic value book Hotwire . bed comfortable kitchen nice touch . staff front desk helpful answering question neighborhood use subway . would stay without doubt ! 
 Mar 14 2009 	 great hotel affordable price big room good location ! 	 great hotel price NYC - especially come kid b/ double room huge room kitchen . staff extremely helpful well . 
 Mar 11 2009 	 Excellent choice 	 visit New York first time choose Affinia Dumont location , price review Trip Advisor . disappointed . arrive Newark Airport problem get hotel , take monorail train Penn Station cost $ 15 per person . get cab hotel cost $ 10 . arrive 1.30 pm room ready . ask room high floor give one 34th floor fantastic view overlook Chrysler Building . husband contact hotel arrive ask flower bottle champagne room arrival . communicate member staff call Guadalupe Olmos ensure request take care . room fantastic , kitchen ensuite bathroom . huge bed , write desk , large mirror dim light . staff friendly helpful . 2 meal Barking Dog restaurant excellent value money . order Philly Cheesesteak wrap thinking would small snack , realise Americans not small snack ! come salad home make fry , $ 8.95.the location hotel excellent . within walking distance everything want see . empire State Building block along road , Grand Central Station 5 minute walk away Times Square 10 minute walk . would definitely recommend hotel anyone stay return New York . 
 Mar 9 2009 	 Repeat Visitor 	 ' ve stay property many time -- last time year ago . hotel still strong staff helpful . lot positive -- location , proximity casual restaurant , shop public transport . room size selling point . concern property beginning show sign wear . also disappoint arrive put junior suite available -- handicap accessible room lay differently deluxe junior suite -- hence feel small queen bed . move next day -- good recovery hotel well accommodate . 
 Mar 9 2009 	 great value location ! 	 Manhattan hotel room , space large normal full kitchen ! never stay Affinia hotel , would return . get great price hotel website . room clean , staff nothing helpful pleasant . know ahead time be arrive car , $ 55 parking fee 24 - hour stay ( be City ) . Dumont safe area many site within walking distance . negative find expect & quot ; luxurious & quot ; . scratch wood furniture carpet buckle one area . , still worth online deal . 
 Mar 8 2009 	 Return trip 	 return hotel stay two year previously . really find fault apart small bath towel . room good size ever stay New York . staff helpful friendly . location great . lot good restaurant bar within walking distance , hectic day , great able fall hotel pick want eat . by way family try get cab hotel Monday 2nd March snow bad . normal cab would go airport find diamond cab driver 4x4 taxi end get airport family . only New York ... 
 Mar 4 2009 	 Fantastic Affinia Dumont 	 get back London 4 night stay ad wife three year old daughter . booked read good review hope something special not dissapointe . check ask room view immediately give room change 28th schedule stay corner room ( window two side ) top floor , 37th ( 3706 ) . fantastic room ... two Queen bed , spacious , kitchen invaluable keep beer / soft drink deli door save hotel mini bar price . brilliant view Hudson NY skyline . use Barking Dog restaurant next door dinner arrival late do not want go far eat great burger fry couple czech beer , breakfast twice also immense , wife daughter happy ! ! reception great guide we bus station 42nd 8th even sell we ticket miss 45 minute bus ride premium outlet shopping centre NJ ( Woodbury Common ) 50 % Prada , Chanel , Dior , Boss , ton label . pick great bargain ! got hotel car take we Newark last morning ( masterstroke wake foot snow another family have not book hotel car still struggle get cab leave airport ) - hotel car 80 buck include toll tip , whereas yellow cab way hotel 73 dollar , almost price bit comfort peace mind . stay ! real bargain great relaxing feel . 
 Mar 3 2009 	 not put lobby 	 book 3 night stay strength favourable review appear TA . first impression lobby rather depressing . suppose cause choice decor ( generally dark grey ) miniature proportion ( tall hotel build small footprint ) . get room splendid predict . I think 34 floor 6 room per floor service 5 fast guest lift . corner suite 24th floor discount cost $ 625 3 night ( Sun , Mon & amp ; tue ) .We fine view Chrysler building East River . big desk , dim light grand sofa , feel like home . bed pillow perfect . bathroom well fit well maintain . one sit throne enjoy view ! ( not get free toothpaste promise book confirmation . ) kitchen everything want order prepare simple breakfast . cooker , microwave , fridge freezer one could comfortably cook quite elaborate meal . less ambitious delis direction provide wide selection pre - prepared dish . on two evening eat Barking Dog restaurant next door hotel cost $ 80 ( 2 person ) starter , steak large glass wine . ny sirloin steak large ask bark doggy box , find basis third evening meal . the Empire State Building four block away along 34 Street , see hotel . Macy 's one block far . the purpose visit sightseeing , application Big Apple Greeter organisation successful . meet hotel reception take subway Lower Manhattan . walk Greenwich Village , Soho , Little Italy Chinatown , past World Trade Centre site , end Staten Island Ferry Terminal . Greeter , Bill , retire like love part Manhattan , live nearby since boy . walk take 3 hour . leave take free ferry Staten Island pass Liberty Island way . afternoon appointment Federal Reserve Bank inspect gold ! next day walk Rockafeller Centre ( 20 min ) go top Rock . go subway top end Central Park , walk back park , via Times Square back hotel ( 3 hour walk ignore shopping stop ) . third morning take subway City Hall walk Brooklyn Bridge . I mention activity simply illustrate conveniently situated hotel . close subway station 33 Street , one block away . we travel JFK Skytrain , E Train , 6 train , cost $ 7 single . quite easy journey take less hour . glad not give take cab ! 
 Mar 2 2009 	 friendly staff nice room good neighborhood love bar next door 	 usually stay Upper West Side , rate get thru Priceline good , TripAdvisor review glowing , check Affinia Dumont . well , TripAdvisor reviewer right money - usual . stay Affinia two night . arrive 1:30p able check immediately . like first room able change trouble ( attitude ) . front desk staff lovely housekeeping bellman friendly . room nothing fancy , NYC large - even kitchen . large writing desk comfy bed . view room # 1106 ( unless count fire building behind hotel smell watch night ) . shower really good pressure . aveda product . so - so counter space bathroom . room clean good repair . pretty quiet hotel area . # 6 subway block away 's easy walk midtown / Penn Station / Macy 's . flight 8:30pm able easily stash bag day . bark Dog restaurant next hotel . yummy food , good drink really terrific company bar . travel owner George , crew , local ( colorful ) clientele make feel right home . nail salon across street - Spa Meridian - really nice pedicure $ 26 . perfect way end day full walking . 
 Feb 28 2009 	 Perfect every way 	 recently stay th Affinia Dumont , check process flawless . room 35th floor beautiful view East River surround building . daughter birthday love hotel , comfy room NYC . walk everywhere , Macy 's , Times Square , Rochefeller Center , Fifth Ave Shopping , Central Park . room immaculately clean bed comfortable , even wonderful pillow menu . room Umbrella stand several coat hook coat , hat scarfs , convenient . small kitchen shop snack drink Murray Hill Market door away . go block House Wine Liquor 250 East 34th Street andgot nice bottle wine enjoy room . alot nearby restaurant within walking distance , ask desk staff kind helpful . staff hotel kind professional . definately return Affinia Dumont Hotel next time NYC . 
 Feb 28 2009 	 precious gem Murray Hill 	 stay 31st floor 4 night together wife daughter . although choose Affinia Dumont high score TripAdvisor easy approach reservation page website , judge JAL guidebook , seem isolated major area . actually fact could pleasant , confortable & amp ; convenient stay . 1 ) surround rate restaurant ( italian , French , american , chinese , Thai , Vietnam etc ) , famous delis grocery store . especially love & quot ; 2nd ave . deli & quot ; , locate 1 block behind hotel . friendly enough alien family . not miss meatloaf sandwich ! 2 ) High Accessibility walk subway st . ( 33 st . ) , Grand Central Terminal , 5th Ave . , Macy 's & quot ; world biggerst store & quot ; , H & amp ; , japanese grocery , korean street etc . case use taxi Port Authority terminal , cost $ 10 . grayline take Woodbury Common outlet.3 ) Coffee / tea break anytime want , use internal kitchen . want pour fresh milk , take freezer room enough capacity ( course , buy grocery next door ) . 4 ) nice staff welcome hotel entrance ( daughter like Ben - san ) . 5 ) could see East River window . beautiful , especially late night . 
 Feb 25 2009 	 stay great hotel 	 arrive back great stay , e mail room good view arrive however recieve information problem mention checking , reception find we room high floor available nice view corner room , room good size , lovely comfy bed , quiet within hotel , situate within nice area . really impressed staff , always polite helpful , especially leaving check we arrange seat BA flight home also print boarding pass we , inform we secure area leave bag day depart could still use change room shower check out . have stay NY find really good place stay thank tripadviser traveller comment 
 Feb 25 2009 	 Fabulous . New York home away home . 	 absolutely love hotel . travel New York often , try many different hotel , include Flatotel , Shelbourne Murray , Drake , Millenium , Plaza , Le Meridian , W , name . love hotel sizeable room , kitchen , location . room huge , might well apartment . everything spacious - bathroom , living room , bedroom . also love large window run wall wall room . let lot natural light , add homey feeling . I travel husband son market right corner , able actually use kitchen . kitchen bring peace mind travel 4 year old . 's hard get hunger schedule , nice able whip hot meal hour day . across street great little nail / wax / facial spa dry cleaner - patrone love . short walk Lexington be right heart 5th Ave shopping . bottom line , hotel , Affinia Dumont always first choice . 
 Feb 24 2009 	 Excellent Stay - location service view room 	 return 3 night stay hotel NYC could not well . arrive around 1:30 p.m. able check get fantastic studio room 25th floor beautiful view city include Chrysler building . staff nice time leave arrive greet we . refuge come back long day sight seeing . detail / highlight : -aveda product ( rosemary mint ) -very comfortable bed lot pillow -huge closet ample amount hanger - fully stock kitchen -- pot , pan , plate , glass , cup , silverware , fridge , microwave , stove , sink , cabinet - excellent water pressure shower - full size desk ergonomic chair - umbrella closet ( come handy one day ) -super fast elevator - next door restaurant ( Barking Dog ) good meal dinner one nightwe stay time come back NYC 100 % happy stay . 
 Feb 22 2009 	 one NYC Best Hotels 	 return NYC getaway / long weekend two young child . husband spend many weekend city like try different hotel ( especially boutique ) NYC . , far , one best experience NYC ( picky traveler ) .First staff incredibly nice lay back check . sometimes NYC hotel feel snobby off - putting , Paul , check we , warm welcoming . find reservation right away assure we fantastic room family 4 . especially nice travel kid want feel unwelcome . the room beyond wonderful . large NYC standard - king bed pull queen sofa plenty room walk around , even sofa bed pull . plus , full kitchen , fantastic family . bathroom bite small , adequate need . amenity , decor furnishing excellent . can not forget view - corner room high floor - breathtaking . panorama Chrysler building east river - really amazing . time cam e back hotel , happy happy . the location Affinia Dumont beat . one block subway central Manhattan , whether head downtown Chinatown / Village Times Square Upper East Side , not far travel . , kids tow , always glad close public transportation get tired . again , say enough good thing hotel - truly amazing wish could give even extra star . , thank Paul , helping make stay wonderful - truly one good hotel staffer meet long time . 
 Feb 21 2009 	 great hotel great rate 	 stay hotel receive email special rate . 's block away subway stop easy move around city . location near 34th Street Lexington . the staff friendly . stay 1 bedroom suite room huge . small kitchen refrigerator , small stove , sink , dishwasher , even utensil dish . our floor 5 room floor . the main room pull sofabe desk television . light bit odd - light showcase painting not go directly couch chair . the bedroom also large NYC standard - two double bed television . bathroom large regular amenity . I would highly recommend anyone stay NYC 's away noisy Times Square area less crowd area safe area . there good restaurant area include Penelope 's 30th Lexington Thai restaurant right next door . Murray Hill Market right nearby sandwich , grocery item , etc convenient . the thing not like hotel allow pet . luckily hear small dog couple time bark leaving , otherwise would complain front desk . be wary taxi cab driver outside - one ask we going get roll window ( find later law ) refuse take we realize ride not long enough worth cost . luckily one employee hotel help we get another cab . 
 Feb 21 2009 	 Amazing Location Average Hotel 	 working deadline attend two important meeting trip , stay mostly . enjoy view small kitchen , remind sixth - floor studio Paris college year exchange student , nothing else hotel spectacular . agree reviewer make internet use free definitely wireless . coffee strong good enough hotel sit Manhattan , toiletry make skin hair ache quality product leave home trust four - star . toilet closely build sink whereas toilet paper instal far bathroom put together haphazardly , thoughtlessly . clean staff good job except carpet , really need vacuum much well . would give even two - star hotel , except well situated really nice go walk fresh air , commute work location could easier fast . 
 Feb 15 2009 	 new favorite New York 	 return two night stay Affinia Dumont . never stay anywhere else city . get huge beautiful room top floor beautiful view - 3704 . ' ve also stay Hotel Gansevoort , Hilton Ave Americas , Marriott Marquis , couple hotel Manhattan Affinia far good . excellent , friendly , unpretentious service everyone work hotel . right next door Dunkin Donuts add bonus since ' m Boston addicted dd . great neighborhood , safe close everything . 
 Feb 15 2009 	 perfect base family 	 pretty neutral expectation sof hotel , mainly take kid we time , unsure would adapt ( even tho be season traveller ! ) suite perfect real home form home . business set facility within room good have ever see - not use . comfy , warm , safe plenty floor space kid play . kitchenette prove quite useful . front desk bell staff v helpful always upbeat . restaurant attach hotel ' the Barking Dog ' serve superb quality home make food reasonable price . 
 Feb 12 2009 	 fantastic Affinia 	 return New York lovely holiday Affinia Dumont . hotel well situate explore city . 5 - 20 minute walk main attraction ( empire state building , rockefeller centre , grand central station macy 's etc ) room spacious , clean lovely view city . staff helpful would happy oblige request query . the bark dog restaurant situate next door also worth visit whether look breakfast , lunch dinner simply relax drink . I would recommend stay hotel . 
 Feb 11 2009 	 Great Hotel ... 	 can not say enough Affinia . first time New York location could not well . everything within walking distance . hotel clean service sublte ( mean hardly notice - good thing want check check ) .check quick painless . the adjoining restaurant , Barking Dog fantastic . staff accomodate courteous stay . much spend time walk street New York . loved . 
 Feb 10 2009 	 Excellent hotel experience 	 stay 2 night Dumont . fabulous room - everything request : high floor , quiet , corner room early check - in . view window magnificent - East River Chrysler Building . room furnish simply elegantly fine little kitchen , decent bathroom office area huge desk . grand bed masse pillow sit area small couch , table soft chair . able adjust heating / cool - big plus , weather turn quite mild like cool room . one complaint lack Wifi room , rather high fee use ethernet cable would necessitate use notebook computer desk - surprising & quot ; executive & quot ; hotel . otherwise , certainly one beautiful room , one nice hotel experience . staff friendly welcoming location nice neighborhood feeling , handy everything , include form transportation . 
 Feb 9 2009 	 Excellent Hotel 	 hotel locate east side midtown within walk distance Empire State Building ( 8 Mins . ) , Grand Central ( 15 Mins . ) Times Square ( 30 min . ) . book two bedroom suite ( one bedroom suite connect single bedroom ) . price ( $ 375 ) good deal . room good size , clean well appoint , include small kitchen . staff helpful pleasant . two teenager two dog we . hotel pet friendly welcoming . great stay return . gem NYC . 
 Feb 9 2009 	 great location great staff 	 wife book week 's break New York celebrate wife 's birthday . get good deal flight hotel choice Affinia Manhattan Affinia Dumont . ( stay Affinia Manhattan previous visit NY . ) book Affinia Dumont change experience Affinia Manhattan sure quality service . we arrive hotel around noon welcome doorman plesent . proceed check ( male member staff ) curtly tell room ready come back 3 pm . ask could anything arrive Ireland get simple . upset we somewhat first impression important . we eventually check 3 pm give lovely room hot water . couple call duty manager hour later upgrade beautiful suite . suite spacious comfortable . find female staff reception helpful especially guest relation manager Jeaselie front office manager . apologetic treatment check helpful finding excellent place eat . Jeaselie e - mail arrive give detail fine dining place wife birthday , show see romantic guesture New York . apart couple male staff stay enjoyable would recommend hotel friend . 
 Feb 3 2009 	 Fantastic Hotel 	 absolutely fantastic hotel . located minute away empire state building , macy etc . room really modern spacious kitchen area . ' m plan go New York year definitely stay Affinia Dumont suggest ! 
 Jan 26 2009 	 Amazing - please Read ! ! ! 	 hotel MUST ! staff incredibly helpful friendly , room huge- get corner room king size bed , fab bathroom kitchenette oven , crockery fridge . 1807- think .. absolutely noise spotlessly cleanthis nothing like pokey NY hotel , decor contempory , ' m BA Crew , ' m use good fussy ! trust , nothing like hotel . the location excellent , 22 block south central park , 5 block East empire state ( almost next door ! ) there s night deli next door buy ready make fresh food heat microwave oven room want watch penny . junior suite fantastic stay Jan 8th-11th 2009 , definately return . ' ve stay lot hotel NY , without doubt , good . Honeymoon ( part ) disappoint . excellent value money , book rest assure , will love ! 
 Jan 19 2009 	 Great Experience Hotel Location 	 never New York partner want make sure stay nice hotel convient location . the Affinia Dumont disppoint . hotel lovely . staff friendly willing help enquire . room perfect , good view New York spend load time room . the hotel locate 34th street 3 block away Empire State build 3 block Macy 's . take we 20 min walk Times Square 30mins walk Central Park . lovely Deli next hotel sell everything could image . fresh fruit , muffin , ceral etc . nice resturant call Cinema one block east really nice pasta soup perfect cold winter day . I would recommend hotel anyone want good price location noisy part . 
 Jan 18 2009 	 great hotel - excellent location ! 	 great hotel excellent location ( take look ' Google Earth ' location ) . settle hotel midtown Manhattan read many good review , ' m happy say not disappoint . would good hotel event , staff make Affinia great hotel . front - of - house staff ( Garnet behind desk , Donald doorman particular ) incredibly helpful - even spend hour phone helping track miss tour ticket . room clean , well furnish comfortable . not worry book ' room ' many good place eat within minute two front door . Murray Hill Diner ( next block ) provide outstanding breakfast , Barking Dog restaurant bar ( next door hotel ) perfect lunch evening meal not want go afield . room kitchenette - Murray Hill deli everything need want ( include Ben Jerrys ice - cream besides ! ! ! ) hesitation recommend hotel already book return trip September ! 
 Jan 15 2009 	 Affinia Dumont Pillow Menu 	 go NYC meet husband working week company 's satellite office . also , go stock jewelry business -- trip garment district bead , wire , crystal pendant , etc .. garmet district begin 38th Affinia 34th . arrive LaGuardia flight Chicago MDW , get cab ( $ 23 ) , arrive give name , within minute 2 get room w/ smile 2 key ( even leave counter husband pick ) . tell PILLOW MENU . think , pillow well taste well Waldorf 's pillow .... ummmmm .... yeah ... sorry .... seriously , Pillow Menu consist Swedish Foam , Massaging , Buckwheat , Alternative , IPod speaker inside one pillow , etc . not realize many type pillow . not get one feather pillow provide heavenly think free . also provide & quot ; walk kit & quot ; & quot ; jog kit & quot ; etc . heart rate monitor , pedometer , etc use stay . nice touch . overall : ~~Room huge ( 2 bed , desk , hallway , Kitchen , bathroom ) ~~Room absolutely spotless.~~bathroom absolutely spotless.~~high speed internet work great~~TV reception great~~view gorgeous~~elevator arrive quickly~~close Subway 50 + jewelry supply shop ; - ) ~~Service amazing ( ice bring room ) ~~spa 2nd floor ( utilize ) good premises~~the white feather comforter , white sheet , white pillow comfortable.~~We look thing internet take subway $ 7 all - day pass , entire city accessible . blast ! would definately recommend would absolutely stay . good part , will not believe pay $ 99 night Priceline . yes . giggy price . thank Affinia Dumont wonderful stay . Jennifer , Chicago 
 Jan 13 2009 	 GREAT bed ! 	 recently stay Affinia Dumont long weekend say good night 's rest EVER hotel . bed fantastic ! come middle - aged woman extremely bad back . negative thing say anything mention reserving room & quot ; third party & quot ; ... seem happy . happen twice ... check check . think strange . would stay ... reserve room third party ! ! ! 
