super 	 Sanderson one cool hotel London , great design / cool bar . must go would say .... 
 amazing hotel 	 beautiful place , like 's sister hotel St Martin 's Lane , hip , trendy noisy ! Perfect 's sort thing be look , . lovely food well . 
 Nov 26 2006 	 Nightclub Residential Experience 	 much say hotel ! review mention high price , long bar picture bed will not go detail . shall instead write briefly overall impression overall experience here . I would say whole place like trendy nightclub . lift pitch black , illuminated wall shine pattern star planet , loud funky music . corridor lead room also dark . music recur motif hotel - breakfast pretty loud ! room even CD could buy hotel 's ' soundtrack' . our deluxe room lot nice little detail enjoy , range Phillipe Starck dumbell wall lovely , weighty little alarm clock stylish glass - wall shower room ( great ' Evil Genius ' impression thank superb echo ! ) . transparent wall ensure significant never 's sight - place couple may enjoy lone business traveller . we find service friendly efficient . staff good - look trendy , far stick - up could case . the resident seem mid- late thirty upwards , look well - off ( well , would would not ? ) . come nightfall , bar pack attractive people late-20s upwards begin really see whole point hotel . transition bar bedroom seamless experience . so summary - yes long bar great , yes purple bar smoky , yes pool table always seem take , be young ( young heart ! ) , well - heeled residential nightclub experience , probably place get . 
 Nov 25 2006 	 overrate achingly hip however achingly uncomfortable 	 five star hotel : comfortable , discreet , glamourous , clean impeccable servicei absolutely despise place maybe bit old , late thirty . feel like expensive nightclub bedroom instead hotel . constant music pipe lift , intially ok , follow trip incredbily annoying . room , merely standard room pretty awful consider much pay . bathroom floor stain , permanent stain , hasten add . toiletry minimal , however could purchase , ' purchase ' operative word , dress gown wash scratchy . hipness , well boxy sony television hardly cool day ! mention purple bar really overprice ! doorman , well tend disappear regular basis ! hotel save grace long bar , increbile vibe . Sanderson , give Four Seasons , Dorchester Claridges day .................. canadian british hotel ! 
 Sep 29 2006 	 one million 	 check check feel really special . bellman treat kindly assitance . I find entrance hotel almost take breath away . not find many hotel world quite like Sanderson . little touch like candle room amazing aqua spa . would go everyday could . surprised negative remark make site Sanderson could find floor hotel . feel like another place stay . back soon . 
 Sep 12 2006 	 enough bang buck - anyhow 	 husband stay London business , review hotel look good great location . from outside , hotel look dreadful , inside , thing get much well , lobby cool , ' m sure make cohesive whole .... receptionist good look , dress black - quite trendy rather chic . lift dark - think night sky , find weird , , , , our room standard like another reviewer , tv totally wrong room . also , stain wall , obvious white room - lastly , although room non - smoking , definitely get smell smoke room - not ask move however , jsut rush time . picture fall ceiling narrowly miss husband - hotel absolutely nothing way apology , say .... plan stay hotel dinner , outdoor terrace lovely , however , mediocre lunch - club sambo 17 quid , decide bother head elsewhere . come back hotel drink disappoint - allow drink outside - sunday 11.30 instead head purple bar , full smoke low seating . service terribleoverall , great location trendy , way go deliver service price demand 
 Aug 8 2006 	 pricey .. worth experience 	 know go pay lot stay , love splurge cool hotel experience , Sanderson pretty much worth . hiccup room rate ( us expensive rate confirmation actual rate honor show printout ) also inadvertantly check someone else room lunch . head concierge Ian fabulous upgrade we king suite terrace unbelievable . find staff nice helpful although expensive drink bar add on ... anyone book quality hotel anticipate charge . definitely recommend willing splurge look unique experience . 
 Jul 23 2006 	 Favorite hotel world 	 Sanderson definately favorite hotel . second stay even well . standard room little small superior much fun . everything clean modern . love curtain glass bathroom room . staff friendly stay hotel easy get something need . long Bar always fun make good drink London , Purple Bar . lobby scene always fun walk . agua spa amazing , really one kind , great massage . restaurant nice summer sit outside terrace beautiful . food good money would recommend Asia de Cuba St Martins Lane . location also perfect right near Oxford Street Soho , everything walk distance , good restaurant nightlife . 's expensive will come back whenever chance . 
 Jul 13 2006 	 cold room cold staff cold experience 	 ' ve stay good hotel London abroad far achieve ugly title worst yet . take partner attract fashionable modern appearance location centre London . account Hotel trendy , seem buzz staff attractive dressed well . however also shockingly aloof arrogant , quite patronising clearly disintereste anything hair look whether could stiff extra quid ! room quite dirty ( deluxe ) everything add cost . £ 500 go ? although minimalist appearance quite kitch unusual really not think warrant premium pay . would expect well service 2 star Peckham . example ; suggest get cab choose restaurant ( short walk away , say 15 min ) initially object , persuade we ' it be ok will get one car take ' seem good , find £ 10 premium fare , give we impression free nevermind normal ! ask , check twice , bottle champagne put room arrival , none . tell room not available 3 , despite ask several time really not flexibility , become quite rude ask could ask make exception . bar staff rubbish seem want wind we . altogether good night party London , would definitely recommend go unless serious cash burn little reward . get impression get little repeat business location not care ! experience would good two star , seriously . 
 Jul 13 2006 	 Staff make enjoyable ( pricey ) stay 	 minute pull cab staff sanderson make we feel important special . detail , even store important camera equipment room turn , address professionally , courtesy , concern . Gary escort we room , feel weird called & quot ; freak show & quot ; ..... small , view , window not open , face fire escape , bathtub , etc . ' m big & quot ; Boutique Hotel & quot ; person , trendiness certainly make place hotel . really like big art piece . long bar clean , functional , load energy good look people . cocktail create verve panache , tasty . question answer care give every interaction staff . prepare spend ! take three friend courtyard restaurant , drink appetizer , lobster salad , sear tuna , bill $ 450 . room two night $ 1000 . , include continental breakfast , yummy oatmeal . neighborhood alive full people , reminicent Times Herald Squares NYC . conversion rate definitely good right . 
 Jun 1 2006 	 style substance ? 	 designer , time , ambition stay hotel . disappointed , WOW factor visually exciting . public area beautifully design unlike many hotel actually want spend time . bedroom however quite successful . double room , probably cheap room rate comment expensive room . room quite small , white double bed position centre space . bathroom ( shower ) glass cubicle curtain . loo ' bog standard ' evidence Philippe Starck ! shower work flood floor . shaver point impossibly position relation mirror sink plug make wash contact lense chore . heating system irratic . although look fantastic pleasure use . expensive hotel . pot tea night cost £ 14.Why hotel charge silly amount basic like tea water ? irritate make think whole place rip . word staff : fantastic ! Charm School do good job ! 
 May 29 2006 	 ok Watch Purple Bar 	 everything would rate top notch snotty hostess Purple Bar . stay hotel 5 night night ask guest hotel , clearly ask other question . usually , ask bill , one night actually stand wait bring . business client jacket unknowingly fall floor . rather pick , kick aside foot . totally unprofessional behavior hotel high caliber ( price ) . 
 May 18 2006 	 Super cool 	 Sanderson favorite Schrager hotel . lobby hip bar hip , expect . service impeccable room slice heaven . envelop sea white - curtain , bedding , floor , wall feel like be float cloud . love escape room hectic day sightseeing . top , location perfect top action . can not wait back London stay ! 
 May 15 2006 	 disappoint 	 love clean modern esthetic room . everything bright white , wall , furniture bed , do tasteful understated yet quirky way . glass wall gauzy curtain separate main bedroom bathroom room quite big ( top floor , may one deluxe room ) . use wonderful stand - alone bathtub several time trip bubble bath provide quite decadent . the hotel locate convenient area , three block near tube station ( Goodge street ) . street safe quiet , though two block away shopping madness Oxford Street . staff quite friendly helpful , hotel hip trendy & quot ; happening & quot ; bar scene . definitely design young crowd . as several reviewer mention , hotel everyone . traditional taste , like room antique chintz , Sandersons . 
 May 8 2006 	 hotel remember ... 	 take partner stay Sanderson Hotel surprise birthday , love every minute . stay one night moment arrive appreciate quirky modern nature hotel . front desk staff incredibly friendly really make we feel right home , despite fact probably usual clientele ( dress trendy / student designer / chic ) ! inform we fully book standard accommodation upgrade several level Deluxe King . room fantastic opinion adequate size . bed immense well ever spelt , soft duvet plenty pillow . decoration intrigue modern , never feel sparse uncomfortable . especially enjoy picture ceiling ! pink white curtain surrounded room provide sensual atmosphere , fact electrically control also ensure practical well look great . love feature , lighting , versatile create different mood keep room bright airy . echo previous review bathroom & quot ; wall & quot ; , pane glass separate room . curtain pull across give privacy . shower large , strong , powerful hot . fan Starcks ' design love fixture . use standalone bath nice feature . towel large bedsheet , bathrobe excellent touch . yes , mini bar expensive nobody make use . sample room service time visit either restaurant two bar , busy full life . public area hotel interesting well present , unique elevator take staring role ! hotel clearly everyone , we fun memorable night away ideal location . room upgrade , little candle light room enter , superb friendly service front desk make unique . expensive , honesty perhaps little overprice , be go blow budget would struggle find fun place Sanderson ! 
 Apr 13 2006 	 Sanderson great 	 First Sanderson great location visit London . Soho , Covent Garden , Shaftesbury Avenue , Oxford Street Hyde Park close . prepare walk 30 - 45 min Knightsbridge Museums also within reach . perfect , three night never use tube . ok look quite expensive really London term . staff excellent concierge booking staff friendly efficient especially helpful guide restaurant etc even print we map allow we walk restaurant without problem . the room quite small extremely modern ( think hospital room white ) everything work well i.e shower etc although room tv quite old keeping room . the Purple Bar great night town small busy friendly . sure long bar stay briefly many people celeb spot ! finally breakfast extremely good girlfriend say mention lift great play good tune hear London weekend . I back soon ! 
 Apr 10 2006 	 experience 	 Sanderson absolutely must ! ! room big , simply stilish .. come back afternoon find candle light .. could imagine white room light candle ? SPA enter room Heaven ! bar cocktail 5 star rate ! thank Sanderson ! 
 Mar 20 2006 	 Fab - usual ! 	 Sanderson great hotel , room trendy cool , comfortable every way . bar attract nice group people 's easy chat everyone . give place try ! not forget Jimmy Choo 's home , need ! 
 Mar 1 2006 	 Celeb spot 	 decide take young lady friend see delight Purple bar . be disappoint place moment meet concierge . I phone advance ask enter purple bar non - resident . this , tell , never problem receive email say guest list fine come tuesday evening . after browsing & quot ; rather & quot ; expensive menu decide martini cocktail ...... addictive drink 4 evening . on celebrity side thing please meet speak friendly young american lady call ' pink ' . talk small group 3 friend house States , wedding ring .. etc ... private lil hideaway celebs feel safe , chilling Purple bar , feel comfortable bringing friend there . if not mind spending quite bit money place ! ! ! ENJOY ! ! 
 Feb 23 2006 	 Awesome ! amazing ! astonishing ! triple AAA ! 	 stay Sanderson hotel 18 - 22 February 2006 , fabulous experience . everything hotel great . décor place fantastic , beautiful lobby , attractive long bar strike garden , intimate purple bar , lovely billiard room , sophisticated restaurant , stunning aqua spa area gorgeous room . yes definitely Philip Starch experience ' like style go elsewhere . service brilliant . St Martin ' lane well , nice , flagship ! stay many top class hotel London , go regular spot future . go experience something different ! enjoy ! 
 Jan 16 2006 	 Sanderson - relax sexy 	 long stressful 2005 , husband decide take surprise break London stay Sanderson hotel . husband stay business many time . often talk hotel staff , never be . the whole experience simply magical think Christmas time London make so . the room dream - like white ( amazingly clean - tell housewife mother ! ) . real treat spa - Agua - feel drift another world . thank Sanderson . chill stress Mummy ! finger cross visit Sanderson . 
 Jul 17 2005 	 hype - well ok 	 Standard room small decoration amusing day two long . premium room expensive - one find well one 's money . service excellent . bar good - restaurant poor . trendy . good weekend town . 
 Jul 5 2005 	 superb hotel service 	 second time hotel business trip . excellent service check check . room service bit overprice foreign exchange rate competitive although FX exchange within five minute walk . agua spa woth visit , buy book ahead treatment . Long Bar must , noisy jam 6 pm Friday evening , purple room rather quiet . eveyone since non traditional hotel design , fashion , media , music , de disappointed . 
 Jul 1 2005 	 overrate 	 let us start obvious - long bar great , trendy , expensive restaurant 's draw people London , fun part stay hotel . otherwise disappoint place , seem lately shrager property . service inconsistent - range calm professional aloof judgemental . room incredibly small , chic , feel cold impersonal . surprised quite noisy ; could clearly hear people hallway night long . go check , huge screw extra charge take far long necessary get settle , make nearly miss flight airport . ( extra 40 minute ! ) would not stay . 
 Jun 3 2005 	 fantastic Stay 	 husband stay Sanderson take break weekend . arrive Friday , find different world . sleek design amazing , staff absolutely amazing . manager duty check we ( Jason ? ) . know name even get front desk , remember entire stay . ask help number time throughout two night , always happy help - truly one good ever see . staff happy help , amazingly intuitive whatever could possibly want . Suzie , concierge , able get perfect restaurant we ( limited notice ) , simply ask one two question , cocktail purple bar among fine ever have . I would stay weekend fun simply unwind . hotel amazing , staff incredible . 
 Apr 12 2005 	 never stay ! 	 weekend holiday London book Sanderson hotel . 5 star luxury hotel really look forward . check , receptionist keep click away computer age ask problem say & quot ; yes , book you . & quot ; make wait approx 40 min realise room we , apparently mix somewhere ! ! ! ! make way lift find pitch black inside apart moon star decor wall , exit lift floor find also pitch black apart small light outside door illuminate room number . enter room feel like hospital ward , net curtain abundance white wall bedding . no dressing table , wardrobe one socket ( practical woman use hairdryer tong ! ! ) . price ridiculous , cup coffee @ £ 4.62 gin tonic glass water resident bar £ 13.50 . actually check day early glad get home normality . want futuristic clinical hotel , otherwise not waste time .... money ! ! ! ! ! 
 Apr 12 2005 	 modern expensive bit overrate 	 like minimalistic surrounding , hotel place . room white hardly furniture , desk bed . bed lovely though . usually trouble sleep hotelbed time . bathroom nice . Orange sink , great shower green light mirror . toilet seem bit cheap not attach well . thing bother fact closet . leave clothe suitcase . staff friendly attentive . however , dont let ARRANGE CAB ! hotel deal expensive cab - service London . partie area two night . first night hotel arrange cab we : pay 25 pound . next night arrange one ( official radiotaxi ) pay 6 pound . bar hotel nice expensive lovely cocktail . negative thing think people white bar bit pretentious . hotel locate Soho , place . street situate truely boring street Soho . hip minimalistic designerhotel well stay St. Martins Lane , hotel group . room bite small nicer ( light adjustable colour ) location much well : heart Soho street alive vibrant . 
 Apr 5 2005 	 Great Hotel 	 spend weekend hotel last month love bit . receptionist great camp concierge guy scream , come great one liner . take 13 year old daughter think fab hotel ultra cool . COuldnt quite work initially check in / check along request deal hassle free way .... wonder male ? ? think ..... great lobby , love art furniture . lift whacky think strange bad wear ! long bar trendy pack Sat night stay - although trying get 13 year old bar Spoon Restaurant situate end bar experience repeat although think fun ! waiter kindly find we another way back room finish . food service spoon excellent breakfast follow morning although be not much ! room stylish previous reviewer mention bit Ikeaish . try book Spa treatment apparently book week advance little disappointing overall great hotel would certainly stay . 
 Jan 26 2005 	 crazy place good time 	 arrive Sanderson late one night , travel 15 hour indian sub continent . bar busy , good sign , lobby crowded people . desk staff helpful ( attractive ! ) show room straight away . lift first & quot ; unusual & quot ; thing notice hotel , black dance music play background instead usual muzak . room smell smoke . not sure ( tired ) eventually decide want change , quick efficiently do . bellboy not even grumble carry bag back lobby ( although tip generously ) .Now , 's thing . Sanderson & quot ; hip & quot ; hotel , & quot ; minimalist & quot ; hotel , whatever mean . expect walk find usual comfort ambience prepare shock . nothing room . big bed middle , face away door , turn angle . write table / headboard behind bed , two bed side table . tv . strangely shape metal weight wall . 's . everything white . not even know locker ! tired little moany not mood artiness place . toilet / shower not door , curtain - automatic . sink free stand position angle room . be odd painting hang ceiling bed . however , get bed , thing start look . amazing - sheet duvet pillow feather unbelievabley comfortable . drift time . next morning , go breakfast still drool . fantastic ! not get much , get super . well poach egg ever eat , sausage great . attractive , friendly wait staff . the concierge hilarious . camp come , inform us & quot ; would not see dead darling ! & quot ; Camden , ask know area ! nice guy though , help we find obscure shop look . purple bar nice , mention other , one ! meet London friend drink , even later come back dinner , still one . main bar bustle though . not stay drink , want get back bed ! use quirky room . time get love . arrive tired long flight kinda weird , arrive open mind mood something new , great . door staff great , helpful hold taxi opening door etc . by way , not order room service , absurdly expensive ! 
 Jan 4 2005 	 stay ' New Year ' Sanderson 	 excellent time . staff really friendly make we feel welcome . two different bar choose bizarre lift / elevator around ! 
 Dec 22 2004 	 detail could well price ... 	 stay Sanderson week October . be familiar Morgans Group aesthetic approach service , surprised arrive eclectic , trendy , comfortable hotel prime location . the room comfortable , like emphasis space give bathroom . gripe insufficient storage , tiny desk , charge internet access . service - wise , let we time . first , promise Amex Platinum upgrade check - in , never materialize . cajole , offer we slightly big room category ( & quot ; deluxe & quot ; almost $ us500 per night ) . still room , albeit freestande bath . also three separate problem room service . think mostly language barrier -- not expect perfect English London . concierge enthusiastic , really inspire -- suggestion seem conveniently locate neighborhood . London big Soho . the gym good , place buzz , whole would incline try Kemps ' Soho Hotel next time want stay neighborhood . 
 Dec 17 2004 	 Great Hotel 	 enjoy stay Sanderson much , little nervous arrive due pretty bad review , already book pay 8 night advance choice continue book expect bad , surprise everything , staff , room , gym , breakfast , everything great , would definately recommend hotel London would stay ... great location ... 
 Dec 8 2004 	 come back ! 	 take wife London wedding anniversary choose Sanderson hype ... dissapointe ! everything excellent , room staff ! excellent time drink martini Long Bar ( thank Roberto ) , eat Spoon+ chill excellent Purple Bar . problem : not want go ! love design , bar eat love place . honest Spoon+ not good restaurant sure top list trendy eat hideout . 
 Nov 16 2004 	 stylish great . 	 recently London business look forward peaceful , tranquil minimalist white room stylish Sanderson . end room first floor bar live dj noisy . room far peaceful . call ask move staff polite . not room would call tomorrow move remainder trip . not call . go day eventually close bar private function . hotel guest exclude bar dining area , party live band even LOUDER . go 1 am staff could nothing help . the room okay little dark inside building . ' ve stay much light room outside would definitely ask one . still stylish comfortable dvd player nicely stock minibar . great bed bed linen . so ... ask outside room high floor fine . staff friendly , bit useless time . room service good not expect get everything order . wake - up call unreliable take alarm clock . all much prefer St. Martins Lane hotel group . 
 Nov 16 2004 	 Perfect ! 	 absolutely good hotel ' ve ever ! decoration throughout super - cool , staff really friendly feel right home ! room ( standard one ) excellent legendary glass bathroom paint ceiling reasonable size London . the purple bar tiny totally candlelit amazing martini menu - include chocolate one - £ 8 £ 9 though not go mad ! breakfast courtyard garden heater wonderful - could stay day . if love modern design want luxury without usual 5 - star snobbery hotel ! 
 Nov 12 2004 	 nightmare ! 	 prepay reservation Sanderson 2 night , $ 485US per night . amt money , would expect actually would room 7 pm try check . , shuffle across street much less desirable location . hotel put two authorization one credit card ( presumably room , supposedly prepay Sanderson ) give incidental , total $ 1200 credit still tie . second night Sanderson room , preordere breakfast never arrive . gave leave hotel waiting hour . nothing compensate financially fact move less desirable location first night , say ' sorry breakfast . ' lovely . 
 Oct 24 2004 	 Service Staff shock 	 one bad hotel ever stay . inital appreance good service staff arrogant self absorb . staff rude sevice shocking . ruin wedding nite . wife lock toilet 20mins , massage cut eye confront manager response sorry nothing ... ha .... start legal action hotel ..... favour do not book . 
 Sep 5 2004 	 Saw celebs club Soho ! ! 	 love ! see celebs fabulous night . room small , gorgeously decorate shower divine . got good rate could moan restaurant courtyard well ever burger chip great price ! staff rather annoying furniture make feel rather uncomfortable feel like art sit great stay location fabulous ! agree Purple Room , expect see load sexy celebs huddle behind exclusive ' stay therefore member ' purple curtain we Saturday night 2 am ! ! fun without anyone else stare pay £ 200 night , would think ..... love location , design , cheap food , long bar Soho expect . guess afford suite get suite bargain , may get lord really appreiciate . room rather Ikea say stay late not really care shower ..... xxx 
 Jul 10 2004 	 exceed Expectations ... Brilliant Brits would say ! 
 Jun 21 2004 	 good - Thanks Tripadvisor 
 Jun 10 2004 	 first date ! 
 Apr 30 2004 	 Sanderson -- Vast Improvements 
 Apr 28 2004 	 Sexy Sanderson 
 Feb 23 2004 	 Top - Notch 
 Nov 26 2003 	 Sublime Sanderson 
 Oct 24 2003 	 Hotel ! 
 Jul 24 2003 	 Superb 
 Jun 19 2003 	 nice 
 Jul 28 2009 	 Luxe design mais ambiance un peu froide ... 
 Jan 19 2008 	 Man muss es mögen ... 
 Sep 13 2007 	 Sexyyyyyyyyyyyyy 
