beautiful 	 Mayfair Hotel stunning - great location , clean tidy uber trendy . barely week go without photo one celebrity another see go come popular hotel . therefore , expect alot hotel . we arrive later day , reception relatively quiet , however gentleman behind desk surly , moody not look remotely bother attend we approach desk . make eye contact we whatsoever not even greet we . after give we room key walk away without tell we room , get etc .... least expect ask we want newspaper morning , need help luggage ( large suitcase ) , disappoint whole demeanour could not believe 5 star hotel checking . however , get room delight . large , clean , king size bed marble bathroom , make rude reception staff . however , 8 am follow morning , woken knock door ! housekeeping staff want make room ! 8 am ! could not believe , especially go relax weekend catch sleep . I shock later day return hotel 4 pm discover room not make , despite housekeep eager 8 am ! confront front desk , surprise surprise shrugged shoulder not really see problem . breakfast bar first morning restaurant busy . staff polite attentive , however still wait 40 minute breakfast , order la carte breakfast menu , feel wa long , especially bowl porridge order . all say , hotel alot excellent quality . bar fantastic always lively atmosphere matter time day . the spa outstanding food Amba grill delicious ( would recommend cod ! ) .It also one clean hotel ever stay in . when book room , ask one not overlook front hotel keep awake night people leave various bar / nightclub area . 
 Nov 14 2007 	 ` ` old '' Mayfair 	 stay Saturday night quick trip . want checkout update Mayfair . wonderful lobby attentive service . room ready arrive - wait 2 - 3 hour call cell ready . Room describe early design function . small room nicely appoint . many mechanical problem recommend return . bed lamp one side work . tv - actually come night . shower leak door flooding bathroom ! rush get flight Gatwick . tub must design anorectic . impossible take comfortable bath - fat tall . breakfast room service reasonably good . would go way return . many hotel London waste return one . 
 Nov 12 2007 	 expect 	 generally , disappoint Radisson Mayfair Hotel . book superior king room two night November 9th 10th . superior king , would not know stay . bed barely queen size , room quite small . one wonder standard queen room like . bathroom , although large , tub large shower two head . one sink . find narrow balcony nice spot get view . room triumph design practicality . honestly say literally hundred hotel ' ve stay , one without one single drawer entire room . two small bedside cube , one fill coffee - make equipment . old person would get get stuff beyond . closet fridge , safe iron board . one shelf way high put clothing . , live one 's suitcase . bed frame headboard cover leather look quite nice . however , bed frame protrude mattress , make sharp corner dangerous move room . go desk nicely ask room truly superior king , assure graciously take another superior king check . amenity , although large drawer closet . otherwise , large room simply contain empty space . modern design rule place chest drawer room ? lovely young woman show room advise get deluxe king next time , say quite bit large large bed . hope drawer ! plus size , staff extremely cordial gracious . room spotless . breakfast , 22 pound ( 44 usd ) quite nice . , thank goodness , include room rate . location excellent , Green Park tube station close . would stay ? probably . although London extremely costly visitor , be sure hotel equal cost roomy bed well room facility . 
 Nov 11 2007 	 nice stay 	 visit Mayfair November love it . the service excelent . concierge fix everything request . room big , big enough . hotel nice location , minute walk shopping , good restaurant , Picadilly Circus Green Park ( Tube station ) .The restaurant serve good food ... 
 Nov 10 2007 	 spacious room London ! 	 come US , not quite sure expect Radisson chain hotel . , UK , May Fair Hotel typical Radisson hotel . room update normal US size , ' m use . , bathroom double sink well separate tub shower . be quiet , lively bar . lof hedge fund guy fill place work . 's good stay business well be single . , tube station close . love location . service , top notch . friendly helpful . , check early , always nice 10 - hour flight . 
 Oct 24 2007 	 swish hotel 	 stay May Fair one night last December attend business conference next day . the hotel extremely impressive first enter reception staff extremely friendly helpful . hotel extremely busy time arrive quite late , tell non - smoking room available would upgrade superior smoking room , close inspection without prompt , front desk staff find superior non - smoking room give instead . the room quite small superior room impressively decorate - thing slightly put dark decor couple low lighting , mean not ideal work fine everthing else . as superior room fabulous walk wardrobe area - ceiling floor black marble - walk order reach bathroom . bathroom beautiful fantastic walk wet room / shower area . room service dinner delicious breakfast also good . would recommend hotel definitely superior room come London long stay think amount space wardrobe bathroom would perfect load clothe / toiletry etc . as hotel book pay firm idea room rate would not expect cheap . hotel bar look 's super trendy celebrity version Apprentice film hotel 's obviously pretty nice place . probably nice hotel ' ve stay London one nice hotel ' ve ever stay honest , Hotel du Vin high estimation room size alone . 
 oct 22 2007 	 nice building great location truly awful service . avoid . 	 room 2 hour ready arrive even though have tell phone expect we assure would ready . real problem start use complimentary shoe service - ask need shoe back evening - definite yes one we go dinner . hour go due go rang bottle opener ask bring shoe . & quot ; 5 minute & quot ; tell receptionist sound annoy troubling . 5 phone call 45 min later still sign bottle opener shoe . & quot ; yes yes , they re way & quot ; tell . manage collar guy deliver room service corridor andgot bottle opener go ask shoe . speak 4 different people keep disappear come back - concierge try laugh . eventually girlfriend rang room say shoe turn . well one desk seem know seem totally clueless uninterested . oh , shoe have not even clean ! ! also - room tidy leave dress gown heap bed / floor . difficult hang 200 quid night surely . fire alarm middle night noone answer phone rang see go . hmm , 5 star ? really .. 
 Oct 13 2007 	 Lovely Mayfair District Hotel 	 visit Mayfair Intercontinental business February 2003 . room fantastic huge bathroom towel warmer , oversized tub . suite area king - size bed cozy padded fabric headboard , comforter , heat floor . Desk , bureaus , & quot ; modcon & quot ; brit say . Loved eat - in service - food fantastic . ( never think would like poach egg try one love ! ) . skytel room , London Times deliver daily . also business area guest require use & quot ; field office . & quot ; area upscale , away Bond St. shopping , theater , cultural activity , time . staff exemplary , indeed , everyone ; staff guest , courteous . : recommend show shopping excursion , spin Millennium Wheel ! 
 Oct 13 2007 	 good location good concierge overall good value $ 	 hotel locate plush area . it be also away noise London 's tuck side street . room comfy modern . bathroom also classy . room service prompt . housekeeping job well throught day . I also great experiecne concierge staff stay . luggage & quot ; MIA & quot ; Lufthansa business class ticket concierge promptly took handle 3 hour phone hopping deal extremely limited difficult Lufthansa contract employee . I would definitely return next trip definitely recommend hotel anyone afford nag . 
 Sep 26 2007 	 go downhill since refurbishment 	 stay Mayfair Hotel meet friend weekend London . recommend hotel have stay cheap weekend friend whilst hotel undergo refurbishment . since be refurbish , seem go downhill . hotel furnish minimalist style , normally love , problem deluxe room bedroom consist solely bed , side table two chair Bang & amp ; Olufson tv wall . amenity inside bathroom glaze opaque door . bathroom door slide runner open , extremely stiff door make noise whenever open . inside bathroom nice bath shower , also wardrobe mirror room . might expect , plug bathroom , mean dry hair use electrical equipment , place plug except bedroom , use anything outside bedroom , mirror ! obviously , girlie problem , problem nonetheless ! really great evening friend , enjoy drink Mayfair bar really buzzing recommend . my overall impression hotel could great . think unfortunate room allocation think upgrade room ( pay extra & quot ; deluxe & quot ; room ) poor . also think many staff new / training check service poor issue deal . good stay previously ( even give refurbishment go ) recommend hotel partner friend , feel let stay . stay Renaissance Hotel Chancery Court , would definitely return hotel rather Mayfair . 
 Sep 23 2007 	 Mayfair Stratton 	 Nice hotel well situate Tube Station ( Green Park ) block away . easy walk Buckingham Palace , Picadilly Circus , etc . front desk staff helpful delay due room ready time . Sainsbury Market across street bread , cheese , wine , breakfast item . be expensive , everything else London . would stay . 
 Sep 21 2007 	 Pleasant particularly good value 	 location========conveniently locate minute twos walk Green Park tube station , hotel situate nice area , feel relatively safe return hotel late night . Marks Spencers locate entrance / exit tube station Sainsburys opposite hotel . useful breakfast include room rate , 20 pound person . rooms=======room spacious , large bed , large table armchair ideal read complimentary paper morning , mirror sliderobe increase feel space room . Décor tasteful dark wood brown cream climate control room effective . bathroom consist walk shower , double sink bath tv . toiletry Gilchrist Soames , mention reviewer , full sized bottle attach wall . consist hair / body wash conditioner shower area , hand wash body lotion sink another hair / body wash bath . issue actually feel enviromentally responsible , opposse large number little bottle normally provide hotel extend stay . Food=====I not eat hotel restaurant stay , breakfast include rate , not eat breakfast feel 20 pound ridiculous want bowl cereal toast . staff=====reception staff pleasant , however , check room first evening , find mini bar contain half empty bottle juice leave behind last resident . mention reception around 8 pm , ask clean ensure not go charge bill item use other , tell would done morning room service . something worth make fuss , would appreciate someone do evening , especially discover next morning tea / coffee facility not replenish either coffee . end , mini bar never empty last occupant drink give chase reception . however , exception mini bar , room well clean . value money==============while hotel nicely design furnished , good sized room feel 185 night , breakfast include , thing miss . example , dress gown provide , complimentary slipper bottled water provide room . stay business trip , company pay would return , however , hotel nice , well service available less London . 
 Sep 18 2007 	 Bad 	 stay three night would not mind stay , issue . plus side , room huge nicely appoint . location good - one block Green Park tube station . drawback include rather complicated entirely unreliable television / message system . tv would either switch main menu shut middle program turn . frustrating . hotel complementary wireless internet , be spotty equally unreliable . check - in staff courteous ( let we check early without word protest ) concierge desk seem uncomfortable dealing request . 
 Sep 15 2007 	 five star experience 	 decide take short five day trip London ponder hotel choose though least great hotel although little bit expensive . mistake . 's posh great location 's all . ordinary room not anything special offer . first floor corridor make marble reflect noise back room . Bang & amp ; Olufsen tv set good sound system . Bathtube small spill water run door another room sewer outside bath . Financial Times Daily Telegraph get deliver door . concierge service work well . housekeep good job work evening . business center five internet connect computer , printer xerox . at first get wrong room room service deliver decide not exist hotel . well , sorted phonecalls really not happen hotel like . room service food ok course expensive . minor annoyance also two false firealarm middle two night . give feedback minor glitch compensation offer . perhaps nice hotel old people stay business young people stay fun . 
 Sep 10 2007 	 Disappointing 	 overall , fairly disappointed hotel . having read review look website , expect 5 star treatment start finish sorely disappoint . our room stylish extremely small could see make exclusive hotel . issue mini bar would open - four call reception , someone finally came repair . also request sunday newspaper never arrive . for amount money pay , would stay again . it incrediby rate hotel stay well four star . 
 Sep 4 2007 	 lovely hotel excellent location 	 book via [ -- ] ( one top secret hotel deal ) easily able identify hotel . pleased room size bathroom fantastic . sure get extra upgrading Executive King Size happy overall . bar bit pricey much London Bars , sure go Amba Bar rather busy Mayfair bar unless like noise ! location ideal , within 5 - 10 minute walk Piccadilly / Leicester Square room peaceful set back main road . 
 Sep 4 2007 	 Dodgy Admin Great Hotel 	 reckon hotel great value money consider London price excellent location . staff friendly helpful bathroom ceiling leak result occupant leave tap upgrade immediately give complimentary bottle half decent wine . however , discover new room already occupy disgruntled barman insist room try sign 48 pound bar bill . order make amend , duty manager wipe bar bill invite partner complimentary breakfast pay price 22 pound head , bad . , ' ve find british hotel prone administrative cock - up however professionalism staff May Fair make . point note great contempary design lively obviously expensive cocktail bar . finally , agree point regard fix soap dispenser bathroom - pain fit hotel image 
 Aug 28 2007 	 Fab time May Fair 	 fab hotel . stay May Fair husband anniversary would not hesitate re - visit . location superb - exit Green Park tube Stratton Street . 2 minute greet door smart guy bowler . reception chic , marble staff helpful welcoming . arrive midday expect leave case go day give room straight away . husband love Bang & amp ; Oluffsen TV . bed huge trouble find . bathroom great shower bath . breakfast buffet style waiter service hot breakfast plenty choice . find bar quite expensive 's fairly small . watch 12.5 % gratuity add automatically . min walk away Ritz Hard Rock Cafe . perfect luxury break . 
 Aug 20 2007 	 lovely hotel 	 stay wife night stay London watch show . staff friendly , room ultra chic , bang olufsen tv wall .. double shower , bath , room ready 11.30 nice , 10 min stroll regent St Picadilly , Green park around corner along Buck Palace . got back hotel bar 11 night , swish cocktail , worry spending money , not go , fact not go pub London , expensive , hotel . we enjoy try different cocktail , serve smile , breakfast nice experience , try book hotel breakfast include , fry , nice , could ceral etc , great place stay trendy part Mayfair , £ 10 cab fare Waterloo ... 
 Aug 19 2007 	 good stay May Fair 	 return four night stay May Fair Hotel . arrive 6 pm tell hotel full previous evening housekeeping still prepare room ! point guarantee check - in 3 pm , travel day , room suddenly materialise - could ask well one . spacious , immaculate good sized bathroom , top end range fitment ( Grohe , Bang & amp ; Olufsen ) , bowl fruit water room arrival . Breakfast delicious waiter service . avoid May Fair Bar unless young , trendy rich ( ! ) - music loud , drink expensive . 12.5 % service charge automatically add bill . mini bar hotel room well stock pricey . staff friendly helpful , especially concierge . would recommend hotel , book Superbreak ensure get good rate . 
 Aug 18 2007 	 NIce not mind feeling like be London 	 book 2 room 4 night stay London use United Airlines mile , room free . ( not many way use United mile hotel ! ) . United deal Radisson , own several property London edwardian name . check United website . room large across hall . upgrade one room , see size regular room , need not upgrade . per many review , room large . taste hotel room bit austere . feel like could city world . retrospect , would preferred feel like London . the go neighborhood . quiet , street business , local character . we 2nd floor , would expect since room pay coupon , want 2 room close . afraid street noise , even room face front entrance , problem . street quiet . eat neighborhood teenager problem breakfast . 2 starbuck , quick easy sandwich place . market across street convenient . Hard Rock Cafe 5 minute walk . the Green Park tube 2 block away , convenient get anywhere : one stop Westminster Parliament , London Eye , etc . Julien concierge staff able get we ticket event , quite helpful . all good hotel , next trip would look hotel near Covent Garden Leicester Square otf & quot ; London feel & quot ; . 
 Aug 10 2007 	 wonderful stay 	 book 3 night Superbreaks theatre weekend break . the hotel 2 minute Green Park tube station Piccadilly Circus Leicester Square short stroll away - ideally locate theatre night life . on arrive check quick personally show room large airy . the room lovely - mini bar bit pricey ! although room service afternoon tea champagne ! can not fault anything hotel . all staff polite helpful . the breakfast lovely ! meal totally recommend ! always say have never go back hotel twice 's always nice experience other ; case will change rule slightly definitely stay . 
 Jul 29 2007 	 Superb Short Stay 	 book two night break May Fair Superbreak deal . arrive Hotel 11.30 a.m. room ready . that s first . this set trend next couple day . room excellent good quality furnishing yes large standard let alone London . could not fault staff always helpful polite . breakfast good staff faultless . we regular visitor London stay considerable number Hotels area . May Fair come top look stay next time visit . 
 Jul 28 2007 	 Mayfair fantastic 	 stay hotel three night last word luxury . pay bit extra luxury king well worth . room simply wonderful even television end bath ! staff helpful make break memorable indeed . breakfast die fiancee steak still dream ! fresh fruit top quality strawberry , rasberrie , mango list go . decor amazing walk around hotel like walk around art gallery . stay fantastic experience . 
 Jul 26 2007 	 Loved May Fair 	 book two night Theatre break wife birthday present stay hotel . the booking make Superbreak . this wonderful Hotel -we spend lot time certainly wish have . the room spacious well equip bathroom . the Hotel recently undergo £ 70 million refurbishment . no expense appear spare -the quality furniture fitting impressive . check checkout go smoothly , staff helpful attentive . as part deal chill bottle Champagne room arrival - marvellous . 
 Jul 24 2007 	 ok 	 hotel great location Park Lane Stratton Street mean 's lot quieter Park Lane ! reception area nice staff extremely helpful check - in , arrive room ( pay Deluxe ) large , great wardrobe , massive bathroom B & amp ; tv system . room comfortable well worth pay large room . however , day 's shopping go bar drink 15 minute acknowledgement waiter / waitress go Sainsbury 's opposite buy drink take room . way however , concierge helpful recomme good bar go meal . the downside sound insulation room , 2am party people decide drunkenly return room proceed wake we up . also , unless be prepared pay £ 15 per person use sauna etc . not bother take swimming trunk ! pleasant stay good staff , be somewhere would return hurry - 's many good hotel kind price London . 
 Jul 10 2007 	 great location comfort 	 stay one night Mayfair hotel secure good rate Lastminute.com . hotel would match price £ 100 cheap advertised rate . on arrival check easy efficient . request quiet non - smoking room disappoint . room 7th floor overlook rooftop away road noise . room huge London standard , spotlessly clean , comfortable - bed die ! also huge bathroom double basin shower bath . toiletry large bottle plentiful , menas can not pinch leave ! room complimentary tray bottle water , small box chocolate apple . also movement sensitive mini bar although cost high - 's cheap go Sainsburys across road ! drink bar , expensive location mean within walk distance cheap establishment . walk Harrods also leicester Square easily hotel . we definitely stay Mayfair look deal rather book direct . 
 Jul 7 2007 	 Classy establishment 	 fiance stay hotel 5 time past 12 month , thank fabulous rate find lastminute.com ( check top secret hotel rate work one Mayfair ! ! ) always pay £ 125-£145 night 's stay contemporary deluxe room ( one high standard ) never disappoint . the hotel locate 3 minute walk Green Park station 10 minute brisk walk Oxford Street . Sainsbury 's metro opposite want buy provision also starbuck round corner not fancy pay nose hotel breakfast . we always find reception staff friendly escort we room one occasion , think nice touch . the deluxe room fantastic . colour scheme beige brown look far nice sound . bed die ! room spacious cluttered lot furniture - not like room little minimalistic contemporary , probably will not like place suit taste perfectly . the bathroom absolutely huge double sink , bathtub separate walk - in shower . two occasion lucky enough tv bathroom , soak tub watch tv time ! one thing note , room face Berkeley Street , might get bit noisy . last room face Berkeley Street opposite club Funky Buddha also look second floor Nobu Berkeley - actually enjoy nosey ! ! rather picky , swish Bang Olufson tv room look tiny comparison size room - room much large would usually expect London ! never use Mayfair Bar always heave people Saturday night . we back soon ! 
 Jul 2 2007 	 satisfactory 	 nice hotel , question , certainly 5 star hotel website would believe . pay 500 pound 2 night accom , without breakfast , felt get value money . good location adequate faciitie , not expect blow away . 
 Jun 25 2007 	 Birthday Remember 	 wife stay Radisson May Fair weekend 40th birthday . travel London retail therapy see show Saturday evening . originally book stay sister hotel elsewhere West End arrival inform hotel overbooke move . awkward silence anxious glance round - look forward weekend age even phone hotel day make sure everything order . we need worried though , whisk black Mercedes across West end May Fair Stratton Street . hugely impressed everything - check handle efficiently professional staff room spot - modern tastefully decorate complete Bang & amp ; Olufson tv comfortable bed . bathroom outstanding - black grey marble complete dressing area . room 5th floor quiet peaceful . we return hotel Saturday evening show ( hotel situate 200 yds Green Park tube ) spend hour bar . bar DJ throng people - many non - resident would suggest . good thing many hotel bar often dead soulless place . warn though - price stratospheric . really surprised watch countless Bentley Continentals , Rollers , Mercs Maybachs drop wealthy patron Nobu night spot vicinity . breakfast next morning delicious serve friendly staff richly appoint restaurant . atmosphere relaxed make whole experience pleasure . would come back ? bet - really lucky move would hesitation return . wife think fabulous - 's good enough ! 
 Jun 21 2007 	 Loved May Fair 	 hotel nice indeed , room large nice seating area & amp ; quiet . decor lovely , chic & amp ; modern . location unbeatable short walk Green Park Underground station . lot lovely shop close . bar also nice & amp ; busy weekend , look straight across Nobu ! would definately stay . 
 Jun 18 2007 	 mixed feeling 	 check professional , staff welcoming . room spacious enough technology baffle somewhat . hotel guide far adequate . low bed corner ideally line bruise leg , however bed , excellent sleep . one chair , uncomfortable . quiet room ( sixth floor , end corridor ) . find way difficult , poorly sign . room service good . bathroom ok hate soap shampoo dispenser . try get soap one plunger non - operative ! seat bar awful , bruise leg table . automatic charge mini - bar . Windows non - opening . , fine single night . however , price reasonable location . really chic , rather dreary . 
 Jun 17 2007 	 Medium Hotel - Glad get Cheap Deal 	 Hotel , nice . get wrong , although might think otherwise , read .. hotel unrealistically overprice . eg . - double vodka coke cost £ 16 , twice Monaco price , beleive Monaco quality hotel . also , £ 45 per day valet parking , complete extortion ! think someone knock price director Radisson earth , clearly & quot ; class tree & quot ; . also , stay many , many 5 * hotel life ( average 3 per week ) , never , ever , ever experience hotel ( even 2 * hotel ) does't sell cigarette ! shocking ! ! .If one concierge's / hotel staff not offer cigarette ( staff cater customer , 5 * hotel ) , would dismiss early opportunity .. hotel downgrade 4 * least ! ineptitude be good ! everything else good .. 
 Jun 12 2007 	 new chic May Fair 	 review justify since stay hotel May 2006 refurbishment experience inconvenience other talk . however , even , staff friendly , give hotel another chance . glad ! new May fair contemporary , chic property combine excellent service friendly staff , GREAT experience . Radisson flag unfortunate . deserve much well . the hotel excellently locate ( Picadilly , short walk Regent Bond Streets Leicester Square ) round corner Hyde Park , nice city spa , top grade casino , happen extremely popular bar , good restaurant staff need comfortable stay . Daniel , one concierge , get we impossible - to - obtain ticket hit West End show Saturday night . family ( wife two child ) spend 10 night May Fair May ' family ' room , rare commodity London . room Bang & amp ; olufsen television set , designer bed ( still miss bed -- really comfortable ! ) , two king bed , walk - in wardrobe , designer toileterie , four - fixture bathroom ( plasma tv bathtub ) yet another three - fixture bathroom . whoever hear two bathroom one room , , London ? bonus : free computer use , colour printing internet business centre . pay nose facility elsewhere , think nice touch . we love new May Fair sad leave . one hotel keep go back . recommend strongly enough ! 
 May 23 2007 	 ok 	 hotel good great . staff friendly helpful room clean nicely kitte , bit sparse . ' m fan minimalist modern look take extreme , mini bar ( card say phone want we bring choice , check 11 pm last thing want wait room service bring glass water ! ) , kettle make tea coffee , bottled water . expensive drink , ' m well use London price £ 4 fruit juice seem steep , must 1000 % markup base price carton . say , everything nice . despite lack mini bar kettle room comfortable , spacious clean , bed almost well , good tv , nice bathroom , great location helpful staff . 
 may 21 2007 	 Nice Hotel 	 stay five night though little pricey U.S. standard nice stay . deluxe room spacious nice shower / tub combo tv . staf friendly helpful get restaurant reservation theater ticket . really enjoy time would visit . 
 May 18 2007 	 good expected 	 stay friend Mayfair Sunday night . on arrival , lady reception make effort smile . after check - in , room bit small , change twice , get king deluxe room brilliant huge standard . the room nice walk - in shower bath tub ( deluxe room , standard room either shower bath ) .I think 's big difference room size , since could compare standard one deluxe one . they bang olufsen ( sorry spelling ) tv , nice touch toooooo small.you need binocular want watch tv lie bed . I ask european adapter plug laptop reception , say one available sale ( 5 pound ) .i find extremely rude hotel standard sell plug ( hotel , either plug lend u one ) .Breakfast cost 19 pound ( 30 euro ) , rip - off bear mind not freshly squeeze juice ( fresh orange juice , bottle one ) fruit selection small . it be half la carte half buffet , order freshly squeeze orange juice , surprised say not it . the pastry nice anyways ( mark 's spencer one much well ) .there 's sainsburry supermarket right front hotel , mark spencer 2 minute away ( be also underground station , green park 2 min away ) .I would not stay hotel , especially pay 280 pound night . for price , u could get well thing . to sum , take plug , u not wan na pay 5 pound , avoid expensive breakfast ( starbuck around corner coffee mark spencer pastry good option ) .The room nice , get deluxe one . enjoy . 
 May 13 2007 	 fabulous weekend . 	 contemporary , smart hotel . check excellent . beautiful room - unfortunately , noisey neighbour bad first night sleep . hotel staff excellent ask could move another room . move immediately question ask . one recommendation , book , request inter - connecting bedroom - think neighbour seem even louder . wonderful weekend would highly recommend hotel . food drink expensive hotel . not book breakfast hotel - several cafe serve breakfast excellent value money ( around £ 4 full English ) . 
 Apr 20 2007 	 Nice Hotel Great Location 	 ' ve stay May Fair couple time renovation first time since become Radisson Edwardian . lose 's former charme , modern stylish , overall renovation lot good . room large London standard comfortable . good though , compare Marriott Starwood , disappointingly overly comfortable bed , stylish still warm room decor standard would expect 4 star hotel except decent desk work . large bathroom seperate walk shower short hotel regular shower head . sound picky , well styling finish renovation would expect attention detail . nice bar lobby look really good rather low ceiling complain - one would want get picky . service excellent every aspect . overall good hotel great location right heart Mayfair . Green Park tube basically around corner Piccadilly , Oxford Street , Hyde Park Leicester Square within comfortable walking distance . 
 Apr 15 2007 	 Loved hotel hate noise 	 arrive Mayfair pleasantly surprise new accommedating staff be . the hotel totally renovate convenient everything clean modern . mayfair secton pretty safe . however , 2 room face Stratton St night grocery store across street receive ' delivery 11p.m . -2a.m . additionally , nightclub area close sometime around 3 a.m. noise customer talk even scream unbelievable . also , car alarm go people try locate car middle night . I would stay , however , room not face street . 
 Apr 12 2007 	 great Stay Mayfair 	 return UK family love accommodation hotel ! location perfect -- grocery store , drug store , tube station , major attraction step away . previous poster mention dislike bolt soap / shampoo out - of place hair dryer ; bother whatsoever -- like traveler -- bring toiletry hair dryer situate walk - in closet allow two people get dress & amp ; groom time . allergy sufferer , appreciate minimalist room decor less furniture mean few dust mite . teenager enjoy internet access , management realize maintenance immediately replace blow lightbulb , complementary bottle chill french champagne send room . staff consistently go way make we feel welcome , family look forward stay Mayfair next visit London . 
 Apr 2 2007 	 Nice Hotel could improved 	 stay May Fair ( Radisson Edwardian May Fair Stratton ) 2 young kid another relative entire week family room ( 2 double bed ) , husband , business , single room ( double bed ) . able rate type room . secure slight discount hotel 's website . like place would recommend overall terrific location ( block Green Park tube stop , across street Sainsbury , around corner boot , several inexpensive takeaway place like Pret Manger nearby , also close picadilly main attraction locale Buckingham Palace ) . mention , couple nuisance could avoid need correct hotel hope maintain good reputation among business leisure traveler alike : hotel nice decor , ambience , part , service . other report , furnishing sleek modern , truly 's case form function . would much preferred basic sofa comfortable armchair , impractical glass table contemporary furnishing . nowhere spacious room sit , bed space - agey chair kid decide fun spin . Bang Olufsen flat panel tv high end small large room , could barely make screen bed across room . the place clean public area well room . aware bar main reception area lot smoker , permeate lobby sometimes , esp . evening . hotel security precaution - you need room keycard activate elevator go up . we stay high floor quite nice . quiet . housekeeping punctual , little eager . hotel use maid light switch turn inside room , outside tell want room make . also switch disturb signal . trouble , bet sometimes guest leave room day , forget turn dnd switch , depend room , necessarily locate door . one morning , maid , despite see dnd switch , knock , announce , OPENED door come room , everyone fast asleep , shade draw . apologize , little annoyed -- really inappropriate . another poster already point odd hairdryer bolt drawer closet . , nowhere near bathroom . way could dry hair bathroom , turn , wake everyone else room . well think . think pay $ 400 night hotel , trust walk $ 15 hair dryer . must lock , bathroom , people would use appliance ? toiletry arrangement also nonconventional , shampoo conditioner dispenser bolt bathroom wall instead small bottle would far convenient use . bathroom family room luxurious soak tub handheld shower ( high end , Grohe ) separate glass wall shower stall , also equip handheld shower , addition overhead shower head . bathe tub wish use conditioner , stand , exit tub , climb shower use conditioner pump . sure whose bright idea , find unamuse . 2 little bottle conditioner , bathing station , like even cheap motel would provide ? Doormen extremely polite helpful , always ready open door assist cab matter . place patronize many child , though see quite family week . really go way greet kid make feel home . appreciate that . concierge staff seem available almost around clock overall decent - some well ( polite , knowledgeable / resourceful ) other . one rather sniffy french staff member serve purpose exactly warm fuzzy . contrast , concierge staff cordial , greet we day cheerily , assist various touring need , help we find economical choice transport back Heathrow , tend question get ticket attraction . we request early check flight arrive mid morning , end wait 2 pm . receptionist apologetic , room ready 2 nose . not mind all . Front desk staff inconsistent . try hard , many trainee week stay -- young people speak lot English . attempt pull ultra chic , Euro look / polished appearance , folk articulately handle simple guest question barely intelligible give initial room tour hotel introductory presentation . room climate control interesting . room always way hot stifle , matter thermostat . husband 's room perfect , however . Minibars room fully stock daily . could use refrigerator - I expect , anyway ice bucket room , Europeans use ice like , surprised upset this - that be cultural difference . my husband order room service morning , one day food never come . eat restaurant , rate service / food average - nothing inspiring . breakfast include price , consider eat around corner Katie 's La Strada , two reasonably price cafe serve wide range breakfast lunch plate . fast service , friendly . breakfast 4 pound would cost 20 Mayfair . also starbuck around corner , Marks Spencer takeaway food place , option . bed ultra comfortable . sleep like rock every night . feel hotel bed -- sheet duvet high quality quite cosy . the one drawback really feel unforgivable poor wake call system . ok , be bad enough clock anywhere room ( one seem able figure be - despite super sleek fixture elsewhere room ) . , find wake call system quite inconsistent . first day , automate call came schedule . one day , fail work . ok , figure , glitch there - it happen . warn front desk get call next day leave catch flight not room delay . apologetic assure problem would repeat . true . however , day later , husband request early morning call order catch 8 flight back States . lucky , even though call never CAME , awaken , albeit 15 minute plan leave hotel LHR . really unacceptable . depend wake -- 's take home message . bring clock . seriously . love free internet / wifi . 's great feature . use gym can not report spa . 
 Mar 23 2007 	 gem jewel Mayfair London 	 visit London 26 time consider pretty knowledgable deluxe hotel . stay May Fair quick weekend getaway London stay Friday Saturday night . the location fabulous . Smack middle May Fair literally around corner ( Stratton Street ) Green Park Underground ( Victoria , Picadilly Jubillee line ) . nice thing Statton side street dead quiet . Tesco Metro across street soda , sandwich snack . the hotel recently redo modern touch decor room lobby lounge ( hop Friday night ) restaurant . room large standard huge London standard . bathroom separate wc main bathroom separate ( huge shower area bathtub middle bathroom . bed extremely comfortable fluffy pillow . the staff include concierge front desk great . 3 course dinner get tired dessert . ask could sent room minute get dessert arrive . food amazing , especially sear ahi tuna appetizer . another deluxe touch complimentary show shine . give boot dinner back room return . I would highly recommend hotel . everything deluxe . hear staff famous people stay . ' m famous happy hear taste famous folk .... 
 Mar 20 2007 	 Wonderfull hotel 	 stay 2 night trip London ( mother day gift mother ) . Booked Top Secret hotel last minute website . arrive hotel 2 pm check time show room immediately . room huge , ( deluxe twin ) comfortable bed amazing bathroom tv bath . hotel staff great - call hour check check everything ok duly attentive throughout stay . hotel location fab , 5 minute Green Park , walk distance Picadilly circus China Town , 3 minue green park tube . great stay would use hotel . 
 Mar 19 2007 	 Excellent base 	 stay one night . one good business hotel use . check faultless , room spacious clean . room overlook internal courtyard much view lovely quiet . would first choice weekend break . 2 min Green Park tube . lot restuarant locally couple good bar . 
 Mar 16 2007 	 Heaven ! 	 say enough good thing hotel . husband celebrate anniversary stay one night . upon arrival receptionist ask special occasion promptly upgrade we suite send we complementary bottle wine . lovely ! even call we later night see happy room . would go back heart beat . 
