Fabulous 	 could fault hotel - great location , lovely friendly helpful staff , spotlessly clean , comfortable bed .... everything could hope . Loved much intend stay next week ! side room service menu operable 10 pm find mass selection fast food joint around corner stem hunger ! 
 good location 	 hotel 's lobby small nice . room nicer small . like bathroom white plastic floor shower cheap ugly not fit rest bathroom nice . design room furniture ok . bed good . internet free ( WiFI ) fast . would rate hotel 2 - 3 star . location good come train Heathrow airport . check slow miss & quot ; welcome & quot ; . lady reception bad mood helpful . food roomservice avarage . room expensive even discount rate . next time try hotel London . 
 lovely 	 pleasure stay Hotel Indigo London Paddington 2 night . initially issue double charge booking , however end sort . stay exceed expectation would happily return . the Hotel perfectly locate near Paddington Station within easy access variety restaurant ( find hard choose go ) .Found staff helpful knowledgeable go way assist . request action quickly smile could not ask professional , helpful , care friendly staff . end day great room , however 's staff make stay good bad . Hotel Indigo staff pleasure interact with . while room small ( one twin - bed room ) , boutique Hotel , room abundant feature comfort . rain shower well receive Ipod dock . bed extremely comfortable spacious layout also good . decor excellent 's nice see Hotel not afraid splash mixture colour . carpet hallway look amazing bode well rest interior . hotel well design 's amazing think 's large number room locate within facility ( especially see exterior size Hotel outside ) .I would definitely return Hotel would recommend friend family . experience initial issue , overall could not ask well stay . hotel alot go require accommodation Paddington , would definitely recommend consider Hotel . 
 Artsy boutique hotel -- comfortable clean great location 	 Indigo 3 minute walk Paddington Station , directly connect express train Heathrow Airport . locate street lot pub , small restaurant , etc . area pretty urban night ... single woman people small town might feel uncomfortable , not think unsafe . room small US standard , big enough . bathroom quite modern plumbing work ( always case UK ) . new hotel , even month clean , seem well maintain . staff helpful , not think native English speaker , communication take little patience . 
 Feb 1 2009 	 Nice Hotel edgy Paddington 	 stay two night superior single , room small furnish high standard , comfy bed great rain shower toiletry . Philips Flat Screen tv good standardvery helpful reception staff literally minute walk Tube , give District / Circle Bakerloo access Paddington main station5 Minutes walk road Hilton Metropole pay lot standard room Indigo provide . will stay soon 
 Jan 31 2009 	 up down nice part London 	 bed lovely . shower die . toiletry ( Aveda ) fab , towel thick luxurious . decor nice . room , though extremely small ( even London standard ) contain king size bed , pleasant location great . the service , hand , well meaning , intrusive . we offer complimentary newspaper - lovely . deliver knock repeatedly door ten seven . Saturday morning . 3 morning fire alarm - ring room recording say evacuate build immediately . 7:30 a.m. - joy . first morning - get ready hurredly - tell get downstairs false alarm . not record message tell room , perhaps . alarm test weekend morning . the turn - down service let room unannounced ( eek ! ) . partner check Monday go work , explain still room would another hour . Disturb sign door . staff let anyway get shower . eek again.so - nice hotel , staff need iron kink . 
 Jan 31 2009 	 lovely place 	 fly London stay Indigo Paddington week . brand new hotel , opinion lovely place stay . staff extremely helpful interested guest issue appear proud new hotel . the single room admittedly rather small ( nothing new London hotel ) size matter slightly exacerbate due size bed generous . the hotel spotless , excellent housekeeping decor . would certainly stay wholeheartedly recommend . even location - wise spot - 100 m Paddington Station . 
 Jan 22 2009 	 good new Hotel 	 stay Indigo first week opening . room well design thought , modern stylish affordable price . high quality guest product Aveda . a thing not work ( elevator , computer , shower first ) forgive hotel brand new . would stay . 
 Jan 19 2009 	 impressed everything hotel offer 	 second time wife stay Indigo . occasion impress everything hotel offer . especially love design attention detail . the Customer Service absolutely superb : every member staff seem proud hotel ! not usually take time write review , experience occasion warrant effort part . the location also excellent , easy access Paddington station underground make key attraction easy reach . we make number 1 hotel travel London recommend friend family . 
 Jan 17 2009 	 Excellent NEW Indigo - Raising 4 Star Stanard Bar 	 Booked hotel two night 8/9 Jan via lastminute.com find later would got well rate book direct hotel web site . I agree previous positive comment wonderful new hotel , beautifully design lot extra . double room front hotel quite . large person 6 ft 6 in & amp ; 19 stone - double bed ( even ) large & amp ; comfortable , room excellent amenity well lay & amp ; amazing ( size ) comfortable shower . room small handy fridge . be new hotel - everything NEW keep spotless . I minor issue ( ) burn bottom twice towel rail exiting shower ( b ) Hotel Fire alarm go 7.30 ( i.e . false alarm ) ( c ) room bright night due white screensaver turn iPod dock / clock radio new IP phone . ( ) charge internet via tv mention hotel web site ( though free WiFi room & amp ; hotel . overall excellent hotel ( attentive pleasant staff level ) set great location easy local dining & amp ; transport . problem highly recommend hotel great new facility & amp ; excellent value money may available return…again…….again … .. & amp ; … … again . 
 Jan 13 2009 	 wonderful service 	 return 4 night stay new hotel .Very convenient need . wonderful room , well service could nice . highly recommend & amp ; hope stay ! 
 Jan 6 2009 	 wonderful Hotel great location amazing price 	 londener look hotel night treat friend birthday find Hotel Indigo online get great rate . wonderful hotel , beautifully design lot extra . large room front hotel noisy surprisingly london road . bed large comfortable cozy , whole room please excellent amientie , amazing shower lot nice aveda product . staff helpful check quick easy . hotel right tube station bus station taxi rank easy transport . overall excellent hotel set great location , definatly treat . 
 Dec 24 2008 	 Wonderful Design 	 stay Hotel Indigos USA love design informal feeling chain , eager try Paddington property open . previous reviewer mention , lift work . however , staff hand take luggage room . room reasonable - sized London standard , absolutely beautifully design - comfortable bed ; excellent working desk ( free wifi ) , 42 in tv , safe , mini - bar ( although operational ) , tea / coffee / biscuit / water & amp ; excellent shower . complaint room iPod dock / clock radio , could get work properly . have breakfast Phi Cafe Bar , well design open street , therefore like upmarket coffee bar hotel restaurant . definitely return , hope Hotel Indigos open UK soon . 
 dec 23 2008 	 Hotel Indigo fair Handicapped person 	 night Monday Dec. 15th 2008 - Hotel Indigo kick friend hotel elevator break ( way hour -from around 3 pm return hotel somewhere around 8 pm Dec. 15th , 2008 ) claim travel company never tell handicapped . total bologna put we beautiful , wonderfully wheelchair accessible room # 501 . plus friend 's travel agent know 's handicap , 's use company several year . anyway , manager claim know handicapped meant - them- felt obligated help find another hotel . argh ! DUH - can not walk -so wheeled register , meaning could see eye wheelchair . room set accessible one put we ( room 501 ) . oh , tell could stay -which cause jaw hit floor . way heck ' going leave friend alone street London anywhere else matter . get cab , book room different hotel , rebooke flight leave London 24 hour . 
 Dec 10 2008 	 impressed new hotel 	 stay Hotel Indigo one week IHG open first London property brand . although check little slow ( guess staff still train ) , find service amenity property good . the decor large photomontage Paddington area lot reference Fibonacci sequence ( tie spiral Indigo logo ) refreshing , particularly impressed corridor ceiling mural bright striped carpet . lot think go design small well equip room , like fact wooden floor large rug give contemporary feel . nice touch like trolley / tray breakfast bed , large couch front oversized LCD screen , free bottled water , free WIFI . light room good , one small criticism new IP phone white screensaver turn make room light night ( put pillow mine get sleep ! ) : understand manager going fix soon . bathroom , although small well fit Grohe Rainhead Shower , Mood light lovely Aveda toiletry . one small niggle notice sign normally get hotel wash towel environment , consequently turn service use towel get change give whole load toiletry really need . breakfast follow morning good , whole enjoyable stay . back ... ! 
 Sep 24 2009 	 UN HOTEL TALMENTE BELLO CHE e ' STATO DIFFICILE USCIRNE ! ! '' 
 Aug 19 2009 	 diferente con personalidad . diseño 
 Jun 16 2009 	 Schönes Designerhotel nahe Paddington Station 
 May 10 2009 	 Designer - Zimmer i m Kellerverließ 
 Apr 19 2009 	 Modernes kleine Stadthotel 
 Apr 14 2009 	 Buenisima impresion 
 Mar 25 2009 	 ? ? ? ? ? ? ? ? 
 Jan 19 2009 	 Un fantastico Indigo Hotel 
