suit 	 review state , room small date clean , staff friendly , drink service casino good , excellent location . dollar would probably stay GN next time . 
 Good Value Downtown Las Vegas 	 return 6 - night stay Four Queens . room little date , clean comfortable . 's iron board iron room , really appreciate coffee maker room . also safe big enough fit laptop , good . some people talk say water pressure shower way high , make uncomfortable , not problem . bathroom small , though . the hotel great location , Fremont Street Experience right outside door , able go see whichever show want see throughout week without make special trip . also , deuce bus Strip outlet store nearby , be really convenient . stay Strip , take bus get anyway , stay downtown seem well . get see whatever want Strip , see Fremont Street would otherwise . plus , four Queens Casino one place find 9/6 jack well video poker . manage get royal flush , trip pay ! 
 4 Queens= Silver Strike 	 arrive hotel register easily quickly , front staff friendly effeien , long line . garage space self park park unload luggage . would suggest parking top floor next elevator , crowd . ( think charge $ 3 parking per day room ) get nice room high floor # 1821 , upload picture , see . room clean , quiet killer view . clean people nice polite . Sign member card give free slot machine credit discount restaurant . would recommend restaurant , food taste old , freezer make waitress aloof cashier ok . room service answer , eventually call back room : c husband love silver strike slot , red silver . , overall great price , live little book fun budget hotel : cheer 
 downtown exprerient 	 return vacation Las Vegas .. stay Four Queens , little scared reading review traveler .. state room small staff rude .. etc .. actually great time .. room clean bed comfortable .. stay 3 night pay $ 27.00 night & amp ; 2 night free . plus $ 50.00 com . slot machine . not pay parking like another traveler say . staff nice friendly .. room clean daily would definitley stay .. 
 Mar 21 2008 	 Four Queens Hospitality 	 anyone planning trip Las Vegas like lay back feel Fremont Street give Four Queens try . stay several time find well hotel anywhere . March 2008 come Nascar race . actually book travel agent time ( always use Expedia prior ) friend friend . stay Four Queens . however , due leave , blizzard hit hometown Columbus , OH know would stay Vegas couple day . immediately head Four Queens give room two night stay complaint four Queens . never stay anywhere else wife agree . one match four Queens friendly atmosphere , excellent service , great food many reason . stay four Queens Nascar race March 2007 , wife become seriously ill transport emergency room . security swift respond helped deal bad situation . wife ill enough able depart schedule . management Four Queens say stay room long necessary turn five extra day . believe even consider stay anywhere else 2008 . know never . try four Queens . WO not sorry ! ! ! ! ! ! Larry & amp ; Vicki Doles , Columbus , OH 
 Mar 14 2008 	 perfect location downtown LV ` ` Freemont Experience '' 	 stay twice one month . need inexpensive hotel close destination . not gamble , say casino one . elevator fast . housekeeping staff consistantly thing appear destructive hotel . stay , different room , different floor : housekeeper unplugged bedside lamp . night , husband pull bed away wall order plug lamp back . enough electrical outlet . shower tile one room lovely pink ; marred black gunk grout towards ceiling . water faucet keep dripping . hotel appear spend lot renovate . hotel need take hard , cold look housekeeping staff . Magnolia restaurant ok , sit table overlook casino . the lobby open casino . casino lead Freemont Experience . enjoy free night - time entertainment : four block long video screen , band , several artist paint various kiosk , shop , jewelry vendor . definitely stay downtown next trip , may look hotel . 
 Mar 13 2008 	 would stay 	 nice stay overall . quick check in / out . helpful staff . housekeeping respond quickly request . nice room though bathroom small spend much time anyway . I always trouble sleep hotel bed .. comfortable . we 17th floor impress quick elevator .. magnolia restaurant excellent deal player card .. good size portion tastey ! ! ! casino slot machine tight everywhere .. sure bring plenty cash that s thing . utilize deuce bus transportation .. $ 5 24 hour . pickup block deuce come quite often sometimes back back . be sure reserve airport shuttle day departure .. issue a / c seem turn daily 1200 - 400 issue time year could hot season ... 
 Mar 10 2008 	 great staff food service ! 	 stay four Queens since Lady Luck close . yet disappointed service , friendliness staff , room cleanliness . rate great hotel . 
 Mar 9 2008 	 Great Downtown Hotel 	 love hotel central downtown location perfect see Fremont Street Experience . short walk parking garage check - in desk , room . parking free hotel guest , validation give check - in . not agree small room size read review , room two bed average size although bath smallish well lay . hotel tastefully renovate 2007 , clean new - look bed comfortable . unlike many Las Vegas hotel , room coffee maker flat screen tv . like many reasonably - price food choice within hotel . not stay want strip , downtown different area . like , usually divide visit strip hotel downtown hotel area lot offer . 
 Mar 6 2008 	 great comfortable room heart downtown Vegas 	 clean , comfortable , safe , centrally locate Fremont Street scene , Four Queens smart choice anyone look affordable casino hotel . housekeep conscientious new furnishing include 32 & quot ; hd television . 's funny think 200 - room hotel & quot ; small & quot ; Four Queens feel cozier gargantuan casino property . 's next door Golden Nugget across street Binion 's Horseshoe , 's plenty action nearby . use visit Las Vegas frequently twelve year ago , back would stay Stardust offer combination affordability amenity . sadly , stardust go enormous super - casinos rapidly devouring Strip . downtown change little , appreciate nostalgia authenticity Fremont Street . will make return trip Four Queens . 
 Mar 1 2008 	 Feb 24 thru 29 	 happy stay . People nice time check til time leave . from time walk hotel til get room less 20 minute . room small side , nothing not expect . satisfied , problem room , extremely good water pressure . we stay room 1607 outside view , beautiful view night day . perfect view strat . can not forget flat screen TV.We smoking room , could not tell , stale smoke smell . no room safe safety deposit box front desk free charge , take advantage of . there one episode forgot camera bathroom , not realize 30 minute lo behold bathroom attendant find return security , happy . glad happen tip attendant . think would turn anyway . the complaint stay 5 night gamble every night . 3 we gamble average $ 1000 night we get anything compe room . far hotel review , Excellent . 
 Feb 25 2008 	 great place stay 	 look hotel vegas , search price , location , read review traveler . can not say enough place . husband go getaway , place clean , spacious , price right . think price low kind place get . perfect . definiately stay . price food also cheap freemont street . 
 Feb 18 2008 	 Loved ! go back 	 book Vegas package Cheaptrips hit jackpot ! get smooth nonstop Seattle Vegas , wonderful time Four Queens . 5th floor , North Tower , overlook Fremont experience sign . odd numbered room face experience , even number far away experience nightly activity . even close , could barely hear experience crowd night . room nicely furnish clean . nothing extravagant , not need . bathroom not palatial , not need either . staff friendly helpful . eat breakfast Magnolia 's every morning ( open 24/7 ) , food delicious , hot ! special dinner Hugo 's food service exceptional . costly , worth every penny . wonderful salad prepare especially person table . gambling : hit slot , bit loose Fri - Sun . nice variety slot . cashier fun talk . ' ve go Vegas stay strip year . like stay downtown . 's short distance various casino , small crowd , friendly casino staff , loose slot . be young generation , love glitz noise strip , downtown not ! take taxi ride strip see booked show . 
 Feb 16 2008 	 love 	 everthing say . great room , newly remodel friendly staff , great food . Vegas 10 + time one good stay . Loved downtown . say . did'nt . comp play second none . back Queens . 
 Feb 14 2008 	 ok noisy 	 although staff member courteous , stay four Queens frustrating way . one thing , many hotel 's room face Fremont Street , feature loud burst music every half hour 7 p.m. midnight , every night . early bed type bring young child , either request room far Fremont Street possible , not stay hotel . addition noise , downside include fact weave incredibly smoky casino get hotel 's restaurant ; fact pool hot tub anything hotel want take break gambling ; fact move new room , tub faucet leak night room smell smoke even though non - smoking room . plus side , Magnolia 's restaurant good food , light show Fremont Street Experience fun . a big issue consider general location hotel . not familiar Vegas , please note Four Queens nowhere near famous fabulous hotel / casino Bellagio , Venetian , Luxor , Paris . get , either need car jam onto city bus call Deuce , take 40 - 50 minute get new casino rush hour standing - room - only crowded . if want stay gamble smoke cigarette day , hotel probably fine . , well stay one new casino new end Strip . less smoky lot see Four Queens . 
 Feb 14 2008 	 Nice Stay Freemont 	 third stay Freemont Street two month nice experience . room small clean nice flat screen tv . yes sometimes watch sport bet room rest . sportsbook small friendly . close cash ticket Cashier Casino . poker room , across street Golden Nugget nice one . complaint hot water great , stay worth money . compare Plaza price range , much well . 
 Feb 13 2008 	 Decent location helpful staff 	 hotel anywhere else , would pretty good . hence four star rating . room clean , staff helpful , parking free , location convenient way . nasty drawback room next Fremont Street noise Fremont Street Experience . otherwise well run hotel . however , be bad location Vegas — unless want downtown . , wife not . think hotel pretty average . either way , ' m sure merit $ 95 / night average room rate . bottom line : turn early make sure far Fremont Street will not sleep midnight . make sure score good deal , be much well Day 's Inn . 
 Feb 12 2008 	 great Stay 	 great stay 4 Queens . call ahead request non - smoking , adjoining room South tower . little worried arrive Superbowl Sunday , check request meet . room 1142 1144 perfect view Stratosphere . room clean like update make room since last stay . everyone pleasant helpful . eat Magnolia 's several time . complaint long line wait pay bill . stay . 
 Feb 10 2008 	 great stay canopy 	 arrive home & quot ; great & quot ; stay 4queens 4 night room 408 - North Tower . seem even number room face Fremont St. request 2 queen bed canopy could enjoy light show people watch room , short time & quot ; expect & quot ; be exactly get . early check - in issue staff great . the elevator North Tower 20 step away ( count review ) Fremont St room elevator distance . great ! ! room & quot ; & quot ; clean bed - pillow & quot ; & quot ; comfortable lay quick nap 8 pm ( long plane ride ) , sleep night away 5 am . Grrrrr ! fse keep we awake noise disturb . actually , great lay bed watch , call .... 9 hr nap . window closed ( open 6 inch fresh air ) , music etc issue . the room contain 3 cup coffee maker fixing bring coffee , filter etc could enjoy coffee way like . accord wall sign ... ice machine floor 4 - 9 - 10 - 12 - 18 - 19 . Soda ( $ 2 20 oz ) machine 4 - 5 - 8 - 11 - 15 - 17the bathroom contain usual shampoo , lotion hand soap . large bathroom , suit we fine . housekeep great bother we & quot ; disturb & quot ; sign door . the gift shop close early Walgreens short block away anything need .... med , snack , drink etc . the & quot ; & quot ; complaint casino hot enjoy casino get busy night , even though outside temp mid 40 's , end play mostly Fremont Casino across street night . great buffet Fremont enjoy two meal 2 - 4 - 1 voucher give meager slot play . Fremont soon open Dunkin Donuts northener us ex - northener enjoy ... yea ! ! ! stay , book thru web - site cost $ 49- $ 49- $ 49- $ 99 - tue thru Sat cheap rate advertise week check - in watch rate go . hope cover question think will also enjoy not expect costly suite find strip . will definitely stay hotel . 
 Feb 9 2008 	 four Queens great 	 well stay four Queens despite review read go , hotel nice clean . good time gamble Magnolias super cheap good food . part good service magnolia well . Micro brewery great place hang microbrews friend . staff really nice never problem ever . would stay . 
 Feb 7 2008 	 Super Hotel Super Bowl Weekend ! ! ! 	 six we return fifth Super Bowl Weekend Las Vegas . first time stay four Queens absolutely fantastic time . stay five night ( arrive Thursday , depart Tuesday ) 15th floor South Tower recently remodel room new carpet , new furniture , new drape , new bedding , new flat screen tv . although bathroom remodel old , still maintain clean . entire staff , include limited , check - in , Dealers , Pit Bosses , Cashiers , Waitresses , Bartenders , Security , friendly , courteous , helpful , accommodate . majority gambling Four Queens drink service expeditious . food / beverage Hugo ' Cellar , Magnolias Veranda , Chicago Brewing Company , Queens Coffee / Deli excellent . stay Freemont Street hotel Four Queens definitely give good value hard earn dollar . personally , trip top morning departure decide give one gamble . play one Elvis Slot machine reward $ 413.50 promptly take portion make future bet Sports Book . Viva Las Vegas Viva Four Queens ! ! ! ! ! 
 Feb 1 2008 	 Disappointed Stay 	 Dear Customer Service , past weekend family stay hotel . daughter - in - law , Jennifer Putman make reservation credit card . husband time check flight come later . ask give credit card check person upon check . husband unaware give card lady . call away phone finished check . later evening room go purse notice credit card miss . immediately go front desk say check lose find hotel . , . immediately call credit card company cancel card . next evening check place see card see . , answer . upon check , different lady , hand card ask . say , & quot ; come ? & quot ; reply key envelope reservation packet . also charge incorrectly room , one $ 99 $ 159 . lady say amount sign upon check . , daughter - in - law make reservation husband aware charge . find totaly unethical two room exactly alike head ache miss credit card hotel hold 's possesion entire time . sincerely , Barbara J. Putman [ -- ] 
 Jan 26 2008 	 Great experience 	 everyone person meet friendly helpful . room arrange dad ( handicap ) perfect set need . casino fun - slot card . food good . overall great experience would go back Four Queens heartbeat ! 
 Jan 25 2008 	 4 Queens = be Great experience ! 	 stay Vegas Jan 20 - Jan 24 2008 . Stayed Four Queens ( stay WAY overprice MGM last time ) find nice , wonderful trip . save much money time enjoy downtown Fremont Street offer . 4 Queens restaraunt offer discount free player card tune $ 12 breakfast ( 2 people ) lunch / dinner much . great food also eat lot ! room 11th floor amazing view Fremont Experience Vegas . take almost roll picture window ! worry first ( read review ) noise street would keep we awake night , bad . also , drape room shut black light - room dark night would almost trip go bathroom . clean , friendly , fun . everything lovely , definitly stay ... .... ! 
 Jan 24 2008 	 stay downtown good gambling experience . 	 property recently remodel / update room clean acceptable room rate . downtown cater gambler interested & quot ; shopping / show & quot ; experience . & quot ; premier & quot ; strip property look offer reasonable table minimum . often time cocktail waitress find strip problem . go Vegas gamble , downtown spot property worth money . would definitely return . be look glamour glitz fancy bathrobe choose strip . 
 Jan 24 2008 	 stay ok 	 stay 4 Queens Jan18 - 20th 2008 . check fast , store luggage room not ready 3.We approach & quot ; timeshare people & quot ; leave 4queen enter Golden Nugget every time . we even go Saturday . 4hours not buy timeshare cost 32,000 keep say cost go way 5000.when open towel clean towel shelf sticker size 14 - 16 fall towel onto floor . ' m hefty size 20 ' m really sure not mine . kind stick jean run front size print . moment surprised towel wash ! fact towel never fresh scent . my husband spend af Sunday ESPN zone strip watch championship game ttok Deuce handy 5dollars 24hrs 2dollars one way trip , catch Walgreens 1 block away stop everywhere strip . 
 Jan 23 2008 	 stay year ! much well ! 	 ' ve go Vegas every year Super Bowl weekend 10 + year run . initially stay Strip , last 5 year , always Four Queens . their service great time get vehicle . whether drive use public transportation , find get front desk easy . the hotel staff great . time issue , Manager make right we immediately . the room average size , always clean . never surprise . the casino small , dealer pit crew extremely friendly . restaurant : would rate Magnolias 3 5 . food good price right , server seem over - load . Hugo 's Cellar 5/5 one good steakhouse Vegas . service superb salad service do table - side excellent choice . no buffet 4q , good one right across street Fremont . we find gem downtown never disappoint we ! enjoy ! ! ! 
 Jan 20 2008 	 good experience Four Queens 	 first stay downtown . find stay nice . room small side , clean look newly redone . lcd tv nice although charge wireless fast . sure get player card 2 prime rib dinner cost we $ 20 , tip everything . enjoy trip downtown , safe , clean reasonable . back . complaint guess tour bus arrive line elevator 40 people deep , disipate quickly come back 20min later . 
 Jan 20 2008 	 head back 4 Queens 	 husband & amp ; Vegas three time . the first time stay Four Queens . but stay twice & amp ; return Mar.2008 . & amp ; enjoy stay Four Queens . this far good & amp ; friendly hotel , staff go way meet need . the room clean great hotel . husband & amp ; & quot ; high roller & quot ; treat like & quot ; high roller & quot ; same . the restaurant good . husband & amp ; can not say enough good thing Four Queens & amp ; staff . kudo . also morning walk Fremont street enjoyable music . 
 Jan 17 2008 	 dissapointe smell room ! 	 stay one night Jan. 9 want see feel stay DT . room small Strip hotel , similar size Motel 6 room . likewise bathroom ordinary . upgrade furnishing include bed , LCD TV , carpet , wallpaper . however , not enjoy room hotel much non - smoking room linger smell smoke . prevent we appreciate room . use posh Strip hotel rooom , not go , disappointed , esp . bathroom . fancy , go . would not recommend hotel first - timer Vegas , experience Strip much memorable ! 
 Jan 17 2008 	 great Stay 	 first stay four Queens . love downtown usually stay Fitz . want try different hotel time . stay excellent . treat 4 star hotel . room little small , small . plenty room everything . bathroom clean . tv 's new flatscreen . really enjoy stay stay . 
 Jan 6 2008 	 Loved Staying 	 Hi , boyfriend decide stop Las Vegas way Arizona Thanksgiving . mostly book Four Queens inexpensive . turn good time ever Las Vegs . Strip nice , big . go stip one day see show , really not go Fremont Street everything right fingertip . several great casino go , mostly play Four Queens comfortable . , want break go door . entertainment evrey night absolutely & quot ; excellent & quot ; . service Four Queens match exceed place stay Las Vegas . can not wait go back . Cathy Mastracchio 
 Jan 5 2008 	 pleasant surprise 	 return solo trip Jan want something econimical clean . book four queen 33.95 / night week day rate read review pleasantly surprised . check early 1130 , problem , king room # 1816 overlook top fremont canopy . clean , new furnishing , carpet , lcd flat panel widescreen tv . room come equip coffee maker , iron board , hair dryer mini bar . issue noise either hall next door . staff throughout casino / hotel attentive friendly . try Hugo 's Cellar Magnolia 's breakfast 6.95 good . wise choice be look clean comfortable accomodation downtown . 
 Jan 3 2008 	 bad 2 star 	 stay one night unexpectedly . reservation venetian hotel strip arrive Vegas one day early , get priceline deal Four Queens . overall say not bad . room much well expect 2 star place - clean , comfy bed , good service etc . hotel bit old rundown . many sign neglect well - ice machine hallway overrun water sludge seep carpet . aside - main downside location hotel . be old building vintage vegas might dream place . admit feel safe walking outside hotel night ( much less time day ) . btw - not much make nervous feel unsafe , since grow Baltimore live downtown DC . keep mind four Queens different vegas experience one get stay main strip . aside feel safe - notice large number vagrant , homless people drunk & quot ; freemont street & quot ; area . whole area around Four Queens also strange earieness - like old vintage carnival horror movie run building , blink ligts stop work decade ago heavy stench dank cigar . Overall - 's certainly memorable experience stay four Queens . experience - will treat well staff will not disappoint room - might worth spend extra buck stay classier , safe place . 
 Dec 31 2007 	 almost perfect 	 good room , clean , spacious , good bed , good bathroom . location , perhaps good , far main atraction ( Strip ) . be interested gambling almost impossible find calm place , even cup coffee breakfast . eat breakfast hide small place 3 fast - food chain divide space . price ? perhaps good value - for - money ever . 
 Dec 30 2007 	 Impressed 	 impressed , room nice comfortable bed . little noisy , enjoy overlook Fremont Street . stay again . thank 
 Dec 29 2007 	 Best Place stay money 	 stay Dec. 20 thru Dec. 26th , 2007 ...... room , South Tower , 9th floor , great ..... clean wonderful bed ..... bad experience , pass diebetes low blood sugar daughter find floor maid security fast get ambulance help get hospital Christmas day ...... care helpful ....... restaurant food good slot machine loose ........... ice show street marvelous .... great time hope get good deal stay middle June . Delia JoAn Niedecken 
 Dec 20 2007 	 four queen great downtown vegas value 	 wife parent return two day trip vegas stay four queen downtown - pay $ 30 nite mid week room food fine location perfect middle freemont street . problem 
 Dec 19 2007 	 one night onlybut would love go back 	 unfortunately stay one night fly back home follow day . drive LA friend pretty tired moon check - in nice easy . go home early next day not really explore hotel see impressed . room excellent , lovely bed , flat screen tv , desk bathroom fine . rate everywhere else Vegas one night little expensive ( must convention town ) 4 queen cheap . can not wait go back explore hotel properly . 
 Dec 3 2007 	 2 recent trip 4 Queens 	 recently 2 trip Vegas Four Queens . book Allegiant 07/07/07 . great deal able go twice , differnet friend time . first time stay room 508 north tower . tell check could move problem noise light . trouble . like room & amp ; view . hear noise & amp ; drape & amp ; liner close , could see light . really like location & amp ; especially ticket Tonight booth right . gamble , like fun , light , show , food & amp ; everything else . second trip , south tower first floor need smoking room . room jsut like one , view . four Queens nice hotel , nice room & amp ; good location . like stay downtown & amp ; viste strip . nice time & amp ; see lot show time . thank Marilyn 
 Nov 28 2007 	 Excellent 	 first time Vegas ( come New Zealand take we 20 hour get not something every year ! ) . Husband think Downtown would great spend first 3 day 8 11 November . check - in fast - queue 7 pm . room fine - overly huge little bit scruffy nothing price not allow ( rate around $ 60 ) .casino really smoky great choice machine - particularly lucky we . cocktail waitress pretty reliable ( regular La Bayou road would without equal ! ! ! ) .stupidly drop wallet ( complete credit card ) first night - not even know miss Security ring we 4 am say handed . big Thank - you porter hand . early catch breakfast 5 am see Freemont Street without soul - unbelievable ! Breakfast Magnolia lovely - eat every morning . dinner eat casino - different night . we move four Queens Orleans Ballys Harrahs - Four Queens measure well ( except free upgrade suite Bally , needless say ) .Our gripe lady Players Card desk bit idea many point need earn get comp - ask tell go see host - wait age make feel like bit fool ask ( seem 300 - 400 point per day ) . could save trouble embarrasment . still , not spoil stay - would happily go back 
 Nov 24 2007 	 Loved Four Queens Nov 11th thru Nov 14th 	 book trip November decide try downtown . read reviews downtown hotel consistent recommendation keep come review Four Queens Hotel . stay , must agree review . four Queens great hotel . arrive 12:00 pm able check room available . desk clerk fast friendly . ( usually stay Strat line check horrendous ) . give fun book really good two one coupon . room elevator right lobby area find convenient not walk entire length casino get room . give Four Queens high point alone . give room 15th floor room 1525 . upon arrive room first thing notice spaciousness room . two queen bed , flat screen tv desk . when enter thebathroom notice handicap chair bar . give handicap room . bathroom spacious also . I ask room face Fremont St Exp . look could see side canopy . although could hear music start hour mute really bother . view mostly Golden Nugget mountain particularly fond of . I find dining choice four Queens little bit lack buffet . Magnolia 's excellent choice get little crowded around dinner hour . pick time eat . usually late morning evening work well . non problem Fremont 's buffet directly across street Sundays day champagne brunch / buffet . many food choice within walk distance four Queens never eat place twice . love proximity establishment . also love whole atmosphere downtown entertainment . four Queens casino good selection slot machine seem give nice chance win . drink service quite good also . overall feel comfortable gambling casino never feel overcrowded people friendly . would highly recommend anyone stay downtown look good budget friendly hotel stay Four Queens . forgot mention maid service also quite good . room make early plenty towel available . 
 Nov 19 2007 	 excellent choice downtown 	 third time Vegas- first time stay downtown . really like Fremont Street pedestrian mall Four Queens right . bus strip clean cheap easy could go want get bit away masse ready . room price good room upgrade clean neat comfortable . definitely list return . 
 Nov 10 2007 	 excellent experience 	 room South Tower , nice . vouch North Tower , room clean , recently remodel . new carpeting , curtain , ( think bed ) , bathroom fixture work . priority start & quot ; Clean Secure & quot ; , room rate & quot ; excellent ! & quot ; count . not win much casino , actually well luck Binion 's , fair assessment hotel big spender anyway . Dined Magnolia 's one time , good . notice always long line breakfast . either real good real slow . go back Four Queens next time nice stay excellent rate , ( think $ 60.00 per night . ) many place eat play Fremont Street , dine place one restaurant . try Mickey Finnz . ( be another review . ) 
 Nov 10 2007 	 Good Budget Choice 	 stay 4 Queens second time November 4th thru 8th . room basically clean except hair bathroom floor , acceptable even budget hotel . I little disappointed & quot ; renovated & quot ; room , update since last year . carpeting , furniture flat screen tv nice , nothing do bathroom . crack stain tile bathroom floor sink bad shape . still , overall experience Four Queens positive . stay room 1446 South Tower face Strip . view Strip great office building block away block view . like view Fremont Street beyond odd numbered South Tower room last year . south tower one set back away Fremont Street quiet . the Four Queens meet expectation budget hotel would stay . 
 Nov 10 2007 	 good place stay downtown ! 	 Hubby return home Michigan good Vegas trip ever ! stay 4 Queens , Downtown . countless trip make round ( Boyd property , Fitz , Plaza , Vegas Club , Binion 's , even splurge Golden Nugget ) feel good deal downtown . we check Monday four night stay . check - in staff friendly helpful . husband ask suite upgrade would possible . yes , get one double room rate charge . look exactly like mini suite pic website . armoire plenty room side tv hide dirty clothe . : -P 's hard see picture , 's fridge ice bucket wine glass next desk chair . second floor , back road . could barely hear Fremont Street Experience rare time room evening . we lucke see Firemen 's Combat Challenge World Competition . compete right outside casino . the casino half - price ticket outlet . recommend see Larry G. Jones . see back 1001 voice terrific ! thoroughly entertaining . think 's 1003 voice . want see trip , work weekend . good see move up . the 4 Queen 's casino personnel friendly . husband play single deck blackjack politely tell stop . play black jack switch new game call California Draw . not imagine last everyone lucky Dezdemona teach game . show much trip , two - pair , even straight flush pay . can not wait go back try luck . Casino Cage remodel . squeeze small spot restroom . never see less three cashier work never wait line . Noel friendly give big winning CA Draw game . eat Magnolia 's several time . staff smiley friendly . want try Hugo 's , pricey . Hubby want $ 40 rack lamb . maybe next time . even leave fact experience lucky night gambling , think Four Queens good deal downtown . suite clean roomy . staff friendly helpful . , location can not beat . tower farth Fremont St , still step away casino action outside street . 
 Nov 7 2007 	 first time four queen 	 stay four queen nov 1st thru 4th first time downtown surprise nice . usually stay strip go downtown . room 1845 18th floor look fremont street experience . room nice flat screen tv coffee maker come handy night fremont . we never real issue noise other say .maybe far enough really bother we .It cool look night see show . Fremont street -- fun vegas far ' ve strip 3 time trip . loved thing see walk 1 mile get 1 block like strip know meen ' ve strip .everything within five minute walk fremont . there hotel fremont like main street station gold spike . far walk tofood -- -We eat mainstreet station buffet lunch . 2for1 coupon cost we 4 buck good . also eat aloha specialtie upstairs hotel across mainstreet station fantastic super cheap . Dont let location appearance fool good . try fish , chicken , steak combo yummy.entertainment -- -we usually watch free show fremont street.they concert U.S championship fireman competition there . also see vanessa carlton four queen like 20 buck deal good show.feel free email question fremont street 
 Nov 3 2007 	 Noise Noise Noise 24/7 	 check easy , parking garage valet parking . nice clean small room able ever stay . 17th floor face Fremont street music go 24/7 attempt go bed around 2 find first night go hard thought . would say maybe get 1 hour sleep first night next night leave television help drown music get 4 hour sleep . ( mind one able sleep tornado ) . do not think music come four queen unfortunately affect patron . think noise bothersome hotel guest way Fremont Street . plan stay want least rest make sure ask room face away Fremont . 
 Oct 31 2007 	 good place stay ! 	 hotel nice place stay overall . clean service bit slow people nice not bad consideringyou be hardly room anyway . would recommend first timersto Las Vegas stay old strip 's overwhelming . plus light show awesome treat . would definitely stay ! 
 Oct 29 2007 	 car = no problem ! 	 fortunate enough pick time stay lot go outside casino .. culture festival week every time leave casino lot go .. cool close & quot ; home & quot ; end fun fill day outside . food inside Four Queens @ Magnolias late night good establishment good ! guess I m say Four Queens ok offer great price great location . nothing special room clean convienient .. give average rating entertainment outside casino . 
 Oct 28 2007 	 Noisy 	 stay four Queens North Tower . room clean remodel flat screen TV 's . problem room , location . figure 19th floor would get we far enough away Fremont street experience . wrong . show stop decent time , music go NIGHT LONG . bass could heard noise maker tv turn self defense . not know Four Queens problem downtown problem . world would play music decimal level able rattle window 24 hour day ? even city fun , must sleep sometime . 
 Oct 16 2007 	 magnolia 's restaurant/ four queen hotel 	 book stay Four Queens want try Fremont experience . Overall Four Queens expect , visit pleasant great time casino , win enough keep play . room small really not room expect sleep . visit would great however 2 visit magnolia restuarant leave bad taste . first try Magnolias night , think would get something take room late one evening . seated wait 5 minute , waiter come take order inform want go , promptly leave table without say anything else . wait 5 minute ready leave another waiter come table take order , take order promptly tell we move table move bench wait . call customer service . dine Fremont next morning , Golden Nuggett night . third morning decide try Magnolia 's breakfast . restaurant busy , however , stand line wait seat . apparent not bit sense urgency present . finally , seat , service much desire , girlfriend order pancake special request syrup however never receive . husband enjoy food , would able eat entire meal . reason write 25 year experience restuarant industry suggest send someone Magnolia 's customer let observe body language customer reaction service receive . little gold mine full potential achieve . Patty Burnsdandpburns @ netzero.com 
 oct 16 2007 	 bad avoid North Tower 	 hotel overall nice . casino wide - range table machine game . restaurant good service friendly . big gripe hotel not warn check room overlook Fremont Experience . stay late miss loud show experience . not anticipate music 's play speaker not stop . night hear boom bass rest music . hotel advise guest room face Fremont Experience want get peace quiet ask different room . since not think happen , avoid room hotel 's North Tower , especially room face experience . 
 Oct 13 2007 	 Fine stay 	 head Vegas meet brother adult kid reunion . stay Nugget book way early . try stay Nugget , not want pay & gt ; $ 200 day . , choose Queens . check fine ... problem , friendly either . room fine . tell old remodel many time . 's get choose stay downtown ! tv great , bed confortable , bathroom shower fine ... not need ! really gamble . favorite across street . spend lot time Fremont Shoe ( Binions Horseshoe ) . try Binions Steak House ... well Hugos . eat breakfast Magnolia 's . service extremely slow food always good . think shortage low end restaurant server LV . IMHO ....... expect luxury stellar service , stay strip . downtown work we prefer less pretenious experience . would definately stay four Queens . spend money lodge not room much ? ? ? ? 
 Oct 10 2007 	 Downtown Disappointment 	 one night stay Downtown Vegas , , base Tripadvisor review , choose four Queens rather usual Golden Nugget . mistake . first tell we non - smoking room available despite reservation , & quot ; find one & quot ; 5 minute discussion . assign room small furniture leave room pass wothout turn sideways , view Fremont St . Experience & quot ; close personal , & quot ; superstructure canopy close outside window could touch broomstick . return desk ask move . oblige , new room large locate well , smell quite smoky . Tthe desk ckerk offer air freshener . one whiff decline . annoyance include tiny elevator constantly overfill , non - meal coffee shop , sit without menus 10 minute people arrive we eat meal . leave , try ice cream stand , malfunction freezer , thus ice cream . least enough table pay room decent dinner back Nugget .. 
 Oct 5 2007 	 1st time Downtowner LOVED ...... 	 1st time stay downtown Four Queens make perfect . the staff friendly dealer sweetheart . the room nothing fancy clean . wall thin bring earplug problem . great walk right outside one casino right another one . would stay . 
 Oct 5 2007 	 good spot 	 spend four night Four Queens Hotel downtown Las Vegas September . not stay long time , really surprise nice hotel , compare previous visit . room real big redecorate , new furniture LCD tv , bed super . also coffee maker ! problem small size bathroom , noisy vent fan , clean adequate . ( stay tower elevator lobby , comment refer tower . ) . enough elevator could move pretty quickly . food good , particularly special Magnolia 's ( take slot card get discount . ) course , location right thick thing . busy place , personnel casino hotel friendly helpful ..... return .. 
 Oct 4 2007 	 Good Downtown Hotel 	 first time stay downtown choose 4 Queens great review get site . booked room 2 night . check - in quick friendly give North Tower room . hear South Tower nicer desk clerk tell renovate South Tower smoking room . think strange , whole tower dedicate smoking room . room small nicely furnish large flat tv never watch . bed comfortable wall least room paper thin . good thing bring ear plug ! impressed in - room coffee maker . not see strip hotel charge 4 time price . casino fun dealer great . not get eat always line Magnolias alternative eat Bay City Diner cafe California . parking gargage convenient . downtown great alternative strip . highly recommend 4 Queens . 
