lovely 	 last two trip , enjoy Ping Pang Pong ( dim sum restaurant Gold Coast ) enough want give try place stay . price room ( particularly club card , give small discount ) quite good , choose go & quot ; premium king & quot ; room less $ 100 three night . room clean , modern , nice pan - asian styling . really like porcelain tile use throughout shower sink area . view well , reasonable price . hotel staff friendly helpful , park convenient close lobby . the breakfast buffet great deal nice variety , casino floor staff outgo helpful well . casino & quot ; old - school & quot ; -- quiet , simple layout ( never get lose ! ) fancy theme mostly - naked pole dancer blackjack table . ventilation quite good , not smoke really bother much smoker casino . find refresh over - the - top , particularly day evening wandering hotel strip sensory overload really wear . even enjoy round bingo bowling , casino nicely attire . 
 May 28 2007 	 Bad Location 	 nice clean Hotel , BAD Location ! ! ! 
 May 20 2007 	 could well could bad . 	 three night stay Gold Coast May 16 - 19.it 's decent strip location , easy walk access Palms Rio , shuttle service Orleans strip convenient . the room reasonably clean , bed comfortable , bathroom tiny , even though non - smoking floor , smell smoke still waft ventilation system . the hotel staff alternate disintereste disorganized , casino staff . I would characterize decent value , package inexpensive , would consider property next stay . 
 May 20 2007 	 clean date 	 friend stay 3 night part package tour . soon walk lobby , wonder would let . hotel date could complete refurbishment . say , reasonably clean , important I . we request smoking room via travel agent not honour . ask move tell could not do next morning early , room might vacated . early next morning , go back reception give smoking room straight away . you show room key security night access lift couple time go room feel uneasy corridor long , narrow intimidate . room good size two double bed , table chair coffee machine . ( coffee disgusting would recommend use coffee shop downstair hotel . ) also brand new flat screen tv wall , look completely place date room . not know anyone else would prefer modern decor shiny new tv.now bizarre bathroom . can not change since hotel open 1986 . open dressing area sink mirror , clothe rail . area offer privacy , door 's right window . next tiny bath / shower room toilet . practically stand bath close door . bath odd beige mould plastic unit floor ceiling ( absence tile ) , beige toilet . clean totally unappeale - 's definitely something say nice white bathroom suite . we good view Stratosphere , Wynn Circus Circus room know other face brick wall . we not eat hotel ) choose eat elsewhere b ) without go detail , would hear story several people group put we off . personally , feel two day Las Vegas long enough - much preferred stay Los Angeles . reason , not think will return Las Vegas hurry , would stay Gold Coast . would spend bit money stay nice hotel strip . 
 may 20 2007 	 nice price 	 stay modest , clean hotel 5 night first week May . we find quiet , clean , perfect place get away hustle bustle Strip . Altough Strip want , free shuttle convenient . stay include breakfast dinner buffet . take advantage breakfast 5 day great , dinner since average . besides , many restaurant want visit . room spacious king size bed . note many review , bathroom small , , clean important we . price convenience , would stay . consider , keep mind Wynn Bellagio . 
 may 17 2007 	 big league worth stay . 	 stay hotel 13th-16th May 2007 . although hotel league Bellagio , Wynn hotel , Venicia , Bally 's major hotel much well other . the Gold Coast situate short walk away Rio Palms , also free shuttle - bus Strip drop outside 's sister hotel Orlean's . have inside name hotel , indeed grand luxurious ; Gold Coast homely feel hustle bustle other constantly hectic busy sightseer . Agreed Gold Coast glitz glamour big one plenty cater every type gambler . the hotel 24hr room service restaurant within cheap . port ' call buffet particular excellent value . eat breakfast cost £ 3.50 available midnight around midday . every choice food imaginable . restaurant fine also 14 oz steak cost £ 5.00 free beer . the room spacious cosy bed , double bed 7 ft wide . however , bathroom great comparision . room safe fridge along every corridor ice machine free guest . the swimming pool area nice hotel provide free sunbed towel . area get busy guest inside gambling , always plenty space around pool also jacuzzi next it . all hotel Vegas open public long flutter , waitress supply comlimentary drink . always tip least one dollar time bring drink supply free drink night . we go seethe Rat Pack show Greek Isles hotel say good & quot ; Rat Pack & quot ; show see . try replicate original show & quot ; Sands & quot ; although word word master , singer good . ' ve see much well variation England . if get taxi Freemont ( must see ) laser show sky , cost 16 dollar . careful return journey agree fare driver hispanic taxi driver try drive long way round freeway sit traffic meter tick away . visit Ballagio hotel , will amazed vast inside , computerised water show front hotel operation every 30 min day every 15 min night . it would shame see Grand Canyon whilst Vegas , reccommend & quot ; king Airlines & quot ; operate helicopter , aeroplane bus tour . pay approx . £ 140 80 minute flight plane Grand Canyon , flys Hoover Dam sight along way . tour include visit Hulapai indian reservation meal include 4000 ft Colorado River . brochure company find & quot ; Bell desk & quot ; foyer hotel . get back Hotel . inside major hotel see busy get will appreciate Gold Coast Hotel . 's far quiet amenity would want ' not hectic . 
 May 10 2007 	 piece junk ! 	 come Vegas past weekend buddy 's wedding party suite Palms . hope stay room block sell quickly cinco de mayo , fight , derby , etc ... , decide stay across street Gold Coast . price , $ 130 / night pretty good . glad do not bring gf , would dumped spot . place do not belong vegas , maybe Gary , Gaza Strip , do not casino ? room similar quality Comfort Inn Days Inn except 27 inch lcd tv hang wall . , room furniture totally crappy , bed particularly comfortable , bathroom split sink area shower area ( hate ) , closet crappy plastic hangar junky hotel use keep steal , one break . drain bathroom sink rust , look awful . north face room direct view south wall casino structure . pathetic . hotel room high speed wifi , $ 11 24 hour period . hotel also 24 - hour room service , pretty good bring chicken sandwich 750 vodka 3 morning . take 45 min , bad , price totally reasonable . good part place . the casino downstair pretty lousy- one pit table game , mostly single deck blackjack & quot ; super - fun & quot ; derivation could not stand . hotel shuttle Bill 's strip do not start early enough one morning use , time wait 10 min , terrible . kind feel like short schoolbuss ' special kid use , rest passenger actually seem like belong ... regular cast member 60 horror pic Night Living Dead . late check - out would agree 1 pm , nothing , even offer pay fee , readily volunteer be not sell next night , do not give late check , period . totally suck . one meal Monterey Room , think 24 hour joint . french toast $ 4 , fine , will take . half place look like escape sanitarium , except rove keno girl , looker , keep give eye . bad do not know play crazy asian number game . never come back , totally mediocre dump . Gold Coast try damndest de - fang vegas experience , determined let lumber forlorn torture chamber , drop grand Playboy Club , round golf Wynn , party Kingpin suite , pizza true secretive Puck Family recipe Spago , back , baby ! will tell , 3 be $ 15 Smirnoff room service menu really trick though , try get Bellagio ! 
 may 7 2007 	 hate hotel room 	 boyfriend go Las Vegas past wknd mainly final bowling game take place Gold Coast . actually would never consider stay ; however , research ' ve do hotel Cinco de Mayo , Kentucky Derby , Oscar de la Hoya fight wknd , give book Gold Coast instead . hotel Vegas strip $ 399 , could afford , end book Gold Coast $ 100 night . first get hotel floor , actually quite excited fact put we first room close elevator lobby . next morning , find bad room possible . right across hallway , Maintenance Staff room . stay hotel 4 day 3 night , every single morning , start 7 - 8 am , housekeeping lady would start work . keep go , Maintenance staff room , heavy door bang close everytime walk . another problem lady would keep conversation nothing . let remind 7 am . everyone know be Vegas , probably not go sleep night wee - hour , one hardly wake 7 am . lady talk like noisy flea market something , not talk , scream ( spanish ) . happen every single morning , could not get relocate another room due crazy wknd . nothing room standard , except nice flat screen tv . individual A / C unit loud hell 's . two supposedly queen bed ( feel like twin ) terrible . feel like spring mattress near death . also , bathroom terrible . ' ve never tiny bathroom ever Las Vegas . thought go Europe something be famous small bathroom . 's America , 's Las Vegas ... happen ? guess be definitely great reason hotel charge $ 400 , $ 500 , $ 600 night , Gold Coast charge $ 100 ... know well ... well , learn lesson . 
 Apr 25 2007 	 Cold shower ice cream ......... 	 get back three - night stay Gold Coast April 25th . second stay , first back March 06' . our March 2006 stay great , write glow review , despite fact bathroom ridiculously small dark , room clean adequate , terrible view . I write positive review time , quite opposite . excited get back Vegas second visit , Gold Coast , since pleasant experience last time . book hotel month advance request high floor face street . sure , say book agent . get neither , girl desk say bowling convention stay . guess bowler get preference ? get room 5th floor face ugly roof top hot water entire stay . complain morning arrive cold water , told & quot ; end hall & quot ; & quot ; let water run . & quot ; night get ready dinner let water run 20 minute never get beyond tepid . call office , not offer anything . take tepid / ice cold shower entire stay . twice call manager ; twice tell ; twice tell would call we promptly upon return ; twice courtesy contact we promise . never respond call . package , Spring Getaway come 25 $ dining credit able use desk personnel not set account properly , cause we embarassment restaurant twice try unsucessfully use . times try use credit , leave stand front restaurant 20 minute try & quot ; verify & quot ; credit , call front desk 30 foot away , would answer phone . the buffet food so - so , restaurant food okay . dealer mostly rude , casino stink terribly cigarette old terrible ventilation . pool small nothing mention , really . coupon book promise may worth million dollar , coupon nice bottle wine dinner , ice cream cone , free drink , etc . nothing Earth shattering , still count get website , also get one last year really like . stay , however , tell coupon book would gettte new one end week . leave Wednesday , ask would still honor coupon ? tell basically , bad , coupon book & quot ; complimentary & quot ; guarantee . irk . want free bottle wine ice cream cone : - ) could definitely handle well , say would end week know not go . could give we free cone bottle gesture , choose , irk I . in end , get 20 $ credit room cold water . think ' ve take relax shower camping , fact ice cold water room , worth 20 buck . , whatever . would ever stay , shame , ' ve speak highly past year other . next time stay anywhere Gold Coast , mainly like hot shower hotel deliver promise & quot ; complimentary & quot ; , even ice cream cone cheap bottle free wine . 
 Apr 23 2007 	 Basic 	 stay weekend find hotel clean enough extra pretty basic . pool small not worth go . clientele casino lot desire . room clean large , bathroom bit old need new tile . coffee shop decent chinese food restaurant food recognizable . casino small find friend easy enough glitz sure . be good enough money want glamour , stay strip . 
 Apr 3 2007 	 Gold Coast affordable clean convenient 	 recent trip Vegas convention , husband not want spend lot money hotel room not going spend much time . Gold Coast affordable excellentchoice . room clean arrive housekeep nice job keep clean . hotel offer shuttle service strip convenient . drop - off location right across street hotel host convention . unfortunately , shuttle not start run morning session start , couple CAT location ( bus stop ) across Flamingo Street ride strip . bus easy catch cheap cab . Gold Coast not strip , offer plenty fun ; plus , two nearby hotel enjoy . , spend plenty time strip shopping area outlet mall . Gold Coast , participate free Craps lesson . still not understand though . play Bingo ... course , much easy , lady call number fast ! young one Bingo hall , great time . hotel offer nice coffee bar delicious italian restaurant . ' m still think yummy dinner . , not miss hotel coupon ! guest receive book coupon arrive . coupon book include discount hotel restaurant , coffee shop , bingo , free scoop ice cream , free drink , lot ! captive audience , take part discount . hopefully , be still importantmessage would stay Gold Coast ... whether business pleasure . walk across street one night eat restaurant Rio ( cool balcony roof ) . palm across street another direction . not make , may next time . need strip crowd sidewalk full tourist carry monster margarita ? ! 
 Mar 28 2007 	 great hotel 	 stay March 20th March 25th . suite 10th floor . clean spacious room price excellent . check , Saturday night fully book , quick click computer another excellent rate . employee helpful housekeeping superb job . food great choic also . excellent prompt service . coupon book check great save money . walk across street use shuttle service Rio run 4 am . I would highly recommend Gold Coast . definitely back . thank wonderful stay 
 Mar 25 2007 	 two Thumbs ! 	 stay Gold Coast 19 - 22 Mar great time . hotel room clean . buffet reasonable filling - actually much well quality Strip cost 2 3 time much . coupon book provide check - in great surprise - useful . free shuttle bus run every 15 - 20 minute Strip . mention post , hotel quite popular local - nice local : - ) . front desk accomodate provide late check - out we due flight time . definitely stay ! 
 Mar 24 2007 	 Brillant hotel base Las Vegas holiday ! 	 ' m travel agent boyfriend stay hotel two week find everything need . book hotel come couple hundred pound cheap hotel strip would definatley say excellent value money . although not strip , road run Bellagio Ceasers Palace . take we five minute walk hotel hot normally take free shuttle bus Barbary Coast right middle strip , face Ceasers ! love everything hotel , facility brilliant , especially 24 hr 70 lane bowling alley , go first day 6 morning jetlagge £ 5 hour ! could not fault hotel room , especially really soft bed ! modern lovely big flat screen tv ! bad thing could say room bathroom bite small dark clean everyday pleased . hotel room seperate build casino show room key get room always feel safe . I would definatley recommend hotel anyone travel viva Las Vegas ! 
 Mar 22 2007 	 good basic hotel 	 husband stay one night Gold Coast . nice , good bargain consider cost hotel Strip . pay $ 175 ( include tax ) night 's stay , compare $ 250- $ 350 hotel Strip . plus , Gold Coast give we two coupon book upon check - in bunch great deal , include free scoop ice cream , free cocktail , discount Seattle 's Best Coffee Shop , etc . room nice basic hotel room - clean fairly spacious . king - sized bed comfortable . bathroom tiny clean . rest hotel nice - good breakfast Port ' Call Buffet , casino seem popular local . service also good all - around . would definitely stay . 
 Mar 18 2007 	 Great Off - Strip Choice 	 Gold Coast Casino Hotel ( Off - Strip ) West Flamingo Road Las Vegas . delight stay pleasant , budget orient hotel . room basic clean , nice flat screen tv sit area . bathroom extremely snug- little window outside rarely see day . dress area basin outside bathroom - behind well design wall luggage storage area . Clientele appear mostly local . nice buffet , Chinese Restaurant , Steak House , Ice Cream Shoppe , Clam Bar , Coffee Shop , italian Restaurant . lively basic pool area . many bar lounge throughout- include popular entertainment lounge live band . take free shuttle sister property . note : Barbary Coast Casino sooon leave hotel group , may cancel free access Strip . walk across street either Palms Rio Casino . Strip walkable- albeit somewhat cumbersome long . well design dramatic public space . oh , big Bingo Hall well bowl alley . good budget choice Las Vegas . 
 Mar 16 2007 	 Nice Accomodations 	 choose Gold Coast proximity Strip without actually right Strip . rate excellant compare hotel . room King - size bed picture website . room fancy , clean inviting . linen bright white change three time week . gambling odd well other stay . eat daily 24 hour cafe selection taste good . staff encounter polite helpful . two item bother we : coffeemaker room single cup machine ( love sit drink quite bit coffee morning watch news ) , several guest loud hallway night 12a-5a . would definitely stay . 
 Mar 15 2007 	 Loved Gold Coast 	 stay Gold Coast week March celebrate 40th birthday . excellent . room spotless . hotel staff bend backwords help . location excellent , approx . 1 mile centre resort . run shuttle bus day & amp ; strip . hotel & amp ; casino friendly relaxed atmosphere . gamble & amp ; lose ! ! book stay Gold Coast next visit Las Vegas . 
 Mar 13 2007 	 really Recommend hotel . 	 previously stay MGM decide try hotel strip . price hotel excellent . would certainly stay saving accommodation use enjoyment . shuttle service strip excellent , never wait long either way . could not fault anything hotel would really recommend anyone . 
 Mar 8 2007 	 enjoyable stay 	 stay 5 night end Feb , get great rate Priceline , especially Friday Saturday night stay hotel sell out . room : receive double queen bedded room 1st floor end long corridor view white wall ! do not mind get room bargain price people may wish request room view that s important . Room recently renovate good amenity decent size 1 2 people . bed comfortable although bathroom small shower pressure good water hot whenever need . plenty coffee provide single cup coffeee machine . casino : excellent casino , find slot loose dealer friendly although could difficult find space table weekend night due sheer volume people . other note casino get smokey , surely time extend Nevada clean air act casino well restaurant & amp ; bar ? restaurant : eat buffet time generally find food fresh , tasty excellent value include dessert excellent . also recommend coffee shop serve excellent $ 2.95 graveyard special ham egg . also try 24 hour $ 9.99 t - bone steak special great value even though meat be not good cut . bit much fat liking . also enjoy ice cream Kates Korner . Didnt use shuttle driving , hotel easy access Interstate strip area . I would recommend hotel good value alternative strip hotel , coupon book receive check free drink etc make even well value . 
 Mar 7 2007 	 enjoy stay Gold Coast ! 	 stay Orleans several time past year like . planning go Vegas first two day Thanksgiving week year , decide give Gold Coast try . mainly find unbelievable rate $ 20 night ! ( celebrate 20th anniversary ) . laugh later , realize pay board dog night room . really enjoy stay Gold Coast ! bathroom rather outdate , clean . room fine , bed comfortable enjoy casino . think casino little smoke issue Orleans , really- little . find shuttle convenient quick Orleans little close . use city bus couple time shuttle right front . walk across street front Palms catch . since buy pass use Deuce along strip , extra use bus well . also eat buffet breakfast find good meal excellent value ! thing find little depressing view window apartment behind hotel . really problem ! planning stay Gold Coast soon ! excellent value money , even run amazing special ! 
 Feb 24 2007 	 break snow 	 return 6six day stay gold coast . room clean new bed , bath room small shower great . eat resturant good . good part place local fill casino every night , people meet freindly nice talk . stay gold coast three week year , stay strip good time think gold coast good location , close strip , highway want go downtown , explore , price good . age june . 
 Feb 22 2007 	 Great Stay 	 wonderful stay Gold Coast . hotel well expect . use shuttle bus strip many occassion want late shuttle bus night pop Ballys use Shuttle bus Rio , budget holiday find food drink GC reasonably price . use breakfast buffet morning $ 7 do not really need eat eveing . our stay GC top $ 400 win slot morning check . love stay GC , do not pay strip Rates felt get pay . $ 500 week Vegas excellent value money . 
 Feb 19 2007 	 nice clean hotel 	 stay 2/6/07 - 2/9/07 . room clean , location good . real problem hot water . room end hall order get hot water run water least 15 minute . big deal convinient either . everything else good . also use shuttle bus strip convienent . 
 Feb 15 2007 	 non - smoker 	 stay weekend Feb 10/11 hotels strip astronomical rate date . stay Orleans , want try Gold Coast slightly convenient . worth . Orleans much nice cab ride dollar . mention review , room need refurbish . a / c heat unit ancient work 's loud . big drawback get smell , though . smoker book non - smoking room . room linger odor , bad part . could hardly stand casino downstair smell heavily smoke . know casino allow smoking usually not bother much , maybe old ventilation system something . much bad hotel other go . bright side cheap staff nice . room clean bit shabby . be smoker would probably fine . 
 Feb 14 2007 	 bad Great Either ! 	 husband & amp ; stay Gold Coast Hotel Casino four night . overall , hotel bad . get fairly good rate ( $ 70 Sunday , $ 60 weeknight , plus take another 10 percent AAA discount ) . hotel convenient strip find shuttle service reliable ( time , use shuttle Rio right across street ) . room clean , decent size include refrigerator ( extra charge ) , well coffee maker . basically 2 complaint ; take 3 hour get check . friend arrive later we , get room . bathroom absolutely tiny . prepare shower dark plan bathe evening night time . the hotel certainly adequate stay Las Vegas , be sure would go back . 
 Feb 14 2007 	 Nice Alternative Strip 	 ' ve stay Gold Coast twice convention Las Vegas always serve well . people check - in desk friendly helpfull . room extremely clean modern . casino fine ... gimmic fancy theme like find strip junky depress either . basic casino ... look something interesting , Rio Palms walk distance away . Strip little far walk shuttle . not use shuttle idea often run well work . Gold Coast smallish pool small gym overlook pool nice . also bowl alley look pretty cool . complaint stay January 2007 ... instal flat panel LCD television room think pretty cool first . problem tv early generation lcd actually pretty poor picture . hi def television picture noticibly poor . also , time stay , offer pay - per - view movie like place offer . maybe temporary situation . overall , Gold Coast good value much easy come go ( car ) place Strip . 
 Feb 6 2007 	 stay Gold Coast save money elsewhere las vegas 	 group book 3 room gold coast week late January think . first rate excellent ( $ 40 per night $ 90 Friday ) , though book six month advance . no queue check , big change LAX plane delay two hour gigantic taxi queue meet get terminal McCarran ( must queue taxi close one hour ) give two room 7th floor one 9th upon checkin . view well two room front hotel ( face south strip ) , compare room face north strip . the four room elevator work well whole week stay entire place clean . try buffet 3 time , fantastic value $ 7.45 lunch good quality . Monterey room also cheap standard average . the bathroom small people mention , window shower cool . property also small pool jacuzzi well gym . the business center expensive $ 3.50 10 minute internet , crazy .... free shuttle handy city bus ( 202 ) leave right across street Palms every minute . ( $ 2.50 day pass ) . walk less mile Bellagio Caesars anyone that . overall excellent choice stay Las Vegas , Wynn Bellagio place 10 time expensive Gold Coast , question 10 time value consider go bedroom hour anyway ? ? ? ? 
 Feb 6 2007 	 great value - average Hotel 	 previously stay property 's sister hotel , Barbary Coast guess little spoil . good : price phenomenal . $ 45 night hardly beat Vegas . friendly service . leave Blackberry charger behind immediately call hotel check . phone , send someone room grab hold bell desk . not - so - good : location . look back think would pay couple buck Strip . shuttle service good . nighttime driver friendly . not start 9:30 stop 12:30 . extra hour either side would helpful . casino . poor ventilation compare place . think many dealer trainee . little personality , observe mistake . limit low we high - roller . overall though , hotel excellent value . buffet restaurant cheap . say get pay , sometimes want little comfort food hit spot much money . 
 Feb 4 2007 	 everything need 	 price incredible amenity hotel . Valet park car never take left end stay . arrive around 3:30 pm Tuesday afternoon check room 4 pm . front desk staff great helpful ask many question . eighth floor standard room find spacious , clean , comfortable . the shuttle hotel strip run like clockwork use evryday day back forth strip . driver shuttle hoot love chat passenger . casino , pool area , fitness center good anywhere strip . hotel not flashy offer everything large much expensive one . port Call buffet well feature food 7 different country . eat breakfast dinner . overall hotel top notch classy . almaost room recently redecorate top notch . for price , value convenience Gold Coast top list . would stay minute . 
 Jan 29 2007 	 consistently Good Choice 	 Received ( 3 ) free night additional food credit mail promotion , decide 2nd year row stay Gold Coast . continue meet exceed expectation . often , hotel great job know one name , case visit . phase service complete courteous timely fashion , expect . Buffet slightly average . prefer , choose two three night enjoy dinner Ellis Island , home $ 4.99 steak dinner , quite steak dinner . game Gold Coast wonderful , plenty video poker , jackpot abound ( 3 past two year average gamer ) . sure join Club Coast , reward easy understand , collect . parking easy , use parking garage east hotel . highly recommend Gold Coast , enjoy variety , can not beat place consistentcy well average . stay Gold Coast , sure . 
 Jan 28 2007 	 great strip hotel 	 book hotel expensive stay strip new year eve.the hotel block away strip problem free shuttle run hotel strip every 10/15 min 7 be midnight.the hotel lot big expect staff friendly helpful.restaurant great buffet breakfast $ 6 fantastic ( everything bacon egg mexican chinese ) room huge bed amazing.you could 6 us there.all usual , coffee maker , iron , hairdryer , flat screen tv , nice toiletries.room clean every day fresh towels.bathroom bit small shower hot powerful ( plus do not go vegas spend day bathroom ) would recommend hotel next time ' m vegas would stay without even think stay strip . 
 Jan 24 2007 	 great base Vegas first - timer 	 great , low - cost base discover Vegas . room clean , housekeep good . yes , bathroom decor bit date , shower excellent . eat breakfast Monterey Room every day , not try buffet far walk side hotel ! Ping Pang Pong great chinese , although beware huge portion - one main course enough two , believe . be gambler not chuck money green baize ... one small downside Nevada 's no - smoking law not stretch gaming floor , 's hotel 's fault . be true like palace Strip ( favourite NY NY , might try next time ) , no - nonsense base explore could not fault price . shuttle really handy . P.S . great food ( beer - hard thing Englishman find USA ) Brewery Pub Main Street Station downtown . 
 Jan 21 2007 	 Great Hotel Great Value ! 	 stay Gold Coast four time past year , time great . usually pay $ 40- $ 60 night , great deal hotel offer . room always clean , flat - screen TV 's , appear recently update . room comparable room strip , usually much low cost . casino decent size , plenty table slot , well huge keno , sport , bingo hall . 24 - hour bowling alley right hotel . pool average - not large fancy , clean nice ( usually stay Flamingo look spend lot time pool ) . hotel offer free shuttle strip , take Barbary Coast - right middle strip ! Gold Coast locate directly across palm , right next door Rio , also option within walking distance . one good thing Gold Coast fun book get upon check - in . fill great coupon free drink , free ice - cream , bowling , meal , among thing . buffet also great - and less half would pay buffet strip . overall , hotel great deal , great value ! 
 Jan 19 2007 	 treat Better Strip 	 stay Gold Coast week Christmas New Years Eve . really enjoy . find staff , right dealer casino , friendly helpful . find affable atmosphere hotel stay strip ( Bally 's Flamingo ) . room , though nothing special , , clean , quiet , comfortable ; price right . bingo fan , enormous bingo hall run game every two hour start 9AM ( free doughnut ) . large crowd look , chance win not bad . hotel offer free transportation Strip Oreans every fifteen minute . though may wait bus , save ton cab fare . Gold Coast , however , $ 10 cab ride to / from almost anything Strip , $ 13 cab ride airport . we plan stay next trip sin City . 
 Jan 17 2007 	 consistently great stay great price 	 recently return Gold Coast treat well always . park close hotel not walk country mile get lobby . megahotel often walk long way car hotel ; , GC . arrive Sunday give early checkin smile . room clean good repair . give coupon book free drink ice cream cone . use drink coupon watch Chargers - Patriots game cheerfully accept . weekday breakfast buffet cost $ 7 include tax . princely sum receive make order omelete good side dish include 3 different kind melon good taste drink . stay Bellagio Venetian . superior hotel many way . however , $ 42 night , believe Gold Coast good deal town . 
 Jan 14 2007 	 excellent value 	 Stayed Gold Coast CES show , Jan 6 - 10 ( 4 night ) . got decent rate , give expensive room week elsewhere . I take free shuttle Barbary Coast ( quick convenient ) , walk CES Sands / Venetian . day 2 , take shuttle BC go Flamingo get shuttle Convention Center . wait , Strip Convention Center congest crowd . do spend time Strip . mostly hang Gold Coast walk palm couple time . talk culture shock -- palm sleek , chrome , thump music , etc . Gold Coast staid casino get . palm clientele seem rich , rich wannabe , LA type . Gold Coast mostly local old folk . much comfortable Gold Coast . casino kind smoky . lots video poker -- many VP slot , ok poker player ( live video ) . play table game , always $ 5 BJ crap . sport book straightforward . Poker Room bit light player -- sometimes hard keep 6 people game -- friendly . also , good comp poker player VP player . room basic . could never get high speed internet conncetion work , despite 3 phone call promise & quot ; check & quot ; . never see evidence anyone check . complaint staff service . configuration room kind odd -- internet connection ( could never use anyways not matter ) dresser across room table / chair . not know expect use computer -- sit floor , guess . move furniture around suit . mattress kind soft comfy . also like clean sheet top bedclothe instead bedspread ( never know long since bedspread launder ) . always toss bedspread floor anyway . good water pressure shower , open window bathroom fresh air . problem noise room . walk room elevator quite long . good exercise , though . never long wait elevator entire time . security guard hotel elevator night - time hour . buffet ok breakfast . eat meal . coffee shop ( Monterey ? ) good coffee shop food , good selection , reasonable price . no - smoking good . oyster Bar pretty good , . casino -- busy crowded . always room maneuver . door window along front side hotel , always easy get orient . sometimes get lose turn around huge casino . I ' m bowler , check bowling alley pretty impressive . chilly pool , check . also movie theater . summary -- stayed & quot ; medium price & quot ; hotel couple higher price one past 10 year ( Flamingo , Monte Carlo , Luxor , Sahara , Harrahs , Riviera , Frontier , MGM , Tropicana , Paris , Ballys , Treasure Island ) . would rate Gold Coast good value , except possibly Ballys . glamour , glitz -- good , basic , straightforward , hotel casino need good price . staff polite . want crowd beautiful people & quot ; excitement & quot ; Strip , get -- free 10 minute shuttle away want . 
 Jan 9 2007 	 well expect ! 	 great small casino , hotel . friendly employee , super fast valet great food . surpass expectation cleanliness , decor layout casino room . bathroom bit small fan shower/ toilet room , small window back wall shower stall . bed super comfy king . 6th floor non - smoking , stay # 668 , bit walk elevator , walk far elevator , ask room close . security room entrance night , nice plus know watch go room . right across street Rio Palms , action close . bowling alley huge lot fun , play 20 + year . great hotel someone budget not care flashiness big hotel shop . car nice getaway monster hotel , casino . not many kid , Strip 's hotel flood stroller , etc , etc . real disappointment deal kid baggage . Vegas adult least keep kid kid friendly area . will not back new bridge Hoover Dam do . hotel construction do , make Strip fill see since see , ready new stuff . 
 Jan 2 2007 	 Nice Price otherwise Ho Hum 	 stay property two non - consecutive night , night fly , night fly Vegas . standard room , king - size , non - smoking . first room well last . book hotel 's website please $ 45 rate ( esp . Saturday night ) . feel pretty confident positive review site . however , disappointed . Vegas usually stay WAY strip , since not gamble abhor cigarette smoke . year ago stay Monte Carlo lovely time -- room beautiful hotel pleasant every way . enjoy equally excellent rate . gold Coast different experience . shlep stuff sleazy , smoke - choke casino get room . barely room pass bar patron glaze - eyed gamer . trek elevator accompany blaring & quot ; entertainment & quot ; -- guess 's nice symmetry totality every sense assault one already frazzle long day travel . room pretty much describe early review , plain , adequate , spacious , big tv old , brown bathroom . first room quite clean , second less clean . second room smell smoky . bed comfy enough , bed thin extra blanket sight . climate control could use update -- noisy leave night , second room wreak smoke heat . staff okay . get free ice cream cone . will not tempt nice rate . 
 Dec 29 2006 	 Terrific Value - Exceptionally clean 	 everything property positive every way . book standard room two bed upgrade two bedroom suite tenth floor . room huge . shower brilliant although climb tub tricky side wall tub high . internet service $ 11 daily fast . accidentally spill sticky mountain dew tile floor clean wet cloth , cloth come floor absolutely clean . television service excellent . food inexpensive excellent well . staff courteous check - in quite fast . oh , remember negative aspect hotel . elevator large crowd wait , stop almost every floor slow . absolutely stay . 
 Nov 19 2006 	 3rd Time 	 stay Gold Coast three occasion never let . bus link Barbary Coast 's like stay middle strip without chaos bring . room spacious clean . year plasma television add . staff always friendly helpful . show forever Plaid well worth visit . ten minute bus strip five minute walk palm rio . overall cost take account Gold Coast take beating . 
 Nov 19 2006 	 get suite ! 	 price right $ 10 cab ride anywhere want go strip . get suite ( AMAZING ) weekday rate appeal . room service reaonable , quick tasty . regular room lot wear tear , poor bed etc . even regular room not bad consider sleep . plasma TV 's great ! 
 Oct 17 2006 	 Excellent Value 	 wife stay Gold Coast 5 night past September . know expect , first stay facilty , pleasantly surprised happy decision . expect facility par say Ceasers Palace , Bellagio , place . however , room clean recently remodel , large flat screen tv wall . king size bed extremely comfortable . item room remodel bath area ( shower toilet ) . although clean , appear original facilty . pool area nice , compare pool 's hotel 's strip . one nice amenity abilty take free shuttle & quot ; Coast & quot ; hotel 's . take advantage free shuttle service Barbary Coast daily basis , total distance strip mile two , take 5 minute door door . food Gold Coast good . breakfast every morning buffet , wide variety option . also dinner buffet two evening food good . wide variety offering , satisfied . two evening eat Cortez Room Gold Coast . advertise Prime Rib good town , would agree . think 10 ounce Prime Rib $ 12.95 well worth . way , & quot ; 10 ounce & quot ; Prime Rib probably easily 1.5 2.0 lbs good . overall would hesitate stay Gold Coast . certainly deluxe accommodation hotel 's Strip , not think beat value Gold Coast . 
 Oct 5 2006 	 good place play 	 liberal blackjack , excellent sportsbook , friendly service loose comp . Non touristy strip casino . 
