Nice 	 hotel normally stay jacked rate $ 200 dollar night - decide look elsewhere . book hotel & quot ; Trip Advisor Deal . & quot ; get room $ 113 plus tax - total bargain city . expect accomodation could marginal price . pleasantly surprised find completely remodel room new bathroom . stay second floor mini fridge private bathroom . front desk staff super friendly . UW side exactly happen part town - hotel conveniently locate next Subway . leave luggage locker first floor check . nice know belonging lock safe finished siteseee ( $ 5 24 hour ) . definately say . btw - breakfast 24 hour Key West diner ( next door ) cheap good . 
 great place stay visit upper west side family 	 hotel clean room spacious well design . visit family city use hotel convenient place sleep . view room interior courtyard , fine quiet . reserve room 2 double bed , upgrade Junior suite . 
 Oct 29 2006 	 like place 	 attend conference upper west side find hotel . work great . Jr Suite two queen bed . room clean , extra space Jr Suite three us room never feel crowded . bathroom clean newly remodel . great right Broadway subway line . find several restaurant near enjoy discover new part New York . I recommend hotel nice mid range place stay . 
 oct 22 2006 	 like place 	 great location - pay get . basic room , basic hotel - cheap & amp ; cheerful lovely staff . would stay short city break . great place eat next door brunch . 
 Oct 16 2006 	 great little hotel upper west side 	 see Hotel Newton 2528 Broadway several good review book stay October 10 - 15th wife . people behind counter nice , room immaculate , location excellent . minor annoyance elevator quite slow , 8th floor run hot water 5 minute warm . still , room absolutely spotless new fixture make little problem . I stay Times Square area time grow weary endless stream tourist hustler ( ya wan na buy Rolex ? ? ) . subway stop Newton block away . this neighborhood feel like NYC . return next year . 
 Oct 16 2006 	 great find Upper West Side 	 boyfriend never stay hotel NYC book reservation Hotel Newton base multiple great review read internet . not think could find well deal 5 - day vacation quaint , clean , perfectly - locate hotel . upgrade Junior Suite , staff well hotel guest friendly helpful . Central Park , subway stop , various restaurant , bar , shop within short walking distance . neighborhood safe , always lot people walk around . negative experience elevator break day half , force walk 8 flight step whenever need get room . despite one mishap , would definitely stay Hotel Newton would recommend anyone . 
 Oct 15 2006 	 average excellent 	 stay one week October 2006 , first time abroad view hotel little hampered fact bad jet lag week . I will get bad point way , room tea coffee make facility , reservation mess instead two single bed end double bed ( not bad sleep different hour due jet lag ) good point excellent location , could not believe close central park , restaruant next door amazing food portion huge , subway stop right outside door matter end know hotel end subway journey , good shop around include newsagent ( good alcohol ) chemist McDonalds , safe area , going walk 5 am woman jog , hard describe feel safe . all would definitly stay tea / coffee make facility room ( sound petty travel 13 hour we english guy desperate home make brew ) restaruant next door open something like 22 hour day 's big problem . I read review dirty room etc think way think hotel stay holiday , use sleep , awake room bathroom ( always clean ) not important , location though hotel great location : ) hope help . 
 Oct 4 2006 	 horrible horrible horrible 	 part wedding party . go check , staff extremely slow obviously could not care less . mixed room ( send one someone already stay ) , rather apologize , said & quot ; anyone could make mistake & quot ; . room tiny , even Manhattan standard , cleanliness ok , though everything seem threadbare . forgot cell phone room check . call front desk ( return home ) , get put tell contact housekeeping prove elusive . couple week later , get cell bill , $ 300 worth charge call Dominican Republic . never , never , never ! 
 Sep 29 2006 	 great Clean Affordable 	 stay girlfriend 3 night , sept 17 - sept 20 . 's great place stay , central park walk 10 minute , 1 block subway , safe neighbourhood . recommend everyone look nice hotel new york ! Room flatscreentv , share bath also nice clean , wait 5 minute , 3 day time ... save money go share bath : ) cheer ! 
 Sep 25 2006 	 great little hotel ! 	 stay hotel friend 4 night . room 2 twin bed private bath . good deal could find Manhattan room private bathroom positive review . room clean . matresse comfortable . room small side not go NYC hang hotel room . staff friendly give we great tip . key West Diner next door good . Vintage New York ( wine bar / taste room ) couple block away great opportunity taste New York wine . hotel locate Upper West side quieter main tourist area . subway half block away catch Express , stop Times Square / Broadway . Central Park within walk distance . definitely stay . 
 Sep 20 2006 	 Nice hotel 	 hi , stay hotel Newton four night , hotel well except . staff nice room ok . 
 Aug 30 2006 	 Great Value Great Location 	 end hotel win sale contest tell would stay . season traveler NYC , concerned location size hotel . overall pleasant experience , front desk personnel extremely friendly accommodate , room , clean quite small . although notice one elevator speedy , usually available fairly quickly . key West Diner next hotel wonderful convenience morning food excellent . try Hotel Newton .... right next subway stop get anywhere Manhattan minute . 
 Aug 1 2006 	 love Newton ! 	 stay Newton mid - July whole week . first time NY apprehensive accomodation . turn one good surprise trip ! Newton cheap , squeeky clean staff vey polite helpful . hotel wonderfully locate . 5 minute walk & quot ; reservoir & quot ; Central Park , one minute walk subway ( line 1 - 2 - 3 ) take 42nd st / Time Square 5 minute 15 minute walk Zabar 's ( 80th st ) ........ be absolutely doubt mind future trip New York come hand hand stay Newton . 
 Jul 3 2006 	 Excellent Budget Choice 	 please stay Hotel Newton . forewarned look unimpressive street -- must front room hotel 's ground floor let various street - level business , see initially canopy stretch towards street , follow long hall lead back small attractive reception area . ( not imagine 's pull - off driveway street -- park curb unload bag . ) inside check room , however , thing quite pleasant . two queen - size bed , completely modernize bathroom , decent - sized refrigerator small desk . find hotel quite clean . room certainly spacious postage - stamp size quarter would get budget hotel midtown . location , one block 96th Street stop red line four block 96th street stop blue line , prove quite convenient . ample selection casual restaurant area -- , , breakfast day Key Lime Cafe , outside hotel downstair -- Central Park four block away . and minor caveat . be bring car , hotel parking . arrangement nearby garage , arrive 1:00 p.m. weekday , garage 's long - term parking already fully take . find long - term parking another garage two block hotel , warn stringent term even think ask car schedule date departure , four day hence . get parking , run $ 35 / day , not consider unreasonable nyc.the hotel readily reachable car , way . GW Bridge , take West Side Highway 96th Street exit , go couple block east , make turn Broadway , be there . the hotel restaurant , plenty nearby . almost nobody hotel 's desk staff speak anything heavily accented English , especially friendly helpful . not slip leave disturb sign oputside door -- clean staff treat iron commandment , room touch . a friend NYC , upon hear stay , describe Newton & quot ; little - know gem -- family use time . & quot ; would not hesitate stay , certainly recommend family look budget alterenative NYC . 
 Jun 25 2006 	 Mold rude break elevator 	 mold grow ceiling room ! carpet wet also mold . elevator get stick every floor open floor . day check , elevator working . front desk staff rude quite unhelpful . pay $ 5 day internet useage , be good 12 hour . ( explain day 24 hour , 12 ) . location convenient subway system , hassle worth low price . stay somewhere else unless want come home mold allergy frustrating memory . 
 Jun 18 2006 	 good 	 reasonable price . look place stay ny reasonable price , easy access Time Square , one . 
 Jun 13 2006 	 cheap good clean 	 sleep three night clean nice hotel . think 's worth money . tv , microwave , refrigerator everything clean . people hotel nice . if ever go back ny , will take hotel ! 's cheep good place stay . subway station two minute walk near hotel ! good restaurant nearby ! 
 Jun 10 2006 	 Good Budget Hotel 	 dad stay Newton 4 night apartment hunt Upper West Side . two twin bed room semi - comfortable small we be 6 ' 4 . a / c work great room clean . little problem brown water due rusty pipe something fix 1/2 day time . stay 6th floor elevator take forever sometimes two stair case use many people . average stay would go back need hotel $ 100 night NYC . recommend budget traveler . 
 Jun 8 2006 	 Decent 	 stay seven night like price . enough leave tip never , ever leave that . as clean . pleanty towle , cup ice get every night cool walking . fix problem . check prompt . harldy ever see guest , like . never hear anyone , like . also surpirse one ever complain noise make middle night . Liked Key West Diner right next door ( variety affordable breakfast ) . loved duane reade ( pharmacy ) corner , come handy time . ATM available pharmacy McDonadl 's ( 99 cent ) . subway station across street , much walking be nice . also room store luggage need . internet access 20 cent minute . the downside look way firm bed ( feel like floor ) thin pillow . be ' ve become accomsted pillowtop mattress thick pillow . oh , yeah last day hour water brown smell . luckly do bathroom stuff . just one thing size room fine , thing one bed place right next bathroom barely space leave get bathroom . closet hold clothe , pleanty drawer . bathroom nice big mirror spacious enough fit two people comfortably . 
 Jun 1 2006 	 great value 	 stay newton 4 night complaint . room modern clean include tv microwave fridge good air conditioner . bathroom clean housekeeping good . think recently renovate . location good , upper east side , couple block cental park subway minute walk away . plenty restaurant bar near pretty quiet street night ( new york standard ) .if look cheap clean hassle free hotel would recommend . 
 May 5 2006 	 fantastic value money . 	 spend 5 day hotel , enjoyable stay , clean shared bathroom feel sure used keep impecibly clean tidythe staff helpful offer useful advice , never seem put we access free safety deposit box various time day . the hotel situate close subway take directly time square , south ferry statue liberty many atraction . we would recommend key west diner breakfast dinner food delicious cocktail ! ! ! ! 
 Apr 30 2006 	 Sound Budget Hotel . 	 reside Newton 7 night , & amp ; comfortable & amp ; pleasant stay essenially budget hotel . although locate distance major tourist site ( Empire State Building , Times Square , Rockerfeller Center etc ) subway 30 second walk away ( situate 96th street ) & amp ; get main attraction time . would strongly recommend express train get about . the hotel whilst date & amp ; need modernisation , clean & amp ; presentable & amp ; staff helpful & amp ; always available . room although clean & amp ; tidy , farily small & amp ; air - conditioning noisy , & amp ; anyone wish visit New York summer month take notice . stay room share bathroom keep extremely clean throughout stay . main problem door key let room feel like ! ! particularly stressful early hour morning especially drink ! ! would strongly recommend diner next door breakfast , service & amp ; quality food excellent . numerous decent restaurant vicinity hotel especially mexican block north well French Bistro . good budget hotel nice quiet area ( even New York 's standard ) . would happily stay . 
 Apr 24 2006 	 recommend warning 	 would recommend hotel . like everyone else say forum good reasonably price base see New York . room spotlessly clean quiet location , well - place number 1 subway take quickly centre Manhattan . love diner next door treat like hotel restaurant - breakfast special e.g . eggs , fried potato , coffee , fresh orange juice , toast jam $ 4.50ish wonderful . see 3 room - 2 brand new bathroom , third bathroom quite tired badly crack sink , keep clean not matter . ' tea / coffee make facility / microwave room although post say , ' rely . warning - read hotel not guarantee twin bed , four travel not want share bed decide pay extra two room two double . arrive allocate one room two double , one bed . go back desk , receptionist go autopilot - ' we never guarantee two bed ' - say ' know don't- 's pay extra two room two double ' . show booking reply ' you not book hotel , on - line booking . never guarantee on - line booking ' . say least owe refund - refuse ' take Expedia ' . uncomfortable night sharing bed go desk next morning tell 2 bed room available we ( apology ) . fine rest stay uneventful . would stay hotel , book on - line would advise anyone fax phone hotel travel confirm book detail , particularly book anything ordinary . way staff helpful organise transport airport we end stay . traveller ' tip – ' worth buy 7 day metro card even ' stay full week . hop bus subway get money ' worth 3 day . 
 Apr 7 2006 	 clean cheap basic - wanted ! 	 stay hotel week read review other tripadvisor . 's good deal want stay New York budget , basic clean safe place . the room small , big enough . clean towel change daily . share bathroom clean daily fully functional . find hot , window open time ok . quiet room back even though hotel Broadway busy road . situate nice area Upper West side , one block subway head downtown within 5 minute walk dozen restaurant . like metro diner block north . diner next door good . 's bank road cash traveller cheque . 's luggage store hotel leave bag night flight ( back Europe say ) .The people reception helpful use deal foreigner , direct reasonable car hire 83rd . my complaint smell cigarette smoke communal area although room smell smoke say 
 Mar 29 2006 	 clean safe comfortable Newton 	 hate pay need delight Hotel Newton . basic small mom pleasantly house three night stay . mom worry not stair think leave room night share bathroom make apprenhensive . problem either though ; elevator fine bathroom one door away obviously well keep . strangely , share bath give Newton homelike aura . painless well never notice sharing . , neat old hotel distinctly lose - in - time feel . saving room allow we see extra play last day , find cafe next door full good food , reasonable price heartland american tourist ! ! enjoy feel clever find safe inexpensive way see New York not feel cheap ! 
 Mar 27 2006 	 Great Value 	 ' ve stay Hotel Newton three time . price pay , be great value . differ review suggest clean . contrary , clean , housekeeping service efficient , thorough , unobtrrusive . frill , be fine . want mint pillow kind comfy perk , pay three time stay elsewhere . clean , comfortable place decent rate , Hotel Newton get business . 
 Mar 19 2006 	 basic 	 room room , veiw , smell smoke non smoking room , need up - date good clean 
 Mar 1 2006 	 Great Hotel Budget Traveler . 	 Great Hotel budget traveler . clean warm room nice bathroom . staff helpful friendly . go New York shop want clean warm hotel good price . place stay . stay hotel next time visit New York . 
 Feb 28 2006 	 Perfect budget hotel 	 family ( 2 adult , son age 15 ) stay Newton Hotel three night February 23th 25th . whilst Ritz , think hotel one could expect budget hotel . staff helpful , room reasonable size clean . also coffee make facility room microwave , although give restaurant shop close never use . find lift big issue , even though ninth floor , long wait couple minute . eat Key West Diner immediately next door , City Metro Diners within four block Broadway . similiar food fine . one good thing hotel despite 94th street , use metro outside hotel midtown within minute . central park within five minute walk well . final point travel hotel subway subway train JFK , real bargain $ 7 ( $ 5 Airtrain , $ 2 subway fare ) , thing note need change train point , either 59th street b train , switch number 1 train either 34th 42nd . not end 125th street catch b train back 96th street . 
 Feb 4 2006 	 can not wait go back 	 friend stay newton back september 2005 , founf staff helpfull pleasent , room clean keep clean.i hoping take family new york future would love stay newton think star rating higher . 
 Jan 22 2006 	 Nice 	 Hotel Newton nice little hotel . quiet neighbourhood - complaint . room spacious - surprised consider NYC . 's good staying day . staff could helpful would prob stay go NYC . restaurant close close enough attraction . 
 Jan 19 2006 	 place great ! ! ! 	 make many trip NY budget , well stay . warm , clean safe great neighbourhood . the staff outstanding , cheerful extremely friendly - especially night staff . ok decor not plaza - want plaza , stay spend $ 1000 night . remember NYC , sleep ( etc ...... ! ) room waste NY experience , sleep plane home ! great deli 's nearby also nice restaurant . walk block south Carmines - excellent relatively inexpensive italian - always busy know 's good . block try time cafe - eclectic menu good food . overall , excellent value , nice people , nice area , great visit . 
 Jan 12 2006 	 great price Great Room Quiet Location 	 review ton hotel TripAdvisor attempt save money trip NYC last summer ( midtown hotel crazy expensive compare past trip ) , Newton came recommend great price . not expect much reasonable rate , room spectacular . huge , flat screen , wall - mount tv , sit area include sink refrigerator , gigantic , Euro - style bathroom ( completely tile room , shower half room curtain pull ) great water pressure . it be true elevator slow small , hotel exceptionally clean , staff super friendly , room ( previously state ) spotless huge money , hotel half block subway . express train get Times Square time end day get return relatively quiet NYC neighborhood ( be great Thai restaurant street , ) .In short , Hotel Newton great hotel budget - conscious traveler , traveler . ' m stay next month look forward another great experience ! 
 Jan 8 2006 	 nothing Great need Refurd Bad ! ! Bad Location Tourists 	 stay Newyork fantastic , although position hotel Newton little let right next Subway station be not bad bit hassle New Yorks cold weather ! hotel Cleanish ... BEST THO ! staff nice enough major complaint . hotel internet access handy 's basic there s one booth . pay alot money stay Newton future would pay little comfort well location . another problem share bathroom , time hotel be not bad . decor terrible sometimes feel like scene shine horror hey holiday care ! do not mind basic hotel centre ( 96th street ) go ! 
 Jan 7 2006 	 complaint ! 	 stay Newton Hotel early December , busy period New York ! complaint hotel , room private bathroom ( book bathroom ) . clean , warm comfortable . everyday bed make hotel staff extremely friendly . would definitley go back hotel ! ! 
 Dec 27 2005 	 Traveler Beware Newton 	 although purpose travel New York stay Hotel , want appreciate entire vacation experience . pay $ 324 two night stay get -- -there several problem hotel including:1 . hotel turn heat certain time night probably around 12 pm 1 am , that s think one notice . turn back early morning . New York pretty cold winter month really do not want get sick ! figure scheme second night , try get help first night , guy come play heating device say wait 15 minute . call third time tell we one else complaining.2 . showerhead work , go hall another bathroom take shower.3 . phone working dial out.4 . pay internet access . Holiday Inn right 94th street cheap place . regret book Newton . 
 Dec 20 2005 	 beware internet booking user -- -- couple 	 confirm reservation & quot ; non - smoking double & quot ; arrive tell & quot ; preference guarantee especially since book internet -- -- & quot ; .We ad arrive early evening even late know come several week . confirmation paper state nonsmoke double worthless . get smoke fill TWIN . effort rectify management even call hotels.com could correct . say would look possibly change room next day never get anywhere . bathroom recently remodel although small nice place hang out . we spend 2 day leave another hotel least nonsmoke double . the smoke smell choke pervasive . Dec 2005 . location great near subway . couple expect sleep together need look elsewhere . 
 Dec 1 2005 	 great stay price 	 although would not say average hotel .... price , certainly average . go NYC year first stay Newton . get room share bath ( think 2 room share ) save money ( save well $ 100 / night ) well worth . would say minor inconvenience bathroom room , else get good , safe place stay NY $ 120 / night time year often room . everything clean comfortable . room average size NYC ( small ) . not wait elevator time ( also average NY hotel ) . front desk staff nice ' ve meet NYC . * * * * best * * * * left item room not realize get airport . call housekeeper turn able get UPS pick return get home . whoever say New York City friendly place ! ! ! ! -Richard 
 Nov 21 2005 	 amazing good enough . 	 hotel newton get pay . be cheap , budget hotel decent location near subway . Bathroom - Clean small . linen fresh , toiletry basic , clean 's really matter . room - small like NYC hotel , bed lumpy pillow okay . boyfriend kill bug , not tell left ( thank god ! ) . air - conditioner room visit hot summer month , loud inefficient . not really cool much . view , face concrete courtyard . Staff / Hotel - Staff really pleasant , elevator really really slow . pay - locker really handy well store stuff check . factor $ 25 parking day . , hotel cheap bad . splurge extra $ 50 / night something well , recommend . can not wait till graduate University avoid budget hotel general . 
 Nov 21 2005 	 let us face will not spend much time ! 	 Hotel Newton great thing go . be incredibly cheap , area quiet ( eerily sometimes ) bustle Times Square minute , staff charming professional . must remember , however , get pay . room incredibly small bathroom put together way make difficult use . toilet block approximately day annoying . ' anywhere hang clothe although iron board room . one lift use twice visit , traveller mobility issue wary . bar restaurant Newton diner serve typical NY diner food attach , great quality cheap plenty . thai chinese place block great shake either , would recommend travel 10 block Broadway French Roast far nicer much attentive professional staff . all Newton perfectly adequate , like , travel budgt spend little time hotel travel . 
 Nov 15 2005 	 Excellent hotel price 	 stay Newton week Nov 7 . ask refurbish room pleasantly surprised . clean round large NYC hotel room , comfortable bed , nice bathroom great shower , flat LCD TV , separate sit area 2nd TV . room 9th floor long wait elevator . we love location , safe residential neighbourhood , subway one block away , starbuck across street , Zabar 's Natural History Museum 10 minute walk , Central Park 5 minute away . for rate pay , less half would paid name brand midtown hotel , think place steal wonder raise rate refurbish room . 
 Nov 15 2005 	 Basic friendly ! 	 stay Newton hotel five night last week actually pleasant surprise . room ( private bath ) basic ; upholstery old date bed comfy bathroom clean hot water day . not see evidence creepy crawlie write past review ( one main concern ! ) agree hotel funny smell . nothing bad soon get . side room hot . could not adjust radiator sleep window air con November ! ! ! ! ! lift slow ninth floor not really option walk never really wait long go . hotel staff friendly accomodate always chat ! hotel fab location - subway close 1,3 & amp ; 9 line run straight Manhatten . 10 min Times Square big interchange aswell . close Central Park , Natural History Museum etc . half hour/40 min walk Fifth Avenue etc . lot good eatery near would thoroughly recommend Lemongrass Grill couple door away . overall would recomend Newton Hotel be somewhere crash long day sightseeing would certainly come next time visit New York . 
 Nov 7 2005 	 see Better Days .... 	 hotel definitely see well day . I stay seven night begin November . middle second night wake , switch bedside light see cockroach keypad phone beside ! deal always wonder go room light go ... room small , bed touch dressing table , could not sit stand bed pull one set curtain . a large cabinet contain tv wardrobe , hang rail . the carpet room corridor definitely shabby . every morning smell food corridor outside room ( 3rd floor ) yet restaurant hotel . perhaps get din next door . my bathroom new - look one night find spider walk around floor . communal bathroom / toilet end corridor source noise every night people come 2 3 am evening ! ! lift slow people walk ( 9 floor ) . staff prop door open trollie time - rest guest desperately try use can not always full . location fine , subway close , good diner next door , lot shop , restaurant drug store . think hotel need makeover . 
 Oct 28 2005 	 OK 	 stay Newton 5 night . must say basic accommodation fairly clean Walls bit thin side bed comfy . place sleep recommend it . location bad , metro outside hotel , 10 min Time Square , walk 45 min pleasant . problem lift , staff polite funny smell , bad smell . overall basic scary . 
 Oct 26 2005 	 price can not beat . 	 husband stay Newton mid October think great place stay money . husband reservation have see word budget , pleasantly suprise say would stay next trip . the room good size NYC bathroom look new . lift busy morning try use room clean . the room bathroom spotless . staff front desk helpful . the subway outside door , lot place eat drink . jazz bar road place go late on . overall good experience recommend Hotel Newton friend family . 
 Oct 25 2005 	 Great Hotel good neighbourhood 	 husband stay Newton Sat 1st - Thurs 6th October . we delight room - spacious , comfy bed , nice furniture large bathroom full size bath . first arrive think room go bit noisy - air conditioner unit roof buide next door - fine window close properly . Newton safe neighbourhood shop restaurant doorstep . chemist couple door away open 24 hour , sell sort include ice cold drink . diner next door ( Key West ) good breakfast couple time . really good meal thai door away . the subway within 30 second walk hotel . the bad thing could say hotel one lift - cause us problem middle day 1 pm / 2ish try get . anxious get quickly - get ready go wedding ! ! not problem get lift go early morning , return teatime / evening/ late night . the staff hotel helpful . will definately stay , good hotel good location . 
 Oct 23 2005 	 great budget Hotel ! ! 	 wife stay hotel 28/09/05 03/10/05.hotel small outside , open walk inside . lobby nicely decorate clean , staff always helpful friendly . we stay 7th floor , room always clean plenty towel , room extremely big ok crash long day ! hotel close everything need , i.e drug store , diner , coffee shop , subway , McDonalds , dunkin dounut . subway quite easy use , alot people helpful . would definatley recommend hotel stay ! 
 Oct 17 2005 	 brilliant little hotel ! 	 husband stay Hotel Newton 1st - 8th October . find hotel nice indeed ! arrive hotel lunchtime Saturday greet modest lobby ( spotlessly clean ! ) two smile face behind desk . room not quite ready able leave case whilst go mooch around surround neighbourhood find nice also . return hotel give 2 key card advise room second floor also happen vend machine , ice machine payphone happy , also wait Lift 1 flight stair ! room little small side serve purpose less , clean bright decor ( good not see light day , see picture view , lack , window ! ) . bathroom nice , clean lot towel change daily . we get marry whilst NYC receive lot email flower home , become know famous room 207 ! subway station almost doorstep , Duane Reade ( think Superdrug UK ) couple door everything may need whilst hol , abundance coffee shop , cafe diner around hotel . be sure speak Larry shoe shiner sit outside hotel lovely guy character ! go along ' bet tell get shoe , name street , city , state .... ' etc etc , laugh ! room tv phone coffee tea make facility , like morning drink buy kettle 2 mug hardware store block ! would highly recommend Hotel Newton anyone budget , keep money sightseeing shopping enjoy stay pleasant little hotel like Newton . 
 Oct 13 2005 	 b.e.a.utiful ! 	 mother stay Hotel Newton 5th october-9th October love every minute ! honest annoy expedia first arrive consierge tell we one double bed , even though expedia ' promise ' we would get two queen bed ( - love mum , much ! ) however , hotel happy offer we extra bed , go sleep , considerably tall mum - although , tall ( 5 ft 8 ) , leg come way side , get double bed ! lobby nice cosy slightly pecimistic get stairs corridor decorate gastly green colour . still keep hopeful though get room seem pay . order en suite bathroom , must say , nicely decorate . actually walk shower suit fine , nice spacious . actual room okay sized , find fit extra bed fine . around 38 tv channel find lot entertaining , also 2 spanish channel . bed nice comfortable , perfect be knackere walk around endlessly day ! mum be probably even comfortable seem suck mattress ! wardrobe large enough , could do hanger . plenty draw put item clothing well . get ice bucket come useful stay second floor ice machine right outside room . situation hotel perfect well , 96th Street Station right outside door : turn leave , walk across road be ! train line ( 1,2,3 ) go right South Ferry , go across Statue Liberty Ellis Island . also , stop Times Square Penn Station along way . get use ride subway , become easy , will realise easy switch train . bus also good get head block toward central park , bus stop along avenue . consierge helpful prior leave , arrange shuttle minivan take we airport , cost $ 21 not think bad . also , first arrive offer place valuable , passport , safe behind desk free charge , think welcoming . also give we plenty map city , subway bus route , sight see brochure . recommend also pick copy city guide desk lot useful information inside , also money - off voucher . , really enjoy stay : bedroom nicethe consierge helpfulthe cleaner wonderful job every morningthese thing make great accomodation one proud recommend anyone ! fault hotel 's , case bedding arrangement , expedia 's , absolutely negative point toward hotel . delight stay hopefully one experience , miss already ! 
 Sep 26 2005 	 Hotel Newton info 	 Ok goesMe friend stay lad week new york sept 17 - 22front desk fairly helpful , book expedia ask twin room , guess ? ? ? yeah that s right book double , front desk change straight away good . Eleveator SLOW watch wernt get back 4 am night do not really matter . room fine clean smell bit like petrol ( review mention ) 7th floor diner around morning time smell start seep air con unit . bathroom small clean maid service second none clean towell bed etc give aspect top mark . Room come iron ironing board also phone tv , must leave deposit international call , buy phone card use payphone second floor ( cheap ) get metro card $ 24 week u can not lose get NUMBER 2 express train time square ( 2 stop ) around 7 min , line also cover rector street WTC memorial , Chambers st Greenwich village south ferry liberty ellis island ferry , you re prepared use subway location fine , make sure get express 2 train time square soo much quick local 1 train ( call station ) beware subway weekend wait nearly 30mins train could not get , albeit times square . I recommend strand diner around corner hotel find well one right next door , turn right outside hotel walk 96th street turn right 50 yard you re right lovely english brekkie although call irish breakfast menu ! ! ! ! ! ! uk person speak slow understand u well , there s comedy club around corner weekend ok irish bar 86th street , scruffy duffys bar near times square great well . factory outlet place 60mins bus , do not go tell place shop jean , nike world etc ( ask reception ) ...... century 21 ok , store opposite WTC memorial ..... that s find cockroach near front door bedroom last day , hey new york .. overall ok budget hotel do not expect astoria clean bit smelly ( depend room ) neighbourhood seem ok , mcdonald , bank dunkin donut across road , two diner doorstep , 10mins walk central park , 24 hour drug store corner well subway express station . give go , I ve stay bad ...... enjoy guy ........... 
 Sep 24 2005 	 Good Hotel ! 	 stay Hotel Newton Sept. 18 - 24 well expect . arrive think neighborhood questionable , worry find . locate nice residential area everyone helpful kind . room 702 non - smoking ( please request need ) . room clean maid come daily re - stock w / clean towel , drinking cup , etc . room two queen bed 3 we overall comfortable roomy . expect little snug , nothing can not live . front desk one good thing b / c helpful give direction even give subway map NY ( circle route we ) . offer place eat ( diner next door Key West good breakfast not care lunch price great ) try keep happy . complaint elevator . one wait long time get . expect wait cleaning lady use b / c small . low floor might mind walk stair 7th floor wait ( 20 minute ! ) . also , night leave smoke reake thru room . realize smoking room nearby someone smoking hall . complain take care ( tell lady would tell leave smoke hall not even allow ) . problem , fix immediately . would recommend stay would tell try get suite w / kitchen big living area ( off - season 's pay $ 160.00 ) . prepare subway trip b / c hotel upper west side away main bustle city attraction . would reason stay . pleasant experience 1st time visitor ny . sorry pic bedroom area ( forgot take empty ) ! 
 Sep 16 2005 	 expect 	 mixed feeling hotel review mix . problem . yes 1 elevator , honest downside . excellent value money . great location . room date clean . maid sweet concierge helpful . garage fine . experience New Yorkers treat courtesy , courtest return . Enjoy.p.s diner next door great . 
 Sep 13 2005 	 would definitely recommend Newton 	 return 3 day Hotel Newton . money , hand , GREAT deal pay . stay room 506 recently refurbish clean nice . little shocked expect something nice . downside see fact 1 elevator , stair usually end quick . stafff helpful accomodate luggage check date well . within 100 foot subway great location many thing . would stay . 
 Sep 1 2005 	 great hotel Upper West Side 	 stay hotel August 18 - 22 , 3 woman & quot ; chick & quot ; break . room 210 newly furbish flight stair lobby . clean , friendly hotel highly recommend . take subway many time , # 2 train Times Sq . excellent ( 5 minute express ) - walk many place , Rockerfeller Plaza etc . line also take Battery park ( Statue Liberty , Ellis Island , Wall Street ) . great time return Newton . good tourist hotel town . 
 Aug 27 2005 	 Perfect cheap place stay 	 hi ! stay Newton hotel first time New York . hotel perfect , cheap nice loaction . see som picture hotel review . any1 go ny , want spend much stay . near Metro . 
 Aug 18 2005 	 great low price 	 work one large hotel chain nation , happy Newton . people say room small probably never NYC , room large Upper West Side . room 2 queen bed plenty room walk - in closet . parent room type also good size . great location - near 96th street Express # 2 train take straight Times Square . plenty cheap eat area quick breakfast . starbuck across street . 3 block Central Park . good job , Hotel Newton . 
 Aug 15 2005 	 price excellent 	 wife spend week early July Hotel Newton , really happy choice . sure , build not exactly new room small , NYC hotel price range , not expect shiny new spacious . despite age , room impeccable condition clean . air conditioner good enough keep room nice cool even 95 - degree day , hum enough drown traffic noise , even though room 2nd floor window Broadway . the neighborhood also nice , several good breakfast dinner opportunity within block . 
 Aug 12 2005 	 nice stay ! love ! ! 	 stay Newton great . nice room , good maid service staff great too . kind , polite helpy . thank everything . thing miss one elevator . everything else perfect ! 
 Aug 6 2005 	 great bargain hotel - Rude Parking Garage 	 Family four ( 2 teenage boy ) stay Newton 3 night , July 19 - 22 . Junior Suite ideal we , 2 queen bed ( Manhattan rarity ) , kitchenette update decor , bathroom . staff pleasant new air conditioner work flawlessly . neighborhood pleasant area stay , convenient subway block Central Park enjoy NY Philharmonic Orchestra free . only one complaint keep award five star : contract parking garage staff rude collection man ever encounter anywhere world . ALWAYS try rip contract rate ( $ 22 / night ) . next time stay Newton ( return ) , drive use different garage , even cost couple block away ! Newton something unpleasant thief use different garage . 
 Jul 30 2005 	 love newton 	 Hotel Newton perfect looking . affordable , clean , convenient . take subway everywhere went always find way around easily . nice walk Central Riverside Parks nice retreat busy siteseee day . overall pleased hotel would stay ! ! 
 Jul 6 2005 	 Okay 	 Subway stop right outside door , 1 - 3 - 9 train . hotel old . get free upgrade share bath private bath ( great compare pay hotel , $ 89 per night book 4 month ahead ) . elevator dinasour therefore take stair time . 3rd floor , though ask non - smoking , think give we smoking section hotel bc smell like cigarette every morning . bathroom clean small since room small well . bring sandal carpet look really dirty . room smell like bleach gasoline time , barely stay - sleep 1am 9am shower . room get next another building therefore could not tell difference morning night . fruit fly fly around , think come window . maid clean room without let we know . not know policy , lock stuff though nothing miss room . carmine ( family size italian restaurant - really good ! ) right street Vintage wine taste Saturday Sunday 6 - 10pm ( $ 10 per person ) . overall , would stay place , get price . 
