bad 	 stay hotel good review . check get room bathroom mess . toilet use , stuff lid toilet flush . almost get sick . call front desk ask someone clean up . some one clean . also ask supervisor one show 's . supervisor manager even call I . my husband tired flight , would leave place . definitely would recommend place anyone . 
 Oct 30 2007 	 Excellent Location -- North Michigan Ave 	 hotel great location ; 60 second N. Michigan Ave , 120 second Nordstroms . great cafe restaurant within one two block . Lake Michigan Navy Pier five block east . hotel . ok , build 1920 's . bedroom small bathroom . anyone stay hotel Europe , familiar . big bathroom anyone need ? room would nice necessary . room big other . think little fortunate get corner king room window two side great view , little big comfortable . room need , ask room 2025 , corner room . condition room . average , average outstanding . certainly clean little worn . nothing little money will not cure . Front desk . standard . friendly knowledgeable hotel 's policy practice . three different people give three different store parking fee . one say self park part room rate find wrong . bellhop valet helpful knowledgeable . front desk staff definately need training . I would guess opinion hotel would also vary depend price pay room . look November 2007 , price deluxe gueen room , vary $ 71 night $ 539 . $ 71 absolute amazing bargain . $ 200 night still well . $ 539 well priced get . pricing market . flexible date , get marvelous bargain . get stick $ 539 price , feel cheat value receive . definition boutique hotel one special almost perfect . one good gold ring . however certainly satisfactory . room air conditioning noisy , certainly noise average hotel room . use minor freshening , front desk staff training . concierge could friendly . point go enjoy Chicago . wonderful fun fill area . use every minute . 
 Oct 24 2007 	 Location Saves 	 book trade show . accessible room request hip surgery - fortunately total necessity ... room tiny bathroom , raise toilet & amp ; grab bar ( important ) roll = in shower ( necessary ) . one person wheelchair would fill room . anyway , ' m mobile , husband & amp ; queen - bedded tiny room . wake 12:30 a.m. first night say water bathroom . turn light ceiling bulge water drip onto toilet . call front desk ; response fairly speedy , except noone seem know . manager radiod front desk get we another room . luckily one hall bellman move hang clothe hanger stuff everything suitcase manager & amp ; bellman take hall - considerably big room toilet seem make midget . well , manage somehow - effort worth big room . 7 night . temperature hard adjust somewhat noisy air - handler . Dunkin donut across street handy . 1 block Michigan Ave . good food around . also convenient bus . we recommend Boston Blackie 's St Clair & amp ; Grand ; also Pompeii ( family italian ) 200 block E. Ohio good reasonably price meal . upscale , really enjoy Grand Lux Cafe Michigan & amp ; Ontario - 's Cheesecake Factory spin - off . Lawry 's Prime Rib , one block west Ontario - fantastic . we pay $ 149 + taxis - bargain . love location . Red Roof Inn nearby . maybe would well ! become Inn Chicago Magnificent Mile ? good Western Inn Chicago week ago ! : - ) 
 Oct 23 2007 	 Get Deal 	 get deal large room Inn Chicago thank god . pay full fare room , would disappoint . good : location lobby decor . bad : front desk clerk , tiny dark hallway , tiny slow elevator , wire cord run everywhere room , tiny bathroom , almost work tv remote ... ' ve stay quite hotel Magnficent Mile / Streeterville area Chicago one not plan return . many wonderful hotel Chicago waste time one . 
 Oct 20 2007 	 total Dump Good Location 	 Save misery stay . room small run noisy wall unit barely provide air / heat . wall unit thing noisy hotel . wall paper thin , people hall sound room . bathroom size postage stamp . enter bathroom , move barely turn around . overall , room seem unclean uninvite . not fool website . although look nice website , thing remotely nice place lobby . also , not ask frontdesk staff anything . not seem care rude . competent staff seem concierge cleaning lady . this place give Chicago bad name . favor save money somewhere else . positive : close Magnificent Mile . 
 Oct 6 2007 	 small room 	 inn Chicago comfortable bed lobby nice . bathroom small could walk bathroom could turn around . parking fee list website call tell one fee upon arrival tell ten dollar high fee . confusion valet ticket time call car attendant seem really know go . elevator could hold three people two luggage . check notice charge two day valet parking mistake correct without problem . would stay inn Chicago would recommend anyone . 
 Sep 27 2007 	 Bad Day 	 stay Inn Chicago one night brother wife visit we . the location convenient , price terrible time year although do well past . upon arrive check 3 pm tell room not available yet went look around / shopping hour come back tell computer system phone along one elevator could not assign room . after sit around bit become apparent would speedy resolution , go walk dinner . when get back 9 pm finally able get room ( enormous , big enough short stay ) , ' m sure brother 's like , bathroom mine small washbasin ( wooden table sitting ) block legroom one side toilet - force angle sitting . metal holder glass shelf hold soap / shampoo / cup loose damage wall shelf angle downwards somewhat precariously . the toilet contain unflushed toilet paper ( nothing solid fortunately . ) low bedsheet stain ( blood ) one side disturb thing . the airconditioner uneccesarily loud night . yes , much probably result breakdown computer system communication front desk cleaning staff , nevertheless bother return see place like good day . 
 Sep 22 2007 	 Small Rooms Good Location 	 stay hotel one night week September 15th . room much small portray on - line , nice close magnificent mile . unless be go use Valet parking - 's extremely inconvenient - costly . service okay -we be pretty simple people not require much , front desk lady check courteous . one negative service , room wash cloth , call front desk say would send right - 4 hour later , go front desk get . 
 Sep 12 2007 	 great location 	 good hotel location . it be conveniently locate half block Michigan Ave , right middle everything . the hotel self top line , even though major renovation , area still use additional work . but price pay compare hotel area , 's bargain . 
 Sep 6 2007 	 Great Location Small Rooms 	 spend Labor Day weekend Chicago , stay Inn Chicago . lobby recently redo modern neutral chic atmosphere run current hotel . however quite compensate small room ever tinier bathroom stay . not expect stay suite , definitely close comfort . husband not mind small room quickly discover free porn tv . not know & quot ; amenity & quot ; offer guest hotel , certainly surprised . word caution : travel child , would worry let flip channel remote not know appear screen . otherwise , hotel 1/2 block Michigan Avenue centrally locate city site . Chicago , take architecutral tour start Navy Pier . also take baseball game Wrigley Field eat Chicago hotdog Wrigleyville street stadium . 
 Sep 2 2007 	 inn chicago 	 price location , excellent choice . available parking average price , hotel price reasonable experience pleasant . bit nervous poor review upon check , see room happy see room not really small yeah bathroom small serve we fine ! ! ! love Chicago first choice ! ! ! ! ! 
 Aug 23 2007 	 nice holiday Inn 	 spend two night inn happy choice . inn well locate , right downtown ! room bathroom small , clean useful . bathroom partially renovate everything work fine . staff helpful courteous . lobby funky give good vibe . course downtown Chicago make noisy ( siren construction around hotel ) not expect sleep till noon . , would want great city ? not hesitate book room , price , will not disappoint ! 
 Aug 18 2007 	 dissatisfy 	 travel need three thing : comfortable bed pillow , relative quiet , decent service . thing get comfortable bed . wall paper thin . fortunately , be not room next people young kid loud group , next ice machine could hear perfectly could hear elevator ding hall . not woken noise , sleep heavily think fortune not share wall rowdier neighbor . service sub - par . one woman working concierge whole day take lunch break ( get one ) not anyone cover . People line talk often give incomplete information ( not tell purple line train stop run certain part day strand ) incident . 's fault , be constantly crowd people around ask question . also , watch steal room . could happen hotel , insulted security suggest must & quot ; misplace it . & quot ; travel one else room backpack not much stuff . spend two hour last morning , could sightseeing , turn room upside search everything make report guy nerve suggest fault ! ! thief work . finally , room walk shower , tub , water pressure pathetic . not need waste ton water come like fire hose , difficult wash hair . also , shower drip turn , call maintenance let know . guy come look left , still dripping . go call let know , point realize people hotel not crap together , let go - instead get earplug . overall , bed comfortable able sleep . would look elsewhere return Chicago . also , think sister hotel one Chicago management . would avoid well . 
 Aug 13 2007 	 O.K . stay 	 check late overbooke send we Allerton 2 night . come back hotel last night Chicago room adequate . quiet , spacious bed comfortable . complaint room tile fall wall shower bathroom bite dark . find front desk staff friendly accomodating . parking nearby gargage validation hotel great deal . location good . might give try future . 
 Jul 30 2007 	 great location 	 great little hotel excellent location , luxurious hotel superb location . room small clean comfortable , bathroom tiny one ever see - you literally sit toilet touch wall ! ! ! bathroom little big would definately rate hotel average . staff pleasant , price hotel bar expensive - two beer $ 12.00 ! would stay two people per room would fit . 
 Jul 30 2007 	 pleasantly surprised 	 return Chicago trip feel write review Inn Chicago . book stay prepared bad read negative review . glad take chance experience purely positive ! arrive early Friday morning approach front desk intent ask hold luggage lunch shopping check - in . 11:00 a.m. inform room ready could check . pleasantly surprised proceeded room . , expect much due review , room adequate . double room ( 3 party ) still plenty room table , 2 chair , dresser wardrobe . bathroom small , old hotel . clean , good water pressure , room quiet end hall . friend door room little small making little cramp 4 people . travel 2 people , would definitely request one large room . floor layout map show room slightly vary size . the location wonderful ; close everything . concierge helpful pleasant . would absolutely stay . ( note : look fantastic meal , try Grand Lux Cafe around corner . portion generous split meal ( encourage ! ) save room one wonderful dessert ! ) 
 Jul 16 2007 	 horrible Customer Service 	 try check Friday July 13th . stood long line check . greet & quot ; Name ID please & quot ; . lengthy process checking tell room ready would several hour . even though 3:30 . dinner plan see show tell would back late assure we would still room request - room two double bed ( 4 we ) . look around lobby see dozen people luggage wait get room . return evening rudely give key . get room discover give we king room . call front desk ask room suppose give we tell due late check - in room give away . told check early afternoon promise room 2 double bed . say room available . say well suggest say nothing could . reqeuste cot send say , & quot ; oh guess could send cot & quot ; . bathroom tiny . place put anything . 4:00 awake phone call security tell food lobby . tell not order food say call wrong room . go check complain front desk accomodation even apologetic . tell we busy weekend Chicago get room early . oh brother . yes price low hotel area - get pay . wait check lobby hear people grumble experience hotel . staff could ruder . plan contact best western experience . 
 Jul 12 2007 	 Pleasant Experience Inn Chicago 	 pleased experience Inn Chicago . hotel staff friendly concierge helpful . room big ( big surprise old hotel ) , however , clean big enough short stay . would recommend two people room . problem bathroom vent could get little stuffy room shower . location fabulous . overall scale 1 10 would give hotel 7 . 
 Jul 10 2007 	 long time patron - disappoint 	 Inn Chicago first choice place stay since mid 80 's , always love . 's six year since last visit Chicago , suprise disappointed deterioration service hotel recent visit . wait close hour get check - in . toilet room not work properly quit flush . bathroom , be counter space put stuff . key not work door second day , stand another long line ( almost hour , ) , sister two kid eat dinner hall outside room . stand line get new key approx . 7:30 pm , watch three family check tell clean room give ; would wait lobby go dinner come back . desk worker also call people intercom tell room ready . ' m sure happen management hotel Best Western allow deteriorate badly . patron looking option future . 
 Jul 6 2007 	 spend million renovation ? 	 hotel advertise hotel web - site & quot ; complete multi - million dollar renovation lobby , bar , meet space guest room landmark Chicago hotel . & quot ; ' m still try figure spend money . lobby bar look & quot ; newer & quot ; certainly not worth tout . idea spend money room look & quot ; newly renovate & quot ; . paint window slap , carpet soil tattered along edge , furniture cheap looking , hall room reek disinfectant . change room ( something never ) several time find one could least spend night . like motel tall building rather actual hotel , amenity comfort . would expect $ 89 night , $ 299- 499 , charge ... pleased . small bar fireplace lobby , otherwise need walk eat , pick snack personal item . bathe product offer odd mix & quot ; Best Western & quot ; soap several different brand shampoo , conditioner lotion . two good thing say management kind helpful good location get around downtown area . consider experience ... would rather stay someplace else get around , especially price . would leave not pre - pay availability . place really try fancy , chic boutique sort ... not even come close . 
 Jul 6 2007 	 solid 2/2.5 star hotel . 	 ' read review Inn Chicago / Best Western think lot lose perspective . bottom line hotel great choice ' want spend lot money . fact valet parking room , pay $ 100 place remarkable give location . would ' spend $ 50- $ 60 , would ' choose another hotel . certainly con hotel : •tiny bathroom , room , elevator : bathroom might smallest ' ever see . room small well , ' see small room Chicago ( e.g. , day Inn Lincoln Park ) world - wide . elevator small could barely fit 3 people , especially one suitcase , make . •cheapness factor : ' Swissotel Hyatt . hanger kind ' move bar . plastic cup instead glass . towel ' wildly absorbent . remote control TV beat obviously ' replace place renovate recently.•noise : room face Ohio Street side . construction site across street . noise ' bad night stay , traffic noise easily seep room ( siren , horn , etc . ) . different experience modern hotels downtown Chicago seal noise well ( e.g , Intercontinental , Swissotel , etc . ) . also hall noise bit problem time , tell door ' great job sealing noise ( even though lot people plan rude talk loud ) . pro : •cleanliness : since stay one night quite literally spend 8 10 hour room sleep , big priority room cleanliness . 2/2.5 star hotel ( 3.5 star rating Hotwire bit ) , place clean . think newly remodel room blanket duvet also clean bathroom . price pay , place cleanliness 3.5/4 star hotel . include uniquely decorate lobby.•customer Service : seem understaffed time , rush period happen . ' important keep cool remain friendly . staff hotel friendly . •location : 4 block cta red line block Magnificent Mile , hotel centrally locate . price pay ( $ 100 hotel stay ) , quite remarkable . bottom line : old hotel ' recently remodel . hotel great 2.5 star hotel , remember level service pay ' happy result . 
 Jul 4 2007 	 Best western 	 stay Best Western Inns & amp ; Suites Downtown Chicgo 3 night May . 's location central , Magnificant Mile hotel big disappointment . front look okay , reception area fine get lift 3rd floor think wrong hotel . piece food stick carpet corridor remain duration stay . room tiny 2 queen bed take floor space , ask 1 queen bed . wardrobe frail rail hanger , coffee maker bake - on coffee time , one electrical extension lead 4 plug hang wire trail place . window small not bother allow noise construction site across street fill room 7 am day . ` ` disturb '' sign even though ask day woken morning 8.30 housekeeping . do lot travel get Chicago hope relax go home . rate charge $ 635 3 night bad value , stay motel far superior much less expensive . 2 thing go hotel locationand close public transport excellent Chicago . ask move soon check tell have well hear . receptionist say renovating premise evidence , hotel dirty carelessly run . 
 Jun 29 2007 	 simply horrible 	 greet front desk friendly hello treat dry script , & quot ; need credit card , driver license . & quot ; Strike one ! ! ! receptionist continue unpleasant experience tell hotel buy private investor . feel thoroughly insult , make small room electrical plug put extension cord like Christmas Story . lamp desk short maintenance guy fail replace . final straw come want go . instruct valet 24hours lead believe , till 9p . retrieve vehicle par king lot street . , , pay everytime get car since hotel in / OUT service . ( $ 30 ) Advice ! ! ! take cab expect unimpressed research another hotel . find 4star dollar per night . 
 Jun 23 2007 	 great hotel location 	 stay 10 day business trip . the hotel 90 % redone beautiful . the front desk receptionist receive we first day nice all . they give we nice big room , room clean , bathroom small okay . great service : accept package we , concierge A+Great experience , go . 
 May 29 2007 	 Great Location Value Small Rooms 	 renovation complete lobby quite nice . however , first clerk help we check rude . luckily coworker took get we room quickly . elevator tiny slow . room , also small . room double bed - the bed almost take entire room . bathroom also tiny - the newly renovate sink take much space . however , location price unbeatable . bed also comfy . not plan room much - this worth . Navy Pier 6 block street plenty place grab meal walking distance . Michigan Ave . half block away . Millienium Park Michigan Ave . would stay b / c location . 
 May 22 2007 	 okay price 	 comfortable bed hot shower highlight room , extremely small . front desk staff like robot . checking , line able observe bore , canned response continue give sincerity . whatever , be come Chicago spend time front desk . hotel clean quiet , bartender lounge nice . convenient store across street get morning coffee 24 hour Dunkin Doughnuts , also across street . overall , bad nothing great . 
 May 18 2007 	 would stay 	 must drastic change hotel since reviewer stay . skeptical keep reservation glad . room completely remodel adequate stay . staff accomodate friendly . everything could want within walk distance hotel , Coffee next door , icecream across street , little superette kitty - corner , michigan avenue half block away course load restaurant nearby . recommondation concierge turn well bell hop promptly call we cab trip back airport . try will like ..... 
 May 2 2007 	 emergency cancellation ? beware ! ! 	 Janine Iowa : pleased room , location , especially service Inn Chicago February . staff member – bell hop other – go way helpful . I extremely disappointed , however , friend , whose flight cancel winter storm , receive refund . my daughter & amp ; plan meet friend Inn Chicago , stay Feb. 15 - 19 . unfortunately , unable fly Chicago , blizzard New York . tell could stay room reserve , , even though unable get Chicago , would receive refund four night . ' m sure guilty , Orbitz Inn . so beware , traveler ! 
 Apr 28 2007 	 questionable 	 real reason book hotel cost location . little go term service , quality , attractiveness room . poorly manage maintain . restaurant onsite , many inexpensive expensive option within short walk . upon arrive hotel 2 p.m. , advise check - in 3 p.m. return time advise room available . problem affect number people group , offer room 6 p.m. later . absurd excuse offer , arrive 3 p.m . first room offer totally smokey , although bill smoke free hotel . return front desk . second room offer laid follow : queen bed television stand base wall door front . inside door drawer room ( bureau ) . however , television stand close bed door could open . thus , function bureau . one imagine lay . open door small bathroom , new sink put wooden frame . frame sink extend across doorway approximately 1/4 distance toil side . pass fire code one guess . closet room , hanger room , similar Motel 6 . bottom line , absurd layout various unacceptable arrangement . book 160 per night , plus tax , four night . jump [ -- ] select anonymous four star hotel neighborhood $ 112 per night . bid , advise W lakefront , three block away . return front desk Best Western , advise second room acceptable either , tell could leave charge , depart W.Incidentally , W like five star hotel regular rate neighborhood $ 400 per night . meanwhile , Best Western bill we one night despite promise personal visit hotel refund net nice conversation action . still , save money . bottom line , check Hotwire option Streeterville area , Miracle Mile area . avoid Best Western possibly , cheap find area , go eye wide open . 2.5 star well . perhaps 2 . 
 Apr 17 2007 	 convenient clean affordable - not expect much 	 read review construction go hotel prior book room 3 night . yes major construction go time stay . fact walk Sunday night , not lick furniture lobby people sit window ledge laptop ( access Wi - Fi ) . next morning , shipment furniture arrive lobby set functional evening . since plan use room & quot ; base camp & quot ; explore Chicago couple day 4 & amp ; 8 year old , work fine . con : room small dark ( enough room 2 double bed ) , pillow bed high quality . also miss typical paperwork find hotel ( booklet , tv guide & amp ; distub sign ) . night light - even light switch . 3rd floor view fire escape . pro : clean ; affordable convenient location ( handy downtown ) ; across street quik - mart grab breakfast / snack ; helpful staff . experience staff expect previous reviewer - find helpful courteous occassion contact ( noisy neighbor , need do - not distub sign , need fresh towel since miss room service do - not disturb sign ) . also leave item room , find ship we next day . 
 Apr 16 2007 	 bad review not bad 	 surprised horrible review see hotel not complete hole . brother book hotel , check see rate . expect come rediculously bad room , joke anything . bathroom size closet , bed close dresser , could not open , stair close . , not bad ! room fairly clean ( dusty , tidy least ) bed comfortable . consider lot sight - see hardly hotel , perfect . 
 Apr 9 2007 	 rather sleep car 	 pay 200 night ( pay wyndham , woulda agian book ) room utterly horrible . first , walk small heck . smell weird , there s open electrical OUTLETS.I open door small bathroom iv ever see . sink vanity there s nowhere put bathroom stuff , shower rack rust , towel . im even hang clothe & quot ; renovation & quot ; consist poorly paint rust closet ect . AC ALWAYS can not shut take control room control room temp . room - service , bar / lounge / restaurant valet parking joke . need pay 30 day cash , can not move car keep car hotel entire stay like ( i m staff aug last 8weeks walk work ) pay entire fee car advance . dont get start bed .... I m sure sheet actually wash ..... would rather sleep car stay [ -- ] ever . suck DAY one ! ! ! 5 . Jesus ... 4 day ... 
 Apr 1 2007 	 hate hotel ! 	 hotel horrible . admit , location fantastic ... one block Michigan Avenue . hotel dump . bellman rude inconsiderate , front desk staff obviously happy job show , hotel construction post best western website ... entire experience bad one . lose power sit dark try get ready conference forty - five minute staff unhelpful rude . receive one apology call three time report problem . one staff member lie we ... look customer service ... go SOMEPLACE ELSE ! try report problem Best Western International ... still nothing .... contact manager still reply ... two week . hotel lack professionalism , customer service welcome environment ! want make sure fellow business leisure traveler get stick hotel ! ! 
 Mar 29 2007 	 bad experience ever ! ! ! 	 first , lose reservation 3 room , 3 night 2 bed 1 room 3 night queen bed . second , rude room incredibly small . allot one wash cloth 2 guest one room . another room give 3 towel 4 guest . short , extremely displeased service facility . 
 Mar 19 2007 	 great location ! 	 stay hotel 4 night total . hotel great location , magnificent mile less 5 minute away ! builide work do hotel , not bother we , bar breakfast area close ' West Egg ' block away fantastic breakfast . eat every morning stay . 24 hour store across road hotel rather nice snack , sandwich pizza , course sell alcohol ! room decent size , clean . bathroom small , , clean . would stay , location fantastic . bother Chicago , feel safe . 
 Mar 7 2007 	 Work Site rude staff 	 Chicago night , book hotel cuz location close nightlife , . get taxi taxi man tell we hotel close , get take us address anyway . get hotel look like shut be not , hotel undergo major work , really close work , least tell make booking . something really annoy check give sheet paper let we know really happy stay historic time ... do not like annoyed staff freindly behind desk . 
 Feb 21 2007 	 dirty hotel poor service 	 extremely unhappy service receive hotel . generally write review hotel . time ? travel world stay variety hotel . really feel strongly need let other know avoid horrific experience . location hotel good . main issue hotel clean . arrive room , find hair toilet . inform management ask move , appear disintereste . wate several hour , finally agree move another room . point almost midnight . move belonging , management refuse help move . get second room , find television would show snow ( picture ) . minute later , see bedbug run across bed . absolutely horrified . immediately call management , manager come room , agree move yet . , nothing assist move 1 am . third room provide adequate without vermin . however , though build extremely unsanitary service poor . tell management expect refund least discount . manager refuse either . say , stay many , many hotel , clearly bad experience ever . save horror stay elsewhere . 
 Jan 5 2007 	 Great Location Great budget 	 location hotel EXCELLENT . 's block Magnificent Mile , easy walk Navy Pier , river , even Millenium Park . stay two night August . 's nothing overly fancy , expect luxury , stay . room decent size clean . bathroom small , prepared reading review . lobby look outdated , not bug long room clean , . terrace top floor lot people aware . pretty good view way high . great burrito place right across street . lunch day . be also Dunkin Doughnuts / Baskin Robbins across street . restaurant hotel . walk McDonalds breakfast one day .... 5 - 6 block away . book room hotrooms.com save lot money . rather pay $ 200 / night , pay $ 135 per night . price location , place can not beat . felt safe important two woman city ! 
 Dec 8 2006 	 Central OK 	 look something reasonably price fairly central , . clean basic , although really something pillow - boy awful . the conceirge bell staff extremely freindly helpful , can not go far wrong . try West Egg E Ontario St breakfast - great service choice . fresh fruit salad huge , share one portion 4 people stuggle finish . get early will wait - turn round time diner swift efficient - impressed . 
 Nov 12 2006 	 Great Location- Good Value ! 	 hotel perfect location . walk anywhere would like go . block away Hancock Center , Wrigley Building etc . right middle Magnificent Mile ! room small clean . certainly luxury perfect location fine money pay . do not expect luxury fine . stay 2 night business would stay cost prohibit property . not restaurant site Dunkin Donuts Burrito place across street . also try Marys Cafe breakfast ! 2 block away . 
 Nov 1 2006 	 good value money 	 hotel good value money . centrally locate , Michigan Ave . lot homeless people hotel seem typical Chicago , lot homeless city , none intrusive . the bed big comfy room spacious , clean daily . bathroom could facelift clean . could hear lot noise one neighbouring room , sure loud . check brochure thing Chicago lobby . 
 Oct 18 2006 	 fine cheap accomodation area 	 basically need place crash Chicago Saturday night -- want something convenient safe location not need -- want pay -- anything fancy . hotel fit bill criterion . room small , simply appoint , bit need redecoration , relatively cheap last minute booking consider right heart magnificent mile area , could not beat location . I two gripe : first heating / cool system room bit extreme -- find hard regulate temp happy medium end settle intensely air condition night ( thank goodness provide extra blanket ! ) . also , disappointed internet access room . get impression upon book check room equip high speed access , however much dismay dial connection telephone , could not even get work . day age , hotel middle big city act together ... difficult set up . overall , though , satisfied clean comfortable enough hotel right middle everything easy find towner . 
 Oct 14 2006 	 worth money 	 room dump $ 345 night ! room LOCATION . great location . right near free trolly within short walk red line . one block away Magnificant Mile . , want $ 300 basic room great location , ok . stay world expect four star much money . 
 Oct 3 2006 	 Relief 	 Stayed Inn Chicago group ( 10 ) girlfriend 4 night . relieve stuff write reviewer not come true we nervous it . only real headache checking . make arrangement group information not seem make front desk bizarre reason even confirm reservation twice week ! several issue put blood pressure include young man & quot ; helping & quot ; we . finally get sort , desk crew seriously need training customer service skill ( tell ) .Rooms nice clean . roomie 7th floor . problem ventilation bathroom . get pretty steamy shower ! otherwise , everything else fine . also get hang roof top terrace . much view hotel tall , favourite hang location weather great ! use one meeting room get together wonderful wait staff assign we ( thank Beto ! ) ! terrific . also impressed evening manager desk staff . two thumb Ellis ! also use concierge service great experience time . Shae lovely helpful , turn we get show ticket half price , point we direction breakfast location , make reservation dinner group . thank Shae ! location ideal , close everything ! volare restaurant must like pasta . West Egg Cafe breakfast , expect wait . Dunkin donut across street invaluable ! wine available opposite corner hotel . walgreen block away , also movie theatre , subway access . eight block west Carsons steak rib -- awesome -- John Nestor take good care we ! Ed Debevics across street Carsons be abuse diner food ! seriously , schtcik harrass . Frenchie , waitress , look we ! Michigan Avenue step away . border , Virgin Record Store , Hershey store home away home ! also strongly recommend double decker bus tour . great way spend afternoon . tour take two hour unless jump explore along way . take downtown ! Navy Pier great place hang ! Sea Dog tour take 30 minute boat ride view city lake . lot great shop , mini golf , ferris wheel , stain glass museum plus lot thing ! also time visit King Tut exhibit Field Museum Robie House ( ' m Frank Lloyd Wright fan disappoint . simply awesome ! ) visit , Chicago become one favourite city go back probably stay Inn Chicago . except check hiccup , great stay . Kudos city Chicago keep city beautiful user friendly . also people nice accommodate -- everyone ask help go way assist we ! great time ! thank Chicago ! 
 Aug 23 2006 	 happy pleased 	 Stayed Aug 14 22 , 2006 pleasantly surprised get little pay . clean room , helpful friendly staff every level , quiet location . problem computer wifi get quick efficient help service guy front desk . really nice people work . one afternoon computer front desk work right bellman pass cold water bottled beer people line . right across street place get quick meal , ice cream , doughnut , snack . want special dinner not walk far . restaurant guide map find almost anything want . even three well stock supermarket close . even walk Millineum Park Art Institute hotel . would go back minute ! People work Amtrak stay know can not bad . want place walk everything . take elevator 22nd floor go terrace , great vista time day . neighborhood beautiful , . hot water good elevator , complaint . 
 Aug 22 2006 	 good choice Chicago 	 check 3 night 13July'06 & amp ; hotel full & amp ; busy . although room look onto wall clean , comfortable . location awesome , 1 min walk Michigan Ave , 10min walk Lake & amp ; 10min walk subway station . recommend price , /location . 
 Aug 13 2006 	 average stay great location 	 spend first three night tour holiday hotel . due problem flight ( terrific electric storm East Coast massively delay everything ) check 1.30 a.m. rather anticipate 5.00 p.m. , ( phone warn would late ) , unsurprisingly , delay . find later fail give two message , one whoch rather crucial . the room unremarkable clean adequate . not much view , except fire escape , 's old City hotel rather Resort hotel , not bother . aircon work , NOISY ! 's shame bar close , 's hour store corner opposite , machine next ice machine floor . base sight seeing , location great . shame underestimate heat humidity set foot - glad shower work well return day ! would see roof terrace website , suprise sign . however , hopefully take lift top floor easily find . 's view find ! ! pleasant & quot ; sundowner & quot ; second night , buy store . appear closed bar , terrible miss opportunity . 
 Aug 9 2006 	 one word describe horrible ! 	 " good " western like " bad " Western . try check hotel 4:00 afternoon , tell room ready . ask approximately long would take room . tell step aside would let we know . wait 10 minute crowded lobby along hotel guest luggage , tell go 45 minute hour room ready . baggage check fill take luggage us nearby restaurant . want get plane , walk street luggage . fortunately able book room nearby Hyatt . return Best Western , informed front desk would stay . express disappointed situation never apology give . person front desk tell us hotels area book , would problem anywhere go . inform " lady " book room Hyatt . response " good go " . unbelievable ! know Drake W , little customer service go long way , even well western . 
 Aug 8 2006 	 great location -- great hotel horrible service ! 	 first positive -- great location , right next Michigan Ave . , Chicago rockin ' city ! ton ' fun ! negative -- staff super unfriendly . arrive 5 pm check - in room still ready . concert get go leave without check room . accomodate make excuse . need change clothe force lobby bathroom . check baggage behind desk come back claim midnight give we run around jerk sercurity gaurd would give we bag ! room okay , nothing write home . would stay . well different downtown hotel . husband come conclusion Inn Chicago definitely & quot ; & quot ; hotel . 
 Aug 4 2006 	 Great Location 	 great location . clean . Friendly Staff . 
 Jul 18 2006 	 Great Location 	 good thing Inn Chicago location . literally block Michigan Avenue Navy Pier . concierge helpful ask take train see White Sox game . ( make sure get day train pass , otherwise $ 2 every ride ! .. also good bus ride ) . able check pretty early ( 11 ) problem front desk , ask could corner room , able provide one . corner room seem big , maybe be , get window side room . negative would : window filthy , 's really hotel fault . construction go across street . the elevator TINY ! . three us suitcase , room leave elevator . bed moderately comfortable , room clean far could tell , location great . parking around corner ( $ 26 24 - hour ) . would stay weekend trip . one last thing , AWESOME breakfast place street ( think 's near St. Clair Ontario ) call West End Cafe . 's always line , go quick . fabulous omelette . make sure try ! 
 Jun 28 2006 	 Hotel okay price ... 	 stay two night hotel . price receive $ 100 per night close Mile food can not complain . room small tiny bath find clean rarely spend time room . elevator lack ability print boarding pass we would negative . would stay right price ..... 
 Jun 23 2006 	 Room / Price Major Mismatch 	 get back business trip Chicago . apparently , one weekend hotel fill hotel charge whatever want . although book 3 + week prior trip , last thing available trip . nothing hotel really bad , feel bad price room . end pay rate Marriott Doubletree basic motel . even Chicago rate , hotel worth $ 120 / night . pay double that . the room date , include airconditione kick on / off night . light sleeper beware . bathroom old . 21st floor water pressure shower . wi - fi available room 17th floor work fine . room seem clean . check - in slow appear manual . staff pleasant enough take forever . check , one people party receive call said & quot ; accidently book wrong room & quot ; would move another room . room offering & quot ; parlor & quot ; sofa bed . ask offer ( ridiculous ) price , say yes . course , say no.the elevator small hold 3 4 people . although credit card number take checkin & quot ; incidentals & quot ; , sundry shop would not allow one party charge couple battery room . cash , pull credit card . sorry , $ 10 minimum purchase use credit card .... batterie $ 4 . , throw junk food get bill $ 10 able buy battery . today go take car parking garage , hotel want cash . , charge room even credit card . , scrape $ 56 two night parking pay cash . last thing will say location fine . would not stay business pleasure anything $ 120 . believe , use budget hotel , expect pay budget price . 
