basic 	 hotel location , perfect . nothing bad hotel , clean , staff good quite quiet - room small bathroom decent size . basic never pretend anything else . good place majority trip explore city . round satisfactory . 
 Oct 19 2006 	 Great Value 	 First let say , travel budget alone ! find hotel hotels.com approximately $ 100.00 per night . check review TripAdvisor decide go . pleasantly surprised . staff accomodate find room main hallway would feel comfortable fact female travel alone . breakfast include gourmet , certainly luxury Americans see often . room clean . yes , small comforter not fill , expect pay $ 100.00 night . the decor ' lobby sit area nice . three computer printer available swipe card . find particularly convenient day leave . able check - in online flight print boarding pass . finally ... right around corner Union Square plenty desireable restaurant . would recommend hotel anyone not feel need spend $ 400.00 per night room . 
 Sep 29 2006 	 Impressed 	 although location great want Union Square , rate may competitive , happy stay . stay 1 night business ( try Chencellor Hotel comparable value much well service ) . suppose Adante Hotel book send & quot ; sister hotel & quot ; , Stratford ( thankfully ! Adante close Union Square much seedy part neighborhood ) . - not find staff helpful friendly ; busy acknowledge desk ; wait get suitcase luggage storage ; get attitude whan asked hunt guy key could catch plane.- tv work ; clock radio work ; sink ( bedroom ) leak ; iron board room ; not allow early check - in late check - out ( live becasue book , fit trend inflexible concerned customer service ) ; elevator take forever ; free WiFi ( tip : Union Square free public WiFi ) ; A / c , San Fran okay , ceiile fan room ) . - good side , think Tea Room okay continental breakfast , coffee etc . if be go stay well location value . 
 Sep 25 2006 	 Good Location 	 spend three night hotel . the staff friendly helpful . after check , wait seem like eternity lift arrive ( become regular occourence ) , arrive eighth floor find room open door two foot hit bed . whilst room contain double bed small desk barely enough room one adult plus one suitcase let alone two adult two suitcase . bathroom basic functional . veiw great - like look brick wall , lend window twist neck could see street . Breakfast include , could stomach day old muffin sort musili . coffee make facility room , facility available breakfast 3 5pm . the good thing hotel location close Union square . 
 Sep 23 2006 	 great location 	 stay 4 night pleased choice . get train airport - free ' spare air ' day due heatwave - get bottom Powell Street . short walk Powell Street hotel . great location around corner Union Square . 7th floor , much noise cable car . room small clean comfortable , compact en - suite shower room . honest , time spend room , reasonable price , perfect we . cold buffet breakfast fine . Cereal , muffin , toast , coffee etc . be big breakfast eater anyway need . problem 2 computer provide internet access could not use . overall , Stratford little gem big city . highlight trip : * Big Red Shiny Mac Fire Engine Tour . hilarious ! * Blue Gold Fleet evening tour Alcatraz . book well advance ! * Clam Chowder Fisherman 's wharf * 3 day cable car pass $ 18 - get money 's worth first day ! stop Cable Car museum . worth quick look , free admission . * stroll around japanese Tea Garden Golden Gate Park . peaceful . * Sea Lions Pier 39 
 Sep 19 2006 	 Excellent value 	 good stay Stratford . staff friendly helpful . room clean & amp ; tidy . breakfast good start day . location heart everything . would recommend hotel friend family may go SF . 
 Aug 7 2006 	 Excellent Location Value 	 first hotel friend stay arrive two week holiday San Francisco . beat 's location especially new area right Powell street next shop , transport link , restaurant etc . room back hotel well end row . read past review hotel not expecting much know not pay huge amount ; however pleasantly surprise room plenty big enough decent size bathroom . sink main room nice mirror space store toiletry . breakfast nice touch fill toast , muffin , cereal etc . not fancy plenty option food close . mention location excellent right shopping centre , Macy 's lovely Union Square stride away . find staff friendly helpful ; even make phone call tour provider sort problem . small lounge ground floor back well two computer small charge access internet . overall would recommend hotel first stop city ; budget hotel staying day may want luxury ; pay get good service stay . tip : request room back hotel . smell may experience enter hotel come Lush next door . make helpful staff ask question may ; happy help make recommendation restaurant etc . 
 Jul 10 2006 	 Hated Stratford 	 one hotel say forget . bad hotel fairness budget hotel . Holiday Inn lodge would alot well . room small , sink right beside bed ! stay winter month cold . wake 3 morning complain heater be not work . person talk say heater conk . tell could anything . breakfast option simple ... sometimes get donut across street well . location great Union Square , one computer free internet . money do not stay ... could stand heater / aircon , noise across street , chance toilet getting flood , damp room , could hotel . 
 Jun 23 2006 	 worried nothing 	 review post close arrival date worry . glad worry nothing . hotel great location good price . staff friendly helpful . arrive 10:00 a.m. able check . faint clorine smell hall none room . room small use largenough accomidate 2 people . negative small apply short people . street side noisy - great view . window close noise muffle . two day unusually warm ceiling fan a / c would nice . mirror wall hang high - 5 ' 2 & quot ; , shelf near sink would nice put toiltrie , shower curtin hang high , bottom barley touch top tub wall curtin hang water go tile bathroom floor . positive great supply towle . breakfast nice feature - coffee , muffin , cerial , yougurt tea . concierge counter great selection thing . sit area back . would stay would definaly want back room . 
 Jun 22 2006 	 great budget stay 	 excellent place stay want heart tourist area . stay four night really happy choice .... - easy access public transportation- complementary breakfast bonus - nothing fancy good way fuel cycling Golden Gate ! - room eighth floor - highly recommend request quiet- plenty hot water , comfy bed , helpful staff etc etcOverall excellent place stay , response comment , yes elevator slow much hurry really ? . strong smell hotel - not take much deduction realize ' Lush ' shop next door ! would definitely recommend Stratford budget stay . $ 90 / night well spend . 
 may 29 2006 	 Basic Ideal 	 girlfriend return home UK 2 week holiday Hawaii , 6 night stay Stratford San Francisco . 2 friend find hotel ideal need ( great location , budget friendly staff ) . expexte room basic little luxury , also expect maybe problem ( describe previous review ) . although expect relocate room 6 be due flooding bathroom , case ! ! friend room 608 opposite we wake morning find floor soak toilet water ! hotel think inadequate piping judge previous review , might explain smell damp / mould hotel . say hotel fine everything else friendly helpful reception staff bonus ! P.S . get chance hire bike , recommend cycle along across Golden Gate Bridge small town Sausalito . good afternoon even get ferry back prefer ..... 
 May 23 2006 	 False Advertising 	 daughter stay Stratford Hotel last week two night . location wonderful staff polite , problem . room smell strongly chlorine arrive , carpet moist moldy . window open night , still daughter asthma attack night . light go bathroom sink ( circuit breaker ? ) twice . bottled water sale $ 4 . insulting . go second morning , return 10:30 collect luggage check . door would not open . ask tell key must de - magnetized . annoying locked check - out . the bad disappointment breakfast . website picture show tablecloth , basket fruit assorted roll , etc.- lovely - look meal . not like . loaf bread still wrapper could toast , over - sweeten granola , day - old muffin , juice dispenser self - serve coffee often empty . fresh fruit . roll . tablecloth . awful . with well management , hotel could really lovely place stay San Francisco . , doubt will return . 
 May 8 2006 	 okay # 2 	 many reviewer note , Stratford great central location . Access Union Square Muni / BART Powell Street Station wonderful . hotel also reasonably price . find staff generally friendly helpful . get room well 3 pm check - in time kindly allow late checkout . however , find house keep staff rather intrusive . quick enough acknowledge house keeper 's rap door nap find dialog bed . would echo complaint smell . may due strong bleach solution use clean bathroom . take time air . hotel also try check noise make bathroom vent fan . mine sound like WWII vintage airplane engine . location noisy , particularly room Powell Street side building . bring earplug . even hotel offer . room somewhat back Powell Street bother noise . room small , clean , furnish comfortable bed , write desk , tv . room redo simple , straightforward style somewhat reminiscent Ikea . find miss sitting area . though , not suppose 's issue be go town . room heat radiator , consequently guest not good temperature control . try air room , find room become bit cool . hotel advertise wireless internet access not , stop advertise wireless access really get . assure come . Google wifi network cover Union Square , possible get wireless connection . Google signal available one move Powell Street side building . internet access via desk top computer available back main lobby , though seem bit expensive $ 4 20 minute . would consider stay Stratford , think may willing pay bit quieter location , room WiFi internet access , sit area . 
 Apr 20 2006 	 location can not beat ! 	 stay Strattford 5 night convention , satisfied price pay ( $ 80 ) . first , location great - Convention Ctr . 4 block , 2 block cable car station , BART , Visitor Ctr . Union Square - great shopping , 's thing . the cable car allow direct access Chinatown Fisherman 's Wharf . tip : get multiday pass cable car bus ( big moneysaver ) , go Visitors Ctr . , not wait line nearby cable car station . arrive airport BART ( $ 5 ) , hassle , easy walk even luggage . hotel remind kind little place find european city . staff friendly enough . room tiny cozy , clean , shower large good pressure . breakfast basic , SF price , might well wolf muffin fill ! coffee orange juice decent . would definitely stay again . some tip : 1 . not hesitate use BART get hotel , be close . 2 . Union Square booth sell half price theater ticket . go 2 show within easy walk distance , great . 3 . street around corner place call Lefty O'Doul 's meal sandwich serve cafeteria style - good , fill , inexpensive . place also good pub , piano bar every night - hangout ! 
 Apr 13 2006 	 okay 	 location really great breakfast bad ( also granola orange juice ) . lot european stay possible make friend . room small ( small SF pattern ) . shower work great . two problem find room smelly hotel common area ( one sofa back elevator first floor ) seat outside room relax . since rainne lot miss kind area spend time ( want stay much room smell bad ) . 
 Apr 6 2006 	 Excellent Value 	 wife ( be late 20 's ) stay Stratford March 2006 . room , small . bit shock first , quickly get use . furniture modern clean . room great shape look like 's recently remodelle . be use queen size bed , double bed Stratford little small we . be large stature staying day , may want keep mind . , can not beat price location . plenty good bar shop area . 's step Union Square , hip area . also hop cable car get anywhere city within minute . 
 Apr 2 2006 	 small Room great location ! 	 hubby honeymoon US SF first stop . stay Stratford 15 - 17 March 06 satisfied experience . room small hotel room ' ve ever stay view speak ( wall neighbouring buiilding ) , location can not beat . we arrive 9 am pay additional US $ 10 early check - in . terribly need shower 20hr flight , hence US $ 10 seem reasonable . the location central walk everywhere ! although many steep hill SF , tram well way travel around . 's stop right outside hotel 's superbly convenient . breakfast nice cosy room overlook Powell Street . 's simple fare toast muffin juices coffee / tea , sufficient need . overall would definitely recommend hotel even stay next come back . 's posh value money location simply perfect ! 
 Mar 30 2006 	 ideal location 	 girlfriend stay Stratford March 7th 9th find perfect need . work trip ' ve place Hyatt , Argonaut several 4 5 star SF hotel . ' ve always think shame someone pay $ 300 $ 800 per night room sleep shower . recent trip SF fun agree would rather spend money nice restaurant shop . take chance Stratford find absolutely ideal location - wise . approach hotel notice outside sign parially remove frankly sort skanky ramshakle look . inside smell nice furnishing rather hip . clerk courteous help we store luggage since arrive early ( 10:00am ) . check - in 3:00 recommend return 2:00 pm . check - in ask room away street . room small clean totally adequate . room away street probably good idea since street noisy . evening full drum set electric guitar set - up corner across street entrance hotel hear nothing room . must hell room face street . get thereWe arrive SFO take BART Powell station downtown SF ( $ 5.15 ) two block hotel . hate traffic parking hassle ease get Stratford SFO huge relief . one problem however lame confusing BART ticket machine . Tokyo , NY , Rio big city metro much visitor friendlyunion Square literally second hotel 's front desk . cable car run front hotel Chinatown ten fifteen minute walk away . never need car take taxi once . the free continental breakfast not fancy need coffee tea muffin toast will fine . need dozen place get full breakfast near by . I read one reviewer elevator slow . maybe reviewer drink much coffee . 's slow nothing burst blood vessel . fun time average take 3 4 second per floor . deal . course want take elevator peak check - out time people go dinner may find wait bit elevator reach floor lobby . actually , take stair breakfast room avoid busy time . the bottom line Stratford perfect location suit traveler not need frill . 's clean safe way sort hip . would definitely stay ! maybe keep place secret ! 
 Mar 21 2006 	 San Francisco bargain 	 wife return 4 - night stay Stratford . room small , clean location beat ! pay $ 80 per night , book Hotels . I disappoint , however , discover review continental breakfast include ! one hotel tell we end buy expensive breakfast elsewhere day . I would stay Stratford . 
 Mar 15 2006 	 great value 	 arrive back 2 week West Coast . spend 4 night Stratford Hotel ( March 1st - March 5th ) . location fantastic , could not well . give room 7th floor , face away street assume distinct advantadge get quite noisy tram etc . room small bathroom large money care , go visit city sit room . Everthing seem clean well . staff helpful . Breakfast limited toast muffin plenty choice drink though . money complain , long something keep we go . walk around lot , San Francisco lot distinct neighborhood ( hill ! ) prepare . People great , helpful lay back . walk Geary Sutter mile skirt Tenderloin area tell bit run not worry would not walk round night that s . 
 Jan 19 2006 	 great location 	 value can not beat hotel . 's location really great - right heart San Francisco , surround shop could ever want transport take area . solo traveller location suit fine . the room small smell slightly - think damp - clean well look daily basis . away Powell Street quiet night . for location , would certainly consider stay Stratford . 
 Jan 5 2006 	 would stay ... 	 stratford ideally locate above - par far quality relative cost . saxophone player Powell definitely audible , though play long night . place not posh anything find great value great location . 
 Nov 23 2005 	 Great Deal 	 stay Stratford 11/11 one night prior return home - stay Sir Francis Drake 11/5 - 6/05.the Straford fancy room large Sir Francis Drake equally clean quite.11/5 people come SFO USC - UC football game hotel room premium - one boisterous young fan quote one room foul language keep get room - manager adamant would put kind behavior . room small versus use learn room SFO small . room clean bright - a / c need . room perpendicular Powell quite . serve continetal breakfast 2nd floor look fine - eat Lefty O'Doul 's ! Liked Lefty's . absolutely would stay Stratford - pay $ 120 + Sir Francis line less $ 60 line StratfordLocation great - return stay Powell Powell - sure would want 2 - 3 block either side Powell . 
 Nov 10 2005 	 Stratford Hotel disappointing 	 hotel disappointing . even though budget hotel , customer service would appreciated pay money room ! staff cold arrival first impression room clean close inspection , room smell damp , radiator work phone line also work . move another room whereupon radiator leak toilet flush break . addition room overlook Powell street , could hear noise cable car also live band street bar across road . however , staff rude hotel excellent location - near shop transport . 
 Nov 10 2005 	 great location easy access public transportation 	 Chose hotel location $ 75 / night average price stay . clean , simple hotel great downtown San Francisco location 1/2 block Union Square . Access BART , trolley street car easy . room small , quiet , simple , clean . front desk staff friendly helpful . one small elevator 8 floor , patience require . complimentary breakfast barely adequate ( toast package muffin ) , breakfast room nice big window Powell Street . take advice another writer stay back side hotel , away Powell St . think room window Powell St. upper floor 7 8 would fine . check 1/2 price ticket booth play & amp ; stage show Union Square . 
 Nov 1 2005 	 bad hotel great location 	 stay Stratford Hotel 4 night end October . staff helpful friendly . room clean comfortable TV , desk hairdryer . room situate third floor rear problem noise street . breakfast continental style muffin , toast , coffee fruit juice . hotel great location . 's short walk Union Square major store like Macy 's ( around corner ) Nordstrom . cable car turnabout , Visitor Information Centre Powell Street BART couple block away . chinatown 5 minute away . word warning - make international call . last day make call home not last 3 minute charge $ 37.00 call call not make . eventually cough $ 33.00 3 minute international call . daylight robbery ! favour get phonecard use payphone . 
 Oct 17 2005 	 perfect location 	 be look luxury , forget . however , location , clean , comfortable bed plenty toast , muffin coffee start day , ideal LOCATION priority hotel . floor reception use lift . the cable car pass door , stop 10 step away . 
 Sep 4 2005 	 Great Hotel / Price / Location 	 San Francisco native , husband return short visit home stay Hotel Stratford . spend $ 91.20 ( include taxis ) one night fabulous . room small furnished ikea decor , clean , comfortable feel safe . front desk clerk ( check check ) courteous patient non - american guest observe . could not please , especially follow fellow TripAdvisor 's advice ask inside room away Powell Street . trick elevator slow , even seventh floor problem . highly recommend Hotel Stratford be look downtown San Francisco hotel great price . 
 Aug 2 2005 	 great location . could not beat value 	 get back two night Stratford . location can not beat ! right near Union Square . parking couple block away affordable $ 20 per 24 hour . include service good deal San Francisco hotel . we stay top floor prblem noise . window open , could hear bell cable car , charming annoying . the room small side , sink right across bed . be really much problem . process repaint lobby , look like take pride hotel keep look nice . I would definately recommend stay hotel . front desk staff nice . hotel include continental breakfast , though time take advantage . really can not location . price , be great deal . will stay next time sure . 
 Jul 20 2005 	 Best Value Stratford 	 wife spend 3 wonderful night Stratford . place budget conscious want clean , quiet place sleep long day sightseeing . 's superbly locate heart Union Square district , step away shop , theater , countless restaurant bar , public transportation ( bus , BART ) . find staff courteous helpful . simple breakfast toast / muffin , juice , coffee offer small dining room - 's need . yes , air - con , none need , even warm month July , since temperature cool drastically night . minor irritation slo - o - ow elevator carry 5 people one time . plus far outweigh minus . 's simply good value town hotel accommodation . one tip : ask room inside , away Powell Street . 
 Jul 15 2005 	 A / C free 	 hotel small good price european flair . downside airconditione . even though night cool , noisy . 
 Jun 29 2005 	 Limited Mobility ? Stratford 's great place ! 	 walk cane appreciate elevator walk - in shower Stratford Hotel . 's right Powell Street Union Square make short walk Market Street Muni bus , streetcar , subway trolley , Bart cable car turnaround . first disappointed room view -- look light shaft -- noise bar across street blast impossibly loud music door open 1:30 every morning ! could not hear room . room ( # 206 ) across Breakfast Room serve simple meal juice , bread / toast , cream cheese , butter jelly . coffee really tasty . room clean promptly six morning . front desk staff friendly helpful . Sam set return van trip airport bus tour San Francisco . 's computer back lobby . buy 60 minute password $ 15 able keep email easily . also lock luggage last day could last minute shopping leave town . lot foreign tourist stay Stratford real delight . make mistake -- Stratford fancy elegant $ 80 night Pride Week clean , friendly , affordable small hotel great central location . 
 Jun 12 2005 	 great find money 	 hotel great find people budget still want heart . can not beat location one block Union Square , five minute walk Chinatown . room stay ( second floor , right next tea room ) small ( problem one person , might limit two ) clean ( sheet pleasant Snuggle smell ) . coffee maker room , glass ( not ask , might give ) enough towel , tissue , shampoo , soap hairdryer . 's also tv ( not even turn ) cityguide wait you . I find room quiet ( someone play music loudly street , could not hear thing ) , probably not face street interior wall . the complimentary breakfast great plus , even croissant ! staff pleasant , even know could get new memory card camera ! one note - 's strong incense smell lobby , unpleasant , highly sensitive aware it . I wish know give parking discount one garrage around - hotel not parking , regular fee run around $ 25 / day . sum , look plush amenity great view , be probably , want clean , pleasant place crash end day would close everything , recommend Stratford . 
 may 16 2005 	 great nice price 	 spend one night Stratford money pay great deal . rex patient accomodate large party . go way give we afforable rate . much less quated rate travel server . super location , right across street club old set ( 35 ) . 
 may 7 2005 	 great place stay 	 return San Francisco spending 2 day Stratford say love ! great place stay right centre thing cable car pass time ! room small clean people front desk helpful . continental breakfast also nice , good place stay . 
 Jan 2 2005 	 love 	 Stratford nice suprise $ 75 night . work area , know location perfect . know hotel go basic , be book Dec. 30 New Year 's Eve , be hope clean , basic place sleep scary . not know floor smelly carpet people stay , fine room . get queen bed private bath room 606 . could tell room carpet newly redecorate . paint cheery yellow , modern , simple furniture , botanical print wall ... ( tell ' m gal ) tasteful , box - pleated dust - ruffle would put home . anyone pay much attention detail budget hotel score point . bonus , need sleep day , room - darken curtain . staff nice accomodate . clientele , often case New Year 's Eve , young , noise hallway night . , would recommend budget - conscious friend . 's right Powell - Stockton , Powell - Hyde cable car line , 38 Geary bus , Union Square , close Muni Metro , much . 
 Dec 14 2004 	 Modern pleasant no - frill 2 late-20s woman budget ! 	 starter , location excellent , every guide book tell place start Union Square . ' m wonder room renovate since people seem complain thing issue friend . stay pretty high floor , towards street , noise die way bedtime great look outside see everyone 's wear . room look bright cheerful . decor minimal modern new . would count no - frill , clean ( can not figure carpet complaint people ... ) , super reasonably price , smak - dab middle location . pleasant place stay two late-20s woman budget ( we ! ) parking check - in check - out . internet access . simple buffet breakfast include . 
 Aug 30 2004 	 Pleasant Surprise 
 Aug 9 2004 	 dirty carpet smelly sheet . disappointing ! 
 Jul 15 2004 	 everything need good rate 
 Jun 28 2004 	 Smelly sheet disappoint hotel 
 Feb 11 2004 	 Ideal requirement 
 Jan 21 2004 	 Disappointing expect 
 Jan 8 2004 	 Brrrrrrr .... nice cold ! 
 Dec 24 2003 	 Nice bathroom ! 
 Nov 19 2002 	 close everything 
 Apr 17 2002 	 Geat Value 
 Nov 23 2009 	 emplacement 
 Nov 2 2009 	 ? ? ? ? ? ? ? ? ? 
 Oct 13 2009 	 idealement situé 
 Sep 7 2009 	 L'essenziale 
 Aug 31 2009 	 Preisgünstige Unterkunft hevorragender Lage 
 Jul 31 2009 	 très bien ! 
 Jul 11 2009 	 Buena ubicación 
 Jun 29 2009 	 Buon hotel ottima posizione ! 
 Jun 21 2009 	 Ottimo rapporto prezzo qualità 
 Apr 16 2009 	 fantastico ! 
 Mar 22 2009 	 Zentral 
 Mar 15 2009 	 ? ? ? ? ? ? ? ? ? 
 Jan 12 2009 	 misura di coppia ! 
 Nov 16 2008 	 très bien situé ... 
 Nov 4 2008 	 Estupendo hotel 
 Sep 2 2008 	 Centralissimo 
 Aug 26 2008 	 Hotel Stratford ¡ perfecto ! ! ! 
 Aug 10 2008 	 encanto el trato recibido 
 Aug 7 2008 	 troppo carino 
 Jul 24 2008 	 Sehr zufrieden ! 
 Jun 17 2008 	 Excellent 
 May 21 2008 	 Bene per posizione e prezzo ( siamo SF ! ) 
 may 14 2008 	 super bien situé 
 Jan 6 2008 	 Gute Lage guter Preis magere Frühstück 
 Oct 2 2006 	 Passable et surtout chambre beaucoup trop exigue 
