alarming 	 ok , ' ve read review know well . truly alarming place , fire alarm still go middle night ! ! ! review go back 2006 refer problem , still happen ! ! ! yes , 2009 ! ' m multi - night business trip . far , one night , one fire alarm . can not afford tired . ' m multi - night business trip . one fire alarm middle night ' m outta ! ' m willing overlook tired decor , dirty bathroom tiny room location awesome . fire alarm different story.location ? double check.staff ? check.cleanliness ? much ... alarm issue ? enough put place bottom ... 
 likely stay 	 due flood Kingsway Hall offer alternative ' sister ' hotel . turn bit like one Cinderella 's sister . small room , though clean . unattractive lobby team ilalian teenager arrival team Italians departure . breakfast . try get case storeroom joke , stand concierge desk rude hopeless . ' you try job mate ' say complain Italian . ' not even ' . proceed take everyone ticket stub everyone mix free ensue . get another job get properly train . do not stay . 
 lilliputian room well locate clean hotel 	 London conference first time city , stay room little time . feel claustrophobiac , though , ' ve never . room ridicously small , could unpack clothe . use toilet venture . staff , except door man , condiscende unhelpful ( ask twice stand suitcase hair dryer ) . good side , clean location great , neighborhood public transportation . 
 Jan 10 2007 	 avoid 	 's 2.30 morning 's man stand bed wife 's room ! panicky phone call reception . lightning response must say . Keycard wrongly program , card wrong room number . will not go back hurry . last trip give smoking room despite print non - smoking reservation . room without hot water . horriblyundertrained staff . know problem wing . pathetic parrot - like response & quot ; 's problem , problem like & quot ; overwhelmingly undertrained employee ... & quot ; will send bottle wine . & quot ; Needless say , never arrive . avoid . 
 Dec 19 2006 	 love Kensington Close Hotel 	 would like recommend address – situate nearly silent street . room well standard hotel 3 - star category offer London . restaurant Brasserie enjoy dinner excellent value money . forget attentive service amiable young brigade . Kensington Close Hotel become fix quarter visit London next time . 
 Dec 14 2006 	 Horrible Hotel 	 read review site see positive , negative , think hotel would somewhere middle . stay many european hotel good idea expect , taste fancy expect 5 star luxury . arrive night flight Toronto , early check not ready - huge deal , explore . hotel great location walk wherever want go . room ready around 1 pm , give we smoking room ( specifically request non smoking pregnant ) , change we room two twin bed , FINAL change appropriate room - small double bed . expect room small big city , could barely fit suitcase room ! ! bed damp - almost wet smell like drycleane solvent , carpet dirty room smell strongly clean product . check 10 night husband London business . leave day hotel say would charge we night , dispute charge credit card company . staff rude , clueless appear one idea go on . for cost hotel , regardless location , worth . consider hotel - please think . small , low end hotel : expensive , uncomfortable overall unpleasant . 
 Dec 5 2006 	 4 star 	 well , location ok next tube station good tube line , specially want go airport , airport ! staff check nice , fact look like something else important .. even chat phone . lift hall old , room nice , small clean single . buffet breakfast include room price continental , poor selection serve bar . , smell smoke ( tabaco ) beer morning tea bad ... bad ... bad start day . 
 Dec 4 2006 	 problem hotel 	 Kensington Close Hotel , LONDONmixed group 34 people Lake district1st Dec - 3rd Dec 2006this trip take place every year , stay many hotel year , Kensington Close one well one . location handy Harrods Harver Nicholls . tube station 5 min hotel , taxis always outside bus stop high street also 5 min away . many shop . group 6 eat brassiere twice good , breakfast ok , room small , clean , quiet staff helpful . bar large pleasant . facility £ 3 per visit , think guest free . disadvantage distance theatre cost we £ 15 taxi £ 15 back , 3 we £ 10 . would recommend hotel especially group booking . thank staff pleasant stay . 
 Nov 16 2006 	 great hotel 	 stay kensington close oct 15 -19 . fantastic . arrive 27 day bus tour europe . hotel staff helpful . room small definately stay small . clean tidy . hotel staff great , concierge fantastic . book ticket phantom opera - get great deal , well discount ticket box . also book day tour bath , stonehenge . can not beat location , 2 minute walk tube station , plenty shop kensington high street , cafe restaurant short walk hotel . walk hotel kensington gardens royal albert hall , hyde park buckingham palace . central . can not beat . would definately stay . 
 Nov 14 2006 	 Comfortable Kensington 	 Kensington Close Hotel regular venue meeting London sufficiently convenient road rail delegate attend without much trouble . reception handle efficiently go search room … .. long search since corridor long fear well way next borough . like lot reviewer , say room rather pokey , fire evacuation map true scale , small adjacent room . want sit desk need make difficult decision put suitcase insufficient room chair suitcase stand . unfortunately , visit Kensington close , yet master heating control room . technology phobic read instruction air vent seem pump cold air whatever set temperature whether turn fan slow fast . the food hotel sufficient … … but run beef pork 8.00pm evening bad planning offer carvery . breakfast bit mad dash institute system give we breakfast ticket pay full rate get cook breakfast . lunch well chef find beef pork make sure right queue . the conference facility place good room contain area ' feel oblige hang around corridor drink tea enjoy warm muffin . 
 Nov 13 2006 	 clean great location . 	 originally & quot ; & quot ; accomodation Hotel & quot ; Ebay & quot ; . really happy accomodation London look extremely expensive , especially look Australian Dollar / english pound conversion . we receive voucher rang book stay . staff member speak rude difficult . tell we could use voucher least six month ( June , holiday UK 3 week Sept / Oct ) .She tell we room available all . we devastate . I look site internet find available room period . husband rang book room easily say voucher ... room ! ! ! husband ring several time day next day finally speak someone polite helpful . organise room we also send we confirmation email . our stay luckily say much well . after first initial problem , great . sleep room shower anyway . we & quot ; Deluxe room & quot ; . climb Hubby get bed . Breakfast also part voucher nice plenty choice . find rest staff polite friendly . 
 Nov 2 2006 	 badly Managed Cheaply furnish 	 spend one night find room pokey expensive compare deal London hotel . furnish cheap particularly comfortable . first could find booking , locked room early evening , go reception another key card , proffer without check , top drift sleep , fire alarm go mid evening . whole hotel evacuate street disorganised staff , explanation , apology take 40 minute blanket offer young elderly . cold night year far , temperature fall close zero , pretty uncomfortable . experience conducive relaxing stay afraid . also seriously dislike concept charge guest use leisure facility though glad not stand outside swimsuit charge disuade dip pool . 
 Oct 30 2006 	 good hotel always good value 	 stay Kensington Close Hotel five six occasion decade , previous time 2004 . always pleasant recommend friend past . for recent visit October 2006 book week advance , take single room , little less ask double room . bathroom cramp barely enough room stand wash basin without fall backwards bath light bathroom mirror dim useful . room extremely overheat , apparently source outside room . tell reception problem heating , response use air conditioning , already find adequately solve problem . this hotel seem three - day cancellation policy , think considerably long hotel . I definitely get value money stay room typical single room , would consider pay little double room . check internet , find hotel offer much well value time receive Kensington Close . 
 Oct 16 2006 	 thumb ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 hello everyone promise reviewsome week ago stay copthorne Tara know review : stay location important business writing today Kensington close hotel spa first time stay hotel ' unbelievable £ 15 : travel globe important aspect stay hotel ' price much staff care stay feel go way look I … yes like well look , pay something ' ? must admit bit flirt love chat imagine delight enter hotel face charming lady continental accent asking could help . happy room forth floor , large room stay spend little time room ; sleep wash dress again . I ' know many staff work hotel seem every 10 meter someone feel goodthe reception professional , fast efficient ( get number smile good enough ) porter : working ten year imagine , great ( one get nice price show want see ) hotel health club , one small room five machine proper one : 18 meter pool , sauna , Jacuzzi trainer hand help ( sometime kill you … no pain gain say ) use restaurant even bar ( yes Fred know ' believe ' ) however hope use next visit ' entertain client first stay ' thumb Kensington close hotelI tell next visit next reviewtake care 
 Oct 15 2006 	 good 	 3 night business . room small smell smoke . otherwise clean comfortable . £ 3 use gym , ? overall , acceptable London not busy would ' ve stay elsewhere . 
 Oct 14 2006 	 Fire Alarm short 	 4 day 3 night fire alarm go 3 time , 2 time within 12 hour . evacuate top floor way stair . apology make explanation offer . question front desk , say try fix not know could . try check say would pay first 2 night even though stay one . ridiculous . 
 Oct 4 2006 	 Nice Hotel 	 mother , aunt , cousin , stay Kensington Close Sept 16 - 19 , 2006 . hotel conveniently locate near High Street , Kensington Tube . drug store ( Boots ) locate corner High Street Wrights Lane anything everything may forget pack . 5 minute walk front door . although free , Continental Breakfast okay little sparse . highly recommend go Muffin Man tea shop block hotel instead . staff courteous helpful . purchase ticket attraction like Buckingham Palace , Madam Toussaud , Tower London etc . conceirge , cheap purchasing location will not stand line . definitely take advantage Tube ( subway ) . station within walk distance hotel . stop major attraction , reasonably price , great way experience London . also buy ticket attraction ticket counter . hotel gym spa cost extra not time utilize . long visit might . hotel room small . standard double ( 2 twin bed ) . understand toilet call watercloset England . not much wide . definitely upgrade large room . think Executive level room large . spend extra money . elevator small , 4 people ( 450 kilo ) fit . definitely make rethink second helping . overall nice stay . convienently locate , clean , friendly staff . drawback small room . 
 Oct 3 2006 	 Great Choice London 	 centrally locate near Kensington High Street tube station hotel locate quiet street . staff freindly helpful . room comfortable clean . spa service Health club facility provide great respite weary north american traveler need place relax unwind long flight . travel companion say massage one well ever . simply enjoy pool sauna , walk Hyde park Kensington Palace . 
 Oct 3 2006 	 please describe room truthfully . 	 book two ' double ' room , one husband one daughter boyfriend . September 2006.the hotel friendly good booking trip etc . , tea / coffee facility , hairdryer T.V - room small . bed window , climb use bathroom night . daughter 's boyfriend 6 ft 4 head one wall , foot touch another . comfortable . tiny bathroom enough one person - ! ! ' double ' room describe SMALL ' compact ' hotel seem prefer . room single bed would fine one person . if room describe truthfully least traveller could decide whether accept small room go elsewhere . 
 Sep 30 2006 	 stay 9 nt . - enjoy stay 	 ' m surprised see review , husband & amp ; stay total nine night ( - tour ) quite satisfied . able get early check first day , room small - however , quite common London . room 2 twin bed , great like get sleep vacation - not mean can not still get frisky ; ) anyway , dese theme web site show 's - quite like , thruth tell , clean line , clean & amp ; unclutter look . find rm . clean , housecleaning staff could not speak english problem . the hotel restaurant premise breakfast well , however never eat hotel . , other , see Muffin Man street - end breakfast morning GIRAFFE Restaurant , go boot ( Kens . High Street ) turn right ..... walk block pretty much start Kensington Garens . breakfast GREAT ! ! ! many choice - egg , ham , toast , fruit smoothis great latte .... pleased location - shop along Kenisngton High Street - find great bargain new fall style @ H & amp ; dep't store beside & amp ; ( not H & amp ; Canada ) walk Notting Hill , Bayswater , thru Kensington Gdns . Mayfair & amp ; Buckingham Palace etc ... fabulous location . even choose another hotel , would still choose location -- great restaurant close . love Arcadia ( italian ) lane , way Giraffe -charming , fabulous service great food ! ! one thing remember rm . door lock work funny - open , leave long door deadbolt activate close door leave - come back door fully closed . think housekeeping leave dr . open wwa us - check door whenever leave . we travel extensively business Canada esp . & amp ; N. America well - use large room amenity , however hotel still good us - try ugly N. american tourist know friend travel business low expectation extras & amp ; rm size . need - blowdryer & amp ; iron board iron provide whenever request it . day check front desk agree request late checkout 2 pm stay 9 night . not well use N.A , good us clean bathroom roomSpa good - massage , workout steam ( cost 3 lb per day use . our laptop not work well internet rm service find internet cafe 1.50 lb 1 hour -- pay 1 lb 10 min . downstairs lobby . - find internet cafe ! ! ! 
 Sep 25 2006 	 bad Hotel London 	 stay 1 night jet lag return trip USA . purposely book ' what think ' excellent hotel - spend day . wrong , - pay premium price dirty bath , mildew wall room big enough bed . furniture door straight toy - town , remain unpainted / untreated carpet do not fit wall , curtain wide enough meet middle . satellite TV describe unless pay £ 7.95 per viewing . battery work remote control , call reception receive response - use own . to finish stay , maid come straight room next morning without knock anything - even though ' do Disturb ' sign door . beware - chain reason , luckily - unfortunately , stand door undressed time . we express unhappiness hotel , could not care less honest - offer 2 free drink , able budge this . this well Regent Palace London cost £ 40 . please see review , really wish come site read first . thank 
 Sep 25 2006 	 never use hotel - bad ' ve ever stay ! 	 hotel terrible . phone confirm booking , staff tool 20 minute locate , firstly tell booking , eventually decide . try check , tell someone cancel book phone early ! although queue , actually take 1/2 hour check ! ! ! ! give credit card - charge wrong number night . they give keycard room 587 - go way fifth floor find room 587 . 578 ! get back reception , snatch card envelope , scribble 587 , change 578 , apology . the room small , dirty . the staff rude unhelpful . could speak adequate english . I tell reception staff company book approximately 20 room PER week Kensington area , would never use hotel . staff appear bother all . beware stay - 's rubbish ! 
 Sep 15 2006 	 4 star 	 girlfriend recently stay hotel choose expedia.com rate four star display nice picture . the room give standard double room small , unattractive carpet , small bed , tiny bathroom . find outrageous pay lot money think would high standard 4 - star room . hotel nice area close range shop kensington high street Kensington high street tube stop . breakfast include overall price go crazy £ 15 small cafe 30 yard away call Muffin Man bit reasonable . pure orange great sausage chicken terrible . eat evening carvery average real restaurant night life nearby . central attraction east cost around £ 15 - 20 taxi . inconvience awaken sleep one night evacuate hotel fire alarm go . positive note hotel clean concierge service good , help we underground , book theatre ticket , carry bag taxi 's generally helpful . girlfriend fully intend return London , fully intend stay different hotel centrally locate well standard room . however , stay hotel try get executive room standard room worth cost . 
 Sep 12 2006 	 Terrible Hotel 	 probably bad 4 star hotel London . stay one night would never stay . stay London regularly overprice basic . room wide corridor basic beyond belief . think hotel think could get away without provide bed would do . room far away reception nearly book taxi ! 
 Aug 30 2006 	 tour stayed 	 stay 2 night start England , Scotland , Wales tour Cosmos . room small basic thing ... hair dryer . meet room bar area restuarant ok ... room need lot upgrading though . plan bare minimum place . close High Street convenient store . 
 Aug 25 2006 	 avoid hotel 	 hotel close High Street Kensington , convenient station . not many Circle Line service , wait least 15 minute every time take train . first impression hotel big hotel , clean , staff young . feel staff train well enough serve polite way usually expect hotel clerk . nobody come carry luggage . give two card key , often not work . room ok , tiny . one good thing fridge , though often make strange beep sound annoy us midnight . bed move easily probably easy cleaning . one bed big hollow centre uncomfortable . backache end stay . one big reason choose hotel offer internet access service every room . though hotel answer question via e - mail whether & quot ; fast & quot ; internet access service , finally decide stay one staff write say voucher 24 - hour access available 15 pound . think quite reasonable , actually buy one . use internet hour first night ( turn slow ! ! ! ) , not use next day , try use follow day . find voucher already expire . ask reception inform first time use internet continuouslly 24 hour ! ! ! nobody tell we , complain hotel staff must offer we information voucher ( say , & quot ; 24 hour & quot ; ) beforehand . not accept complaint . one [ -- - ] guy even tell fault mine voucher clearly say , & quot ; 24 hour . & quot ; would take literally ? would use internet 24 hour continuously ? also say internet service offer style every hotel every internet cafe UK , obviously lie . way guy talk rude even forgot moment talk hotel clerk . finally compel give leave reception . still unable consent [ -- - ] guy 's explanation , go reception . time advise visit follow day talk another staff might solve problem . turn first time buy voucher staff reception forgot give necessary information voucher . voucher already cause misunderstanding among customer , staff usually explain voucher continous use . wonder would happened not return reception . follow morning go reception , talk lady staff , understand situation give new 24 - hour voucher . tell truth , one day stay , not need one . not satisfied hotel beginning , event make we decide change . choose Country Inn , quite close Cloucester Road . station convenient High Street Kensington . locate close Sainsbury 's open 24 hour . staff reception well experience gentleman , young staff help carry stuff . offer wireless internet access service every room , not need use internet continuously . disappoinging can not log Gmail possibly firewall . tell reception , man come solve problem . though problem not solve , feel sincere attitude hotel . 's , hotel much cheap Kensington Close Hotel . I never choose Kensington Close . waste money ! 
 Aug 20 2006 	 Basic Hotel Excellent Location 	 stay hotel large tour group . advise Kensington trendy part London hotel excellent location . prove true , able access subway ( underground tube ) short walk . eventually , discover shortcut back alley underground hotel . the hotel also close many restaurant shop Caffe Nero , McDonald 's , Marks Spencer ( eat diner purchase food ; buy & quot ; go & quot ; & quot ; take away & quot ; food ) . also many wonderful ethnic restaurant close Thai , indian , lebanese . also restaurant call Muffin Man may wish consider , true hotel 's complimentary continental breakfast busy line ( queue ) .the room small . bathroom cramp tub drain slowly . noise guest talk hear pass hallway . room furnishing basic clean Staff cordial . I feel room overprice due location . however , one plan room much merely lie head , place fine . it appear hotel focus conference facility , area nice . also spa hotel wish use , along small gift shop . 
 Aug 11 2006 	 stay hotel 	 son stay week end July . bathtub , bathtub tile , bathmat grimy . bathtub sometimes back - would hear gurgle noise see dirty water flow bathtub . tell hotel full wa not another available room . compensation offer . continental breakfast buffet always long lineup staff never able keep buffet stock . frustration , force pay extra order eat full english buffet . hotel staff courteous ; staff concierge desk helpful . rest staff limit English . 
 Aug 8 2006 	 expected- mostly 	 spend good bit time research site find hotel stay 4 day London Northern European Cruise . I top criterion hotel either Central London easy access good tube line Air Conditioning . person need AC- ' ve learn lesson past people say & quot ; oh , not need AC never get hot time year & quot ; definitely need get it . I almost problem couple small difficulty Kensington Close . check - in first surprise . add extra night stay request combined 3 night . apparently possible due computer system . assurre would problem staying room would stop desk next morning pay bill first night . glad work next morning problem . the problem even notice leave . check first night careful make sure bill convert dollar already courtesy . neglect check second bill . convert bill dollar conversion rate good get bill present credit card company pound . I glad plan ahead London temperature high 80 's low 90' . the room small bathroom also small ventilation could get warm shower . AC work OK- great take edge high temperature . problem run night- big problem maid open curtain day sun beat room make hot . the one good / bad thing room require put room key slot door electricity work . take card thing shut . see energy saving tool . big deal two people two room key since room safe require use card take wall slot run safe slot light go out . the staff courteous take care concern . room clean sign wear good shape . bathroom small amount mold / mildew ceiling corner minor rest room bathroom spotless every day . I know hand food not great price bite high end eat first night get bit late ( flight delay two hour ) bit sightseeing not feel go back heat look something . food price ok . not bad not anything special- especially price . the tube station 3 - 4 block away convenient . 's District/ Circle Line 's convenient Central London Attractions . two service problems- one day need buy one trip ticket machine clerk late due illness . second problem electrical problem Circle Line return mean make detour take different line get back . bottom line- give Kensington Close Hotel average rating meet almost expectation . 's 4 star hotel 's convenient , clean , comfortable place stay . close tube station get want go easily . nice restaurant closeby eat at- eat Muffin Man breakfast 3 4 day ( be hotel tube station ) . eat McDonald 's morning- piano player play tune baby grand piano ( be beneath & quot ; Best Piano Bar London & quot ; ) .if go reasonable expectation hotel satisfied . can not judge standard would get US city . judge fairly- hotel London . think get fair exchange money . 
 Jul 31 2006 	 stay - double check bill ! 	 flight cancel due weather . give hotel 24 hour notice . arrive Saturday morning , say could cancel Friday night , also would let we room . I pay room Friday night , allow use ! check - 6 phone call bill Friday night . ( night - charge ) otherwise - room clean nice . location great . concierge extremely helpful . 
 Jul 22 2006 	 good affordable well locate hotel quiet street 	 although check - in get questionable start i.e . book 2 twin room on - line got & quot ; hot water problem Double Room leave & quot ; story , stay Kensington Close go smoothly . trick situation deal directly Manager duty , turn charm firm patient . several different offer accomodate we , manage get twin room hot water first night ( part connect Family Room ) move another small room remainder stay . even manage get free access Pool health spa prove invaluable heat wave tough day work play . even manage get one night stay ( repeatedly tell room available morning departure ) , work different Manager duty . staff come across nice nice ! room clean , small NA standard care London . Bathroom Pool area could use good spruce least clean Mildew seem everywhere . never eat restaurant / bar not need many great choice close . AC work fine , bit noisy not expect cool effect NA.The location / price value good thing . be close enough shopping , Kensington Gardens , Bayswater area Paddington station . note : Kensington High Street tube station 2 minute away Circle / District line seem break often , expect delay walk , take taxi . overall hotel ok get bit expect price pay . 
 Jul 11 2006 	 stay 	 stay Kensington Close London March 2006 . first room disgusting . fact , stain ( appear human bodily fluid ) blanket . also , black mold bathroom . move another room still black mold bathroom . eventually move suite still mold bathroom . additionally , staff extremely rude . even neglect make wake call almost miss flight back US . far bad hotel ever stay either Europe US . 
 Jul 8 2006 	 Nice Quiet Cheap Hotel 	 visit London honeymoon last year book Kensington Close Hotel . not expect much since whole purpose travel enjoy city , hotel . front desk staff courteous room clean quiet . can not beat location since beautiful safe residential area . tube station 3 - 5 minute walk street nice . overall feel safe content . thing bother little bit room size . book double room size make motel U.S. look like luxury . also , sometimes would take forever room service pick phone . food hotel tasty bad . would definately recommend hotel someone want location , safety , comfortable atmosphere . be travel 's fine be hotel would book elsewhere be luxurious . visit London will certainly consider . happy Travels . 
 Jun 26 2006 	 excellent location ! 200 meter Tube Station . 	 spend six night Kensington Close Hotel find location perfect tourist . easy access tube ( Kensington High Street Station ) . take 10 pound taxi Paddington Station ( Heathow Express ) .check - in friendly efficient . prepay reservation British Airways . base previous review , room size seem vary . fortunate large room face front hotel couch two twin bed . able push bed together form queen size bed ; wheel easily movable . agent check tell we room two twin bed big one one double bed , perhaps key get large room . Room Quality- average - room bit worn . clean overall , bit dusty . window open . soundproof fine . shower excellent water pressure . room size - approx 300sq foot . irritant - air conditioning unit appear timer would turn two hour make room stuffy middle night . full english Breakfast buffet include room rate . good selection hot food cold cereal . gourmet , adequate . we find staff ( check , restaurant , concierge ) friendly helpful . fabulous location , would definitely recommend hotel . I would say north american equivalent hotel would old Marriott Courtyard Hilton Gardens Inn . 
 Jun 26 2006 	 Kensington Close - never ! 	 stay Kensington Close Hotel three day May 2006 . upon arrival tell book one night three . however , correct , although staff seem put . get ( tiny ) room key pass not work . return reception twice unfriendly staff . phone not work room cleaning room leave lot desire . I request change double room tell hotel full would not possible . however , friend call hotel book double room hour . breakfast dreadful . make mistake try carvery one evening - disgusting ! trip receive e - mail Kensington Close ask review stay . send one - however , get absolutely reply ! will never stay again . rude , unhelpful staff . terrible food . small room . advantage 's close Kensington High Street tube . 
 Jun 21 2006 	 recommend ! 	 check , ' get much information . give room - number tell continental breakfast include room - price . english breakfast available upgrade 4,5 pound per person per day . first thing notice big hotel ... load people stay . get room , end loooong corridor , use keycard 6 7 time door open . room clean small . bathroom even small . sit corner bed take shoe , bed collapse ... leg go bed screw lie floor bed . go downstair reception tell bed . say ' send maintenance . go room 10 minute 2 guy come check bed . " hmm leg seem broken , ' know ' screw something bad . two option : put sheet bed instead leg , tomorrow try fix give room leave , ' warm water . case could use new room sleep old room shower bed fix . " choose room . someone come room new keycard . enter new room , could hear water leak . check bathroom big puddle floor shower leak ... dripping , , really leak . noisy sure ' able sleep . return room call reception ... ' pick . try second time ' pick . call concierge explain problem transfer we reception ... nobody pick phone . minute call reception . time answer tell problem , say tell manager . 10 minute later guy knock door new keycard third room . hot water either could also keep initial room . go room want go bed notice mattress small . fact almost 20 cm small bed . decide sleep anyway small ' turn around without fear fall bed . the next morning go reception remind fix bed . go Carvery restaurant opt english breakfast pay 9 pound we ( upgrade ) . disappoint buffet . egg , sausage , bacon , 1 plate cook ham , one plate one kind slice cheese , fruit fresh , soft ( old ) croissant , quite hard roll ( quite stale ) cereal . ' taste great . decide try continental breakfast next day , since include room price . come back evening bed fix . one good thing . bed bad . whenever one would move bit one would move bed ( waterbe ) … end sleep much move mattress . next day try continental breakfast . restaurant ( italian connection ) big joke . " buffet " one plate slice cheese ( one kind ) , spot already hard corner . promise selection meat cheese … stale roll soft croissant day . cornflake jam , butter , rice crispie orange ( fresh ) ! fork knife available minute etc … the next day , except half plate cheese , probably day ' leave - over . so basically nothing big rip - off . warn go , nothing big rip - off . Personnel might mostly friendly seem management really want make money really ' care less customer . not recommend all . it ruin stay London . Don ' go want enjoy stay ' one happy hotel . overheard many time people dissatisfied . pro : friendly staff ( ) LocationContra : small roomssome staff friendly bad breakfast everenglish breakfast 4,5 pound /person / day upgradeenglish breakfast quite badcontinental breakfast . jokevery bad bed 
 Jun 18 2006 	 billing problem small room sound insulation room 	 read review right , room small , fact travel lot small room see - maybe japanese guy design tiny hotel Tokyon floor plan . old hotel obviously strip floor rebuild try get many room possible little space possible use cheap light wall room . I book friend also stay want catch . use Kensington hotel official internet site probably first mistake . book single room internet GBP140 per night . checkin guy pretty rude . give single room see size room single bed think mistake small go back reception get lady helpful agree upgrade double said & quot ; problem leave rate single room rate & quot ; . check charge gbp160 double room - protest advantage . in addition english breakfast GBP13.50 . internet cost GBP10 per 12 hour . room service good , quick good food . this bad value money think see London . would stay . 
 Jun 16 2006 	 great location shame hotel 	 hotel locate right next Kensington High St tube station ( literally couple hundred metre . check - in fine , hotel bit dreary , room much clean cool . nb : playstation pay extra - always seem unnecessary ! italian Connection restaurant terrible . hotel restaurant nearly always bad , one like step back 80 . starter mozzerella tomato turn grotty mozzerella bad leaf salad . main course pizza doughy . the swimming pool adequate , little dilapidate . unfortunately Kensington Close average London hotel . 
 Jun 14 2006 	 snooty staff tiny room wafer thin wall ..... 	 arrive hotel partner , receptionist seem clue deal internet customer , appear interest provide warm welcome . foyer whole unwelcoming hotel generally quite tatty . room small , bathroom slight state disrepair television able provide function . people room next door seem foreign student something , noisy 1 am went complain . unfortunately not help wall sooo thin . good thing hotel close tube station . picture see far flattering , get really let see hotel daytime ! ! dissapointe choose hotel al london takemy partner , not find much nice hotel 
 Jun 14 2006 	 bad 	 girlfriend visit London , read endless review London hotel , hotel seem good value money whilst compromise quality .... location great , 2 minute walk tube , Beautiful Hyde Park 5 min walk , shop around corner , standard hotel bad . anyone visit London tourism day , small size room be not really issue we . overall , impression good : hotel clean , service good , bed comfortable , breakfast well average . would reccommend anyone visit London medium budget . otherwise , always Savoy ... 
 Jun 9 2006 	 well Hotels cheap 	 stay atthe Kensigton Close Hotel week business trip . the fact : Small RoomsRooms Dirty oldStains chair desksmiror clean properly . the location hotle central , still enough go back . much well hotel area cheap . 
 may 24 2006 	 excellent location great hotel small room 	 Hotel excellent location Kensington High Street tube station block away , well several cute clothing store restaurant . hotel modern clean , complaint room small . Twin bed push together , room push apart . bathroom foot bed mirror door slide open ( room regular door ) . bathroom modern spacious enough , tub / shower combo . good water pressure temperature , although hear other complain . really sleep room , not really bother small . bed pillow comfortable air conditioning work well . we full english breakfast excellent ! include egg , bacon ( include american style ) , tomato , sausage , toast , croissant , fruit , cereal , juice , coffee / tea , etc . fill ! ! also eat italian restaurant hotel think great ( lasagne ) . would definitely stay hotel still budget ! 
 Apr 23 2006 	 great price book online 	 originally plan stay 2 night , extend stay three . originally book online therefore get great rate , unable get rate extra night hotel , go road book online ! room nice , comfortable , hot AC not really seem anything . lock not work door sink plug bit dodgy overall thing not really affect stay , would not book another night here . the location great Albert Hall museum bus knightsbridge tube station around corner . able check early charge staff friendly helpful . do not pay breakfast , plenty place around much well cheap ! overall , would stay good value money great location . 
 Apr 3 2006 	 great hotel terrific location 	 sister return short stay Kensington Close . staff great , breakfast good location plain terrific . room small clean suited need beautifully . would definitely stay . 
 Mar 25 2006 	 Rates Belie Excellence Accomodations 	 find staff thoroughly helpful kind , room beautifully appoint spotless , neighborhood delightful . & quot ; four star & quot ; hotel bargain basement price . travel three other equally impressed . be unfamiliar London , consider bus tour city . hop see various point interest , take picture , etc . advise hotel staff member make much easy we get acclimate . whatever , not miss Harrods ! level customer attention convey salespeople exceptional . 
 Mar 20 2006 	 home away home ! 	 say overall pleased KC . read review bit worried would find get , problem place ! able check around noon , get room ( 5th floor , overlook garden area , request upon check - in ) pleasantly suprise perfect size . two twin bed , enough space put suitcase ( mine floor closet , mother floor bed . ) shower wonderful , great water pressure , nice big soft towel . bed comfortable . night leave window open crack , not hear sound anywhere entire night ! full breakfast include package , good . nice selection egg , sausage , tomato , fruit etc . , also cereal , bread pastry want something light . also good selection juice . top , location hotel superb ! 2 min walk Kensington High Street station . ton store restaurant minute walk away . area also nice , quiet one good semi - residential neighborhood . read review , one keep mind expecation people review . expect pure perfection , not think will happy , anywhere matter . every hotel planet quirk thing people not like . not like something KC , let staff know , helpful , accomodate kind . please feel free email question . 
 Mar 19 2006 	 overall think nice place stay 	 Family return London . book 2 room Kensington , one us one college aged daughter . think room overall smallish , nice comfortable . hear visitor London , typical hotel . clean , quiet bed comfortable . think staff hotel accomodate , give we extra pillow , information area , punctual problem ( blow fuse ) free breakfast leave something desire ( cereal okay spare bananna ? ) other post & quot ; muffin man & quot ; literally right street good . water room always hot , plentiful . pub comfortable , albeit smokey ( Massachsetts smoke free 2 year , spoil ! ) find everywhere , . italian connection hotel really good pizza , service excellent . could not beat location , High Street tube connection 5 minute walk . overall would problem recommend hotel other 
 Mar 17 2006 	 Great Hotel know ask 	 good friend plan trip year please room . first arrive hotel 8 am , read review prepared friend small room also know corner room big , smile , wink , & quot ; be ok can not give we corner room & quot ; attitude , receive corner room . room HUGE , 2 twin bed enough room another . 4 suitcase we ( 2 big one 2 medium ) much room leave two floor open two closet . bathroom update nice 7th floor hot water never get hot , ok though , enough take shower lolly gag . honestly can not complain much , get past shower GREAT room . also , not ask front desk wake - up call forgot consiuer not ask . read another review thing happen , biggie ' ve warn ask guy instead front desk staff . notice room small look comfy bed place . underground also 5 min . away alot resturant High Street . 
 Mar 9 2006 	 excellent location . solid hotel . 	 return London stay Kensington Close . ' m NYC , ' m strange small hotel room . hotel clean include decent breakfast morning . 's great location . not love bed , not expect stay 4 season either . notice two hotel area , ' m sure price range . solid hotel eat sleep excellent location . 
 Mar 8 2006 	 Shabby location location ... 	 stay regularly often good deal travel site book . £ 79 night pretty good central London include full cook english breakfast . room small always clean well maintain / service a / c heat always work . open window . not recommend restaurant non - smoking part bar effectively draughty corridor lead back past conference room fitness centre . however , hotel steadily renovate - room do location great . get good breakfast little tea room road ( McDonalds across main street ) sort good eatery Kensington High Street . also good shopping mall Tube ( metro ) rail station 5 minute away street . also , nice park high street . choose location , frill . 
