wow 	 great hotel ! stay wife one night , get great deal hotel . amazing location , great staff . bed amazing pool gym also stack many machine great view work . hotel staff helpful , wife forget pair jean mail back we free . ' ve never see much effort staff . can not wait stay . 
 Nov 27 2008 	 time Trump 	 Overall , enjoy stay Trump . make good use kitchen suite make meal . appreciate spacious dimension room , quality appointment bathroom , toiletry , bed room . however , sofa bed comfortable , soft saggy middle . really appreciate FREE wi - fi . can not everyone offer ? every employee encounter friendly , helpful , well - train offering service . downside service one person check - in desk , long line people wait behind we . Attache service prompt , request plastic wrap , glass milk . make use spa , treatment ( massage ) wonderful ; technician great . locker facility could use little maintenance shower door , would not lock , hair dryer would appreciate . room service prompt serve size generous . overall , good experience , reach level top notch luxury hotel , aspire , take work . special kudo Olin Spa , take time explain everything relate spa treatment us patient , friendly way . 
 Nov 26 2008 	 well worth price ! 	 stay appear quiet week year . place ghost town ! love . much personal attention . bellman know name ... concierge know we ... housekeeper even use name ! room ( suite ) absolutely lovely ! son sleep pull sleeper couch 10 year old daughter sleep chaise lounge bedroom . comfortable . tell almost not book hotel upset pay $ 50 dollar cot ... daughter fine one hotel gracious provide we sheet etc . make bed . pay $ 470 night two room suite city view . eat breakfast 16 wonderfully elegant . gorgeous set restaurant ... especially sunshiney bright morning ! pool huge clean ! workout facility outstanding ! would stay minute ! wow , kid spoil ! ! ! ! 
 Nov 20 2008 	 despite Trump love 	 last name earth associate Donald Trump , decide give shot . second enter door , true 5 star experience , likes not think ' ve ever anywhere . commonly stay place like St. Regis , etc . etc . you enter door , be welcome , ask name escort discreet desk minimalist lobby . second , room , least 5 people welcome name . room one - bedroom suite , breathtaking . large living room , attach full kitchen , exquisite style . actually cook room , although not oven . everything decorate perfect taste , expensively , ostentagious . bathroom beautiful , be even flat screen tv build ( somehow ) mirror ! negative fireplace , look forward enjoy . 's completely fake , electric optical - illusion flame , heat . bar also magnificent hotel , complete finely make drink luscious bar menu , awesome sushi . sure everyone high taste please hotel . 's truly premium class experience . 
 Nov 13 2008 	 Best Hotel Chicago 	 normally stay Peninsula Park Hyatt book . husband celebrate anniversary decide check Trump 's new hotel . everything wonderful . 2 bedroom executive suite outstanding view lake Navy pier . room beautiful amenity top notch . also use spa , pool exercise facility . everything great . loved deluge shower steam room . 9 year old us ball . first trip Chicago treat like prince everyone hotel . even supply we Xbox 360 set room . think great value consider normally spend amount one bedroom suite Peninsula 2 bedroom suite twice size . full size living , dine Kitchen . 's great value family since sleep 6 sofa bed . importantly service well ever luxury hotel anywhere . check - in flawless , even get welcome general manager . eat 16 chef 's taste menu . service excellent food die . couple 's spa treatment perfect . we travel Chicago often new hotel . 
 Nov 2 2008 	 amazing hotel 	 absolutely amazing hotel . manage afford becuase get special deal still construct . leave small amount building work leave complete . not noise construction work . room massive . everything could possibly need . minor thing even though lots coffee provide 2 Coffee Mate creamer leave - buy . hotel fantastic location - end Magnificent Mile next Wrigley building . win lottery would definitely return ! 
 Oct 17 2008 	 top whatever top . 	 enamor Trump image book hotel convenient business meeting fine review site , trust . turn impressive hotel stay recall . room enormous , like design much . come complimentary tray chocolate complimentary bottle wine . complete kitchenetter ( espresso machine , microwave , refrigerator , dishwasher sink , tableware , etc . ) flat panel tv , wonderful idea hotel embrace , quiet turn menu screen come . small flat panel bathroom mirror well . tub shower inside single glass enclosure , like although other could disagree . big drape motorize control . plenty space seat area . room service menu expansive abundance choice . spa health club also enormous offer wide array experience . staff lovely . could imagine nice stay hotel . 
 Oct 10 2008 	 Writing Review Still Property 	 plan follow full review later , however , want give initial impression be still property . finnicky ( sp ) frugal come accommodation . say , ( , wife , 7 year old daughter ) find force slow forget busy schedule , etc . could happy ..... 
 Oct 5 2008 	 impressive 	 impressive property . service one would expect . room one good stay ; little subzero refrigerator , kitchen stove sink nice touch . Decor understate tasteful . lobby bar nice , great view river . give Trump try . 
 Oct 5 2008 	 extraordinary 	 difference month make . relatively disappointing stay Trump spring -- -the property shockingly unfinished -- -i return extraordinary visit . trip book one bedroom , river view suite , take advantage excellent ' 16 ' restaurant fabulous spa . tell hotel incredibly well appoint , room beautiful , wonderful friendly accomodate staff , many five star property Chicago lack -- -genuine sophistication . usually stay Penninsula Four Seasons .. visit Trump surpass . 
 Oct 1 2008 	 wow ! wow ! wow ! 	 far one good hotel . spa room beautiful . floor ceiling window overlook river . bathroom luxurious include fancy shampoo favorite , sugar body scrub . tv mirror flat screen main room . closet towel / compress heater nice use bed shower . service like . must send professional & quot ; Nice & quot ; school not one person not friendly helpful , hard find . drink Rebar , also waitress kind . view dim lighting relax . also visit pool , gym , spa last day . locate 15 floor . wait massage gentleman ask would like tea make fresh loose leaf . decline smell nice . gym state art equipment . husband say nicest see . travel 4 1/2 year old feel welcome . love child . housekeeping send robe slipper say & quot ; Trump Kids & quot ; , cute . last day Trump family arrive open residence side building . wish would chance tell great job hotel . stay every time visit Chicago . 
 Sep 24 2008 	 simply good 	 not like Donald Trump love hotel . fairly new addition Chicago step ! be right along Chicago River lovely river lake view . see Navy Pier well imagine get great view firework . Executive King Suite . room locate upper floor hotel secure elevator access . room huge approx 700 square foot . large open living , dining kitchen area ... fully equip kitchen . large bedroom luxurious bathroom integrate television inside mirror . son say , & quot ; magic & quot ; . agree . furnishing ambiance modern luxurious . 's great place stay child . greet kid cotton candy . also provide crib lovely linen ( although crib somewhat small full size ) . staff friendly lovely kid front desk doorman . look forward return lovely hotel . 
 Sep 23 2008 	 beyond 	 boyfriend book we room Trump surprise anniversary . course , name Trump attach hotel , expect lavish , upscale hotel . aside lavish upscale , hotel customer service far surpass expectation . upon arrival hotel , every staff member know boyfriend name , greet we genuine smile always quick offer help assistance anyway need . our room ready arrive make delay , hotel upgrade suite 1500 square foot room offer complimentary drink on - site bar , Rebar . non - alcoholic drink ( expect ) , go back front desk check status room , still ready . shortly explain expect need get situate could go dinner , room ready . room absolutely gorgeous -- panoramic view ceiling floor Navy Pier ( later benefit we watch weekend firework show chase lounge 10 pm ) . spacious room like condo , complete full kitchen ( microwave , dishwasher , oven , fridge , plate , silverware , etc . ) , 2 full bathroom , living room , dining room , bedroom . living room bedroom large flat screen tv . area room individually temperature control . shortly settle room receive knock door ( actually re doorbell ) room service deliver bottle champagne chocolate cover strawberry card wish we Happy Anniversary staff , complimentary course . after enjoy receive phone call hotel manager apologize we lengthy wait hotel room offer we later check - out time complimentary breakfast choice restaurant Sixteen room service ( later total $ 100 ) . every service hotel offer special extra make even fun order . throughout night enjoy 24 hour room service , include order Trump Sundae twice . everytime order , staff gladly set table ever choose dine ( near window , dining room table , bedside , etc . ) .The next morning , paper deliver , breakfast serve promptly . love robe watch tv bathroom get ready . upon checkout , greet name ask everything meet standard , course . would highly reccomend hotel would gladly stay ... . one thing , although hotel construction , never disturb noise , detour construction worker . hotel work hard ensure stay peaceful relaxing possible . 
 Sep 22 2008 	 Loved Trump 	 book girl weekend hotel . almost not book hotel read negative review service . sure review come experience . moment taxi drop we , service nearly flawless . bellman , without see luggage know name everyone hotel matter . first time hotel impressive . everyone friendly everyone always say hello matter property . concierge George well . even walk us restaurant lunch think might get lose . check , receive hot towel hand water . room-2 bedroom suite lovely gorgeous view river . suite plenty room 6 girl . tell reservationist book celebrate birthday . hotel one day send we champagne , cheap bottle tray chocolate , next day receive gorgeous flower another day receive chocolate cake . celebrity pay rack rate . fact , rate pay two night get one night free . stay world never treat well . health club large brand new . nice touch put voss water bed night . housekeeping service great we much voss water need stay . originally go stay Sofitel glad deccide stay . go R - bar nice not stay view room well . would not second thought book stay . TRUMP really know hire right people . excellent experience . 
 Sep 11 2008 	 absolutely love 	 without doubt good hotel ' ve ever stay . absolutely gutte leaving , although would something Chicago great place too . the staff great . helpful friendly could not enough you . the room magnificent . exactly website show . fantastically clean every amenity could want . the spa great . never seem crowded decent sized pool . the bar , ( rebar ) , excellent barman superb . slight problem bar snack compe drink rest evening apology - little touch make difference . the restaurant , sixteen , lovely . massive panoramic window , look Chicago dine great food wine . yes be expensive hey be Trump restaurant , expect ? ! stay tower still finish , hence buy one night , get one night free deal get , construction top floor , ( 80 floor away ) , never hear peep noise stay disrupt way . I expect place garish little overwhelming extravagant Donald Trump style nothing sort . understate elegance would describe . quite simply amazing time can not wait go back . 
 Sep 9 2008 	 wonderful weekend Chicago 	 get back wonderful weekend Trump hotel Chicago . first visit city enjoy every minute . hotel beautiful . still construction affect . staff always courteous . pool spa fabulous . drink Rebar , nice breakfast one morning Sixteen . food delicious little expensive side . great trip . 
 Sep 7 2008 	 first class experience 	 family four , stay 14 night Trump Tower August year . we stay one - bedroom king apartment overlook City . the accommodation first - class , new , spotlessly clean . it also huge-1000 sq foot , two plasma tv , fully - stock kitchen , two bathroom , luxuriously - appoint . oh - there also tv mirror bathroom wish catch news whilst soak bath ! Maid service day efficient unobtrusive , turn - down evening . the gym facility first - class under - use guest stay . the pool must well ever see luxury hotel-25 yard , dedicated lane one side , warm . it never crowd , must pool least half dozen occasion lap swimming . the hotel staff attentive , time little over - enthusiastic ! -I not remember open door whole time ! one word advice - ask staff explain lighting system work room - it easy fathom , believe ! air - con go one day , call hotel service , within 15 minute engineer fix it - great service . we eat hotel restaurant , prefer instead explore nearby hotel - none disappointed . it central Chicago 's attraction , theatre , museum , beach , aswell shopping , course ! Hertz car - hire also literally across road entrance . I would highly recommend hotel . we mildly - intrusive building work noise couple morning , nothing one would complain atall , credit - card could stand , would definately choose hotel next trip Chicago . 
 Sep 1 2008 	 absolutely marvelous 	 family stay wonderful hotel sight seeing trip Chicago celebrate daughter 5th birthday . everything perfect . greet we smile wish daughter Happy Birthday , even special cake card bring room . service throughout stay exceptional . staff cater every need . marvelous experience would highly recommend fine establishment . 
 Aug 27 2008 	 great problem 	 Trump Hotel beautiful hotel . however , forewarn still construction expect complete March 2009 . stay 17th floor encounter noise problem construction . front desk clerk advise us roof instal week balance work entail finish interior top floor . room spacious well appoint . linen excellent build - in television bathroom mirror . silly touch water menu grossly overprice room service . encounterd number problem merit mentioning . one , massage hotel spa nice , although expensive . wife 's massage cost $ 300.00 hour half . discover upon check hotel automatically charge 20 % gratuity spa service . never tell charge advance . also charge additional $ 300.00 room check . enquire basis charge , already prepay room full , tell mistake . explanation offer mistake make . professional 5 star hotel . second , first day stay unpleasant experience hotel staff walk unannounced room . first maid porter bring we bottle wine . return dinner discover cake room . , room access staff without knowledge consent . cause we little concern valuable , although safely store room safe . third , wife go lobby bar sit table four beside window overlook river . bar busy full . nice little pretentious . waitress first ask we dining indicate want drink state table reserve party four . reservation sign table . frankly believe . offer we lousy table back decline . put embarassing position walk lobby bar , although pay guest hotel . wife hear waitress laugh another server walk . concierge help . overall though beautiful hotel well locate . would probably return future . 
 Aug 21 2008 	 five Star Trump ! ! 	 Trump Tower still construction another year . get hotel walk scaffolding . aside hotel advertise - a five star Trump hotel . room privately own condo small functional kitchen . balconie small venting window open . everything hotel solid 5 star level . personnel professional . hotel location foot Magnificent Mile great day little quiet night . guess criticism stay view room mostly adjacent office building - no lake view . also present time outdoor seat restaurant part hotel . health club pool indoor great view city . also complementary wifi hotel room . one highlight stay complementary Nespresso Machine room refill supply daily . familiar machine , make coffee cup time put small capsule contain different type real , instant , coffee . get morning , turn machine , plug coffee capsule , 30 second cup freshly brew coffee espresso . love much order machine . summary hotel true 5 star hotel Trump touch class would highly recommend anyone stay downtown Chicago . 
 Aug 17 2008 	 Trump Hotel experience 	 first time Chicago stay Trump Hotel . hotel good part trip . staff attentive make we feel extraordinary . day customer service low , Trump Hotel excel . every time walk door hold open greet staff . room always clean turndown service make we feel special . every little detail T.V . mirror espresso maker beyond . would highly recommend hotel anyone . especially people like would think could afford hotel like . trump hotel make pauper like feel like royalty lavish palace . thank Donald . Job well do : ) 
 Aug 15 2008 	 Donald - can not trump ! 	 check 23hr haul South Africa immediately feel like & quot ; arrive & quot ; ! agree review find Receptionists Concierge people especially , efficient & amp ; friendly . our room city view 24th floor great . room decorate truly modern style large 42 & quot ; HD flatscreen tv + Bose audio bedside . trump go way provide essential huge array hotel creature comfort . piece - de - resistance must surely beautiful huge bed / mattress lavish pillow . first night 's sleep good wake midday . they must take heed previous comment concern late housekeeping , entire 5 - day stay attentive punctual . the Spa + Pool delight well well - equip gym - could stay another week ! congratulate Donald Trump & amp ; Bill Rancic 7 - star experience . doubt could afford normal rack rate , building work get summer discount make possible us experience lifestyle well beautiful city USA ! LUV U CHICAGO ! Saukat & amp ; Shirine Dudhia 
 Aug 12 2008 	 yet ready Prime Time almost ! 	 enjoy lovely anniversary weekend Chicago . God love city ! stay new Trump International Towers perfectly locate south end N Michigan Avenue river . hotel open month minor wrinkle iron , lovely experience . hotel choice usually Peninsula , Trump equal venerable favorite , come close many way . large room large sit area kitchenette fabulous view river Lake Michigan 23rd floor . suite decorate muted shade grey dark furniture mohair upholstered piece . bathroom big lovely deep porcelain soaker tub separate glassed shower . despite generous size bathroom , curious vanity one sink , rather two . also note hotel caliber , kleenex toilet paper cheap , one ply product . also , surprisingly , not full length mirror suite ! amenity excellent top quality , linen , furnishing electronics . high speed wireless internet access fast free . serious elevator problem try deal throughout visit . service ahem , uneven . Saturday 3:00 p.m. housekeeping visit room , despite early 8:30 a.m. departure . service Rebar ( great name bar bar great river view ) horrible require frequent gesticulation enquire appetizer ( would forget ) , second drink , request glass ice . service breakfast equally abysmal . one three occupy table blase waitress make mistake order , forget item , get detail incorrect . coffee water refill offer either . concierge also varied skill . one woman not clue anything ask ( even give we incorrect direction - turn leave right ) , thankfully young man come rescue save day fantastic lunch recommendation . door front desk staff staff encounter hallway well housekeeping , ( Saturday ) terrific . would return ? yes , would . faith will get kink . 
 Aug 7 2008 	 good hotel need sort service 	 stay suite , great room , amazing view well fit . still seem full teethe problem service . reception veruy slow always seem overwhelmed number people wait / call . two day run forgot make room , pretty unforgivable price . let us hope sort service , potential good hotel Chicago . 
 Aug 4 2008 	 Classic Trump- love hotel 	 although Chicagoans may hesitant accept Trump Tower part architectural fabric city , terrific hotel great location . frequent 4 season equivalent city , high expectation taste . Trump Hotel Chicago exceed expectation , even construct ( interfere visit ) . warm welcome Stephanie , attentive staff , include terrific doorman , impressed . room comfortable modern- check mirror tv it- cool . adjoining room twin teenager , give hotel two thumb ! return Chicago , Trump Hotel plan . 
 Aug 3 2008 	 Fantastic hotel perfect location - reception staff scratch 	 stay 2 night hotel . nice luxury small mistake allover . Room clean 5 pm afternoon . Front desk staff seem little focus pay attention question need . 
 Jul 30 2008 	 Cool Hotel 	 stay one - bedroom suite easily accommodate two child well ( 1100 sq.ft . ) cost two room hotel . hotel interior high quality , use modern material contemprary furniture fitting . colour scheme generally taupe / cream / beige / brown ( crisp white bed linen ) neutral range zebra wood steel use accent throughout . limestone bathroom perfect grout mastic line - project really well manage get level detailed finish . overall impression high quality reserve modern rather ble . the sound proof living room bedroom excellent . suite two bathroom - speed morning ritual , especially travel girl ! whole experience hotel excellent . review note high end kitchen fitting , bathroom fitting audio visual equipment - say front . airconditione quiet , come county use A / C generally - helpful quiet system one try sleep . any time go pool - maybe one person . pool real deep end would suit small child like diving . view pool area river lake also towards Loop . feel expose surface finish pool area ceiling like fire - safee use steel work , could upgrade decorative finish . change room high quality accessory one would need . Signage pool / exercise area change room might need upgrade wait small daughter finish shower , come unclad man sauna - try convince men room - luckly notice women product counter top previously know right room ! draw attention fact leave none wise . check - in & amp ; really quick . staff always helpful friendly . housekeeping bit slow couple occassion room make mid afternoon , even though would room since early morning . the construction work not really affect stay . notice noise lift go back room mid afternoon . noise 5 pm . scaffold ground level still clear walkways varoius street . window bit dirty give work proceed high level , nothing would really affect one 's stay . I would recommend hotel catagory guest - however book soon avail five star hotel affordable price . 
 Jul 17 2008 	 good hotel america 	 stay anywhere else chicago will make mistake . pick category hotel knock . nothing complain . love every minute . room outstanding service even well . good treat everyone like celebrity . way go donald , rule . 
 Jul 12 2008 	 Extrordinary Hotel 	 Trump Hotel Chicago amazing ! room like elegant condominium rather hotel room . fully equip kitchenette nice touch . health club world high - end equipment . reason , cell phone service poor building ... many collegue issue . this hotel stay visit Chicago . 
 Jul 11 2008 	 great hotel great location 	 wife , 3 month old son , stay Trump 3 night . not make difference , build still construction . not impact hotel scaffold outside building . noise inconvenience . ' ve stay really high end hotel definitely good . staff friendly greet son name several time . room huge ( 600sf ) sort neat & quot ; extras & quot ; ( 42 & quot ; LCD tv , tv build bathroom mirror , fully stock kitchenette nice item , Bose clock - radio iPod dock , electric curtain ) , comfortable bed . bath product top notch . wife say & quot ; first hotel ' ve not skeeve sheet never see single hair bathroom . & quot ; complaint , take reference hotel 5 star , mark wall luggage rub , turn service never return one day call 2nd day . minor issue sure , be talk 5 star hotel , 's high standard . would definitely recommend , also say get good price $ 300 per night . not think would pay usual rate $ 450 per night hotel . 
 Jul 10 2008 	 Loved hotel hate RACIST DOORMAN . 	 recently stay Trump hotel June . originally Chicago , want visit family live north , Lake Shore Drive . get river view suite , think $ 500.00 night . I say hotel stunning ! ! ! ! ! ! initial room great , noisy ( still ongoing construction ) . front desk Trump oblige give we new room , breathtaking . everything modern new ( keep sleek modernity would see hotel like Mercer NYC -- sleek , overwhelming intimidating ) . room BEST Chicago view -- Navy Pier Chicago River mostly unobstructe endless . real bonus window open bit -- stickler fresh air . allow enough air without hazard small child . the room ( one bedroom apartment ? ) clean , roomy everything could want ( suite two full bath absolute top line fixture -- amenity like television mirror ( want home ! ) , marble shower separate bath . full kitchen top line appliance ( Miele dishwasher , example , also free Nespresso ) , would real bonus family child . speak child , notify hotel would baby visit we day , immediately put great crib room , high chair , diaper genie soap lotion , etc . baby . really appreciate gesture . the swimming pool also great kid , friendly provide swimming noodle amenity small child . Adjacent swimming pool ( btw breathtaking view ) , Spa / Fitness room absolutely top line -- brand new plentiful equipment , Pilates class , fresh water ( fruit infuse bottled . last day replace bottled water Trump Ice water , picture Donald Trump . think funny ! ) . neat exercise great location ( high overlook Chicago ) .The restaurant , however , work progress . staff yet fully train , water taste like chlorine ( keep try fill glass , even though bottled water ) , menu horribly expensive ( $ 50.00 entree ) , inspire . actually hard time try figure order , nothing sound interesting enough pay . finish , clear want we leave , start fold linen vicinity , seem strange pay $ 400.00 dinner . view great . however , fact like hotel much make sad continue review end give hotel 3 star . first incident blow mind know family & quot ; racist doorman incident & quot ; . early afternoon Friday , June 20th , begin rain , family stop pick we lunch . early day , gone rain , ask umbrella first counter doorperson station . happily oblige ( one person nice old african american woman braid ) . return umbrella come , think nothing it . at 1 p.m. , however , ask two umbrella ( motley group 4 toddler , 6 adult without umbrella amongst we ) , woman man door attempt go behind desk retrieve , man behind counter , look we , stop , say , " umbrella . need umbrella , go room get one . " fair enough . understand rain , umbrella may limited supply . husband go upstairs get umbrella . meantime , man behind counter take new umbrella start unwrap ! along ! HUMILIATING come behind counter , give umbrella two white woman ' even leave lobby , not even ASKED YET ! shock , actually humiliate . 4 year old daughter 65 year old mother ask man say umbrella , clearly . could tell daughter umbrella people like we ? ! like we wrong color , not think worthy hotel ? suspicion , not think awful ? ? ! ? least african american co - worker , clearly embarrassed , proceed go behind counter give we umbrella . really ruin day feel really low . thought would thing front family day . that day , 8:30 go ReBar , signature bar ( tout serve exotic cocktail ) quick cocktail sister . feel dress well ( summer dress pucci dress ) . sit , waitress come we say , & quot ; ' m sorry , table bottle service 9:00pm ) . sister respond 8:30 . waitress serve we , could tell not happy . tell look like everyone else bar ( bar , btw , skews middle - aged distinctly suburban ; definitely one young people ) . sister , already & quot ; umbrella & quot ; incident , start talk feel uncomfortable , soon drink come , take upstairs . kicker husband come back hour half later , guess ? couple sit seat early occupy drink simple cocktail ! ! ! ! bottle service ? ! ? ! ? beat I . initially , willing believe two incident aberration pattern . one want accuse hotel something like casual racism day age . speak manager , sure . say behavior emanate top , case , say manager could well job dispel suspicion . when write manager , ( T. Colm ' Callaghan ) assistant manager ( Jerome ) try repeatedly contact . assume contact apologize , actually end happen Mr. O'Callaghan first apologize , try intimate misread situation . keep try tell happened not happen ! ! ! ! say simply run umbrella ! hello ? ? ! ! ! ! ! never run umbrella , guy not want give we umbrella ! keep try spin misunderstanding , guy not want waste dwindle resource ( umbrella ) like we . as bar incident , say certain area bottle service certain hour . tell hour not reach ( not want serve we 8:30pm say bottle service start 9 ) , come back hour half later , people sit seat cocktail , not want talk . weird . instead diffuse situation , make feel not want hear really happen , think silly deluded person . so end , hotel get 3 star : 5 star hotel , amenity ( spa / swimming pool / fitness center ) , view staff , one none racist doorman , waitress ( ? ) , pretty insensitive manager . restaurant also great . 
 Jul 10 2008 	 good new hotel Gold Coast 	 great new hotel . service first class . room large full kitchen . love espresso coffee machine . enjoy beverage Rebar . bathroom amenity great loved mirror HD tv . prefer totally separate shower tub nice design . compare Park Hyatt , prefer Hyatt instead although take anything Trump . great new addition luxury hotels Downtown Chicago . 
 Jul 8 2008 	 warning - theft room - protect property 	 stay Trump Chicago start one favourite Chicago experience . room fantastic front line staff exceptional . pleased hotel facility second day , decide would like make & quot ; go & quot ; hotel Chicago . change third day . get ready dinner , wife realize could find new designer shoe bring along . know exactly left night , however , thorough search , fail turn . contact front desk , dinner , room check hotel staff security without success , determined shoe & quot ; removed & quot ; room early day . although might think enough turn we hotel , managment handle ( lack ) situation . tell would contact & quot ; Director Front Office & quot ; follow morning postion resolve matter . wait next morning contact Paul & quot ; & quot ; , leave 3 message informed security & quot ; busy deal situation & quot ; . ok ... let get straight - Manager five star hotel busy deal theft guest personal belonging room ? serious ? motel 6 offer well train manager ( ' ve never really stay Motel 6 ) , yet hear anyone regard matter . the Trump Hotel offer guest fantastic experience design dedication front line staff need note . management however embarrasment Trump name get & quot ; FIRED ! & quot ; 
 Jul 7 2008 	 Excellent splurge weekend 	 two - night stay Trump celebrate special occasion , wife new favorite hotel getaway suburbs downtown Chicago . year ' ve try lot major hotel ... four Seasons , Peninsula , Park Hyatt , Ritz , Sofitel , Drake , other ... be nice , think Trump go . first , location perfect : block Magnificent Mile , easy block center Loop River North gallery nightlife , nice stroll Millennium Park lakefront . 's middle everything still city noise ( two side build less border water ) . view lake , river , and/or city unbeatable . everyone encounter staff friendly , hospitable , surprisingly unpretentious ... include top - notch restaurant Sixteen . classy property , snoot factor really low make relaxing . and room extremely comfortable . lot elbow room , high ceiling , huge window , great bed , unbelievably , every room least small kitchen ; fridge / freezer / ice maker , sink , dishwasher , microwave , cooktop . bellman say guest actually bring food cook , touch home take advantage kid us kitchen could come handy . although build construction continue way hotel space , really could not tell ; thing give away scaffold front entrance occasional lifting lower building material way ~90th floor . ( one point see construction Porta Potty hoist past 20th floor window little disconcerting , be . ) perfect getaway definitely look forward return Trump . be back real life ... 
 Jul 6 2008 	 good location Chicago 	 want try new luxury property Chicago . ' ve stay Peninsula , Four Seasons , Park Hyatt ( less rate property ) look forward compare Trump fine accommodation . first , good . location , location , location ! far good feature hotel scenic perch river , close Michigan Avenue scene loop stuff like Millenium Park Art Institute . right bit tough find walk around ongoing construction , problem finish . second , even standard room huge . 24th floor ' city view ' deluxe room . view forgettable , quality interior impressive . especially like high end ktichenette microwave , SubZero fridge , Meile stove , etc . even cook utensil , pan , dish ! , good . even though room large luxurious , find bit sterile . slate color scheme brighten bit dash red rose something else break slate monotony . duvet bed thick a / c not seem work well bit stuffy . take tour spa fitness center , not partake service activity . meal hotel either . the one downside stay construction noise start early morning . know pay soft opening rate $ 347 construction , hope would minimal amount noise . -- pump concrete 90th floor 5 second interval pound core hotel stop . check , tell front desk person , apologize . actually check early pound annoying . all , trump fine choice Chicago , look lavish , extensive public area bit warmth guest room , would suggest Four Seasons Peninsula . 
 Jun 23 2008 	 wonderful Hotel ! 	 husband stay 3 night Trump International many say , disappoint . although first room quite bit construction noise , ask anything else , immediately move we opposite side hotel wonderful river view . deluxe river room lovely . husband say & quot ; trouble & quot ; spoil ammenitie service , never satisfied & quot ; regular & quot ; hotel . staff wonderful . unobtrusive able quickly answer question . always door open we come go . one thing set hotel apart always feel give individual service oppose & quot ; 's good masse & quot ; .Ca not wait return ! hope afford complete ! 
 Jun 15 2008 	 Trump Tower - Chicago 's good hotel ? 	 complete third stay Trump feel compel pass along high praise exciting addition Chicago 's hotel scene - staff Trump professional friendly would think hotel open year look see crane still work upper floor - construction issue great able open outdoor area restaurant river walk - anyway we stay numerous time Penninsula 4 season new favorite hotel Chicago , it.s fun @ trump . great job management employee make exciting new hotel - can not wait finish touch complete time think universal praise place trump top list luxury hotel Chicago ! ! ! 
 Jun 14 2008 	 Weekend without child 	 stay hotel weekend - leave kid behind home look nice relaxing weekend . the hotel great . expect top luxury instead find understate modern . besides scaffold entrance evidence construction . contrary reviewer opinion find staff attentive courteous . be face , be need something . I 6 month pregnant ask anything could help craving give call . the room huge convenient . wonderful shower , wonderful bed , kitchenette helpful . the concierge helpful even able get we last minute ticket show ( albeit inflated price ) room service however disappointing . not order 1000 $ Trump dinner menu ( yes , 1000 $ ! ) food order twice well average . location hotel great . 's walk distance almost everything build tall even bad sense direction could always find way back . there be also wonderful restaurant call Vermilion 1 minute walk hotel . 
 Jun 13 2008 	 Trump not disappoint 	 be pay kind rate charge hotel caliber expect certain level quality service . trump not disappoint either area . stay celebrate husband 's birthday 2 fabulous day literally apartment arguably locate one good area city . walk Navy Pier , Lake , Michigan Ave . shopping name city hot spot . trump sit bend Chicago River fantastic vantage point . suite floor ceiling window showcase view river Lake Michigan . unfortunately , building 's upper floor still construction stay window need wash . however , dirty window little water drip overhead construction scaffold set hotel 's entrance , never disturb construction . accomodation top line everything . good linen , comfortable bed robe slipper provide . like touch . suite full kitchen come complete espresso maker , hot water kettle ( drink tea really appreciate extra ) , dish , glassware , silverware , pot pan , full refrigerator , dishwasher etc . suite reserve dining table seat 8 large , comfortable living room flat panel tv , Bose Ipod docking station desk / work area unlimited free internet . feel like stay friend 's luxurious apartment . bedroom separate living area bath complete waterfall tub , separate rain shower two sink . also powder room locate living area . great need guest come suite host small party Grand Salon , one Trump 's banquet room . private party experience also go beyond expectation . Grand Salon modern zen elegance , food simply gourmet way , service impeccable amazing view . event planner professional handle smallest detail efficiently . small disappointment bartender . not seem know mix certain drink , could result bar stock certain liquor . not take advantage spa , use fitness center also top line . treadmill actually aromatherapy fan ! overall would definitely recommend hotel , especially special occasion . certainly make celebration memorable . 
 Jun 11 2008 	 Loved Trump 	 bring daughter Trump celebrate 19th birthday . surprise think stay Hyatt . let hotel know birthday upon check , wish Happy Birthday . standard room beautiful modern . nice city view love mini kitchen . also love espresso machine ! get settle room , put thing away , room service show small birthday cake raspberry mouse - very nice touch ! lot sightseeing three day although weather great , love able walk around Michigan Avenue , take free trolley Navy Pier catch cab . go Cafe Babareba first night love ( great flavor sangria ) , see Blue Man Group ( 3rd time still love ) , shop Michigan Avenue ( convenient hotel ) , lunch Giordanos one day 95th floor John Hancock building , dinner N9ne ( maybe little overrate ok ) , go Field Museum . shop Saturday , go pool area love ! aside beautiful view lovely , serene setting , Kohler shower see tv body spray even different colored setting . also enjoy steam dry sauna , even small bathing suit water extractor - cool ! go Rebar one evening enjoy raspberry champagne enjoy trendy setting bit . all love stay . see family pull roll royce , tourist jean t - shirt think everyone treat refreshing consider high end place employee act be well guest ! everyone super friendly front desk staff doorman . we will look forward stay ! 
