great 	 look around internet find package deal hotel ~ $ 200 4 night stay 3 night 6 free buffet . stay monorail end place end nice offering every table game want , never leave ! 
 absolutely stunning 	 Hilton Grand Vacation Club Las Vegas Strip 2650 Las Vegas Blvd . absolutely breathtaking . stay 4 night 5 day . hotel strip 10 - 15 minute car drive center strip , depend traffic , course . hotel walk distance Sahara , Riviera , Circus - Circus , Stratosphere hotel . would recommend walk heart strip hotel . ' far . the deuce bus take strip unlimited times $ 7 day simply rental car work well . monorail pick across street Sahara Hotel . station locate back hotel casino . they build humongous hotel ( Vdara Hotel Spa ) mall across street may take complete . handy CVS locate right next door McDonalds , Subway , Nathan ' Pizza locate Circus - Cirucs Hotel . Parking- parking structure short trek back hotel $ 5 ( $ 13 day ) valet parking relax hotel lobby car arrive . regular parking $ 8 per day . Bathroom- Kohler toilet sink elegant baltic green granite countertop tile shower plenty room 2 . stay Tower 2 slightly new tower tower 1 . find difference 2 tower tower 1 jet tub bathroom tower 2 soaker tub balcony . Kitchen- well design raise full outlay , cherry kitchen cabinet rich , elegant light - colored baltic green granite countertop . full kitchen full size refrigerator , oven , microwave , washer/ dryer combo , dishwasher , coffee maker , blender , toaster standard . , Kohler kitchen sink appliance make Cuisinart . room- 1 - bedroom suite separate king - size bed , connect bathroom via slide door . bed extremely comfortable room large tv , lounge chair , full size mirror attach back door . live room- comfortable sofa lounge chair flat screen tv . sofa double full size bed also comfortable kid adult too . dine room- beautiful glass table 4 chair . Desk- laptop nook also nice high speed internet suppose complimentary simply suck . never really get strong connection never could surf internet . even bring ethernet cable nothing . girl front desk tell work add datum port also agree high - speed wireless internet great . there big 24 - hour fitness gym free weight , treadmill elliptical . also 24 - hour game room pool table , big screen tv , table tennis . also starbuck coffee shop small convenience store first floor 
 Mar 3 2008 	 modern clean suite ... shady pool ! 	 hotel wonderful . hotel casino hotel , walk lobby straight elevator foot away . we stay King Suite . this 6th visit hotel ! room great ! large modern bed , 2 large tv 's , bathroom , stand shower , large tub , fully self catering unit washer dryer , oven / stove , microwave , family size fridge , ice maker , dishwasher , toaster , coffee machine .... free ROOM wififree self parking . newly build parking structure open day now . the Bellmen nice helpful . great little store / market / mini restaurant main level sell drink , wine , beer , kitchen basic , ice cream freshly make food love . the downside pool . small SKY tower build beside Hilton property , block sun day . hotel break ground tower 3 & amp ; 4 addition new pool , however take time . there CVS within block . ihop couple block . albertson 5 - 10 minute drive . Hoover Dam 45 minute beautiful drive . * * always many diff show see enjoy - see many Cirque de Soleils ... LOVE wonderful ! ! Bette Midler must see ! ! Howie Mandel hysterical ! ! Wayne Brady talente favorite show ' variety ' show . spamelot funny ! ! * * Las Vegas Outlet Mall offer coupon booklet visitor , look website info . great outdoor outlet mall every store ... could well ? ? ! ! * * restaurant ... Grand WOK MGM DELICIOUS price fairly well . take reservation . Tivoli Caesar 's Forum shop impressive . PF Changs - go stand alone build ( think Paradise road ) busy location Planet Hollywood hotel . must order appitizer Green Beans ... MMmm ! ! ! hope help ... feel free ask question ( ) enjoy ! 
 Mar 1 2008 	 Liked hotel high pressure timeshare presentation 	 call Hilton receive 3 day stay $ 99 deal . ask would sit timeshare presentation , say & quot ; & quot ; . however , go second sale person book trip say need sit time share agree . also receive $ 40 cash Hilton Casino $ 25 toward dinner . also book stay extra day . hotel locate end strip near Stratosphere across street Sahara . sahara monorail boarding use frequently . cost $ 9 per day unlimited use . due distance main part strip , lot walk . check - in easy woman friendly . room fantastic . stay Tower 1 washer / dryer , kitchen area dish , etc . , living room area , large bedroom , jacuzzi large bathroom . restaurant although deli also buy grocery . also bar casino . we also rent car purchase & quot ; Garmin & quot ; gps $ 50 well worth . go Zion National Park Utah day trip beautiful . & quot ; Garmin & quot ; take we back forth airport elsewhere effortlessly . would highly recommend . also take bus trip Grand Canyon . ask concierge offer give we recommendation end book trip place near MGM . pay $ 99 save $ 50 . People behind we spend $ 249 booking elsewhere . expect long bus ride canyon . get bus 6:10 a.m. back around 8:45 p.m. get walk 3 hour canyon . include box lunch breakfast . watch 3 movie . also go place book 3 hour helicopter ride limo , champagne food $ 389 save $ 100 . look elsewhere kind trip internet concierge expensive . well worth money . would take helicopter trip bus ride day . go half price ticket sale center buy Star Trek ticket $ 25 include Borg Invasion Klingon encounter . price on - line $ 38 tell price $ 50 . also buy ticket KA $ 96 . price ticket go pick $ 87 concierge Hilton ticket $ 115 $ 139 . would recommend buy ticket type place . lot people try give we girlie show hand - out strip pan handler near Stratosphere not problem pick pocket never feel danger walk around dark . we save time share presentation near end trip . would never one look forward . surprised salesman pleasant friendly assure we would high pressure presentation first not end come money portion , high pressure . spend 3 1/2 hour . refuse deal send financial consultant answer question still refuse finally send sale manager try give we last chance deal could put $ 500 get 15 month trial . price range timeshare offer receive $ 10,000 $ 33,900 . thing really like program offer willing sign contract much money . want time research . end refuse sign contract not particularly friendly get angry rude . come home , research Hilton time share re - sale much well price . would stay hotel ? probably like bar restaurant hotel spend lot time walk ride monorail . far action . lovely place , people friendly , service good . would good place people like cooking go stay awhile . 
 Feb 25 2008 	 room nice sale tactic questionable ! 	 overall , place great . great room , nice facility , housekeep great . sour thing tour meeting sale staff trip . know time share offer , understand go meeting , tell meeting would two hour , offer fit need , would harass . fact , keep say & quot ; friend Hilton ! & quot ; well , three half hour later , keep try offer we different program plan would rarely use . explained & quot ; road trip & quot ; people , $ 37,000 time share program 12 % interest payment month $ 500 fit within budget , come back small plan $ 400 12 % , bring many facility Idaho , Montana , Wyoming ... mostly travel ... area service Hilton Hotels much either , try tell , would listen ... finally , half stand say ! say understand , need manager come we fill exit interview . wait , come , guess , try offer we another opportunity join ! ! ! ! half stand state & quot ; ! & quot ; manager point apologetic state hate see we miss . state fit we please let we go . exhausted ordeal . room outstanding , prepared beat sale staff ... 
 Feb 19 2008 	 Far Walk ! 	 spend 4 night HGVC Strip . & quot ; Strip & quot ; give impression facility close main hotel attraction Las Vegas Boulevard . close anything ; least right . wave high end development quickly spread north along Strip . many adjacent lot slate expensive hotel casino , ad HVGC right action . strongly recommend stay get car . rent mid - size dollar cheap $ 109 , well worth expense . as hotel , present strictly timeshare destination . restaurant bar . forget casino even slot machine . go elsewhere Vegas basic . Marketplace quick spot get coffee morning bottle water- nothing . find valet staff nice friendly hustle tip . front desk make check - in check easy . we pay receive studio room . despite post claim free upgrade , one available ask check - in . also call several time arrival ask upgrade- nothing . room old tower 1 . room small typical Hilton Marriott standard . felt cramp would recommend stay unless large room available prior arrival . room clean housekeeping nice job keep neat stay . understand HGVC add 2 massive tower construction may issue future guest want stay here . both pool gym nice . gym lot new cardio weight training equipment guest use cost . pool clean well keep lifeguard duty opening hour . although cool , enjoy hour sun final day . overall , HGVC destine near real estate ground zero LV Strip next 1 - 3 year ( trust ) . interim , get car drive Strip hotel casino enjoy yet neighborhood . 
 Feb 19 2008 	 great new place 	 get offer stay 3 day 2 night hotel exchange timeshare presentation . since owner take hour high pressure . try buy timeshare exchange one Las Vegas location . good clean hotel free parking . staff helpful . 
 Feb 18 2008 	 great surprise 	 Vegas several time business pleasure . usually try stay right heart strip usually book Paris , Bally 's Monte Carlo . this time around , decide pay little bit less book HGV thr Las Vegas Strip . location ok everything still fairly close , hotel 100 % make location . great service , room new offer great amenity . think find new Vegas regular . rate , hotel steal service , well fantastic . highly recommend . 
 Feb 17 2008 	 warm fuzzy . 	 travel lot mostl stay Hilton property . diamond member feel though get treatment property say thank choose we . upgrade suite nice room . room washer dryer , dishwasher , stove , basically essential time share . yes ask several time attend meeting . something feel someone drop 105,000 pt 3 night . the first problem make reservation tell would get breakfast every morning . try get take care front desk get attitude girl , nowi know one thing Hilton property , try treat diamond member pretty good girl [ -- ] . anyway big deal . room nice however aircoditioner good room remain warm whole time . windstorm hit 13th 67 mph wind . room & quot ; screaming & quot ; pressure clang duct system . turn tv try drown try sleep . really property fault rare case happen . valet parking ok . nev er wait long 6 min . fine since nice working hard . hotel away everything want drink gamble taxi 's would way go . may cost bit cheap duo . 
 Feb 13 2008 	 HGVC Upscale surround run 	 upon agree timeshare presentation awesome rate stay excuse visit Vegas , find accommodation amongst high end resort stay , TheHotel Mandalay Bay & amp ; Bellagio . book studio upgrade charge 1bdrm suite . suite nice clean . time come go suite , notice maintenance man always busy , reflect well manage operation . housekeeping staff keep busy always appear hard work friendly . every time leave return property , greet personnel smile . accommodation top notch . now downside . location , location , location . good . north run Sahara , southeast run Riviera , directly south Circus Circus trailer trash , lot riff - raff . situation HGVC enormous disservice potential . new Trump International construction south Circus Circus , across another construction site northwest Wynn . new construction , hope , still run , old resort class people draw resort , preference . we frequent Vegas couple time year . get Vegas , people , glitz glam , poker room , cirque production comparable show , nice dinner , pamper . find thing hgvc . aside accommodation , resort lack appeal frequent Vegas entertainment . business traveler family child plan leave resort , be fine . cook meal room hang pool , great . not take child Vegas enjoy experience fine dining option . idea vacation husband away child definitely confine resort amenity dining option pastry deli sandwich available Marketplace . say price Marketplace reasonable comparable grocery store price . 's thing cook vacation laundry room vacation . want immediate access define Vegas . do not fear time share presentation . upfront . go get perk , okay . time literally waste give grand tour presentation go absolutely intent buy . tell free stuff deliver incentive send way , may get onto next prospective buyer . valet staff incompetent . stand wait taxi notice other linger attention valet , taxi arrive everybody kind look around see get taxi . absolutely organization traffic direction whatsoever . valet worker absolutely clueless . say never wait taxi 5 minute , although review indicate otherwise , problem . charge though bothersome . Valet need re - train manage . little tolerance ignorance . we return HGVC Las Vegas . would definitely consider book HGVC Orlando take kid Disney World , Hawaii family vacation , resort really not fit Vegas scene , especially comparison option new , fine resort entertainment dining on - site . spend fortune taxi fare , walk Treasure Island 1.2 mile aforementione riff - raff make uncomfortably hug purse along way . never . 
 Feb 8 2008 	 New Management 's attention post redeem negative experience 2004 . 	 recently write review explain room break hotel receive little help compassion management . grant , incident four year ago put safety latch door go sleep . I receive response post member current management alarm negative experience hotel . write back forth time convince NEW MANAGEMENT hotel would handle incident much effectively , compassion , previous management . light correspondence , would likely return hotel again . as mention previous review , room great . nice suite mini kitchen remember bathroom exceptional , huge spa style bathtub . big apartment ' ve ! hotel casino , be much mellow place stay business , family and/or not gambling & amp ; club scene face every minute . 
 Feb 5 2008 	 could happy ! 	 absolutely doubt ... stay ! wife Vegas celebrate anniversary . stay another property experience problem due ongoing construction . call Hilton Grand Vacations Club @ 0800 morning ... 0930 leave property check Hilton . everyone staff friendly helpful . room ( studio ) absolutely wonderful ! ! ! price reasonable . rental car location North end strip problem . tell happy hotel . folk take great care we ! ! thank ! ! ! 
 Feb 3 2008 	 Great Hotel 	 husband stay hotel business Las Vegas January , 2008 . live Las Vegas not need casino - Strip experience , hotel great we . one - bedroom & quot ; suite , & quot ; although think call room small counter ( contain refrigerator , microwave , sink cabinet ) & quot ; suite & quot ; bit misleading . at rate , room good size , extremely clean , comfortable . one complaint would maid not leave fresh soap hair product daily . there free wireless internet room , although bit spotty be windy outside . & quot ; marketplace & quot ; downstairs Starbucks , deli , food available , price outrageous consider Hilton - brand property . the property sit near corner Sahara Strip . want walk Caesar 's , Bellagio , Venice , etc . , good 2 - mile walk . not car , take Deuce , bus run Strip stop front hotel . say , though , park free casino / hotel LV ( unless use valet ) , car rental inexpensive . at rate . . . .We great experience , price right , will stay . 
 Feb 1 2008 	 Far strip 	 stay hotel several occasion business . hotel clean quiet . go vacation FAR Strip walk . room clean comfortable fridge micro . gambling hotel . small game room kid , young old . can not remember pay parking . remember wait wait 15 minute valet get car make late meeting . because business , use pool . I not remember dining area small market like would find nice gas station deli bar . breakfast sandwich good . 
 Jan 27 2008 	 nice timeshare ... 	 one Hiltons 3 timeshare location Las Vegas , locate opposite Sahara Hotel , Circus Circus Stratosphere . two Hilton Flamingo Hilton Las Vegas next convention center . resort stay 1995 , 98 , 2000.it nice resort two tower 39 floor feature amenity like 2 outdoor pool , 2 jacuzzi , spa , well equip fitness room , deli concierge service . we stay 1 bedroom apartment 30th floor look towards Stratosphere nice night . decoration similar HGVC 's Tuscany location Orlando . however jacuzzi deep soak tub master bedroom provide . on downside must consider thin wall apartment . could hear everything one next door . speak , open / closing door more . housekeeping really depend person duty room . first week perfect , next week extremly lousy . seem lack quality control / supervision . highly unacceptable choose gold ( high ) season close pool repaint pool deck . Orlando Hilton resort experience motor chainsaw activity pool desk cut tree lunch time platinum ( high ) season . however time reservation point , currently major construction ongoing either side resort ( new hotel parking garage build ) . work begin 6.30 every day . 
 Jan 27 2008 	 Quiet Simple Remote - Great Biz Trip 	 stay almost free 4 night exchange typical timeshare tour . overall , nice , clean room nice plus ( jetted tub , suite full kitchen , bose stereo ) . casino , restaurant , 24 gym 's free nice biz / rec area - dine deli / market , grill deli price good quick bite serve smile . beer / wine price market steep - even Vegas . pool outdoor hot tub beautiful . not mind 10min walk across street Sahara take monorail anywhere - shuttle cab Strip pricey . even 90 - min tour well do - aside & quot ; pressure & quot ; pressure end . hiccup - housekeeping manager try bust room get ready night ( read : half - dress ) , husband shower radio living room . how / why think okay walk beyond - luckily safety latch close . look make sure room service . raise front desk 's attention recieve multiple apology , promise never happen small comp bill . 
 Jan 26 2008 	 nice amazing 	 & quot ; resort & quot ; nice room . stay one - bedroom suite . place clean quiet . room come equip full kitchen ( stove , oven , microwave , coffee maker , dishwasher full - size fridge ) several kitchen utensil ( although seem miss thing like potholder , bake sheet , etc ) . bathroom large , although connect door bedroom stay seem latch properly . jacuzzi tub actually bedroom area rather bathroom itself . the property locate far end strip , close Stratosphere Sahara . staff helpful polite . on - site , small convenience store charge quite lot standard item milk ( $ 6.50 / gallon ) , thing ( pizza , $ 20.00 ) . also include small starbuck . overall , place nice roomy , distance casino definite drawback drive taxi gambling see show . 
 Jan 20 2008 	 ok Vegas Experience 	 husband member Hilton Club stay 4 night December see show shop Christmas present . ( big gambler ) . club unit decent -- good sized 1 BR unit nice kitchen large bathroom . relatively new everything work great unit . the gym basement pretty good - 3 stepper , 5 treadmill , 5 bike . Smith Machine , dumbbell , 7 weight machine . be like one big resort fitness club , , free . there small store / deli basement club . captive audience nowhere else shop . want buy breakfast food snack ... extremely expensive . the main complaint location . diagonally across street Sahara remote casino . club technically strip near anything ( include restaurant ) . otherwise , really nothing else - mostly dirt lot private condo next door . if not mind take bus , bus stop shuttle right front . however , find difficult get bus ( even north end strip ) due bus crowd . stop , 15 minute get location Treasure Island . , virtually impossible get bus real part strip order come back -- way crowded . not seem matter time try either ( morning , night , late evening , crowded ) .So either resolve take cab ( 20 minute wait cab since hotel remote not lot cab ) , , walk 25 minute get popular area ( venetian , etc . ) . want & quot ; quiet & quot ; Vegas vacation reasonable place stay . find inconvenient location really hamper stay certainly not & quot ; Vegas & quot ; type feel . frankly could hotel city world remote not really know anyway . I note absence casino real plus - smoke , confusion , long wait elevator . 
 Jan 18 2008 	 HGVC Gem ! 	 husband stay early January 2008 busy time LV huge CES trade show town . hotel full . we get good rate Southwest Airlines Vacations package . room one small one , suite , decently appoint fridge , micro , coffeemaker . lovely granite cabinet top everywhere give feeling luxury . great big tv too . my complaint water may soft , difficult get rid & quot ; soapy & quot ; feel shower washing . ' ve never experience LV property . the amenity , food snack cafe , Marketplace , fitness center top notch . rather glad high - price restaurant premise ; eat lightly day save calorie large dinner later on . we car , travel around LV great . rental car cheap enough , , OUCH ... get taxis ! outstanding thing property friendliness willingness staff help . everyone valet maid front desk extremely pleasant . overall great stay , particularly people Vegas many time not need want huge casino hotel experience . 
 Jan 10 2008 	 far everywhere 	 stay propety wife another couple October 2007 . stay discount , ask go timeshare presentation . first good part : room . 2 bedroom suite , nice . well equip kitchen , nice bed , large bathroom , plus free wireless internet . go vegas room important part , recommend property . now bad : hotel locate far north part strip . actually call & quot ; strip & quot ; think misleading . spend tremendous amount trip walk back forth hotel Sahara monorail station locate . 's 15 minute walk , plus go pretty shady part town . fun night . end take taxi 's plan , would highly recommend prepare , rent car . event , location hotel good want experience las vegas stripThe problem location lack entertainment food property , basically force go elsewhere anything sit room lounge pool . ' m ok property casino , really need decent restaurant . plan take advantage kitchen one two bedroom suite , lot travel eat . finally , wary timeshare presentation . spend well four hour presentation plus time spend try close we ( somewhat interested , go make decision day ) . professional , high pressure sale prepare decide ( , we get deal room ) . also aware $ 25 food gift certificate give use Hilton affiliated restauant . make mistake go Quarks bar , assume affiliate Hilton ( INSIDE LV Hilton ) , tell not good . 
 Jan 10 2008 	 Loved HGVC 	 stay HGVC 5/19/07 & amp ; 5/20/07 great . hotel beautiful fairly new , love . ' nothing bad pay lot money hotel room , date dingy . get one suite fridge sink . really ' use could see suite would come handy family staying week try save money . deli / eatery little market buy food . Hilton little bit away action strip , always take cab , ride bus , lot walk . would great could stay strip choose stay Hilton moderately price quality location . place center strip strip either overly price nice affordable dump . thing hotel love ' typical Vegas hotel loud club smoky casino . HGVC nice hotel … no bar , club , one casino . next time come Vegas definitely stay . 
 Jan 7 2008 	 Excellent Value Money - 5 - day Stay 	 Hilton Grand Vacations Club Las Vegas Strip provide excellent value money . family use two - bedroom unit 5 people . mean one person sleep sleeper sofa main living area . accommodation comfortable . note : must rental car . self - part use valet parking . absence casino make property pleasant . course , go winter , swimming pool available . third long - term stay property plan go . 
 Jan 4 2008 	 Inconvenient overrate ! 	 stay hotel 10 day holiday ... location convenient . much go area . want get something eat past 11 pm , be luck . December , get terribly cold , walk nearby Hilton miserable . way stay hotel car . we 1 - bedroom suite . tiny ! sure pullout bed , open , way able walk around room . sleep hard bed 10 day , go home bad backache . paper - thin wall , hear people room next door dish ! fridge microwave add bonus learn lesson later bring food hotel . housekeeping always give we call ask want room clean left & quot ; Disturb & quot ; sign door . thing always forget restock us coffee forgot take trash one time . bottom line , Hilton Grand Vacations Club Hotel worth money . inconvenient way overrate . 
 Jan 3 2008 	 cheap acceptable 	 wife stay day conclude business trip elsewhere town . the room high tower great view towards smart end strip price pay certainly feel happy . although room small ( tiny fact ) , clean , quite everything need , small kitchenette nice bonus . end day relief come back hotel tourist trail casino quiet . although appreciate quiet location 2 - 3 day use monorail taxi 's , travel become tiresome , especially 105 degree heat . thankfully manage avoid sale pitch . I would not use hotel - simply far anything taste . not mind want value money perfectly decent hotel . 
 Jan 2 2008 	 Sweet dig reasonable price ! 	 since Hilton Honors member , girlfriend not much gambling fan , decide stay hotel would quiet without casino . Hilton Grand Strip ideal anyone not want blow $ 200 night yet still want sweet room . open door room surprised find full kitchen washer dryer , plus 32 inch flat screen tv . realize since Hilton Gold member , upgrade room . hotel locate across Sahara , 's 5 minute walk monorail . staff nice courteous , willing spend hour view presentation property share , will give $ 150 ! ! swim pool not bad , plenty space . plenty waitress hand serve drink food well . great stay . recommend anyone want quiet room away ring casino noise . 
 Dec 27 2007 	 HGVC great prepared sale pitch 	 wife stay HGVC Las Vegas two night December anniversary . book Hilton website , would definitely stay . might afraid height , tall tower 39 story ( ' find info go want list ) .Location / outside Appearance : hotel locate northern part strip , right next Sahara Circus Circus casino . easy access freeway mile south Fremont Street Experience . outside hotel spotless well landscape . since ' casino , crowd commotion almost non existence here . Lobby / check - in : lobby central hub two tower elegant clean . newness hotel apparent . workout room , game room , convenient store , small café locate right next hub . check - in super fast line ( check Thursday notice horrendous line casino visit early day ) . ' upgrade ' penthouse level 37th floor . room one reserve … it simply high . guess call upgrade . accommodation : studio room king bed . feature include flat screen tv , fridge , microwave , toaster , wet bar area , plate , utensil . also include typical feature like coffee maker , iron / ironing board , hair dryer , etc . room spotless , really ' complain anything . also free wireless internet access . water pressure excellent always hot water . also water obviously soften nice . service : housekeep great front desk staff friendly . one thing beware stay point try get go timeshare presentation ( name ' tip , HGVC one Hilton ' timeshare property ; also one Flamingo hotel ) . we , call we home week suppose arrive schedule appointment . get realize ' time ' want deal . call room remind we appointment tell ' make ' bug we anymore . overall HGVC strip nice place stay . ' glad choose stay someplace ' casino . atmosphere hotel like breath fresh air compare typical casino hotel ( figuratively literally hotel non - smoking ) , crowd almost non - existent . ' definitely stay even timeshare salesperson , ' recommend other . 
 Dec 11 2007 	 believe ` ` relaxed trip L.V . '' 	 five night stay HGVC strip good get . yes , stay major hotel strip seem control gambling . two bedroom suite give we space relax morning , munch leave over share bottle wine dinner . the unit perfect condition staff offer wonderful service . remember timeshare ownership resort say do not want atttend presentation . even ask would insult contact . it help car valet service easy . I would recommend location stay four night . 
 Dec 3 2007 	 beautiful accommodation terrible location ; noisy construction 	 stay HGV Strip Nov 24 - 29 . 1 - bed suite lovely - location major drawback ! 's wrong end Strip , mean either spend fortune taxi , spend hour ride deuce bus monorail get action Strip . also , HGV surround scuzzy hotel like Circus Circus , Stratosphere , can not go stroll outside hotel without meet various dodgy - look character pavement ( assorted hooker , drug - dealer , mugger etc ... ) another drawback fact HGV not kind buffet dining facility . ' ve get small deli premise , get coffee sandwich , want proper breakfast dinner head Strip one big hotel . one big drawback amount construction go nextdoor - side ! change room 4 am could not sleep due truck beep bang throughout night - new room side hotel marginally well ! pity , HGV beautiful , staff polite courteous ... 
 Nov 29 2007 	 wonderful 	 return Vegas ( 11/18 - 11/25 ) wonderful time . everyone pleasant room well expect . especially love deep soak tub room . chilly go hot tub , could stay room watch tv relax . work times mobility problem be quite painful . one issue floor vend soda machine empty lose money snack machine . will definately go back . mobi136 
 Nov 24 2007 	 Hilton Worst Hostel 	 really not know start ...... oh yes ! ' m VIP Gold Honnors Member , ' ve make book directly hotel web site October , visit suppost november , web site full availability make booking . surprise ! ! long journey= Florence ( italy ) & gt ; milan & gt ; chicago & gt ; las vegas= 24 hour non stop travel ....... finally get joung receptionist start talk like machine , could understand word , also ask repeat slowly , well finally understand hotel overbooke go sister hotel ( hilton las vegas ) , hotel especially room up - to - date , vip member normally ' ve got upgrade without ask , time get room next elevator without basic amenity , up - seat tired ' ve sleep day arrival check - out next day , well nobody care ? ! what s happen , pay one night go ! God blass decision mouve different hotel , without part membership Iìve treat like vip person , get fantastic room upgrade little money . make favour , skip hilton stay MGM GRAND SIGNATURE tousend time much well locate staff well organize helpfull , definately use long hilton hotel worldwide , poor customer service without personality . Certanley Mr. Hilton happy surviwe . 
 Nov 13 2007 	 Grand Time 	 dear cousin Ottawa , Canada book 3 bedroom suite Hilton Grand Vacations LV Strip share 3 canadian cousin ( 2 Edmonton , 1 Vancouver ) . certainly know pick ! property splendid . marketplace handy place snack much - need Starbucks java jolt . lovely pool area heat pool 2 hot tub . unit master suite w / jacuzzi bathroom , full kitchen , living room , another bedroom king bed separate bathroom . adjoining room share cousin bathroom , microwave , kitchen sink small fridge . king bed enough share . living room window ( 35th floor ) could see XScream ride operate atop Stratosphere tower . can not afford taxi not rent car bus stop right outside property catch Deuce . Sahara , Circus Circus Riviera walk distance fair hike main part Strip . property casino end long shift slot play pleasure walk door smoke - free , casino - free zone . water always hot shower room not bump . Harv make good breakfast sandwich ! short 3 - day trip incredibly special partly due awesome accommodation wonderful company family . would stay Hilton Grand Vacations Strip heartbeat - indeed plan someday soon . 
 Nov 12 2007 	 Great Place ! 	 five we stay two bedroom 4 nights/5days te 17th floor . happy see everything new , clean , completely furnished . have stay timeshare apartment type place charge every additional thing need , Hilton replenish coffee ( condiment ) need . thing housekeeping never come . friend owns mention not come be stay less week , little card not say anything . not bother we much cooking breakfast couple day build garbage ! lot space three room , sound system pretty nice ( bose speaker living room ) , love pot / pan / dish need . helps break monotony eat every meal . mention review , not casino , , good change everywhere else ! rent car , prove great thing since hotel quite walk center strip . still lot construction around area ( although can not hear ) . free parking back . item little overprice , little 24 hr market downstairs really convenient . fitness room nice well least 5 - 10 machine plus weight machine . not get check pool , area looked pretty well keep . overall , impressed room enjoy stay . 
 Nov 6 2007 	 Excellent Hotel ! 	 book studio Tower 2 . room great- newly furnish , furnishing comfortable feel like hotel could chill out . there be casino hotel , great me- 's nice break hundred casino Vegas ! location be great well , strip- albeit end it- 's convenient explore hotel also be great shopping mall 2 minute away . there be also little marketplace low ground floor- 's open 24 hour one need get food / drink . kitchenette room well equipt ! parking 's free self - park , USD6 day valet car . Altho be probably expect tip time be collect / parking car . 's short walk car park not mind self service . staff member kind helpful . check breeze . would definitely stay . 
 Nov 5 2007 	 ok Bad Great 	 stay hotel via Timeshare stay , spend 2 terrible hour high pressure sale pitch . ( not buy ) Hotel ok , good feature room , washer dryer 1bd suite . great family kid , want get away go Lake Las Vegas . probably stay property ! 
 Nov 3 2007 	 be great ! ! 	 book holiday timeshare exchange look forward . kept eye review website bit worried hope well ! ! great place stay especially car . rent one week use valet service - charge 5 day staying week $ 6 per day . really effecient not wait long get car . would drive hotel strip , use valet parking ( free ) visit hotel etc area , get car back carry strip ! ! ( save walk far heat ) evening use taxi reasonable know back way hotel etc . the room huge everything need , tower 2 new tower one bedroom teenage boy interconnect studio next door ! ! fridge , tv , bathroom etc . the swimming pool area shade certain time day soon figure sit get sun , move around . can recommend ....... legend show ( typical vegas show table seating ) eat Cheesecake Factory Forum - great atmosphere . all great holiday yes would go back HGVC Strip ! ! oh one bad point internet facility - four pc 's pay use - never encounter anywhere else ! ! 
 Nov 2 2007 	 okay .... 	 choose place without gambling , walk distance strip . location okay not mind walk . close anything Hilton Hotel tram , great get strip . otherwise , long walk Wynn , Riviera Circus . room spacious , clean nice . lobby , gather area basic deli . pain rear bar service pool . pool poorly situate mid - fall spring sun go behind highrise early . push timeshare tour , YEA ! ! 
 Oct 30 2007 	 great week ! 	 stay HGVC 10/14/07 10/21/07 . husband & amp ; travel married daughter , want one last getaway , 1st baby bear December . great week , enjoy condo 23rd floor Tower 2 , great massage spa & amp ; spend afternoon pool . find place around pool , spend entire afternoon & amp ; stay sun . daughter gestational diabetes & amp ; strict diet , eat majority meal condo . appreciate well equip kitchen . rental van & amp ; drive nearby Walmart & amp ; Albertson 's get grocery . every day drive nearby mall , end trip , visit 4 - different mall , repeat visit . also enjoy entertainment resort Strip . get show ticket arrival , go Tix 4 tonight Fashion Show Mall purchase day show ticket Coaster 's , Platter 's & amp ; temptation , well , Stomp Loud . hotel staff , bell hop , concierge , spa employee , friendly ! 
 Oct 30 2007 	 Bed Bugs ! ! ! ! 	 Arrival appear ok show room new tower II , 20th floor . woke next morning find slept bed infest BED BUGS ! moment treat like 3rd class citizen . way Hilton Grand Vacation Club Owners . tell give belonging check housekeeping get back 11 pm night . send store look like Goodwill Vegas , husband normally easy go would shop store . end locate mall spend well Hilton 's meager allotment 100 dollar . never get answer happen Hilton would rectify situation owner . top require attend update demonstration Hilton Timeshare ! Bad Business Bad Manners .... 
 Oct 29 2007 	 peaceful oasis ! 	 fan Las Vegas . dread trip , expect smoky space , stain carpet noisy neighbor . boy wrong ! hotel pleasant surprise ! take 6.00 shuttle ( locate outside baggage claim ) hotel take 40 minute lot stop . worth 6.00 get gawk sight along way . driver friendly ! get hotel surprise pretty lobby . Vegas like ... much intimate classy . check fast employee nice . my room 23rd floor . get elevator first thing notice smell . smell like coach store . I never figure source smell , smell like fresh , new leather . even hint cigarette exhaust smell permeate Vegas . the room quite shock . huge ! one bedroom apartment . * Immaculate , full kitchen everything would need cook serve meal . * large bedroom king bed . , comfortable assorted pillow . trouble sleep hotel comfy , thank goodness ! * large bathroom huge walk - in shower . bathroom bedroom giant soak tub . could watch tv tub ! generally avoid tubs nasty germ infest ' jacuzzi ' jet one . perfectly spotless large enough recline relax water neck ! use every night . * free WIRELESS WORKS ! * expand cable HBO ! * Great Crabtree Evelyn bath product * dining table , work desk ' like home ' touch . * large CVS next door anything need normal CVS price . I able cook breakfast work , like home . now many , sound crazy go Vegas drag . seem door bang night , people laugh obnoxious hallway hour morning long wait / line every turn . I feel like luxury hotel Chicago NYC … Vegas . no noise kind night ! colleague able gamble party heart content strip able relax attend business ! 
