Nice 	 room nice could not fault room service / bellboy staff . however Reception hotel spa staff unfriendly unhelpful . plan get marry Las Vegas , day wedding , ask Spa make - up tell do not bridal make - up hotel ? decide go book hair salon appointment anyway ( Salon staff friendly professional ) staff ask want make - up do aswell . spa staff tell do not ? getting marry , least five message leave hotel we , never recieve , reception tell we pass message ! good friend try buy bottle champayne we go room , meet unhelpful attitude say ' do not ' ' ! check - out ask use day room , receptionist tell we hotel offer service could pay $ 30 day pass spa . refuse pay quite enough room rate . this first hotel come across allow use day room . 
 Extravagant 	 Pros - huge flat screen , tv 's bathroom , nice deep tub w / salt crystal , room service ... top line . great food hotel . quality show & amp ; gambling . con - Slow drain standup shower . $ 14 internet per day . $ 25 way cab ride Las Vegas Convention Center . 
 Nice Hotel end bad note 	 travel TheHotel friend weekend getaway . use Centurion American Express travel service utilize Fine Hotels resort program . upon checkin , tell amenity FHR program , include 4pm checkout , tell would . stay nice , free breakfast nice , last day service fall floor . leave city 12:00 , friend stay watch game check . 2:00 could get room , call front desk get let , send security guard let . guard stay watch friend pack , tell could stay guarantee 4pm check . much hotel charge , part FHR program , say extremely disappointed . cater high consumer , deliver exceptional service , . 
 May 30 2009 	 great First Stay - nice Alternate Mandalay Bay 	 ' ve probably stay Mandalay Bay dozen time first time THEhotel . $ 20 / night Mandalay Bay , could not pass . many way preferred location , close parking garage bulk restaurant rumjungle vs Mandalay Bay tower . I ' ve stay Platinum Signature last 18 mos think suite compare well . kitchenette balcony everything else top notch . request pool view room assign 36810 . sense distance main tower could still judge chair get scarce , etc . I really like living room area enter room , feel like be enter someone 's apartment . large bedroom comfortable king bed . large bath tub two large glass shower stall . separate 1/2 bath boot . lot storage space typical suite hotel room . robe slipper nice touch . it be personal preference not care dark / black wood tone . mention be start show wear spot prefer light tone . ' ve also find hotel lobby little dim taste . Checkin checkout personnel polite professional . use in - house coffee counter times restaurant . friend go mix top floor one evening drink , great view strip . amazing much CityCenter skyline obscures view though . pool great always . use side entrance close Lazy River , get lot enjoyment of . definitely consider property future . 
 May 28 2009 	 Hotel Place ! 	 Bachelorette party – four girl per room . amazing space , comfortable bed couch . huge bathroom great we get ready . room service fast delicious , although menu little sparse . ' going spend day pool Mandalay Bay , cabana definitely way go . café nice spot brunch . honestly complaint , great time really comfortable hotel . 
 May 28 2009 	 Overall Disappointment 	 frequent traveler Las Vegas ( 2 - 3 trip / year ) , stay Mandaylay bay least 5 time last 2 year . time choose stay thehotel . travel one year old , nice sitting room bedroom suite . room quite comfortable . along line find Wynn , plasmas , dvd player , iPod dock , etc . comfortable bed , nice bathroom -- although need rehab . carpet showing wear fray arm chair , etc . would call first class hotel , good value dollar term space . pool Mandalay great many good option dining entertainment . 's quiet end Strip , less crowd . that say , return THEhotel . request pre - request adjoining room ( family two old child infant pre - schooler ) check tell could accommodate we . say entire property sell duration stay -- might even need take room different floor . half hour wrangling desk clerk , finally consult supervisor & quot ; find & quot ; two room . however , could confirm could room hour half , ask we return desk time check . return , tell would get room , clean yet , could 3:00 . ( understand 3:00 official check time . ) however , also learn property 87 % fill time . ( surprising , consider economy 's impace travel . ) issue : -Room service late ( +15 minute ) 2 three time order - Broken make mirror bathroom - Hair dryer stop work day 2 stay - no child 's offering room service menu ( make grill cheese upon request ) 
 May 26 2009 	 Fantastic room 	 hotel slightly hustle bustle strip , great bonus ! room fantastic much well Belagio . 
 May 23 2009 	 classy stay 	 hotel new contemporary , nice clean feel . locate main strip vegas , hotel . american express give we good deal .the bath house spa good one . nice big casino , huse shop . connect hotel- mandalay bay , that s old wing . nice place stay . 
 May 22 2009 	 Great Upgrade ! 	 go LV 9 year old book Mandalay pool . ended upgrade thehotel - lucky we ! room large clean . one good thing bathroom . two sink , huge bathtub television . son think coolest thing ever take bath watch tv time - could barely get leave room . room quiet , hear noise last day even low . casino great , seem lot less smoky casino . downside location - prepare walk take cab want visit property . overall , would definitely stay thehotel . 
 may 22 2009 	 great Stay thehotel 	 stay thehotel 4 night . room spacious , comfortable , great place relax roam strip . Stayed Mandalay pool truly amazing pool area . thehotel far walk casino get around hotel fairly easy . one drawback Mandalay Bay complex southernmost hotel strip get hotel require good bit travel foot although tram excalibur help little . price great would definitely say top room Las Vegas . highly recommend hotel anyone . 
 May 20 2009 	 first trip Vegas make GREAT thehotel 	 room ( two ) great value ... be group 23 year old girl , not treat we like & quot ; spring breaker & quot ; -- treat we like adult really appreciate . concierge fantastic make sure anything ask . hotel stunning -- clean ! ! bathroom spotless ( major requirement ) . setback ask extra pillow blanket -- take least 2 phone call item bring room . everyone work hotel respectful friendly -- truly service smile . room 5th floor not view strip , barely room . bed super comfortable ! head -- not TOUCH anything mini - bar unless want pay . like literally , not even touch . sensor automatically see bill even not eat nuts candy . not even ask key mini - fridge ( would tempting ) . pool fantastic , 1 . definitely wear lot sunscreen 2 . get pool 9:30am , else go chairless . pay lie reserved seating one morning crowd . my first trip vegas definitely memorable one , thank great experience THEhotel will definitely go back ! 
 may 20 2009 	 great play stay Vegas 	 husband celebrate 26th wedding anniversary find hotel quite casino attach smell smoke great . would stay highly recommend hotel . 
 May 18 2009 	 gorgeous luxury hotel 	 beautiful luxury hotel . stay Vegas time , hotel stunning . the spa amazing , much quieter Mandalay Bay . be way end strip , would not suit less able small child . tram link Mandalay Bay Luxor quite walk hotel . only problem staff quite rude , ( compare MGM , signtaure MGM , other ) take age check lot problem . try charge different rate book , add nearly thousand dollar ! ! hotel trendy , chic , understated elegance . room service amazing . 
 may 17 2009 	 definitely 5 - star home feel 	 get back 3 - night stay ( Wed - Fri ) . first stay , definitely stay ( even pay ; room compe time ) .check efficient professional . room 10th floor face airport ( mind since pay room ) .Hallways nicely decorate , quiet . not housekeep cart day like hotel do . we want king bed not check , end 2 queen bed . Room nicely furnish . nice actual bedroom . bathroom great . tub look real nice ; want try never get around ( save next trip ) . room ( suite , say ) almost feel like home without kitchen dining area . spend time beach ; manage snag couple chair right front wave pool . great pool . try lazy river ; look small one MGM Grand . have dinner one night Border Grill ( mexican cuisine ) . choice sit inside patio . choose patio great ( location food ) . staff friendly . yes , location maybe negative , problem we . regular LV ( 2 - 3 time year ) see do touristy thing . tram take Excalibur . what really like hotel feel like walk high end condo building hotel . overall , would definitely recommend theHotel budget allow ( well worth price ) . 
 may 15 2009 	 great spa good value 	 friend share room really enjoy space . nice area laptop lounging . internet $ 15 / day ( suck ) biz email . bedroom nicely appoint lot pillow sense luxury . bathroom good part separate shower great tub . bathtub good take two bath . free shampoos toiletrie good quality . room cleaner also great give extra toiletry definitely appreciate dollar tip leave day . spa extra charge per day . think $ 25 worth . 's basically divide female male spa , sauna , whirlpool , steam room lot great free refreshment snack . the pool area great . friendly staff . lazy river fun glide around course check girl . negative : coffee maker room , be Starbucks close - by . breakfast / restaurant lobby not appeal we seem expensive wander somewhere else get well value see sight . 
 May 15 2009 	 LOVE LOVE LOVED ! ! 	 expect come Vegas . clean , resort - like , quiet trendy ! husband come anniversary ; ' ve never Vegas . glad make choice . chaotic life middle strip come back end day awesome ! soon walk Hotel like spa . even casino not crowded , nice , probably 's end strip . want relax stay ! rent cabana $ 250 day get 10am-7pm come free water soda day , free tube lazy river everything else personal wait staff . rich mean especially weekend find chair lounge pool beach impossible , be rent cabana gazebo get early want chair ! room service fantastic , cost much restaurant place delicious ! want romantic go charlie palmer steakhouse four season , good steak ever super romantic . meal $ 200 2 us drink , appetizer main course . worth ist ! price unbeatable suite ! hotel staff make vacation unforgettable . 
 may 14 2009 	 amazing place go back long day strip 	 , stay Hotel great . beautiful room , great view , lot space , relax . way nice price pay . two negative : ( 1 ) Location ( way one end strip . take tram excalibur times avoid 3/4 mile walk ) ( 2 ) WAYYYYY overprice internet ( 14.99 24 hour ! ) would definately recommend . eat Burger Bar Buffet ( love burger , check burger bar ! ) 
 May 9 2009 	 # 33 TA Ranking Modest ! 	 sure review compute final ranking , frequent visitor Vegas since 1996 , stay many high end property multiple time ( well dump ) , thehotel easily close Top 10 .... especially give budget - choice place like Orleans Hampton Inn somehow score higher . all 700 + four five star review spot - on . three nite dink three minor demerit .... digital tv channel selection overall reception could well , automate checkout , wi - fi surcharge tacky . notable plusse , check - in lightning quick , room service breakast excellent reasonably price , housekeeping / room condition exemplary . chide south strip location , personally like away center & quot ; Griswold Vacation & quot ; crowd thing add refined vibe around hotel , casino , restaurant bar . otherwise hit Encore , Wynn , Pallazzo , Planet Hollywood , MGM , take free train Excalibur . pool time many time .... like giant wave pool sandy beach scene , need deal masse pleasure ... otherwise pay extra freight Moorea Club wife / girlfriend work obtrusive line topless tanning . TIP : Get / Use MGM Mirage Club card watch heavy discount website . embarrassed say three nites total cost LESS HALF pay one niight Venetian Bellagio . tip2 : RM Seafood Mandalay one good fish place town . 
 May 6 2009 	 great stylish hotel not love location 	 friend stay Hotel last May girly week away . hotel stunning , check breeze staff helpful . room great view Strip - even fantastic night ! suite everything - two bathroom huge plus . make sure drink Mix take strip view night . mexican restaurant pool area really good . spa day - mandalay spa Bathhouse highly recomend - great facility much quieter relax trendy bathhouse . the thing disappoint Mandalay Pool - long hike hotel use share pool normal Manadalay , plus way many kid run around relax . ' beach ' lounge chair stack nearly top can not even get toe sand ! say , lazy river fantastic fun . slight drawback location - Luxor Excalibur not really ' scene ' tram not really useful . New York New York MGM okay , really need taxi get anywhere mid - strip - fine ever take nanosecond staff get one outside . recommend ! 
 May 2 2009 	 Unusual Vegas hotel 	 quiet elegant tower attach Mandalay Bay , understate color spacious suite . great view . modern spa . 
 May 1 2009 	 Poor Service 	 ask food take room check - in . tell mini - bar would lock . be not snack tray still display . ask snack tray remove . next day snack tray restock take three hour three phone call remove . I eat buffet ordinary bread stale . hotel would suit someone like wave pool beach area like drink . there well hotel strip kind money 
 May 1 2009 	 Great suit nice view 	 go April boyfriend free room ( thank friend ) . previously stay Mandalay Bay Hard Rock Hotel - room good three . room spacious , separate living room extra 1/2 bath . bathroom great huge tub ( large enough two ) separate shower . toilet separate door double vanity small flat screen tv bathroom ( watch tub ) . strip view great ( actually well room stay Mandalay Bay - suppose depend room get ) . mandalay pool area huge , struggle find two lounge chair together . not go early , able catch couple leave take chair . not seem many worker pool area help chair . can not order food server lounger , order drink . & quot ; take - out & quot ; area food also small restaurant burger , etc . pool area . several restaurant mandalay complex . eat Verandah Four Seasons brunch one day excellent ( Four Seasons attach Mandalay ) . also try Red , White Blue one day good - nothing rave , good . Burger Bar Mandalay Place great burger lover . the con would location South Strip ( might pro ) . stay would love stay mid - strip sometime convenience . cab $ 12/ trip start add . 
 Apr 29 2009 	 Modern Hotel + Beach Access mandalay 	 stay Hotel Vegas Bachelor Party . other mention , interior modern similar W Hotels . room disappoint , nice furnishing room 2 room suite separate living sleeping area . also extra 1/2 bath live area common & quot ; suite & quot ; hotels Vegas ( i.e Venetian ) .Best feature : Access Mandalay Beach / Pool area . far one good & quot ; artificial & quot ; beach see . could easily forget be middle desert ! bad feature : location - edge strip everything cab ride long walk . big deal prepare . 
 Apr 29 2009 	 fantastic hotel 	 Vegas , highly recommend thehotel , suit nice . not buy drink Mix though , not pour alcohol drink ... try Stripstek Mandalay building , tremendous wine list , little steep extensive . Peter 
 Apr 28 2009 	 amazing hotel OWNS compitition 	 right start hotel fail astound . lobby well see Vegas . service could not well . comfortable room bed I ve see . even average room come complete beautiful view ( anywhere hotel ) huge bathoom exit technology perk . ( cool gadget , tv , internet , phone . ) pool top amazing crown jewel Vegas . good pool water park ever find . 
 Apr 28 2009 	 Luxuryclassstayle comfort perfect choice 	 hotel dissappont , fabulous every respect . having stay Luxor year previous daughter determined go good hen .The room exceptional immaculate . the service first class organisation staff . the Pool area incredible peak day ( Easter weekend ) need 9 am get sun lounger . ( non reserve closley monitor ) hotel Vegas go walk problem unless mean get around walk b within Hotel involve long distance walk strip like marathon dailey basis . the Hotel Spa fantastic worth treatment allow full day use spa . treatment unlike thos Britain male therapist use . also tend little brusque . however detract experience . we could comment casino go shop dissappoint ! .Overall like good opulence hotel , couple two brilliant show good food .We would recommen hotel anyone mind spend little good . 
 Apr 28 2009 	 luxurious stay 	 hotel classy hotel .. definitely try luxurious stay . it do not hav casino .. ok cause 5 min walk lobby walk straight casino adjoining hotelits situate one end strip . overall gr8 experience 
 Apr 26 2009 	 Luxury Apartment Feel 	 second stay Hotel , first , enjoy vibe hotel . suite like luxury apartment soothe relax color , nice artwork , custom furniture , lamp carpet . room quieter . would imagine due thick marble tub shower surround bathroom – hear neighbor . valuable commodity Las Vegas want awaken unwanted noise hour spend room . another nice feature extra large main bathroom ( half - bath living room ) extra - large soaking tub , third television , nonslip stone ( limestone ? ) floor instead pretty slippery marble floor find hotel . the bed comfortable ample space clothe regular suite . closet space V - suite stay last time less closet space . flat screen tv living room dvd player attach . there many activity , entertainment dining option attach Mandalay Bay resort . resort manage create fund atmosphere ( even two morning ) .i minor complaint . housekeeping service provide once - daily . hotel class provide twice - daily servicing arrive clean room return show night club . people return hotel room freshen go day time activity hot Las Vegas sun . another thing notice provide mouthwash . may reflection economy reduce rate . take reduce rate day bottle mouthwash . also minor issuer housekeeping one day , nothing major . I stay many hotel Vegas THEhotel one favorite quiet relax atmosphere vibe make feel like luxury apartment hotel suite . 
 Apr 25 2009 	 Quieter Vegas 	 like thehotel casino directly attach . cut noise smoke . bathhouse spa nice ! 
 Apr 25 2009 	 cup tea ! 	 ok ... first , absolutely 5 star hotel . enter dark parking garage . lobby sleek elegant , beautiful flower . check : young lady check we personality shoe without soul . room : dark , dark , dark ! ! matter fact whole place entrance dark border depressing . carpet tired looking , food stain table well one light switch . would definately state bathroom wonderful , huge , high end , be still bathroom , also dark ! casino : huge , slot tight drum . Buffet : good . location : miserable ! ! hike half get point point B. miss central strip location . pool : rate . sure , 's man make & quot ; beach ' , wave lame , equal wave good cannonball pool . good time , Thehotel ... honestly would never stay recommend anyone . Met nice employee , snobby seemd really miserable . go Vegas go back place stay love ; Mirage , Caesars , Bellagio , ... Thehotel not come close anyone . trust , love travel , place huge disappointment ! 
 Apr 22 2009 	 Agreed - need Upgrade 	 get back TheHotel reviewer right . furniture kind date look worn . alarm clock bedroom could not use one big knob break entirely missing . I read since property change hand new owner spend money thing ( like new City Center development ) . 
 Apr 22 2009 	 Fantastic ! ! ! 	 Fantastic hotel - amazing suite , huge bathroom , immaculately clean : ) could not happy service . 36th floor brilliant view ! fantastic pool - worth pay extra $ 10 women/ $ 40 man Moreno beach club ( private pool / hot tub , comfy sun lounger 21 's : ) first trip vegas well definately go back soon . 
 Apr 20 2009 	 Time Upgrade 	 Love public space . love staff . one - time & quot ; WOW & quot ; hotel show 's age , gracefully . in room week coffee table suite 's living room beat : lot ding , scrape & amp ; scratch . arm desk chair fall entirely . bed old , mattress need replace . 's sort liquid stain desktop . toilet leak floor . I use regular . time upgrade . 
 Apr 20 2009 	 gorgeous room snooty service . 	 almost never stay 5 star hotel - usually opt middle road due price . price place make possible stay fancy place . really love room . lobby absolutely beautiful , smell vanilla , Sports box right around corner . awesome . view mountain great , bathroom perfect . love surprise 1/2 bath . however , ask room 2 bed , could get one . ask upgrade make would . choose hotel mostly pool - great reputation . however , pool hotub heat day . heater break , staff unapologetic . order drink waitress pool , take 25 min get back drink ( prepaid could not skip . ) anytime problem , one seem care . call ask late checkout could enjoy pool , since could enjoy 1st day , would not allow . tell alot problem answer feigned sympathetic & quot ; yeah ... & quot ; get feel since place hot place moment , we favor allow we stay . ew . overall , love room , staff suck , would stay . 
 Apr 18 2009 	 fabulous fabulous fabulous ! 	 arrive Hotel hassle free taxi airport , take 10 minute - long reasonably price . check quick , however room available one king request two queen bed mum stay hotel . agree change we first thing morning room become available . happen without problem follow morning new room even well view strip ! service recieve hotel first class conciege particularly helpful request . the first two day stay weather hot therefore spend day hotel pool beach . pool beautiful well maintain . queue sun bed pool not open til 9 am . however early riser do not bother we able choose bed want opposite large wave pool . hotel locate far end strip close airport , however strip hotel easily accessible mono - rail , tram , bus taxi . location suit we perfectly like fact hotel locate slightly away main hussle bussle . we see two show whilst La Reve Wynn , fabulous Phantom Venetian also good . overall fantastic time Hotel would recommend hotel highly , 
 Apr 18 2009 	 look 	 hotel amazing . we upgrade arrival penthouse room 61 . big house ! ! panoramic view 3 aspect Vegas tempt stay return LA.The & quot ; room & quot ; leave we speechless , say ! 
 Apr 16 2009 	 Mixed Feelings 	 Figured would write review place , stay last May Choice Hotels convention . we get two room since four we . room fine . really like bed big - time hotel . room clean enough I . but give three star two thing . room , A / c unit working condition . first night , struggle , morning call say have fix . go convention , come back , get stick without A / c . memory fuzzy , not remember get next day , ' m pretty sure luck duration stay there . also , something t.v . , not like . ' m going go much may confuse Hard Rock , ' ve stay place amount time . check - in , check - out not speedy like second thing . although get desk , staff friendly ... 's one thing not know traffic go get much . , wait bleh . expensive ' m sure worth , course , choice ppl tend stay high - end usually not choice ( convention , gambling convenience , etc ) . 
 Apr 14 2009 	 Mixed end ok 	 review good ... well abit annoying . overall enjoy stay probably go back ( right price ) . take 3 room change someone front desk realise near houskeeping station airconditione motor not idea quiet room . can not recall name do not like hum aircon motors do not stay ' 900 ' block . eventually get book room 36 - 807 .. great room . side view Luxor strip quiet . real complaint need update tv system other HD - TV really update . also find water heavily chlorinate , really smell , hubbys skin actually itch shower . bed comfortable , overall spacious room , housekeeping prompt make room request . Valet also prompt . eat Noodle shop please quality food service , never wait 3 - 5 min seat . 
 Apr 12 2009 	 almost THEbest 	 include THEhotel recent package holiday West Coast USA Virgin Holidays . separately brand " suite " hotel part Mandalay Bay provide high quality suite relax up - scale environment . everything label " " , include shop , bar , restaurant , coffee shop toilet paper . spa although Mandalay Bay spa bigger well . short walk Mandalay Bay casino quieter less frantic neighbour also well work lift ! try get 3rd floor room low floor limited number room probably use hotel full meeting meet room fill floor . low room level flat roof view good . finally , aware THEsmell stench pipe outside 3rd floor window restroom ground floor . apart THEhotel great ( cheap great ) . 
 Apr 10 2009 	 TheHotel Mandalay Bay- great trip minor inconvenience 	 , brother friend Vegas birthday party April 6 - 9th . brother suit TheHotel pleasure stay part . check quick easy . brother room ready however mine leave luggage room able go walk strip , gamble etc ready . inconveinece number one . front desk clerk tell room would right hall would notify cleaning staff would ready within hour half . tell would call cell phone . 10:30 first day . go walk around etc 2 pm stil phone call stop desk tell should not tell we time room still ready . finally call close 3 pm . another room would major inconvenience . room ready til 3 check time do not tell people simple . get room finally everything , food , clean service etc great . last night . brother go back room toward dinner time card would not open door , go front desk tell problem fix give new card door . do not work either . wait security could open door engineering put new lock time wait . two hour process desk fixture replace happy miss last night dinner friend . incident go front desk comp last night mine well due we miss dinner also give we large food credit restaurant . overall would highly recommend hotel . service great fair since compensate us lock mishap be not even room would say can not complain much . thing hotel far end strip Excalibur Luxor connect everything else walk cab ride aware . food , service even gamble great far various denomination different slot table game . would stay problem . 
 Apr 8 2009 	 Nice Hotel 	 hotel seem like nice alternative , wife & amp ; never stay Mandalay want give try . entrance lobby parking garage inside nice . check easy service excellent . room great huge bathroom . pool area great crowd ( hotel share pool Mandalay Bay ) , Four Seasons hotel pool area would nice . casino Mandalay ok find leave casino play . like hotel stay Bellagio next time Vegas . find location limit ammentie ok . would recommend hotel 1st trip Vegas , would better location middle strip . great room plan sit pool would work quite well . 
 Apr 6 2009 	 great choice ! 	 already stay Mandalay Bay year enjoy experience , try new luxurious hotel love ! decor modern comfortable . room essentially suite . living room great nice comfortable couch , desk 40 & quot ; flat panel TV . bedroom great & amp ; comfortable bed fantastic wall setup hang clothe another 32 & quot ; flat panel tv . huge bathroom also tv hang wall could see large bath tub separate shower . one negative long line front desk . sadly , fact lot people check Mandalay Bay would go wrong line get turn away get desk . well sign post 2 hotel different . loved hotel though would definitely stay future ! 
 Apr 6 2009 	 need go anywhere else 	 wife stay long weekend . sort family reunion son ' family also get room Hotel . perfect spot grownup grandkid . Mandayay Bay everything need great Vegas experience , kids happy spend day pool area wonderful wave pool lazy river area . restaurant plentiful excellent . casino top notch , night time entertainment great . room modern comfortable , service perfect . 
 Apr 6 2009 	 Great Hotel 	 really enjoy stay Thehotel Mandalay Bay . many restaurant onsite , expensive . problem room room service . get center strip pricey . hard time decide would economical - take tram take taxi . 
 Apr 5 2009 	 Hotel great Bellagio alternative . 	 husband stay hotel twice Vegas . quite picky choice please hotel . Admitted Trip Advisor junkie , read review hotel other book trip . big & quot ; must & quot ; : cleanliness , location , ambiance , close 5 star quality possible . usually stay Bellagio . hotel really two hotel one . Mandalay Bay Hotel . share public area restaurant . hotel ' reception area offer upscale suite style hotel experience . cleanliness : hotel clean ! lobby , reception , restaurant guest room spotless . one complaint . everything look smell new . location : end strip , close airport . airplane noise . train connect hotel Luxor Excalibur . ambiance : husband dislike fussy overly ornate décor . hotel beautiful classic , clean lined furniture decoration . guest ROOM : stay standard room separate living room bedroom . bedroom comfy . bathroom wonderful ! marble floor , huge walk marble shower nice sized vanity . huge soaking bathtub . living room chair sofa desk work first - rate . like " flat " apartment . large hotel , remain quiet . pleasant return long day site seeing & amp ; gambling . treat well absolutely issue property . utilize business spa facility . 
 Apr 5 2009 	 highly over - rate 	 hotel look fantastic , sadly look impressed . aim young trendy set quality service obviously important . reception staff brusque service elsewhere hotel perfunctory . none smile get elsewhere Vegas . hotel serious & quot ; drain & quot ; issue 2 day stay - whole large reception area smell sewerage not great whilst be eat breakfast hotel cafe . room great - suite beautifully appoint , could not fault . however , price charge , expect service line receive Four season . share lift group trendy drunk , loud unsophisticated 20 - something add experience . comment politely check ask enjoy stay - discount bill slightly , would return . 
 Apr 5 2009 	 two night party TheHotel 	 friend mine go conference 4 season , pick TheHotel b / c basically price suite vs room 4 season ( within Mandalay Bay ) . read reviews new expect . check painless quite quick . get room 20th floor not face strip , not spend much time stare airport distant mountain . previously state , room DARK . black furniture , dark brown carpet wall light seem 20watt bulb . energy saving TheHotel ? suite spacious enough full living room 1.5 bathroom . main bathroom might even big . bed comfortable bedding clean . nice plasma LCD living room , bedroom even bathroom . coffeemaker though . find ridiculous . also hate nickle dim , like $ 20pp per day use gym $ 15 / day internet . a number restaurant site . pricey end ie $ 30 sushi roll . also restaurant top floor , two appetizer , martini glass wine run we $ 85 . food great though . we partie themix 62nd floor great view , loud . also well ( imo ) club main casino floor . great dancing music hot woman . I use pool due weather , look awesome beach entrance wave machine . if want go hotel casino club , past luxor next door , definitely hike . walk way Bellagio check hotel way . probably 2 - 3 mile certainly every one . take cab back though . all think would recommend hotel reservation . 
 Apr 1 2009 	 Amazing Place end thestrip 	 hotel beautiful suite great . bit walk get anywhere - walk whole casino get pool area , overall amazing totally worth ! much pretty hotel see . LOVE pool / beach - especially lazy river ! 
 Apr 1 2009 	 favorite hotel 	 hotel nice . room amazing bath tub even well . bed comfy . 
 Mar 30 2009 	 nice worth money ? 	 stay four night . service top - notch friendly . room nice , couch chair living room area , two comfortable bed , large bathroom . room large flat screen tv , even bathroom one . decor modern , taste , not really care . say , ' m sure would stay price . fun bachelor party weekend , suite handy watch sport pre - gaming , mandalay little way . definitely option would served purpose lot less money . 
 Mar 29 2009 	 Luxury Vegas - remind Us W Hotel 	 Vegas , sometimes overlook importance & quot ; hotel & quot ; experience time spend navigate huge casino Strip . THEhotel Mandalay Bay . fourth time stay . moment check ( smell pump lobby - lemon combine tropical vanilla kind ? ) relief feel return sanctuary full day night Vegas overload ... love THEhotel would not think stay anywhere else . week ago , college basketball tournament ( another couple - 30 ) . enjoy separate living / sit room entertain drink set fun night . room extremely comfortable stylish . large plasma tv room . wonderful bathroom huge tub shower main bath . lovely bath product . overall , great experience , especially discount rate offer day ! beach pool area also fantastic - real change pace hotel pool . 
 Mar 27 2009 	 Classy elegant relax 	 favorite hotel Las Vegas . room suite , bathroom main entrance , living area wet bar separate bedroom large bathroom . like color , ambiance comfort level it . I typically park lot use valet walk stair main entrance . staff always impeccable bath accessory among favorite ( kidding ) .The bathroom large , nice soak tub even watch tv sit tub take warm bath . always ask strip view room nice enjoy view work . typically use desk turn chair face window . great hotel , great service love stay . 
 Mar 24 2009 	 Coffee Machines Rooms 	 could not believe could make coffee room morning . Vegas least thirty time well travel extensively business- stay alot nice hotel never stay hotel coffee maker . would stay . 
 Mar 23 2009 	 Fabulous hotel - would love stay 	 Hotel truly fabulous - room spacious comfortable separate living area be business , not live / sleep / eat / work room . huge bathroom - need feel pamper . my critcism room service - usually food order take full 45 min arrive , food pipe hot . addition one two truly awful item menu - chicken wing sound great menu turn deep fried dark batter several time - suspect day old - eat well chicken KFC ! wary order room service , well option would go one many restaurant Mandalay Bay hotel corridor get take - let charge room . that complaint though - would definitely stay . 
 Mar 21 2009 	 oasis calm good taste Strip 	 stay v suite 3 night . disappointed get sideways view Strip , love huge room . bathroom particular enormous mammoth bath easily big enough two deep enough drown . room public area hotel calm exceptionally tasteful . madness Strip little oasis lovely come back . thehotel bottom end strip ( tram not run ) , be long walk MGM Grand pick monorail . drive day walk day not find great inconvenience . shark reef worth visit . 
 Mar 21 2009 	 classy hotel far strip 	 Everything Thehotel Mandalay Bay classy . room great love Cafe view Mix must see . spa gym amazing excellent selection restaurant mandalay complex . staff efficient responsive , problem maid service ( ' leave 9 am return 4 pm maid getting room ) . big drawback we lack coffee maker room ( must we ) location far end Strip . get anywhere else along Strip either considerable walk require taxi . tram serve three resort ( Mandalay Bay , Luxor Excalibur ) visit . enjoy stay Thehotel , rate highly category , would probably stay somewhere nearer heart strip next visit . 
 Mar 20 2009 	 Excellent Hotel 	 book reservation two month advance standard 725 sqft suite . go check inform upgrade 1800 sqft penthouse . beautiful room 61st floor great view far nice hotel room ever stay . review complain noise club , bieng three floor could not hear thing . 
 Mar 17 2009 	 21st birthday trip mom daughter 	 return fabulous stay THEhotel daughter 's recent 21st birthday . suite 21st floor ( attention detail ) comfortable nice . great amenity fabulous view strip . find clean clean day stay adequately . staff hotel superb .... always greet we warmly treat we well . I problem entrance parking garage . minute walk hotel meet understate elegance wonderful aroma ! check - in extremely easy ; check within minute arrival . someone greet we introduce we front desk representative , quickly check we take time provide we information ask we question stay . rent car stay valet parking efficient valet extremely helpful direction . hotel quiet , elegant alternative many busy strip hotel , yet step away Mandalay Bay casino many shop , bar restaurant . dinner first night China Grill love ! enjoy great food service . the Mandalay Bay casino busy super packed way lay . also seem bit classier casino walk stay . also smoke - fill . Mandalay Beach area different pool really great . pool chair hard come peak time day , get early enough not problem . number cabanas available rent not want deal find pool chair . willing spend money , cabana would great weather get hot . look forward stay thehotel . room big comfortable , lobby area beautiful well maintain , every staff member encounter treat we value guest . 
 Mar 17 2009 	 wonderful room ! 	 stay HOTEL long weekend March . everything hotel class . love room , atmosphere resort . strange drawback lack coffee maker room . must , especially Vegas ! Loved MIX bar restaurant . def . back1 
