nice 	 good value SF near Union Square . friendly staff , pet friendly . modern hotel within couple block Union Square . free breakfast , free internet , nice wine hour evening . close shopping , Metreon , restaurant . would stay . knock $ 45 valet parking smallish fitness center . 
 type hotel James Bond would stay 	 locate perfectly near Union Square shop , across Apple store , BART , Old Navy Walgreen 's ( perfect late - night snack ! ) , Hotel Palomar San Francisco exude Quality . room feature flat - screen tv , useful work desk wireless internet ( via Kimpton InTouch membership ) , plus Kimpton signature animal - print design everything carpet , sheet dress gown . take either interior room look garden exterior city - view room . it be exclusive , comfortable , pet - friendly great location . plus , often come great value deal Priceline . 
 look forward return 	 could not happy stay Hotel Palomar . hotel great location , convenient BART , trolley , incredible shopping . room quiet fantastic view . hotel modern yet comfortable staff superb . look forward many return visit . 
 Mar 22 2007 	 Overpriced 	 stay hotel March 14 - 15 . bed extremely comfortable provide great night 's sleep . location also huge plus .... close cable car right next bus / street car stop lot dining nearby . however , hotel definately ' luxury ' feel , though may pay luxury price . room small bathroom tiny . view market street great , though originally try stick we interior building , face roof , call front desk get room . keep mind , reserve online , not expect uphold special request may make . request room high floor possible , yet give room 5th floor ( low floor hotel . ) second room 6th floor give we 10 min check - in , obviously room available high level . staff friendly usually helpful . ' business center ' computer internet connection , though know advance internet cost extra , case price pay night 's stay . park $ 42 day valet , comparable hotel area . ' nice ' hotel , price reflect get return . 
 Mar 8 2007 	 new decor make difference 	 spend 5 night end February -- Wednesday thru Monday . must 4th 5th visit Palomar . the hotel near completion substantial remodeling sleeping room . previous zebra motif give way soft modern color line . room seem calm large previously , also luxurious . complaint desk chair really desk chair , stylish useful use work thing . bathroom also seem refurbish , new range toiletry display . overall , excellent experience . staff little impersonal , somewhat force & quot ; welcome back & quot ; come door . , request , everything work fine . front door around side entrance Bloomingdales expand Westfields center . diagnoally across street Metreon theater complex . across street Marriott . so , location quite good , hotel quiet upscale . staff job . good thing . will definitely use Palomar . like many Kimpton property , 's classy affordable act . 
 Mar 2 2007 	 nice probably good hotel ' ve ever stay 	 second time stay Palomar , however single night end San Francisco vacation 2005 . previous stay 4 night 2003.this probably fine hotel stay . staff 's attention detail impeccable . bell hops , valet driver , front desk , hospitable . the room modern , well appoint generally comfortable . enjoy boutique style hotel , Palomar fail disappoint . room Market St. view also nice . my regret stay single night ! get discount rate great hotel excellent ! valet parking bit hefty , however know parking expensive San Francisco . I hope stay Palomar next visit San Francisco ! 
 Feb 26 2007 	 unfortunately great 	 REALLY want love hotel . website make look great review read positive . however , despite reasonable room rate ( pay 179 / night ) , hotel would return to . GENERAL : problem Kimpton hotel , opinion , theme hotel rather true luxury hotel . theme Palomar & quot ; fancy hotel & quot ; . emulates luxury , not actually achieve it . location : hotel locate centrally corner Market Street 4th St . particular street corner ride somewhat sleazy type , build abut Old Navy store . lobby : generally enjoy large , open space , lobby , though well - appoint , opposite . ROOMS : TINY ! ! ! ! ! friendly receptionist even upgrade one large room , still extremely small room . room nicely appoint , , tiny ! ! bathroom tiny , sit toilet , knee nearly touch cheaply paint - over slide door separate bedroom bathroom . bed awful . pillow tiny firm enough . service : hotel 's one big plus . everyone receptionist Virgil , friendly knowledgeable concierge , bellboy , professional courteous . RESTAURANT : restaurant , Fifth Floor , receive rave review Zagat elsewhere . bill gourmet fine dining restaurant star chef . eat fine restaurant domestically internationally , restaurant not great . service terrific , food , though flavorful inventive , not worth $ 173 price tag ( one person ! ! ) . entree price 40 - 52 dollar ! ! ! summary : dire need boutique hotel San Francisco , go W. 's near Palomar , first - rate version rather second - rate version another hotel ( , sadly , Kimpton hotel ) . 
 Feb 26 2007 	 lovely hotel huge room 	 first , not understand comment room small . book cheap room , huge ! presume room size . ask quiet room , not want one overlook street , guess would noisy , also want non - smoking room ( think whole hotel non - smoking , not want room someone smoke ) . give room back hotel , apology overlook office , quiet . room super quiet , door shut could not hear thing . huge room though . not really watch tv , someone , might find tv far away bed , especially watch movie . kind feel lot room space waste , certainly large room . bathroom also huge . lovely fitting bathroom , like ' arty ' touch throughout hotel . the location great . purposefully want something right Union Square , sound noisy . like location south square , easy get transportation , store , grocery store road . walk everywhere hotel . be good walker , still walk hill , China Town North Beach , across Nob Hill , take public transportation Haight , etc . no coffee maker room , excellent organic coffee lobby , would go morning bring . free internet access room handy . also , various newspaper available floor outside room . like small size hotel would definitely return . 
 Feb 17 2007 	 great location Friendly Staff 	 First , get great rate travelovity - $ 250 / pp round trip Orange County San Francisco plus 2 night stay . maybe February ? hotel close mall shop around Union Square . really close cable car electric car . virgil concierge helpful . ask restaurant alley call Belden . Matt th bell captain , Josu rest front office staff nice . complaint bathtub drain not function properly . water ankle take shower . let front desk know problem leave hotel one morning . get back late evening problem fix . maintenance people go day . Josu try help we could not instead offer we move another room . 11 pm evening last night decide tough . next time ask move another room right away . room small side bed really comfortable . definitely would stay hotel ! ! ! next time try Fifth Floor Restaurant hotel describe expensive worth . 
 Feb 4 2007 	 Location Location Location ! 	 read multiple review online ( mainly website ) book room family four Palomar . family four two old teenager , look something would accomodate vary personality . husband old , hate shopping , favor museum . daughter want shop , shop , SHOP ! son would probably prefer left home , want everyone happy . Palomar seem tuck back traffic main road , within easy walk distance several museum LOADS shopping . chinatown also within easy walk distance . staff Palomar courteous -- always greet we smile , open door ( may help attractive 20 year old daughter along . ) room large , luxuriously appoint comforter , really nice sheet towel . think one point book two room , not room much , really not mind rare family closeness . matter fact , look back trip year later , talk night stayed order movie television one favorite time trip . book one tour Alcatraz , Muir Woods , Sauselito , bus stop right front hotel pick we morning go Muir Woods . find location perfect need . husband would wake early head one Starbucks within easy walk distance . later would wake teenager go something . later day husband would rest room shop one kid . location wonderful , room nice , staff extre mely courteous helpful . would definitely stay . 
 Jan 31 2007 	 Great Hotel ! 	 book stay Hotel Palomar great deal travel agent get . property great location right heart downtown San Francisco . check - in handle flawlessly room comfortable spotlessly clean , bit small . consider planning spend great deal time room , not issue . decor modern tasteful staff never busy handle request . four - star touch one would expect present service impeccable . addition Palomar free wireless internet . thing might issue traveler would room size ( small - would even small second person room ) view ( mine Old Navy skylight ) . say , not big issue not spend lot time room , positive far outweigh negative . 
 Jan 10 2007 	 would stay ! truly pleasant ! 	 go San Francisco weekend . want close proximity Warfield concert venue Market . homework research hotel within close proximity venue . choose Palomar , want stay boutique hotel , walk distance venue picture review great . stay Kimpton hotel , many year . pull valet , doorman immediately assist we radio - ing valet attendant check vehicle . also introduce , extremely polite friendly gentleman . help we bag show we check . check breeze , staff knowledgable reservation . lobby beautiful , clean stylish . small intimate setting look . although feel formal , stuffy , neither staff . interested stay monster size hotel feel like room number . also present gift , Palomar tote bag . unexpected thoughtful . I book room hotel 's website fulfil special request . room clean approve decor . ceiling least 10 foot high , nice touch . , perfect . leave dinner return , little trash generate already remove room , new towel provide , robe lay bed . check easy . pleased high level service condition hotel . look forward stay hotel , hopefully soon later . 
 Jan 9 2007 	 Location location location ! 	 fan ( almost ) every Kimpton stay , Palomar special treat . normal great amenity Kimpton ( fabulous bed , etc ) . standout fantastic staff -- way helpful ( security walk ATM 2 am , terrific bellman ) . great dinner recommendation . what make fantastic jewel Market Street ! everything close , Union Square , shopping Market , Galleria . love Hotel Monaco , pretty sweet ! 
 Jan 5 2007 	 nice location 	 Stayed weekend stay Hotel Monaco . one night due Hotel Monaco book . great location shop close Bart use get city . room large clean . the two double bed comfortable . always mini bar great set kimpton hotel . I ' m & quot ; intouch member & quot ; Kimpton hotel recieve & quot ; welcome back & quot ; snack management evening . nice touch ! also turn service chocolate love . robe room , plenty towel . would like room view Market container store complaint bad . love Kimpton hotel ! 
 Jan 3 2007 	 5 star overprice 	 stay August 2006 . hotel great location Union Square , Cable car tourist distric within walking distance . however hotel restaurant expensive get room average size . upgrade take advantage Hot Tub , unless San Fransciso 4 day , will not get time use not bother ...... 
 Dec 30 2006 	 Pleasant business - orient hotel 	 book one Amex conference . completely pleasant , nothing ordinary . not much time shopping , see totally awesome location big shopping chain ( Saks , etc .. ) . one good thing 's close proximity tram take Ocean Beach , absolutely beautiful . staff lovely helpful ; forgive , love next door large Container store , Canada have never see . smallish room , unlike Manhattan hotel . 
 Dec 18 2006 	 Great City Hotel Experience ! 	 not quite sure expect hotel , never even hear . friend book hotel us recent stay , say pleasantly surprised . moment walk chic , hip lobby , strike kind courteous desk staff . atmosphere upscale hip , would appeal anyone demand good service style , business pleasure traveler alike . the room clean spacious , fabulous leopard pattern carpet wonderful Aveda toiletry wait we attractively decorate bathroom . everything good working order room , bed extremely comfortable . bellhop bring thing quickly every request meet timely courteous manner . my favorite part hotel amazing mini dinner Fifth Floor Restaurant . restaurant full holiday party goer guest , not reservation . however , hostess accomodate we question ask seat soon get crowded room . chicory salad sour dough encrust mackeral , outstanding , well - prepare , tasty , beautifully present . service restaurant impeccable front desk / room attendant , courteous , prompt professional . good food ever pleasure eat hotel restaurant . overall , hotel real find City , upscale low - key elegance , wonderful cuisine , super service . would come back service alone . staff , valet front desk , deferential happy accomodate every wish . hotel fairly new , ' m sure become SF landmark year come . want wonderful , city chic hotel experience , one ! happy Staying ! 
 Dec 11 2006 	 really 4 star 	 husband stay different hotel Union Square area , disappoint Palomar . excellent location , hotel leave bit desire . room seem tired , small , pillow cover either lint white dog hair . staff seem interested hospitality- seem unresponsive stand front desk wait help ( finish personal conversation help ) . wall thin . like boutique - hotel feel , place ( enjoy leopard print carpet ! ) look comfortable , 4 star hotel , look elsewhere . 
 Nov 30 2006 	 average stay central hotel 	 stay central hotel , average , close enough centre . service fairly decent , find basic miss hotel 4 star . easy take ' streetcar ' wharf take No.30 Chinatown . nice trip , whether hot early November . could not wait get back peace tranquility hotel . expensive eat hotel , go Chinatown . restaurant average SF . airport - watch shuttle bus ! con take one , even appear nice shirt tie , driver dodgy , aware . cost $ 35 , shoud $ 32 , well take taxi , actually cheap ! ( $ 32 ) . finally book online via travelocity get good deal , also get tonne spam , sure use email do not care . travelocity , naughty naughty , spamme , sell email make money ? tut tut , book next time , hope learn next time . overall would say average hotel . probably good hotel ever stay holidayand extremely fussy ! perhaps convenient want walk around abit . 
 Oct 26 2006 	 stylish hotel 	 boyfriend stay Palomar early September . first hotel San Francisco ( stay four night split two hotel could sample two different location ) . beautiful hotel . stylish . great interior ( especially & quot ; restaurant & quot ; floor ) . loved floor lobby . staff friendly . location great , especially want go Museum Modern Art , block away . easy walk Union Square lot place . easy catch public transportation also . 
 Sep 8 2006 	 nice property 	 stay Palomar quite , 9 night attend conference city . access hotel via BART system bay airport easy 's stop across street . check - in fast pleasant , lobby small , well turn out . our room nicely appoint . though , artfully do , finish , textile carpet look little tired need touch . one annoyance lack proper dresser bureau piece storage furniture tv armoire also house mini bar , book , etc . bathroom & quot ; ok & quot ; .A couple annoyance , access public transport nice , prominent stop right front hotel quite often day sidewalk pack people wait bus , also housekeeping service start ok , slowly become inconsistent week unfold . the front desk staff helpful , attentive able answer question city , etc . free WiFi , pay option hotel comparable quality area , nice well . this great location shop Union Square area restaurant , etc . also , quiet hotel ' ve ever stay SF , particularly 6th floor room Market St. I would probably stay , though less $ 219 reserve hotel website . 
 Aug 29 2006 	 Priced Lacking Customer Service 	 recently return distressing stay Palomar . excited stay reputation customer service positive review . book hotel 's central reservation line . give we rate pricey , include parking breakfast . check say mistaken parking include . try clear tell manager duty call central reservation line ( confrime note file computer system , understand correct say could nothing help , would sort hotel . ) , one available either hotel central reservation help sort out . in end , write note day manager . unavailable morning , leave voice message room say wrong . talk person , ask check file , find indeed note say breakfast parking include . anyone front desk bother check note computer reservation , would see ( refuse ) . however , late , time sort well past breakfast . end , offer discount room service charge previous night . , save siutation . feel disrespectfully treat , end tear . customer service put real pall stay , end spend couple hour precious vacation time try get honor commitment reservation department make . disappointing . discount room service charge way make disrespectful treatment , lack coordination hotel reservation department . overall : staff ( concierge , bell wait staff ) friendly helpful . frontdesk management helpful . hotel unique , wear around edge . allow pet , dog hair ottoman room . the location nice . view room internal courtyard face room , could open window room . restaurant dinner organic local food wonderful . agree previous reviewer ... pocket bathroom door small room allow privacy . overall , disappointed customer service rudeness . would recommend anyone stay . decent property , thing like happen commitment correct misunderstanding make whole experience upsetting . pay amount money room , expect far well customer service . also , expect promise central reservation department honor , argue front desk . price , well hotel well customer service . 
 Aug 24 2006 	 Got sleep floor 	 terrible experience . book double / double room , check , ask cot son two teenager sleep double bed successful far trip . ask could get either another room , get cot tell would problem give we cot . 9:30 get back hotel dinner , cot . upon call see deliver tell run would send blanket one son sleep floor . not know happen 3 pm check 9:30 phone call - never get satisfactory answer , even go past front desk night manager . , hotel purely mid road high end price . location fine , nothing spectacular . room ok , exceptional . pocket door bathroom offer little privacy other room could hear everything ! everytime houskeepe staff clean room , leave two towel , constantly call desk get tow towel send four we staying room . the Concierge fantastic - always great suggestion fun place eat get around . good part stay . we would stay Kimton hotel , go back Renasainnce Fairmont always treat well , seem want return business . plus not sleep floor . 
 Aug 21 2006 	 Great Location 	 stay Palomar 4 night head Las Vegas . find staff friendly , arrive world cup start want catch game , staff give we list game / what time channel . find food expensive not eat can not comment nice not . location winner hotel , lot shop nearby bar / restaurant . go fishermans wharf time mean taxi ride remember normally $ 12.the fall find size room tiny . would prefer large room . 
 Aug 20 2006 	 great ! ! ! ! A+++++++++ 	 Thanks TripAdvisor . excellent location , nice room friendly staff . could well , A++++++++++ 
 Aug 14 2006 	 Perfect Location San Fran 	 familiy six stay 4 night Hotel Palomar connect room . room average service superior , especially bell desk staff . the bar nice drink . would recommend eat breakfast elsewhere service slow food expensive . eat Lori 's Diner first day find service expense line . the Union Square area within 1.5 block . would stay next trip San Fran . 
 Aug 10 2006 	 great Find - Thanks Trip Advisor ! ! ! 	 stay hotel first night San Francisco . hotel staff extremely friendly helpful . great location . lot shopping restaurant , walk distance . room nice bed extremely comfortable . would DEFINITELY stay ever town ! ! ! 
 Aug 7 2006 	 wonderful hotel wonderful staff ! 	 since first visit San Francisco , decide would fun stay two different hotel . choose Palomar Harbor Court hotel , accord TripAdvisor , similar traveler satisfaction . certainly experience , wish stay Palomar entire trip . the Palomar good staff hotel ever visit . everyone , bell desk concierge friendly , professional , knowledgable . book Executive King hotel 's website check upgrade Room 816 , beautiful room large window overlook street . concern first noise street would bothersome not . night not hear anything sleep great . bathroom nice , thoughtful amenity like magnify makeup mirror ample room put personal belonging . room comfortable decor beautiful , also fun , leopard print carpeting . bed comfortable high quality bed linen . four bed pillow , something really appreciate . pretty room mean nothing we , though , hotel staff not . staff great , feel welcome pamper minute walk . use concierge ( Yeme ) several time give we great advice nice . also ask direction several time bell desk helpful accurate . the location great , not rent car . walk everywhere , take public transportation easily accessible . couple tip important - plan visit Alcatraz , sure buy ticket blueandgoldfleet [ & quot ; & quot ; ] ahead time . many people try get ticket could not - sell . also , want take wine tour plan use tour company limo , would well choose company ahead time make reservation . company want use ( recommend Yeme ) sell weekend , go someone else . ok , glad , would well . good meal Scomas , Pier 47 . great seafood ! pleased hotel definately come back next time go San Francisco , hope soon . beautiful , wonderful place ! 
 Aug 1 2006 	 Best Bathtub world ! 	 stay suite Palomar recently nephew great time . amenity could want , great room service ( use abuse ) wonderful decor . chill friend , watch dvd 's , drank champagne spoil rotten . good part far Fuji soak tub . swing room one tub ! ( luxury king suit ) ' m big girl hotel tub not cover part tub huge , completely cover neck . could swim . know be two tub funn place world ? be tub . provide toy . take three bath 24 hour . 
 Jul 28 2006 	 Jem find 	 lovely location , quiet setting . overall lovely experience . like : clean roommodern decor awesome ammenitiesgreat TVservice greatadequate gymgood locationnice bathroomdislikedsmallish room , not mind well furnished , clean quiet $ $ $ restaurant 
 Jul 18 2006 	 Nice Hotel 	 recently stay Hotel Palomar eight night business . room : average size San Francisco . aveda product . clean sheet . bed comfortable W.Service : staff hotel friendly helpful . great staff . gym : tiny gym . three cardio machine universal system . offer $ 15 day pass local gym . food : breakfast hotel . food good . I would stay hotel ; however , hotel might comfortable bed . nice hotel , good hotel San Francisco . 
 Jul 16 2006 	 great Stay Hotel Palomar 	 boyfriend get back two night stay Hotel Palomar . first trip San Francisco choose hotel base previous review . say thank post review hotel right . hotel great . tip advice consider hotel stay San Francisco : use advice previous review parking structure 5th Mission work great . block hotel half price ( $ 23 day ) would park hotel . want shop , perfect location . every store think within walking distance . , prepare ever change climate . although sunny day , deceive . make sure bring light sweater jacket comfortable shoe . cab little pricey , prepared lot walk . take trolley Fisherman 's Wharf enough . wait 25 minute get Powell Market St unless get seat , will hold dear life . fun experience though . if go Fisherman 's Wharf , highly recommend Chic 's Seafood restaurant . second level Pier 39 . meal fantastic reasonably price . hotel : king bed room . bit small , sleep not matter we . room also dresser , two night not bid deal . also coffee maker room , force we get bed get fresh coffee lobby . bed incredibly comfortable make compact size . room always clean stock fresh towel Aveda product every day . even turn service add nice touch . even though hotel busy area , room face courtyard , not hear street noise night . hotel staff friendly accomodating . overall , fantastic trip great stay Hotel Palomar . would definitely recommend hotel . 
 Jul 8 2006 	 Hotel review 	 Palomar quite 5 star hotel , . would class 4 good . lux king small room locate noisey side hotel not tell booking . reception desk nice helpful , expect 5 star hotel . 
 Jul 7 2006 	 great Stay @ Palomar 	 Palomar small boutique hotel , part Kimpton Hotels locate Market Fourth St . hotel big , 's 9 story high , however , homey inviting . positive : - location perfect , block away Union Square , less block away Sony Metreon San Francisco Shopping Center . - big Customer Service , first thing notice arrive . everyone friendly approachable . always greet we big smile willing help . - check , upgrade Suite without even ask . perhaps member Kimpton ? also greet we welcome bag consist bottle distil water apple . 's big thing , be nice gesture.- stay many different hotel San Francisco , never encounter hotel room quiet . 8th floor could hear busy street . expect hear lot noise , ( even earplug ready ) nice surprise . problem encounter stay : - usually not use shampoo conditioner provide Hotels , Kimpton usually provide great amentine , decide bother bring . shampoo ( Aveda ) really dry hair . big deal really , smack middle downtown , easy walk get regular shampoo . - pillow small . use either queen / king size pillow king size bed , pillow provide standard pillow . small look place large bed.- bathroom nice , tub big enough , however , water tub take forever drain . fact , water reach ankle take shower . let hotel know , encounter problem whole time . toilet not flush properly also . flush least twice three time time . overall , great stay Palomar , likely return . 
 Jul 6 2006 	 Gem San Fran ! 	 find hotel chance via Expedia book give positive review TA . hotel great " boutique " style property situate right heart San Fran . place want see easily accessible hotel either walk tram / train / streetcar / bus within block hotel . outside hotel find pan handler homeless people however , expect anywhere San Fran ( also expect outside Four Season ' block away ) .The property clean stylish without top . room small side clean comfortable . bed great along linen towel . we rent car take day trip Napa highly recommend . winery great food amazing . be 4th July , expect warm weather somewhat surprised cold San Fran . weather report say temperature would around 20 wind / fog like 10 . cold weather enjoy hotel would definitely stay . 
 Jul 4 2006 	 wonderful hotel 	 stay Hotel Palomar two night late June . husband stay room overlook Old Navy daughter , age 14 17 share room face street . room quiet four we love hotel . room spacious , bathroom large plenty room put personal toiletry , staff friendly helpful . location convenient , near various form public transportation . bed comfortable . say great thing hotel , would stay , recommend highly . 
 Jul 2 2006 	 Hotle Palomar exceed expectation ! 	 book Hotel Palomar recommendation friend , expect room nice . room nice , wonderful . long travel day East Coast tour Berkley , arrive Hotel Palomar via BART . & quot ; free & quot ; day BART , Powell St. stop right around corner hotel . check simple quick . love & quot ; small & quot ; scale hotel . service quick . elevator quick . open door find lovely plush room , complementary bottle water apple . room sleek plush - time . ice handy , towel thick , bed ever comfortable . the location work well weekend visit . loyal Starbucks coffee drinker , Palomar coffee good , never make Starbucks nearby . lunch nearby Cafe Claude , excellent french cafe . I take advantage Pilates workout available via tv husband read paper . find stay exceptional . next time get San Francisco , definitely stay Palomar ! 
 Jun 27 2006 	 Thumbs Hotel Palomar 	 ' ve return wonderful , long weekend San Francisco good thing say Hotel Palomar . 's ground zero location downtown SF , ' friendly , polite professional staff wonderfully stock room . room 8th floor face busy Market St. yet could not serene . beautiful view Stockton Street fog roll every evening . apology wonderful staff poor memory name . remember name tag also include artist name choice . one polite employee show room name M. C. Escher name tag . everyone smile polite professional . SFMOMA Yerba Buena Gardens step away Union Square . hotel small workout room nice . also day pass Club one fully stock gym easy walk hotel . Restaurant Recommendations : LJ 's 101 4th martini delicious dinner , Thai House 599 Castro 2223 Restaurant Market number . bustling , stylish place great food reasonable price . Recommended Site See : Asian Art Museum 200 Larkin St . 
 May 24 2006 	 great property great location 	 property refined welcoming , excellent staff fabulous 5th floor resteraunt . location tremendous , allow we dine Union Square , attend musical walk Cubs - Giants game . right around corner Yerba Buena garden within walk distance aquarium . shop within block include crate barrel , AX emporium , Macy 's United Colors Benetton . room well decorate , mini bar nicely stock turn service nice touch . celebrate birthday 5th floor consider one good dining experience anywhere world . highly recommend . 
 may 24 2006 	 Good Hotel 	 girlfriend recently stay Hotel Palomar getaway weekend . hotel nice . bathroom great - seperate deep soak tub . location perfect - 2 block Union Square . bed comfortable . staff friendly helpful . room service excellent . one negative thing would say hotel comfortable lounge area get cocktail . lounge part restaurant Fifth Floor bit stuffy formal ... opinion . I would definitely stay . 
 May 24 2006 	 downtown san fran 	 great location ... easily accessible major venue , nothing spectacular hotel . clean , friendly . quaint , slightly trendy without snobbishness highly favor clientelle W. would stay heartbeat . 
 May 21 2006 	 great hotel 	 get back 6 night stay Palomar thoroughly please terrific service great location . entire staff extremely helpful , courteous friendly . always prompt fulfil request would routinely check back we make sure satisfied . location great shopping ; next door San Francisco Shopping Centre two block boutique big department store line Union Square . never lack great restaurant entertainment venue close ( Sony Metreon , Yerba Buena Gardens , Museum Modern Art ) . will visit San Francisco October definitely stay Hotel Palomar . 
 May 17 2006 	 will probably enjoy hotel ! 	 hotel right Old Navy store Market street , block Union Square shopping , one short block Sony Metreon . the staff helpful friendly . able arrange in - room massage via concierge , problem . room service prompt , tasty reasonably price kind thing . there convenient self - service business center ( internet access , etc ) small health machine facility , look quite new up - to - date , well - maintain . my slight disappointment restaurant . arrive hotel later afternoon , place not open yet . want snack drink , settle something mini - bar instead . big deal , give location midst fine dine West Coast , prepare limited opening hour in - house watering hole . the room clean , comfortable , quiet enough restful stay . would stay time . 
 Apr 15 2006 	 fantastic location 	 could not fault location . family satye Hotel Palomar 3 night find plenty see within easy walk distance hotel . I not feel hotel deserve 's 5 * status , carpet dirty room rather dark . room also decorate taste ( leopard print capret - yuck ! ) not let put ... bed comfy hard get up - down matress topper genious invention ! eat reastrant ( Fifth Floor ) dissapointe read many rave review . yes food lovely incredibly pretentious overly attentive staff . ' m sure place eat much nice atmosphere fraction price ( though good steak ' ve ever eat ! ! ) have tempt stay four season next time , one hotel pass Union Square , equally excellent location . 
 Apr 13 2006 	 one good hotel SF 	 stay three night suite - two adult king bedroom adult son living room . wonderful space , pullout couch excellent ( be 6 ' 2 & quot ; comfortable ) . bathroom huge , shower terrific , big two person soak tub jet . city noise outside , 's expect - hotel quiet internally . we car , valet service good . service , general , problem , be spotty - mean . example : ask coffee maker room , tell would , never see . coffee lobby good , though , give . Alos , manager email advance ask input , tell would like enough towel bed third person ; agree . mention check , end ask yet see pillow couple ratty old ( clean ) blanket pull . oh , & quot ; comforter & quot ; king bed old worn blanket , , encased sheet . generally , space well plan , clean , spacious , comfortable , good lighting . great location walk moma , Yerba Buena garden , Union Square shopping , Chinatown , Embarcadero , lot wonderful restaurant . 
 Apr 11 2006 	 Absolute Gem 	 Palomar simply one comfortable , cosy hotel ever experience , travel lot business . usually stick large chain hotel rely consistency , happy choose Palomar last trip . double room ( $ 259 per night ) vast ( love leopard print carpet ) , good - sized bathroom . although step away Market Street , noise disturb sleep huge bed . arrive room , tv play soft music calm picture waterfall - need gruelle 10 - hour flight London . fixture stylish clean , thick robe closet chocolate every night pillow . I would definitely stay tourist , negative point business traveller . room service breakfast start hot food 7 weekdays/8 weekend . fine tourist , we 8 Sunday meeting 's ideal . find room service food aspect stay let place - dinner first night really disappointing . expensive badly cook . room service food come restaurant kitchen , show . also , business centre hotel , although possible send fax front desk . coffee machine room either , another negative seriously jet - lag . but point make regret stay Marriott across road . ' m use kind personal attention get Palomar , nice change . 
 Apr 3 2006 	 great Clean Friendly Hotel 	 Part boutique hotel line Kimpton , Palomar nice choice SF . even though room small side , clean well lay . location : Union Square ... easy walk distance different part downtown , keep mind relatively close Tenderloins good hood town . close Marriott . room : small sized room tv , dvd player , small table ( function desk ) tiny bathroom ( tub Aveno product though ) . free wireless internet . room clean bed comfortable . service : friendly . front desk maid nice friendly . I would definitely stay . 
 Mar 30 2006 	 Great Service ! 	 recently stay Hotel Palomar business even meet . staff professional friendly . guest room neat clean . meeting room , de Young Boardroom , perfect room meeting . food service staff friendly way meeting . would defintely recommend hotel . 
 Mar 27 2006 	 great place 	 stay three night late March . terrific location step Market Street easy access public transport ( include BART station literally round corner - 30 minute direct SFO $ 5.15 ) .Second Kimpson Hotel San Francisco ( equally excellent Argonaut ) ' ve stay be impressive . Palomar - friendly greeting front desk , immaculate room ( well appoint include dvd player large tv ) perfect housekeeping comfy bed . turn service chocolate . almost noise street - room fifth floor above . bit pricey standard tourist hotel , well worth extra buck extra quality . 
 Mar 20 2006 	 always pleasure 	 recently stay Palomar Hotel weekend birthday celebration . front desk staff exceedingly pleasant thoughtful make every effort make check procedure fast easy possible . the room well appoint , every amenity . bed comfy , sheet soft everything spotless . offer free wireless internet , lot hotel charge $ 10 / day extra for . the exceptional thing happen mention town birthday . hour checking , gentleman door complimentary half bottle wine box truffles restaurant , Fifth Floor . wonderful thoughtful truly make day special . in term location , can not much well San Francisco . 's two block walk Union Square , shop close proximity , BART station half block away . many hotel area , stay other , total package term price , location , amenity service , would definitely give Palomar top mark . 
 Mar 19 2006 	 absolutely Positive Stay Palomar 	 location Palomar perfect stepping time day night - be less 2 block Union Square , lot shopping , restaurant people . ferry Market 15 minute walk , highly recommend - not want walk anymore , public transportation , cable car taxis literally step away . ultimately , staff make stay hotel matter - beyond expectation . hotel partner limo service fantastic - another great suggestion tour city beyond . money well spend . doorman arrange service you . I book king upgrade suite 9th floor - divine . need room spread enjoy view , . walk city day , jacuzzi tub shower take away ache pain . not energy get back dinner , want good breakfast start day right - restaurant 's food great . little high - end price wise , be convenient . bed wonderful , room service great quiet peaceful retired night . not one single negative thing report Hotel Palomar . always choose hotel future visit San Francisco . 
 Feb 21 2006 	 Great Hotel ! 	 stay Hotel Palomar President 's Day weekend , lovely hotel ! room quiet meticulously clean , spacious ( rare find San Francisco ) , well appoint , comfortable bed . staff member gracious , helpful polite , accommodate arrive late hour . addition , location desirable close BART , convenient travel . overall , tasteful , sophisticated , private hotel . the quality would take note , bad definitely matter preference:1 ) pet friendly , fine , except incessantly bark dog across hallway . however , management handle problem promptly . 2 ) quiet , guest keep . word , look lively spot rather private getaway , may good place.3 ) bar open Sunday evening , service bit slow.4 ) concierge terribly knowledgeable . , familiar city , rely concierge suggestion , might consider research prior arrive . 
