Nice 	 stay 40th b - day . got Studio King Suite great rate . nice big room , hardwood floor balcony . comfortable bed great shower pressure . 2 elevator hotel , one big barely enough 2 people luggage . Bellman Front desk staff great helpfull . food , Starbucks , train , Whole Foods , Central Park within step hotel . overall great hotel plan stay future . 
 Mar 17 2008 	 6 Columbus winner ( right price ) 	 wife stay 6 Columbus Sat night March 2008 . hotel look like brand new . small building 58th 8th Ave , right famous Columbus circle corner Central Park location quite central midtown upper west side . styling quite modern staff attentive . upgrade pod room queen size bed free great . say , hotel small building , room little small average , two people not really need space . matter hotel clean brand spank new . would definitely recommend hotel couple child , probably right price . ' ve hear hotel rate average around $ 300 , get greal deal perfectescapes.com $ 145 pod room . may last long hotel gain popularity . 
 Mar 11 2008 	 excellent return trip 6 Columbus ! 	 stay 6 Columbus 2 month ago decide book hotel like experience . also book time quikbook , way get good rate . give 4 star last time trouble sleep 2 4 night . rowdy boy next door even call front desk , manager could get quiet . time totally different . hear anything even near elevator . many room per floor less chance people walk room . book queen room time pod room available alone , one fine . the staff simply good . arrive 9:30 morning give room right away . almost doorman recognize welcome back warmly . treat everyone big compliment pay . not cater trendy clientele , cater everyone .. even 20something model : ) staff restaurant . manager Quint barman , especially Keith , treat warmly even offer nightcap stop evening heading room . great plus hotel feel like linger even . take great care . would love find something complain could write manager hope complimentary night return , can not find anything negative say hotel . fear able afford much long price surely go up.d 
 Feb 26 2008 	 Loved Room Location 	 regular vistor nyc will know hotel expensive probably use craigslist sublet . well be normally - find really good rate hotel 's website - 145 dollar standard room per night . small - lack size make thing . location perfect - walk everywhere - even snow . 's right subway - take train airport - 's 2 dollar 45 minute express train ... be right next favourite store - wholefood - everyday . right park near shop fifth avenue . staff young - trendy - helpful . room nice - clean excellent minibar . complimentary copy new york times everyday - 's way get news outside state - unless course watch cnn ! ! ! 1the bathroom cool - heat floor - fresh brand cosmetic - watch shower - hot - lovely wrap warm cosy bathrobe.all 145 buck night great - would definitely go - stay long someone else would go big room.oh yes bed lovely - 
 Feb 25 2008 	 small cool 	 last minute trip NYC girlfriend pleasantly surprised . stayed & quot ; Pod & quot ; room quite small clean well appoint . bathroom normal size . entire hotel redone chic . hotel bar small cool . , right across street Time Warner mall / building .... right park . get great rate $ 125 / night www.quikbook.com could not pass . would highly recommend property . require space , stay pod room . not plan staying room much , meet need . 
 Feb 20 2008 	 nice little hotel ! 	 please one night stay 6 Columbus . minor computer glitch cause brief delay check - in ( 5 minute ) , upgrade & quot ; deluxe & quot ; room make . staff friendly make point address guest name ( even bellman ) . room small comfortable , bathroom amenity fresh nice touch . $ 199 rate get -- -.com , good deal would definitely stay . 
 Feb 19 2008 	 great experience 6 Columbus 	 great stay 6 Columbus January ! find staff nice attentive . decor fabulous lobby ... 's get young , hip vibe . ( also great food restaurant -- blue ribbon . ) room small w/ view ( least we ) , be expect New York ... , element room nice ... great linen , flat screen tv , fresh product bathroom . complaint might close elevator hear morning . overall , great experience . nice ' m sure will not able afford hotel completely finish ! 
 Feb 7 2008 	 Excellent bed wonderful design good location ! 	 Surprised excellence hotel ; welcome staff , nice atmosphere ( good music everywhere ) , lovely design heavenly bed . ' ve book hotel directly get good deal hotel category . location good many metro - connection , nice area many location breakfast ( Pain Quotidien etc ) . happy stay upmarket area instead Times Square midtown location 
 Feb 6 2008 	 absolutely unbeatable price 	 First , TripAdvisor need immediately correct hotel 's one - star rating well average & quot ; $ 802 per night & quot ; rate . skewed criterion aware . I former native New Yorker , ' ve stay ( follow move ) variety city 's good hotel ... well worst . include one previous incarnation , displeasure see mouse periodically pop head hole pink shag carpet . ( wish kid . ) thankfully shag mouse long since disperse . I receive rate $ 145 / night -- queen room , one now - infamous & quot ; pod & quot ; -- via book directly web site . even consider nosedive NYC hotel rate take January February , 's total steal . say , room nonetheless small , bang shin infernal platform bed multiple occasion . also issue A / c - heat system , reason ' m give place five star . the location next Columbus Circle subway stop make perfect juncture reach area city via subway , although be cold appreciate time year , ' m sure location practically next door Central Park prove major bonus well . Blue Ribbon , unfamiliar city , one good & quot ; minichain & quot ; ( 4 - 5 total ) , 6 Columbus location first uptown . eat highly , highly impressed : 's good sushi city fill formidable sushi restaurant , include infamous Masa across street . sadly , look like management already onto fact price room low : winter rate already 50 % ( $ 215 / night upcoming weekend - site , Quikbook ) . 
 Jan 3 2008 	 big thumb round ! ! ! ! ( visit UK ) 	 visit NYC UK 5 night stay end November / begin december hotel excellent put simply ! staff really friendly helpful ( earth friendly [ - ] kiss friendly ! ) . polite enjoy chatting left morning return later day . concierge really helpful right book table sushi restaurant us block realise one downstairs close Mondays .... pod room , face build back ultimately 's busy street front hotel- know one would prefer ( ! ) . adequate size wise bathroom ( heat floor powerful shower job day ) . bed massive possibly comfy ' ve sleep ! flat screen tv ticket ipod stereo bedside table.location wise hotel can not fault . end walk place nothing 20 - 30 min walk away really- time square 20 min max , 15 not keep stop cross road . sound alot believe enough keep entertain walk around ! yellow cab could got right outside occasion not fancy walk , final day get yellow cab Staten Island ferry port $ 18 spend afternoon walk hotel stop coffee shopping along way . walk stop have look 1.5 hour so . Sushi restaurant bar super cool ( hotel general really ) , pastrie coffee morning bar watch world go good way start morning , tasty sushi evening relaxed surrounding good way end it . the one negative room end corridor ( two room ) - night get bit noise ( lift door & quot ; ding & quot ; door slam ) . reduce close door allow access three room big issue . we use generic hotel book website get decent deal . would happily recommend hotel make return visit future . go London stay hotel call Hoxton hotel similar style , atmosphere comfort . all round excellent . 
 Jan 3 2008 	 small bother 	 staff friendly service orient , one ridiculous 100 + night spend NYC hotel ! first room ( small , hurt turn around ) telephone not work . 3 visit non - english speaking & quot ; facility guy , & quot ; apologetic front desk clerk give new room . room big , least not look onto airshaft cover pigeon dropping . well return room 11:00PM try turn heat take chill 60 degree room . heat . facility guy . room . luck . Sushi restaurant lobby & quot ; happening & quot ; , kitchen function . breakfast stale pastry lukewarm coffee room service 3 - ring binder NYC delivery service . fast Liliputian , great place . otherwise , go street around corner . 
 Dec 27 2007 	 Perfect ! ! ! 	 thoroughly enjoy stay 6 Columbus . hotel situate midtown , opposite Time Warner Centre within walking distance Times Square , Central Park important shopping street . hotel small intimate , staff attentive concierge helpful . arrange fab night we put we guest list . expect pokey room give review , ' pod ' room really not small ... room come comfy bed , designer edible , ipod docking station , flat screen bathroom even heat flooring ( oh amazing power shower ) .The hotel house popular New York sushi restaurant , food pretty decent . hotel street Hudson hotel ( pay visit bar ) also Mo bar Mandarin Oriental ( view city amazing ) .All , can not fault hotel . everything hotel , comfy , central location excellent attentive staff . will New York sleeping spot go forward ! ! ! 
 Dec 20 2007 	 wonderfull room 	 area NYC hotel less ambient music vivid neighbour Hudson . breakfast dinner bit disappointing ( Europeans ? ) room fantastic . spacious , clean , quiet . go back ! 
 Dec 17 2007 	 Quick stay 6 columbus 	 decide visit NYC friend 's party last minute . 6 columbus offering rate $ 258 ( total ! ) , decide check out.the hotel locate southwest corner central park , directly across street time warner bldg . 5th ave within walking distance , well typical NYC attraction . conveniently locate . the hotel staff absolutely charming . everyone extremely friendly accommodating . hotel well design visually ... sleek attractive space . room & quot ; pod & quot ; room . quite small , expect , perfectly clean well design purpose . bed comfy well . critique involve insulation room . room 72 , wind quite loud . could also hear door open closing , etc . certainly return hotel , maybe next time bring earplug . ; ) 
 Dec 4 2007 	 Fantastic Hotel ! ! ! ! 	 hotel brilliant . arrival , doorman ask name party 6 , take bag inside . checking , manageress came ask ok upgrade room see girl holiday ! ! course say yes ! ! room spotless bed pillow comfy ever remember hotel ' ve stay ! night room turn towel , toiletry water replace . it close Central Park , Time Warner building across road nice shop would definitely recommend Porter House restaurant ! get great rate hotel Quikbook.com lucky enough get back NYC , would definitely stay ! ! well worth visit ! 
 Nov 12 2007 	 nice additon midtown 	 busy week NY trouble find room good hotel ( ' m picky ) decide give 6 Columbus try . staff well train , doorman ask name take bag radio inside greet name desk . come go hotel , always address name . arrive around 1 pm able provide room . queen deluxe room . face narrow alley would much prefer noise 58th street . view 58th , narrow street look onto glass building TimeWarner center . room size typical NY boutique hotel - small comfortable well appoint . have rather small nicer room large yucky room . ( want large yucky , give list . ) everything new clean always plus . small wardrobe instead closet not overpack adequate . bathroom small also ( one tub ) manageable figure put thing . might little cramp 2 people , depend well like ! door heavy slam loudly morning early riser will probably hear . room 's central ac / heat nice norm New York . unless new building completely renovate , not much temperature control many NY hotel . like room cold night toasty morning appreciate unit . mention fan loud make good white noise sleep drown slamming door . picture hotel 's website accurate . japanese / sushi restaurant hotel good 's open , go not really big deal . like room service morning , not hotel . coffee / tea pastry lobby 10 am fetch . stay at / check many hotel area one probably one nice . Peninsula FS favorite take step , area want , would recommend . since 's new hotel without much history , email specific question . 
 Nov 2 2007 	 Perfect place venture street 	 stay place girlfriend three night . try find place would suite need trip week finally come upon 6 Columbus . reserve Pod Room ( due limited budget ) completely happy . upon arrive greet extremely polite staff . everybody work hotel friendly helpful throughout stay . the room clean , nicely design comfortable two people use place relax hit street New York . morning find coffee selection good tasting bake good lobby . location perfect . walk distance everything midtown Manhattan right SW corner Central Park . subway station across street . several shop restaurant around . would stay anytime . 
 Oct 30 2007 	 new hotel old building 
 Oct 28 2007 	 Working Kinks 
 Oct 28 2007 	 Great New NYC Boutique 
 Oct 28 2007 	 soooo Hip ! 
 Oct 28 2007 	 tiny chic boutique hotel 
 Oct 24 2007 	 good stay quirk 
 Oct 22 2007 	 Good Location Great Staff~ great boutique hotel 
 Oct 16 2007 	 great new place 
 Oct 15 2007 	 Trendy yet comfortable ! 
 Oct 12 2007 	 New Hotel Lots Potential 
 Sep 27 2009 	 Gute Lage aber alle I m Mini - Format ! 
 Jul 29 2009 	 Super Hotel günstig gelegen 
 Jun 17 2009 	 Excelente ubicacion para la primera vez en NY 
 May 26 2009 	 Emplacement idéal chambre super ! 
 Dec 10 2008 	 Carino caro ! ! 
 Oct 4 2008 	 6 Columbus 
 Jul 29 2008 	 deconseiller en famille 
