great 	 right middle downtown , next metro station , could not ask well location . however room nothing special . king bed pull couch suite ( small kitchen ) . nothing blatantly wrong , little thing show hotel luxury one . appliance date work fine . bathroom tiny need update . little hole bedsheet . one power outlet work . list go , none thing really impact stay . deal staff much can not comment helpfulness . it be convenient place great location good price . work we , not stay expect luxury 
 Jun 28 2007 	 Pleasant stay exactly expect 	 hotel locate within 5 - 7 minute WALK museum fine art , shopping / restaraunt / cinema Rue St Catherine , Queen Elizabeth Ritz Carlton hotels Peel metro stop . location certainly great def . need car get around , please note , hotel walk distance Vieux ( old ) Montreal botanical gardin etc . many hotel site list attraction though within arm 's reach . Peel street metro , need switch another metro line stop get old Montreal ( cobblestone road , water district , Notre Dame etc ) . grant 15 minute ride Botanical Gardens / Olympic Stadium 10 minute ride line , be exactly one place . overall , happy location , 's ton hotel McGill Univ . area well old Montreal equally accessible attraction near metro stop , would suggest make pick base upon weigh consideration . the Hotel , , somewhat date semi - pleasant staff . elderly man check we , print form we sign french ask sign exactly , give big huff print another one english . female reception wear shapely glass also refuse help make reservation depart aerobus ( airport shuttle ) state do 24 hour advance , bs cause never relay we initially airport shuttle folk take we hotel another female receptionist succesfully make reservation we within minute . manager , Claire , nice though explain extenuate circumstance require we checkout day early . also young boy blonde hair helpful tell we nearby attraction direction . housekeeping staff nice bring we extra toothpaste take away TSA ( even though & quot ; travel size & quot ; - TSA manage always put damper trip nowadays ) . overall , staff pleasant , nothing extra special . bed , bathroom , sheet comfy / clean beautiful rooftoop view / pool . room couch state travelocity booking , cob web , dirty balcony sink fridge closet ( kitchen ) . tv barely 19 inch . plan spend much time inside , be bad . problem outside two day , work well . stay 3 + day , may want nice hotel stay inside nearby attraction easily cover 3 day . even time see movie nearby cinema - cheap ticket , $ 9 2ppl evening . tip : would recommend get downtown shuttle airport ( $ 24 roundtrip ) . not try find train switch metro , may save $ 10 buck , be pain b / c train quite walk airport . would recommend avoid grey line tour unless be look kill time . guide good discuss important fact , say 's mind stuff cover foot metro . would recommend botanical garden/ insectarium . animal dome across ok , . Notre dame Old Montreal def . great check . easily cover old montreal half day half day botanical gardens area . stretch full day , . eat lovely , reasonably price , vegetarian friendly place feature travel network old montreal : [ -- ] good crepe / fondue / quiche joint local nice atmosphere . all , quick , fun trip . 
 Jun 20 2007 	 poor hotel ! 	 love location hotel . busy fun city , lot 's see . : ) not experience lot major problem hotel , deffinitly lot hide fee . think rate hotel high ( 115US $ ) service hotel , good service employee , room dissapointe , travelocity quote 3 star hotel , ask housekeeping rating , tell 4 star hotel , make laugh : ) website also not include extra $ 23 CA parking , large enough fee need include . phone room charge call $ 1.00+tax every call make ( 800 # 's even local 514 ) . view great look directly Sherbrooke Street : ) nice , parking attendant nice people hotel , want tip ofcourse : ) would not recommend hotel anyone , not enjoy stay . kitchenette dirty , old . breakfast expensive , 15 $ breakfast , be expensive ! would prefer next time stay BestWestern DaysINN . wish know check website actually order hotel . : ) 
 May 29 2007 	 People make difference 	 great city good hotel . Cantlie good inexpensive hotel enjoy close downtown . montreal wonderful city lot fun . like europe east coast . definity go back , be great city walk around especially old part city narrow streeet . hotel nice really stand great people hotel . try get around city clerk take tthe time print map we tell we old port area . not speak french everyone meet speak english wa not problem . 
 May 6 2007 	 pleasantly surprised 	 spend weekend Montreal family reunion . one relative pick hotel place would stay . live near Montreal stay many hotel hear Le Cantlie Suites . therefore somewhat concerned tell would stay . concern lessened read decidedly mixed review site . pleasant surprise . first , problem parking . review , think might shortage spot would go private lot . simply turn corner Peel Sherbrooke turn right alley behind hotel lead underground garage . pleasant attendant right . upon exit car proceed foot elevator bring we directly lobby . quick . lobby check friendly desk clerk . think lobby nice also know many hotel renovate lobby pleasant new look get room , another story . well , walk room surprise large nice room . mattresse comfortable bed immaculately clean . turn , stay upscale Marriott Le Chateau Champlain previous weekend room Cantlie Suites almost twice size . two high back sit chair well . drink second floor bar look directly onto Sherbrooke Street . absolutely lovely bartender could nicer . realize one stay give wrong impression -- either good bad , base weekend could defintely recommend hotel . not know soundproof room other complain . end room therefore , one room next maybe room vacant quiet occupant never hear noise . yes , elevator small four never long wait . yes , bathroom small minor concern . clean water pressure shower good . location Sherbrooks excellent . next block Sherbrooke Ritz - Carlton . next block side Omni . directly across street Sofitel . bad company . perfect location , far enough away noise seediness St. Catherine St . 
 Apr 24 2007 	 Quick Convenient 	 Cantlie Suites decent hotel convenient location downtown . room stay clean everything may need eg . iron , iron board , microwave , bar fridge , sink etc . kitchenette big , not plan cook extravagant meal , warm leftover . first arrive , staff seem welcome , however , one front desk lady nice helpful we afterwards . recommend place we eat get convenient store upon return ask we enjoy restaurant . one drawback find hotel surcharge wireless internet . brother bring laptop want access internet . however , order we access internet pay surcharge $ 10 twice . find hotel convenient , comfortable , good price . would recommend hotel other . 
 Apr 11 2007 	 horrible ! 	 AWFUL ! screw booking room terrible mention staff rude unhelpful . tv room be not work , food resteraunt pathetic gross , bathroom never clean remove mold , tiny door do not open way . never pick recylcee sit stank whole room . nevr help luggage struggle baby . instead remove money account debit credit money account instead ...... mess bank account . door never work struggle open . front desk staff phoney rude . never stay strongly advise anyone else either ..... quote price phone charge double arrive . what kind hotel try throw woman baby street middle snow storm 130 morning dosnt $ 2100 instead $ 908 quote ? pathetic ! 
 Jan 5 2007 	 nice stay . 	 stay Cantlie NYE weekend . got ridiculously cheap rate ( US $ 85 ) orbitz day check - in . rate good queen bed sofa bed room . room spacious locate 23rd floor . elevator & quot ; european - ish & quot ; small high floor advantage check since get first floor we wait another elevator . the staff cordial concierge try well help we schedule NYE event ticket . way late game really fault book first choice early . nonetheless , ready willing help . can not mention parking end park free street right outside . ( e.g . Saturday 6 pm free , Sundays free , Monday free New Years Day ) . yes , hear water run pipe time not bad . room clean , bathroom clean , fridge quiet operational , housekeep fine . US $ 85 / not NYE weekend , complain one bit . why give 5 star review ? slightly date renovation would nice . , would stay good rate since close Crescent , St. Catherines , Subway ( Peel ) . 
 Nov 11 2006 	 show Wear could not get Flop House Price U.S. ! 	 stay two Queen bed mini suite early November . property certainly show age , great deal great location ! room spacious urban standard kitchenette useful . minor problem : tv remote would not work enough towel . time , call front desk result hotel employee door ( 18th floor ) less five minute . case tv remote , could fix man bring new tv functioning remote . maid service adequate problem noise whatsoever . bed certainly soft use , sleep well . eat restaurant order room service since many good restaurant area . ( N.B . cab fare Plateau area Montreal -- North Sherbrooke St. Denis -- get great inexpensive french restaurant bistro ) . read reviews Tripadvisor booking trepidation , quite pleased hotel . would encourage anyone see hotel book New York $ 300 / night ( pay CAD $ 119 room ) ; comparison show reasonable hotel . would highly recommend family traveller . Ritz - Carlton one block west wish ( willing pay ) luxurious dig . 
 oct 9 2006 	 good location lot annoyance 	 Recent stay Le Cantile reveal many truth previous review post . yes , minor severe annoyance must prepare stay hotel . first , wall thin hear water pressure one temporary neighbor decide run shower . however , sound provide nice ambient noise cover interesting sound , include : hotel guest slam room door door stick difficult close ; maid incessantly knock door every 30 minute begin 9 weekend ; old rundown refrigerator room rattle hum night long ; , could forget , 3:30 crank call drunken group high school student stay diffierent floor . annoyance include fact practically parking available . drive SUV , forget , prepare pay upwards $ 25CAD per night lot street . elevator nice cozy , get enjoy sweet smell lady parfum whiskey saturate many young american guest . want A / c fresh air room ? go outside , doom suffocate stuffy room zero circulation . , great time . get ridiculously bline hotel meet purpose . enjoy ! 
 Sep 16 2006 	 great choice 	 recently book hotel online family vacation turn wonderful surprise . book executive suite we one child another room friend . room large , clean comfortable . sleeper sofa suite make call desk within 15 minute do . hotel right middle great restaurant nightlife block underground subway . staff attentive one night head handed umbrella concerned might rain . limit parking hotel fee staf member direct we nearby lot cheap hotel . criticism small elevator . 
 Sep 5 2006 	 Good Choice 	 hotel good choice 3 old friend get together little & quot ; girl & quot ; time . since none we ever Montreal , frame reference , go mind open good attitude . upon arrive , give choice floor view . hotel busy whole stay , however , request make deal quickly front desk . fact , somewhat minor issue could not resolve , number employee attempt remedy situation , give option move identical room one floor us bill discount . thank Sam ! yes , old hotel little wear around edge . get pay . perfectly comfortable , clean suite nice view lovely , safe neighborhood . bed linen crisp spotless . refer pullout bed sad little blanket . shrugged take turn sleep thing , complete bar back . thing comfortable pullout sofabe ? yet meet one . average bathroom offer plenty counter space 3 woman paraphranalia . clean everything function . , not cook kitchenette . vacation ! great store drink snack perfectly clean . oh yes , wash cup leave certainly concern penalize ! a / c quiet , guest , noise not problem . believe , hear pin drop across room ! rooftop pool / terrace everything would read review . pool actually warm air stay not much time lounge / swimming . fitness room . time . room service deliver timely manner . agree previous post quality food mediocre well nearby establishment . overall , stay enjoyable , make courteous way treat nearly everyone interact Montreal Le Cantlie Hotel . will back Montreal ... 
 Sep 4 2006 	 South Jersey Montreal Great Time 	 go family 7 ( , wife.mom & amp ; dad 80 , sister , nephew niece ) 3 day , 2 overnight , great location , clean room , great front desk service , answer every question give we map every question location , let we check early ( 4 Hrs ) late ( 1hr ) charge . park car 2 night take cab walk , staff would call large van group . montreal expensive shop around ask question deal . biodone great place fun kid . go back hotel recommend friend . 
 Aug 29 2006 	 not stay 	 okay , will start nice . front desk people knowledgeable . hotel lovely area . bread shop someone mention early delightful . pool nice view . enjoy hotel regret take family . feel hotel run shoestring worth price . 's : 1 . quote one price telephone promise discount & quot ; record & quot ; get , would not give . yes , get writing , believe next time , not problem sort thing past . 2 . room cramp furnishing date appear advertisement . 3 . hallway dark whole place not seem freshen . 4 . promise & quot ; european kitchen . & quot ; well , feel sorry people Europe mean apparently feeble stove take forever heat , toaster go straight raw flame , refrigerator keep food barely colder lukewarm , bare minimum material could cook ( i.e ; microwave , maybe two pot , two spoon , etc . ) . nothing kitchen -- really pathetic miserly collection odd end . furthermore , find note add , add $ 50 kitchen area spotless leave , intimidate rude . nervous not provide broom anything like sweep . try clean floor leave one rag provide , pass apparently stringent inspection ? knows.5 . everything seem second rate . one ice machine whole building . not work . two washing machine . two drier . one washing machine break . spend eight dollar dry clothe , take afternoon , still not work . one three tiny elevator stop work least half day . basically , stay cruddy hotel cast pall experience wonderful city . want great time Montreal , stay somewhere else ! ! 
 Jul 20 2006 	 nice little hideaway 	 get back nice 2 day visit Montreal . stay Le Hotel Cantlie Suites happy . great location close many nice shop , restaurant transit system . room clean fairly large , bedroom 2 double bed sitting room pull sofa bed . also contain kitchenette ( build closet ) fridge , stove cook top . use fridge , nice know need heat something could . downside room somewhat small bathroom , small tv bedroom tv sitting room .We two child age 10 12 us love pool roof , big ( go 4 8 foot deep ) cool also great view city 28 th floor . problem able get good signal use hotel wireless internet ( 11 $ day extra ) 3 time call tech support finally determine close elevator metal blocking signal . hotel gladly remove charge warn need wireless internet get room away elevator shafts . staff help full front desk clerk happy give direction go way help we way possible . overall would say good hotel would return future trip Montreal 
 Jul 9 2006 	 upscale place use . 	 upscale place use . nice place extend visit little Kitchenette nice great view roof top pool . little pricy figure parking worth . compare hotel area . staff helpful . arrive early morning although ' check park around corner order able see Canada day parade . parade get check early .excellent location tourist close metro stop . far walk jazz f either . might next year . I would love stay next visit Montreal . 
 Jun 17 2006 	 Excellent Hotel Staff 	 stay Cantlie Suites Montreal June 15th-17th . hotel nice think price room . ( book travelocity.com ) hotel lobby nice bar contemporary . room quite large . leave note housekeeper gladely leave another set towel extra glass . front desk staff nice courteous . read review travel , yes old manager morning nice rest . hotel excellent location . previous review complain expensive parking , guess not ever stay hotel major city .. evening , front desk staff nice help direction great restaurant , metro stop , great shopping . 18 , still treat nice compare 4 5 star hotel ' ve stay past . young evening manager young female desk clerk answer question city . Hotel Le Cantlie Suites excellent place stay idea anyone would disagree .. guess people never happy .. definately stay Hotel Cantlie future trip fabulous city Montreal . 
 Jun 15 2006 	 nice clean great location 	 nice hotel . clean spacious , furnishing bit outdated , still good shape . breakfast include rate , go buy thing . kitchenette ( separate little room / closet , nice ) could store thing prepare coffee . not try cook , though ! locally , lot ethinic restaurant , cafe free wireless internet , shopping . walk everywhere Montreal location -- like walk , need metro , be handy . park attach lot $ 20 day . however , could get car use -- leave duration . it be good location . one suggestion : book hotel $ 120 night last minute deal Montreal Tourism website : [ -- ] Click & quot ; last Minute Deals & quot ; main page , get lot nice offer . 
 Jun 9 2006 	 People make difference 	 husband travel quiet bit delighted find hotel stay Montreal . staff front desk polite always smile face . helpful direct we various tourist location unable find . especially like breakfast secound floor level look mountain . significant thing notice hotel size room much large standard room hotel . stay Chateau Frontenac Quebec city could open entrance door hit bed . rarity find great location within walk distance many attaction generous room sizes defiatley stay Le Cantlies Suites againt . 
 Jun 5 2006 	 bad hotel ever stay 	 stay Le Hotel Cantlie Suites one night June 2006 bachelorette party bachelorette party weekend away rest relaxation wedding ruin stay Le Hotel Cantlie Suites . never treat poorly hotel staff entire life stay hotel around world . when check 1:15pm 3 room ready even though ask early check . instead apology offer rest lobby upstairs lounge , tell hang downtown room ready . finally 3 room ( 2 regular room large suite ) ready , minute later tell actuality 2 regular room ready large suite ' ready 4 5 pm . decide kill time shopping . return give room key large suite . unlocked door walk someone else ' room ! luckily one personal belonging place . run hotel staff member tell situation tell " work front desk " hop onto elevator . go back front desk , snatch key say never receive ' know guest stay another night ( ' job ? ) give another large suite 4 floor 2 room guest split point weekend . when get back evening try pull couch sleep realize broken front desk concern charge we extra person charge find we another place sleep 5 am . another hotel guest offer room we feel sorry way hotel staff treat we . conveniently , staff ' find policy document sign . hotel would send one cot one girl sleep break pull couch fold like ' v ' . upon check , notice charge 2 extra guest ( even though one extra guest ) try explain happen night break pull couch . Sam check another guest , jump conversation say due one noise complain receive , may lose business go adjust invoice basically tell shut . shock embarrassed hotel put though : room , ready time , room different floor , give key someone else ' room , break pull couch , charge 2 extra people instead one ; one scold . never incident complain even raise voice . never difficulty ever apologize . I would recommend , family friend never stay Le Hotel Cantlie Suites . hotel worst ever stay . staff incredibly rude disorganized policy wash dish hotel room charge $ 50 . know past guest put dirty dish back cupboard see dirt fingerprint many glass . 
 Jun 2 2006 	 Great Hotel Price 	 spend 4 night Le Cantlie Suites relieve reading review . staff attentive friendly . room roomy , clean comfortable . 1 bedroom executive suite ( $ 209 night , cad - great price get ! ) yes , kitchen bathroom date , clean , everything work good water pressure shower , turn knob make half water run tub faucet keep blow away . like fire hose , prefer light mist . travel teenage step - son great seperate bedroom , really seperate . ' ve stay room hotel call one bedroom suite , door bedroom , glass door 's consider suite . Le Cantlie also bathroom outside bedroom great not knock door middle night kid need bathroom . People look use kitchen keep beer fridge make coffee morning aware dish ( not remember pot & amp ; pan ) salt & amp ; pepper anything like . provide coffee couple coffeemate & amp ; sugar packet 's it . we try order room service first night hour later , nobody show decide go instead problem cancel order . think little embarrassed take long . leave note ask extra towel always leave full extra set . room keep spotless nice sheet towel , apparently ' ve update since person say nasty shape stay . pool roof nice . water little cold , outside pool , Canada May . not swim husband . be clean , lot chair & amp ; chaise lounge really pretty view Mont Royal & amp ; Olympic Stadium . bring couple beer ( also cup not look like beer - alcohol sign pool ) turn place BYOB happy hour . feel 's policy 's enforce someone get rowdy , people young drink everyone sunset drink hand . thing would keep stay location . anything wrong , walk distance lot nice restaurant , great bread & amp ; cheese shop Rue Peel call Au Pain Dore ( love place ! ) short walk Information & amp ; Grey Line bus tour stop , come back , would like stay old city . 's pretty disappointing come back real , modern city spending time old city . say easy get back forth . walk take hour , stop quite shop way . not try metro say $ 2.60 person 3 we , not much take taxi . never problem get cab anywhere city . also lucke beautiful weather Memorial Day weekend . 
 Apr 30 2006 	 disappointing 4 star 	 stay two night . postive big room good AC . Downside seriously date bathroom kitchenette , lift graffitti scratch door general air need money spend . see balcony lock ! ! would choose somewhere else price 
 Mar 22 2006 	 Disgusted Le Cantlie 	 go boyfriend visit Montreal stay Le Cantlie hotel . picture online make hotel look decent . think since 3 - star hotel , can not bad . well , wrong . disgusted hotel second walk lobby . lobby wreak like body odor . staff annoy question . room poor condition , consider maid failed notice $ 1 canadian coin floor . sheet rip stain . shower head weak , mist come . towel huge red lipstick stain , yet fold nicely top counter instead place laundry machine . appal ' ve experience Le Cantlie . ' ve well experience 2 - star hotel . would never recommend Le Cantlie anyone . good thing location heart downtown . every hotel street ( Sherbrooke ) much well . definitely book elsewhere , extra dollar well worth . 
 Jan 23 2006 	 be not bad would reccomend 	 go Montreal bachelor party past weekend must say read review bit skeptical go anyways . Noow say bachelor party stay must rowdy place , opposite everyone sign party policy room hotel quiet . they upgrade room free room livingroom almost half size apt nice give 12 guy someplace gather room .. could not park rent van garage cost we 30 buck park street . however make we aware ahead time .. arrive saturday 2 gentleman working could not friendly help we question nice , however can not say 2 lady work check out . they seem like could care less feel kinda rude . room nice bathroom small showerhead need major repair water pressure good that s plus . the kitchen alittle rustic looking be not cook dinner nice sink full size refrigerator 2 tv . overall i d stay reccomend people look someplace quiet stay location sherbrook walk peel street 2 3 block voila ste catherine street .. need say ... fun hope help anyone whose look go . 
 Jan 6 2006 	 Outstanding ! 	 stay 7 night Christmas everything absolutely superb . beautiful foyer , spacious , bright room , great bathroom exceptionally friendly helpful staff . good hotel ever experience Canada . a+++ 
 Dec 4 2005 	 great stay 	 Stayed Le Cantlie two day love . location great . two block St Catherine street , main shopping area 4 block Crescent st lot bar nightlife . hotel lobby quite impressive quite beautiful . room oversized provide great view depend location room . get either view river , mountain , alley . view alley unfortunately , however size room amenity make . room find good size fridge , kitchen sink , small stove . also plenty closet space . bathroom bite small clean well stock shampoo , soap plenty towel . front desk staff helpfull , answer question . come Montreal good time , hotel . however hotel add experience . would absolutely stay would recommend anyone . Ritz Carlton nice hotel value excellent . 
 Nov 14 2005 	 will like ! 	 spend several day couple friend . observation well comment early review . opinion subjective course , find super property . arrive early , bellman store luggage . return check , finish process , bellman wait elevator luggage . request make bedding make sofa - bed , housekeeping appear within 15 minute insist make sofa , despite protestation could manage . valet parking ( folk come surprised pay parking hotel ? ) attendant great . prompt service , direction require usually humorous comment . thank guy . the room spacious clean . date ? suppose . certainly abuse worn . kitchen ? not use seem serviceable , small . elevator ? 17th floor think . elevator always available . small complaint ! one tv bedroom . good three guy want watch different game tube . the hotel location great , not spend time Montreal , 's city . I plan use Le Cantlie Hotel week time . like hotel . 
 Nov 14 2005 	 good hotel 	 arrive hotel , ask room view give we one 21st floor good view Mount Royal north . room spotless . Windows floor - to - ceiling plenty daylight room . southern exposure room look river must even dramatic . they let we check 2 hour publish check - in time 4 pm . staff courteous . three small elevator building could problem busy time . room regular key oppose card access , stand line checkout turn key get final bill . parking underneath hotel $ c16.95 per night . check around hotel charge something extra , big deal . the breakfast restauant mediocre expensive . recommendation breakfast small restaurant St. Catherine St. half cost well service . not eat restaurant meal can not comment . way , restaurant St. Catherine St. surround area absolute bargain compare U.S. restaurant . check menu price window walk in . my complaint tub drain slow ankle deep water end shower . the location hotel perfect . walk one block north McGill University walkway path Mount Royal . St. Catherine St. two block south . Bell Center four block south . subway entrance one block away Peel . Peel center everything Downtown . Access Underground Stenza 's corner Peel St. Catherine . we book room Orbitz $ 108 per night . money location , not much complain hotel . want ton amenity fine dining , not stay . 
 Oct 29 2005 	 Perfect Shopping Location 	 recently spend 5 night property . the Hotel well locate heart Sherbroke Street , busy road Montreal . the room well appoint spacious cozy . the problem hotel kitchen ancient run down . otherwise nice hotel . 
 Oct 16 2005 	 please Le Cantlie 	 spend three night studio suite 22nd floor . room immaculate tastefully decorate ( double bed , couch , desk , armoire , tiny kitchenette ( microwave , stove ) , bathroom lot formica counter ) . Breakfast include . cost : US $ 114 Hotwire . overall , pleased . Le Cantlie great location ( museum , store , Metro ( Peel station ) . staff responsive helpful , even give choice room upon arrival ( early ) . parking seem expensive ( canadian $ 16.95 + tax per night ) , garage staff friendly helpful . ( compact car , difficulty oversize vehicle ) . lovely river view . would certainly stay . 
 Sep 19 2005 	 awful ! stay away ! Disrespectful Staff ! 	 check 4 leave 6 day . book room 3 people . arrive ask rollaway assure would problem . come back room 6 roll away . ask front desk say possible put roll away room due firecode way could upgrade room ( $ 40 ) pay $ 20 night rollaway . later rude , would not appologize previous hotel staff misteak say rollaway allow willing negotiate make feel comfortable . later book day Inn Guy st way cheap friendly staff large hotel room ! cantile go location . stay away ! 
 Aug 15 2005 	 Great Experience ! 	 stay family - husband 3 year old son parent stay room hall - for 3 night . 2 queen size bed , desk , tv kitchenette . perfect ! impressed walk room . roomy everything - kitchen area , bathroom room - spotless . parent one bed , small kitchenette , desk , armoire tv , couch coffee table . pleased room also . location hotel great . also trouble parking - room hotel parking area mini van , park lot across street $ 60 . happy informed check . park directly front hotel would unload luggage instead wait park . quite wait elevator - 3 - several time . would definitely go back , despite negative aspect . 
 Aug 14 2005 	 bad best 	 bad hotel ever stay , definitely good either . service hotel staff friendly make feel welcome hotel . room okay call three time ask bring towel sheet sofa bed room . view 15th floor back alley would nice beter view . 
 Aug 12 2005 	 False Advertising 	 long drive Boston hotel , tell upon arrival unfriendly desk clerk room car & quot ; valet parking & quot ; garage & quot ; high rise & quot ; car ( drive SUV ) , limited space ( website say nothing ) . desk clerk give we list parking garage area , 20 minute search finally manage park car . first issue -- not believe say website advertising valet parking -- expect find parking . first problem . & quot ; river view & quot ; room actually face alley brick wall . Air Conditioner unit first froze room stop function . Maid service erratic -- leave three dirty washclothe tub return evening find still clean replacent . two coffee cup , one miss second day ( report yet another surly desk clerk say & quot ; not worry , will not charge , & quot ; seem unconcerned fact reduce drinking coffee water goblet ) . say location nice room fine , plenty hotel area . disappointing thing attitude hotel staff ; helpful surly point rudeness . would say save money stay best western friendly place ! 
 Aug 4 2005 	 Ritz Motel Dixie ! 	 read review hotel expect something pretty trashy , pretty satisfied overall . room give huge ... distance alone door room proper 10 foot . room hold two queen bed , good mattress world , backache 3 night , certainly impossible . decor basic somewhat tasteful alot pseudo / dark colonial style furniture . kitchenette immaculately clean room . bathroom pretty huge Montreal standard , clean amply supply towel . AC plentiful operate quietly . daily cleaning finish 11 . negative thing parking cost ( $ 16.95 day hotel garage ) , corridor look old dumpy old fashoned key door lock . be budget , thing quickly overlook . location super , quick walk around corner Metro , two block downtown Ste Catherine St. lot lot superb retaurant . staff friendly , unable give itemized bill could recover hotel taxis border , prepay Expedia . go figure . would stay . 
 Aug 2 2005 	 impressed ... 	 lobby beautiful room poorly decorate . 11th floor view back alley rooftop disappointing . make sure request street view . pool pretty fill loud child every morning night . elevator test patience although metro close inexpensive , spend $ 58 ( american dollar ) park car three night garage . ' ve never hear hotel charge guest park . would cheap park outside hotel walk since not use car . impressed stay . 
 Jun 21 2005 	 good value good location 	 want spend $ 300 + per night Ritz Carlton conference , research choose Le Cantlie two short block away . convert apartment building 's recently renovate . ' ve two room ( later ) , neither 5 star , not shabby either . public area nice . I make reservation directly hotel 's web site , begin bargain . say could afford exec suite ( ~600 sq ft ) really want large 1 bedroom suite ( ~900 sq ft ) . ask could mark record free upgrade 1 bedroom available arrival . agree . couple day arrival , last minute rate start show , drop exec suite $ 130 / night US . email ( Stephane , reservation manager believe ) see would meet rate . problem . , arrival , give large 1 bedroom suite $ 130 / night US . proof positive pay persistent nice people . my suite full living room queen sleeper , small full kitchen , dining table 4 bedroom 2 queen . luxurious , adequate . the problem ' ve wireless internet . first room 25th floor poor reception would barely receive email . apparently , main router first floor access point spread across every floor little bump signal . move 8th floor , service fine . I would recommend hotel fastidious . 's luxury , great value . 
 Jun 2 2005 	 disappointing dirty old 	 hotel look like something 1980 's . serious need update . room feel sticky find use condom bed . location good never feel comfortable . sofa bed worn could feel spring back . self favor stay someplace else . 
 Nov 15 2004 	 great value $ $ 	 read many bad review hotel , experience quite opposite . reasonable price get suite w/ 2 double bed , small well equip staff spotless . location fantastic staff front desk housekeeping valet accomodate helpful smile . nominal fee parking garage steeply dicounte hotel guest . problem weak shower pressure , care great place hop district McGill college fabulous shopping ? hotel great seek luxury wise choice budget / family traveler . 
 Nov 2 2004 	 gross HORRIBLE HOTEL 	 hotel ineffective non - working air conditioning room put moldy air - problem heat Montreal summer window not open . shabby unkept hotel threadbare bed linen , scuffed furniture old wallpaper peel wall seam . clear place MAJOR financial problem unable maintain . much paint come around windows chip carpet around . shocking think hotel bill ' upscale one ' , utterly false . tiny little bathroom poorly arrange poorly clean . rot food room service ' pile ' elevator never remove . basically front desk admit none airconditione unit entire hotel work - representative take 8 room prove . clearly want say air conditioning - hand want low expense offer non working aircondite ! course dishonest pay guest . summer bacteria mold grow carpet poorly ventilate humid atmosphere warm moist room . lobby attractive entirely unrepresentative example 's store hideous hotel . RECOMMENDED ! ! ! ! ! 
 Sep 18 2004 	 go highway Motel save money ! 	 stay Le Cantile Suites August 24 - 29 2004 . two adult two child ( 10 year ) . FIRST IMPRESSIONSFirst , dont persuade nice picture suite . acutally see will realize be old , dirty room wall french door throw . fact , would not surprised building boarding home halfway house . pint size refrigerator dirty obviouly clean . finally , bathtub obvious soap scum ring around it . housekeepinga typical many hotel enough towel / washcloth two room . call ask 4 room . 10 minute maintenance person come room one ( 1 ) hand towel hand . experience repeat every day stay . also notice every time enter suite start sneeze , sniffle would continue leave build morning breakfast . on day depart , wife check room carefully make sure nothing leave behind . look bed find old toy , dirty sock , use tissue , everything else leave behind past guest , much keep house . FRONT DESK STAFFFront desk staff seem responsive speak , not count anything actually do ! provide good direction around city . HOTEL RESTAURANTDid not use little sit area around bar , stop serve 11:00 . lot nice restaurant area , incident housekeep dirty bathroom refrigerator , not really want eat hotel anyhow . would RECOMMENDNo . go & quot ; Sofitel & quot ; across street , find motel least get pay ; whatever read TripAdvisor book . 
 Sep 2 2004 	 great service good price 	 wife spend 5 nites LeCantlie . room spacious closet ever see hotel room . service excellent , especially front desk . contrary previous reviewer , window spackle clean ! drawback bathroom tiny continental breakfast , although compatible hotel area , pricey . definitely would return hotel ! 
 Aug 9 2004 	 great locationgood value . 	 stay Cantlie first week August 2004 overnight business trip . friend recommend hotel right assessment . essentially 3 star hotel great location excellent rate . really well suited budget minded tourist rather business traveller romantic weekend . latter would recommend Sofitel Vogue . 
 Aug 6 2004 	 good experience 	 location perfect we . close everything . short walk Metro Peel ; Rue Saint Catherine , Cresent , street around , Musee Des Beaux Arts , restaurant , coffee shop husband sit outside morning start day . staff attentive even lobby full , never put question direction . hotel nice , old room balcony , faint heart , overlook Sherbrooke 26th floor . executive suite 17 year old son we . want bedroom privacy curtain french door separate sheer . change clothe bathroom . bathroom small clean . Carpet could clean . bed clean comfortable . sofa pull , little space get bedroom . felt cramp manage . fine 2 people . plenty closet space . laundry room 27th floor convenient isolate . pool rooftop old adequate . 
 Jul 23 2004 	 enjoy Stay 	 spend 2 night . friendly helpful staff . fairly spacious room do neutral color palette . walk - in kitchen stove/ full sized refrigerator- basic kitchen necessity provided- microwave . preference kitchen type , may able accomodate . hotel reasonably price location convenient shopping , sight - seeing , dining . would go back . 
 Jun 23 2004 	 good value package deal good location 	 book Cantlie via air / hotel deal Travelocity . satisfied choice . room large quiet . small kitchenette room nice touch . could keep snack drink handy . minor fault decor room -- carpet deep purple color wallpaper lavender . great view park giant window make design 21st floor room . hotel small pool roof ( 28th floor ) nice view . three elevator service 28 floor occasionally wait . irritatate though . location near subway close shopping . Montreal huge , spread - out city get around easy convenient . overall , Le Cantlie & quot ; tre bien . & quot ; 
 Jan 16 2004 	 nice inexpensive hotel 
 Jan 5 2004 	 gestapo front desk 
 Dec 23 2003 	 Cantlie ignorance 
 Oct 17 2003 	 choose another hotel . 
 Aug 30 2003 	 would recommend le Cantlie Suites 
 Aug 18 2003 	 Mixed Emotions Le Cantlie Suites 
 Jun 5 2003 	 great place stay 
 May 11 2003 	 PAR 
 Mar 19 2003 	 wonderful hotel 
 Oct 7 2002 	 Le Cantlie Suites ... stay twice 
 Nov 23 2009 	 J ' retournerais 
 Nov 22 2009 	 Les apparence sont trompeuse 
 Nov 16 2009 	 ? ? ? ? ? ? ? ? ? 
