helpful 	 decent location access many part city , breakfast keep full lunch beyond helpful friendly staff . stay extra three night - second room lot nicer first . first little small not outside window . second comfortable , nice view street spacious . nice lobby . 
 Apr 10 2007 	 Great experience ... Great price 	 like Opal Hotel alot would stay . give & quot ; Junior Suite & quot ; non - street side hotel . large room two queen sit area . quiet , clean room . bed linen / pillow large comfy . free internet . responsive courteous staff . Wednesday evening nice ( free ) wine cheese gather lobby hotel manager chat everyone ... good . love SF hotel . reasonable excercise room , clean laundry room . location good kind public transportation could want within couple block . cheap plentiful deli type comfort food across street Tommy 's Joynt ... end spectrum , Ruth & quot ; Chris steak house blocks street . 10 Screen AMC theatre next build street . yes hotel edge Tenderloin district , somewhat apprehensive getting , turn total non - issue . walk several block get thick , simply skirt area walk couple block around ... neighborhood fine . area around hotel appear safe also . local street population present , reserve polite . problem regard . overall positive experience reasonable price . think hotel 2 block close Nob Hill , room would go twice price . oh ... one thing ... hotel mgr suggest next time book , locate good internet price could , call hotel directly ... give even well price . 
 Mar 23 2007 	 Great experience 	 go San Francisco four family member birthday outing . hotel old charming . staff helpful , room clean , & quot ; bad neighborhood & quot ; stuff bunch hullabaloo . obviously people say idea bad neighborhood really . hotel also connect mel 's din late night party able wolf cheese fry ! continental breakfast good location great - especially price . room small be supposse spend lot time hotel be vacation anyways ! would certainly stay opal . 
 Mar 20 2007 	 Fun Trip ! 	 go San Francisco friend weekend . two young woman , bit hesitant & quot ; bad neighborhood & quot ; review . however arrive seem like fine place stay . room clean nice pay . shower roomy bed 7 pillow ( 2 regular , 5 ) ! ! park across street ( $ 20 / day ) use bus / cable car / transit system . bus stop right front door hotel go straight Ghirardelli Square & amp ; Pier 39 . 1 - day muni pass $ 11 , save bundle . never feel unsafe either . staff hotel friendly gladly give we recommendation dining place visit . handy map area available front desk well . pretty impressed place , one , would happily stay ! 
 Mar 14 2007 	 good clean 	 stay Opal 2 separate occasion find hotel clean tidy . hotel old style decor match perfectly . there gym basement hotel good standard equipment water cooler tv use . book hotel basis gym happy choice . breakfast provide morning basic - packet cereal , muffin , white toast , coffee tea etc . breakfast 8 be plenty food available . also staff member top food morning . all staff meet helpful give plenty advice area place eat . the good place eat around hotel ... diner adjacent hotel , Tommy 's across road excellent . to get Union Street hike hotel bombard homeless people want money walk around area night . 
 Feb 7 2007 	 Happy visitor 	 first time visitor San Francisco hotel room area great concern we . well , happy . room clean good size two we . great parking site street parking really option we . staff polite , respectful helpful . get room heater not work quickly fix , great service . look anything fancy nice , clean great location tour entire city place stay . reasonable rate nice hotel . review say seedy people area not notice anything not see every city U.S. nothing dangerous . disadvantage could see breakfast could bit variety ( i.e . pastry ) dining room small . try will like it . Tracy Dawn San Diego 
 Feb 3 2007 	 good rate bad room 	 good : convinience , be Geary Van Ness , 5 minute drive away Japan Town get good food there . the bad : be really close ' bad ' section downtown , careful walk especially night not car not plan rent one . UGLY : book room HotWire get great deal hotel ( supposedly 4 star ) . condition near 4 star hotel . first , book king - sized bed wife . so - call king - sized bed two bed put together . length bed short foot hang bed , 5 ' 9 ! ! ! two day , wife sleep diagonally leg would not hang bed . the condition room standard either . walk room smell mothball stale air . carpet fade clearly look dirty . sheet cover clean either . top sub - standard condition , hotel also old plumbing system , mean anyone decide flush toilet take shower , hear . 's reason OPAL DROPPED LA QUINTA franchise.all , stay SF future , would definitely stay , 's cheap rate , worth pain suffering . next time , USE HOTWIRE ever , not disclose hotel get book ( be non - refundable ) , star rating way ! 
 Jan 14 2007 	 clean inexpensive 	 stay double room two female friend three night last weekend . enjoy stay find staff courteous helpful site - see / restaurant recommendation ( Ti Piacera outstanding italian restaurant try ! ) . room & amp ; bathroom clean shower stay nice & amp ; hot even three we use . opt use parking garage across street $ 20 / day in / out privilege find convenient . would definitely recommend hotel be look simple , well - run , friendly place stay trip San Francisco ! 
 Dec 17 2006 	 would definitely come back 	 hotel conveniently locate . many place eat aside Mel 's pub across street . fitness center , 2 blk 24hr . fitness . minute shopping , Castro , Market St. , Fisherman 's Wharf site . hotel really clean quiet . also look much well pic . would definitely return . 
 Dec 8 2006 	 Pretty Good Hotel ... good location 	 Pretty Cute hotel locate right Vaness ! great location . park ok really small . bathroom really small . friend end upgrade suite room nice not ... want one big bed give we 2 small bed blow I . so good thing place location ... little pricey get ... parking include ! 
 Dec 1 2006 	 Nice hotel 	 stay Opal five night july 2006 . it´s nice hotel , situated bit central downtown cablecar . room bit small okay couple day . staff friendly offer good service , ( ) room towards main street front hotel , put traffic noise . San Francisco great city - visit twice - eventhough accept seagust come make even summerday quite cold . across front hotel find Tommy´s Joint , highly recommend evening meal . for short stay San Francisco Opal okay , find well budget hotel surely also bad budget hotel . Tonnesen family , Copenhagen , Denmark 
 Oct 31 2006 	 San Francisco Treat ! ! ! 	 little worried Opal read TripAdvisor comment win hotel Priceline $ 60.00 night . fear fellow traveler . the good : great price ... thank Priceline . comfortable clean boutique hotel lot charm character thing would expect hotel class . morning breakfast money saver nice supply bagel , muffin , fruit corn flake . hotel right 47 bus line run Fisherman 's Wharf California Street Cable Car . Van Ness Street also 101 SF , quick acess Golden Gate Bridge SFO . Mel 's Diner outside hotel entrance good offer reasonable price food hour . staff helpful request give direction mass transit / driving . the bad : parking . parking situation Opal little quirky , car well secure gate . price park though outragous . $ 25.00 night park . cost park rent car . suggest rent car day trip outside SF Budget location 3 block away use bus cable car town . also , $ 9.00 day use health club hotel . equipment nice , not pay price . the Real Story Neighborhood : Lot 's debate surround area . let say , yes bum , panhandler , homeless strip club within block two . high traffic area . see lot folk walk hour never fear safety . panhandler come happy take thank answer . area several movie theatre 's , include AMC Theatre restore building right next store . also within thousand foot hotel Mercedes Benz dealership Lotus dealership . verdict , neighborhood bad Times Square . city element good bad , high traffic area make pretty safe surrounding . the Opal San Francisco Treat . would consider Priceline price even parking fee . 
 Oct 12 2006 	 great choice 	 research several website , decide Opal . glad ! 's precious boutique style hotel clean spacious room San Francisco . love fact computer available 24 hour since not take laptop . breakfast ok nice coffee available 24 hour , along Mel 's Diner connected hotel . would definitely recommend price ! Peggy Ned , Williamsburg , VA . 
 Oct 10 2006 	 Short Treating Customer Right 	 room adequate nothing special ; hotel well - situate see SF sight . however , ' ve book auction site , not prepare treat like & quot ; real & quot ; customer . avoid long , long story , will say make couple reasonable request regard accommodation . management refuse ackowlege request , even state auction reservation , guarantee contract first place . request roll - away bed ignore ( willing pay extra charge ) , request move room next door two party five ( also book via auction ) check room day early ( king queen would well accommodate party three ) . , dice . stay Opal , even though adequate reasonable . chance return customer , even make effort satisfy request . heck , might even recommend other . 
 Sep 20 2006 	 handy cozy place know be 	 stay Opal two night . choose mostly cost list amenity , familiar area . the hotel locate Van Ness , 5 block Civic Center bus service immediately outside . California Street Cable Car line 6 block street direction . the hotel comfortable room quite small . room air condition ( nice humid weather ) . iron , iron board hair dryer room . free high - speed internet access room . room surprisingly quiet busy street . free breakfast serve llimited selction cereal , juice , coffee , bagel , etc . Mel 's Diner right next door substantial meal . Tommy 's Joynt , across street , great funky place lunch dinner -- place character . the hotel several block Japan Town / Korea Town , ask direction leave . the hotel marginal area night time safety , not wander far without know . street people crazy dangerous , keep ear eye open . Taxis plentiful easy use doubt . bus service run hotel get Union Square back , invest multi - day transit pass transit map get around ( available Holiday Inn California Van Ness , Powell Street Hyde Street terminus point . all , bad choice , aware surrounding . 
 Sep 16 2006 	 Opal - Lovely Hotel add ' style luxury '' 	 spend 3 night Opal Hotel enjoy luxury stylish hotel . fact book third night book 2 night stay . breakfast one well great get away usual modern sameness quality inn 's etc . read reviews web site - worry put anyone 's mind rest - lovely hotel much character . even dread ' Hamid ' helpful even smile couple time ! ! ! ! would well read site really lovely get know we ! hotel even invite we free cheese wine evening - skimp wine - hence lovely evening meeting fellow traveller ( later find ) general manager ! ! enjoy stay - would definately return . 
 Aug 30 2006 	 Good Hotel Price 	 quite worried reading review travel Opal Hotel not worry ! hotel clean one comfortable bed ever sleep in . the hotel staff excellent nothing much trouble they . breakfast basic adequate hotel full limited seating . people take breakfast back room . bus stop directly outside hotelalthough edge doubtful area feel perfectly safe walk hotel day . 15minute walk Union Square . we would certainly stay . 
 Aug 2 2006 	 wonderful Stay 	 fiance stay Opal 2 night whirlwind photo expedition . could enjoy stay ! fact , stay ' ve San Francisco , would rank establishment one well ' ve stay . staff friendly accomodate , common area lovely , room charming . love able open window fresh air ! find beds average comfort , terrible mean . of course , always area could bit improved . bathroom room small side lack counterspace toiletry bag , breakfast offer somewhat plain . ( cereal , toast , donut , juice , etc . ) however , hotel attach Mel 's Diner would like something . feel reviewer do hotel bit disservice say Tenderloin . tenderloin - adjacent , hotel Cathedral Hill - locate across street Bentley / Jaguar / Range Rover dealership . inexperience San Francisco traveler could find Tenderloin wander far past Van Ness & amp ; O'Farrell , walk Union Square hotel without go Tenderloin one reviewer mistakenly opine . besides , bus stop right across street hotel concerned walk inadvertantly dicey area town . far & quot ; street people & quot ; concern , believe hang around hotel would find hang neighborhood city . overall , would definitely stay Opal , would definitely encourage budget - minded traveler well ! 
 Aug 1 2006 	 stop complain 	 base previous report , wife almost avoid stay Opal Hotel recent trip U.S . glad ignore get real bargain . it appear traveller expect stay five star hotel whilst prepared pay rock bottom price . try get another hotel standard San Francisco $ 80 US include taxis . our room clean , spacious well equipped . non smoking room smell evidence smoker otherwise . breakfast simple adequate . hotel staff friendly kindly allow we check 3 hrs early fly 16 hrs . provide free Internet business centre something never encounter anywhere else U.S.As far beggar homeless go , well part city . threaten harrasse San Francisco . public transport door cheap . I would certainly recommend hotel family friend would stay future visit . whenever stay Opal must go across road Tommys Joynt meal , 's institution ! 
 Jul 31 2006 	 Affordable 	 get great , last - minute deal Priceline room Opal -- own Cathedral Hill Hotel across street Van Ness . pay $ 50 one night , parking cost additional $ 20 . hotel remind european hotel might find Copenhagen Amsterdam . Shabby , lot charm . good feature hotel size room . comfortable spacious . great night sleep . bad feature hotel : business traveler , disappoint 2 electrical outlet room , already over - plug lamp , tv , DSL connection , etc . unplug several thing make sure could charge cell phone computer , well use iron . decor shabby -- stain rug , wallpaper peel place . bathroom small , functional ( pet peeve : shower curtain make already tiny tub even small constantly blow inward shower -- invest curved shower curtain bar ) . major disappointment : breakfast provide . institutional cereal , bread toasting , hard - boil egg . simply substantial . , price right need ! get great night 's sleep pay less would expect centrally locate pricy San Francisco ! 
 Jul 27 2006 	 Dangerous Area Unfriendly Staff 	 locate unsavoury , dangerous area . risky dark , especially area Puccini Pinneti restaurant area , Opal . street litter homeless , druggie shifty character . make hair back neck stand end . entrance night - time lock - down security approach , give idea secure ( ) staff feel dark area . staff unfriendly unhelpful . check - in , depart guest extremely unhappy stay . good start ! room tired , bathroom tiny , ventilation , bathroom wet next morning previous evening 's shower . we avoid hotel cost next trip San Francisco . 
 Jul 27 2006 	 Quite Good actually 	 quite like hotel , get nice confortable room king size bed , clean private bathroom big tv . nice decoration , nice place , good service , clean room confortable bed . important thing we get OpalBus stop main entrance , . 49 pier 39 other . mel diner next door coffee + bakery road . Breakfast Opal simple : cereal , bagel orange juice coffee , basic ok . so price get would say 's average ! ! 
 Jul 27 2006 	 decent place 	 's decent budget hotel that s unfortunetly locate Tenderloin district ( skid row people ) . hotel air condition , great summer since there s quite nasty heat wave . room clean quiet , thick double pane window , yet easy open breeze . tv ad lot channel . free internet access plus . kind size bed pretty good price . complaint area pretty ghetto night . see drug dealer window late night . nothing hotel , obviously can not anything . not get eat anything free breakfast not anything leave . definetly feed frenzy fat tourist morning . 
 Jul 25 2006 	 ok hotel ok neighbourhood 	 room Opal may ok , . nice bed , tv , phone , bath etc . thing miss fridge minibar price pay ( usd 65 twin room incl . tax continental breakfast ) could not complain . helpful reception breakfast not bad . surround area nice . lot homeless weird person , never problem . however , would choose another area next time visit San Francisco . 
 Jul 17 2006 	 dump ! 	 Beds Inquisition , bathroom mildew , peel wallpaper , mediocre breakfast ( corn flake , bagel juice ) . , not enough , drunken young people wander around fire escape landing outside window late evening . yike ! 
 Jul 12 2006 	 fine ... 	 traveler , not worry ! previously book hotel Hotwire ( get great deal ) discover website ! review scare death , pleasantly surprised hotel ! charming staff friendly accommodate ! room small , perfectly fine . also convenient bus travel Fisherman 's Wharf . drawback think staircase walk . bag heavy , 's tough trying get stair , . five year old 8 month old girl we please hotel . bed comfortable ! workout facility great full new equipment . also , use laundry facility happy , . far & quot ; seedy & quot ; people area , saw & quot ; seedy & quot ; people city . however , come Memphis , TN , SF & quot ; seedy & quot ; people nothing afraid ! ! would definitely stay . 
 Jul 9 2006 	 bad 	 first , hotel geat location . close Union Square beautiful city hall area . also 4 block California Street line cable car . could walk eight block Union Square take $ 6 cab ride . yes , single female traveler , aware amount & quot ; seedy & quot ; people area . people downtown area ( see deal go outside Marriot ) . downtown San Francisco unfortunately . walk Union Square , large city , make sure aware belonging time . hotel old , classic kind way . sheet not 600 thread count , still charm front desk always friendly . parking garage , $ 20 day , far cheap parking San Fran ! also love fact get hotel Hotwire $ 88 total . would stay anytime . 
 Jul 3 2006 	 stay away 	 clearly reason hotel long apart La Quinta chain clear . hotel not come close live La Quinta standard . hotel old date . bed might uncomfortable ' ve ever sleep . Bathroom seem think . Wall paper peel wall , dirty carpet , chair desk , strong smell moth ball also present . tv would also intermittently go . look value hotel Van Ness , would rather stay Holiday Inn block . also stay also note hotel problem accept reservation site like Hotels / expedia / travelocity without room actually available . lastly , hotel local hang area local homeless / drug addict population surround 5 - 6 block area . 
 Jun 27 2006 	 Surprise bargain ! 	 wonderful hotel bargain price . front desk staff polite , helpful , professional . room clean , nicely furnish quiet . continental breakfast adequate , want big breakfast , lot good restaurant immediate vicinity . hotel definitely get return business future . 
 Apr 29 2006 	 good value bargain hotel 	 spend one night , exactly : quiet , unassuming , comfortable room fair price , convenient center town . continental breakfast primitive , much good food within block hotel . good value . 
 Mar 22 2006 	 bad hotel dodgy area 	 hotel one block away fairly nasty Tenderloin area walk get Union Square . ' ve never see many homeless people ( seem fairly typical San Francisco ) parent feel rather uneasy walk around area . luckily good public transport system bus stop outside hotel also nearby take Union Sq . the hotel nice enough . lobby fine , check - in good room fair size . decor room bed linen seem bit date clean . hotel able accomodate parent request smoking room . there small gym basement consist 5 piese equipment next door guest laundry . also & quot ; business centre & quot ; one computer offer free internet access . breakfast adequate , bagel , cereal , bread , cake , egg , juice , tea coffee though sign fame waffle machine ( though sign still ! ) good value money , pity area . 
 Mar 8 2006 	 great close everything ! ! 	 easy check . close transport . room clean , comfortable . staff friendly , knowlegable area . great price , would reccommend . 
 Mar 4 2006 	 good effort La Quinta ! 	 reasonably impressed hotel , check - in swift fairly simple receive room key . room good size huge king size bed await I . the decoration inside hotel room sort traditional , flowery wallpaper etc really taste , money pay $ 79 per night - find clean comfortable . I think breakfast fine , break toast , bagel , waffle , apple , cereal , yoghurt etc quite nice mix thing really . hotel store luggage check - courteous friendly . 
 Feb 21 2006 	 nice hotel heart San Francisco 	 nice middle road hotel conveniently locate downtown ; 10 minute walk Union Square . room good size , bathroom small clean service staff friendly professional . this hotel great value would definitely stay . 
 Feb 13 2006 	 nice stay Good Breakfast 	 get great price Priceline . save dollar . discount 75 % rate post room door 66 % online rate @ laqunita [ - ] . doubly pleased right across street last hotel stay ( Cathedral Hill Hotel ) couple reason . # 1 ) know area get around plan go . # 2 ) parking . Cathedral Hill Hotel public parking garage offer $ 20 day rate hotel guest . La Quinta guest . La Quinta ' parking $ 28 day . check - in snap . ' experience overbooke problem read review . room back hotel . front desk call & quot ; Terrace & quot ; . not pretty rest hotel , motel feel view parking lot . , room huge ( Room 110 ) . décor ' spectacular , though attractive , quiet comfy . hotel offer nice extended continental breakfast ( another great budget extender ) make waffle well choose standard offering . lobby bustling breakfast eater morning . 
 Feb 3 2006 	 classy property good rate 	 second stay property good experience first . place jewel Van Ness . place like cheaply price basically appoint La Quinta Inns will see . hotel charming place victorian accent modern ammenitie . agree Hamid reception desk bit abrasive , however . need lesson courtesy ease terseness check - in schpiel . breakfast hearty , lobby pleasant room comfortable affordable . stay next time go city . 
 Feb 3 2006 	 excellent location nice room 	 let start say sense adventure use Priceline get hotel room . one , Priceline disappoint . pay $ 55 room total weeknight stay , pay additional $ 20 park garage across street . even without use Priceline , charge price parking . Front desk- everyone encounter front desk efficient , friendly . lobby clean well decorate . room- Priceline room , usually bad house , probably . second floor room overlook Van Ness Ave . busy intersection Geary Van Ness . bit apprehensive saw , know early thought traffic sound would wake right time . case ! noise actually minimal dual window curtain closed . room clean well appoint ( clock radio , iron , iron board , coffee maker coffee , desk , high speed internet conncetion , chair , nice tv , well lit , clean bathroom ) . bathroom shower , large enough two small people . water pressure fabulous ! pet peeve mine . take shower home 5 minute great pressure stand 20 try get rinse trickle . shower quick hot water instantly . Service- La Quinta offer continental breakfast . rule check see offer reality . breakfast serve 6 - 9:30 lobby / dining room . usual dry cereal , toast , coffee ( strong ) juice ( apple / orange ) . also make - your - own waffle station , boil egg , prewrappe bagel prepackage peanut butter . disappointment fruit , vegetable , doughnut pastry . however , could eat something take bagel peanut butter later . whole dining area immaculate someone present clean entire time . Overall- pleasant experience . also easy find Bay Bridge . direction front desk much direct mapquest . complaint lack fruit ( really could , well , without pastry ) . 
 Jan 22 2006 	 wonderful spite check - in hiccup ! 	 almost would write negative review hotel fast turn - around behalf staff hotel . nine hour flight NYC tired walk . lovely lobby , charming without overly do , warm inviting . meet man front desk ( Hamid ) immediately put defensive telling reservation name ! immediately bring write confirmation tell cancel ! reconfirm front desk week , idea happen . walk , honor rate confirm give key . question tell , & quot ; fight management tomorrow . & quot ; livid mood & quot ; turn New York & quot ; go room . Room nicely put together , king bed , desk , nice closet inside right around corner lobby traffic noise . Van Ness terribly noisy get one room stay . drawback big dresser would nice stay six night . bathroom nice size good counter space , tub shower nice alcove . pleased room scheme overall look . 1/2 hour later receive call front desk overnight manager . think another guest extend record room ! immediately go front desk paperwork could not find accomodate apologetic person work . wonderful , honored rate also reprogramme key six night instead one guy . feel confident rest stay would go smoothly , . wonderful hotel nice room , wonderful breakfast morning ( waffle awesome ) close everything . room keep clean would liken & quot ; no - frill & quot ; Inn boutique feel . would stay next trip San Francisco . 
 Dec 31 2005 	 Charming ! 	 Charming , homey place stay ! bit apprehensive first booking room since locate near nice part city , pleasantly surprise victorian charm hotel . room quite big compare hotel room ' ve stay . buffet breakfast quite fill delicious . transportation also convenient . hotel staff friendly helpful . 
 Dec 22 2005 	 Room Inn ... 	 arrive hotel 11 pm , wear weary long flight UK , tell hotel overbooke room leave . somewhat disappointing give book pay accommodation full month previously . addition , call early day stop Philadelphia say would not 11 pm check everything ok - assured ... find shuttle 11 pm tell equivalent - standard , family run hotel nearby . turn tired grotty motel red light district crawl prostitute drug dealer . put first floor patio door dodgy lock easily accessible . spend uneasy night head luggage straight back La Quinta morning . demand room upgrade well hotel rather one inferior quality pay . fortunately room available rest stay fine . must say staff apologise happen nice enough try sort thing . error occur central booking not fault , create pretty poor start holiday . make booking will really need make sure hotel ready honour ! 
 Dec 21 2005 	 awful stay 	 princesse place ! boyfriend stay La Quinta Downtown Friday December 16th December 19th could not wait get hotel . get room , flabergaste size room bathroom ( # 302 . tiny . tour city walk 10 - 15 mile one night , come back room , turn sheet right side bed find odd stain sheet . totally unacceptable hotel , let alone one get 4 star many website include one . stay many hotel $ 90- $ 150 night range hotel never experience . not stay clean sheet priority ! 
 Dec 19 2005 	 Excellent 	 pro : beautiful room , comfortable bed ( king size ) , great complimentary breakfast ( waffle , yogurt , orange juice , apple juice , coffe , cereal , bread , bagle , boil egg ) , adequate room space bathroom . fancy lobby . good access everywhere . good price book Priceline Hotwire . con : limited vending machine , business center , slow WiFi , thin wall floor . if come SFO , take BART ( $ 4.95 ) powel station , buy City Pass ( $ 42 ) information center , take muni bus Geary ( short walk station ) .Walgreen several block away . recommend Swan Oyster Depot . 
 Nov 23 2005 	 one good hotel service 	 book three day stay hotel . say provide excellent service plus fact one cheap . hotel nice gold accent front door reception hall . free breakfast waffle , cereal , fruit , egg , bread whole lot moree . room awesome ( try get 413 ) . big window show san francisco view . clean well bathroom . provide highspeed internet cable tv . everyday housekeeping clean room replace everything new one . would recommend hotel would like stay visit sf .. tahnk hermie , hamid staff ! 
 Nov 3 2005 	 great value .. excellent staff .. world ` good pastrami across street 	 place downright bargain .. helpfull staff ( bryant & amp ; peter ) really take care .. centrally locate town .. many resturant nearby ( hof brau across street great super low price world good pastrami ) restaurant premise .. vietnamese restaurant around corner excellent bahn type meatball sandwich $ 2.50 ... many bar , music .. 2 movie theater within 3 block ( do not come SF see movie ) ... great stay . 
 Oct 25 2005 	 not ! ! ! ! 	 come way Israel , pay 2 month advance find & quot ; bookd & quot ; pepole hotel & quot ; sorry can not stay & quot ; . aleternative send we cheap ugly motel . the lady frount desk admit overbooke pepole time first problem . good please stay away ! way trust order get . 
 Aug 16 2005 	 sleepless night morning 	 stay hotel five night july 2005 . Unlss want sleep 5.a.m . onwards , stay . wall make cardboard ! also , great location area quite unpleasant rundown . return home , discover well settle bill cash , amount charge credit card . , disappointing experience certainly significantly overprice cost . would recommend property . 
 Aug 15 2005 	 good stay La Quinta Inn 	 stay LaQuinta Inn Suites August 6 - 9 get great price Hotwire ( less half rack rate company web site ! ) . hotel conveniently locate along Van Ness Blvd . ( near City Hall ) really great bus line tourist right outside door . # 47 bus stop less block away take Ghiradelli Square , Fisherman 's Wharf SBC Park . bus line close convenient take Union Square Chinatown . although review we skeptical neighborhood ( map show hotel edge Tenderloin- tour book note bit rough area ) , not feel unsafe problem area . however , late night , maybe area safe late . hotel also moderate , uphill , hike Civic Center BART station take Oakland airport . would recommend jump 47 49 bus go north near city hall rather hike hill luggage get arrive via BART . hotel adjacent movie theater also restaurant ( fast food type ) walgreen short distance away . bus transportation ( streetcar cable car ) , find Muni Pass good value . ride bus lot , ride twice day , pay cash instead ( will well value $ 1.25 / ride ) . part benefit muni pass ability jump transportation ( include cable car normally $ 3 / ride ) point day exact change . show pass driver go . hotel staff helpful giving direction suggest bus take get destination . room small bathroom , clean pretty good shape . bathroom could use exhaust fan though clear steam shower . room look onto Van Ness ( busy road ) , 3rd floor street noise problem . hotel feel bit aged throughout , run . hotel offer free breakfast morning . want get early , breakfast room small table fill fast . breakfast include bagel ( fresh ) , cereal ( could use skim milk- offer 2 % whole ) , yogurt , fruit , toast belgian waffle ( make ) . would stay ' m San Francisco , especially rate get Hotwire . 
 Jul 7 2005 	 Convenient Place Stay 	 stay one night quick trip town . book Hotwire rate $ 72.95 ( taxis ) , surprise $ 28.50 per day parking fee ( premise ) check . see & quot ; park free & quot ; rate quote $ 114 . rate still competitive pleased hotel . staff great , act like truly enjoy serve . location excellent drive quickly tourist site . would go sure . 
 Jun 27 2005 	 fabulous price 	 give hotel excellent , pay $ 51 thru priceline night believe get bargain . room small , admittedly , nicely decorate clean . hotelstaff courteous , two complaint ( toilet stop noisy neighbor Friday night ) take care within 30 minute . breakfast pretty good continental breakfast : fresh waffle , apple orange , Yoplait yogurt , bagel , toast , danish , boil egg . location pretty good well . be ten minute walk cable car stop Market Street , less ten minute bus ride Fisherman 's wharf less 20 minute Golden Gate Park . 's bus stop right front hotel , come every 8 minute . word caution : stay away Mel 's diner - food 's good price . 
 Apr 20 2005 	 pretty good hotel 	 Hotel clean staff courteous . would definatley stay . free continental breakfast morning waffle , bagel , cereal toast , also assortment fruit . hotel right along main bus line get around easy . one thing like wall thin neighbor get take shower morning could shower go pretty loudly . also make sure get inside room street noise problem like city problem . comfortable take bus hotel might little far sight . want right thick thing stat wharf . also recommend North Beach District resturant . 
 Mar 28 2005 	 great hotel 	 stay two night last - minute Expedia vacation package . the hotel nicely situate , make possible walk variety SF area attraction . really nice Hotel lobby first thing see walk in- typical La Quinta : hotel upscale La Quinta . rank nice hotel stay . would definetly stay would recommend other . 
 Mar 17 2005 	 good overall experience 	 overall experience positive . stay night January 2005 . hotel clean good location . quirk . first room assign phone working . change room promptly . internet port room free charge . also , front desk tell wireless internet entire hotel , turn wireless lobby . 
 Feb 1 2005 	 overauthorise creditcard service do not even sell 	 old hotel richielieu - it use expensive - nwo ' la quinta ' ( name , anyway ) bit cheaper - HOWEVER- would reserve room lq use promo code ' lmd ' otherwse , get hit c - note better.-that say , would use cc ID , pay cash - becuase ' double ' charge card ' temporarily ' ' incidental ' might use , ( pay - per - view ) ( would not bad , ; pay per - view available - they not even HBO ! .-other pretty much la quinta - also , tub , shower . 
 Jan 30 2005 	 overauthorise mastercard service do not sell begin . 	 pro : location , location , location . con : 100 % overauthorization mastercard nonexistent service REALLY annoying.now , read la quinta review boulder / louisville property , know devil time ' fix ' overcharge debit mastrcard - as happen , tho , time , aware ' 10 % ' temp surcharge incidental ( pay - per - view ) -so make reservation use code ' LMD ' la quintaroom price 49.99 ' temp authorisation ' ' incidental ' pay - per - view laundry : $ 49.99 yes , that s right , card overauthorise standard ' 10'percent , rather 100 % price room . here kicker : hotel even pay - per - view sale , even HBO . laundry be not bill room key , either , COIN - so say overauth STUPID . la quinta , CORPORATE however , credit , give enough point return account free night elsewhere , get wind long ( possbly two week ) go take get extra 50 buck back . also , unlike la quintas , tub , shower . 
 Jan 24 2005 	 great location good value family five ! 	 come back pleased hotel . location really excellent . walk many place use public transportation ease . staff extremely helpful . watch always ready explain share information . give good option without even ask ! ! breakfast perfect start morning . waffle , juice , hard boil egg ... family 5 ask & quot ; roll - away & quot ; bed . hotel luxurious , shower 5 star pressure ! lovely long day walk . planning visit San Francisco , spend little time hotel ... excellent choice . really budget orient choice convenient ! 
 Jan 8 2005 	 great value real character 	 stay 4 night Christmas 2005 impressed start finish . place show late - victorian heritage real character ( wind corridor , decor , etc ) oppose cookie - cutter layout sometimes encounter chain hotel . the decor room common area could refresh , hotel otherwise clean well - maintain . check - in -out efficient courteous , hotel staff helpful suggestion local transport activity . fitness centre small pretty well - equip size . it be 5 - 10 minute walk hotel California St cable car , 30 min walk Fisherman 's Wharf , well place get major visitor attraction . if want stay away tourist masse Fisherman 's Wharf area , La Quinta Downtown great value $ 60 / night ( include basic continental breakfast ) , although special rate book several month advance may always available . 
 Dec 15 2004 	 good place ' home base ' San Francisco Visit 	 go visit San Francisco visit tourist attraction , great place . breakfast soooo yummy , tour pick right hotel . ( avoid one - day Yosemite tour - HORRIBLE ! ) . room clean although small . staff nice helpful . time , winery / muir wood tour great . restaurant next door good diner food , definately venture chinatown area SF eat . 
 Nov 29 2004 	 great place ! 	 stay three night Thanksgiving holiday . pleasant experience . friendly helpful staff . large room backside away traffic . good pre - pay parking . book Expedia include parking . great deal ! parking behind hotel connect . easy safe . not use breakfast buffet . go Mel 's Diner right hotel . new place stay San Francisco ! improvement would high - speed internet . otherwise , perfect ! 
 Nov 17 2004 	 great value helpful staff 	 reading review Tripadvisor schedule two night stay hotel . room well maintain clean . staff especially helpful seeming go way help . complimentary breakfast include boil egg satisfy low - carb diet , plus fresh waffle require sugar boost last day . excellent value money . 
 Nov 12 2004 	 great place stay 	 pleasure stay La Quinta Nov 4 & amp ; 5 nearby conference . room clean , quiet affordable San Francisco area . addition , hotel staff pleasant efficient . conference attend across street Cathedral Hill hotel . thank review Trip Advisor , choose stay La Quinta rather conference hotel . hear many conference attendee complain room Cathedral Hill , make right choice . La Quinta Inn Suites wonderful hotel business well pleasure travel would definitely stay . 
