quiet 	 spend week Commodore Hotel highly recommend hotel other . stay various hotel London believe hotel good value money . room small sparcely decorate clean cozy . lovely room top floor enjoy peace quiet . breakfast good service . location fantastic Lancaster Gate Bayswater tube station . Hyde Park stone throw be away . room inexpensive like husband , need room within sleep . perfect spot . 
 great location 	 spend last weekend London friend . Stayed Commodore 3 night small clean nice room . friendly staff , great location . arrive Gatwick problem get hotel . quiet area , nice pub ( Mitre ) fantastic lebanese restaurant ( Fontana ) near . would definately stay . 
 Feb 15 2004 	 Great Hotel book ! 	 please Commodore Hotel . stay cheap London hotel , Commodore nice every respect . room big ' ve London ( though always stay cheap place ) bed comfortable . even bathroom big , english hotel bathroom . marble nice . also thrilled see double room also sofa ! ' ve never get utilitarian desk bed ... room nice desk , decent bed good linen , sofa . 69 # night , extremely satisfied . tube station nearby , bus station even close . 
 Jan 29 2004 	 great place stay 	 husband return London ( Jan , 2004 ) pleasure stay Commodore . room ( executive double ( ? ) ground floor ) clean though fairly small american standard . note- hallway small will not climb stair . elevator floor . large wardrobe plenty room stash thing , appreciate programable safe . also provide electric kettle tea / coffee supply . enough room top wardrobe stow two large suitcase free floor space . room also desk ( hairdryer drawer ) chair . high ceiling make small room seem bit big . draperie lovely chandelier elegant touch . bed ( two twin put together make king ) firm comfortable . four large , high quality pillow synthetic comforter duvet . , one well hotel bed ' ve sleep . bathroom spotlessly clean - very modern cultured marble wall chrome fixture . price room include continental breakfast serve downstairs restaurant . feature 6 type cold cereal , milk , orange apple juice , yogurt , ham , cheese , croissant , bread , assortment jam , fresh fruit serve tea coffee . full english breakfast egg , bacon , tomato , baked bean could purchase additional 7.50 pound . wait staff pleasant . food always fresh attractively present - far say american hotel visit . location hotel perfect sightseeing London . 5 pound cab ride Heathrow Express Paddington station , 5 minute walk Lancaster Gate tube station , 3 minute near bus stop ( city bus tour bus stop ) . lovely 300 year old pub , Swan , couple minute walk away bayswater . hotel locate block Hyde park . park easily access Lancaster Gate . area quiet feel quite safe walk night . travel city find location convenient . okay , complaint . mind , trivial want include everything . hotel room key HUGE . be attach billiard ball type thing add weight backpack . heat towel rack bathroom not work last day ( would nice operating cold outside ) . two towel bathroom . ' m sure could ask . channel television . time , want watch tv , 4 thing choose two news . also , buy phone card plan make phone call ( local long distance ) . phone rate high . know ' ve go forever , would appreciate detail look hotel . hotel staff helpful , room nice , location good . would definately recommend Commodore . 
 Jan 19 2004 	 wonderful Hotel ! ! 	 3 friend delightful stay Commodore Hotel . say enough good thing hotel , staff service -- friendly , efficient , helpful ! ! stay 3 night -- hate leave vow return Commodore next time London . location perfect need area simply quiet , safe , peaceful place stay . thank make visit grand memorable . Judith Burdack 
 Nov 10 2003 	 great place stay London ! 
 Oct 19 2003 	 would recommend hotel ! 
 Oct 13 2003 	 will not rave bad 
 Oct 3 2003 	 much well average London hotel price . 
 Jul 20 2003 	 Nice Moderate Hotel 
 Jul 11 2003 	 elegant stay 
 Apr 22 2003 	 not stay hotel 
 Apr 2 2003 	 Nice Hotel 
 Oct 18 2002 	 spend lot time outside room ! 
 Sep 26 2002 	 Commodore ; epitome elegance . 
 Nov 26 2009 	 Carino 
 Oct 18 2009 	 Muy bien comunicado 
 Oct 1 2009 	 Varning med ganska bra läge men det finns bättre hotel närheten . 
 oct 1 2009 	 schöne traditionell eingerichtete Hotel guter Lage 
 Aug 30 2009 	 Bien pero algo de ruido 
 Feb 11 2009 	 accettabile 
 Dec 21 2008 	 magica londre 
 Oct 21 2008 	 Correcto muy bien situado 
 Sep 29 2008 	 un vero gioiello ! ! 
 May 13 2008 	 Bon hôtel 
 Sep 25 2007 	 Consigliato ! 
 Sep 21 2006 	 Hotel nicht zu empfehlen 
 Apr 3 2006 	 Gerne wieder ! 
