wonderful 	 sore throat hotel bring room carafe microwave make tea . wondeful . 
 Nov 25 2006 	 Cozy Classy Super value 	 Talbott really nice hotel great value . locate quaint street , block Four Seasons heart great shopping restuarant . room well appoint impeccably clean , bathroom bite wee size robe Aveda product make . boutique hotel 's small cozy . staff pleasant helpful . say beat name - brand hotel , especially give location price . would go back . 
 Nov 11 2006 	 Outstanding Hotel Big City 	 stay Talbott 18 day work tradeshow McCormick Place . little worried - assign small hotel - never know - really trust review . boy thrill . hotel tree line street , within half block four Seasons ( tell neighborhood fact nice ) . good part Magnificient Mile two short block away - see Michigan Avenue hotel . doorman greet arrive . one present almost 24 hour day . when walk , small lobby , living room style seat area side fireplace . immediately get cozy feeling . arrive early day Chicago Marathon , cold , wet rain - get room within hour ( sell night really rush ) .I executive king - large room huge bathroom seperate tub shower . Aveeda soap , etc . furnishing new - good shape , soft bedding nice carpet . ask small refrigerator since would long , bring one along microwave . day day service excellent . doorman concierge , maid , everyone pleasant helpful . one front desk attendant know like banana , duty , make sure fruit bowl apple orange banana also . beautiful small bar - gorgeous wood . mostly tired ever go . fresh coffee - complimentary - morning , along fruit . if nit pick - area hallway room could use touch paint - hit repeatedly luggage cart . food could well , never eat , work mate declare could well - always go - around corner great italian food Pizano 's many restaurant Rush . rarely eat hotel - local food good pass since hotel close everything walk , turn towards direction find good restaurant shop . this hotel people like small intimate setting , cozy , one one service people remember name not need loud bar restaurant , etc . travel living prefer style hotel - want quiet place , upscale furnishing great service . Talbott deliver . almost 50 staff country , hotel booking service us 10 different hotel . base everyone say hotel , many see visit other three week , know Talbott superior ! not get stay next time , disappointed ! fall love Chicago Talbott Hotel ! 
 Nov 6 2006 	 Great Little Hotel 	 hotel would receive & quot ; excellent & quot ; review not wait 45 min . ( check - in time ) get room . however - since make wait upgrade us suite ! fabulous ! huge room , huge bathroom , COMFORTABLE bed & amp ; linen , super CLEAN boot ! location great - spectacular - 's difficult get spectacular location big city much . WAY NORTH want anything Art Institute / MillenniumPark - anything south place - 's quite hike be walk , short cab ride be not . it close great restaurant shop . valet guy helpful , friendly & amp ; efficient . front desk - uh ... much . nice bar outside lobby ( believe restaurant locate around bar eat not really & quot ; look around & quot ; area ) . elevator small slow ... big deal ... stair too . if look nice , relatively inexpensive ( city ) , small hotel quite area city ( use word & quot ; quiet & quot ; city term ) place ! will definitley back . 
 Oct 6 2006 	 great Stay 	 recently stay Talbott . first little apprehensive review rate service poor . think service great . everyone nice actually go way helpful . arrive 10:30 a.m. problem check early ( 2 room ) . actually upgrade room . room clean . nothing good thing say Talbott . great value ( pay $ 199 per night ) 
 Sep 18 2006 	 great experience - except front desk 	 spend weekend Talbott . love location - close everything - well decor hotel . room great , bed super - comfortable service whole , excellent . old doorman great smile always extremely friendly helpful young man concierge . unfortunately , dealing Anna , young woman front desk , put damper weekend , experience great one much worth money . would strongly recommend hotel . 
 Sep 15 2006 	 great hotel ! 	 husband love hotel ! make reservation spring last minute decide would like add night . call hotel helpful . stop bar night town pleasant time . staff wonderful . definitely stay . 
 Sep 4 2006 	 great hotel ! 	 not believe unfortunate review August -- hotel wonderful ! family ( husband two daughter ) return weekend getaway Chicago . hotel exactly advertised -- even nice ( ! ) . go New York City spring break year , Europe June -- girl think nice hotel ' ve stay ! room two queen bed unbelievably spacious . bathroom beautiful -- tile granite , two sink light makeup mirror . housekeep great job , -- everything clean . the staff friendly outgoing -- even doorman maid say hello greet we smile . staff helpful , -- question request promptly address . even able get Sunday Mass easy direction current schedule Masses . location perfect -- block Michigan Avenue . never take taxi , type transportation . walk walk walk day evening -- feel safe comfortable . great hotel great stay . would highly recommend Talbott would not hesitate stay again . thank super weekend ! 
 Aug 16 2006 	 Terrible Talbott 	 much complainer , see review post site , Talbott provide bad service feel need warn future traveler Chicago : girlfriend stay Talbott 2 night late July 2006 . first sign something wrong come initial booking room phone . receptionist outright rude , take reservation without mistake . stay hotel restaurant staff extraordinary incompetent , waiter , manager , nobody friendly , tie accommodate we . [ -- -- -- -- -- -- -- -- -- -- -- -- ] many other stay hotel attend wedding reception close arrange hotel bar remain open 12 - 2 hour ' party . hotel manager assure we secure do past upon occasion . return reception 11:50pm bar closing night manager hotel staff rude friend . " nobody tell we , ' anything you . " " sure arrange ? " two quote typical hotel ' staff know never stay hotel again . I understand mistake make communication difficult across different shift hotel , blame customer confuse fail arrange know arrange later confirm day staff rude even taste . [ -- -- - ] 
 Aug 15 2006 	 Talbott great anniversary weekend 	 wife love Talbott anniversary . small hotel , perfect we . upgrade free corner room decent view . construction outside window , could still see city . staff great we , request bath robe get back dinner hang bathroom . bathroom amazing way . location great , block two hancock build Michigan Avenue . great little shop store right close . actually walk way past river come back Navy Pier never use cab drive . fairly long walk river walk , worth . parking easy : $ 27 night though . definately stay get chance . bad review sound like unfortunate situation , hotel great not base decision review like . romantic stay , great place . 
 Aug 9 2006 	 avoid Talbot 	 avoid Talbot , especially group function . in - law spend great deal time try find right hotel use wedding party several town guest . lure promise Talbot , since small boutique hotel could provide & quot ; special , personal treatment & quot ; . nothing could truth . fail honor two request keep bar open reception , persistently confused reservation request , front desk fail contact valet despite multiple request nearly cause guest , wife , two year old daughter miss depart flight . bad part . mistake make , even hotel manager human , hotel , suppose hospitality service , distinguish handle correct error . case point : request several occasion make reservation family place credit card , expense , assurre would problem . course , brother , wife , asthmatic five year old arrive sear hot humid Chicago six hour travel would not let check physically see card ... despite card record , despite explain phone . brother recall & quot ; indignation & quot ; desk clerk mention charge put card . another guest , case old brother , come put charge onto card five year old could escape heat prolong wait lobby . finally able get across town , leave Cubs game early , speak put charge account . agree , never anything . end old brother check Sunday tell everything alright , go ATM account frozen & quot ; unathorize overuse & quot ; . hotel keep billing debit card automatically multiple charge ubtil account essentially drain . get home take entire day discuss bank rectify event . spend Sunday afternoon hour three hour Monday , first two day honeymoon phone , call Talbot , credit card fraud division , brother , etc try solve situation . aggregious insult continue come form cover manager , one point suggest & quot ; mistake come back talk desk clerk matter & quot ; .... witness event , insinuation lying , way clerk could make mistake . end , one run place ... manager one department refer manager another department voice mail . finally able get name general manager ( two day ) neither assistant would ever call back . communication staff mangement non - existant . fortuneatly staff signature Room ( reception ) beyond excellent day lose , Talbot go way insult poorly serve family many wedding guest . try Ambassador East ( neighborhood ) cheap , much professional staff . 
 Jul 30 2006 	 Bait Switch 	 reserve room sleeper couch week stay . check unpack , discover sleeper sofa remove ( supposedly renovation ) . front desk clerk bellman never mention sleeper sofa even though see 4 we check room . Colleen , one manager , argumentative nothing resolve problem . end one child sleep couch sleep antiquated rollaway bed . never speak general manager conveniently & quot ; absent hotel & quot ; stay . stay one occasion past decade never encounter incompetence . make several phone call receive miserly discount never receive apology . lack training staff clearly evident , cavalier attitude management . 
 Jul 11 2006 	 Thought Talbott great 	 ' m fairly frequent recreation traveler like nice , unique hote . criterion Chicago small , independent , upscale hotel great location . Talbott definitely fit bill . room extremly spacious ( 2 ) , well appoint clean . bathroom two sink , phone , good shower nice amenity . bed , comfortable nice linen . desk staff ( except one ) extremly helpful courteous . even bellman go way helpful . locate two block Michigan Avenue perfect launch day yet quiet night . take upper floor room interesting view long room quiet night , ' m pretty happy . lovely restaurant outdoor cafe . grab breakfast one morning ... morning go Walkers Original Pancake House 2 - 3 short block away . morning breakfast , rush make sure wait promply order come timely manner . plenty shopping , restaurant , bar , etc around hotel conceirge , Tim , helpful direct we destination make reservation . another concierge encounter twice , could do without . help , always sense go way . everything else , think , well average hotel price range . think back make reservation , even hotel reservaton agent excellent . good job Talbott ! 
 Jun 8 2006 	 Lovely Boutique Hotel 	 back weekend stay Chicago 's Talbot Hotel award high mark location , ambiance service . 's locaction Rush State street ideal couple block Magnificent Mile , John Hancock Center WaterTower great stop tourist information pick Hop Hop bus . it great curb appeal lovely outdoor dining area - cheery yellow tablecloth cafe umbrella . great alfresco breakfast , Nutella banana crepe . like boutique hotel lobby small 's charming - lot leather couch antique ( include score french horn ) sort English Club look feel . great lobby bar terrible Cosmopolitans house wine need upgrade . our room clean , attractive , spacious two large window flood sunshine . the bathroom decent size double sink , make - up mirror ( favorite amenity ) Aveda toiliterie . bathtub bit shabby water pressure ; allow invigorate shower . complaint bed - comfortable enough . we find service good despite glitch check - in . gene conciegre accomodate deliver great advice terrific dinner reservation Saturday nightwe will return . 
 May 18 2006 	 pleasant 	 daughter stay hotel May 7 May 10th . check introduce Stephanie concierge . gather information us trip direct we thing . Stephanie be great . corner King large . bathroom wonderful double sink . one bathrobe hanger bathroom . go sight see several hour pleasantly surprised find another bathrobe room . doormen fantastic hope Roger next time stay . location great room quiet . housekeeping staff great . thank thank thank wonderful stay . 
 May 10 2006 	 enjoy Talbott would return 	 hotel overall great stay . three night business trip . first , location excellent . block Magnificent Mile block four Seasons , give idea excellent location . service outstanding every way . staff friendly accomodate . complaint hotel would room . bathroom fantastic ( marble , new fixture , bright ) actual bedroom part could use update . feel like bedspread use 15 year . furniture date bed feel like make 1985 make miss Marriott 's revive bed . however , hear update room get mine yet . true ( construction evidence like blanket elevator wall would indicate ) Talbott would perfect ten . overall , recommend . 
 May 3 2006 	 Excelllent Choice Prime Neighborhood 	 stay 5 night late April . hotel lobby attractive ; guest room well average . opt ' superior corner room ' , happy , peek several standard room would good . room see 2 comfortable easy chair . bathroom large , clean well appoint . entire staff pleasant . intimatre experience . day staff know we . two excellent concierge ( Gene & amp ; Stephanie ) , one officious ( Tim ) . great location near lake , serene neighborhood , 2 block Mich. Ave . expensive ( $ 310 per night include tax ) . every hotel every country light bulbs low wattage ( ? ? ) . breakfast Cafe Tempo 1 block north hotel . can not beleive firstt negative review . problem noise intrusive staff . construction hotel ruin experience . maybe . 
 Apr 4 2006 	 Talbott top 	 well locate hotel , State Michigan Ave Maginicent Mile . corner suite . clean King size bed , seat area two armchair . plenty space . good size bathroom plenty towel , lotion , hair dryer use bath robe . staff pleasant helpful . complaint would continental buffet run 11:00am , 1 minute 11:00 disappear even though arrive prior 11 , forget . 
 Feb 27 2006 	 Fraud alert 	 call Talbott price avaiability april 05 stay Chicago Oct 05 . ask credit card # assure would charge make actual reservation . charge Oct one day stay { $ 241.00 } credit card . reservation make , contact hotel show transaction occur . still work credit card remove . never stay hotel , bad transaction . 
 Feb 23 2006 	 Felt like Grandma 's House 	 Talbott feel warm glow history . dark wood wall fireplace lobby transition stepping bustling street . be like ' ve arrive Grandma 's -- cozy , comfort , OOOOOHHHHH food . can not remember name dish , try oriental salad steak . wow , delicious ! ! staff friendly ' ve encounter . stay , staff don new communication device allow reach anyone hotel . say use improve customer service . well , work ! ! responsive , friendly , attentive . will stay . 
 Jan 18 2006 	 great place 	 great , large 1 bedroom suite , reasonable rate . service good not valet certain hour park car . otherwise , folk helpful . 
 Jan 13 2006 	 Terrific Talbott 	 recently stay Talbott Hotel ( Rush 1.5 block & quot ; Magnificent Mile & quot ; ) . small boutique hotel terrific location within easy walk distance John Hancock Center shopping Michigan Avenue . from moment exit cab , superbly treat entire staff , doorman bartender concierge . property beautifully appoint , exceedingly clean well maintain . half price nearby Four Seasons , property bargain . I new favorite hotel Chicago ! 
 Jan 4 2006 	 Nice Choice Chicago 	 really like hotel . clean tidy , room quite spacious , staff friendly . location extremely convenient shopping good dining . free cookie coffee afternoon excellent . bed great , bathroom modern nice . complaint concierge seem bit overwhelmed time , finally could talk helpful . be pricey , bargain compare neighbor typical big - city price . 
 Oct 17 2005 	 not choose Talbot 	 great front desk staff , rest experience dreadful . room service staff among poorly train ever encounter . ask four time staff slam supply closet , adjacent room ( almost room ) . random room check minibar , entire budget hinge sale $ 9 peanut . roomservice also equip walkie - talkie loud megaphone . like sleep vacation , not stay . also , hotel massive construction , detail conveniently exclude website . take elevator construction worker every time use . discount work noise . would rather sleep box alley . 
 Oct 8 2005 	 Friendly Little Boutique Hotel 	 return Chicago girlfriend . Talbott nice place stay . small hotel , good service . kind place everyone know name want good experience possible . conceirge helpful get we good restraunt last minute notice , also find we Oprah ticket ! also print boarding pass , deliver room charge service . nickel dime everything hotel . room spacious clean , nice Aveada product bathroom stay comfortable temperature . 2 queen bed plenty room move around . short 1.5 block shopping food Michigan Ave . american Girl Store close must people little girl live . downside think view window great big deal we look outside . also 2 elevator busy may wait , problem . overall , pleased choice stay . intimate hotel feel home . wait go back shopping fun . 
 Oct 6 2005 	 Quality Rates Typical Syndrome 	 traveler loyal favorite hotel experience sad truth : eventually lodge deteriorate . expect price double triple time ! stay Talbott several decade . yes , change make , like update heating cool system front entrance , recently . but thing go downhill . last several stay experience dirty carpet slow service . rate skyrocket ask 3 night minimum stay many occasion . kind rate structure one might expect 5 star hotel within spitting distance Talbott , less - than - maintain lodging . I , personally , shop new home away home . 
 Aug 30 2005 	 wonderful experiance ! 	 book another hotel block away spend unhappy night . walk Talbott courtiest staff show we room book rest stay . the room attractive well furnish double sink bathroom . tub large shower pleasure . location quiet request . the staff always cheerful helpful . Tim Stephanie provide excellent concierge service ! breakfast Basil Cafe great way start day . we travel lot appreciate ambiance good hotel . would highly recommend Talbott stay . 
 Aug 29 2005 	 Cozy wonderful ! 	 love Talbott ! everything wonderful . staff friendly go way make stay enjoyable . two fireplace cozy lobby BEST hot cocoa ever ! not business center wireless internet . stay Talbott October . 
 Aug 22 2005 	 Talbott Fabulous 	 return 3 night stay Talbott . first visit , honestly say would not stay hotel Chicago . first greate bell captain final departure , staff nothing less amazing , always greet smile help attitute . room ( 1508 ) spacious comfortable . bed probably comfortable wife ever sleep ( include four Seasons ) . great breakfast drink Basil 's . would miss fantastic experience , not stay Talbott . 
 Aug 13 2005 	 nice european - style hotel wonderful location 	 love Talbott . location fabulous ... close shopping . hotel small , room nice . spacious able darkened sleep well . also , bed comfortable ever sleep . might also add room queen bed . the staff friendly put . hotel cute outdoor eating area sidewalk flower , etc . look like scene Europe . I would highly recommend hotel . daughter ; age 10 13 . 
 Aug 8 2005 	 Great Hotel Great Location 	 look several hotel review area decide Talbott disappoint . room nicer picture show web site . previously stay Knickerbocker year ago price year $ 100 per night pay ' 04 . rate get Talbott fair will never go back Knickerbocker . room comfortable spacious , well maintain . minor , mean minor , flaw room big tv little bit far away bed , say , 's minor criticism . staff efficient courteous . location great . be within walk distance lot shop Michigan Ave many restaurant price range . would definitely stay Talbott . 
 Jul 17 2005 	 always stay Talbott 	 ' m post review year stay recently discover trip advisor . will not write review hotel visit feel compel let reader know Talbott . everything stay exceed expectation . 's great location , room large quiet . staff really make difference . luxury hotel employ concierge staff seem annoyed ask help . willing help aloof . Talbott staff look way help we . check mention front desk since late would like go street quick meal cheesecake factory . concierge overhear we , check , catch attention leave dinner . give we card tell we give restaurant might cut time wait . concierge go even actually call cheesecake factory let know come . couple front we tell 45 minute wait . wait 5 minute concierge 's card call . great service continue throughout long weekend always stay Talbott travel Chicago . 
 Jun 22 2005 	 Love Talbott ! 	 Location , location , location . great find ! excellent , well - run , small boutique - type hotel tree - line street near action without oppressive crunch . room good - sized clean ; good bed shower tub . air conditioner , mention review , noisy , 's minor complaint . staff simply wonderful attentive housecleaning concierge . site restaurant great . red - line El 3 - 4 block away make get around city breeze . footstep away Rush Street North Michigan Avenue Lake Michigan . would moment 's hesitation book hotel future ; fact , would not book anywhere else . 
 Jun 2 2005 	 Alright price 	 firstly , pay $ 175cad night . price , bad . would pay hotel though , hotel significantly nicer much . hotel nice classical european charm . clean . staff friendly helpful , state , construction lobby pretty much finished . one thing note soundproof nonexistant . literally hear everything go hallway , upstairs , beside . 
 May 31 2005 	 marvelous ! 	 hotel staff incredibly friendly . room large clean Aveda product marble bathroom . hotel small european boutique style property . location perfect couple block heart Michigan Avenue 's world famous shopping . bed comfortable . room window air - conditioner unit take bit get use . value hotel incredible overall would recommend anyone stay look quaint , luxury , fair price hotel . 
 May 31 2005 	 nice people bad room 	 back spend Memorial Day weekend Chicago . decide stay Talbott , reserve room month ago . must say find staff wonderful , accommodation quite disappointing . give room # 1605 . avoid room cost ! adjacent elevator noisy keep awake night ( awaken 6 ) . addition , request king bed , # 1605 two double . also surprised coffee maker room . despite friendly staff super location , Talbott less expect , would probably stay . 
 May 29 2005 	 Perfect location service suite 	 husband stay Talbott close week Mid - May , 2005 ; book base extensive review comment Trip Advisor . constuction hotel continue , reap benefit recently renovate upper - floor suite , never inconvenience renovation . positively love enormous King Suite ! king bedroom tv , spacious closet .. dress bench foot bed make wonderful perch gaze north 2 sunny window . bathroom suite - marble - tile shower , 2 vanity , 1 bench , deep soak tub european hand - hold spray , separate wc . posh robe , warm - air circulation system also make treat could never hope home ! add living room 2 comfy chair , pull - out sofa , tv , 3 huge window eastern southern view . husband bring laptop check email day - free WiFi converter appreciate . & quot ; & quot ; huge desk nook living room , also wet bar . Perry , greet we Valet take we suite also arrange us mini - fridge , greatly appreciate much - use . window nice blind allow & quot ; blackout & quot ; morning wish sleep ... 2 central AC control panel keep room perfect temp . entire hotel staff gracious , knowledgable , housekeeping quiet . exception & quot ; K * * * * * & quot ; ( know ) reservation desk , get snippy could not find reservation . hung , rediale , get Ramona , well smile voice answer look . Talbott PERFECT location see North Side Chicago , easy access Red Line bus El . hint - purchase Visitor 's Pass white machine El station - not use machine comuter ! walk distance Hancock Tower ( go sunset ! ) Mag Mile , lake . nice grocery , Potash Market , State south hotel - salad bar , deli , hot food case , beer , wine , liquor , plus regular grocery ; 7 - 11 next door , large Walgreens ' 1 block north . inexpensive full breakfast lunch , try Johnny 's State ... Tempo Cafe also suggest . many restaurant pub head North State couple block , convergance rush - walk distance ! Concierge Gene get we Saloon Steakhouse Seneca Hotel - meal fantastic ! eat 8:30 , unfortunately heavy cigar smoke 9:30 drift across table ruin dessert well mood . eat early , reserve table FAR away bar would bother also . find middle - aged white male Chicago still take nasty tendancy foul world around oral - fixation cigar , sure try impress , walk quite establishment clothe respiratory system not put putrid , dismal state . wake MEN BUSINESS OWNERS - live DC , frequently travel NYC , Baltimore , not problem cigar smoke enjoy meal drink big city . not foul air noise odor , not foul mine ! great sport pub Mother Hubbards , Hubbard Street east State . huge place , clear air , good price pub menu . spend quite hour front numerous tv 's : ) reason would need car Chicago tour tour Oak Park , home Frank Lloyd Wright Home & amp ; Studio . 's MISS day - trip be construction , architecture , interior design . entire neighborhood gem , will spend day wander street ... call ahead make sure tour time , can not get unless take guide tour . nice lunch Erik 's Deli downtown Oak Park - great salad bar , huge hot - and - cold menu . plenty cafe bistros 's preference . enterprise rental station State Street south Delaware - have rent car one day rather drive airport next time be town . convenient train station Midway - Orange Line - take 30 minute transfer Red Line Marshall Fields , exit Chicago Ave station 2 - block walk Talbott . problem cab drivers 1 drop we front Soldier Field , repeatedly ask Aquarium . give , hop , flag another cab driver rather walk 1 mile hill . driver friendly , courteous , cab clean . nice change NYC cab experience ! beluga whales aquarium mesmerizing ; little kid school tour drive we insane . go late afternoon , still allow 2 hour get . Navy Pier ... well , mall . thoroughly enjoy Architecture Tour river . definately - stay Talbott ! 's experience will not find chain hotel : ) two 40 - something , well - season traveller Washington , DC 
 May 25 2005 	 great location staff fine room 	 night late May . good news construction wrapping - still go side door , lobby good shape . location excellent , wireless internet free , provide free pass good fitness center full sized pool short walk away . it warm enough use window air conditioner , mean noise outside audible room . get late , thing fairly quiet neighborhood . room okay - could use well lighting furniture little outdated , amenity good . the staff incredibly nice - would go back . 
 May 18 2005 	 comfortable hotel 	 stay Talbott one week May . small european style boutique hotel heart downtown Chicago . room spacious 2 queen size bed , 2 large comfortable chair , large desk lovely bathroom 2 sink amenity . clean hotel . staff include doorman concierge helpful friendly . room service fast food good reasonably price downtown hotel . wonderful location , walk distance shopping Michigan Avenue Magnificient Mile . well worth consider stay Chicago way lovely , clean city . nice surprise ! 
 May 16 2005 	 Talott place ! 	 first time tourist Chicago , choose Talbott disappoint . corner suite roomy , clean great marble bathroom sink great tub soaking . plenty room room temperature control new thermostate system two control , one bedroom one live area work perfectly . construction take away bit lobby area , bar still cosey completion date around corner , think . location perfect tourist , none well price city . go , call Stephanie Leese first make arrangement desire suggestion perfect . even call room day sure happy schedule . anniversary weekend every restaurant refer we give complimentary dessert happy anniversary wish . waiter even speak us name add nice personal touch . stay Talbott next visit . staff personal quite friendly major city hotel . really love place . 
 May 14 2005 	 okay 	 stay Talbott two night husband although not terrible , expect well . construction pain make lobby pretty smelly dusty . room okay look little batter lot nick woodwork scratch wall . also problem room temperature -- get warm night air conditioner not seem work effectively . 
 May 13 2005 	 treat like family 	 husband stay Talbott first visit Chicago . die go back ! snobby New Yorkers , snobby worry long room take clean shelf shower . not people go ? anyway checked take upstairs . room nice not happy view . say bellman & quot ; nice room , view be ok & quot ; . well 5 minute leave phone rang . girl front desk tell we would like move we room well view . apparently bellman express reaction get right . second room charming . think old - school Manhattan / Brooklyn apartment . bathroom great- double sink , heated tile , aveda product shelf shower ! personel courteous make feel like one stay hotel . many conversation concierge enjoy open friendly personality wealth knowledge . hotel locate great area- easy get around everywhere safe night . stay make sure buy Chicago White Sox cap wear front Stephanie concierge wathc reaction . way like jazz city . go Green Mill Velvet Lounge . not swanky place suppose do- play good music . also hit russian Tea Time across Chicago Art Institute great latke blintze . 
 may 11 2005 	 Hmmm ok hotel . . . guess 	 normally stay Omni Chicago Renaissance . . . Talbott comparison . good thing : staff helpful friendly , location 1 block Rush St & amp ; add another block Michigan Ave . , internet free , room clean amnetie room . impressed . . . view alley , furniture look hotel age impressive . bad , A / c window unit loud keep night hot turn ! overall , icky experience tourist hotel much want middle action , bad hotel stay , maybe enjoyable frequent business traveler strive somewhat upscale really comfy suite . travel Chicago monthly , book Talbott save little money hotel , go back modern , Omni Chicago , much , really . 
 Apr 19 2005 	 Back Talbott 	 return 2 day stay Talbott . book read review site stay ' m sure rate # 9 popularity rating Chicago Hotels . location great - meeting area could stay Sofitel rate pay Talbott - ' ve stay Sofitel want try something different . ' m sure would make choice . hotel undergo renovation include main entrance , lobby floor . corner deluxe room large - king bed , desk two easy chair . room plenty room look tired . bathroom great recently remodel - double sink great counter space - complaint tub / shower lack kind shelf soap dish . 10 room floor hallway nothing special - may due renovation progress floor extremely tired dark . complaint include heat / airconditione room lighting . since season begin change cool night warm day . heat supply old iron radiator hide radiatior cover - 's good thing hide - pretty nasty looking . regulate heat lift cover turn valve ( easy thing middle night without getting burn ) . heat started never stop . cool room residential room type air conditioner mount wall new air conditioning unit thermostat sign say yet operational - event three go day night almost impossible get room comfortable temperature . would assume new system thermostat working - thing improve . lighting room average - seem lamp equip energy save bulb not throw enought light . staff friendly - especially doorman . everything say would give Talbott B- 
 Apr 17 2005 	 dump ! 	 location thing matter , stay Talbott . however , wife travel extensively throughout North America Europe , never , entire life , see inept housekeeping staff . unprofessional , noisy , incompetent well suit one star hotel . yell hall , slam door , take far long clean room . come room several time check fridge sell bottle water $ 3 . hotel renovate stay also endure construction work - discount offer even complain several time . front desk staff polite , care ? be suppose nice . spend lot money stay feel receive fair deal . room sub - par price , even inner city hotel . stay somewhere else well vacation . 
 Apr 17 2005 	 great place 	 spend wonderful two night Talbot , everyone helpful pleasant . undergo construction inside may want ask discount book tell . great location warm friendly bar construction crew quit evening . would stay even construction . SPM 
 Mar 16 2005 	 good Kept Secret Chicago 	 second stay Talbott , convince place stay Chicago . service impeccable , room comfortable location great . talbott couple block Magnificent Mile activity ( read shopping ) . neighborhood great selection restaurant ( thai restaurant across street good food great low price ) , great strolling . would hesitate recommend Talbott ! 
 Jan 23 2005 	 Staff wonderful ; nice room . 	 stay Talbott second time , like much . 's really staff make hotel : doorman bartender concierge -- everyone seem want great time Chicago . 's wonderful location , Michigan Avenue , ( relatively ) quiet residential street ; be close shopping , restaurant , lake . bar cozy staff friendly ; food okay , many good restaurant within walking distance . would give hotel another star heating system well . even though turn radiator much possible , still turn fan open window ( blizzard ! ) make room comfortable sleeping . 
 Jan 4 2005 	 place stay Chicago ! 	 go Chicago December 5th-7th girlfriend see exhibit Jacqueline Kennedy 's clothe Field Museum . stay Talbott stay ( last April ) , friend recommend friend . love ! ! ! ! decorate holiday look absolutely beautiful ! lot poinsettias , decorate tree greenery . truly one charming hotel ever stay Chicago anywhere else ! oversized room king - size bed . marble bathroom well - stock Aveeda product . small sit area two comfortable chair face tv . problem Talbott central airconditione heat , bellboy tell work change slow winter month ... good thing . large closet , umbrella available . good part service ( everyone friendly helpful ! ) fabulous brownie available lobby every evening ! agree lot noise come street . yes , room dark , trash truck start pick - up 5 one morning wake . second floor , probably noise upper floor . not hotel Chicago charm , Talbott hotel want stay travel Chicago ! 
 Dec 16 2004 	 Talbott great . 	 wife travel Michigan Chicago every year holiday shopping stay numerous hotel . Talbott beat . great room price , update new carpet , new bathroom , new wallpaper . excellent location . able shop Water Tower off - load goody room travel & quot ; Mile & quot ; . concierge helpful people desk . return soon possible . 
 Nov 24 2004 	 Nice English 	 travel Chicago Mass . 15 month - old son wedding . select Talbott Hotel great web - rate , really good review , seem like small yet high - service hotel . turn accurate . call prior trip request early check - in problem hotel . arrive 12 pm usher 1 bedroom suite , sit room , greet everyone lobby ! suite comfortable , well - decorate , QUIET . bathroom huge beautiful . enitre STAFF - concierge housekeeping - INCREDIBLE ! helpful friendly ! room - service menu limited breakfast restaurant fresh delicious , well serve relaxed sofas comfy chair ! rate , many great restaurant service available within block hotel seem minor detail . able , instance , go block Walgreens formula diaper , 3 block pancake , 2 block shopping dinner . Doormen super - valuable source information term go/ see/ get , etc . really know town wonderful people . GREAT visit really happy selection Talbott Hotel ! 
 Nov 24 2004 	 nice definitely recommend 	 actually , would give hotel four half dot -- borderline five dot . would definitely recommend Talbott like simple elegance bygone era everyone greet sense ( dare say ? ) community . I stay Talbott four night Nov 2004 . stay Chicago many time always loop . first time stay Gold Coast area . Talbott charming . old apartment building , 8 room per floor . two elevator serve 16 floor , maximum wait time lobby couple minute . lobby slipt two section , small , nice . everything warm cozy warm staff friendly . even guest cordial smile ( part ) , be really quite pleasant change big corporate hotel . Talbott close everything , include cta red line station , easily walk Water Tower , Mag Mile , Grant Park , Loop . idea would convenient regard . right behind 900 North Michigan shop , tuck away quite nicely quiet tree - line street . give room top floor spacious comfortable . view nice breathtaking . problem one curtain fix promptly . one desk chair room also loose wobbly , overall big deal . would liked see sofa rather two arm chair , room adequate . bathroom amenity also quite nice . couple thing keep mind : lot nightlife area lot noise come street , particularly along N. Rush St. well wee hour weekend . light sleeper could problem . part problem A / C wall mount basically hole wall street sound travel . heater / radiator also quite old conceal cover . make odd pinging sound never bother enough problem . if like sleep complete darkness love . blind draw closed room pitch black . sleep 12 noon still pitch black ! set alarm body clock / circadian rhythm woken sun ! think 's kind silly key mini bar since housekeeping staff open anyway , honestly going come steal juice ? check check breeze . so , sum : Talbott simple , comfortable hotel draw inspiration old style american charm people care stay . 's impression get anyway . gimmick flashy extra . staff great place definitely worth look . chance visit bar restaurant comment , seem popular . would definitely stay . 
 Nov 23 2004 	 excellent room guest service 	 hotel lovely can not central location city . staff exceed expectation provide everything would need comfortable stay . highly recommend friend colleague 
 Oct 24 2004 	 great hotel well locate 	 stay 7 night last september . great little hotel large room . room bite dusty though . service good people helpful . love free wireless internet . location fantastic behind watertower next & quot ; restaurant district & quot ; .I would expecete gesture stay 7 night get special treatment . good value money . 
