fabulous 	 stay one night & amp ; great ! complimentary valet parking & amp ; would even allow car park till late evening even check , . location great we couple block great American Music Hall plan see show night town 5:30 wine reception great start evening . staff friendly , helpful , energetic , & amp ; funny check check ! fiance read reviews hand & amp ; know reserve top floor say room room noise issue - none ! room & amp ; bathroom clean & amp ; crisp feeling . love eco - friendliness hotel offer ! ! will definitely stay . already recommend Hotel Carleton everyone speak trip ! 
 A+++++ WO not DISAPPOINTED 	 stay Carlton Hotel 22 November 3 night honest try change booking follow read negative review tripadvisor . could not get booking change hold breath hope well . glad go Carlton . hotel situate Sutter Street 15 minute walk Union Square , know everyone keep go front desk staff see believe helpful friendly , really genuine really go extra mile make sure great stay . room base back hotel massive bed , room bathroom tastefully decorate . hotel near Tenderloin area good area city , staff warn checkin go near , unfortunately wonder feel threaten vulnerable , although one approach even speak we , warn pay attention go . other review also state wall paper thin hotel , categorically state light sleeper hear single sound room entire stay . certainly could hear traffic fire siren hey expect stay middle major city . I really not know negative reviewer talk , glad take chance stay wonderful hotel . 
 Brilliant hotel load character staff match 	 stay 3 night 22 - 25 November 2009 . arrive hotel , greate Theo reception , load character , professional cheery funny . Check- easy instantly ask need direction anywhere tour organise . give we map , point get Fisherman 's wharf number 47 bus Van Ness Av , short 5 min walk stop . also explain within walk distance main shopping area . miss Macy 's Westfield Shopping Centre . only slight grumble room bit noisy could hear guy next dooe cough quite loudly Theo also explain hotel 5.30 Wine reception every night , meet fellow traveller . make every night , Theo provide music play keyboard hotel . meet load people neck wood , cruise previous staying hotel , brilliant time reception everybody make point back this . the breakfast hotel expensive , load cafe 's etc around hotel , hotel recommend Wing Lum chinese dinner , much look inside , food excellent ( 1 portion 2 load ) pass knowledge 2 group also eat . also little Henry lovely italian cafe / diner typical good italian food , run chinese family reasonably price . Alcatraz miss 
 Fabulous Hotel Great location 	 Fabulous Hotel , Great locationI absolutley adore place . feel family run cosy , ideal location town , shopping , cheesecake factory ! never eat restaurant hear good thing it . stay , good hotel ' ve ever stay . 
 Jan 10 2009 	 paper - thin Walls 	 boyfriend stay Hotel Carlton August 2008 four night disappointed hotel . although hotel staff friendly room clean enough , hotel miss common thing look hotel . come Napa , several bottle wine hotel corkscrew could borrow . additionally , mini - fridge room , surprising . minor problem , real issue wall thin baby room next door cry night long keep we awake . follow night neighbor television blasting could hear wall . location also ideal . cute coffee shop within block , walk block wrong direction be really sketchy neighborhood . my brother girlfriend stay Orchard Garden Hotel near Chinatown little expensive much much nice . 
 Jan 8 2009 	 pleasant 	 clean affordable hotel friendly staff . beautiful lobby comfortable room . 
 Jan 4 2009 	 Great SF hotel interesting neighborhood 	 love hotel . 's absolutely favorite place stay SF . conveniently locate , walk distance sight public transport get , fantastic staff . plus , on - site restaurant excellent . could want ? PROS : staff , location , view , flat - screen tv 9th floor , green hotel . clean , staff incredibly attentive need . also , really like greet time come door . make feel like & quot ; random anonymous guest . con : say , wall thin , 's old building . elevator also slow , .... sometimes trouble get hot water . 
 Jan 3 2009 	 Hotel Carlton Joie de Vivre Boutique Hotel 	 8th trip San Francisco favorite hotel experience . time mother - daughter & quot ; bond trip & quot ; could not well . room 5th floor two large bed . room clean , sheet soft plenty room two grown people figure pack week . staff eager answer question seem happy - smile face . even clean lady fun visit . location good use muni system , though arrive airport via BART , may want get taxi unless pack light wheel luggage . happy trade & quot ; continental breakfast & quot ; wine time front lobby evening . like visit people world , much likely strike conversation evening glass wine sit break room early morning bagel . restaurant & quot ; SAHA & quot ; within hotel excellent regret eat meal . write food column LGBT magazine need check number place eat , even one strongly recommend place , wish SAHA . definitely return Hotel Carlton . great experience ! mention & quot ; green & quot ; hotel ? - Bonus ! 
 Jan 2 2009 	 love little hotel 	 book Carlton base Tripadvisor review think one good decision make , holiday go wrong stay hotel like . staff great , helpful , great sense humour afternoon happy hour client good thing ever - get know staff fellow traveller well , make new friend make stay SF even well . room well equip , enjoy american tv good shower . funny enough never notice thin wall ( maybe keep noise neighbour .. ) area interesting , much preferred stay local area touristy place . nice breakfast place around walk Union Square shop right . staff sure tell we area advisable night , feel safe . thank Theo , Edgar , Gio reception staff make we feel welcome ever back SF know stay ! 
 Dec 30 2008 	 great room friendly service convenient location 	 welcome check really friendly warm . room great , compact stylishly decorate lot light well think interior design . large walk closet great get luggage way . location really fantastic , basically walk distance everything want see . unfortunately not get enjoy wine reception host hotel 5:30 every evening buisy run around city . visit SF often would stay . 
 Dec 23 2008 	 ` ` thin wall unbearable ! '' 	 hotel fine old building staff efficient . wall though thin could hear every word people next door say . would somewhat bearable day room long however could hear every word 4 obvious people awake packing leave airport 6 am flight , well , uncomfortable especially not get another 5 hour ... 
 Dec 21 2008 	 Great Hotel Price 	 bay area local stay city one night , want decent hotel good price ( hard come SF , especially time year ! ) ... lot research , decide base review Trip Advisor , Hotel Carlton would worth try ... right ... moment walk door , greet extremely friendly front desk bell staff ... make we feel home right away . valet parking little steep- $ 30 ... worth & amp ; privilege ... stay Everest floor , deluxe room , think tad big regular floors- also flat screen tv , nice . room clean , well appoint ... bathroom small , clean ... thing would say partially negative hotel wall indeed thin ... light sleeper , may good choice ... all- great stay ! 
 Dec 20 2008 	 would certainly go back 	 greet big smile complimentary glass wine , immediately feel welcome . situate short walk hustle bustle Union Square incredible burrito joint Polk Street , Hotel Carlton offer large , well decorate ( clean ) room , small downfall noise street below . our room 6th floor feature king size bed , walk wardrobe , bath shower , tv offer good variety channel . the staff friendly knowledgeable , really go way help you . the foyer stylish comfortable , perfect place relax watch world go by . the breakfast menu comprehensive , expensive . in , great hotel great location . 
 Dec 18 2008 	 great except thin wall ! 	 friend recently stay Carlton three night . many positive quality hotel : evening wine reception , friendly staff , good location , cleanliness room , price . however , wall super thin ! ! neighbor TV late night early morning , although volume not loud could clearly hear room . hear every noise made - talk , flush toilet , etc . not thin wall would definitely stay . side note , rarely hear street noise nice give location city street . suggest bring ear plug . 
 Dec 17 2008 	 can not beat price 	 would defintely stay price , wonderful . upgrade suite business meeting really appreciate computer printer disposal since not laptop . restautant great breakfast dinner price reasonable food wonderful , especailly interesting vegetarian vegan option . staff immensely helpful friendly . bit walk Union Square , long , taxis easy San Francisco . 
 Dec 16 2008 	 Alas cozy boutique hotel 	 usually stay four star hotel San Francisco - time take recommendation friend choose lovely boutique hotel . interesting conceptual hotel Asian inspire decor combine simplistic global design eco / energy consciousness . even like wine selection complimentary reception 5:30 . staff extremely friendly . 
 Dec 14 2008 	 Liked hotel ( except thin wall ! ) 	 stay 3 night part United Airlines Vacations package include flight accommodation Las Vegas , Los Angeles , San Diego San Francisco . the good thing hotel be … ( 1 ) quite close Union Square shopping area – 10 - 15 minute ' walk . ( 2 ) excellent front desk staff – well experience . check , give we map tell us area well avoid night . book city tour we , arrange shuttle airport , give we list restaurant Thanksgiving , even let use computer hotel one working . ( 3 ) room good size , separate walk - in wardrobe . bathroom small adequate . good cleanliness comfy bedding . in - room safe well . ( 4 ) free wine daily 5.30 – 6pm . the major drawback hotel thin wall adjoin door . could hear loud clear noise couple next room , wake we twice . be loud noise , even talk tv easily hear . one thing really need hotel good night ' rest might get shame consider hotel good otherwise . 
 Dec 9 2008 	 Hate ! 	 spend four night hotel would never come back . as soon get room , freeze : heater shut door partially open ( december ) . call front desk fix , heater start make weird noise water pressure .... call second time , definitely shut replace noisy electric one . three time door room lock properly call assistance . also , expect long wait cafeteria breakfast , kitchen close tuesday evening reason understand . neighborhood safe , many homeless around . the front desk able give simple information shuttle bus conference center suppose stop close hotel . give pay , absolutely worth . 
 Dec 4 2008 	 could not rate place highly enough 	 never pleasant hotel stay . staff endlessly helpful . room location great . definitely stay Hotel Carlton next time ' m San Francisco . 
 Dec 1 2008 	 decent place decent location 	 stay hotel thanksgiving . book Travelocity get good deal 3 day . come 103 dollar per night include tax . additional hidden charge levy hotel stay . the hotel old room show . apart room pretty clean comfortable . however heating system good . take room rear hotel absolutely noise street . however could pretty well hear people room say . play spoil sport wife 's privacy . parking charge 30 dollar per night think pretty steep . private parking facility nearby overnight parking 20 dollar opt that . I get chance avail fame free wine afternoon away tour city . overall like room price great deal . 
 Nov 30 2008 	 Loved ! 	 great location , nice room friendly staff ! great find San Fran . spend first night honeymoon , would not change thing . 530 wine lobby great . : ) nice way meet fellow traveller . definitely recommend place , would stay . 
 Nov 19 2008 	 great hotel great staff 	 welcome staff front desk arrival great , long 16 hour journey could friendly . hotel locate centrally enough short walk major attraction city offer . stay 3 night Nov 11th - Nov 14ththe room well appoint , nice comfy bed , clean tidy , one reservation extremley small bathroom not affect greatly maybe issue . wine reception evening really nice touch make feel welcome . do not eat hotel visit ' Brick ' bar next door dinner really good recommend . like vast majority review would highly recommend hotel location , excellent value money , helpful friendly staff . 
 Nov 18 2008 	 Loved atmosphere staff 	 ever walk building feel home straight away ? arrive , husband , Carlton Hotel Sutter Street San Francisco . stay November year . welcome receive , say least , fantastic . Theo concierge brilliant everything could ensure stay happy one . he also brilliant musician find ' get together ' wine evening hold night hotel . brilliant way meet mingle guest . fault hotel room , facility Saha restaurant fantastic . trip state stay 3 hotel one compare Carlton . be San Fransisco bind stay Carlton , will not disappoint ! husband like must good ! ! 
 Nov 17 2008 	 lovely environment ENVIRONMENTALLY FRIENDLY ! ! 	 impress hotel 's environmental credential - especially monitor lobby show much energy save stay solar panel roof . good staff superb , daily happy half hour free wine 5.30 - 6pm allow meet fellow guest connect , enhance experience . there free wi - fi part hotel . the food choice Saha Restaurant extensive , breakfast dinner , suitable carnivore picky vegetarian partner . remember book restaurant early arrive , also highly popular local , may wait late evening forget ! addition , plenty eatery around hotel . Thad 's Cozy Cafe street breakfast , Brick ( next door ) thai turkish restaurant around corner , within 2 block . it be 6 block city downtown area cable car , steepish street get much , regular 2 , 3 & amp ; 4 bus / trolley bus go close Union Square pass door hotel way suburb . also valet parking arrive car , cheap private parking lot directly across hotel . our gripe interconnect door room adjacent one well soundproof , hear every word neighbour 's 5 am phone call day leave . luckily check 8 am day ! 
 Nov 16 2008 	 great find San Francisco 	 recently stay two night hotel pleased experience . service hotel excellent : welcome warmly , print boarding pass flight , book airport transport , give direction , etc . hotel clearly strive provide warm personal experience . I superior king room fine . hotel refurbish , although age show bit thing like bathtub . however , nothing look grungy room clean well appoint . street noise wall thin . one evening , people check across hall / next door noise clear bell . I happy location . hotel staff clear Tenderloin avoid . 10 minute walk Union Square , great eat spot along Sutter Street , Canteen Sugar Cafe . all , good place good value . 
 Nov 13 2008 	 delightful hotel 	 hotel stay tour America choose great help Trip Advisor choice Hotel Carlton San Francisco ideal . we welcome friendly courteous staff room well appoint , clean comfortable free internet access . the location excellent one walk several important place City easily street interesting shop cable car . the lobby hotel extremely pleasant blaze fire comfy sofas every evening complimentary wine reception hold guest meet other . although ' dinner hotel , breakfast morning excellent . the Hotel Carlton would certainly choice visit San Francisco . 
 Nov 11 2008 	 Afternoon wine reception 	 everything great ! stay November Thursday night Sunday , vacation holiday ! hotel lobby cozy couch sit area . free wine reception every afternoon guest gather live musician keyboard . the room small nice , nice decoration - usual beige wall white sheet . tasteful ! service fantastic ! people behind counter polite , helpful funny . honestly want help we ! knowledgable go drink , get ! offer good advice public transit well . there couple place need dusting , high , nothing major . good pretty central location . cab ride 20 minute airport . walk hotel ferry build 35 minute . one cable route 3 + /- block away . numerous bus route area . not hard get anywhere . 
 Nov 7 2008 	 love 	 's nice find hotel live positive reputation Carlton certainly . minute arrive - even bit early - feel welcome value customer . ( many time happen lately ? ) excellent find ( Trip Advisor , course ) . good location value money ; helpful FRIENDLY staff ; clean well maintain good restaurant cook breakfast way like . Book confidence ! 
 Nov 3 2008 	 Fantastic Gem 	 mum stay duration two night stay San Fran could not happy choice . without exception , staff warm , friendly , knowledgeable could do make stay comfortable . treat privileged welcome guest , rather simply customer . our room 9th ( top ) floor hotel quiet , comfortable plenty big enough two we , 2 double bed flat screen tv large closet . the hotel locate 5 block Union Square , daily wine reception must stay - nice touch . this hotel antithesis modern , impersonal anonymous hotel stay often , would not hesitate return , recommend anyone look stay conveniently locate , reasonably price welcome hotel San Fran ! ! 
 Nov 2 2008 	 great hotel ! 	 stay Hotel carlton fantastic ! arrive San Fran late night guy front desk welcome helpful ! start fantastic stay hotelWe corner room 9th floor . great view spacious room . extremely clean well maintain throughout stay . location ok could well house breakfast ok- do not eat twice that s sure . the hotel extremely personal- front desk fantastic room service people . each night 5 complimentary wine - wonderful touch ! everyone get together drink share story ! fantastic Price represent high value money ! return next time stay San Fran . keep great work 
 Oct 28 2008 	 great service facility ok location 	 pleasant stay late Oct 2008 . service front desk staff absolutely outstanding , friendly personal . room great house keep staff also outstanding , friendly efficient . unfortunately , not impressed house restaraunt , although use one breakfast . food ok , service well meaning , impersonal , fluster inept . overall , location ideal facility service mostly outstanding would consider stay . 
 Oct 25 2008 	 Loved Pet - friendly Carlton 	 place fantastic . travel two tiny dog , treat like royalty . spotlessly clean , surprisingly large room fantastic staff . one gentleman check we actually play keyboard complimentary wine service lobby early evening . talented , friendly earth . plus 's green hotel San Francisco . would stay heartbeat . 
 Oct 21 2008 	 good hotel heart SF 	 stay Carlton 3 day mid - October way back thru SF Napa . since beautiful ( new ) wife experience first hotel stay first come SF ( Hotel Drisco ) , think would fun stay downtown change . since Carlton JDV hotel like Drisco along postive review find Tripadvisor , think could not go wrong . staff great , always good interest mind . room small much time really want stay room SF ask explore ? location great convenient Union Square -- within 10 minute walk . would recommend Carlton be look good hotel downtown staff customer focus . 
 Oct 14 2008 	 hotel wonderful ! 	 partner stay Carlton week September , can not gush enough beautiful room , wonderful staff general great - ness place . room 8th floor , queen bed fantastically comfy bathroon window ( not realise rare wonder be go light every time go ) ! staff friendly knowledgeable area - far enough away madness still feel city . although street noise night , not bother either we slight , 's car anything raucous . San Francisco amazing place , love . can not recommend enough . 
 Oct 8 2008 	 Hotel Carlton pretty good choice San Francisco 	 stay Oracle conference Sep 21 - 25 . compare stay previous year Hotel Carlton good choice . 3rd floor room face Sutter street . street noise even window close , could hear noise room next door neither bother much . room nice spacious , good - sized dresser large walk - in closet good since stay 5 night . bathroom nice clean room put personal item . bed king size bed comfortable . complimentary internet plus . 5 - 10 minute walk Union Square , deal hill . able take advantage happy hour one night enjoy . enjoy Saha breakfast highly recommend breakfast quesadilla . I stay Hotel Whitcomb Handlery Union Square , Hotel Carlton less money think well room , would definitely choose Hotel Carlton . 
 Oct 1 2008 	 fantastic stay ! ! 	 lovely , clean , nicely decorate ( modern ) , well situated hotel . staff friendly . would stay second would recommend everyone . reasonable price . just 5mins walk union square - perfect . 
 Sep 28 2008 	 Top hotel 	 Super service wine reception evening . well situate really good restaurant next door - brick . room clean spacious , reception staff friendly exceptionally helpful knowledgeable direction , suggestion trip etc . 
 Sep 24 2008 	 Fantastic ! 	 wonderful place . staff exceptionally friendly helpful . pretty much beck call . knowledgeable area entertain evening wine taste . room nice -- window even open . get upgrade since stay four night without even ask . cancel first night since plane late could not get flight next morning . hotel say problem -- keep reservation intact charge we cancel first night . great experience stay would abolutely stay . 
 Sep 23 2008 	 Noise Noise Noise ! ! ! ! 	 ' m sure & quot ; normal & quot ; rate hotel -- pay $ 189 / night think cost like $ 50 . room clean , however , hotel 's wall paper thin . could hear people next we , people we , people we , people hall noise surround area ( traffic , people yell , siren , etc . ) . place WAY noisy . be awful . pay $ 167 ( get deal - yes ) Westin Market Street phenomenal -- clean , quiet , temperature control , etc . 100x well buck . also - unlike Westin - hotel carlton mini bar refrigerator , A / c.free internet hotel carlton plus - can not make rest nightmare . mean seriously - would rather pay $ 10 internet get sleep b / c chaos surround . 
 Sep 23 2008 	 great hotel 	 stay hotel instead previous SF choice close location SF interested in . the first word hear walk door " welcome home " . check go smoothly issue ( ' booked prepay via airmile ) . hotel ' eternal credit immediately honest local " no - go " area tourist , point we map location avoid foot fair ' unlikley would wander direction . heed advice take sensible precaution ( would anywhere else world ) , problem walk vicinity hotel . ' encounter issue , even though always prefer walk rather take cab . although room , 6th Floor , front hotel overlook Sutter St. subtly light neon hotel sign , problem sleep , even open window . we early Sunday catch tour bus 8:30 mildly surprised find breakfast ' available 9:00 . ' San Francisco , breakfast always available somewhere ( head Sutter St. Lou ' Diner eat would tip ! ) return hotel late afternoon , nice touch find complimentary wine offer lobby hour - perfect excuse mix guest . we breakfast Hotel ' Saha Restaurant follow day provide great start day - portion size , food quality service good . usual suspect menu . check - out smooth check - in . comment note , hotel include $ 1 per night donation ( ) local charity bill ( point we check - in ) – ' rather make small donation say so . all , quiet , clean , friendly hotel good base explore San Francisco ' sight . 
 Sep 23 2008 	 Awesome Hotel - Hotel Carlton 	 hotel fantastic ! use work hotel industry stay plenty different place place truly rock ! lay back attitude still stylish hip . front desk staff knowledgeable seem willing whatever make guest happy . oh , complimentary wine reception night great treat meet hotel guest , make whole place seem like youth hostel grow up ! love value money , San Francisco expensive place sure . 
 Sep 21 2008 	 Loved Hotel Carlton 	 visit Hotel Carlton September 08 extremely friendly welcoming hotel , nothing much trouble . clean tidy room . absolute must eat Saha Restaurant hotel , food world . make sure go wine taste every evening . 
 Sep 21 2008 	 bad 	 always check - possible - tripadvisor make reservation hotel . book Carlton Hotel , book hotel ' website get rather good review readers Tripadvisor website . nevertheless 3 remark make . check go smoothly . room okay . except noise street ( high floor ! ) really loud . keep check whether window leave open , . room also connect room next door 2nd night someone make phonecall , problem follow whole conversation . and thing & quot ; donation & quot ; : card come key mention donation 1 $ per day good cause . check nobody ask thing completely forget donation , day later look bill , notice 1 $ /night add without ask ! ! ! careful , would say . must admit , look carefully check . next time . 
 Sep 9 2008 	 Great Hotel 	 stay hotel 5 night end August say fab . moment arrive every member staff come contact friendly helpful make we feel welcome . room lovely , nice decor extremely clean . I would recommend hotel anyone wish visit San Francisco . 
 Sep 8 2008 	 highly recommend 	 hotel great location , right middle city , far enough traffic noise not issue , close enough Union Square . staff warm friendly answer question , room well appoint King size bed delight sleep 14 hour flight Australia . would definately recommend hotel anyone look good middle range hotel San Francisco 
 Sep 8 2008 	 lovely friendly 	 Stayed Hotel 4 night awesome . twin share room great size 2 people . room clean modern good sized bathroom . staff excellent offer guest wine lobby night free , always friendly offer great advise get around city . location good short walk main shopping area . excellent hotel would stay second 
 Sep 7 2008 	 great choice ! 	 first stop California many hour flight delay . Cozy friendly environment , solicitous accommodate smile staff , excellent breakfast hotel restaurant , cheery wine reception music lobby ... talk Tripadvisor true . GREAT able open room window fresh air . great location three night - two full day solo touring . definitely one traveler like ordinary place reasonable price . would definitely recommend return . 
 Sep 4 2008 	 good Stay San Fran 	 stay Carlton Hotel 2 night . central attraction one could beat price pay . hotel boutique hotel feeling be stay European Hotel . room small side comfortable King Size bed . staff friendly helpful . downside people close room door hear loud slam . wall kind thin could hear people room next we . overall , would stay . 
 Aug 30 2008 	 Fun unique romantic economical ! 	 decide stay Hotel Cartlon honeymoon read several positive review TripAdvisor . ever glad . moment check - in , service phenomenal . soon guy front desk find honeymoon , upgrade room top floor could well view city . old - fashioned elevator nice , bright , sun - fill bathroom , hotel fill charming detail give quaint , vintage appeal . bed extremely comfortable love cozy robe hotel provide . another fun feature Hotel Cartlon ? free wine hour every evening lobby offer guest chance try different wine , enjoy good music mingle . hotel also great location , cool shop , restaurant attraction short walk public transportation ride away . Hotel Cartlon definitely add overall San Francisco experience . will back ! 
 Aug 17 2008 	 great find clean convenient friendly 	 must admit hotel pleasant surprise . hotel staff friendly , clean hotel convenient . take advantage rate include valet parking . stay dozen hotel SFO year next trip stay . 
 Aug 15 2008 	 Interesting hotel 	 stay wedding . 's & quot ; green & quot ; hotel kinda cool . pitcher room fill filter water Shampoo / Conditioner / Body Gel dispenser shower -- super handy much easy try get stuff bottle . downside ground floor subject lots noise hotel rest . indian Fusion can not go breakfast anything . walk distance lot coffee shop staff gracious . not stay ground floor . 
 Aug 6 2008 	 Best Times 	 hotel choose top 10 Trip adviser . we arrive San Francisco day early expect call hotel hope vacancy . luck able accomodate we . mean stay 2 night lucky we turn three . what great experience . ambience hit second walk door . guy desk could not helpful , room ready 10.00 morning . room double Queen size perfect need . it great see hotel care environment everything gear keep aware this . there complimentary wine taste event 5.30 evening would recommend . the Saha restaurant ( part hotel ) fabulous reasonably price . the hotel well situate within 10 minute easy walk Union Square . I would recommend hotel would definitely go back . after leave Carlton stay almost new large hotel . not character Carlton prefer . 
 Jul 19 2008 	 love it - again ! 	 , Hotel Carlton cater everything need ! fourth time stay hotel everytime , well ! not forget free wine hour master Theo entertain keyboard ! need room service , contact front desk within second , Johnny arrive door request . rest staff always will helpful direction suggestion tell would like . stay SFO 's good keep secret feel like home away home ! thank guy ! 
 Jul 13 2008 	 great Stay SF Hotel Carlton - Cool Hotel 	 read review TripAdvisor book three night stay Hotel Carlton part US trip . hotel nicely situate Sutter , around 10 - 15 min walk Union Square . like location neighbourhood feel . hotel staff friendly helpful throughout stay even call room make sure happy follow check . room nicely decorate , personal touch throw make we feel right home . price hotel bargain would recommend friend . way , try Brick restaurant next door . arrive without book sit bench look straight working kitchen . little unusual first , really fun one dining highlight trip SF - food exceptional also . try Hotel Carlton - will not regret . 
 Jul 13 2008 	 Hotel Carton review 	 book room hotel great price read good review TA . staff pleasant , room clean modern , location great , although one wrong turn could end near tenderloin , although credit , staff hotel tell immediately . check , give map , tell exactly go , really excuse . however , say , location great be close ( walk distance ) great place . recommend ! 
 Jul 12 2008 	 Loved ! quality find . 	 book hotel first night honeymoon . booking , kindly upgrade we Kingsize room ( arrival & amp ; check - in not actually acknowledge fact honeymoon would nice ) .The hotel beautiful & amp ; definately definiton ' boutique hotel ' - really nicely decorate room communal area - asian influence , contemporary & amp ; unique . room really well equip comfortable bed , silk cushion , iron , hairdyer , huge flatscreen tv , fantastic shower spotless . wine reception 5.30pm lovely touch hotel buzz time - nice quiet drink chat guest day . staff really friendly professional . also like green credential policy towards recycle laundry . the hotel great location minute walk shop & amp ; restaurant Union Square cable car stop . really easy pick taxi outside cheap get anywhere within minute . we great stay wished evey hotel California like one - would recommend anyone ! 
 Jul 10 2008 	 great hotel 	 stay family really enjoy stay . love San Francisco find hotel really good location explore city . easily walk Union Square , Alamo Square , Lombard Street Fishrmans Wharf . hotel clean modern refurbish staff friendly helpful . stay next go San Francisco . 
 Jul 4 2008 	 Hidden jewel 	 price ( $ 400 priceline.com deal ) hotel ( 3 night ) airfare ( roundtrip LAX ) , not expect much . however , pleasantly surprised clean upgrade Hotel Carlton . staff cordial accomodating . can not imagine find much well , unless spend several hundred $ $ $ . would recommend place anyone look overall pleasant stay . 
 Jul 4 2008 	 enjoy hotel 	 really enjoy hotel . middle tourist area , prefer way . free parking help tremendously price . loved wine taste . comfortable room ( two ) . old hotel quaint shabby . hotel staff good . 
 Jul 3 2008 	 Carlton Good Hotel appear underated 	 Carlton nice , recently refurbish hotel deserve give high mark reviewer guidebook . stay 4 night June find almost 5 star boutique standard slightly let little overpriced ( although number conference town first 2 night ) good location ( although mean bad ) .The room nice : modern , clean , well appoint overall inviting . staff excellent , friendly , attentive etc . check -in inconveniently late ( 3 pm ! ! ) overall good hotel - 5 star standard 3 - 4 star price ( avoid & quot ; conference town & quot ; rate ) would highly recommend . 
 Jul 3 2008 	 thank perfect stay ! 	 review long overdue , tell world hotel carlton something absolutely ! nothing bad say hotel . fall love minute enter cosily furnish lobby still rave leave . our first positive impression , apart aforementione lobby cute furniture ambient fireplace , lovely reception get staff front desk . Marc , Theo Ben , still remember ! staff great asset Carlton . first check , ask Krispy Kreme area . guy tell we not one around , could get we someplace else ( someplace else sound rather distance away ) . not expect , next day , Marc ( could Theo ) , present we huge box KK donut refuse accept money ! ! room get ( twin double bed ) neat , clean fairly spacious . decor might well describe quirky - charming - eclectic , always well - coordinate aesthetically pleasing . definitely cute comfortable room ! Carlton 's location not bad either . 's 5 - block walk ( around 8 - 10 minute ) Union Square . course 's lengendary afternoon wine session unfortunately not get attend time . all , great stay . definitely come back be ever San Francisco ! 
 Jul 1 2008 	 Great Value Great Location 	 Excellent location , nice staff , tasteful room - else ask ? : ) 
 Jun 28 2008 	 favorite place stay San Francisco 	 husband stay Hotel Carlton staff quite accommodate helpful . prefer boutique hotel intimate service personal . upon enter Hotel Lobby pleasantly greet Emelie . entire stay Ben give we excellent direction get sight city . Roumel attentive luggage need . entire staff , even name not remember incredible . afternoon wine reception welcome affair come day sightseeing . room comfortable , clean pleasantly decorate . hotel meet every need perfectly . plan visit hotel next visit Bay area . thank guy job well do . 
 Jun 27 2008 	 Great Staff 	 Fantastic hotel great staff . wine reception delightful . nice size room comfortable bed . within walking distance Union Square . restaurant hotel excellent . 
 Jun 24 2008 	 great staff 	 wife three couple stay Carlton four night . Carlton old , clean well frunished hotel . room spacious . like many old hotel , wall thin . ask room change first night . staff accommodate . fact , staff person upbeat , friendly helpful staff ever encounter . really make hotel outstanding . wine taste 5:30 every night great . the hotel close public tramnsportation ( get muni pass ) . neighborhood seem ordinary first , many good , reasonably price bar restaurant nearby . ask staff recommendation . no bar hotel , drink wine beer lobby . 
 Jun 23 2008 	 Great Choice 	 great experience deseve positive comment . theo great . 
 Jun 5 2008 	 overlook 	 travel San Francisco frequently work , always stay Hotel Carlton . be great , small , out - of - the - way , affordable hotel friendly staff . join Joy Life club ( Carlton 's loyalty program ) give free bottle wine ! 
 Jun 3 2008 	 Great Hotel Great location 	 Great Staff . great Price . cute , clean , quite large room wonderfully comfortable bed . Theo give overview area really helpful . the hotel minute walk Union Square handy . $ 10 - $ 15 get cab fisherman warf . the wine reception afternoon quite fun . little noisy low floor earplug problem . find public transport San Fran quite slow make sure get card cab driver give call directly pay hotel every time order one lobby . stay happy recomend anyone go San Francisco . 
 May 31 2008 	 Loved Hotel Carlton 	 hotel fantastic , great location block away Union Square excellent value money . hotel close shop restaurant . hotel staff friendly helpful make stay memorable . room hotel excellent fair size quiet . room bathroom clean . warm San Francisco room still comfortable although air con ceiling fan . return San Francisco would definately stay hotel . 
 may 30 2008 	 Loved Carlton 	 sister stay Hotel Carlton April 25 - 28 , 2008 . would highly recommend hotel quality price . staff go way friendly accomodate we first visit San Francisco . location bad long able walk six block cable car . also great onsite restaurant . 
 may 27 2008 	 great central location 	 stay 4 night 12 May 2008 . arrive 530pm prove timely daily wine reception ! staff friendly helpful , room well decorate although bed bit shortish side tall person like ( 6 ' 3 & quot ; ) . last 2 day San Fran stink hot , air con room day sleep fine night window open ceiling fan . good central location , away noisy wharf good access public transport . eat restaurant one night good . overall enjoyable stay . 
 may 24 2008 	 cute cozy 	 great little hotel great , friendly staff eager help we get anywhere need go full restaurant suggestion . little noisy , room clean , comfortable nicely decorate . free wine reception nice touch . location block walk union square , long walk chinatown , 2 block bus take we Fishermans Wharf & amp ; Haight - Ashbury . Lots sushi , cafe / diner area . car glad ... parking public lot across street ! real good deal great price . 
 may 22 2008 	 Loved Carlton 	 stay Hotel Carlton May 16 - 18 love every minute . positive many , warm personal service esthetic hotel , truly great experience . my decide come SF day early 15th . go book early day Carlton vacancy ( know : ) ) . book additional day Holiday Inn - Fisherman 's Wharf ( seperate review hotel do ) . let say first night Holiday Inn , arrive Carlton next day feel like come home . my pleased step bright comfortably stylish lobby . good feeling continue make way room 6th floor feel private ( rm . 620 ) not hotel room door directly beside we ( kind hard explain , nice ) .The room decent size feel comfortable . closet huge view much well dumpster view Holiday Inn . hotel excel service ! ! ! within minute reach room receive courtesy call front desk ensure room like . : ) shortly arrive call wine opener . ' m pretty sure bring chance hang phone . area , love . close enough place want see right ' Touristy Tornado ' . Believe , one night stay Wharf , happy somewhere SF ' Disneyland SF ' . area great restaurant , Rex , Tajine ( bring wine and/or beer ) , Holy Grail mention on - site restaurant Saha . well SF great transit system . buy 3 day Muni pass good Muni Cable Cars . could go stay , will end fact be go San Francisco not stay Hotel Carlton , ' m sure will still enjoy trip ... much : ) 
