fantastic 	 28th-30th Nov 2009 . never stay Premier Inn . always favour spend money pricey boutique hotel feature Mr. Mrs. Smith etc . however , moment check immediately notice modern clean hotel . spotless spacious - everything want hotel short break city . unfortunately Sunday night wake feel unwell continue ill throughout night next day food poisoning ( eat outside hotel ) . London pay little hotel apprehensive phone reception ask late check - out . surprise receptionist incredibly kind understanding , allow check two half hour late call doctor . also bring toast room would not take painkiller empty stomach ! overwhelmed sweet forget much help day . great hotel fault , even not ill . 
 Great Hotel Great Location Great Service 	 highly recommend hotel - inexpensive ( London ) , close Tower Bridge many form public transport , be great place stay . clean , nice room friendly helpful staff . not fancy hotel , receive kind service would expect expensive hotel - well do . stay six night , lots Pubs Restaurants walk , coffee bar lobby early morning wake up . want stay Tower Hill section London budget , look , hotel ! : - ) 
 Mar 8 2009 	 Spitzen Hotel I m Herzen von London 
 Dec 16 2008 	 Una bella sorpresa 
 Nov 3 2008 	 sehr gut . 
 Sep 12 2008 	 Premier Inn London City Tower Hill war super 
 Aug 27 2008 	 Ottima colazione e personale italiano speciale ! ! ! 
 Jul 7 2008 	 Genial 
 Jun 15 2008 	 Sehr gut Preis - Leistungsverhältnis 
 Jun 13 2008 	 Gut geeignet für Städtetrips 
 Jun 9 2008 	 Gutes saubere Hotel 
 May 26 2008 	 Super Lage super sauber - echt empfehlenswert 
 May 4 2008 	 semplicemente perfetto ! ! 
 May 1 2008 	 Eccezionale Hotel ! ! ! ! 
 Apr 30 2008 	 unbedingt empfehlenswert . 
 Apr 21 2008 	 très bon hotel 
 Apr 15 2008 	 buenisimo 
 Apr 8 2008 	 Keine Schnörkel - der Rest vom Feinsten 
 Apr 2 2008 	 toll Hotel guter Lage Nähe Tower U - Bahn + Bus 
 Mar 27 2008 	 SENZA PAROLE ! ! ! ! 
 Mar 26 2008 	 Si volvemos repetiremos ! ! ! 
 Mar 6 2008 	 L'hotel ideale Londra 
 Feb 13 2008 	 Ein wenig gewöhnungsbedürftig ... 
 Feb 8 2008 	 Nos encantó 
 Nov 21 2007 	 Una opción segura 
 Nov 6 2007 	 très bon rapport qualité prix 
 Oct 31 2007 	 très bonne prestation 
 Sep 28 2007 	 très satisfaisant 
 Jul 22 2007 	 recommander ! 
 Jul 3 2007 	 très bon rapport qualité / prix 
