excellent 	 attentive staff lovely hotel . upgrade suite luxurious . breakfast great good choice hot & amp ; cold . 
 Mar 6 2009 	 extraordinary every way 	 walk young dynamic team receptionist welcome modern , & quot ; fen shuei feel & quot ; hotel heart london´ West end , next door ( mean across street ) British Museum . room spotless , bathroom lovely large rain - like shower head . flat screen tv 's free room WIFI . check hastle - free . hotel walk distance Covent Garden , Chinatown , Leicester Square ..... 
 Mar 5 2009 	 electrocution ... heat ... 4 - star hotel ! 	 awful . arrive , offer room upgrade . decide decent offer . wrong ... room heat . discover leak come light socket shower ... ! ! ! ! ask room service three time period three day clear mini - bar success . finally go directly concierge send someone immediately take care . multiple line item charge bill above - mention mini - bar fiasco . communication happen day shift night shift . oh , mention , habit housekeeping leave behind dirty dish ... three day row counting . please , clean coffee cup ! ! ! still two day leave stay much regretting choice hotel . location optimal want near BM , Covent Garden , service , staff , quality room worth price . ' m & quot ; superior room & quot ; bad hotel experience ' ve multiple business trip London . want 4 - star hotel center London , not come . 
 Mar 4 2009 	 great location nice large well appoint room 	 perfect location weekend town - walk distance major shopping area , West end ( theater ) , lot restaurant , cafe bar . friendly welcoming staff . the room - London standard - quite large , well maintain ( must completely refurbish recently ) nicely decorate . bed comfortable , noise level outside negligible ( make sure get room look courtyard , otherwise look onto fairly busy street ) . Bathroom modern , freshly refurbish , amenity would expect , perfectly clean . overall - definitely would come back recommend hotel without restriction . 
 Mar 4 2009 	 perfect first trip London 	 great location value brand new hotel ... will go back 
 Feb 22 2009 	 glad short stay 	 spend one night February quick work trip . late dinner client not arrive hotel midnight , luckily literally sleep take shower next morning go 8 am . check - in staff nice although ask lot question like phone number , address , email ( not get make reservation ? ) , still efficient . the location convenient office Covent Garden also central west end sight . usually business choose 4 - star hotel , last minute trip since book day , place expensive . end take Secret Hotel last Minute £ 105.based much hotel , guess satisfied value obviously know expensive London hotel , still think £ 105 rip - off room stay . put twin room , actually never experience anywhere . remind much inside cabin cruise ship . two twin bed , chest drawer also desk also like 7 different switch different light , hair dryer etc . tv really basic . closet right enter room . bathroom extremely small way 2 people could time . shower fold door , barely enough room raise arm wash hair . 's much can not handle small space , room put anything . sink , shelf anywhere bathroom room balance toilettrie kit edge . it fine one night stay literally involved sleep shower , overall quality good . stain carpet blanket thin poor quality . look like clean , old stain look like would not come white blanket cover . I feel like handle less superior hotel necessary , book hotel future travel London office . see much nice hotel available £ 30 would definitely book one future . 
 Feb 14 2009 	 Great LocationGreat Staff 	 stay 13 night hotel theatre tour group . room newly furnish comfy twin bed , tv , two desk , one we , fridge , iron ironing board . quiet , elegant , convenient . ATM across street , two free computer lobby use guest , lavish breakfast buffet , daily newspaper , speedy elevator , cheerful , responsive staff . room clean eat breakfast . the housekeeping staff take care every request . ( need rubber floor mat shower ) maid clear mini - fridge content could keep fruit beverage stay . hotel within walk distance British Museum , Covent Garden , plus many ethnic restaurant even Sainsbury 's supermarket . 
 Feb 9 2009 	 good location comfortable stay 	 excellent location , short walk Convent Garden , British Museum theatre . I arrive morning drop bag offer check - in room available . ( standard ) room small perfectly adequate one , comfortable double bed . tastefully furnish bathroom stylish spotlessly clean . three small point mention hotel newly refurbish consider design phase . 2 small lift . think inadequate hotel size sometimes wait . door latch make impossible close door quietly could hear door closing corridor . finally proper bedside light room . switch bed turn overhead spotlight - restful ! not try bar restaurant , Wagamama across street useful quick post - theatre meal . on balance would stay , weekend rate good value . 
 Feb 7 2009 	 good hotel ! thank ! 	 great location . nice helpful people . beautiful interior . good food . want ! ! ! 
 Feb 5 2009 	 love 	 fourteen lady book hotel weekend London . first impression wow greet attentive staff could not enough we . room beautifully decorate plenty space comfortable , also great location five minute Covent Garden , walk tourist spot . breakfast plentiful delicious staff helpful service first class . recommend hotel family friendsA special thank Gary helpful 
 Feb 4 2009 	 Sparkling new 	 stay 2 night business . location superb , walk distance Tottenham Court Road , Oxford Street , 5 min taxi Euston . hotel brand spank new , think first person stay room feel new ( 1015 ) . comfortable bed ( although first night ask non - feather pillow do not arrive , could not bother ask second time ) . previous review say be not power shower - maybe shower huge rain head powerful anyway . restaurant excellent , extremely friendly helpful waiting staff unusual type hotel , food good quality value money . complaint order room service breakfast first morning 7.45 . 8 am have not arrive call room service told 's way . arrive 15 minute later time leave ! waiter apologetic say extremely busy morning would rather tell 8 am 15 minute away could got breakfast go ! maybe teethe problem new . do not make mistake second morning though fair , buffet breakfast good . 
 Jan 23 2009 	 Luxurious Hskeeping FrontofHouse staff need customer service training 	 stay Xmas New Year 2008 10 day . Londoner want somewhere central period could make festive arrangment without travel town period . the Hotel still scaffold outside room rate reduce q. dramatically .This indeed unexpected bonus great location ( original book different Radisson hotel go refurb . mode travel company book transfer without ask - though not advise call day ! ! ! ! - long story ........ ) . room nice : comfortable bed + spotless furnishing ( whole hotel 25 million pound refurb - 's official opening date 05/01/09 ) . bathroom v. luxurious , huge spotlessly clean - beautiful marble + Axor fitting . shower really roomy modern ( ' wet - room ' style overhead faucet + small seperate showerhead wall alongside : effect 2 1 ) + seperate nice bath + double sink area .The shower head large fitting obviously brand new power shower . Customers USA recognise fact soon turn . nothing wrong - power shower advertise .one drawback hotel : housekeeping staff incredibly noisy ! ! ! ! ! ! ! ! ! morning anytime 6.30 - 8.30 could hear . sometimes shout colleague . yes shout along corridor Xmas day DND light call three time noon asking would like room clean . obviously ignore dnd light + whole Xmas vibe . plan 12 noon - first thing morning Xmas Day ! ! ! ! ! Front House staff : really good enough . electronic room card key keep malfunction go front desk ( 6th floor ) day get back hotel 4 day period . instead replace card - keep clean- swiping re - issue . also , whenever go concierge desk either one person deal long queue check - in customer 5 staff chat aimlessly . I presume refurb attract new business repeat return . room great staff need training . not use bar restaurant ridiculously expensive extremely ' dark ' furnishing . light way subdue . + many fantastic place eat surround area 17 pound breakfast outrageous . Apart 's nice hotel . would recommend short stay business anything 4 day . 
 Nov 5 2009 	 Parfait 
 Oct 31 2009 	 en dessous du stand annoncé 
 Oct 5 2009 	 Hotel trés mignon et calme 
 Sep 29 2009 	 pesimo 
 Sep 25 2009 	 schöne Ambiente zentraler Lage 
 Aug 23 2009 	 muy recomendable buena ubicacion 
 Jul 24 2009 	 Absolutamente recomendable . 
 Jun 17 2009 	 un havre de paix dans un ville 
 May 5 2009 	 Soggiorno piacevole con momenti spiacevoli ... 
 Mar 25 2009 	 Gerne wieder - Top Lage sehr schöne Hotel nett Personal 
 Mar 6 2009 	 Superbe Hôtel 
