thanksgiving 	 hotel perfect location : 2 minute walk Pier 39 . great price / quality ratio , nice design make feel really vacation - business . free internet room - lobby , food drink pricy - plenty place outside - 's problem . 
 almost ! 	 recent trip SF , stay Fisherman 's Wharf Sheraton could close attraction pay arm leg . room clean bright call towel , barely hang phone someone door towel . great , friendly service time check time check . be close really great restaurant ( old neighborhood italian place , Ceasars , within walk distance wonderful food ! ) still remove crowd . complaint pretty light sleeper , road noise bothersome . 's four story hotel 3rd floor , ( i- boyfriend could sleep tornado ) hear bus come go homeless people yell night long . get use 3rd night , still ... , great place great bargain ! 
 great location value money 	 book hotel priceline get great rate . stay hotel 4 night late November . arrive little early noon tell room ready 3PM . big deal leave luggage bit look around . great positive hotel , location , location , location . stone throw pier 39 cable car terminal . the hotel hundred room obviously comment relation room check - 2121 western side . noise outside apart air cond noise other talk . air cond particularly noisy fact go time - even thermostat kick still blow air hence noise . free room safe use . also gym fit nicely modern . think part building rennovate recently . staff helpful pleasant odd occasion speak . use lobby free wifi .. worry . ipass etc , able log wifi room discover later : - ) starbuck coffee complimentary . give hotel rate , would recommend great value money would hesitate stay . also buy citypass Pier 33 swap boat ride Alcatraz tour additional cost . great value $ 59 ! 
 family holiday 	 dissapointe food breakfast.we stay sheraton LA week restuarant open 11 pm . nothing tell we arrive would able eat there . be prepared . 
 Oct 27 2007 	 good first stop 	 stay 2 year ago find comfortable hotel good location far touristy pier 39 ( , exactly ! ) great go Alcatraz sight must see . decide return year happy choice . Refurbishment see hear benefitted & quot ; new & quot ; room overlook lovely warm pool . traffic noise find disturb . shatter probably ! come hotel turn right International House Pancakes far corner street get breakfast set day $ 30 2 people include tip . staff friendly helpful , hotel also hire car ready go trip , next stop avoid awful charge park San Francisco . $ 41 dollar night wise move ! Turn leave front hotel right see italian restaurant Pescatore good walking distance .The hoteldoe restaurant bar.but like go . 
 Oct 22 2007 	 Nice Hotel great location 	 hotel nice great location . Fisherman 's Wharf block away , well Alcatraz tour trolley . room large , always clean . front desk staff always happy assist recommendation food booze . 's great place stay next trip SF . 
 Oct 21 2007 	 overall good value great service 	 wife stay 4 night October 16 20th . first impression upon see exterior ( old building ) oh - oh . examination show everything freshly paint , unlike hotel 's competitor area . outside smoker area nice outdoor furniture outdoor fireplace . non smoker grab seat enjoy fireplace . inside , lobby make good impression -- new bright colour , sort 1950 's Lucy Ricky Ricardo meet Miami Vice ( wife call mid - century modern ) . lobby restaurant / bar area , beef light can not dim bit night . hotel staff state work , light would dim night near future . part hotel rennovate visible hallway , early reviewer stay area ( presumably room match ) probably disappointed . new room bright cheerful , new cabinetry / couch / lighting match lobby decor . bathroom update stone counter top new sink / cabinet , tub area retile modern look colour . area around tub / toilet bit small , overall usable . bed comfortable . two occasion could people laugh party outdoor entrance / concourse area around 11:00 pm , quick call get response staff . overall , find staff helpful friendly . there numerous hotel Fisherman 's Wharf area , appear build time period , ' m guess late 60 's early 70 's , low - rise 3 4 story structure . update , observation conversation traveller . mind , hotel would probably rate high mid - pack interior finishing , least mid - pack high value . outdoor swimming pool warm enough night swim , even though weather cool . pool area neat clean . gym area average useable universal machine six piece cardio equipment . 
 Oct 19 2007 	 Great Location 	 stay attend conference Sheraton Columbus Day weekend . know renovation do prior arrival , shock find lobby room already renovate ! like blindingly bright white light minimalist 70 's era decor , love place . location GREAT staff friendly & amp ; accomodating . pillow scrumptious . food 2 different luncheon fine . bar per se think little odd Sheraton . colleague conference stay Presidential Suite . get see unrenovated room look like ... wow .. place WAY overdue updating . think Sheraton definitely fire decorator . nothing upscale classy place . 
 oct 9 2007 	 Pleasant stay 	 2 - night stay well characterize pleasant . book late find Fleet Week , rate Priceline pretty good especially give probable lack availability type hotel . arrive 9 a.m. give room immediately ! place one unrenovated room 2nd floor . room decor bit date surprisingly unworn , clean comfortable . everything good repair . may renovate we , hear much thumping bang afternoon 1st day . Sheraton & quot ; Sweet Sleeper & quot ; bed comfortable , housekeeping staff leave lot extra bath amenity 2nd day . the remodel hotel nice modern , lot bright color inside , firepit seat area outside main courtyard . use heated pool , refresh clean . use fitness center , small adequate , bottled water unexpected plus . the staff friendly , especially concierge desk . overall , pleasant relax stay . 
 Sep 24 2007 	 ok 	 book Sheraton Fisherman 's Wharf location , well membership chain hotel . room street level ' view pool . ' view street & amp ; fence mostly , quite stifiling . pool far right room beyond fence , surround patio . another fence beyond enclave street , foot enclose dirty , debris fill patio . bird feather huge rubber gutter cluttered cramp 3x4 fence patio , obscure view pool . street noise abundant huge tourist bus & amp ; fume greet we every morning . hence , could leave slide glass door open air . room limited storage , armoire hang area 3 drawer . room adequate clean . location convenient Wharf ground transportation . warmly greet upon enter leave . 
 Sep 22 2007 	 Nice Hotel - Great location - stay 	 pleasantly surprised read bad review . return stay Sept 15 - 19 . walk hotel - concierge desk people greet right - front desk easily see front door leave . renovate bar area add courtyard outside large lounge chair firepit glass around area keep wind . inside bar nice tall bistro table evening cocktail . new renovate room nice large plasma tv comfortable large king bed . hotel old renovation make plus+ . shower good water pressure maid service great . believe write bad review regard maid service never read card leave room check - in . state please leave card bed day want linen change bed . also , throw towel floor replace fresh one . hang wall door - towel replace . hotel walk distance many site - pier 41 / pier 39 . breakfast place within block ihop Dennys . lot shop gift walk distance cable car Powell & amp ; Market Hyde St & amp ; Powell . buy 3 - day Muni pass give we unlimited ride cable car , streetcar , bus system . great restaurant sightsee Alcatraz . must walk Pier 33 desire . grayline fantastic job Wine Country Tour . Book Alcatraz ticket early actually want go island walk cell . many company take - mean sail around stop . really need take Alcatraz Cruises take ferry . 's 2 - 21/2 hour tour . well worth . back Sheraton - room street . problem noise mention . air condition work great . check hotels Union Square business district . impressed location . like high rise , lot traffic noise shopping see could go mall pay less price store . feel make wise choice staying return stay Sheraton Fisherman 's Wharf . 
 Sep 10 2007 	 love cockroach - stay 	 Blech . stay August last morning , discover cockroach backstroke wineglass bedside table night before . the manager seem apologetic offer comp foodbill $ 60 , charge incur book SPG point . however , see AmEx bill compe we $ 20 , charge we remainder inexplicable reason . that issue , couple apparent tap dance family reside we ( swear run around room 7 am 1 am every night ) , make terrible experience . usually unflappable 10 year old insist never stay Sheraton property . would agree . 
 Sep 8 2007 	 knock renovate ! 	 boyfriend stay Sheraton last night 07/09/2007 arive day early San Francisco hotel already book day room available ( Radisson ) . follow say Sheraton ; 1 . arrive stand quite learn several minute later concierge desk ( sign ) first desk come across walk hotel look much like reception desk . man concierge desk serve another person speak we stand 5 minute say ' if easy question deal lady please ask ' , ask available room direct reception desk hide behind paneling . 2 . reception staff reasonably polite decide write cost room ( $ 180.00 ) plus parking ( $ 41.00 day ! ! ! ) think bit odd go ahead book room . would like add hotel area fully book do not option book room.3 . corridor lead room , tired . wallpaper look though put early 90 's carpet see well day . 4 . room clean , small horrible view bus depot ! bathroom odd , sink small anti room ( way think describe ) area side open doorway make coffee . actual bathroom door bathroom big enough open door . bathroom clean tired ( tile around bath area look , old ) bath fitting date ( shower pain turn ) . air conditioning unit huge jutted room quite way , also noisy . room look though refurbish bathroom forget about . I would not recommend hotel anyone expensive date . ( hotel refurbish present ) however , bathroom go . truly belive knock whole thing start bathroom ODDEST ever see big hotel chain . 
 Sep 1 2007 	 Afraid Stay make Reservation internet 	 write review prior actually stay make reservation hotel bad experience possible hint bad thing come . make reservation internet instruct call hotel confirm two bed non - smoking . reservationist rude ' ve ever encourntere . treat like sort inferior specie . hotel accept reservation , treat like pond scum ? want confirm room non - smoking since lung disease husband asthma ( also long stand starwood resort platinum member ) . hotel entirely non - smoking day like Marriott . snap since not book room would promise nothing . assume would charge ? , competition ( Hyatt also Starwood resort member ) pleasant call issue , Sheraton think rude road greatness ? , willing make we sick right ? also want confirm two bed . , snap would get , since book room ! ! ! sorry ! ! ! maybe home phone website ? want feel like type criminal , yet not give good rate time convention ? also , many people summer expect full service hotel get partial service hotel half advertise amenity available due renovation ? : many review question 4 star rating . also stay time slow time , empty room . dread checking , way get money back . even though sub specie , still like money not want part ! way Sheraton treat guest ! 
 Jul 30 2007 	 good location friendly staff 	 hotel clean tired looking . one hope renovation vast improvement . location good -- obviously convenient wharf also pleasant walk North Beach . unremarkable respect . certainly par experience sheraton NYC Philadelphia . 
 Jul 29 2007 	 bad hotel 	 get hotel Priceline , worried base review . prepare write scathing review ! upon arrival , however , pleasantly supprised . room huge , spic & amp ; span , little road noise , bed comfy . 's true tub toilet small separate room , A / C somewhat noisy , overly . renovate hotel right , none public area open . since rarely room , be ok ! cookie coffee free afternoon , everyone staff friendly . agree definately 4 star hotel . bad thing say charge $ 10 day WIFI ! 
 Jul 26 2007 	 fantastic location 	 stay hotel 23rd June 6 night husband , overall , happy . renovation ongoing mean usual bar open , however still bar restaurant service available . staff hotel great , problem staff could well help we ( particularly man fron desk whose name , think , David ) . location definitely big plus hotel - Pier 39 practically doorstep , Little Italy block away , Cannery , cable car Ghiradelli Square short walk etc . overall , postive experience hotel would stay . 
 Jul 23 2007 	 great place stay 	 want Fisherman 's Wharf travel agent book Sheraton . location excellent staff exceptional ! feel pamper not pay much . bed super comfortable , big , fluffy pillow clean . highly recommend place ! 
 Jul 22 2007 	 bad hotel ever 	 bad hotel ever stay . enter lift go third floor horrible smell . enter room also damp smell could not get rid . room decorate 1970 's style although clean date smelly . hotel currently getting refurbish therefore many facilite unavailable , bar , restaurant swimming pool . whilst could use swimming pool debris float make less appealing . small eating area set not use large screen tv playing want whilst eat meal . two lady encounter reception extremely unfriendly , verge rude . helpful gentleman reception . guest charge $ 41 plus tax total $ 46 park car car park think expensive hotel guest bear mind hotel certainly superior . positive thing hotel location 's 2 block away Pier 39 not feel make tired , date overall unfriendly hotel . 
 Jul 5 2007 	 Nicest Sheraton 	 wife recently stay Sheraton Fisherman ' wharf four night . last minute trip much shop around hotel . rate receive [ -- ] good San Francisco . however , rate $ 156 per night raise red flag . Sheraton Fisherman ' wharf category 4 hotel wrongly assume along line similar category 4 hotel stay San Francisco , Palace Hotel . the hotel quality live Sheraton name . service good one would expect Sheraton location excellent . hotel two block Pier 39 , five block Columbus Avenue North Beach , within walk distance Embarcadero . if need rent car San Francisco , would suggestion rent car Dollar , locate hotel , day . parking hotel extremely expensive . wife rent car twice location $ 35 per day pay overnight parking fee hotel . the downside hotel need significant renovation . Starwood Gold Member stay Club Level . assume nice room , imagine work need do room . room & quot ; clean & quot ; , mildew odor could removed regardless much spraying . wallpaper discolor pealing area . closet dresser fall apart furniture stain date . blind stain gold brown color come age also fall apart . obvious outside room room problem . rate bring we hotel , rate probably bring we back hotel . 
 May 30 2007 	 terrible public relation 	 hotel double bill we , try 1 week money reinburse back account without success . dont think communication worker there . no apology give anything . construction go hotel move room 1 night . dirty tray sit hallway day . not real happy stay . 
 May 29 2007 	 Good Starwood Points people otherwise ... 	 stay Sheraton Fisherman 's Wharf one night Memorial Day weekend . book use point , & quot ; value & quot ; perspective , Sheraton & quot ; worth & quot ; . however , clear caveat would like pass travelers:1 . ) starwood Points person plan either earn use point hotel conveniently locate many San Francisco 's main tourist attraction ( i.e. , Fisherman 's Wharf , Pier 39 , Ghiradelli Square , Cable Cars , etc . ) , absolutely go wrong hotel . everything list within easy walk distance . even North Beach , Chinatown , crooked part Lombard Street walkable hotel ( not mind walk uphill little ) . hotel old , clean , room stay par Sheratons stay at.2 . ) starwood Points person , key detraction want aware booking : - reviewer state , hotel currently renovation construction work clearly visable . several entrance / exit close enter hotel direction . part hotel look new nice other still look old dated.- hotel conveniently locate near Fisherman 's Wharf , etc . , not much view anything . pretty much see building immediately next much write home about.- Parking hotel extremely expensive . compare parking rate hotel within SF , say daily parking rate $ 41 definitely catch us offguard . front desk explain & quot ; good deal around & quot ; price give we full & quot ; & quot ; privelage , & quot ; cheap & quot ; parking lot would make we pay time drive . hindsight , park bargain lot never drive car anywhere check . obviously , not car , non - issue . some random point : - front desk staff friendly.- small outdoor pool . consider SF reputation cold , even summertime , ' m sure if / when pool would ever use . ( 60 , wind feel colder . ) course , make comment someone else hotel , 3 kid precede run pool , jump , grand old time ... judge ? 
 May 19 2007 	 avoid . 	 bad location , could well though , hotel two block front view , build flat ground , 's height surround hotel . unfortunate enough put room face toward bay , local tram service run early hour , pass directly beneath window . cable car turntable short walk away . very small Pool , indoor , either . for four star hotel , room basic , overall clean tidy , telephone not work properly , Air Con break controller dial , cable television , inernet T.V. , ' ve stay well four star hotel . staff friendly , concierge desk extremely helpful . not good value money , definately stay somewhere else next time . 
 Apr 17 2007 	 good Choice Nice Place ... 	 family road trip SF area leave terrible Motel 6 Fairfield . not pre - plan reserve anything SF actually look reasonably price , comfortable hotel good location find Sheraton . we happy rate ( $ 150 plus $ 40 parking ) room much nicer stay thrilled . hotel nice great service think big asset location . close wharf walk distance pier , restaurant , trolley , etc .... nice stay would recommend . 
 Apr 9 2007 	 go somewhere else 	 Book online uk travel agent charge per person per room like americans .can get great hotel less money will not rip . need upgrade high hotel wide corridor long room ok extras bar safe deposit box reception dining forget ! ! need dine hotel place breakfast every way turn.wo not stay . 
 Mar 22 2007 	 date Dirty Terrible Service 	 hotel date , renovation , look like sink whole budget lobby area . Upstairs & quot ; club room & quot ; floor bad dormitory college room filthy poorly light . make matter bad customer service lack thing good hotel checking . stay . stay Union Square take cab Wharf , well worth $ 10 cab . think Sheraton property , think - 's independenlty own 
 Mar 19 2007 	 good value fairly basic Sheraton 	 good value area ... room two double bed 104 + tax . hotel well locate Fisherman 's Wharf area . close Cablecar stop . beware parking , forty dollar per night Valet hotel in / out privilege . park across street 20 $ per night parkade . if one reason choose hotel fitness area , skip . comprise machine dimly light room go outside hotel . 
 Mar 9 2007 	 beware San Francisco hotel like Sheraton 	 first let start reservation suppose reservation king room Sheraton , book reservation week thru Hotels .com , print confirmation think set . arrive Monday evening long cramp flight Continental Airlines Sheraton , tell room 2 double bed , King like book could anything , tell we book thru third party ( Hotels.com ) even though confirmation , not mean anything , would King available Thursday though , yeah day leave alot good would . go room , call Hotels.com , say website do not guarantee room request pay Sheraton could guarantee room either ( Scammers ) tell park $ 39 day , complimentary coffee Lobby ( another way try force buy Bar & amp ; Grill , complimentary anything hotel , do not mind pay get do not like nickel dim death either . like review state bathroom small . stay hotel several year ago like , tell people business change ( case well bad ) closing would suggest tourist find another vacation spot San Francisco get act together reduce price along remove cost together . tourist Beware take advice vacation somewhere else , not get rob San Francisco 
 Mar 9 2007 	 enjoy stay 	 hotel great location . two block Fisherman 's Wharf . able walk everywhere location . bathroom like everybody says - tub toilet little room vanity outside - not care . bed great - sleep pretty good . one problem people room next we smoke non - smoking area . actually make ill - tell front desk send security . must take care never smell . really enjoy . 
 Mar 2 2007 	 Great Location 	 stay New Year 's Eve friend . convenient location . block water . would great spot tourist stay . clean room , little small size . bathroom bit small well . be one vanity little closet sized space entry door shower / toilet bathroom . be little tight side . would ' ve expect little Sheraton - hit - or - miss sometimes . lobby nice . staff friendly . convenient SF tourist area Wharf , also Safeway conveniently locate across street , always nice extended stay . not big fan Valet parking , parking price pretty steep , even guest - guess be like everywhere San Francsico anyway . 
 Feb 22 2007 	 Pass place . will glad . 	 ' never write review , hotel bad enough ' take time . $ 279 / night room + $ 38 / night parking ? not think . fortunately , get MUCH cheap hotwire , even almost par super8 ' ve stay . problem # 1 . room . non - smoker , take smoking room 's 's available ' ve never smell curtain / carpet / furniture bother slightest - place ridiculous . hallway smell like morning frat - party ; stale beer cigarette smoke . room not quite bad ( beer smell ) , cigarette smell cloy . even enough ex - smoker boyfriend mention time . bad have ever smell . wonder ' ve ever open window . also , bathroom candid photo see site dead . tiny , dark little closet bathroom . problem # 2 : concierge . try get we go timeshare sale pitch ! ! ! unreal ! tell ' m town two day , want go spend afternoon get hard sell time share ? also , restaurant recommendation totally sub par - not take word anything . problem # 3 . ask reservation desk know parking restriction meter parking street ( read meter walk side not see single sign explain enforce ) . respond clearly monitor 7AM 7pm Monday Friday . since already midnight Saturday , leave car meter go merry way . Sunday afternoon come back $ 40 parking ticket . sad part end cheap get parking ticket pay Sheraton want charge . never stay , not either . 
 Feb 3 2007 	 much money little 	 overate hotel web photo paint real picture . pay £ 100 ( $ 200 ) per night 5 night stay poor accomodation . room 4th ( top ) floor cold damp feeling arrive . a / c noisy velux type window open turn handle reveal noise bell ring tram car , oversize environmentally damaging pollute car , loud car radio planet earth ! bathroom small cold , remain throughout stay . bed however comfortable ample bedding cold night early February . the hotel staff friendly enough extremely helpful even point offer room change account noisy neighbour ! much add except Sheriton normally much , much well ! 
 Jan 21 2007 	 great location good price 	 stay two night weekend away daughter . room rate $ 189 . total price taxis $ 215 . not include another $ 16 / day wireless internet access . not thrill pay much something could easily include room rate already pay . the room nice - typical Sheraton . low building ( 3 storey max ? ) , be always near ground , 2nd floor not remember street noise . the location couple easy block Fisherman 's Wharf Pier 39 - couple Alcatraz ferry . close enough public transit get anywhere . much SF , could easily week . my complaint outdoor pool not hot tub / whirlpool , would nice November . staff friendly helpful ( e.g. , arrange airport transfer ) .I would stay , although could tempt equivalent property well pool set - up . 
 Jan 17 2007 	 Choice Pier 39 Fisherman 's Warf 	 second visit Fisherman 's Warf hotel stay . PROS : easy access spacious 3rd floor room . situate close everything . great value price . secure environment . friendly informed staff . take TAXI SFO Airport . instead book Town Car & amp ; Driver $ 50 , save $ 10 tip ride comfort . available Bellman . con : restaurant like every hotel eat establishment WAY price . need eat Hotel - not -everythe good seafood within five minute walk iHop across street . con . we stay lot Hotels one safe bet . 
 Jan 9 2007 	 Great Location accomodation could well 	 stay first week January . hotel perfectly situate , right Fishermans wharf beside lot restuarant bar , one experience great , also Harris Steak House pacific Heights fantastic ! actual accomodation hotel , getting date shabby . room ample size clean need update . hot water room work check report 3 time next 2 day still ring repair , bad customer service annoy we . hotel 2 Star , although Compass Grill bar Hotel great lovely meal drink . stay want well locate expect 3star . San francisco must 's Alcatraz trip open top bus tour city , meal Harris steak house pair glove scarf winter ! 
 Jan 7 2007 	 $ 39.00 plus tax parking outrageous 	 hotel staff helpful , room , clean price hotel restaurant reasonable hotel restaurant . price parking , however , outrageous . cost we park ( $ 39.00 plus tax ) pay rental car . cost parking whether use valet park car . complain way member staff , response New York City way , New York City . if want near Fisherman 's Wharf , location ideal . 
 Dec 14 2006 	 Good Tourist Hotel - Luxury Hotel 	 book hotel via Priceline four night stay mid - December . read review , bit concerned , end problem enjoy stay . true , hotel luxury hotel ( four star , although Priceline consider ) , appreciate amenity ( concierge on - site 7 am 10 pm every day ! ) staff accommodate ask non - smoking room first floor . room ( corner room third floor ) clean quiet ( live large city , street noise comparatively low ) , bed quite comfortable , notice smell . overall , pleased location hotel . Trader Joes one block away supermarket across street . car , glad fee on - site parking outrageous . instead , purchase three - day Muni pass $ 18 use nearby Powell - Hyde cable car line F line get around town . eat hotel restaurant , several option nearby , include Mama ' , great breakfast lunch place Washington Square ( block away , within walking distance ) .This also appear hotel attract lot group , never bother noise crowd lobby level . originally , hope secure hotel Embarcadero area , end glad end Fisherman ' wharf . although area bit touristier , seem service activity street later night . 
 Dec 12 2006 	 mediocrity fine 	 location hotel good , depend interest . close cheesiest tourist trap San Francisco , also walk distance lovely place like Marina North Beach . Market St street car wind Embarcadero Market St easy access Union Sq Castro St. not miss Farmer 's Market Ferry Building Embarcadero & amp ; market . the hotel upscale lobby hallway badly need refurbishing , stain carpet smell industrial - strength cleaner . mixed review may reflect variability room . get stick one many room face noisy street air conditioner , would happy experience . insist 3rd floor room decent street view . air thead wear , fade style . furniture wear dirty spot . we could hear people we walk across creaky floor . original construction shoddy sign wear everywhere . bed leave back ache . linen nice quality though bed spread show stain not come laundry . except check - in clerk , staff lovely - friendly , kind helpful . we able pick free wireless internet signal adjacent hotel - signal quality & quot ; excellent ' wi - fi , not pay hotel internet . avoid exorbitant local parking fee rent car lobby day . drop stall hotel parking lot . new rental day . all , hotel ok insist good not stay expect luxury local charm . 
 Dec 10 2006 	 bad review suggest 	 recently return four night stay hotel nervous expect read review site . pleased say stay enjoyable comment read unfounded . we room 4th floor comfortable clean . bed one comfortable ever sleep . decor clean without flash pretentious . I would agree bathroom pretty small , spend long holiday bathroom ! ! .The location good right Fishermans Wharf middle enough noisy . do not put staying review may read , think people must high expectation ! ! ! ! ! 
 Dec 8 2006 	 Stinky Room ! 	 3 star hotel . not like Sheraton have ever see . like arun Holiday Inn . room smell hallway like cheap hotel . bad ! stay ! 
 Dec 7 2006 	 great start California trip 	 wife spend first four night three week trip round Central California Sheraton , partly take advantage 4 night price 3 deal . delighted room , clean , well equip quiet , despite look onto air - conditioning . staff friendly helpful . the Sheraton well locate , within block two Fisherman 's Wharf , 's fabulous view , cable car system tour company , whose service use tour SF visit Muir Woods Sausolito . it also within easy walk distance North Beach 's fine restaurant Rogue Brewery 's excellent pub . 
 Dec 3 2006 	 Bad Hotel 	 room smell like mildew smoke . window room close way create draft . bathroom small washclothe provide shower . when arrive , tell park $ 13 per night ; get bill , price change $ 39 night $ 5.00 & quot ; parking tax . & quot ; pay $ 44 parking lot right across street charge $ 28 day . hotel staff second rate . favor book room somewhere else . experience think sleep next homless guy cardboard box Pier 39 would better Sheraton San Francisco Fisherman 's Wharf . 
 Dec 1 2006 	 all - around ok 	 stay Club level room month - old child . put we end hallway , great , crib fine . bed comfortable meeting area nice . pillow not great- bit firm flat . like continental breakfast include Club room evening food Club level enough skip dinner one night three . fresh fruit veggie well , meatball good . mention other , hotel definitely need update . room look bay bridge . window shade stain wallpaper look bad . even little black mold one corner bathroom . bathroom door can not close without step way first , be tight fit . staff helpful need . think charge wireless internet much $ 14.95 / day already pay nearly $ 200 / night . we take Super Shuttle airport avoid rent car pay parking would . 
 Nov 26 2006 	 great hotel location good 	 probably bad Sheraton see . room small - room street level - people walk talk laugh hour night . previously stay Sheraton Union Square find excellent - new clean room . the room average cleanliness . bathroom light shower area work shower darkness . the hotel old need update . bed average comfort . conceirge service excellent ! ! use book airport transfer wine country tour . dollar rent - a - car property rent car day ( start $ 29 ) return night instead pay $ 40 parking fee hotel charge . drop box return hour . location great . block Fisherman 's Wharf 5 minute walk North Beah . 
 Nov 22 2006 	 Bad news hotel 	 stay Sheraton Hotel Fishermans Wharf San Fransisco far satisfactory , dirty shabby decor , 2 room book charge item use I.E bottled drinking water & amp ; film rental . also high parking charge 45 dollar night city tour book hotel poor value money local transport far well value . 
 Oct 28 2006 	 worth price . 	 hotel may great location room extremely old dirty . staff helpful , really not help situation . moment walk room feel smell dust dirt . feel secure first floor . group constantly gather directly outside window . must go hotel request room second floor high . shower not drain maintenance extremely quick come fix issue . I assume amenity alone make hotel & quot ; 3 1/2 star & quot ; cleanliness take account would probably around 2 star . I would recommend hotel . 
 Oct 25 2006 	 great room near waterfront 	 decide spend weekend san francisco book room sheraton fisherman wharf , nice property locate within walk distance waterfront cable car stop . room large bed excellent , great linen comfortable sleep . book priceline get good rate postive experience . one warning though valet parking expensive $ 45 day , parking garage across street , would suggest use pay half much valet service . 
 Oct 21 2006 	 great location comfortable room 	 nice find touristy Fisherman 's Wharf area . hotel host conference busy October stay . lobby always busy wait line front desk , concierge bell man . service average large property like . arrive well check - in time 10:40 without ask could check - in ( hope store bag ) assign nice courtyard room . one hotel small balcony . room decent size , small bathroom note comment clean functional . bed excellent furnishing good condition . internet challenge expire noon warning appear commit purchasing . simply purchase noon ' ve get day night use . send clothe laundering return promise next day . avoid parking price rent car ( hertz block away ) depart . hotel area appear charge $ 35- $ 40/ night . go IHOP across street breakfast hotel buffet $ 16.95 person far superior . cost bit selection endless . housekeep efficient daily cleaning make we feel check room first time day return . great place stay area close many attraction , cable car ferry . three day muni pass $ 15 . ride cable car , bus street car pass save we fortune taxi . overheard staff work hall prepare $ 20 million dollar renovation . not think need would gladly return hotel provide undergoig renovation . 
 Oct 8 2006 	 suprisingly ok ! 	 think look review bit harsh ! hotel lot well expect great location ! easy access everywhere ! enjoy stay ! 
 Oct 6 2006 	 business hotel - tourist friendly 	 first trip San Francisco whilst city amazing good thing hotel location . the room basic even fridge available . parking hotel crazy $ 39 per night . staff unhelpful could begrudge assistance require . laundry facility search San Francisco laundrette . business centre never open get internet acess . this hotel seem full business traveller clearly set market , Virgin Holidays offer tourist within package ? 
 Sep 27 2006 	 Nasty ! ! ! ! 	 reservation clearly state honeymooner , arrive give must bad room - ground floor back view parking lot noisy due car pass time . room claustrophobic really ugly . furniture , bathroom general outlook ugly . stay Sheraton hotel , really surprised find Sheraton uneappealing . we ask another room , give we room 4th floor suppose well , look exactly except smoking room corridor leading room stink cigarette much could sleep even window open cooling system . could hear guy next door cough smoker cough throughout night . least outer noise level low since high up . they also try charge we parking 40.00 usd per night whilst park car across road parking area 12 usd per night ! 
 Sep 7 2006 	 ok ! ! ! ! 	 stay 5 days.the hotel ok , nothing special.the reason choose stay wheelchair user accesable place stay city bay area flat .it lot shop around hotel plenty place eat.it also 5 minute tour boat destination take alcatraz bay trips.the food hotel great staff resteraunt bar chatty helpful.the room ok maybe bit small.i also room main entrance rather bad spot 4 morning onwards steady flow car arrive leave , window soundproof either take earplug want goodnight sleep ! ! bad do not think would stay . 
 Aug 31 2006 	 thrill hotel 	 thrill hotel . arrive tell get free upgrade club floor starwood prefer guest card ... wow ! be great .. get antonstarwood dot com . love location . dollar Rentacar building ... rent car take airport drop not pay transfer back airport . room large ( corner room 4132 ) , overlook beautiful tree orange flower . every morning get free breakfast , every evening free hor doeuvre 5 8 pm club floor . place spotless . one mean . parking cost $ 38 per night recommend avoid take car altogether . people towertour great tour , pick we free . take Muir Woods tour clay get chance . mcdonalds block away . historic street car tourist ( call F line ) directly front hotel . ferry front hotel 1 block . also recommend Mr. Toad 's tour ( 1 block hotel , walk toward water ) . get 3 day transportation pass , good cable car , tram , trolley , bus . problem whatsoever , understand anyone mad parking price ! ! ! get F Line street car go street little , cheap parking ( $ 6 per night ) . 7/11 foot away hotel , close early . grayline double decker city tour 's fun ... 1 block hotel ( water ) . love hotel . Anton Anderssen . 
 Aug 31 2006 	 look something well . 	 front desk could not care less family checking . seem inconvenience . Starwood Gold card ? 's ? room small institutional - like . bathroom remind high school gym shower . deep cleaning need . the whole place tend shabby side , glorious view bus marshalling yard . there must well place money nearby ! 
 Aug 30 2006 	 good 3 - star tourist class hotel 	 fine , remarkable hotel . 4 - star luxury hotel ( think people disappoint ) good 3 - star tourist hotel . the location great explore city , close cable car line , tourist ferries street car line walk distance North Beach , Telegraph Hill , Russian Hill , Fishermans ' Wharf Chinatown . the room nice , standard hotel - motel room ( except nice bed ) facility clean adequate . hotel staff nice concierge excellent . ( August ) hotel quite full Italians , Germans , Brits french -- even Dane two . I would avoid pricey restr . bar . plenty nice alternative nearby . parking expensive lobby bustle . pool small heat well - stock towel ( need SF always cold . 
 Aug 29 2006 	 awful Avoid hotel 	 stay hotel two night vacation . awful . complaint similar review . book priceline . also call confirm smoke king room ( also email ) . check tell could room request ( confirm ) . hotel manager ( sound like one discuss early review ) tell we & quot ; that s get book priceline & quot ; say book instead . front desk staff extremely rude . four star hotel . room dirty dingy . face driveway ground floor . night car drive , idle engine . window block wooden beam cement post . washroom tiny tile cave around faucet appear rotten underneath . room also extremely small . know room , second class room relegate people book directly site . ask guest robe tell would & quot ; sign & quot ; ( , duplicate treatment early reviewer feel like criminal ) . location positive feature ... worth ! many nice ( less expensive ) hotel area location . when check ( early afternoon ) still dirty breakfast dish ( dead fly float orange juice ) leave outside door hallway . dirty dingy . request room fridge ( none available ) get ice walk different building , elevator hall . felt poorly treat . amount money charge , hotel worth . class standard might expect hotel Sheraton line . awful . stay . 
