luxury 	 stay couple month open . beautiful suite great layout . love everything incredible bathroom , comfortable bed remote control shade curtain . casino connect venetian lively fun . phantom incredible . 
 amazing stay one Las Vegas ' good suite hotel 	 Palazzo quiet serene oasis midst Vegas strip activity . twin tower Venetian , huge Palazzo suite amazing view Strip - directly across Treasure Island Fashion Show Mall . location great . never leave Venetian / Palazzo complex , , be close Wynn Encore Mirage . 
 Great Stay 	 second stay would stay anywhere else . service room always excede expectation . room huge always clean . service great always happy help . everyone work maid taxi line people always say good morning , afternoon , ect . would recomend hotel anyone . 
 Mature clientele 	 stay Palazzo right Thanksgiving . find hotel mature clientele , without much party scene , fine . think be hipster look big party scene , may right hotel . hotel nicely appoint clean . room nice , impressive , consider pay . certain area , & quot ; aroma therapy & quot ; pump , combine usual cigarette smoke , bit hard swallow . staff service average . one waitress make positive impression tip accordingly . desk personnel friendly , agenda sell pay upgrade . logistically , Palazzo good jumping place want within close walking distance either Wynn , Mirage , TI Harrahs . hotel large , combined sister property , Venetian , slight orientation challenge . two join property , be pretty much something everyone . overall , not big issue hotel , expect , give price pay room additional service . 
 vastly overrate 	 unfortunately big disappointment , except bright spot ( server Grand Lux , comfortable / spacious room ) . service nowhere near would expect five diamond hotel ( receive ) -- multiple call priority service get equipment room working order , surprise fee , unknowledgeable concierge multiple occasion , room service meal sit hall almost 24 hour . be prepared pay fitness center ( despite note website ) . tell additional charge use whirlpool ( ask multiple people ) , find one outside free charge -- not staff know property ? back Bellagio next time 
 Jul 12 2009 	 Superb 	 fault hotel service . suite enormous 3 flat - screen tv , business area , family tv view area , 2 queen size bed . twin Venetian access hotel 's amenity beautiful pool good tourist poker play table town . polite staff make welcome special . perfectly locate bang middle Vegas walk distance top hotel like Bellagio Wynn . money elixir Vegas - everyone be look make dollar need wary empty pocket fill someone else 's . even eat expensive unless go downtown rougher area strip . a great holiday though would certainly return excellent hotel . 
 Jul 11 2009 	 Fortuna Suite Palazzo 940 sq ft 	 5th stay year . upgrade Bella Fortuna suite extra $ 75 night . tell check 4 smoke Fortunas entire hotel ( 3000 suite ) tend always reserve . suite 9th floor , # 808 , close elevator ice machine room . the extra 220 sq ft seem like 500 extra way suite lay . move work desk back suite behind bed include walk closet 3 time large ordinary Lux Bella . bathroom Lux Bella . sit area add middle suite . suite number tv amenity small suite . the suite overlook pool area great view Treasure Island . good upgrade couple stay multiple night like spread couple want little extra elbow room . I will upload several pic give idea suite 's layout . sorry quality not well . 
 Jul 9 2009 	 Top Tier Vegas Hotel Casino 	 stay suite 49th floor 50 story hotel / casino resort . good Vegas property stay past ten year . room highlight : spacious suite overall , great bed , 2 flat screen tv plus small one bathroom . remote blind , everything would expect top quality resort hotel . Killer view strip mountain surround Vegas . drawback fridge room , minibar . service : staff housekeeping , front desk casino floor people top notch super courteous . invite guest front desk people particular helpful . guest service would follow request . pool : awesome pool set , several choose , easy access hotel . go Tao Beach , cool private set , little bit attitude door people associate hotel , overall positive experience . casino : one navigable casino strip , great layout . fabulous casino every respect . we dine shop Palazzo . even not stay property , make effort stop take common area , exceptionally well do . 
 Jul 8 2009 	 horrible stay horrible service horrible accomodation 	 bad trip ever take . first , check place , know one expensive , upscale place Vegas . ask recieve early checkin 12 noon . day arrive , family sit lobby waiting room 2 hour . desk manager totally uncaring , unapologetic , fairly rude snooty problem mention . could say & quot ; sorry feel way & quot ; . customer service ! finally get key room . get floor suite , strong smell urine assaulted nose , smell way elevator lobby hallway entire week stay . room smell like convert smoker room , otherwise seem ok . problem room 1 . air conditioner would cool room get extremely hot night . 2 . high speed internet 1mpbs . joke , dial fast ! well , could actually connect ..... 3 . light bathroom extremely dark . 4 . give towel use ! ! ! . horribly snobbish , drink expensive ( 1 pina colada 1 rum coke $ 28 dollar ) , food expensive good , ( go carnival buffet Rio ! ) save grace Walgreens build Venetion / Palazzo hotel ( snack , case water ) . 
 Jul 8 2009 	 think great 	 know previous person talk . find hotel great room . yes service could use improvement willing help someone purchase fortuna suite anything wrong fix think fine . room large also nice travel world find room one nice one stay . would say price right can not deal . oh also view strip even make nice . would stay hotel price . find everything hotel great not feel would spend 300 dollar night stay time . look spacious nice room would say stay . 
 Jul 7 2009 	 love place ! ! 	 good ..... 1 . place beautiful2 . free casino offer 3 . bathtub place put arm would not slip . also bath mat come bath gel could bubble bath 4 . bathroom small television ( could see bubble bath ) 4 . employee kind helpful5 . room large beautiful ( not think need much space , really use ) 6 . beautiful view golf course7 . organized valet center8 . Restaurants9 . attach Venetian10 . picture 3 tv great picture they . the Bad ..... 1 . NothingI think find new Vegas home . love everything hotel hope continue receive offer . first hotel Vegas happily pay stay . 
 Jul 6 2009 	 bad hotel ever ! ! ! 	 bad vacation life . get floor go room smell like urine . complain would say & quot ; sorry feel way & quot ; know 's bad keep call Mr. high female voice . the front desk rude , issue would not try resolve issue . room ok . pool pool , many hotel Vegas much well room pool . quick easy food , sit fancy restaurant . want something fast would walk mile . food court venetian food price gross . would suggest anyone ever stay hotel . 
 Jul 6 2009 	 wonderful hotel / terrible service 	 room great -- mid - level suite . spacious , comfortable , view , ... waste way much time try get service issue fix . we arrive We d night , hot tired airline delay , ' shower shower break – shower head flop spray water everywhere . go drink ask front desk shower fix . get next morning shower could not problem not fix . call , tell technician ' find anything wrong shower door – imply tell problem shower door – well , shower door , shower curtain . tell maintenance ' tell we ' get shower fix . , stick room indefinitely ( really shower ) technician finally come . the room also robe towel bring promptly call . however , next day , take towel bathroom leave we 1 towel 2 we . try call front desk answer wait hold 45 minute . could not ask desk check - in line long . after waste time search large suite list minibar price , call request one . tell we price book room service listing not . call promise send one not . go front desk rudely tell list minibar . give . 
 Jul 3 2009 	 try like 	 travel numerous time Las Vegas never try stay Palazzo . ' always stay favorite : Wynn Tower Encore Tower Suites . well , time figure would least try one night Palazzo . taxi pull driveway , car stop two uniformed guard . sorta strange let we pass without problem . exactly sure looking seem little unnecessary . think ' make guest feel little bit safe extra security front . valet area beautiful fountain front soon walk past second set door actually floor , bad way . throng tourist bystander sit floor , planter , luggage around lobby . , see infamous zigzag checkin line . " fair " alternative everyone gripe self - select line Wynn , Encore , Bellagio ? ? everyone corral one main checkin line like cattle back home Texas . exactly welcome site make situation stand line like everyone else . ( 5:00 pm Sunday , yes even VIP / invite Guests desk long line ) 45 min line , finally check without hassle . form line , forgot make exit . People shove roll heavy suitcase try leave registration area . Hmmm . hallway room bad signage hotel ever stay . think find room awful , horrible time find way back elevator ! first glance room spacious decorate nice soothe cool color . take close look . cushion couch wear , deflate need fluffing replace . drawer desk slide rail ' close . bathroom miss shampoo conditioner . automatic drape sound like freight train plowing room . Sigh . deal breaker hope . dine one morning Dal Toro Ristorante . reasonably price probably bad Bellinis Bloody Marys ( ' well airplane ' say much ) mediocre Eggs Benedict : slab untoasted french bread , poach egg , lukewarm GRAVY ? ? ? needless say leave quickly . last night Vegas want 12:00 pm checkout instead standard 11:00 . tell call back morning process late checkout evening prior . ok . call 10 long pause response feel like give huge favor 1 hour later checkout . ok . stay much Palazzo . miss .... something . ' quite put finger ' energy vibe Wynn Encore . think alot lack sunlight alot compact flourescent lighting . also notice play exact music throughout Wynn / Encore . know buy CD Wynn . Fishy . try come Palazzo open mind . try like feel mixed entire experience . ' glad stay Palazzo reinforce love Encore Wynn much well . 
 Jul 2 2009 	 beautiful hotel ; crummy housekeeping 	 spend 3 night Palazzo attend friend wedding . husband travel 18 year old son good friend . conciege package include breakfast , afternoon appetizer cocktail , dessert bar . room awesome , could spread , service friendly , hotel location excellent . 80 nmin massage entire spa area experience wonderful . huge dissappointment room dirty arrive . distance sticky stain previous occupant drink visible several counter top . toilet paper roll nicely fold though area clean , however toilet not flush . flushed toilet , wipe surface wash rag not focus . next 2 day room not clean request ( 5 pm ) . ( well other floor ) take set trash empty plate outside door , even day go without anyone pick anything . final straw wake call morning not recieve . ( yes travel frequently know set ) - second day call front desk verify set - still call . check mention front desk always treat warmly , tell , & quot ; yes , bad , other complain samethe . 
 Jun 30 2009 	 be call ' the Palace ' reason ! 	 travel Las Vegas year fiance- time , father two young sibling ( first timer ) tow . spend 3 night Palazzo celebrate young brother 's 21st birthday . picky come travel plan place stay , quite bit research sure would first time LV experience deserve . prior book Palazzo , reservation Bellagio Encore , find great code Palazzo decide give try . Palazzo come ! arrive , family become kid candy store . impressed grandeur lobby overall beauty hotel . ' ve come expect Vegas - everything top - Palazzo quite beautiful . distinct smell many poster mention . none we offend be fairly subtle , sweet perfumy . noticeable smokiness lobby , casino public area . Derrick check hear celebrating , kind enough offer two room 48th floor , one amazing view Strip . nice view Wynn hotel , pool golf course . room amazing , comfortable bed stellar view , bathroom , sit area , flat screen remote control shade . brother feel like king 3 - day birthday celebration , intend . could barely pull away iphone- keep post picture room Facebook page friend see ! ( think mean good job . ; ) ) price pay , not think Palazzo beat . spend time room ever past , enjoy much ! pool area large separate number small pool . noticed kid / family tend congregate first pool walk past . walk leave hand side find much quieter . throughout morning , staff come complmentary ice cold towel orange , great touch . beverage service plentiful . not try azure ; not know much charging look empty . regular pool area great as - is . can not comment restaurant Palazzo , though enjoy fact Venetian connect able get quick meal . also not gamble much , sign Club Grazie card redeem $ 50 slot credit come room package . look license , staff member register Club Grazie mention birthday give extra $ 10 credit card . 's unexpected thing make service Palazzo great . complaint Palazzo room show little bit wear- one mirror frame crack dent scratch wall . hardly notice ; busy stare floor ceiling window light Strip . stay Palazzo next Vegas trip . amazing hotel . 
 Jun 29 2009 	 new home Las Vegas 	 travel family last Sunday , return Saturday . I discover Las Vegas 1995 , come back every year . thing change , ' ve stay various hotel , begin Excalibur , Treasure Island ( wife arrange first meeting ) , MGM , Caesars , Paris , back MGM , Bellagio , Palazzo . Bellagio Palazzo Wynn hotel would describe & quot ; luxury & quot ; , Palazzo good deal go . just sign Pallazo 's & quot ; Club Grazie & quot ; begin get invitation recently last fall slot tournament ( 3 night free room ) increasingly offer 2 - 4 night time free room mail . last trip stay 6 night wife 4 year old son , free . ? ( 1 ) book one 4 - night mailer offer , ( 2 ) talk Club Grazie host finding could use Club Grazie point extra 2 free night room ( say suite , 720 sq . ft . ) 3,000 point per night . begin 16,400 point , 6,000 point deduct , leave 24,500 point . , gamble every day , hotel pick charge , mean - even tip movie - first four day stay , nice little bonus worth least $ 800.00.we spend time every day pool child friendly , ample space little one walk around swim shallow water . son love . lot family child ( ' ve see elsewhere Vegas ) speak people , visit number favorite place trip Palazzo one really full people casino floor every night . word obviously get around place . something everyone . I give brief review hotel month ago , still hold true . negative experience one housekeeper kind sneered wife ask clean room 4 pm 7 pm ( fail clean ) last Monday . none maid give we trouble all . btw , be slot , place modern game town . people play every night . I can not say enough Palazzo - seems pick good Vegas every level improve . 
 Jun 27 2009 	 Beautiful Hotel 	 family stay Palazzo Hotel June 22 - 24 . hotel really beautiful amazing . every employee encounter smile say hello . room ( suite ) sink living room pull sleeper couch , curtain operate remote , large bathroom tub , separate shower toilet enclose area . thing like décor , ' really . House keep well cleaning room . pool area several ( medium - small ) pool . water dispenser locate everywhere . ' , WOW factor . ' get wrong , ' beautiful , clean relaxed atmosphere . lobby atrium ( décor always change ) beautiful WOW ! seem weird smell time . wife like smell get dizzy ( ' check early go across street Mirage ) . almost smell like restroom . casino smell smokey , like casino . lot shop ( venetian ) without live building . Palazzo Venetian connect , across street Wynn , Fashion Show Mall , Treasure Island , close Mirage , Caesar ' Place , Harrah ' Imperial Place . hotel centrally locate strip . overall enjoy stay Palazzo . wish ' use type fragrance hotel . 
 Jun 26 2009 	 Great Value classy resort 	 SHUTTLE service AIRPORTWe take shuttle service Palazzo ( believe call Executive Coach Carriage ) $ 6 . listen time - share pitch ride , ' bad guy would interest . hard watch guy get anyone take tour large captive audience . make feel bad , kind like hear someone singe badly Karaoke Bar . ROOM NOTESWe 11th floor , non - strip side , 1200 + square foot suite still thrill we even Mars . general thought room.- wear tear furniture fixture , nothing take away great , relax atmosphere.- bed amazing ! ! pillow soft come two sizes.- bathroom big roommate ' bedroom . huge walk - in shower , large Jacuzzi tub , duel sink shower supply toiletries.- second ½ bathroom living room.- 3 tv great . thought may overkill many , amazed nice all.- window dirty outside bird poo . view ' great , could see golf course Wynn / Encore low angle mountain background.- remote control shade blind come handy morning try get we bed.- bathrobe nice , ' read TA , little scratchy.- housekeeping great . never receive turndown service , ' request either . plenty towel always leave , bed always impeccable . gf clean great conversation Las Vegas . concierge SERVICESI recommend email trip tell one email place want eat one time . make happen even create itinerary we . sure drop envelope Concierge desk tip trouble . GENERAL NOTES PALAZZOI find property exactly look . everyone friendly , atmosphere classy , accommodation look vacation gf . Shoppes Palazzo Venetian ' Grande Canal fill nice shop , price range . GC whole Venice theme go kind fun happen upon walk . ' sure ' go way watch choir show stilt walker personal preference , could see people get kick walk taking . happy hour special offer place ' expect . see chalkboard drink special Table 10 , Delmonico , one two Mario ' place , good one , Sushisamba . place offer ½ price drink , cheap app price , list beer wine special , great way get taste great food without commit $ 50- $ 100 meal . the Palazzo scent / smell definitely apparent every time walk elevator outside . ' bother definitely trick hide smoke casino . affect stay present room what - so - ever . the ever - so - popular Walgreens normal Walgreens , bunch souvenir . price little high one frequent Boston , nothing outrageous . love stay Palazzo find property ' restaurant bar big asset . PALAZZO POOLS hit pool morning , main pool Palazzo sun yet . many post / comment TA true . look catch tan , head towards Venetian , sun seem day long . the big difference pool area Palazzo ' seem well drink service relaxed atmosphere . lounge pad venetian side , brown grab extra towel lie thing get hot . FRIDAY MORNING , check - OUT CLUB GRAZIEI wake take laptop free WIFI hotspot second floor Shoppes near guest elevator . outside coffee shop . online check - in thing evening ' red - eye back Boston , go back room pack gf.check - out seamless , like experience Palazzo . thing people notice hold put cc beginning trip ' come nearly four day check - out . say 24 - 48 hour checkout . big deal , want share . another thing note people book via third party like Travelocity Orbitz . address list arrive actually address , address company book . would good idea straighten check - in avoid unforeseen consequence . we stash bag Palazzo luggage crew low lobby next cab bay . hotel baggage system gladly hold bag guest get early enough enough spare capacity . Club Grazie give GF $ 15 start account , plus $ 50 slot credit room package Travelocity . also , clarify address CG , anyone , guest cg member two different system . already receive offer pretty cheap rate Palazzo / Club Grazie ( one week $ 109 weeknight , $ 159 weekend night ) ' home week . overall , stay get really great rate Travelocity , lucke getting upgrade check - in stay great room . feel comfortable everywhere nice place call homebase . property lively attraction , nice , calming place come back great . 
 Jun 25 2009 	 one Best Hotels World ... 	 Palazzo one nice hotel ' ve ever stay entire world . room world amazing : sink living room , marble bath , marble shower , jacuzzi bath tub , amazing window view . pool outside awesome . spa also pretty nice . Palazzo rock rock n ' roll party atmosphere find resort like Ceasars Palms . kinda quiet night . limited middle class restaraunt choice - high end . be look great hotel - not need top Vegas party atmosphere , Palazzo wise choice . 
 Jun 25 2009 	 fabulous hotel Las Vegas ! 	 Palazzo good hotel ' ve ever stay Las Vegas . staff , restaurant , pool , amazing room , wow say . location great , especially like shop . right across street Fashion Mall . definitely stay next year ! 
 Jun 20 2009 	 good hotel Vegas ? 	 I ve stay Palazzo 3 time past year . like time . room probably good strip , easily nice Bellagio . the shop restaurant selection excellent . conference facility great . the room MUCH well adjoin Venetian . plenty thing anyone . 
 Jun 20 2009 	 Best Vegas 	 favorite hotel Vegas ! suite hotel . room beautiful , luxurious , rich warm . bathroom quite large shower tub plus tv . three tv room . hotel , casino restaurant wonderful . staff take care . second time stay Palazzo definitely go back . bit pricey find deal . spa great busy . several pool crowede get early . 
 Jun 17 2009 	 Fabulous ! 	 husband stay Palazzo past weekend along extended family . 4 room total . past , ' ve stay variety place Bellagio , Signature , TheHotel , etc . Palazzo fantastic ! walk , be beautiful lobby , elegant grand . suite wonderful , large well appoint . 8th floor much view not care . spend lot time casino small casino ' ve . work Canyon Ranch gym one morning wish time spend . ' ve massage past 's amazing spa . we love asian restaurant , Zine , eat twice ! celebratory dinner , entire family eat Lavo . food delicious ! rigatoni sausage husband bone - in rib eye . one negative service happen sister - in - law . stay different floor around midnight one night huge fight break hallway . security quick stop fight . however , blood splatter hallway door . towards end next day , blood splatter still remove ( huge health hazard ) numerous call , sister - in - law go downstairs talk one manager . manager defensive claim spend 6 hour cleaning & quot ; specialist & quot ; examine area . well , sister - in - law , father - in - law husband doctor & quot ; specialist & quot ; excuse fly . anyway , situation get take care take forever manager quite rude . overall , great experience Palazzo get blood splatter door , persistent get resolve ! 
 Jun 17 2009 	 Second Wonderful Palazzo Vacation ! 	 second year row , wife spend magnificent week Palazzo . check - in , merely ask suite nice view get beautiful suite 36th floor view strip , Wynn Hotel , Wynn golf course . love three plasma TV 's , comfortable living room , incredible king - sized bed . dine gourmet restaurant Palazzo Venetian charge everything suite , thus accumulate lot point Grazie card ( casino comp ) .My complaint time room make two occasion , call Housekeeping Department . however , come back dinner , everything complete , bed turn , nice box chocolate pillow . Palazzo remain well classy hotel Las Vegas , plan return next year . 
 Jun 17 2009 	 luxury hotel casino rather reverse 	 past 6 month stay Wynn , thehotel Mandalay , Palazzo , past year several hotel Strip include Caesar 's MGM , Luxor Treasure Island , prepare crown Palazzo king among . stayed previously shortly open like , believe still work kink . Palazzo hit stride believe due clear focuson hotel side business , stark contrast many hotel strip rest hotel seem take back seat , and/or design drive towards casino . recent stay real pleasure , start check - in . come THEhotel , show quite early . greet short line - up ( surprising thought would huge due people check , Palazzo wisely separate line check - in check - out , well in - room checkout system actually work ) & quot ; greeter & quot ; , chat we wait walk we check - in desk . nice touch ( first many ) .Not room ready , upgrade one Sienna suite . thing among nice room ever stay 1200 square foot might large . super clean , super classy . 3 flatscreen , every amenity could want need , include fax machine multi - jet shower . ever get chance stay one room take - even current full price would cost less comparable suite stay Hawaii last year . the hotel pool also fantastic , never problem get spot . nice touch - bring around cold towel , ice water orange slice day , addition regular round wait staff . minor complaint pool due orientation hotel , sun not make around build around noon . however , depth summer 100 + degree temperature probably bad thing world . the rest hotel also top notch . casino small side always seem room table , wide range table limit . soar ceiling casino throughout main level also make relatively smoke - free experience really add ambience . eat almost meal on - site adjoining Venetian , feature number option top - end celebrity chef restaurant food court - Carnevino , San Telmo Del Toro favorite would stay another week go . also great on - site shopping many unique shop , window - shop - only we still interesting see . sport book also great spot watch game . finally , location can not beat . Fashion Show Mall kitty - corner , ' ve get every level casino Wynn Caesar 's O'Shea 's within 5 - 10 minute walk , short cab ride outlet downtown . to sum , right well place stay Vegas opinion . shall see 2010 City Center bring ... 
 Jun 16 2009 	 incredible Amazing beautiful 	 surprised get there . the lobby suit marble place . they three tv . one bathroom , one living room ( separate stair ) , last one bedroom . the pool fairly big restaurant pool deck . pool 3rd floor . the hotel connect shoppe Palazzo . good location strip . I REALLY enjoy stay ! 
 Jun 16 2009 	 1st class hotel .... ? ? ? 	 pro : spacious room,3 tv set , staff attentive , excellent lift , sexy server @ bar , good security way lift , free valet parking , impressive bathroom . con : coffee maker room 3tv set , old floor carpet , internet @ $ 10 / day , slipper , free bottled water , room service coffee @ $ 13 / pot+18 % tip+ $ 4 delivery fee + tax , reason coffee maker due fire hazard [ -- ] take iron well , dust table & amp ; cabinet , printer w / out ink . 
 Jun 16 2009 	 Fav Hotel Vegas 	 second time stay Palazzo absolutely love . first stay 2008 amazing well . stay concierge suite 2008 decide time stay regular suite . check , King bed suite upgrade we Sienna suite big entire apartment . separate powder room even gym room adjoin bathroom eliptical ! ! ! 3 room upgrade 3 ! front desk staff helpful courteous whilst check check . fully book housekeeping bit disappointing . even though schedule turn service would done time . take anything away fabulous time . would definitely stay . 
 Jun 15 2009 	 seriously disappoint 	 Hotel look great outside , hotel guest service totally terrible . plan bachelor party Friday Saturday night . Palazzo seem right place . originally plan check 3 pm car issue could not check 2 am . upon arrive hotel lady check desk say since not actually check Friday night forfeit $ 271 deposit . proceed explain stay need play 2 am Saturday Morning check Saturday night stay . talk manager smooth thing see upset BS lady give we . thing work great time . room move couple item refrigerator accident upon checkout realize charge we . check registration desk explain not actually use beverage mini - frig charge drop . however charge we $ 50 restocking fee . unbefreakinlievable . never stay . lose money casino without rant loss , cuz know gambling . Palazzo scam artist , becareful signing term condition cuz real gamble signing read . spend 5 minute necessary go everything cuz day age will nail wall signature . 
 Jun 13 2009 	 Palazzo .... new favorite Las Vegas resort . 	 return wonderful stay Palazzo . choose Palazzo offer 3 night , compe either Venetian Palazzo , since Palazzo new , want give try . would first stay either property . moment step taxi , felt welcome . check bag bell desk , since early ( 10:30am ) ' think room would ready . upon enter hotel , greet show invite Guest check - in . check - in clerk pleasant , give we overview hotel , offer offer we choice high low floor . offer Bella Suite , face strip , $ 150 slot credit $ 50 food credit . choose high floor give 48th floor , room 712 . perfect view TI Mirage . able view Mirage Volcano show Siren ' show TI . although little high see Sirens well , ' think miss anything . beautiful view mountain beyond hustle bustle Strip . check clerk say would send luggage arrive within 15 minute . the room everything hope beautiful picture website . room wear , nothing broken ' moth find ! housekeep great job , complaint . turn service nice , enjoy chocolate leave pillow . we eat Grand Luxe restaurant arrive resort . pizza salad good reasonably price . two morning order breakfast room service . person take order greet name helpful pleasant . meal arrive 30 minute time . server cover dining table white tablecloth ... elegant . , kind pricey , good ( hot ) nice lounge around beautiful suite morning , breakfast front window wonderful view . Suite Dining Menu list Palazzo website want check price . add tax , service charge 18 % gratuity . there Walgreens Las Vegas Blvd front Palazzo . pick item forgot pack could pick bottled water little cheap hotel . walgreen also open 24 hour . we enjoy casino . be bit small venetian like . play slot wide variety fun machine . probably would fun would big , great time anyway . the resort smell amazing , clean fresh . mention Palazzo employee tell could buy room spray scent Palazzo store . spritz feel like ' vacation ! 
 Jun 12 2009 	 top notch 	 go Vegas friend three day . originally book Hotel Mandalay Bay , friend , Vegas veteran , stay Mandalay Bay last trip deem ' too far action & quot ; . check several hotel TripAdvisor , check deal hotel offering . dust clear , go Palazzo - little big room , little free stuff package . outside check , front desk clerk forgot give spa package little short everything , nothing bad say hotel . housekeeping , seem problem guest , instance - towel replace , room clean nightly . top , housekeeping staff friendly - single time member staff smile greet . rarely happen hotel . the room outstanding . stain furniture , sign wear tear . bed unbelievably comfortable . view ( 36th floor overlook Strip ) excellent . HVAC , bathroom ... exceed expectation . use internet connection ... not overly happy pay , . two large flat screen tv 's room nice . bathroom TV cool not use it . the casino floor not big , be far venetian , short walk Mirage TI . poker room small , way sport book . want either , walk concourse shop head Venetian . casino staff friendly , , , generally rare . the Canyon Ranch Spa pricey , top - notch . equipment clean well maintain . staff friendly . the physical asset , impressive . be overboard , nearly everything Vegas overboard . .... tastefully overboard . plus , hotel / casino not trace smoke smell . place scent , know people not like . not find overpower . well smoke smell . point hotel security elevator . hallway hotel quiet , think lot it . the hotel lot little thing right , 's make outstanding . stay lot hotel , ' m really fussy . case , can not wait go back stay Palazzo . 
 Jun 10 2009 	 get to love 3 Flat Screens 	 check - in easy . got to great rate coupon Expedia . $ 50 slot credit we $ 19.50 ! Woo hoo . loved room . really , really spacious . 1 TV & quot ; bedroom , & quot ; 1 tv living area 1 bathroom . 's center strip , close enough hotel hang : Bellagio , CP.You will not disappoint . Dos Caminos restaurant really good . try Tortilla Soup ! also see Blue Man Group right Palazzo Venetian , nice b / c come downstair show . only complaint hair tub . 
 Jun 10 2009 	 really great comfort location price ... 	 thing like people front desk , everyone else helpful ... casino kind suck Palazzo , well go nearby hotel , good thing , near everything room probably one good vegas . 
 Jun 9 2009 	 love stay Concierge Level ! 	 third time stay Palazzo , second time Concierge Level . moment check moment leave , treat like royalty . check - in problem line ( concierge level check - in separate regular check - in though , could ) . although room not ready ( arrive 1 pm ) , call we within 45 minute tell we ready . also end get strip view even though not even request one ( bonus ! ) , view Sirens TI show every night . room 44th floor , really not hear show night , certainly enough disturb it . the room standard suite , King bed , 3 TVS , clean spacious . read previous review indicate housekeeping spotty -- experience . fact , housekeeping come every morning like clockwork , seem -- room clean 1 pm every day . I love amenity concierge level personal preference -- depend like determine whether think 's worth . , love able get coffee breakfast morning without wait line coffee bar . also , open bar every night great we , appetizer evening -- bacon - wrap scallop , mini eggroll , quiche , type thing . also , pay cocktail , one reviewer experience -- order kind thing ( margarita , chocolate martini , fabulous , way , cosmos ) . , course , tip bartender server though . extra $ 100 night cost ( ) concierge level , definitely get money 's worth , , depend like whether go around hotel enough take advantage it . all staff extremely pleasant , helpful , staff concierge lounge call we name second visit , nice personal touch . Club Grazie staff also nice helpful . we spend little time pool , several access share Venetian ( think maybe 8 9 pool total ? ) . problem find chair , go bar get drink , cocktail service little slow . not really worry much -- big burden get go bar . normally go pool afternoon ( 3 pm ) could people people go early . rate certainly not crowd there . the downside experience eat Lavo ( italian restaurant ) , disappointing . quite pricey standard fare ( pasta , steak , etc . ) , service EXTREMELY slow Sunday night . additionally , actually get food , husband 's steak overcooked send back ( normally pretty lay back thing like , $ 50 steak cook order , think ! ) . replace short order , hindsight , wish take bill instead . , great experience there . overall though , LOVE Palazzo continue stay future visit Vegas . 
 Jun 6 2009 	 wonderful room great location Concierge level service great 	 decide spouse could use really nice trip away get decent deal Conciere level room Palazzo . PlusesWe Fortuna strip view room ( 24th floor ) . room wonderful , large , part quiet ( course will hear occasional loud mouth / door slammer ) . show Treasure Island really not distract , plan muffle boom twice night remember . want rest relax room , can not think well place . location - Near Caesars ( Forum Shops ) , Treasure Island , Venetian , Shops within Palazzo Venetian , Wynn hotel , Fashion Show Mall ( across street ) , Harrahs cheap gambling . concierge level - opt spend little money option . give access 23rd floor concierge level amenity . continental breakfast , afternoon presentation , evening presentation ( open bar , snack ) . option snack drink want nice negative , read . still sure would opt option again . pool - think something like 8 . share Venetian . many choose ( small , large , spa , etc ) able find perfect pool lounge around . safe Secure - Room safe work great . nice check room key get elevator area go pool . self park option work good beware , likely drag bag lobby unless locate right parking escalator / exit . restaurant - really enjoy Grand Lux ( operate Cheesecake Factory ) close elevator entrance . offer nice eat breakfast buffett order menu portion large money pay . downside dine Sushisamba Shoppes , ugh , expensive , much food food not good ( sample six different item one palatable ) .NegativesService - mention opt expensive concierge level . open bar great basic drink ( good selection beer , wine basic drink ) want something special ( Mojito example ) will ask pay open bar not totally open . part really disappoint Palazzo ( not give place 5 rating ) . service first night outstanding , gal take excellent care we , make sure drink always refresh great lady helpful friendly . next three night , service awful . one refresh drink problem go bar , lack service food replenish slowly table never clean . would show , stand line drink ( one bartender working ) , discover little food find plenty dirty table need cleaning / clear mea not place sit . also talk free newspaper conceire lounge , luck . ask one front desk concierge attendant newspaper tell & quot ; probably late & quot ; . four day , not newspaper one . guess pay conceire level service expect . sometimes wonder not opt concierge level bring large cooler purchase beer / wine / water walgreen front venetian gift shop near main room entrance . anyone Palazzo read would recommend hire people concierge lounge . room - Others gripe lack soap dish agree . take shower place soap bar bottle . also shower curtain not even come close touching ground flooding bathroom easy task accomplish . figure light control room take awhile . make sure main light switch entrance will cuss try figure turn light elsewhere room . expensive - Beware , thing get pricey place . advice save buck , buy drink , snack , etc walgreen front Venetian . room fridge chock full expensive drink essentially room drink might need chill . drink around pool $ 8 beer price range . always look special deal room hotel offer instead pay full bore . venture Harrahs one night gambling ( certainly nice Palazzo gambling facility low min bet rate ) . numerous time Palazzo would see many empty blackjack table , one dealer player minimum bet $ 25 would find one full table lower bet min ( $ 15 remember ) .Overall not think beat place wonderful room , outstanding location high class atmosphere . 
