Kimberly 	 two bedroom suite outside deck limit nice view 19th floor . full compact kitchen , two bath , really nice old hotel . lot action lobby street . 
 Sep 15 2006 	 Great Location Value ! 	 ' ve stay New York many time think kimberly good deal money , particularly family . sister , two niece one bedroom suite two bed , kitchenette , living room , balcony ( girl love ) . bed comfortable kitchen well - equip convenient breakfast , quick snack & quot ; happy hour . & quot ; feel plenty room spread , keep mind hotel room New York usually small . word caution , however , type room guarantee . another friend two daughter we also one bedroom suite , balcony king bed ( although request 2 double room make reservation Express , Quikbook ) . negative pull sofa - 's uncomfortable , request bunch pillow work fine . 's well locate shopping , sightseeing park , theatre district 10 - 15 minute walk . subway also convenient taxi plentiful . staff could not nice , especially bellman doorman . part group take train DC able get luggage trunk ( young girl not pack light ! ) . 
 Aug 31 2006 	 fantastic hotel ! 	 stay one bed suite king bed seperate living room pull sofa bed - ideal child . room beautifully appoint kitchen full necessary cutlery etc , impress standard towel linen well fabulous bed probably well ever encounter hotel . hotel great location close subway lexington good irish pub two street away numerous coffee shop area . staff great especially Harry doorman make seven year old day every time greet high five hiya princess ! would definitely stay location , service standard room wonderful rate hotel charge . would certainly recommend everyone . 
 Aug 20 2006 	 pretty good ! 	 family stay hotel two night . lobby tiny , warm welcoming . stay one bedroom suite . room reasonable price : # 300 per night . quite small , like lobby , comfortable . like fully - equip kitchen , nice dining room . bed relax , queen sized sofa bed springy woke , back ache . great amenity , internet access little pricey . ( mean , $ 7.95 24 hour ! ) printer / fax / copi desk . service extremely friendly ; polite kind child . dine great . try breakfast buffet , good . weekday , breakfast buffet free people stay hotel , outsider , complimentary . overall , nice stay Kimberly Hotel . 
 Aug 19 2006 	 Great Giirls Weekend ! ! 	 back great lady getaway long weekend eat , shopping , theatre - going laugh ! kimberly important factor enjoyable escape . doormen helpful charming . room comfortable , quiet spacious ( N.Y. standard ) bed comfy . a / c work well extremely hot weather . many time N.Y. hotel rank highly mind . location ideal ...... close Bloomingdales- 5 min . walk ... far Rockefellar Center Fifth Ave . fine breakfast place nearby . 
 Aug 14 2006 	 love hotel ! ! ! 	 can not remember ' ve stay nice hotel . location wonderful . room small comfortable . night bed turn put music bose clock radio . good size refrigerator icrowave . refrigerator even ice maker . plush terry cloth robe use . 's even pillow menu . choose 1 10 pillow type . bathroom nice clean . want nice view be go sacrifice quiet . inside suite face apartment building upside room quiet . 's great lunchenette right street . eat dinner lunch . think great hotel . would go back heartbeat . 
 Jul 28 2006 	 great NY hot 	 read great place must admit quite disapointed . stay 3J . arrive last week sunday NY heat wave discover never go get room cool 100 year old airconditioner seem exist many old ny hotel . other stay fine nothing memorable . maybe touch big cool boutique hotel , bed good , otherwise disapointe read review . going try sofitel next week back 
 Jul 19 2006 	 's right - believe great review ! 	 family four stay Kimberly June 30 July 11 , 2006 . first trip NYC , hotel fabulous . suite great ; plenty room adult one room child queen size pull sofa bed . location terrific ; subway entrance 6 Lexington literally around corner . easy walk Rockefeller Center 5th Avenue . question concern promptly handle extremely friendly staff . full kitchen wonderful . Ess - A - Bagel around corner , set breakfast entire trip . definitely recommend KImberly , plan stay opportunity return New York . 
 Jul 13 2006 	 believe great review ! 	 thoroughly enjoy everything recent 6 night stay Kimberly . staff helpful , friendly courteous . kimberly reside safe centrally locate part Manhattan . first trip NYC able walk take subway part Manhattan little direction . hotel room nicely appoint great bed full kitchen . take subway Union Square grocery Trader Joe 's and/or Whole Foods save lot money prepare meal use dish utensil provide . also , suite quiet room ' ve ever stay ; hear & quot ; neighbor noise & quot ; entire time ! believe positive review - wonderful place stay next trip city . 
 Jun 25 2006 	 Superb Kimberly 	 husband stay June 8 - 15 , pleased suite , noise problem , ( ear plug provide necessary ) staff courteous pleasant , efficiently handle request . impressed doorman , helpful , rush open door always greet we big smile . great location , river cruise add bonus . definately stay Kimberly , recommend friend . 
 Jun 25 2006 	 Great Location ! 	 stay Kimberly 6/11 6/15/06 . great hotel , location , service ! ! give hotel option travel agent check review tripadvisor.com select Kimberly ( 145 East 50th ) . room size perfect ( small apartment size ) clean . well hotel stay .... bed comfortable pillow extra touch . hotel staff friendly professional .... especially Edgar ( night desk ) Ralph ( doorman ) . can not beat location close restaurant , museum , United Nations , etc .. night feel safe walk dinner walk , walk , walk . eat almost every morning New York Luncheonette two door away .... good food reasonable price . block , aubonpain great pastry , coffee , bagel . subway entrance really close Kimberly take advantage ride Union Square Havana Central ( delicious cuban food ! ) dinner . look quiet bar / lounge ( window people watch ) try Lily 's block hotel . really can not say enough good thing hotel . would definitely stay ! 
 Jun 22 2006 	 fantastic elegance location service . 	 simply stay anyplace else . live NYC good return . location , near Lex subway , bus , restaurant , Bloomies , wonderful .It staff doorman , run street , concierge other make stay enjoyable . confortable room storage unusual . bed die ! 
 Jun 13 2006 	 Excellent 	 Excellent Hotel . large room , well - appoint Clean . wish could stayed long . 
 Jun 5 2006 	 Clean Convenient Kmberly 	 kimberly clean convenient hotel close Grayline Tour bus stop number 6 ( 1 block ) train . request King bed arrive get King upgrade suite balcany . eat restaurant look good offer room service . staff attentive always smile . location good , far enough Times Square far could not walk . 
 Jun 3 2006 	 wonderful second time around 	 husband spend 5 night 5/25 thru 5/30 . second stay kimberly great experience . one - bedroom suite 20th floor overlook 50th street . in - room safe , two tv 's , full kitchen , comfortable bed make home away home . pay $ 279 night plus $ 10 day internet service . . .certainly cheap . . . moderately price NYC . ' m sure will stay next time visit city . 
 May 30 2006 	 Wonderful Place 	 stay Kimberly Hotel Memorial Day Weekend . love it . I go two friend weekend theatre , dinner shopping . great location important great staff . beautiful room terrace wonderful bed . comforter sheet great . I plan come back October . 
 May 25 2006 	 Great Stay 	 arrive late night way hotel airport pretty tired traveling . arrive hotel around midnight unloading checking , feel wide awake . decide walk around little bit , boy glad . area alive feel safe walk around time night . subway right around corner everything easy get . great walking area . get great feel big city . staff pleasant entire time . stay 28th floor not hear alot street noise . streetnoise hear pleasant sounding , big city 's big part . great balcony . room plenty space feel cramp . feel size small apartment . return NYC , plan stay . 
 May 9 2006 	 Fantastic ! 	 kimberly , truly , gem ! ! stay three wonderful night & quot ; two story & quot ; say enough good thing accomodation staff . moment arrive , greet warmth utmost hosptitality . bed glorious- mattress pad comforter ! ! soft sheet ! ! thick plush towel ! ! location beaten- perfect central location . would not even consider stay anywhere else future . 
 Apr 28 2006 	 Superb New York Hotel 	 spend fantastic 3 night , 4days , Kimberley April . staff moment check moment leave first rate . they polite , attentive friendly without overbear . our room well spend Hotel anywhere . it actually suite include small kitchen area , Lounge , Bedroom bathroom . it spotlessly clean Kingsize bed fabulous . I snore lot ( allegedly ! ) even wife could'nt far apart .She also impress standard bed linen . we certainly book hotel next Visit . Andrew Julie Newsome UK 
 Apr 27 2006 	 Loved Kimberly 	 travel NYC quite often always search ' the ' hotel ... ' ve find ! good New York City hotel ' ve ever stay , far ! courteous staff , gorgeous accomodation - ' ve let colleague friend know would not even bother try hotel . location great good deli close proximity store - could go ...... 
 Apr 16 2006 	 elegance ! 	 love Kimberly ! 's small , hotel go , never feel claustrophobic especially room . parlor comfortable , kitchen surprisingly complete , bedroom quite spacious awesome bed . staff delightful , especially doorman , old african american man , quick smile never , ever give feeling look tip ( make tip ! ) .It 's conveniently locate many midtown attraction also subway 51st Lexington . I would definitely stay , word wise : make sure get car garage within 24 hour time period charge extra day , even be minute two late ! 
 Apr 4 2006 	 Annual Girls Trip 	 travel NYC Best Friend every year . seem friend join we trip . past year party 4 rent 2 bedroom suite Kimberly . perfect . spacious room ever NYC . private balcony bedding dreamy . use kitchen except store cold drink fridge . even provide we umbrella rain . would recommend hotel other visit . downside one girl sleep pull sofa bed . comfortable rest us luxury bedding . 
 Mar 30 2006 	 hotel great location . 	 stay Kimberly Hotel two teenage child March 2006 . one bedroom suite large relation New York hotel ' ve stay . two double bed comfortable , pull sofa horrible . staff friendly helpful save cleaning staff . unfriendly loud hallway . say enough positive thing bell door staff though . attentive never hesitate help we find cab luggage tend quickly . want location within walk distance Central Park South , Rockefeller Center Times Square 's perfect . personally prefer stay quieter neighborhood take subway cab midtown . Overall 's good value price . 
 Mar 22 2006 	 nice location 	 spend 5 day two teen Kimberly Hotel . one bedroom suite work quite well we . good rate Expedia . consider upgrade luxury collection renovate upper floor area would extra $ 200 / night . also , read sofa bed comfortable ( UNDERSTATEMENT ) spring dig back ! hotel $ 30 / night charge rollaway cot . bed room quite comfortable also remote control lift head foot rest mattress one work ... positive side , hotel perfect location . walk Rockafeller centre , Times Square , Fifth Avenue , etc . starbuck ( 1 block west ) fast easy spot grab breakfast . well breakfast buffet hotel . would likely choose hotel centrally locate safe area . 
 Mar 6 2006 	 Terrific Trip ! 	 plan trip NY surprise husband 22nd wedding Anniv . get ticket Met La Traviata search hotel online . kimberly meet exceed expectation ... roomy ( suite ) , clean , comfortable great view . location could not well , close shopping , Rockefeller Center , subway ... everything . would not hesitate recommend anyone ... price GREAT ! expect St. Regis Palace , European Boutique Hotel will not dissapointe . along line Hotel Monaco .... restaurant : DeGrezia east 50th hotel great dinner ... Deli be not miss Maxie 's Roxy 's Times Square ... also & quot ; 21 & quot ; Upstairs romantic Opera ! 
 Dec 28 2005 	 Perfect Girls ' Shopping Trip 	 three friend mine stay Kimberly December 1 December 4 , 2005 . be thirty travel extensively . stay two - bedroom suite 27th floor . corner room balcony . space could ever put use . ( come handy shopping bag . ) staff fabulous location ideal purpose . decor suite could update really , much time spend room NYC . exceptionally clean bed die . would recommend hotel anyone except look extremely posh romantic hotel stay . ' definitely back ! 
 Dec 26 2005 	 Great Families 	 stay Kimberly Hotel Dec. 11 - 14 2br suite . spacious family four adult one small child . quite impressed cleanliness suite . arrive early room already available . staff considerate helpful , especially doorman . always meet smile whether come go . find location ideal central activity little street noise . walk Times Square short walk major shopping . some furniture look little worn consider space get get reasonable price NYC , perfectly fine . pleased stay Kimberly would highly recommend , especially budget child . we definitely stay Kimberly Hotel ! 
 Dec 20 2005 	 amountof space complaint ! 	 book Kimberly week Thanksgiving 5 night read review . got nice deal thru web reservation service . lobby much small anticipate , spend time lobby ? room spacious NYC standard . freind stay around corner , W , visit room ..... TINY . actually end stay extra night room pull sofa living room . really like balcony . nice able walk outside check weather ! staff freindly , esp housekeeping ! receptionist try upgrade one premier suit not one 5 night . steak house adjacant serve good meal , would appreciate well service midnight 4 table place . serve 2 am . would stay discount rate . publish rate much high calibur property . 
 Dec 15 2005 	 .... 	 spend long week business . room spacious full kitchen sit room clean bed soft comfortable . work space provide small lighting poor . feel like check email dark afternoon . feel like old apartment inside . staff nice helpfull several request make . one downside , one elevator break leave slow . walk 12 floor go dinner ... happy not 30th walkup . fix night must something small . 
 Dec 8 2005 	 Fantastic Hotel 	 stay Kimberly Hotel , 145 e 50th Street , New York total 6 night November would recommend anyone 's location , friendly staff , size suit comfort value . perhaps cheap hotel could fault way . suite everything - large bedroom oh comfortable bed , great live area kitchen , spacious bathroom every comfort , everything spotlessly clean add bonus balcony breathtaking view Chrysler Building . it not get much well this . we would not stay anywhere else visit New York . 
 Nov 30 2005 	 good service good value Midtown 	 stay Kimberly first time week every turn , suprise delighted unparalleled service amenity provide stay -- complimentary upgrade suite , personalize note free gift manager ( completely unexpected ) , extremely attentive staff comfortable bed ever sleep outside home ! less $ 300 / night ? be unheard Midtown . plus , location beat -- 's 1/2 block Waldorf - Astoria . LOVED hotel definitely back ! 
 Nov 29 2005 	 Great Location Room 	 stay complain many tout 4.5 5 star resort . rare , therefore , would fully endorse accommodation . however , stay kimberly make family first trip New York truly wonderful experience . room spacious , clean well decorate . drawback less friendly employee duty customer service . hand rest staff great less helpful disposition seem contrast . 
 Nov 26 2005 	 Suite dream 	 kimberly excellent location , terrific staff extremely spacious suite city visitor regularly pay $ 300 tiny box - sized room . , unless stay one top - price suite , Chrysler , Ambassador Empire , not expect utterly thrilled . 1 - bedroom suite roomy well - appoint large window bedroom living room ( balcony ) , hardly matter , look onto dingy blue building directly across heating vent compressor . mean room stay dark even though sunny weather 3 - night stay . upside side , drone equipment perhaps preferable NYC street noise , even 15th floor . mention review , furnishing somewhat date ; husband think lamp particularly ugly , however everything clean working order . two terry robe provide , one tv room , cd player bedroom , full bath Neutrogena toiletry , lot closet space drawer , extra towel pillow , well - equip kitchen , comfortable bed good linen duvet , big couch , soft chair , dining table chair , desk fax machine in - room wireless ethernet - cable high - speed internet , - whole well many work New Yorker 's apartment . like anywhere , impression Kimberly depend expectation . good idea getting read many review , favorable . leave feel satisfied Kimberly , somehow earn affection favorite hotel . long remain competitive price - wise however , contender future stay . 
 Nov 14 2005 	 Superior service 	 normally write express view great week Kimberly feel necessary . know location good stay Waldorf previous year service kimberly far superior . staff always pleased see provide assistance . enter lobby Gregory always greet beaming smile make feel welcome . the one bedroom suite expect , clean spacious . able return put foot hot drink whenever like comlimentary filter coffee tea . the small kitchen well fit gas hob / oven , microwave , fridge / freezer , toaster , coffee machine even dishwasher ! great able get part Manhattan quickly nearby metro line Fifth Avenue Central Park block away . we not expect receive personal service exactly get . Congratulations Manager staff . 
 Nov 4 2005 	 every year 	 unless want pay top luxury , stay anywhere else ? kimberly part love NYC . great staff . great room . great location . can not wait next year , will fifth year row Kimberly . 
 Oct 16 2005 	 Wonderful 	 October 12 - 15 . loved hotel . Suite clean comfortable staff professional extremely friendly courteous . nice safe location . 
 Sep 27 2005 	 Kudos Kimberly 	 stay Kimberly two night recently friend . request update room high floor accommodate request . ask could upgrade , tell additional $ 30 could give we one bedroom suite . decline spend impressed accommodation . bed heavenly pillow ! ! room like personal bedroom hotel room . nice refrigerator too . I stay Kimberly executive suite plasma tv 's wall ... deluxe guestroom small , old tv , fine . price really good compare everything else midtown east area . satisfied room service . bellman doorman friendly make feel like come & quot ; home & quot ; day . would recommend Kimberly , ask update room seem people inferior room . 
 Sep 13 2005 	 wonderful experience 	 stay Kimberly one night business trip April 05 . love ... comforter amazing ! ! ! great supply newspaper available lobby free . small suite love - ton space soo comfortable . I plan another business trip curious hotel seriously consider Kimberly . 
 Sep 7 2005 	 LOVE hotel ! 	 spend 3 night end August . PERFECT toddler son -- sleep live room bedroom bathroom . big room -- unusual NYC . great kitchen -- especially good deli 's convenience store nearby . would come back walk city relax milk toddler , drink we . general , one favorite location -- near Rockefeller Center Time Square short walk Park . nice residential feel small cafe block 2nd . bed fabulous soft pillow top awesome linen -- well Westin Heavenly bed sleep . shower good , inside location street noise -- soo quiet . staff nice , although terribly well informed . , wireless connection room , look stuff online anyway . 
 Sep 3 2005 	 Fantastic hotel ! 	 wife spend day research hotel online decide try one . glad . thoroughly enjoy stay August 28 September 1 . beautiful suite clean nicely appoint . staff helpful extremely friendly . kitchen come handy breakfast pillow top bed comfortable . daughter spend couple night sleep sofa bed . definitely return lovely hotel . 
 Aug 25 2005 	 Kimberly Great 	 return six night trip NYC . stay Kimberly six night enjoy . husband , 18 year old daughter one bedroom suite 29th floor quite remove street noise . feel like Kimberly home away home welcome respite whenever return , exhausted , sight seeing . major drawback sofa bed living room . spring poke huge sag middle . one night , call front desk see could offer complimentary rollaway . accomodate we graciously charge 's use . several time stay , ask staff enjoy honor us guest . feel welcome staff would stay Kimberly . price one bedroom much well regular hotel room give we much neded space . great location . thing like , relative small size hotel . allow much personal service . never wait line cab always get one almost immediately . , great service wonderful time New York . 
 Aug 23 2005 	 good location / tidy room 	 use use football ( Soccer american cousin ) cliche ' hotel review & quot ; game two half .... & quot ; come & quot ; big apple & quot ; part extend 2005 holiday state , part long weekend NY , search around & quot ; sensible & quot ; Manhattan hotel family four , two adult two teenager , KIMBERLY seem perfect book four night stay commence Thursday 4th Aug. make clear want one bedroom suite two double bed it . now negative bit . although check conceierge staff great , find room one single double bed pull bed lounge , go room fabulous view East river bridghe Chrysler building decide give go . the pull bed perhaps bad bed ever sleep ! , ask move next day worst give double matress put thin matress pull out . what follow describe & quot ; Pythonesque & quot ; , varity various bed matress 's turn none suitable . EVENTUALLY agree move we another room bacame available . now positive bit . they move we lock stock barrell minimum fuss part , another room two double bed . what difference ...... room clean spacious , decor little date , little kitchenette usefull . the reception staff helpfull , location great , walk 15 min south Empire State build 10 min north Central parkoverall would return , advice four ensure guarantee two double bedded suite could go far wrong ! 
 Aug 15 2005 	 disappointed 	 family four return New York spend two night Kimberly Hotel . plan stay long husband , would leave move street Waldorf Palace ; however two chldren we Kimberly , formerly apartment building , two room & quot ; suites & quot ; , ideal set - up family . good news : Kimberly 's one bedroom suite good sized ; balcony , kitchen convenient mid - town location . the negative begin arrival . child arrive early flight know room would ready several hour . prepared . ask time return tell 1:00 p.m . shortly 2:00 P.M. arrive back inquire status room , tell ready . , ask might return , tell terse voice come back half hour . time without dierctly respond question , clerk say & quot ; give room 21D. & quot ; time exchange man engage necessary word convey information regard room . arrive room , think thought walk great - aunt 's apartment see update 20 year . light bad ( yellow tinge everything ) even light , difficult read . lamp , ceiling wall lamp either leave hotel conversion attempt & quot ; vintage lighting . & quot ; whatever case , effect drab dreary . attempt turn lamp next bed , notice light socket lamp . call front desk , begin inquire replacement lamp phone click ear speak . call back , gentleman come , put socket back lamp tell could operate wall use manual switch . the wallpaper border peel wall , carpet little old date also stain . furniture 1970s fake french provincial ; bathtub part faucet hang worst allege non - smoking room definite smell smoke apparently management encourage ashtray drawer . drab dreary place spend couple night mention headache cigarette smell . we high maintenance traveler ; however , expect basic level service hotel . husband arrive afternoon ask key room , ask woman desk want see I.D . perhaps treatment desk staff seem leave poor impression hotel . time , check check , anyone ask anythng could we give we usual & quot ; nice time ..... anything & quot ; recitation . two time call front desk regard lamp issue , greet name ( even Holiday Inn Express answer & quot ; Hello Ms ...... & quot ; check , woman front desk ask enjoy stay , either Kimberly ( ) New York ( yes ) . coincierge busy telephone talk whomever take half hour arrange car take we back airport . thank goodness not need help ticket information go get around . my last stay New York Plaza . even grand hotel closing ( quite shabby last day ) staff aware imminent unemployment , remain professional , courteous friendly . kimberly might want pick someone Plaza find make guest feel good stay worn hotel . next time need two room New York , head street Benjamin . 
 Aug 12 2005 	 Kimberly ok place stay 	 family 4 stay Kimberly 5 night August . hotel old , clean . King master comfortable . love feather bed comforter . pull couch mattress uncomfortable even 100 pound daughter , sleep directly couch . son sleep roll away fine . furnishing fine , two tv 's nice , although old small . location really great . close shopping dining . upon check try upgrade large room extra bathroom although available , one person tell would extra $ 150 per night next day ask someone new say would extra $ 200 per night . feel stay 5 night , gracious available . also , request renovated room , tell none available . chat other able get 22nd 23rd floor . my two big complaint 1 ) bathroom small 2 ) air conditioning . old unit go night long loud , definately interrupt sleep . we one bad experience concierge . tell want two Met ' ticket Wednesday night . find we sporting good store couple block away . go , purchase ticket go game . get game , tell ticket night . spend $ 70 first set ticket $ 100 door could see game . bummer . thing leave behind digital camera one seem find . Hmmmm . all fine place stay . 
 Jul 27 2005 	 Kimberly - good place stay 	 spend weekend Kimberly , 50th betw . Lex & amp ; 3rd . 7 people group splurge little get one 2 br/2 bath suite one 1br/1bath suite . room nice , roomy , kitchenette . nice view walk patio 30th floor . go suites beause would cost similar 3 - 4 room standard hotel . kimberly old property , imperfection , would stay . staff nice & amp ; helpful . 
 Jul 24 2005 	 love place ! ! ! ! ! ! ! 	 pull rental car around noon , plan stash bag hit street , expect room would ready . ! allow check early , hold rental car curb settle 2bdrm suite 25th floor . suite unbelievably spacious , especially New York , nice kitchenette , living room dining area . lovely view Chrysler building East River . bed comfortable ( huge ) high quality linen , featherbe ton pillow . pillow fanatic . never travel without pillow , next time go kimberly , leave pillow home ! hotel staff good ! everyone extremely friendly helpfully . teenage kid love able check email complimentary business center . common area hotel small , want hang hotel NYC ? fact , downside hotel . room nice , would want spend time , also want see sight . location kimberly great ! 's East - side , Mid - town location make easy walk many NYC 's great attraction . rest easy access subway , stop one block away . , pay less would 2 regular hotel room anywhere else . 
 Jul 14 2005 	 excellent choice excellent location . 	 family four enjoy great four night Kimberly July 4th thru July 8th . locate one bedroom suite give we plenty room spread especially 17 19 year old . really take advantage fully equip kitchen breakfast day . kimberly staff tremendous , service first rate . small scale hotel ' just right ' we . location quite good since midtown site 10 - 15 minute walk away , subway stop 51st Lexington Grand Central get anywhere else . would certainly stay . 
 Jul 11 2005 	 Summer City ! 	 stay one night Kimberly . executive King suite balcony overlook 50th . great room really large kitchenette comfy sofa ( little worn ) . bedroom great bed featherbe comforter ton pillow . sheet high quality well . bathroom old little small clean good shower pressure . staff exceptionally nice take great care we . use concierge extensively great job . highly reccommend NYHRC cruise - pretty casual , edible food , cheap price good ( albeit expensive ) long - island Iced Tea ' ve ever have . the reason not give 5 pay ~ $ 525 , one night include room service breakfast ( overprice good ) not think great value . enjoy anyway ! 
 Jul 11 2005 	 Great Value Great Service ! 	 wife , two small child stay Kimberly last May . staff friendly accommodate . find hotel great value centrally locate . hotel restaurant also excellent family friendly . recommend Kimberly friend . 
 Jul 3 2005 	 stay Kimberly June 24 - 27 	 confirm reservation make two month arrive 2 bedr , 2 bath suite - upon arrival tell upgrade 3 bedr suite - nice ! problem 3 bedr living room full kitchen need room group 6 . move we 2 one bedr suit across hall - bed comfortable , pull sofa comfortable - could feel spring - good location , nice doorman , would ask terrace view - first 3 bedr upgrade beat look terrace look another bulde - depress - reservation want say would stay - 
 Jul 1 2005 	 huge room New York comfortable bed ever ! 	 recommendation lot research , choose Kimberly short stop New York past May . hotel staff friendly accomodate allow we check early 10 am arrive fresh red eye San Francisco , California . hotel 's common space small size since boutique hotel , one bedroom suite stayed make ! nice sized kitchen complete w/ stove , oven , dishwasher , refridgerator , spacious living room area w/ sofa television , large bedroom , esp New York . bed least King ( Cal . king ) comfortable bed ever sleep hotel . crisp linen , plenty pillow , high quality feather bed top ! ! room quiet except morning traffic noise filter . complaint bathroom small decor bit date tired ( hence average rating ) , hotel 's prime location , room size , bed , overall price unbeatable . also , many discount site offer low rate hotel . would definately stay . 
 Jun 27 2005 	 love it - want go back ! 	 husband daughter stay four night kimberly absolutely loved . usually book much less expensive hotel want enjoy NYC well . hotel excellent comfortable without overly fussy . location great walk nearly everything . not get opportunity stay high end hotel much rate 1 step Grand Hotel Oslo Norway . 
 Jun 26 2005 	 Charming Place 	 parent stay Kimberly past weekend . city overnight attend family wedding . take chance hotel location price . minute pull curbside get car , treatment outstanding . room two bed , bed might add wish could take home many pillow ! stay previously another & quot ; boutique & quot ; hotel midtown find internet disappoint . kimberly ! drawback mother , young anymore could use bathtub / shower high get . great brunch offer hotel guest unfortunately time , great luncheonette next door plenty choice dine long . would definately stay . 
 Jun 23 2005 	 bad still overprice 	 stay Kimberly Hotel Manhattan June 2005 . bad , still small price . first night , hot water handle break , could shower night . repairman come first thing morning . Cable go six hour . relatively clean carpet could replace . convenient location ( guess 's price high ) . Personnel friendly helpful . doorman always pleasant . whatever , not eat O'Neills lobby ( unless money object ) . WAY overpriced ! million place locally chow much cheap good . would recommend , reserve far advance . price skyrocket date get close , especially summer . 
 Jun 19 2005 	 please Kimberly 	 cousin stay 6 night Kimberly 1 bedroom 26th floor . bed wonderful , good ' ve find New York - include Plaza . furniture bit worn , fine . room quiet balcony add plus . the door staff friendly helpful hotel good location near subway many great restaurant . I definately stay Kimberly . 
 Jun 18 2005 	 Fantastic Hotel ! 	 kimberly truly favorite hotel NYC ! ! ! ! one bedroom suite request perfect , great add touch , private balcony view city . bed bathroom nice , well staff , helpful friendly ! free Internet kiosk hotel lobby also awesome feature . location also walk distance several midtown attraction shop 5th . Ave . ! concierge recommend MAMA MEXICO , fabulous mexican restaurant street hotel dinner one night , truly amazing ! ! ! love hotel hope return asap ! ! ! 
 Jun 14 2005 	 definitely go back . 	 excellent hotel staff , service location . two bedroom suite perfect group , although inexpensive . love balcony get fresh air , full kitchen nice . decor somewhat tired . however , bed comforable ' ve ever encounter hotel ( ' ve stay several westin ) . clean good value . great luncheonette next door , Starbucks , McDonalds great bagel place right around corner . 
 Jun 2 2005 	 well keep secret nyc superb 	 moment arrive front door greet wonderful staff incredible experience begin . self three friend ( girl ) stay 3 night May 26- May 28 , never feel crowd spacious room . clean , bed wonderful , bath fine even 4 lady try get ready . definitely back kimberly , recommend everyone . good bye Waldorf Astoria , kimberly new home away home . 
 Jun 1 2005 	 great all - around hotel ! 	 Kimberly hotel excellent experience . bachelorette / girl weekend hotel staff everything make dinner reservation come room take group photo we balcony . extremely polite , bed wonderful , great location price ! would definitley recommend hotel ! 
 May 25 2005 	 absolutely love 	 great find . room huge comfortable . location extremely convenient everything want see service impeccable friendly . highly recommend anyone want comfortable , affordable hotel genuinely friendly , helpful staff ! 
 may 23 2005 	 great hotel great location 	 get back NYC spend 3 night Kimberly . impressed . good room great space fantastic bed . location great . eat O'Neills steakhouse join hotel ( also serve breakfast ) . good steak eat year superb service . would highly commend hotel restaurant . early reviewer mention , look modern chic place traditional hotel . great place one big suite hotel . also access local gym health club nice bonus . 
 may 17 2005 	 Lived High Expectations 	 early flight Greensboro , NC La Guardia May 12th arrive Kimberly 10 . meet promptly doorman load bag cart direct we Kurt check we . Altho room not ready 10 , ready 12:30 return lunch . book one - bedroom suite pay average $ 270 per night 6 - night stay . I think picture ' ve post tell story . room lovely . . . traditional style furnishing . . . comfortable tasteful . small kitchen well - equip . need pot pan , dish everything clean neat . light throughout excellent lot extra outlet ( need charge camera battery , cell phone , PDA . ) bring laptop pay extra ( $ 7.95 day ) high - speed internet access . simple set . printer / fax machine desk living room ( charge activation private fax number ) . bedroom good size large closet safe big enough hold laptop . ( leave mine sitting desk entire stay ; use safe cash . ) 4 - drawer double dresser bedroom two night stand 2 drawer . additional drawer space need , armoire living room 3 large drawer 's small drawer desk . addition closet bedroom , one inside entrance suite large closet shelf outside bathroom . two plush terry robe provide love lounging ( would purchase one husband worry someone might think name & quot ; Kimberly & quot ; . ) tv set conveniently locate living room bedroom . bit small certainly adequate good working condition ( 19 & quot ; screen think ) .The bed comfortable bed ' ve ever sleep . bed immaculate soft plush . 7 large pillow bed ( , foam ) comforter heavy . previous reviewer say bathroom small . yes , bit small lacking amenity . large medicine cabinet ( 3 separate door ) contain shelf space every toiletry bring . door cabinet mirror open form 3 - way mirror . lot towels extras closet . the service provide entire staff outstanding . New York Times outside door every morning . room make day 9 2 pm . Turndown service provide evening dinner . include remake bed chocolate pillow well another bathroom clean fresh towel . everything always clean tidy . must make one comment staff . first night , rush suite put $ 300 cash safe . forget lock safe , forget close well , also not close door closet contain safe . return later night , room make money still . ' m advise anyone leave cash unsecured , incident convinced could feel comfortable leave laptop desk throughout stay . a couple final comment Kimberly 's location . located 50th street Lexington Third Avenue , everything could want nearby . subways bus line within 2 block small delis breakfast spot . ( Au Bonne Pain good cafe au lait chocolate croissant ! ) stay Kimberly ( almost anywhere else city ) remember be Kansas anymore ! noise . . . fire engine , police vehicle . . . sirens galore , horn blow impatient taxi driver . escape sound city . room 20th floor . hear noise time , not bother we ; actually love ! could close window block , weather lovely want fresh air . to sum , kimberly wonderful home base trip New York City . staff , without exception , professional friendly . husband satisfied beyond expectation would certainly choose Kimberly next visit NYC . 
 May 9 2005 	 highly recommend 	 stay Kimberly 6 night April would recommend anyone . convenient subway , bus route , 5th Avenue shop Central Park . staff incredibly friendly helpful . suite sofa bed lounge area two comfortable double bed bedroom . also two tv unexpectedly well equip kitchen complete dishwasher , microwave , oven kettle ! also balcony - nice get fresh air morning . our complaint sofa bed bit lumpy , really picky , bathroom little small . decor traditional - want chic modern . however , clean comfortable . ask room high possible - light well view . also room back hotel avoid street noise . 
 Apr 19 2005 	 lot room great location 	 stay spring break ' 05 - book hotel direct sure room type - good front desk concierge - excellent housekeeping staff - linen great . good thing amount space suite ! 3 family mean love extra room . good moderate price cafe next door ! central location close Waldorf mean easy access Rockefeller Center Times Square 10 min . walk . undergo room renovation . need . service make . would recommend . 
