still 	 second time one night stay : think excellent value London like location . walk king Cross Euston get number 73 bus . local Goodge Street tube handy northern Line take embankment heart city . Goodge Street also many eat place choose inevitable Tescos mini supermarket . free wifi appreciate , pay small fortune previous hotel one hour ! room small comfy get need , use space great , attention detail evident . yes , road noise , problem winter window close . think could summer though window remain open . also find staff welcome friendly think inclusive breakkfast brilliant value ( day another London hotel want £ 23 cooked breakfast ! ) link John Everett Millais intrigue business visual art . 
 excellent all - round would definitely stay ! 	 hotel perfect , great location - minute ' walk road near Tube station handy travel Euston Railway Station . staff friendly helpful room well - appoint comfortable nice rear outlook . Breakfast also include price great all - round value money . would definitely stay next London trip . 
 Oct 28 2006 	 Great Base London 	 spend four day hotel October 16th 20th . room spotlessly clean tidy adequate space group three . bathroom small clean . Mr Mrs Dorta staff friendly helpful . give we advice facility laundromat nearby good way catch tube Heathrow . first day , arrive early room ready use 9 oclock morning . greatly appreciate long night travel . I would certainly stay visit London . breakfast great ! 
 Oct 18 2006 	 expect ! 	 stay Arosfa twice reason would stay elsewhere London , well two reason . ever win lottery intend book Clarridge 's . , since not play lottery , reason would book elsewhere self - catering . yes , room tiny . yes , bathroom hilarious ( elbow sink sit toilet ! least toilet ) . yes , elevator . yes , may share table breakfast busy time . research know well expect american - style hotel experience , enjoy Arosfa . , pay many time price get american style hotel room elsewhere . go London spend time hotel room anyway ? arosfa good neighborhood , minute walk tube station . halway easy walking distance either British Library British museum . problem location Waterstone be directly across street . prove problem first time stay , check airport , take book suitcase weight limit ! room tiny otherwise pleasant clean . room tiny bathroom television room need check weather , etc . breakfast simple , fill , choice several cold cereal , plus toast , juice , tea , egg meat . also pub around corner serve decent hot meal . cabby can not believe be get location price ! 
 Oct 16 2006 	 Loved - highly recommend . 	 spend seven night Arosfa Hotel last week . find hotel Trip Advisor review post accurate , thank goodness . wonderful experience hotel definitely plan stay again . the Arosfa extremely clean - challenge anyone find even speck dust . stay single room £ 45 night . request receive room overlook garden . Gower rather busy street room face back definitely quieter . travel pillow bring along unnecessary pillow good quality comfortable . ' m use sleep single bed , fine first night . the entire hotel strictly non - smoking enforce . big selling point , actually . owner two staff friendly accommodate . breakfast , offer choice four cereal , egg , bacon , sausage , toast , tea , coffee orange juice . not eat meat Mrs. Dorta immediately offer fresh tomato . quite surprised see two tomato serve wedge along egg expect couple slice . twice visit , grill tomato prepare everyone . coffee good , unlike coffee serve british establishment . appear helping unlimited see people start cereal full breakfast egg , bacon sausage . Mrs. Dorta offer get toast etc . last morning head airport , Mrs. Dorta serve big breakfast usual order previous week say , & quot ; big day ahead need & quot ; . be small personal touch like bring back ensure recommend hotel friend stranger alike . the launderette 5 - 7 minute walk hotel several tube station within walking distance . theatre district , major museum attraction within walking distance . major bus route Gower number 29 take directly Trafalgar Square . get habit boarding bus see would take ( purchase week - long Oyster travel card £ 22.50 unlimited travel ) .One tip - need laundry , eat cafe across street ( side Marchmount Laundromat ) . lovely little patio along two side build , peroxide blonde owner ( german Swiss , could not tell ) miserable person encounter entire time London . barely suppress contempt take order fully unleash angry , miserable personality poor staff . not already pay coffee prepare , would walk . ask one poor chap bore brunt humiliating abuse day always like say always like . look another job . when travel via tube hotel airport , Goodge close station , Warren station ( block away ) convenient one line Victoria station . one change line get Goodge Victoria . easy walk three block extra luggage change line deal stair . the Sainsbury , pub restaurant shut 9 - 10ish immediate vicinity hotel , walk Tottenham Rd . towards Warren station , find Sainsbury 's open midnight . , Arosfa clean excellent location . feel confident recommend hotel anyone travel budget good value money London . 
 Sep 28 2006 	 Lovely Little Hotel 	 stay Arosfa two night March 2006 . yes , room small , clean . much time spend hotel room London ? Arosfa tick box , clean , excellent location hearty cook breakfast , can not well price . 
 Jul 31 2006 	 highly Recommend Arosfa 	 stay Arosfa 4 night may please . room whole hotel clean location excellent . especially like easy access British Museum . breakfast excellent well . concern ( mention previous review ) small bathroom . size airplane bathroom . bother we , may problem large average size people . , ask double room ground floor face garden -- absolutely peaceful relaxing . 
 Jun 25 2006 	 excellent facility arosfa 	 stay 5 night May 2006 . staff friendly room spotlessly clean . tell owner take great pride facility . great location close public transit . next time London stay . 
 Jun 6 2006 	 wonderful Resting Place ! 	 spend five day Arosfa early May . impress cleanliness room friendliness staff . close several tube station within walk distance British Museum several London theatre make ideal location . english breakfast tasty serve smile . return London , Arosfa hotel . 
 Apr 9 2006 	 would certainly recommend Arosfa Hotel 
 Feb 21 2006 	 warm welcome 
 Dec 5 2005 	 must lot well ! 
 Oct 31 2005 	 fifth time would go back 
 Oct 12 2005 	 great value money 
 Jul 19 2005 	 Small perfectly form ( get room back ) 
 May 14 2005 	 Great Little Hotel 
 Apr 26 2004 	 go hotel see london 
 Feb 6 2004 	 tiny clean 
 Jan 7 2004 	 Size sometimes matter 
 Nov 18 2009 	 Veramente carinopulito e accoglientemi sono sentita casa ... 
 Nov 9 2009 	 Arosfa Hotel : una bella sorpresa . 
 Nov 9 2009 	 Un bon compromis ! 
 Nov 3 2009 	 Muy buena experiencia 
 Oct 7 2009 	 ¡ Estupendo ! de una limpieza impecable confortable 
 Oct 6 2009 	 da Arosfa ... 
 Jul 27 2009 	 Demasiado caro para lo que ofrecen . 
 Jul 13 2009 	 Vergonzoso 
 Jul 13 2009 	 Indignante 
 Jul 12 2009 	 Hotel solo para inglese 
 Jun 30 2009 	 piacevole e pulito 
 May 3 2009 	 Muy agradable 
 Feb 13 2009 	 Excellent séjour dans cet hôtel ! 
 Sep 27 2008 	 muy buena elección 
 Sep 16 2008 	 Piccolo confortevole e pulito 
 Sep 5 2008 	 piacevole soggiorno 
 Aug 28 2008 	 Un gioiellino per qualità - prezzo 
 Aug 22 2008 	 Tutte vere e attendibili le precedenti recensioni di Tripadvisor 
 Jul 21 2008 	 os lo recomiendo ! 
 Apr 8 2008 	 Wundervolles zentrale familiengeführte saubere günstige Hotel 
 Oct 10 2007 	 Arosfa ist ein toll Hotel 
 Apr 13 2007 	 Sin lujos pero muy recomendable 
 Nov 2 2006 	 Hôtel très agréable 
