good 	 get back England trip stay last night Premier Hotel . 's second stay be even well last trip . much improve dining area . great food Bar . room compact well appoint exceptionally clean . location great , lively Earls Court road 2 minute walk tube . close also Holland Park Hyde Park . parking always expensive 's close short term long term parking . staff excellent always helpful . will look stay next family visit . definitely good family value around . 
 look futherthis ! ! ! 	 recently stay Premier Inn , Kensington Earls Court pleased service decide write experience other go see . front desk restaurant refit want difference ! ! reception slick self check still traditional reception desk . restaurant really nice , relax spacious . hide gem team customer service . feel team member , one person pass bye without ask " stay " " well " . thrill , clean hotel , good . 
 Aug 2 2007 	 great place 	 family 4 ( 2 girl age 7 & amp ; 4 ) spend 7 night hotel . first thing location : 's 2 - 3 minute Earls Court tube station ; exit sation take road front ( Earls Court Gardens - there be pub call courtfiled corner ) hotel end street leave . we travel friend ask room together , since request computer . the room ok 4 people , comfy bed extra pillow . daugther sofa - bed pull - out bed , comfy well . toilet quite big plenty hot water we good pressure ; towel change every day extra one wardrobe , proper wardrobe shelf . they supply every day tea , coffee , milk sugar snack biscuit . room do every day . we room building , may seem maze get ( change lift ) face train fourth floor give we great night sleep . 
 Jul 29 2007 	 wonderful stay ! ! ! 	 granddaughter visit London 11th birthday . choose Premier Travel Inn Kensington internet thrilled find wonderful place stay ! room large , air condition , clean bed comfortable . also , hotel near Earl 's Court tube station , still quiet visit London several time prior never stay hotel roomy . staff kind care granddaughter . would encourage anyone stay hotel . 
 Jul 12 2007 	 comfortable 	 stay Kenso Premier Travel Inn 5 night July 07 . family 4 ( kid 9 11 ) squeeze standard room , still spacious enough move around kid bed ( one trundle bed normally keep double bed , sofa ) 3 large luggage bag . plus 4 5 small bag . after read review London hotel seem would completely squashed , , although huge , us 4 reasonably comfortable . bathroom whilst really clean bit tired looking & amp ; could ' ve small renovation do , overall pretty good also big enough move in . the restaurant downstair excellent . great choice meal , sufficient palate & amp ; buffet breakfast superb . wait - staff lack bit english fun Aussie lingo . really easy find - short 2 3 minute walk Earls Court underground station . easy 30 min walk Kensington Palace . overall - fantastic . 
 Jul 10 2007 	 nice ! 	 family ( two adult & amp ; two kid 12 & amp ; 13 ) stay Premier Travel Inn Kensington July 4 - 7 , 2007 . select hotel base comment read Trip Advisor compare place stay London . pay 290 GBP three night - 96.67 GBP / night $ 580 three night $ 193.33 / night . seem expensive consider type accomodation location outside central London , be . get close central London , price keep go . accomodation expect , clean room modern appearance . staff friendly daily maid service fine . we eat breakfast hotel cafe 15 GBP family - kid 16 eat free . the hotel locate 5 minute walk Earls Court underground station - get anyplace London . also catch Picadilly line direct to / from Heathrow airport station . there many store place eat around tube station , although demographic population may cause think twice walk around late night . overall , would stay vsiste London . 
 Jun 24 2007 	 Fantastic hotel 	 book hotel weekend break London . need two night really experience vibrant city . the hotel clean specification really high standard . bed comfortable lot space . hotel locate Knaresborough place 2minutes walk Gloucester road tube station . I find hotel comfortable stay book room year family visit Christmas 
 Jun 9 2007 	 Good Value 	 stay Premier Travel Inn Kensington early part May 2007 base , part , Trip Advisor review . completely satisfied would definitely return . this location quiet residential neighborhood five minute walk Earl 's Court tube stop . location extremely convenient return journey Heathrow Airport . the room clean sufficiently large ( London standard ) . book room British Airways Holidays . price pay reasonable central London . staff friendly . on trip , started end London . begin trip , stay another Premier Travel Inn location . experience one . base two stay , would stay location Premier Travel Inn chain hotel without hesitation . 
 Jun 3 2007 	 nice hotel 	 stay Kensington Travel Inn 1 night trip london see show RAH . hotel convenient underground station , staff good , room basic clean . due bad weather , decide eat hotel dinner rather walk rain look restaurant . impressed standard meal waiter could not attentive . also breakfast next morning well travel inn . would definitely use Travel Inn . 
 May 31 2007 	 Best Kept Secret Hotel London ! 	 book via hotel 's website long research first London trip . Readinfg trip advisor 's review really helpful . stay 7 day May 22 - 29 family two adult 15 year old son . staff friendly . reasonably price , room big thought would . nice bath room high pressure shower great . fourth floor noise nearby subway train undetecte . even smoking room ( non - smoking room unavailable time ) clean smell smoke . 3 minute nearby tube Earls Court station , great asset . advise bring buy bar soap . hotel notprovide . shompoo dispenser foam soap dispenser . also great grocery store ( specially Marks & amp ; Spencers simply food ) drug store ( Boots ) near tube . breakfast hotel , even age 15 eat free , still stiff 7.50 per person . instead breakfast bakery across tube station . 3 people cost less 7 pound . nice reastaurant area . specially like & quot ; NANDOs & quot ; , spanish - portugese restaurant Earl 's Court street , chinese restaurant Dragon King nice . area safe quiet . strongly recommend hotel would definitely go back stay chance back London . 
 Apr 18 2007 	 great value Great Location 	 firstly - location combine price make one good value london hotel stay . previosuly mention - bustle centre earl court ( include tube station ) couple minute away along safe residential street . check efficiently handle . get room overlook tube line triple glazing mean not problem - air conditioning work fine . be type not like stuffy room need window open make sure ask one room road . room spacious London standard , perfectly clean equipment would expect budget hotel . bar restaurant nice , service exceptional . breakfast excellent value - great service , excellent food , wide selection include cook order hot option good quality . I will stay ! 
 Apr 16 2007 	 clean Accessible Good Value 	 Excellent Clean Hotel friendly service 24 hour day especially pash reception . room clean comfortable albeit small ( London - expect small room besides not spend whole lot time either - much see ) . love close Earls Court Station yummy Baker 's Oven cuppa . Reception also provide friendly advice information London transport service local information . on downside : not like noise train first nite . ask move quieter side hotel move next day . bed every room weak spongy mattress / foam bad back , beware . overall pleasant stay good service . will definitely return second stay . 
 Apr 2 2007 	 kensington 	 bare - boned hotel one imagine - unless count foam soap dispense bathroom amenity . think first time stay hotel bathroom tile - kind pf pressboard floor . pretty good location though . stay free British Airways deal - start finish - prove adage & quot ; get pay for . & quot ; happily , two free night move well thing ! 
 Apr 2 2007 	 highly recommend 	 stay hotel one night theatre trip . convenient museum ( 10 minute walk ) .hotel superbly clean , room big enough need somewhere put head night . only gripe bathroom well lit . Breakfast & quot ; eat much & quot ; buffet . include price room £ 7.50 pp . bad value especially big eater morning . 
 Mar 30 2007 	 good location 	 Close Earls Court tube pub restaurant nearby , ideal location . hotel group inside , decent price London . Front desk staff apologetic put we room directly tube line not notice noise kid love watch train go station ! 
 Mar 12 2007 	 convenient nice 	 husband two little child . London expensive place , hotel affordable price , bit afraid might turn shabby one . however , surprise , location excellent , three minute walk Earl 's court subway station , surprisingly quiet neighborhood . front d staff friendly , room bathroom clean well - air condition . one setback fridge room . recommend hotel people look clean hotel great location sightseeing London . 
 Jan 13 2007 	 want go london ! 	 stay early January visit gf england . visit london twice trip stay diff hotel must say hotel much well compare stay cost abt 10 pound . location excellent - Earl 's Court one centralised tube station around u travel attarction wthin hort time without change tube line . also travel Earl 's court heathrow airport directly piccadilly line take abt 40 min . check fast staff nice courteous . also deposit lugguage hotel b4 check check out . the hotel room get spacious . clean well equip desk , chair , tv nice huge double bed . do not try breakfast though lot nice resturant around . try chinese resturant opp tube station like & quot ; tim sum & quot ; . issue be not extra linen blanket / comforter - way know blanket ebe wash regularly request extra linen tthe reception put beneath sleep . overall enjoy stay hotel 1st choice visit london . 
 Jan 8 2007 	 Great Value Hotel . lovely breakfast 	 great hotel one night stay , long travel couple . family four , two young boy . we order family room end double room couple extra bed . make extremely squeezy room bathroom . complain though - not charge extra - bonus town . we travel husband 's mother . give room floor we , evidently departure policy . give room back hotel ( bit hike actually , enclose road overpass ) least mean relative peace quiet . breakfast seven half quid - bit steep see get . unlimited amount good quality food something everybody . child 10 eat free , end extremely affordable we breakfast . even serve costa coffee ! early check receptionist could not pleasant helpful . wait hour find we good available room . kindly allow we take advantage breakfast even though technically not hotel guest stage . also luggage room wait going long want wander bit . the hotel far Earl 's Court tube lot internet cafe cheap ( London ) restaurant . 's bad position really . overall , reasonable hotel , especially consider price London . would definitely stay bit tight budget still want big breakfast get day . 
 Jan 3 2007 	 great value location 	 book package thru british airway . expect room bath nothing else potential noise . get hotel enough three people ( two adult one child ) one block away EArls court ( go hotel make right end street ) staff extremely helpful take red eye store luggage walk kensington palace start day . breakfast ok , daughter hard time food england whole not think hotel 's bad anything else . however , $ 15 american would walk bakery , subway , Mcdonalds child . ( near tube ) alot place eat hotel food not suit . also small bar return teh new year eye celebration serve pleasant . walk around neighborhood around hotel direction charming home , site , great place eat . would stay . also convenient take picadilly line Earls court heathrow much cheap express party . overall hotel worth convenient . staff knowledgeable willing find not know something . 
 Jan 2 2007 	 Medium size travel inn 	 Stayed 3 night X'mas . medium size travel inn locate corner one street ( Earls Court Garden ) Earl 's Court Underground . reception staff friendly seem overloaded . room ok except toilet bit run . supermarket , restaurant cafe main street . everthing okay except dim street light along Earls Court Garden . 
 Dec 10 2006 	 Good Price Great Location . 	 London November 29- December 6 , 2006 stay PTI Kensington . check - in breeze front desk clerk helpful spite fact pretty busy due George Michael concert . hotel book solid , still manage get room quiet side building . ask quiet side ; offer we front desk clerk since stay week . room okay - pretty much would expect PTI . relatively spacious ( London standard ) , clean , bed comfy , shower pressure good . hairdryer , tv , desk , couch . good thing PTI location - close Earl 's court tube easy get around ; within walking distance close high street kensington shopping ; close Sainsbury 's grocery ; close Earl 's court road takeaway . having say , not expect anything else . budget hotel , ice machine , cable channel , toiletry , business centre , etc would normally find north american chain . also , drawer room , small closet hang clothe ( 6 hanger ) , pretty much live suitcase ( big deal we ) .I use wifi connection , pretty expensive , choice send document email . try get pre - pay card front desk run cheap one . must commend front desk clerk 's initiative , however , since offer send email behalf use PTI 's server would pay GBP3.00/30 minute swisscom charge . all , would stay hotel . ' ve PTIs UK , never disappointed . even though pti pretty much no - frill hotel chain , customer service never fail disappoint , book , count lot . 
 Nov 21 2006 	 pretty good little hotel ! ! ! 	 stay 2 night , first night get london last night leave . our first night , room rather small , clean bathroom spotless . 2 we not problem . bed comfy not know british thing notice not really use sheet ? tired not bother ask - but notice stay friend not really use sheet except cover mattress might normal ? location fantastic , 5 minute walk Earl 's court tube station pretty close everything kind restaurant , supermarket , grocery etc area . area feel safe well . staff helpful great part special luggage room lock , leave stuff 10:30am not get 6 pm ( charge ) tour london get train later night . bathoom shower pressure fantastic ! room area quiet . on second night ( london week ) different floor notice room little big clean well . we never eat hotel find prcie expensive . overall , would stay location recommend location anyone . 
 Nov 7 2006 	 Great Price London 	 great price London . expectation quite low expect small room , necessarily clean far transport quietly surprise discover room quite large ( room enough king bed couch travel cot ) well decent sized bathroom . though not fridge kettle tea coffee . restaurant , locate site , great food service brilliant . make stay even enjoyable fact Earls Court Station literally 5 minute end street supermarket 5 minute walk way . conveniently locate everything . warn plan ahead appear extremely popular , even people not much noise guest . would highly recommend price pay . 
 Nov 4 2006 	 well recommend 	 2 night stay find really comfortable , clean spacious . one basic hotel drawer keep clothe wardrobe bathroom spotless . ( incidentally one review comment shower hose , spray , well , twist shower head , one head give several different spray ) staff friendly helpful resturant bright clean . gripe web site Premier inns states continental breakfast available £ 5.50 , hotel not continental , full English . daughter eat toast & amp ; juice bit dissapointe , resturant manager agree let we continental , feel bit annoyed . great location , tube handy . well recommend . 
 Oct 27 2006 	 Excellent value 	 complete five day stay . great location , fine value . something show . simply hose spray . definitely stay next trip London . 
 Oct 25 2006 	 free fabulous 	 select hotel part special BA promotional offer . stay hotels area ( book Virgin ) expect shabby basic frill Earls Court accomodation . what get however clean spacious comfortable room comfy bed , fluffy towel , lovely hot shower , clean tea kettle , fresh milk packet crisp delicious biscuit . and cost room zero ! one simply well . keep eye future BA offer hestitate select Premier Travel Inn . 
 Oct 22 2006 	 great value money 	 fair bit online research , book stay Premier Travel Inn Kensington six night recent trip London ( holiday ) . hotel conveniently locate Earls Court area , five minute walk Tube station . Tube convenient way around town figure various line quite easy get place . room spacious nothing complain . bathroom clean spacious , bed make everyday necessary amenity provide . sport freak , will bar ( downstairs ) catch cable channel room BBC free - to - air channel . whole , quite impressed hotel memorable time London . 
 Oct 17 2006 	 Great Location 	 hotel great location min earls court tube station run picadilly line main area . clean room , good breakfast . go back london would def stay hear . good value money 
 Oct 3 2006 	 gem ! 	 book family room night bargain rate £ 75 night . room small enough room double bed , single bed , cot we live suitcase keep buggy whole stay . room clean bed make supply replenish daily . staff friendly helpful . it nice bar & amp ; restaurant incase not want venture far . breakfast one morning good value £ 7.50 . buffet choose fruit , cereal , yoghurt , toast , juice , croissant , bacon , fried egg , scramble egg , sausage , bean , mushroom , tomato coffee . kid eat free work cheap another small breakfast would nearby . its brilliant location , right round corner Earls Court Station walk bit use Gloucester Road lot nice restaurant choose . overall great time definitely return hotel ! 
 Oct 1 2006 	 nice find Earl 's Court 	 great stay Premier TI Kensington late June . hotel close Earl 's Court tube station , two minute walk along Earl 's Court Gardens . room lovely big , desk , seat area reading lamp , case guest want company visit sit read . the bed comfortable , much like extra pillow available ( cupboard ) , rather ask Reception . shower powerful , pleasant extra nice big bath tub well - real treat . breakfast optional , number place eat within ten minute walk hotel , be really minus . window open , plus 's air conditioning , find must - have . one thing guest might care room rear hotel face District Circle line , tube train noise may undesirable . overall , fine stay reasonable price central London . 
 oct 1 2006 	 air condition Clean Quiet 	 get room flight + hotel deal thru British Airways . pleased find room spotless well air - condition . clean daily bed make three day . request top sheet heavy cover much husband . window pane double pan never hear train run behind building , anything else . excellent & quot ; lift & quot ; ( elevator ) , house cash bar , breakfast serve dining area , though press time sit breakfast . block two away variety eat establishment . need extra toiletry counter meds & quot ; chemist & quot ; pharmacy within walking distance , close 7 pm . small grocery health food store area , near Earl 's Court Tube Station , pick healthfull snack . recommend hotel everyone appreciate comfort good night 's rest . 
 Sep 28 2006 	 great value money 	 husband ( early 40 's ) spend 2 night hotel return home . first trip Europe ( London & amp ; Paris ) use tripadvisor 3 hotel choice ( 2 London & amp ; 1 Paris ) disappoint . the Premier Travel Inn large room 3 stay quiet clean . great shower ! find odd duvet cover top sheet - little warm . staff friendly helpfull . very easy access Earl 's Court Station easy take metro Victoria station fly to / out Gatwick . good location . very good value price room . 
 Sep 12 2006 	 lot positive negative ! 	 get back good old USA 7 - night stay hotel . room part package deal British Airways choose hotel rating Tripadvisor . many positive thing say . # 1 location . one block Earl 's Court Tube Station , feel safe walking station hotel , even dark . nice little restaurant across station breakfast morning , close atm grocery store . # 2 Cleanliness . # 3 staff polite friendly - room ready we 10:30 morning early land Gatwick . # 4 room quiet across street noisy train side six floor . # 5 Shower pressure temperature great - lot hot water ! ! # 6 bed comfortable - ask top sheet bed fit sheet duvet . negative - ask top sheet extra towel day . sometimes get , sometimes . also , front desk never answer call room . vend machine order time . room also small drawer put clothe . overall , price pay , happy . 
 Aug 16 2006 	 Air conditioning ! 	 wife stay couple night July come back spending day Paris . prior go Paris , stay Premier Travel Inn County Hall know go get frill extremely clean comfortable hotel room certainly disappoint . check ok staff make day able get non - smoking room , even though smoke room available book Expedia . once get room , first thing notice excellent air conditioning . something County Hall Paris feel like heaven . outside temperature time around 28 - 29c nice come back cool room walk around wonderful Earl 's Court area . lot different type restaurant ( indian , japanese , Thai , Filipino , chinese name ) pub around . internet cafe offer cheap unlimited access . many hotel area lot tourist walk street evening . Earl 's Court tube station minute away . very good value money . 
 Aug 14 2006 	 good 	 three three hotel stay London vacation , far good . price amazing consider pay incredible dump . close tube , restaurant , shop . clean , attractive , comfortable , quiet , air conditioning ! staff helpful . morning breakfast excellent -- everybody hard work . not take chance place . one will not disappoint . 
 Aug 9 2006 	 Brillant Hotel everything tube ride away ! 	 arrive back 5 night stay hotel . hotel clean maid service every day , always leave plenty tea , coffee milk . location brillant be near everything , come hotel turn right walk along earls court gardens road tube station . not want eat hotel , breakfast 7.50 quite lot 3 people 5 day , plenty place eat round tube station also baker somerfield . room back hotel noise train bad fifth floor . thing would say room drawer enough hanger one person room . overall think room excellent would highly recommend would say . 
 Jul 2 2006 	 great value hotel cheap good location 	 search quite number hotel choose one . we London 2 day eagle concert not want anythinng pricey . stay Premier travel inn know expect . location good , 5 minute walk Earls Court tube station . the room spacious , tidy air con major plus consider heat wave weekend go . stay London hotel not air con- god send room get quite coope up . the negative thing would say stay turn 1.30pm , half hour check not able get room . 5 minute later , another couple check we woman serve give room . 
 Jun 7 2006 	 GREAT hotel London need 	 kind hotel London need decade ! price , place amazing . clean ; friendly staff ; nice restaurant downstairs . amazing location - 1 block Earl 's Court tube station ; close post office , supermarket , bakery , deli 's , pub , restaurant , internet cafe . efficient check - in check - out . only small thing need improvement : room safe , refrigerator , drawer ! six hanger closet , mean could not unpack stuff live suitcase . choose stay , suggest send email beforehand request extra hanger room . apart , nothing praise place . 
 Mar 30 2006 	 great location 	 back family week - end break & amp ; pleased economy hotel .The room clean , warm & amp ; quiet ( make sure ask room overlook railway line ) .The location great visit museum & amp ; Earls Court . tube station 3 minute walk.we also please friendly & amp ; effecient staff . 
 Feb 19 2006 	 good location 
 Oct 31 2005 	 friendly staff ! 
 Aug 4 2005 	 value money 
 Jun 30 2005 	 top spot kensington value 
 Jan 30 2005 	 really great stay 
 Dec 13 2004 	 TRains train train ! 
 Nov 20 2004 	 great ! 
 Oct 5 2004 	 beautiful ! ! ! ! ! 
 Jul 4 2004 	 really nice atmosphere 
 Nov 30 2003 	 room Inn 
 Oct 8 2009 	 Location location location 
 Aug 22 2009 	 Eccezionale ..... veramente 
 Aug 20 2009 	 posizione ottima servizio cortese 
 May 26 2009 	 ottimo per le famiglie 
 May 8 2009 	 Meglio di Così ( questo prezzo ) non si può ! = ) 
 Jan 5 2009 	 Una buena elección en londre 
 Aug 2 2008 	 Ottimo soggiorno sotto tutti gli aspetti 
 May 20 2008 	 Hotel recomendable en londre 
 Apr 2 2008 	 Totalmente recomendable 
 Jan 6 2008 	 hotel très agréable 
 Nov 17 2007 	 Niente da eccepire ! 
 Aug 24 2007 	 excellent rapport qualité - prix 
 Apr 17 2007 	 Excellent point de chute ! 
 Mar 5 2007 	 Tutto perfetto 
