Exceptional 	 stay 12 year love hotel . great room amenity . excellent English breakfast many choice . location near tube , restaurant , theater many interesting sight see . friendly atmosphere . would recommend age . 
 Nice renovate hotel good location 	 work 5 min away use overnight stay London . recently renovate , nice hotel , pretty good service door reception . room king , internal facing , fine arrive 5 not really look , probably worth check view get . bathroom really really small spotless modern great . room decent size , desk , seat , LCD tv decent sized wardrobe . hotel overnight shoe shine service not use not aware lead sign aspire good hotel . overall would say good hotel frankly price good . hotel London generally hit miss sometimes , pay £ 200 would stay , central everything , modern clean . however cost £ 190 get Claridges £ 250 ... mmm formal / stuffy fo get overall well hotel Royal H. overnight stay stay . tourist stay long , fair bad choice , although good 15min walk Covent Garden 5 - 10 Trafalger square . 
 Apr 27 2007 	 another great stay Horseguards ! 	 second stay Royal Horseguards , first year ago . location property beat . property & quot ; cookie - cutter & quot ; room different . year , upgrade room additional charge find great value . lovely view Thames London Eye . the front desk staff incredibly friendly accommodate . weak area seem concierge not seem know much area , restaurant , etc . lovely stay - would highly recommend ! 
 Apr 22 2007 	 Perfect Location 	 room look ventilation system . pretty view . location make . 's close everything . 's safe area . room price $ 216 ( 's dollar ) night include breakfast . love breakfast ! wait staff nice bring whatever need . never felt rush crowd . spend 3 night love every one . 
 Apr 14 2007 	 wonderful perfect hotel ! ! 	 hotel could convenient , quiet , comfortable , beautiful , easy stay . right next tube stop , easy walk Trafalgar Square , Westminster , wonderful sight , kind staff , beautiful view river . 7th floor , river side , perfect ! can not wait return . 
 Apr 6 2007 	 average 	 second visit Royal Horseguards . got really good deal ' secret hotel ' lastminute . however , arrive give we room size broom cupboard , near lift . book deluxe room . question room lady reception tell deluxe room .. say could not tell room book would £ 30 per night big room . tell different member staff later day standard room . negotiation part attitude arrogant dismissive . pay upgrade , get nice clean , bright room much big , move bag , offer help form . do not eat hotel price outrageous . obviously expect pay London hotel £ 9 glass wine £ 21 breakfast ! hotel good location would hard beat attitude staff completely rule we future . never stay hotel doorman do not open door , indeed , look way approach . 4 member staff stand whilst disabled lady struggle four stair walk stick suitcase . do not stay hotel expect 4 * treatment , lucky get 2 * . 
 Mar 17 2007 	 Mamma mia weekend 	 arrive Hotel 2 pm reception helpful polite quick check . room 6th Floor pleasant room decor good conditon . Coffee Facilities , nice bath come shower ( small adequate ) . ideal position theatre , Oxford Street Regent street . good deal Tesco Clubcard deal four time value voucher . breakfast plentiful hot , good service restuarant lovely decor posh . reception walk , spectuclar , lovely open fire evening pianist playing bar . Stayed could see show evening around 5 pm , go see Mamma Mia would recommend show entertaining . theatre refurbish lovely sitting area . plenty choice Restaurants Piccadilly Leicester Square . lovely garden front Hotel face London Eye . 
 Mar 15 2007 	 excellent choice hotel 	 stay Horseguards 8 night March . deluxe room , street view . everything room nice . Kng size bed , two chair , table , adequate drawer closet space . large entry cupboard tea coffe make tray , minibar closet . bath nice , great shower stall power head also lage tub , separate . it nice stay . offer upgrade 30 pound , exhange rate US dollar , figure could go outside see river . location great ! book northwest World Vacations , get excellent rate . Breakfast include good breakfast.the problem stay fire alarm , one week manage go 3 time , always night ! get old fast ! ! 
 Mar 10 2007 	 Great Hotel Great Stay 	 not room much , really enjoy . bed comfortable loved & quot ; hotel pillow ! & quot ; Breakfast include stay lovely ; option could manage sample stay . service impeccable concierge helpful , especially sine first visit London . question reservation check , MLT Vacations book proper room . however , staff accommodate make correction simply , without involve we all . the location excellent ! 
 Mar 6 2007 	 great location amazing building 	 stay Royal Horseguards 2 night last weekend February 2007 . location great want stay city center theatre area , walk everywhere . embankment tube station 150 meter hotel convenient not want take taxi airport . room huge stylish classic way . good shower hot water . lot tv channel . twin bed bit odd : high , mattress thick bit & quot ; slippery & quot ; towards side ( middle bed ) . good thing hotel real scandinavian style quilt cover blanket + sheet combination dislike . funny thing quilt cover double quilt twin bed quilt 1 person half quilt cover empty inside , make quilt bit funny sleep ! linen also slightly odd smell - think hotel consider changinfg washing powder nicer smell one . breakfast definitely avergae , specially UK , many different bread , cereal , fruit salad , egg , bacon , bean etc . breakfast room comfortable service fast polite . garden look nice , even though winter season could use . public area hotel spectacular really give guest feeling stay luxorious hotel ! would highly recommend Royal Horseguards , afford rate . 
 Mar 1 2007 	 Royal Horseguards ok 	 enjoy 9 night stay hotel . want something central sight London not mind pay extra . fly direct London Sydney , 24 hour fly . book room night could check straight away get sleep . problem . however , check take awfully long time really want hit sack . make book Qantas , yet trouble find booking . matter . get room eventually find nicely furnish large side London hotel room , experience . locate inside building look onto internal airshaft , pleasant view . moreover , large ventilator shaft locate outside window . look like come restaurant . shudde start 6 am ( alarm clock ) turn midnight hum away rest day . live , . one thing could not live soft lumpy bed . thistle people , please place well bed room ! injure guest back ! one thing not like fact little daylight come room mean lamp and/or overhead light time room . mention partner gloom make feel little depressed . tell get . nevertheless , breakfast good service good , although non existent lobby lounge occasion . notice rack rate ( know hardly anyone pay ) 265 pound per night ! glad not pay anything like . equate 665 $ per night , eek ! expensive ! . pay something like 165 pound overall not bad deal . would stay ? probably . 
 Mar 1 2007 	 expect 	 read hype hotel , really expect something special . it stun outside , inside , thing start take downward turn . checking , upgrade offer another £ 30 , ( hotel upragrade free ) , book executive room tell room overlook river , . room paint peel skirting board , bathroom tile clean . we however think breakfast well ever , buffet style , good selection continental full english . this one hotel would recommend look 4 star , want feel value money . 
 Feb 27 2007 	 nothing million would not cure 	 hotel perfect location London , sightseeing- right Westminster , view Thames Eye etc & amp ; shopping- walk distance Covent Garden & amp ; Regent St . Lobby look fab fresh flower display & amp ; helpful staff . however , room need serious updating , wear old fashioned fixture , dreary bathroom . , however , high ceiling & amp ; reasonably big city , Thistle could stump million refurb , could really fantastic . breakfast standard chain hotel fare , get good deal room rate , include breakfast , fine . 
 Feb 26 2007 	 good riverside location 	 use hotel base visit opera Covent Garden ( 15 minute walk away ) .Our room ready 10 arrive able drop bag hit shop . we book & quot ; deluxe & quot ; room river view . room fairly small , everything need even though & quot ; deluxe & quot ; extras slipper dress gown . good view Thames London Eye , would suggest go high floor possible first floor room still tree level . breakfast ok standard buffet item ( apart black pudding ! ) . 
 Feb 25 2007 	 wonderful hotel ! always pleasure 	 stay Royal Horseguards Thistle number occasion , often business Whitehall . never disappoint standard service quality hotel . most recently stay hotel Christmas , business London decide combine shopping / theatre trip mother . , fault hotel . even though room one standard room , large extremely comfortable . food hotel absolutely delicious ( coffee shop downstair wonderful lunch ) doorman always ready hail taxi require . we get strand London poor weather staff could helpful . arrange we extend stay help we book train ticket get we back Scotland . service well beyond . I always recommend hotel friend family not bad feedback yet . gorgeous hotel . well worth little bit extra avoid stick standard London 4 - star flea - pit . 
 Feb 17 2007 	 negotiate horseguard 	 eighth trip London thirty year pricey due pound $ 1.96 . stay variety hotel , ( bath hall four star variety ) time book Northwest Air package still seem good value . pay something $ 200 room breakfast , part 8 day package . arrive hotel Wednesday morning noon , tell could upgrade executive room 30 pound per night ( $ 60 U.S. ) . counter 15 pound extra , say 25 , settle 20 pound extra . ( $ 40 ) . extra get quiet , pleasant , sunny room inexcessible , pretty , balcony front hotel , 7th floor . bathroom marble , newish shower , heat towel rack ( great dry clothe ! ) , robe , light make mirror . pretty room 10 x 14feet , 12 foot ceiling - room one chair , good storage , plus marble floor entrance area smallish closet , coffee area . service good ( housekeeping , honey 's c - pap machine provide transformer , long cord plug next bed ... , concierge good ) sort mixed . one robe room check another bring fairly quickly . desk phone old cord cut service twice , credit call . thot wierd four star hotel sheet duvet change Mon , We d , Friday .... ask Housekeeping specifically seem bit embarassed admission . ( & quot ; save environment & quot ; card make choice ) front desk seem defensive , field number complaint seem relieved say last day good stay . the breakfast decent .... lot fresh fruit , good coffee , present price , worthwhile include . wait service seem untrained ( likely speak English well ) , willing grant request . Time restaurant guide ( get Amazon ) , use wonderfully lunch / dinner restaurant , many close west end . location beat theatre , museum , tube . frankly , think bit tour hotel .... right room right price , work . note : cab Victoria cost one close $ 20 U.S . 
 Feb 13 2007 	 good location would not recommend 	 location hotel fantastic . room good view London Eye Thames . however 4 Star hotel surprised quality room . bed shocking , extremely uncomfortable even couple ( presumably broken ) spring poke throught mattress duvet cover look particularly clean . rest room tired look draughty clearly damp problem judge amount wallpaper hanging . bathroom grubby side , functional . read comment non - smoking room phone hotel direct morning arrival date request non - smoking room arrival guess ... smoking room ! smell strongly stuck . breakfast good , location , ' m sure well hotel vicinity - would not recommend ! 
 Feb 12 2007 	 great experience - would stay 	 book part vacation package American Airlines . arrive around 9am overnight flight Heathrow . room wait decide optional upgrade , wait hour . still check - in regular check - in time . the room decent size , especially London . queen bed still room small table two chair large arm chair . bathroom clean bit drafty . however , find get toasty warm left heated towel rack shower . good thing stay concierge service . one particular - ( think name Nabib ) - go well beyond job requirement serve we . make reservation us restaurant , restaurant screw try charge we $ 180 show . end call hotel Nabib straighten everything - include get we show free . another concierge argue taxi company schedule cab come take we Waterloo early train Paris . 4:45am go chase taxi Trafalgar Square . two example quality service receive . Breakfast ok . include would pay it . the workout room small cardio machine . room stock chill bottled water towel ( free charge ) tv . great alternative run along Thames unusually cold weather time year . if could afford ( stay special treat ) would always stay location . 
 Feb 11 2007 	 Great Location View 	 stay many time time family ( 2 room ) 50th birthday . lovely public room . one deluxe double ( ok ) one executive room ( good ) . request extra bed daughter ( £ 25.50 per night extra ) . exec room great- spacious , power shower well bath easy chair plenty room despite extra bed . breakfast good- take deal breakfast . weekend rate good- weekday bit pricey . deal London hotels- Waldorf Hilton Copthorne Tara . Waldorf special offer good location , room breakfast Royal Horseguards lovely right embankment good value weekend rate 
 Feb 8 2007 	 Excellent stay 	 stay hotel one night 6th February 2007 . third time stay . first time must admit really disappoint room small single room . second recent occasion allocate large , spacious room complaint . recent occasion first floor room river view look directly London Eye . could ask well view . room equip everything need . spotlessly clean good supply tea , coffee , biscuit , towel toiletry . comparison modern hotels wall paper thin , lovely old building mean never bother noise room guest corridor . staff helpful attentive . location hotel perfect . Houses Parliament 5 minute walk away Trafalgar Square , Piccadilly Circus Covent Garden around 10 minute walk away . take breakfast recent stay , would agree reviewer say breakfast worth get . lovely hotel thoroughly enjoy stay . cheap hotel around , certainly worth money . would hesitation recommend hotel traveller . 
 Feb 5 2007 	 Satisfied Royal Horseguards 	 husband spend 10 night Christmas season . quite pleased service thrilled location . walk almost everywhere need go time not walk , able catch underground right around corner . upgrade check , pay 40 pound / night . , view ! balcony outside room watch firework London Eye . not believe could well view London . perfect . drapery beautiful . room two double bed . recommend we push together achieve effect king size bed . course , work . otherwise , criticism would offer tiny toiletry limit towel . barely sufficient . would still highly rate establishment . little irritation difference american European / british hospitality industry . staff Royal Horseguards helpful informative . 
 Feb 5 2007 	 Beautiful Hotel Great Location 	 stay Royal Horseguards part special theatre break birthday not disappoint . hotel fantastic central location right heart London . building stunning , wonderful public area beautiful spacious room traditional ambience modern convenience . family two interconnect double room join lovely marble floor corridor nice private . room lovely big comfy bed everything could want hotel room spacious well equip bathroom . everything spotlessly clean housekeeping excellent . room look historic Whitehall Place , weeke , quiet mouse - disturbance . disturb noise either - unusual hotel often get door bang . feel private cosy . we find staff friendly , polite happy help . restaurant 1 - 21 - 2 serve lovely food silver service , quite pricey bar bill ( £ 9 glass wine ! ) , expect bad hotel quality . ( 2 course set meal £ 20 good value ) . staff attentive . cheap place eat drink within stone throw hotel centrally locate right west end , Covent Garden etc . breakfast hotel fantastic wonderful choice everything fresh plentiful service exceptional . probably one good ( good ) hotel breakfast ever . would definately recommend hotel weekend break London special occasion . 
 Feb 1 2007 	 uncomfortable bed : ( 	 wife stay Horseguards April 06.i rate experience hotel average , main reason tiny double bed room dreadfully uncomfortable . 4 foot , bad mattress ever ! ! .. , top room small .. maybe unlucky room choice , ...... anyways , apart , location really excellent , London Eye directly across Thames , lovely wake morning . hotel close Underground , authentic London look hotel . strong recommendation ensure bed room scratch , otherwise uncomfortable nite sleep ! ... 
 Jan 26 2007 	 Great Location otherwise hype 	 stay Dec. 24 Dec. 25 ( Christmas ) 2006 . great location facility come close hotel web site picture . drive hotel great idea facility park car checkin ! ( guess everyone come via cab ) .reade review scare we enough automatically upgrade 40 pound check ( high price upgrade since holiday guess ) . result room small , extremely dry , fan noise loud keep wake think morning traffic start outside . tub narrow stand sideway take shower . shudder think would get without upgrade . breakfast 36 dollar per person . good , great . an afternoon Christmas day brunch 200 dollar per person ( ) . see 1 - 2 restaurant open Christmas day ( crowded ) . tube virtually bus operate Christmas , operate Dec. 24 almost full schedule , abbreviate schedule start 8:20 Dec. 26 . take tube nearby embankment stop Heathrow Dec. 26 morning . $ 8 per person take 1 hour . cab / personal hire car would take 1 hour cost $ 190 ( double price since box day ) . 
 Jan 16 2007 	 Decline Thistles 	 last stay hotel seven eight year ago . comfortable solid establishment - solid can not get mobile phone signal inside room ! room clean spacious whole place beginning feel little shabby under - manage . partner ask second bathrobe end second bathmat , example , result communication problem front desk housekeeping . admittedly , rare find native english speaker anywhere staff London hotel day something happen well - run establishment . point , find number Thistle hotel recently identify sense physical running . chain decide concentrate short - term profit cut refurbishment maintenance cost rather sustain brand equity , , course , far valuable . , example , room carpet clean odd stain , drape look tired , bath handbasin outlet not work properly shower control need adjustment . none rocket science demand management prepare identify problem something . get increasingly suspicious Thistles - not ever read people write ? 
 Jan 14 2007 	 Excellent hotel 	 book stay hotel Via Londontown.com would definetly recommend manage get good price . book two room email hotel ask whether would possible view River Thames allocate two room amazing view river . one room slightly small even though price pay room immaculate extremely comfortable . breakfast provide also good . staff friendly would definetly recommend hotel anyone shall return . 
 Dec 21 2006 	 season traveler ... great location hotel ok . 	 ' ve stay amazing hotel hole wall ... one ok . great , terrible . read review not sure cancel reservation . review right money .. look good location London , . staff friendly . linen nice . heat towel bar bathroom nice plus water pressure shower excellent . room warm & amp ; quiet , although paint peel one wall . Beds REALLY UNcomfortable . feel like sleep box spring . disgusting greasy stain headboard serious turnoff . Uck .. still turn stomach . ' ve include picture look really nice entire headboard stain guest head lean fabric . pillow conceal well . look past price room , quite happy Horseguards . admit entire time thinking could stay Four season US price much comfortable . good luck ! 
 Dec 14 2006 	 lovely hotel perfect location 	 dream come true stay Royal Horseguards Hotel , yes dream 30 year ! finally go spend weekend . din´t get dissappointe way . get really warm welcome reception arrive hotel . book Deluxe room river view really recomend . beautiful room great view ower Thames , London eye city London . even marble bathroom wonderful view whole glass balcony door . room lovely furniture colour warm nice ( red , gold yellow ) . room fresch clean bed nice . great room rather big . having read complain breakfast prepere worth wonder stay hotel thoose complain ? yes , wait short table sunday morning 5 minute , time sit comfortable chair read newspaper . dont´t think 5 minute long wait , hotel fully book . breakfast room calm nicly furniture . buffé want staff friendly helpfull . the location hotel well i´ve ever London . close almost everything booth side river Thames . Royal Horseguards Hotel hotel really reccomend ! 
 Dec 12 2006 	 Location Location Location ! 	 ' m rate hotel average price ... location ! couple block Trafalgar Square , maybe 4 big Ben Parliament , 1/2 block Embankment Station , perfect . check early able leave bag concierge convenient . book online print everything reference . checking could upgrade get robe already promise online 30 pound night , view Thames 40 pound night . make comment expected view stay 4 night instead short weekend get blank look let go . got 9th floor room rooftop view quite lovely though . really complaint room except mold grout shower . certainly expect price . also , bathroom configure toilet tuck corner careful touch hot towel rack . bed great . not breakfast offer premium buy pastry night follow morning one shop area quite happy tea make room . housekeep discreet except bell first morning see use anything minibar . , location great walk tourist place like walk convenient tube . stay . 
 Dec 7 2006 	 Great Location problem 	 hotel great location friendly staff ask non - smoking room move do not recieve one . fair hotel check 11.30 give we room right away move we later small room hotel , bathroom tiny could stand upright shower . Breakfast Sunday morning shamble , never wait 30mins seat hotel especially buffet breakfast . overall hotel inexpensive London location weight problem experience . would visit . 
 Dec 6 2006 	 love hotel ! 	 read review , tiny bit apprehensive stay - always prefer make mind ' m really glad give try . this probably good hotel stay London term room get . I not ask upgrade , get offer one , find fabulous , massive room , view River Thames , London Eye , right outside window , 8th floor . room huge sofa chair well huge bed , bathroom wqas immaculate too . the good bit window though - bay style view full length Embankment , way big ben , front window deep enough could sit watch everything go by . the staff not overly friendly even overly competent , par course London Hotels , room go every time . highly recommend , especially weekend less busy ! 
 Nov 28 2006 	 not order water bed ! 	 book two night 4/5 - star Royal Horseguards Hotel London week ago , weekend . we phone ahead let know would able check till 9 pm . Lisa Thistle Hotel Group say problem , turn room would wait . so turn dead 9 pm tell hotel full . acknowledged phone ahead . reception go clearly conspiratorial huddle come room - 812 . tell near elevator ( fact certainly prove ) . & quot ; good room , sir . & quot ; .must say wary , clearly sort secret agenda decide look . mean good room stay hotel - particularly absolutely view brick wall - seem reasonably large well appoint , little tired . everything seem place . good first night sleep though clear smell stale damp . bed linen wall . take old damp patch bed ceiling . breakfast nightmare . wer busy queue count , twenty thirty soul . offer alternative breakfast distance away reception room everything either bring we collect we . the second night waken 4 am gush water directly bed . move inland water seem follow we rain outside stop gush become slow drip feed - sound chinese water torture . what ? tired , try sleep - luck . partner book absolutely sodden , read really option . go early breakfast complain Guest Relations Manager call Sarah Wheeler . appear shocked despite fact clearly give room mean offer guest ( guess , unless weather dry last resort ) . extremely pleasant despite feel annoyed treatment . you may ask recompense offer bad experience - perhaps free stay hotel another occasion maybe least money back ? nope , get exactly £ 12.99 recompense sodden book ( penny , ie 99p coin - even extra penny take clean £ 13 ) ultimately offer upgrade junior suite ever return hotel - within next 6 month . how crass pathetic people ? think polite not shout odd sort idiot happy offer patronise sorry gratitude & quot ; bring matter attention & quot ; .Are other share intense annoyance way large hotel chain treat customer disdain arrogance ? tell offer upgrade . know well , stay many time hotel - think factor derisory offer recompense ? await outcome refusal accept offer . get satisfaction , shall clearly take matter . disillusion remain pessimistic show nous late stage make we decent offer , regain respect hotel one favourite .. 
 Nov 17 2006 	 overrate ! 	 well honest . stay one night deluxe room view towards boarded building await refurbishment . problem , stay one night despite , access road restrict State Opening Parliament , room still noisy night . lock balcony door draughty obviously allow noise ( cold winter , imagine ) .adde , room small bed quite hard spring noticeable . décor ' functional ' ok , dirty mark wall peel paint dirt around bath panel . £ 200 per night expect well . one big let rather unhelpful staff . good foot stay one night use normal room . . . fortunate ' think ' disabled ' room . certainly ' appear accessible lift room 5 step foyer . even , walk walk , motto . say though , even think sight wife struggle luggage walker step may prompt offer help staff ala , . no - one even come close . disappointing . New York would bell - hop swarm we ! ' continental ' breakfast two offer room rate £ 42 . make complimentary coffee biscuit ! parking nightmare may expect . congestion charge pain backside , London . one wonder country get ever London - centric year go . . .Oh yes , way bit balance , build impressive , pianist good location central everything ! ! ! ! 
 Nov 14 2006 	 Location good 	 Location great , near tube , London Eye . room small , one we sit could get around , charge internet $ 30 day . even work . disappoint . pay $ 354 night high receive . know London expensive get well hotel . staff friendly ! would stay . 
 Nov 14 2006 	 Slept well sleep bad 	 email hotel , ask confirm whether room book would non - smoking , receive reply confirm be . on arrival hotel , offer smoking room ( stank ) non - smoking room full . explain twice email Thistle , confirm book non - smoking room , tell staff reception " never guarantee " non - smoking room . stupidly , ' get copy email . say would check immediately . magic , suddenly non - smoking room find . room large okay , bathroom nice enough . pillow rather nice . double bed one two - single - bed - push together thing , long enough foot poke end , usually find hotel . in morning , maid try kick door twice breakfast – wait ' check ? apart , stay okay – next time ' slum three star half price . disappointing . 
 oct 9 2006 	 fantastic location 	 book & quot ; girly & quot ; weekend treat be not dissapointe . room fabulous standard ... decadant . standard throughout average checking leave luggage , everyone pleasant happy help . the bathroom clean fab toiletry , flannel super soft towel ... bed nice soft duvet instead sheet throw . room air conditioning unit well . minute away tube london eye 15 minute walk covent garden . would reccomend hotel doubt 
 Oct 8 2006 	 lovely hotel superb location 	 stay night Royal Horseguards weekend would thoroughly recommend hotel . the location fantastic - 5 minute walk Charing Cross Station , quiet street Mall . go West end theatre , hotel easy getting . perfect location . the staff friendly , helpful . check quick easy , advance request room early occupancy arrange . ask non - smoking room get non - smoking room . the deluxe room huge , sizeable bathroom nice shower bath , good range toiletry . bedroom bathroom well decorate clean , bed lovely - nice fluffy pillow ! also good range refreshment room . everything work perfectly . rest hotel also good condition , tastefully decorate . we wait 10 minute get restaurant breakfast , be 10 minute ? problem . full english tasty plenty eat , staff attentive . on check look luggage whilst wander around London hour , not charge ! ' ve never anywhere else ' ve pay . course give tip . I would thoroughly recommend hotel anybody , definitely go . 
 Sep 28 2006 	 Location Greatest 	 large refurbish , picturesque hotel opposite popular embankment tube Charing Cross railway station . be short walk St. James Park , Big Ben , Parliament Trafalgar Sq . even walk Picadilly Sq . theatre . fact , be one live theatre feature motown & quot ; review & quot ; show 's next embankment station . the hotel adjacent Thames ( busy roadway ) across street Ministry Defense ( Churchill work ) another 8 story old hotel wait refurbish . weekend , be quiet neighborhood surround government building close , yet 's easy safe get around . love location return future London visit . stay two occasion Sep ' 06 find & quot ; good rate & quot ; room via web small - clean adequate modern bath facility . cheap room either face street interior air / light & quot ; column & quot ; . people hate , room rate cheap room quiet ! want view Thames window , will pay think 's worth . never room . 
 Sep 24 2006 	 Excellent Hotel Nice People 	 want say husband stay 2 month ago thoroughly enjoy stay . prefer stay nice hotel , definately one great price . conceirge accomodate nice . room good size , big expect . bed American Queen , guess ok , hubby use King . not get till stay 5 star Paris . , room clean , 2 step & quot ; tube ( subway ) & quot ; , location water , great view , definately enjoy stay ! would definately stay . 
 Sep 17 2006 	 heart . 	 great hotel location , eye eye Eye . walk everything . old room , crazy London room rate . 
 Sep 10 2006 	 satisfied customer 	 consider previous review well price tripadvisor , decide hotel . note , offer upgrade check . upgrade room 8th floor overlook Thames . unseasonably warm nice open window . room fair size one chair sit desk chair . bathroom large comfortable . complaint tour booked cancel , agency call hotel check leave message , operator note record reservation , lead we unnecessary trip tour location . realize certain degree room give toss , however , location outstanding regard transportation easy walk distance west -end . London , would consider book hotel - DB Chicago IL 
 Aug 24 2006 	 Good London Hotel 	 ' sure whether previous reviewer unlucky stay different hotel return hotel find fault whatsoever . it must remember London hotel therefore follow expensive . point note old historical building therefore hotel make fit building . room different may potluck room receive . two room spacious , well maintain well appoint . the staff pleasant helpful . notice people obnoxious loud reception deal professional courteous way . believe treat people respect tend look treat way . give free upgrade room explain one party birthday . little touch like make hotel stay special . I sure previous comment regard breakfast fresh food constantly replenish . arrive 20mins end breakfast food still bring well state finish time . ask anything different breakfast buffet happy provide it . location wise hotel excellent , centre London yet away crowd . 5 min Trafalgar square foot directly opposite London Eye . harrod take 10 min taxi nearest underground station 2 min walk . perfect short break see sight . 
 Aug 20 2006 	 great location good hotel 	 stay becuase agent book we . read bad reveiw second thouht stay . glad . back second time get away . hotel centrally locate . tube , rail bus line short walk . Waterloo station . 
 Aug 15 2006 	 avoid hotel ! 	 50th birthday vacation / present choose hotel suppose one Thistle ' nice centrally locate . although price get online look appeal bit misleading since dollar worth 50 cent England , price 180 per night plus vat equal $ 400 , would think would get run tiny room like one get . first check ask quiet room assure , lead room bowel hotel , actually would extremely quiet except growl massive air conditioning unit right outside window service entire hotel . call tell room change we wait hour could switch room . walk around London finally move another room . one face noisy street , small worn . fact , padded armchair cram room wood come arm material tear cotton sticking . however point , since wait hour switch room dead tired fly 14 hour walk around 3 hour take . mattress Motel 6 pillow small hard . give we 2 towel one hand towel wash cloth bathroom . end take 2 restroom lobby hotel ( basket overflow clean washcloth ) put room . remote control not work irritate expect tip someone bring something room something never order . since schedule stay 2 night , catch cruise ship Southampton , decide grin bare . breakfast include room rate 10 ' get 9:15 wait table stop refresh food station whatever leave get . order toast sat get ( cold ) finish . about 4 pm , second day , get shower hotel channel happen glance read follow morning , road hotel go close ( due marathon something ) late afternoon . know Victoria Station noon get Southampton risk miss ship . immediately call front desk confirm , & quot ; yes road block unable get taxi late day & quot ; . ask suppose get Victoria station say could walk take tube . say luggage week long cruise would virtually impossible haul stuff load onto public transportation , answer . ask Thistle hotel close Victoria Station say yes say want transfer not trap tomorrow say would call get we room . husband say give we 15 minute get ready could get dress could throw belonging back suitcase make move . 2 minute later knock door take we . answer say ask give 15 minute leave rolling cart leave . put stuff cart manage get elevator ( tiny ) go downstairs . doorman call taxi load stuff go process check . point harry shower time dry hair put makeup want get new room pull together . pay bill desk clerk say , normally 5 charge whole day nice would charge we half day . course agree would pay one night stay since way going block fault pay extra day . flabbergast charge us room ! would way station next day want charge we room ! ask speak manager man name Michael come ask problem . notice name badge say head concierge ask speak manager , claim charge entire hotel speak . tell problem say would able get taxi tomorrow . tell 's tv employee say say would able arrange transportation . say really hotels responsibility inform we road would closed courtesy . point , reservation Thistle Victoria Station , luggage taxi meter run , say believe would able get us taxi go pay room . say going charge we $ 100 . choice pay . get taxi go next hotel want rely one man word possibly miss cruise ship . tell desk clerk Thistle Victoria Station apologetic kind , consulting manager , give we well rate hotel try make we feel well . talk difference customer service ! walk Thistle Victoria Station mad hornet time leave front desk want hug desk clerk . say least hotel could do pay taxi cab . difference . want stay Thistle , Victoria station one much well . room , breakfast , friendliness hotel , everything well . ( even get couple wash cloth bathroom ) 
 Aug 8 2006 	 Room view . 	 book room husband birthday Lastminute . £ 99 one night B & amp ; b think steal . room book Deluxe , e - mail hotel , say husband birthday , move London , would appreciate room view . take 2 e - mail get reply , say would see could do . we arrive around 2 pm . reception area huge , wonderful flower display , sofas tourist information leaflet concierge . receptionist however , record e - mail reservation , want charge £ 25 upgrade . previous poster state , duly advertised check - in . believe book website section & quot ; room thame view & quot ; expensive normal room . say , stand ground show reception copy e - mail . receptionist able find room 8th floor face thame ( room 813 ) , smoking room . the lift couple step reception , no - one offered help luggage . room executive view Thames ( see picture ) , whilst room fairly small , adequate need . make room nice raise area seat overlook window could see london full glory . room not smell smoke , lucky . room sign wear seating - obviously good place sit ! rest room ok . bed disappointing could feel spring bed protection bed somewhat spring like ! plenty tea coffee , two hairdryer ( one room one bathroom ) . bathroom ok , sign wear tear fitting , full size bath nice toiletry . the downside even though upgrade , & quot ; fluffy towel robe , slipper free newspaper & quot ; hotel say provide . rang housekeeping sort , within 1/2 hour . I guess view become obscure floor 8 - reckon anything 5th floor obscure view tree front room . I not eat evening comment food , pianist playing outside restaurant , sound lovely . the air conditioning brilliant room - could set aircon high low want . noise outside could night , expect front hotel overlook busy London Road ( room without view probably less traffic noise ) .breakfast wonderful , waiter friendly ensure poach egg request without fuss . breakfast buffet style , except tea , coffee toast bring table . plenty choice food , quality excellent . also complementary newspaper table outside restaurant . we get call someone 10 am ask check . tell check time say ok . not know ! ok stay . think traveller ensure know side hotel book , decide whether worth premium & quot ; upgrade & quot ; . would guarantee room spectacular view , otherwise pay premium look tree . 
 Aug 2 2006 	 cool calm oasis record - break heat 	 can not figure hotel 2 recent writer refer . Royal Horseguards stay July 23 - 30 beautiful marble lobby mammoth vase fresh flower ( attend daily ) . room large , certainly always clean . see nothing look & quot ; shabby , & quot ; perhaps old - world charm would & quot ; shabby & quot ; someone else . room looked recently refurbish great view rooftop London ( Thames , pay 129 pound sterling per night ) . staff courteous professional . wait staff breakfast especially pleasant joy sit outside shaded courtyard every morning least 20 different food choose daily . see one room floor 2 large window face onto brick wall , someone give room , he / she might well reason complaint . my experience fine . 2 negative : walk anywhere go thru crowded area in / around Trafalgar Square , function fact high season . fault hotel fire alarm rang 2 a.m. , necessitate temporary evacuation stand around 30 - 60 minute . 
