cleancomfyperfect 	 second stay travel inn 42nd street . even knee damage find location theatre shop ( time square ) within comfortable walk distance . I book single get double double , near lift request . forgot hair dryer uk USA adapter provide ( hair dryer room , plug request ) handy later check 12 pm , still get run last min errand last day . easy walk subway port authority . also across street drug store food nearby . fridge microwave room nice touch warm . can not fault place price location . small cozy , well look helpful staff . will return def . reccomend NYC traveller want comfort budget location ' the thick ' ! 
 Aug 14 2006 	 great free parking Manhattan 	 even though warn budget hotel - free parking lure us book . we please , location great 4 block centre Times Square , even extreme temperature still walkable . safe area NYPD station across road , even view Empire State building window . check efficient garage next reception however large car bay small usual . staff efficient certainly friendly . pool add bonus price hotel , however water colder expect . room decoration reasonable , clean , comment mention small bathroom even 2 adult 2 child manage adequately . soap etc . replenish daily . use deli next door breakfast - great value . 
 Aug 10 2006 	 fine 	 friend ( two 30 - something woman ) stay 3 night shopping trip . previous review pretty comprehensive find postive review borne experience , fine . especially impressed size room ( normal hotel room size ! New York ! ) ' ve previously stay Chelsea adorable Chelsea Lodge , room one bed , need two bed . little worried hotel Hell 's Kitchen absolutely nothing wrong neighbourhood . street busy feel safe walk back hotel even midnight . eatingthe local Starbucks right around corner 9th Ave ( head north ) main floor large apartment building corner . Pax Whole Foods ( 42nd Street , way Times Square ) great place quick , healthy lunch . Lovely Bryant Park ( behind NYC library ) past Times Square 42nd Street . dozen free cafe table , fantastic people watch public washroom look like belong Waldorf . 's perfect spot morning coffee breakfast plan day . 's little takeaway south side 42nd street ( Cafe something ) similar Pax - sort sandwich , yogurt , sweet , fruit , drink choose ; ubiquitous Starbucks across street . we manage get day reservation Nobu Tribeca eat unfashionably early hour ( NYC standard ) 5:45 - 7:45p.m . consider Nobu usually fully book month advance , pretty happy . also love Pastis , french - style cafe 9th Ave Little West 12th Street . go 11:00a.m get seat without wait . TRANSPORTATIONIf not lot luggage , walk 2 block Port Authority Bus Terminal catch shuttle JFK LaGuardia & amp ; save $ 7.00 per person hotel shuttle book hotel gift shop . SHOPPINGWe find 5th Ave north 42nd Street much well shop Soho ; least , well luck there . I notice price vary wildly souvenir shop around town , look around buy . see T - shirt advertise everything & quot ; 3 $ 10 & quot ; & quot ; 14 $ 10 . & quot ; personally , think good souvenir frame photo street vendor sell $ 12- $ 20 ( major sight available ) . buy one commemorate trip nyc.museumswarning : two guidebook ( 2001 2005 ) MOMA Neue Gallery ( cool Klimt exhibition ) close Mondays ... fact , be close Tuesdays . serve we right purchase new guidebook , guess . HOTEL DOWNSIDESI would stay Travel Inn without hesitate . 's great value price . downside think : - 42nd street fairly boring ( parking garage , police station , post office , supermarket , bank , bus terminal ) two block toward Times Square ; be NYC street lot cafe boutique doorstep . 9th Ave . head north offer restaurant choice , pretty standard fare.- hotel budget offer Empire hotel chain , mean get decent quality zero character . could hotel room , anywhere world.- be town shop , hotel Midtown East area would put close action ; theatre goer , Travel Inn perfectly locate . hope other find useful . 
 Aug 8 2006 	 worth price 	 spend 2 night choose primarily available parking drive Illinois pool ( 2 kid ) . agree previous post reception staff terribly friendly , however hotel meet need , clean , quiet great location . also walk hotel never feel uncomfortable . complaint pool hour . day 95 96 degree . pool close first day 8:00 ( reason give & quot ; hot & quot ; ? ? ) second day close 7:00 . , well worth price . 
 Aug 2 2006 	 NYC hotel overprice ! 	 read previous review Tripadvisor , book hotel . hotel would definetely win friendliest hotel award 2006 , reception staff ' forthcoming ' . however room clean accomodate , bathroom tiny ! request quiet room , locate 6th floor overlook pool , hear noise main street . experience one unfortunate event , return hotel one evening , find bedroom door slightly open . fear bad , open door expect belonging etc go , however everything place ( fortunately , otherwise receipt lawsuit ! ! ! ) . inform reception , overly complacement blame clean shut door properly ! ! ? ? incident happen , would give hotel average rating . couple block away Time Square , however two child age 11 14 walk back hotel every night ( 10 - 15 min walk ) without fear ( maybe live London long ! ! ! ) . find people New York either friendly rude - midway . also agree previous comment , NYC definetely Disneyland ie child - friendly ! 
 Aug 1 2006 	 everything great price ! 	 book hotel read online review still little nervous cheap hotel ( relative NYC hotel ) , seriously impressed ! arrive early , parking attendant tell we go register could park lot right away . park van free lot leave whole stay . walk almost eveywhere subway station block away . hotel awesome location ! terribly busy & quot ; touristy & quot ; area , close everything great walk neighborhood . kid ( age 6 & amp ; 8 ) LOVED outdoor pool ! ! 80 + everyday plan day include stop back hotel enjoy dip pool afternoon head back see . definitely bonus ! ! staff helpful ! first trip big city nervous ignorant , helpful informative ! ! even street side room never bother noise traffic . would definitely stay ! 
 Jul 31 2006 	 well worth stay ! 	 take family include 2 young girl New York City past weekend stay Travel Inn . impressed reviews site therefore , decide give try ! go back NYC , stay ! hotel easy get , right Lincoln Tunnel . free SELF PARKING PLUS . arrive around 11:00 tell . check reservation tell we welcome park car go sight - see . tell we could check - in 2:00 , reservation guarantee want return later ( ) . parking attendant friendly helpful . either leave luggage car ( feel safe ) check security room parking garage . front desk friendly helpful tell we near Subway stop . even give we free Subway map . walk back hotel around 10:00pm feel safe . walk Times Square 4 ( long ) block . easy walk alot look , child not even mind ! room CLEAN QUIET . even face train track noise muffle . need extra towel bring we immediately ! bed nice air - conditioner work great . city view plus . pool look nice , not time use ! deli ( Broadway Deli ) next door WONDERFUL breakfast . get 2 egg , bacon , fried potato toast less $ 4.00 . portion fill ! highly recommend ! , can not wait go back ! hope experience good ! 
 Jul 28 2006 	 Convenience Affordability Midtown NYC 	 stay end July 2006 nice comfortable stay . travel NYC little concerned safety , well be inside Travel Inn . not know negative reviewer talk . , say even ritzy place give bad service . area .... 's edge Hell 's Kitchen & quot ; come & quot ; many neighborhood NYC . 's urban place many different character face . not consider place NYC & quot ; kid friendly , & quot ; be definitely Disneyland people . room : upgrade without ask greet every time come hotel lobby long day tour city . everything room work great . would strongly recommend traveller frill not expect Ritz budget price . get real ! Hope review help .... 
 Jul 14 2006 	 clean friendly staff 	 family five include three child ( 10 , 7 5 ) stay July 10 - 12 . arrive hour check - in room ready . request room near pool give room 3rd floor -right outside pool . room location perfect we , near elevator pool . room clean . room decent size , bathroom tiny . pedestal sink , room toiletry get ready morning . location great arrival departure , near tunnel easy navigate . long walk Times Square hope , awful . actually find area appear quite safe . whole opposite side street practically police station . deli bagel shop adjoining hotel great breakfast . ask additional towel , bring 4 set within minute . free parking definitely make hotel affordable midtown option . enjoy stay . 
 Jul 14 2006 	 return sure ... 	 stay Travel Inn last week . request nonsmoke double overlook pool room month ago . upon check ( 3 pm ) , give room 3rd floor overlook 42nd street . room dirty man repaint door casing upon arrival . tell could leave luggage would clean shortly . ( door open floor due painting ) . go back front desk inquire room back overlook pool , tell none available . traffic noise loud apparant hour night ( include multiple siren police station across street ) . especially large bus 42nd street hour - many go convention center locate water . the room bed hard rock thread bare sheet / towel . room clean shortly arrive standard . still several hair see towel , floor , tub , etc . tub sink drain properly . hot / cold shower / tub - either hot cold - warm ! learn quickly shower room available city due convention . otherwise would move ! room smell Raid insect spray , hallway never airconditione , elevator light light often wait . pool nice size not count lifeguard sleep duty ! hotel full european traveller ( negative , fact ) . hotel tourist area . 3 block Times Square - 3 long block equivalent 9 short block . agree safe area dark . food Emporium grocery store 1/2 block good quick snack / necessity . try Theatre Row Diner block dinner . reasonably price ny standard food adequate well . we request late checkout deny . lady gift shop ( size small closet ) nice . Taxi 's difficult obtain front hotel city bus ( M42 ) stop right front . this & quot ; nice & quot ; hotel mean , would well sleep airport ! pay $ 50.00 hotel first 4 night Hilton New York . course many moon nice / cleaner / noise free / comfortable / well locate Travel Inn . would dream stay hotel ever ... reason . 
 Jul 11 2006 	 Travel Inn may clean o.k ...... 	 37 year old woman , stay Travel Inn 6/28 7/1/06 9 year old daughter 14 year old daughter . hotel clean , far care compliment hotel . upon check , arrive 1 pm ( check 3 pm ) , tell room ready , fine , arrive airport , luggage . instead offer small security room locate front parking garage ( realize check ) , tell put luggage room . good idea , since get room , still mess last occupant , door wide open . also find location safe night , especially lone woman 2 child , come back theater dinner midnight , pass child friendly street . hall always seem deserted , wait elevator . would recommend hotel travel child , especially small child , walk Time Square tire easily , feel uneasiness , situate away hustle bustle , kind desolate area . maybe good value couple , room cheap , clean , drive , parking free . 
 Jul 8 2006 	 Great Time Travel Inn 	 son , girlfriend spend 6 night Travel Inn June great time . second time ' ve stay even well first stay . room right 42nd st . across police station . concerned noise , not issue . air conditioning work really well quite . stay back hotel last year think unit nice one last year ( happy one ) . hotel block Time Square catch subway go anywhere . recommend hotel 's reasonably price ( New York ) , room fairly nice , be clean 's close everything want see New York . way , never New York trying decide wheather go - just go . New York intimidate , everyone I ve ever talk go New York love could not get enough . 
 Jul 3 2006 	 New York June 	 stay hotel 14yro daughter 10yro son recommend we trqvel agent . hotel basic keep clean tidy - New York look place sleep ! . location great 10mins walk Times Square . hotel staff helpful friendly , sorted transport back airport without prblem . read reviews hotel mention noise front building , not find problem . area feel safe extremely convenient . would definatey stay . would definately recommend Trollies Diner couple block away direction TImes Square food great steff helpful . 
 Jun 28 2006 	 good place stay 	 book Travel Inn base price review , worry two teen husband would approve . spend 5 day , four we double room fine . room clean comfortable , bathroom little small , could use a / c night , overall price great . staff friendly , location good , easy walk Times Square Theaters , lot restuarant nearby . neighborhood & quot ; okay & quot ; . never feel safety issue . great experience recommend hotel , be nothing fancy , great find budget minded traveler . 
 Jun 28 2006 	 GREAT AFFORDABLE hotel well . 	 duration Travel Inn June 18th June 27th . gift shop hotel , open 7 am 4 pm everyday . next free parking garage , deli locate next hotel . food not good , fill . room clean first enter room , even though get hotel early 2 pm check - in . bathroom clean , view 42nd Street NYPD station across street . noise night , ambulance police siren , not bother we . disappointed find pool operate 11 am 7 pm . assume go close 10 pm . 5 10 minute walk heart Times Square . hotel staff quickly check . convenient . would stay hotel , hotel heart Times Square , would cost lot pay . 
 Jun 22 2006 	 definitely stay - bring pillow ! 	 excellent place stay . easy get , right Lincoln Tunnel . close everything New York . clean . service fast . check breeze , nearly check complete husband could finish give name ! remember ask quiet room . get room overlook pool . absolutely problem street noise . pool look clean would wonderful hot day . 70 degree windy , not use pool . room clean , bathroom clean , hallway clean . free parking well . self parking - like . Lincoln Towncar , NYC place park car - find scratch not . place not care much parking . husband park car worry . staff right inside garage . worried leave car . definitely stay - can not beat price cleanliness ! ok - bring pillow - four people staying room . four pillow . we like sleep one pillow . husband neck problem 3 pillow . call desk extra pillow tell enough pillow . extra , one per person . well , come two extra pillow we . good - bring pillow ! ! ! travelmate laugh leave home - not laugh hotel . remember visit New York City - stay Travel Inn Manhattan ! ! ! ! 
 Jun 13 2006 	 wonderfull stay great place friendly peolpe { fantastic } 	 Hi Mcarthur family salford manchester recently stay hotel may june 2006.the room fantastic pool great ask view city wat view got.the people friendly unberlieable.the parkin free lift work room nice big clean could ask .You ten miniute walk everthing want . it pleasure stay family would like thank people involve run hotel & gt ; would anytime .MANY thank . 
 Jun 12 2006 	 Great Place 	 stay Travel Inn 3 night June 6 - 9 . nothing wrong place . room clean . do not see one bug . bathroom little small side care , look newly remodel . yeah , bed firm occasional back problem daughter well bed bother we . although rainy day pool fill look great . wish do not rain much could use . nothing wrong a / c room . work fine . actually pretty cool keep run . room face pool . nice quiet night . vend machine ice 3rd floor room . deli outside reasonable great morning coffee . open til 8 pm . deli street good food also reasonable price . Times Sq . subway 3 block . also feel safe area . go hotel ! can not beat price nice clean accomodation NYC . return ! ! ! ! 
 Jun 9 2006 	 great place stay 	 husband return 2 night stay Travel Inn please room . everything clean pool fill pleasant way end day shopping . free PARKING great bonus ! ! Deli next door great serve nice breakfast lunch . the desk staff unpleasant offer help question regard area . 
 May 31 2006 	 Great Value Location 	 wife stay Travel Inn May 8 - 11 . locate rather quiet neighborhood ( New York ! ) , 15 minute walk Times Square . wife feel safe neighborhood , though many transient area ( bus depot nearby , well & quot ; home & quot ; transient ) . room sparse , pleasantly decorate . bed rather hard , walk day , sleep problem . find hotel staff pleasant helpful . the hotel rate bargain location ; since drive Boston , free parking huge advantage . I would definitely stay , recommend hotel budget conscious traveller want close action . 
 may 31 2006 	 great place stay NYC visit 	 stay Travel Inn , NYC two night Memorial Day weekend . lucky get room top floor , face 42nd street , fabulous view Empire State Building . we arrive NYC 8:30am drop bag security room go day . come back check - in 2:30pm problem . room fine - glamourous , definitely value money . disappointment coffee - make facility room . we surprise street noise not affect we much guess top floor . air conditioning effective , little noisy . diner next door great breakfast morning feel perfectly safe return room night 10:30pm midnight . we catch ferry across Weehawken pick free shuttle bus bus stop across hotel arrive , simply walk back ferry terminal check - out . convenient ! great place stay - close everything ! would definitely stay next time visit NYC . 
 May 24 2006 	 clean convenient safe 	 stay Travel Inn 8th 15th May 2006 follow recommendation website . true - convenient within walk distance main attraction even aircraft carrier ( USS Intrepid ) Museum end street - many hotel boast ! friend advise unsafe area , feel completely safe , especially police station right opposite ! problem wash basin plug lift get stick one occasion , staff instantly fix issue . room extremely clean smartly decorate . room back hotel , pluse minus . overlook run - down area railway , train frequent quieter front . disappointed pool fill mid - May , weather really good enough anyway . could not make local phone call room without open account pay $ 25.00 deposit - bizarre inconvenient , use call box . would definately stay , however . 
 May 19 2006 	 could find well location 	 3 lady , first time New York quite sure expect . first impression impressive especially see view window railway track apart front desk people could alot friendly pool empty ( 80 degree day ) would definately stay . impressed cleanliness room although doorstep Times Square reasonably quiet night feel safe . deli next door convenient , reasonable & amp ; great food , wonderful breakfast keep go day . quite 10 10 wonderful value definately worth second stay . 
 May 16 2006 	 find ! 	 think lucky - book early enough good price terrifice location ! well . great hotel ! great price location ( Lincoln tunnel Penn Station center everything ! ) , free parking , pool ( ok , not fill 's May ) , weight room , room service ( not try ) side restaurant ( low price ) , tv movie , gameboy , internet . wireless connection . yes ice machine : - ) accomodate staff will ever meet ! go spouse / friend shop hang . already start arrange family trip , defintely go back spouse ! think post info could keep , hotel good share ! 
 may 14 2006 	 nothing fancy would stay 	 want affordable , clean , spacious hotel within walk distance Times Square weekend trip mother sister . look Trip Advisor assistance find hotel . base room rate , location review read , choose Travel Inn Hotel West 42nd Street . overall , satisfied hotel . nothing fancy sure , clean , roomy not break bank . pool time stay , water pool . staff could bit cheery bed little hard side really complaint . would stay . 
 May 12 2006 	 Perfect Hotel / Price 	 stay 1 night May 5th ... dinner carmine 44th- 5 block walk . easy get driving - outside Lincoln Tunnel . would not say luxury NYC hotel . clean ... ammenitie basic . deli / cafe attach hotel sandwich , soda , beer . drive , pull hotel bldg park car parking garage . parking include - nice plus . overall , great find $ $ $ . centrally locate . pool open memorial day - large pool / pool area . 
 Apr 28 2006 	 describe ! excellent hotel 	 stay 19th th23rd April .... hotel excellent , great location , near everything , great price , helpful staff , clean . excellent experience . yes , room hot , b / c AC working , sleep fine . not hear noise , room face 42nd St. Overall , awesome experience . question stay next time NYC . 
 Apr 22 2006 	 April 17 - 21 	 really curious reading review ... mix ! friend mine recommend hotel $ 125 price ( book website other mention ) free parking sell . stay 4 night 4/17 4/21 . room third floor right street level face 42nd avenue . hotel employee nice , room clean whoa .... hot . ask housekeeper say AC turn . thing adjust room fan . near 80 degree outside day even night room hot . little hot ... sleepig top bed , covers still wake sweating , hot ! also could not leave window open noise street building across street non - stop ... fussy noise- work night sleep day whole neighborhood leaf - blow mow lawn kid playing- say noisy mean . actually get get video clip garbage truck empty something like 7 dumpster ungodly hour morning want able make people howl laughter crazy ! 's true toilet seat loose , fan bathroom , shower temp varied people ... heating cooling , mattress firm .... room totally acceptable . AC issue could tolerate even noise recommend . deli next door well buy around . quick jaunt subway bus ... eveythe stop Times Square seem . never feel unsafe ... neighborhood seem get litte rundown right 10th street seem lot policeman block always come go station across street . really want drive NYC take advantage free parking good locaion .... call ahead make sure AC ask room back . reason would check back winter see heat warm room ! ! ! ! 
 Apr 18 2006 	 Relaxing Stay 	 husband , 2 child ( 10 year old daughter 1 year old son ) visit week 10th April daughter 's Spring break school visit uncle live New York . we excellent stay BIG APPLE . weather GREAT uncle REALLY help . hit MAJOR site along place uncle take we not even think . get see everything want see not pay tour . uncle take we everywhere . use bus subway course MAJOR walk .... ( smile ) choose subway bus .... course subway MUCH fast never wait 5 minute one come . must see GROUND ZERO ... not really fully understand magnitude happen see person . our room comfortable clean face 42nd Street . front desk staff friendly helpful young lady gift shop also nice . free parking can not beat . find spot right near elevator great . vend ice machine floor . clean staff office staff nice ( room near executive office 3rd floor ) . would think would lot noise office , quiet . as everyone else state ...... diner next door good breakfast Theatre Row Diner block good , . Food Emporium ( grocery store ) stay open Midnight .... even eat Burger King . can not find NEW YORK , can not find ! ! ! ! ! DEFINITELY staying ! ! ! ! 
 Apr 16 2006 	 Hotel great 	 stay hotel April 9th 5 night , fault . staff friendly approachable nothing much trouble . could figure door lock want pillow occastion matter instantly deal . clean room hotel general , gym facility good always accessable . excellent location 5 minute Times square centeral hoast attraction sight . breakfast meal good Deli literally outside hotel make handy first thing more ! ! love every minute holiday would definatly stay hotel reccomend anyone want see New York . hotel also garage good gift shop get ticket whole range attraction . 
 Apr 5 2006 	 Central Location 	 Stayed Travel Inn 4 night March . bit concerned not sure far would transport / attraction etc . not problem though hotel five minute walk Port Authority Bus Terminal ( shuttle bus airport stop ) . also 10 minute stroll Times Square/42nd Street subway station train run . never take taxi anywhere , either walk hotel catch subway . the hotel basic , good . hotel staff ok room clean . book room 2 double bed ( 2 we ) , would room move . bathroom clean toilet cistern cling - one push topple ; bathroom door hinge bottom . room cost we less £ 100 per night , price location - would hard beat hotel . there great diner , deli , grocery store , pharmacy Starbucks door away hotel . noise traffic quite loud , be expect take pair ear plugs . area feel safe , fact feel safe evening busy day . good hotel good location - will definitely stay next visit New York . 
 Apr 4 2006 	 Great Hotel Overall 	 daughter spend week hotel , drive Orlando , Florida tourist New York spring break high school . choose many positive review website please overall . location great , easy walk distance Times Square , actually walk every go , Central Park , Empire State Building , Rockefeller Center - even walk Guggenheim Museum not recommend , turn lot away estimate ! hotel clean , staff extremely friendly , always ready help advise . secure , free parking definate plus consider public garage charge parking . room nice , bathroom excellent , plenty room put everything two woman , lot & quot ; stuff & quot ; ! work , happily room desk right height comfy chair , wireless connectivity available computer bargain , $ 5.95 day think . three thing wish different - first ..... big tv ! tv small hard old eye watch bed , even pull . secondly , room hot , keep window open time sometimes even prop door open get room cool . hotel staff wonderful though explain reason ( building heat one main boiler heat maintain even temperature room although unit room turn & quot ; & quot ; we , heat still leak ) lastly , fact call pay day code keep wireless computer , wish could paid week obviously ! consider overall experience hotel 's staff , minor annoyance , believe . would definately stay ! 
 Mar 30 2006 	 Great Value Great Location 	 3 we share room 9 night end March 2006 & amp ; complaint . room service excellent make clean thoroughly every day stay . sheet change least twice nothing miss . fresh soap , mini shampoo etc replace every day . housekeeping staff friendly helpful . front office staff bit aloof feel could little bit helpful time . location great convenient attraction , taxis everywhere driver helpful visitor . theater diner street great little diner right next door Travel Inn . would reccommend hotel good , clean , convenient & amp ; great value money . 
 Mar 28 2006 	 good hotel convenient short stay 	 stay short 3 night break run Christmas . find hotel convenient comfortable ( although feel one room smoke request 2 non - smoking room ) . room face 42nd street police station problem noise keep we awake night . lovely view empire state bedroom look great lit night . it pleasant walk major tourist attraction hotel gift shop hand give advice ( save two hour quee empire state booking ticket ! ) deli accross road provide good food nice breakfast . if plan short trip require good , reasonably price hotel good choice . 
 Mar 27 2006 	 excellent travel inn 	 staying travel inn 42nd street past 6 year always exceptional value money clean good position go look quality hotel get try travel inn pleased son live work ct USA regular visitor hotel , Ann & amp ; Peter Young Boston ENGLAND . 
 Mar 24 2006 	 ok ... non - smoker beware 	 stay week experience big snow storm February ( 26 inch ! ) . 's close Times Square convention centre convenient we . be pretty safe location . never concern walk back late night . breakfast deli downstairs Theatre Diner one block away . starbuck end block grocery story end block . room spacious bathroom small . would go far say bathroom cramp little counter space . shower provide enough pressure . not enough light shower / tub area though ... shower curtain pull , bit dark side . wireless access easy get fee $ 6 per 24 hour period . get access password every 24 hour front desk . the room clean enough specifically request non - smoking room . arrive Saturday 2 pm , tell non - smoking room give smoking room . reeked smoke ... everything . send ozone air purifi we deliver fresh pillow we first 2 day , still pretty bad . end 2nd day , room smell ok ( combination air purifier us leave door window open could ) .So ... would stay ? yes ... room stop stink , pretty nice hotel can not beat price location . wary fact may get non - smoking room 's important . 
 Mar 23 2006 	 Exceptional Value 	 Free Parking ! locate right across police station ! two block away subway , one block away Times Square . wonderful deli downstairs / next door . room average worth price . pleasant staff . 's wonderful value return . 
 Mar 23 2006 	 come back 	 great place stay NY City . room spacious keep clean ... staff helpful , excellent value money . recommend Deli next door breakfast requirement evening meal would recommend Theater Row Diner road good food large portion low price ! excellent Pharmacy opposite hotel get digital photo 's develop fraction UK cost ! 
 Mar 21 2006 	 Best keep Secret NYC 	 can not beat hotel price ! travel NYC 2 friend St. Patty 's Day weekend . simply want place sleep -- not want spend fortune yet want safe clean . rate find internet , go expect worst pleasantly surprised . hotel newly remodel -- clean modern average - sized hotel room . location perfect , outside tourist melee Times Square close everything . cvs across street , Deli next door , neighborhood grocery store around corner great bar diner within block two . ( Theatre Row Diner 42nd gem ! ) three woman , always feel safe -- NYPD presence across street help . can not beat ! will definitely back . 
 Mar 16 2006 	 Great Value Location 	 Aunt drive Kingston , Ontario find hotel easy navigate exit Lincoln Tunnel . beware NYC cab driver ! parking free ! room rate excellent lot shopping ! block glitter Times Square . good walking distance north Madison 5th Ave shop . also short distance shop Macy 's 34th St . however , not attempt one day ! lot Deli 's Starbucks area . room basic clean . internet access small fee like write letter home . highly recommend hotel average shopper looking deal ! 
 Mar 14 2006 	 Perfect Small Hotel 	 wonderful find . group 4 Woman . hotel 42nd street 8th 9th avenue . the Port Authority across street . the room 2 full size bed , call desk around 10 pm verify pillow low regular one less 5 minute , perfect pillow hand . friendly people , little store inside Hotel sell ticket tour need take.the clerk knowledgeable shop Go . room clean every day , Towels toiletry provide , Ironing board etc . feel free leave shopping bag room.they storage room available free charge .. arrive early not worry ... lock start enjoy nyc.free parking Pool avaliable summer time . the deli next Hotel marvelous find , succulent breakfast Sandwiches . we 1st week march , Cold low 20 's love . definitely stay . 
 Mar 10 2006 	 well position 	 adequate , well position , room functional , reception staff not meet greet arrival subsequent return trip , even & quot ; hello & quot ; , not feel particularly value welcome . attach cafe expensive service poor ( go Theatre Diner 50 m yard away , much well service / food / price . basic , relatively inexpensive hotel ideal use merely place lie head . 
 Feb 24 2006 	 Best NYC Hotel Experience Regular Folks 	 clean , friendly hotel comfortable bed spacious room . free wireless free parking ! ! ! shower force . room open 3 suitcase . window adequate curtainsfor darken room . the location can not beat - block Times Sq , Port Authority 7th Ave subway , right across street NYPD station ! ' ve stay many place city cost never say would stay again . I definitely stay hotel another time . the price right - although winter rate . ( outdoor pool , ! ) 
 Feb 23 2006 	 wonderful place budget minded traveler 	 husband stay Travel Inn 3 night . satisfied . room clean , newly remodel certainly big enough 2 we . bathroom small necessity include hot water problem NY hotel . staff always helpful friendly . breakfast every day deli next door lunch . deli location convenient , food good reasonably price staff friendly . definitely stay . 
 Feb 21 2006 	 great value money 	 daughter decide stop New York 2 night finish caribbean cruise , fly back London via JFK Miami . first time New York fall love city plan go back December week . Travel Inn everything want city hotel . clean , friendly safe staff helpful . 5 minute walk Broadway 10 minute walk Time Square Maceys . lovely go Christmas , decoration , ice rink market Time Square father christmase street make magical . bit concern two & quot ; girl & quot ; , feel safe . hotel right opposite New York Police Department lovely view Empire State Building illuminate night . hotel two block harbour , get cruise around statue liberty . also supermarket deli 1 block away , everything need right doorstep . tired two day hard shopping sightseeing , not energy go , order room service . ' ve get quite good choice menu deliver deli one block , night not disappoint quality , amount price pay . also deli right next door ideal breakfast . , ideal hotel , good position friendly , clean comfortable . one slight downpoint though . beware book chaffeur drive limo airport . not know two woman , tell price $ 75 flat rate include everything , include toll tip ( state literature hotel ) , get airport try charge we extra top toll . go give good tip ( gratuity ) , traffic really bad seem fed , try rip we not bother , miss . tip would lot extra charge we . apart , New York wonderful , people lovely love - roll December 2006 go back . 
 Feb 6 2006 	 good value money NYC 	 second time ' ve hotel . bf love . near attraction yet loud , clean affordable , could ask anything . Maid service great , staff helpful breakfast place next store good nicely price . not think will ever go another hotel New York , stay 4 nite pay 105 $ nite , amazing deal ! back summer sure ! 
 Feb 1 2006 	 great time 	 spend three night Travel Inn early Dec 2005 . find comfortable , clean good value hotel . the bedroom much big anticipatd . convenient sightseeing New York . recommend Deli next door breakfast . 
 Jan 26 2006 	 Great Value 	 stay 5 night Travel Inn 42nd St would definitely recommend . room large great value . location pretty good quite quiet ( ask room face onto pool ) . staff helpful friendly well . 
 Jan 24 2006 	 love service 	 stay hotel 7 family member , dissapointe . Location excellent , reservationist helpful staff accomodating . clean , great service room nice size . bed comfortable staff problem provide we extra pillow . diner stairs awesome , food great service outstanding , definately return . 
 Jan 22 2006 	 good - would stay 	 Travel Inn basically chain hotel , not blow away , perfectly adequate . room clean tidy good size , welcome useful complimentary copy Time New York . vend machine cold drink snack ice machine hall , small shop lobby sell snack camera film . breakfast diner next door , staff friendly helpful , food delicious . ( police officer police station across street often see ! ) hotel short walk Port Authority Bus Terminal subway station , Empire State Building see front door . complaint stay . 
 Jan 12 2006 	 keep come back 	 stay Travel Inn several year , Thanksgiving weekend . clean , price right , meet basic need . even thought would splurge 50th birthday find another place stay ... decide come back Travel Inn . look forward hotel , neighborhood , good time . do not afraid try hotel . free parking wonderful perk , diner next door fine , Theatre Diner street good . check Cascina , favorite italian restaurant @ 9th 45th . 
 Jan 7 2006 	 nice price 	 visit sister law Washington DC Christmas pre book Travel Inn could experience sight fun New York Christmas time . drive Washington free car parking initial reason book hotel well comment web site . arrive 19 Dec 2005 leave 21 Dec 2005 . disappoint – price pay excellent choice . other say long spend hotel room New York ? room well furnish clean . none smoking room smell ever smoke . bed quite firm sheet cover clean crisp . quite fussy regard cleanliness quite happy room , hotel reception , corridor lift . room reception street noise bad apart woken 3 am last night New York fire department attend fire subway run hotel . room could see Empire State building - nice night holiday lighting . arrive late morning check time allow park car secure indoor car park could start explore . hotel also let we leave car 5 pm check allow extra time sight seeing . underground go strike day arrive still manage see everything want hotel well situate 5 - 10 minute Times Square . never feel threaten street side street around hotel . would definitely book hotel . 
 Jan 4 2006 	 great old hotel ! ! ! 	 stay hotel October 11 - 16 , 2005 . desk staff helpful polite - checkin checkout fast easy . clean staff friendly wonderful job ! room neat clean . 4th floor face police station , not notice much street noise . great price - $ 125 per night book online advance - hard get price place - especially NYC ! 's also free parking garage , add even value hotel we ( drive Oklahoma would cost we least $ 50 per day park car ) . room may small standard , comfortable . shower work fine clean ! hotel may bit old , think great ! close enough get Times Square subway station ! ( also like deli right next store , even consider hole - in - the wall . good , basic sandwich - wonderful hot breakfast ! ) definitely stay Travel Inn ! 
 Jan 2 2006 	 Simple Comfortable Affordable Great 	 stay 4 night Christmas period . booked internet check simple . room right size , clean comfortable . decor ok go New York look room decor .. not . basically staff helpful polite . even cleaner help we get room hand full shopping bag . not use deli next door use Starbucks 5 minute walk away Theatre Diner . breakfast great everyone friendly . location think superb , 10 min walk Times Square , easy point get cab . trip Christmas suprise girlfriend propose visit . could fault anything . room back railway line we hear 1 train . earplug help we sleep exhaustion shopping sightseeing soon kick . could hear noise , hey 's New York . complaint would definatley stay . see reason people complain hotel . well do Travel Inn 
 Dec 22 2005 	 simple clean functional 	 find hotel reservation room NYC , stay 1 night , Dec 12 , even give we room 10:30 able use . clean fine 1 night , room old pretty big NYC standard , park free client great rare Manhattan . it fine price , 125.00 usd , meet lot tourist hotel , UK , Ireland Netherlands . good location . 
