Super 	 Stayed Tower one night business due overnight function London . the view room front hotel Tower Bridge , especially night , something see . room comfortable little small rate pay fine . breakfast morning plentiful good selection hot cold . check - out quick occasion - know slow . 
 Aug 1 2007 	 good pricey 	 son stay Guoman Tower hotel June year . town convention spend lot time overall find stay pretty good , good three hotel stay trip also pricey , especially US exchange dollar ! want close Tower Bridge trendy dockland place stay . view Thames Tower Bridge , breathtaking day night . front desk staff well organize hotel sell entire time due convention . would think would bring extra staff handle summer demand clearly not . car pay nose parking ! $ 60 / day guest , unfortunately uncommon area . the buffet Carvery nothing write home overall find restuarant staff pretty surly . room service food good ' ve ever though reasonably price well ! several good restaurant within walk distance hotel would recommend eat . room well appoint comfortable though typically small british room . also hotel room England AC actually work . seem great deal burn light bulb , could never get reception housekeeping ask fix situation live . ice machine floor break vend machine , could find , want snack buy gift shop outrageous price . the hotel quite walk Tube Train station , especially be drag luggage beware . would stay , low season day , pricey . 
 Jul 27 2007 	 Nice Staff .... .. 	 spend week hotel two redeem feature location pleasent staff . on less positive side ... seem problem fire alarm . 3 alarm whilst two full evacution ( small hour ) . other speak report similar . member staff tell happen nearly every week . can not vouch , interupt sleep ! room ok little dated . dining staff manage spray coffee ( accident happen ) annoying thing total lack get grip sort mess - let alone apology offer dry cleaning . if want good location - hard beat , aware wrinkle 
 Jul 26 2007 	 complaint 	 tour group book hotel bite concerned would find London . however , quite satisfied . room modern , clean course view incredible . breakfast also nice surprise . great location , right Thames , skip Tower London Tower Bridge , easy access bus tube get around London . would recommend anyone . 
 Jul 26 2007 	 good enough 	 many problem guest hotel . doubt 3 4 star . choose 3 . even get free upgrade room business class . service restaurant ( breakfast ) good . ofcourse room view tower bridge , good view dock . a photo room view dock include . 
 Jul 17 2007 	 wonderful view ! ! ! 	 book superbreak.com hotel wonderful review thi site . check tripadvisor start get bit worried . 2 room twin double 2 night 5th floor tired indeed . advise specail rate due condition actually view fantastic room fade insignificate although shower cover whole bathroom switch . staff helpful , breakfast good delighted check lady reception wave parking charge . seem really sad hotel stunning location could first class hotel little TLC . advertise 4 star hotel unfortunately room fall far short . 
 Jul 14 2007 	 Terrible Customer Service ! 	 hotel host Crime Mapping conference second week May ( 8 - 10th May ) organisation naturally reserve room hotel . arrival , ask credit card confirm payment reservation . explain room reserve insist receive confirmatory fax organisation ! receptionist ( Claudia ) insist provide credit card detail could take room ! therefore , elicit credit card detail pretence receive fax organisation , fact , send week ! follow day ( 9th May ) , contact organisation assure send reservation fax company credit card detail hotel many week . departure try check try charge credit card claim still receive fax organisation ! far happy , demand see manager refer Customer Services advisor explain furious continuously ask credit card detail . advisor go main office behind reception explain fact receive confirmation organisation ( even though re - send previous morning ! ) matter resolve . administration system within hotel complete shamble management . second day stay ( 9th May ) , specifically place ' do disturb ' sign room door return midday find room enter bedding replace ! people understand basic English ' do disturb ' ! ? , extremely expensive hotel unofficial tag one ugly look building within London one overprice traveller base solely location close proximity London bridge . recommend anyone stay hotel articulate point organisation book room hotel ever ! 
 Jul 13 2007 	 great location / view management need sack . 	 location hotel idyllic right next Tower Bridge - afford great view start Tour de France 7 floor room . ask tower view ( stay ) , initial placement first floor room view bridge across dirty roof air conditioning engineering equipment , bad enough , cigarette butts , paper , trash make view disgusting . move room toilet back spew sewage bathroom floor - and maintenance available evening fix . typical service hotel substandard across board , long line check , long line breakfast , etc . Maid service ok , supervisor intrusive . breakfast marginal , lunchin Brasserie well . Hotel Guomon hotel management apparently inept . room dark , poorly maintain hole rug , wall , sheet . whole place need attention . bad wonderful location poor property . hotel need totally remodel ( possible , really ugly date structurally ) clean , perhaps new management tear build new hotel upgrade standard part London . 
 Jul 12 2007 	 beware awful 5th floor 	 book smart reception area , staff friendly apologetic slow computer . go 5th floor , twin room disgustingly scruffy let pay guest . return reception appear embarassed say understand 5th floor reburbishe therefore room reduce price ( £ 173 ) , excuse advertising without warn . would accept room £ 1 per night . give double room ( order ) floor less scruffy much clean . need beware splinter break wooden furniture . bathroom sink crack could do plunger . the continental breakfast excellent cook buffet poor quality heat well . plus side staff really good immediate location room view wonderful . 5th floor could use creepy film set refurbish . 
 Jul 9 2007 	 terrible stay overrated hotel 	 going work spend 300 pound per night stay Tower miserable stay long time . put room 5th floor scuffed furniture , dirty carpet , old blanket bad type spring mattress bed imagine . bathroom much well . complain ( friendly person check - in desk ) give another room prove bad first one , really annoyed . absolutely recognition fact room terrible quality ( look like ratty old guesthouse ) and excuse give & quot ; refurbish floor 5 & quot ; . well , pust guest pay 300 pound night reply . end get upgrade ( insistent ) room decent , certainly .. need add despite high price per night breakfast include ... terrible stay , expensive unhelpful staff , not go ! 
 Jul 5 2007 	 top Tip : Knock star book London hotel never deliver ! ! 	 star course refer star rating , Brad Pitt variety ! ! know well think 4 star actually come 4 Star standard . silly ! ! ! book hotel thru Superbreaks give we good deal . booked deluxe room £ 20 want nice room . very put check - in - long queue stretch accross foyer go drink bar . come back £ 10 light consuming v stingy - small glass chardonnay , even big queue ! eventually check - in disappointment . the room ( 102 ) v small furnishing etc tired big crack basin ( tiny bathroom ) . also big stain carpet . pretty stressed time , head Wimbledon tennis . that night , eat Indian Restaurant within St Katherines Dock - even big disappointment hotel ! ! look really upmarket outside service dire , take waiter 3 attempt open bottle wine ( good part meal ) food awful - poor quality meat swimming describe slop . needless say , not hang around dessert ( good job no - one ask we anyway ) pay bill - less service charge meal crap - first time never leave good tip . not seem bother rubbish meal , guess know average customer town night - ditto hotel . be London hotel restaurant like ? ? 
 Jun 18 2007 	 Bedbugs horror ! definitely worthy 4 * 	 book hotel Lastminute.com pay £ 109 standard room . stay luxurious Hilton London Bridge week previously , expect similar standard . shock ! room ( 5th floor ) really shabby , 2 old single bed would not look place Grandma 's house ! furniture look worn , safe , nothing say 4 * hotel . sleep badly , wake night scratch . wake 8 Housekeeping knock door ! really irritate bad night 's sleep . wake realise bite leg , 10 bite . not know whether bedbug flea never awful experience . spend next day itching end red mark leg . as soon get back emailed hotel complain , response . resent email 3 time still response . really shock 4 * hotel treat customer way . positive thing hotel location . presume deluxe room well would definitely recommend traveller book hotel favour one . would not stay regardless room . warn ! 
 Jun 16 2007 	 bad ! 	 stay Tower Hotel evening 9th June 2007 birthday celebration . we book superbreak website find easy problem free ! upon arrival hotel greet staff check desk . ' much throughout stay clerk give we information need duration visit . use Information desk near one entrance direction supply we good map London attraction . underground mess mainly use taxis mode transport . taxis frequently pass front hotel easy call stop . room – room nice . need . give key card get room . iron board iron , electronic code safe , television pay per view hairdryer . small coffee table kettle tea coffee make facility . work area manual Hotels facility telephone room service ect . bed fine comfortable – spring dig we bed . bathroom clean everything work fine . food – stay hotel breakfast . two area offer breakfast Carvery , upper ground level , brasserie low floor . eat Brasserie open long breakfast . breakfast buffet style offer full English , continental selection fruit juice . food hot good quality . nothing bad say experience restaurant . breakfast part room sure much breakfast would cost . past dine Carvery lunch hotel . time eat find food good quality lot choice . much little want . also three option vegetarian . the x bar offer good view Thames TOWER BRIDGE . first time go god smack view . spend long time watch world go . drink reasonably price apart small glass mineral water bloody expensive £ 3.50 ! ! ! ! ! 
 Jun 11 2007 	 good find discount full price 	 book Tower Lastminute.com one " Top Secret " hotel ( easy work , close Tower Bridge station ! ) £ 138 two night – £ 69 per night . sadly , thing get good start . despite receive confirmation Lastminute one room two night , decide play safe check hotel – well , think two room two night ! farcical game " ' fault , " take place . go two room … room , back actually want , side blame way , play piggy middle call side sort . during process , one people speak offer we free upgrade ( see ) . wife mention – name extension number person Customer Services – response reception " ' know " ! one phone call would sort – poor response feel . while sort mess , another couple booking , also book room via Lastminute – book problem whatsoever . say , hear receptionist say " problem room , let know " – hardly encouraging ! apologise , Tower offer we free upgrade Deluxe King . situate first floor ( room 142 ) complain room … price pay . bed huge would comfortably sleep three people ( lifestyle preference ) . say , pay full price ( understand £ 150 night ) room size , would distinctly unimpressed . that say , bed comfortable feature ( speaker bathroom could hear tv / Radio wish , trouser press ironing board combination safe ) appreciate . room also clean decent condition . view onto part Thames across Yacht Club entrance St Katharine ' Dock – great watching vessel come leave dock . we eat carvery first evening – food excellent good value £ 22 head , exclude drink . last evening , snack Gallery bar – standard food excellent , expensive ( £ 8.50 steak sandwich £ 3.95 bowl fry ) . want alternative place eat , St Katharine ' dock provide option . Checkout look like would long wait quite queue come , deal quickly efficiently . Verdict : book hotel kind discount rate , value money . would want much money full price . 
 Jun 7 2007 	 Luxury Arm Thistle Hotels - um ! 	 hotel good view London careful ! inside tired room small . nothing work room - heat towel rail ? - break - wall safe ? break . etc etc . I stay hotel many time company put near office know room consistently bad . the restaurant also expensive food poor quality , exception carvery . the harass reception staff reasonable jon check in / out management , approach problem face , could not care less , know fully book next day tourist regardless quality location . one avoid possible - say want view care hotel quality . 
 Jun 5 2007 	 ok tourist 	 stay Tower one Friday night ' do town ' . get cheap deal lastminute price reasonable room London , would never pay ' full ' price standard . the fitting room particularly bathroom tired feel whole hotel need unlift inside . enjoy location ( Tower Bridge St Katherines Dock ) lot see right door step . Thames area improve last year 's nice place be . we find staff polite helpful , honest hotel hour . 
 Jun 4 2007 	 last minute stay 	 look hotel stay concert [ -- ] one come & quot ; top secret hotel & quot ; sure hotel Tower Bridge indeed . good price plump hope would ok.this former Thistle Tower , undergone renovation . re - name Guoman Thistle & quot ; luxury hotel & quot ; brand . however , floor stay ( 5th ) await renovation room furniture old tired . fair , room great view Bridge look river nice quiet London location would great base explore historic part London ( Tower London , Tower Bridge , HMS Belfast , London Dungeons ) , St Katharine 's Docks financial district plan spend reasonable sum expect good thing make sure ask renovate floor / room ( river / bridge view ! ) . 
 Jun 2 2007 	 Miss Hit 	 recently book hotel one night business trip . previously stay hotel own Thistle remember get huge comfy room excellent facility . no luck trip . book Rm 232 , fairly small double room . room , furniture decor tired desk chair stain . hotel room incredibly stuffy , air con little alleviate heat . thankfully room window open give London generally pretty warm would nice air con effect cool room . I order room service really let . eat dessert first heat luke warm not fancy cold custard . open - top salmon cream cheese sandwich appear minus cream cheese huge load grey look salmon dump top tough toast . tired point complain retired bed . well , say bed ? be long time since ' ve lain bed feel mattress spring dig angle . my advise would avoid hotel cost , prepare complain change room several time get one stay comfort . 
 May 29 2007 	 bad experience london Hotel 	 return long weekend London stay joke hotel . firstly put & quot ; family room & quot ; directly function room hotel , weddde reception book fri & amp ; sat night keep awake till least 1 am . phone reception several time ask time thing would quiet discover horror limited number staff could understand plain good old english . staff encounter could speak understand english language . matter small request make staff ( especially breakfast ) always seem like problem . however say lucky enough deal good local cockney londoner deal efficiently swiftley . stay Thistle hotel marble arch difference hotel night day . would rate Thistle hotel London Tower 2 star . would strongly suggest would traveller avoid hotel 
 May 28 2007 	 Good Stay 	 reading review hotel stay worried might find . stay one night part theatre hotel break friend 21st birthday . three room six us three absolutely fine want . do not view bridge look thame still nice . continental breakfast morning pleasently surprise well keep food stock . overall good stay would use hotel . 
 May 27 2007 	 think carefully ... 	 want stay , certain wish . go back . find way ( close london bridge way near tube serve less good connection center town . guoman hotel think would quality , stable Cumberland . alas , ugly step sister & quot ; make - over & quot ; amount two public floor bottom hotel ( check - in restaurant floor ) . floor virtually untouched . tacky experience frustrating say least . ¨this hotel definately fabulous look official website - try expedia candid pic good idea ! old Thistle hotel look part ! room stick 1980´s , dark hotel hopelessly large amount lift . ten morning wait . ... toast order room service morning serve wrap paper napkin plate . many group check wait time reception long . operator takes forever pick phone ( inside outside hotel ) . opinion many well convenient hotel price range much well location . often stay Tower 's sister hotel Cumberland number time go back . yes , hotel large , standard room small hallway busy . duvet bed , funky decor , excellent location large plasma tv screen make worthwhile . 
 may 19 2007 	 Hotel Standard 	 stay week whilst attend training course City . arrival check computer fail back system ( hotel , suppose , class ? ) . additional staff put duty cope extra work result traveller subject considerable delay much confusion . room pleasant enough clean , fixture fitting look old tired . smoking room allocate even though non - smoking request . standard service front end restaurant poor inefficient well , especially give number guest . staff sense urgency general manner demeanour leave much desire . not doom gloom though ... bar staff friendly , concierge highly knowledgeable , view Tower Bridge St Katharine 's Dock excellent food high standard ( overprice ! ) .All reasonable 3 * establishment .... unfortunately be rate 4 * ... price towards 5 * market . an independent quality audit would interesting see ' m sure ' ve scratch surface hotel failing . 
 may 14 2007 	 Beautiful View 	 boyfriend look spend romantic evening central London book one night Tower Hotel . room hotel facility well maintain , comfortable clean . although hotel offer quality stay , recommend pay high price room not find anything beyond exceptional . good attribute hotel location overlook beautiful Tower Bridge . never London , Tower Bridge stunning night completely illuminated . 
 May 13 2007 	 not believe everything read ! 	 accept invitation Friday night business function City London , wife think would make romantic weekend , sort thing would perhaps year , live Worcestershire . , good experience last year book hotel on - line booking agency adopt game plan spend couple hour trawling site like London Town , Hotel Doorman Lastminute.com . eventually decide Tower , look perfect venue- 4 star , on - site parking great riverside location overlook Tower Bridge close function venue . surprisingly , good price could find Deluxe room hotel direct , upon call 2 day visit say room whatsoever available ( remember later ! ) . desperation revisit Lastminute.com , offer detail hotel price & quot ; good hotel will not allow name & quot ; . not normally buy kind sale line , description give pretty sure Tower ( right ) , book standard room english breakfast , 1 night £ 79 . Disappointed Standard room available , least would get venue want . night due travel look location map Google , find review site accident completely gutte see every reviewer totally slate place- & quot ; not touch bargepole & quot ; general concensus numerous reviewer . time late cancel , hope good , decide ask arrival remote chance room upgrade . cut chase , upon arrival first impression great , tell reception give free upgrade hotel full ( excuse ? ) , room lovely ( Deluxe ) overlook Tower Bridge , impressed customer service riverside view XI bar Brasserie excellent English Breakfast serve . feel quality accomodation location exactly hope , would definitely stay recommend other . also would recommend Lastminute.com- £ 79 absolute bargain ! 
 Apr 18 2007 	 enjoyable stay 	 spend night Tower Hotel part Dirty Dancing Theatre break . find checkin quick room want stay London . great view Tower Bridge Thames . breakfast self service buffet style plenty . package include continental breakfast could cook breakfast pay extra . good stay busy hotel could not really find anything complain . Infact stay several hotel London year would certainly put one one would return night two London . 
 Apr 17 2007 	 Tower - Distinctly Average 	 stay hotel several occasion , business . fantastic location . minute walk Tower Hill Tube Station literally right beside Tower Bridge . I believe hotel part Thistle Chain form part Guoman Group . the website focus part hotel refurbish indeed feel modern , airy contemporary . check - last visit find receptionist look nose realise upon check record stay hotel . tone change . the meal within hotel ok . great certainly inedible . Room Service efficient - complaint there . however room tired . always lucky enough Tower River face room , that s pleasantry end . room smell fusty feel dirty tired . read review see somewhat fussy , review consistent thought . tired bed linen dirty one occasion . my bathroom cover cracked tile . notice standard room rate £ 220 . want charge amount , hotel need full refurb step game . 
 Apr 13 2007 	 great view v nice 4 star hotel 	 stay Tower business April 2007 , pleasantly surprised good find . initial impression favourable – nice lobby , effective check friendly concierge . standard room ( room 369 ) , ' expect much . however , amazed find really large room stunning view Thames Tower Bridge ! even amazing window actually open ( real rareity London ) . order room service come back late , arrive promptly fuss . bedspread bit worn thin , bed extremely comfortable . ' book room , ' sure much cost . however , base experience expectation similar hotel London , ' happy pay £ 120 - £ 130 night size room , probably view . one good 4 star hotel London , ' say . 
 Apr 5 2007 	 careful Used Priceline 	 hotel ok cheap price . room indeed well - wear . attempt get upgrade check - in easily brush . however , check - out , waste ten precious minute tell eastern european clerk going pay extra 70 pound per night . ( already pay Priceline ) . go back several time talk & quot ; manager & quot ; different argument , weak , include & quot ; Priceline use credit card ' hold . ' & quot ; hear story hotel surprised see be still try old scam ! 
 Apr 3 2007 	 good experience 	 hotel book part Theatre Break . Hotel Receiption area staff nice end . the room allocate smoking room request non - smoking room . arrival room find smelly , decor yellow smoke , furniture scratch fade plinth miss . bed cover old started fray ( look like month eat ) , look dirty stain valance match . top find previous occupant 's T - shirt leave bed . we complain give another room . non - smoking room decor , etc , exactly first room - tired tatty . breakfast well . queue table , food basic , breakfast dish old soup bowl stain soup , pot tea coffee waiter walk round offer odd cup there . overall opinion : 2 star room , 2 start service , 4 star location . 
 Mar 31 2007 	 great location weekend break London 	 Stayed Tower 3 night attend course city . I travel hotel tube Heathrow , get bit confused lose en route leave Tower Hill tube , might well taxi use subway . first impression hotel great , foyer 1st floor contemporary . check fine staff friendly . suprise room defintely contemporary ... previous review describe room tired , would agree . view room superb ... look Thames London Bridge . area around hotel St Katerine 's Dock , lot restaurant little boutique shop boat . have breakfast room day , quite expensive , not want venture restaurant . there bit queue day get taxi .... give bit time need go somewhere specific time . I would stay hotel , would nice go weekend break , even though disappointed room . 
 Mar 28 2007 	 price luxurious aspect hotel ! 	 stay Tower Guoman Hotel 20th 22nd March 2007 . around 500 $ per night get supposedly luxurious suite window closing system break ( take one day get temporarily fix ) , light smell sewer system room toilet flush system work two three trial . top get food poison restaurant buffet stuff date previous weekend , try select fresh stuff , obviously work . hotel bad rip ever see business / tourist life . 
 Mar 28 2007 	 stay hotel ? ? ? 	 choose Tower hotel slightly cheap hotel usual Thistle Marble Arch . work travel industry friend stayed thoroughly enjoy stay hesistation book 2 night break . the hotel approx 10 min nearest tube station Tower Hill . build outside look horrendous . could definately update ! ! enter hotel however modern spacious . check take 5 min queue fairly quick easy . room 6th floor do not look Tower Bridge good view St Katherines Dock . room spacious modern decor . double bed , seat area , dress table , tv , mini bar ( fillable req ) , tea coffee make facility plenty storage space . room also safe , iron hairdryer . bath room look brand new . huge power shower top bath , heat towel rail , lot fresh towel Molten Brown toiletry . one dress gown however think bit odd ! ! ! Breakfast think lovely - full english usual choice , toast , pastry , fruit juice . notice huge queue leave though seem time right every morning - try get 9 am ! ! location hotel enviable - right Tower Bridge , Tower London . advice go Tower Bridge breakfast avoid rush . have pleasant stay - certainly ! ! shocked read review stay go well ! ! ! 
 Mar 19 2007 	 buy room right price - great ! 	 hotel , build probably concrete look emerge sludge Thames stand prominent position overlook St Katherines Dock Tower Bridge . view room magic . the surround architecture spectacular probably movement bulding destroy . our purpose stay Hotel spend week end London visit trade exhibition . we arrive Friday night check Monday . the initial impression good , lofty entrance hall look mezzanine floor bar restaurant situate . check we long wind affair mainly incoming coach party check despite minimal expenditure take less 15 minute . up room - clean , plenty towel , toiletry tea make facility - room - oh tired . shower head room need overhaul . the follow morning could not get breakfast long queue wander across dock little cafe produce full work £ 5.95.parking week end @ £ 14.00 per night - cheap alternative 200 metre away . lot eat place within 10 minute walk . we pay £ 69.00 per room basis per night seem we like fair deal ! 
 Mar 17 2007 	 pleasantly surprised 	 book hotel part theatre weekend deal location . on read rewiew afterwards rather worry do ! however , concern turn pleasant surprise saw room . locate sxith floor nicely decorate although Tower Bridge view view Canary wharf Thames St Katherines Dock nice indeed . the breakfast buffet include , excellent .The view Thames front location restaurant make experiance enjoyable . in fact , pleased stay book go hotel next month ! 
 Mar 14 2007 	 great place tourist stay 	 Prior leave weekend stay hotel , read bad review . book stay priceline . pay $ 110 . ( 55 pound ) per night . great price ! hotel neat clean . bit worn , like character - it be old . room lot space $ 500 night view . Tower bridge ! room room write full - sized bathroom . weekend stay , relocate computer system deal witha manual check - in . still nothing good thing report hotel . admit never go hotel enjoy overprice amenity , use hotel place sleep bathe . purpose find fault hotel . pleasantly surprised find location perfect , tourist . close everything want see . highly recommend hotel tourist . 
 Mar 12 2007 	 world class location 	 fantastic view one world great icon make hotel worthwhile - apart , distinctly average.paid £ 99 decent room 2 good value breakfast buffet . lotsto part london . well worth get room less £ 100 
 Mar 8 2007 	 Nice Hotel 	 nice hotel spacious exceutive feel walk , stay twice time lvoely room great view thame . breakfast expensive £ 19.00 head think worth ate . if go hotel cross tower bridge lovely bar serve food end parade shop get good food good price . the weekend stay Princes Trust concert tower london great Sugababes , Etc stay hotel itself . there also firework Thames right outside window dramatic great add entertainment . that say go 5 floor get ice every floor Ice machine . the staff 4 + Star hotel staff check difficult language barrier , first time stay massive bed 3 set double pillow big second stay pay upgrade room bed small first stay . 
 Mar 5 2007 	 Semen stain chair mattress smelled vomit . 	 stay Tower 2 night . overall impression hotel quite good , key element -- room bed -- par . location could beat . step away Tower Bridge , Tower London St. Katherine 's dock . however , walk Tower Hill tube station Circle / District line could daunt . either walk less 4 intersection several undergound walkway . plus , access hotel constrict pedestrian -- small sidewalk round parking gate . hotel definately lay customer arrive car . interior lobby nice international hotel standard sense . nothing distinctive lobby -- could lobby part world . overall , lobby quite welcoming keep . however , quite case go floor . room 2nd floor ; hall floor dark well worn . surprising one could see wear tear even dim lighting . hotel tolerable bedroom . size small ( price ) , expect London . decor room hall match lobby ( perhaps different renovation ? ) former homely warm latter contemporary . wood pannele room scratch luggage people pass year . carpet well somewhat tired . , go sit desk repulse . less three splatter remain man 's ejaculation ! chair question , look bed . group roommate assign . two small bed share one large king size comforter ! problem share , 4 star hotel , expect something beyond necessity . night tired notice much , take note odd odor bed . second night , take time go sleep turn several time old mattress . could feel thing poke rib ! leave side everything okay , shift right noticed strong odor . smell dry vomit someother bodily odor . investigate find mattress , mattress cover ( wonder ) slip one side expose mattress contact sheet . could anything time night , endure . morning breakfast somewhat confusing . pay anything , care pricing , meal seem overpriced -- even London standard . wait staff make fuss color card determine continental english breakfast . inside police price really matter ( even though one cost approx . £ 13 £ 17 ) . first morning , english breakfast even though group pay continental . learn other group tell . understand waitress admit -- grunt something breakfast . , learn follow morning allocate . opinion , piece cold cut , cheese , croissant , juice worth £ 13 ! ! back room , bathroom good . nothing spectacular , find clean well maintain . 
 Mar 2 2007 	 great view service could LOT well 	 great veiws tower bridge breakfast room , pushey upgrade check , good 5 - 10 min walk near tube room service slow almost hour plate nachos , fairly clean worth ask price there s much well london . 
 Feb 28 2007 	 not justify ridiculous price 	 stay Guoman & quot ; Tower & quot ; Monday 26th Feb Wednesday 1st March , 2007 . book hotel recommend company . I book & quot ; Club Class & quot ; room £ 200 per night - price not include breakfast ( ! ) . price , expect large , quality room , every possible convenience . the hotel easily accessible Tower Hill underground station , signpost Underground - , however , good 5 minute walk Underground , wary lot luggage . hotel dramatic location - right River Thames - building attractive . reception clean well present ; check - in quick efficient . however , everything go downhill get room . what disappointment ! bear mind pay £ 200 per night ( breakfast include ) . , get average sized room furnish slightly well standard average budget Travel Lodge . wallpaper peeling , obvious scuff mark wall door . tv standard 5 terrestial channel , 3 free satellite channel - dvd room . favour , room spectacular view Tower Bridge Thames , room also overlook another wing hotel , hideous 1970 's style concrete monstrosity . travel fairly frequently , £ 200 get MUCH well accommodation London . addition , food hideously overprice - order burger room service , £ 13.50 ! well go expense ! summary : clean comfortable , nice view , good visit London , not justify ridiculous price . will not stay . 
 Feb 25 2007 	 fanatastic ! 	 boyfriend wonderful time hotel , service great , room adequately size great view tower bridge . would definitely recommend hotel anyone . although also recommend go restaurant within hotel , except breakfast price food standard . restaurant close much nice close tube ! 
 Feb 14 2007 	 truly horrendous 	 know begin hotel , awful ! recently one - night stay Guoman Tower Hotel quality hotel horrendous , rate 4 - star ! make book Newmarket Promotions weekend theatre break 4 - star hotel . give choice 3 different hotel choose Guoman Tower Hotel research hotel website thinking look lovely . arrive hotel 2 pm Saturday 10th February find large queue check - in due system . wait 20 minute check give key room 244 . get room bag key would work door partner go downstairs sort it . when finally get room absolutely could believe condition . way room 4 - star standard . much wrong room actually list : ? wallpaper rip patch place scuff mark ? front drawer hang off . ? drawer would close . ? handle miss window . ? woodwork scratch worn . ? television stain front . ? one chair rip foam . ? bedclothe consist worn quilt cover yellow , bobble blanket – duvet . ? open door mini bar choke amount dust . ? toilet flush scum around handle . honestly could believe . call Newmarket Promotions advise we approach reception desk ask move another room . go downstairs bag check queue still extremely long . , instead , approach concierge desk . concierge ask would stay room could resolve issue . housekeeper maintenance man send room . however , way enough resolve issue . would take age sort room room mean 4 - star standard anyway ! go back downstairs approach different concierge . say would wait check - in queue resolve issue . although definitely , yet another 20 minute . approach reception desk ask see manager complaint . receptionist scowl we ask we wait . go 10 minute bring manager . explain system would wait 5 6 ' clock till system back could arrange another room we . say otherwise would double - booking room book manually . explain would go 6 ' clock theatre show say would call we room 244 5 ' clock would wait there . we receive phone call end call . porter come room 5.25 new room key room 677 . obviously sure understand want get wash dress theatre initial room , upon get new room half hour get ready go rush theatre . leave home intend use time check - in leave theatre ( 4 hour ) meal see London sight . instead spend whole time wait get standard room . theatre , meal , come back hotel order room service . porter deliver meal , find give we order . point hungry exhaust even energy complain . overall entire experience truly horrific . enjoyable restful weekend turn nightmare return work feel exhausted left . leave partner upset , stressed disappoint - make booking last October really look forward spend great deal money whole experience . type send complaint letter hotel holiday company . really would advise avoid hotel cost ! 
 Feb 7 2007 	 Beware picture website 	 averagei , see hotel allow post picture website representative room actually available -- -our room nothing like luxuriousWe upgrade executive room view tower bridge tell recently refurbish -- cost we 288 pound two night staynonsense -- room okay quite shabby part mark wall , bathroom little bad wear large bed -- , imagine basic room like standard superior room availableIt refurbish recentlyhaving say thatthe breakfast good hotel perfectly acceptable decent cafe , barsjust , expect much regard room 
 Feb 5 2007 	 Dreadful 	 stay Tower business trip . thankfully , stay one night , bad enough . on arrive hotel , impressed 's location ( right next Tower London Tower Bridge ) reception area smart clean , although queue check long . once check , proceeded room , find give smoking room , specifically request non - smoking . room smell strongly smoke , still cigarette butts ash tray ! room itsself also grotty , 2 single bed despite book double , generally date look it . I ring reception long wait connect , explain situation ask change room . tell room available , could maid come & quot ; refresh room & quot ; . stood ground demand new room , even company pay upgrade . line go quiet minute , come back line say room available porter would take . porter arrive , take downstairs via concrete fire exit ( ! ! ! ! ) new room . one non - smoking , still date , cold , grotty . arrive late could not bother hassle go downstair dinner , order room service , vile . order pizza , definately greasy takeway end night style food oppose might expect supposedly decent hotel . top thing , morning discover shower not work properly either , use bath attachment instead . Overall - AWFUL , would never recommend stay . company totally mis - represent room website presume picture show upgrade ' city club ' room , however ' standard ' room like one stayed not show . be even cheap , £ 200 night expect far well . avoid HOTEL ! 
 Jan 31 2007 	 awful ... 	 awful hotel . check - in ask would like upgrade - annoy straight away . hotel look impressive outside really shabby tired inside - rip carpet , scuffed wall , etc . room basic £ 150-£200 night . late go food eat room . food price room service ludricously high quality food poor deliver … could do well . morning have ask alarm call 7:30 - wake 6:15 . water shower tepid towel heating rail never - talk keep cost ! disappointing experience . stay hotel . incidentally , ' m tell Hilton side bridge nice much well business result . 
 Jan 18 2007 	 Impressed 	 Stayed Tower Hotel New Years Eve , year lovely time . Husband stay one night fly honeymoon . unsure expect , read previous review good . we pay executive suite amazing view Tower Bridge . room spacious , clean modern . return night , find bottle champagne box choc room , courtesy hotel , celebrate start honeymoon , think lovely touch . check efficient slight complaint , queue breakfast .... wait approx . 10 - 15mins seated , worth breakfast delicious ! excellent location stunning view , would recommend . 
 Jan 14 2007 	 double room ! careful ! ` ` standard '' room = refurbish 	 read many review GuomanTower decide chance one night Saturday stay 13 - 01 - 07 staying room 1034 [ 10th floor ] pay reasonable GBP79 inc breakfast . booked & quot ; standard & quot ; & quot ; double & quot ; room direct hotel website . main problem : 1 ] double room leave 17:30pm saturday checkin ! 2 ] make clear website & quot ; standard & quot ; room & quot ; refurbish & quot ; may old style rather tatty representative website photo 's narrative spin . want modern contemporary style room . would stay hotel trip book need double room . would take double room ! nothing tell . also booking & quot ; cancellation & quot ; - barrel ! acceptable way - whatever number star hotel . along apology would expect offer refund straight away hotel fail delivery reserve , future free stay . many London hotel give apology often cheap insincere device give proper compensation guest . keep mind nearby Apex Grange City good hotel possible pay little good stay . twin room clean shower work well . check - in queue 10 - 15 min . check - out Sunday 11.15am bad - 15 - 20 min even worse shortly later . , free deliver breakfast room ! go breakfast room see famous lady breakfast ok actually . breakfast adequate staff restock - everything . apparently go breakfast 6.30am busy ! ! pint Becks beer hotel bar reasonable gbp3.5 seat Tower Bridge view full , sadly . whatever customer pay 4 star hotel deliver four star service facility : basic [ one star ! ] provide double room one specifically book confirm . reason , failure , hotel adequate compensate time write give hotel & quot ; Okay & quot ; rate even though , otherwise , bad think review . hotel invite stay write new review replace one . GBP79 inc breakfast accept room allocate arrival hotel good value . GBP100 look elsewhere . Miki xx 
