small 	 husband stay one night enough . know may sound harsh never disapointe hotel . boast family stay 4 * hotel admit return not much boast . room tiny , walk around sideways apart bathroom must say good point especially way water run tap must stress good point . dusty continue refurbishment happen . know many peopke take account work finished be go cause disruption fot guest . next pitfall parking , something specifically look suggest parking available guest not state long willing pay £ 40 night . last least breakfast , enter dining room wait 10 minute clear table subsequently clear , wait 10 minute clean plate forgot ask clean cup time take another 5 minute get . eventually sit breakfast not nice hear funny noise follow two guest unplug warming hub sound though blow . shortlly check . respond review website offer apology free upgrade clubroom next stay pay double standard room . personally think bit joke ! ! ! ! point find enter debit card detail online ask pay hotel get not take money online book top everything else little irritating ! ! ! ! ! 
 Jun 30 2006 	 Shafty Shaftesbury . 	 oh God ! ! far many terrible thing say hotel . many mention , list important one . must far bad hotel face earth . rank last list place stay whilst London . good thing stay hotel , location , around corner bayswater train station , close convenience shop short walk Hyde Park . big thing room bath towel plasma tv screen . ' m sure exactly start begin check - in . brother arrive late , little 11 pm Sunday night 11th June . busy late , yet , three staff man front desk inept , make we wait half hour take we room . reservation , luckily print confirmation letter ask . first impression good . personality , could even manage smile greet we offer apology lengthy delay . finally , young man ( long ago boy ) take bag we room 6th floor ( 7th floor lift would read ) . corridor narrow , struggle heavy bag take we forever manoeuver corridor room . arrive door , instruct brother place swipe card door open put light slot inside room . diaster nearly strike , fail mention step dark room . well , brother fall twisted ankle , luckily major damage . happy . even unhappy light go see tiny room . false advertising clearly mention spacious room . every time walk past brother bed get bathroom , kick leg tall , leg hang end . learn towards end 5 night stay would shift need get past . the bathroom also like shoebox , room anything personal . look nice new , practical way . first night , brother look whilst sit toilet painfully smash head basin . shower small could stretch arm fully ( see photo ) . water pressure miserable twice , endure cold shower hot water . during stay , London experience hot weather one day reach 32 degree . air conditioning room bake daytime sun . would cooler sit sauna . staff say air conditioning shut interfere lighting system . the corridor also never air condition worried case fire , would able escape . like maze , frightening emergency . our bedside lamp light globe , request . , twice , ask nearly ten time light globe would arrive . never do . to make matter bad sport mad person like , huge plasma screen time miserable reception world cup ! ! ! happy . ask someone come look . maintenance man say that s way be . when check , ask breakfast include package say , go next morning , tell free . next morning , tell free would pay . complain staff communicate properly no - one know anything run place , girl say could breakfast free . last time wer eat here . the breakfast room large & amp ; bright food suppose hot ie . egg , baked bean , bacon . heat little off - putting . one staff member particular bore nothing , try make look busy straighten plate , re - stacking yogurt tub fiddle around . make laugh . obviously young extremely inexperienced . back room , slide door slide properly prop little bit wood try keep straight ( see photo ) . build dust still certain part room although , , quite clean decor nice . unbelievably small , small even bedroom home . I book hotel base fact advertise recently fully refurbish open since April . not think could go wrong brand new place . falsely advertise fact fully refurbish fact still heavily renovate , noise renovation could heard room floor . obvious part hotel also workmen everywhere . hotel lack restaurant also advertise look forward use gym , yet , even equipment , tell ready use . come surprised stage ? probably would want use anyway would pass heat even exert yourself . the lift dodgy rattle roll . one occasion opt use stair lift lighting look little daunting . read another review man wife get stick , glad use often . the corridor mountain towel rubish bag litter ask clean something stage , promptly tell could speak english . to sum , favour dont stay ! ! ! will regret . service atrocious , really quite lot learn customer service satisfaction . really come across though not give * # ! tell would pay full amount checkout offer we 20 % discount . lucky , pay . not stay ........ please ! ! ! ! 
 Jun 28 2006 	 bad hotel ever - reviewer right 	 read review trip advisor usually . ' m angry stay can not believe not move another hotel busy working desk always crowd people . hotel never 3 1/2 4 star , twin room insult , size closet , rate unbelieveably bad literally must sit bed get desk bed touch wall head foot . cramp . first night , hot night London 50 year power go . could not even open window could walk room roof . phone line workmen yell 2:30 morning walk around try fix . second night , AC go internet . 3rd night elevator go walk 9th floor 7th floor walk black , power . one even warn desk . next morning , nearly keel fume paint paint thin can leave next room hour , night , AC . one night everything work ... except exercise room , electrical line brand new equipment plug wall , could not use . travel often rate insult . course , can not even contact complain ! staff not even nice always seem want tip . truly , none speak much English . horrible 
 Jun 27 2006 	 Terrible Hotel 	 Booked Expedia four star , concerned hotel website not phone number list actual photo property show already prepay two night stay thought would go ahead . find phone number old hotel name Inverness Court call assured construction finish . arrive check pleasant young man - arrive tiny room climb bed get side , wardrobe chest drawer ( see photo ) hence dress Birthday dinner Michelin Star Restuarant hang wall picture ! plan special weekend . way ask slightly large room , young man go assist shoot old woman tell we room pay double . spent night wake husband climb bathroom ( size closet ) - AC remote control either . feel like plan movement get around room like military plan , could not stand bedroom unless one bed . next day , friend check , give much large room AC . ask move see room move large room reveal single bed . call desk room argue double . send bellman check not lie . move third room . slightly large seem ok . return realize tv not work still AC ( remain depressed ) . meanwhile friend room bake day direct sun , move room curtain shower rail come hand . already complain manager morning front desk 45 min deep guest complain ready run . appalling - manager meet professional offer compensation staff helpful . ruin special stay we . room well decorate obviously new need another month finish room train staff . 
 Jun 27 2006 	 hotel bad 	 stay Shaftesbury , Hyde Park June 2006 one night . think get great deal book deluxe double room bed breakfast £ 68 instead usual £ 300 . reason hotel offer great reduction reason possibly bad hotel ( money ) stay London clearly build reputation such . here reason stay hotel , even get great deal:1 . check wait half hour see staff deal complain guests.2 . record booking3 . book wrong room two occasions4 . get stick lift 10 minute inept staff try get door open ( sign maintenance staff . give lift metre square temperature 30 ' pleasant . eventually manage get door open , staff pleased lift could use , obviously concern apology wife.5 . 8th floor hotel use stair ( see ) although get help bag porter ( eventually ) 6 . avoid mountain rubbish laundry corridor , apart look appeal fire hazard.7 . room less 3 metre 3 metre size ( deluxe double room remember ) bathroom door could open half way hit bed . 8 . although hot water water pressure low make bath shower almost redundant ( look nice though ) 9 . air - conditioning unreliable ' work10 . check take 45 - minute due complain guest . on positive note , cook breakfast good ( although stone cold ) breakfast area well decorate apart big water leak ceiling drop onto floor middle restaurant . only stay want enjoy laugh friend bad hotel experience , bind good story , shall din time come , thank ' shaftesbury ' . 
 Jun 24 2006 	 not go ! bad place ever stay . 	 first arrival poorly English speak Kazachstan girl ( personnel place come straight Kazachstan ! ) reception unashamedly tell could not stay hotel ( two couple , book two week advance , ok confirmation receive ) going bring sisterhotel . without ask say sisterhotel agree start call taxi bring we . make clear intention go anywhere else put front senior ( also poorly English speak ) russian look lady discussion out frustration part finally offer two double room book hotel . note : follow guest arrive get exactly treatment ! finally guide room unpolite Kazachstan monkey look male type ask we unusual question go , come eaxctly , etc .. russian KGB style . show we storage place call room shock . bed sit tightly sqeeze two wall could not even pass bed . crawl luggage get side tiny bathroom locate small window opening . storage space sit ventilation airco recirculating air cramp space . awful sitting let sleep ! count room get . complain reception storage space offer not give reaction whatsoever besides say hotel make . note : fool let believe image show hotelroom space accord standard . not ashamed put cramp storage space . the next thing get hear pay extra charge breakfast not include booking make . get angry ask credit card charge want additonal 20 british Pounds per couple . I detail book mention breakfast include . shear attempt let we pay extra one manner understand allin role speak guest . we stay two night : corridor hotel long , warm , smelly narrow . ventilation easiness find fire - escape ( far end long corrider ! ) . we also scary dangerous place stay , case something would happen . Kazachstan personnel come morning clean room sit laundry lie floor otherwise could pass go ! first evening come back hotelcard give we open roomdoor not work . sit ninth floor . want go back one two elevator break . when long wait remain elevator get reception receive new card . want go remane elevator also break . want go nine floor late evening sweaty hotel wait technician outside come repair elevator . 40 ( ! ! ) minute later many also wait guest able go againconclusion : newly recently open refurbish hotel nightmare place beyond imagiation belief place stay visit London . therefore understand e.g . British Tourist Organisation authority approve place offer low standard service time charge rate . an terrible awful place stay , low level service ever experience really place suit place like London ! 
 Jun 19 2006 	 bad hotel experience life 	 travel world 14 year business , never experience bad hotel this . having wait 45 minute queue people check ( hotel clearly see need extra staff ) , get plenty pre - warning encounter . Time people complain check room people already stay , tell room available due room electricity . renovation work obviously finish yet . sure enough finally get desk tell actually room reserve book hotel side London -- 45 minute cab ride away well . choose Shaftesbury location attend event Hyde Park , far ideal . question inform problem advance answer , leave choice , tell would taxi available ship hotel . almost one hour wait , reception staff completely ignore guest predicament , eventually force ask could look bag evening could return later move . later night , phone advance ask taxi time arrive , turn find book . another 45 minute wait , complain staff seem care problem , eventually driver turn even know go . wait reception , guest complain book wrong type room , guest leave room -- time staff insist problem ... complete shamble hotel ' m afraid . experience thoroughly ruin planned break wife would warn anyone consider stay avoid cost . stay away ! 
 Jun 18 2006 	 great room fitting nothing work ! 	 recently stay hotel , lot problem , mean lot ! room small room ever stay , though beautifully outfit spotlessly clean . know trouble booking , assign 6xx series room locate 7th floor ( instead 6th floor , norm ) .4 5 night stay hot water morning . 2 morning lift work , 1 day lift internal light . one morning electricity , air conditioning work 1 day . miss couple call hotel , computer down . it important note hotel undergo alot renovation moment , sure cause grief . staff okay , overly friendly helpful guess bombard day complaint . the hotel locate close Bayswater Tube ( Circle / District Lines ) , within 5 minute walk Queensway Tube ( central line ) within 20 - 30 minute walk Paddington station ( Heathrow Express ) .if look hotel area would suggest Elizabeth London Hotel . nicely fit , every work ! 
 Jun 18 2006 	 recently refurbish still refurbish ! 	 transfer hotel due book mix book Paddington Park hotel . nightmare find staff tell we number & quot ; one nine & quot ; make sound like 129 's actually 1 - 9 eventually get walk length Inverness Terrace ! outside look beautiful really pleased , feel last long , never return ! queue check around 20 minute spend another 20 check whilst overhear guest move another hotel due room hot water air conditioning ! reception staff seem organise know earth go . 5 cram behind tiny desk still seem take 4 serve 1 guest time ! breathe sigh relief find move ( would late concert go Hyde Park taxi seem take 20 minute arrive ! ) reception staff know room empty occupy computer give accurate information time find room send porter check free ! girl check we go 5 room find one could ! point husband do ' Fawlty tower ' ' carry Abroad ' joke laugh tell room - 702 - 8th floor ! ! oh , 3rd floor reception ( level road outside , save step ) 2nd floor accord lift , 1 working ! take find room load little corridor direction ! room ( find 1 key card work ! ) pleasantly surprise actually really quite nice comfortable bed , lovely bathroom large plasma tv . however , air conditioning full blast take we figure control instruction kind room ! guess reception 0 phone call ask someone breakfast ask extrememly poor picture bbc1 - studio shout distance ! someone come could not anything attepted watch World Cup later evening make guess goal scorer fuzzy diagonal line travel across screen ! next morning pack thing head room breakfast . press arrow button lift waitie , wait , wait ! get fed press arrow well door open find lift waiting time ! point trip something , discover plastic plaque lie floor tell way room number ! agree not day ! leave 25 minute breakfast check get restaurant queue around 7 people , first wait 10 minute already seat ! decide would never get seat , serve eat time leave check out . the final straw came check tell phone call mobile phone make room - have ever call reception ! far people suffer total shamble hotel weekend . fact , not think see happy guest many make complaint sort thing . shall copy review letter ask compensation way 4 star standard hotel . certainly long way yet . review say ' refurbish April ' perhaps mean April 2007 ! would wait expect decent standard hotel 
 May 27 2006 	 Faulty tower 	 choose stay hotel due late notice visit usual hotel fully book . line hotel sound nice comment newly refurbish ! book room describe Double Deluxe . say glad . room tiny wardrobe fact anywhere hang clothe . remote tv , Iron hairdryer . get item hour rang reception . ask another room wardrobe eventually receptionist ask meet reception could show two room . idea get either room lead describe building site central stair case . well option lift one two light wire hang mean dark inside quite spooky . room number bit paper first two room not wardrobe either , second , however , rail inside room still complete . decide stay ! radiator something leak one side bed carpet soak . fridge plug take instruction inside ( still packaging ) . hot water tv signal poor . the next morning reception area full people complain . reception staff foreign unhelpful ( could feed complaint ) . not seem prepared ready open . restaurant open evening breakfast consist stale bread , fruit cheese ! second night hot water water pressure low . the decor quality bathroom actually good . need review advertising room get something hang clothe . also need get lift sorted take booking still workman finish refurbishment . all would surprised anyone stay week would return ! 
 may 24 2006 	 bad hotel ' ve experience date . 	 pick hotel basis describe boutique hotel recently reburbishe April 2006 . 4 star hotel also boast wifi internet access , restaurant plasma tv . reality hotel still renovate . restuarant ( 24 May 2006 ) , wifi internet access , air conditioning , tv reception terrible ( remote room ) room tiny wardrobe . hotel landing hallways still build site ( see photo ) room full building dust . finish renovation work low quality rather half hearted ( e.g . room window close fully ) . issue raise hotel manager approach & quot ; could not anything & quot ; . opinion hotel accept book present worthy 4 star rating . 
 Feb 21 2006 	 stay risk . warn . 	 Inverness Court Hotel excellent location . quaint welcome outside reach front desk . Front desk staff rude mother . first word mouth put bag back leave come back later room right . arrive noon . take back unwelcome wanted cry come home long trip . come back later ( 4 hour later ) still room attitude like fault . eventually get room argue front desk clerk . room small enough room turn fart . room smell like sewerage look like shower head come wall water actually spill floor normal . breakfast decent eat buffet lot coffee roll doughnut . kitchen staff actually nice . favor do not stay . stay twice 2 different occasion think second time would different . well . be not . smelly room unfriendly staff expect tip ... generous tipper even though disappointed Inverness Court Hotel ...... Peace ....... Jeffrey 
 Oct 10 2005 	 Dirt ghost 	 daughter travel London twice year . want cheap , clean , friendly hotel stay . breakfast include least continental cereal . two extra thing check decent tv ( need rest evening ) coffee / waterboiler room . ( thought . ) place none above . we actually stay cheap hotel far well point . shower dirty clean venture ugly bathtub cringe hot spray . two option : hot freezing . tv sound whisper scream . not matter anyway , since channel ... well ... watchable . the bed ? * shudder * well sleep floor . cold night . lucky window could not secure partly open position , eh ? impressive furniture room reception dirty gag , unaware , sit down . the brochure contain mislead information . on positive side ? old room investigate . daughter believe haunt , claim ' feel ' energy . creepy fun . the location great ; bayswater , near tube station bus . I would recommend hotel anyone . 
 Oct 2 2005 	 stay help 	 travel agent book us Inverness Court hotel european honeymoon . need dollar go far could illusion little would get we London . also know complaint hotel Trip Advisor review figure could deal . know would small include breakfast would nothing get excite . say , would gladly pay extra $ 50 night experience place . room tenth floor dirty grungy , stain wallpaper peel wall . one elevator function ( still ! ) end take stair time avoid long wait elevator , could hold 4 people comfortably ( elevator get 9th floor ; walk flight stair 10th ) . room freeze night well request get heat turn not get result . would fine room least provide good night 's sleep . bed like plywood spring attach bearable lay comforter blanket fit sheet . night street quiet , weekend , middle eastern club live music wail hour . oh , one night fire alarm go times middle night . bottom line : $ 120 night will not get much London , shop around stay . yes , location near bayswater tube station great ( serve Circle line run around London ; Queensway station even close another line close next year ) , would never dream stay dumpy place . think even well place block , look maybe . could wrong though ; place pretty full visitor Continent US . know get pay . 
 Jul 2 2005 	 Inverness Court Adventure 	 Inverness Court Hotel , say ? interesting site good location , hotel ... ? build King Edward Lilly Langtree lavish wood carving , beautiful outdoor stonework , stain glass window royalty stop creaky elevator . room parcel small possible scale . like staying closet . bed comfortable though linen seem clean . bathroom amazingly small accomplished gymnast contortionist take shower without turn floor duck pond . general decor neo - classical dinge . though summer , convince heat turn . hall hot public toilet near dining room sauna . totally unusable . dining room good sit next open window . help friendly clueless . girl reception lose incoming phone call . Harry , assistant manager Cyprus nice person give we good tip . also nice hard candy desk . breakfast continental . juice passable . roll ok . croissant run gamut microwave inedibility pretty good . add - ons semi - english breakfast also pretty good . bacon egg sausage egg 2.50 additional . breakfast like keep we go til afternoon . second night eat dinner hotel tired go Queensway . two many table set dinner . rouse spanish waiter ( cook ? ) evening newspaper convince want dinner . even could not believe someone actually want eat ! wife roast beef roast lamb . plate lamb look exactly like wife 's plate beef taste suspiciously though waiter swear lamb . food good come ! course room insufferably hot . the location good , 5 minute walk bayswater tube station . ( beware long line begin off - peak time station . ) Queensway , 3 minute walk hotel mediocre restaurant per square inch place ' ve see . eat bad chinese restaurant ( recommend hotel people ) first night not get adventurous . one morning beef continental breakfast egg McMuffin , cheap alternative in - house add - ons . my overall impression hotel : able put London cool place sleep . 's resort hotel , crash pad trapping Fawlty Towers . John Cleese miss ! interesting hotel price probably difficult find abandon hopes comfort door . May Force ! 
 Jun 28 2005 	 not stay long need ! 	 room 8th floor , one night recently , thank goodness one night . room tiny , bathroom enter sideways . bathroom - fact entire hotel - need thorough cleaning modernisation . room adequate , shatter , fact two twin bed bearable ; certainly not plan romantic weekend one . tv tiny antiquated three - obviously terrestrial - channel . lift feel cramp unsafe , garderobe ( luggage room ) mind asleep off - duty barman , cockroach meet we come room . on plus side , check sociable 12 noon , late check out available price . breakfast - continental - provide price acceptable location £ 60 night , although not get can not comment food ! hotel 's location another positive point , bayswater tube station Kensington Gardens 's handy exploring . we rather shock discover hotel many tour itinerie spanish speaking country ; would certainly want stay hotel 's Spanish latin american equivalent . 
 May 28 2005 	 great staff - great location - poor quality room 	 choose Inverness Court mainly location price . staff helpful day age excuse poorly decorate , cramp uncomfortable accomodation . room two level small staircase . the shower room toilet low floor tiny , narrow adequate . forget toiletarie hair dryer - basic . bed uncomfortable tv work properly . there damp patch wall hygiene level passable . breakfast dreadful . plus side location excellent staff pleasant opinion close completely refurbish . typical old hotel find around bayswater , Paddington Kings Cross . little find internationally acceptable standard modern property . stay hotel again . overall sub standard property . 
 May 8 2005 	 ' m glad 	 ' m glad ! return May 7.the location wonderful . staff friendly . room small comfortable clean . roll delicious . I ' m glad ! 
 Apr 4 2005 	 1950 Youth Hostel victorian lobby 	 attract previous stay London victorian look premise , plus good location close Queensway Underground station Hyde Park . sure reception room staircase worth visit . old house haunt ( ? ) great need care work . alas 120 + room take place adjacent building ( fifty ? ) struggle shower , separate cold hot water ... hairdryer . tea/ coffee facility . general sadness there . even french citizen use small room US , Inverness Court truly undersized , door , tv set etc . and almost ok breakfast room glass small . drinking & quot ; fruit & quot ; ( ? ) juice , ridiculously small , think . happily small tasting , sure ! even no - star hotel continental Europe , & quot ; continental breakfast & quot ; well every point view . and english breakfast would expensive , dangerous . nobody try , anyway ! phone call also far cheap . all , bad obsolete 1950 youth Hostel . 
 Mar 5 2005 	 Get Value 	 return March 3 . hesitant go hotel read negative review give chance change hotel . glad change hotel . location great . close two different subway line -- important one closed day arrive roll carryon luggage . subway Heathrow $ 7.50 US take hour . suggest get all - zone pass like use day ( $ 11US ) . staff kind store luggage bar allow we register , wait 2:00 get room . train pass trouble check 7:00pm 8th floor . yes , one elevator work , rarely use room next wide staircase handcarved carpet . staff give we anything request . room big enough full - size bathroom . Hotwater hard come . charge camera hall two day ask outlet . move bed get . tea / coffee pot room ( state website ) . hear man ask frontdesk hairdyer get one deposit fee . breakfast fine . roll delicious . pay $ 50u per room per night package deal . expect ? 
 Mar 5 2005 	 Liked 	 stay hotel first trip London . find old charming . sure room small , bathroom small , room London small side . nice view window 6th floor . lobby cool , staff eastern Europeans . breakfast could better not awful either . feel adapt fine ' m go , love London hotel go different wherever go . location superb , agree reviewer Indiana mention pizza place . eaten many time since six trip London . nice hotel , though reason long use Virgin Atlantic vacation . stay five year ago , thing may changed worse . 
 Feb 21 2005 	 would stay . 	 read review site worried would find friend & amp ; arrive Feb. 6 6 night stay . pleasantly surprised . staff friendly extremely helpful . ( amazing good manner get return ) . yes room small , size room mother share four month early hotel outside London much expensive one . location excellant . one block tube , bus . day arrive could not check 3 pm leave bag bar , walk across Kensington Park see palace . food continental breaskfast basic - roll , juice , coffee tea , enough get start . eat dinner one night ok . meal eat next street , american fast food , 2 pub , italian , chinese , vietnamese , indian moroccan food . several grocery shop , pharmacy even mall movie theater . hotel old , beautiful , full history . friend enjoy stay would love go back London stay Inverness Court Hotel . 
 Feb 20 2005 	 great hotel price pay 	 reading review website , girlfriend horrify already pay stay . when arrive , pleasently surprised hotel . previous review agree beauty building . live room bar cosy , close look notice lack care . the hotel staff always friendly luck 3rd floor , not need use elevator , need climb stair . the hallway room floor narrow , room small bathroom tiny . perfectly clean . the breakfast simple . tea , coffee orange juice croissant bread . in conclusion , great hotel price pay perfect day city . 
 Feb 18 2005 	 bad say ...... 	 little freightened review would read , pleasantly surprised find clean room bathroom charm little old hotel . certainly room large would expect find state , acceptable . bathroom another matter .... tiny , large person would find totally unusable , simply find funny . could sit toliet leg sink . plenty hot water room well heated , point leave window open stay . bed little lumpy , bad uncomfortable . see mold bathroom , cockroach , mouse vermin stay . the lobby area beautiful seem dingy dirty . old find quite interesting . put Christmas tree ( late November 2004 ) lovely see light beautiful front window night . the staff either friendly cold , never really rude , although one staff encounter english speak heavy , hard understand accent . odd make turn room key everytime leave . one work elevator mention , always seem stop one floor although one rung .... maybe hotel bit haunt ? location could not beat , door Hyde Park Kensington Palace / Gardens . around corner Queensway tube station . feel safe walking around area , even come back late night seem quite people still street . around corner good pizza joint , seem chain London like eat pizza back state , good know be travel teenager young child . pay ( part package work $ 20 US night ) could ask ? besides , not spend much time hotel room anyway , much see London . 
 Feb 5 2005 	 dirty 	 husband check 29/10/04 , outside indicater lie inside . receptionist polite register request iron , lead cut 6 place ( picture ) prceede room 10th floor ( elevater go 9th take stair 10th ) room discribe store cupboard . filthy dirty , bedspread wall carpet . curtain fall window , wooden window sill rotton , tv work , shower dribble water . late check need get show London complain . never sleep wink , room beside elevator control . breakfast disgrace , ( tea / coffee stale roll ) also liquid resemble orange juice like orange cordial . I complain morning ask move tell room available , although receptionist rooming list allocate room day , point still refuse change room another receptionist hear commotion . girl say packed bag bring reception would another room ready return evening . well , return give key room 601 , slightly clean last room understand tiny room allocate . my overall opinion never return hotel . 
 Jan 25 2005 	 pleasantly surprised 	 reading review day trip , let us say arrive great deal trepidation . wonderful surprise await we ! arrive early a.m. US put luggage everyone else bar / theater area . monitor lock one feel perfectly safe leave thing . staff Ukraine , Russia , Poland , Spain country . personable smile . perhaps guest use smile pleasant tone have treat way ? enjoy talk everyone go overboard see happy . fact , discover second night tv not work properly , Julian , delightful young man , pack move we another room ! bed certainly long enough 6 ' 2 & quot ; 250 lb . husband ( twin ) find comfortable ( back problem bed good ) . Floor creak , not hear neighbor . bathroom small small hundred other Europe . elevator work ( stop 6th floor trip - theory : Lily Langtree want folk go original house ) . room full work outlet exceptionally clean . , would recommend friend would certainly stay . else , beautiful historical , centrally locate , quiet , friendly , clean . stay five night happy . travel lot meeting planner look hotel time . feel we get back project - lighten people stop spoil Americans . will enjoy travel Europe much . 
 Jan 13 2005 	 Inverness Court need Renovation 	 O.K . - read review still decide take chance hotel . mortify even rank three star . opinion one star hotel . admit must quite place many year ago place get redo especially bathroom . yes - exterior building dark wood interior lobby lounge bad . breakfast room must redone recently look totally update . evidence disrepair floor everywheremy room - room closet ( broom closet size swear ) put luggage . bed ( twin room enough space leave walk back forth ) . double room much big . remote tv operate switch part head board - 4 channel offer mean would get change channel , volume , etc . bathroom - separation shower , sink toilet - take shower water run across covered floor completely - insane . bathroom smallest ever see anywhere world . travel lot stay number 3 star hotel , unbelievable . front desk staff , try well bad information receive would depend speak . hotel information directory room . notice inside door read - depress button lock extra security feature accessible . every time would pass front desk dispute guest staff staff obviously frustrated . ever good situation hospitality industry . unfortunately Inverness Court , guest comfort important need really really improve . opinion happen major renovation . would great place . 
 Dec 9 2004 	 beautiful old Hotel 	 girlfriend spend four fantastic day Inverness Court Hotel . go visit site read review hotel . needless say little skeptic read bad review , pleasantly surprised . hotel near Bayswater underground station right next Hide Park . outside tall , slim sweet look hotel . go , first thing meet lobby . must admit breath take . beautiful . old wooden furniture red leather , red carpet , green wall . , atmospheric . staff kind helpful always ready answer question smile . little early , room ' ready , problem leave luggage bar go sightseeing . lobby lounge , bar main staircase breathtakingly beautiful . ' ve never see anything like , ' ve stay many hotel , perfect . room small , fine we . mean small bathroom double bed , closet small tv need . sign ever neither rat roach , ' know people get . room clean nice . hot cold water , although hot water like lukewarm evening . two elevator . one order use almost time . ' really problem cause take stair , witch say beautiful almost joy use . breakfast , nice . nice buffet coffee , , juice , water , butter , croissant , bun , marmalade . one day egg , sausage bacon , good ask could get tomato waiter nice get we even though ' part meal . I ' understand bad review not let self get intimidate . say pleased stay would recommend friend ' think twice stay . 
 Dec 8 2004 	 trust ... stay Inverness ! ! ! 	 honestly , could give Inverness Court low rating & quot ; terrible & quot ; review would ! first front desk staff EXTREMELY rude , arrogant minute walk . top greeting whatsoever . plus personally insult face first day ! lobby incredibly tacky unkept . actually restore take care wall , carpet , furniture , lobby would gorgeous victorian treasure . instead look like shabby rusty abandon ghost house . hall hotel extremely narrow reeck manure . 2 lift ( elevator ) one order entire stay one work go theway & quot ; & quot ; first ... even go . plus , take forever open close get destination . walk bathroom sideways sit toilet sink lap . WAY anything bathroom like get ready unless do not mind stand tub ( lucky enough one ... else get stand shower ) sit toilet . STANDING SPACE bathroom ! ! ! ! ! every female 's nightmare . hear everything part hotel wall . put room ( beware : Room 506 ) could not big 7 ft x 9 ft 2 small - then - twin bed bathroom ! ABSOLUTELY walk space within entire room , space luggage . one bed extremely sharp bed spring sticking . access outlet ! ! ! someone thing charge ( i.e . camara , computer , mobile phone , etc . ) create huge problem . went ask room available , yelled fully book , nothing could , want comment . wait moment manager , utter HORRIBLE English accent , & quot ; ugggh ... Americans ... head - th - ache . & quot ; instead scream keep cool complain everything manager private . order put we another room ( room # 615 ) exactly like room 506 , except sort desk ( use put luggage ) . power outlet hidden corner behind desk not work entire stay ! not mind size room , hall , general place extreme dump ! service overall absolutely horrible consider not even speak fluent English ! would not recommend place bad enemy ! ! ! ' ve stay place charge hour , not get bad ( i.e . motel 8 , Thunderbird Motel ) , far ... Inverness make place look feel like Ritz Carlton ! ! ! like treat like garbage stay pig barn stay ... expect least standard money advise pay extra pound stay somewhere else ! swear ! ! ! 
 Dec 8 2004 	 stay somewhere else ! 	 decide take advantage great deal though travel agent make way London Nov 27 - dec 2nd . expect room let us say ' compact . ' when arrive , take luggage put bar along people arrive early . repeatedly ask room , finally room available . staff unaware hotel apparently function . EXTREAMLY RUDE guest , include , stay . make way room , lift not exactly work , per say . push button get elevator go get elevator , like pick number hat figure floor would let . get room , room , size small american bathroom . two twin bed room , mattresse 3 inch thin , SHARP spring stick body lie . mention fact ' 5 ' 10 half leg foot hang little bed . middle mattress FLAT pillow room 7 feather . room put suitcase ; pile top desk . our first room outlet , way charge video camera among thing need charge . change room , need outlet . move we , move we another room one outlet work . would nothing accommodate lack power . would take stair another floor , outlet floor not work , sit hallway charge thing need charge . employee hotel see hallway offer ' look ' lack power room , yet actually nothing . the bathroom horrible ! sink block door , turn sideways exhale get ( ' fat person ) . nowhere put anything bathroom . sit toilet , sink lap ( LIERALLY ) . take shower , leave bathroom try find space room dry . closet , nothing fit ! door probably 8 inch wide . way put two suitcase . wall half inch thick could hear everything , conversation every language people use bathroom WHOLE FLOOR ! must make cardboard . hotel nice , yet old . need desperate restoration . be worn . ' main staircase ' adorn wonderful woodwork fresco , yet not say much room . breakfast good . croissant juice . bad . all , be look hotel ' decent ' accommodation place , unfortunately not . not review hotel horrible nice staircase . almost give hotel character . 
 Dec 2 2004 	 Miserable accomodation 	 return seven - night stay ( November 2004 ) Inverness Court , must give warn traveler consider stay . stay many comfortable London budget hotel , budget hotel horrific . tiny room , partition paper - thin wall , noisy change room twice , get away loud elevator get away street noise . turn bathroom light , roach scurry across floor . consequently , return trip , leave luggage outside yard open allow roach may crawl escape . the lobby shabby tacky beyond belief . underneath lobby 's brutally bright chandelier cheap , tacky plastic plant ever see . dust cover & quot ; plant . & quot ; fabric chair wear dirty , & quot ; theatre & quot ; bar next door drab sterile - no atmosphere whatsoever . miserable management imagination . take money ; be . 
 Dec 2 2004 	 Scam - go Inverness Court ! 	 Inverness Court beautiful old building gracious lobby ornate bar , go . staff unbelieveably rude . hair dryer available , even though website claim , would reimburse go buy one . staff know much bus cost , get airport , basic information . incredibly rude - sit smoking front desk people carry bag . elevator break . window room would open . water shower boil hot cold water would come . , far , bad part bed . like cot WWI . bed pad could feel sharp coil coming sleep . , bed pillow reek urine . ' understand twin bed room smell like urine , stentch strong unbearable . hotel well locate - 's . get feel manager charge - bunch 18 year old Eastern Europeans run scam . careful . 
