excellent 	 actually purchase room priceline sure expect price quite reasonable . arrive hotel pleasantly suprise . lovely hotel extremely helpful front desk staff . beautiful public space room comfortable free minibar wonderful hot shower . location perfect well heart Mayfair . Hotel highly recommend . 
 beyond expectation - perfect location amazing service . 	 fabulous place stay adult traveler family . stay 2 kid ( 8 6 ) - child 's concierge amazing ... bring movie , Wii , Monopoly , kid ' map , ... - give kid plenty activity content long day sightseeing . perfect location - across park , quick walk Buckingham Palace walk distance ( 10 min ) Westminster Abbey , Big Ben , London Eye , short walk tube station . staff attentive accommodate every request . would absolutely recommend hotel stay . hide gem ! 
 Fabulous Hotel 	 truly fabulous hotel , book hotel laterooms.com romantic break partner . arrive hotel staff polite friendly ( yes doorman ! : ) tell upgrade apartment nice bath , huge bed , living room kitchen . bed comfy partner trouble get morning . the nice late check mean could relax use sauna spa room well equip gymAs fleeting visit not time use bar restaurant look fabulous . I would recommend hotel without hesitation . centrally locate two min walk Greens park tube station hop skip Buckingham palace . see show evening 10 minute walk theatreland West End 2 tube stops.fabulous fabulous fabulous ! stay Athenaeum hotel want glorious time London . Georgina Hurcombe Documentary Producer 
 Mar 21 2008 	 Great Hotel Great Location 	 Great Hotel room 916 inside build quiet , traffic noise . Breakfast beautifully do perfectly cook although pricey £ 27 -- yes , worth ! dinner good reasonably price £ 21 2 course - great value small intimate restaurant . Booked Hotel www.cheaperthanhotels.co.uk , site seem good value hotel good price -- unlike claim so . good service welcome small hotel -- refurbish soon room still good standard . 
 Feb 29 2008 	 Poor Service - Phone Charges 	 stay four day business trip - end low note surprising phone charge . before place call U.S. hotel , call hotel operator tell use 1 - 800 card would charge ? reply back 1.75 pound per call connection mention charge per minute ( actuality 2 pound per connection since recently do kind in - house upgrade ) . later night check in - room tv bill available . recording make mention charge per minute . check , recieve shocking bill 500 pound less 100 minute call . on - site manager even argue problem past ( yet nothing do correct problem ) . day fight charge since catch flight , able get 40 % bill take still reflect 3 pound per minute . many hotel pay 1 - 2 penny per minute would give 150x profit 2 penny per minute & quot ; operate overhead . & quot ; give notice satisfied would take later . multiple letter , hotel refuse change stance . say & quot ; buyer beware . & quot ; base calculation ( 27 pound five minute call New York ) , Athenaeum would top list shame charge London hotel outgoing call . article find : travel.timesonline.co.uk/tol/life_and_style/travel/essentials/article1839906.ece 
 Feb 15 2008 	 love 	 husband 2 small child stay love ! ! excellent way enjoy London Apartment live hotel amenity . service outstanding would recommend hotel family . husband plus kid travel London several occassion find hotel well . 
 Feb 12 2008 	 need incentive start jog ...... 	 wonderful stay hotel . beautiful park view rare glimpse warm sunshine make trip outstanding . staff friendly helpful , especially doorman amongst good london . jogger , be treat ! Towels water considerately place hotel exit make run bit special ! almost make want start exercise . good bedroom although never work cd player work . beautiful decor . phobia lift always find wander around hotel stair odd hours- often miserable experience regular reader review know . hotel get 5 * - even fire exit beautiful well keep ! can not wait return . 
 Jan 28 2008 	 great location 	 Good Location close lovely restaurant Mayfair . book standard room Lastminute.com upgrade lovely room overlook Green Park . doorman delightful lady reception could learn friendly warm disposition . not use restaurant look bright seem popular . whiskey bar nice pricey ; not bother breakfast lot coffee place close . bus stop directly outside always lot taxis location . pleasant hotel , not blow away sort cost would stay . bed comfortable great pillow important . 
 Jan 25 2008 	 Perfect London Standards 	 real nice little hotel ( London standard ) . obviously room smallish size , be par course not mark that . reception check flawless . room pricey , book night ( be problem ) , expect get reasonable rate ( pay £ 300 1 night ) room clean , everything work . really comfortable . complaint bathroom either , great shower . bed comfy . staff great , manage get late checkout , problem all . location nice , posh . 
 Jan 24 2008 	 Average - 5 star experience 	 book weekend break & amp ; husband lastminute.com . originally choose possible hotel book directly website . however , read description top secret deal last minute , blatantly obvious Athenaeum . considerable difference price reason book last minute.com hotel direct . phone hotel day prior arrival confirm fact book . enquire whether room face Green Park . tell room available charge £ 50 per night . decline take chance ! room overlook side street ( St ) much view . say generally not comment site felt read previous review , upgrade seem dished somewhat haphazard manner . seem luck draw day shout loudest . room standard double , ok pay guess , long way go 5 star . double bed 2 single mattress push together , disappointing . room pleasant clean , bathroom also clean . Toiletries Neutrogena , 5 star product . room clean every day great . accept offer complimetary newspaper not receive first day . would normally someone would voice opinion product service not standard , however , book last minute price low hotel charge , feel would not within right . location wise , hotel central delight . not eat hotel could not comment . drink hotel bar one evening , pricey pleasant . staff courteous area check find lady quite curt . would not stay standard room . feel maybe would vastly different experience pay odd book hotel . 
 Jan 20 2008 	 excellent value central London Friendly hotel 	 stay one night weekend impress friendly staff , great room excellent location . would recommend hotel anyone look 4/5 * central London want pay silly money . book lastminute.com get standard double £ 145 , assign executive double arrival slightly big . bed comfortable nice linen bathroom small classy . spa small clean nice bar cosy . eat hotel can not comment food . handy Green Park tube ( & amp ; food store not want pay mini bar price ) .I definitely stay available price . 
 Jan 14 2008 	 great value love ! 	 stay two night girlfriend January PERFECT ! staff fantastic : friendly helpful . book lastminute.com part Top Secret Hotels deal ( bit detective work figure one Athenaeum Googling part description ) . £ 145 per night normal class room - spacious room , big comfortable bed , nice seating area view park , large bathroom tub great shower . everything right , quality toiletry super soft robe big Bose television . great 24 hour bar / lounge , perfect midnight snack night town . location fantastic , 10 minute walk Leicester Square , 5 minute Green Park tube . get good deal online hotel pelase stay , will love ! absolutely five star experience . if going see concert O2 Arena ( Millenium Dome ) may look like hotel far away , really 25 minute Jubilee Line O2 Green Park , consider hotel ! 
 Dec 31 2007 	 Post Christmas treat ath Athenaeum 	 excited find deal Athenaeum hotel ' ve try get couple year . 's location spot opposite Hyde park.1 . check - in rather surprisingly private hotel check- do usual queue way serve pleasant young lady unfortunately answer phone time usually find rather annyoye distract huge jar jelly baby take mind ! 2 . give complimentary upgrade room 7th floor outstanding view park also husband 's birthday free bottle wine General Manager . staff extremely gracious.3 . Decor pleasant light airy two comfortable chair window thoughtful additon ablel relax instantly drink wine watch sun go down.4 . concierge service reliable helpful , couple niggle hotel . offer complimentary newspaper deliver room - however give one take home we oversight notice . milk tea coffee room either go retreive luggage weary morning around King Tuk exhibition mixup long delay find mean huge rush get across London train . overall enjoy hotel would stay price right - would not pay rack rate . usually stay aat Langham London , get executive room still prefer , make nice change . 
 Nov 18 2007 	 real find ! 	 stay 1 night past weekend . manage get fantastic rate kindly upgrade we Apartment . nicely decorate traditional english style . large clean . plasma tv living room tv bedroom . staff super friendly kind . place really well do . seem refurb recently . ideally locate may read . next time hope room view stay hotel bit . trully 5 star hotel terrific staff . wife really enjoy stay . get good rate , would highly recommend hotel . book Lastminute . 
 Nov 17 2007 	 Athenaeum Awesome ! 	 wife spend week athanaeum , could not enjoy . greet smile Bill , quintessential british doorman , welcome we though return regular , though first stay ... room splendid , feature spectacular view Green Park 's fall foliage ... concierge get us ticket sell - out & quot ; Buddy Holly , Musical & quot ; West end ... Athenaeum centrally - locate , short walk Piccadilly Circus , Hyde Park , Buckingham Palace ... hotel restaurant , Damask , rate four star ... offer sumptuous breakfast buffet , great menu dinner ... hotel staff friendly gracious , work hard ensure perfect stay . can not wait return London another week Athenaeum ! 
 Nov 15 2007 	 Awesome hotel good staff . 	 good friend recently stay @ hotel 10 day good experience ever . staff especially Alfred Dan helpful friendly . room service available hour day find late nite 3 . party central r uptight stay become hum drum boring , great thing want four five star space without attitude . 3 min walk across park gate Buckingham Palace , Hermes , burberry stella etc 5 min away .We stay couple trendy boutique hotel one well far ; definately b stay hopefully get apt next visit . btw room 704 amazing view overlook park . 
 Oct 30 2007 	 wow gem ! 	 second time life book hotel Priceline bidding ( bid 5 * hotel - central London ) , happy , get good hotel ever stay London ! arrive rather late Friday evening greet friendly helpful staff room give meet wish ( smoking room double bed ) instead give nice roomy apartment - entire stay . simply wonderful ! dinner hotel restaurant arrive late - pleasant surprise excellent meal fairly price - two course £ 20 ( breakfast buffet ) .We want 5 star hotel middle London exactly get . mother girl trip London want near great shopping London offer , pleased location hotel . situate within walking distance Oxford street , Bond Street ( new old ) , Regent street Knightsbridge Harvey Nichols Harrods Sloan street . course get great deal Priceline , would definitively willing pay full price next time go London ! 
 Oct 28 2007 	 comfortable apartment hotel amenietie 	 book one bedroom apartment , classic interior . price quite high compare apartment receive equivelant 5 star hotel service . the bedroom comfortable , look onto quiet street , could open window , plus . the bathroom quite small , fine . the lounge comfortable dining alchove small kitchenette . soft drink complimentary make feel welcome . be part hotel able use hotel facility dining room lounge . large lounge great meeting service good . the location excellent central London , enjoy walk nowhere far . we would probably stay . 
 Oct 22 2007 	 nice place 	 friendly staff , great location right park , clean , comfortable room . bathroom efficient , great shower , bit small . Decor bit traditional tatste though . 
 oct 22 2007 	 fantastic experience 	 London , remember city overprice dingy hotel ridiculous pricelevel . travel quite bit easily impressed ( chock matter ) new hotel experience . say : Athenaeum . amazing stay . one ( weekend- ) night . London well , sunny warm October , perfect going would say . well , want leave room , spend afternoon , evening , night morning check room . anyone complain design hotel obvious refurbishment second look . lobby spectacular design detail . meet extremely efficient super friendly check staff . person walk room one apartment part hotel . mine second third building 4th flloor ( 8 apartment house assume ) . house restore incredible eye detail . spectacular finish , modern edgy design everywhere . love ! apartment breathtaking . Decorated would describe New York type atmosphere . Dark , glamorous incredibly comfortable . high beautiful ceiling . love hotel think every detail . well one . anything would / could think anticipate . apartment livingroom , open pantry , hallway , bedroom nice basic bathroom . amenity want . & amp ; deli foodmarket around corner ( talk gourmet food ) , heaven drink champagne eat lobster hang apartment . Athenaeum give new meaning word romance ! romantic stay hotel age . need London nightlife , theatre , culture ... , well don't . roomservice breakfast fantastic dot time not love extra charge . service charge , delivery charge nothing . always anoye extra 's . spend $ 800 room really not care pay $ 20 burger not break price charge , taxis fee show detail hungry enjoy food / drink bring room . guest do not care ! ! 24 pound per person breakfast think absolute value money . fantastic apartment see part hotel can not comment . 's location beautiful convenient . back hotel . 
 Oct 15 2007 	 excellent hotel 	 book part theatre break last minute . upgrade suite , ( promise last minute -subjest availability ) .The suite sumptious - red wall paper bedroom , ' antique ' furnitire large bathroom floor wall cover marble . the room overlook Green Park glad read previous review . . .Breakfast include deal £ 20 head expensive , however , breakfast excellent good selection fruit thing one would normally associate breakfast . . . ( creme brulee example ! ) full English . the tv look bit date not think wi fi facility may wrong that . the hotel ideally locate theatre land , stroll Picadilly Picadilly Circus thetre land . 
 Sep 24 2007 	 Falls well short 5star standard 	 book standard double Athenaeum , London Lastminute.com & quot ; Top Secret & quot ; deal . 10th book Lastminute top secret deal first time disappoint , boy hotel disappoint . 5star Hotel fall well short mark ; ' rate run 3star good . ' experience quote & quot ; excellent service & quot ; , & quot ; luxury surrounding & quot ; , etc . room run poorly equip . service unhelpful frosty . on arrival greet allocate room 312 . standard double ; room & quot ; timeless view Green Park & quot ; rather depressing view side street convenience store . room extremely small include small bed old , lumpy hard , hotel web site quote hypnois bed ! furniture far & quot ; quintessentially English , distinctly modern richness & quot ; old worn ; ' even pass & quot ; rustic & quot ; . bathroom although marble mirror tiny well , receptionist show around wait outside room we fit . never stay 5star hotel bathroom equip half size bath shower shower curtain ! white towle supply throughout stay old thread wear . soft furnishing carpet also need upgrading . inform reception room 312 unsatisfactory request move different room . offer show Room 503 , executive room , & quot ; upgrade & quot ; would come additional charge £ 45+vat & amp ; tax per night . negotiation Duty Manager agree waive fee occasion , spend 15min argue first & quot ; unreasonable & quot ; expectation 5star hotel price pay . insist Lastminute.com must advertise wrong description . impression star rating award Hotel whole certain 5star room within low grade establishment ? choice move Room 503 . room although large first still poor standard previous . bath shower exactly size . bed size increase push two single mattress together cover sheet single duvet bed , pull tightly cover mattress , needless say fighting cover throughout two night . Tea Coffee make facility room , tiny extremely overpriced mini - bar , re - stocked throughout stay . Budget £ 3.50 cola . complementary drink etc provide . evening first night provide turn service , second evening . reception staff & amp ; concierge unfriendly make stay anymore pleasant . concierge work Saturday night return dinner . occasion ask taxi inform none available & quot ; flag & quot ; one main road . choose cancel reservation dinner beauty treatment take business elsewhere therefore unable provide review service . advice would book Mayfair Millennium Mayfair quality service , stay hotel several occasion past . hotel reflective 5star status . 
 Sep 23 2007 	 expect much get little 	 book part theatre package lastminute . hotel fall far short 5star - room ready we two hour check time . also demand £ 100 checking deposit ( even though pay room already ) , something advertise time booking . room private bar half empty restock food private bar 3 - 5weeks date . try complain time lady come room could speak word english . got wrong newspaper , breakfast really worth cost . definately five star ! ! ! ! ! could write much wrong hotel bother . 
 Sep 21 2007 	 5 star way 	 book theatre break last minute . hotel wonderful . initally put small room overlook air conditioning vent little disappointed . settle room could work tv ! quick call reception someone we quickly . move different room view look forward . room 901 ! ! overlook Green Park could see London Eye leave . lovely view night much big first room . overall staff could not enough , surrounding luxrious location fantastic ! definately recommend romantic getaway ! 
 Aug 17 2007 	 Nice hotel great rate 	 hotel well locate , Piccadilly , minute walk either Piccadilly Circus , Buckingham Palace ( Green Park ) Hyde Park corner . surround four five star hotel , plenty eat drinking establishment near by . the hotel nice , well furnished , well decorate building style would expect establishment . staff hotel helpful friendly throughout , pleasant deal . overheard staff give tourist advice guest , deliver accurately good humour . our room relatively large well equip , bed remarkably comfortable . one good thing hotel price . seem cheap premium hotel area , make already pleasant stay even well . I would certainly recommend establishment . 
 Aug 4 2007 	 beautiful hotel Great Service ! 	 time arrive taxi , greet doorman smile , bag take we , treat like royalty . stay romantic weekend last minute 's secret hotel get good rate . check , receptionist accompany we room show we amenity available . nice touch . room plenty big enough everything could need . lot mirror make look spacious , bed comfortable , shower powerful , great view top floor london green park . the gym spa downstairs nicely do , dress gown towel provide . breakfast , go around shepherd market good choice cafe . bar cosy intimate , love , service attentive friendly . afternoon tea garden room , beautifully do comfy sofas , selection sandwich cake delicious . certainly one friendly hotel stay , everyone smile want ensure everything need . wife request foam pillow instead feather one provide midnight , deliver 5 minute . nothing much trouble , would certainly recommend romantic getaway . fabulous meal Galvin Windows top Hilton , minute walk around corner , would highly recommend also 
 Jul 27 2007 	 Apartment Living London 	 husband , 18 - year - old son stay week early July one Athenaeum 's apartment , highly recommend experience . & quot ; Classic & quot ; apartment ( mean traditional formal decor ) feature one bedroom , large living room dine el , petite serviceable kitchen complete oven , microwave , washer / dryer great espresso machine . great washer / dryer long stay , 's combination type machine handle small load take several hour dry clothe . the apartment townhouse quiet residential street around corner hotel 's main entrance . end street terrific tapas restaurant , & quot ; El Pirate & quot ; ( try ! ) , across street small convenience store food - shopping need . comfortable way stay family . drawback sole bathroom bedroom , impact everyone 's privacy . hotel nice cocktail lounge area library lobby good drink serve ; staff pleasant helpful ; location , across Green Park , lovely . 's four - block walk near tube station , neighborhood lot great pub restaurant . slips service , fuse part apartment blow couple time stay , nothing seriously wrong . whole , great way stay London . 
 Jul 25 2007 	 good improvement need 	 stay & quot ; classic suite & quot ; book last minute top secret hotel . already work hotel book stay several year ago refurb . because suite extremely spacious even seperate dressing room huge bathroom . pay 250 pds night . thing mar stay though- arrive early happy go hour lunch room make ready we . unfortunately still problem arrive back well check time . wait reception confirm whether room ready still . it nice suite overall coffee table something sticky edge dusty still . carpet also stain seat area . really expect pay 250 night . husband inform reception also expect park view hotel full send bottle champagne nice touch . room clean otherwise furniture seem little tired . light rather confuse too . location excellent door man friendly helpful . we due complimentary paper never receive . one bathrobe . overall enjoy stay probably try somewhere else next time . 
 Jul 24 2007 	 clean room ; good staff ; hard bed 	 stay two night . service super : problem bed * * hard problem light switch , never work quite way one would expect . everything clean , overall feel good value money . I would like add stay winter , heat adequate . 
 Jul 19 2007 	 be ok ... ... 	 like really hard bed , place . complain manager go get we nice foam pad , really nice . no - one know want slab bed anymore ! ! ! despite much advertised remodel , place need another remodel . stay ' classic ' style apartment , pretty dinge furniture , old tiny bathroom little storage space . electrical outlet floorboards ... see wife try dry hair . electricity outlet not always work need PH.D turn light switch . say staff great , place great location . owner hotel ought give staff well product work . 
 Jun 27 2007 	 Nice Hotel Good location 	 hotel well locate one end piccadilly road . within easy walk distance piccadilly circus , oxford st./regent street shopping , theatre district , across park Buckingham palace short taxi ride knightbridge & amp ; Harrods . hotel relatively small nice main road . book Londontown.com . , wife . expensive relative give location hotel standard , happy . standard double room . room particularly big ( probably true hotel London anyway ) still reasonable sized , good bed bathroom nice bath strong shower .. importantly clean well keep . otel visit . really enjoy hThe staff couteous helpful friendly . eat hotel . try local restaurant around corner ' Shepards Market ' .. nice restaurant breakfast available . would also recommend Wolsley restaurant road beside Ritz hotel breakfast lunch .. price worth visit . 
 Jun 19 2007 	 nice ! 	 stay Athenaeum one night business meeting . arrive late everything go smooth , get shirt iron 20 minute . everything smooth nothing seem problem . the service excellent , room clean nice despite fact give room view back yard . I think good atmosphere lobby whisky room well breakfast , however breakfast buffe could well . Peter Gustafsson 
 May 28 2007 	 smart chic hotel 	 book top secret hotel last minute.com . well locate smart recpetion , boutique feel . friendly welcome room nice mod con personel touch like chill milk tea room . great couple night London . would stay 
 May 27 2007 	 lovely view atiny room 	 feel like old hotel that s renovate look trendy . stay london much prefer soho hotel . 
 May 1 2007 	 nice 	 stay one night April . helpful pleasant receptionist show we room show we everything . standard room , offer upgrade get decide stick . not much view not . room not massive nicely decorate bathroom powerful shower . the spa small need , really powerful jet spa pool . the door staff friendly helpful . we not eat go , also breakfast expensive we . its five minute walk Green Park tube station . overall pleased hotel spend age look hotel stay London not bad review break bank , get good deal lastminute.com . 
 Apr 25 2007 	 Brilliant service 	 husband stay Athenaeum 1 night . book standard room , arrival ask possibility room view Green Park . tell would cost extra , decide keep room would originally book . however , show we room receptionist tell we upgrade we suite tenth floor . room lovely , spacious , large double ( comfortable ) bed , large spa bath importantly , great view overlook Green Park . see London eye clearly . eat hotel comment standard food , however use spa / steam room . small , relaxing . complaint sauna not work . small gym date equipment also . in general , find hotel clean , good decorative order excellent location . staff friendly wonderful time . would definitely go back . 
 Apr 24 2007 	 spacious apartment 	 family stay apartment hotel , impressed . room nice kitchenette stove top , dishwasher washing machine / dryer . sofa pull double bed , living room quite large . also 4 person dinette nice room service breakfast . also connect apartment large family need extra space . rate high , offer good deal extra room well worth especially child 10 hour flight ! food service also quite good . food rather expensive , pound vs dollar not help . front desk staff , door staff , restaurant staff friendly helpful . people complain lounge , really place relax drink . atmosphere style surround pub , bar nightclub . 
 Apr 17 2007 	 Excellent Stay 	 would highly reccommend Athrnaeum hotel would like nice relaxing stay . the hotel extremley clean & amp ; well present . the staff friendly & amp ; helpfull stay . cheep hotel treat well money pay . be room large well equip everything could need.a 15 minute walk Oxford street & amp ; 5 min walk Green Park station hotel ideally locate romantic weekend shopping trip . 
 Apr 2 2007 	 great ! 	 stay one night weekend . great hotel recently refurbish . staff extremely efficient friendly . room good clean although great view - hope view Green Park reflection request booking . one disconcert thing though - mouse trap room ! luckily not find morning otherwise sure would sleepless night . evidence resident mouse find either though - thank goodness ! ! ! 
 Mar 29 2007 	 wonderful experience 	 return London second time stay Athenaeum , , pleased . location wonderful , room comfortable staff willing help request need . accidently leave paper lounge one evening deliver room notice miss . 
 Mar 21 2007 	 pleasantly surprised 	 book standard room one night Lastminute.com £ 109 ( without breakfast ) . upon check - in offer upgrade room additional cost choose standard room pleasant facility sufficient short stay . previously live London year , not care view . room modern decor , bathroom clean facility good although space rather small . enjoy drink bar afternoon late evening . Pricey expect . staff encounter pleasant professional . gripe would lengthy check - in ( perhaps book Lastminute.com ) , double bed make two single uncomfortable middle unpleasant strong lemon smell fourth floor . location fantastic . hotel warrant good 4 star . certainly 5 star . would definitely return . 
 Feb 26 2007 	 Disappointed 	 Booked one night whilst visit London see Sound Music . originally go couple , wife ill change book one room two daughter could go instead . change book great , book line Airmiles room , rang Hotel direct second room excellent help we give great rate . arrival excellent , particularly porter staff , take car away , sorted bag etc , reception bar area small ! go quick drink ask sit smokey smoking area leave age drink bring . nice oriental girl good Staff disintereste . we go room fine struggle five star , stay Landmark London several occasion five star ! go Show , come back 11 bar may well shut , little ambience character Saturday evening . Sunday breakfast disappoint - wait long time table ( smokey bar area ) eventually take table wait age food . generally service whole meal poor unfortunately definitely five star , staff whilst friendly struggle cope . sum , not book Hotel , know Landmark excellent , get deal airmile let cost rule we mistake ! will not make error . 
 Feb 8 2007 	 good stay 1 star many 	 book hotel " Top Secret " deal lastminute.com get standard double room 4 night £ 590 . 50 % less expedia 's price feel get bargain . reception / lobby area relatively small boutique hotel feel first walk . check early room ' ready , however receptionist personally escort we different room explain 's facility . unknown we upgrade we executive double ( ED ) instead standard double ( sd ) . bed ED huge king size soo , soo comfortable . note american reviewer feel room hotel ( London hotel general ) small ( much probably depend upon use US ) feel ed room spacious sit area window ; tv & amp ; dvd ; broadband internet ; good air con large build wardrobe . upgrade much appreciate discover sd room face inward hotel ( i.e . window likely look upon brick wall service pipe ) whereas ED room view look Green park Street . ED room also MUCH big . extra cost room worth . bathroom reasonably size necessary facility . bath small ( stretch ) shower extremely powerful plenty hot water . concierge service first class . deal Duncan able answer question provide sort advice we regard trip . locationthe hotel ideally locate Picadilly next door Park Lane Hotel . " green park " " Hyde Park corner " subway 5 minute walk opposite direction i.e . hotel 2 . knightsbridge ; Park Lane Hyde Park 10 + minute walk . Harvey Nicholls 15 - 20 minute . upon leave hotel cross road beautiful Green Park leisurely 10 minute stroll arrive Buckingham Palace opposite end park . top half Palace see park view bedroom . leave hotel walk Picadilly bring bottom Bond Street 8 - 10 minute . hit Regent Street 15 min Picadilly Circus 20 minute . our stay room breakfast available £ 24 per person . feel pricey able eat hearty breakfast morning one many eatery near hotel . Henry ' full English breakfast £ 6 . whiskey bar nice way unwind arrive back night . cocktail £ 10 bottled bear £ 4-£5 – price expect 5 star hotel . service impeccable . hotel lack service expect find typical 5 star hotel e.g . swimming pool big gym ; grander lobby area ; several bar etc . boutique hotel 4 star . find hard classify 5 star service certainly 5 star material . 
 Jan 29 2007 	 mixed experience 	 3 night stay give standard room 6th floor . clean small , need refurbishment en suite bathroom microscopic . full price ( excess £ 200 per night ) would feel rip - expect 5 star hotel . late evening first night , ( worn ) bedside panel control light go blink . three attempt duty manager fix problem , light blow sit torchlight , robe . well past midnight decline offer similar room corridor upgrade one apartment remainder stay . the apartment spacious ( separate living room , large bedroom ) meticulously clean , somewhat date fray chinzy decore . real light switch , large flat screen tv , dvd broadband etc . kitchenette well equip , much small serious cooking . the staff courteous helpful throughout , fail explain idiosyncracie lighting system . overall like location certainly enjoy stay , upgrade , ask pay full 5 star price - i.e . £ 450 per night apartment , plus English breakfast £ 22 etc , much well , even grossly overprice London . our 4 star rating base actual experience stay , include upgrade . 
 Jan 9 2007 	 quiet bedroom traditional decor 	 stay one night Christmas one bed apartment . staff restaurant great food good . teenager eat , surprise normally prefer junk food , highly recommend elderflower sorbet new potato . full breakfast expensive choice part menu low cost - full breakfast keep go day . Breakfast also serve room opt restaurant . ask herbal tea wish although be list menu . child love pot chocolate . apartment furnish traditional style furniture include desk dining table . tiny kitchenette include washing machine , not try . could not get 42 inch tv work second tv fine we , not bother ask someone deal it . by Central London standard bedroom quiet . not view would trade good night sleep anytime . bed comfortable choose pillow . shower either not thermostatic thermostat go . toiletry great , towel clean good size . ' m keen full size mirror bath also reflect toilet . 's turn .... check bill wrong ( high course ) pre theatre dinner show afternoon tea , confusing . sorted left check bill carefully . hotel great location , bed large , comfortable clean . food good restaurant staff excellent . would definitely eat , quite sure stay hassle bill spoil good experience . 
 Jan 3 2007 	 lovely private hotel 	 impressed Executive Room stay . nicely decorate blue . side toiletry - Neutrogena ( yes , boot sell ) . change upmarket product . 
 Jan 1 2007 	 could bit little well 	 take girlfriend . location great , opposite Green Park . find room little small , every thing could need . nice touch like choice pillow . bed comfortable . not think hotel really 5 star hotel . staff not really scratch : bill wrong take waitress three attempt get bar order right ( want large bottle water ! ) .The spa small , think good none less . as 5 star hotel day , tell we really want we enjoy stay , insult we charge £ 2 + KIt Kat £ 4.50 bottle water ! 
 Dec 12 2006 	 great room 	 great room - excellent afternoon tea - convenient location . a place return several occasion . recommend 
 Dec 7 2006 	 consistently Great 	 ' ve stay Athenaeum London four time past year plus . first foremost offer perfect location Picadilly across Green Park step Hyde Park . walk everywhere hop tube . second , staff ( long 30 year ) politician always remember ( great job pretend ) , third room -- medium - small small side -- exquisitely clean silkiest sheet ' ve encounter hotel ( along perfect weight duvet ) . love marble bath fixture . also like small hotel intimate feel well fact always find competitive price online . 
 Nov 14 2006 	 Pure Luxury Enlglish style ! 	 Athenaeum hotel gorgeous hotel situate Mayfair , five minute walk Green Park station ten minute Hyde Park Corner . differ renowned London hotel friendly , informal atmosphere welcome feel , despite grand appearance luxurious décor . second walk impose front entrance , door hold open smile doorman , feel instantly relaxed pamper . a friendly concierge greet help we check . show we Windsor Lounge , afternoon tea light refreshment serve ( evening meal serve Bullochs , restaurant , try also heartily recommend special occasion ) . windsor lounge furnish big , comfy armchair , squishy sofas table . ' decorate warm , earthy tone lovely place relax unwind . egg mayonaise sandwich delight , favorite chicken tempura curry dipping sauce . hope never vanish serve menu ! 
 Oct 11 2006 	 excellent boutique hotel 	 recently stay Athenaeum hotel please . location ideally locate block Green Park subway station take Heathrow short walk Buckingham Palace . room superb . comfortable bed pillow valet ( choose type pillow would like tempurpedic , buckwheat ) , heat towel rack excellent water pressure shower . also greatly appreciate jacuzzi tub downstair steam room . also small gym treadmill , elliptical trainer row machine . not street noise , could sometimes hear hallway noise , not problem since seem like clientele old not lot traffic middle night . definitely stay ! 
 Oct 10 2006 	 1 star many 	 stay athenaeum 1 saturday night . book relax room , watch dvd near restaurant dining evening . reception staff happy friendly , turn usual charm ask upgrade travel agent , without even slight hesitation upgrade large executive room overlook park . show standard double guy take room mention hotel nice enough would reccomend client . habit 5 star hotel staff take room show everything work everything ( insult intelligence come mind ) hang around wait tip , guy , went do nice . stay standard room , little sit area pretty small horrid view . the executive room ' okay ' . room everything need , DVD Cd player great pillow comfortable ever come across . bathroom dull average , could refurbish . thing scatter around room price tag - umbrella £ 50 one corner room hotel teddy bear bed £ 25 . ( strange , ' ve never come across 5 star hotel ) hotel try hard 5 star hotel fall star short . firstly bar actually lobby tiny . restaurant serve breakfast , lunch dinner weirdest decor serve great breakfast . ( £ 24 per person , would not think would dare get wrong ) .the location busy piccadilly 10 - 15 minute action . I would actually reccomend hotel anyone expect 5 star experience . would place hotel well end 4 star range . 
 Sep 28 2006 	 great choice ! 	 recently stay first leg honeymoon year hectic planning , grateful stay somewhere feel accommodate , well take care . congratulatory welcome gift upon arrival concierge wonderful sense humor desire help make stay London memorable , feel though anything need already anticipate . hotel ' location close proximity Buckingham Palace , Green Park Underground make easy orientation explore London . upon return , even receive hand - write thank letter hotel manager . definitely recommend ! 
 Sep 3 2006 	 good location expensive 	 stay two apartment affiliate hotel building next door . apartment hotel service include bonus kitchenette living room . find hotel location good , many restaurant interesting shop walk distance bus stop right near hotel ( Hard Rock Cafe ) convenient way travel South Kensington museum . theater walk distance , albeit long walk , turn godsend find evening taxi prove impossible one night . hotel apartment good AC , wonderful London 's broil heat wave . eat several time hotel , room service dining room , please food quality service . housekeeping good , would even wash dish leave kitchenette . also like bathroom shower -- - work well . negative ? well , fussy british decor apartment taste . apartment differ style draw two victorian floral drape . cup tea . someone else , look might perfect . elevator apartment building small , able hold handful passenger . often choose stair , even though quite flight . overall , hotel seem awfully expensive , even special pound dollar rate pay . also , minor point , bathroom small towel heater . several family member minor burn accident heater -- - nothing serious , annoying . finally , disappointed small size kitchenette . way small cooking consequence . even breakfast hard produce cramp quarter . appliance could tricky Americans figure , 's part fun travel .... , would stay , especially could get good discount room rate . 
