exceptional 	 go Montreal weekend getaway husband . Stayed Emabby Suites disappoint . arrive receive warm welcome quick check . staff bilingual gladly speak either English French . fact everyone encounter Montreal completely bilingual happy speak English . truly friendliest people ever meet . hotel centrally locate short walk old Montreal go block direction heart downtown shopping ! hotel room clean well maintain . although bedroom bit small rest room quite spacious make . kitchen equip fridge , microwave lot cupboard space . large living room huge bathroom whirlpool tub . never trouble find parking spot underground spot provide ( fee ) prvilege . Manager 's reception hold night oferre complimentary snack two complimentary drink night stay . also provide complimentary breakfast large spread bacon , egg , omlet -prepared spot , sausage , cereal , standard fruit morning pastry . hotel well worth . 
 Best Embassy Suite ever 	 well - design modern hotel wonderful walking location , adjacent old Montreal Chinatown . suite spacious fireplace , large jacuzzi tub , extremely comfortable mattress , living room , kitchen , two - flat screen television hook mp3 player . service excellent . definitely stay . 
 Jul 28 2008 	 o - ver Ra - ted . Clap Clap ClapClapClap . 	 find hotel crowd . attractive place nice perk , serious shortcoming . the front desk staff young inexperienced , staff general , seem . ask specifically everything , parking , breakfast , etc . check - in . later , try find place buy stamp , not know send closed pharmacy . grant , Sunday afternoon , later find open one walk underground city couple block away . would easy enough tell go . , , inexperience , unfamiliarity hotel surrounding . glad not ask good restaurant . the room look nice , not functional advertise . kitchenette waste space . fridge work well , hot plate / stove anything , microwave / hood . weird though , reserve space stove shelf . may owner developer want retain right turn 1 bedroom condo someday . in case , stove not paramount kitchenette , however dishwasher , especially want save cash eat leftover make sandwich , use flatware . dishwasher , complete plumbing hookup , electrical . do ? Bolted shut not work . 's sham . dishtowels detergent provide either . plate , spoon / fork , knife . 's pointless . it also call question cleanliness coffee cup glassware , since doubt wash downstairs . maid probably rinse tap water . the tv hot tub work well . good . not enough towel rack . really one hook door . weird . also , one hotel still charge $ 10 day internet . ridiculous . rapidly go away , need here . the free & quot ; cook order & quot ; breakfast taste alright , be mad scramble . feel like eat college dining hall , number large family scream kid make even unpleasant . find table tough peak time Friday Saturday morning . staff / busboy can not keep clean table . get early second third day try enjoy bit . having wait line behind 15 people egg waffle stupid . table service , guy . look . close eye , might Red Roof Inn . they ' ve take nice , modern lobby , drop ugly , trade show like temporary table willy - nilly house breakfast item . remain day long . be cluster # $ % ^ , feel low - class . probably $ 1000 leather chair sit next polyester fold table cover . cool ..... cocktail hour fall line . ( also , free & quot ; ticket & quot ; good bottom shelf seem , tap beer keg not work - start pour bud botttle glass ) .The staff also overwhelm time day bad breakfast .. influx crowd make mess everything . not bother , go enjoy Montreal want drink . want real beer bar , $ 9 . anything free drink quite stomach punch . I also not bother gym pool renovate ti close , even though not make aware Hilton make reservation . number family kid , would never bother , anyway . hot tub room make this . okay , maybe sound whiny , really need address thing worthy five star review . disappointed . 
 Jul 26 2008 	 Great Value 	 stay weekend July 12th . Booked hotel base good review website , proximity Old Montreal . impressed helpfulness front desk staff arrival . give we enough voucher breakfast every morning 2 drink per person happy hour . breakfast impressive -- everything could ask : fruit , cereal , yogurt , toast , omelette ( egg style ask ! ) , pancake , bacon , sausage homefrie . everything fresh tasty ! try happy hour first night , find popular . unfortunately , busy one wait unreasonably long service bar . decide spend evening elsewhere . the room brand new , stylish furnishing . bed comfortable , digital thermostat easy adjust . room ( smallest available ) complete fridge microwave , however dish find . full - sized fridge come handy anyhow . reviewer complain security feature elevator , problem ( appreciate extra security ) ! really enjoy hotel . new - hotel bug , must already work ! 
 Jul 25 2008 	 great new hotel . 	 spend 4th July weekend ES Montreal , say nothing good thing hotel . new , huge clean room helpful staff . would pick ES & quot ; boutique & quot ; hotel arrogant staff date decor even not much cheap . ( new Westin build next door might give run money though . ) side note : take time read negative review hotel . one complain pickpocket old city ( ? ? ? ) , forget clothe closet checking . right literally negative review hotel . 
 Jul 20 2008 	 Embassy Suites 	 show 4 4:30 , yet slight problem check maid finish cleaning room . wait 15 minute valet parking convenient include price two drink person ( although neither we drink ) well breakfast . room large , clean , nice- although toaster , dish ( even plastic ) dishwasher either lock permanently plain break door would not open . comparison , equally price suite stay Quebec City toaster stovetop full dish . the breakfast buffet chaotic due amount people- 10 am . leave room service show leave several minute early would ' ve interrupt order repack check out . the good : be stay 4 people , price well worth take consideration drink breakfast include . location also excellent be within walk distance major street attraction . staff curtious friendly room large , modern nice looking . easy check out . the bad : lack dishware , elevator will not move unless swipe card might get strand card scan well other . 
 Jul 16 2008 	 ok careful leave room ! 	 go concert Jazz Fest . Drove Boston arrive early evening leave 6 next morning . liked everything fine rush accidentally leave 3 article clothing hanging closet . new blouse never worn , shirt wear concert , all - time favorite cashmere cardigan . realize right away appointment Boston could not turn around . call tell would call we back maid change shift . call . call tell would wait new shift . call . third call produce one item - brand new shirt cashmere sweater surprise surprise . also seem annoyed unwilling talk . woman say spoken maid mistaken leave one thing . could ? give credit card address info send one shirt FedEx . ten day later not receive anything call ask speak manager . tell manager not work weekend . ? manager finally return call several day later leave message say send shirt . finally get large box one shirt inside . way send cost close $ 100 . turn expensive night . know 's fault forgetting item first place hang together closet call right away . someone Montreal wear new shirt favorite cashmere sweater . frustrating experience . 
 Jul 14 2008 	 would definitely return 	 First stay hotel March 2008 . open rate quite low . unfortunate noise problem night . however , let management know concern promptly arrange another night we cost time . go back last weekend . great . clean quiet . breakfast quite good lot fresh fruit . evening reception nice although quite busy . nice part certainly room . quite large great bath ( kid spend hour ) separate shower . kitchen simple quite functional ( suite stove fridge , sink microwave ) . living room comfortable . bed lovely flat screen tv living room bedroom allow husband watch tv little one fall asleep sofa bed . would definitely return Embassy Suites Montreal . staff helpful courteous room great . ask . 
 Jul 7 2008 	 fabulous value special treat ! 	 boyfriend take last - minute long weekend Montreal , not much go book Embassy Suites ( rely mostly site ) . want confirm wonderful thing everyone else say hotel ! 's slightly way ' downtown ' area ( i.e . not lot bar , strip club , & amp ; noise right outside ) , be still convenient walk distance almost everything . also several restaurant right across street Old Montreal right around corner . we impress cleanliness room . ' m germaphobe usually will not walk around hotel room bare foot , touch bedspread , ( gasp ) take bath . room immaculate happily ( could resist deep jacuzzi tub ! ) . room also full size microwave , fridge , dishwasher ( although could figure open dishwasher wonder facade ) . simple suite room ! far , favorite perk complimentary make - to - order breakfast ( omelet , pancake , waffle , fresh fruit , fresh pastry , pretty much anything could possibly want -- fresh ! ) . take advantage every morning , notice quite wait arrive later end . also free drink ( ! ) cocktail hour every night . timing sort inconvenient we ( 5:30 - 7:30 ) , end opt pay drink elsewhere night , great fit schedule . caution , though , drink bar normally pricey -- boyfriend pay $ 8 US bottle Stella . our complaint surprise hefty valet charge end stay . garage close arrive , direct valet . never tell would cost we around $ 25 US night -- , grant , probably ask . also , book Travelocity , although pay room , E.S . end billing credit room well ! quick phone call , though , clear error . I will definitely stay next time ' m Montreal ! 
 Jun 2 2008 	 Sweet Suites Perfect Stay ! 	 stay Mom 's birthday weekend Mom Sister . rent Suite king size bed , living area w/ fold sofa , kitchen large bathroom shower jacquzzi , also flat screen t.v.s bedroom livingroom . perfect size 3 people plenty space stretch in . the location central couple block Old Montreal , near St. Catherine Street , Crescent Street , China Town , etc ... complementary breakfast amazing ! far good complementary breakfast ' ve hotel . also get complementary wine evening always plus place ! staff extremely friendly attentive . make great conversation able accommodate need time . also recommend great restaurant Da Emma love . return back Montreal definitely stay Embassy Suites modern luxurious hotel boutique feel great price . 
 May 11 2008 	 Perfect Stay 	 Stayed Embassy Suites wife two night , room perfect . spacious jacquzzi tub amazing . make order breakfest perfect start day Managers reception also enjoyable . staff really friendly go way make stay enjoyable . location perfect walk Old Montreal even walk St. Catherines Cresent bad . really not want use car Montreal avoid , find parking tough think much enjoyable walk . the complaint small noise tub little loud night , not really notice fall asleep . besides complaint would definetly stay . 
 Apr 29 2008 	 Perfect Place stay Vieux Montreal 	 stay edge Vieux Montreal - close tre Francais old quarter , right around corner Basilica Notre Dame score great restaurant - yet within hop , skip & amp ; jump Latin Quarter , McGill , Mont Royal ? pay around $ 200US secure hotel - huge suites - get marvelous , huge free breakfast many , many free drink ( bar snack ) silver , Jetsonesque bar - deal . sit courtyard old stone manse eat drink - would not stay anywhere else Montreal . go girl ' getaway would definitely return . 
 Apr 22 2008 	 Perfect Stay 	 grab 3 day weekend late April rate demand go summer . it great stay . room exactly website portray . stay 2 room suite amenity include describe . bit difficult find be attribute Montreal 's one way street . Google map not absolutely helpful suggest drive slow Montreal miss sign street name . the parking option valet charge $ 23 / night instead $ 26 website price . not seem expect tip tip friendly manner . $ 18 daily parking across street Palais de congrese not know leave every 24hrs park . underground though feel valet option easier safe . the house keep staff friendly say hello every time see we corridor . even change sheet towel middle stay 30min . felt like new room return breakfast . they plenty towel , soap cream use recommend sensitive skin , bring soap use Dove soap feel bit harsh shower . shower pressure low realise water saving device adapt trickle sufficient quick shower . wife use jacuzzi shower head bathe that s alternative . the shower stall small alright without we bumping side . jacuzzi rather loud though blower turn high huge 2 people . bathroom overall beautiful feel great much space one room . they plenty closet space well foyer bedroom drawer inside closet . hangar , shelve everything there . breakfast truly spectacular delicious . time feel buffet complimentary breakfast worth money pay . think stay Place d'arme shocking price $ 20 / person / night continental breakfast decide to . well cook , plenty portion huge choice breakfast food . room service menu however strictly limit continental food vegetarian . expensive suggest good famish long trip . restaurant around area block away . try italian japanese restaurant price quality solid . they also give 2 coupon per person free drink evening . never even get use 8 . infact many people give away coupon bar pack weekend . my wife love hotel . drawback learn upon arrival wifi service $ 10 / day offer public computer lobby . however free wifi complimentary . they delay get car provide us plate cutlery find later really swamp new guest Saturday begin . however leave plate room return nice get around it . the hotel definitely locate heart city walk anywhere find anything . they provide we receipt morning leave around 7 am . like Express checkout save time wait line lobby leave . the guest quiet mostly familie couple . warn though weekend fill guest check , prepared wait time . I definitely recommend hotel . 
 Mar 13 2008 	 wonderful hotel 	 new hotel , room spotless large , kitchen , full fridge , huge bathroom , small separate bedroom w/ think kingsize bed , separate living area w/ flat screen tv bedroom living room . bed comforable , room quiet ( except we ! ) breakfast cook order outstanding . ' ve stay hotel Montreal , first one go back second visit next month . ' ve stay Omni Centre Sheraton .... hotel bit centrally locate walk St. Catherine Street shopping , Old Montreal , China Town , Plateau neighborhood , etc . great bargain compare two hotel ... highly recommend family , viste two teen toddler . lucky Hilton Honors point stay , will pay next visit problem ... great place stay Montreal . 
 Feb 18 2008 	 Beware recommendation 	 stay kid Mont Tremblant stop - over . staff great friendly upgrade room much appreciate . problem second day , one hotel staff member recommend restaurant call Vieux Port old Montreal . direction give not great call back hotel several time confirm , walk back forth obviously frustrated . believe make we easy , ( obviously tourist ) target thief unknowingly follow restaurant . wallet steal purse recommend restaurant . I ' ve live NYC 11 year travel world first time happen . beware thief travel around hotel Old Montreal area . 
 Jan 21 2008 	 love 	 perfect get - away ! new , clean , modern , great location , huge room , friendly staff . especially pleased receive two complimentary drink coupon free breakfast impressive . definitely return . 
 Jan 2 2008 	 highly recommend Embassy Suites Montreal 	 nice stay family Christmas New Years . Nicest Embassy Suites ' ve see . great value money . brand new , modern decor -- nice kitchen , plasma tv living room bedroom . excellent location . walk distance Old Montreal , Chinatown , Metro . staff friendly helpful . 
 Nov 18 2007 	 great location lovely suite 
 Oct 20 2007 	 could great work 
 Oct 18 2007 	 Good Option Montreal 
 Oct 16 2007 	 Nice hotel ... still new 
 Sep 26 2007 	 Brand New Hotel 
 Sep 22 2007 	 New Hotel - Great Potential 
 Aug 30 2009 	 Tres bon rapport qualite prix 
 Jun 25 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? 
 Aug 31 2008 	 ? ? ? ? ? ? 
 Feb 5 2008 	 Excellent endroit 
