CLEAN 	 stay London travelodge , never South Bank . excellently locate hotel , 100 yard tube station Southwark 5 minute walk Thames . great base want bed night clsoe amenitie London town . reception staff helpful . 
 Jul 17 2008 	 good value clean basic room 	 newly open hotel shake - out problem . example , wiring do wrong bathroom way turn light sink activate ventilation . bed comfortable , 85 pound per night rate fairly large , airconditioned , twin - bed room private , en suite bathroom , good value . hotel charge ( insist receive ) extra 10 pound get room 3:00 pm . money much well spend wait 3 Lord Nelson pub across street , serve outstanding sandwich . EconlLodge 's eat buffet breakfast ( 7.5 pound extra ; 10 % discount book line ) worth price we . instant coffee ( fresh - brew ) . tomato , mushroom baked bean serve straight can amendment . Juice apparently prepare dry concentrate , always well mixed . Eggs ok like scramble ; nothing else available . greasy sausage , bacon OK . fair selection package cereal . hotel 's breakfast room double bar evening . dinner serve , not try presume would mediocre breakfast . excellent location south Thames one block Southwark tube station . 
 Jul 16 2008 	 Basic clean 	 hotel basic clean , new reasonable amount room . hairdryer room reception would provide one . one thing think odd telephone room , even call reception . train track outside window ' look see doubt would know quiet . window open mean bit stuffy get AC work reasonably well problem overall . sure bring shampoo toiletry provide . clean hotel reasonable rate . the hotel convenient Southwark metro station . walk hotel Tower London lengthy walk . overall location suit we well . family three child & lt ; 1yr . 
 Jul 10 2008 	 Great price 	 stay Travelodge Southwark 4 night ( 6/1/08 - 6/5/08 ) . hotel open week early , everything new clean . the hotel 1 - 2 minute walk Southwark tube station , location / convenience hotel excellent . also enjoy walk , trouble walk far west Westminster Bridge , far east Tower Bridge . get hotel , walk door immediately take elevator first floor reception desk locate . check , go upper floor room . will need room key gain access floor . the first floor also bar / lounge area . breakfast serve every morning , cost include price room . opinion breakfast overprice good , would definitely advise purchase . find nearby store purchase fruit & amp ; bread eat breakfast every morning save bunch money . bar also serve dinner drink evening . food ok .. great , bad . the room basic , clean . large desk area , convenient . wireless internet , quite expensive . nice tv , channel . electric kettle tea / coffee room . a / c work well . bathroom small , tiny . everything work well , although bit water pressure shower would appreciate . US - style plug next sink electric razor , convenient not use one adapter . room face away street ... despite heavy train traffic behind building , noise not bad trouble sleep . housekeeping come room every day make bed bring clean towel . however , not think swept floor stay . one problem encounter hotel : exhaust fan bathroom . not problem personally , sleep last night , fire alarm go around midnight somebody else hotel take hot shower , excess steam set smoke detector ( locate outside bathroom door ) .all , hotel clean , great location , great deal get one saver rate . would absolutely stay . 
 Jun 18 2008 	 Fab Hotel 	 return 2 night stay boyfriend parent 2 room book via travelodge website . well say hotel perfect , travel lesuire sight theatre visit , ( close hotel theatre land London Underground easy work bus time table find hotel close ) great pub opposit reasonable London price drink . hotel 2 min walk London Southwark tube station , 15 min walk London eye 1 stop tube . 5 min walk Tate Modern , Milenium bridge , well worth stay hotel brand new hallway carpet still smell new could sleep , room basic hotel basic hotel everything need anything else may forget ( toothbrush hairdryer example ) usually hire buy reception . whilst stay meet family get room £ 9 night well can not turn , that s good hotel price . check website fantasic deal . the downside would say price breakfast cost £ 7.50 per person ( altough not add time booking , add arrival morning wish ) food buffet service altough eat much like really much food breakfast eat . would stay , continue use Travelodge hotel . just brilliant . 
 Jun 12 2008 	 great base London - job ! 	 book hotel Travelodge.co.uk ... get 2 night £ 39 ! bargain location . hotel - basic , clean new - new hotel Travelodge chain . room new clean , nothing fancy , job ! location - tube station ( southwark , also new ) 2 minute day . make ideal base explore London . Tate Modern 7 minute foot , Thames attraction minute away . London Eye 10 minute foot . we breakfast , can not comment . overall , hotel job ! definitely go back . 
 Jun 10 2008 	 excellent base London 	 highly impressed 2 night stay Travelodge Southwark . find hotel via search cheap hotel London . offer room ' saver ' price £ 19 night . highly sceptical need cheap place stay familiar area book . pay supplement full english Breakfast , morning stay . I hold not arrive till 1 am , phone head make sure room still hold . offer direction ( 2 min tube ) reassurance talk security system . get hotel 10 pm 6 am must either use room card buzz reception , think door really go reception area , leave elevator floor must use card reach corridor room . arrival notice walk room rate advertise £ 108 , defiantly check saver rate . my room clean comfortable , tea coffee make facility available toiletry except bar soap - warn time booking . bedside table two small nook - large enough travel alarm clock . window face central courtyard pretty exceptionally quite . sleep late next day not leave room till 3 , return hour later bed make towel replace . find hotel incredible value money , unless make kid eat free option , probably well value breakfast elsewhere . although breakfast eat buffet , range limited breakfast area always full . slightly irritate thing one elevator work , mean busy time elevator crowd walk stair – room 7th floor try . would definitely recommend stay be go see London perfect base , ' central ' proximity tube mean get anywhere quickly Tate Modern Watertaxis almost doorstep . 
 Jun 4 2008 	 Best Travelodge ' ve stay ! 	 stay several travelodge one brand new one . be like other -exept room typical orange instead white/ blue stylish . airconditione remote control , nice flat screen telly bed really comfortable . room 4th floor face road train track pretty sound proof . service friendly . street attractive seem peaceful weekend . southwark tube couple minute walk away river 5 min away . southbank close . , impress hotel price range definatley stay ! 
 Jun 4 2008 	 Convenient Tate Globe Tower Bridge 	 Travellodge brand new close Southwark tube . ( 15 pound cab Paddington ) clean convenient location . quite industrial around walk 10 - 15 minute Tate Globe site restaurant . also recommend restaurant near Tate call Amanos ( great coconut Mohitos Pizza ) also good greek restaurant along Bankside near Globe . also breakfast buffet morning ( kid eat free ) . convenient kid average food spread . would also recommend walk along southbank Tower Bridge ... lot interesting thing see way . 
 Jun 1 2008 	 convenient overnight place stay 	 stay one night overnight business trip . convenient ( 2 min walk Southwark Tube station ) , clean reasonably price central London ( £ 85 ) . room good size , bathroom nicely do red tile . downside 1 ) bedside table 2 ) room back onto main road - put earplug not hear anything ! not pay extra breakfast , quite nice - look cafe bar could buy breakfast want , not see Travelodges . hotel seem pretty security - savvy - reception first floor get room use room key . , convenient place stay budget . 
 May 20 2008 	 Great Budget Hotel 	 book family room hotel £ 49 pound night quite anxious kind room might get . pleasantly surprise definitely great deal ! room consist large bed well sofa bed pull . comfortable . room normal size ( huge , adequate ) . promise , toiletry provide . housekeeping change towel daily long make known want do . tea / coffee make facility ( plug kettle ) . hairdryer iron check reception able use one hour time . the hotel two minute walk Southwark Underground Station make convenient travel . area safe , restaurant shop nearby . overall , excellent experience . really can not beat price room exactly promise . a downside : sure housekeeping really vaccuume ( , not great job ) , one trash provide reallllly tiny , tub treacherous ! easy slip fall bathrug , tub somewhat elevated . also , exhaust window bathroom . positive : great price , comfortable bed , good television , fairly clean , nice staff , hairdryer / iron availability , location . 
 May 18 2008 	 good clean hotel . good location . 	 stay new hotel 2 night . open 12th May 2008 . room basic , would expect , clean . , kind expect first guest stay room . the shower downside , trickle water ; job end day . bed really comfortable room sufficient amenity basic traveller . shower gel bathroom remember bring own . staff pleasant helpful . bar area look nice , reason not open 5 pm use bar road , call Lord Nelson- like drink head night . plenty bar nearby like Union Jack leave hotel quite ' cut' . we group 5 travel taxi time . Leicester Sq cost £ 11 . could walk place like London Eye quite easily far , perhaps 20minute walk fast walker : ) prefer location Travelodge City Road would stay future . also , hotel seem secure card swipe entry access floor / lobby etc . we get bargain £ 49 night . ' ve give rating 3 adequate traveller not room service , toiletry etc etc . 
 may 15 2008 	 need weekend break 	 search accomm London last weekend , find hotel . could book £ 49 night quite happy somewhere close centre London . the hotel open 9th May go 10th . worry we bit reason fine complete get . slight smell paint newness hotel nice . door tendency stick sure sort open while . our room great . want base stay , not bother like nice . reasonably sized modern . bed comfy large , tv modern adaquete wardrobe space . not provide hairdryer , iron etc room apparently get reception need . the bathroom reasonable size , shower work well . the thing would grumble would cleanliness . room clean arrive ( suspect may first stop room ) . however , cleaner not seem good job 'd . carpet do not appear hoover , not take away clean use teacup take away dirty towel replace 1 hand towel one body towel . great two us room ! ! would definitely return though , highly reccomend anyone . 
 Oct 7 2009 	 Ottima posizione ottimo prezzo 
 Feb 1 2009 	 ? ? ? ? ? ? ? ? 
 Jan 29 2009 	 Buenísima relacion calidad - precio 
