Loved 	 get great deal website promo code Thanksgiving holiday . hotel all - suite , huge room / bathroom , quiet , smoke free staff top notch . great service Concierge ( Ozzy ) front desk check - in breeze . never see housekeeping hall , room make every day ( electronic system let know want housekeeping ) . Stayed Tower 1 -- close MGM Casino , enough distance feel like frenzy ( second - hand smoke ! ) . walk escalator & quot ; people movers & quot ; provide high heel wearer respite walk casino . use monorail MGM Grand travel strip -- convenient . ticket purchase right monorail & quot ; station & quot ; ... not though -- nice man give we ticket leave next day use ticket 2 day :0 free WI - FI ! ! ! ! ! definitely stay . 
 amazing hotel 	 boyfriend return 6 - night stay signature . stay one bedroom suite Tower 2 . hotel room absolutely beautiful . great experience would definately return . complaint distance casino ( 10 - min walk ) . day tired make long walk back room . aside , be great hotel regret choose stay . 
 watch ! 	 ' watch . stay 2 night , get 3rd night free deal even paperwork name people talk even though e - mail offer send directly , take hour get honor . however hour , every single person check kind deal something , drink , whatever every single person fight hard get honor special . travel living , go Vegas least couple time year work . really great place , 35th floor Strip view Jacuzzi kitchen . get private cabana pool , might well , ' pay resort fee . fight ruin though . go leave high dry finally prevail upon right thing . never see anything like people , even Newark ( personal standard hassle travel ) . plus try make feel cheap honor deal . give break . 
 worth walk ! 	 yes , hotel strip . take 15 minute get front MGM ( strip ) . walk signature hang leave walk Planet Hollywood strip ( 15 minute walk ) . walk easy big deal . the hotel beautiful . 1 bedroom junior suite connect . room clean , king bed comfortable kitchen set - up helpful . use kitchen make breakfast , store water , beer snack . car drive 5 - 10 minute Albertson ' supermarket . the mattress sofa pullout could little firm . average sized guy ' comfortable . we Tower 1 , Starbucks , fitness center ( modern ) , lobby bar business center . valet parking ( free ) end tip every time . fast friendly.2 minor issue – ( 1 ) get sofa bed make . make request front desk , fulfil . call housekeeping come make sofa ' . 1 day checkout must think check close sofa bed . call housekeeping - fast courteous . ( 2 ) gamble MGM Casino apply comp room MGM Signature . overall great stay . want get away madness end day place . 
 nice hotel 	 can not really comment stay authority , first time Vegas , idea expect . one night , not use hotel facility . however - night , nice hotel . price pay ( GBP80 mid - week ) , promise & quot ; Junior Suite & quot ; , expect Vegas term normal small room . however , definitely suite - sized , fully appoint , way fully - equip blender kitchen area . overkill one night , definitely great long stay . also , one night - 's fair trek strip . assume next MGM Grand ... quite ! although access walk MGM reception , past restaurant , past show , several enclose walkway ... time get ( Tower 1 3 - furth ) , have walk half mile ! tourist - walking , foot pretty tired end stay there . however - hotel nice , long stay , ' m sure would welcome little distance away . service friendly efficient . one night , perhaps try brave one big hotel actually strip , night , be great mix close , close .... 
 Aug 15 2009 	 new favorite place stay Vegas 	 Vegas week August 3rd , 2009 . stayed & quot ; well & quot ; hotel Vegas include Belagio , Wynn , Encore , Venetian , Caesers etc . signature Suites far good deal strip , especially family . single expensive thing go Vegas dining . kitchen ( gorgeous one ) , breakfast lunch room go dinner . two bathroom , balcony overlook strip , three t.v . 's , stunning kitchen , full living room pull couch , large bedroom work space . resort fee include internet , bottled water , coffee . valet service excellent free ( tip ) convenient oppose hotel park walk mile two room . pool nice never difficult get seat . service excellent friendly . walk MGM need indoor 5 minute tower 2 . Starbucks cafe type restaurant site restaurant within walking distance . want head far strip , monorail station MGM ; also walk long walk . ' ve Vegas undoubtedly know walk lobby room elevator elevator room , lengthy well . signature . everything close , convenient well thought . disappointed likely agree new favorite spot . 
 Aug 15 2009 	 want feel special stay 	 return 4 day stay signature . 2nd time & amp ; husband 's 1st . stay 31st floor balcony time . room spacious , clean , comfortable bed good quality bedding & amp ; quality kitchen appliance . bring breakfast food not eat time . everything need prepare meal provide . check - in breeze . arrive Vegas around noon pick car rental , lunch & amp ; get grocery check . arrive car quickly unload , take underground parking & amp ; luggage take we . room within minute . luggage arrive shortly after . I book ticket Bette Midler dinner & amp ; show offer internet leave home . thought would able get package offer arrive . . go Caesar 's box office expensive not offer dinner pkg . quite disappointed wanted see Bette anniversary present . return Signature ask desk know way get pkg . monique great . go internet & amp ; book package we . pick ticket least 1 hr show box office . great seat dinner show Rao 's . wonderful evening thank Monique . rent car stay & amp ; never wait 2 minute valet bring car . leave hotel drive easy due traffic & amp ; construction enable we go Mount Charlston . wonderful . lovely lunch lodge breathtaking view mountain . lovely way unwind hustle & amp ; bustle Vegas . decide go back last day & amp ; valet Signature mention scenic drive go around mountain . find road problem & amp ; drive . husband nervous drive edge mountain 9000 ft . lookout along way incredible . could stand day . take sweater though . significantly cool mountain . nice break 105 degree weather Vegas . hotel also accomodate last day . red - eye flight & amp ; normal checkout 11 am . ask option . could check & amp ; leave luggage pay 1/2 day & amp ; check 6 pm . take option . spend day mountain , lunch come back nap & amp ; get clean & amp ; check 6 pm . not begrudge little extra cost convenience . find staff friendly & amp ; helpful . always ask anything need . one day walk strip return hotel & amp ; must look worn valet immediately hand bottle water hold door . sure need . one afternoon husband go pool nap . say pool attendant conscious heat & amp ; constantly come around offer guest water . husband forget take money deter attendant come around make sure needed & amp ; comfortable . normally tip staff hand never expect it . I would recommend hotel anyone . not see could possibly go wrong . little strip & amp ; hotel casino nice part . hectic & amp ; noisey city oasis peace & amp ; quiet . 
 Aug 15 2009 	 Luxury Resort Atmosphere 	 visit LV often business pleasure first time stay signature . signature must stay look mixture Las Vegas . give family luxury resort atmosphere town full action Chaos . centrally locate main strip night life ' ' stop . able walk signature tower 3 MGM Grand ( enclose walkway ) Planet Hollywood Casino ( walk outside ) 10 minute . rent car get around town little crazy . construction work go take ten minute get first light . needless say lot walk vs. driving could get around town lot fast . our first impression service signature excellent . valet staff excellent first time drive last time drive away . check breeze , enjoy ' ton Chaos go around like check hotel ' stay strip . we rent Jr. Suite nice except arrive place dusty dust clean everything ( exactly want vacation ) . since rent private owner ' call directly housekeeping . rent private owner must plan ahead room clean assistance . the room nice little cooking area 1 little pot little 1 pan . ' balcony : ( cook leave entry door open fan stove ' work well . though couple bump road room overall experience nice . would defiantly stay signature would rent owner . would make special request advance ( example : extra towel , dust ) . enjoy staff work around property take moment say " hi " " good morning " pass . simple acknowledgement staff make we feel welcome . four separte pool choose , one pool tower big pool area MGM Grand . husband personally like pool signature well not busy MGM Grand . also nice touch signature pool cold bottle water avaliable pool enterance . pool staff also exellent someone always get we food , drink , towel . great place stay ! ! ! note : fly need Boarding Pass print ask front desk . go front desk morning checking say clerk " Business Office print boarding pass " tell Business Office locate ' offer let know could print right charge . ' go check front desk clerk offer print boarding pass . would know front desk offer service could save $ 20.00 walk tower 3 tower 1 . 
 Aug 14 2009 	 Disappointed ! 	 travel agent say hotel Strip -- actually quite long walk ( ~15 minute ) either sky walk MGM Grand - road - get Las Vegas Blvd . they charge use internet equipment roomthe pool seriously equip . umbrella - one could rent cabana $ $ $ /day - see guest get heat - stroke . furthermore , constant shortage towel pool area . arrive 10 am - tell run out . the front desk service desk polite helpful : nothing could done advance : * could organize car rental next day ; could do day - could promise availability * could get we ticket Cirque de Soleil show advance even play hotel , part package : stay line box - office 10 am morning day show . * could tell we could get late check - out day departure . watch hidden fee ! 
 Aug 14 2009 	 staying ! 	 17 day trip Vegas , first 5 day set aside holiday / vacation get away everything , want , want , want ! deal stay 5 night get $ 150 resort credit , probably could beaten , easy book signature website . on arrival McCarran airport , get taxi quickly easily head signature . way driver ask tower stay , not know , pull gatehouse gatekeeper tell list resident . tower 1 , get bell staff take bag ( normally carry , lot ) .check - in empty ( 3.45pm Monday ) , suite within 5 minute . impressed understatement ! plenty big enough , impeccably clean . little touch like huge bathroom tv , kitchen area , dvd player , make suite little like home , tv bathroom home ! bed comfortable , internet pretty good though low signal level window suite , make Skype call stand close door ! little button door , switch on / off indicator outside . & quot ; Disturb & quot ; & quot ; Housekeeping & quot ; signal . brilliant ! , anyone else get undress bed realise want hang Disturb sign ? problem , press button : - ) walk Casino via move walkway really issue , want go strip , little tip walk tower 3 gatehouse , exit . come back way , put room key gate open . couple min walk strip exit , though quite bit construction happen moment tread carefully . the starbuck great , not normally go $ 5 coffee , peaceful friendly take advantage . maybe need caffeine activite Vegas . the concierge team nothing short fantastic ! book ticket see 2 show , give advice good seating ( value money vs view ) , work brilliantly . also organise helicopter tour canyon / hoover damn , get free upgrade 3hr 4.5hr flight . what impress even , 3 day would speak one concierge , see lobby , greet name . that s service ! first trip Vegas , know many say try different hotel visit , one really hit spot reason , back . 
 Aug 13 2009 	 Beautiful Hotel beautiful city 	 perfect place stay Vegas interested Vegas . spotless hotel , great service , smoking , casino . think kid would enjoy river pool , take walk MGM Grand . disaster . pool dirty ( wrapper cloudy water ) crowd people ( people tube drink beer ) . happy return serene pool signature ! go back vegas reason , will stay sure ! 
 Aug 13 2009 	 hand : Best Place ' ve stay Vegas 	 office Vegas , ' ve stay every hotel around . tell nice place Las Vegas Signature mgm- even surpass ' big name ' like Bellagio Palazzo . ground immaculate , room . not let fact room privately own freak out- stay one unit rental contract tight owner MGM stay fine . stay 35th floor farth tower back view gorgeous- Strip , mountain , beautiful pool slowly morph color night . could sit giant balcony hour ! bath tub wonderful definitely take fair share relax dip trip . the staff attentive ' ve ever seen- valet ( always car less two minute ) room service . let tell room service- one night call ask pasta , none menu think maybe something restaurant could order . gal phone ask kind meant say something maybe white sauce artichoke something . put hold , come back , say , & quot ; not , chef say have happy make something like ingredient . & quot ; , be service ! not get complaint distance- tower close MGM move walk way seriously take less 2 minute middle MGM . move walk way ! 's complaint ? fyi : not go MGM pool , 's full drunken fool . signature pool MUCH nicer : booze cheap , free giant soft towel chair cover , staff amazing ( seriously : woman ask ice cream bar . . . run store get ) . 
 Aug 13 2009 	 suite deal strip 	 signature amenity well cover previous review say , need suite heart action , look . signature feature top Las Vegas resort , without hassle walk crowd casino every time leave room . love MGM pool , room Tower 1 less 5 minute away pool complex - even close hotel . room , service , everything good get . complaint , be MGM 's fault , construction go immediate area , make travel car nightmare almost hour day . signature get high recommendation . want great deal suite , many property owner offer rate low half MGM website . get one large corner suite , strip mountain view , little $ 100 night ! 
 Aug 13 2009 	 Oasis People Chidren 	 pro : Extras one year oldkitchenettes full utensil , knife , dish , cut board , pot pan , etc . great big suitesvery cleanfree bottled water free wireless roomstaff make feel like royaltypoolssmoke - free , casino - freewalk mgmconciergewhirlpool tubtv bathroomcons : Construction Harmon StreetA little walking get everywhere ( not bother we , could pain ) selection dining option like hotelsBroken ATM lobby 
 Aug 12 2009 	 never 	 dis - appoint time get there . we travel LasVegas least twice year , proprietor call comp game . if new LasVegas Gambling general , 's special get return stay property dinner pay , etc . previo trip , entitle free return flight , stay MGM April 2009 . pass lot comp deal one general , get , honor free night , return flight . it list computer reservation , matter talk , & quot ; state mistake . so mention fact pass hard time , end change Hotels Treasure Island still give we Free night $ 175.00 play eat comp , plus give we extra meal give 3 comp night new buyer TI . 
 Aug 12 2009 	 Fabulous Stay child 	 return week signature . busy Vegas , nice return quiet hotel . ' ve visit Vegas lot time , think anyone visit first time maybe stay nearer Strip get whole ' buzz ' area . check - in go smoothly , top floor ( 38 ) tower 2 face mountain . room ( 1 bedroom ) fab , lot room 4 we . trouble get T'internet ! work , maintenance come sort we straight away . we use MGM pool ( want test lazy river ) crowd , loud check bag way ( turnstile ) , presumably could not take drink , rubber ring etc . hire theirs . the signature pool far chill , less crowded , could take floatie ! unlimited water , large pool towel pad sunbed ! good mix young old . lifeguard bar snack menu . Deli ( Delights ) bottom tower 2 decent food ok price . eat room sometimes , need cook meal ( dishwasher ) . Starbucks Tower 1 always seem quiet , especially compare one shop mgm.the walk MGM not bad , move walkway , sometimes bit pain ( 6 4 year old ) , worth stay . must try room service , service fab ! go - enjoy ! will deffo go back ! 
 Aug 12 2009 	 beautiful calm great amenity fabulous room even well bathroom 	 start honeymoon 3 night . book main MGM Grand delight offer free upgrade junior suite speak value really - get crazily low rate MGM Grand . place fantastic ! huge room glorious bathroom - massive jacuzzi , huge shower toiletry lovely - not normally use hotel toiletry . , heart thing also somehow remove manic hecticness . signature tower separate main MGM Grand long walkway stroll minute shop , restaurant attraction retreat quiet , calm , bright , lovely oasis . fitness centre free use pool area also really nice , never crowded , comfortable lounger , ample towel free bottle ice water always hand apart Monorail drive directly , quiet calm . 
 Aug 11 2009 	 30th Anniversary trip - close perfect one would hope 	 Non - smoking non - gaming not seem important get Vegas immediately feel overwhelmed first - time visitor . calm , posh , clean environment Signature ( Tower 3 ) make we feel like millionaire . one - bedroom suite completely enjoy luxury also enjoy ability cook home - make breakfast make peanut butter sandwich two want enjoy suite . enjoy easy access Monorail would recommend get & quot ; month & quot ; pass transit system plus deuce , useful different reason . time purchase two three - day pass , might well purchase long - term pass . good show tip -- not miss Human Nature 's show & quot ; Ultimate Celebration Motown & quot ; Zumanity show - dinner package ( exceptional meal Irish Pub New York New York ) . 
 Aug 11 2009 	 Nice stay signature 	 husband & amp ; return stay Signature 8/08/-8/07/09 . purpose trip celebrate 30th wedding anniversary . book via MGM / Mirage vacation website . fly direct Southwest Providence Las Vegas also receive 2 ticket Cirque de Soleil show choice . ( choose 3 - receive ticket zumanity - nice show ) . request Tower 1 stay suite 31th floor . upgrade & quot ; penthouse & quot ; mean upper floor suite balcony . furniture balcony really can not use anything good view . good thing stay signature : non - smoking facility , onsite casino , store , good security key card entry . really well worlds- MGM Grand less 5 minute walk use move walkway could strip less 10 minute . monorail entrance MGM Grand Studio Walk convenient . traffic bad . road construction everywhere traffic massive grid lock . try cab , bus , deuce , monorail plain walking . soon clear good way we travel day monorail walk destination . cab night less traffic work well . one day go Fremont Street Deuce trip back interminable ! People sidewalk walk fast travel . not make mistake ! , use monorail walk ( ) .RAVES : check smooth despite , busy . employee always make point greet we name . suite nice comfortable . good sized- enough space 2 people . king bed nice really soft sheet . June Jacobs toiletrie nice . housekeeping efficient keep room well stock towel & amp ; toiletry . safe closet also 2 nice robe . kitchenette handy cold drink , simple breakfast , snack . well stock 2 people . cold water bottle refrigerator . room service last night nicely do . order room less 30 minute food fresh hot . man name Victor deliver set room . nice , cordial man- job well do . also use onsite Starbucks Delights restaurant . floor quiet . never see hear anyone floor . never wait elevator 1 - 2 minute most . as say , balcony great view strip surround area . window tint keep bright sun heating suite . keep air conditioner 70 degree comfortable . pool signature nice . tower 2 & quot ; main & quot ; pool . also use small Tower 1 pool . tower 3 pool close . lounge comfortable plenty towel bottled water ice . also waitstaff drink & amp ; food . & quot ; & quot ; rave ( rant ) : & quot ; resort fee & quot ; total ripoff . another way hotel raise price show officially . pay $ 20 per day resort fee plus $ 2.40 & quot ; resort fee tax & quot ; . resort fee supposedly bottled water , fitness center use , newspaper deliver room- go get front desk , & quot ; free & quot ; internet . find fitness much small amount guest . clean good machine , enough . People wait line machine even get chance wipe . go figured walk fitness time . internet , take computer vacation . water newspaper provide complimentary level hotel . another thing read many review hotel something & quot ; special & quot ; event like significant anniversary , birthday , etc . email concierge desk reservation desk inform would celebrate 30th anniversary ask anything special celebration like . concierge send back rather rude email state not every anything special anyone ( ! ) reservation desk email come place mid west say would pass message along could promise anything . remind checking , nothing special ever do . expect level hotel- least bed turn maybe chocolate , wine something like . nothing . some work do stone facade utility building Tower 2 Pool Tower 3 Pool . pressure washing drill something stone become noisy leave . loud could hardly talk . annoyance happen several day row . able go Tower 1 Pool , pool half size pool would crowd everyone else move . never go MGM Grand pool complex . ZOO , stay signature first place . another thing , complaint room rather skanky upholstered bench foot bed . dirty stain . Gross say least ! either keep bench clean suggestion would remove entirely . make sure none thing touch . really gross .... CONCLUSION : , really wonderful stay signature would probably stay . , say , $ 20 + $ 2.40 daily resort fee definately negative . 
 Aug 11 2009 	 go Vegas - stay ! 	 never travel Vegas choose hotel reading previoustrip Advisor review - certainly not disappointed . calm atmosphere - quick efficient check - witness many hotel reception ! Suite spacious , clean tastefully decorate . kitchen full fridge . two bathroom - one enourmous one jacuzzi bath large shower - granite throughout . lounge area large tv bedroom comfortable bed.- cover air condition walkway get MGM Grande really problem.- one end strip also problem - hot really walk anywhere anyway walk hotel jump immediate taxi arrive ! quite different hotel look mhile stay vegas enjoy fact . huge casino walk get room well think . lot choose ! travel Vegas 15 year son - trip see Grand canyon Hoover Dam hotel ideal we . would definitely return ! ! 
 Aug 11 2009 	 Sheer Elegance 	 not normally make comment like online read negative comment write luxury hotel think planet people . yes hotel excitement go vegas strip whole purpose stay . every night long night party rah rah look forward come back suite peace serenity sheer elegance . certainly not want try get rest next night activity sleep place sound like club leave . can not go wrong signature , next trip Vegas definately stay ! 
 Aug 11 2009 	 Oasis Calm Otherwise Tacky City 	 place tastefully decorate , well appoint , sweetest , tranquil little pool ever get Vegas . find price reasonable amenity . recommend without reservation . 
 Aug 10 2009 	 good hotel Vegas ! 	 husband travel Vegas frequently generally make 2 3 time year . ' ve stay Venetian , MGM , New York New York , Excaliber , Luxor , Circus Circus ... finally , trip friend 's birthday- MGM Signature . beyond impressed beauty , comfort level service hotel . quiet , clean fantastic location . Daily would call towel water whatever need , always promptly deliver Robert smile . would ask evening give we tip discount , great restaurant let we know drop name get extra perk around town . like personal concierge ! future , signature MGM always hotel choice . cost bit 's worth ! 
 Aug 9 2009 	 want crazy town ! 	 visit Vegas part road trip . would not top list place visit despite ridiculousness place , great time ! hotel welcome escape busy , loud , smoky casino check - in quick , professional peaceful ( not see lobby walk around ) . block pool quiet uncrowded ( towel water provide ) . furnishing corporate predictable nevertheless high - end , good quality clean . suite spacious bathroom fantastic great jacuzzi . normally would look boutique hotel charm / character signature welcome alternative glitz tack Las Vegas . not know aforementioned exist Vegas although also impress four Seasons ( expensive / chic alternative share serene classy feel Signature Suites ) . 
 Aug 9 2009 	 excellent hotel 	 stay hotel excellent . quiet hotel room ever stay . amenity great . would stay sure . unfortunately , Las Vegas decide block almost every street time construction project make get around somewhat challenge , fault hotel ! 
 Aug 8 2009 	 nicely do hello ... hello ... hello 	 guest stay gorgeous hotel , one see , really occur ? Sums issue signature MGM . stay like stay Miami Beach condo . driveway , guard gate , nicely do lobby greet . room one three tower , real " connection " one another . room suite , offer kitchenette , sit area , bedroom , two bathroom , balcony . room modern sleek furniture , granite counter , etc . sleep quarter comfortable top - end linen television hide furniture — fun toy . master bathroom " wow " factor separate shower water closet . dining choice hotel slim ( starbuck go far ) . walk MGM bad , become repetitive . understand many people rave hotel — price often good week clean modern . however , feel like guy Andromeda Strain look around people confirm world still revolve . say , wife love time , . 
 Aug 7 2009 	 Great Hotel thing know stay 	 signature MGM Grand great hotel , thing everyone know stay there . first , foremost , Harmon Rd . extreme construction . will not last forever , construction massive definitely around . make get hotel car nightmare ! travel cab , $ 10 meter even get around corner . clearly hotel 's fault , deal frustrating . second , self parking . parking available hotel valet . valet parking free , will not access car leave something inside tip everytime get car . self park MGM walk along move walkway get signature , take time effort even move walkway . third , busy weekend not let non - guest park valet lot . friend stay Mandalay Bay come hotel hang . tell park MGM Grand walk . would let park Signature say full weekend . think kinda tacky luxury hotel . other stuff : casino prepare travel gambling need . charge $ 20 day & quot ; resort charge & quot ; addition room charge . treat people book different website differently . stay birthday book online booking website . lady front desk say & quot ; program & quot ; people birthday ( ) , eligible cause book outside website website . sure exactly program , think involved free room upgrade . get room low level floor . not appreciate treat like second class citizen book another website . the good stuff : room beautiful , comfortable clean . room jacuzzi tubs love ! pool nice fitness center great ! part resort fee use fitness center free , get free bottled water room , pool fitness center . addition free bottled water , fitness center stock towel anti - bacterial wipe clean equipment sweat . cardio machine individual tv headphone available borrow free . even chill towel cool workout . probably good hotel fitness center ever see . free high - speed internet also include resort fee . food Delights deli fantastic ! highly recommend Mahgarita Pizza , awesome ! room service good overpriced . I not think would stay construction Harmon do , definitely enjoy stay . 
 Aug 7 2009 	 oasi CALM within CHAOS VEGAS 	 book hotel purely basis trip advisor . change hotel bellagio one disappointed fact one good hotel stay in . yes strip 2 block away ( 5/10 min walk ) need get away chaos strip signature perfectly calm . start grade one bedroom suite . room massive 2 bathroom lounge bedroom . arrive vegas notice hotel balconie signature room . tv come desk bed room great boy toy . sub zero fridge ice maker . jacuzzi bath 2 great shower . first day go look mgm swimming pool find busy go signature pool leave area swim queit peaceful . aprt mgm hotel use facility mgm grand also put drink etc bill . get signature book grand night club get free vip pass . nice touchi defy anyone find well hotel vegas price . 
 Aug 6 2009 	 Fantastic - a gem place stay 	 single female previously visit Vegas company unsure stay solo traveller . happy find Signature . big plus non - smoking . walk smoky hotel great return non - smoking environment . feel safe staying swipe card get via mgm grande . room fantastic . spacious good size bed , facility self catering bathroom shower , spa bath even tv ! side walk way mgm get breakfast , starbuck sometimes want . book next year . 
 Aug 6 2009 	 Style Strip 	 stay hotel early year 2 friend certainly enjoyable experience . room decent size easily sleep 3 . nice seperate living area , access kitchen mean able keep chill drink snack roon ; essential dessert ! bathroom room one highlight . large stand - alone shower cubicle , seperate toilet , double sink highly relax large spa bath . we fortunate enough get room one high floor view strip additional positive point . the downside hotel location . despite connect walkway MGM take good 15 minute walk strip room . one morning go breakfast go 45 minute ! however , argue style , comfort space afford MGM Signature compensate extra show leather use reach : ) 
 Aug 6 2009 	 good place stay Las Vegas 	 husband stay 8 night honeymoon . fantastic time . special chocolate selection wait we room arrive . room gorgeous- spacious everything need . great fridge keep drink cold Las Vegas heat . front desk concierge staff excellent- courteous friendly . great 1 pool tower do not get pack could nearly always get seat . stay Bellagio Treasure Island definately enjoyable stay . quibble would many vegetarian selection room service menu . overall , enjoyable stay would definately go back . 
 Aug 6 2009 	 Brilliant Hotel - would recommend anyone go Vegas . 	 partner go 7 night stay Vegas June . stay tower 1 35th floor junior suite . staff friendly arrival ask room preference 15 hour travel exhausted not think anything time ... realise say want balcony ! ask arrival remember specify floor would like stay view / balcony would like . however , despite balcony good view room absolutely gorgeous . bed really comfy room stay cool without need air con constantly . bathroom huge shower good shower iv ever use . never bother noise think stay MGM could bother noise casino . signature like oasis return madness Vegas . go would definately stay signature . 
 Aug 6 2009 	 Little Disappointed 	 take wife Vegas first time June want book nice hotel rather & quot ; anywhere be fine , will not sleep anyways & quot ; friend trip . ' ve never problem . COLD WATER . yes , ' ve experience hot water never . never make stop two day stayed never get newspaper promise promotion . plus : comfortable bed , nice bathroom . con : cold water , service room . 
 Aug 6 2009 	 Gorgeous hotel - keep eye bill 	 stay 3 night signature , choose 's slightly quieter location . say discover noisy construction traffic Signature locate far end strip walk end strip night take 50 minute cover 2 mile way - however fault hotel . hotel really fabulous , luxurious junior suite - spacious , beautiful bathroom jacuzzi bath comfy bed . certainly good hotel stay road trip USA . pool lovely noisy child bar tender lounge bar pleasant , happy hour 4 - 6pm . want good quality hotel few child not mind walk , would choose hotel . negative watch two lot wrong item charge bill way account special promotional credit confusing . 
 Aug 5 2009 	 Fantastic Tasteful Hotel Near Strip 	 girlfriend & amp ; stay signature 3 night . travel around USA & amp ; Canada part around world trip stay 100 + hotel & amp ; motel 5 month period . signature certainly one favourite . room nice , stay 1 bed suite face towards strip . everything clean & amp ; decor tasteful . everything feel new even though must year old . bed comfortable & amp ; bathroom & amp ; bath amazing . small lcd tvs bathroom . staff polite & amp ; friendly . valet parking think . not use pool look ok balcony . 5 minute walk MGM Grand 's least could eating & amp ; drink ! probably much well money . 
 Aug 5 2009 	 luxury room great price ! 	 stay 2 night signature @ MGM Grand trip western USA . w/o doubt good hotel trip , nice special offer time come : junior suite package include 2 breakfast , 2 cocktail pool bar $ 30 credit use hotel service in - room dining . location : close center strip ( 5 - 10 ' walk straight Las Vegas bvd , go inside MGM Grand ) . fact facility separate casino mean however calm , smoke - free sophisticated , appreciate . general facility : 3 tower . tower 1 close action , Tower 3 distant . one pool per tower + pool original MGM Grand . design : modern fancy design - nice , check - in : quick , professional , efficient , good level information . complimentary valet parking include . the room : open door highlight : junior site include huge king - size bed , large flat screen , fully equip kitchen , sofa , desk , comfortable seat bathroom jacuzzi independent shower . could stay pleasure full 2 day ... include continental breakfast ( @ & quot ; Delight & quot ; ) : breakfast include juice , yoghurt cereal fruit , choice one cake . yoghurt fruit good , however one we would prefer exchange cake toast bread . pancake american breakfast also look great table . staff bit confused time , mainly speak Spanish . service & quot ; Delight & quot ; good elsewhere mgm.other service : try in - room dining evening . waiter arrive time ( 30 ' ) small wagon could leave room table . food nice ( exceptional fully ok price ) .We definitely stay travel back Las Vegas , probably ask room Tower 1 2 reduce bit walk ( Haagen Dazs ice cream MGM Grand melting bit fast way back spite AC : - ) ) . 
 Aug 4 2009 	 Best LV hotel - walk ? 	 stay 2 night MGM Signature & quot ; birthday & quot ; special . able upgrade 1 bedroom suite since dh 's birthday day check + $ 100 worth drink pool . 1 bedroom absolutely gorgeous . tower 1 request 37th floor corner suite . huge window balcony ! ! 1 bedroom seem configure way bedroom several room away suite next door . never hear sound elevator readily available . the complaint walk amaze time last day walk slowly suite casino 5 minute . pool - one signature main MGM area actually close stay signature MGM Grand . we love - staff great . free internet , free bottle water whenever , fitness center include $ 20 resort fee . we stay MGM , Mandalay Bay , Monte Carlo , Treasure Island , Paris , Mirage past - signature well far experience . do scared walk big strip hotel . 
 Aug 4 2009 	 say ' ve Vegas 	 gambler time take show since overnight stay , say much city hotel experience . experience bad traffic due road construction . book signature gambling facility site , thus quieter location . entrance little difficult find stop direction . desk attendant business like , pleasantry , would describe cold fish . room nicely appoint ( 17th floor ) . doorman leave next morning nice , provide we accurate direction leave city even provide we several bottle water next destination , Death Valley . hotel connect enclose walkway MGM Grand monorail stop . be look non gambling facility would fit bill prepared & quot ; Resort Fee & quot ; explained cover WiFi , 2 small bottle water , in - room coffee ( enough maybe 2 cup ) pool access . personally , think would stay somewhere else ever go back -- doubtful . 
 Aug 4 2009 	 Grade a+++ Accommodation ! would stay 	 signature MGM great place stay ! stay 5 night Tower 3 , unfortunately furthest away MGM Grand Resort bit walk , look like good accommodation Las Vegas . give balcony look fantastic Las Vegas , away crowd people . easy check check stay hotel Vegas . would stay . especially take family , great pool resort feature access MGM Grand Buffet restaurant etc ... love ! 
 Aug 3 2009 	 Nice Relaxing 	 first stay signature love . front desk , concierge pool staff helpful , friendly professional . wake morning light breakfast , spend day lounging pool , go enjoy night life . enjoy good world . book private owner VRBO.com housekeeping , etc . do hotel front desk give we direct number call need anything . 
 Aug 3 2009 	 get walk shoe 	 overall resort really nice . room great , pool great , service great . problem hotel 10 - 15 minute walk MGM Grand Casino . walk cover move walkway would lot well get elevator casino . 
 Aug 3 2009 	 disappointed small thing 	 valet check - in flawless room well appoint spacious . however , overall stay quite disappointing . room housekeeping . rang room clean evening coffee replenish receive service . move clean room instead tell not enough staff clean room . room move damage light fitting fall off . also quality stay depend else floor . hear noisy guest door appear sound proof . 
 Aug 2 2009 	 would book next time directly thru hotel 	 Booked Jr. suite Blue Chip . rate $ 535 4 night Tues - Friday ; fair really smokin ' deal . room nice several break item require maintence visit room twice ; inconvenient want relax . kitchen lack plate although coffee maker , one pkg . coffee . phone front desk request pack coffee , give one say since room book via Blue Chip , provide refill . go downstais Starbucks . we attend annual conference Vegas try mix business leisure . stay five different hotel resort area would return signature due outstanding service front desk , door man , etc . friendly , helpful go extra provide good experience guest . a note pool area . would recommend place family pool area tight many lounger small pool . 's much entertain kid end noodle toy place . one mom feed brood POOL -- gross ! 
 Aug 2 2009 	 Best Place stay Las Vegas 	 start finish , stay awesome ! different approach hotel love ! location bit confuse nearby construction find worth ! staff really professional ! visit want great hotel / resort , go signature MGM Grand Las Vegas ! 
