hot 	 New York Helmsley two - and - a - half block Grand Central Station even close Chrysler Building , Bryant Park street . shop real close , starbuck local little place grab snack . NY Helmsley within walk distance Madison Sq Garden ( 20 min ) , Radio City Music Hall ( 15 min ) , Rockefeller Center , Times Sq .. ( 15 min ) brisk walking . great location . stay 36 floor room nice view , opinion . opposite side hotel view Empire State Building , side Chrysler Building look side , diagonally leave , right could see part Queensboro Bridge . room HOT , warm good . control air keep window open whole 4 day . lobby restaurant due renovation , tell would do mid December , know book . room pretty clean find sock bed someone else 's stay . towel , bathroom soap great robe provide . coffee pot room , refrigerator , microwave room . dbl bed seem small use , comfortable ! ! would stay right price . 
 nice stay would appreciate inform ongoing renevation 	 Third stay hotel although first one three year . room excellent , staff friendly however would much happy tell renevation lobby . bar hotel , lifts kaos times ground floor pretty much building site lift system part improvement . still nice stay would much happy tell booking certainly would influence hotel choice . 
 May 22 2008 	 Excellent hotel ! 	 Excellent hotel . nice location , near Grand Central Station . room nice bathrom inside good . this hotel charge breakfest , , well eat street . the price also reasonable . 
 May 18 2008 	 Pleasant Surprise 	 travel almost every week NYC never stay Helmsley Property . think style ( boutique / contemporary side ) , something & quot ; Queen Mean & quot ; make want stay hotel . well -- fact great rate Travelzoo & quot ; Queen Mean & quot ; long ... decide give try . expectation would snobby stuffy environment -- -boy wrong . I book Travelzoo frequently , often get associate low level service low price ( second class citizen treatment ) . ... minute walk , every person come contact -- -be front desk , car attendent , hotel operator , housekeeping -- bent backward friendly attentive service miss many hotel NYC . arrive 11:00 -- -fully expect room availability early . really intend leave bag , say -- -what hell -- let give try . happy give room satisfy request high floor -- - 38th . room style -- - stylish -- great size great size bathroom . little date , yes . could use bit renovation , yes . everytrhe need , good working order , clean . ' m use snobby , & quot ; let favor allow stay property & quot ; cold shoulder treatment many NYC hotel ( i.e . flatotel , Waldorf Astoria , Intercontinental Barclay , London , etc . ) attitude service count alot . ' m willing overlook alot little thing hotel right . yes , location great , room large , amenetie nice -- , PEOPLE Helmsley New York make truely enjoyable experience . would hesitate stay , Hrlmsley property , ever . may mean -- look like celebrate freedom ! ! ! ! ! 
 May 18 2008 	 ok offense style . 	 like : scratchy robe , towel polyester sheet . date , ugly look print bed spread . motel grade linen . Liked : spacy room , staff helpful . overall verdict : ok , bring linen . 
 May 15 2008 	 great location 	 great location 42nd street minute walk 5th ave.very nice room ( get 41st floor view crysler build ) ok , clean goog service . 
 May 15 2008 	 New York - amazing place 	 arrive New York JFK courtesy limo Lincoln Limousines ( $ 65 one way - trip easy , car need update ) . pull hotel , go front desk greet Doris start trip perfectly . big smile , easy check process ( room ready check bag ) Doris pretty much take we wing . pull map Manhattan pretty much plan trip next four day . like tour guide . amazing route fantastic . want experience New York , make sure speak . give we insider tip ( take Staten Island ferry see Statue Liberty since apparently , long go inside . ferry free . ) recommend great place eat ( try Sarge 's Deli , 548 3rd Ave , 36th Ave 37th Ave ) . hotel nice although room could probably use bit updating . stay 31st floor overlook 42nd Street . room fine king size bed , flat panel tv , regular sized bathroom room safe . apart street noise ( typical New York siren blaring horn honk ) occasional door close ( sure necessary make door heavy close , room shake . nice neighbour gently help door close . ) , everything fine . eat hotel use facility ( couple computer guest usage cost ) . restaurant beside hotel breakfast light lunch suit people fine . hotel really well situate 5 minute walk to / from Grand Central probably 15 - 20 minute walk to / from Times Square . use New York subway . be great way get around well taxis part . Traffic New York unbelievable , hour day . , fantastic stay although Doris work day leave , smile leave we . stay Helmsley , be worth . 
 May 11 2008 	 love Helmsley 	 great location , close Grand Central lot dining option . clean well appoint room - friendly helpful employeesharry 's Bar , locate lobby terrific food great late night dine optionpax- healthy , fresh food right next doorstarbuck within block 
 May 9 2008 	 Fantastic experience 	 would strongly recommend visitor stay marvellous hotel . unsure first make booking delight upon arrival . efficient friendly service door door . delightful spacious room comfy bed ! location perfect . stay hotel certainly make holiday fabulous . 
 May 8 2008 	 great location dirty room 	 Leona surely turn grave . hotel perfectly locate Midtown everything convenient staff accomodate every way , room date dirty . need deep clean floor room , would make guest feel comfortable ' m sure . coffee pot mini bar room ( 3711 ) faulty shower button take 2 day master beautiful view window , Chrysler build close touch ! need 2 double bed room not much space not european tiny either . since spend time room not use amenity hotel , ( gym restaurant ) nightcap pleasant bar lobby . we draw Helmsley reasonable ( NYC ) price locale since walked cabbe everywhere can not let know convenience subway Grand Central Terminal block away Theater district 7 block direction . may may stay , would depend NYC accomplish . not plan staying room much not squeamish floor cleanliness bring slipper consider hotel look something moderately price midtown . 
 may 8 2008 	 Top Class Memorable stay 	 take five day break Helmsley New York end April … .. give room 10 th floor , room top class need , iron board , Sat TV , clean comfy bed . previous review state noise bad road , back hotel sleep window opren fine . apart hi standard room , really big plus location , pretty much slept room , let ' honest ' New York ' want spend time room . pretty much central everything , hotel 8 buzz hit 42nd street , ' great , like previous reviewer choose eat hotel ; purely want experience full New York breakfast … pershe Square opposite Grand Central expensive must do brilliant breakie … .. small deli side call Cipriani ' also worth go ( ' next big hall Cipriani ' ) walk Time Square ( ' great park ; bryant park great happy hour bar buzz ) top rock , leave empire state building q long . get subway Battery park take ferry Statue Liberty Ellis Island ( well worth , prepared Q ) ' great market Union Square Satuday well worth go , walk back hotel , also walk central park … … a wonderful city excellent hotel use base 
 May 7 2008 	 Close Perfect 	 stay three night May ' 08 find property nice . management accommodate request ( mention ) location hard beat average tourist . the elevator fast , housekeep consistent tv channel selection vast . pillow problem . know take , find pillow hard rock . additionally , room temperature unadjustable ( end sleep window open ) bed comforter could use update . overall , however , totally enjoy stay problem significance . 
 May 4 2008 	 say 	 stay Helmsley year previously impressed . time however feel need . room comfortable , service friendly attentive location fine ( work , wife daughter tour shopping ) . room show alittle age , modern 40 & quot ; digital flatscreen TV free broadband bring date . do use restaurant comment . think downside price bar . 
 May 2 2008 	 Fabulous hotel 	 stay Newyork Helmsley 7 night fab hotel , great welcome , staff excellent friendly helpful . need cater , hotel would definitely go back . 38th floor view amazing . leave $ 3 day tip cleaner also tip bellman front house staff get we cab . A+++++++ 
 May 1 2008 	 good hotel tourist week end 	 good , clean , well decorate tourist hotel East side 42nd St btw 2nd 3rd Ave 's . block Grand Central subway quick walk U N. Staff attentive helpful . room clean nice furnishing . upscale place comforable nice . flat screen v wall , comfortable matress great east side view look towards Brooklyn U N . 
 Apr 30 2008 	 great hotel stay NYC 	 husband return wonderful 5 night stay New York Helmsley Hotel . location excellent , 10 min walk Times Square $ 5- $ 6 cab ride . moment arrive hotel door staff ( especially Ritchie ) bell boy reception desk staff fantastic could not enough we . email previously ask room high floor . could not get high 41st floor amazing view Crysler Building city light . room great size huge bed great shower . room clean daily always tidy come back day sightseeing . never disturb noise night . evening flight home ask late checkout , problem even hold onto case we take final stroll around city . Harry 's Bar small bit pricey , hey hotel ! gripe bar close even hotel guest still drink . thought would remain open last guest leave ? ? ? ? do not eat hotel use Pax Deli right next door perfect brekkie . security night appreciate check every guest room key gain access lift night . would highly recommend hotel great base city . 
 Apr 28 2008 	 Great experience 	 stay New York Helmsley extremely enjoyable . exit LGA , short cab ride $ 20 + tip . take room wonderful view Chrysler building , request let know email anniversary . stay 6 day , location ( one primary reason choose reserve first place ) prove major asset . close Union Station , able take subway major point city . people entrance reception extremely courteous helpful . answer question amicable manner . our room decent size NYC standard . clean tidy , oasis spend whole day walk . expect 4 star hotel , upset miss . however , since expectation ’ high , pleasantly surprise much get price pay . beat , especially nyc.one thing ' like wait staff bar . stop one day drink since rain neither one feel like get wet . bar bad music ever , waitress ' friendly efficient . think rely guest stop drink , take grant . therefore , drink , pay , leave minimal tip . other , definitely back , definitely recommend friend . 
 Apr 26 2008 	 disappoint 	 preferred hotel company . Stayed 4/13 - 4/15 . 6:30 4/14 , awoke prepare business meeting . hot WATER . call desk complain not answer numerous try . water come back 7:15 - enough time quick wet . leave room meeting discover room would lock behind . left belonging go desk complain - get pitiful sorry . room service dish leave hallway hour . never remove dirty bowl glass room entire stay . sound wind door keep night . ' ve stay much well experience . time , terribly disappointed . ice machine every floor one tell . temperature inconsistent . although convenient train , place go hill fast . price pay ( $ 350.00 corporate rate ) would never stay . upside , elevator security guard personable - one . bartender act like inconvenience make drink take room ( way price ! ! ! ! way ) . unhappy let company ( major insurance company ) aware unsatisfactory accomodation . 
 Apr 22 2008 	 add truely magical time NYC 	 partner suprise 2 year anniversary trip NYC long weekend .... book dial - a - flight ( aka dial - a - s * * * e ) , book we terrible hotel terrible review broadway ( Days Inn ) decide change hotel last minute . all say , incredibly rude whole thing charge we huge amount money true explanation ( consider day Inn website , apparently cancel last minute without charge ) .anyway , decide book NY Helmsley alternative , alternative be . the light outside magical , even though like step 80 's film set , hotel clean , smart expensive looking . the bellboy / reception desk helpful ... deal every problem . for example , stay 22nd floor ( ask floor high booking , really worth ! ) want open window , whilst , top part window sort come slide would not back , deal straight away ) .also , tv remote make disappear act ... search high low ( still do not find ! ) call send we new one ! room clean , obviously date , since spend time hotel NYC ? Harry 's Bar downstairs expensive , GREAT diner breakfast east 45th 2nd 3rd ... amazing pancake 7 buck .... would say , venture Tribeca / Soho / West Village good restaurant place eat / drink . overall , fab break , hotel great . stay .... definitely recommend . 
 Apr 22 2008 	 helmsely Hotel -A great place stay NY 	 great place stay NYC - service friendly , room spacious , clean nicely appoint - location , location , location great- mid - town Manhattan - close Grand Central within walk distance many land mark . 
 Apr 22 2008 	 great stay Helmsley . 	 group lady stay Helmsley mid April & amp ; find great hotel . the location excellent , partly book it . I read website hotel look $ 100 per room per night deposit - refunadable end trip do not charge anything room . this mention either hotel website Booking.com , would not know mention review previous guest . the hotel clean , comfortable find receptionstaff helpful . complaint large group would regard bellhop , really let hotel opinion .. friendly think chance receive tip , however whenthey get tip , completely disintereste help us - Rueben particular rude , actually take money hand chance give , do not bother take luggage outside airport transportation - ask somone else we . only hurry , would brought attention hotel manager , happy treat we . say , rest hotel staff fine , rudeness would put stay again - next time however would ready ! ! website mention pax deli next door , fantastic set , eat every morning - endless selection food eat reasonable price . overall would recommend hotel people & amp ; would definitely stay . 
 Apr 20 2008 	 Great Hotel 	 return New York stay Helmsley follow recommendation , Great Hotel , clean , spacious stunning view Chrysler building room 39th floor . staff helpful , always willing answer question . location fab subway 2 min walk away close Empire State , 5th Ave Grand Central . Didnt use restuarant facility early pax deli next door great yummy food cake ! ! ! ! must see trip Ground Zero visit Ground Zero museum workshop 10 min ground zero cab locate Meatpacking district , good thing trip NYC , Overall Helmsley lovely hotel would recommend anyone can not wait go back ! ! ! ! ! 
 Apr 19 2008 	 Fantastic Location standard 	 hotel good location . 3 minute walk Grand Central Station 42nd Street . welcome hotel . room good standard excellent view . maybe worth ask type room require check . free WIFI throughout hotel . concierge helpful advise we brilliantly location diner / restaurant etc . also advise we fantastic hotel serve egg benedict fairly locally . enquire check flight on - line , concierge log check we , even change seat much well one' . there great takeaway shop next door hotel , lot people use buy breakfast . staff friendly helpful . overall , thoroughly enjoyable visit hotel . would definately recomend . appear almost complete refurbishment , still room refurbish . good check check . 
 Apr 15 2008 	 good bet money 	 wife stay New York Helmsley last Saturday evening enjoy night town without commute back suburb . $ 358 include tax , book room king size bed , available check - in . clerk give we room two double instead high floor nice view East River Verazzano Bridge background . room average size midtown New York hotel , , , usual amenity . fitness club premise , swimming pool , elevator always crowd . the shower need little tinkering get work properly . on plus side , bed comfortable , staff pleasant , wall thick , HVAC seem work . hotel great location -- 42nd Street , near Third Avenue . dinner Oyster Bar Grand Central Station , one good seafood joint New York money . theatre , come back hotel drink Patrick Conway 's , great irish pub near train station . forsook $ 24 per person brunch hotel ( look good ) , take walk , find Townhouse Coffee Shop Second Avenue 38th Street , $ 25 two we , delicious breakfast . walk First Avenue , view United Nations garden . time leave home , think weekend experience need . would not necessarly rush back Helmsley similar expeience , would come back without undue worry concern . 
 Apr 15 2008 	 2nd time ! 	 stay Hotel April 2007 friend . return husband son year April 8th - 12th ( check 13th ) 2008.i love place ! year room back Hotel view Empire State Building . the hotel well situated , easy walk distance main attraction - Chrysler Building , Times Square , Grand Central etc etc . stay twice different room , say standard accomodation . hotel represent high quality value money . return New York , would stay anywhere else - would certainly recommend it . unfortunately hotel 3rd Avenue re - surfaced beginning April , sure customer find noisier normal . recommend : Top Rock Experience Night ! 
 Apr 11 2008 	 Great Location 	 fantastic location , within walk distance majority attraction . lack basic room facility would normally expect hotel , example kettle , coffee etc . would recommend request room back hotel , despite 24th floor noise street loud constant 24 hour day . 
 Apr 10 2008 	 location great ! 	 location hotel fabulous . within easy walk distance main attraction Manhattan . Grand Central Station minute away . we actually walk back Central Park , take we half hour along 5th Avenue ! hotel staff friendly check quickly queue . as travel two son , request room next door , see without problem great ! downside tea coffee facility fridge . the PAX deli right next door godsend ! also warn require deposit 100 dollar per night ' incidental ' - guess must common practice among hotel ? enjoy stay Helmsley would recommend friend ! 
 Apr 9 2008 	 Spoilt 	 spoil week quality hotel New York . location 42nd street wonderful , room fine make & quot ; mistake & quot ; phone home England . make single call 5 minute . information room rate expect modest surcharge - bill one call $ 80 ( £ 40 ) regard charge extortionate challenge receptionist check . could defend , agree high $ 17 per minute ask fill customer feedback form ? certainly - course response . clearly management regard 's customer fair game . avoid unless want fleece . 
 Apr 9 2008 	 Perfect Choice 	 person give five star rating without good cause , hotel earn it . we stay 4 night February prefect start holiday . moment arrive treat special . front hotel screem luxury taxi pull greet uniformed doorman tell we leave luggage go through . the room ( request ) high floor great view little traffic noise . the Bell hop give we welcome talk bronx accent straight movie . room spacious , clean , well decorate luxurious . bed perfect bathroom right.we not eat hotel last night , prefer sample New York 's fine however ( despite mixed review ) restaurant great . peaceful relaxed good food reasonable price ( even though waiter look escape 1930 's horror flick ) .would stay ? - bet . location perfect everything midtown within easy walking . hop Hop bus tour stop hundred yard away travel afield . would like balance review negative thing hotel really not . 
 Apr 6 2008 	 Loved Place Great Location Value 	 stay Helmsley Dec. 2007 . arrive early morning flight expect room ready staff helpful getting bag check suggestion interim . room excellent . clean , well keep spacious ny standard . the concierge helpful last minute restaurant reservation . hotel well locate Mid - town within walk distance 5th Ave shopping site , MOMA , gallery . I would return anytime would recommend highly . tip : great Coffee Shop ( PAX ) right next door hotel local grab morning coffee and/or breakfast . frill great value alternative Hotel Dining Room Room Service . line - up long move fast . 
 Apr 5 2008 	 Good Location Good Hotel 	 arrive hotel pal , exhausted & amp ; look forward take much - need nap smoking room book not ready . apparently be one floor smoking room whole hotel . early check - in time couple cocktail Harry 's Bar , 15 % gratuity add automatically ! Returned check - in couple hour later still smoke room ready accept non - smoking room instead assure nice city view room - 30th floor , could see Chrysler delighted find two bed instead one share . hotel 's staff always helpful bar friendly . bed extremely comfortable in - room safe plus . pax Deli next door hotel ok breakfast walk Pershing Sq Cafe ( less 5 min , side road ) fabulous breakfast great atmosphere . Capital Grille couple min road side really nice dinner ; be cheap staff attentive 's pleasant treat . direction McFadden 's Bar serve lovely fish dish . cocktail View bar Mariott Times Square , view really great & amp ; go sunset 's really quite pretty . overall hotel 's location great Times Sq 15 min walk 5th Ave shopping bit less . think Macy 's ok Bloomingdales prettiest bright department store Century 21 worth visit past - season designer good fairly chaotic . 
 Apr 3 2008 	 great hotel excellent location 	 little concerned read less enthusiastic review impressed hotel . suggest other requste room high floor - 32nd floor great view Chrysler building . go two teenager room plenty big enough three us good bathroom - certainly look clean modern . Location , say , convenient central . we not bother restaurant deli next door good mile cheap . even make lack coffee make facility less important . not fabulous hotel ever really complaint . 
 Apr 1 2008 	 Loved love love 	 experience hotel far exceed expectation . everyone nice friendly time arrive step cab time leave go airport . bellman spot everytime willing accomodate anything need . arrive early arrangement make we get check early . concierge desk friendly helpful asking direction certain area . room nice , clean yes , bed comfortable . love light bathroom four lady plenty room get ready . already plan next trip definitely stay . would recommend hotel anyone want great price type luxury receive . location fantastic . Helmsley Hotel make trip memorable one . 
 Mar 31 2008 	 nice clean hotel 	 stay hotel 5 night end March . room two double bed ( 3 family member staying room ) . book prepay website get good deal . arrival reception area nice . complaint hotel , room average size clean . bathroom large , lot nice large bath towel clean daily . tea / coffee make facility room often go deli next door bring drink back . check Trip Advisor travel see pax deli recommend .. however really busy rush hour morning first morning breakfast hotel . get buffet breakfast .. 24 dollar get amazing breakfast .. fresh tropical fruit , cereal , youghurt , crossaint , crusty roll , doghnut , waffle , french toast , bacon , sauage , etc etc . juice freshly squeeze refilled glass many time want . really good meal do not eat night worth money . location hotel good .. mainly shopping / sightseeing trip perfect close Grand central station easy access number subway line . good stay would highly recommend hotel good stay New York . would stay hotel . 
 Mar 31 2008 	 New Year Helmsley 	 boyfriend spend 4 day New Year hotel . frill package , can not comment food service great extent . however enjoy room give . spacious , comfortable bed nice bathroom make lovely rest stop inbetween explore city . we pay nose , new year New York , do not seem less anywhere else . also great view could spy Chrysler building room . we appreciate excellent location can not highly recommend enough Comfort Diner round corner , true New York breakfast experience , excellent ! 
 Mar 30 2008 	 nice ! 	 nice hotel , great location , friendly service , would go back ! 
 Mar 29 2008 	 Travel Agent Review 	 FABULOUS hotel ! ! ! ! first trip New York , ! ! ! acouple day get feel place , shop ( LOTS ! ! ! ! ) , tourist spot etcthis fab location opp chrsyler building , 5mins walk time sq , empire state bluiding , bloomie , macys etc , room large plasma screen tv wireless internet , upgrade empire room view empire building . all staff friendly polite restaurant bar badly price . lift not bad top floor ( 42nd ) take less minute reach . this good 4 star hotel fantastic large feel , need New York ! ! 
 Mar 28 2008 	 great NYC discovery 	 back 5 night stay Helmsley wife 2 daughter . great location , free WiFi , room big two double , comfortable . quite hot night , even swtiche vent . solve opening window . email day ask upper room , arrive luck ! bathroom empty fridge .. connect main free - float line ... quite unsafe EU standard in - room safety deposit . everything resolve day room change . high floor , hazard bathroom electronic lock safe . staff friendly helpful . really competent fast responsive help WiFi net connection . check check easy , fast efficient . really comfortable bed , appreciate day long walk NYC , clean room ( NY standard ) bathroom hairdryer plenty large bath towel , hand towel face cloth . daily clean ok.the dark side : tea / coffee make facility , date decor flush noisy bathroom 
 Mar 26 2008 	 central 	 moment enter building could fault . got everything ask . Kevin heplfull tell we different place could eat night . fresh towle every day & amp ; bed dress could u ask . even 10min walk times square . 
 Mar 25 2008 	 Fantastic New York Hemsley 	 read previous 2 review think add mine balance . my sister stay mid January 6 night . first trip NYC . hotel fabulous ! ! ! ! beautiful room , large comfy bed .The bathroom great large fluffy towel change every day . the staff wonderful , especially Anthony Patrick front lobby helpful advice tip eat see . go back Harrys Bar evening nightcap relax way end evening ! ! would book hotel gladly hope autumn . 
 Mar 25 2008 	 great location 	 Great Location , check quick , ask high floor . king size room , everything need apart tea cooffee , know take kettle etc . we 28th floor , think need least high avoid traffic noise . bar friendly , also serve snack . Hotel Staff helpful . easy walk Times Square , Empire State Central Station . 
 Mar 24 2008 	 good location 	 six night stay . four we quad room ( two double bed ) . got good rate hotels.com end stay extra night due flight delay . charge extra 550 dollar room extra night way much room ! five previous night much altogether ! air conditioning working room hot especially night . bell boys hotel entrance practically beg tip last day slightly irritate result we give less rather ! ! bring travel kettle morning tea ... good idea ! although negative note Helmsley feel overall great hotel stay location alone would probably return . room good size clean New York hotel standard . 
 Mar 24 2008 	 Annoying check - in 	 travel UK Newark Airport take Airport Express bus drop we near Grand Central . hotel block half walk . we arrive hotel find problem reservation something book agency use we . keep we wait 10 minute complain ask take room . eventually rang room say problem sort . we stay hotel twice week NY . first 3 night 2 . return problem check . time seem problem allocate room we . keep wait eventually manage allocate room . the first room problem toilet would not refill properly room hot . second room much well seem floor recently refurbish ( 20th ) . facility either room make hot drink . however , room ample towel toiletry . the hotel good location site Manhattan Airport Express bus - put poor service front desk . there great deli / diner right next hotel great breakfast . 
 Mar 24 2008 	 old worn hotel 	 stay Helmsley last week business trip dissapointe . feel like not update since 80 definitely appropriate business travel . lobby feel like depress airport bar room none amenity would expect 2008 . like time warp . bottle water room , mini bar , vend machine , decent shampoo . might ok travel budget want convenient hotel NYC think Westin around price feel like contemporary hotel . overall , core basic dire need remodel . 
 Mar 22 2008 	 terrible experience crappy hotel 	 March 22/08 - currently stay hotel 's one bad ' ve stay . poorly appoint , coffee maker prev mention , mirror bathroom -irritate 3 woman room , room stifle hot . Bathtub drain plug , fix still slow disgusting , towel replace first day . tv remote work , plug room -difficult recharge camera etc . generally not complain much huge disappointment group would stay . originally book another hotel overbooke Expedia change we day trip lot choice . 
 Mar 21 2008 	 Brilliant Hotel 	 stay Ny three occassion say two hotel time sqauare hustle bustle . stay Hemsley get away glad , wonderful hotel , book ebooker get excellent rate two people two double bed amazing Chrysler building room 2507 , staff freindly problem check , even sort transfer return trip uk , .Piece advise travel jfk hotel flat rate cab around 45 $ excellent , travel Newark time $ 85 there s quite alot toll pay , way back hotel book bus company call golden touch take we back Newark Airport $ 23 much well price , website i m sure email hemsley happy arrange . really like hotel within walk distance main attraction ny offer definately stay , little gem , room big bathroom rare find NY room clean top fresh towel daily , hope review helpful always come stay anywhere first iv never wrong : ) 
 Mar 19 2008 	 Perfect Location ! 	 Stayed son interview Seton Hall University . got great deal Expedia $ 179 / night Sat / Sun . hotel 2 block Grand Central Station . 's easy walk take subway everything -- World Trade Center site , Times Square , Chinatown , Little Italy , Greenwich Village , SoHo , etc . get Seton Hall , take Subway Penn Station , get ticket NJ Transit take we straight South Orange . university 10 - minute walk train station . the hotel clean , great fluffy towel , comfortable bed , flat screen tv , free internet access . travel frequently know & quot ; hotel snob & quot ; definitely stay . staff soooo friendly , check - in check - out . let we check noon , allow we late check 1:00 . every staff member friendly helpful . room not coffee maker , important not drink coffee , however may issue . 's Starbucks half - block away pax restaurant right next door . also room air - conditioning control , open window comfortable . ( could problem summer month . ) be great deli 4 block 2nd Ave . call & quot ; Sarge 's & quot ; be open 24 hour . wonderful big sandwich soup . also convenient hotel CVS directly across street 's open 24/7.overall , love location hotel definitely stay . 
 Mar 16 2008 	 Basic ok 	 look hotel stay one night see show - location significant arrive Grand Central . - price , hotel fine . want little drop bag , clean , see show , sleep . clean , relatively quiet , near grand central . staff seem pleasant - particularly guy deal car . yes , date almost every way term decor , carpet etc . , say , clean adequate price - pay 255 . coffee room , mini bar ( fine rip usually ) . nice little place could get coffee etc . right next hotel work substitute . price , rest upwards 350 . , reasonable compromise . stay long want use hotel amenity , might try something else . 
 Mar 16 2008 	 5 Nights New York Helmsley 	 arrive 22nd Feb ( 25th We d Anniversary 24th , ... treat ) long day arrive Helmsley tell expect us 27th , receptionist make phone call tell we not problem etc etc would give we nice room . room 14th floor , king size bed , good bed ' ve ever sleep ! room clean spacious enough two we . view chryls building . disappointment not tea make facility , although later find could ask ( add bill ) anyway ... please take credit card need check , debit card , one would not work thank god hubby american express accept everywhere use . goldfish card not , personal bank card ( plenty fund ) .. also beware cash machine lobby , accept banker card never give cash .. sorry harp cash etc be new state like , do not clue would would not accept . Breakfast Mindys ( downstairs ) great , founed do not need eat 4 pm breakfast buffet style eat much want / need . the staff Minday Harry 's bar attentive , British not use , fair could get use , service great , fast efficient . the hotel great situation Grand Central , honest walk time , buy 7day metro ticket $ 23 handy be tired 's easy jump train , say , cab cheap enough want use they . overall fab time , hotel expect , clean comfy , believe , I m clean freak happy stay . 
 Mar 15 2008 	 Great Location Great Staff 	 little uncertain hotel , , picture , seem little dated . great . moment check , leave , staff friendly , extraordinarily helpful professional . I impress many staff around hotel , always ready help service . the room great . large comfortable ( 12th floor view 42 St. & amp ; Chrysler Bldg . ) clean . bathroom large , unusual New York really nice feature large , plush bath sheet towel , tiny , thin , small towel often find hotel . the room complementary Wi - fi convenient really helpful , search internet bus schedule NYC magazine website din recommendation theatre review . we find great price Orbitz , $ 207 first two night $ 187 two . location excellent , close 4 , 5 , 6 subway line ( 1.5 block walk ) . nice cafe downstairs ( PAX ) , could get good breakfast , sandwich , baked good eat take away . would absolutely stay hotel , positive experience . 
 Mar 14 2008 	 eh ... 	 eh , Helmsley okay . location great , close Times Square , etc . room tiny - king bed rollaway , not walk room . everything clean though . decor kind date though . bar / lobby area downstair decent - , nothing spectacular though . need clean place good location sleep / shower , would highly recommend Helmsley . be plan spending time room would like something luxurious , try something else - 's plenty option NYC . 
 Mar 13 2008 	 expect 	 book hotel last minute get good deal 5 night price 4 . take airport bus JFK Grand central walk block half hotel . we swift efficient check - please note need credit card hold money even though room fully pay . stay king size bed room 12th floor . plenty lift floor . room average size tv , hang build wardrobe , safety deposit easy chair . small bathroom bathtub shower . facility make hot drink fridge . the room clean daily whilst . comfy bed quiet night sleep evening . small gym 6th floor - machine close together easy use . overall hotel expect place sleep sight seeing day . great location explore use subway . good coffee shop locally breafast . 
 Mar 12 2008 	 bad 	 staff service great . everyone helpful friendly . room not bad , great . basic clean hotel room , important . 2 night around $ 200 night . view Empire State Building flat screen tv . decor little outdate linen somewhat worn . bathroom small , ' ve small New York city . bad . 
 Mar 12 2008 	 Decent far expect 	 stay 4 night benefit show . past event put ritzy place expect good . staff friendly , first man encounter go way help we back car properly , unload bag park car we without question . once settle though , realize small room less average Hilton . view nice , could see Empire State Building beautiful night , flat screen tv.however , coffee pot . electric outlet , hard time plug cell phone . bathroom ridiculously small , quite challenge entire family need get ready day . also , cup plastic disposable find odd establishment eco - friendlythe pillow comfortable , toss turn bed basically come unmade . there also one day come back room almost 4:00 afternoon room clean clock never change daylight 's saving time . this ok place place crash need even location crazy . event need food nowhere nearby could go open ! not eat hotel restaurant get Starbucks one occasion , be near everything NYC.Overall- bad place , nice people , stay Sheraton Manhattan enjoyable . 
 Mar 6 2008 	 Loved New York Helmsley 	 return 5 night stay New York Helmsley . read previous review little concerned travel young child . however , must stay different hotel find everything perfect . check easy . give room review Chrysler Building 35th floor ( requyeste email ) fridge deliver room hour request . room large spacious . two double bed plasma telly . also good inroom safe free . the staff polite helpful . location hotel great , within walk distance major attraction ( 10 minute Time Square ) .We not eat restaurant recommend PAX deli next door reasonable . overall , would highly recommend New York Helsmley definitely stay next time go New York . 
 Mar 5 2008 	 Brilliant stay Helmsley 	 recently return first visit New York would like reassure potential traveller opinion negative review reflect Hotel way . stay Helmsley brilliant , request high room view Empire state building supply . able check ahead allocate time importantly hotel allow we late check extra cost , enable we spend time sight seeing . check staff pleasant even remember wish husband Happy Birthday arrival .Big fluffy towel supply every day together bathroom toiletry rooom clean every day . spotless room huge bed even comfy chair sit long day walk .only complaint lack tea /coffee room however easily resolve Deli next door . location hotel ideal far enough away Times Square noise close enough sightseeing . Grand Central close subway connection .would highly recomend hotel anyone travel wonderful place call New York email hotel directly let know wonderful stay . 
 Mar 4 2008 	 Excellent Stay 	 back 4 day NYC would recommend Helmsley . travel alone first time NYC Helmsley great central location . check check easy efficient room large comfortable . good thing location security - great lone female traveller . security night good . decor little date location fab - walk distance everything subway near . the downside housekeeping staff . wake twice 9 am housekeeping try get clean room even though & quot ; disturb sign & quot ; door . 9 be early ! ! ! . breakfast order wrong aswell notice soon . ok take deposit traveller please warn normal practice Ireland . 
