hotel 	 look forward stay wedding late September , surprised sign hard time subtle , affected husband . example , get locked room 2 time , wait 15 minute hallway go spa . time get ready wedding ceremony , stressful lost time . keycard would stop work . fuse blew , power trying get ready . happen also , come back spa , call hallway phone get help . luckily , right , employee randomly walking ask wait long -- know problem . say , call check . apparently , one even call Security get back room ! set key let , thank god . , wedding night , husband want order room service . little 10:30pm . tell room service closed night -- even though literature room brag & quot ; 24 hour dining . & quot ; fact never communicate we check in . I feel like quality service amenity slip . later hear something lot employee getting lay , maybe be people not interste provide good service . not think would recommend anyone stay Fairmont ever . btw , spa great hang , even be massage . 
 Great Hotel ! 	 really enjoy stay hotel- great location near Millennium Park . walk distance several wonderful restaurant , Navy Pier , museum , several site ! hotel nice roomy wonderful amenity . also , concierge extremely helpful provided we wonderful direction suggestion restaurant . look forward come back hotel someday ! 
 Mar 20 2008 	 Loved Fairmont 	 WOW - wonderful surprise ! ! stay Fairmont wonderful experience . room spacious , newly renovate beautiful . bed comfortable , huge flat screen tv awesome , coffee /expresso machine real treat . friend hightly recommend hotel . fall love huge bathroom . also enjoy wear comfy White Fairmont Robes ! ! location close Michigan Ave . staff nice - check we upon arrival 10:00 . really AWESOME Surprise ride house car , BENTLEY back Union Station . dean driver extremely nice . this 5 star property - Nicest hotel ' ve stay in . and yes , price right - 89.00 night . we definitely back ! ! FAIRMONT ROCKS ! ! highly recommend ! ! 
 Mar 18 2008 	 Delightful Long Weekend 	 go Chicago see exhibit Art Institute select Fairmont close . although lobby still renovate , experience hotel uniformly positive . room nicely size newly remodel immaculate . glitch involve get room coffee replenish . maid , bedtime first night , still not coffee . call front desk immediately deliver fresh supply . restaurant little underwhelming , many place go within block , probably would not eaten . stay close dozen different Chicago hotel , may hotel return whenever return . 
 Mar 8 2008 	 Great Hotel 	 stay frequently Chicago since company price deal . sacrifice , hotel great would take family . Clean well equip room , great staff . bit walk heart & quot ; Michigan Avenue action & quot ; . cab ride cheap nice weather walk fine . 
 Mar 3 2008 	 great place chicago 	 find hotel less 100.00 , steal . room service amazing . excellent mini bar house coffee maker , well spacious room . far good place stay chicago less 125.00 . clean comfortable facility make romatic getaway memorable . 
 Feb 19 2008 	 bad hotel experience life 	 room prepay two week advance still available we 3 hour check - in . tell idea would room . miss dinner reservation friend 30th birthday , reason stay downtown first place . staff extremely rude . tell room ask refund could find room somewhere else . tell & quot ; not know tell & quot ; man desk walk away leave we stand upset strand . finally get room King book pay advance . filthy . city view construction view . blow tarps outside window noise elevator right outside door , keep night . get decide take bath , tub break . go check listen ask everyone around we stay .... one ask we ( wonder ? ! ? ! ) tell tub filthy room tell & quot ; thank let know & quot ; snotty attitude . never life see poor customer service anywhere . elevator break go low level carry bag lobby . pay parking ( almost double originally quote ) . stay hotel okay , experience would never stay advise everyone else go elsewhere . 
 Feb 17 2008 	 grand 	 boyfriend stay 2/15 ... valentine 's weekend , hope nice , romantic night city ( live suburb ) . high expectation , know many people stay , well hotel 's fine reputation , severely disappointed . first , room . book room king . confirm check - in , yet put we room two double . call correct mistake , nice . send someone twenty minute later ( tired , dinner reservation , look relax right away ) . give we new key another room , , without much lame apology . go next room , far less nice previous one . old carpet , so / so view city , old , peel plastic desk top . , expect Fairmont . then , pool . love swimming stay hotel , ask specifically pool book room . say could use one next door health club . dinner , walk ten minute ( indoor ) hotel health club , learn addition $ 25 use pool , something certainly not tell we . point , complain . act interested , not quick actually help . hour later , call say could comp we price health club . 20 min pool close , politely refuse . offer send free breakfast , come 11:30 next morning , never come . finally , checkout mention mishap . give free lunch hotel restaurant ( Aria ) , delicious . quite honestly really would prefer get treat bit nice throughout whole experience , correct actual problem . if low class hotel , would fine stay ... not expect much ordinary place . Fairmont Chicago , expected treat really well . not case . be also undergo renovation , drlle 8 , course , get old room need update . guess 's hit miss right . will not stay . next time plan special weekend downtown , certainly find another hotel give we special experience expect . 
 Jan 21 2008 	 Abort ! ! Rude Outdated ! 	 would expect Fairmont . staff rude helpful . carry bag wait valet attendant take car . give room view crane construction outside . bathroom mold around edge . mat rug floor shower area . unless want slip fall tile , good use towel floor . room service comparison late night Denny 's visit . food cold take hour get . we originally look weekend get - a - way birthday plan relax hotel use spa . find look reason get hotel something else . would recommend many choice area offer true 4 5 star accommodation . 
 Jan 17 2008 	 Outdated . . . over - rate 	 hotel great location , friendly staff . however , physical condition property certainly fall behind competition . use regular hotel . . . back 15 year . room well maintain ( old carpet fray door ) , wall paper peel wall , tv 's 80 's . currently construction go lobby area , make impossible get restaurant without leave hotel walk outside door . 
 Jan 6 2008 	 Great Location 	 Great Location ; 2 block Michigan Ave shopping . room nice size staff friendly . concierge great good suggestion . big plus , stay . 
 Dec 31 2007 	 move ? 	 husband Fairmont Chicago recently conference . stay spacious suite . amenity appear recently update excellent shape . bed comfortable . view great . love product bathroom use pristine tub two three night . room quiet , relaxing . eat restaurant downstairs ( Aria ) although pricey , excellent . staff consistently attentive responsive . evident everyone well - train . would love stay . 
 Dec 31 2007 	 Five Star ? way ! 	 outmoded worn furnishing combine poor original design choice produce drab place stay . hotel 's five - star rating need downgrade ! visit hotel 14 year ago , fairmont among classy brand . . 29th floor room expansive , dark -- one small window one light work . upholstery fray , bathtub faucet produce trickle water , room 's door not close unless pull certain way . bad , management fill room price list display thing sell , one set snack even large tacky plastic case dresser . like sleep old vending machine , look pen take phone message , none find . other reviewer remark hotel & quot ; need update , & quot ; think original design choice also blame . instance , someone decide place series heavy door strange configuration . could not sit toilet without leave door toilet cubby open -- space would not accommodate leg . ( unusually tall . ) many great hotel Chicago deserve five star , Fairmont not able compete . see profile well idea . Niftyc 
 Dec 29 2007 	 great Stay ! 	 stay Fairmont romantic getaway . view 33rd level spectacular . like breakfast buffet lot ( can $ 30 ) . parking nearby Millenium Garage problem - less 3 minute walk quite cheap . stay christmas time enjoy long night zoo - really recommend . overall , hotel good shape get high value low price , $ 150 per night . way cheap hotel category comparable location . 
 Dec 28 2007 	 Awesome hotel 	 get great deal hotel , $ 91 find travelzoo . stay one night , impressed . the sevice fantastic moment step property . hotel smell wonderful immaculate . our room , enormous perfect . great view city lake . bed extremely comfortable . never hear noise outside room . the bathroom nice sized considering must one small room hotel , two could get ready comfortably . location perfect , Michigan Ave step away Millenium Park . we would definetly stay , especially could get great deal ! 
 Dec 3 2007 	 Fabulous Thanksgiving Stay 	 husband stay Fairmont Thanksgiving night short little get away . great time ! first , Thanksgiving , get fantastic deal use Fairmont 's website ( $ 129 / night exclude taxis ) . check - in could quick efficient . even comment husband elevator room never check - in hotel quickly ! make reservation on - line wrote & quot ; special request & quot ; box would love fantastic view quick romantic get away , know anybody ever read make difference . well , read , woman check we read back ( sort embarrassed ) give we free up - grade 30th floor wonderful view Lake Michigan . room beautiful , see picture . look brand new spotless . room spacious , large flat screen tv , overall lovely . bed pillow comfortable temperature room . bathrobe cozy , water pressure great . anything think would expect five star . thing perfect coffee maker . sort fancy espresso deal think break . bad cup coffee . not enough ruin good time . location perfect ! north Millenium Park . mean park Millenium Park Parking Garage $ 20.00 day ( instead outlandish price charge hotel ) walk two block hotel . hotel block Macy 's ( formerly Marshall Fields ) short walk river . go Thanksgiving evening fabulous walk north river see Christmas light find little pub enjoy drink . wonderful time . next day walk Christkindlmarkt ( lot fun ... go be town around Christmas ) see Macy 's window display . Chicago great anyway , fantastic getaway ! Fairmont ice cake nice home base activity . check smooth ... charge $ 20 item never take mini - bar . find return home . big deal . quick phone call charge promptly remove . really lucky get bargain room . make much grander . , would definitely recommend hotel vacationer weekender . 
 Nov 15 2007 	 need upgrade 	 2 Bedroom Suite spacious room need upgrading , shower TV 's 80 's . room ready till 3 pm . bed comfortable sushi restaurant downstiar good vibe . 
 Nov 15 2007 	 Hotel Pretty okay Location can not beat 	 recently enjoy three night stay . hotel overall nice typical sign age . room spacious accommodating , probably could use good deep cleaning evidence dust furnishing . bed comfortable . Slept like baby . somehow photo entire room not download properly can not show size room , definitely one large non - suite ' ve stay . view chart . bathroom nice large separate water closet , shower , tub , tile pretty marble . concierge club nicely decorate ( lot update rest hotel ) awesome view , great continental breakfast , chic snack evening two computer easy internet access worth extra expense , opinion . think 's romantic property base location cozy , traditional furnishing . be block two east Michigan Avenue quiet little area nice return afer experience hustle bustle city . good description & quot ; nice . & quot ; not blow away husband town business enjoy location , less 5 minute walk office , room service . try halibut . 
 Nov 9 2007 	 great beware ' spa / gym facility ' 	 lovely hotel , great service helpful staff ! get early check - in , late check - out upgrade lake view room . concierge staff wonderful helpful . apparently , new spa open Jan gym / pool / jacuzzi facility really inside hotel , rather within adjoining health club . charge $ 20 pp use jacuzzi ( unless be member president 's club ) not recommend walk robe . . . past business center , sushi restaurant health club ! ! also , use jacuzzi available 6 pm ! expect . say however , would stay heartbeat . 
 Nov 5 2007 	 lovely friendly hotel 	 stay Fairmont two night sofa art fair Navy Pier . impressed bellman call we name meet taxi pronounce correctly , quite unusual . everyone smile welcome we . the lobby look clean friendly , ultramodern , tired worn . room , also clean comfortably furnish , large expect , clean , modern bath lovely view Navy Pier lake . eat restaurant , look attractive . our problem ask non - feather pillow , upon reserving room , upon check , call housekeeping . wait hour , go bed . next day check - in desk person extremely apologetic time return , feather replace foam non - allergenic material . hotel convenient Millenium Park Michigan Ave . would stay , assume could get good rate . 
 Nov 1 2007 	 great except bed 	 luxury hotel location walkable many Chicago tourist sight ; Millenium Park , State Street shopping , Art Institute , Archicenter , Oriental Theater great River 21 cinema , plus 's bit hike Water Tower area . catch # 10 # 6 bus south Museum Science Industry ( $ 2 exact change fare ) see one world 's great museum . Chicago style pizza block away Giordano 's . also eat Sopprafina 's , nice lunch place ( al fresco table ) aon complex next store ( ground level ) . area also offer full service post office Starbucks . also nearby new Tavern Park restaurant . could not get not reservation plan ahead want go . ( be suppose great view Millenium Park . ) fairmont offer swanky bar , highly rate restaurant ( Aria ) , elegant furnishing , bathrobe , etc . stay many hotel Loop Chicago , one quiet . super quiet , term exterior noise room room noise . reason would come back bed . uncomfortable . room two full - sized bed ( queen ) support two average - sized adult . restless night morning backache not acceptable . however , single traveler place would great . 4 star Fairmont travel kid , probably opt Doubletree Westin . 
 Oct 28 2007 	 Bland expensive 	 hotel really good location , find bland particularly good value . room reasonable size , mod con , something atmosphere make think guest bite interruption run hotel . tend charge extra everything ( wireless internet ? ? ) though business centre downstair send postcard free . gym great experience , worth 20us see place . great swim , atmosphere excellent . also lend umbrella start rain . 
 Oct 22 2007 	 enjoy Stay 	 wife stay hotel October 19 , 2007 October 21 , 2007 room 1705 . overall pleased hotel , staff , room . wife ' employer pay room would really obnoxious complain anything . however , integrity review pretend pay go rate evaluate hotel stay . the room average term space bathroom area exceptional . bed comfortable quality pillow sheet good . room come minibar use . separate shower tub part well separate area toilet . tub large well . bathroom two vanity area , one makeup mirror . particularly like quality complimentary shampoo lotion . complimentary bathrobe well . television large selection channel choose . room nice view Millennium Park . room nice view Navy Pier . lobby area spacious . 7 elevator quick . the staff hotel great asset . everyone friendly constantly offer help . walk front door wife comment thirsty . doorman overhear comment immediately get free bottle water . also free water bottle waiting check . hotel locate good section Chicago close river . short walk Michigan Avenue a.k.a . " Magnificent Mile . " Walgreens 5 minute away load snack drink . recommend Bob ' Bike Hike locate short walk Michigan Avenue . provide nice guide tour Northern Chicago . our stay perfect though . probably disappointing aspect hotel " reduce fee " use athletic facility next door . hotel pool gym , arrangement top quality athletic club next hotel . however , use facility cost $ 20.00 day ! Fairmont wish call five - star hotel charge guest $ 200 + night , guest charge use gym swim pool . even less quality Best Westerns Holiday Inns often free use gym , pool , hot tub . also , although offer free bottle water staff , room bottle water next minibar . drink water would result $ 10.00 charge hotel bill , yes , $ 10.00 ! simply insult . although usually avoid stay fancy hotel save money , hotel definitely stand meet almost expectation . would stay again . Marc T. Hardekopf 
 Oct 1 2007 	 Great Weekend Stay 	 Found & quot ; bed & amp ; breakfast & quot ; weekend rate Fairmont website . allow order menu resto ( Aria ) room - service breakfast bed . since breakfast come $ 40 two , package deal . room fairly large , well - wear marble bathroom . Linens ( duvet ) bathrobe excellent , pillow - top mattress comfy . makeup mirror plus . the hotel one block north Millenium Park . base advice & quot ; Local Expert & quot ; TA forum , park East Monroe garage Millenium Park ( $ 18 / day compare $ 45 dailey rate valet . ) great advice . hotel bit walk river North resto be like , problem good weather ( might pleasant bite cold . ) hotel quiet since busy street . Join Fairmont 's President 's Club get free internet ( wireless ) free use adjacent health club , include use free Adidas workout clothe . 
 Sep 24 2007 	 Loved Fairmont 	 great stay ! staff could friendly , facility nice really great value $ 169 per night . close river , block subway . highly recommend 
 Sep 23 2007 	 wonderful view staff gym linen 	 good view ! terrific gym . sure anyone could say limited number machine . linen superb . high parking rate tourist drive car . stay sure . 
 Sep 18 2007 	 great hotel - great location 	 hotel great- clean room , good ammenitie , nice staff , etc . location , however , bit remove mix . walk hotel much around- must walk block reach action- resturant , park , store , etc . still walk Chicago great time would prefer well location . last year stay Hotel 71 hotel / location great ! 
 Sep 17 2007 	 Wonderful Hotel . 	 return Fairmont Chicago weekend retreat . husband enjoy every minute mini trip . often take weekend getaway prefer stay 5 star hotel . love location , be quiet far anything . concierge fantastic , always efficient service . love nine steak house , ghost bar . also go Rockit bar grille great atmosphere classic rock music , great burger . chicago fantastic shopping along Michigan ave , side street . love Neiman Marcus store Saks across way . Chicago great city ! ! 
 Sep 16 2007 	 Theft 	 Clothes jewlry steal room . fairmont security responsive . file police report Chicago PD . woman whio frequently travel business , not feel safe staying hotel . hotel even charge $ 30.00 call police department . 
 Sep 9 2007 	 nice hotel discount room 	 stay three night Fairmont August . hotel heavily discount room rate , make attractive place stay traveler look convenient downtown location nothing particularly special . complimentary continental breakfast ho - hum , comparable comfort inn . use free fitness room , limited number cardio machine . hotel clean quiet . 
 Sep 5 2007 	 Great Location Excellent Service 	 town conference get great rate . hotel location excellent , right next Millenium Park . walk Michigan Ave , Lake , North Pier Navy Pier . close restaurant , Art Institute , Cultural Center architectural boat tour . hotel staff outstanding ! hotel first come / first serve complimentary Bentley ! lucky enough ride Saturday night - feel cool ! hotel ask want got - local paper morning rather NY paper , regular coffee maker instead capp . maker , etc . restaurant food delicious service super friendly . 
 Aug 27 2007 	 Great Hotel 	 great hotel large bright room . location also great , walk distance major attraction . 
 Aug 24 2007 	 can not go Wrong Fairmont 	 return four - night stay Fairmont Chicago . wonderful hotel . room always immaculate . one funny thing staff inconsistently set room . give mouthwash first day . first two day , coffee maker . magically , one appear third day ( fancy espresso machine ) . none quirk matter , know traveler board blow gasket stuff , want point . one incredible thing even though construction outside , room always quiet . service hotel fantastic . bag deliver room quickly , bellhop great setting suitcase . call downstairs let management know tv not work right , immediately send maintenance worker fix problem . transportation hotel easy - whenever want cab , always one idle outside . never use Bentley , since never go anywhere glamorous enough would not feel flashy show it . the hotel give guest free pass ENORMOUS adjoining Lakeshore Athletic Club . give amount cheese bacon eat trip , great nice gym . wife purchase session personal trainer up - to - date late exercise machine technique charge reasonable fee . other comment speed elevator . really amazing - never wait 15 second service ( yes , time ) . live NYC spend good deal live wait elevator , nice treat . 
 Aug 24 2007 	 Great Location Great Service Fairmont Chicago 	 book regular room , ask room upper level near elevator . room , 17th floor view lake . hotel service great . restaurant Aria nice bit pricey , eat lounge offer bar menu . hotel locate near Michigan Ave Wacker . fairmont short walk fantastic Millenium Park Arti Institute Chicago . room large enough not run mate . mirror vanity dress area fix hair make - up , etc . free bathroom . seem staff helpful friendly rest downtown Chicago . 
 Aug 20 2007 	 nice 	 stay Fairmont Chicago Air Water Show . arrive early able check right away . service great ! ! ! ! upgrade Lake View room . room 2003 20th floor . room nice . view incredible , south view city , millenium park , grant park , musuem campus . able see Buckingham Fountain nice view . like fact window open , great get fresh air room . decor ok , remind something grandmother would find & quot ; fancy & quot ; modern like nice . bed comfortable , marble top dresser bed stand . room large . bathroom great .... seperate tub shower , robe provide back door . supply enough towel ( many hotel stingy towel ) bath supply nice , toliet enclose area slide door . marble top floor bathroom seem little worn . vanity light outside bathroom ... 80 's nice touch update . use closet since one night huge . room service good , quick polite . order 2 sandwich one fry , one salad . also order chicken finger kid menu fruit salad . great ! ! ! ! efficient , gentleman bring food set table room rather enjoy dinner experience . cost $ 50 Chicago Michigan Avenue area good price in - room dining three . fruit salad world 3 piece melon throw plate blueberry , rasberrie , blackberry , cantalope honeydew . salad also good piece iceburg .... european blend carrot , tomatoes cucumber . breakfast buffet adequate . worth $ 25 per person . daughter free , buffet replenish consist 2 type egg , sausage , bacon , fruit , yogurt pastry ... also lox , caper , tomato onion . need eat hotel ok venture Michigan Ave . place much less money well quality . suprise since Fairmont 's stay ( Banff ) incredible breakfast buffet . staff restaurant sweet . Georgia restaurant especially nice . coffee great ! ! ! ! lobby beautiful nice place sit , even think marble grand ... warm inviting . location great Navy Pier Michigan Ave . Millenium Park . self park AON Center save money , Valet $ 40 . love place ... nice , friendly , room large location great ! ! ! 
 Aug 12 2007 	 average level 	 stay Fairmont Chicago first weekend August 2007 . check - in person nice , take luggage tag promise get stuff deliver room . 1.5 hour numerous call later still have not receive luggage room . finally go downstairs track luggage bell man . our room sixth floor lakeview ( supposedly ) , could see small sliver lake numerous building block view . another building plan come right front around 2 - 3 year block remain view plus provide lot construction disturbance meantime . the room fine clean spacious . give star level much pay room , expect whole lot . find Swissotel across street much nicer compare . 
 Aug 11 2007 	 overall good experience 	 Chicago week Independence Day vacation . please Fairmont Chicago . room stay clean good order . dine hotel night stay . please vegetarian choice since mostly vegetarian . room service quick friendly . the Fairmont Chicago ideal location . walk Art Institute Archictectural River Cruise . short hop public transit Museum Contemporary Art Historical Society . I runner glad use indoor track adjacent health club . tell Fairmont President 's Club member able use facility free . I recommend hotel other plan return future . 
 Aug 7 2007 	 great location great stay 	 make last minute reservation stay overnight nearby Taste Chicago firework . great hotel thoughout . highly recommend . 
 Aug 7 2007 	 one night stay 	 elegant excellent service . great location near South Shore railroad station Metra well one block Michigan Avenue . clean well maintain . 
 Jul 29 2007 	 Good Property Great Staff 	 stay 4 day business trip . room hotel nice . bed comfortable , business set adequate good internet service . room spacious clean , bathroom set away main area room . guest choice either shower stall sit - in bath . save money join President 's Club receive free telephone internet usage . saving substantial . one thing stand staff . name always use feel guest 's experience important . Doormen take time check cab leave item guest depart cab . point one doormen answer & quot ; home Chicago . would not want time ruin lose phone . & quot ; appreciate , since happend . hotel also great lobby lounge , perfect meeting place socialize . staff also quick polite . although eat restaurant hear good too . the drawback valet parking charge $ 45 per day . understand parking premium Chicago , $ 45 seem high . , two tip , invest cab ride airport join President 's Club . enjoy stay ! 
 Jul 24 2007 	 first rate Fairmont 	 stay Fairmont couple time , business . room comfortable , especially bed - important business traveler ! nice desk internet connection , problem get line . bathroom separate room , create little nice & quot ; living & quot ; space . recommend high floor , hear sometimes noise issue night -- experience stay high floor . nice bar front lobby , well restaurant . plus decent sized convenience store , amenity nice since locate Michigan Ave like competitor be . the fitness club own Fairmont , comp pass gym next door , huge nice - short underground walk . overall would call fairmont solid choice . 
 Jul 22 2007 	 Join President 's Club booking 	 keep pay additional fee phone internet use , join President 's Club book stay . stay four night , Sunday Thursday , would charge internet use phone use day . free membership President 's Club . huge line checking . President 's Club line get check - in quickly . room comfortable staff friendly always willing help . large conference serve staff meal provide part conference excellent . food also prepare well taste great . never use restaurant , other describe experience superb . the Taste Chicago end day arrive . walk park Fremont wonderful time get sample size several vendor . the Navy Pier little far walk , good shoe company , recommend visit . sure visit Stained Glass Museum there . I stay visit Chicago future . 
 Jul 21 2007 	 Loved stay Chicago ! 	 stay Fairmont July 6 & amp ; 7 . not physically appeal hotel , staff bellhop , front desk , concierge housekeep well train customer service . delight ! meal room hotel great . food little high quality good . room beautiful view city . concern poor condition entry walk get front entrance . wear heel always dodge big hole crack brick . good thing . nice deli / store close Fairmont call Bockwinkles . great place stock soda , snack inexpensive freshly make sandwich . love Chicago plan go back . would consider fairmont price right alot hotel Chicago . 
 Jul 19 2007 	 Five Star Hotel 	 co - worker stay four night town conference . experience , decide write review , vacation , never stay anywhere without read Trip Advisor review . stay plenty three , four five star hotel . get back business trip look Fairmont Chicago Trip Advisor , shocked see five star rating . let assure . . .it five star ! ! 's okay hotel , five star . bad hotel rating name . . .The lobby decent problem front desk staff concierge . interaction experience counter go smooth . cordial helpful . hotel fall , short condition room housekeeping . get see three room ( two regular room one suite ) reference room stay . room nothing special . furniture room need real face lift reach five star category . furniture old worn corner marble desk top wer not wall completely break . first thing notice filthy carpet . , dirty , filthy . contemplate wear sock whenever room , co - worker point piece popcorn nightstand table notice bed frame break stuck way . not dare try put pressure mattress , think might collapse . call get different room , room two bed availaable close jackhammering go . ask also tell Spa remodel . first thought , room ? go restroom look floor . see hair grab handful tp swipe around floor . come bathroom show roommate . look like empty hair brush onto tp . oh , forgot mention sit toil , bottom get wet . clean solution spray toilet toilet clean wipe . disgusting , must say true , also dry blood front toilet not clean . houskeeper clearly eye close cleaning room . eye open train well , would report broken bed frame instead make bed around , would see popcorn floor , dry blood toilet disgustingly filthy carpet . funny thing , call get room change tell , come clean carpet dinner night . get back , way clean . yes , maintenance housekeeping respond long list itme ( include horribly squeaky bathroom door dirt grime front bathroom vanity ) get , stay five STAR hotel , quality assurance room , hotel staff . reactive grade : B- ( room mate might give low grade ) , proactive grade : F. oh yeah , also forget clean room one day . get back conference day , room condition leave . run around floor look towel . see hosekeepe cart sight anywhere floor ( surprise , surprise ) . see door push open . Jackpot , service elevator houskeepe area . see ( organize ) pile towel heap top cart . walk grab couple , could crew ( behind wall ) laugh good old time . Chicago great city visit , not stay Fairmont Chicage like clean hotel room . 
 Jul 18 2007 	 love hotel ! ! 	 partner stay many hotel Chicago say , far , good experience ' ve windy city . we usually someone house sit away time available bring along dog . I concern hotel would accept dog also would walk . stay heart Michigan Ave . really not seem like option , since area mostly cement . find Fairmont answer ... 1.5 block Millenium Park Grant Park , 3 - 4 block theatre district ( WICKED must see ) , 1.5 block S. Michigan Ave . , 2 - 3 block Lake Michigan . room spacious , clean quiet exceptional view city lake ( room # 1106 ) . staff extremely courteous Aria restaraunt fabulous . not miss . venture Aria last night drink disappoint not check early ; loved ambiance , staff , drink . everything within walking distance make sure good walking shoe . sandal walk Water Tower Place develop blister stop get tennis shoe . compliment Fairmont enough . everything perfect definately stay whenever go Chicago , twice year . P.S . dog really love hotel attention get everyone . 
 Jul 16 2007 	 overrate 	 wife & amp ; stay Fairmont 3 night . staff ( except front desk & amp ; weekend manager ) nice , especially concierge & amp ; bell - hop . room little worn & amp ; a / c would keep room cool . hallways dirty & amp ; stain floor ( 33rd ) . enjoy anyway , let accommodation dictate whether good time . thing go downhill upon checkout . we book rate include $ 50.00 dollar room credit charge use bar , restaurant mini - bar night stay . even make special effort visit front desk make sure follow rule first night . conveniently & quot ; forgot & quot ; credit room charge per promotion upon auto checkout . go front desk & amp ; explain promotion . print info Fairmont website hand . front desk clerk & amp ; weekend manager first say spend exactly $ 50.00 dollar apply . explain absurd would proceed rudely tell apply per night , i.e . check midnight one night . make impossible breakfast & amp ; dinner day breakfast day checkout . take 20 minute get even partly right . seem perturb would question billing . the bad part ordeal attitude Manager duty first refuse even credit charge still leave $ 60.00 credit back . money make we mad ( 2 dinner elsewhere cost $ 250.00 + weekend ) , rudeness & amp ; ineptness manager make dig heel . feel fraud offer promotion & amp ; follow thru . reason manager try set rule & amp ; follow corporate policy . hard time stay another Fairmont ever . hotel 2 1/2 star ( maybe ) front desk & amp ; manager turn one star . sell Bentley invest customer relation class 
 Jul 5 2007 	 Fabulous Hotel Amazing Restaurant 	 spend 7 night hotel business trip love . room gorgeous big , nice bathroom ' ve see hotel , ' ve lot hotel . restaurant blow away . eat 3 meal ( b , l , ) incredible . fact still think one good meal ' ve ever ( eat plenty company ) Aria . like Asian Fusion not mind spend money , not miss ! 
 Jul 2 2007 	 describe / expect 	 luck draw attempt book quality hotel first weekend & quot ; Taste & quot ; . room large expect quite comfortable . importantly location use house car get local downtown attraction / restaurant ease . could ask well / more imformative staff . would definately stay 
 Jun 15 2007 	 book 	 Stayed June 2007.our travel agent book we deluxe room club lounge access . prepay , documentation show check . desk clerk give we standard room , spend quite long time argue club access , get go away make phone call . quite obviously not care give we booked pay . invoice come last day , charge prepaid room . get sort , yet receive refund difference cost room , one booked pay for . the room nice enough , bad size like fact bathroom separate bathtub shower . the staff club lounge helpful , concierge . staff business centre mail postcard we charge concierge stamp right rate Europe . service bar good . nb - construction work happen front hotel . look we would greatly reduce already limit lake view . 
 Jun 12 2007 	 okay hotel well location price . 	 Fairmont nice hotel part happy room . however , price one stay Michigan Ave . -- like intercontinental close shopping , restaurant , etc . , would book different hotel . service substandard . never give fresh glass use first set room arrive . additionally , request make -- pillow , microwave fresh glass take hour get we case glass never get fresh one . microwave take 4 hour arrive huge 1980 's model would not even fit surface room ! front dest helpful try info . leave front desk thing fall apart . would stay another property money ... centrally locate Michigan Ave . -- nice bed comfy , . 
 Jun 12 2007 	 generally Good Perfect 	 stay two night late May 2007 conference . hotel location central , one block south river couple block east Michigan Ave . first thing strike high level service everyone contact ( reception , concierge , doorman , porter , etc ) , therefore little surprised thing not quite right . arrive room ( 32nd floor ) use fold - up cot room not take away housekeeping . quickly ( apologetically ) take care . also , last day housekeeping come early ( 8 am ) see ready check - out - sure , seem like try rush we . room decent size fairly well appoint , luxurious . one minor note - consider 32nd floor never wait long elevator . overrall , hotel obviously proud high level service , however little thing prevent give high rating . pay conference rate $ 230 - high ' m use pay hotel room , therefore ' m probably hold high standard usual . 
 Jun 5 2007 	 Good Stay 	 wife return weekend stay Fairmont . overall , good stay . though book standard room , give we room view lake high floor . hear bit much noise hall ( mostly neighbor 's door slamming , wake early Sat . morning ) accommodate front desk manager move we well expensive room price . great room even well view . worth ask manager since young inexperienced front desk staff not incline much we . 's nice hotel , comfortable bed chair , nice room amenity , big bathroom separate shower bath , clean , pretty tasty breakfast room service ( price generally reasonable sort hotel ) . also , be excellent location -- within walk distance Magnificent Mile close Millenium Grant Parks Lake . downside : concierge folk generally not know much area Chicago ( perhaps student , like young front desk staff seem ) ; room shower need update . definitely recommend . 
