Great 	 be get cheap table strip - $ 5 minimum bet let ride roulette card game . useful new casino do not want lose money quickly ! 
 not overlook hotel due location ... 	 ' ve stay hotel 3 time really like . take mom ( 58th ) birthday last year also love . room nice , clean bed comfortable - especially love pillow ; - ) . yes , 's strip bus stop right next hotel $ 5 get 24 hr unlimited bus pass ( purchase bus ) . not mind walk be definitely doable . this hotel also wonderful 360 view revolving restaurant ( be pricy remember be also pay view quality service ) . dinner really good waiter really nice attentive - even give mom free slice bday cake . the negative woman walk around take souveni picture - 's really overprice say not interested not finish sentence literally grab photo walk away - really nice . almost complain decide let ruin night . just give comparison experience . ' ve also stay Rio ( nice 's mile strip walkable due highway - try regret shuttle fee ) Sahara ( simply , will not stay ) far , definitely prefer hotel . expensive yet service get not show . 
 Northern Strip 	 want right thick thing , not place . , however , not want . great small hotel everyone work simply wonderful . service level extraordinary , ' m hard please work customer service . 
 Good Vegas Hotel 	 good quality room , normal Vegas Casino facility , 20 minute walk centre strip . 
 Jul 7 2009 	 good value ... will look elsewhere first 	 room hotel general clean . tower amazing -- easily good view strip . location pluse minus . definitely far walk main strip , rent car plan get quite bit , location great due easy highway access strip congestion . people ... eh ... good . rude , could helpful . ever go back , avoid & quot ; World II Tower & quot ; cost . not think stay thing try drag room . elevator tower terrible , everyday , peak period , stick wait forever ride packed elevator . awful . also , room view ... literally . view window wall two foot outside window . pool shallow , nice overly crowded . parking great ... convenient short walk inside hotel . the price quite good , price , get pay . next time , definitely pony extra $ 10 per night stay elsewhere , still good deal . 
 Jul 6 2009 	 ok price pay 	 quote rate upon check try tell we need pay even though paperwork we . take lot time get straighten call manager friendly . still end pay agree upon rate . daughter getting marry next day energy argue discrepancy . let arrogant attitude ruin day end walk away join family member stay different hotel . the room ok , frill .. could get internet connection room . clean lot room . enjoy pool area discount ride ticket . except bill error management attitude , nice stay . 
 Jul 5 2009 	 PICK another HOTEL 	 disappointed hotel . good thing price room buffet deal everything else big mess . minibar fridge room even pay extra upgrade . swimming pool area 's music loud impossible . room service menu good expensive . clean horrible , soup , break old towel couple day clean . room dusty also . location worst . spend lots money taxi go main Strip area every day . recommend book hotel main Strip area even expensive get pay experience real Vegas life everybody else . 
 Jul 4 2009 	 unbelievably good price 	 book stay wotif.com bargain basement price US $ 40 Saturday night , one night stay . get charge resort fee arrival , think $ 8 - grand scheme thing , still make stay affordable US $ 50.i arrive midnight check - in quick . parking easy self park far away casino . arrive drive straight catch last Fremont St Experience show night , good - lay back vibe ( bar Golden Nugget look like fun ) . quite late find food option limit ( true everywhere Vegas though ) end get McDonalds . I stay standard room ( not pay extra premium tower ) , think room good . 2 queen bed comfortable . room far side casino sevice seperate elevator , FYI not problem I . everything clean work , bathroom also ( hairdryer provide ) .I breifly go pool ( adult ) level 25 , particualrly fancy good sunshine relaxation . play rather loud music though , 10 am , little much . pool optional topless ( man pay entry fee ) , another pool level 8 family . stratosphere locate right North end Strip , be aware plan accordingly - stay one night , spend Fremont St - spend 2 night centre Strip . way break time Vegas udeful cut taxi / bus cost walk time . stay absolutely fine , problem . 
 Jun 30 2009 	 bad .... well last time . 	 second time Stratosphere , times housekeeping staff top notch . last time room perfect , time little dark / cave like one tiny window taste- imagine time reservation set thru Expedia rather thru reservation system , consider cost , really can not complain . oh , bed suprisingly comfortable ! distance Strip bit pain , hey , , price 's o.k .... Exercise never hurt anybody ! 
 Jun 30 2009 	 another level holiday 	 hotel 2 1/2 mile center strip ( main action ) main strip 41/2 mile long.we use daily ticket mono rail , cheap , bit chew . still lot walk , . try bus always full.taxi cheap ever one says.we would recomend walk hotel , long walk.you pester tramp leave main strip , , just politly walk ..... hotel big , easy get lose inside.the lift roof ( scary ride ) cost $ 9 look , might worth , ......... get free ticket show shop owner must bit cheeky ask , ask . find free show hotel great , get time table free show attraction walk ..... hotel mainly bed , food ect , try get central . good luck 
 Jun 29 2009 	 worth 	 maybe get bad room place , really disappointed . weird room layout , bathroom incredibly small , water sink smell horrid use bottled water brush tooth . front desk staff not friendly . not happy mandatory sky deck fee per night , use ! ' m usually type person give convenience good deal , much . would stay . 
 Jun 27 2009 	 great stay Stratosphere Hotel - highly recommend ! 	 2 stay Stratosphere last Tuesday Wednesday night , book deluxe room ( $ 30 / night ) last Sunday morning travelocity . read review webpage armed robbery Circus Circus Annex ( motel - style building behind cc tower ) . cancel exist reservation cc Annex . Stratosphere really nice place ; room 11th floor Premier tower clean elegant . 2 bed set high normal ( plus we tall people ) comfort level sleeping bed top - notch . pool 8th floor clean refreshingly cool . 8 , quiet crowded , sun already high intense ... 100 degree . hotel check - in check - out breeze , staff pleasant helpful . we enjoy several buffet meal , 25 % adult hotel guest . all - day buffet special $ 20 . read recent review state $ 5.99 breakfast special Lucky 's ( ? ) restaurant - wish know early . rate buffet good selection kind food item . letdown pineapple chunk fruitbowl taste freshest . northbound bus stop along Strip easily visible hotel entrance , southbound bus stop kinda hide , need walk north 200 foot get . big issue . advise get RTC bus system pass . 3 - day pass $ 15 . ( otherwise , one trip Strip bus cost $ 3 adult ) Stratosphere hotel guest unlimited access 2 level ( one open air ) Tower observation deck 108 & amp ; 109th floor . access 1 . shop 2nd floor interesting ... area Parisian / Eiffel Tower atmosphere . watch light / music show Fremont Street Experience , enjoyedthe ( yesterday band ) beatle concert ( lot song 1963 1967 ) , . refreshing rain Wednesday afternoon . Visited Atomic Testing Museum , etc . 
 Jun 27 2009 	 Somewhere else next time . 	 new TripAdvisor , late writing : age 50 . wife go package . pick air plane hotel book ourseleve . my first trip Las Vegas ( July 2006 ) . hear story cheap food , room , ect . pick Stratoshpere due low price strip . 's first hotel strip . room plain room one price week go weekend . Arrived stand long line 30 min waiting check . Got desk could find reservation , insite look still find . try blow manager came find nothing . pull internet receipt get room . sorry , comp anything . go room plain hotel room . price pay equal room USA . pay everymeal although card play majority money thier hotel . would order drink play video black jack common waitress would rarely come back . night club totally empty except 2 group total 11 people Friday night . find front desk people useless . the waitress miss . when ask question staff hotel receive short rude answer not time help I . there buffet often behind have item . simple buffet near good Golden Coral expensive Golden Coral . also theirbreakfast buffet long line wait egg order use 1 cook would often wander stuff . many people would leave line find something else . let repeat Golden Corral way well cheap . ( know Golden Corral Las Vegas , use N.C. midwest $ comparison ) . care ever you . in short ; Stratosphere really turn Las Vegas , spot show opposite Stratoshpere . plan try old towne year 2009 . try Boyd Vacations Hawaii year seelet say good ... unfortunately place . Bellogio : Played slot get plenty free drink quickly . Bellogio : best steak ever eat waiter awesome service politeness . calf : front desk helpfull look move Stratosphere . freemont : Played plenty free drink . old towne Crispy Creme Donuts . munching donut manager come engaged conversation sit we give wife friendly advice enjoy Las Vegas . I go give Vegas another try thank Hotel Stratosphere take 2006 2009 want go back . 
 Jun 27 2009 	 Excellent Value Money ! 	 stay Stratosphere begin June year find quite pleasant stay . room clean tidy excellent value money . staff nice helpful . eat Lucky 's ( 24 hour cafe ) , food tasty plentiful , partner loved & quot ; day breakfast & quot ; $ 5.99 ! ! meal Roxy 's Dinner , brilliant atmosphere great music . go see show different star , two ticket price one , bargain ! ! lot good slot table . gym free , bonus many hotel actually charge . yes , hotel quite away strip , honest catch monorail find quite reasonable able nip strip . & quot ; Fremont Street & quot ; must visit Vegas , although different strip , live music atmosphere great ! ! enjoy stay would stay full 10 day Vegas , unfortunately find pool area far noisy , agree Vegas 24 hour city , fly London UK ( 13 hour total ) sometimes want rest pool ! unfortunately pool area blast R n B music , not get wrong , love music , ' m try rest ! ! shame really .... anyway would recommend hotel . plan go Vegas , fun , finger cross return next year ! ! 
 Jun 26 2009 	 Great Fun Ammentities 5 star hotel alot less money 	 Stratosphere alot fun ... plenty shopping mall hotel ... plenty restaurant choose alot game slot play casino less money .... stay Spa Suite strip view would cost get basic room high end hotel ... love ... room modern ... even get see cheap room available roomy modern .... pool 8th floor hugh nice set poolside bar eatery plenty lounge chair relax sun ..... tower ride awesome would say people visit Vegas come see tower ... stay get go free much would like other pay .. great view , shop , bar restaurant top tower .... ... great place stay ammentitie 5 star hotel alot LOT less .... 
 Jun 25 2009 	 Overall Great Value 	 arrive hour normal check time find almost line . within 2 minute desk . let we go ahead check even though early . get room Premiere tower nice ; certainly nothing complain . clean every day expect . casino not smoke fill have fear definitely plus . stratosphere little north rest strip 's two block walk Sahara 's monorail station take strip . 's also bus stop would prefer go route . real negative experience two restaurant . Lucky 's Cafe bad service bad food . Roxy 's diner good food , service not good . one day decide try day buffet $ 19.99 . turn pretty good deal go back many time like day long . overall definitely good experience get amazing deal room . 
 Jun 24 2009 	 great time @ Stratosphere 	 husband stay Stratoshpere Feb 09 ! great time . check line long take long normal hotel . not damper spirit though . hotel clean staff curtious . bar center well fabulous bar / diner stop ! ! rotate eat 360 view city ! ! ! also ride top far & quot ; scary & quot ; we . view photo op get fabulous ... Vegas light far eye could see like ocean light .... food great , drink great . romantic setting .. 
 Jun 24 2009 	 shockingly GREAT ! ! 	 get to admit review ... book hotel 7 day , contemplate cancel reservation negative review give hotel , title go ... & quot ; shockingly SURPRISED & quot ; . alot good thing like alot thing feel know get anger reason . JUS REMEMBER go vacation JUS RELAX ... SENCE get NUTS . ha ha haheads - up : * parking quite Journey Front Desk * Front Desk line KILLER . prepare stand line 30 - 45 minute check - in check - out . * make sure do not book hotel direct FD Counter leave cc imprint need stand line later trip decide get room service movie etc . WORRY u go change mind . trust CAUSE u hungry partying go need order room SERVICE . * surronde area night safe . like anywhere unfamiliar , stay group , group - taxi bad boy . appreciate : * Free Parking ( mostly Free Parking hotel ) * room decor nice , seem recently renovate * room clean DAILY thank nora nice ladie * Free Admission Tower * Jetted Tub soothe relaxingdisliked : * late check fee $ 30 standing line hour realize 1 pm use express check - out * AC cool 68 feel like 80 time * Front Desk Clerks Attitudes . felt bother check . eye contact nothing . * refrigerator ( would ve Appreciated keep bottle water cool ) ; go Ice Machine multiple time day . but 7 day stay great . be not room day , comfortable enough . 
 Jun 22 2009 	 pleasantly surprised 	 not expect much Stratoshpere cheap , must say pleasantly surprised . room nice . casino restaurant nice . definitely worth . pool good , though , water cold kid allow jacuzzi . drink EXPENSIVE . otherwise , nice stay . 
 Jun 22 2009 	 average ( vegas standard ) cleanfriendly 	 not know expect reading review leave traveller say overall Stratosphere fine . downside - one - room not make even though check early hour morning follow long flight UK ......... frustrating ! upside - cheap stay , clean , friendly , good buffet $ 19.99 day , nice swimming pool waitress service sun bed , happy hour 4pm-8pm C bar , room spacious clean , view ok.location - lot negative review location , particularly average trip strip $ 15 however greatful one sense could taxi back Stratosphere escape hustle & amp ; bustle hotel strip . 
 Jun 21 2009 	 probably one good value money hotel world ! 	 else stay international quality hotel we $ 25 per night ? ? ? even cheap backpacker hostel vegas . right strip one end . bus travel strip every 5 min stop right outside hotel . cost 3bucks way 7 buck 24hrs . free laundry 6th floor bonus . 
 Jun 19 2009 	 enough 	 go tuesday seem like friday . check - in long desk clerk friendly . smoke tell take smoking room smell bad . Clerk even say . give we nice room view pool casino room end long hallway . walk long way go smoke . not coffee maker walk restaurant buy coffee casino floor get waitresses . thought bed comfy overall hotel ok . nothing write home Mom . 
 Jun 18 2009 	 Good Value 	 stay 2 night . room rate $ 26 / night plus extra $ 7.50 / night resort fee . rate room 2 bed 19th floor , overlook strip . room standard hotel room -- nothing special . however , rate include access 4 we go observation deck tower . think regularly charge $ 11pp access tower . go observation deck dark fantastic view whole city . hotel location within walk distance heart strip . car find free parking 1 block MGM Grand walk strip . 
 Jun 18 2009 	 like Resort Fee 	 get late surprised long check line 10 pm , Vegas plane arrive pretty late . beware resort fee $ 7.50 , although base rate quite good , must remember add additional fee top it . when check , daughter exhausted go sleep , want bite eat . surprisingly one place close 11 pm . Vegas close 11 ? order hamsteak special tasty , wish option . also , since far north , would difficult go anywhere walk problematic . the bed pretty hard , room clean . frequent Vegas traveller , forgot stay recently , remember . 
 Jun 16 2009 	 probably would not recommend friend 	 book Stratosphere beacuse $ 26 / night budget . think next time will cough little money stay somewhere else . watch Tahiti Village time share people casino . lure friendly will not let go . advice ignore keep walk . also beware paper thin wall . not really bad , could . people next we pretty quiet , could hear everything say . oh like $ 10 - 11 go tower $ 12 24 hrs wifi . , , stratosphere average . 
 Jun 16 2009 	 never ! 	 return home three night stay Stratosphere Hotel . check late Monday room less pay . suppose room view strip , view parking garage . room far would call clean . card , candy wrapper , dust galore bed couch enough garbage change fill half trash . location little far everything . find bus system downtown easy really enjoy trip Hoover Dam . return Vegas , Stratosphere list hotel stay . 
 Jun 16 2009 	 good value hotel fantastic view Las Vegas 	 husband stay Stratosphere 2 night enjoy stay . staff o.k , wait line bit hassle especially long journey . room little warn , o.k . good thing stratosphere view ! especially tower , something must visit Las Vegas ! 
 Jun 15 2009 	 Decent Motel 	 stay one night . Friday night . probably big downfall distance parking room wait time elevator every time need use . arrive pretty late want stay another night want charge we 216.00 second night first night 72.00 . real issue room request nonsmoking smell like smoke really bad . bathtub nice . big deep . lot thing inside hotel not leave eat entertainment . good bad . 
 Jun 12 2009 	 ok hotel 	 pay $ 24 mid week stay . deal . course get pay . rate hotel 3 star . 
 Jun 11 2009 	 great value hotel 	 stay Stratosphere year ago December . price great value . huge room great . note : not heart Strip prepare short walk . go , make sure go IHOP breakfast ! ! 
 Jun 11 2009 	 good excellent ... less attractive casino 	 stay 3nights . get room thru priceline bid @ $ 60 per night . room clean pattern like motel room . like room . bathroom small dark . kind smell bathroom easily spread room . Bathtub wash basin ( side bathroom ) water logging problem .. within minute wash basin become full water . bed , room light , air condition , tv etc good condition . breakfast expensive prompt enough 2 people . hotel staff checkin staff good . park enough space . the casino impressive comparison famous casino strip . good play , casino staff good prompt . 
 Jun 10 2009 	 Great Hotel 	 really enjoy stay Stratosphere . room good . hotel casino also good . tower pass free guest stay hotel . enjoy mexican food hotel . 
 Jun 10 2009 	 's wrong people 	 return yesterday second trip Las Vegas . first time stay heart strip . week Stratosphere never stay anywhere else . room clean anywhere ever stay might add travel extensively 40 year world . entire staff fantastic really seem care . try several casino time last Stratosphere pay often other . might add room rate something like experience back 60 . 
 Jun 8 2009 	 nice place stay play .......... 	 always , great stay Stratosphere Hotel & amp ; Casino two stay May . arrive mid May several week tour west rental car , first leg journey . end several week trip , stayed fly home . first room ok , nice , clean , comfy , a / c room tiny 12 inch 12 inch vent small ...... wall take forever try cool , go 68 degree ( trust never reach low whatsoever ) . not sleep well night , hot stuffy room allergy / sinus make even bad . play slot , lose money quickly slot definitely loose like stay last summer . eat money heartbeat ! ! opt thing town enjoy Strip bus . staff hotel really super , really go way genuinely friendly kind people . always ! room nice , although second room , use point player club card upgrade nice room ( air work much well must say ! ) room little need room clean tlc mold bathroom several place include tub / shower . eat din inside hotel outside casino area , service slow food ok , nothing fancy . diner 's style like 50 's , can not think name right . locally catch deuce bus ( 24 hr . pass $ 7 per person ! ) right outside hotel , away bit cab area post bus stop sign . long ride uptown night , worth saving . be hurry take cab , bus stop every hotel seem not time patience , ! great service bell personnel meet , check ( fast ! ! ! ) checkout ! ! ! great people greet take care luggage , fast bring even really busy second time visit . would stay , always upgrade room comfort well air conditioning . thank everyone make stay nice Stratosphere Hotel ! ! ! 
 Jun 8 2009 	 Awesome strip hotel w / attraction 	 take boyfriend weekend birthday good expereince ever frequent Vegas lot . first hotel deal get ( $ 100 total w / tax-1nite ) unbelievable Strip w / strip view . highly recommend signing get email deal u save lot verses book directly hotel travelocity somewhere . service everywhere amazing , budget go cafe hotel stay open 24 - hrs waiter awesome outgoing friendly , food amazing $ 50 total 2 w / tip . absoultely go 3rides ( cheap three / verse individually ) def adrenaline rush . lastely opt celebrate birthday bar hotel verses club actually turn well , like one circle lounge right front enterance hotel , couch plasma tv 's , live DJ totally rock give boyfriend shout play whatever music want club right . pool 8th floor great - topless pool 25th floor u r daring , great drink drink special , food AWESOME , play water volleyball w / other guest DJ 1 & amp ; 2 's . even Valet & amp ; bellsman great ! blast ! ! ! CA not wait GO BK ! ! ! 
 Jun 8 2009 	 great value -- great service ! 	 read many horror story Vegas review edge experience ! definitely not ! within 25 minute arrive Stratosphere , check room EXACTLY would promise us - premier room view strip . negative experience ( great health ) walk . Stratosphere offset hot spot strip , end take quite taxi , not expensive . , great stay ! 
 Jun 6 2009 	 great bargain ! ! 	 Loved stay room new funishing , new carpet can not beat 24 hour breakfast offer Lucky 's $ 5.99 . go high end hotel receive drink gaming . Stratosphere , wait immediately atmosphere friendly stuffy . go Bellagio Treasure Island receive drink stuffy hotel . would stay bargain . skip duece bus although $ 7 day really worth , rental car use valet everything . bed comfortable easy access everything . love food court well open 24 hour 2nd floor . hotel also DJ evening cool compare one seem flat boring . 
 Jun 5 2009 	 poor location make good value 	 stay one night part busy trip west coast . check - in fast staff friendly , argument one bell boy make clear not go tip carry bag 12 ft would tip guy bring bag room . car park large plenty space , room clean enough space 3 big guy ! not sample casino food plenty option . tower impressive go several time . give room number show card desk get free ticket ! big problem hotel location , area not fantastic late night even 3 big guy keep eye trouble . monorail stop maybe 5 minute walk away within 10 minute be right heart strip . during trip also stay MGM Signature Stratosphere not even come close 'd happy stay quick cheap visit Vegas . 
 Jun 4 2009 	 diapointe 	 book trip , know Stratosphere one old hotel expect find slightly outdate possibly even shabby couple way ; trying say modest expectation give age , location , price hotel . expect hotel room look like belong flea bag freeway motel rather Las Vegas strip . picture / art wall , plenty nail hole , ceiling bathroom stain rust , sink mega old school mount cabinet unit rather freely wall tiny , tiny shelf next thing even fit normal sized cosmetic bag let alone three three we travel , sink loose wall , wall paper thin could hear everything , beside , , top , room smell like ashtray even though ' non - smoking ' placard door . even smoker group put smell . one group 's first time Vegas embarasse one pick hotel . consider cost taxi cab get rest strip , strip hotel would well probably end cheap ! 
 Jun 4 2009 	 Best Budget Hotels 	 return week long stay strat , say , far nice budget hotels strip . go vegas sister wed travel paty split stratosphere , circus circus riviera . see hotel accomodation , definatlly get well choice . stay premium king room excellent view mountain room . bed big comfortable , air conditioning work treat , bathroom huge . room clean daily toiletry include , also replace daily . pool 8th floor large spotlessly clean . plenty sun lounger , even drink pool bar affordable . music play day poolside , great r & amp ; B , do not mind listen cd play constantly week ! ! strat happy hour c bar 4pm-8pm daily , ( whoever , include beer , martini marguerita ) , cost $ 19.99 per person , bargain , alcohol price extortionate along whole strip ( average cost beer $ 8.00 ) , add tip ! ! . find hotel buffet good option meal . day ticket cost $ 19.00 , range food excellent . strat end strip , mean LONG WALK see attraction , day bus pass cost $ 7.00 , last 24hrs , much need air conditioning . warn tho , take good hour get full length strip , due traffic red light . must visit freemantle street downtown las vegas , prepare amazed ! . taxi strat cost $ 10.00 . one last tip ( whole resort 1 huge tipping culture ) , beware airport TAXI driver .. airport run cost $ 20 . arrival las vegas , charge $ 35 driver go long way round onto strip ( direct route later find ) . strat bit way compare hotel , do not mind walk , bus ride , well worth rate charge . 
 Jun 3 2009 	 decent enough hotel good value paper thin wall ! 	 stay Stratosphere 4 night service fine , staff helpful , room clean , always make comfortable . real gripe noise travel room next door . wall must thin neighbour always loud could hear everything .... literally everything ! disturb sleep occasion . casino modern glamorous one may appear bit date smell stale smoke other cheap suited budget . 
 Jun 3 2009 	 Excellant Value money good location 	 wife stay Strat 3 night April road trip around California / Nevada choose base incredibley cheap price available via Expedia . upon arrival minimal queing upgrade room extra $ 15 night reading review , think good move . room modern large comfy bed , large bathroom whirlpool bath good view thr strip . the restaurant casino within hotel amzing , still good enjoy bit gamble feasting buffet ! parking valet staff good quick turnaround . the downside location . Strat consider Strip , however far northern end approx 2 mile like Bellagio Caesars . bus available , slow occasion , walk could quick option ! price pay room , put location . 
 Jun 3 2009 	 good value money love ! ! ! 	 partner stay april 2007 , first trip vegas unsure expect .... happy find . hotel clean , staff friendly . double queen room fantastic . bathroom basic bit need . location centre strip nice could walk strip want get deuce freemont street . buffet restaurant nice do not find till end stay roxys din much fun eat . like much go back september 2009 , stay hotel . value money strip defiantely stratosphere without make compromise standard . can not wait go back . money save room little flutter huge casino . definately worth 10hr 45 min flight . 
 Jun 2 2009 	 great rate room Price line 	 staff accomodate hotel . party book room late travel difficulty staff allow we put room credit card check early . appreciate 16 month old need nap . bring crib room quickly well . complaint room staff . burger style restuarant good food slow service . hotel also McDonald 's 2nd floor great value . overall experience positive . 
 May 31 2009 	 drab room Strat 	 get deep discount Strat e - booker - £ 30 room . guess get pay Strat . good : central location , free entry tower ( would otherwise cost $ 16 per person ) . bed comfortable enough . parking free , probably case casino . the bad : low ceiling , give two small double rather single king bed , tiny dingy bathroom basin outside bathroom small , jet engine air conditioner unit . stain carpet . the ugly : room funnel casino 's air - con / kitchen etc . noisy unsightly . in short - serve purpose night accommodation . stay long serious consider upgrade probably well - somewhere else ! 
 May 30 2009 	 Viva Las Vegas 	 stay Stratosphere Hotel late September 2007 wedding Bella Luna chapel hotel . husband group travel Maine we , unfortunately flight come Vegas delay day due weather . show next day hotel still guest reservation give call evening let know party would arrive next day . charge night still Maine travel limbo - work industry familiar hotel policy . while hotel enjoy casino , bar , nightclub ( section decade - 70 , 80 & amp ; 90s ) , chapel , shop & amp ; McDonalds even there . our room clean , great standard king room seat area partition seperartion bedroom - great everyone get together meet room . I great memory stay wed hotel - chapel staff include photographer amazing . can not wait return trip Vegas stay . 
 May 29 2009 	 disappointing experience ! never ! 	 service incredibly awful . the check - in line comparable airport screening , slow . apparently strict check - out rule apply Hotel check - in , although arrive post 2:00 check - in time , room ready 5:00 ! wait lobby three hour ! complain stay less fourteen hour , would like extension checkout time courtesy , tell possible unless pay $ 32.00 fee . very disatisfye . 
 may 25 2009 	 good price 	 Stratosphere among cheap stay visit Las Vegas - , old saying go , get pay for . probably Stratosphere 's big drawback ' location . technically strip , far northern end , close casino ( Sahara ) couple block away . area Sahara Stratosphere bit dicey night ( winos , panhandler , hooker , etc . ) be old young kid , probably want avoid walk around . I personally not problem local color around Stratosphere , find use monorail ( access Sahara ) quickly cheaply get southern area strip . want go downtown ( Fremont Street ) catch Deuce ( public bus ) time day night . ride slow , bus safe , $ 3 , quite bit cheap take taxi . the standard room not anything special , around $ 25 night , not expect Ritz . bed comfortable , bathroom keep clean . be likely get much view , selection tv limit , come Vegas go , sit hotel room day . one thing though - maitenance department need improve . five - day stay , two , room clean even though put & quot ; please make room & quot ; placard . use dish , laundry , etc , would often sit hallway hour time . also , afternoon room try catch nap , clean person keep run vacuum directly outside door , clearly & quot ; disturb & quot ; placard it . the rest staff well , though . not problem check - take 10 minute get line get room key - checking via tv breeze . the bartender , particular , good , recommend good place hit , quick comp drink throw buck poker machine . main bar , C Bar , happy hour get unlimited drink 4 - 8 pm $ 20 , good way get lube cheap heading night . I not gamble much , can not really give many specific casino section . surprisingly small , though , compare strip casino , think sport book look kind dumpy . talk people stay Stratosphere , apparently not high payout . the show offer , american superstar ( celebrity impersonator ) Bite ( topless vampire - theme show ) , seem cheesy even Vegas standard , not bother . Stratosphere 's main attraction observation deck , offer awesome view Vegas , thrill ride , extremely fun be scare height . I would also recommend Top World restaurant , go lunch unless want shell $ 100 per person . dining option locate little shopping mall second floor . fairly nondescript , good way get good cheap eat - especially mexican place , get big burrito beer around $ 8.overall , Stratosphere not good casino / hotel strip , price , be perfectly acceptable . 's nice place sleep , shower , grab quick bite couple drink head get & quot ; real & quot ; Vegas experience . 
 May 24 2009 	 good value North Strip clean human - size hotel 	 come back fouth time Stratosphere , would like say ' m always surprised read review like ` ` bad hotel strip ... '' first , ever stay every strip hotel rate . be definately 4 5 star hotel 's real bargain Strip . , not plan visit park life Hoover dam , canyon tour , will not alsolutely need car . monorail dozen yard away . plus hotel : * big , small . 2500 room , casino floor easy navigate . * good selection inexpensive restaurant site * u go free tower * large pool plenty chair . lot space chair , case Mirage example . * fair selection slot machine * hotel guest casual dress code expensive option strip Cons : * night , area Stratosphere sahara little bit scary . send police monitore drug dealer bad stuff like ... * strong cigarette smoke odor , mostly casino floor * exept dine Top , option dinner fancy ( Buffet , casual restaurant ) * remove self check - in machine useful waiting line long . wait 30 minute , even late evening arrival ( 11h30 pm ) * make sure ask Premium tower beside regency Tower room nicer ask superior floor overall , 's good base explore Strip , visit attraction nearby still money play Casino see show . 
 May 24 2009 	 good value money . 	 location quite far , choose stay car . the room new building good clean good value money . check in/ service fast , need wait que up . they also give we fun book great deal . you visit stratosphere tower free daytime . breakfast buffet O.K.The hotel also adult pool ( woman enter free ) not spend much time hotel , not mind service . 's good value money ! stay day time go - out show , dine etc strip night save many buck .. worth ! 
 May 23 2009 	 another good stay ... 	 stay last year Sept 29 Oct 2 , 2008 , promotion , although room much well , pay $ 26.55 / night plus taxis , get picture improvement make , sure room , new bedding much well last year ... thing lack really location , , another good stay stratosphere , course wan na go MGM Hotel , NY NY Hotel , other locate take & quot ; Deuce & quot ; bus go strip 24 hour day , ( double decker bus ) raise price $ 5/24 hour $ 7/24 hour start moment purchase pass , buy 1 pm today , expire 1 pm tomorrow , course get to exact change , another option take year 3 day pass sell pass $ 15.00 come 5 buck day old price , buy online , Vending Machines locate location .... 
 may 22 2009 	 2nd stay - amazing value $ 33 per night 	 yes bellagio , $ 33 can not argue . problem housekeeping , clean every day . stratosphere business model seem pile cheap make money buffet casino . Overcame centre action hire car stay allow we hop vegas . casino free garage turn slight negative big positive . stay without car move around alot like expect pay taxi fee pay high room rate do not add up . we 3 week vacation use cheap laundry facility . do not bother either washing machine detergent offerre rubbish . suspect Stratosphere like Marmite . love hate ! 
 May 21 2009 	 Gross hotel - bad strip ! 	 hotel gross , outdated bad service . stay cause cheap , would well stay car . manager rude . service slow . room horrible ! 
 May 21 2009 	 Lazy housekeeping staff . stay not mind dirty room . 	 arrive midnight long check line ' ve encounter ( ' ve travel lot ! ) . wait 30 minute assist gentleman speak basic , broken English . lot trouble understand . end information provide we tell we mean say ! room large enough , spa bath . on second day trip , arrive back room 8 pm prior go evening find room clean . rang housekeeping tell would done midnight . arrive back clean around 10 pm . third day , problem . Rang tell thing . arrive back 10 pm still uncleaned room . make complain front desk tell report housekeeping note account & quot ; Disturb & quot ; sign door . leave 8 am morning day certainly put sign door . housekeeping finally arrive approx . 11 pm . last night stay , request blanket . rang six ( yes , be right , six ) time request period day . , make complaint front desk meet little concern they . also , note hotel end Strip . get main area 30 min walk , catch deuce bus ( fit ) probably take amount time least air condition comfort ! 
 May 20 2009 	 great deal plenty poor location 	 ' ve stay 18 hotel Las Vegas , one well average . I really like Stratosphere . think go top , look view city , watch crazy people ride ride good thing Las Vegas . live Vegas , be must - see out - of - town visitor . stay , get unlimited free pass top ( usually $ 15 ) . also good show , like american superstar ( imitator various singer ) adult topless vampire - theme bite . pool recently refurbish . ' m anxious see , , nice ( 8th floor ) . also adult - only pool like 30th floor , access gym free . the buffet well deal strip , $ 17.all important , even though Stratosphere technically strip , be far action , questionable part town , . obviously take bus cab main part strip , be far walk , might feel comfortable that . but much charge , much , be definitely worth stay . 
 May 19 2009 	 ummm good exp . 	 nice stay place . hotel great casino . however find place great value money . think well place Vegas 
 May 16 2009 	 far enough away close enough action 	 get hotel deal steal . 3 people delux room £ 54 ( ish ) each.check simple , try & quot ; bribe & quot ; check , take $ 50 give we nothing book already . worth try ! read quiet review expect hell hole area , find case . casino fun lot , lose alot . drink service fantastic could fault girl come round one little bit , long give dollar tip would soon ask within 5 - 10 min , maybe british accent ? care 's make pay ! hat girl ! little drink gamble vegas first trip find hotel spot . short cab ride / monorail ride away action middle strip far enough away escape hour . come back vegas would not think twice book hotel again.anybody second thought hotel . calm , do not worry . I glad do not stop middle strip face need little time recover , could tempt know 5 - 10 minute walk away get change back , could bad thing , ha.all we lad castleford fantastic time even though hatton lose . Vegas ............... ROCK ! 
