good 	 second time Sams Town know expect generally . booked room online good rate since mid - week , season people , ask inside room . willing give one ponie another $ 20 night decline - room decor inside outside different , view inside boring . Valet service friendly , room adequate , check check fast place one low resort fee . hotel shuttle Strip warn could take hour get . budget hotel / casino clean okay night rv'rs - quite distance Strip 's Walmart around area need pick anything . eat mexican restaurant hotel mediocre good .. 
 Bad Bed pillow 	 be go stay not get room waterfall sound show noisy unless plan bring ear plug . another thing , need replace bed pillow horrible . bring pillow 
 Nov 3 2006 	 great buffet 	 Traveller UKOct 17 - 21 2006good hotel excellent rate , buffet good value money . in casino also show machine pay . 
 Oct 21 2006 	 quiet 	 great time whole week here . Sunday buffet good . Breastfast Monday terrible , not anymore Sam 's , great meal Jose ` & amp ; Willey 's . game good ! leave winner's . staff good . room nice clean . like slow pace place . not noisey either . Laser Light Show crown jewel stay . Best Free show Las Vegas . we will come back . Vegas 2 - 4 time year . 
 Oct 20 2006 	 nice place 	 Sams Town spacious clean comfortable room . buffet good reasonably price . $ 4.99 breakfast buffet can not beat , avoid Harvest Cafe peak hour service slow wrong food serve . Billy Bob 's Steak House excellent . Java Hut coffee adequate . the Mystic Falls laser show ok , far bellagio quality . gamble good slot odd , could not win BlackJack play many different table . table able hold multi deck machine shuffle table near video roulette wheel . shepler second floor excellent price selection western gear , add star big John Wayne fan . 
 Oct 17 2006 	 Mom 	 take Mom week Las Vegas , relax , shop bit gambling . choose Sam 's Town have , never stay . please everything ; service , food , price beautiful room . 's clean property , never see anything place . we highly recommend buffet , classy great selection food , plus good discount senior player 's card holder . even though not spend much gambling , still receive good prize point : 2 cap , 2 stainless steel fruit bowl . it nice switch stay Boulder Highway . still action gambling , craziness strip traffic , crowd etc . definitely stay Sam 's Town next time be Vegas . 
 oct 9 2006 	 great value need 	 stay Sam 's Town two night - one begin one end road trip Utah Arizona . great value money , room extremely comfortable . good size , lovely view mountain , huge clean bathroom . enjoy food Sunset Grill , try breakfast , lunch , dinner course two day stay ... meal food nice ... spectacular , good price . staff helpful . the overall atmosphere somewhat tacky , 's good fun ! average age definitely senior , not mind nice quiet , could see might well place wild trip Vegas ! overall , suited need perfectly , would definitely stay return Vegas . 
 Sep 21 2006 	 Fantastic ! Great Quality Great Price . 	 wife returene 9 night break Vegas . pleasure stay Sam 's five night . total cost $ 145 Hotels Corp. Knowing know , would not grudged pay per night , never mind whole stay . room decorate high standard reasonably spacious . room corridor spotless smell new carpet fresh paint . lot thing hotel , include eighteen screen cinema 56 lane bowling alley . lot place eat . convenience McDonalds , Panda Express , Subway Pizza take away . award win Buffet excellent . breakfast every morning $ 5 per person . quality , variety sheer extravagance miss get good value around . Billy Bob 's Steakhouse also high quality , seafood steak delicious service high standard . there not lot nightlife although show bar live entertainment every night provide free charge . however hotel operate schedule courtesy bus , Downtown Strip , last one return 11PM . also Public Transport available outside hotel & quot ; Deuce & quot ; tourist double decker pass close . day pass $ 5 although service little erratic , money save compare take taxi signifcant . Crown Anchor Pub Tropicanna easily reach Taxi Public Transport . serve great Pub Grub live music great draught beer cider . we definately return Sam 's Town . try , disappointed . 
 Sep 3 2006 	 great $ $ $ 	 travel Vegas budget convention . split stay save money stay Sam 's Town 2 night , upscale JW Marriott 3 night , back Sam 's Town 2 night . Sam 's much different JW Marriott , nice price . area outside hotel look little rough , stay . intend use transportation get strip , always miss bus ( be good schedule ! ) end drive , easy . first 2 night upgrade ( $ 10 ) atrium room love . nice look light show . 2 night , decide try & quot ; normal & quot ; room . room , view roof - top . would fine , evening sun make room hot ( even curtain close . ) future would always take atrium room . love convenience everything needed not want go . eat mexican restaurant find good . breakfast buffet every morning ( $ 5 player card ) fair . nothing great , could expect $ 5 . hotel guest mostly elderly , fine despite fact be 30 . calm , quiet group never problem try get sleep night . be college student go Vegas fun , probably not kind place . would well strip . think family would perfectly happy , would old couple single . use laundry facility locate campground . nice convenience . however , want send something dry cleaner , desk clerk say would take 3 day get back . evidently service available property . far negative , really one ... smoky hotel . must walk thru casino get atrium even room . try gamble , smoke heavy . 's shame really without smoke would liked hotel even fancy JW Marriott . 
 Aug 22 2006 	 nice room difficulty get early a.m . 	 friend go Vegas girl weekend . stay Treasure Island first couple night . leave day ahead , find cheap room ( $ 27.50 ) Sams Town stay extra night . pleasantly surprised room . nice nicer Treasure Island ... be definitely different feel stay strip . love low minimum gaming table . give chance actually play . issue try find transportation airport 6 am flight . call day , Valet send bell desk , bell desk send Valet . assure taxi would problem least 30 minute notice . get 30 minute notice next morning valet insist taxi come way often ... & quot ; have not ' see taxi since get shift ' . suggest private service happen ' hang ' . convenient ! ! luckily 2 other strand shared cost . , without tell anywhere $ 30- $ 40 ( not know sure ? ) .. additional people , still $ 25 . know .... run full speed , joke , make flight ! ! 
 Aug 14 2006 	 never 	 always stay Sams Town . past wonderful place stay play . husband never Vegas . want stay strip , talk Sams . BIG MISTAKE.Night 1 . air quit room . contact front desk assure would fix time return dinner . at dinner decide go Cafe . cook , chef must shed find hair food . we return room 3 actually cool outside ( 89 degree ) next day contact front desk speak manager duty . short hateful , move we another room . true delight room be . the housekeeper must hangover . black stuff bathtub , mean spot two , whole tub black , least forget wire running lamp expose end wait child grab get shock by . I call person send non english speak housekeeper room . make face shake head leave . manager call back go front desk tell we could go another motel , lucky going give we refund dirty room . tell keep money , go make break I . a second manager hear conversation came run dark haired one . kind offer we slight upgrade another room would stay . keep mind time 108 outside really want get heat take offer . say manage Stardust year lot employee work Sams . agree . the 3ird room cool except black sock person we leave somewhat clean one before . I need use telephone card call home learn would need put 50.00 deposit toll free call . husband go post deposit come back inform want credit card , cash deposit . person husband deal also tell use pay phone credit card , need get one phone would turn on . I reach manager formally Stardust blow gasket . go try give EX card refuse take . turn phone tell make long distance call bill room would deduct charge person tell husband get credit card . unless drink booze casino , coke hard get jackpot . since Sams open ball park would guess spend 50,000.00 . get last dollar ever will . do stay , unless like hair food poor customer care . 
 Aug 10 2006 	 Great Rooms - Great Value ! ! ! 	 need room Thursday night could get hotel town weekend . decide stay Sam 's Town . surprise ! check fast back room view elaborate Sam 's Town atrium . room Sam 's Town comparable one Vegas Strip . fact , room Sam 's Town lot well room Vegas Strip stay . definitely stay hotel ! ! ! 
 Jul 19 2006 	 great Cheap Vegas accommodation 	 find great deal Expedia $ 24.50 night plus tax three night mid - week stay Sam 's Town Hotel . hotel strip -- 's 15 minute drive away , large casino low stake wager . room clean , nicely decorate large bathroom . king bed comfortable . breakfast buffet awesome -- $ 4.99 per person join Sam 's player club -- make order omelette wide variety breakfast item . observe lot family hotel , lot senior casino . McDonald 's , subway couple fast food restaurant building be really budget , several expensive restaurant . Mystic Falls , large atrium , pleasant walk , although not get see laser water show wife like . pool , quite honestly busy see sight Vegas not time even look . large laundromat locate Sam 's rv park right next door . wife little skeptical first tell cheap price , even would admit Sam 's standard . 
 Jul 15 2006 	 nice slow pace 	 stay Sam ' Town many year , slot seem get tight last year . drink hard come change / floor help . dose seem change . like slow pace . food great restaurant . also ' like hold machine someone overnight ; go eat go bathroom ok need two hr time limit . always go strip day come back , eat often stay rest time Sam ' room real nice redone . Vegas many time good place , first timer stay strip . 
 Jun 28 2006 	 Good Value Vegas 	 want excitement Vegas & quot ; strip & quot ; hotel . family - orient 20 minute ride strip . however , offer free shuttle pretty convenient time although not allow stay strip really late . able get truly non - smoking room get slightly check - in time place Vegas will not guarantee non - smoking room one not either . smoke real problem town . even tho ' room nice non - smoking , soon turn A / C , smoke casino room funnel air vent . not unbearable , asmathic , not ideal . smoking issue , food good , lobby lovely hotel staff friendly . 
 Jun 24 2006 	 Returned Sam 's Town 	 return 5 night Sam 's Town . great time . 3rd time ' ve stay , not think will ever go back strip . rent car , could go wherever want , run bus strip , along Fremont Street stop . Sam 's recently remodel room . look nice , comfortable . problem shower plumbing . eat buffet almost every night , always satisfied . great variety , reasonable price . not come away & quot ; winner & quot ; casino , part , go Vegas expect win , be go disappointed . go Vegas first time , mean stay strip get & quot ; feel & quot ; town . ' ve do strip , want something quieter less hectic , Sam 's wojuld great choice ! 
 Jun 7 2006 	 good deal town 	 spend first week may Sam 's town disappoint . truly good deal town . room clean casino fine . facility popular local . firelight lounge buffet rate good breakfast around 5 buck ( weekday ) eat . many restaurant locate inside hotel eat complaint , great food service . distance strip , 7 mile , would recommend rent car . free bus provide hotel car well . already experience strip want relax quite atmosphere give Sam 's town try . also nice pool . picture include take inside hotel Atrium look onto water fall . room cost extra $ 10 per night , tell . room face street fine quiet . 
 May 31 2006 	 two Thumbs ! 	 would give revew 5 drink service ( coctail waitresses ) slow due fact couple waitress per shift . come Boyd Gaming , afford well ! , hotel nice pleasant clean room comfortable bed , nice bathroom , great variety reasonably price restaurant plenty slot machine keep busy . courtyard remind old western town Mystic Park beautiful . save money rent car take advantage extensive shuttle service different hotel strip downtown . highly recocommend reasonably price hotel stay . 
 May 3 2006 	 Suite Stay Sam 's Town 	 stay Sam 's Town basketball tournament . book suite son . nice room . sometimes room strip scare would stay . nice completely fine . big complaint room service . look like hotel recently redo room clean . nice people work hotel . would stay . 
 Apr 29 2006 	 great value 	 second stay Sam 's Town . 's good value , much cheap & quot ; strip & quot ; room . big complaint location room , although lucky noisy neighbor . room advertise either mountain view view indoor & quot ; park & quot ; area . room view roof . decide ask another room case noisy . rest stay pleasant , food good kid , plus mind . rent car since want visit casino attraction , nice come & quot ; home & quot ; night Sam 's . would go back . 
 Apr 26 2006 	 still love ! 	 second stay Sam 's Town . enjoy hotel time stay . room large , spacious clean . interior room 8th Floor . great view Indoor Atrium area . bed comfortable . thing say negative room tv pretty small , not Vegas watch tv ! casino large wide variety slot machine , video poker table game . food court great McDonald 's , Sbarro Panda Express . also Ice Cream Parlor Aunt Annie 's pretzel shop locate near arcade movie theater area . firelight buffet great $ 4.99 Breakfast Buffet ( Monday thru Friday ) Lunch Dinner price great well . dinner price vary depend night . go Steak night $ 12.99 even Filet buffet . tender ! feel safe stay Sam 's Town . parking much easy strip . parking garage well light camera throughout add safety . also great security throughout hotel area well . hotel offer great shuttle service distance strip well worth drive . love hotel stay July ! 
 Apr 21 2006 	 love sam town 	 glad choose stay although 20 minute strip hotel excellent . room spotless plenty space , large clean bathroom . firelight buffet fab breakfast different evening buffet selection night champagne brunch weekend . 
 Apr 12 2006 	 Great Stay 	 Las Vegas teenager age kid , must Sam 's Town perfect . lovely courtyard lobby . feel like & quot ; central park & quot ; . room new clean . variety restaurant cheap expensive , steak . casino large clean less smoke free . much bad not smoke . plenty kid , swimming , movie , bowling , eat sit waterfall beverage , people watch . think could stay several day leave .... relax , affordable price . thank Sam 's Town . 
 Mar 25 2006 	 stay put 	 not take 3rd floor room . ask desk clerk room would quiet dark . got one 3rd floor . two search light outside window fully light room even drape shut . see problem go back hour later clerk say could helped come back quick . change room next day one ruin vacation day . drive strip like nascar race like want stay put , location ok . buffet cheap food ok . special harvest great . staff friendly sport book pool well expect . price good other level would well 
 Mar 21 2006 	 horsing around 	 horseplayer sam 's town kentucky derby breeders cup . time ' ve get A1 service throughout stay . can not say enough , plus get excellent deal . jim p 
 Jan 22 2006 	 teenager 	 Sam 's Town place teenager . Sam 's Town week Christmas New Years ( Dec. 26th- Jan 1st ) . 5 party , , husband , 2 - 16yr old , 12yr old . ( boys- Vegas Baseball Christmas Camp ) . pick Sam 's Town bow alley Movie Theater one roof . however , tell ( first night ) boy could go bowling alley movie theater 9:00pm without adult . ( need 17 order un - accompany ) addition , could bowl 9:00pm since local bowling league everynight 5:00pm-9:00pm lane reserve hotel guest . not happy bowling situation & quot ; curfew & quot ; rule talk front desk security . front desk security reply Sam 's Town 's policy since problem local gang evening hour . also ask & quot ; Curfew & quot ; policy post anywhere web - site notify upon check - in . know kids reservation make ( early Nov ) . explain pay lot money ( $ 60- $ 175 per night ) stay Sam 's Town one decide factor fact something boy baseball camp . hard time believe two 16 yr.old drive car , can not walk hotel room 9:00pm . front desk recommend speak General Manager , Joe . request speak - three different time never hear back . fill customer comment card include 3 page letter stay request hear back . today 1 - 22 - 06 hear word Sam 's Town . bottom line -- Sam 's Town appear whole & quot ; family friendly & quot ; package , unless want baby - sit , not go kid . JulieSparks , Nevada 
 Jan 21 2006 	 Sam 's Better Home Away home 	 son relocate Las Vegas area , drive 2,000 mile across country Snap - on Tool box furniture . check Sam 's Town begin set new apartment . pick Sam 's travel website due location ( close son 's new apartment & quot ; Strip & quot ; - Sam 's locate Boulder Hwy go toward Henderson Las Vegas . also price really good . love Sam 's Town . 's Western themed . lobby / atrium park / waterfall area sit inside look like old western town facade . show night ( music ) laser show . otherwise nature sound part ambience . Sam 's Town 's Firelight Buffet offer whatever would want , certain night meal include complimentary wine beer . retaurant , Movie house Bowling Alley well course swimming area . RV resort next door seem popular , can not speak area not . park Penske truck outdoor parking area , back block wall security . problem . room nice . top floor . Sam 's Town comfy sort homey hotel ( nice ) lot amenity . would recommend especially anyone look place along line glamour glitz ( expense ) Strip area . Strip not far away , good price , 's bargain opinion . Sam 's Town lot award game well local review . one caveat : get shower early ; demand hot water system kind overwhelm peak morning hour . first morning , wait later , although cold , water not pipe hot like . back East , rise early easy anyway time difference . would get , shower , get downstair breakfast buffet Firelight . morning ' m back home , truly miss glass - elevator ride Firelight Buffet yummy breakfast hot coffee . really love talk lady Chef prepare make - to - order omelet ; personable well good cook . stay Sam 's Town serve we well three day need get son set new home . get little gaming side ; entertain around . 
 Oct 31 2005 	 clean 20 something 	 stay good friend , book standard room .. clean , nice view . pool area small , bar open sun - bathe yummy libation .. come cool pineapple collector cup . compakint shuttle run till midnight .. 20 be not want early ... think atrium awesome , water show mountain critter move quite entertaining ... nice hotel ment different generation . 
 oct 22 2005 	 care Strip ? 	 excellent place stay and/or gamble . definitely return recommend everyone know . time visit Las Vegas , spend time off - Strip . Strip great first time visitor , many time see tiger , volcano , crowd , etc . without become jaded . Sam 's Town draw generally old crowd , be look mingle hip , young , obnoxious , noisy drunk , place go . be look fun , friendly atmosphere reasonable price , Sam 's Town ideal . room newly remodel quiet sleeping . car , not take long commute Strip Downtown , not car , excellent shuttle service location . thing not like mandatory $ 1 per night local phone call charge , whether even use phone . & quot ; Sunset Stampede & quot ; show nice , little cheesy , sort like Wal - mart version Bellagio fountain . 
 Oct 15 2005 	 Sam 's Town lot go 	 gamble . drink smoke . LOVE Las Vegas ! fifth trip . usually stay strip , may know accommodation & quot ; deal & quot ; . time thought would try Sam 's , price yes , location . Sam 's great place stay be head Las Vegas . land airport late , head awesome Utah National Parks . Sam 's way town convenient i-15 . plan stay LV couple day return leg , Luxor . enjoy Sam 's much , blow Luxor stay Sam 's . 's easy drive strip car . shuttle rather circuitous path not run late enough take nighttime show . people note , price make worth . place nice clean many fun gimmick big hotel strip . breakfast restaurant ok ( maybe 10 - minute wait ) happen try dinner buffet . ask room facing & quot ; Mystic Park & quot ; . 
 Oct 15 2005 	 great place ger away strip 	 great place get away strip . clean , great customer service , good rate . place kid . 
 Oct 14 2005 	 good hotel good price 	 stay sam 's town hotel arrive vegas , room clean , bed good . be nice hotel , good price room . come back ! 
 Sep 24 2005 	 Sam 's Town Rocks ! ! ! 	 say enough nice thing Sam 's Town . room lovely clean . service excellent . price fantastic ! $ 39.99 night week . food great reasonably price compare strip hotel . Beautiful Buffet , 24 hour cafe food court look bargain . restaurant , italian , Mexican Steak House . lovely indoor park sit catch little quiet time . like penny slot video poker . lot machine keep busy put money pocket . Free shuttle strip downtown give option see place . great place stay , especially try stretch travel fund . unless afford glitz glamour high price hotel would recommend Sam 's Town . stay three time go back . 
 Sep 23 2005 	 good money 	 hotel mile away strip aware arrive ! room clean nicely furnish . nothing spectacular , come vegas sit room . casino great odd win seem alot high casino strip . pretty much break even end , say last stay MGM . do not mond away action Sams Town ok . really suitable young people though feel average age 60 + . 
 Sep 20 2005 	 average hotel price 	 stay Sams Town 4 time last 10 trip vegas , last week ago . can not fault , newly refurbish accommodation spotless comfortable . you game bowl visit cinema get away gambling , staff always great we . always hire car 20 min Strip hotel bus seem run every 15 min do not think transport would problem do not want drive . thing room do not coffee maker ( want visit Java coffee shop ) buy one ten dollar Walgreens road ! 
 Sep 18 2005 	 room Reeked smoke ! non - smoking floor room ! 	 first ( last ) stay Sam 's Town . visit Vegas frequently like granddaughter stay wtih hotel , try choose somewhere movie something kid . choose Sam 's Town would never stay & quot ; wolf light show & quot ; attraction . always ask non - smoking room give call non - smoking room . room REEKED smoke . could hardly breathe . complain , desk inform non - smoking floor , say room non - smoking well . change room . second one bad . buy room freshener Walgreen 's faint smell vanilla behind smoke somewhere . granddaughter like wolf light show , fake animal , etc . enough reason ever recommend hotel . remodeling part ; hope remodel demolish carpet drapery must retain old smoke . disappointing stay . last . 
 Sep 12 2005 	 Sam 's Town great place stay ! 	 love Sam 's Town ! think could deal Westward Ho strip , end check ing one night move Sam 's Town . ' ve stay Sam 's several time stay Sam 's Town Las Vegas . room renovate . super clean , comfortable roomy enough . king bed two comfy chair table room . bathroom re - do new countertop nice tub / shower . absolutely complaint room . everyone front desk casino bingo parlor employee gracious friendly . Friday Night Seafood Buffet $ 15 fantastic ! never bad waitress buffet . enjoy movie theater , pool bingo parlor , well goof court late night snack . parking free super easy . simply can not go wrong Sam 's Town . 
 Aug 23 2005 	 go make reservation - terrible customer service ! 	 try book reservation on - line birthday deal website lock browser , call hotel insist secure site . take word ? comfortable . would nice manager would friendly service - orient . website time talk could help . will stay else . can not wait get Planetfeedback . 
 Aug 22 2005 	 Suites Best 	 always stay Sams Town , July go Daughters 21 st Birthday Family come age 21 70 everyone enjoy . two suite one daughter one we -- other king room . pay $ 107.00 night 1 bedroom suite clean beautiful . room clean employee friendly . husband stay time . go strip downtown everyone even 20 30 year old want stay play really enjoy . pit boss even give daughter $ 80.00 total room bill hear Black Jack Birthday . food also good reasonable price . 
 Jul 28 2005 	 strip great value ! stay ! 	 check staff friendly . little turn around first , first find room fine . room spacious temperature perfect get hot drive San Diego ( digital thermostat ! ) furniture nice . room super clean bed comfortable . not hear noise room around we , always plus . parking situation much nice strip . garage easy navigate close elevator . express check also nice . hotel great value strip . stay romantic evening ( wink wink ) relax night win ! make stay Vegas ! 
 Jul 17 2005 	 bad ! ! 	 Sam 's Town advertising FREE shuttle service strip . check , tell charge $ 4.50 per day ' hotel service fee ' . & quot ; shuttle service & quot ; , answer question , mean . that mean , actually pay & quot ; FREE & quot ; shuttle service . use , ! ! ! couple year ago shuttle leave every hour , reduce 1hour 40 min . problem . problem return trip . step bus spot step ( Bourbon Street ) , instae return Sam 's Town , go Tropicana , waitet 15 minute San Remo , wait . hot hot hot ! ! eventually way back . take exactly 1 hour ! big inconvenience . another disappointment ' big reward program : gamble $ 2000 point get lousy $ 2 cashback . remember strip hotel last september much generous . but otherwise , great stay . forgot ask non smoking room get smoking room . smell cigarette burn ! ! room fact nice problem carpet , like previous reviewer ( ' m picky ! ! ) .The room undergo renovation time , even nice . I go week think get great value . would pay twice much hotel strip . actually , everything cheap strip . I travel alone feel safe comfortable sam 's town . the indoor park bench sit . machine front need buy drink , sit relax . will not find casino . and nice restaurant , ! 
 Jul 14 2005 	 love casino disappointed room 	 visit Sam 's Town many time always enjoy western , lay back attitude contrast well strip . first stay hotel disappoint . room ok far size comfort go carpet filthy ! ! ! ! ! stain loose dirt along base . keep sock stretch towel floor . call complain tell room available . call Housekeeping Supervisor complain person ( surprisingly ) send someone shampoo carpet next day . normally , would impress shampoo & quot ; path & quot ; make overall filth rest room even noticeable ! sad write still like casino ( ) much enjoy buffet Billy Bob 's . visit probably will not stay . 
 Jul 6 2005 	 twi - light zone 	 evidently negative live twi - light zone . Sams Town one fine casino , machine hit casino strip elsewhere really enjoy ' m play slot . casino do'es good job replace old video machine new , boredom . buffet rejuvenate quite elegant family type eatery . food ok help always courteous , course time ' ve problem different dialect [ & quot ; big deal ] smoking problem , smoker inconciderate neighbor . since live las vegas , can not give opinion hotel , casino feel comfortable protect . almost forget important fact restroom keep good shape consider traffic . E. Garstecki 
 Jun 17 2005 	 great stay Sam 's Town 	 Sam 's Town great place stay need Strip -- - Boulders hwy . food excellent price reasonable . kid love could go movie right property , plus bowling , pool arcade . room generous property great size -- -not giant Strip property . fair portion customer senior citizen -- - short walk restaurant , low table minimum , friendly atmosphere , good buffet lot food choice . favorite meal Fajitas Willie & amp ; Jose 's Casino -- -- great food price quantity . summary , Sam 's Town great need stay right Strip . try vacation 2 night Sam 's Town 2 night Strip -- -nice change pace . 
 May 10 2005 	 Frequent Sams Town Visitor ...... Love Hospitality ! ! 	 stay Sams Town 3x year . many Casinos bt always return Sam 's . hospitality great Casino worker efficient Personable . big draw card FREE shuttle service strip downtown . avoid lot Taxi Problems . the Steak House ( Billy Bobs ) also one good Vegas . Rated Zagat review . ' ve stay loyal Sams town 15 year . also Prime Rewards System great carry year year w/o expire Casinos do . only great thing say . 
 May 5 2005 	 hot water 	 hot water morning . otherwise nice hotel . 
 May 3 2005 	 60 ? will love Sam 's Town ! 	 third trip Vegas , try something different , think would stay Strip , stay Sam 's Town hire car explore desert ... kinda work , 60 feel somewhat place . first , hotel room - fairly ordinary mostly clean although two occasion ashtray not empty . mini - bar room service either . there be also kind problem toilet flush , judge sign bathroom recur problem . yes , happen we . nice . next , casino - plenty new slot ( loose well ) , smoky , get cocktail waitress take 30 minute . staff need perhaps . and 's Mystic Falls ... top tip , watch free show daytime look exactly ; mechanical animal move oddly loud music water fountain . nighttime , laser , look pretty cool . quite Bellagio , entertain 20 minute nonetheless . overall impression - decent enough place , 30 clearly not typical Sam 's Town Retirement Home customer . fight walk frame oxygen tank casino floor expect ! 
 Apr 28 2005 	 good food confuse casino layout 	 stay 4 night Sams Town 13 year old son end 2 week tour holiday UK . 4th trip Las vegas area like try new place help tripadvisor thought would stay . pay $ 45 + taxis night good value . atrium quite nice sit coffee drink course gaming area son could relax aswell . casino around outside atrium aswell restaurant , shop etc find quite confusing . hotel soon find way around always think way go . we agree comment food , eat cafe excellent food every time , go buffet menu fancy ' m sure would good food anything go by . the pool area find seem shade high wall around mile hotel room , bother use . one big problem we last thing night like coffee go bed . everywhere shut , could get glass coffee bar was'nt good , java coffee atrium good shut night . we gamble little , blackjack slot . 1cent slot ! hour fun $ 1 ! ! keno lounge inviting play whilst dinner cafe can not complain $ 400 $ 1 bet ! ! ! ! ! unless push money back Las vegas think stay elswere though come back eat . 
 Apr 25 2005 	 beware hide ` ` service fee '' smoky casino around . 	 stay last weekend , pay $ 139.00 night , biggie , convention week . beware list price , though , get acceptance box reservation portion webpage , bury within boilerplate write $ 4.50 & quot ; hotel service fee . & quot ; heck ? $ 139.00 pay ? , arrival , $ 1.00 & quot ; telephone use fee & quot ; add . practice disengenuous good ; advertise room $ 10.00 night , tack $ 200.00 & quot ; service fee ? & quot ; Hotel not bad , great , room clean minimal , complaint . casino , however , smoky ' ve time . feel truly sorry employee place , friendly efficient , smoke amazing . , know going go casino exit smell like ashtray , 's Vegas fact , expect , know Sam 's Town hotel view non - smoker disdain good contempt bad , suffocate . add stingiest slot machine anywhere ! hotel nice , get past deception , casino bust . sympathy employee . 
 Apr 7 2005 	 great place family teen 	 stay 2 nights- March 25 - 27th great time . room clean , except tub not drain well . call housekeeping unclog , still drain slowly . toiletry come show cap , request . teen enjoy movie bowling alley . have nice meal harvest cafe , though wait hour table 20 . teen enjoy McDonald 's Panda Express . beautiful lazer light show , could see hotel room . would stay . 
 Feb 18 2005 	 good time Las Vegas 	 go check Feb 3 stay 3 night 2005 . excited see main lobby park inside hotel first check . hotel activity around , restaurant , slot machine , cineama inside hotel , full size bowling lane , etc . whatever think , . lazor water show every day great . feel right home stay . 's 15 minute drive hotel strip traffic always great . really enjoy stay . 
 Feb 5 2005 	 would ! 	 take folk trip west September 2004 course visit Las Vegas . stay Sam 's Town Hotel good time . great price ! room large great southwestern flare . clean . go dinner night arrive wish would stayed right Sam 's town - offer wide variety food choice . breakfast lobby Fresh Harvest Cafe recommend . would stay . 
 Jan 28 2005 	 see Better day 	 old relic see well day . need overhaul . room fairly well keep fairly clean . restaurant mediocre good ... really go downhill last year . bad decline slot machine however , nothing spit . blackjack good casino area smoky . smoky . buffet pit , nothing like use 90 's . 
 Jan 10 2005 	 bad stay ever L.V . 	 take trip Las Vegas 4 – 5 time year normally stay hotel strip , last time decide stay Sam ' Town . stay 4 night must say hotel management bad trip ever Las Vegas . first check , charge high rate standard room suite quote phone reservation line . the second night , sit edge bed suite bed break . accuse break bed ( weight 180lbs could see break ) , tell ' repair pack move small suite . third night pack move back large suite . fourth night ' wait leave . stayed 5 day 4 night ' even use buffet coupon Las Vegas Advisor every night theme night ' honor it . I spend $ 1100 room , plus money gambling , food , drink ' even get compe anything . Sam ' Town motto : " local bring friend " , maybe ' local . 
 Jan 5 2005 	 place 	 hotel accomodation average would say thress star . Sam 's club one good place stay like variety quiet setting . service receive Sam 's excellent . also wide variety thing besides gamble . 
 Nov 28 2004 	 Sams Town Great . oct 04 	 stop Sam 's Town way Big Bear , thought would upgrade room suite cost $ 90 room big mean big Large Lounge large tv , Fridge , Coffe / Tea Machine . large tub seperate shower toilet , king bed another large tv . able sit window watch Laser show . food good although win slot fun . shuttle service Strip Town good . stop Vegas last ten year always Strip future stay Sam 's . give go know enjoy . Happy Gambling 
 Nov 1 2004 	 impress Sams Town 	 make hotel reservation well advance trip , call confirm day trip . time clerk ask whether preferred room overlook indoor park look mountain . state overlook park . arrive , give room overlook casino roof attach theatre , RV park . also state require handicapped accessible room , give , 9th floor , would prefer something close ground . laser light show park , & quot ; whoopee & quot ; , dud . build - up , expect something much well , can not complain much , free . buffet edible , nothing & quot ; write home & quot ; . wife play video poker machine three night stay , not win dime . would not stay , would recommend friend . also , long way away sight might like see , like strip Fremont Street Experience . 
 Oct 27 2004 	 First Timer .... 	 first time Las Vegas . want stay strip , hotel way expensive . Sams Town wonderful . able stay average 65.00 / night ! ! room clean ( although wish would fridge / microwave . ) ton thing . two child husband , great time . food pretty good . pricey .... shuttle convenient nice . check - in quick atrium middle hotel absolutely beautiful ! ! definately go back ! ! 
 Oct 11 2004 	 excellent value 	 place amazing value . pay $ 32 room superb . stay aladdin ont strip night $ 145 quality room honestly comparable . sam nice wild - west theming , large clean room , nice bathroom , nice quality tolietrie , frioendly staff laser show fun . ( Bellagio , good anyway ) aparently slot looser- although win , woman sit $ 4,000 nickel slot ! ! ! ! ( happy ) & quot ; bad & quot ; thing obvious distance form strip - but car , 15 min drive - strip hotel free park . shuttle- cab- overall , place great value would rather spend extra money fun vegas ! ! ! 
 Oct 3 2004 	 enjoyable stay ! 	 husband & amp ; return 6 - day vacation Las Vegas ; since trip onset much budget , make arrangement stay Sam 's Town spring . cost room $ 300 ( include taxis fee etc ) , read negative review , somewhat apprehensive going find reach destination . surprise ! courteous service registration desk , picturesque atrium suprisingly , nice room ( although view consist parking lot ) . day well pack never really stay much room , always find fresh towel neat room upon return . definitely would hesitate stay Sam 's Town although must take consideration 6 mile strip . since always rent car , impact we . look forward next year ! 
 Sep 2 2004 	 Sam 's ok price . 	 end stay Sam 's Town 8th August 2004 change flight . really complain much get room $ 39 ( Sunday ) hotel nice lot see steak egg breakfast $ 4 beat ! complaint must farth room hotel long darkest cooridor little eerie feeling , room however nice high ceiling furnish nicely . would want stay strip main focus long way . staff exceelent ver friendly helpful . 
