Fantastic 	 stay Blue Moon Hotel November great time . the hotel lovely little bit history place . our room lovely plenty room , also small balcony look Williamsburg Bridge . bed firm ensure great night sleep . bathroom well appoint , flush toilet time clear . shower powerful , towel dry small side . the front house guy meet first day , Paul , fantastic . friendly full information . really make difference stay . we would definitely stay . hotel great location get around New York neighbour hood lovely restaurant stroll distance . 
 Aug 31 2007 	 love Blue Moon Hotel ! 	 stay Blue Moon highlight New York City ! small number room welcome lobby allow frequent interaction hotel staff epitome excellent service . concierge take personal interest we need , answer multitude question regard direction , restaurant , see short stay . talk like insider 's view city recommendation use thoroughly enjoy . historic aspect hotel charming , extremely appreciative impeccable cleanliness . fully plan stay Blue Moon soon get another chance ! thank Antonella rest excellent staff ! 
 Aug 26 2007 	 great cancellation policy 	 really could not wait stay Blue Moon ... unfortunately , parent take ill 2 half day date arrival quick call manager Larry ... say & quot ; problem & quot ; receive complete refund call within 48 hrs ... wow relief ... can not wait try stay another time .... thank Larry ... Bloom 's 
 Aug 14 2007 	 Unique worthwhile 	 stay enjoyable , subject reservation , would recommend . first , plus . hotel painstakingly lovingly renovate experience stay , historical point view , least interesting visit tenement museum locate directly across street ( would highly recommend ) . stay hotel really feel like stay pleasant museum , period music pipe lobby . the room spacious . quality bed , linen , bathroom fixture , physical amenity , etc . line New York hotel cost much per night . continental breakfast rather pedestrian , quantity limit , hey , New York City , would rather pay $ 35 bountiful breakfast mid - town hotel , guest . will take complimentary breakfast day . proprietor hotel courteous accommodate host . small issue check - in arrange two room ( entire family four visit hotel ) floor , manage work we present we complimentary bottle wine ( Kosher , might add ) slight inconvenience . minus : much , really , say , look urban experience , will find . , stay elsewhere . yes , ambient noise surround street line would expect neighborhood still authentic one . think would experience visit small hotel lively street old building Paris , will get picture . be kind experience , stay away . be interested kind adventure , . likewise , area ( hardly hotel 's fault ) quite distance touristy part town . spend fair amount time taxis subway , reason alone , next visit New York might spend somewhere else , , well worth price make worthwhile interesting visit . 
 Aug 13 2007 	 potential miss point infuriation 	 wow , great place Blue Moon could . unbelievably , seem like ' actually try keep guest away . way hotel would try infuriate guest like Blue Moon we . would ? ' start say originally book Marx Brothers room ( " luxury " room ) $ 790 per night , two weekend night . couple week book , see website price drop $ 740 , e - mail ask low rate , Antonella ( assistant mgr . ) say " book $ 790 . even though rate drop , must keep rate , everyone book time pay $ 790 rate . " ' think much , ' lot money , week later check website yet , rate room class ( " luxury " ) drop $ 665 . call ask honor new $ 665 rate . well , Antonella would honor $ 665 . ask " mean tell ' go make cancel reservation , call back five minute re - book $ 665 ? " response " change rate . nothing do . " well alrighty . cancel reservation , immediately call back book room $ 665 . great use time ( Antonella ' time well ) .So arrive Blue Moon around 11:00 a.m. ' pour rain , husband drop park car , run lobby 3 piece luggage , umbrella , ' drip wet . front desk clerk ( whose name turn Antonella ) , ' say hello , immediately say " check - in ' till 3:00 , room ready . " say " ' even know name , know room ' ready yet ? " give name , check computer , indeed room ready . everything battle Blue Moon ? ' unpleasant , also work guest front desk . as other mention , hotel require guest leave room key go . return , say " ' Marx Brothers Room " , give key back . ask Antonella procedure matching room guest return , bark back " kind stupid question ? " um , ' sorry . our room , Marx Brothers room ( 6th floor ) , fantastic . gorgeous drop - dead view Delancey Street , Williamsburg Bridge , Empire State Building , tenement Lower East Side . enormous terrace , large , sparkling - clean room , refrigerator ' " eye " move thing around , decent shower . worth $ 665 ? bet … … except : ( 1 ) flush toilet , hold handle flush " complete " . could put , ' more … .. ( 2 ) window lock break , adjacent apartment building rooftop right next window , last night ' party remnant visible ( empty rum bottle , empty beer bottle , etc . ) want lockable window , husband jerry - rig lock couple piece metal suitcase . would able , frankly , afraid bring charming Antonella . ( 3 ) bathrobe . $ 665 , ' expect bathrobe . fact , ' think ' ever NYC hotel $ 300 ' one . ( 4 ) give enough soap shampoo one person small body crew - cut . ask , Antonella say " guest size give . , cabinet lock . " problem go buy local drugstore , , $ 665 per night , kind relationship want foster guest ? ( 5 ) ah , breakfast . arrive 7:20 a.m. , twenty minute breakfast start . antonella front desk , person much polite , coffee , juice , sugar , milk . ask breakfast , looked say " wait guest arrive . " ' move , ' anything , look , finally say " ' arrive . " make coffee . ask twice sugar substitute . ask three time milk . simply would address juice issue . finally husband say " forget . let ' go out . " may seem like little thing , detail upscale hotel would cover . absolute bad , warm smile " ' sorry " go long way . front desk staff encounter , would 4 - star 5 - star sure , room , say , outstanding . for require authenticity , keep mind stay floor 6 7 , lose authenticity old tenement , floor add - ons . easily see look outside building . problem we , ' care authenticity . I would stay heartbeat pay attention detail . would also stay get front desk people care guest . way , ' worth money . 
 Aug 6 2007 	 Noisy Bad Neighborhood 	 normally would concur many review say would not go wrong Blue Moon . certainly lobby new , room new , bed firm new shower . time sleep wonder -- noise come ? first garbage truck , Sysco restaurant food delivery , oil delivery 6 a.m. wonder not get wink sleep ! door start slam -- key system require slam door . problem hotel right street 4 - 6 restaurant delivery come early -- mean early . awful Monday a.m. 3rd floor Ella Fitzgerald room face Orchard Street . when approach desk clerk a.m. , agree move we quieter room back . get back room night nope , decide move we ! owner come say fault make request night manager vs. day manager . huh ? walk away response . & quot ; tough luck , & quot ; mumble -- & quot ; unless want upgrade , room have . & quot ; another night ready noise come right uninsulated front window slam door . can not wait check ! ! ! not mind sleep wink , place great . bring earplug unless stone deaf ! ! ! ! way , pillow cheap , shower will not drain , shower set high bump knee , flat screen tvs big picture wall -- joke , really . breakfast stale bagel , day old pastry Tang . front door lock 9 p.m. restaurant neighborhood bar window -- let us say , safe neighborhood NY City . feel safe , won't . bottomline , well ..... much well . 
 Aug 1 2007 	 Quirky nice 	 Quirky experience -- like inn hotel . try play 1920s New York feel , general success . room simple nice . antique furniture , wire frame bed , good touch . bathroom clean reasonably design . location give direct access low east side area chinatown might experience otherwise . near city 's hotspot , near interesting piece real - life New York ( historic New York ) . easy access Lower East Side nightlife . far East Village . a bit pricey -- wait go sale ( certainly go spend $ 700 , rack rate ) 
 Jul 31 2007 	 unique experieince Blue Moon 	 truly unique experience . beautifully refurbish , historical hotel . a great deal , consider price dollar Howard Johnson road . four - star hotel buck two star hotel ? 300 thread count sheet , huge room , deal ! also historical experience , start enter lobby . right next Tenement Museum . the owner give we tour explain buide time capsule , board since thirty . open refurbish find many treasure keep include decoration -- fascinating . on wall door coal oven tenement apartment , tile hearth line lobby . old card , invitation , newspaper build print shop frame collage wall . medicine bottle , pill box , find treasure part interior decoration . the owner artist , commited preservation past . many people would take time effort explore preserve historic site ? finally , tell attention give guest look review see manegment 's response . almost response ! Skip Times Square Hotels , stay Lower East Side unique , historical , comfortable , experience . 
 Jun 24 2007 	 home away Home Lower East Side 	 Blue Moon may luxury extras , hotel gorgeous , room spacious clean , location charm can not beat . friend stay uptown & quot ; posh & quot ; establishment , nothing complaint . would live Blue Moon could afford ! 
 Jun 12 2007 	 can not wait come back 	 fantastic stay Blue Moon Hotel . first visit New York want stay small boutique hotel . Blue Moon everything hope would , helpful friendly staff , spotlessly clean , wonderfully eccentric . Lower East Side may little ordinary day night come alive , terrific restaurant bar . love New York stay Blue Moon enhance adventure . 
 Jun 3 2007 	 great atmosphere NYC 	 place go want stay away conventional huge / amenity pack hotel service may reach excellence atmosphere something dream of . the room name ( mine & quot ; Tommy Dorsey & quot ; ) give already idea age inspire renovation nice little building 100 Orchard street , original piece find basement work reallocate hotel . courtesy reception , basic nicely arrange breakfast buffet little entrance hall spacious room make stay really enjoyable . original room door , restore perfection , original lock , need get use leave get back room , be part game .... 
 Apr 30 2007 	 enjoyable stay 	 much enjoy stay Blue Moon Hotel . proprietor lovely , proud property , beautifully maintain clean . extremely helpful pleasant , full recommendation current attraction New York area . room comfortable , quite large - pleasure New York . breakfast fresh fruit , bagel , lovely jewish pastry tasty filling . critique would love couple additional bathtowel certainly stay ! 
 Apr 9 2007 	 Lower East Side Genealogy 	 decide family genealogy take tour Tenement Museum Orchard Street . hear Blue Moon Hotel historical interest , think would wonderful experience stay neighborhood greatgrandparent spend many year life . Blue Moon Hotel worth every penny . service excellent room overly comfortable . quite obvious owner unique hotel spend countless hour capital differentiate Blue Moon Hotel peer . remind set european hotel . want visit Lower East Side , would highly recommend stay . 
 Mar 30 2007 	 total incompetence 	 staff hotel way manager totally , totally incompetent , definitely stay away ! initial reservation totally botch someone sound like teenager answer phone . call cancel reservation discover mistake never fix . even worse yet , despite cancel , credit card still bill 6 call several e - mail hotel , include Leah manager never respond ! ! never never experience like hotel life ! 
 Mar 27 2007 	 Charming Hotel Historic Neighborhood . 	 Blue Moon Hotel New York City , renovate tenement building , refer we friend must . low east side New York old , old neighborhood know immigrant population turn 20th century . & quot ; east side & quot ; quite back astonish 's revival vibrancy . the Blue Moon lobby entrance . welcome tastefully furnish contain item find renovation original tenement building.such coal oven stove , Coca - Cola ice box complete bottle opener . magnificent marble floor inlcude tile find throughout oldtenement ... room give Milton Berle room . room name vaudeville star include Fannie Bryce , Eddie Cantor , Sophie Tucker . amazed size room . much large anyroom ever stay New York . could easily sleep four table two armchair . also refrigerator stock dri nk next convenient sink .. two dresser , one tall include desk open . oldtime closet roomy . contain iron board iron safe . window huge . tell original window original wooden frame.and could actually beopene ! noisy day , often midtown night quiet like country . shower / bathtub bathroom actually door , make much comfortable shower curtain . mticulously clean , room hallway . large soap bar , shower gel , toothbrushes toothpaste nice touch . a continental breakfast available guest whichinclude bagel , bialy , cream cheese , rugelach , pastry , freshly squeeze orange juice , freshly brew coffee tea . breakfast , next meal around dinner time . guest friendly historical building definite plus trip . look forward next trip kosherrestaurant process add premise . Rosita FinkShaulzon24 @ yahoo.com 
 Mar 25 2007 	 wonderful night Blue Moon 	 service recieve staff excellent . beauty hotel room really make stay wonderful . first time NY staff helpful suggestion direction around town . experience stay Blue Moon wonderful know back time visit . 
 Mar 21 2007 	 special one - of - a - kind experience ! 	 stay Blue Moon be interested warmth , graciousness , hospitality . recently stay one night charming 22 room hotel can not wait opportunity return . room large extremely clean ambience delightful . look something ordinary Blue Moon not disappoint . be truly unique city full old run mill hotel chain . 
 Mar 19 2007 	 Character Beauty Charm 	 stay share New York hotel room , honestly say Blue Moon Hotel Lower East side well one yet . amazing find comfortable homey ambiance & quot ; city hotel & quot ; . staff exceptionally polite friendly fault , Frank Sinatra room comfortable ; beautiful . far cry cookie - cutter room see hotel city . not let quaint atmosphere fool - hotel 21st century amenity include wireless internet access flat screen television . travel clergyman , find location least important quality , Blue Moon deliver . hotel perfectly suit neighborhood Lower East Side downtown Manhattan short walk New York 's famous subway system . short , be look place lie head night NYC , Blue Moon Hotel adequate . be look hotel part New York experience , memorable hotel character , beauty charm ( well exceptional comfort ) , Blue Moon Hotel place need go . 
 Mar 19 2007 	 bit Europe NY 	 great little european style hotel big city . stay similarly price hotel NY none compare hospitality , spacious , spotless room ( one small ! ) quiet ( face street . ) would highly recommend seek unique . 
 Mar 12 2007 	 Blue Moon Gem 	 Blue Moon Hotel New York 's Lower East side truly charming . Hotel meticulously renovate tenement building . the room large New York -- nicely decorate immaculately clean . technology date , internet access flat screen tv . stay twice , room ( lowest price ) overlook Orchard Street . neighborhood atmosphere unlike experience New York hotel . easy walk East Village , Chinatown , SoHo Little Italy . everything else slightly long walk short taxi subway ride away . stay Blue Moon first time near theater activity plan . second time , return like hotel much . old fashioned practice leave key front desk step ( fact front desk staff 24 hour ) make feel safe . Blue Moon unique -- like old time inn , modern convenience . would pleasure stay place city , fact historic New York neighborhood make extra special . 
 Feb 28 2007 	 quaint charming boutique hotel 	 stay one night Blue Moon New York business trip . absolutely love . plan stay whenever ' m back city , work pleasure . the entire hotel simply lovely room , Ella Fitzgerald , much satisfy hotel ' ve stay New York . clean , comfortable tastefully decorate . use shoebox - sized room NYC definitely big . love free wireless internet room well . my room fridge , coffeemaker flat - screen television . love antique desk , wrought - iron bed , warm color wall cool light fixture . bathroom large well - stock essential . the staff friendly colorful . wish have time chat everyone encounter . ' m country - bumpkin , New Yorkers make nervous - except folk Blue Moon . perhaps ' ve stay many painfully hip hotel scar ? highly recommend folk take time check antique painting lobby . beautiful . feel like walk back time . lot love put hotel , lot respect give history . I read review noise say quite bit street noise rise early hour , , um , 's New York . City . remember think Frank Sinatra pull pillow head appreciate fact , fact , city never sleep . I will definitely back already recommend other . 
 Feb 28 2007 	 inspire Blue Moon Hotel 	 Thoughtfully , tastefully authentically restore 19th - century ambience , Blue Moon Hotel provide wonderful oasis conveniently locate downtown Manhattan . woodwork , accessory , furniture even decorative tin ceiling elevator restore hand , allow even casual visitor & quot ; step back time & quot ; aristocrat evening . within easy walk distance several restaurant subway , Blue Moon Hotel provide great accommodation great price -- particularly New York City ! even pleasantly surprise continental breakfast item , available gratis round - the - clock , include fresh fruit ; assorted muffin , bagel , roll , croissant & amp ; bread . even New York , almost everything impressive , be sure inspire urban gem . 
 Feb 19 2007 	 Cookie cool 	 well say ? arrival check personable night porter . give key Ella Fitzgerald room duly make way . open door initial reaction wow ! however shortly follow realisation somebody else already occupy room ! report duly upgrade John Garfield room slightly large , however difference room balcony . much use New York February ! ! next morning contact check see would move original room stay . result ' Double Upgrade ' Abbot & amp ; costello room . time visible sign upgrade apart assumption anybody ' Comfort ' room drink decaf . first time ' double upgrade ' find first room impressive ! room issue stay pleasant . room ( three ) pleasant . everything would expect hotel ; tea / coffee facility , iron , safe cable , etc ... hotel perfectly present , clean , comfortable picturesque lay back attitude . staff although slightly cookie friendly . wise lunch reccommendation ( bar 89 , Lucky Strike ) stay away spot ( Times Square ) worth heed . definitely good place tourist want taste bit authentic New York rather TGI 's Hard Rock . overall well worth visit would definitely stay 
 Feb 6 2007 	 stay weekend boutique hotel give room like apartment 	 travel usually like find hotel character , place get good night 's sleep . ' m impressed Blue Moon not build business plan design maximize profit & quot ; X & quot ; amount square foot . impressive boutique hotel welcome addition Manhattan . room - get see 22 room two - night stay - really large . bedroom area , mahogany furniture , bathroom great shower , view window - huge window ! - allow look rooftop Lower East Side building see New York , daylight hour night . make movie , would list location . I spend time speak owner . story restore old NYC tenement building ( Tenement Museum , fact , right across street ) authentic detail building period , add original artistic treatment , tale love total commitment project . sit cozy lobby will see people street peek window walk ask special hotel Orchard Street . traveler abroad discover Blue Moon hear one almost promise would back wife . great stay wish lot luck . open restaurant will one first customer . 
 Feb 5 2007 	 love stay 	 return visit Lower East Side stay charming hotel . 's warm , small , friendly , old - fashioned hotel locate old tenement building next door Tenement Museum . happen love area fascinate history neighborhood , help . notwithstanding predisposition love Blue Moon history quaintness , everything hotel great . comfortable room , nicely decorate , attractive , bright , clean , new bathroom . staff friendly ! always greet we smile remember coming going ; ask , talk neighborhood , offer we coffee tea kosher bake good local bakery . hotel convenient need Fri . Sat . might want ask plan Fri . night Sat . meal , something come near future . can not wait till next visit ! 
 Jan 22 2007 	 great location ! 	 Blue Moon Hotel locate trendy Lower East Side right next door Tenement Museum step away everything . go shop Orchard Street , walk Chinatown Little Italy . hotel incredible personality . outside stunning , walk hotel , immediately feel calm relaxed beautiful lobby . owner artist pay meticulous attention décor painting adorn wall . thrilled accommodation ; room exceptionally beautiful , comfy , clean new . mention NEW ? everything brand new- bed , blanket , pillow , dresser , fixture , coffee pot , fridge flat screen tv ( Monk would proud ) ! bathroom sparkle come equip deep tub soak day shopping . one hotel feel confident enough lie carpet floor san towel yoga pose . temperature easy control keep nice toasty . hear wedding party come second night brace festive partying , surprise , noise … nada , sound , sleep like log light sleeper . great breakfast , free NY Times , else ask ? 
 Jan 21 2007 	 will appreciate quaint hotel ! 	 look charming hotel heart low east side , truly appreciate Blue Moon Hotel . the owner lovingly restore building use original material create wonderfully aesthetic little gem hotel . display craftsmanship use throughout entire hotel continually amaze delight view original tile , woodwork , fixture , etc . feel history building . will love it . the original artwork owner display lobby stunning well , provide & quot ; hip & quot ; element . there real warmth come family style atmosphere onsite owner convey , staff genuinely helpful concerned stay pleasant possible . the room large , bed comfortable cozy , 's flat screen tv room ( cool ) .I highly recommend hotel . 
 Jan 14 2007 	 surely Better expect ! 	 start January Lower East Side business reason , highly content choose Blue Moon Hotel . find property Expedia , always book direct come cheap . rate room great , room well expect . first think , small hotel , would surely get small room , couldent mistaken . Plenty Restaurants close , everything convenient . couldent ask . 
 Jan 9 2007 	 Great Hotel 	 spend 5 night new year hotel find comfortable nicely decorate clean , staff helpful really nice guest stay . thoroughly enjoy trip owner really good point we right direction place interest help we new york subway system . can not fault it - coffee pot lobby times wonderful selection Teas quench thirst arrive back tiring day sightseeing . would certainly recomend . bagel coffee morning really set day constant hot water room . Rita 
 Jan 3 2007 	 Blue Moon : splendid experience special place stay 	 Blue Moon Hotel absolutely wonderful , especially enjoy meeting staff , fantastic , love . hotel beautiful decor , room comfortable , spacious clean , though good part owner employee . definitely come back often soon . Kim Lisa 
 Dec 31 2006 	 surprise ! 
 Dec 27 2006 	 wonderful unique experience 
 Dec 27 2006 	 great deal well wonderful stay ! 
 Dec 26 2006 	 blue moon : oasis city 
 Dec 10 2006 	 great hotel 
 Nov 13 2006 	 never go back - much money little ! 
 Oct 11 2006 	 Dogs keep cage hear . hot water . tp cheap . 
 Sep 19 2006 	 definitely 3 star hotel 
 Jun 22 2006 	 Book hotel desperate 
 May 11 2006 	 Charming miss basic 
 Jul 26 2009 	 très charmant et paisible 
 Jun 16 2009 	 Un moment inoubliable 
 Mar 2 2009 	 Fuyez arnaqueur hotel sordide 
 Jan 18 2009 	 Gente simpatica 
 Dec 11 2008 	 Muy recomendable 
 Nov 16 2008 	 great ! 
 Oct 23 2008 	 Hotel histórico con un servicio personalizado eficaz 
 May 21 2008 	 Un hotel charmant et spacieux à New York ! ! ! ! ! ! ! ! ! ! ! ! ! 
 May 12 2008 	 Ein kleine gemuetliche Hotel Lower East Side 
 May 12 2008 	 Un'atmosfera speciale uno splendido hotel 
 Apr 27 2008 	 Das Blue Moon NYC - ein Leckerbissen unter den New Yorker Hotels 
 Apr 5 2008 	 vacanza fantastica al bluemoon 
 Feb 12 2008 	 diamant caché 
 Oct 17 2007 	 Nett aber zu teuer 
