Great 	 stay Serrano Hotel four night love . host complimentary social hour free wine tasting every night 5 - 6pm . also serve free coffee morning guest . hotel nicely decorate chic . 's close Union Square make ideal shopper , little bit close rough neighborhood careful wander wrong direction be familiar area . hotel great value pretty reasonable price . 
 Dec 5 2007 	 great place stay 	 husband stay honeymoon summer . wonderful experience . not ton money spend still want nice place stay . read review look rate pick serrano hotel . decor beautiful hotel room clean important . bed super comfy great view city window . room small expect . bathroom room nice size water pressure great . location good part , within walk distance everything ! doorman always helpful whether ask direction , hail cab , say hello . go front desk staff . homele people area reality big city , everywhere SF , jsut near hotel . eat Ponzu . food good , pricey . wonderful time throughout stay . 
 Nov 29 2007 	 great hotel great location great staff ! 	 Booked Serrano Hotel week stay San Francisco . the hotel smack bang middle Union Square region , diagonally opposite Hilton , various large chain . 2 block Macy 's Union Square , hotel locate perfect location avid shopping fan . those want get around SF , muni system accessible via bus , cable car train locate easy walking distance hotel . the staff always attentive , assist we query , free coffee / tea morning free beer wine evening bonus . the leopard print bathrobe hilarious contemporary addition room , come Aveda product bathroom , free WIFI access definitely handy extra . the downside number homeless people surround area , likely come territory locate city centre . 
 Nov 26 2007 	 great location high standard 	 Booked hotel Hotelopia great rate 4 night stay bring cost hotel £ 50 per night 2 people . breakfast include problem hotel situate one block away fabulous Pinecrest Diner ( recommend ) Lori 's diner serve excellent varied breakfast menus . standard room ( double double ) good size immaculate good size bathroom , sit tv minibar . hotel general spotless staff friendly fault . location hotel make ideal get around trams route need close . major shop need within 2 block notably Old Navy , Bloomingdales , Nordstrom , Barneys fabulous Macy 's within ten min walk maximum . if visit get hotel bargain price would definetly stay . price leave everything price range standing make stay extremely comfortable even bed bit soft ! ! 
 Nov 17 2007 	 Charming ! 	 spend 4 night San Francisco family , want nice hotel / nice location . travel agent advise Union Square ( fabulous shopping & amp ; restaurant ! ) serrano Hotel , say personnaly spend 2 night . great choice ! staff friendly everybody always smile nice word stay . warm atmosphere mediterranean influence ( spanish would say ) ... room great size 4 people , nice bathroom , well appoint . serve morning tea coffee lobby , even not travel doggy , hear hotel pet friendly ... concierge service fantastic , always good address recommand , indoor asian restaurant , seem trendy place ! walk direction , everything need around , cable car line 3 block away . remember charming hotel next stay town ... ! 
 Nov 13 2007 	 Give Serrano chance 	 ' m actually sit room Serrano write review . ' ve stay past three night first trip San Francisco , ' ve really enjoy stay . arrive Saturday night pour rain , cab promptly greet doorman huge umbrella luggage cart . check smooth , front desk clerk could nicer give we map layout city . admit location property edge bad neighborhood , front desk helpful telling go avoid bad part . room small , expect , not disappoint . bed super comfortable : fluffy , clean , white comforter fluffy pillow . bathroom marble sizeable tub shower . water pressure fabulous . Aveda shampoo , conditioner lotion nice touch . towel soft monogrammed & quot ; & quot ; . one problem bathroom can not really sit straight toilet since close wall . Cheetah bathrobe hang closet toy games mini bar area fun idea . goof etch - a - sketch husband still threaten & quot ; walk dog & quot ; yoyo . safe free internet access ( wire , wireless ) item mini bar ridiculously price ' ve experience past . really good coffee available lobby 5 am 10 am , not make wine / beer reception , daily 5 6 . get late ate dinner attach restaurant , & quot ; Ponzu & quot ; pricey good average service . , be really great experience . every time come back , be greet , & quot ; welcome back ! & quot ; ' ve happy back . 
 Nov 6 2007 	 great hotel 	 really enjoy hotel . quite charming friendly - great , helpful staff . good location , walk distance union square . price pay , however , room small cramp , even two night stay .. 
 Nov 5 2007 	 wonderful hotel 	 hotel not great area , however learn fairly quickly direction walk hotel , direction go . hotel absolutely wonderful , good service encounter month US . corner room 12th floor lovely view . decor beautiful bed comfortable ' ve ever sleep . bathroom small however travel alone , not problem . wine afternoon wonderful touch pleased see australian wine ! would defintely stay ' ve also recommend friend . 
 Nov 5 2007 	 great location great service 	 hotel great location good shopping San Francisco , block famous cable car . also close subway streetcar access part city . many restaurant close by . the hotel welcome , free wine hour every day go treat . room everything need feel little small ( quite common San Fran ) . although old hotel refurbish modern room , small bathroom , also nice gym area . I would recommend hotel people want stay action great access Fisherman 's Wharf . 
 Oct 18 2007 	 Surprised Good Hotel 	 SF usually stay either Marriott Hilton . hotel mention book end Serrano .... prepare worst . boy mistaken . upon enter nicely do lobby ... serve wine beer free guest hotel ... nice touch ... also do daily 5 pm 6 pm . check - in routine headed room 8th floor . corner room . upon enter clean update .... big ... wrong city plan staying room much ... much SF . bathroom clean shower head least 8 ft wall ..... notice thing mid 6 footer ..... great water pressure way . never eat hotel .... many great restaurant go . sure eat Dotties SF .... around corner right .... 1 block Jones street . look Trip Advisor comment dottie True Blue Cafe .... great place eat . return SFO definitely keep Serrano mind ..... please stay . 
 Oct 17 2007 	 nice hotel 	 nice hotel , great room , small bathroom . nice staff . bed linen excellent , close everything questionnable neighborrood ... 
 Oct 15 2007 	 great place stay San Francisco 	 stay Serrano Oct 4 - 9 , 2007 . enjoyable experience . staff friendly . room great view request , get back room dinner first night personal note manager along small box chocolate , bottled water , juice . anytime need anything , extra hanger towel , arrive within 2 3 minute ! also , bell man nice arrange taxi we ( without we ask ) 4:45am last day eary flight . also fun wine hour night . the downside room bathroom . like reviewer say , place put anything bathroom . the location convienent . not want walk Taylor street , take O'Ferrall toward Union Square area fine . also , 7 - 9am hotel complimentary Town Car take anywhere want go - free ! take we Ferry Building catch Wine Tour Napa Valley . overall , enjoyable place stay would stay ! 
 Oct 8 2007 	 trick ! Clean Comfortable ... little cramp . 	 hotel stay offer return attend timeshare presentation another location ... ugh ! hour half time worth . hotel savory neighborhood ( tenderloin know ) , close Union Square lot hotel around likely encounter much trouble . & quot ; theater district & quot ; , near Nob Hill , SoMa -- long story short pretty convenient get anywhere downtown area near Muni ( bus / streetcar ) line take towards Golden Gate Park , Haight / Ashbury , etc . old building lovingly transition perfectly lovely hotel . nice fixture furnishing . clean . nice staff . Valet parking free hybrid vehicle , other need parking might want try big garage directly across street cheap parking hotel valet offer . actually take Bay Area Rapid Transit Oakland airport , get Powell St. , walk hotel ) . go Ponzu ( hotel restaurant ) , seem hoppin ' seem draw hotel guest . lot good food area though certainly option . room double two queen bed -- small comfortable ( 2 adult 3 1/2 year old ) nicely appoint . also quiet ! ! ! bathroom tiny nice well . leopard print bathrobe fun touch . plush towel , nice linen , ipod dock / clock radio ( work quickly swap notify ) . room seem bell whistle one would want day ... big . would consider stay think husband daughter would not mind either . sorry take pix hotel -- , website representative experience . 
 Sep 21 2007 	 Great Little Hotel ! 	 good hotel great location . yes room small price expect large room . staff helpful friendly . would definitely stay . 
 Sep 16 2007 	 great stay Serrano ! 	 arrive week long vacation . impressive lobby , complimentary wine serve every afternoon . friendly helpful staff . room small , comfortable modern . small bathroom , make work . be stay someone else , need ot able get along well cramp quarter ! excellent restaurant downstair good service . great value dough . good location near Union Square - 2 block cable car , 1 block national rental car office , park next door good rate . front desk even print boarding pass flight early next morning . busy location fringe questionable neighborhood many homeless people . new mattress bed arrive stay . would definitely recommend Serrano ! 
 Sep 6 2007 	 small small small ! 	 one - night trip , visit friend . choice , since book via Priceline day before . first positive particular order : IPOD alarm clock , plush bed linen , tastefully decorate . lastly particular order : mini frig , even though be inside tv armoire , particularly noisy . key minibar break , ' m sure employee previous guest eat drink something . room small , even though seem one big room floor , base emergency floor plan . room number 709 face O'Farrell . view Columbia Hotel ( rundown ) view Hilton kitty corner Serrano . the bathroom small . room place toiletry . use part bathtub top toilet place toiletry . toilet location awkward . could not close door use , know mean . shower pressure excellent . the room along O'Farrell not enough sound insulation road noise . can not imagine must sound like low floor . room service selection sparse suppose 4 - star hotel must order 5 - 10pm dinner . the area not bad . not go west south ( Tenderloin ) . go north , hit Nob Hill . go east , hit Union Square . if need parking , park across street California Garage $ 32 total . advertise $ 26 privilege , 25 % tax parking ( RIP ) . be well pay $ 44 Serrano . what else ? fitness center well equip . 2 treadmill , recumbant bike , 2 elliptical trainer , think one ski thing . anyways , cardio equipment equip personal cable tv 's . small area free weight , one multi - purpose lifting machine , weight bench . satisfactory . the business center pay per use . check - in friendly ; however , checkout express dissatisfaction outside noise O'Farrell side hotel . overall , 4 - star . would maybe rate 3.5 star . would stay , price $ 100 night . 
 Sep 5 2007 	 Nice Price 	 Flew Oakland , take BART Powell Station . walk hotel 3 block . check , go room , walk find small reserve , King Deluxe . go back lobby desk person , Artem , apologetic . send bottle wine make room . upgrade we suite huge walk - in shower stereo t.v . . 7 shower head , one 10 inch diameter . talk want get . room back side hotel , Room 401 , view fine we almost road noise . one word caution , area little iffy . be comfortable homeless panhandler , probably well take taxi stay Fisherman 's Wharf . rent car one day , gps navigator extra $ 12 . good $ 12 ever spend . not rent car without one . be especially great one way street SF . rest day use public transportation . not mind bus , good deal . spend $ 18 3 day muni - pass allow we access bus , cable car , old time trolley car . go city . take we little long , not worry pay parking . like Thai food , try Osha Thai Noodle Cafe . 's good thai food ' ve ever . Corner Leavenworth Geary . two block hotel open late . 
 Sep 4 2007 	 horrible experience 	 recently stay Hotel Serrano Labor Day weekend , along boyfriend another couple . horrible experience hotel 's staff . make reservation , pre - paid advance . originally book 1 room 2 double bed . also arrange late check - in , since would drive Los Angeles work . confirmation online , well phone day early . arrive hotel 2 morning extremely long drive , greet staff . proceed check front desk , staff member simply look we say , & quot ; Nope . be 4 , single room 1 bed . & quot ; disagree , explain Pre - pay double room . even show itinerary invoice print online . shake head say , & quot ; Nope . & quot ; tell we double room book . never apologize , even get defensive say hotel 's fault . try accommodate we mistake . leave , hesitantly offer we 2 separate smoking room . definitely want take smoking room , offer suite .. would pay difference price . pay suite give room already reserve pay ? ! fine , tired , agree stay separate single room night . next morning , talk manager housekeeping , move double room 1 bed sofa bed ( call front desk blanket / pillow sofa bed ) . inconvenience , also give we voucher continental breakfast 2 , even though 4 we . whatever . go redeem voucher morning , restaurant close early without notice , able get breakfast . lastly , upon check , noticed charge we extra $ 120 late check - in ! already arrange late check - in prior , already pay everything advance , still try charge we leave ! ! stay complete disaster , single staff member apologetic mistake , friendly matter . stay SERRANO . treat we try get something free , want pay ! want honor pre - paid reservation , fight get mediocre room without pay extra . 
 Aug 31 2007 	 Wonderful Hotel 	 wonderful hotel - excellent service time check till check . stay 4 day August problem . room typical boutique , see city / area , hang hotel room . clean , comfortable bed , Aveda bath product . daily excellent coffee , wine night . make comfortable pay $ 140 / night , think excellent value . would strongly recommend hotel - border Tenderloin Union Sq , safe outside close BART . 
 Aug 12 2007 	 wonderful place stay 	 enjoy stay Serrano . business wonderful three night stay . staff friendly helpful . suite bedroom sit room nice sized , nicely decorate . drawback Serrano bathroom . clean , place put anything -- counter . keep everything bedroom table carry toothbrush , etc . use bathroom . restaurant hotel fantastic . great service asian fusion fare make freshest ingredient . eat two night three town . really like old building convert restore hotel , serrano great example . every morning fresh coffee every evening wine reception . one reviewer say turn right -- right red light district . respectfully , disagree . turn right , couple block will find tenderloin district -- bit seedy populate homeless . would not recommend walk alone tenderloin -- decide discretion well part valor . , would not worry someone else . 
 Aug 12 2007 	 Nice Room Poor Service 	 Overall , stay fine hotel make various promise not meet staff demonstrate really poor customer service . upon arrival , could check 15 minute early ... not able check advertised check time ... finally check half hour late , somewhat stressful get wedding . the room beautifully decorate , though small . reservation say & quot ; king room & quot ; give room queen bed . order extra pillow since give two . member Kimpton frequent sleeper program supposse get kind & quot ; welcome amenity & quot ; never appear either . room extremely quiet , little street noise . the bad part hotel breakfast attach restaurant . thought would easier eat hotel , mistake . staff provide bad customer service ever recieve restaurant united states . food overprice average . seat huge group people several small child . ask repeatedly coffee wait ask repeatedly refill . ask repeatedly glass water . several party arrive we , recieve menu , coffee , food . breakfast place not keep diner ' coffee cup refill ? could get well service food $ 4 greasy spoon . lot breakfast place area , strongly encourage plan eat elsewhere . overall , room great hype customer service special frequent stayer 's club fail high degree . not recommend . 
 Aug 12 2007 	 great boutique Hotel 	 lovely hotel restore 's former glory area go long decline skid row decade . be around corner theatre district couple block Union Square . 's block 's sister hotel Monaco ( dazzling ) bit less expensive . get usual warm reception dog typical Kimpton property . room lovely , 14th floor . closet minuscule rest room well decorate luxury touch view east bay roof top . evening wine reception 5 - 6 pm fun meet several lovely people US overseas icebreaker dog . staff go way friendly helpful . professional unpretentious seem love work . 24 hour parking absurdly expensive ( $ 49.00 ) directly across street 24 hour lot privilege high end customer service half rate . hotel close main attraction transportation . not miss SF museum easy reach via public transport , taxi car . favorite neighbourhood North Beach Coit Tower area ( wild parrot Eucalyptus tree ) wonderful , inexpensive italian food bustle comfortable Pasta Pomodoro Market near colorful gay Castro district . 
 Aug 5 2007 	 Hospitable Hotel ' ve ever stay 	 hotel special . ' ve never encounter staff dedicated make we feel welcome . matter request , matter time day , we . super friendly conciierge service , point remember stuff we not even know tell ! ! yes , room small ( many hotel San Francisco small room ) , bathroom small . wife quite resourceful . set iron board act another surface put thing , fine whole time . coffee time lobby morning great time chat people stay hotel . get terrific conversation . location excellent . walk distance theatre , close major bus line , couple street away cable car line incline ride cable car . the view window excellent . every day come back clean room , bed ( especially make Kimpton hotel ) amazingly comfortable . overall , great experience . first time San Francisco , come back , would even consider stay anywhere else . 
 Jul 31 2007 	 Great Wine Happy Hour 	 great free wine & amp ; beer happy hour include stay -- - nice perk ! not go south -- will run lot homeless / sketchy folk . anywhere else around hotel great . close shopping ( Union Sq ) transportation ( Powell St Station ) . great deal via Hotwire .. save quite bit money . cozy workable room free Internet . would recommend anyone . 
 Jul 30 2007 	 Charming hotel ( almost ) bad neighborhood 	 arrive dark , drive Tenderloin , pretty bad neighborhood seem start /stop directly street Serrano hotel situate . north hotel area nice , lead main square . however , south / east hotel get pretty frustrating , walk among bunch drug homeless person . hotel sort ' game ' theme - lobby personnel lend choice 30 board game hotel stock ( however , miss lot piece , etc ) . room tiny , although bed really big comfortable . bathroom also quite small , well stock nice Avena toiletry . get upgrade breakfast package - breakfast Ponzo restaurant however disappointing would like pay . , ok hotel Tenderloin neighborhood easily avoid . 
 Jul 26 2007 	 displeased overall experience 	 realize location hotel , would stay . unfortunately walk & quot ; tenderloin & quot ; area get hotel stay couple night 5 star hotel . familiar & quot ; tenderloin & quot ; area , many homeless people appear openly use drug walk past couple police officer direct we & quot ; safe & quot ; area , get hotel . hotel surround great establishment right next door massage parlor . the staff pretty nice check . room extremely small bathroom small easy use . showstopper us strong smell bug spray room . husband notice immediately wake several time night bother . overwhelming . limit vacation time , uncomfortable location ( bug spray smell ) , cut vacation short two night get early flight back . unfortunately , since book online travel service , unable get refund last two night ( $ 440 ) ! worth sleep room smell like bug spray . -- -we worried -- -if smell much like bug spray , big problem bug ? event , staff nice size , smell room , location turn . 
 Jul 23 2007 	 charming ! 	 mom book room weekend family gathering see show Curran Theatre . hotel make great effort add charm warmth already - welcome space ; lobby fill comfortable chair small group low table feature classic card & amp ; board game . mention well - attend wine tasting evening , also nice coffee service morning . return hotel play , people still relax around fireplace glass wine , play card . secret , think , homey feel extraordinarily friendly service . everyone interact hotel helpful engaging . room huge , much big lead expect review - fact , room feature well - sized bathtub . complaint charge computer access much - publicize business center . hotel price range , keycode access biz center , seem insult tack usage printing charge . overall , though , great stay ! 
 Jul 23 2007 	 unhelpful staff small room 	 husband , two dtrs stay 4 night .The hotel stylish position rather suspect adjoining Tenderloin , consequently often battle walk Union Square lobby door night without approach homeless , druggie , drunk , itinerant folk etc . reality check kid rather depress .We book double double room high floor quiet clean well furnish state previous reviewer small . 4 case bring hardly room get around bed . bathroom insufficient storage / shelve mum 2 dtrs ! ! bar/ restaurant attach great cocktail well publicize reception staff polite helpful . my husband leave credit card nearby ATM check . go pay realise use card . explain staff happen spend 45 min try get cc company UK mobile cancel card , stress call frequently cut . reception staff nothing help , offer use phone private room check . leave call public lobby area . their attitude seem bill pay & quot ; job do & quot ; dissappointe service , impersonal , overall sully view place think slightly overprice anyway boutique hotel . 
 Jun 26 2007 	 be ok mjuch well San Francisco 	 stay multiple Kimpton group hotel past 6 12 month overall hotel disappointment . service fine lobby indeed beautiful , downfall room even San Francisco standard small . fact bathroom cruise ship almost seem spacious compare room . loo within 3 inch outer wall make use almost experience . Kimpton group hotel room quite comfortable definitely live boutique standard . location also suspect border start & quot ; tenderloin & quot ; district . make sure get direction leave walk wrong direction even block lead potentially dangerous experience night . 
 Jun 17 2007 	 small elegant 	 stay meeting really enjoy hotel . the lobby beautifully appoint great location beer wine happy hour . good organic beer serve . the room small , norm hotel style San Francisco . disturb size bathroom . cramp , toothbrush , etc . , fit along narrow edge sink . would give 5 star . no breakfast , good coffee lobby appreciate selection newspaper : SF Chronicle , WSJ , nyt.the bed new - still process replace day arrive . the airconditione pain . get cold , adjust temp , air never turn back . 70 , go 76 . twice , turn , wait 5 min , turn back get cool again . the location great . easy walk Union Square good breakfast place less block away . 
 Jun 11 2007 	 charming hotel near union sq 	 husband & amp ; enjoy 3 night stay Serrano . room small , nicely decorate . lobby nice . staff helpful , always say hello , good evening , etc , pass . bathroom also small not counter space shelve , could easily ignore since enjoy complimentary Aveda toiletry . free morning coffee / tea & amp ; Wall St. Jo . nice touch . other seem enjoy evening complimentary wine . public valet parking lot right across street $ 28 / day in / out privilege . see sketchy neighborhood block drive , feel safe , not walk direction . 2 - 3 block shop Union Square , Chinatown , block SF MOMA . challenge , along long walk Pier . breakfast , suggest hotel staff , try Dottie 's true Blue Cafe ( 1.5 block away , long line ) Maxwell 's ( reasonable city pricing hearty breakfast ) . 
 Jun 4 2007 	 nice staff comfortable room 	 love Serrano - mostly b / c leave cell phone charger room check , mail free ! staff friendly , nice , helpful anyway . stay twice December . 's boutique hotel , small room tiny elevator expect . decor little kitchy , like - remind Vegas . restaurant hotel , Ponzu , really good . highly reccommend . 
 May 29 2007 	 small hotel small room 	 husband choose hotel price location meeting May . join 2 night . room adequate , small . bathroom cramp well . place set hang cosmetic bag , except towel rack right toilet . one shut bathroom door back toilet sink . good thing hotel coffee tea service morning wine reception afternoon . staff extremely interested welfare guest . friendly , welll accomodating . allow we extend checkout 1 meeting . hotel couple block Union Square . theater district number homeless sleep street . find number small breakfast cafe area , try different one morning . reasonably price . hotel 3 block Cable car stop . 
 May 25 2007 	 Loved Serrano Hotel 	 nice experience way around . lobby common area arevery attractive . enjoy wine taste hour evening . corner Executive Suite spacious well appoint tastefully decorate . staff friendly helpful . everything really well maintain clean . price reasonable compare comparable hotel stay SF big city . highly recommend . 
 may 18 2007 	 another great Kimpton hotel 	 husband gift certificate free stay think hotel well worth pay . check friendly attentive . state previous review , room small comfortable . bathtub nice deep , great soaking . afternoon wine reception fun red white wine organic beer . appetizer drink attach Ponzu restaurant please quality service . anyone want rent car day hotel right around corner car rental agency O'Farrell St. people like great breakfast , hotel also block Max 's Geary Mason famous Dottie 's true Blue Cafe Jones . 
 may 16 2007 	 nice boutique america 's fantastic city 	 return great weekend stay Serrano downtown San Francisco May 11 - 14.the hotel cool boutique property , part Kimpton chain . 's locate Union Square West area , 2 1/2 block square distance Powell Street cable car turnaround BART / muni station . the lobby small , warm boutique - chic , ambient music play background pleasant sitting area . staff , doormen concierge front desk people , warm friendly , always greet walk door . there two elevator , give hotel 200 - something room 14 floor , rarely problem . my room , queen , compact , well - equip space well utilize . Serrano decorate traditional motif modern minimalism 's typical day , quirky light fixture attractive burgundy color scheme . the bed comfortable , perhaps little firm like minor gripe . armoire contain television , minibar closet , include two faux leopard - skin bathrobe . bathroom small , ample shower tub , nicetie Aveda bath product . the room also contain offbeat extra , yoyo mini etch - a - sketch . not try room service onsite restaurant , Ponzu , menu look innovative . the hotel offer daily wine reception lobby 5 p.m. , free coffee ( good quality ) lobby morning . the location great , close Union Square shopping district lot public transit - BART subway , muni bus streetcar , famous cable car . ( although will spend day wait one Powell Street turnaround - good take Wharf trolley around cheesy Fisherman 's Wharf take cable car back Powell Street ) . yes , seedy Tenderloin couple block away , immediate area around Serrano typical downtown commercial district , full restaurant , fast food joint , office etc etc . dining option within block legion , include 24 - hour indian restaurant , Thai , Japanese , steakhouse on . the Serrano nice place stay great , great city . $ 75 night Priceline , steal . 
 may 14 2007 	 great hotel great location 	 stay Serrano 5 day summer great time . hotel nice modern , room quite large , bed confortable . free internet access room free coffee / tea morning . service helpful nice . arrive ask different room immediately give we . location excellent sightseeing . centrally locate easy access everything . really enjoy stay Serrano would definitely go return ! 
 Apr 30 2007 	 decent nothing special 	 come back 5 day Serrano Hotel . choose proximity Hilton , attend conference Hilton prefer stay small boutique hotel . think hotel ok . service generally friendly unexceptional . arrive early afternoon first room give we tiny faced brick wall . give we much well room ( 1106 ) later afternoon . room small manageable SF standard . bathroom small awkward , easy bang elbow irregular wall . Decor bit cheesy uninspire , although admittedly prefer modern design . morning coffee evening wine reception good . get parking package good value . last time attend conference stay Adagio much nicer . similar rate next time would return Adagio , spend bit Nikko Clift . hotel fine nothing special 
 Apr 25 2007 	 Loved Stay 	 first trip San Francisco , stay Serrano 3 day April 6th-8th , 2007 . lobby charming love nightly hospitality hour free wine organic beer . morning complimentary organic coffee variety tea available free get start daily adventure . staff friendly helpful , room nicely decorate , bed comfortable , love robe provide . room spotless well stock mini - bar / snack room safe . friend travel agent , room rate great . location close Union Square 2 block cable car . love stay would definately consider Serrano ! 
 Apr 13 2007 	 Good Location 	 good location shop restaurant bar . room bite small clean plenty bath accessory . the restaurant limited choice food , wine 11 $ glass expensive . lot eat place close by.5 6 pm wine hour , one glass many want way inclined . generally , bad hotel . 
 Apr 8 2007 	 Great experience 	 partner two kid stay six day lovely hotel . ' fringe ' neighborhood , centrally locate Union Square , cable car major public transportation . as far hotel go , lovely boutique know room go small size , charming , comfortable well appoint . family 4 , two room recommend . the hotel staff helpful , happy accomodate respect . skip hotel restaurant however especially breakfast since many coffess shop withe block two hotel . we would definately go back . game kid ; wine adult coffeee morning happy helpful staff old world decor setting , tune feel San Francisco . 
 Apr 4 2007 	 overrate Overpriced ! 	 serrano overrate overprice . exterior interior building old , dingy overall unimpressive . first see hotel , actually bit shocked nondescript , old looking exterior . addition , room nothing special bathroom problem . on phone confirm online reservation , specifically request room high level possible good view possible receive exact opposite -- room 5th floor bad view possible fire escape ugly building wall . hotel staff claim never receive telephonic request . poor service ! compensate , staff subsequently offer give suite price regular room next visit . however , care stay Serrano . , compensation meaningless . the bathroom small lot water leak shower whenever use . bathroom old remind bathroom grandmother 's 100 + year - old house L.A . location central good walk Union Square . , ! well hotel general area low price . example , stay GROSVENOR SUITES Nob Hill low price serrano much , much happy spacious room , extremely generous closet space great customer service . 
 Mar 28 2007 	 Serrano - charming fun 	 Loved hotel . ' ve stay Monoco Denver feel comparable decor free wine eveining , aside fact yes , room small . old , restore hotel , expect . give location fact hotel price high SFO , think great value . location directly kitty corner Hilton 2 block St Francis not find location dodgy - SFO panhandler expect . staff great , definitely back ! 
 Mar 28 2007 	 Loved Serrano 	 recently spend four day wife San Francisco stay Serrano Hotel . the Hotel nice staff extremely friendly . it locate close Union Square Downtown Areas . I would hesitation recommend Hotel . the downside enormous amount homeless people hang around within close proximity hotel . the area safe be not far away dodgy area San Fran . 
 Mar 15 2007 	 small nice . surround area so - so . 	 like everyone else say , hotel room small . small enough feel cramp , small . bathroom small counter , already fill shampoo , soap , tissue , complimentary make - up remover pad cotton swabs . barley enough room put makeup bag toothbrush . the bed nice comfortable . I - Pod clock plus , never update time change . staff nice , complimentary coffee / tea morning nice grab way town . I impress breakfast Ponzu . wide assortment food , serve ice tea . get ask check sit 10 minute wait . Ponzu 's bar expensive , expect . sever extremely nice fun time . the area come shady character . smoke , prepare rush people ask bum buy cigarette . go BART hesitate ticket machine , someone offer help , ask money . the F - line trolley historic car , jam many people possible . prepare close fellow traveler watch bumpy ride . we buy City Pass great . never need worry buy trolley pass ( BART include ) , get ticket wonderful thing like Blue & amp ; gold cruise Aquarium Bay . Pier 39.we park across street California parking garage $ 28 day hotel guest . see place cheap near , staff nice , would recommend it . we get try complimentary wine taste walk set look nice . free wine plus ! 
 Mar 14 2007 	 Fantastic stay - always come 	 live Paris , France . we stay Serrano Hotel twice travel US almost twice year . always receive properly staff . hotel clean people ready help . stay July 2007 romm book since several month ... sure . location also great ( 5 minute walk get Union Square ... ) .during last stay get corner room locate upper part hotel enjoy wonderfull view . morning get free coffee entrance Hotel wine taste session late afternoon . frankly speak even read review relate hotel .... 
 Mar 12 2007 	 enjoy Stay Serrano 	 spend five night Serrano March 2007 enjoy entire experience . room clean , well - equip , quirky touch ( recycle bin , yoga cd ) .Each evening , wine hour , great opportunity meet people ; similarly , tea / coffee available lobby morning . the hotel conveniently locate Union Square public transport connection . love San Francisco definitely go back . 
 Mar 10 2007 	 good tourist great location 	 stay standard queen 4 night vacation feb'07 . good point : Hotel 's location within easy access Union Square , start day great style . serrano really friendly courteous staff also offer complimentary wireless internet access . on flip side , size standard queen room average comparatively small 4 - star standard . SFO city tourist , ' matter much plenty option outside room quality vacation time , leave alone colour carpet interior wall painting . room clean keep nicely appreciable standard problem room service . Hotel integrate restaurant ( Ponzu ) offer selection oriental mix menu definitely worth try , though ' price bit high - end . continental breakfast offer good would suggest skip first day plenty option Geary / Post Street short walk around corner towards union square . overall , quite handy hotel tourist course bear mind offer less space standard room . would give 4/5 room bit big - otherwise great hotel offer quality service . well recommend practical aspect stay coincide . 
 Mar 7 2007 	 Kimpton quality 	 stay several kimpton elsewhere , look forward four night Serrano . unfortunately , live previously stellar Kimpton stay ( Monaco Burnham Chicago ; Muse NYC ) .Many comment echo another recent reviewer . staff , though cordial check - in , essentially ignore existence . particularly surprised , two separate occasion , doorman suggest catch cab hotel next block rather hail one ( fun 's cold rainy ) . desk space room extremely small business traveler , absolutely shelf / counter space bathroom - though often true city hotel . however , light bad ' ve ever encounter hotel - one lamp desk another beside bed , leave side room completely dark . would impossible read sit armchair . however , bother condition room . carpet absolutely filthy , turn white sock grey time . window horribly dirty well - make wonder place ever receive anything superficial cleaning . quite contrast Kimptons , wihch ' ve find impeccably clean . also suprise fact housekeeping not leave new bar soap , replenish toiletry , empty water ice bucket , four night stay . to fair , plus : location great - short walk Union Square Market Street ( Nordstrom / Bloomingdales ) ; several restaurant within walking distance , include two Starbucks within two - block range . feel unsafe walk neightborhood . room quiet ; hear much street noise ( though admittedly upper floor ) . morning coffee evening wine nice , lobby fabulous appear website ( provide nice place sit coffee ) .In summary - horrible experience , disappoint one . not plan stay . 
 Feb 27 2007 	 Style Location Best Assets 	 stay two night business travel . stylish hotel like playfulness ambience . lobby nice . staff ( front desk , bellman ) solicitous attentive checking ( late night , slow ) staff not even acknowledge presence rest stay , e.g . open front door , offer help bag checking , etc . could not get hold front desk operator phone set wake call either two night . 's good bring little travel alarm . inconsistency service disconcerting . room nicely decorate like Kimpton hotel usually small . desk cluttered lot thing ( wine glass , brochure , hotel information , etc . ) , laptop business file crowd . nowhere else really put stuff . room bath clean generally pretty small . put toiletry kit make bag floor outside bathroom since nowhere place bathroom since everything small . one thing besides style abundance mirror ! location short three - walk block Union Square - nice . car , park parking garage across street $ 28 overnight right next door little less ( although latter often full ) rather use hotel valet $ 44 overnight + tip . restaurant great . overall size room inconvenient business traveler , probably will not stay . 
 Feb 27 2007 	 good hotel good location 	 stay night 13th Feb 2007 , hotel staff friendly helpful room lovely ( although huge ) . even get wooden puzzle play need occupy yourself . the location great couple block Union Square . edge Tenderloin hail many place avoid San Francisco . walk Tenderloin one day not feel unsafe , see seem homeless people mill around seem earn ' danger ' reputation not get bother anyone walk around . there nice , helpful , friendly wine store next door good selection Californian ( afield ) wine , make we great recommendation inexpensive really lovely white . 
 Feb 16 2007 	 great little hotel 	 wife stay Serrano week early February . well situated hotel friendly helpful staff . room small side ( nicely do ) bathroom tiny not big issue give many good point hotel . location edge Tenderloin area not problem either . walk around area problem homeless people . obviously mentally disturb one bit scary though . Taylor Street Cafe 50 m away great place breakfast . range rental car company also locate adjacent hotel . would definitely recommend Serrano well price well locate hotel SF . 
