good 	 great location , reasonable conference rate , small clean & amp ; tidy room , free wireless business hotel ! convenient Blue Line Jackson station 
 Apr 5 2007 	 Great - centrally locate 	 look hotel downtown Chicago one night - , husband 5 year old son . quick , courteous check - in get room find not sofa sleeper request ( son ) . call front desk say come back 'd different room we right away . fortnuate hear internal noise noise Adams Street . room little small 3 people plan hang , buy be Chicago ! bathroom spacious , well equip clean . little kitchenette desk perfect couple business traveler . be easy 4 block walk Sears Tower . el train even close . quick , courteous check - out . would defintiely stay . 
 Apr 2 2007 	 centrally locate Freindly Staff 	 book thru Hotwire.com bit leary know go stay . go Chicago Bears Fan Convention March 31 April 1 , 2007 . book Hotwire , Club Quarters come . never hear hotel dismay see want credit card deposit incidental . credit card . book Hotwire , change booking . call hotel tell , problem , leave $ 50 cash . ( arrival , front desk lady tell $ 50 day . tell 's guy phone say . problem pay , cash . give $ 100 ask Bank America ATM . give location say telephone use movie purchase . laughed say town Bears Fest mobile . say give $ 60 . ) arrive quite early check , 9 am precise check 3 pm . staff able find room check way . tell smoking room , could smell smoke . even sniff curtain smoke smell . room spacious . estimate 17 ft 8 ft . bed quite comfortable temperature room excellent . shower also quite large hot water demand . bathroom room really clean . free internet access business center . business center floor 3 next ice machine vend area small . one computer one printer . need use twice queue . downside stay : room sound proof could hear seem like every door open closing nearby . hear traffic Adams St. the staff freindly courteous . deposit refund full check ( not use phone tv - busy daBEARS ! ! ! ! ) hotel centrally locate , plenty bus el route nearby . within walking distance major site loop area . starbuck next hotel 7 - 11 across street open 24 hour day . Bank America ATM block away . 
 Mar 27 2007 	 good experience ! 	 say ? ? great hotel ! enjoy stay several reasons:1 . pricei book room Travelocity . two night cost 210 dollar , bad , compare downtown hotel . happy price ! ( please not tell get room even low price : p ) 2 . locationthe location definitely one reason stay . close State St . close blue line red line station ! mention free blue trolley . not take bus ; can not day . be also close Amtrak station . ( say travel train tho . , be pleasant ... ) think 's rather safe neighborhood . not feel scary walk late back hotel . 3 . clean comfortable roomI ' ve NYC several time ; therefore , phobia book hotel room big city . first , get bit worried room CQ , rather low price . accord past experience NYC , low price mostly = low quality . CQ completely overthrow idea ! book basic single room double - bed . surprising , be rather spacey . bed comfortable . hard , soft . seem / smell clean . bathroom also clean bright . although be bathtub , yet come on use bathtub hotel ? would not . hot water issue . overall , satisfied room . 4 . FacilitiesFor unknown reason , wireless not work room . since need check email , go 3rd floor use computer . be free , include printing . maybe lucky . not need wait use computer two night . go back Chicago , definitely stay CQ . 
 Mar 13 2007 	 best value ever ! ! ! ! 	 LOVED LOVED LOVED Club Quarters Chicago ! location easy get O'Hare ( close cta - take Blue Line Monroe walk 2 block ) . staff helpful informative . room comfortable , clean offer wireless internet connection . definitely good value town ( book hotels.com -- cheap weekend rate city ) . highly recommend hotel traveller ! 
 Feb 11 2007 	 Club Quarters new Chicago home ! 	 great find ! inexpensive ( compare downtown Chicago hotel ) , convenient location , great room . read review complain size room ; room perfectly big enough would fine two . bed great , comfortable , room elegant servicable . small well - appoint bathroom huge shower . plenty storage throughout room . room entire hotel clean , clean , clean . great eatery attach ( english pub ) great wait - staff , order food deliver . Valet parking reasonable convenient ( pleasant attendant ) . hotel full student night , room 100 % quiet . frequent traveler highly recommend hotel . happy travel ! 
 Jan 19 2007 	 great deal excellent location value 	 also book hotel hotwire.com get room $ 127 weekend bear play . book finding stay read review think room go tiny , room definately normal size hotel room . room clean , smell good location excellent . day walk train station block half away travel different part Chicago close enough walk Soldier Field downtown site . I would definately stay hotel overall excellent experience price pay . 
 Dec 30 2006 	 good value Business / Budget traveler 	 Booked hotel husband 's business , since be Club Quarters work . although would stay hotel several time past , first experience - husband 's first experience non - business capacity . overall , room much small expect -- typical property cater business traveler . shower make ! huge space , nice showerhead offer good water pressure . rest bathroom not big , ok . much counterspace , though , especially since coffeemaker take lot room ! room also wireless internet , mini - fridge , decent - sized closet , loveseat - like chair , queen - sized bed . we not spend much time actually hotel , see lobby restaurant nice . service professional , overly friendly . 
 Nov 27 2006 	 Great Room Price 	 book late weekend Chicago - hotel sell - book thru hotwire . location great - 2 block museam south michigan avenue - close midway way big crowd associate magnificent mile still close ( 25 minute walk - 10 minute & quot ; L & quot ; ride ) . incredilbly close theatre district . not expect much room - small adequate 1 person request roll - away promptly bring we . yes , small Chicago ! ! caution ... try Change Reservation book thru hotwire - let ! ! overall good experience - not expect much . 
 Nov 23 2006 	 Club Quarters Chicago Loop Review 	 aunt stay 3 night November ( get room Hotwire , pay $ 198 plus tax per night ) . clean , quiet , small , quite ok business person , bit claustrophobic 3 night we . every employee encounter polite helpful . real complaint every night 4:30am awaken loud bang sound . mention 2 employee , idea , maintenance man walk overhear we , say sound steam pipe turn fast . , good stay . Elephant Castle fish chip melt mouth . hotel great location , price right . berghoff Grillroom highly recommend . dessert Christmas tree Walnut Room Macys , see King Tut exhibit , Shedd Aquarium , Art Institute , even get attend tape Oprah . Ginos East Pizza excellent . great time , stay extra night another hotel , review separately . , love Chicago ! 
 Nov 13 2006 	 great place short stay 	 husband Chicago theater show want stay right downtown , reasonable price . check Club Quarters afternoon walk around . hotel room small clean modern . everything need right . attach English bar / restaurant good . would recommend highly short stay ..... 
 Nov 6 2006 	 great deal great location 	 ok , scoop : yes , room small ... adequate accomdate . bed comfortable , bathroom roomy location great . cab\train\bus\walke distance anything . family live Chicago , visit frequently . book last minute trip choose priceline get nice hotel reasonable price ( anybody trying go Chicago , know room downtown $ $ $ $ ) . read review book little hesitant . not . honestly , room clean want spend time enjoy Chicago ... rather sit room ... fine . however , look accodation like Ritz ... stay Ritz . will not find less $ 100 . save $ $ use buy couture Chicago ... great meal ! 
 Nov 6 2006 	 nice business hotel 	 little worried reading review pleasantly surprised . pay $ 80 thru Priceline , perhaps pay twice much would disappoint . room small modern nicely decorate . comfy queen bed - yes , one bed , not think will fit 4 room ! check quick painless - professional staff . could not accomodate request adjoining room , us floor ( 4 door away . ) hotel full check 6:30pm Saturday since not call early make request not feel like unreasonable could not fill request . do agree wall seem paper thin guest next we return room pretty late . feel like eavesdrop conversation . luckily not mood all - night party thing quiet short order . we check 10:30 Sunday go 2 pm matinee Wicked keep luggage ( $ 1 / bag ) problem leave car ( valet parking $ 36 night , add ' l charge leave 4 pm ) explore Chicago taxi foot . 
 Oct 26 2006 	 ripoff list rate 	 stay get less $ 100 priceline something . look feel like real hotel , room seem like dormitory . sleep 2 , well comfortable person . hate , since pay $ 80 probably good deal . 
 Oct 16 2006 	 understand complaint ! ! 	 stay read many review complain small room , neighbour noise etc . although latter not problem - maybe lucky ! find room perfectly large enough couple separate sleeping area comfy bed , sit area couch huge tv , study area desk , small kitchenette sink , microwave fridge , compact bathroom want bathroom except obvious ! ! hotel secure need card operate lift decor ok little jaded . hotel offer room service restaurant neighbouring one . also location great right central loop 15 min walk Magnificent Mile . also price good compare well know establishment . beware US tax include price quote make huge difference general ! ! would highly recommend hotel . 
 oct 4 2006 	 room fine temperature Control Problems 	 stay property five time . time , fine room . small efficient clean . nicely decorate . bathroom quite large . location nice Loop location ( close Mag Mile aware ) .here problem every time stay ... always problem temperature room . summer , air conditioner never get room comfortable enough ( matter low set , room always warm ) . winter , room get cold heater never get room warm enough ( matter high set ) . question ? temperature control room not allow control temperature ? 
 Sep 18 2006 	 good location 	 get hotel 4 hour check . take bag leave go sight seeing . get back bag already room , could check relax . hotel great location , could walk museum attraction l close . not mind size room clean . complaint bathroom . ventilation fan get damp not seem dry . shower separate rest bathroom curtain . water run curtain pool bathroom floor 1/4 inch deep . not want slosh around rest stay mop floor bath towel shower . get good deal Priceline location make shower problem . 
 Sep 9 2006 	 promise lot keep 	 room Chicago standard dark small . view brick wall next building . floor well room smell smoke , even though request non - smoking . wireless access work part build much computer equipment break . staff nonchalant interesting explanation ( & quot ; virus wireless router & quot ; ? ? ? ) . summary place last resort everything else Chicago book ( always seem room open weekend ) worth money . 
 Aug 29 2006 	 Great Location Average Rooms 	 location awesome perfect not plan spend anytime room - sleep . convenient business traveler . nice common area lounge around enjoy free internet coffee . room nothing write home not expect take nice , relax bath - n't . 
 Aug 27 2006 	 Great Place Great price 	 hotel perfectly locate west loop . 3 minute walk Quincy station . stay four night cozy room away mundane noise . hotel small , comfortable . although do not get good view downtown , quite view , window half way tint , still plenty light come . do not need extra commodity seeing . long story short , hotel staff friendlty helpful . hotel pack four - night stay , lot tourist different country , business man . various shop locate near store , ( three walgreen less minute walk hotel ) hotel locate 2 minute walk distance sears tower , 30 second walking distance monroe blue line station . one block will jackson red line station . the downside stay downtown die business hour , much side loop hour . like party visit city fun , half price stay . GREAT ! ! ! 
 Aug 26 2006 	 Awesome price location 	 Booked priceline get good deal ! yes room small , clean , friendly professional staff , feel safe walk back hotel late night . parking little pricey 's valet not worry park . 
 Aug 16 2006 	 tight prime spot 	 CQ great place stay ... secure , great location , extremely clean , rather tight room . if type like hang hotel room , may tad small lifestyle . however , type go see place rest , change , sleep ... . hotel couple block Michigan Avenue , be $ 6 ride aquarium / museum . overall though , give two thumb . one thing , service tad slow , point major frustration . 
 Jul 31 2006 	 great stay 	 get back weekend trip impress hotel . 's great location , right loop ton place visit nearby ( include art museum park stuff ) . room pretty roomy , corner room , may . bed comfy room decorate nicely . giant window take 2 4 wall , also make room feel big . everything clean people work nice , totally friendly . anyways , get room $ 79 hotwire feel excellent value , especially consider location . 
 Jul 24 2006 	 wonderful hotel ! ! 	 hotel absolutely wonderful . really can not imagine bad review site . first admit ' m quite picky person always want nice place stay . ' ve travel quite extensively feel room make break trip . since husband travel single friend , decide go priceline request room instead pay ridiculous price hotel ask ! able get Club Quarters $ 130 night . husband large room refrigerator microwave full bath ( tub ! ) extra cost . single friend standard room quite nice . none we feel small great 1 person . view overlook downtown area also . hotel close everything . 's great city easy get around train , bus , walk . hotel staff always helpful not know answer ask someone do . the room extremely clean . ask extra towel coffee give enough . I would HIGHLY recommend stay look forward stay Club Quarters throughout United States 
 Jul 11 2006 	 great location downtown price 	 stay Club Quarters downtown loop 7 day really good time . hotel clean , quiet , & amp ; staff friendly helpful . room rather small , cozy . 's block Union Station , 5 block Michigan Avenue . find good , old fashioned style restaurant street breakfeast , 1/2 block east Clark St north side . can not remember name though . parking garage recommend good , although not allow out day . car park whole time , cost $ 19 per day hotel put stamp . go back will stay , Chicago fun town , lot site see good time . 
 Jul 10 2006 	 Club Quarters : Great Value ! 	 stay Club Quarters May Chicago conference , serve purpose perfectly . lobby area new clean lounge area guest relax check internet . check - in system fast , staff front friendly helpful , room clean comfortable . pleased hotel , especially consider affordable rate . would definitely dine restuarant next time , would certainly stay Club Quarters . 
 Jul 5 2006 	 okay 	 be not expect much hotel be not disappointed . other claim room small do not small one . locate inside wall window give jail kindof feel . shower give kindof school gym feel . other complain aircondition turn receive new towel . numerous little note around room specifiying want new towel place old one floor notify front desk want air stay turn day . main complaint hotel absolutely humid room . day walk husband would come back hotel freshen . would wash face still feel completely sticky . buy carmel popcorn become soggy keep hotel room . matter low set a / c could not get rid humidity room . complaint move car valet last day could service . go pull tell could not due road close 4th . several hour firework even specify drop car pull self service could use dinner . move car valet pointless end cost . know would ve buy day CTA pass think would not need since road day . would ve cheap since use dinner get pass . overall hotel sufficient nothing really rave . 
 Jul 5 2006 	 great location decent hotel 	 wife stay Club Quarters hotel Taste Chicago festival , stay two night ( July 1 - 2 ) .first , location fantastic . hotel locate corner Clark Adams . five block Union Station four block Art Institute Michigan Avenue . fan coffee , Starbucks corner . , seem notice starbuck every two block , slightly prevalent mcdonald's . there two issue . first , unable get extra pillow . call front desk two consecutive night . first night , receptionist say one would right , never come . second night , tell extra pillow hotel . the second issue noise . way room door right next - within inch . whenever neighbor would close door , sound like closed , loud . wall seem pretty thin - could hear conversation pretty easily . earplug , much problem night , not quiet place , though street noise relatively low . stay hotel sometimes feel like coin flip far get people neighboring room respectful other - bad luck . the room small , especially bathroom , bed comfortable , room nicely decorate , air conditioning work great , plenty hot water . lobby area small functional . attach restaurant , Elephant Castle , serve pretty good french toast . 
 Jul 4 2006 	 clean comfortable quiet 	 stay Club Quarters two night July 4th weekend . check around 7:30 pm . Sunday evening without difficulty . use valet parking $ 36 per night . bit steep , Chicago . room clean serve 's purpose . yes , small , know expect give review . not spend much time room anyway . drop thing , walk around surround area . location perfect . walk distance Millenium Grant Park Sears Tower . actually walk Magnificant Mile Monday , quite hike , doable . restaurant attach lobby nice , late night snack Sunday Breakfast Monday , well beer . really enjoy Steak Crostini , Chicken Picks , Potato Skins . two breakfast bagel breakfast , good greasy . complaint bed . although feel comfortable initially lay , hard really get comfortable position pillow soft , fluffy . hard explain , neither us decent night sleep either night . deal get room , well worth . book Expedia $ 300 night , include parking . would stay convenient feel safe . 
 Jul 1 2006 	 nice surprise great location business 	 not expect much say Club Quarters Chicago Loop nice surprise . work loop great location . room smallish side clean modern . like self - check kiosk free wireless . price decent . overall , good choice . not bring car loop . parking expensive . 
 Jun 28 2006 	 Club Quarters Perfect Us 	 make mistake ; Club Quarters swanky downtown luxury hotel . also price tag high - end hotel like W Palmer House ( within 2 block C.Q. ) . want pamper loop hotel , need shell several hundred dollar night Club Quarters . folk trash hotel review obviously expect 5 star hotel unrealistic price . if choose stay Club Quarters can / should expect extremely clean , amazingly locate , remarkably comfortable , safe corporate apartment style hotel . yes hallway small , amenity basic desk staff minimal , money great deal . room huge adequate size . old NY London hotel room half size , basic room Vegas MGM . estimate room roughly 11 ' 30 ' include closet bathroom . the room nicely decorate several modern accent , nice furniture , comfortable bed good lighting . bathroom clean , brightly light large expect base review read . hear occasional outside city street noise , nothing major disturbing . extra towel , shampoo , coffee available self serve manor nearby closet every floor . expect fancy view window , instead use amazing location advantage walk block Art Institute nearby attraction . hotel near three different Loop train stop . Taxis easy catch right front door . since Club Quarters quieter part downtown , look nightlife might need cab , many nearby bar restaurant ( several deliver hotel ) . also small fridge microwave room along usual stuff would expect . wife book stay Priceline get midweek rate $ 150 , far less anything else find similar date Orbitz , Expedia , Hotels.com … Remember , standard hotel gear towards business traveler usually deal corporate account . pleasantly surprised room would stay . 
 Jun 4 2006 	 great location incompetent staff ... 	 Club Quarters location perfect weekend Chicago- great location , convenient subway , art institute , millennium park michigan avenue . room small clean quiet . however , staff problem simple task like charge credit card . & quot ; accidently & quot ; charge we 5 time nightly rate since manager duty could fix mistake . good british pub right next hotel . 
 may 29 2006 	 nice stay 	 get back weekend stay . hotel nice . clean room , friendly staff good hospitality . room small , fine 2 people not plan spend lot time hotel . comfortable bed . easy acce CTA transportation bus train get around loop . get room around $ 90 / night . great value price location . would recommend . 
 May 21 2006 	 absolute hole ... awful 	 Club Quarters West Adams not really hotel . visit website , sound will stay elite executive apartment . reality accurate part description Club Quarters hotel . , really , poor apartment building , maybe two step transient hotel . room VERRRRY small . weight 200 pound could barely fit bathroom , entry ridiculously narrow . wall thin , reception staff less friendly . good point : nice british - style pub lobby . stay many Chicago hotel , rate hotel bottom 5 percent . 
 May 15 2006 	 great time 	 get back Chicago really love Club Quarters Loop . see really negative review can not understand people not like hotel unless REALLY hard please use 5 star hotel not . though small , nicely lay appoint hotel really friendly staff everything need include gym really welcome lounge free internet . lounge empty time , one cosy friendly people day . problem toilet - someone come 15 minute later take care . ask extra blanket direct self - serve closet hall blanket , pillow , iron , extra supply room . theh location excellent - near CTA line number bus . lay bit odd labyrinthine corridor , end result one neighbor noise people coming go night . room suite - definitely good idea family sofa / bed kithenette plus . friend travel we regular double small , clean nice . short sweet , well situated hotel reasonble price would stay happily . 
 may 9 2006 	 Small perfectly form ... 	 stay Club Quarters West Adams 8 night business , get good deal Hotel.com . hotel compact reception area decent lounge next 2 internet access pc 's ( free charge ) , well free printing facility ... cool . two internet access pc 's 3rd floor . the reception hotel staff general friendly efficient . the room relatively small , comparison usual gargantuan proportion US hotel , traveller UK ( elsewhere Europe ) find normal size . room clean adequate storage , T.V. , microwave fridge well coffee perculator . bathroom bath large walk shower . the hotel actually locate financial district city not much go way bar restaurant 6.00 p.m , 's 10 minute walk north across river hit night life could want . if want locate close action another Club Quarters Wacker Avenue assume would cost money . the downside one West Adams call british pub attach , Elephant Castle actually carbon copy British ' theme pub ' . breakfast offer exorbitantly price , good service not much either . plenty breakfast place within 5 minute hotel use instead . the Americans might think pub quaint think ' naff ' . 
 may 4 2006 	 small central 	 Stayed conference price hike , $ 1000 5 day seem bit steep . small foyer small room compact fridge etc , car parking pricey do not hurry get car . central location though michigan ave shop etc . beautiful city great restaurant etc . staff friendly courteous . good business short stay 
 May 1 2006 	 Excellent ! 	 definitely excellent ! experience lack way . husband stay end March two day . room excellent , roomy , date decor , clean , much international standard ( ' m american live New Zealand ) . service great , atmosphere wonderful , love selection menus local restaurant order add room tab . appreciate mini kitchen , think 's something sorely lack american hotel motel . not eat restaurant premise not comment . one reviewer issue air conditioning ; info binder room mention turn heating / air conditioning be day , save energy , leave alone upon request , room control . price excellent , especially get . be downtown Chicago , location not get well . feel like get experience little bit authentic Chicago , another corporate cookie cutter hotel . next time ' m Chicago , ' m definitely go book place . short , shortcoming opinion pretty discerning . 
 Apr 24 2006 	 ok not want A / c 	 remember way back business hang sign front read " Air condition " order lure customer ? well , apparently , wealthy owner Club Quarters never impress extravagant frivolity cold , condition air . however , someone credit training give front desk personnel explain guest , politely , " Sir , room cool " " turn A / c entire building 8:00 p.m. " , favorite , " ' glad deliver another fan room blow air around . " arrive CQ , call ahead request sofa bed " suite . " assign room chair , sofa . staff happily accommodate request move , child would sleep floor . , new room sofa bed . kid ' seem mind bed , extend , completely block passage main bed remainder room . wife walk top sofa mattress / bed , dodge child ’ leg , bed spring order brush tooth child tuck away . bed , must health benefit head low 2 3 inch foot - though ' ask front desk explain part . first , well worn mattress seem bumpy , begin think " camp " - something miss child . microwave , refrigerator closet real plus . view side building dark , dirty , brown , right across alley . people inside appear sweat . envious . window would open . believe , examine every square millimeter latch sort . corridor room remind corn field maze Halloween : narrow , many turn . fortunately , someone think place room number sign wall . door . costly , worth . hotel great location purpose : tourist . clean . hot water . cheap compare place consider . 
 Apr 4 2006 	 LOCATION worth money ? 	 husband stay Wacker / Michigan Ave location ( 2 CQ Chicago ) weekend . if look & quot ; efficiency & quot ; room , . meet basic need cleanliness comfortable bed . location great ... easy walk distance event , fine dining shopping . not pay large amount money room , would probably stay again . yes , location hotel worth money spend ! 
 Mar 28 2006 	 Club Quaters - Perfect long weekend 	 husband along another couple get back weekend Club Quarters . book Priceline not sure get . need worry . find hotel easily , doorman help we promptly , check breeze . read review know room would small , not shock . not Chicago stay room . find hotel clean , staff helpful great location . would definitely stay . 
 Mar 25 2006 	 great value 	 Club Quarters Chicago ( Central Loop ) quite chic . close museam millennium park , far bar club . room standard size either two twin bed one queen . complant not provide blanket , bring warm pjs ! 
 Mar 25 2006 	 clean convenient ! 	 stay first time , arrive St. Patrick 's Day . room clean . easy access highway great location walk downtown site . food service adjacent pub fine . take advantage self - park $ 19 day 5 minute walk hotel . parking structure well light relatively secure . step away spot LaSalle many recognize see Brian DePalma 's & quot ; Untouchables & quot ; ! 
 Mar 21 2006 	 not get well . 	 second time stay hotel . the first time , stay one night room small . recent stay 8 night think give large room length stay . room good size queen bed , desk sit chair . drawer space less need , bring extra hanger use closet . room clean without wear . hotel hall clean . Carpet wear . supply closet hall extra blanket , pillow , iron board iron . staff friendly helpful information . Doormen quick help taxis knowledgable area . free internet service lobby third floor . lobby cozy tv fireplace . Coffee morning . patron cross section business people international traveler . hotel locate Loop , quiet weekend . restuarant / bar attach hotel , coffee shop block away informal meal 7 - eleven across street snack . starbuck next door . business traveler see . hotel highly recommend keeper . we , place stay Chicago , plus ..... price right ! ! ! 
 Mar 20 2006 	 okay pay 	 Club Quarters great location . parking expensive two night Dad stay . feel safe around area night . Elephant Castle nice pub food little overpriced . happy request two bed get queen . call front desk want pay 30 dollar night suite , would give we queen bed sleeper sofa . apparently , check - in 7 pm late get two - bed room request . room bed desk chair seating . not spend whole lot time room not matter much anyways , still quite annoying wanted charge we . find climate control either hot cold room smell cigarette . overall , okay , get pay , need two bed , check - in early . 
 Mar 3 2006 	 happy quarter 	 Club Quarters Loop fine single traveler . pay $ 75 thru priceline . clean convenient train . 
 Mar 1 2006 	 Excellent stay 	 spend Friday Saturday night CQ Chicago great . terrific location wonderful service helpful staff . Valet parking $ 33 prompt retrieve car . mention review , room quite small clean efficient . 
 Oct 15 2005 	 Perfect location affordable price . 	 stay CQ last February . room clean though small . expect Ritz - Carlton type service- CQ lay back . love location - very close Mag mile , CI art many nice restaurant . nice view Chicago . doorman help get cab time . would go back CQ keep price reasonable . 
 Oct 7 2005 	 Great Location Value ! 	 boyfriend book hotel priceline not try bit gamble . lucke . location great . walk many local attraction ( sears tower , art institute , museum campus etc . ) couple block train popular bus route . room definately outfit business traveler us town three day sight see sufficient . room pretty small unless plan spending lot time room ..... staff really helpful get right bus route hold luggage check . starbuck around corner , slightly disappointed Starbucks not open Sunday , seattle , little dependent chicago folk would definately stay club quarter . happy travel ! 
 Oct 4 2005 	 Great Location 	 family orient hotel . unless go book separate room kid , go elsewhere look . simply put room small hotel design business traveler : family small kid . wife stay Club Quarters Hotel , Wacker Drive , weekend 10 - 1 - 05 . draw price ( 125.00 nite ) location , spectacular . hotel overlook Chicago River intersection Wacker Michigan Ave . within easy walk distance Water Tower Place , Art Institute , Navy Pier , Millenium Park , State Street . note , room small . include one double bed , one small window , one small desk , one desk chair small bath . storage luggage barely adequate . bathroom come nice shower tub . hotel lobby pretty art deco staircase comfortable waiting area sport tv complimentary newspaper read . unpretentious enjoyable cafe / bar hotel lobby call Bella Bucino . the food Bella Bucino good ( $ 21.00 small pizza two couple iced tea ) friendly lay back . breakfast serve reasonable area . ditto excellent martini ' bar serve . really enjoy al fresco dining . view outdoor table spectacular . evening bar jazz combo perform Ron Bailey Trio stay , make sure catch . real deal . well yet , cover charge . find parking free privilage directly adjacent hotel east side $ 25.00 night . staff hotel extremely accomodating . room clean promptly . Carpet , wall bath fixture tip top condition . the restaurant bar staff also gracious . make sure meal come quickly could make evening theater time offer dead suggestion dining area . all great value get long understand want stay room watch tv mtd . wall , either go lay bed sit desk chair . 
 Sep 27 2005 	 Dependable 	 last stay hotel four year ago afraid would find bad shape . ' m pleased report case . owner seem do good job maintain it . for price , be hard beat hotel . stay September weekend , seem every decent hotel sell . hotel CQ 's price range make nervous ( read review website . ) glad dependable place stay . one reviewer say area desert night weekend , not find case . loop many good hotel , theater retail scene lively . want visit Art Institute , Millennium Park , shop Marshall Fields , see show Goodman Theater , place well locate . 's also convenient Midway Airport ( home Southwest Airlines ) take Orange Line Wabash / Adams , three block away . however , want spend time around Gold Coast , Lincoln Park , northern reach Michigan Ave . , be well stay hotel north . my room small ( closet door open , could not get bathroom ! ) , adequate single traveler . great issue noise . well soundproof hotel , make bad inconsiderate guest come late shout one another hallway . use earplug second night , solve problem . look , price object , would stay Peninsula . since , ' m glad something like CQ within budget . 
 Sep 15 2005 	 Adequate Self Service hotel 	 go Chicago friend mine shopping weekend . since big convention town , option slim hotwire offer good price . need room 2 bed - hotel website indicate limited . read review ' 2 bed room ' little nervous . call morning arrival problem aquire one . staff desk courteous . room bed fine - ' m 5 ' 9 , HWP trouble size either ( friend tall well ) . love English Pub . would rate average except one thing . & quot ; self service & quot ; hotel show - need iron , need go get & quot ; guest service closet & quot ; hall . 1st night stay , room totally clean , ' m guess leave 1 towel rack ( indicate & quot ; will use & quot ; ) . bed make new soap deliver , coffee machine mug not clean , new pack coffee , towel strew leave . 's leave half way job . day 2 , put everything floor include coffee pot thing get do ! : ) not , would give place 4 . 
 Sep 6 2005 	 Classy - Met expectation ... 	 CQ suspect reading review . hotel lobby simple classy cozy . plenty soft couch , chair , large tv lounge around . also - 2 computer use whenever wish .... good computer . fast . room 3rd floor , comfortable , nearly small reviewer state . fact , & quot ; Queen & quot ; much large standard Queen . box spring simply two twin put together , mattress top decently firm ( firm ) pillow comforter nice . decor decent - nice dark cherry wood desk fridge clean nice microwave . although tv small hotel room , not care not plan spend much time room . bathroom fine actually prefer non - tub shower big typical stand - up . clean nicely keep . two beef room ..... 1 - towel sub - par good 2 - air conditioner loud not seem condition cool air much would like . - comfortable enough complain . restaurant nice - breakfast decent . hotel locate close everything , include easy access & quot ; L. & quot ; 's deal parking : Valet 33 buck night , street park overnight low rate . thing CQ not tell though need get parking ticket validate get low rate . would nice know ! great experience overall low rate ( 70 / night ) ! 
 Sep 6 2005 	 good stay 	 stay hotel weekend priceline.com accept bid $ 75 / night . pleased 3 - night stay . room small ( skinny ) , plenty room two we . bed comfortable , like air conditioning thermostat really enjoy little kitchen us store leftover deep - dish pizza enjoy way airport . location convenient lot tourist sight , though desert night weekend . hotel block away blue line , go way O'hare . also enjoy free wireless internet . hotel nothing special , cheap , clean convenient . 
 Aug 29 2005 	 overprice hotel well alternative around corner 	 stay hotel attend nearby conference -- official recommend conference hotel book basis , opt room upgrade suite $ 150 per night . experience terrible -- write review second last night yet another example CQ 's terrible attitude customer service . tonight , return 10 pm wonderful long day drop hotel restaurant enquire late food . tell service available 11 pm basis go room quick change , return restaurant 10.30 , plenty time , think , food . dismay tell would food service fact bar / restaurant closing early tonight . tell restaurant staff kitchen sometimes close early business slow . complain hotel manager minute later get convoluted story excuse closure -- clog & quot ; grease trap & quot ; render kitchen fire hazard , despite fact diner continue dine behind closed door . must say interaction duty manager unsatisfactory . rude unhelpful never attempt apologise problem , let alone truth behind close . write example sort rude unhelpful staff behaviour witness one occassion course past week . in term room -- upgrade buy we small dark room leaky air conditioning system ( complain avail ) block lavatory minimal in - room service ; example , continue receive single tea bag day tea coffee facility . in experience hotel over - price under - perform . staff need much well basic training , sure . would not come certainly would recommend other . try Crown Plaza , street account much well option around . 
 Aug 24 2005 	 small ? we . 	 stay 4 night Club Quarters , Central Loop , August 2005 , concerned tiny size room report Trip Advisor . fact , plan stay one night small , cheap room move rest stay ( 3 weekend night ) expensive large room . find original room perfectly adequate , cancel move big room . pace space bed door - 7 foot 11 foot , need use desk , drawer , tv . not bring cat we can not say whether would room swing one . on subjective side , simple wood decor relief stay night chintz - drape B & amp ; Bs . practical side like feature able get extra blanket decaf coffeemaker closet floor , rather call front desk . three pc internet access free print real help , coin laundry room . pub first floor good , reasonably - price food , find convenient put restaurant tab hotel account . would recommend hotel highly anyone look comfortable place stay center Chicago . 
 Aug 23 2005 	 unexpected city delight 	 chance stay hotel , be great value . offer great amenity conveniently locate . website might post good picture , seem though recent past , entire hotel remodel - even hallway nice . two computer main floor guest lounge great printing boarding pass , find attraction / direction , etc . 's comfortable service prompt curtious . could even exercise equipment deliver room not want work fitness center . negative thing could mention stay water pressure shower not great . otherwise , fantastic place stay , go back . 
 Aug 22 2005 	 Excellent Value Cleanliness Location Ammenities ! 	 friend stay property weekend ( Aug 19 - 21 ) book priceline.com $ 100 / night . reservation good hotel would & lt ; $ 100 heart downtown , take chance . upon arrival check - in , thrilled location , upscale decor , amenity spotless room ! front desk staff great happy check bag room ready could go city afternoon . the room cozy small adequate size two people . two twin bed luxuriously comfortable superior mattress ; quality , high - thread count sheet beautiful , heavy comforter , top thick pillow . cherry wood desk work area top quality room even feature standard microwave mini - fridge . bathroom spotless , feature wonderful soap , complimentary mouthwash , glass cocktail glass coffee / tea maker . amenity go above - and - beyond expectation shopping service stock mini - fridge REGULAR consumer price ( vs. inflated room service price ) , delivery treadmill exercise bike room work private , free WiFi service throughout property free pc 's printer use club room main level . we would stay Club Quarters future trip Chicago without question ! downtown location suberb- 1 block Blue Line Jackson stop 2 block State Street Red Line stop . be 6 block Art Institute heart city ! OUTSTANDING ! 
