hotel 	 husband , mother inlaw stay 3 night lovely hotel . moment step taxi welcome feel ease . staff friendly helpful . room quaint warm , one could ask anything far amenity go . turn service include light candle side bath , nice touch one could help enjoy long bubble bath . resuraunt cozy homelike food wonderful . look forward go future . 
 excellent service perfect location 	 second stay Milestone . charm truly exceptional hotel . service excellent . enough . highly recommend . 
 Food Service need Good Rooms 	 stay weekend November , 2009 . hotel great location lovely public area . reception staff great doorman really friendly show we room . room lovely , well furnish big bathroom - generally high standard . the place hotel let come food service restaurant . eat dinner hotel experience dinner breakfast service bit chaotic . first day ask quite time room number serve omelette not order . food come ok nothing special - would expect something bit ordinary room rate hotel charge . on second day wait around 30 minute breakfast & quot ; everyone turn breakfast time & quot ; . surprise London hotel weekend . Whislt wait breakfast , ( friendly ) staff wander around look bit confused really achieve much . get breakfast serve waitress forgot bring milk , forgot pen , forgot notepad , etc . etc . seem quite disorganised . our third day well - hotel encourage people take breakfast bed . service still little odd . day get milk , . day 's honey table . order two course breakfast might find show time . generally , great hotel would recommend make sure either get good deal include breakfast start day elsewhere . 
 Milestone apartement - perfect base London 	 stay Milestone apartment September 2009 2 year old son nanny . the apartment perfect choice , offer beautiful traditional decor like rest hotel , space kitchen . public area hotel beautifully decorate . rather small side not matter give hotel intimate feeling . our apartment beautiful , full light amenity , service twice day . marble bathroom specious huge bottle Penhaligon 's toiletry . bedroom plush matching drapery , carpet , bed canopy wallpaper traditional english style . location hotel great , right across Kensington Gardens close major attraction great shopping . staff helpful knowledgeable . truly home away home London . 
 superlative true ! 	 book hotel American Express , cross reference London hotel book Trip Advisor . milestone high trip advisor review , choose family four happy do . if look authentic holiday London , think find follow true Milestone Hotel : location : excellent , ; 5th floor room wonderful view Hyde park Kensington Palace . short walk Park , Palace Orangery serve lovely tea cake . also short walk South Kensington tube many small restaurant . roughly fifteen minute stroll Harrods Harvey Nichols , approximately sixteen pound taxi ride , ( traffic ) british museum . check check : excellent ; efficient , welcome friendly . room : excellent ; elegantly tastefully appoint , immaculately clean , fine linen , comfortable bed pillow , cozy . marble bathroom also perfect -- clean new , great water pressure ... room service restaurant : excellent ; much enjoy dine Milestone . server manage strike perfect balance friendly attentive , yet intrusive . happy learn history hotel whilst enjoy hearty english breakfast . husband son could think well way begin day . daughter particularly enjoy afternoon tea fire , surround book . concierge : excellent ; knowledgeable , friendly helpful . lastly , visit England love history . could bear , , large chain hotel could anywhere world . end , people encounter travel , think , make journey enjoyable . gratify we encounter Milestone speak english knowledge history legacy . last trip England year ago , stay Mandarin Knightsbridge , , lovely many way , could hold candle Milestone . we wonderfully memorable holiday Milestone would happy return.high mark activity teenager : Sherlock Holmes museum , International Friends tour Stonehenge ( Nicholas drive Pat guiding ) , pub fun well , Army museum also well do . 
 Feb 11 2008 	 Lovely Hotel Lovelier Staff 	 celebrate milestone birthday Milestone Hotel could not happy experience . moment friend check till moment leave , staff attentive , courteous kind . upgrade large luxurious room , offer bottle champagne ( bring room extra glass could share friend ) advise birthday cake arrange . follow check - in , show around public room graciously escort sumptious quarter . book stay , send Guest Preference form complete . clearly , someone pay attention , quiet , non - smoking room decorate favorite color scheme , plenty pillow , lot hanger plate preferred fruit . as pleased accommodation , even impressed staff . expect arrive mid - day , another friend 's handbag steal , enjoy coffee pastry hotel 's lobby , spend much day American Embassy get temporary passport . explain Milestone 's lovely receptionist , immediately express concern quickly extended offer help . generous spirit stark contrast indifference friend encounter hotel . thoughtfulness set tone enjoyable stay . 
 Jan 29 2008 	 top notch service luxourious room 	 Milestone one favorite hotel world . staff go way ensure guest 's comfort ( friendly butler , helpful concierge , great maid service bring fruit , candy little appetizer every night ) . many little touch make property spectacular . 's beautiful building , room spacious , quiet , & amp ; interior decorate superb . love venetian suite . make sure tea & amp ; scone , 's good tea experience London . cookie - cutter generic type hotel - lot character & amp ; old - world elegance . they centrally locate , great view Kensington Park . resistance pool also nice like swimming . 
 Dec 25 2007 	 one good hotel London 	 nice small hotel ; suite big , well appoint comfortable . bit noise come street . 
 Dec 20 2007 	 Hotel discerning 	 end ParkCity could extend stay happy pay 230 gbp night sleep . that s downer stop ... brilliant location , room overlook Kensington Palace . brilliant check , arrive early Receptionist notice Blackberry offer email room ready . brilliant room , stay Safari Suite impress . brilliant bar , waiter know stuff settle nice Bordeaux ! really problem find problem hotel trade usually fault they . maybe 2 gripe - insufficient foreign language tv channel overseas visitor hotel standard , green tea room . I consider hotel gem . 
 Oct 11 2007 	 Milestone Great 	 everything perfect Milestone - service , decor , friendliness staff , quality furnishing fixture . food - & quot ; Midnight Lovers ' Feast & quot ; marvelous . certainly stay . 
 Aug 24 2007 	 set standard . 	 recently return second stay Milestone Hotel within last month . I initially recommend hotel American Express ( Centurion Card - Black Card ) , restaurant hotel recommendation generally good . the Milestone recently vote fourth good hotel world lead travel magazine unreservadly endorse accolade . London comprehensive choice hotel range budget world well ........ one world good customer service . hotel relatively small less sixty bedroom , build 19th century two townhouse retain many original period feature . room totally different decorate style imagination , stay Royal Studio wonderful two child ( young adult 18 20 ) stay twin room equally impressive . stay celebrate son 18th birthday , visit eat two top London hotel , Sanderson St Martins Lane . order benchmark three hotel , ask look respective guestroom . look trendy , minimalist price , love Sanderson St Martins Lane , however traditional sumptious surrounding , not hesitate select Milestone Hotel choice . I business UK fortunate travel extensively business pleasure honestly say hotel exceed expectation hotel . like thing life , quality service generally come premium price attach Milestone exception rule . summary , premium 5 star hotel disappoint even discern international traveller prepare final bill , particularly use mini bar room . if stay Milestone , enjoy exceptional service memorable experience set standard London hotel . 
 Aug 22 2007 	 small nice costly 	 wife stay five night find hotel small quaint , however opinion much overprice receive . good point : service great staff try take care well possible . clean , nice , good location . not good point : dinner amenity overprice ... probably due size hotel . dinner first night steak come rare ... prepare new steak simply reheat raw steak . expect pay expensive meal ... $ 1,000 U.S. two . ask fix air conditioner make loud screech noise would wake we night . fix get use wake 2 - 3 time night . overall , travel many year problem spend whatever money enjoy well . however , like feel like burn money sake . past , nice small friendly hotel . 
 Aug 4 2007 	 english townhouse 	 milestone exactly imagine month search decide ... arrive gatwick take hotel airport transfer - efficient great driver.the reception staff check we 3 room - safari , princess twin bed room fifth floor face hyde park ... beautiful . concierge outstanding throughout stay e.g . tour de france w / e cause traffic havoc London realise get taxi dinner booking would virtually impossible , order limousine - gratis ! ! ! room beautiful , keep clean turn faultless ... toileterie penhaligon ! ! Breakfast include food delicious staff bit . sure check charge include , take several attempt acknowledge breakfast package.we stay height summer cost high certainly give we wonderful first time experience London . do hop hop bus tour - one good europe . Restaurants - Locanda Locatelli River Cafe 
 Jul 17 2007 	 Fantastic Staff make hotel 	 slack review last holiday . stay hotel May 4 night . the Milestone fantastic location Hyde Park opposite . great kid run around burn energy . there heap reasonably price restaurant around shop buy beer , wine snack . underground short walk central get area London easily . I bite disappointed room . carpet stain paint chip . run feel . also ' proper king size bed , two single push ( zip ? ) together . limited room extra bed 12 year old son . many room quite small – London . also disappoint fact room theme . ( per website ) bother - in - law sister - in - law small room seem well maintain furnishing smart . room size bathroom good size excellent shower ( walk , bath ) staff hotel sensational . ( except one blonde girl reception really obnoxious ) . happy chat tell go , get many tip . celebrate husband ’ birthday day leave ask could bring coffee croissant ' ( candle ) room 7.30am morning . request make 11 pm night . 7.30 next morning beautiful chocolate cake arrive candle Happy Birthday message – sensational . all would highly recommend hotel stay London good value check option . the thing would say ' get laundry do house – price exorbitant . 
 Jun 18 2007 	 Loved Hotel Staff 	 husband stay 4 night post cruise delight hotel staff . upgrade we park view room . Terry host wonderful . room bit small american standard , beautiful , clean comfortable . large bathroom tub shower . full breakfast include delicious . doorman charming , actually one , sorry not get name . tube short walk Kensington High St , lot 's resturant area , plus park walk everyday . glorious weather . would defintely stay . 
 Jun 2 2007 	 posh lovely 	 top - notch service , nicely appoint room . upgrade junior suite king . still large room ( european size , american size ) , really nicely decorate wonderful bathroom . stay one night , shame . hotel area end Kensington Park , busy street street noise evident we . lot shopping area , well park walking , other point 's necessarily center town . nice breakfast ( hotel 's web site special include breakfast ) . overall , deserving & quot ; lead hotel & quot ; insignia . 
 May 28 2007 	 nice little hotel heart London 	 nice little botique hotel hear london . great staff , nice room ( though bit small ) . Location South Kensington - drawback want spend time around Knightsbridge . overall pleasant place stay excellant staff . 
 Apr 23 2007 	 Superb Hotel 	 moment check lovely hotel know special place . staff helpful coudnt enough , whilst check room ready give we tea coffee lounge . room spacious spotless , turndown service excellent . breakfast follow day lovely excellent choice . nothing praise hotel , return . 
 Apr 6 2007 	 apartment exquisite secret 	 husband two daughter recently stay Milestone 2 week London . book one apartment townhouse attach hotel . guest townhouse may enter either hotel 's main entrance electronically control door townhouse . the apartment exquisite ! two full bedroom ( queen - sized bed ) sleep loft upstairs pull couch . extend stay ideal . fully outfit high end ktichen ( use breakfast ) , two full bathroom , eat area living area tv etc . ( plus television sleep area . real plus though washer dryer unit - absolute necessity travel summer child . the Apartments run like hotel - full serviced every day , turn day service , room service . space privacy . apartment must rent week , much cheap book two connect room . I would go back heartbeat ! 
 Apr 5 2007 	 every little detail think 	 real Gem near centre London . old style service quality up - to - date touch room . staff professional without snooty , seem genuinely want great stay . room large , wonderfully decorate careful touch i - pod speaker , wi - fi , controllable aircon dvd player . bathroom high quality plenty space stuff back high - end supply hotel . the warm welcome , ease check - in , great porterage complimentary glass champage check - in , match efficient checkout offer bottle water journey . 
 Feb 28 2007 	 Charming 	 Milestone Hotel perfect every way . staff top notch ; personable , professional pleasant . room lovely view , cozy beautifully decorate pristine bath . Turndown service evening extra special addition votive candle bath . bed linen pillow luxurious even ask choose pillow duvet prefer . always call name everyone staff . clear whatever might request would done we happily . lounge , lobby , restaurant common area beautiful . like guest private home . afternoon tea wonderful must never high tea London . dinner restaurant gourmet service impeccable . Milestone London well ... charming ! 
 Feb 20 2007 	 personalize attention 	 service hotel excellent ! room exquisitely appoint , modern bath , free internet connection , wonderful turn service . go birthday , son request Food Beverage Director make birthday cake ( surprise ) . sinfully rich moist cake presentation excellent . experience hotel neighborhood London could not well . highly recommend . 
 Jan 8 2007 	 gem ! 	 husband recently take trip Morocco , London , Dubai . hotel stay would say Milestone charming hotel . hotel small , mean get personal , warm service every staff member . from point arrive check quickly give tour hotel room wonderful butler name Terry . Terry , throughout entire stay , tremendous help suggest thing see , eat , etc . great addition hotel . show room & quot ; extras & quot ; give complimentary drink ( recommend hot chocolate 's give delicious cookie ) time walk nearby shop get something eat . location hotel ideal since many shop restaurant eat visit . addition , recommend get ticket Big Bus tour stop right outside hotel 's easy , educational , inexpensive way see London . milestone beautiful hotel anticipate need guest . not ask anything extra anything change truly perfect ! 
 Dec 13 2006 	 would stay heart beat ! 	 favorite hotel London . 's small exquisitely decorate , service wonderful . request big small , ( minor ) issue , respond quickly , efficiently satisfactorily . I also eat hotel restaurant satisfactory meal . room service wonderful . if , stay apartment beautifully furnish real fireplace , shiny beautiful kitchen , lovely room . love hotel . in term location , type hotel people want experience & quot ; London life . & quot ; be near theater & amp ; museum district ( be one bus ride away ) , be right front Kensington Park & amp ; Palace , neighborhood Kensington Church Street area real ( really nice ) people live . 
 Oct 3 2006 	 like stay wonderful Private home 	 look wonderful small hotel British feel Milestone ! wonderful stay . staff friendly helpful . full day site seeing feel like come home ..... home decorate lovely ! room cheerful comfortable though little small size compare american standard . location great , right across street Kensington Palace , quiet yet far action . tube station short walk bus let almost hotel door . several good place eat close . excellent meal indian restaurant block italian restaurant make good pizza ... even well one Italy ! breakfast place block call Giraffe serve full british breakfast reasonable price . food hotel excellent also . late afternoon tea delicious . also enjoy dessert drink theater lounge . nice turn service , leave bottled water candy ....... though chocolate ..... weird british candy ... good not tempt eat ! look forward say Milestone next time London . 
 Sep 25 2006 	 Milestone - well - keep secret 	 want near friend 's flat Kensington recommend Milestone Hotel excellent choice hotel . be glad take advice - real gem ! decor unfussy English staff could not nicer . room little small immaculate love rain shower head bath . excellent dinner first night breakfast buffet adequate choice hot dish available . would definitely stay . traveler Amelia Island , FL 
 Sep 24 2006 	 wonderful hotel ! 	 wonderful stay Milestone Hotel Aug 23 - 26 , 2006 . management staff would greet we name stop chat we breakfast relax lounge afternoon drink . concierge help we tourist venue reservation also wonderful dinner reservation neighborhood restaurant also hotel restaurant . also help email prior travel . head butler charming man extremely proud hotel good hospitality ambassador ! take we tour hotel enjoy . room quiet main street tastefully decorate french toile motif . 2 large chair read daily paper deliver we relax also , bed sooo comfortable heavenly day travel Arizona . know room could not possibly ready upon arrival Heathrow Airport 8 ready 10 ! wait enjoy complementary tea coffee lounge . hotel rate include breakfast delicious hearty meal start day . hotel across street Kensington Palace walk distance store Harrods ( disappointing since last visit 2000 ) many designer boutique . small desk near fitness center access email . husband 's complaint limited television channel selection , , see , vacation tv remote control ! : - ) definitely stay Milestone Hotel ! 
 Aug 3 2006 	 Milestone exceed expectation every way ! 	 fantastic stay Milestone , would recommend hotel anyone . it charm small hotel , well locate within minute walk High Street - Kensington tube station , access London wonderfully convenient Subway system . there also plenty shopping , pub dining nightlife within easy walk distance . room small side ( expect London ) , recommend reserve one category high would usually comfortable . however appoint every possible modern luxury convenience , disappointed . richly decorate , wall hanging , comfortable furniture bed . good part stay Milestone service . stay many upscale hotel include four Seasons , Ritz - Carlton , Milestone equal exceeds standard every way . moment arrive hotel , greet front hotel door man immediately summon someone take bag . charming Butler Terry show we front desk friendly efficient check . take we personal tour hotel , explain historic , current use every part hotel . exceptionally good 10 year old son . entire staff always friendly feel smile kind word pass genuine sincere . hotel also fitness centre small ( refreshing ) resistance pool , nice spend minute relax return hot day . free internet access also nice touch , even provide computer terminal us travel lap top . breakfast include rate , nice , however would probably eaten elsewhere due cost , include . we thoroughly enjoy 4 night stay certainly return Milestone next time London . 
 Jul 31 2006 	 comfortable ! 	 15th July , 2006this third visit hotel Kensington find excellent service , lovely staff beautiful room . right front Kensington Gardens , plenty shop , pub restaurant walk distance 10 min away west end . every room see ( total 5 ) differently individually decorate include essential even stationery item desk . stay many hotel London ( include Claridges Blakes ) favourite . 
 Jul 15 2006 	 Charming Hotel Great Service 	 family enjoy hotel wonderful ambience . although one original room small inconsistent description , front desk work we move we large room supplemental charge . Terry , butler , especially charming . full english breakfast good , dinner excellent . concierge extremely accomodating . appreciate free internet access . sometimes doorman work hard hail taxi allow plenty time theatre dinner . 
 Jul 11 2006 	 wonderful place stay ! 	 husband stay Milestone June en route Dover cruise Baltic . stay Milestone time always love . book de luxe room king bed . the night leave home London message machine ring front desk Milestone . worry something go wrong reservation ! talk Duty Manager tell room 's AC work ( London hot summer ! ) ask would mind grade room efficient AC . add would one night , , compensation would move suite . well , could say ! fact room put first night lovely , little small . AC indeed work well . room Kensington Court side quiet . next day day staff move thing suite - newly re - decorate quite magnificent . great view park Kensington Palace . however since window doubled glaze traffic noise . not eat hotel stay , except breakfast . past eat Cheniston 's restaurant lovely . breakfast excellent nicely serve . tea lounge ( tea , full work sandwich cake see people tuck ! ) one thing please enormously free internet access provide computer next spa . still amazed take trouble call ( Switzerland ) tell room choice change . room rate two night rate low grade room , even suite . assume second night would charge de luxe room , weren't . I love way hotel run , also really like neighbourhood . nice park across street , tube station close well . 
 Jun 26 2006 	 Love hotel can not wait return ! 	 one good small hotel ever stay anywhere . stay teenager one 2 bedroom apartment . kitchen washer dryer . beautiful ! staff outstanding concierge could helpful . hotel joy come back every afternoon long hot day sightseeing . much explore London look forward stay . 
 Jun 23 2006 	 LOVED Milestone ! ! ! 	 recently stay Milestone Hotel London , anauction stay luxury link . trip weekend & quot ; girl 's weekend & quot ; eve brother - in - law'swedding ; three hotel guest , mother - in - law thebride - to - be . want special weekend , look nice package luxurylink . ( -- ) include extra treat like high tea full breakfast , pricey london . the package 2 people , call ahead tell would okay third person , would 30 pound fee extra bed , would pay third breakfast tea separately . upon arrival , however , indicate , instead add additional bed , decide upgrade we 2 bedroom , 3 bathroom apartment , upgrade we additional cost . addition , breakfast high tea similarly apportion 3 additional cost . the room incredibly quiet , appointment top notch . Feather pillow duvet , full marble jacuzzi tub , rain shower , washer dryer , fabulous kitchen , wonderful balcony , great toiletry , even nightly canape bring door . perfect experience . would not hesitate stay milestone . 
 May 30 2006 	 Loved Milestone 	 stay five night celebrate silver anniversary birthday . book Leading Hotels World website way advance get decent rate include continental breakfast . the reception concierge helpful friendly . show we bus stop actually go outside hotel point right direction . hung phone approach ask question . the room lovely , canopy bed , small table 2 chair desk . good size closet . bedroom step entrance bathroom level entrance . bath old fashion lovely . every night light candle water - fill bowl bath tub , different treat every evening pillow addition radio turn . robe slipper , magnify mirror hair dryer . negative would smoke odor . request non smoking room , smell faintly smoke ash tray room . the first evening arrive receive wonderful berry - cream cake , chocolate cover strawberry anniversary . absolutely lovely . the work room seem nice . never use since walk mile every day , spouse run Kensington garden across street . the continental breakfast include price . generous breakfast . expect toast coffee , another poster mention , different juice , include fresh squeeze orange juice , ham , cheese , fresh fruit , yoghurt , bread sweet roll addition toast coffee tea . offer Cafe au lait . service breakfast room formal . stay 5 night , every morning would ask we want coffee tea . perhaps wait staff tell , think strange figure want black coffee day , hotel small wait staff day . busy , wait coffee juice occasion , fine romantic get away , try patience sight seeing tourist , agenda day . we see business people , couple family . would definitely stay . 
 Mar 21 2006 	 Excellent 	 stay Milestone last year already rebooke next visit May year . excellent stay service second none room lovely . recomend hotel anyone want fantastic accomodation . 
 Feb 24 2006 	 great birthday 	 husband arrange spend 50th birthday Milestone . it fantastic . the staff could not enough we make stay special . ideally situate good shopping spree room overlook Kensington Palace . on birthday staff arrange beautiful fresh cream birthday cake ( let take home ) bottle champagne . I state great stay 's true get pay for . worth every penny 
 Jan 5 2006 	 worth stay 	 went Milestone tenth anniversary October . actually beautiful charming inn . lovely room good view Kensington Palace ground . real Dickens / old english feel after . the hotel keep excellent condition . everything work . street noise bothersome . room quiet sumptous . staff also generally friendly . concierge go way book restaurant show stay . fact concierge service well ever encounter travel widely . on minus side hotel small , every way . restaurant fine breakfast would little cramp dinner . recommend bar reason . addition little way . tube station nearby ( 5 min walk ) late dinner one night doorman could , despite good effort , get we cab 30 minute . also staff tend amuse bar , shift , much small accomodate pay quest . if charm authentic experience recommend . five star resort business hotel . also young child . finally one grumble . book specifically book continental breakfast , receive morning . later discover charge rate full english breakfast . little steep toast coffee . beware booking . 
 Sep 14 2005 	 make Special Day Sublime 	 September 3 2005 fabulous day life - wedding day . change plan short notice decide get marry London guest . Milestone recommend delighted find available . visit hotel quietly check decor , food service find 3 faultless . arrange meeting function manager , Stefan , could possibly helpful able hand almost everything arrange . babysitter guest ' child , hairdresser , early check , 3 choice food course , flower , decor etc etc ; handle Stefan great aplomb . nothing faze suggestion prove invaluable we . recommend wine impressed choose expensive wine compliment food ( wine universally favourably remark upon ) . seem perfect take deep breath ask estimate cost . unbelievably good ; fact still can not believe even pay bill . special & quot ; extra & quot ; hotel give new husband upgrade room ( available ) upgrade ! room ! 2 floor absolutely beautifully decorate . butler , Pedro . perfect start married life ..... hotel staff make feel like real princess ( every guest wedding say ) wave leave church next day honeymoon . join fun ( appropriate ) nothing smile day . the room decorate gold cream , candle , crystal white flower look magical ( thank Mr Marly ) . food wine perfect everyone get ask . service immaculate accommodate speech random time meal . it could not well many attendee say would stay would hold meeting . thank staff make day perfect look forward see soon thank person . engage couple look special reception venue 30 guest London , please consider wonderful hotel ! 
 Aug 30 2005 	 Unsurpassed service / excellent location 	 live London six year , Kensington return visit friend move Shanghai well celebrate 30th anniversary . lot people elect stay expensive hotel Park Lane Mayfair Milestone gem hotel , list building , inside outside , staff go way take care every need . , character limited number room unlike 100 + room hotel . breakfast bit expensive know way around , find less half price short walk . say , formal afternoon tea , single malt 's bar dinner Cheneston 's quite good . latter , London , outrageously expensive . be convenient not want wander out . the location good Notting Hill , Kensington , West End sight might want see London Kensington High Street Underground station 5 minute walk bus service point likewise convenient . my wife love stay . fact , will use Milestone London hotel swing way Shanghai Boston . we travel lot pleasure travel lot business . hotel 's one book . 
 Aug 29 2005 	 Love Milestone ! 	 stay Milestone Dec. 23 , 2004 , Jan 2 , 2005 . find service impeccable . food British- Americans must over - season everything- high Tea fabulous bartender Italy make GREAT drink ! celebrate Christmas one aparment , even put small tree we ! Christmas brunch excellent . concierge 's recommendation wonderful . recently enter sweepstake giveaway 4 night stay Milestone , honestly say reason bother enter get go back visit lovely hotel ! 
 Aug 6 2005 	 terrific service excellent location 	 stay Milestone two day prior take cruise Southampton . moment arrive personal attention outstanding . room one would expect old hotel small size compare Americans use . room wonderfully appoint bathroom actually quite large . lot nice little touch well . the lobby public area charming . breakfast price quite ordinary . lounge terrfic spot relax busy day . location close Tube ( Circle District Lines ) neighborhood nice upscale . palace garden great place early morning run . all highly recommend Milestone one seek small property world class service Central London location . 
 Jul 8 2005 	 one favorite London 	 travel London business almost every month Milestone & quot ; & quot ; hotel . there three main reason stay Milestone : great staff personalize service ; unique , comfortable room ; proximity Kensington Park ( across street ) . ' ve get cozy bar friendly bartender food good well ( although expensive ) . compare large , impersonal hotel across street small , kennel - like room mostly alike , Milestone real gem . be perfect ? . Milestone not tolerate wild swing temperature well . heat A / c system not handle high high low low ( ' ve request space heater fan stay ) ' m willing put benefit . note management : new system sometime soon ! Kensington High Street offer broad range shop restaurant , 's great place walk around park across street bonus . gym Milestone recently refurbish small , treadmill , bike , free weight , etc also one pool swim current ( not use pool swimmer friend say be great ) .i real , live business person genuinely like hotel ! stay three week ago . get sick need prescription fill ; Boots street could not , hotel send one people cab 24 - hour pharmacy get scrip fill . 's perfect example Milestone great place stay . since ' ve never pay 700 pound stay anywhere life can not comment early poster 's experience ultra - posh room be look friendly , homey place stay business , give Milestone try . might bit expensive vacationer want splurge little great location , would definitely recommend . 
 Jan 12 2005 	 perhaps suitable Mr. average disappointing selective guest 	 connoisseur 5 star hotel worldwide , marketing specialist , know quality . opinion , attention detail make hotel memorable forgettable .. several disappointment hotel , however staff absolutely superb , accommodate . whilst suite sumptuously decorate , ( Prince Albert Suite ) suitable , problem one another . I call ahead hour let concierge know flight change would arrive early , please re - arrange chauffeur suite . arrive , tired cold shoddy flight , ask wait , room ready . gracious , want bother , however still wait hour half later . offer glass water arrival , come beautiful chilly waiting area ask water , coul not believe ask sign . charge 4pounds bottle water , whilst keep wait ! 's money , be principle . I finally get room , small ' suite ' ( like large room ) absolutely impeccably design , lovely , could not wait sink bed . order food - nice ask . tired , eat & amp ; sleep . next day , unpack , see safe working . remind call someone go . ( end replace whole safe door - long since someone stay suite ? ! ) later look see gas fire put - god know long breathe gas ! 5 am , call housekeeping , apparently 9am-5pm ... reception came try re - ignite could not .. 700 pound night , .. particular suite first floor , traffic hear , occasionally find comfort , 3 - 4 time night sound loud siren .. terrace door window update double - glaze noise prevention . finally , morning , pick phone beside bed , one would use early fire problem , work , dial tone , reason . jiggled connection try , nothing . call reception bathroom . explain problem , ask & quot ; want fix ? & quot ; tone clearly say ' do expect help hour ? ' admittedly , 7 am , however ' m sure expect convenient ? room enter tradesman day Xmas decoration remove terrace outside , tell day arrive . interrupt work , not particularly mind , not see could not came leave , book 4 day , surely could arrange whilst keep wait 1.5hrs arrival ? food order specific instruction arrive request , obviously standard order none exception request . I tell concierge would check early , came later apologize profusely , persuade stay . however night wear , find keep jump awake siren , fear fire go , potentially gas death ! could sleep turn fire relax . point pay expensive suite open fire ? staff gracious whole thing , unless be stay short time ( day two ) would probably skip one . apparently award ' good hotel london'- see little sign . perhaps good * decor * london , perhaps chance friendly staff , good hotel . move Dorchester , everything available 24 hour & amp ; appliance work ( far ! ) .For average person , boutique - style hotel probably impress . non - existent facade , entrance straight street , lobby tiny warm , lovely decor throughout . old house stable , convert nicely , selective , accustomed fine , premium quality , disappointing . like young girl - pretty real substance beneath sustain . will not stay . 
 Aug 31 2004 	 wow ! Fantastic Hotel Stay 	 hope stay Red Carnation 's 5 * Milestone hotel since discover Red Carnation chain 18 month ago . say well worth wait . Door Men waitress serve breakfast , service sublime , could not fault nothing much trouble . the room - wow view Kensington Palace Gardens , view worth supplement . even overlook busy road , hardly noise outside traffic . room decorate keep RCH hotel , rich use curtain fabric , antique lovely picture , give room sense style . air con working fine , although little bit noisy , not need keep overnight . find bathroom little disappointing compare Chesterfield Rubens bathroom ( two Red Carnation hotel ) , functional toileterie make age bath ! afternoon tea , absolute must , scone delicious , whilst evening meal scrumptious . breakfast leisurely egg cook way , hotel way ! ! turndown service divine , leave little present bed take home remind stay . on check give bottled water ensure hydrated journey back home . thoughtfulall , perfection stay totally exceed expectation . can not wait return visit . 
 Jul 20 2004 	 Perfect ! ! 	 stay Milestone apartment ; part hotel . room beautifully finished appoint . hotel wonderful part London . service hotel fantastic Peter Davies wonderful staff concierge willing help anything . 
 Jul 10 2004 	 Loved Milestone Hotel 	 return London happily stay Milestone Hotel . deluxe establishment extraordinary location across Kensington Palace . classic handsome victorian red brick building . milestone small , elegant , luxurious hotel top notch staff fine restaurant bar . cook good . room fill handsome detail do top residential quality . Milestone offer peace quiet , great personal service attention detail rarely see today . would highly recommend discern traveler . warmly , William Tomicki 
 Jun 24 2004 	 simply Charming 	 wife go London long weekend stay Milestone . like group ( LSHW ) tripadvisor review convince we . not disappoint - except perhaps bill ! wow ! still , room wonderfully appoint , bathroom simply awesome ( candle , ivy ) breakfast good ( though coffee could strong and/or refill frequent ) . helpful , friendly staff eager please , respected privacy . , nice little hotel cozy atmosphere good location . 
 Jun 19 2004 	 Outstanding experience 	 much research pricey London hotel market , settle Milestone stay 5 night June attend Chelsea Flower Show visit London mother . stay many good hotel around world , honestly stay meet respect expect high expectation . service , location ( across Kensington close tube ) , amenity , general ambiance small boutique hotel . bit pricey clearly attention detail time . service breakfast small room par food fine . like small hotel , great service , value small detail enjoy pamper - stay Montague night way back Paris California via London , another redcarnation hotel , disappointed spoil Milestones . think experience ( hotel include - civilized ) change french mother 's mind bristish ! 
 Jun 3 2004 	 small fantastic 	 leave Milestone , stay one night . fell love place moment walk hotel . room small , last time check London ? great room overlook Kensington Gardens , ( 507 ) excellent view palace . service noticeable , ( good ) alway need . eat resauraunt , $ $ $ ! ! ! food fantastic , sevice great , perfect end vacation . fantastic oasis hectic city london . wait go back london , without doubt back Milestone ! ! ! 
 Jun 3 2004 	 great location helpful staff 	 spend 3 night superbly locate hotel . book Expedia 1,000US $ . room , though small , elegantly decorate staff always keen help give suggestion . ther hotel walk distance form High Street Kensington tube station opposite Hyde park great jogging morning . 
 Jun 1 2004 	 Faulty Towers revisit 	 hotel may try provide service , fail dismally ! nothing problem moment check minute apartment barely stand in . the thing hotel close Kensigton High Street - forget tell main street look peace quiet - try another hotel . this hotel far central anything . look 5 star hotel - forget DUMP ! ! 
 May 24 2004 	 Best London 
 May 16 2004 	 fabulous service quaint : give Milestone 4.5 star . 
 Mar 24 2004 	 Superb Service 
 Mar 24 2004 	 Loved Milestone ... 
 Mar 20 2004 	 Service make special 
 Jan 22 2004 	 London Special Offers 
 Nov 17 2003 	 favorite hotel London 
 Oct 15 2003 	 Great experience -- top Notch 
 Apr 25 2003 	 Fabulous Hotel 
 Apr 1 2003 	 Excellent Personal Service 
 Apr 1 2003 	 Divina experiencia 
 Oct 2 2009 	 Tolle Lage - guter Service 
 Jun 26 2009 	 Te quedarías todo el dia en el hotel 
 Mar 28 2009 	 Quasi perfetto ! 
 Mar 14 2009 	 Toller Service Super Essen und 
 Mar 2 2009 	 très beau manoir en plein centre 
