Pleasant 	 search many hotel web site , choose Galleria Park . want stay large hotel , appreciate ammenitie provide . wonderful hotel provide . do nicely Art Deco theme . room good sized & amp ; clean update bathroom , adequate sized elevator , free internet , room coffee refrigerator , personable staff , workout room , outdoor 3rd floor terrace jog walk dog GARBAGE TRUCKS middle night . we able park SUV garage 1/2 block away $ 30 / day ( & amp ; tho ' ) 
 Aug 5 2007 	 good hotel great location 	 Gelleria Park good little boutique hotel SF , location great , staff wonderful . room little small often case hotel SF , get great rate . would also add one hint . bring car SF , ( suggest ) must park Sutter stockton , ellis ofarrel garage . run city much cheap private garage . ( name also address cross st . ) 
 Jul 25 2007 	 Galleria lovely great value ! 	 stay Galleria Park hotel week last- July 9 - 13 2007 , business trip . arrive pleasantly surprised warm invite lobby . fire go every night ( yes get cold San Fran year round ! ) wine reception every night 5:30- 6:30 . boy , long training day job , nice wine reception unwind retire room . the room perfect . clean , beautifully decorate , white fluffy rob , Tazo tea , great bath product . room service outstanding terribly expensive . highly recommend salmon , mini cheeseburger pineapple upside cake . Yum ! room high speed internet service work everytime , free ( hassle free ) . everything want hotel . friendly desk staff , wonderful hotel . location close everything . able walk almost everywhere go . huge hill either walking not feel like marathon . great area . I highly recommend Galleria Park ! great hotel , great value . 
 Jul 16 2007 	 Great Galleria Park Hotel ! 	 stay two night Galleria Park Hotel financial district San Francisco . find discount price website $ 126.00 two double bed Friday & amp ; Saturday . special post hotel chain 's website . additional fee $ 30.00 per day valet parking . hotel exceed expectation , especially price ! Galleria Park modern beautiful decor . lobby area glass , blue , silver , black . comfortable seating make great place talk fellow traveler . room extremely clean - nicely decorate . deluxe feel make small space really pleasant . like downtown room , space small , room tuck baby 's pack n play corner . not feel suffocate would highly recommend hotel ! bathroom shower / tub high quality bath product , fluffy white towel bathrobe . complimentary coffee tea room nice morning / night treat since complimentary breakfast . Wine Reception : complimentary wine reception every day 5:30 - 6:30 offer glass white red wine . enjoy wine lobby room . Outdoor Patio : third floor , outdoor deck chair walk path gather guest relax outside . quiet peaceful place enjoy wine talk outside hotel room . always open , though hour state close particular time night . location : hotel couple block China Town , main strip shopping , endless restaurant . safe area walk around night . cable car block away take around city wharf . Bottom Line : would definitely recommend hotel . sign Joy Rewards Program offer point stay . check hotel . 
 Jul 9 2007 	 ok .. ok 	 newly remodel , still feel old . small , fairly comfortable room . concierge lack . sport bar attach lobby good food . 1/2 price wine bottle Mondays plus . overall , well hotel choice money . 
 Jun 29 2007 	 Great ever 	 first stay Galleria Park since Kimpton sell hotel good ever , well . the Galleria 's attraction always 's location , reasonable costand great staff none change . change room redone look & quot ; modern & quot ; , think iliked old decor well . they still evening wine hour another huge plus : ) definetely back . 
 Jun 28 2007 	 good price excellent location 	 boyfriend & amp ; stay Galleria Park San Francisco June 2007 . four - night stay , $ 225 ( include tax ) per night . great price compare hotel area ( lot bad review site ) . impressed hotel . the location great . shopping start one block away . 3 block Union Square & amp ; Powell Street cable car block Chinatown & amp ; area interest . as state review , hotel offer coffee morning & amp ; wine evening , lovely . , one elevator close due maintenance ( upgrade well / fast one sign say ) - although 5th floor , inconvenience we never wait long minute . staff member encounter polite efficient . the room good size . big double bed - 4 large pillow - extremely comfortable ! build - in wardrobe , walk - in - iron board , iron & amp ; bath robe . bathroom extremely clean lovely white fluffy towel good product . Shower work well powerful setting . tv quite large many station . Mini - bar full . we back hotel inner - corner room , not much view , not matter we out - and - about time there . we noise traffic & amp ; never disturb cleaner anyone else ( although put dnd sign door case ) .Overall , excellent stay ! 
 Jun 8 2007 	 pleasant surprise ! 	 book two room another couple Galleria Park Hotel sign unseen . little nervous would find arrive . want something close Chinatown Union Plaza . able find reasonably price package hotel 's web site include parking wine taste . pleased report stay perfect every way , include proximity Chinatown Union Square care vehicle . room charm beautifully decorate last detail . bathroom fixture tile good quality . evident someone put lot think room , even detail like provide coffee maker premium coffee bag , spa quality hair body product , nice terry cloth robe . husband could not get comfort bed ( well , ! ) . impressed write brand intend look purchase one like . regular traveler , spend lot time Las Vegas high end resort may sound ridiculous , enjoy property much , include top end hotel like Rio , Bellagio , Red Rock . one downside view window , everything else counter balanced . definitely return . 
 Jun 6 2007 	 wonderful hotel 	 walk hotel greet calm quiet lobby friendly host . informed & quot ; happy hour & quot ; look fun quickly drop bag shopping since hotel convienently locate near Union Square . this great place fun city since locate near great shop cab ride away anything need want . 
 may 30 2007 	 Loved ! 	 need book hotel room SF business trip take . SF familiar Galleria Park price much well place find . little nervous expect really pleasantly surprised . hotel recently renovate contemporary modern decor . remind W hotel . front desk staff helpful , fast gracious . hotel offer free coffee free wine night ! room average size , clean look great . get nice view willing sacrifice free Wi - Fi . pay $ 180 / night think get quite steal . hotel locate downtown , convenient Union Square Financial District . would definitely stay ! ! 
 May 29 2007 	 great location 	 Galleria Park Hotel conveniently locate within walking distance Union Square , Chinatown BART station . staff member polite , professional helpful . room nicely decorate . bed pillow comfortable . problem housekeeping comes knock around 8:45 - 9 . be definitely expect holiday weekend ! 
 May 18 2007 	 Wonderful Hotel 	 stay Galleria Park last 5 year time & amp ; prove make right choice . Galleria Park Hotel staff pleasant helpful . hotel recently renovate room , furnishing , lobby , thus make recent stay much enjoyable . great location , 3 block Union Square , 2 block BART station , shop one could imagine ... course , plentiful restaurant choose area . yet even , come back Galleria Park end day , quiet unimpose place stay . nice home away home great staff people attend need . 
 Apr 25 2007 	 Good Hotel 	 stay terrible motel first night San Francisco soon check find lovely little hotel near Union Square . the hotel recently renovate , room reception area lovely new . old glamour look fit hotel buidle . the hotel great location , short walk Union Square / financial district cable car feel safe comfortable whilst walk around . we stay deluxe king room nicely decorate lovely . safe , fridge , telly , hairdryer , bathrobe bath product . even though face main road not find room noisy all . Valet parking $ 33 doller day , first though quite expensive walk around see car park actually good value San Francisco . believe wine taste hour every evening unable comment explore San Francisco miss ! conceriage desk helpful direction etc downside front desk always friendly welcoming fine . Worthwhile stay good value money , many motel / ldoge similiar price would match . clean , safe great location . 
 Apr 21 2007 	 expectation 	 find hotel special travelzoo like look boutique hotel . reservation include note celebrate anniversary hotel manager go beyond upgrade we suite filling room treat , flower card . room comfortable , clean especially love Aveda product . be also wine reception every evening lobby . overall , pleasantly surprised personalized service ! 
 Apr 3 2007 	 Great Location Great Service Great everything 	 trying find hotel stay San Francisco , look primarily review narrow hotel . hotel actually rank high one , nearly say homeless people outside hotel . know homeless people everywhere need careful , one hotel not see even one complaint homeless living outside hotel . book disappointed mean . this hotel ' Financial District ' notice probably good place stay . everything else touristy ( Warf ) shady area ( anything Market ) noisy area ( like Lombard St ) . hotel right area we . panhandler near hotel middle everything . Market Street like 3 block leave , chinatown two block right , number 15 bus stop right outside front door Kearny Street take Warf Little Italy . BUY MUNI PASS ! ! ! ! $ 11 one day , $ 18 three , can not remember week pass not much . get everything . not suggest ride bus night much . shady people feel uncomfortable . the hotel beautiful , Staff great , room nice . come 9:30am allow we check room available . do not room available early , store luggage go enjoy city . room perfect size , comfortable tastfully decorate . hear horrible noise like sheet metal outside hallway not know . tell hotel staff manager promptly go investigate . end laundry chute . staff assure operation 9am-5pm ask want switch quiet room . not feel necessary since not plan day - nice offer . correct - 5 . Sign Joy Life club . put welcome card room 1/2 bottle Chardannay little mint . nice touch . we unfortunately not eat Perry 's , though smell delicious . however eat Pomodoros ( sp ) across street Kearny wonderful . also go Murphy 's Bar breakfast every morning Posh Beagle one bock north Sutter across Seven Eleven . end order pizza deliver couple time great . place hotel recommend . HINT : city pretty much shut 8 - 9pm , want anything , go . seven Eleven pizza delivery get by . I can not say enough place city . love wait come back . definately stay hotel ! 
 Apr 2 2007 	 old toiletry loud furnance fire alarm ! 	 fiance reserve King Deluxe Room Galleria Park Hotel San Francisco April 1st . do lot research debate hotel choose . read review tripadvisor , select Galleria Park . room receive small uncommon San Fransciso . newly renovate new modern furniture . bed comfy . careful insepction room , find old soap use room previous tenent ( sink shower ) throw away . neither shampoo , conditioner lotion . sure hope expect we we someone else 's old toiletry . room also contain many old item room 's previous tenent leave , housekeeping throw away ( old key , etc ) toilet paper nice hotel fold , barely paper leave roll ! could not change ? also major problem loud furnance . keep leak air make loud noise night long . going ask another room , fiance tired decide throw towel . right around 11:30PM , fire alarm go ! hotel guest run around unaware . proceed stairs lobby , tell return room staff member midway 5th floor step false alarm somone pull . fiance return room , decide evacuate hotel since firefighter way . head stair see large old naked man running room ! yes , seem crazy possible , trust happen ! bad part , little girl family walk stair we . , not end go bed 12:30am . much catch sleep ! ' m sure stupid April fool 's joke , amuse . stay ! management know & quot ; emergency & quot ; unclean bathroom really diguste we . 
 Mar 12 2007 	 great value fantastic service . 	 fiance stay celebrate engagement . can not say enough positive experience stay . hotel beautifully appoint room spacious comfortable -- great bed ! shower nice . good thing service . even though miss evening wine hour , front desk staff generously offer bring we bottle wine enjoy fireside -- figure would charge , totally complementary . sip comfy fireside chair cozy romantic . leave bag behind due mix - up valet , front desk manager bring house Berkeley herself . give hotel 's location , price good . really walk distance shop Union Square Chinatown . decide use valet parking spending 40 minute drive crazy traffic around Union Square checking garage . charge , $ 37 , seem like bargain consider self - park garage charge least $ 27 -- many 4 - star hotel charge $ 45.bottom line : would recommend place friend . 
 Mar 6 2007 	 charming boutique hotel 	 boyfriend stay twice , time enjoy . 's walk distance Chinatown & amp ; Union Square . contemporary renovation really update hotel without make cold unwelcoming . color palette beautiful , unusual soothe . room stay spacious . 's tasteful art wall . nothing tacky ! first walk , be greet lobby take place time big , warm fireplace chair beg come sit rest weary foot . renovation totally complete stay catch glimpse use look like mean elevator . yike ! not improvement , complete overhaul , yet old detail lose . would recommend hotel be look affordable stay one good city world . many frill , yet everything need . 
 Feb 26 2007 	 really enjoy stay - excellent job renovation 	 renovation amazing . elevator item still redo - everything else do , do extremely well . lobby warm , cozy inviting . room beautiful comfortable . staff attentive polite . location perfect - park car upon arrival not need check . many restaurant much shop within walk distance ! nothing negative disappointing stay . 
 Feb 16 2007 	 take bed home please ? 	 renovation hotel flawless . even manage make lobby fireplace look new fresh . make evening wine hour even lovely experience . the room spacious lucky enough get upgrade corner suite 8th floor . although boyfriend suite would lovely family travel together . sit room addition queen sofa bed big enough table four plenty room walk around . the bed incredible ! may see vendor use next time ' m market bed . they almost do elevator replacement make much easy get easliy . 
 Jan 30 2007 	 great deal awesome location 	 husband stay two night recently great time . hotel gorgeous recent rennovation great deal . price ( especially San Francisco ) excellent location well . free wine evening , Aveda product bathroom , goregous new lobby , comfortable bed , clean , well - keep close Belden place store Union Square . would definitely recommend town guest . room small side- 's true almost hotel San Francisco . overall , great deal location . 
 Jan 16 2007 	 lovely hotel - not park car : - ) 	 hotel great location feel cosy . really like although room definitely luxurious – price good ! however , ' ever park , charge horrendous amount . 
 Jan 10 2007 	 great stay Galleria Park 	 check Galleria Park night New Year 's Eve , 2006 . renovate lobby imaculate fireplace inviting . unfotunately , prior plan prevent we enjoy lobby time . set San Francisco immediately impress hotel 's location , step vibrant Union Square . night town , find stay quiet restful . room renovate quite stylish . morning staff pleasant efficient . 1 night Galleria Park , can not wait return . 
 Nov 7 2006 	 great Stay Galleria Park Hotel 	 get GREAT rate Priceline . since first experience Priceline , rush website see get . say concern , try shrug since get great rate , not think would spend much time room . turn not anything worry . apparantly point guest stay newly renovate room . do great job renovation , room decorate nicely comfortable . yeah bathroom small , minor issue . also find staff extremely helpful attentive . would hesitate stay . 
 Nov 1 2006 	 mixed experience Galleria Park 	 hotel several thing go drop ball come detail .We stay two night end October 2006 see would good choice guest upcoming wedding . stay renovated room 7th floor , decorate beautifully comfortable size . bed exceptionally comfy luxurious . bathroom small however , absolutely shelf space pile toiletry floor sink . one small mirror entire room - sink - make getting dressed ready challenge 2 people . can not believe not even bother install full length mirror somewhere . also in - room safe , mean carry valuable handbag weekend long . another disappointment staff - although people front desk friendly , not helpful . call & quot ; concierge & quot ; one morning ask help contact rental car company ; tell could not help we , even get phone number . know not 4 5 star hotel , would think would help basic request like this . avoid Perry 's - go quick bite food fresh even cook way . several restaurant within walk distance much well . I really want love hotel - interior quite fashionable since renovation , location can not beat . nonchalant attitude staff oversight detail tarnish stay . service attention detail supposedly hallmark boutique hotel , miss mark count . rate pay ( $ 129 night ) think get pay , would not ' call place amazing deal . 
 Oct 25 2006 	 bad renovation 	 somehow boyfriend lucke get one room newly renovate floor ( tell new furniture not yet , not terribly noticeable stuff old ) . room smallish quite fine , stay 8 day . tub kind weird . two side slope rather dramatically feet kind weird inward curve stand shower , 's kind minor complaint . aveda bath product , hand , awesome . there lot work happen hotel , luckily happen part day floor . wine reception nice , time right , location pretty great , totally walkable union square , north beach , chinatown , even walk way japantown one day ! elevator pretty wonky toward end stay . work front desk not realize guest not able call elevator ground floor - good bet go mezzanine call & amp ; ride . tell front desk repeatedly problem not get , start tell guest see wait vain elevator instead . overall , would stay price right renovation finish . 
 Oct 24 2006 	 nice 	 renovation almost complete except 3rd 2nd floor progress . new room beautiful , completely remodel , new furnishing fixture . clean ! room huge comfortable . king bed room one comfortable hotel bed ever sleep . location excellent , close shopping Chinatown . 2 block walk Market F - Line Streetcars . wi - fi little weak room , usable . 
 Oct 6 2006 	 wait renovation completion 	 know hotel renovation price $ 115 , surprised find . lot construction , slow and/or broken elevator , loud noise ( construction start early ) run room . second fortunately could take stair . unfortunately , second floor not renovate yet . will not get detail , room definitely need upgrade . bad enough would stay . say , renovation look great hear new room great . ... overall would try , renovation complete . 
 Sep 6 2006 	 Galleria Park Hotel need major rehab ! ! 	 family four stay Galleria Park Hotel , San Fran , June year ( 2006 ) . book thru Priceline see good rating review . greet nice friendly bellman . extent good part stay . front desk clerk see check Priceline rate whole attitude change . saw need 2 - bed two small child we say & quot ; lucky & quot ; one leave especially since Priceline gaurantee one bed . proceed charge we $ 25 addtl per night b / c 2 bed room w/2 child . nothing could it . the lobby & quot ; tired & quot ; . & quot ; pleather & quot ; chair rip foam sticking . elevator slow ( ok , know historical bldg ) also use service ( i.e construction housekeeping bin ) walk stair room fit would forever come back get we . we stay room 505 . must give we bad room hotel ( ' m think b / c pay & quot ; low & quot ; / $ 125 price Priceline ) wife work hospitality 10 - year could believe put guest room . also guest room move we , say . room old , dirty carpet ( would let kid walk bare foot ) bedspread blanket & quot ; pilly & quot ; quite disgusting looking . wallpaper rip ( 10 - yr old point ! ) . duck tape tin foil wrap around hose pipe lead a / c unit noisy obnoxious turn night noise . the window dirty could literaly see . finally crack tub gooey chain connect drain . seem sanitary hotel never clean request . we would never stay . know middle renovation since saw arrive , sure pay top rate , get & quot ; new & quot ; room . 
 Aug 30 2006 	 okay - but watch clean suprise 	 stay Galleria Park 3 night . location excellent . short walk Union Square shopping / movie . area dodgy . Cable Car close by . the con : come hotel 4 pm get change day shopping go dinner find house cleaning start clean room . say would 10 minute . go lobby , wait 15 . come back still clean . wait minute leave . also leave something room . can not certain , 99.9 % sure take extra minute use toilet , room smell like skunk die . 
 Aug 15 2006 	 decent great location friendly staff 	 pay $ 115 room feel decent value San Francisco . 1 ) location . hotel 2 - 3 block walk Market Street major bus line . 's 5ish block walk chinatown dim sum , right around corner financial district Union Square . easily walk SFMOMA . 7 - 11 corner , major - store shopping stand.2 ) Staff . staff friendly snooty . everyone desk greet enter exit hotel.3 ) parking . hotel offer in / out parking $ 33 day ( think ) . prefer take public transportation around city , get cheap rate & quot ; & quot ; ( out ) park Sutter - Stockton garage , corner ... Sutter Stockton . good bet us weekend stay -- total cost Friday night Monday morning $ 50 . 4 ) room . room sizeable everything clean , especially bathroom . sofa little stain . complaint size bed -- full . Kinda small 2 people , also comfortable . room not look anything like photo , quiet . overall , good value . would stay . 
 Aug 11 2006 	 not sleep ! Noisy . 	 overall , room clean , bed ok cable limit channel . however , never choose hotel . arrive mid - day travel morning snottily tell could check , room available 3 p.m. ok , problem , ask restroom could freshen . give restroom key facility basement clerk snotty - bother attitude . upon evening return , assign room ( thankfully Snotty 's shift ) realize air conditioner working . request change promptly greet new key direct new room . suprise side door stairwell - room . Kinda creepy , ok air conditioning . also street noise try get sleep put ear plug . midnight car alarm start go hill . call front desk many time never get answer . become frightened hear people stairwell . never go back sleep ! able move new room next day ok . 
 Jul 23 2006 	 hate 	 2 good thing say hotel . great location well sleep street . 's . 
 Jun 5 2006 	 enjoyable stay 	 would highly recommend hotel plan stay future . staff friendly helpful entire stay . yes , room small hotel old ( be San Francisco ! ) , room clean comfortable . reserve room King size bed 1 week arrival AAA last minute trip get ask . eat breakfast Perry 's twice omelet cook perfectly , can not always find go breakfast . coffee lobby good although find pot empty one morning fill within 5 minute . evening wine lobby nice touch ; chance meet chit - chat guest around world compare note restaurant , etc . location great room quiet . , would great time Galleria San Francisco . 
 May 30 2006 	 great place short stay 	 San Francisco one night reserve room via Priceline . please accommodation . bit worn room , everything clean . upon check - in , mention start trip celebration 10 yr . anniversary . return dinner , lovely personalized card box truffle room , courtesy staff . nice touch ! schedule not allow we take advantage complimentary wine hour coffee a.m. , great option . since reserve via Priceline , great rate , would not great valet park $ 33 / night . opt leave rental car street could , tell , bit dicey . end fine problem . 
 Apr 7 2006 	 location taht 	 nobody call room wake 7:00 request night -- kind service ? lucky wake miss work meeting . room small ( clean ) wine cheap . location great . would pay $ 99 get Orbitz . would like great time beautiful SF give something pelasant . 
 Apr 5 2006 	 Amazing Hotel 	 amazing hotel . great room , large ceiling , clean place . awesome staff ! ! ! excellent location .... everything boutique hotel scream value greatness . do favor not stay anywhere else . 
 Mar 26 2006 	 great value hotel 	 get really cheap deal hotel , not expect much . everything clean , could definitely tell age . elevator slow , max occupancy 4 people ! aveda bath product nice touch . bathroom light take sweet time turn full luminance . water pressure temperature shower low morning . however , morning coffee , tea , water , evening wine reception nice . location excellent . within walking distance convention center , 3 short block Chinatown . also safe area . several cute coffee shop cafe area . front desk staff helpful personable . be budget want downtown SF , great hotel ! 
 Feb 2 2006 	 Downtown Fine ! 	 comfortable hotel 's big . construction street winding seem almost finish ( compare last stay back ) . staff friendly offer letter explain potential noise might hear . great place stay look forward friendly , warm hotel staff . not forget wine hour free coffee lobby morning . look foward see result upcoming renovation . 
 Jan 3 2006 	 mix good bad hotel 	 first check , disappointed find go " king bed available " problem . woman front desk actually incredibly rude , obviously want hurry us process , willing discuss room type location . stay hotel Dec 29 - Jan 2 , keep explain we hotel would completely book night Dec 31 New Year Eve . fine , ' explain ' get King bed request book hotel , since arrive 29th , hotel empty . finally realize ' get anywhere , accepted fact would two double bed . also , call hotel arrive make sure could count wireless internet available room , need work stay hotel . nice woman talk hotel ( wish know name , great ! ) explain room well other , generally inner courtyard room ' great wireless connection . mention woman check we , completely blow , say particular area well , basically say wireless spotty throughout hotel ! great news we , really count amenity book hotel . needless say , extremely frustrated check - in figure rest stay would nightmare . get room key , end 4th floor TINY room two double bed , much room anything else . husband try get wireless work room little success . would come , mostly . husband call front desk see anything could , expect another frustrating conversation woman . luckily , another woman answer phone ( ' thinking may woman talk phone day ) much well work . explain wireless problem , say could move room well connection . also decide take chance ask king room , somehow room suddenly available ! ' even act like problem , act surprised first woman ' give we one . pick new room key room floor , pleasantly surprise new room ( rm 415 ) . ' call luxurious anything , twice size previous room , large king bed , well bathroom , wireless work whole stay . relief ! hotel obviously old rough around edge . random thing break everywhere look like halfway deal . example , one window curtain rip , safety pin hold together instead sew back together . crack seal wall . hotel certain amount charm , location really perfect . problem street noise , busy street . overall , end quite satisfied stay . room comfortable nice come back night . hotel accept fact ' time update stop fix problem " halfway , " also get rid employee give poor customer service . 
 Oct 21 2005 	 charming historic hotel 	 husband recently stay Galleria Park Hotel vacation San Francisco . the location perfect -- short walk China Town , Union Square BART . even walk Port San Francisco , Fisherman 's Wharf , one day walk Coit Tower . street car , cable car bus run close hotel not want walk far . accomodation clean , comfortable staff friendly helpful . also quiet -- noise guest . work do street , window close , problem we . 7th floor . would definitely stay . 
 Oct 10 2005 	 would pay notto stay ... 	 dreadful . wife spend two tortuous night hotel . like many comment post , wife relegate room two uncomfortable full bed , rather king request . minibar fine , except fact previous occupant refill Fiji bottle tap water avoid $ 2.50 charge . would not big deal except fact ventilation system give we dry mouth wake desperate water numerous time night . elect drink water straight tap rather bottled tap water people lip touch . buffer ventilation system , open window , incessant noise construction night , night , force we keep closed . think wake 20 time first night 10 second ... cope force insomnia , would watch tv , not much choose seven channel hotel offer . not , especially & quot ; boutique & quot ; hotel , offer HBO day ? whole experience leave completely turn downtown . charm San Francisco neighborhood . know lot people visit SF want see sight , get good feel city like , stay Hayes Valley Inn save $ 40 day parking ... 
 Oct 6 2005 	 Slow Room Service 	 hotel ok , nothing spectacular . view city . room small old , clean . 's great location walk distance Union Square . nice accommodate staff , Room Service , restaurant downstairs BAD . order room service , wait hour call check . Lady ask , & quot ; order ? & quot ; Noticing discover forget place order , offer send meal free charge , could wait another 45 minute . thank ! walk nearby restaurant grab meal . 
 Sep 28 2005 	 great place stay 	 always use site see non - biased review hotel since picky come hotel . although small hotel , room clean , staff friendly extra service make stay even well ( i.e . computer w/ printer online flight check , work room , etc . ) . location close BART DT SF offer ! great stay ! 
 Sep 22 2005 	 Mediocre good . 	 not impress place . receive room 2 double bed rather king book . check front desk quite rude not seem care slight room type wrong . checking tell would slight delay get car . apparently , valet could find key someone else 's car wait quite . hear offer man free parking due inconvenience , honestly person front desk man check we 2 day attitude car mixup room . hotel location good room clean ok we since not spend much time , certainly star level hotel claim . 
 Sep 3 2005 	 1 star good 	 Galleria Park great location . walk Pac Bell park close Union Square shopping restaurant room marginal good . bed old uncomfortable . room date remotely attractive . move first room a / c ( unit window - noisy blow right bed ) not work . employee pleasant helpful - one bright spot - staying . 
 Aug 16 2005 	 Impressed 	 husband spend 5 night Galleria Park Hotel August 2005 . good feature hotel location - Sutter Kearny , thus close Market Street . overall , impressed would stay hotel . room Queen room , small - not problem . decor drab good cold time . hear guest complain cold one seem get straight answer front desk . & quot ; central heating & quot ; ... & quot ; heater room , turn handle counter - clockwise & quot ; ( trust ... option work ) . 5:00 p.m. 4th day inquire heating . tell would & quot ; kick 9:00 p.m. & quot ; Imagine excitement . request space heater - never arrive . Coffee serve Lobby 10:00 morning . 9:00 one morning come coffee one four cannister empty - clearly empty awhile . inquire front desk , get & quot ; oh really ? ? & quot ; tell sometimes coffee place underneath table ( not look ? ? ) . say , impressed . 
 Aug 5 2005 	 enjoy Hotel . 	 first time SF Galleria Park hotel excellent . husband find need take taxi anywhere save we whole lot . shop every ease due location hotel . can not forget shoe pavillion close coffee shop right beside hotel . eat hotel could find good restaurant walk away . spend 9 day hotel . I stay hotel find go San Franscisco . good value money . 
 May 25 2005 	 Kimpton come 	 member Kimpton hotel chain frequent guest program , fourth stay hotel chain . reserve extra large room upgrade beautiful suite . the hotel block Union Square , block Financial District , next door Crocker Galleria ( high - end shopping complex ) , block Bart ( subway ) , short walk cable car line , well - locate . bed comfortable , shower pressure strong , AC work well . even short walking / run path park roof section hotel . could want short visit . we would definitely stay . 
 may 24 2005 	 good spot 	 find hotel perfect first trip San Fran . Nicer place course could found money disappointment . perfect location . accomodate friendly staff . clean room . need ? problem street noise other post . typical city noise exist ' m sure people expect stay middle city ? ' m sure place napa quieter , major city ! would return hotel sure . 
 May 5 2005 	 need lift ? 	 hotel good location , elevator terrible ! take average 3 - 5 minute get room lobby vice versa - every single time ! room dark bit smelly , bathroom old . would highly recommend use another one Kimpton hotel area ( Triton look really cool ! ) . unique company great hotel , disappoint one . 
 Apr 30 2005 	 quaint friendly 	 fantastic location , 10 min walk shop & amp ; resturant Union Square ! room small clean . disappointing room service , however amazing choice food next door Gallaria Park centre . staff extremely friendly & amp ; complementary wireless high speed internet access room ! great business location . 
 Apr 29 2005 	 stay week ... 	 buy , slightly last minute , priceline pay $ 85 night bill & quot ; Boutique & quot ; ... familiar property not initially realize GPH Kimpton .... lobby medium sized large , ornate fireplace , daytime , look horribly fake , dramatic dark . overall hotel look like Kimpton budget , quite ornate Kimpton 's ' ve stay , bad . we able get double bed , bit problem , overall room nice , clean , bath stock Aveda , etc . 8th floor , thing quiet , compare last stay SF , treat return spending day city Napa . locate edge Financial district , 2 block Union Sq . find convenient enough wanted do . while everyone know parking car city expensive , though $ 38 night ( w / tax however ) bit steep , ' m guess maybe proximity financial area partly blame ? overall , bed issue , problem . one note humor , bath Kimpton card note thing request free fee may left home , free list & quot ; Wrinkle Releaser & quot ; ( i.e . Downy Wrinkle Releaser ) ask front desk well two ( 2 ) bathrobe ( ask ) upon return find small container Static Guard appear manufacture sometime 1987 . 
 Apr 17 2005 	 great hotel heart San Francisco 	 Galleria Park small boutique hotel downtown San Francisco . room small pleasant . room individual air conditioning unit well window open . street noise .... expect big city . sound trucks street morning wake -- ' m light sleeper . free wireless internet access hotel ! afternoon 5:30 pm free wine reception lobby nice . coffee tea room 5:00 morning nice complementary coffee tea service lobby . staff friendly helpful . tiny room set aside exercise equipment serve & quot ; fitness center & quot ; . not great use anyway . agreement nice fitness center area not take advantage . hotel close restaurant shop . $ 40 taxi ride airport ( SFO ) front door hotel . give location downtown San Francisco surprise pay $ 109 per night . parking need expensive , something like $ 30 per night . business would definitely stay either business leisure . previous poster mention panhandler area . common San Francisco . 
 Mar 17 2005 	 great location value 	 one friendly hotel ' ve stay . 10 day . room large , traditionally decorate , drink snack bar , tv , shower / bath , fax machine , alarm clock , double bed , sofa , write table , drawer . view central courtyard , although picturesque , think quieter look street . my favourite thing complimentary wine reception 17:30 - 18:30 every evening , choice red / white / white zinfandel delicious chicken wing nibble . Perry 's Restaurant next Reception serve breakfast meal extra cost , also good . the surround area also safe enough , well away Tenderloin , yet within 5 minute walk Union Square , Montgomery BART station 
 Feb 9 2005 	 Cozy great location 	 book room interior courtyard , read review . hotel one - third occupy , not problem associate overcrowding . good rate available hotel 's web site . stay quiet comfortable . hotel staff exceptionally young , worried time & quot ; grown - up & quot ; charge . doorman relaxed guy occasionally open door handle bag . hotel quite old , room small new hotel . fact , unable open door & quot ; minibar & quot ; since stop edge king size bed . probably good thing . amuse find & quot ; Teachings Buddha & quot ; night table along Bible . perhaps standard San Francisco ? every evening offer complementary wine lobby morning offer excellent coffee . good , available lobby free access two computer high speed internet access printer . able print boarding pass left airport . like well situate unpretentious hotel probably enjoy one . 
 Jan 1 2005 	 stay away ! ! ! ! 	 husband stay business December 12 - 15th . hotel far bad hotel stay . room tiny outdated . bed advertise queen size quite small . 2:30 every morning would trash pick loud beep sound . one two elevator available slow hike five flight stair . area lot bum aggresive . bright spot hotel friendly housekeeping personnel . 
 Dec 6 2004 	 disappointed ; nice Argonaut 	 doorman seem confused result 10 minute ordeal try get car pick valet assistance luggage . doorman actually let heavy front glass door close ! desk clerk nice overly friendly . friendly person housekeeper fine job room cleanliness . free wine hour great lobby overcrowded people due lack chair . elevator 's limit 4 people , however , people not abide crowd anyways ( take 4 flight stair happen ) . room : bed small ( short height length ) , bedspread thin , wallpaper bathroom peel tile miss ; bathroom mirror tarnish ; 9:15pm Sunday night , hear trashtruck beep dump trash outside window . hotel guest book state restaurant open Sundays , take skip breakfast . however , upon pass restaurant , discover & quot ; serve brunch ! & quot ; Monday morning , attempt eat restaurant find close ...... restaurant employee apologize say late night would open 10 min ...... hurry , eat street instead . stay . step Motel 6 . look nice full service hotel one . 
 Dec 3 2004 	 solid choice Downtown 	 visit City Thanksgiving finish holiday shopping stay Galleria Park . location excellent downtown shopping dining . room , although small , clean well - maintain . staff mostly pleasant ( one desk clerk quirky ) . previous reviewer & quot ; underwhelmed & quot ; Perry 's , restaurant building . would agree , recommend Perry 's 's Union Street . parking usual steep $ 30.00 / day ( plus tax ! ) . overall , hotel nice , look forward visit Kimpton hotel . 
