Skyline 	 know feel leave home go somewhere exciting be hope hotel book turn amazing ? wish come true . skyline like 4 1/2 5 star hotel . suite divine ... & quot ; home away home & quot ; . soooo much space room , super clean . bed comfy . hotel staff ... doorman , reception service clean service friendly professional . suite impressive view breathtaking ... especially evening manhattan skyline . location central . walk theater district , times square cab / subway accesible . choice restaurant deli nearby . overall ... amazing stay Manhattan thank Skyline Hotel . & quot ; be home away home truelly hide Gem & quot ; . would stay heartbeat ! 
 great except one caution 	 caution : not pay parking twice ! fail tell ' ve already pay parking check . not notice item bill day return home . otherwise , place convenient , clean , include room , common area , restaurant , pool , etc .. room include large screen tv , nice desk chair fridge . staff friendly although concierge seem bit stand - offish . overall , well worth price plan stay . oh - not look like much outside , inside obviously redo . 
 Fantastic Room 	 pay € 120 euro per night room ( www.getaroom.com think ! ) include taxis delux room , say 1 double bed booking . check frienly lady , give room 3rd floor . to supprise room huge , 2 double bed lot room around , large flat screen tv , smallish clean bathroom , larg vanity / dress area side bathroom . also small storage room case , safe , iron ironing board . view garage rear hotel noise plenty see NY centre problem ! room Black blind sleep well comfortable bed . the room spotless , little creamy decor colour like refurbish last year I d say . I not use pool bar bar food area/ resturant look nice , bar quiet every evening make 10min brisk walk Time Square.48th , 49 , 50 th street take Time sq directly , find 48th 49th bit dark walk night small enough poorly light night ( not problem ) , prefer walk 50th night much wide well light . I find hotel bit time sq consider lot walk NY foot tired , subway station near ( could find ) . minor issue , consider previous hole stay NY hotel pallace ! would definatly stay , great find NY dodgie come hotel . safe bet.enjoy NYStehen 
 nice hotel rude valet unconcerned bellhop 	 hotel room nice , clean , large . room book double , nice comfortable bed . restaurant reasonably price come large portion . valet staff rude time entrance check . also , highly advisable wish obtain something car middle stay actually get upon arrive . although valet price $ 10 , would much rather pay well service less rudeness ( ' ve stay alot big hotel around US experience much rudeness ever ) . major note .... book hotel online need make modification call weekday make change .. well call 800 number provide website instead book online . thing aside , hotel nice place stay . 
 Excellent Value 	 return trip NYC Thanksgiving 5 good night Skyline Hotel . lodge plan make early fall leave look 2 room 4 adult 1 4 - yr old last minute rate would not bankrupt . find Skyline reading review book room cross finger . soon step lobby , know go ok . check quick efficient receive room well advance check time . lobby trip elevator art deco feel go back hotel really treat . couple day arrival return see holiday decoration though lobby make sparkle . nice . room large king bed , pullout sofa , desk , armoire drawer hide small refrigerator , vanity counter hair dyer still room 4 yr old granddaughter room play . bathroom nothing speical completely adequate nice towel . room spotless day check , carpet still little damp steam clean part housekeeping duire week acceptable . plastic wrap glass never replenish whole time either room cup leave something , dispose . minor , still enough make less & quot ; good & quot ; pretty low maintenance check somewhere not need concierge help except small maintenance issue AC unit one room fix . staff friendly pleasant time come contact . old lady work gift shop jewel . restaurant seem one stand - out , eat breakfast day leave , go order menu encourage buffet everything time get refill go . everyone appear blame someone else fact go ahead stick gratuity kind rub wrong way . mostly empty much good food around can not see much reason choose . bar drink couple night , pretty dead look big party someplace quiet end evening get . far food neighborhood , many good little pizzeria mention . City Lights Diner Renaissance Diner stand out . 
 great value Midtown 	 reserve deluxe queen room new part hotel back . room large NYC standard recently renovate . room 646 face north . want well view , ask south facing room ( think end _ 34 _ 41 ) thing like . can not tell difference room decent Marriott nice Holiday Inn -- except wallet . $ 10 parking indoor pool ( extreme rarity ) ice cake . liked beat path . get see real manhattanite live restaurant not tourist trap . many , many restaurant choice Hell 's Kitchen area , casual reasonably price , deliver . Empanada Mama 's great . think will stay every time come back . 
 Loved Skyline Hotel ? 	 stay Skyline Thanksgiving . everything need family 4 ( kid age 8 & amp ; 10 ) . love pool , ! room nice view city bed comfortable . nice plasma tv HD service far could tell . staff always friendly helpful . Bis . co. Latte 47th & amp ; 10th great place morning coffee , biscotti fresh fruit . everything require walk 7th , 8th 9th avenue , like walk city big deal . many subway line stop around 50th & amp ; 8th . Taxi $ 32 way lga.from remember , WiFi $ 10/1 day , $ 25/3 day , $ 35/5 day , $ 40 / month . we book getaroom.com get great deal . hotel $ 250 / not Thanksgiving week , get Skyline $ 160 . great hotel overall ! 
 Dec 3 2006 	 bad . 	 place not great . room accuse break window , tell we pay 50 dollar fine . proof break something not even touch window ! first , say window SCREEN . screen window . change handle . towel also steal room ... bad service . lazy staff . there also hole closet door ... toilet not work properly . 
 Nov 22 2006 	 's Hell Heaven ! 	 Travelled Ireland stay - Hell 's Kitchen though not advertise much not let put . staff either rude / lazy good fun . encounter 3 whilst stay . room filthy breakfast room somewhat clean food not bad either . location good - pleasant stroll main attraction complaint . probably would return base hygiene room - lot staff seem immune actual work , prefer stand around look miserable . happy holiday ! 
 Nov 8 2006 	 good hotel money 	 nice value hotel NYC . newly renovate room 7th . good stafff , good area , highly recommend money . 
 Oct 31 2006 	 nice clean hotel 	 nice clean hotel far theatre district . lot restaurant across street . Metro ( 50th street ) 15 min . walk . staff nice friendly . room great , large comfortable clean . nice congerge help question stay New York . buy ticket Empire St. B. hotel . save wait tower . go pizza restaurant accross street ( name like fat xxxx ) . nice pizza . one negative point fact need babycrib pay $ 20 per nigh ..... nevertheless good value money . 
 Oct 30 2006 	 noisy bad value 	 3 Middle age ( be kind one ) lady Scotland , spend 10 night SKYLINE October 2006 . fault cleanliness chamber maid , front house staff different matter . helpfull ! plan trip Niagara Falls day due fly Buffalo heavy snow Buffalo airport close , ask assistance reception find happen tell New York interested . we manage find airport re - open give good impression hotel . any - one light sleeper take ear - plugs 10th AVE extremely noisy night long . probably well young people hard hear ! 
 Oct 25 2006 	 Love New York ! 	 adorable Boutique Hotel step away Theatre District ! great walk Central Park .. stroll walkable ! room fantastic ! hugh king bed sit area Loveseat chair . snack area table & amp ; chair . beautifully furnish appoint . Immaculate ! feel like suite Ritz ! great sightseeing bus 2 - 3 block away . good part .. really cheap parking City . convenient theatre .. 10 - 15 min walk great restaurant along way . staff awesome treat we well . hotel pet friendly ! desk kind ... even say keep carrier unzip would able see around .. plus & quot ; make & quot ; .. make MAMA happy ! rate hotels.com reasonable . plan go 07 visit daughter live . 
 Oct 20 2006 	 bell whistle clean comfy 	 read early review , get admit doubtful get . hotel clean & amp ; comfy , ideal want bed sleep end day sight seeing . 10 -- 15 min walk Times Sq.i would recomend loop bus tour guide informative , easy hop hop , regular approx every 1/2 hour . Top Rock ( rockerfeller center ) excellent 360views believe well Empire state building ( do ) eat spoil choice highly recomend Virgils BBQ west TimesSq Brisket melt mouth ! excellent . if name shop head north end 5th ave Bloomingdales , Tiffany , Cartier , Boss Armarni etc together . take good shoe ... old granda use say .. Good Shoe 's good bed need life .. cos one 
 oct 13 2006 	 Great Value Family 	 look affordable room 2 double bed seem limit choice NYC . Skyline seem like good deal way . SIL & amp ; go book , rate end even lower quote , nice bonus ! room large enough , ' ve small room NYC , bath quite roomy . reserve , tell would old section , place new section . even though third floor , room exceptionally quiet , street noise . even mini - frig room ( empty , mini bar , use - perfect family ) . room clean neat , bed comfortable enough , lush like hotel twice price , , good value . when walk back Times Square , happy see close . way hotel not way ! bonus $ 10 parking hotel offer . many time ' ve go hotel cost fortune park car . 5 12 year old manage get pool Sunday morning ( Sat Mon ) girl love . pool open day weekend evening weekday . view fun even be close , be worth trip 13th floor . never use restaurant hotel , check great restaurant 9th 50th Sunday brunch . lot eat place neighborhood , not settle ! 
 Oct 7 2006 	 Skyline Fine 	 stay Skyline Hotel please . front desk staff polite helpful concierge . give free upgrade new suite section treat . room clean bath facility bedding . we enjoy pool . eat many meal restaurant hotel . food good service . would definately stay recommend . 
 oct 4 2006 	 excellent location ! ! ! 	 husband stay Skyline long weekend two young son ( age 7 & amp ; 9 ) love . minute Penn Station minute everything else . amazed short walk Times Square , Rockefeller Center Central Park . easy navigate neighborhood get subway station , etc . ability walk ease location want see wonderful . boy never complain walk . hotel restaurant serve wonderful food dinner , pricey expect hotel restaurant . breakfast buffet ok , probably worth money . incredible little place street 10th wonderful food meal incredibly inexpensive . hotel lobby really nice room fine . plenty big enough 4 we . 5 star hotel know book . clean neat need . heat pool great hit boy first night rain day night . certainly could use update around , boy mind all . I would absolutley stay Skyline hotel . 
 Sep 29 2006 	 great hotel great location 	 book hotel 3 night stay weekend september 11th anniversary . due odd negative rewiew understandly little nervous upon arrival . ' m glad not let influence ! reception staff friendly suprise considering read . even maid cleaner noticebly polite friendly . ' m UK first trip United States Skyline could not make easy . travel friend standard suite two ( comfy ) double bed . great air con importantly decent bath shower . be couple great Deli 's opposite subway take literally one minute road quick snack even meal , great . first night decide walk see find . 's safe feel area ! suprisingly , ten minute find Times Square . make day expect lot away ! actually say love location . not use subway even taxi whole stay . might different long three day walk back hotel ease . give idea , amongst place walk hotel Central Park , Rockefeller centre , Times Square , Macey 's Empire state Building . there be much say problem ever ! unfortunately not time enjoy heat swimming pool 's still worth mention . staff could not make easy departure day . look bag doller book shuttle bus take we JFK ; leave we enjoy last hour without worry . also great little gift shop hotel 's superb last minute prezzie ! owner lovely woman . if return Manhatten ( think probably ! ) will return Skyline hotel definate . 
 Sep 11 2006 	 fantastic hotel 	 wife pleasure stay Skyline week , first time New York , rather apprehensive stay Hell 's Kitchen , fear unfounded . the hotel good value , staff extremly helpful , particular concierge Norman lee wife . the hotel well situate walk distance major site city . we find 9th Avenue excellent dining out . all great holiday , back next year . D & amp ; R Shiers , Liverpool , England . 
 Sep 8 2006 	 Skyline Good Value money 	 Reviewer John Fife ScotlandI concern see lot feedback website , arrive clean comfortable room . handy Times Square 10 minute walk . empire State Building 20 minute walk . great Delis right across street . area safe problem . I reckon hotel good value money . great location fly Newark Airport . I would come back anytime . 
 Sep 7 2006 	 staff unbelievably bad 	 stay Skyline Hotel Friday , September 1st Monday , September 4th . parent stay extra night second room . wait line check get taste weekend would like hotel . front desk attendant receive call hotel guest ask direction . condescend hang – phone even make cradle , say " idiot " . nice way treat guest – especially another guest ( ) check two room . first arrive room door key would work bellboy let we room . happen day next four day – keep go front desk get new door key . adjacent deluxe king room – reason hotel " ' " unlock door would join two room together . two room large newly renovate ( however , pipe bathroom look like ram wall – wall paper actual wall break piece around pipe bathroom ) . pool penthouse level hotel nice amenity even though hour limit . eat adjacent restaurant breakfast first morning – mistake mediocre good . skip find local diner . hotel 10 - 15 minute walk Times Square ( close subway ) . also walk home harbor tour Pier 83 10 - 15 minute . the television one room ' work properly – maintenance crew come less four time " fix " success . end give we free parking trouble . check hotel another nightmare . reserve room online – website – print reservation . parent , stay extra night , want move room t.v . problem , try check room . lady ' let ( even know staying room reservation name ) . first argue reserved room Monday . show reservation printout get snotty ask reserve room website ( yes ! ! ) . finally make check room say parent could put thing closet room make . tell ' check room . boy , cause attitude problem . spend good ten minute look slip room . give say would mark " signature file " instead sign form . want pay room really throw loop . get second invoice parent surprise charge right rate . act hotel full ' accommodate we , fact ton empty room . woman attitude first say manager first request see he / she . , five minute later get fluster disappear say check manager . Hmmmm . parent additional problem check next morning well . much manager come give $ 40 room say come back " might give we discount " . father tell never come back manager keep badger not . all , " deluxe " room roomy we – two adult small child king bed 13 year old sofa bed . distance local attraction bad . goodness , ' get competent staff hotel ? good employee bellboy friendly pool attendant give we great direction Yankee Stadium . front desk staff – avoid cost . 
 Sep 4 2006 	 Great Bargain $ 	 return long week end NYC 2 bus load tourist ( 72 people ) . 30 room book Skyline . start get worried read review . group , location price fantastic . group take kids family , get bargain like , clean hotel , short walk Times Square , great . we pay union baggage fee 72 bag ( $ 360 ) arrive 1 am , not bellman , everyone take bag headed room . check , put luggage ballroom later bus pick . bellman count bag tell 72 bag , contract state 72 . explain one carry bag , say ok , would load . ( Remy deal nice ) room good , clean . people say stand shower room small , . feel safe neighborhood even walk back play late night . I deal hotel manager , Sharon Davis Daisy Ramirez pleasant . group want go back next year probably stay again . the front desk people nice deal with . if anyone question , please e mail . say , worried turn GREAT ! ! ! ! ! ! ! ! ! ! ! 
 Sep 1 2006 	 Skyline worth trip ! 	 Skyline Hotel unpleasant , rude front desk staff . their pool , advertise website main amenity , close often open . hour post website actual hour pool open . overprice worth trip ! 
 Aug 21 2006 	 Service ok room Better average 	 return yesterday weekend stay Skyline . fact never hear many visit NY , along review , concerned . however , family experience rudeness other . asian receptionist ( know site make notorious ? ) smile , give adequate service ; , one else check . like pay check bag either day check , apparently free checking arrive early , stay late . ( not make sense , like pay toll one way LIncoln Tunnel , must make sense ... ) , , find concierge captain , norm , female assistant pleasant helpful , unfortunately give incorrect info regard Sunday service stop particular subway line , well incorrect Saturday bus information . biggie , annyoying ; would simply walk back appointment save waste time wait ! room surpise . large NY standard , clean , totally redone , fully stock everything need . deluxe $ 179 , worth one need refrigerator . ( room special week $ 149 , way . ) use pool day ; wonderful able take dip heated water day walk , get ready dinner . actually much nice pool Sheraton , outside hotel near UN , know NYC hotel pool . little way , one mind walk plan take cab everywhere , be still close major area midtown . there actually 2 thing bother we ... one , cancel early reservation , receptionist keep transfer back & quot ; Reservations & quot ; even try tell one answering , workday . manager assistant manager answer , almost 2 hour . since need cancel 3 pm charge , start worry . finally someone answer Reservations say call number get & quot ; no - service recording & quot ; , sound make - up , since people able reach ! , need cancel , start try soon know , case ... secondly , water pressure shower terrible ! one thick long hair , take 3 time long usual rinse shampoo . finally turn bath spigot knelt , be bad ! overall , particular experience bad , one two night , offer decent accomodation price . 
 Aug 16 2006 	 Ignorant Arrogant Staff ! 	 August 1 , 2006 first let say hotel ( old standard room , new deluxe room ) great find far midtown Manhatten go . 's 10th Ave . right heart Hell 's Kitchen fairly large room oppose NYC standard . subway block away , never trouble get cab front . say , value customer service stay far , far away Skyline . this second time ' ve stay second bad experience ' ve Front Desk . particular visit book reservation online thru hotel 's website evening prior arrival . asian woman counter tell could find re go sit speak Guest Services Mgr . continue check - in guest , send sit couch well wait . 40 minute eye contact explanation approach desk put . 10 minute later ' m ask go GSM 's office ( latina woman ) ' m grill print confirmation oppose handwritten one . GSM actually tell sit desk find reservation can not find want charge $ 269 oppose $ 149 rate book . take literally 2 second pull reservation - book $ 149 would believe one apology ? laughs say silly computer always problem . apology , lecture print confirmation ( opppose number handwritten ) would somehow helpful . would think would ' ve get key take care we , instead make go back line . ask $ 20 upgrade different room snicker say could not possibly free . time want get room ( # 839 ) . spacious , however find hair tub cigarette hole sheet pullout sofa - huge deal friend call housekeeping extra towel mention hair instead apology tell impossible woman clean room never complaint . incidentally never get towel ... also soda machine 8th floor spit regular coke , matter button press ( try twice ) . call Front Desk tell we go gift shop morning free replacement . gift shop 's attendant wandering hall rush . wait come back inside explain incident . elderly lady yell we take 2 bottle say could one . take 2 anyway walk curse we whole time . another interesting fact - may hotel NYC CHARGES GUEST leave luggage day . stand 10 minute time witness 5 people tell bellman way pay service . everyone kind gang put luggage cart , include we without pay $ 2 fee . , unless ' ve got box glove ready fight counter enjoy treat like INTRUSION instead pay guest - stay ! ! ! ! ! 
 Aug 13 2006 	 like ! ! ! 	 book Skyline first choice , Roosevelt was'nt availiable lot choose package pool swing it . I really like area find genuine local bar resteraunt character oppose big yawn chain . stay small front part , room clean tidy bit shabby spacious meet need . the front desk helpfull girl information desk excellent give we good local eat tip able get Empire State ticket real help save much queing . attatche bar perfect place unwind last beer retire . the pool be not much wait till hour opening kid get bore pleasant dip excellent veiws city . I would come proximity excellent 9th avenue bar resteraunt although first time traveller New York may wow factor area might bit real . 
 Aug 10 2006 	 Disgusting 	 stay hotel . quite frankly dump . room may renovate rest hotel bad shape . wait area lobby filthy . also not help see exterminator spray bug waiting area leave serious pool liquid pesticide base wall floor ( gross ) . hall lead elevator ( elevator ) air - condition can not breath . public area damp humidity cause entire hotel smell . room smell . top , hotel lose 's water stay . wake one morning find water come tap shower ... last hour . thank god finally fix . horrible stay ... stay away unless stomach . 
 Aug 10 2006 	 beware rude employee ! ! ! 	 someone travel new york frequently business , sometimes find skyline hotel . always try stay travel inn 42nd , 's possible stay skyline also park car hotel reasonable fee.the hotel bad , actually stay nice room king bed night ago . problem room amenity , staff front desk . never , ever see hotel staff treat customer shabbily ... rude , obnoxious , sneer behaviour always expect . two woman particular , one asian woman one latina woman make jaw drop every time condescend attitude toward people . see mistreat almost everyone come desk . day ago , old asian gentleman upset wait bellman retrieve luggage long time . attitude ignore , belittle berate become upset ... actually discuss incident front bunch customer desk , shoot dirty look say ridiculous . one occassion horrife lack welcome attitude recieve . talk look upon .. hi , welcome hotel , nothing .... make feel terrible actually want stay . can not believe management condone behaviour , know fact various people complain end , horrible people nasty attitude still work there.i would HIGHLY recommend stay away hotel , not deserve business ... next time can not get travel inn , ' m look elsewhere.this place rate 7 room etc . close zero friendliness customer service . 
 Aug 7 2006 	 pleasantly surprised ! 	 read review bit concerned , price right figure could not * * bad . pleasantly suprise stay enjoyable . staff friendly helpful , despite read . New York resident know rude , staff pleasant . other , arrive early . not allow check early , time arrival accordingly . guest wait check - in , wait minimal . room rather large compare typical New York room , find clean comfortable . 10/50 restaurant attach friendly personnel decent food good price . * * add construction go next hotel include explosive blast . call ahead hotel find often construction . 
 Jul 25 2006 	 ok budget hotel 	 hotel shabby part town look like bit dive outside . staff ok - efficient overly friendly . stay junior suite new section room ok - large enough five we ( 2 adult , 3 kid ) run although lot stain furniture bedding . AC arrive take follow morning go full blast cool room tolerable temperature . also , room clean good - arrive find leftover thing previous occupant include brush cover hair - YUCK . overall , standard reasonably low look save money , place . otherwise , look elsewhere . 
 Jul 21 2006 	 Five Alarm Avoidance Plan 	 arrive 5.30pm July 10th . heatwave go room . air conditioning switch wait hour cool complain phone . service response available finished day . go front desk soak wet complain wife , diabetic , need room fridge air conditioning insulin could kept cool . front desk ask $ 40 US night room refrigerator would wait room available . eventually change room one air conditioning work , relinquish request refrigerator . still fridge put insulin top air conditioning unit chance stay cool follow three day . the next day still room refrigerator available although many party room fridge , include tour director . offer exchange room decline . Hotel 's problem . his . our final evening nightmare . shower need outside line book spot dinner . damp naked . refuse outside line local Manhattan call cost 75c . without swipe credit card . transfer Concierge could not book table use internet try not outside line either . half party manage get theater ticket , moment notice , without outside line , baffle I . I lose cool point mistakenly use & quot ; F & quot ; word , verb , try get outside line . not like hang I . I throw jean tee shirt go , wet , front desk refuse accept Gold Card abuse member staff . claim person charge call & quot ; mother [ -- ] . expression hear , one , occasion , part vocabulary . this hotel without doubt bad ever stay . staff defensively aggressive sure need year answer poor service . avoid hotel unless expectation really low . 
 Jul 16 2006 	 surprisingly nice 	 ` glad pay attention positive review property , seem accurate reflect experience . NYC notorious cramp , shabby accomodation ridiculously high price . ` recently experience & quot ; attribute & quot ; couple national & quot ; budget & quot ; chain hotel midtown vowed never return . experience Skyline exceptional . pay $ 139 one & quot ; deluxe & quot ; room ` pleased . room bath huge , quiet , immaculately clean , nicely decorate . staff pleasant , helpful efficient . walk theatre district ( 2 long block ) take 10 minute many outstanding restaurant way , nearby . ` miss Becco 345 W. 46th St. ( 8th 9th ) terrific prix fixe & quot ; symphony pasta & quot ; lunch dinner ..... another amazing value . recommend hotel restaurant positive proof experience quality New York without pay exhorbitant price . little research go long way towards save money . 
 Jul 1 2006 	 good place stay without pay New York price 	 wife return four day bus trip NYC stay Skyline Hotel . book trip leary hotel review read also use stay big name hotel travel . pleasently suprise however arrive find none problem list review property . hotel build mid sixty reflect style time . room two double bed 25 inch color tv , large closet safe , furniture old bit wear every thing clean . bathroom large tub / shower well stock soap towel everything work properly . hotel resteraunt eat breakfast $ 12.95 . walk Times Square 20 minute four block away feel safe walk even midnight Saturday . bottom line go place spend lot time hotel probably would not like Skyline , go 7 am 11 pm later & quot ; town & quot ; skyline perfect place stay . 
 Jun 1 2006 	 depress .... 	 taxi get close hotel notice area nice , finally see hotel ( describe decent ) get big lump throat sink feel stomach , look like one Motels along highway queen wherever come airport . bring girlfriend overseas new york first time could think ' where # @ $ % bring ? ' honestly look like trucker motel inside.however , inside not bad . small lobby bad . traveller seem like well european package toursit comfort we would full undesirable . wait til three room , arrive 7 . staff seem overwork tired happy thier job ( admit must tough servicing big group package tourist ) be not horrible , bit indifferent . walk around day dread room would like . even consider change hotel could not cancel deposit . stay . good part luckily upgrade well type room . room actually quite decent . big enough , clean , bad style . one website say hotel completely rennovate , person desk say room upgrade 4 year ago . think room must one renovate one . pay 200 night . way way much place , switch doubletree lex 51st also 200 way well . much much better.so , summary : area : greathotel exterior : depressing/ manky / gray/ date like thi logoservice : good allroom : do not know regular room superior room actually quite nice.price : $ 200 , way much hotel . 
 May 28 2006 	 expect 	 stay four night find okay . ( get pay ) . breakfast poor though , . watch like go steal something ! ! find area safe , deli across road right make mean sandwich . review poor worry we little relieved get . view window great , could see empire . good location also , small walk Times Square . walk empire central park recommend one tour go ground zero , brooklyn bridge , China Town , etc . bit far walk . tour quite expensive worth . Haggle though get child free ! also harbour light tour Circle Line Cruises worth . two hour cruise see light New York . way could really . try Times Square Bagels breakfast . side street near Hard Rock Cafe , lovely food cheap , go three day row . 
 May 6 2006 	 ok hotel 	 bad hotel stay two night , part accompany tour package , little wary location , look front problem , ( look flat roof near hotel sign , one draw line body , like murder scene , think funny ) . travel companion look back impressed . hotel clean acceptable , location block Times Square , would recommene depend buget 2.5 - 3 star would rather pay well location , follow year stay Sheraton New York Hotel & amp ; tower , excellent value location . 
 May 4 2006 	 Hidden Gem Hell ` Kitchen 	 find negative review hotel perplexing . inveterate visitor NYC , always search outstanding hotel value distinct prize winner category . frequent complaint inconvenient location . area Hell ` Kitchen / Clinton hardly pretty neighborhood , midst gentrification safe area . 2 long block 8th Avenue western border theatre district / Times Square area . considerably close many popular East Side / Lexington Avenue area hotel . ` also 1 block many excellent restaurant 9th Avenue . drive , great value start even enter hotel . parking storage $ 10 day .... unheard rate city . lobby spacious attractive , front desk staff efficient professional . check - in quick easy . 2 building . & quot ; deluxe & quot ; room new building request . $ 20 room original building worth every penny . pay $ 159 room 2 queen bed . large attractive room encounter New York price range . could actually rival surpass room so - call & quot ; luxury & quot ; hotel . decor conservative , contemporary tasteful . elegant white duvet cover bed firm extremely comfortable . upon enter room ` find mirror vanity area . ` also good - sized closet , small refrigerator , iron / iron board nice view midtown skyline . room quiet air conditioning unit . maintenance housekeeping impeccable . big surprise , however , beautiful bathoom . unquestionably large nice bathroom ` see NYC . ` new boast abundant counter space , pristine tile floor wall , large artistically borderd mirror beautiful shaded sconce - style lamp either side sink / vanity area . surprisingly classic yet warm ambience bathroom . enamor quality room ask amiable housekeeper could see one hotel suite . seem eager proud accomodate request . even impressive , beautiful living room french door lead bedroom . hotel also heat indoor swimming pool attractive restaurant bar . restaurant offer full breakfast buffet $ 12.95 ... another excellent value . front desk staff honor request late check - out , extra charge , without hesitation . hotel spectacular value . ` easily pay well $ 300 less quality midtown hotel . walk extra couple block , save bundle , enjoy touch classs . 
 May 4 2006 	 good basic budget hotel 	 early review give good taste hotel . huge room . stay 3rd week April/06 room really hot even heat turn . area seem bit seedy time undergo change . close theatre district Times square . nearby 10th St Dinner great . would stay short stay . 
 Apr 29 2006 	 Skyline ... hot stay 	 spend couple day Skyline Hotel April 2006 . hotel reasonable location ( Hell 's Kitchen area ) , recently undergo extensive re - imaging local authority . 's seediest part town , not always feel totally safe . would pay keep guard time . the hotel inexpensive , guess get pay . look entire New York experience , not . however stop budget really need place sleep , Skyline not bad choice . the staff friendly , view room esb amazing , location hotel relation main tourist area city good . on negative note , hotel definitely need lick paint be like step back 60/70s hotel . also , A / c ? hotel unbelievably hot day , night . will not need bedsheet ! 
 Apr 24 2006 	 Great Value - Excellent Location 	 hotel excellent value money - room basic , decor little date , budget hotel , close attraction clean friendly hotel , short great value money . read review little concerned expect hotel exceptionally clean staff extremely friendly helpful . request room one upper floor view allocate room top floor view Empire State Building Rockefeller Center etc . hotel 3 block away Times Sqaure , far enough away tourist attraction give feel ' real ' NYC . grab coffee real ' New Yorkers ' coffee shop Hells Kitchen area City . two thing worth consider though fact room noisy ( surely expect middle NYC ) tea / coffee make faciltie room - would nice come back long day sightseeing . however , hotel well service local convenience store food outlet vary quality cuisine . 
 Mar 22 2006 	 Heating Problem . 	 stay March . weather really cold never feel cold life heating room . complain twice every day . one night receptionist say would send someone check stay one arrive . another occasion bell boy come we look . tell we heating hotel terrible room either hot cold . people room next open window cool down . the staff unfriendly unhelpful . other guest tell we see kitchen dirty . not see breakfast fine . the bed room nothing like appear hotel website . clean furniture , lampshade etc . old room fairly dark . also problem tv sound keep come go . would not tell friend stay hotel . Marian 
 Mar 18 2006 	 great place stay 	 stay Skyline Hotel March 1 - 3 , 2006 . would absolutely stay location value . skyline easily accessible drive NYC ; close Lincoln Tunnel . room large , compare city hotel . give complimentary upgrade king - sized room , clean nice , newly - remodel bathroom . couple mild criticism : website advertise park $ 8 day , actually $ 10 day ; still cheap NYC . television service room poor hey , much tv would one watch NYC ? restaurant lack good service breakfast buffet affordable , good food . overall , fine hotel couple search inexpensive getaway family want good experience . take time explore gentrify Hell 's Kitchen neighborhood . eclectic restaurant shop nearby . skyline also well - locate , easy walk subway touristy offering , Times Square . 
 Mar 16 2006 	 Excellent value 	 freind live New York & amp ; many time year . ' ve stay many hotel Waldorf Sheratons . must say first time go Skyline little worried never stay budget property , return 2nd visit Skyline . great value , good location within easy walk distance Times Sqaure & amp ; Broadway , would'nt stay anywhere else . room average 3 star , spend time room nyc.they clean , comfortable & amp ; large hotel room nyc.the girl check pleasent & amp ; bell boy friendly . apart do not really speak staff . I m plan go back NYC August & amp ; diffinetly stay . 
 Mar 13 2006 	 bad 	 not read review go Skyline , not really know expect . actually go school trip , budget price bless we , quite suprised hotel compare much pay . would prefer close main city , walk shifty street get broadway , although broadway , time square actually quite close . disturb noise quite lot , either guest heater room sound someone try get room 5 morning ! however , add although hotel not perfect , scary woman hotel shop , good price pay , go new york city see new york , live hotel ! however , young fit , often spend day sightseeing shopping , not really see much hotel room . 
 Mar 11 2006 	 Good Location sightseeing 	 arrive early 13:30hrs book 14:00.we bit worried read review . opinion follow . Desk staff , mainly polite helpful especially night staff . bell boy concierge , give excellent service smile . Decor feel date room large clean comfortable bed sleep in . location , superb sightseeing , theatre , Times square , boat trip , central park within level walking distance feel safe night . downside .... last night room around we let group noisy young people 0300hrs complain desk . security promptly scene noise continue move another room ... well do hotel staff problem resolve satisfaction . People New York friendly helpfull would stay . 
 Mar 2 2006 		 December 26 , 2004I arvd early wheelchair - bind companion . ask brusque , heavy accented desk clerk whereabouts lady ' room . never get answer . proceed check we . arrive floor knock smell Pine - Sol . Room assign complete disarray , unclean , sheet floor . cleaning lady , speak English , good experience . open another room , handicap accessible one make arrangement via house phone we stay . know bathroom ADA standard , tub depth huge difficult traverse . at 4 a.m. , guest next room decide serenade girlfriend . wake we sound sleep . call front desk send security guard immediately . put end nuisance spot . we use place pool companion , MS , swim every day stay flexible . floor around pool looked feel slimy . entire pool area need major cleaning . never . 
 Feb 13 2006 	 worth money - get pay 	 worried description budget hotel . fine . extra money deluxe room well worth . location hotel great , really close Port Authority Bus Station - get bus Newark airport . walk sight find load place eat near hotel . New York hotel size room quite large . view room amazing . call Skyline nothing . could not really understand cheap . speak staff . helpful , seem like can not wait get rid . hotel great long not reason speak staff . would stay would recommend - get pay . 
 Feb 2 2006 	 great value 	 son stay 4 night book Experia . room large bed comfy . maid clean room thoroughly every day even change soap along towel everyday . breakfast wholesome filling , need eat till dinner time . we happy value would recommend budget hotel include family , would appreciatte swimming pool . package hotel Super shuttle transport to / from JFK great deal . 
