great 	 go group school really nice experience . room really nice everything service . local pub restaurant around hotel make stay even well . grade 1 - 10 , 10 good 1 bad , breakfast buffet hotel like 6 . first day eat , follow morning eat toast coffee . food overral be not good , besides beutiful hotel . 
 Jun 29 2007 	 wonderful experience 	 hotel clean beautiful staff professional friendly location great . bed comfortable bathroom spacious nice . really enjoy hotel would recommend anyone go London . 
 Jun 26 2007 	 wonderful experience 	 travel 14 year old daughter concern previous post reservation honor . confirm reservation 2 day arrival date 6/1/07 problem check despite late arrival time 11 pm . room small clean comfortable . hote location perfect active touring - second tube . beautiful Russel Square across street many small cafe 's nearby . Covent Garden 20 minute walk away . eat hotel restauraunt use Internet cafe street on - line access . hotel concierge helpful early cab service need . not full service luxury hotel perfect mid price hote great location . perfectly appropriate touring family young adult need lot amenity . 
 Jun 21 2007 	 complaint we ! 	 bit worried staying read previous review problem . room modern , clean , roomy & amp ; cool . shower lovely & amp ; powerful . room Sky TV , iron , fridge , tea & amp ; coffee make facility & amp ; bed comfy . not use restaurant can not comment . breakfast £ 19.95 eat quarter price . fact nice cafe across road Russell Square eat cook breakfast outside sunshine £ 11 two people . eat every night . location great - handy Covent Garden etc complaint we ! 
 Jun 16 2007 	 60th birthday ruin ! ! 	 family pay husband stay hotel evening meal go show April year . tell everything plan fine detail turn right time . arrive three go room . twin book give double ( 1st problem ) . room 10 minute maintenance man call fix tile bathroom . neither us maintenance man could find broken tile leave , ten minute later return strict instruction find break tile fix . leave five minute without anything ( 2nd problem ) . show going start seven thirty booked taxi six forty five . book table hotel restaurant five o'clock , give we plenty time eat three course meal get change show . arrive restaurant tell not start serve five thirty ! ( 3rd problem ) return five thirty empty restaurant not get meal six fifteen ! not time starter pudding main course . arrive concierge desk six forty five wait pre order taxi , concierge say 's way . arrive five past seven ( 4th problem ) . go breakfast give pot coffee , cup saucer ( 5th problem ) . ask . breakfast return room . even though not vacate 1200hrs clean bang door three time get clean ( 6th problem ) . decide leave early get away awful place . although complaint minor , add become real problem . complain reception desk feel pay we lipservice . look forward break London end stressful time ever come back ! 
 Jun 3 2007 	 Rude awakening 	 wife stay hotel 2 night ' bed & amp ; breakfast ' basis . hotel centrally locate convenient central London attraction . underground tube station around corner Oxford Street shopping area within 30 minute walk . west end theatre also within walk distance also accessible via underground rail system . the hotel architectuarily beautiful , externally internally throughout public room . room somewhat small compact , perfectly adequate short stay . wardrobe space little lack room nicely furnish clean . rear hotel view particularly pleasing , least quiet . the staff courteous efficient . breakfast ( buffet ) good stay pleasant , except irritate incident morning departure . check - out time list 12noon , however 8.20am morning departure loud ' bang ' room door , follow attempt open . fortunately security door chain . wife go door see member housekeeping staff walk along corridor , bang several room door . telephone Reception ask happen , tell not be . enquiry make Reception staff ring back say happen place ' do disturb ' sign door . point accord hotel information brochure , late departure time 12noonbut respond comment many corporate client wish leave early . surely would book early call . anyway apology make . personally opinion way ensure customer linger room , housekeeping could get work early possible . hot tip : night departure , ensure place appropriate notice door . 
 Jun 3 2007 	 Oozes history superb location 	 first stay Russell business ten year ago need massive refurbishment . ' use twice year since although drawback feel need stick give criticism below . firstly old hotel- Victoriana height . mean marble , mirror , mosaic gilt wherever could fit . hotel ooze history fact one use shipping line accommodate wealthy passenger London join ship bind Empire , America & amp ; beyond ( hence Southampton Row , main Road Russell Square lead ) . mobility allow make sure walk first two flight stair , particularly Christmas ; ' simply stunning . unfortunately give opulence reception desk triumph modern corporate blandness- designer shoot . room large central London standard build turn 20th Century air - conditioning ' even agenda original architect . room stand alone unit noisy- particularly single room . remember central London traffic noise inevitable , although secondary glazing fit , light sleeper could problem . oh , ' book hope up - grade ; ' never happen yet- although room real charm . breakfast serve buffet style , hot , plentiful good quality . ' never eat Hotel restaurant Covent Garden 15 - 20 minute walk away Russell Square tube station give access Piccadilly line London offer almost part building would want ? ( British Museum 3 minute walk away ) .In short want modern art hotel , air conditioning double glaze forget . want stay somewhere character history get reasonable price give whirl . nothing else photo ' 
 Jun 1 2007 	 Avoid cost ! ! 	 review amenity hotel night book stay Russell Hotel & quot ; bump & quot ; another hotel along another 15 guest . reason give ? hotel claim receive booking agent make two week previously . genuine reason ? 15 guest book low & quot ; rack rate & quot ; hotel obviously see fit take later booking full cost refuse confirm booking . take 45 minute actually tell room 20 minute arrange another hotel cost . advice , book Jurys Inn Hotel Great Russell Street . unless pay full rack rate book far guarantee Hotel Russell . 
 May 21 2007 	 Inconsistency 's good 	 quick scan previous writing give hugely vary picture life hotel . origin traveller something comment remain gross divergence opinion unusual forumWe book hotel office conference hotel approach much trepidation give advance notice review . experience bad however . room ' Ambassador ' advertise Principal Hotels website match almost exactly except small standard . little storage note previously large modern bathroom easily control temperature . noise street single pane glass double bed comfortable . the problem come ' additional ' sevice not consider additional . telephone charge ridiculous , even UK ( 2 pound connect toll free 800 number ) internet even bad . free rule stay . mealscccccccccccccccccccccccccccccccccthe buffet breakfast necessarily include room price average , serve we conference attendee , augmented change every day . location perfect kind stay . neighbourhood reasonable easy accesss . in summary , find low price ( half go rate least ) , ask see room advance ( rejectit necessary ) , not use ' additional ' service , put cramp quarter will good stay . 
 may 12 2007 	 lovely room good breakfast 	 spend 2 night business . say good mid range hotel ' ve stay London . room spacious , 2 double bed , lot light ( corner room . 232 ) . decorate modern style sympathetic age hotel . bathroom smart quality fitting . hotel populated business people rather tourist seem keep standard stay London Hotels full coach party hotel seem treat like cattle ! breakfast buffet style good quality , nothing fancy , usual fare cook present well . yes public area sea garish marble layout bite odd old victorian hotel would crime rip history replace glass steel . say scotsman £ 3.20 pint bar painful ! ! lot place eat drink round , 's beauty London . 
 May 5 2007 	 bad 	 oh hell . 'd rather book room rest home . after seven hour flight US check old thing . exterior interesting though admire fact care take rebuild WWII one single thing would recommend . lobby carpeting , uniqueness , tacky , garish give headache . someone crack meth over - decorate marble . not buy drink bar unless want mortgage home . $ 40 per / day internet access ? spare I . reception full rude business conference attendee ; manner . tiny , awkward reception area : claustrophobic . clearly conference center else . do not even get start room , shall say dark nasty hovel . frosted window not open . a / c either artic not work . depress little cave not describe . Bathroom - nasty . natural light ? forget it . on positive note : Russell Square Park rather nice . even well , leave hotel , take right end block , another right , go past Russell Square Tube . within minute one Bloomsbury 's fine neighborhood . try shop Brunswick Plaza east check Grey 's Inn ( beautiful park courtyard ) Bedford Park nearby . British Museum , Convent Garden , Trafalgar , etc . short walk away . 
 may 4 2007 	 embarrase English 	 misfortune book hotel twice last year . first visit adequate , second applalling . hotel use part Meridian group moreOn get hotel ( good location near tube etc ) enter grand entrance reception leftThe staff duty limited command english record reservation despite provide copy booking reference . eventually find book another night try convince wrong day ! 20 min allocate room provide key card . room tiny room attic hotel would suspect use staff . reach via lift small staircase ( fun heavy bag ) . unfortunately key work require another trip get replacment provide bad graceThe room small tiny window high wall . look clean leaflet , menu , hotel guide , room service information etc . bathroom likewise clean toiletry . as arrive evening require meal rather eat cavernous dining room decide room service . meal arrive ( eventually- 30 minute ) luke warm , poor quality pricedThe follow morning request wake call ( happen ) go breakfast queue age seat despite resaturant 1/3 full . breakfast buffet self service style offer wide range optionsthere small bar adjacent restaurant sell limited range drink typical London Hotel price . near proxinity hotel number bar restaurant would advise guest venture enjoy drink mealI afraid service hotel bad english hospitality scene get impression hotel care take guest foreign tourist & quot ; do not know well & quot ; business traveler like whose bill pick companyThe hotel rate high get pay would certainly ask reduction/ refundi recomende company cease use hotel would ask visitor abroad judge English hotel & amp ; hospitality ( excellent ) hotel 
 May 1 2007 	 horrifyingly bad 	 stay Russell renovation 2004 , look forward return . renovate , ' know . room small slap together think décor . Corby press iron working , replacement . bring we third iron discover half electric room work hot water . maintenance engineer arrive , leave say " let run five minute " . odd , run time point . never get hot ; rush pre - theater dinner due delay . return , reception clerk snide unhelpful . finally offer could shower another room next morning , would call 6 6:30 shower . call come , take another round cold shower . ask manager , hotel offer refund room . ' do refuse provide we receipt prepaid online travel company . funny – stay hotel regularly always book online – never refuse receipt . husband live London 9 year , mutually agree single disappointing hotel city . stay Thistle , avoid ruin lovely evening London . 
 Apr 26 2007 	 adequate 	 stay Hotel Russell one night conference take place . would not recommend follow reason ; 1 . bedroom not face onto noisy street face onto courtyard noisy ventilation equipment run 24/7 . Aircon provide ( theory ) keep window close aircon even noisier.2 . ' m pay £ 140 ( official rate £ 200 ) pokey single room not expect pay £ 20 extra internet access - allegedly get 24 hour use check room way use remain time.3 . ground floor complete maze long wind corridors.4 . long queue occur chiecke time , partly staff rather slow keep refer superior . other , breakfast not badI would prefer stay budget hotel tube stop away ! 
 Apr 24 2007 	 beautiful inside 	 stay russell works course say wow , get lucky hotel ... 1st thing impressive outside hotel not dissapoint step front doors.when step inside greate friendly helpful member staff direct reception , though can not miss great service receive . tho hotel huge , however not get sence inside.the room well decorate though glossy room look website lovely none less.bathroom spotless fresh towel every day.very well stock tea coffee.the bar not badly price do not drink comment soft drinks.food excellent.when need direction first morning give simple form even could not get lose with.over pleasent stay , make trip work pleasure.i would definitly consider base visit leisure well locate travel tube ( station 2 min away ) foot lot lovely place eat close ... would expect ... 
 Apr 23 2007 	 beautiful old lady sad disrepair . 	 second time stay Russelll Hotel . 120 + year old massive victorian edifice impressive entry dishevile & quot ; Miss Havisham & quot ; sort way . property change management last year several half hearted renovation . one get idea maintain big ark probably overwhelmed . run outfit taht specialize run old castle & quot ; classic & quot ; property not seem fare much well . exterior impresssive lobby boast palatial stairway Chandeliers marble attest past granduer . unfortunately no - one figure clean marble . get past ersatz modern reception area , tiny lift , upstairs attraction fade . upstairs hallway dark musty smell radiator fire extinguisher hang strange hanging like old rooming house . room small , clean , reasonably comfortable nicely restore bath . nothing really wrong , 300.00 USD+ per night one expect 4 star property even ultra expensive Bloomsbury . eastern european staff struggle English make effort freindly warm . shame . place could real stunner try . & quot ; Virginia Woolf & quot ; Lounge advertise net closed year . club lounge bar pleasant albeit somewhat threadbare . special note : place take prize internet usery . 1.00 usd ( PER MINUTE ! ) in - room web conectivity . fortunately several coffee shop wireless area nice internet shop ( Rex ) right street .. add annoying old man try take picture everyone leave really much deal .. 
 Apr 4 2007 	 great location service questionable 	 arrive hotel Superbreak reservation , record booking , time apology , find room disabled person , low sink , bath , view except noise outside aircon machine whole hotel . breakfast good excellent manager.hotel great location nr British Museum , good eat Brunswick shopping area behind hotel . would go back maybe ? 
 Apr 2 2007 	 good location generally pretty good friendly . 	 decent location , handy west end shopping / museaum . generally quite friendly , formal . room vary . ' ve two double range nice modern decor , homely slightly worn ( acceptable ) . decent bed case . breakfast pricey , ' m sure be worth £ 15 ! queue small table not get tea ( despite ask many many time ) last time . however , would happily go back , say something . also - plenty free wi - fi access float around . 
 Mar 23 2007 	 pretenious overprice 	 Hotel excellent location easy access tube , bus around corner British Museum . public room minimal . room share husband several day adequate -- small , double bed , drawer hanger . nothing put suitcase . airconditione system work mysterious way . move small room husband go home . thin slice room barely adequate , squishy bed . room two floor wind staircase connect low bathroom , closet desk area bedroom . completely inconvenient woman drag large suitcase narrow staircase ! bag occupy one chair small surface bedroom . drawer . bath downstairs excellent , clean , spacious wonderful shower . ask twice someone explain airconditione system icon get help wear coat room much time . ask wakeup call departure . call . staff young , knowledgable . lovely old building price high value good . London extremely expensive place visit exciting vibrant one hardly mind ! 
 Mar 22 2007 	 nice money . 	 like stay close tube tesco mini market . one problem encounte stay afternoon concierge could help we w/ luggage take , even b/4 colleage problem w/ reservation take get room . later need sewing kit take 3 phone call somebody bring one last need taxi service airport concierge find call constantly front desk take b/4 could talk anybody . get taxi time concierge morning sweet old man help we w/ bag , great . overall room nice small clean . 
 Mar 15 2007 	 Great Hotel 	 husband stay Russell 3 night March , great room 128 balcony comfortable . breakfast lovely queue although wait fry egg 4 minute ( nothing ) .When previously visit London stay hotel Great Russell Street , part chain hotel Russell beat hotel account . great hotel definately go back . 
 Mar 13 2007 	 Poor Room 	 actually decent hotel let badly standard room . stay year ago tell re - furbish . the public area pleasant . lobby Grand check simple quick . dining room similarly impressive . breakfast well side average efficiently serve freindly staff . the downside still seem room . small , single room clean extremely tatty - really student bedsit standard . bed scrap year ago , emulsione woodchip wallpaper huge air buble bit miss skirt board chip back bare wood . dingy depressing outlook inner quadrangle . you usually get hotel area fulll - guess tell story . shame potential much well . far well hotel room available area 
 Mar 4 2007 	 welcome room wet night ! 	 dark wet admire frontage historic building trudge round tube station , doorman courteous ( tactful wet ! ) , lobby warm welcoming , front desk efficient lift quick . I delight room fourth floor . clearly conversion , well do , generous lobby , good sized bathroom pleasant bedroom area . book single room , single bed , please space . bed chair comfortable , desk sturdy , kettle efficient . one tiny grouse - biscuit ! room face inner courtyard overlook infamous central heating/ air conditioning unit , well little noise . room warm welcoming tire wet journey . think update past two year , sign discolouration one wall , immediately noticeable detract comfort . the bath big enough stretch toiletry excellent quality , gallon hot water . choose eat elsewhere , enjoy continental breakfast next morning . hot buffet one attractive see . want paper need 8 ! use price comparison site four week advance pay £ 82.07 night luxury , colleague good room next floor pay £ 89 . suppose depend book , . definitely back get price within business limit ! 
 Mar 1 2007 	 absolutely fine leave plenty time breakfast 	 hotel book work not know expect . arrive check 8.30pm one night . booked single room . check quick simple . the hotel impressive outside reception / lobby . carpet along corridor floor ( 6 ) good quality look quite new . room quite small decent hang space manage get desk tv cabinet . bathroom nearly big room appear recently refurbish . shower powerful plenty hot water . yes window old bit draft curtain thick room temperature great ( usually unbearably hot ! ) . think bed fine really good sleep - noise disturbance within outside room . go breakfast 8.15 suprise see quite queue infront . take 10 min get seat , fortunately not rush would advise anyone appointment week leave plenty time get breakfast early . still queue finish breakfast 20 min later . breakfast fine hot cold buffet . my experience good would consider use hotel convenient one stop king cross picadilly line ideal get around London 
 Feb 26 2007 	 deserve good review ! ! 	 really worried see previous review hotel easpecially book 3 room 5 we stay ! want leave luggage hotel checking ask ( 11.30am ) staff say could check ! get room pleasantly surprised ! 2 twin room spacious London hotel obviously recently renovate , twin room come large clean shower single room bath none room wear tear sign bathroom extreemly clean . breakfast find plenty eat , choose continental - as early lunch , plenty choose could easily upgrade full english . also last leave dining room member staff offer let we late checkout , nothing seem problem . this hotel really central get either centre London theatreland , underground also around hotel corner . on leave we say would return hotel - and be fussy bunch ! 
 Feb 21 2007 	 Mini Break London 	 sister choose stay Russell Hotel part trip town go Theatre . eat hotel happy choice stay room large modern airy bathroom great . request would net curtain window save modesty ! staff friendly arrival efficient check . location ideal theaterland would recommend other look trouble free stay - especially attract good deal room ! 
 Feb 21 2007 	 victorian Gothis 	 exterior Russell Hotel great victorian Gothic castle . inside retain original stone work quite impressive . carve stone arch great sweeping staircase balustrade carve different color stone . check fine , although many staff barely speak English . however , get room semblance elegance go . room dismal . furniture old dirty . bed even bad . soft could feel bottom platform rest . cook breakfast terrible . everything appear package tin . great location right across British Museum , be definitely four star hotel . 
 Feb 16 2007 	 Good Standard Hotel 	 stay Russell Hotel two night February business . book Hotel Booking Service bit worried book hotel follow reading past couple review . but supose make mind decide whether hotel good bad . I must admit Hotel good compare other stay London . okay , hotel old try keep much tradition outside hall - bedroom stay extremely spacious , modern large ! ! impress size room normally hotel London provide nothing much big box room . room clean temperature could control air conditioning . breakfast great even choice either dine restaurant bar area lay ' express ' breakfast rush morning . try area stay like both . the staff really attentive always willing help , whether be help luggage arrange taxi . location also good 15 minute walk Leicester Square West End . perfect Theatre trip , take full advantage go see Chicago Cambridge Theatre . overall , pleasant stay would definately consider stay rather one many brand hotel around London . 
 Feb 13 2007 	 look great ... be tub ? 	 overnight London way back home Portugal , pick hotel base location photo grand exterior lobby . grant , beautiful impressive other agree , 4 - star hotel . hotel excellent location , right Piccadilly Line Heathrow , near British Museum wonderful little restaurant ( dinner great indian restaurant 10 minute walk away ) . pay equivalent $ 185 room , husband come back check immediately say , & quot ; hey , get breakfast include room ! & quot ; unexpected surprise pleased . room first floor small , many London room . face inside window not open , fine massive hvac system right outside , hum become & quot ; white noise & quot ; night . dinner come back hotel drink hotel bar , cozy . next morning thought & quot ; include & quot ; breakfast check , discover charge we extra 50 pound ( $ 100 ) two drink two breakfast ! matter adamant husband tell check - in breakfast include , one desk seem care . like , & quot ; tell ? get name ? work ? & quot ; certainly would not eaten breakfast know expensive be . ok , 's disgusting part stay . 10:30 night , have go bed , hear horribly loud gurgle sound bathroom . get check , discover someone nearby room diarrhea come tub ! kid . get initial shock , run bath water try get drain , odor become strong , tub v - e - r - y slow drain , stuff float closed door isolate smell let drain overnight . say , solution pollution dilution . not get around discuss check - out argue breakfast thing leave catch plane . [ note Maintenance : check plumbing problem room 147 ] would stay ? way ! 
 Feb 13 2007 	 Disappointing 	 disappointed hotel would class 4 Star . ensure outside hotel , foyer bar etc impressive room small , old fashioned need desperate need redecoration . corner wall window mouldy window old sash window let draft well noise bar air conditioning unit . bed soft examine make sure not water bed ! 10.30pm , go sleep , want early night course next day thump bass music start , try ignore hour desperation phone Reception tell would finish 1 am , try complain tell could fill form check ! least right finish 1 am finally get sleep . however 6 am awoken gurle bang pipe shower neighbouring room . bad expensive night sleep ( well hour ) ever would never stay recommend . 
 Feb 10 2007 	 never 	 hotel disappoint 2 night stay . clearly bad value money hotel ever stay in . at check - in , tell cancel booking ' show . explain pre - pay night arrive Australia want able check soon arrive . eventually find room . the staff friendly enough , helpful ; ' help bag , ' recommend restaurant ' open door etc . ' usually care kind thing , consider much pay 4 star rating , expect much more . the room old tired . bathroom way big , complete waste space . bed uncomfortable old bed ever misfortune sleep . nightmare , old saggy . I ' bother try restaurant , get feel ' go much well rest hotel . 
 Feb 10 2007 	 Loads fun London 	 arrive Russell Hotel Friday afternoon , quick simple check , good rushing see show . room small everything need weekend stay freshly decorate high standard . drink bar night , bit pricey nothing not expect London Hotel . full english breakfast hotel package buffet style 7.30 till 11 am could lie late night . hotel well situate would definatly use stay London . 
 Feb 4 2007 	 Run 	 hotel good location central London probably glorious past 's it . everything hotel seem old quite run down . my booked room already let arrive , despite hotel inform late arrival . offer replacement awful ( leak toilet , stain everywhere etc ) . next day offer free breakfast complain , fine . the staff friendly helpful . check smooth . but would rather stay . 
 Jan 25 2007 	 good location awful room poor service 	 stay hotel time due attendance course hold . first time stay room poor , small dingy back hotel , fridge definately 4 star . later realise give economy room despite pay full rate . hour set next visit contact hotel ensure would give standard room pay . respond say book cancel fax . complete fabrication . contact would arrive London , woman travel alone late night tell nowhere stay . challenge honour booking although check hear tell another person story receive fax company cancel booking ! occassion give slightly well room . room old door support matress ( mention previous review ) exist friend stay take picture prove . re - furbish room quite nice hit miss standard room get . say room clean , location good restaurant shop nearby Russell Square underground station around corner . 
 Jan 24 2007 	 avoid Room 541 	 stay Russell Hotel 20 Jan 07 admit disappoint . our first room , 541 , small , tv ' work , wallpaper peel wall , bed break , amazement old door one side mattress . after complain upgrade much well room , 506 , standard still good . would say hotel definitely worth current rate charge . in bathroom heat towel rail close toilet could easily burn leg . , redesign room ' put towel rail wall toilet lot space ? little wardrobe space iron ironing board ' awkward position . situate wardrobe ? plus side , location hotel perfect , lot restaurant , cafe , pub shop nearby , short tube ride centre town . 
 Jan 15 2007 	 Russell 	 love hotel ever part London would choose stay . fair say room little small side , much small Manhattan . hotel splendid outside public area inside quite lovely . room spotlessly clean ready we check lunch . without exception staff helpful , friendly courteous . close centre London price pay certainly bargain . short wait seat breakfast , dining room beautiful quality meal good anywhere hotel certainly exceptionally good value . 
 Jan 8 2007 	 Excellent Hotel 	 go hotel trepidation read review , especially 12 year old daughter , agree negative review post . standard room clean large London standard . certainly furniture basic new perfectly servicable bathroom superb . location great within walk distance Euston Kings cross - handy come north - many amenity doorstep nice part central London . reception efficient problem breakfast , though may course different peak season . dirt cheap internet rate ! would recommend hotel without hesitation would try stay get another good deal . 
 Jan 5 2007 	 see well day 	 well half plan trip UK meticulously . decide would spend one night central London , head Dudley Midlands attend old brother 's wedding . the hotel busy bustle part London ( ok could anywhere London ) . be right tube ( subway ) station , make incredibly easy get luggage Heathrow Airport . the hotel staff excellent really helpful - indeed speak time hold train ticket item journey . find mail , ticket luggage send ahead us short order - full point service . as people state , location hotel , Russell Square , close tube short walk Euston railway station incredibly close British Museum , excellent . course stay anywhere Central London , get around breeze . architecturally build quite magnificent outside . dominate sqaure , red stone exterior stand generally grey surrounding . there handy little bar / cafe park , stop beer snack first morning visit . the hotel quiet fairly clean . hotel characterful , lot character come 's tatty moth - eat interior . bar rather dingy desperately need makeover . room evidently recently upgrade sort misguided deco / moderne style . small room , en suite bathroom . bathroom relatively huge , comedy sort way . clear bedroom much large bathroom - evidently remodelle accommodate exiting dimension , plumbing , window etc . wonder room different proportion bathroom bedroom , huge sleeping area tiny bathroom etc . we not spend much time room , cramp nature not much affect we . get , change clothe , make phone call head straight one London Walks -I highly recommend want learn London get good brisk exercise ... beer . I like old - fashioned feeling hotel - spend hotel visit recent year american hotel , british approach refreshingly different . hotel obviously see well day , be pleasant enough . if like quirky , old - fashioned unusual hotel , recommend hotel . must american hotel standard , probably pay little money . 
 Dec 31 2006 	 average hotel dire restaurant ! 	 location : good central location , close Tube attraction . within congestion charge zone . outside : impressive frontage , clean . difficult pull car however , like many place London . hotel car park . lobby : impressive . clean . staff polite enough especially helpful . room : small , rather shabby decoration tear wallpaper . furniture rather rickety . carpet soft furnishing mark . window easy open / close . overall rather poor impression grubbiness - impressive central London 4 * hotel . restaurant : simple advice - use restaurant . meal bad send back , can not remember ever . Lamb dry actually impossible cut table knife . replacement average . expensive . overall , poor . go fiancee 's birthday - disappointment ! overall : good location , ok staff , slightly cold & amp ; shabby room terrible restaurant . would fine 2 * money , Russell know charge , would simply recommend traveller keep away ! 
 Dec 30 2006 	 Bad Day Bloomsbury 	 wife previously stay Hotel year ago , change ownership . stay one Art & amp ; tech room nice encounter major problem . this year , book Hotel one night B & amp ; b return holiday Moscow . although flight arrive less time , terrorist scare see chaos Heathrow occur stay Russia cause big delay luggage retrieval . finally arrive Paddington via Heathrow Express , discover Underground virtually shut , necessitating taxi journey Hotel . arrive Russell , naturally somewhat jaded , reception could find booking even though book month early anticipation trip . delay , find we room . ground floor room , acceptable somewhat shabby tired ( not think ' ve get round renovate ground floor ) .Breakfast next morning horrendous . People queue 20 minute buffet item run replenish quickly enough staff ( shortage staff restaurant busy ) . food finally arrive plate run point staff fact . duly bring plate , stone - cold ; ideal consider food terribly warm . bring food poor standard - greasy undercooked bacon , greasy fry egg taste old cooking fat . basic requisite service ignore - teaspoon coffee , condiment table etc . upon check , wife make strong complaint reception staff , whilst polite , seem reluctant divulge necessary contact information would enable we make formal write complaint . coincidence , whilst negotiation go , another couple come check . lady pair , whilst way abusive staff , absolutely incandescent standard ot breakfast - Q.E.D.Finally , give information need leave . wife write letter Hotel owner result offer free night promise procedure would review . we take offer month later occasion spend night London . room quality breakfast , whilst service improve , still largely inedible . in short , advice would ascertain quality room allocate avoid breakfast . take leave Hotel entrance take short walk along Southampton Row , find bar offer reasonably price , tasty buffet breakfast . 
 Dec 29 2006 	 poor value money 	 like majority writer lobby impressive , nevertheless call four star hotel joke , would rate max three star , room cold , carpet dirty , room service ' food ' poor indeed . tip : do not waste time money .C W Maloney 
 Dec 14 2006 	 standard room different size ... 	 stay Russell five night December 7th 12th . everyone else must agree entrance impressive , ofcourse location great , really , ` pretty much hotel offer . ` read early review big difference size standard room hotel get small room pretty darkish colours backyardview ask get big room , also read & quot ; hotels.com & quot ; separate bathtub shower standard room fridge available request . talk three young , confused staff member talk woman tell thing bathroom separate bathtub shower , also claim standard room exactly size . ask ; exactly size ? say yes , exactly size . understand room ` get one , ask room fridge , hope maybe room least well one way . standardroom available fridge next morning , accept stay first room . pretty surprised open door new room , much big ! ! view main street pretty light beige colour ... really believe hotel , include , put one poor room first , see complain , ` move ... complain , value money ! thing worth mention hotel : long line breakfast , choise bread meat drink breakfast never cold . 
 Dec 12 2006 	 average hotel impressive building good location 	 find hotel impressive outside lobby . 's old building dominate Russel Square . the room big decent size , clean bed comfortable . shower powerful find everything good enough even though nothing amazing . the tv work well . channel fuzzy whilst other completely miss . film demand cost whop £ 9.95 ( price brand new dvd ) not bother . also make quick phone call cost £ 3.50 ! area feel safe front hotel actual Square , street side although alright look bit unsafe walk late night . people hang tube station Tesco Express supermarket . old style window bit noisy bad could not sleep . it be still safe hotel 's problem stay . would not take Underground 9 pm 10 pm 's quite small station would not feel safe own . which bring location hotel : price good location 1min walk Underground . take piccadily line Russel Square station , go one station South West Central Line , couple stop away Oxford Street West be shop , Bank East be business . everything easy reach . there Tesco nearby couple basic restaurant need eat away hotel would recommend . find food hotel average . also expensive hardly get anything eat plate . find leave restaurant hungry . the breakfast not much well ' m afraid . bread croissant bite hard every morning feel make artificially several day . not get start coffee . end drank orange juice . would say food real downside hotel . the staff helpful , except restaurant service slow sub - standard . seat table old plate waiting take away despite fact not busy . wait age not get apology ask want drink paper ( ) . end take away table clean . bottom line : not fool impressive building expect posh hotel . be nice enough , far luxury , price justify excellent location amazing feature . I lucky enough get special rate one . would go back find another cheap deal decent convenient , try find something else . 
 Dec 7 2006 	 Impressive Entrance Substandard Service 	 book non smoking room non available arrival , put smoking room air conditioner do not work . key card fail work return late first night cause we go back lobby get new one . breakfast morning bland ask several time toast coffee restaurant be not even busy . partner discover hair food , get waiter take away , return plate , food except clean spot pick hair plate ! iron room something melt discover use shirt ruin . we complain level service recieve hotel stay , departure customer relation manager speak we offer we compensation shirt upgrade anything want stay , would confirm we write . the & quot ; customer relation & quot ; manager fail get touch we , fail reply phone call email . I still purse matter price pay far well cheap hotel stay London . 
 Dec 5 2006 	 Perfect location 	 spend weekend Russell Hotel London . arrive early , noon . prepared stow bag hour tell room already available . fifth floor , twin room nice . locate around corner Russell Square tube station mean location perfect . 2 stp Covent Garden 1 king Cross . Wish have phone check offer theatre dine ticket available show start £ 27.50 . price include upper circle ticket 2 course meal hotel resturant . for fiver get well seat . even top show offer £ 79 include dinner . I would recommend hotel anyone prepare pay middle road price . 
 Dec 1 2006 	 total disappointment ! 	 place unfortunately manage screw many level can not imagine ever go back ! show , long line fully staff reception really difficulty keep . could understand one person , 5 seperate people man reception still take forever . front , see whole group reservation disappear start argue reception . long story short , come turn , also receive reservation even though confirmation . matter much searching , could not find system not really care & quot ; help & quot ; . hence , book room rack rate turn somewhere around € 450 per night . late could not get anyone office send copy confirmation not walk street walk - in another hotel road 15 hour . able provide confirmation follow morning get rate book pain $ $ evening stay ruin right start . room small loud . second floor face street could hear every car come well doing hallway ...... sound proof ? ? ? , amenity room . not even mini - bar ............ want tell place worth € 450 night ? ? ? ? ? ? know one book rate 's utterly ridiculous . , breakfast horrible . barely selection , service rude could not bother food taste nothing & quot ; bland & quot ; . know typical London hotel poor food sub - par even London standard . summary , much well without much effort London ! 
 Nov 30 2006 	 Top Notch Russell 	 hotel definitely one must stay . little worried old , might historically correct , would guest friendly , great mix . entry hotel wonderfull , greate grand staircase walk let know stay someplace bit rest . staff friendly helpful . room bit small side , nice clean . in - room safe make easy leave thing behind . access subway great . small grocery store within half block , get sandwich drink make tour london lot cheeper . 
 Nov 29 2006 	 one good area 	 recently stay one revamp room decor exceptional . staff friendly remember say pal visting send swiftly . breakfast ok though tend get busy queue unacceptable price . clean hotel . 
 Nov 16 2006 	 Elegant Hotel Good Value 	 stay hotel 2 night November 2006 weekend . the position excellent , right next tube station , one stop king cross 3 stop action Piccadilly Circus , Leicester Square Covent Gardens . there useful 24 hour Tesco Express nearby shop , bar etc . the hotel grand especially bar lobby . & quot ; full english & quot ; breakfast quite sufficent buffet style . the room fairly small however modern comfortable include iron , safe , sky tv tea / coffee make facility . overall would recommend hotel comfortable well position . question please feel free e - mail : markhustwit @ hotmail.co.uk 
