word 	 stay TMA one night Sunday 29th November business trip . ' ve use , satisfied , Thistle hotel previously different . check - in , fair courteous reasonably quick , tell upgrade cost superior room - jolly good . jolly arrive room . although undeniably large , include seat area sofa , room scruffy long overdue refurbishment . arrive 9 - 15 p.m. ( later would hope ) leave first thing next morning , have reject . several place wallpaper lifting seam ; considerable stain decor ceiling adjacent , lead , aircon unit ; bathroom tired apparent defect appalling state principal table , wardrobe , slightly less degree , bedside table . chip , stained , damage visually dreadful . main table fit firewood . also , bizarrely , tv could not orientate viewable bed . want watch , sofa nothing . ( mattress bed ludicrously soft , hey , maybe 's ) .It explain room & quot ; much , much well & quot ; room would book ... would not want see one ! breakfast ok ... , staff restaurant friendly efficient , check clerk . there way 4 star hotel - charge £ 148 room breakfast excessive poor experience . staff markedly well infrastructure hotel - room border unacceptable ( call ) 4 star hotel high - profile chain . will not back hotel . ' m stay another Thistle hotel Liverpool 2 week time son - not deliver , Thistle forget custom . 
 need reconstruction 	 furring bathroom tap , wear room . 4 lift large hotel - wait away . unbelievable breakfast eat room - look like dining hall factory . 
 good value money upgrade 	 book standard room upon check offer upgrade wich first decline , however go room go back reception ask upgrade pay resonable amount must say difference room huge term size also state room , want bit comfort go upgrade 
 overprice poor service jade hotel 	 Location perfect early morning appointment American Embassy work visa . in aspect Thistle , Marble Arch never fail disappoint . check take forever , room shoddy date . dining room small size hotel , table cram together . breakfast like rugby scrum , walk around circle try find table not use store dirty dish . ridiculously overprice , exist 's location , pay internet ! ! ! ! 
 Nov 1 2006 	 bad 	 large hotel face busy Oxford Street . I Executive Room fifth floor face internal void . room ok , fairly chintzy furnishing , good size central London , bit tired fine . good bathroom , minibar bizzarely empty ( deliberately ) .pretty good London ( unless pay LOT , universally awful hotel ) . 
 Oct 27 2006 	 Marginal hotel 	 Visit start poorly . not receive connect room promise six day stay . tell connect room current room would available next day make . next day tell room not available length stay would make pack move . neither option good consider already unpacked family six . bath nice . location next Tube great . room decor little tired . room chair soil . get pretty good price Priceline . pay full price would extremely disappoint . 
 Oct 23 2006 	 Good hotel 	 lovely stay Thistle Marble Arch . third time stay . large hotel nicely decorate . nice room keep clean . bathroom fine although bath burn mark near plughole . fitting good quality could done update . room second floor look towards square middle hotel . nice view quiet . meal restaurant one night also food bar come back show 11.30pm lovely . food room service previous stay lovely . staff friendly helpful . hotel keep luggage last day flight night arrrange taxi we . , good hotel stay visit London central , good food , nice room friendly efficient staff . 
 Oct 21 2006 	 Impressed 	 stay hotel time ago , not fill feel trepidation normally get company book Thistle . one class two place show . I book room first floor , right corner Bryanston Street Quebec Street bit hike go back forth reception / bar / entrance slight gripe have . the room immaculate , roomy well furnish nice clean bathroom look fresh . carpet hallway lead believe recently lay down . the building 30 be build ' ugly architecture ' bulde occupie complete block 2 minute walk Oxford Street Marble Arch tube . also next Hyde Park Park Lane conveniently place shop , restaurant amenity . the bar pack night full Americans Russians main . although never eat restaurant evening ( company policy ) , take breakfast day find good standard . continental breakfast include room rate extra £ 4 upgrade ' full English' . the staff extremely friendly efficient speak excellent english pleasant contrast uninterested staff sometimes encounter . mind , money would struggle raise smile guest deal with . all , find excellent hotel everything would want , convenient location . one small drawback , reception first floor one escalator go permanently . take stair although sur ethere lift somewhere . 
 Oct 11 2006 	 great hotel price right ! 	 good cheap hotel . got great rate ( 60USD ) priceline.com number different visit London . convenient tube stop close park . room fine ( bit worn , clean nice ) . bed little thin ( i.e . much cushioning ) sleep perfectly fine . hotel offer upgrade base priceline rate $ 25- $ 100 extra never take . bar hotel fine , reasonable food drink . want London budget definitely stay hotel , get nice - decent property great location superb price . 
 Oct 8 2006 	 need update great location 	 love Thistle chain hotel disappointment . service location terrific ! marble Arch tube stop around corner , Bond Street stop block away . 10 minute walk Oxford Circus ton shop eatery vicinity . they middle update room hotel , unfortunately end old room . upgrade large room Oxford Street side , great view surprisingly quiet even street . however , quite walk lobby lift . room not bad - typical old thistle - bed quite uncomfortable . hard could feel spring . hopefully room schedule refurbishment near future . 
 Oct 7 2006 	 Great Location 	 group we ( approx . 12 ) stay January . idea indulge retail therapy catch show . hotel ideally locate exercise , right Oxford Street . location great . we 6 room book everything fine last night . room , large adequate serve purpose . last night teenage son , share twin room another teenage boy , pull back cover get bed . sight meet disgusting . sheet stain body fluid . not little stain - really large one . understand somebody would put sheet bed - house maid seriously need eye test ! ! ! obviously , son disgust . kinda ruin night get housekeeping change sheet hour night . 
 Oct 5 2006 	 highly recommend 	 Loved hotel . great location . room temperature control nicely decorate . comfortable bed spacious bathroom . Porter pick suitcase within five minute call downstairs . three thing point : room long walk front desk ; lot tour group stay ; wall little thin ( may able hear neighbor loud ) .will definitely stay visit London future . 
 oct 4 2006 	 great front desk service 	 daughter fortunate find availability hotel due major problem encounter hotel stay . front desk clerk Lee extraordinarily helpful provide we room match need . even check room prior arrival , hotel , allow view room register . bad experience previous hotel , courtesy kindness really appreciate . the room quiet , nicely decorate , plenty space bedroom bathroom , air condition . wonderful 4 day get bad start family holiday . would absolutely recommend hotel anyone want attentive service , great amenity , ideal location Marble Arch , Oxford Street , tube system . rate bite high side , remember adage .... & quot ; get pay & quot ; . 
 Sep 19 2006 	 Great Location 	 location hotel great , right city centre . the room really nicely decorate large , seem well clean sock hang inside door handle ! breakfast good overnight / weekend stay fantastic place stay , lucky enough get room special offer also great value money , especially location . 
 Sep 6 2006 	 Great Hotel 	 second time hotel although like try new place , next trip London probably stay . can not beat location - right next Oxford Street shopping handle . even walk back hotel Covent Gardens . tube station close hotel do not like walk distance . breakfast fantastic - choice absoloutely everyone - cook breakfast cereal fruit . love bar - exhaust day shopping sight see peaceful place relax enjoy drink . 
 Aug 28 2006 	 Nice hotel 	 stay Thistle Marble Arch mid late August 2006 niece two occasion , get stay two different room . first time 7 night ( 7th floor ) 2nd two night ( 2nd floor ) . handy Marble Arch Tube station , shop ( Selfridges Dept . store , Marks & amp ; Spencer ) , etc . ask non - smoking , inside room , face courtyard , face Oxford St. noisy busy lot people traffic . room air conditionning , safe valuable , tiny fridge . bathroom fine . furnishing decoration also . everything clean , service good . breakfast include . two nice dining room buffet style breakast - excellent . something old traveller may appreciate fact lobby 1st floor escalator go . want go stair go ground level . 3 4 elevator work . large hotel ( 8 floor , approx . 600 room ) long corridor . lot walk . door room make quite noise close . somthe use type bedding use . fit sheet flat sheet . use comforter fit kind big pillow case . bit warm . understand , book family mainly 7th 8th floor , kid run yell corridor 7th floor could hear quite clearly . everything consider , satisfied hotel service . 
 Aug 24 2006 	 Thistle Group bad marble Arch Thistle good 	 Thistle , Marble Arch well position , staff helpful room comfortable . however , look something english place . not think come across single english staff member place run north american style . our problem Thistle Group . book 4 people baby Thistle , Lancaster Gate . chance call day due arrive inform we hotel sell arbitrarily move Thistle Euston . refuse option , end suite Marble Arch . try get acknowledgement can not thing like without tell we prove three day head bang frustration . fair , Guest Services , Marble Arch , finally apologise give we generous rate break . a word caution - use laundry service . think minimal amount laundry cost we two hundred pound . could go Marks Spencers replace lot less money . all , laundry except , bad value stay Thistle keep head . also see comment Thistle Heathrow . 
 Aug 24 2006 	 really good hotel London 	 stay hotel 4 nite London , Hotel really nice clean , staff really helpful enjoyable talk .. give cafe lobby miss coffee really expensive be not good , breakfast part room rate , Buffet breakfast die , anything want , wether hot breakfast ( Eggs , bacon , sausage even hash brown ) beagel , crossiant ceral much want ... ( cuz u save buy expensive food .. stay 4th floor really good , could not hear anything .. thing shower pressure , be not much .. hairdyer ( bolt draw desk ) decide die halfway dry hair , little complaint house keeping , maintence man came instal new . would hottest maintence man ever ... move jesse metcalf ... beleive lady break something ... u will happy .. room size be not crash hot , expect heart city street away oxford st , good shop ever .... will defently back , real soon , hotel ripper 
 Aug 22 2006 	 nice hotel close everything 	 recently stay Thistle Marble Arch last May find nice hotel great deal ( book Priceline surprised get nice hotel ) . review mixed site , find Thistle provide we good 's night sleep clean , typically british room looooong 11 - hour flight Johannesburg make way North America . arrive around 11:00 morning get flight get around 6:30 . feel well , decide would nice rest real bed night . check - in clerk young , friendly woman give we room right away . not think fully book since hotel stay dead fairly quiet 700 - room hotel . mention Priceline room & quot ; prepaid & quot ; . inquire want double non - smoking fine we . end 2nd floor quiet inner court room ( believe , avoid dreaded room overlook street lot reviewer mentionne ) . room fairly large , especially London , large hotel room get similar caliber hotel North America . clean although carpet wallpaper show sign wear tear . everything work good repair though except safe ( night not really matter ) . need A / c heat can not comment . loved towel heater bathroom ! british love ! would call bathroom luxurious , nice granite countertop clean clean hotel bathroom get . seems certainly redo recently . surprisingly , unlike reviewer , bed opposite : hard , quite concrete - like close . like firm bed be treat . still sleep well though use nice white duvet cushion . phone call beware ! outrageously price . call outside hotel phone booth , even cheap ! location central Marble Arch tube stop opposite hotel 's lobby entrance . lot shop restaurant within walking distance . basically , good hotel good , clean room could use revamp nothing major . much contact staff speak check we polite . price London , 's bargain , understand customer book directly Thistle not get good deal , Priceline hard beat quality . would reccomend return . 
 Aug 13 2006 	 many Fire Alarms - too Much confusion 	 hotel wonderful location great buffet breakfast . need well job training staff however . arrive prepaid travel voucher reservation number tell room we . front desk staff even try tell we wrong hotel ! not work we however ninth trip London know exactly . finally , long camp hotel 's lobby , give room . spend eight night hotel experience four fire alarm . staff seem confused uncertain unable give direction answer question . tough get good night 's sleep wait next time alarm would go would expect rush stair dark , wet street . time fix fire alarm train staff , would say ! 
 Aug 10 2006 	 great hotel 	 Excellent hotel - great location shopping sightseeing , friendly staff great food . would highly recommend certainly return . 
 Aug 10 2006 	 love 	 ( & amp ; three friend ) recently stay Thistle marble Arch . early twenty & amp ; absolutely love hotel ! room reasonably sized , clean & amp ; fantastic staff , location amazing ! stay long weekend ; clothe shop footstep away hotel , tube station around corner & amp ; Leicester square ( club , cinema & amp ; bar locate ) 20mins walk away 10 min cab drive . come London bit shopping , bit sight seeing & amp ; experience London 's night life . hotel fantastic base thing . could soak London 's atmosphere right door step hotel - great location & amp ; equally good value hotel . will definitely stay future ! 
 Aug 6 2006 	 Great Hotel 	 stay Thistle Marble Arch three night mid - July . problem . young female city . find get around extremely easy never feel unsafe . overall hotel fine . problem . room good size . small american hotel . apparently get first floor stair though , elevator go street level . old guest may issue . take time get room elevator , long hallway , okay . do not mind walk . room overlook Oxford Street love . could hear street much time okay big city expect hear noise ! eat restaurant hotel speak quality . choose outside eatery buy food Marks Spencers grocery block away . use website frequently determine would stay London . bad review , glad choose hotel . other say , perfect location reasonably price . close tube great . would definitely stay hope soon . fall love London . 
 Jul 27 2006 	 LOVED ! would go back ! 	 get back one week stay Marble Arch . greaet hotel great location . underground station right around corner shopping accessible ! marble Arch London ( Hyde Park ) also tour bus stop . hotel air conditioning ( lot ) stay heat wave air conditioning come handy ! bed comfortable pillow room good size . thing use ( state ) smoking . lot room smoking room people allow smoke lobby basically everywhere . New York State , mostly no - smoking area use . manage get non - smoking room though . also , think odd bathroom half shower door shower curtain bathroom floor would get soak . know move shower head happen , tall needed outward . , stay wonderful ! concergie happy serve we hotel room clean nice . good stay would definitely use Thistle Marble Arch ! 
 Jul 20 2006 	 ok 	 take wife 3 kid ( 11,17,21 ) 8 night . booked package thru American Airlines . two room - executive double triple kid . exec double , issue mention - soft bed noise Oxford street . , room excellent - well maintain , 115v outlet ( curiously mention web site ) , air conditioning work well heat wave mid - July . the AC triple work , front desk give we another room little hassle point . new room workig AC , also ( ) soft bed faint , unidentifiable odor . one interior room quiet . the exercise room bit cramp , equipment good shape everything work well . could not get room phone work one time try ( local ) call - use pay phone lobby . Breakfast ( include package ) fine , altho times seat table sun quite toasty ( curtain not close room ) thing milk orange juice seem constantly run out . location wonderful - next Hyde Park , close tube station , many place eat shop nearby . , would stay . 
 Jul 12 2006 	 Weekend Thistle Marble Arch 	 stay weekend June . stay book thistle hotel website fair price obtain . hotel good location begin Oxford Street . stay several time pleased . ask quiet room give one face Portman Street . noisy room . go reception immediately give inside face room . rule thumb : avoid room face Portman Street Oxford Street . ask room face two quiet street even well inside room . two main standard room . large fridge , safe air - conditioning . picture probably high standard room . breakfast good , restaurant hot uncomfortable stay June . buy food Marks Spencer store fridge . porter staff friendly . nice pub 50 meter right across Portman Street . guy pub Quebec Street . normally doorman inform special pub . many shop restaurant Superdrug , Boots , Kentucky Fried Chicken , Marks & amp ; Spencer McDonald nearby . taxi stand outside entrance bus London Oxford Street . good foot shoe walk many attraction . Mr Moen Sandnes Norway 
 Jul 8 2006 	 big busy 	 stay one night business . pleased upgrade ' executive room ' fine - enough room spacious , clean bathroom overlook rather dismal lightwell . my main problem hotel sheer size , apparent breakfast table set right lobby accommodate everyone . be look somewhere intimite will receive personal service not . location can not fault dby London standard 's good value . 
 Jul 4 2006 	 want bed long flight pre-2pm forget ! 	 arrive Thistle Marble Arch excellent central location around 8 am morning get 22hr flight Australia . phone Thistle Australia request non - smoking room make available arrival give length flight invariably need bed rest assure room would available check - in ! arrival case . inform non - smoking room available could take smoking room like least 12 pm . leave bag cloakroom proceed spend morning London waiting room available return 12 pm ( like zombie ! ) inform room would available 2 pm wait lobby 2 pm room available point make scene ask speak Manager never appear , provide non - smoking room . room give ok nothing flash . bed need desperately . would return hotel ? - never . service reception hopeless frankly appear staff could not give damn customer , travel prior arrangement organise . beware hotel central however staff not appear customer relationship management training . front desk disorganise . obviously not require repeat custom central location maybe not need ... 
 Jun 30 2006 	 not stay be Part Large Group 	 check - in slow give wrong room . need single room give double vice versa . hotel check - in staff unprepared arrival . seem though not know large group ( 26 people ) come . other , everything great . clean room , air conditioning , great location offer here . I would stay , part large group . 
 Jun 30 2006 	 LOVED hotel ! ! ! 	 stay 10 night end June 2006 ( thank Priceline ) . rec have large room end build beautiful . hear ' next door neighbor ' night , tired go right sleep . drawback l ooooooo ng walk elevator stair . lucky stay 3rd floor take stair not problem . thought bed comfy , plenty closet / drawer space , mini fridge , coffee / tea , air con , huge bathroom , window could open want . Marble Arch tube central line close , Bond Street short walk Oxford ( make left get street ) Jubilee . Hope get place next time try Priceline ! ! 
 Jun 29 2006 	 Noisy Hotel uncomfortable bed 	 hotel good location great look lobby . also offer wonderful buffet breakfast . although hotel appear nice major flaw . hotel need well insulate room door . close really loud . bed uncomfortable . bed sleep slant much roll night . give try stay bed sleep floor . 
 Jun 25 2006 	 Pleasant Stay Convenient Location 	 stay Thistle Marble Arch May 2006 please . locate 1 block behind Oxford Street convenient tube , bus Oxford street shopping . also close Hyde Park . passport steal room another hotel ( Marriott Maida Vale ) , hotel close American Embassy . service good , room comfortable clean . get good rate Priceline [ - ] ( usd 100 ) . 
 Jun 11 2006 	 Nice Place 	 stay 5 night friend ( twin room ) 4th floor face street . little noisy bus , problem sleep . room clean , comfortable include table 2 chair , desk another chair , large wardrobe press , iron , iron board . location great ... Oxford street ton shop many restaurant . bond street tube short walk away ( ton pub restaurant ) , Marble Arch tube short walk direction . problem get around town tube bus . problem complaint stay . room always clean return nothing place . would stay . 
 May 29 2006 	 lovely time would stay 	 room : see picture . give room 6th floor , noisy , face inside ac / unit area street . bed fine comfy . room big enough London ( stay MUCH small ! ) . furnishing date plesant . loved little couch could sit talk eat . fridge unfortuantely break ( call downstairs tell break .... , could ? ) . bathroom nice toiletry lemony / citrus refreshing . location : wonderful location , 3 minute walk Marble Arch Tube connect lot different place . 5 minute walk many bus stop . seem like everywhere want go easily access location . & amp ; right Oxford street grocery type food . plenty fast food ( McD 's , Pret Manger , KFC ) resturaunt . Hyde Park block way . Oxford shop right . wonderful location , wish stay entire stay . Hotel Staff : check easy get check early . upon enter bell hop take bag bag check decide lug bag stair check instead wait bring we . ( tip , want avoid pay someone take bag elevator ground floor first floor - where check . not use stair like . ) concierge great ! always someone duty need ( sometimes 2 not wait ) , give clear instruction ( could figure difference british english american english ) , map , everything need . also ' theater ' concierge helped make theater arrangement guess , though not use service ( concierge 2nd hotel leave day 5 pm figure theater plan ) .hotel : not much area hotel say general feel beautiful classy looking . not know pricing get great deal priceline . problem security , not leave valuable room ( duh ! ) . although safe available ( though small ) would like leave thing room . also able leave luggage check sightseeing . overall pleasing visit would definately stay ! 
 may 25 2006 	 laptop steal ! ! ! 	 choose Thistle recommend never realise bad experience life . laptop steal , right room ! ! rest thing leave intact . clearly , 's insider job ! ! ! else , anyone get room ? ! staff hotel reluctant help not give much comfort not anything except ask make police report . not anything make feel well . ' m going take legal action hotel provide minimum security . be steal room , compensation . please not stay Thistle . 
 May 20 2006 	 Wonderful Hotel 	 get 12 night stay US $ 53 per night - get Priceline . problem check - in , polite staff , question Priceline question upgrade . room big London standard , nice big fluffy towel powerful hot water . bed comfortable . room long walk lift , real problem . location superb - London many time well locate hotel ' ve ever . staff helpful top - grade . concierge knowledgable - two clef d'Or . definitely stay give chance - especially $ 53 / night priceline . 
 may 15 2006 	 fine - problem good overall 	 Stayed Thistle Marble Arch one night weekend find fine - issue room rate sort nice guy reception . need sort queue check , be far long cabin crew skip top - TOTALLY unfair . my room 6th floor , clean quiet - find irish hotel much noisy Saturday night . aircon work , shower old water hot complaint room . consierge helpful though find we taxi try charge 6 we £ 28 go 4 mile road - needless say get 2 black cab instead cost we £ 6 per cab . the location great , would stay . 
 May 14 2006 	 perfectly adequate 	 partner stay Marble Arch Thistle twice last three week . room tour company travel , not know exactly room cost . decor & quot ; candid photo & quot ; site show : perfectly nice luxe . everything bathroom work well bed sufficiently comfortable , though pillow decidedly insufficient . ( luckily always take smallish pillow travel ; nothing ruin sleep like bad pillow ! ) be true 's escalator go front entrance lobby floor ( long flight step go ) elevator near reception desk haul one 's luggage street . primary complaint arrive second stay , end tour Britain , specifically ask desk clerk room give we quiet room ( inner quad : peace - n - quiet .... ) , noisy room ( street : Yikes ! ) . look diagram , look eye smile , tell quiet one . well , know be come : screamingly noisy one right chaotic London street ! however , hotel conveniently locate , Marble Arch Tube station ( Central Line ) block away . include English breakfast buffet generous delicious . advise hotel sprawl entire city block : humongous ! room near one set 4 elevator walk literally way around block get room . 
 May 13 2006 	 good value 	 get $ 53 plus tax priceline . great location , king size bed , large bathwith tile floor . would read bed comfortable , go Wal - mart andbought foam bed cushion $ 15 . great low price solution . I would gladly stay . right Mark Spencer Sainsbury ' quick breakfast stuff put fridge . great bus shop OxfordStreet . friendly staff arrogance Priceline . 
 May 9 2006 	 uncomfortable bed 	 bed need replace ; feel spring bed . think room , since reserve Priceline , find guest opinion . conflict information check - in . usual check - in time 2:00 , tell we come back noon . arrive , room not ready . inconvenient since hurry back end wait lobby 2 hour . 
 Apr 30 2006 	 never go upgrade 	 change & quot ; upgrade & quot ; deal 20 pound per night per room hefty 55 pound per night per room , nominally add & quot ; business lounge & quot ; access free Internet , free snack free drink , well cocktail hour . lounge find snack , & quot ; finger food & quot ; promise book upgrade . staff reluctantly order finger food room service take half hour . food not bad , not think guest order finger food wait half hour finger food . there many many glitch upgrade . think use may reason upgrade disaster , one stupid add 55 pound night . two - star hotel give four - star service pay 55 pound . illusion stupid , see stupid , talk upgrade fiasco . having say , clean staff , porter , waitress maid nice ! white - collar staff , less friendly , less helpful . make think profound inequality injustice society . may stay hotel Priceline give incredible deal . never upgrade .... 
 Apr 30 2006 	 marvelous Marble Arch 	 Stayed end Feb begin March 5 nite . check smooth give room 7th floor . thrilled pay 77us plus tax priceline . away elevator prefer extremely quiet . view quad windows double glaze 's quiet . fridge empty ice machine right hall . bath great , towel rack must heat way ahead time , button leave bathroom door bottom . maid service perfect coffee toiletry replenish daily . ' ve stay thistle remember hear fire alarm . hear second first night never . enjoy hallway walk hall decor deco prints reminicent erte ' icart . would stay , drawback escalator cumbersome luggage . not give ' priceline ' raise brow ' ve experience hotel , think large part clientele priceline attitudude . 
 Apr 29 2006 	 good bad 	 break tradition exhaustively research vacation hotel book thistle Marble Arch play priceline game $ 95 night . 's large 8 story hotel situate 1 block away Underground Hyde Park . concierge , in - hotel restuarant cafe . nice KFC way Underground ( recommend even non - fast - food people ) walk Bond street great department store within 10 - 20 minute , 30 minute walk picadilly circus . page helpful prior travel . confirm 1 non - english - speak front desk person ( might much long ) often break elevator . frequent US traveler former hostel enthusiast , bit disappointed find tiny room , 5 tv channel , age upholstry thread fall , even tinier bathroom bath . yes , safe , thermostat wire internet access qualify hotel rating , everything feel like typical US motel . write typical & quot ; European & quot ; thing first day , find shower switch break ( put back work anyway ) . companion ( spend 40 % time road ) uncomfortable stained shower curtain . well , water give second day towards end shower . luckily , wash soap . could not get water faucet either . way , tell temporary water outage request change shower curtain . yes , encounter non - english speak person understand , could spell shower thing . , back forth colleague supervisor , decide switch room , room available point early afternoon . ( ok , maybe be easy change room curtain ) . check later evening . hotel overbooke room avilable . inquire possibility ( free 20pounds ) upgrade . look computer tell we since priceline booking , authority decide next morning . fire next morning detailed examination shower curtain . take photograph break shower switch , well 2 large blood stain white ( ? semen ) stain shower curtain . show photo manager well intention post photo internet , demand free upgrade put . really change shower curtain . upgrade we executive suite . suite like 4 star room . not feel comfortable Sheraton , proper hardware , shinny flashy furniture space comparable Sheraton room . toilet require three good pump get thing flow . light , stuff nice . be interesting will find comment card upgrade room regular room . thing 's maid clean good could tip way well pound day rate . realize two - tiere system run hotel . ( similar experience & quot ; reputable & quot ; hotel Brussels receive rave tourism board . ) perhaps give un - renovate old room reserve special price customer . however , dollar market rate 4 star . , would get three / four star reputable hotel like Holiday Inn , rather take chance Priceline . thin tube efficient enough stay district less money / more quality . get hotel cheap priceline , would highly highly recommend 20 pound upgrade . work hard , vacation valuable uncomfortable . keep ugly photo appreciation free upgrade . 
 Apr 28 2006 	 problem .. great deal price 	 pay $ 53 night four night Priceline , little worried wife would find . could not happy $ 53 room ! let we check early .. might something arrive Wednesday .. suspect place pack weekend . the room large , especially London . view .. 's big deal ... not come UK stare window . I can not comment food .. not eat hotel constantly go . McDonalds street Pret Manger cheap breakfast anyway . since room refrigerator , buy drink drugstore keep cool room . notice lot group eat restaurant . we second floor near end one & quot ; wing & quot ; , not big deal we . lift slow , use stair ! be healthy anyway . walk London , extra minute walk room not spoil trip . our bed fine .. problem go sleep stay asleep . location great .. near underground stop bus take anywhere want go . pay twice much room get half much . ever go back London pay way , would definitely stay . 
 Apr 24 2006 	 watch ! 	 Part group book hotel Norwegian Cruise Lines part pre - cruise stay sail Scandanavia . one group lock door other room range okay totally unacceptable . one party backpack steal underneath table cafe second floor hotel . wait file police report , two theft .. one another guest one gift shop . location tour fine , neighborhood sit make one feel quite uncomfortable . 
 Apr 21 2006 	 great Room Great Location 	 stay 5 night via last minute BA package booking ; fabulous room entire family -- suite like room two side two double bed ( # 845 ) - must big room place ! ( think one big one b / c check fire - escape map definitely 2x regular size ) little bit hike elevator ( 200 step exact ) well worth ! kind accomodate need check early b / c travel child 3 5 . housekeeping staff lovingly make bed day lovie streche pillow wait return . the kid love room breakfast -- definitely business hotel , family find comfortable generally good . would recommend eat restaurant side rather conference room a.m b - fast atmosphere nice . plus lot amenity ( sainsbury local , selfridge , etc ) close short walk tube station convenient . Sunday a.m. crowded day quite pleasant staff helpful even 2 jumpy child tow . day 2 , son throw right front restaurant hotel lobby , mortify , staff exceptionally helpful -- could see look horror face grin bear obvious tact grace ! b - fast good , not include package , probably would not induldge every day not exceptional ( must lack desire cream one coffee England b / c keep serve milk coffee ? ) room quiet , bathroom nice view not great , not look fantastic view , pleasant quiet room defintely get ! date fridge nice amenity we . I would highly recommend family traveller b / c fantastic location pleasant atmosphere . across street Hyde Park walk distance many thing , plus hop tube bus ( recommend # 15 sightseeing ) ride til be sick riding -- be 5 yr old want anyway ride train doubledecker bus . I recommend ask high room floor room ( 6 & amp ; 7 appear executive room ) welcome family relate London stay question . fabulous vacation thank thistle BA helpfulness . 
 Apr 18 2006 	 Location Price can not beat 	 take quick 2 day trip Paris London stay . location can not beat hotel right around corner Marble Arch tube station . not let outside hotel fool . inside hotel , lobby , breakfast room guest room lovely . book Priceline get great deal $ 122 per room taxis fee include ( breakfast include ) . London EXPENSIVE place visit glad able save money . 
 Apr 18 2006 	 would not stay 	 stay terrible , room need good cleaning redecorting , wall mark dirty , window fallling frame , wood hold rot view leave lot desire . we look quad room air conditioning system look like . travel UK know like United States . employee polite least bit helpful get we direction assist we . breakfast buffet nice selection half hot food cold put . would recommend hotel one tell travel agency problem . 
 Apr 12 2006 	 good location - average hotel 	 stay April 5 - 12 , 2006 . experience horror story , bit disappointing expect ' steal deal 4 - star ' actuality slightly rundown 3 star . PROS : check quick efficient . arrive around 10:00 A.M. fully expect return later day check . pleasantly surprised find room already available ( room 702 ) . particular room close lift quiet . unlike previous guest , not problem lift full service stay . opt standard room ( upgrade ) adequate . small , cramp . everything clean , show LOT wear tear . the concierge friendly helpful occasion ask direction information . staff general always pleasant professional . the common area 4 - star feel - plush comfortable . there & amp ; street sandwich , etc . addition load shop / restaurant within easy walk distance . near tube station Marble Arch , however Bond St. less 5 minute walk well . con : bed without exception single uncomfortable experience life . mattress rock hard . awake backache every single day . daughter even try sleep floor ( may actually soft ) dust ' other material ' prove even irritate rock hard mattress . the room item would expect 4 star hotel ( T.V. , phone , in - room safe , trouser press , shower w / tub , hair dryer ) , however worn need repair . example , bathroom looked run , chip porcelain miss grout shower . faucet sink position odd angle utterly useless ( water stream fall 1/2 inch edge ) . water pressure shower poor . room furnish general appear tired worn . absolutely storage . couple tiny drawer ( small hardback book ! ) bed 2 slightly large one dress table , none would hold couple set undergarment good . refrigerator , alarm clock 6 channel 25 pay - per - view T.V . entrance ( stair down / escalator ) become annoying long . lastly little voice lift ( door opening . door closing . door opening . door close . ugh . ) last seem nit - picky normally would agree . however , many ' little thing ' add case . price pay ( $ 60 usd per night via Priceline ) can not honesty say not get pay - room bed . & quot ; steal deal 4 - star & quot ; ? absolutely . would pay one penny room , would stay unless price considerably less . 
 Apr 12 2006 	 Priceline Great 	 back night London stay Thistle Marble Arch 4 child ! booked room thro ' priceline get room £ 59.00 . get ask could extra bed one room extra child change triple room extra charge . also check 11.30 . good . 
 Apr 8 2006 	 average good ... 	 get great deal Priceline , decide buy room upgrade ( 20 GBP per night , include breakfast ) .We feel ' upgrade ' room anything true upgrade . shower break , furniture chip tatty , one case , actually break . second day stay , garbage , include food , empty room clean . Yuck ! thing eventually address staff , stay / room / experience average well . would recommend hotel friend , would choose stay . obviously , many reviewer feel location make deficiency , disagree . lot true four - star hotel locate near convenient Tube stop , ' ve do much well past Priceline London . Thistle Marble Arch disappointment , definitely four - star property , even so - call ' upgrade ' room . 
 Apr 5 2006 	 Location everything 	 update hotel London location can not beat . one bedroom two twin bed . hotel one block subway , Hyde Park , Oxford Street ( major shopping district ) . hotel also locate one block bus take major london tourist site . breakfast , include British Airways package , avoid food , part , undercooked . staff professional . 
 Apr 4 2006 	 nice hotel great price 	 Thistle Hotel Marble Arch great hotel price . will not confuse Ritz anything like , good deal . I wife stay 3 night , March 23 - 26th , 2006 . hotel Marble Arch area , near shop easy access tube bus . the area feel safe casino right street . check easy , room decent size , decent shape . little bit street noise , typical urban hotel . my complaint noise speakers restaurant first floor . room room 210 , restaurant 1st floor , music play speaker come room , early late hour . stay , avoid 2nd floor fine . all , good value , decent 3 star hotel . food downstairs , price , hotel get 4 star , consider respectable 3 star hotel . also , may add , London clean , nice big city ever , people London courteous , helpful fashionable wife can not wait go back . food much well eveyone say . 
 Mar 30 2006 	 good Location overall good hotel 	 sister stay Thistle Marble Arch March 22nd March 28th . location excellent , block Marble Arch tube station . backside hotel Oxford street entrance hotel Bryanston St . store kind large department store drug grocery store short walk hotel . also , get cab problem usually one two park front hotel . as room , stay standard room two single bed . room average size london hotel room . room clean meet expectation . maid service good . hotel service responsive ( ask face towel , bring immediately problem various request wake - up call ) . complaint hotel charge us newspaper leave door . 
