gorgeous 	 Fairmont Mason St beautifully well maintain hotel long colourful history . room large comfortable fabulous city view . lobby fabulous photo story document hotel 's history fascinating . staff great . 
 enjoy stay 	 fairmont live expectation . good quality hotel , great room think good location . first visit San Fran think great area stay . close cable car , Union Square etc . the thing would say bed get bit old . soft friendly back ! still , enjoyable stay . 
 feel like royalty 	 hotel locate good part San Francisco easy access everything . cable car route within block . food fantastic restaurant well . decor make one feel special . 
 Mar 15 2008 	 happy return 	 return Fairmont 4th time 2 year love even possible . we travel extensively even Burj Al Arab Dubai , call good hotel world Fairmont different league view amazing . we love incredibly comfortable bed linen new tower , always suite quiet enjoy spectacular view . try stay high floor take away street noise . the restaurant could well staff superb many wonderful eating place hand not need eat in . a good tip - the restaurant Ritz Carlton hill world class ( price ) .Do not miss hotel San Francisco ! 
 Mar 8 2008 	 Loved ! 	 stunning hotel . stay 23rd floor tower , room lovely - comfortable bed huge bathroom . staff extremely friendly helpful , concierge particularly helpful restaurant recommendation travel planning . would recommend hotel anyone . 
 Mar 2 2008 	 pretty nice ... 	 stay Fairmont 4 night . one corner room new tower section . pay $ 290 night . overall , wonderful experience . my room sweeping view bay Coit Tower one side Bay Bridge . sweeping view , ask room new tower end & quot ; 9 & quot ; ( Rm . 69 , 79 , 89 , 99 , etc . higher well ) . be stay old historical part hotel , make sure ask exterior room one face courtyard . course high floor well otherwise , prepare endure street noise especially cable car run past midnight ! room decor traditional expect historical hotel . room well - equip internet access , flat screen tv , iron , etc . lobby , conference room , public area around hotel beautiful , well - maintain , full historical photo art piece ; worth look . hotel staff part low - key polite responsive engage . helpful professional . hotel restaurant serve good meal expensive dine restaurant step outside hotel plenty wonderful unique restaurant explore . coffee shop floor two lobby level , want quick cup coffee pastry . Tonga Room restaurant hotel interesting , kitschy place worth peek drink two . overall , would recommend hotel want ( afford ) indulge bit celebrate special occasion San Francisco . 's expensive hotel spite pay room , ' luxurious hotel expect . feel like pay mostly hotel address , brag right say , & quot ; stay Fairmont . & quot ; : - ) people , ' reason enough stay expensive hotel . be look value money intimate , personal hotel experience , hotel . large albeit luxurious hotel . ' feel pamper ' surround perceive trapping luxury . choose hotel reason , will not disappoint . 
 Feb 25 2008 	 overall nice stay -- Major Security Problem 	 Fairmont last three hotel stay recent trip Napa San Francisco . overall impression good , although major problem not happen . first , good . room 1801 , right elevator 18th floor wonderful view Golden Gate Bridge , Alcatraz , Coit Tower . close elevator somewhat concerned noise , fear unfounded . room overall clean , although duvet tear -- something housekeep easily notice take service repair . minibar well stock , bathroom toiletry , however one robe two hung . bed comfortable Frette sheet , large flat screen LCD TV . bad -- second day return day sightseeing find door room leave ajar housekeeping . fortunately lock valuable large safe , unsettling know anyone happen could walk room take anything want . front desk call member hotel security staff dispatch read record automatic door lock could determine leave door open . feel hotel offer small something token apology -- sweet leave room dinner , couple cocktail one lounge -- ' ve compe far far less serious issue hotel without ask . unfortunately hotel offer apology inconvenience . the hotel bend backwards become incredibly ill final day , offer send doctor extend checkout late evening redeye home . nice stay , would return . 
 Feb 23 2008 	 beautiful 	 say minute walk hotel amazed feel luxurious . love service moment husband arrive two child . family Thanksgiving stay one bedroom suite amazing view great bathroom . thing love although high - end crowd people travel child not get frustrated sit snack . many wonderful thing say staff , really enter hotel experience feel like special place . also , child front , little park across street child love ... mention trolley ride enjoy . we return ! 
 Feb 18 2008 	 great hotel thin wall 	 Fairmont first class hotel . attend need guest grace good humor . learn hard way : first night old part hotel mar incredibly loud noise guest side room ; not sleep much . light sleeper , beware : ask room new ( expensive ) wing . morning speak reception . extremely apologetic say hotel fully book would see could . . return end day , discover place one good room house , 22nd floor ( new wing ) , overlook city bay . needless say , sleep fine night . definitely return , ask quiet room next time ! 
 Feb 13 2008 	 place history 	 stay last week four day grande old lady hotel wow factor enter main reception area , stay tower wing overlook bay nice large clean room mod con , laurel bar area also nice thank brill staff area hotel history real pleasure view stay one remember many year come congrat staff keep like alan billington 
 Feb 11 2008 	 wonderful Fairmont Hotel 	 since live San Francisco decade , take experience overnight stay Fairmont . wonderful , regal hotel gorgeous view , beautiful room superb location . turn car valet not give another thought departure . destination reach foot , cable car run along side hotel , taxi abound . stay new section ( believe ) 26th floor also old section 3rd floor . old room large beautiful molding high cieling . local view still observe high air since hotel perch tip - top Knob Hill view new , small room like window airplane . Tonga Room , within bowel hotel , miss . feature fabulous tropical drink , dancing & quot ; hurricane bar & quot ; attract san franciscan society well tourist near far . 
 Feb 5 2008 	 Experience Grandeur Bygone era 	 boyfriend escape Fairmont San Francisco weekend romantic getaway . hand - down nice hotel ' ve ever stay . build spectacularly beautiful well - maintain . fairmont not suffer peel wallpaper dingy carpet common historic hotel . delighted & quot ; Fairmont Exterior Room & quot ; , 5th floor main building splendid view Coit Tower Bay beyond . bedroom spacious airy , high ceiling massive walk - in closet . furniture beautiful sturdy , unlike particle - board hotel furniture , feel real . bathroom splendid combination peach marble striped wallpaper , black marble sink ornate mirror . not bring car ( read $ 50 / day parking fee ) get around town ease . Union Square block hill source endless entertainment . want go afield , hop cab jump cable car run directly behind hotel . we enjoy everything stay Fairmont San Francisco definitely return . 
 Jan 25 2008 	 clearly one good 	 recent stay Fairmont third approximately 30 year . young child travel family remember watch Michael Douglas Karl Malden film Streets San Francisco hotel lobby . recall ornate , classic lobby stately room . hotel clearly elite class . 12 year ago return wife likewise throughly enjoy stay . time return wife daughter , find hotel first rate . hotel top Nob Hill right Powell street cable car line . neighborhood great location even well . nothing say negative hotel . staff courteous upon check . room request available , without request , offer different upgrade room charge . parking attendant quick efficient . room clean extremely comfortable . especially look forward comfortable bed fail . large flat screen television plus . lastly , room rate include buffet breakfast , pricey , outstanding . , hotel visit San Francisco . 
 Jan 21 2008 	 Super elegant maintenance questionable 	 stay hotel week . hotel elegant majestic . upon arrival assign room main ( original ) building . wonderful big room satin linen gold color trim european ( square ) pillow . marble bathroom , huge early 20th century closet necessary amenity expect hotel stature . however , hangers bathrobes hang neglect empty . settle , soon find use toothpick coffee table hotel magazine . toilet flush maintenance man came explain could fix easily transfer room tower . tower room though large charm main building type linen pillow big size closet . view bay , Alcatraz , SF surround hill magnificent . furniture seem room ever since tower build needed make . air - conditioning function service man come exchange filter . the 42 & quot ; plasma tv limited number channel foreign channel english language . although towel finely starch white cotton linen change daily , bathroom definitely clean properly . bath tub toilet well marble floor visible dirt remove unless maintenance call specifically request . bobby pin find floor room day arrive , remain throughout visit . obviously , vaccuming do , happen furniture main traffic area room . window oily nose finger mark inside clean stay , outer side window dirty well . a beautiful hotel , maintenance way par . 
 Jan 21 2008 	 beautiful hotel ! 	 recently spend one night Fairmont . great beautiful hotel . stay tower view great . request stay side face pier . side offer good view , one side see Bridge , Alcatraz , etc . room large nice . bed comfortable , headboard seem place less expensive item room . bathroom , nice . large marble everywhere . towel rough sandpaper like . we issue air conditioning working keep room cold like , not bother call . breakfast buffet hotel great ! overall - great place stay ! 
 Jan 20 2008 	 Lovely Weekend 	 husband spend four night Fairmont San Francisco last weekend . fabulous weekend hotel add wonderful weekend . hotel beautiful lobby remind one grand hotel year long past . not make like . check superb . President 's Club member may add perfect service hope everyone experience friendly , helpful welcome receive . room 19th floor overlook bay . view upper floor overlook bay great get city . room nice size comfortable bed nice sit area nice working desk . , someone else mention , miss tea make facility room . not even think get tea send room . bad . the location hotel well . tip share take cable car Powell Market , 65 , buy month pass city transportation $ 10 green kiosk right cable car turning platform . also two three day pass monthly senior pass good buy . not even ask identification card . Drats ! 4 day San Francisco could cable car , bus , trolley , surface rail car $ 20 total we . use form transport go far wide find service excellent . , Fairmont perfectly locate use public transit service full . couple thing come expectation comment Satisfaction Form fill leave front desk departure . housekeeping service top notch . every morning would leave room would dish sit outside room hallway . come back hotel evening dish still hall full day 's worth dish add . not know responsibility housekeeping food service find objectionable . point front desk twice dish pick shortly thereafter next day . , dirty glass room remove clean glass put room day . call housekeeping say clean glass bathroom , gentleman bring one glass we . not bother send back another one share one clean glass give two dirty glass still beside door . ( try leave dirty glass room set hall - neither plan result clean glass room . ) chocolate pillow evening , fresh flower fruit room check . rather standard first class hotel Four Seasons , Peninsula . price fairmont similar top hotel little extra hotel provide not part Fairmont experience . say , let tell San Fran birthday come check . come evening spending afternoon walk around China Town find chocolate cover strawberry bottle champagne hotel . think brilliant ! First Class , Top Drawer . first last stay hotel . would stay another hotel San Francisco like many thing hotel . location , quite good breakfast buffet , wonderful hall line historical picture general feel hotel . would overlook small deficiency like hotel much would recommend anyone go San Francisco especially someone go first visit city . 
 Jan 20 2008 	 will not well ! ! 	 well ! ! stay four night October , book exterior view ' get upgrade ' on arrival . we tower spectacular view harbour , Golden Gate bridge Alcatraz . Room fabulous , amazingly comfortable bed . everything provide high standard ( though thing miss tea / coffeee make facility room , order morning tea via room service every day excellent couple afternoon tea ( reasonable £ 6 two . ) lobby place amazing opulent , .The staff helpful courteous 's fascinating place stay historical point view . very easy get Union square tram stop outside . we eat Tonga room ( happy hour buffet ) experience miss morning cofffee Laurel Court restaurant . ' go ' stay San Francisco place stay ! loved hope return day 
 Jan 18 2008 	 room need Sound Proofing - I get sleep 	 recently stay hotel January business . room call & quot ; historic & quot ; wing . basic room size closet . although room date furnishing , paint wall peel trim floor tarnish . room could everything go room next door outside . start 5 am neighbor receive wake call sound like room - I literlly could hear phone ringing . neighbor 's travel alarm clock start go 5.45am . course watch morning news . obviously not sleep get . 8 am , could housekeeper vacuum next door slam door hallway . additionlly speak different language another employee . main restaurant 's menu nothing special cheeseburger extremely greasy . fairmont well know concierge clearly not want assist anyway . tell front desk check act like never hear problem not care . I would recomend hotel . 
 Jan 4 2008 	 New Beds need 	 would love see Fairmont replace bed luxuriousness quality match setting . hold cinnamon scent lobby area morning Christmas time - bit overpower reminiscent express - motel '' free cinnamon - bun - breakfast . try background scent good quality coffee mingle floral overtone lobby arrangement . 
 Jan 3 2008 	 problem wedding reception room 	 select Fairmont San Francisco romantic getaway celebrate anniversary . 's beautiful hotel great location . reserve room & quot ; tower & quot ; section view city request high floor , get . check smooth , although carry bag car hotel . room lovely everything expect go sleep . hotel book wedding reception directly room courtyard . even though high , could hear loud band playing . call front desk find long loud music go continue , tell midnight . acceptable we call management . offer another room , time 11:30 pm . Exhausted , agree pack stuff move different room . ( would expect hotel move we , not offer . ) schleppe luggage hotel lobby side hotel new room ... 11:30 pm . hotel book room large reception area aware potential disturbance , will never know . certainly hotel charge $ $ $ $ room , reputation excellence Fairmount , know well . probably would make different choice future . 
 Jan 3 2008 	 Palatial Top Notch Iconic 	 truly iconic hotel San Francisco , atop Nob Hill , Cable Cars hoist 3 direction , right near Union Square . lobby magnificient , public space . palatial room 5th floor look Coit Tower , huge walkin closet , large marble bathroom , beautiful decor , flatscreen tv . join frequent stay program - help get well room , excellent service free internet . Tonga room good fun float barge pool band play , rainstorm Scorpion Bowls . love history wall , old photo , celebrity , etc . hotel website deal may make affordable - get stay 2 , 1 nite free offer ( desk not know , homework ) . concierge bellman top - tier friendly . stay really make we feel part San Francisco like royalty . much fun . 
 Jan 2 2008 	 elegant ! 	 take quick trip San Francisco Thanksgiving . fairmont celebrate 100th anniversary room $ 100.00 . beautiful hotel gourmet brunch include every day . service good staff little unfriendly . nice experience would stay . Hotel Huntington across street fun bar friendly staff . 
 Jan 2 2008 	 Perfect Holiday Experience 	 spend 5 night Fairmont Christmas night departure 30th . complaint ! book holiday package include wonderful buffet breakfast ( really fresh fruit perfect waffle ) $ 199./night . plan stay one night head northern Cailfornia , rain north extend stay . extend stay , upgrade we high floor Tower king size bed ( queen package ) city bay view . take another reviewer 's advice sign President 's Club think make difference . do smile & quot ; 's Christmas gift . & quot ; Granted hotel fully book due holiday , ' ve never gracious hotel registration . tip : main hotel old noisy - stay Tower possible . 's connect lobby original hotel corridor . if rent car , return every night avoid hotel parking charge $ 45.00 . be $ 5.00 cab ride get back hotel Hertz garage . avoid Tonga Room cost . hokey Mai Tai ( plastic coconut ) taste like cough syrup dinner comparable chinese restaurant strip mall . highly tout hotel thought would historic wonderful . neglect inform guest also replicate a1950 's menu . visit Grace Episcopal Cathedral around corner hotel . philosophy Glide Memorial 's . 's beautiful church rebuild 1906 earthquake welcome people offering & quot ; sanctuary everyone . & quot ; not miss chapel right offer solace aids victim family . stay hotel holiday - lobby beautifully decorate - really wonderful experience . 
 Dec 30 2007 	 great hotel stay Christmas 	 stay week get good price Expedia pleased choice . room well appoint good size nice bathroom . not view choice - ask quiet room accept one overlook inner courtyard . quiet - old hotel much well build soundproof new one - apart constant background drone aircon / heating system not prevent sleeping not disturb wife all . the service impeccable , reception first arrive morning depart . staff pleasant , courteous helpful . eat Tonga Room Laurel Lounge . Tonga Room 's South Sea Island theme ambiance work well enough MOR band fine , cup tea musically . single meal good exceptional girl love cocktail . lunch dinner Christmas Day Laurel Lounge . not intend discover Christmas lunch USA UK ! club sandwich idea Christmas Lunch , matter good ! misunderstanding rectify book Christmas Dinner acheive minimum fuss despite restaurant fully book evening . dinner fine big hotel Christmas Day well present - expensive expect . the Nob Hill location central tourist area city within easy reach . walk Union Square Market Street shop , Chinatown , North Beach , Telegraph Hill , Lombard Street , Ghiradelli Square , Fishermans Wharf . walk back difficult one steep hill ! however , hotel crossroad two cable car line several bus route - buy pass stay ! 
 Dec 28 2007 	 Great Location amenity 	 stay Fairmont San Francisco early December year . locatioin central easy access Piers , Chinatownand Union Square . cab fare airport $ 38 exclude tip . room nice , 42 inch flat screen tv 's ( hd content though ) , bathroom separate tub shower , robe cordless phone . room face water , view Alcatraz , even number tower room city view . 10th floor city side , could see cable car hear they . there 2 bar hotel fine , seem less efficient handle crowd . Tonga Room actually tell would unable go meet friend sit bar . even though room bar restaurant full . overall happy experience , would probably stay . 
 Dec 26 2007 	 nice atmosphere somewhat overprice 	 stay mid - December single room interior hall old , original part hotel ( view time ) . strongly recommend enrol Presidents Club hotel 's loyalty programme ( free ) , enable use hi - speed internet room gym free charge . otherwise fairly steep charge . link president Club Fairmont Hotels web site . also dedicated front desk Pres Club member . we find room bed comfortable like fact could control heating air intake . hand agree review mention noise . soundproofing not seem adequate we , could hear door slam , conversation hall room , someone take shower could hear water run . may problem room old section hotel , sure . nice large flat screen tv , remote control tv not work well . report management , politely promptly replace another one not work well . big deal lot , quite would expect class hotel . we enjoy retro vibe fact over - restore old section , thereby leave character atmosphere intact . lobby stunning decorate nicely Christmas . if find internet special ( pay £ 60 per night ) hotel would seem overprice we . stay SF fairly often familiar price range hotel . apart free NY Times deliver Mon - Sat amenity charge separately . however bathroom well - stock nice toiletry , cotton bathrobe also supply . annoyed fact coffee - maker room , could tell free morning coffee lobby often find US hotel . the Nob Hill location less convenient shopping , sightseeing get destination , nice view . definitely recommend buy muni pass give unlimited travel bus , tram cable car ( BART ) . buy mine airport information desk ; sell various place around city get one day , three day , week , etc . info MUNI web site . tired hike back hill cable car stop corner next hotel . $ 5 one way buy muni pass . would not recommend drive SF ( expensive , congested , plus 's plenty public transport ) .We find front desk staff polite helpful . view housekeeping also high standard . minor service problem couple time visit bar , service seem indifferent border rude . whole bar nice atmosphere tho , live piano music night . the hotel 's gym ' real ' gym , great well - equip professionally staff ( part Club one gym chain ) .We also like display level hotel , old photo menus etc year past . 
 Dec 4 2007 	 Beautiful Hotel - Good Location 	 Standard King / Queen Room # 557i could not resist great deal find hotel TravelZoo ( $ 199 / night + free breakfast - turn $ 40 credit breakfast ) . stay one night though , wish could long ! pull , staff attentive nice . not take long check even though early , room ready we head . ( later notice lobby long queue check 2 attendant ) HOTEL : hotel already deck Christmas decoration Christmas tree center lobby . impressed lobby hotel - classy , grand beautiful . room : high ceiling , new large flat - screen tv , roomy bathroom ( comfy robe ! ) . case anything forget , room well stock amenity . bed little hard side , still sleep well . wall seem either really thin people room next we really loud . could hear every word .... good : service excellent , except Laurel room . waitress bit slow , even though not seem busy dinner . Dinner Laurel Room great , spectacular . presentation lovely . ambiance hotel nice give relax stuffy feeling . the BAD : $ 50 24 hour parking ! ! ? ? since get away , guess might well .... breakfast pricing steep well - $ 29 buffet ( albeit nice one ) per person . guess 's expect hotel like anyways . $ 13.95 internet service room ? ? offer free WiFi ! walk Union Square do - able . however , walk back hill different story . do , prepare work leg ! also walk Fisherman 's Wharf , 4 block away , also do - able . North Beach seem around corner . good location . 
 Dec 2 2007 	 rich decor exactly charming 	 rather look impressive ultra - rich decor , historical hotel look little date tired . design look little mismatched odd statue wear cupboard , show difficulty upkeepe update large , old establishment . the simple room however contain nice frill . room fairly large unnecessarily sizeable wardrobe room , well surprising 32 - inch lcd tv . fairmont club member also get access complimentary internet . hotel locate top slope , room get nice view downtown San Francisco . otherwise drop top annex panaromic view city . Businesspeople find hotel well equip full - size gym , large restaurant business center . 
 Dec 1 2007 	 Fairmont SF OK 	 take parent SF wkend Thanksgiving think would enjoy Fairmont . get great deal ( $ 199 incl breakfast ) . let preface thing say husband stay Four Seasons , SF 3 month ago . four Seasons aspect service amenitite . not treat like . concierge ( asian guy ) trifle bit snippity like . breakfast buffet ok . adjoining room get main builiding old . walk hallway depress enough make want turn back walk . not like old old . Villa D'este , Como Ritz Paris old take dingy old . anyway , look past revel great deal hotel ! clean sheet clean ( small ) bathroom nice smell soap shampoo . could one want ! amazingly parent not love . tell would like something little update uplift next time . oh well , least good deal . 
 Nov 29 2007 	 great place stay ! ! ! ! 	 husband come back vacation San Francisco . Nov 21 - 26 ! stay Fairmont San Francisco find great deal line 100th anniversary . love hotel . service excellent . upon arrival greet wonderful front desk staff member name Jon . nice accommodating . truly make great first impression arrival ! ! ! hotel room wonderful view bay . big room lot space great t.v ! could not ask well room . stay top Nob hill first not seem like good idea . first night struggle walk enormous hill ( 7 mnth pregnant ) next day go across street next hotel gift shop sell 3 day pass cable car . one good investment . ride Cable car everywhere soon reliaze much love location Fairmont . much quieter romantic stay union square quick cable ride away attraction . day strongly recommend use cable car buy pass . another tip -- -we thirsty time . stock bar room pretty pricey . would buy bottle water vend machine $ 1 oppose 4.50 hotel parkade across street ! . overall Fairmont exceptional service . great room quiet nice location . love hotel love visit San Francisco . 
 Nov 26 2007 	 enjoy Fairmont 	 return weekend SF . hotel beautiful staff great . however , ruin paper thin wall . anyone think get great deal hotel , think . hear everything room beside . stay old part hotel , tower . change room midnight first night . room adjoin door . good IDEA ! hotel move we another room without adjoining door , noise loud . tempt change decide tough . neighbor overly loud , could hear cough , conversation , television . hotel extremely classic , would advise anyone stay . walk take picture quiet place hotel lobby . if anyone sure stay , look hotels Union Square area . shopping restaurant choice locate there . good luck ! 
 Nov 11 2007 	 Forgettable Grande Dame 	 be obviously San Francisco institution . history hotel hard beat -- remind wherever turn . beyond lore , not memorable . we go celebrate anniversary happily upgrade room original part hotel . room huge nice view Bay , sparse furniture make feel spacious unwelcoming . joke closet big kitchen first apartment . ? Tonga Room not feel throwback kitsch ; feel like tourist optimize -- like chain theme restaurant . bar downstair sense character intimacy . kind bar keep television tune football game one seem watch . at $ 300 weekend night , tout flagship property Fairmont , expect . truth hotel well - run Hilton stuff gilded box . 
 Oct 30 2007 	 Gorgeous Hotel Great Service 	 Positives : fairmont absolutely gorgeous hotel great customer service . room , comfortable king size bed , huge flat screen tv , solid wood desk leather swivel chair , marble counter top marble tile bathroom impede room quite large also feature large walk closet . decent view large window . ( 5th floor ) . receive excellent , friendly customer service every employee pass encounter bellhop front desk clerk waiter . Free Wall Street Journals , NY Times , Financial Times available . negative : gym access $ 15 per day . high speed internet access $ 13 per day . the Fairmont locate top Nob Hill ( directly across street Intercontinental Mark Hopkins Hotel ) mean walk anywhere hotel , walk back strenuous uphill hike . Believe , hill extremely steep . unless be good shape , will probably want take trolley cab home . trolley run right front hotel . I definitely recommend hotel would definitely stay . 
 Oct 18 2007 	 disappoint ` ` luxury '' hotel 	 always dream stay Fairmont , high expectation . reality airport hotel stay night leave SF impressed ( expect less ) .I check tell room view building around . tell desk clerk wedding anniversary offer upgrade room - additional $ 60 less nice upgrade $ 40 . really turn - already pay ridiculous amount room available would not upgrade ? particularly since ' m President 's Club member Fairmont . then say 'd & quot ; send something room & quot ; . nice touch , right ? nothing ever send - fine , not tease I . when arrive room ( actually decent mini - suite ) top floor old part hotel - abosolutely view - decoration outside window prevent view nearby building street .. lobby lovely , bartender lobby bar nice . gym crowd nothing special . Tonga Room restaurant close private party goof Hertz counter hotel . overall , nothing seem go quite right . we nice anniversary , would nice elsewhere . 
 Oct 16 2007 	 ok not Overpay 	 stay Fairmont San Francisco night October 9 - 11 attend conference another hotel . really enjoy Nob Hill location thought would try Fairmont alternative usual San Francisco lodging , Mark Hopkins Interncontinental across street . rate Fairmont approximately $ 60 less per night Mark Hopkins . book king bed , non - smoking room main building directly Fairmont website . I arrive Fairmont late evening hour check - in breeze . member Farimont 's President 's Club upgrade room nice view downtown San Francisco . bellman pleasant . get settle room , call room service order shrimp caesar salad . order arrive good time , however salad rather disappointing salad dress quite overpowering . disappointing , end world . hungry traveler , happy salad nonetheless finish short order . my room clean housekeeping fine job throughout stay . bed fine stock plenty comfortable pillow . downside room , however , ( pet peeve ) open door lovely entertainment center find rather smallish $ 199 Zenith tube television . 2007 guy , 's time lose Wal - mart special bring flat panel television . , disappointing , end world . I use hotel health club facility hotel dining option stay . the locaton hotel real plus , especially plan travel use cable car , . buy three - day MUNI pass airport $ 18 unlimited access stay . two cable car line intersect corner California Powell street , right hotel . hotel destination near cable car line work well I . even fairly recent renovation hotel , Fairmont still seem little tired around edge . Mark Hopkins next door , fine line historic plain old . two hotel border closely side old time cross line . although room fairmont large room ' ve Mark Hopkins , primary decision factor two would price . thing consider , see tangible advantage one other . all , generally positive stay Fairmont would consider return able get comparatively attractive room rate . 
 Oct 3 2007 	 great stay expensive 	 recently stay Fairmont conference . public area beautiful . room nice ; bathroom small well maintain . lucky get high floor room view financial district , Golden Gate , bay - beautiful ! hotel staff friendly helpful . location great - 3 block China town , brief cable car ride Wharf , main bus route . would stay heart beat someone else pay . discount conference room rate $ 250 . San Francisco gorgeous ! extra tip : Join Fairmont 's frequent guest program will not charge high speed internet ; otherwise , be $ 14 per day . also , be visit day , buy muni pass . two day pass cost $ 11 good street car bus . otherwise , street car ride $ 5 . consider visit Palace Legion Honor . 's 30 minute bus ride short hike hill , easy find get . 's bay beautiful view excellent collection Rodin sculpture , include Thinker . muni pass also get small discount admission . 
 oct 3 2007 	 hotel rock ! 	 boss take whole staff conference LOVED hotel .... exactly would envision San Fran ... right heart everything ..... ornate romantic ... almost straight movie . upscale large room .... hotel one clean ever to . the staff nice upgrade we well room panoramic view city . tonga room fun atmosphere great drink great food . this hotel remind Vegas Hotel cause large scale everything could need inside ... restaraunt ... coffee bar ... shop ... can not miss go want experience San Fran style . 
 Sep 30 2007 	 wonderful view great service 	 husband stay 5 night begin Sept 07 . fortunate enough voucher entitle we upgrade suite happy . stay Bangkok Suite real joy , lot space well great balcony enjoy . we find service hotel exceptional room service several time evening meal well breakfast , good quick service . find room service useful often exhausted evening full day sight seeing . we would love come back stay hotel , be great location much see around San Francisco . 
 Sep 28 2007 	 Fabulous Stay San Francisco 	 spend 2 night recently Fairmont San Francisco . member Disney Vacation Club stay exchange . this first trip SF , can not compare hotel , enjoy stay . deluxe room tower city view . 2nd floor , view bay . however , view include lovely rooftop garden . the room large king - sized bed high quality furnishing . one bedside table obviously damage top need refinish . however , scope thing , minor point . the bathroom large separate tub glass - enclose shower . single sink . check , long line . however , member Fairmont President 's Club , go desk complete check - in promptly . the lobby common area breathtake . fun read historic poster photo line hallway . dine restaurant , fruity drink Tonga room listen live band float stage . fun corny sort way . the location top Nob Hill fairly convenient . walk place take cable car return climb hill . valet parking incredibly expensive $ 51.30 per night , necessary evil city . also disappoint coffee maker could not bring pay nearly $ 20 pot room service coffee ! ! overall , nice hotel . however , since spend little time hotel , would pay $ 350 per night stay . 
 Sep 23 2007 	 Grand Hotel bit bit disappointment 	 return around world trip Australia , stay standard way standard differ considerably Fairmont San Fran lack comparison . mention wedding Anniversary , tear bottom sheet bed room service buy breakfast pot jam already open use somebody previously . go follow day report one hotel really excited , seem much concern staff . shame one trip would return next time , lack special touch , also bed need upgrading . pay signature room view bay spectacular 
 Sep 22 2007 	 Grand hotel great location 	 wife , along another couple , stay 3 night west coast getaway . get excellent rate , aside front desk ask we want upgrade exterior room ( vs. courtyard view ) , treat well staff . outstanding lobby huge hallway , room good sized basic ( large closet ) . eat hotel , many place city , drink hotel bar - nice . centrally locate excellent view , would definitely stay . 
 Sep 21 2007 	 not come close expectation 	 hotel history - grand inside , really take seriously come rather stuffy . breakfast good take restaurant , room service often cold . desk staff fairly offhand , offer help appear much ask . particular , watch visitor wheelchair struggle offer help staff possibly less optimal . , however , hotel history glad visit reason - sure would go back . 
 Sep 18 2007 	 unfortunately mediocre time 	 really look forward stay end quite underwhelmed . ' m actually write hotel , ' m attend conference . $ 250 / night , would expect room coffeemaker least , enough space move around without bump thing . although closet huge , bathroom tiny literally counter space . bedroom like obstacle course , tv position side bed , force view crane neck leave . window room look across inner courtyard hotel ventilation system locate ( i.e. , least bit scenic , drape keep closed time since face room . ) woman front desk check - in ask whether preferred high low floor put second floor . also ask locate away elevator put directly across one . ( figure bad day , make horrible first impression hotel . not least bit pleasant . ) toiletry bathroom good quality seem toilet paper ration ask extra roll . also not receive copy Sunday Times Sunday . normally kind stuff would overlook , start add entirely pleasant stay . bed comfort acceptable well . the hotel within walk distance Union Square , keep mind 's uphill whole way back walk . price hotel ( mini - bar room service restaurant ) high , 's worthwhile check grocery cafe nearby . since ' m President 's Club member , fitness center internet free charge , positive . hotel ornate interesting historical perspective everything well keep . ' ve hear , would ask room tower vs. main building stay . bottom line : would not stay pay bill unless get much nice room price . 
 Sep 10 2007 	 Fairmont atop Nob Hill 	 Fairmont San Francisco conveniently locate atop Nob Hill . 2 building . Main Historical Building Tower build 25 floor . Room Accommodations - Deluxe King NS : 5 5 ratingthe view Tower building look entire Bay Area . Alcatraz Island right front eye Bay Bridge right . GORGEOUS VIEW ! never close blind entire trip ! Day night , view site watch ! restaurant : 3 5 ratingevery Friday 5 - 8pm , night & quot ; Sushi Friday ' Laurel Court Restaurant & amp ; Bar . sushi alright standard , nothing brag . also another restaurant music dance floor call & quot ; Tonga Room . & quot ; Stopped drink Friday night good crowd , however , stay 20 minute much old crowd look for . in - room Dining : 5 5 ratinggreat service ! victor attendant first day excellent ! great food consistency . breakfast wonderful . order buttermilk pancake & amp ; bagel . find $ 7.00 toast bagel bite pricey taste like bagel , IRD Fine hotel expect . Hamburger & amp ; penne alredo pasta excellent . great quality food product . housekeeping : 3 5 ratingroom service consistently daily basis , however , receive turn service something believe need request . find bit strange . spa & amp ; Fitness Center : 2 5 ratinghad 60 minute deep tissue massage . good expect . Fairmont lacking branded & quot ; Willow Stream Spa . & quot ; still outsource fitness center call & quot ; one & quot ; 
