great 	 £ 95 night two people great value hotel . get hot breakfast include price.great locaton 10 min walk Macy 's empire state building 1 block subway . newish hotel bathroom etc nice clean , modern room wiht flat screen tv . 19th floor fab view city skyline.would recomend hotel age group , clean , modern great value money . 
 great hotel great location great price ! 	 girlfriend , another couple stay last trip NYC . decide Hampton Inn Chelsea due good review see it . the hotel clean , first thing be important . 's also quiet location block away subway . 's convenient location whether be walk take public transit . and price great ! would definitely stay another trip NYC . 
 Nov 12 2006 	 Arctic experience ... 	 one rare instance decide book hotel base generally positive review site get disappointed end . check late Oct hotel rate terribly expensive four five star New York hotel . first impression : lobby ok , receptionist check - in relatively smooth . however , big problem follow : - weak signal tv produce nothing buzz sound whenever switch ; - arctic temperature within room . thermostat fix 70f matter high try adjust , temperature refuse rise . despite two maintenance personnel come room check . wear jacket inside room next morning ; - intrusion room 4 am morning unknown person , friend scare away shout bed . conclude hotel staff since be quite unlikely another guest would come room mistake due individually program key ; - friend , drive hotel , verbally coerce & quot ; parking valet & quot ; opposite hotel ( run - down block inspire vision abatoir ) pay $ 28 parking fee ( instead $ 18 advise front desk ) order get car . not witness , go something along line & quot ; yes , be $ 28 , still want car ? & quot ; check next morning . in general , hotel 's location exactly middle Chelsea , surrounding grim scary night . plus point presence Whole Foods market atm one block away . would recommend hotel go budget holiday summer New York . 
 Nov 12 2006 	 sleep would nice ! 	 come New York first time , look hotel less $ 400.00 per night decent location . I find Hampton Inn Chelsea recommendation . the property locate grimey neighborhood . look window , view grafitti - line building , well , trash street . the building look new great condition . night time desk staff extremely helpful day time female indifferent every customer . seem bother ask question . opposition night time staff take time print menus make recommendation I . the neighborhood seem safe enough , not afraid walk night . the room nice clean . small side , huge compare european standard . pillow great , sheet . my main complaint bed . lay bed , one reminded piece wood cover sheet . hard .... hard . read review , can not believe person problem sleep bed . ' m side sleeper , change position every 20 minute arm side would go numb . when mention staff member , say common complaint month would get new Hampton Inn matresse . supposedly comfortable available . however , be instal yet . question Hampton would instal horrible matresse first place , answer know . I suppose stay seven night end leave first . overall , be want nice visit , stay elsewhere . lucky get good rate visit , rate go $ 400.00 ( hear desk person tell walk - in customer ) would recommend pay little well hotel get many service amenity . oh yeah ... bed sleep . 
 Nov 4 2006 	 Great Hotel Good Value Good Location 	 stay couple day October . ok , room not massive , look somewhere clean reasonable rest head . room modern bed comfortable . tv variety channel available include number film channel . an add bonus free breakfast , adequate set we day ( bagel , cereal , pastry , juice , coffee different hot selection everyday - option french toast , egg bacon one day scramble egg waffle another ) .I think number subway stop near mainly walk take taxi cheap . also good variety restaurant nearby , also take Gotham Comedy Club round corner . I also NYC number time , able navigate way round city - ' m sure first timer would enjoy stay here . also , construction work go across street - bit eyedore , never hear work , hotel must good double glazing ! would definately stay . 
 Oct 30 2006 	 good all - purpose accommodation 	 want New York hotel ? style , swanky location , trendy fellow - guest ? stay elsewhere . , however , be look pleasant , friendly , place stay – either business leisure traveller - will not much well . it be important realise Chelsea ' obvious ' location . trendy , like SoHo , smart , like Upper East Side . ' part charm : be rather ' real ' ( , yes , slightly gritty ) .The hotel rather indeterminate - modern , clean , friendly well - equip . ideal family visit New York , would suitable anyone look practical place stay . breakfast room , rather crowded , quite nice touch too . we go family visit 
 Oct 7 2006 	 Great Stay 	 great stay August 2006 . room bath clean bed comfortable . subway near take anywhere city . breakfast bar coffee add benefit . would recommend people travel child teenager . 
 Oct 4 2006 	 Nice 	 stay Hampton Inn fourth July . many bar delis area . would recommend hotel 's location , able walk outside , immediately swarm people . subway located area , enable travel everywhere . 
 Aug 15 2006 	 exceptional staff ! conveniently locate . 	 recently stay Hampton Inn must say extremely impressed staff . pleased attitude service . seem want guest good experience possible . bellman walk suitcase corner leave could load cab we . manager front desk people could nice . yes , single bed room small , must remember NYC . breakfast room crowd - depend day . coffee fresh offer nice variety breakfast item . great way start day . the bathroom nice , water pressure good room ninth floor quiet . the hotel conveniently locate right Sixth Ave . area transition . construction go right across street . expect Waldorf - hospitable Hampton Inn . would definately stay . 
 Aug 10 2006 	 people love hotel much ? ? ? 	 read review hotel amazement . not necessarily disagree , find overly & quot ; gushing & quot ; praise essentially roadside motel 's crammed highrise . at check - in , clerk admit reservation not properly handle ( partner Hilton diamond member ) still get room ... 805 . small , particularly well furnish , feature incredibly LUMPY comforter obviously wash / dry not . odd thing ' ve see hotel room ! typical Hampton amenity : plastic cup ice bucket , etc . breakfast available breakfast room ridiculously overcrowd unstaffed . free high speed internet ( yay ! ) decent bathroom toiletry make somewhat general low - quality furnishing , hard uncomfortable bed really marginal location ( really Chelsea despite name ! ) particularly grimy street . we love New York love Chelsea doubt would choose Hampton . must add use HHonors point stay good & quot ; free & quot ; value . however , Waldorf Astoria available point ! choose Hampton location . next time , will use pt upgrade another Hilton / Doubletree property . 
 Jul 27 2006 	 Gem Manhattan ! 	 could say well thing hotel , difficult find something negative say . our room ( # 1905 ) spacious , Manhattan 's city 's definition word . week 's journey , large closet clothe oversized suitcase , desk , well - apportion King - sized bed , bathroom workable . hotel 's water pressure lovely , seem like neverending flow hot water whole time . tv system quite serviceable ; however , could complaint , interactive tv service view bill checkout , though express checkout available ( leave bill door upon checkout day ) .The view Empire State Building lovely well room ! think one good feature hotel elevator system ! stay large Manhattan hotel past elevator absolute nightmare . visit local hotel FL , journey fourth floor take minute ascend mediocre height . however , Floor 1 Floor 19 Hampton Inn Chelsea take mere second ! another lovely perk breakfast . standard continental / pastry / bagel selection , offer egg meat - base protein every day visit . additionally , item french toast waffle pop occasionally . really help provide we great start rest day . there comment neighborhood 's safety , feel concern . Chelsea , year ago , many people would even come due dubious character . time , become residential , colorful resident move take advantage ( use ) inexpensive real estate . real estate boom , neighborhood getting rebuild $ 500k+ apartment / condo , rent skyrocket . ? hotel within comfortable walk distance Penn Station / Madison Square Garden , Empire State Building . also , be PATH , well subway line within block 's walk . find extremely convenient safe use well . money ( rate $ 180 / night ) , could ask well value even $ 100 Manhattan . truly gem place worth location , comfort , convenience . 
 Jul 22 2006 	 nice stay 	 friend two room long weekend , wonderful stay ... staff exceptional , especially bell staff - helpful suggestion , get we taxi need , always inquire day . free breakfast excellent , plenty fresh fruit & amp ; hot entree , plus great NY bagel . bed perfect , fluffy comforter . room nice , clean , fancy , definitely well expect , location wonderful . block Whole Foods , block Starbuck 's , taxi ride away everything . highly recommend fit budget - can not go wrong . 
 Jul 14 2006 	 Pleasant Surprise Chelsea 	 good bet want nice clean room great bed fair price . would recommend second time New York visitor , way Times square/5th Avenue . business , find clean , good airconditioning , excellent free internet access decent size room New York standard . subway person , get anywhere here . unlike comment , not think unsafe neighborhood ( single woman traveller forty ) ; Disneyland quality Times Square poshness Uptown . love NY area feel neighborhoody . go Broadway show Tuesday night walk home subway safety ( bum , ontoward approach ; lot couple solo family - type walk around 11 night . ) not settle first room assign not like ; would recommend ask high floor ( 10th ) one front room view . first assign handicapped room fourth floor huge airconditioning noise ( maybe think people handicap always deaf ! ) ; second story room right entrance WAAAAYYY close street ; finally nice room 11th floor ( 1104 ) front . like say , bed comfy , bathroom small clean , closet space serviceable , water presure varied , door room slam loud wake ; tv bit date remote / volume go loud ; would ' ve nice pay - per - view movie ; elevator sometimes slow ; lunch / breakfast room nice ; room fridge would really nice . front desk overall nice ( especially Joyce Alex ) ; bell captain order great town car service JFK $ 45.this strong 3 star hotel experience ; four star comparison New York City nightmare hotel . price , good . I would return . 
 may 27 2006 	 Lots Positives 	 first impression hotel good ask room view get brick wall across way ! anyway not complain not admire view window ! thing pick . complain room everything need , bed really comfortable bathroom nice also . room clean every morning great . there also add benefit free breakfast although cater Americans ( surprisingly ) great able eat want also take lunch later day ! two meal save ! free iced tea lemonade also available lobby 24hrs day . hotel staff friendly helped query polite manor . hotel location great . walk Times square nice 10 minute strool past Empire State building Macys ( 6 minute walk ) , get sight see bus . not need use subway apart take Staten Island ferry . need stop one street away . if not poor view room hotel would get 5 rate respectable 4/5 , know accomadate everyone good view see coprise 20 floor . all look reasonably price hotel New York will not go far wrong book Hampton Inn - Chelsea . 
 may 22 2006 	 great hotel ! 	 weekend usually like stay ' fancy ' place , get special friend . hotel great location , central everything ( whole food market around corner ) ! personnel friendly room ( unfortunately , smell like smoke ) pleasant , lot amenity not necessarily get even well hotel ! bed ultrasoft complimentary breakfast fresh lot choice love could day long ice - tea , cappucino hot chocolate lobby . overall great value ! 
 May 13 2006 	 Great Hotel highly Recommended ! 	 stay mid April 2006 wife 5 night everything great . room tiny like room new york , bed really comfortable , room clean hotel staff friendly helpful . hotel class defiantly 2 star , opinion least 3.5 star . 
 Apr 20 2006 	 Excellent hotel 	 stay Hampton Inn Manhattan Chelsea 4 night Feb06 really can not fault hotel ! free breakfast complete bonus New York normally not include rate room spacious modern hotel open couple year . free tea / coffee available day too . everything well keep , good selection toiletry bathroom even view Empire State Building room ! staff pleasant friendly hotel within walk distance major attraction . , great place stay New York have happy stay next visit . easily 3 * + hotel . 
 Apr 18 2006 	 comfortable hotel 	 family stay two night early April . the hotel quite small comfortable . there restaurant bar inside hotel small breakfast area provide continental style buffet breakfast free charge . during day urn tea coffee hot chocolate available guest , free charge . bedroom clean well equip . plenty hot water fresh white towel along complimentary toiletry well cofee maker . good 25 min walk Times Square , find area close hotel little quiet isolated night make we feel little unsafe . staff hotel friendly take pride make sure hotel run succesfully . overall pleasant stay return N.Y. definately stay somewhere central pleasant safe area . 
 Apr 17 2006 	 highly recommend ! 	 wife stay Hampton Inn April 7 - 9 . prepare mediocre hotel delighted experience ! big , room , small , completly comfortable two adult . clean quiet . would stay . 
 Apr 3 2006 	 100 % recommend would not stay anywhere else ! ! ! ! 	 & amp ; friend stay lovely hotel 17th mar/06 8 night . nothing good word say politeness staff free buffet breakfast . feel extremely safe hotel & amp ; surround area . empire state & amp ; macy 's 10min walk 6th ave & amp ; walk 6th ave approx 90 min will eventually reach Ground Zero ( always jump cab $ 8 get experience Greenwich Village & amp ; Little Italy really do not realise ' ve walk long ) . sightseeing trip would like know ask & quot ; Ricky bell hop & quot ; glad book & amp ; give sound advise . be tired eat night ask reception selection take away menus & amp ; call free room . overall opinion hotel & quot ; would crazy go anywhere else & quot ; . favour & amp ; not hesitate book room promise will not regret ! ! ! ! 
 Mar 24 2006 	 Fantastic 100 % guy 	 well say ! Fantastic Hotel , Travel Agent hard impress staff hotel do . & quot ; Spotless & quot ; would describe room arrival every morning domestic ! breakfast morning enough start day busy city high quality ! location spot room haing view Empire State building , 6 min walk Flat Iron builng 5 Empire State Building , 15 min walk Times Square however can not bother walk undrground station close hand ideal go downtown ! want know something ask door man ? ? ? do not know ! well worth know first place ! would go back stay ? yes ! 
 Mar 20 2006 	 love hamptoninn 	 good location.the room small ( stay room whole day ! ! back night sleep right away ) , clean daily.the breakfast big big plus , save lot time refreshe day ahead . staff friendly . short , wld absolutely stay hotel . 
 Mar 20 2006 	 good base start explore New York City 	 stay 5 night girlfriend . location close subway take uptown downtown . get anywhere Manhattan quite easily . there much nice restaurant around hotel , quickly go elsewhere via subway . the room small , adequate . breakfast good include price . breakfast area small peak time may hard find table . serve area also small , expect get friendly visitor . : ) breakfast include hot food , fruit , pasterie , muffin , ceral , bread , bagel numerous spread . grab extra fuit muffin day . internet access also include price . the hotel faily new pleasant stay . would stay . 
 Feb 20 2006 	 Great Find 	 centrally locate ... great room .... great buffet .... friendly staff .... overall great experience would definitely stay . 
 Feb 13 2006 	 Great Value Manhattan ! 	 husband & amp ; stay Hampton Inn Chelsea 3 night December . hotel conveniently locate , clean & amp ; modern . half ( ! ) price hotel usually stay midtown , raise rate Christmas season . close subway ( 7th Ave & amp ; 6th Ave . ) , taxi 's . safe neighborhood . neighborhood little lacking restaurant within walking distance , quick subway taxi ride away good New York offer . ' m frequent New York visitor would definitely stay Hampton Inn Chesea . 
 Jan 11 2006 	 fantastic hotel fantastic staff 	 mum & amp ; stay Travel Inn , Chelsea 6 night begin December 05 . hotel lovely boutique - type hotel , lovely , spacious room complimentary toiletry , extremely quiet night despite corner 6th Avenue . staff helpful every way . really go way accommodate request . complimentary breakfast also plus - bagel , toast , scone , cereal , egg , bacon , fruit , juice , tea & amp ; coffee . 's location also good . uptown downtown subway station 2 min away hotel . CVS Pharmacy across road 6th Ave sell everything . shop 6th Avenue also great - Old Navy 18th Street fantastic TJ Maxx ( equivalent UK 's TK Maxx ) block . bargain galore . I would return hotel heartbeat .... go wrong hotel . 
 Jan 8 2006 	 would stay 	 clean room . clean bathroom . usual abundant Hampton Inn breakfast buffet . room quiet . notice ice machine cram little nook 12 inch away door another room . sure would want room ! bedroom new Hampton Inn & quot ; Cloud Nine & quot ; mattress , solid adequate mattress . neighborhood nice . great subway access . one minute walk 6'th avenue line , 5 minute walk 7'th avenue line . convenient CVS drugstore close . unlike Hampton Inns , hotel Bellman . check room morning leave bag . tour museum pick bag 5:00 pm . 
 Dec 21 2005 	 Hampton Inn good hotel experience 	 friend stay NYC week June 2005 -- have week also 2001 stay different hotel . time travel agent recommend Hampton Inn Chelsea . want stay Chelsea area love -- feel completely safe , vibrant atmosphere . plus walk top bottom Manhattan find pretty central . hotel excellent need -- expensive NYC standard , clean , friendly staff , excellent ( although time crowd ) include breakfast -- everything need , would definitely stay . 
 Dec 21 2005 	 Outstanding 	 great location . Great Staff . Whole Foods nearby . subway around corner . two gym ( Bally 's private gym ) within 5 min walk . large room ( ny , free wireless high speed breakfast . great value NYC . would totally recommend personal business trip NY . stay property approx 10 time per year . 
 Dec 12 2005 	 Recommend Hampton Inn 	 four night Hampton Inn Manhattan / Chelsea situate 24 Street 6/7 Avenue . quiet location . pleasantly surprised bedroom / bathroom good standard well maintain ( clean towel change daily ) . reception staff friendly helpful . location good 15 minute walk Empire State building / Macey 's etc . bit distance Time Square / Central Park / Statue liberty etc taxis cheap use subway . breakfast include price - it ok although breakfast bar small side little crowded . although happy hotel think little pricey , however , tell expensive time year . would return Hotel recommend . 
 Nov 19 2005 	 good buy good location 	 get back day New York . good location friendly , helpful staff . breakfast much well anticipate nice surprise . got great rate AAA ! would definitely stay recommmend highly . 
 Nov 18 2005 	 good value money hotel 	 return trip New York stay Hampton Inn . hotel nice find clean really helpfull staff . bell man Ricky star need book transport various location . brakfast fab really help get day start load choose fron plenty . also complimentry coffe soft drink available 24hrs godsend end hetic day . room spotless spacy . location ok end long day 24th street long way shop . 
 Oct 30 2005 	 Great Hotel ... Best Value Manhattan 	 ' ve return NYC , party love hotel . despite moderate star rating indicate travel operator , location exceed expectation . room modern clean , staff friendly personable , deluxe B.Fast Bar fantastic . travel Consultant ' m normally reluctant stay recommend property three star less . would never hesitate sell location client would definately use Hampton Inn Chelsea family . fact , ' m plan escort small tour group NYC spring property top list . hope enjoy location much ! 
 Oct 27 2005 	 problem 	 stay 2 night mid October . staff helpful / friendly room like good Holiday Inn UK . good standard decore inclusive continental breakfast bonus . within easy walk distance shop sight around Times Square . would definitly stay although bit pricey . 
 Oct 10 2005 	 great hotel ! 	 stay hotel 5 night love it . the room clean , view great ( see Empire State Building Crysler building ) , breakfast really good . the staff nice . location hotel 24 th 6 th avenu good . short distance big shop 34 th street far away soho . personally like 6 th avenu well avenue 's little less crowded . for smoke , beware rat back yard , hey new york ! would like stay would recommend hotel friend . 
 Sep 5 2005 	 Great Hotel 	 stay hotel 6 night August travel around East coast far good hotel stay . room big clean spacious bed . breakfast plesant surprise expect big choice . really say enough nice hotel pleasant friendly staff . laundry facility also great service . would hesitation stay recommend friend . 
 Jul 29 2005 	 horrible stay 	 say never . ' ve try stay hotel 3 time 3 time reloacate another hotel Hamptom Inn oversell . staff probably unproffesional ever see . housekeeper hang , sit hallway fininshe cleaning room . tour group hotel bellman deliver bag folk walk around wear ' wife - beater ' t - shirt . 2nd trip , get back hotel initally relocate , check dirty room . really big deal consider way . , get back hotel later evening , room still clean . instead room clean , woman front desk offer send new linen toiletry becasue hskpe staff go day . well , good thing , since Hilton Honors member , folk Hilton Honors refund whole stay . find Hilton property namesake . own private corp . well , staff need re - train . 
 Jun 27 2005 	 good value NYC 	 nice small hotel offer good value make limited space . room clean pleasantly decorate contemporary style ; room two double bed quite generous Manhattan standard . reasonable rate include decent continental breakfast morning USA Today newspaper weekday ; coffee juice available day , . parking available nearby lot . Whole Foods market end block good salad / takeout section . nearby neighborhood flea market fun weekend . Hotel locate 10 block south Macy 's Penn Station , be also easy walk always enteraine ABC Carpet / Furnishings . 
 Jun 8 2005 	 clean quiet comfortable 	 hotel clean , quiet , comfortable , well decorate . staff competent , courteous , professional . snack water bottle leave room nice touch , free breakfast decent . location can not beat . little pricey , get deal special , well worth . 
 Jun 7 2005 	 Fabulous Hotel 	 room immaculately clean cool chic & amp ; trendy look . linen fresh clean . the free morning breakfast great . staff superb . front desk bell hop every need meet . stay three time make Hampton Inn - Chelsea hotel travel NYC . : - ) LOVE PLACE 
 May 5 2005 	 terrific hotel ! 	 spend 2 night wonderful hotel good neighborhood ( west 24th St , 6th Ave . ) good chain know expect , exceed expectation . comfortable bed , clean , excellent shower , outstanding buffet breakfast ( include ) hot cold selection lovely breakfast room outside patio . subway around corner . good restaurant . near St. Vincent Medical Center family surgery . 12 short block away 1 subway stop . nothing NY cheap , feel well worth money . definitely return . 
 Apr 27 2005 	 heart NY ! ! ! 	 visit New York long weekend end April word describe amazing ! Hampton Inn original choice due mix original hotel send here . at first location appear little way however want explore whole New York ideal location close subway station pretty central financial district times square , empire state etc . the staff friendly extremely helpful throughout stay . room clean surprisingly big reading general review New York hotel . many add bonus complimentary buffet breakfast , need day walk ! also complimentary drink day top cookie ! ! ! would advise anyone look nice friendly base explore stay . 
 Feb 15 2005 	 nice property 	 stay quite time agree reviewer say , couple small point other miss . the Enterprise Rent - a - car next door great asset huge hassle rent car city time . convenience location great . request room away ice machine many room right outside ( like foot away ! ) door hear every person 2 floor worth room get ice clunk clunk clunk ice bucket . I find room smallish even hallway tight , property build small footprint room great quite well appoint Hampton 's new amenity like lap desk curve shower rod . if planning enjoy Chelsea night life place 5 - 10 minute walk fun place great base operation . I also stay lot four point next street , prefer bit Hampton mainly four point hip fun vibe go lobby , go wrong either hotel . each time come back staff acknowledge repeat guest welcome back . nice touch . highly recommend . 
 Jan 20 2005 	 great option Chelsea 	 stay long weekend December 2004 . arrive 9:30 Friday room already ready ! staff super friendly . room cute : huge , sufficient , great bed , great linen clean . great bath product ! breakfast solid one include , coffee great ( available day ! ) issue ( small one ! ) breakfast stop 9:00 seem bit early hotel fill tourist ( want explore Chelsea night life ! ) like stay hubub mid town one good place stay Chelsea . 
 Dec 31 2004 	 convenience value 	 good location walk direction . excellent shopping Sixth Ave without crowd 5th Ave . clean , sleek modern hotel . two double bed view Empire State Building ( light red green holiday ) . stay next visit . 
 Dec 27 2004 	 Solid Bang Buck 	 staff - check - in , maintenance , breakfast room bell hop - friendly engaging . although room small side , pretty standard NYC . hotel probably 2 year old fine shape . although slight problem closing window , maitenance within minute notify . location within block several subway line complimentary breakfast even treat considering would cost we city get equal fare restaurant . negative sound hallway activity quite noticable . regardless , would definitely recommend stay . 
 Nov 26 2004 	 really good ! 	 really enjoy satye Hampton Inn . good location . good neighborhood , close subway station . good breakfast service . also really like set room . course could disturb traffic noises night , hey ! New York City ! definitely recommend ! 
 Nov 24 2004 	 wonderful New York experience 	 first real trip New York . Hampton Inn one many excellent choice make city . hotel staff extremely nice helpful . hotel clean . subway right around corner . take subway bus EVERYWHERE , include airport . ( sure purchase 7 day metro pass $ 21 unlimited access public transportation . ) hot breakfast great include egg , sausage , bagel , toast , fruit - keep we spend big buck . wonderful meal Malibu Diner around corner . meal include soup , salad , huge entree $ 12 . Say & quot ; hi & quot ; George Lisa go , tell gal Atlanta send . another excellent dining choice include Maison ( street Ambassador Theatre ) . Ambassador see & quot ; Chicago & quot ; meet Wayne Brady ... great show great guy ! go ice skating Rockefeller go David Letterman show . would definitely pay $ 22 skate , would skip free tape David Letterman show ( worth time effort ) . Rupert Hello Deli near Ed Sullivan theatre great either . skip chinatown fake bag jewelry hit Broadway 27th 30th much cheap , nice quality option . everyone meet New York nice ( except one bus driver take we airport last day ) . People EAGARLY give we direction recommendation place visit eat . definitely back stay Hampton Inn . 
 Nov 23 2004 	 pleasantly pleased 	 pleased accomodation . stay New York hotel , pleasantly surprised attentive staff , clean room , decent size room . definately back ! overall , great experience ! 
 Nov 18 2004 	 please Hampton Inn 	 nervousness wife along another couple celebrate 50th anniversary board train New Hampshire New York . rain upon arrival think take taxi Penn Station Hampton Inn turn Limosine driver charge we $ 40.00 . depart take Yellow Cab charge we $ 5.00 go Hotel Penn Station visitor ensure take Yellow Cab . take Yellow Cabs frequently pleased take direct route courteous get us destination reasonable price . make prior arrangement Big Apple Greeter , Sami Steigman , meet us 9:00 Hotel enormous help show we get around City show we use Subways & amp ; Buses take we Grand Central Station , well worth visit , Waldorf - Astoria , Musuems attraction . suggestion take boat trip around Manhattan well Bus tour worthwhile . people New York friendly helpful concern safety . four we go shopping area wife relax agree shop friend go see Intrepid Sea , Air & amp ; Space Museum recommend highly spend 4 & amp ; 5 delightful hour Museum . attend open Radio City Christmas Spectacular well name indeed Spectacular . manage see one Broadway play & quot ; Love , Perfect , Change & quot ; enjoy , though price little high half empty theatre . four day go quickly fond memory New York hope return someday explore area pass , i.e . Soho , Chinatown etc . 
 Sep 17 2004 	 o.k would not choice 	 first trip New York part Cosmos tour . long journey taxi break glad arrive hotel . first impression ' compact ' meaning spacious expect . aircon hotels stay , noisy difficult sleeping maybe come uk use . room ( son room ) clean , well stocked average size view window sixth eigth floor back building metre away . the hotel situate attractive area eat place nearby ( would recommend Dallas barbeque couple block away ) . complimentary breakfast available wide range fresh fruit , cereal , hot food pastry . lack eatery mention early . staff helpful info request direction etc . the reception area small much room tour group meet sit relax . ever make return trip ( although west coast call ) would choose hotel time part tour , not get we wrong good hotel 's would like something spacious convenient position 
 Aug 27 2004 	 Poor Front Desk Service 	 arrive front deak 8 hour driving tell room ready roll - away leave . reserve room roll - away bed . lucky copy e - mail confirmation . inquire daughter say could sleep floor . , say least , flabergaste . eventually , agve we another room ( ajoine ) . front desk staff sullen towards we fact right rude . breakfast poor . would stay againg would reccommend anyone . 
 Aug 6 2004 	 good hotel good price 	 stay twice ; New York City Marathon family vacation summer . hotel clean , conveniently locate overprice -- shock NYC ! be also quiet helpful staff . marathon take place day Halloween , nervous noisy night , wall glass thick , room well - space . 's easy walk subway , long walk nightlife Village , interesting neighborhood . 's good find easy stay city . 
 Jul 14 2004 	 Convenient 
 Jun 9 2004 	 highly recommend ! 
 Jun 8 2004 	 good location helpful staff 
 Mar 29 2004 	 odd thing make Hampton Inn stay disappointing 
 Mar 27 2004 	 Nice Hotel - Reasonable Price 
 Mar 17 2004 	 Excellent Value Service 
 Mar 12 2004 	 good value location 
 Jan 26 2004 	 great Find New York 
 Nov 21 2003 	 Balanced standard accommodation 
 Nov 14 2003 	 Nice touch Great ... 
 Sep 22 2009 	 Impeccable 
 Aug 27 2009 	 Geburtagsreise 
 Aug 23 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? good location comfortable room 
 Aug 19 2009 	 Ottimo ! ! 
 Aug 18 2009 	 La perfecta eleccion 
 Aug 6 2009 	 eviter car peut trouver beaucoup mieux à New York ! 
 Jul 3 2009 	 Empfehlenswertes Hotel Manhattan 
 May 20 2009 	 Hotel Hampton Inn Manhattan Chelsea 
 Apr 10 2009 	 bon rapport qualité prix à new york 
 Feb 14 2009 	 Gute Lage Chelsea 
 Nov 22 2008 	 Un perla NYC 
 Oct 3 2008 	 Un buonissimo soggiorno 
 Jun 3 2008 	 excelente 
 Apr 1 2008 	 très confortable 
 Mar 29 2008 	 Hôtel plus que satisfaisant à New - York 
