clean 	 husband stay Thanksgiving ( 2 night ) . purposely choose hotel away craziness parade route , even though knew have go watch . hotel locate less one block w 4th St. subway entrance ( pleasant surprise ) , make easy come go pleased . quickly learn get subway follow exit sign W 8th St. ( W 3rd ) . bring waverly Place W 4th intersection , close hotel . hotel lobby small , clean nicely decorate . one small elevator , problem morning hour wait arrive . continental breakfast typical ( croissant , muffin , fresh fruit , cereal , etc . ) notice people wait line seat finish . Glad get early . room spacious New York ( walk around bed , be spacious ) , bathroom clean nicely appoint . find mattress comfortable , like bedding . room stuffy use AC work fine . window look onto another building , view unimportant we since plan go thing vs. look window . however , bit disconcert blind / shade bathroom ; bubbly privacy glass . room across way someone could enjoy voyeuristic view , suppose . keep bathroom light . , pretty good experience . 
 Jul 9 2007 	 wonderful place stay 	 stay WSH eight night . room nice , tiny , two window partial view park . think staff generally helpful friendly , other , none even close would consider rude . free breakfast great . meal dining room good , wine list interesting , price unreasonable . location great . would hesitate stay recommend friend . think key understand staying resort , care room size view , ask room fit expectation . 
 Jul 8 2007 	 Pleasant Surprise 	 wife return long weekend trip NYC Washington Square Hotel wonderful experience . staff room friendly always helpful lobby security would hesitate stay future . read several negative review frankly bit skeptical , arrive doubt set ease . room plenty big enough ... pleasanr surprise afeter read small room . stay boutigue hotel London UK past room much smal WSH . village close NYU , Little Italy , Chinatown , subway station either W 4th St Union Square also plus . also walk 2 block west W 4th st Joe 's Coffee house good cappucino pastry NYC . overall pleasant stay quaint quiet hotel .... hat 's staff Washington Sq Hotel making stay enjoyable 
 Jun 28 2007 	 location 	 main reason stay hotel location . interested West Village NYU campus , one choice actually pretty good choice . make feel part true NY neighborhood Washington Square Park . small room breakfast include , remind old european hotel . stay several time go back . 
 Jun 13 2007 	 overall great experience 	 anyone never stay New York city please advise hotel room small unless stay 5 star pay big buck ! ! however look clean good value money Washington Square hotel maybe . hotel tourist area ie : Times Square , Broadway . would find hotel area nice price . hotel great location interested stay Greenwich Village would like near Soho , Little Italy , China town , Canal street . great patio sit local food good much well price . subway around corner always cab . stay 3 night hesitate go back.1 . room clean , update , washroom everything need .. plenty clean towel , hair dryer .. shampoos soaps.2 . read people complain rude staff ... well long enough see different staff member shift change friendly helpful question request . 3 . contintental breakfast nice well , seated ask would like coffee tea , bring selection toast bagel , muffin bowl fresh fruit orange juice . I always read review take grain salt suggest . try honest review . well travel stay many hotel world . Hope help , Mary 
 Jun 5 2007 	 nice breakfast good location poor room rude staff 	 give WSH due -- breakfast great security man excellent -- friendly attentive . location , much say recommend hotel . book confirm ( two day prior ) room one queen - sized bed . check go room , two double bed . go back front desk clerk tell queen bed , obviously true . try appease tell room two double bed & quot ; upgrade & quot ; happy . tell since plan sleep one bed , actually downgrade . response concern , another staff member literally say & quot ; plenty hotel NY & quot ; go find another one ! ask confirm room available , manager say allow people stay room decide extend time hotel . can not imagine hotel adopt policy could confuse reservation make . experience , want extend stay hotel room available , either leave change room . hard believe really not policy . ok -- enough staff , let us focus room . bed comfortable room basic , say least . however , could put staff not rude . say , could not recommend hotel unless not much left area . 
 May 19 2007 	 Location location location 	 wonderful stay WSH staff could friendly helpful . standard room small , recently refurbish clean comfortable bed . many external view . stay want hotel guarantee quiet room great view . good feature location right Park . walk direction find fantastic restaurant , cafe , club bar . music everywhere , jazz street , blue Park , opera restaurant along road . famous people stay 60 's residential hotel include Bob Dylan Joan Baez , Barbara Streisand & amp ; many other . good complimentary breakfast serve 11 . highly recommend , remember pack earplug good night sleep . 
 May 17 2007 		 location great , pricing . , be much recommend property . room small , expect would price . trying view edgy , village experience , mostly feel dingy clean ( dirty would overstate ) . room color drab , window AC unit noisy inefficient . single elevator carry trash guest . get idea . strategize get shower without bare foot , 's place will return . 
 May 11 2007 	 beyond expectation 	 recommend hotel use Tripadvisor research bit - positive ( minor one two negative ) hold true . room large New York Hotel standard , comp breakfast surprise joy , staff mix ' could not nicer ' usual New York / look , let slide . location second none . bar serve great cocktail ( though be bit pokey bar , 's good move afield ! ) negative ? okay grumpy night staff teeny tiny closet , 's be stop give 10 10 . 
 May 7 2007 	 great location unwelcome staff 	 could not beat location -- quiet street right Village . area would rather . previously mention though , room tiny . stay week ( Christmas time ) - first room give window space move around . Felt claustrophobic move large room 2 window . much well ... front desk people interest make we feel welcome . would chat mostly . still not hotel great holiday watch jazz , eat great food , etc . 
 May 4 2007 	 hate hotel 	 one day stay hotel counting hour . 's room tiny , can not understand expect twopeople stay 3 night room three drawer . 's card chair sit 's also use currently hang jacket . the closet small well . staff perfuntory rather inattentive exception security man lobby . seem double bell boy bell boy show elevator be ! would rather stay Motel 6 . front desk people seem inept . book limo one evening Saturday . next morning record reservation . ask sewing kit tell woman clerk go drugstore . another clerk overhear pull sewing kit drawer fill . poor training . bed short not accommodate 5 ' 6 & quot ; frame . lot construction go also 7am late could sleep here . plus : comp continental breakfast plus well location across park . would never , ever stay so - call deluxe queen room . 
 Apr 27 2007 	 stay time time 	 hesitation recommend hotel . stay numerous occasion anything , lovely hotel get well well . good location , excellent attentive staff comfortable room - reasonably price . 
 Apr 25 2007 	 great location characterful hotel 	 stay WSH mid - February 2007 really enjoy stay . location brilliant - really near load great cafe , restaurant shop - much character rather soulless hotel midtown . book deluxe room obviously fairly recently refurbish art deco style reasonable size . also come view Park Babbo 's across road ! niggle room radiator tiny little cold . manage however obtain extra blanket . the bar staff sweet - not try bourbon barman let we try sample popular free suggest might like also try Manhattan . staff friendly enough - like keep not like intrusive staff . breakfast include price fruit salad plus basket toast bagel muffin . great stay would highly recommend hotel area . 
 Apr 25 2007 	 would not stay anywhere else 	 New York expensive , really need save cash . yes , room tiny , much village , be room much . place excellent location , close subway would never take pricey taxi . staff super friendly helpful . really would not stay anywhere else . even mother stay loved . 
 Apr 19 2007 	 Cozy hotel great location 	 stay hotel three night . attend conference NYU wife art business . travel New York lot . wife artist gallery representation Chelsea , father , New York City native , live midtown . spend almost time downtown constantly look good place stay Village , SoHo , Chelsea , thought would give one try , give business NYU . say favorite place stay downtown far , money ( think end pay 250 night -- would Labor Day New Year 's , imagine . spend much NYC end dump , know , star rating NYC hotel mean nothing -- know place ) .To begin , location fantastic , easy walk distance good street shop city ( Bleecker St .. , example , fabulous Murray 's Cheese Shop Amy 's bread , block away ) . good subway access nearby well , right Broadway . we often stay Solita SoHo hotel , Grand St. Lafayette ( 15 - 20 minute walk Broadway ) , find hotel well money . begin , room large New York standard -- much large Solita -- nice bathroom good light , include free internet access . furnishing , linen , etc . relatively new excellent condition , decor tasteful Deco - flavor . the building lot character charm feel & quot ; old New York , & quot ; part city . & quot ; charm & quot ; not mean & quot ; old break down . & quot ; quite contrary , build excellent shape , nice , spacious lobby , good elevator , nice , cozy little bar right lobby , good bar restaurant ( North Square ) attach , nice continental breakfast include rate ( excellent muffin , fresh fruit , coffee juice -- big deal be surround great coffee shop , nice nonetheless ) . find service fine , though New York hotel , depend bit working desk whether run serious problem , . find staff friendly , helpful , warm . in short , want stay Village , not want stay ( pay ) large place like one Grands downtown , excellent choice , good combination character , service , amenity . location good get . will stay visit NYC , be quite compliment , give often go . 
 Apr 19 2007 	 great Hotel . 	 recommend stay hotel one mate London . hotel great , nice cosy relax . staff really friendly really like Ambience . for price location hotel beat ! make sure book deluxe room other cool . I back several time always stay Washington Square find one good hotel stay location value money . anyone UK stay ! 
 Apr 15 2007 	 Great Village location character price ! 	 stay two night , Thursday Friday Easter weekend 2007 . arrive morning check - in 3 p.m. , arrange doorman store luggage come back later , problem . front desk note request room high floor , case return . everyone deal helpful pleasant . our room quite comfortable clean . noise street first night , last long . face onto McDougall view park ; imagine would street noise summer . room right behind elevator , hear . hallways somewhat narrow appear paint carpet last year . judge decor room , may superior room rather deluxe room book ; would recommend superior reviewer . overly large fine two people . the hotel central everything want , include several subway line . breakfast restaurant morning . food service good , though bit expensive . order menu instead include breakfast ( coffee , fresh - squeeze orange juice , dish fruit salad basket toast bagel jam butter ) . many choice area , probably try cafe restaurant next time . lunch dinner hotel , try bar . the doorman Thursday friendly recommend various place see thing . doorman Saturday actually run street catch we & amp ; let we know front desk discover charge wrong credit card ( change card use make booking , put charge original card & amp ; notice ) . correct profuse apology . again , flight well check - out time , leave bag problem , able enjoy rest afternoon . even maintenance guy take bag friendly chatty . may staff hotel welcoming , meet , eight nine recall . we lot online research decide hotel , price think one good choice . location unbeatable , hotel much character compare chain hotel , New York easily pay double size room elsewhere . experience good , speak several guest repeat visitor like hotel price . 
 Apr 10 2007 	 Fantastic Locatation Great Interior ... 	 whilst hotel fantastic location generally great place stay , find front desk staff rather sullen unwelcoming . 2 6 staff actually friendly . make sure book deluxe room view otherwise will end brick wall outside window make room hot noise ac unit unbearable . other .... highly recommend ! 
 Apr 9 2007 	 Location Location Location 	 expect much hotel . true nothing around similar price location fantastic wnat stay village , that´s it . I pay 220 usd , plus taxis , room big bathroom . open door move suitcase place suitcase . wardrobe one square meter , less . the air conditioning unit fix properly cool air come room . room noisy ( hear street noise even 9th floor ) pipe bathroom make funny noise timestaff : unfriendly . never help we question luggage . last day forgot ring limousine get airport ( service recommend ) almost miss plane . say car flat tyre true . there exception : short man beard , nice helpful . next time go place book apartment want stay hotel anymore cost 100 usd 
 Mar 26 2007 	 clean great location 	 half price NYC hotel book ahead time , right middle cultural interesting thing see , frill hotel , impeccably clean , spotless bathroom linen , safe , friendly enough not aim befriend staff , 6 $ cab ride Javits , 7 $ madison area , trendy tribeka shopping , diner , shop , street vendor ... right across street washington square . complaint : horrible pillow . 
 Mar 20 2007 	 great location ! 	 hotel fantastic location right middle Greenwich Village ... staff nice , bar cool , hotel walk distance great nightlife restaurant . definitely pay location , room tiny ( clean ) non - descript ... 
 Mar 6 2007 	 convenient location good value 	 room bit shabby clean bathroom immaculate . location brilliant , walk distance sight village . although room temperature fine , lobby hallway overheat point unbearable . hotel noisy , various slamming door guest run hallway shouting hear quite loudly room ( especially 3 ) .I one issue front desk . flight delay several hour weather call arrange front desk friend meeting allow check room arrival . assure problem , however , arrive would allow check not credit card suggest sit lobby wait ( 6 hour ) . take several call sort finally let room hour 2 arrive . 
 Feb 27 2007 	 Fab hotel - not drink ! 	 stay WSH 5 night mid Feb . room great - although something mad go heating bathroom room like 1000 degree , even aircon ! ! ( slightly odd middle snow storm , reception not bother waste energy ) location hotel great - right village . much nice dull midtown . great restaurant bar doorstep - good thing , find bar staff cafe first floor downstair bar APPALLING ! ! ( except one girl run cafe Thursday evening - friendly helpful ! ) . staff never smile frequently ignore guest walk away take order . likely due fact service automatically add check - make stand not feel like pay service ! ! would go back wsh - will not drink ! 
 Feb 24 2007 	 highly recommend 	 ' ve return 3 - night stay Washington Square Hotel really like . deluxe room beautifully decorate , really appreciate robe fact umbrella provide room we ! window show fantastic view WS , although little disappointed ' curtain ' show not close ( regular blackout blind well ) . Breakfast serve 11 , perfect we , fruit salad bagel / muffin although cream cheese , would appreciate . the area around hotel fantastic , really bohemian load look fab bar restaurant . try Quantum Leap cheap healthy food be veggie , Chumley 's great beer ( especially pumpkin ale ) check chess club nearby . amazed see score people play game well night ! have give hotel 5 star door staff bit scary , dressed black , although friendly enough . make little uncomfortable . all though , would really recommend hotel . 's lovely , great area worth cash IME . 
 Feb 20 2007 	 Great Little Hotel ! 	 nice little hotel .... great location , right Washington Square , 2 block heart West Village , street historic residential real estate leave Manhattan today , walk distance Soho . gorgeous foyer , staff would expect NYC hotel , efficient within capability , room modest quite small , adequate . adequate long stay lot shopping however ! ' ve stay twice , company , another time , single bed room . room little sparse must say , suited purpose time , available . nice little restaurant basement . sit street window , could direct view across Washington Square Park watch life go sumptuous breakfast ( remember correctly one good ' ve ) . step away 6th Ave fast taxi ride uptown . 
 Feb 14 2007 	 location great ; service appalling 	 maid wonderfully welcoming , security guard friendly enough ; reception wait staff make experience WSH less acceptable . end 11 night stay , feel : - every time enter lobby alien pay guest ( two security guard greet visitor warmly , security reception personnel stare eyeball ) ; - reception staff gruff ; - wait staff serve continental breakfast ( include room price ) mind anything service , treat guest like cattle ; and- include breakfast adequate , unsatisfying predictable couple sitting . the location , however , outstanding ; property seem well maintain . room small functional accord price . 
 Feb 14 2007 	 Gem village 	 second trip WSH happy choice . would always book deluxe room , far nicer regular room . location prime . time feel like slightly large room , fabulous view park . the room though small , spotless . staff helpful , location beat . return 
 Feb 6 2007 	 Great Hotel ! ! ! 	 stay two night end January 2007 find property delightful . after read review , follow one traveller advice book , request Deluxe room several floor Annex . also , book directly Hotel website . tell hotel pay attention reservation book show preference use reservation service . upon check , guide room hotel employee delight find clean properly stock everything promise . take next day figure nightlight bathroom , though . shower sparkle clean water easily adjust - hot water plentiful . water pressure great shower head terrific . bed make 4 large pillow ( another closet ) 1000 thread - count sheet . safe closet ( note : customer need request key front desk choose use ) plenty hanger well shelf shoe , bag etc . breakfast include cost stay consist good sized bowl fresh fruit , half toast bagel small muffin . jams butter bread also serve small glass juice tea coffee . evening visit lounge attentively serve bartender pour generously . I one suggestion make , share staff . wake three morning room door slam nearby . let staff know would good idea try eliminate put sign inside room door request close quietly hour 11 pm - 9 . hopefully , intend stay hotel . 
 Jan 28 2007 	 wonderful location pricey 	 stay Washington Square Hotel 5 night begin January , agree review : location main attraction , really recommend want less touristic much interesting area Village , be lively , beautiful wonderful choice restaurant , bar music venue walk distance . also , hotel 's close subway , reach part NY easily . but hotel cost bite much offer . decor atmosphere nice , staff helpful , go deluxe room , understand big one ' ve give , small even NY standard , extremely tiny cupboard ( way unpack luggage ) , comfortable bed terribly clean . also , breakfast & quot ; continental & quot ; , be buffet not choice big eater want skip lunch ( ) , will end eat breakfast somewhere else . general , feel not try hard know location unbeatable ( far know ) alternative level area . not go New York spend time hotel room , location still important issue . walk Washington Square sunny morning around Bleecker St. night make easily smallish room ... 
 Jan 22 2007 	 Funky functional 	 stay Washington Square Hotel early December , 2006 . like funky decor not mind & quot ; European & quot ; -style ( i.e . amazingly tiny ) room , location can not beat want explore Village , MPD downtown . price bad , either , room clean . however , stay hotel strongly advise request room face MacDougal Street . room AC / heating unit window , rather build wall , mean 's impossible close windows street noise , considerable busy street . ( due part fact Mario Battali 's popular Babbo restaurant locate twenty yard away . ) get basically sleep night , due constant banging , clanging , honk shouting . also , bed feel little bit strange -- weirdly convex -- not comfortable . overall , would not give one strong recommendation , though can not say sure whether experience would typical . 
 Jan 20 2007 	 small room surprise 	 first floor room air conditioner stuff window extremely small . surprise , family COCKROACHES scurry around . management give we second floor room night two also small . small Manhattan room . reason rate property & quot ; terrible & quot ; location wonderfful . recommendation see room first , upgrade deluxe , stay low floor . however , will not return . 
 Dec 27 2006 	 good value NYC 	 great location want see Greenwhich Village . walk Soho , East & amp ; West Village , Union Sq . , easy access subway part city . 4th street train station right street . Mario Batali 's Babbo across street great little place eat Cornelia St. 2 block away . especially like cuban place , think 's call Havana . Cornelia . staff aloof good rude bad . stay lot work NYU . definitely worth splurge deluxe room regular room small.if toursit recommend West Village walk tour offer Big Onion . website schedule walking tour . bar / lounge basement behind C3 hide , worth find . 
 Dec 21 2006 	 Great Hotel ! ! ! 	 boyfriend & amp ; stay WS hotel early December & amp ; could fault hotel . staff friendly & amp ; helpful , breakfast fruit , bagel & amp ; tea / coffee great & amp ; internet access handy . could either use wireless internet lobby use internet room use cable supply ... course need laptop . hotel locate Greenwich Village funky / retro area explore . we stay deluxe double room however would suggest get queen deluxe double room . double room small average european hotel room however still really enjoy stay 4 large suitcase ! book hotel via website ( find good deal time book June 06 ) however unsure stay hotel previous review . I would highly recommend hotel anyone stay New York & amp ; definitely stay WS Hotel next time New York . 
 Dec 19 2006 	 Deluxe Room recommend 	 stay 6 night Sept . check staff ask we wait 20mins arrive & quot ; stay long period would like nice room & quot ; . allocate room overlook Washington Square park front hotel . room Deluxe would recommend room seem quite big especially NYC . smallish bathroom ok . thing say big fan pinkish colour room serious fault ! rate include breakfast consist juice , fruit , muffin tea / coffee attractive cafe downstairs . breakfast serve staff . think particular value stay unless big eater , enough keep go day . give price food / drink / taxis / tip NYC , handy budget . first arrive take care friendly doorman think may turn bit pain length stay . almost intrusive time come accept friendliness genuine sensitive enough one sit lobby bothersome . helpful taxi 's etc obviously love job add experience . think location hotel great downtown stay . access subway well bus within minute . countless place eat drink direction bonus near New York University lot eat option cheap . be mindfulthat unless laptop , internet access find annoying anticipate . there internet cafe around one use cheap keep mind important you . overall though happy staying , say , go expensive option room type . 
 Dec 15 2006 	 fairly price good location Villiage 	 friendly place make difference . clean , old hotel enough charm see . 
 Nov 17 2006 	 Pleasant Stay 	 Washington Square Hotel pleasant departure overprice midtown hotel . get deluxe room annex happy experience . little amenity like bath robe , night light , iron , hair dryer full size umbrella name . top adequate free continental breakfast quiet Village location pleasant stay NYC . 
 Nov 8 2006 	 fantastic hotel highly recommend 	 stay hotel 5 night recommend we friend would stayed - not disappointed . 's fantastic location next Washington Square garden minute walk 6th Ave . reception ' greeter ' hotel exceptionally helpful friendly . room one renovate queen room particularly spacious , really nicely do - exactly like photo have see website . breakfast table - service tea / coffee , orange juice , fresh fruit salad , bagel muffin - bad . not try eat hotel restaurant evening , hear good . fully recommend walk road though Apple Restaurant 17 Waverly Place - food ambience fantastic . 
 Nov 7 2006 	 nice hotel ...... 	 enjoy stay hotel great location . room size small clean quiet . bathroom also clean , update , maximized usage space . negative room pillow , comfortable . however , bed linen quite comfortable . also enjoy dessert restaurant superb enjoy continental breakfast morning . find hotel staff accomodate friendly . would definately recommend hotel family friend . 
 Oct 28 2006 	 Washington Square great stay 	 stay Washington Square two night . employee friendly helpful soon arrive . room clean nicely decorate . 1 issue - air conditioner would come temp room little humid one day stay . location great - heart Greenwhich Village 1 block subway station . 
 Sep 30 2006 	 great price great location friendly staff 	 finish second stay Wash. Square Hotel great , . yes , room small , be NYC . however , room clean , well - style , bed comfortable . secondly , price location hard beat . stay three night $ 205 night , tax , lovely easily accessible part city feel safe wandering around late night discover new place . thirdly , staff wonderful , helpful welcoming . can not comment continental breakfast serve not eat morning due work schedule . sure , be fun find new place stay NYC , like hotel would happy stay . 
 Sep 28 2006 	 Amazing Hotel 	 slightly worried stay hotel review great however hotel amazing ! okay , room tiny , hallway tiny bed good view room great ( Empire State Building ) . hotel really close everything New York City place $ 6 cab fare ( walk place ) . doorman fantastic North Square food ( breakfast average dinner die - eat 4 night 7 ) .would stay recommend anyone . 
 Sep 27 2006 	 Nice Hotel 	 nice hotel Greenwich Village , close subway . room first night hot quite claustrophobic problem getting move another room next day much well . 's great place stay get room front building . Decor really lovely . complimentary breakfast also include . 
 Sep 26 2006 	 Wonderful Washington Square 	 lucky hotel , location fantastic , five minute Greenwich Village , two minute subway , two minute 5th Ave , absolutely love location , wonderful retreat hard day shopping / sightseeing wander park chill . stay third floor annexe deluxe room ample . queen size bed , small bath , powerful shower , sufficient towel unuusal hotel , peaceful walking uptown lot hotel absolutely amazed quiet hotel . desk staff really friendly one guy even print us bar visit cinema time . want ie room get kip bit rest sightseeing go night ideal - would highly recommend , read review room small would disagree , would compare travel inn type medium sized room ( UK ) maybe small americans ? , notice room without window overlook another wall would not chuff probably well ask 3rd floor annexe 
 Sep 9 2006 	 nothing special 	 Location convenient want stay West Village , decent location hotel really not great . room pretty small ( be expect Manhattan hotel ) 2 star hotel type vibe goin ' . $ 250 not get much Manhattan unfortunately . 
 Aug 15 2006 	 little problem Big Apple 	 husband stay Washington Square Hotel three day hot day 2006 , hotel cool comfortable every way . front desk clerk AWESOME ( deal many different time day night ) ; maid friendly helpful ; bellman help we bag , get taxi , find shop club nearby ; staff restaurant breakfast professional take order quickly , spite fact restaurant full . bar downstairs close renovation ( fact almost cause we go different hotel ) , lobby bar lovely still load place go neighborhood . hotel atmosphere , heart Greenwich Village , wonderful break noise heat city . room small not view ( though ' ve view Washington Square Park ) , quiet , spotless room really cold air conditioner great bed ! ! Washington Square always first choice New York City . can not wait ' til downstair bar reopen ! 
 Aug 13 2006 	 great location nice upgrade room 	 first time visit NYC - great experience Washington Square Hotel . Deluxe Queen plenty & quot ; spacious & quot ; ny standard . everything recently upgrade ( except maybe AC work flawlessly ) . charming hotel great location . hop subway right around corner - need within walking distance . great stay - look forward go back . one note -- try book two night stay online deluxe queen room come unavailable . call hotel directly available . go figure . 
 Aug 12 2006 	 great . 2 star 	 hi Stayed July . air condition terrible room small . stay want romantic weekend NYC really noisy will not want spend time room . stay Doubletree suite Time Square last year much well . expensive worth every penny . honest , not know hotel rate 3 star Trip Advisor . good 2 star- clean good location room basic far , far small . ask deluxe room . move one first night bearable . stay Doubletreee Times Square instead - worth every penny . 
 Aug 1 2006 	 ` ` Deluxe '' make difference ... 	 spend 5 night July , excellent . deluxe , 2 son ( 20 + ) superior . big difference . pay extra dollar well room wonderful . service good , location great . easy access subway , easy walk village , SOHO , etc . room quiet , good bed , small nice bathroom . hallway maze , build old .... ? experience excellent . frequent traveler Dallas , Texas . 
 Jun 29 2006 	 Cute not count ! 	 call deluxe queen room tiny closet space mouse ( large mouse , anyway ) toilet flood bathroom not look . charming otherwise nice staff , enough overcome rest justify $ 220 / nite . 
 Jun 18 2006 	 delightful little place great location 	 check WSH . great place . one deluxe room ninth floor . small double bed extremely comfortable room newly rennovate well appoint . NYC not expect spacious accomodation . complaint room view brick wall . since hardly room except sleep really not big deal . location , Location , Location . hotel one favourite place NYC . located heart Greenich Village Washtington Square Park , close action many subway . great bar resturants area dinner hotel excellent well . continental breakfast include rate adequate -- fruit , bagel , muffin , OJ coffee tea . breakfast staff particularly friendly staff be . the fitness room small woefully outdate walk one NYC big deal . overall would definitely recommend place . 
 May 23 2006 	 Perfect Gem 	 recently visit Washington Square hotel three night stay pleased hotel offer . love everything hotel . reservation , front desk , housekeeping staff member wonderful . always extremely pleasant , helpful gracious . accommodation lovely - newly renovate room , decor beautiful - everything brand new . continental breakfast nice - juice , coffee , bagel , fresh fruit , etc . , bring table enthusiastic efficient staff . hotel convenient everything city offer - subway right street make transportation easy , hotel right across Washington Square park , nice perk . look forward return hotel near future . 
 May 18 2006 	 Great Location Acceptable Hotel 	 choose hotel location despite mixed review Trip Advisor . make specific request upgrade room book , also ask high floor . although get ugrade room second floor quite noisy . however , be stay busy part Manhattan expect noise always pack earplug ! room size average NYC freshly decorate nice bathroom good shower . bed comfortable . the service reception staff acceptable , concierge excellent ... extremely friendly helpful . breakfast provide pleasant basement cafe consist plenty coffee orange juice , small fruit salad toast bagel muffin . could also order additional food menu reasonably price . staff friendly cheerful . location hotel ideal explore Greenwich Village , SoHo East Village . would recommend hotel , sure request renovate room . 
 May 5 2006 	 Treasure 	 location excellent , bang middle Village , adjacent washington Square park . staff accomodate ultra friendly . rate fair , consider location . Breakfast include , simple continental , enough get day go . subway close , everything else , seem . , need large room , not . wireless free , sit lobby 's comfortable place work , although three pm , one welcome sit tearoom , pot fresh brew tea work peace comfort . 
 Mar 10 2006 	 Washington Square Deal ! 	 visit Brit ' ve stay far many hotel Manhattan - midtown big one , Chelsea , Paramount many . value money , location quite generous size room - get one recently renovate one - great place . friendly staff , great comp breakfast spot bang Soho , Village Broadway bottom 5th . visit mainly tourist spot uptown gallery would stay midtown save cab , otherwise want get away tourist trap hang local great area hotel . oh 's REALLY good price well . 
 Mar 2 2006 	 good choice 	 Washington Square Hotel well situate Greenwich Village . alot & quot ; ambiance & quot ; without & quot ; crowdyness & quot ; Time Square . around hotel , beautiful park many little shop restaurant . at hotel , people front desk nice helpful . feel security always doorman . room small expect . small ok do not stay room visit New York . room clean bed comfortable think important . place could upgrade , continental breakfast ... poor . get fruit salad , bagel muffin jam . cheese bagel not offer , ask . maybe could something else ask ... anyway , really appreciate place go back sure . 
 Feb 13 2006 	 disappoint 	 stay hotel location - near daughter 's dorm . room book ( book deluxe ) . tiny , chair , bed small well . also , window look airshaft add claustrophobic feeling . t.v . not function properly . shower curtain inadequate . bad , staff helpful border rude . try check ( online confirmation ) process somehow keep tell we sit . would , seat lobby occupy . snow need extra night 's stay tell would call we back 10 minute ( not ) . heat room could regulate except turn air conditioner . would stay . 
 Jan 11 2006 	 perfect little bolthole 	 first , room really quite small not lot storage space . every guidebook , hotel website , review etc , mention . not unreasonable expectation . want spend time room anyway ? wonderful little hotel . real character . location , right Washington Square heart Greenwich Village perfect . less 2 minute subway . one good italian restaurant New York opposite , food hotel restaurant excellent . free breakfast adequate people - juice , tea coffee , muffin , bagel fresh fruit . bed extremely comfortable ( stay deluxe room can not vouch ' superior ' room ) bathroom , though small , clean new , instant hot water , fluffy white towel amenity . staff could enough we . really friendly front desk lady morning give we end help advice tour sightseeing . love . pay around $ 200 per night think average type hotel location . last two trip NYC spend expensive hotel invite staff people completely indifferent we . 
 Jan 9 2006 	 book right class room 	 little hotel great location , charm european hotel . room really fine - provide book DELUXE & quot ; Superior . & quot ; chambermaid show we Superior , believe , REALLY want stay deluxe - 's worth extra money . guess negative review people stay Superior . nice little bar , nice restaurant lowerlevel . comp breakfast fine , lunch good . 's fine place hang hat spend ( hopefully ) time explore NYC ! 
 Jan 3 2006 	 ok price 	 2 night new year eve weekend ... third floor . window would fully close , lot fresh air . bathroom look like brand new shower curtain pain -need curve curtain rod shower door . room small , chair ! little room storage ... bed comfortable . hallway need redone , tired . exercise room joke . continental breakfast included- juice , coffee , fruit , mini muffin bagel half . good location other say . visit kid nyu would say stay . , probably lot well bit money . 
 Dec 14 2005 	 try steal money credit card 	 ok , hotel great thing ever see bit overprice , comfy enough , great location . pay credit card first night , do not know long stay end stay four , pay day room instead lump sum end stay ( pay around £ 80 night ) - suppose mean plenty opportunity make copy card number . get back uk urgent letter bank tell money attempt take card 3 occasion ( amount £ 1000 ) give exact local time attempts- around 3 4 morning . reason , barclay able spot suspicious look stuff go account , allow money stolen- lucky one , probably do ... doubt must staff hotel , use cash everything else trip , except pay room . 
 Dec 6 2005 	 great location lot character ! ! 	 look sort hotel New York bargain basement budget ludicrously price luxurious , settle Washington Square Hotel base positive review site desire Greenwich Village . since first trip New York place dream go grow Flashdance & amp ; Fame , want perfect experience . enjoy stay Washington Square Hotel except first night disappointing room acceptable . arrive quite late night London think give room available . particular deluxe room ( pay extra suppose one new room ) small filthy especially bathroom bath tub . late nothing could promise another room follow day , deliver smile bad attitude . room one big hotel locate annexe area lot rennovation . room perfect really good size ( big ) , noise bathroom spotless . evey morning greet friendly staff restaurant start day fill complimentary breakfast bagel , muffin , fresh fruit juice / hot drink . Washington Square Ritz lot character , friendly staff ( even work man renovate room ) good part New York , Greenwich Village 's cool bohemian vibe , shop , bar , restaurant Soho Tribeca stone throw away . Washington Square Park directly opposite hotel ' Sex City ' fan Patricia Field shop couple block away hotel ( get visit ) .I would probably stay mainly location would recommend book deluxe room , newly rennovate ( 3rd Floor Annexe ) preferably view Waverly Place although view unimportant much see New York ! ! 
 Dec 6 2005 	 good 	 probably one bad hotel room ever stay . website give great impression room , even yet refurbish - one stay . room ground floor , double glaze - noisy difficult sleep . also kitchen roller door open closed night ! bathroom tired say least carpet tile lift floor . staff attitude tend ' so ? grateful ' ask non smoking room friend moved give smelly smoking room - never mind new room ( much small ) overlook brick wall ! say art deco lobby public area lovely , public lounge restarant popular local location great Greenwhich Village metro . 
 Dec 6 2005 	 Fears Laid rest 	 read recent review hotel , terrified group six woman entrust make room reservation would lynch first night . however , instead tiny , noisy inadequate room read nice , quiet , recently redecorate room . bathroom instant hot water nice towel . $ 190 per night room rate busy weekend year even include breakfast day . one block subway station , neighborhood fun . one good restaurant Manhattan right across street . would not hesitate recommend Washington Square Hotel -- 's great place price . 
