Nov 	 great service great location 	 wife enjoy stay last june great service close attraction 
 Jan 5 2008 	 great first impression room let ! 	 IHG continue allow Crowne Plaza brand de - value poor property . recently stay Crowne Plaza property Birmingham , London Leeds , poor . the Crowne Plaza St James , review say , look great . reception lovely , general front house area . however get past reception leave little doubt hotel need fair amount money spend it . like Crowne Plaza Birmingham hotel stick 70 's . room poorly furnish modern standard , bathroom date . room cold due poor in - room heating ( thermostat indication hot cold help ) , single glaze window . bed interesting stain , generally look old . overall , job bed night , would class property well 3 star . invest money great potential , moment another old London hotel - over - price need refurbishment . 
 Dec 29 2007 	 enjoyable stay St James 	 stay Xmas daughter see show also sale shopping . we upgrade exec room although date large London standard clean adequate need . the hotel staff attentive willing help also take good care us breakfast . the location great palace , london eye , Big Ben etc etc five minute walk tube station . lack evening eatery surround area drawback plenty cafe etc day lunch hotel three resturant attach rather expensive . all good hotel good staff complaint . 
 Dec 26 2007 	 Average Hotel Average Location 	 stay Crowne Plaza London , St. James November 16 , 2007 November 24 , 2007 . hotel staff polite never go way we . everything quite serviceable nothing special extraordinary . this first stay London would take lot detract trip . title mention location average . say business people leave area weekend , part town mostly desert . would prefer stay lively area next time . be 1/3 mile Buckingham Palace nice also within walking distance Parliament , Green Park , Westminster Abbey , great many attraction . I please booked hotel / airfare AAA . take care detail transport from / to airport ( Gatwick ) nice . first international trip , feel secure use service . overall , displeased stay . however , know great city London , would likely stay Piccadilly Circus area maybe close British Museum . we love trip much consider return 2008 - probably summer . return plan see great deal country particularly look forward visit Cotswalds . 
 Dec 25 2007 	 great price . 	 hotel part package deal local travel agent . two twin room 1 night . overall poor experience . glitz glamour downstairs lobby restaurant , shabby upstairs room hallway . we request non smoking room , one room obviously smoke room . ask housekeeping freshen room dinner , return room spray air freshener ( clean ) , awful smell air freshener cigarette smoke . request another room take almost hour transfer ( approx 50 % occupancy accord porter ) 11 pm great . we end move floor wing ...... inadequate lift service frustrating wait long . we find breakfast well average , stand outside breakfast room wait available table , ' hot ' buffet tepid , rest uninspire .... 4 * hotel one live expectation . the positive location doorman . 
 Dec 18 2007 	 need Renovating 	 reviewer correct . when arrive , impressed numerous liveried doorman , etc . hover around well - present reception area . but head upstairs be walk threadbare carpet room date term furniture decor . loose door handle give poor impression . bathroom sink unit look ok , bath area old . water pressure ok , hot water always hot . heat towel rail nice feature . bathroom frosted glass window get natural light , night , absence curtain / blind , mean outside lighting show through . breakfast include rate . ok , buffet offer less half selection low - level Holiday Inn chain . if get discount rate , well do . location good ( St James 's tube close Victoria ) . otherwise , much well all - round hotel elsewhere London . 
 Dec 9 2007 	 tired hotel need renovation 	 spend four night hotel December . build reception area impressive . however , go upstairs room let . carpet wall shabby public area also room . carpet room large cigerette burn . Windows shut properly . would expect four star property . dissapionte building really impressive old much could do demonstrate impressive lobby . food also pricey . suppose restaurant pretty good draw people stay . however actually stay shabby room feel another way get even money you . service fine four star . if refurbish place would hesitate go back . 
 Dec 7 2007 	 dirty Rude Terrible Service safe 	 horrible , traumatic experience . pre - pay could leave . first room option dirty floor , wall dusty furniture . 2nd room much well . reservation change without permission . contact front desk problem , become rude we , attitude continue . morning buffet plate top pile never wash . slimy egg sausage . tell big deal management . provide toilet paper kleenix . indeed , argue get . first day , personal item paperwork tamper . call credit card company card cancel change . even write complaint handle disinter . feel safe . american especially poorly treat . 
 Dec 3 2007 	 nice place stay - good food excellent service 	 work London book hotel near venue . nearly cancel read previous review . really glad didn't . the hotel short walk St James tube station , five minute walk Buckingham Palace park 10 -15 minute Westminster Big Ben . friendly welcome door check - in . process quick easy reception staff polite friendly . standard room large bathroom clean comfortable . towel bathrobe soft fuffyWe eat bistro , food wine great , service excellent pudding amazing . breakfast buffet good . lovely swiss museli , fresh fruit , assort ment packet cereal , yogurt fresh juice , hot selection breakfast fayre , cold meat cheese . egg order hot toast . fresh pastry , bread roll muffin . everyone seem enjoy . service excellent . every member staff encounter pleasant polite . 
 Nov 28 2007 	 delusion grandeur 	 might great hotel much good . first room fob we cramp , dingy filthy carpet large hole . explain would suitable accommodate livestock let alone human guest offer well room 50 % big carpet comparitively light soiling . breakfast pretty awful , demand proper butter rather ' spread ' cereal allbran frostie sit large open bowl people cough . ' hot ' selection not hot item mediocre quality . orange grapefruit juice nice available tiny glass tiresome . rack rate £ 300 per night would mentally deficient pay , worth £ 75 . 
 Nov 27 2007 	 Service terrible 	 family two room three night . desk representative friendly . room okay bed double bed small compare full bed . shower great . sure hotel get 4 star rating . carpet furniture need replace . ask switch room king queen size bed next day tell we leave bag pack room would switch we . arrive hotel around 5 pm go get key switch we . alot confusion desk hotel sell guest think reservation get frustrated walking . finally switch we luggage never move still old room . hotel perfect location see alot attraction . shop grocery store far hotel . even come across street market good stuff . see market great fish chip shop . overall ok hotel definately would pay high price hotel . 
 Nov 24 2007 	 tired scruffy room 	 good location , early review right small room , clean worn furnishing tiny bathroom have not renovate decade . tv 20 year old Nokia box - people not use anymore home ! ! hotel go downmarket since last time stay disappointed Taj Group would preside establishment mediocre standard . 
 Nov 22 2007 	 Perfect Still leave Good Impression 	 stay hotel 3 night attend symposium Essex . good location since near Buckingham Palace little far think West end London Eye . lay back atmosphere hotel . room average expect typical european hotel . not expect good view room hotel . Buffet breakfast available cafe 6 - 11am serve traditional english fare . Old World charm evident lobby courtyard . satisfied hospitality / service show concierge , bell staff / porter , front desk personnel . would recommend hotel planning stay London . Crowne Plaza reliable hotel brand . 
 Nov 20 2007 	 great location 	 stay July find location brilliant . reception look wonderful staff helpful , check slow . get room quite disapointe not live stabdard reception . quite plain room particularly high standard . cost mini bar ridiculous . breakfast nice next morning though . 
 Nov 14 2007 	 terrible experience ! stay ! 	 bid popular online hotel bidding site stay Crowne Plaza St. James , decidedly pretentious hotel near Buckingham Palace . unfortunately flight California cancel due weather , arrive next day reservation 8 am . I send hotel email inform late arrival . nonetheless , rent room . eventually 2 pm , another room find . hotel credit manager , someone name Phillip , refuse refund room , rent room twice one night , make wait 6 hour room already pay . delay London vacation even far . by way , rather tired hotel . carpet wear . furnishing room unmatche reject use furniture sale . matress worn lump . plan stay hope honest first - class experience . 
 Nov 11 2007 	 Dissappointing 4star hotel 	 spend long time decide stay London - unfortunately first choice avaliable end Crowne Plaza St James . location good Westminster & amp ; Victoria area . reception area nice 's good bit . allocate room 7th floor certainly live expectation ! small & amp ; look onto part hotel back .The bathroom look ' tired ' dirty grout crack cornice . for money pay expect 4star hotel London would find difficult rate room 2star would recommend . 
 Nov 9 2007 	 's use 	 stay Crowne Plaza London St. James many time year . happy memories staff work find good price ensure enjoyable stay . grow 's upscale demeanor , become less less accommodating welcoming . once - friendly desk staff assume hauteur ridiculous . you ' ve certainly hear airline lose luggage . first time hotel misplace luggage . arrive London overnight flight , arrive hotel room available . understandable . room available check - in , could locate luggage concierge desk , deliver wrong luggage room . certainly edge . desk staff never offer apology . the complimentary coffee lobby early - riser disappear . current exchange rate , breakfast buffet obscenely expensive . someone expense account would consider pay much breakfast . short walk street Buon Gusto provide & quot ; full Engish & quot ; uk3.70.except excellent location , long think reason stay Crowne Plaza St. James . especially price . 
 Nov 7 2007 	 oh boy adventure ! 	 ' ve stay hotel time past ; time staff friendly helpful . upon check late Friday night -- guest line desk wait -- ask upgrade receive one without question ! first night tired stay , second night -- wow ! lay bed long day sightseeing throughout London fall asleep , hear dripping sound sit area . get take look see ceiling leak ! slowly first , water start stream ceiling area , plus light fixture bathroom mini - bar closet -- turn major water main break area room . needless say worried damage belonging even possibility electrical fire . staff take good care ; ask wait bar downstair complimentary drink could find place put , move across courtyard luxury apartment . could disaster , due action staff everything end ok . 
 Oct 29 2007 	 great location 	 good , centrally locate hotel , close St. James tube station . check quick . clean medium sized room slightly spongy matress . stay Friday night check realise room overlook school rear , bit noisy day obviously quiet sat morning . say highlight stay return night walk aroungd central courtyard admire architecture hotel . see understand . would consider hotel central london stay . close westminster buckingham palace ideal tour sightsTrentEndRed 
 Oct 7 2007 	 Luxury 's Finest 	 hotel luxury 's fine . beautifully renovate old building , window open ! spacious , quiet , pretty room gorgeous bath . staff extremely accommodate , even deliver battery sound machine jet - lag go . location superb , walk right Buckingham Palace , nice grocery store close . Priority Reward amazed wonderful room give . perfect hotel splurge . 
 Sep 30 2007 	 Good Location 	 Hotel great location room comfortable , check - in extremely slow check - out even slow . the food extremely expensive good . breakfast joke , cold plate luke warm food . not order toast eventually turn rest breakfast stone cold . staff generally superior attitude welcome manner . we return . married couple Leicestershire 
 Sep 30 2007 	 Scruffy 	 recommend Crowne Plaza friend also read review tripadvisor , friend look forward short break London . stay Crowne Plaza 's expect room similar standard . disappointment ! whilst public room pleasing bedroom describe dingy shabby . although bed clean , carpet stain furniture old ( although old tasteful - tacky ) room looked refurbish 10 year ago . bathroom mildew one wall although 2 us sharing room , housekeeping must expect we share bathrobe leave one . enough say bathroom house would pull year ago . would not return hotel . 
 Sep 3 2007 	 average hotel view comfortable bed 	 daughter stay August room 0870 . standard room . First Impressions hotel . crowded reception , deal incoming tour operator . arrive 3 pm . request ( couple week beforehand ) top floor room view . room not ready . told come back 4 pm concierge store luggage . go 430pm . room still ready - wait 445 obtaining room . apparently someone late check , chair break . penalise someone stay late ? reception large airy . nice seating area wait , wait wait . room 0870 ( think poster try give room number place visitor know good bad room ) . ok , go courtyard spa area access room , since concierge take suitcase bother . lift accomodation small / dingy , good sign . Corridor OK , rasberry wallpaper ( yuk ! ) , 10 room floor reasonably quiet . room small , two single bed manage push together . clean linen / carpet / wall cover . resurfaced furniture , look ok . one chair two we , long bench corridor . bathroom size cupboard , large enough full length bath . bathroom marble ( see piccie ) . room quiet peaceful , view make london eye . air con work efficiently . tea / coffee provide water first night ( second ! ) .restaurant . Sunday night busy , waitor overwhelmed , little service , apology maitre ' . food good , astonishing , staple ( eat set menu ) . Set menu change Mondays package night set menu get repetitive ( 3 main course ) . dessert good . take 2.5 hour 3 course meal , far long . Monday night go much early , 3 course one hour , waiter know go theatre . breakfast . appalling , bad feature hotel . Monday morning 0915am space restaurant , queue , lady ask would like go alternative restaurant , naively say yes . take windowless room , baggage store back stair . food even warm , service lacking , natural yogurt , poach egg . second morning , inclusive package , go room service . well , although note try charge extra natural yogurt / fresh fruit , miracuously disappeard time check out . I get good package 2 night 242 pound inclusive vat priority club point club . since one night stay without VAT 125 pound without breakfast , well , thought get good deal , would pay rate quote website room , get big / modern room bit view victoria park plaza / the rubens/41 around corner need Victoria . want room overlook Buck Palace , Rubens great ( although pay supplement , room quite small ) .Unless good deal , would probably go . 
 Aug 26 2007 	 great location 	 get back 3 night stay hotel - would definitely recommend hotel trip London . quiet location ( seem quiet comparison hotel pass ! ) two minute walk St James Park tube station . Tip stay - over - flow breakfast room first floor - much quieter , instant service , rather wait queue get breakfast place next reception . hotel staff meet helpful friendly . 
 Aug 20 2007 	 disappointing stay Crowne Plaza 	 Location hotel fantastic - walk many London attraction . unfortunately really good thing say stay . go Theatre break first room give small single bed - back reception . room actually stay barely big first impression scruffy , dingy small - expect well 4 star hotel . lightbulb , rip bedspread , stain chair could not read bed light inadequate . also numerous problem keycards room spend awful lot time lift - even give we new card not work wait 15 minute someone come room let us - rung twice . breakfast also poor - dining room full take past kitchen another room . food cold buffet keep top ask want anything different although people obviously . overall poor suppose 4 star hotel . 
 Aug 15 2007 	 Great Location 	 travel mother , sister , niece , 2 room one smoke one non smoking . room great realy enjoy stay . room clean , comfortable , nice view . smoker like fact window open place sit courtyard smoke enjoy coffee . food great service excellent . love courtyard , flower , atmosphere fact easy get cab sight . recommene great hotel friend Sept./07 . 
 Aug 10 2007 	 TERRIBLE 	 hotel good location .... family stay three different room three night room one bad . reason leave eight we ( include five child ) hotel area sell . room filthy ! carpet furniture stain dirty . one room mother ask management remove two chair room filthy afraid grandchild might sit . hate return room night day tour . hotel own manage Taj group license use Crowne Plaza name ! 
 Jul 31 2007 	 like hotel location ! 	 22 member family stay hotel cruise Southampton . like hotel - obvious hotel use part tour group alot people - happy room . large , clean bed comfortable ! great location - block pub ( love ! ) block Buckingham Palace . would stay ! 
 Jul 23 2007 	 dirty room ; musty smell 	 would agree review ; hotel badly need renovation , lack cleanliness real issue . carpet bed spread filthy look worn , bed feel would put box spring top . there also sound , seem train subway run nearby every minute . although Crowne Plaza conveniently locate , real let price , would recommend anyone . 
 Jul 22 2007 	 Poor Price - Room bit tatty 	 stay one night whilst attend function nearby . choose hotel literally 2 min St Stephens Club attend function . first impression good lobby quite nice ' m afraid room leave little desire . paiud @ £ 140 B & amp ; b stay Premier Travel Inn near king Cross family £ 100 Travel Inns much well modern . this room tatty , overlook air con court yard constant buzz night . glad drink sleep well ! ! ! ! 
 Jul 17 2007 	 great Crown Plaza price standard . 	 stay last week business , quite pricey even London . rate include breakfast vat . room bit tatty even smell paint dirty rag vent . Bank Restaurant food first class though . view London . would stay . 
 Jul 8 2007 	 Bad check got Better . 	 arrive check struggle find second night 's booking . finally find second night go room . hotel profile clearly state stop smoke room , yes , offerd smoking room . went ask move place apartment - 10 /10 customer service . as hotel , well hotel book resaurant , organise luggage helpful everything do . the hotel great location near everything , comment food eat hotel . the acomodation fantastic would go back - yes , could apartment , sadly do not think would lucky , nice hotel . 
 Jun 26 2007 	 middle everything 	 hotel excellent . bit wait check - in accomidate . first trip england hotel traditional english hotel supose . hotel 2 block st jamese park station close everything . Buckinham palace 5 block away . price pay hotel worth middle everything 
 Jun 24 2007 	 overprice 	 first timer state expect . check - in problem start . apparently staff talk take hour get bag deliver room . even deliver wrong room . ringing front desk produce result . carpet need replace raise place cause trip hazard . air conditioning non - existent . first day arrive face towel room . must also much staff deliver newspaper room every day well . front desk person explain get many newspaper every day . $ 300 day may may get daily newspaper . explain everything else . the thing hotel claim location . room large european standard , well bath . nothing else thrill traveller . 
 Jun 2 2007 	 front substance 	 entrance foyer beautiful . stay lot hotel know usually bad sign . al front substance . could get smoking room . getting marry next day ignore . room standard room , small , really one , one bathrobe towel one . the room also tatty wear . also dirtly . shocking thing corridor , dirty , carpet wear tear . expect all . even though pay £ 280 2 night breakfast includedI would give hotel 3 10very expensive need renovation . 
 May 25 2007 	 great stay Crown Plaza 	 stay Crown Plaza St. James May 2007.the staff friendly helpful we . our room well appoint comfortable . downside internet terrible keyboard work properly . Coffee say Starbucks cafe must really water down . the location great see attraction . a bit pricey not . 
 May 9 2007 	 Nice Hotel 	 stay late April 2 night reward point . great location near Buckingham Palace within easy walk distance Tube Victoria Station . room much large expect nice bathroom / shower . furnishing bit outdated , overall decent condition . our room overlook paved schoolyard fill kid afternoon morning . big deal , would rather room overlook hotel 's courtyard nice . eat really spend much time hotel sleep change clothe , not much interaction staff amenity . overall , would stay . 
 Apr 18 2007 	 Excellent Hotel 	 vacation London many time stay many varied hotel dot around various part central London come conclusion price , location room Plaza number one choice . arrive Gatwick hotel walkable Victoria Station , Sainsbury 's supermarket around corner , good local pub semi - business district wide selection shop . Westminster Trafalgar Square close hotel excellent location sightseeing . we stay room 524 good choice separate lounge area excellent bathroom 
 Apr 8 2007 	 Excellent Room Great Location Nice Service 	 stay location March 20 2 night choose London start honeymoon . hotel locate 5 minute underground St. James Park station . upon arrival greet porter take care luggage check . arrive around 11 room ready , decide scope sorrounding . area mostly business center , see lot bank . lunch nearby pub Alberts . several pub around offer great food spirit decent price . return hotel surprise know honeymoon room upgrade suite even send we bottle champagne . the room spectacular , separate lounge tv , nice closet area , big bathroom lot amenity . air / heater work perfectly . the front desk staff concierge service helpful . at nearby Buckingham palace get several hop on / hop bus tour enjoy city . hotel several restaurant try , breakfeast , ok . expect guess cook food little bit different use . overall one good hotel stay . 
 Apr 4 2007 	 average 	 hotel really quiet location city centre mean decent sleep . hotel quiet night - major plus . staff good whole - lot porter front desk attention . hotel standard average - definitely luxury- ' superior room ' fade bit tired although quite spacious clean . overall feeling everywhere apart lobby tired -torn carpet , mark wall . may seem petty add overall feel ' deluxe ' standard . breakfast extremely expensive great ( e.g . scramble egg make powder ! ! ) Bistro 51 okay quick dinner - attentive staff etc bit lack character/ atmosphere pretty expensive . local area purely commercial although Palace lovely 5 - 10minute walk away . special occasion us friend order bottle wine/ special message room yet arrive . also one bathrobe supply . lot little attention detail miss add experience . not really worth money . 
 Mar 26 2007 	 great stay Great Hotel ! 	 stay Crown Plaza St. James week March 07 . hotel excellent location , hundred yard Buckingham palace . walk major tourist attraction less 30 minute . 15 minute walk Victoria station , 5 minute walk underground St James station . area & quot ; happening & quot ; area , may appropriate young adult , ( late 30 's ) enjoy close everthing , yet quite night . eat hotel use facility hotel . eat breakfast every morning head Bon Gusto , across street leave .very good , quick food pound . also eat twice Albert 's pub street right.the staff hotel nice , concierge helpfull , clean staff clean room daily leave fresh towel washclothe every day . we standard room view wall , sleep room , spend much time hotel day . opinon , negative nitpicky , stay enjoyable . we book trip six month advance priceline.com , hotel affordable way . hesitency rank four star hotel . 
 Mar 24 2007 	 great location 4 * hotel 	 spend 7 night March ' 07 hotel . location great , close Westminster Abbey , Buckingham palace , St James parc , etc . initially check get small king bed room , ' ve never spend night , move decent room complain . hotel definetly need upgrade / refurbishment four star claim ( would not give max 3 ) ; be amazing much be charge per night . drawback , air conditioning set either heating cooling , thermostat option , end open window night ( hot ) , carpet wear , chair squeak [ creak ] , elevator may work would wait long usual , free internet . bright site bed comfortable , staff friendly helpful , ie . ' ve provide we 220 110V transformer & amp ; plug adapter ! St. James 's tube station close safe walking to / from night . Breakfast not include , affordable place across street also Sainsbury 's grocery store short walk Victoria Street . 
 Mar 22 2007 	 Great Location Great Service Great Time ! 	 recently travel Rome spend night London Crowne Plaza St. James way home . room large bathroom gigantic british standard . addition , well appoint supply . staff courteous helpful . hotel offer every ammenity may need . great way end trip relax long flight back States . one minor criticism - hotel enourmous difficult find way back lobby depend location room . sure shop around good rate hotel offer spectacular rate well - know travel website . enjoy trip ! 
 Mar 21 2007 	 fantastic breakfast ! 	 hotel fantastic location London 's sight . room standard twin nice size . bed comfy shower good . lovely outside courtyard back hotel sit warm enough . access fantastic spa 3 restaurant premise . eat french cafe style restaurant . food excellent . pay typical London price worth . also breakfast room fantastic experience , like film . bring food warm trolley turn whole table sit . food still hot excellent standard variety . stay one night would definitely go back . 
 Mar 5 2007 	 great stay ! 	 return 6 night stay St James . throughly satisfied stay . book Virgin Vacation package . read previous review little concerned stay wonder bad review another hotel ! ! yes room really spacious lovely great view courtyard . old English feel find charming . staff friendly helpful . bed also comfortable -- later leave 3 day Paris Hilton bed hard like sleep floor compare one St. James . would hesitate recommend hotel return London would stay again . California USA 
 Jan 24 2007 	 beware room book 	 stay well apointe 1 bed suite , originally check send minuscule dark double room first floor overlook airconditione unit . small could not walk past wardrobe open . room bathroom dirty , old fashioned fitting seem poor quality . modest two star hotel , would satisfactory , unacceptable Crown Plaza . not know category room recommend book cheap one . move comfortable suite , spacious , newly decorate everything need . strike public area elegant , corridor two floor see need refurbishment , even outside door suite . 
 Jan 23 2007 	 Excellent Hotel niggle drawback 	 excellent public room snug bar area , large bedroom well equip , everything would expect Hotel quality . old world charm , staff always helpful . minor drawback however leave feeling could well . reservation amend staff lose although find room . glass wine order reception check never arrive despite person reception time . complimentary morning newspaper offer Hotel deliver , room miss information restaurant . indeed information order food room , particularly breakfast presume preferred see . bedroom carpet somewhat past 's good interior door handle loose . finally , something always annoy , price quote net vat seem little bit steep become much 17.5 % add . 
 Jan 18 2007 	 Excellent Choice 	 stay 14 night love hotel ! book priceline , call hotel mention honeymoon request courtyard view . end probably spacious hotel room ever ! air conditioning work perfectly much appreciated . also , come back first day , champagne wait us - nice touch . my husband like area quieter evening . want action nightlife , area . practically desert 7 pm . St. James 's tube station nearby use every day , problem walk to / from dark . Breakfast not include deal , two small place eat right across street short walk Victoria Street Sainsbury 's grocery store . fresh fruit bar good price - eat healthy home . we would absolutely stay - already miss . 
 Jan 8 2007 	 wonderful location wonderful service ! 	 husband two adult child spend delightful 6 night hotel . room fine problem immediately correct ( lack washcloth , etc . ) . hotel breakfast include varied good . staff excellent desk , Bistro , concierge include night come 10:45 hungry -- call ask nearby Pizza Express stay open later . pleased find location central anything want see . luxury hotel good one . 
 Jan 7 2007 	 bad pick 	 stay several time hotel , time New Year find quite pleasant . room time nicely furnish , new last one , spacious bathroom window . reception could efficient , since erroneously extend stay 6 day although book travel 's agent last October . result long wait find we new room correct date . breakfast rather plain , choice limited quality pretty mediocre . diet offer tea thermos pitiful one think England tea drinking nation . bad , however , put credit guarantee 2,000 suisse franc credit card forgot cancel amount check , although everything pre - pay . leave we unusable credit card remain day London . say , well train staff expect famous hotel chain . comparison London hotel , however , bad pick . 
 Dec 11 2006 	 great stay Crown Plaza 	 spend weekend London great stay Crown Plaza St James . easy get . close Victoria main line St James underground station . great location . close Buckingham Palace , Houses Parliament etc . etc . good room , nice view beautiful courtyard . ok , cheap , central London ! ! pleasant stay . 
 Nov 27 2006 	 check expensive Coke ' ever drink ! 	 victorian décor , hotel look great , internally externally , location ideal business sightseeing Westminster area . room comfortable well - furnish – see photograph . desk chair however comfortable length time one work laptop – indeed calculate cause backache . substitution castore swivel - chair would make big difference businessman wish work long hour room . hotel however cheap staff , though outright discourteous , certainly friendly . aspiration elegance , rather nasty impression give fact hotel promote Blue Movies tv channel , raise doubt taste guest rule – reviewer ' book least - somewhere recommend family . cook breakfast excellent – would need price charge - would even well staff learn smile . amazing aspect hotel however Mini - bar price . example are:275 ml Coke / Diet Coke /Fanta £ 3.80 ( $ 7.36 ) 500 ml bottle Still Mineral Water £ 2.95 ( $ 5.72 ) . interest work cost barrel stuff ( 159 litre ) , translate $ 1818 , 30 time expensive Crude Oil today ' price ! small container Peanuts £ 3.50 – ' $ 6.78 price comparable tempt delight , also give hotel ' restaurant wide berth dinner , reasoning price excessive one area , would excessive elsewhere also . in short , hotel certain advantage , price charge justify . comparison make hotel equivalent standard major city United States hard see London ever survive tourist destination . 
 Nov 16 2006 	 Curates Egg 	 really like St James stay several time . however caveat . bedroom really small bed . aircon second floor seem ancient . floor modern control . recent stay charge credit card twice- hour unravel without apology . time two half hour suitable room find . lot staff will not take responsibility many poor command English . food expensive . not eat breakfast hotel go italian cafe across street . tea toast two cost £ 2.80.Do not let al put . get cheap rate overall nice hotel . 
 Nov 14 2006 	 nothing grandiose 	 not fool grandiose lobby , expensive hotel feel good value money room . divert Crown Plaza London City similar problem experience ' elwoodchic ' . check staff give prententious air , check day disturb Housekeeping 9 am ( Sunday ) 11.30 staff check minibar . uneccessary . room small , view brick wall A / c fan . bathroom 1980s brown , tv similar era obviously need replace . not feel like £ 155 worth room . 
 Oct 21 2006 	 great location 	 stay Crowne Plaza St. James October 3rd 3 night . the hotel locate side street Buckingham Palace Victoria Street . ideal location Gatwick Express train , 10 minute walk . old hotel , quite cozy . check quick efficient speedy luggage delivery . room actually locate separate building across courtyard . room small slightly date furnishing , bedspread curtain new design . room hair dryer complimentary safety deposit box . bathroom quite comfortable 2 robe , fluffy towel , scale , makeup mirror heat towel bar . there one elevator tower quite small , opt use stair . 8th floor , top floor , not experience noise . bar site restaurant opt eat hotel price . the breakfast 24 pound quite ridiculous walk cafe restaurant Victoria area . the Buckingham gate area quite pretty daytime , enjoy park surround Buckingham Palace . walk Harrods , 40 minute foot . the suggestion would make female traveller perhaps upgrade room standard . think standard room locate separate building seem bit creepy night . one night knock door 9:00pm claim maintanence refuse let . contact front desk send anyone . make bit nervous hotel room 2 additional safety lock room . anyone access tower via spa door . overall enjoy stay . 
 Oct 20 2006 	 Great Value Great Location Great Hotel 	 London 8 - night choose Crown Plaza Saint James . ' glad . hotel beautiful outside , nice lobby , room large nicely furnish . bathroom quite deluxe . location fantastic . three block Buckingham Palace , Victoria Street , Westminster Abby , Houses Parliament . breakfast provide room rate . restaurant nice food good . two really good italian restaurant across street hotel . recommend Crown Plaza Saint James . hotel dreadfully expensive London " bargain " hotel tend dump , Crown Plaza Saint James provide value , nice location , nice hotel . 
 Oct 16 2006 	 Dreadful 	 stay hotel Insight Tour start follow morning . arrive 24 hr flight Australia discover hotel booking , despite stand confirmation hand . staff helpful take 2 hour provide we room ( 7 pm night ) . door room close could lock room . the next morning , due depart 6.30am bus tour , breakfast yet provide box contain stale bread piece fruit , despite breakfast include tariff . I would recommend hotel . 
 Oct 7 2006 	 good location fair price 	 stay standard double husband . book thru " name price " option receive less $ 20 per night regular internet price . stay 4 night 3rd week September 2006.pros : nice & amp ; clean , huge bathroom decent water pressure . bathroom almost large sleeping area appear update recently . work heated towel rack , nice luxury . necessary item room : safe , refrigerate mini - bar , iron board , hairdryer & amp ; trouser press . a / c work well unseasonably warm late summer . 24 - hour business center make easy keep touch back home . staff friendly & amp ; efficient . charming location : clean , relatively quiet & amp ; feel safe walk area night . within couple block St. James underground terminal . several pub & amp ; restaurant nearby . however , since basically business area , place close early closing early 5:30pm weekend night . Buffet breakfast little spendy , worth require big , quality meal morning . cheap breakfast option nearby , find cheap option , quality meat ( bacon & amp ; sausage full english breakfast ) ' seem taste good – salty . also , add fruit , juice pastry breakfast , would come . good martinis lounge excellent sip courtyard weather permit . con : bed comfortable ' use , seem sleep fine regardless . extremely grimy & amp ; sooty lampshade , seem odd everything else pretty clean . usually , ' one notice something minor lampshade , condition really quite horrendous . since stay another hotel area stay , ' really comment value , seem fair enough especially give location . room seriously need update do even little , would excellent choice . would consider stay least recommend . 
 Oct 7 2006 	 disappointing ....... 	 first impression hotel good , impressive look outside lobby . check quick polite particularly friendly , find staff encounter , although couple . corridor however desperate need refurb lend somewhat shabby appearance ! room ok , bed small , way queen size state , like standard 4 ' 6 & quot ; really would expect Crown Plaza . also slightly surprised use sheet blanket - think hotel move duvet ! bathroom nice though shower great . one word room service - WAY overpriced ! eat instead - there s load choice London ! would choose Kensington Forum next time - convenient modern ! 
 Oct 4 2006 	 good might think ... 	 stay Friday Saturday night late September 2006 business . would stay ? er , no . why ? well , £ 179 / night think carpet hallway really not tatty ( foyer course spotless ) , elevator actually work save lugging baggage laptop three flight stair , ought decent sound insulation wall / window , give 's 4 start hotel ( allegedly ) . not . the man next room cough , actually think someone room ( room 315 case be interested ) . noise travel hallway like would not believe , be unfortunate enough ( like ) situate front wall hotel face street , well pack earplug plan actually get sleep , garbage man come round whatever unearthly hour ( night stay ) , get wake empty 10,000 bottle ( sound like ) wherever empty . TraveLodge well sound insulation . oh , ( male ) business colleague share room - delight ( ) . twin , bed close enough mistook wife night , would lot trouble . 
 Sep 28 2006 	 Loved . would stay . great location clean nice staff . 	 stay 9/21 9/26 enjoy everyday . staff excellent helpful . room clean hotel room ever stay . location wonderful . scale 1 10 would rate 9 . next time come London stay upgrade suite . hesitate stay Crowne Plaza disappoint . 
 Aug 8 2006 	 Thought great 	 two room . room 166 13 yr old daughter friend fabulous large room . double bed , large bath , overlook courtyard , clean well decorate . husband stay room 157 , bit small , double bed , overlook courtyard , clean amenity . receive good service employee , tea well maintain courtyard great service . hotel walk distance Buckingham Palace Westminster . arrive 10:00 could check , 3:00 arrive back hotel sight seeing , bag room . return evening girl room & quot ; refresh & quot ; bed turn . reason room get service . eat breakfast hotel due cost , find many coffee shop vicinity way sight . definitely stay get room 166 . complaint ... 2 employee tell we cab ride Gatwick 30 - 45 minute . take one hour 15 minute ..... much nail biting last 30 minute trip . 
