meet 	 choose hotel Hilton Canary Wharf rank highly tripadvisor review . however , quite disappointed . hand , upon arrival midday inform room available , seem like great start stay . make request anniversary clearly completely ignore little angry . standard room quite large lovely bathroom . clean immediately notice bed quite small low . hilton around London , bed big notably much small other disappoint . another problem fan keep switch matter many time would switch throughout night , cold . usually breakfast , seated waiter / waitress immediately offer either tea coffee introduce buffet selection , however case wait getting fed eventually ask could tea . breakfast lot choice fruit / pastries/ cereal etc . however hot food look appetise . dirty plate remove table either mean limited space . overall breakfast service standard . overall , think much well hotel deserve rank particular Hilton not think would recommend probably will not return . 
 Great Hotel ... 	 stay 1 night late November find hotel high quality . arrive quite late , check extremely fast also give free upgrade executive room , great surprise . room lovely . spacious , large tv , ample storage space spotless , well equip bathroom ( excellent shower ) . view not scienic , lot construction work go , can not fault hotel , noise hear . decide go dinner breakfast package , feel work good value money , £ 50 extra . dinner Cinnamon restaurant downstair delightful , delicious come excellent service . breakfast really excellent buffet , something suit need ( breakfast cost £ 20 prebooked ) . staff extremely helpful , especially concierge , provide plently transport map , cinema time , tour intinerarie general know . location , hotel well serve transport link . South Quay DLR station 1 minute walk hotel , get almost anywhere dockland area . walk 5 minute Canary Wharf tube station , get tube directly city center , go o2 , one stop opposite direction . Canary Wharf mainly business district , also many good place shop , eat entertain . 5 minute away form hotel , Canada Square shopping center , boast many high end budget shop also large Waitrose ( grocery store ) . also ice rink outside , great fun cost £ 9pp . 5 minute away Jamie 's italian ( Jamie Oliver ) , fantastic restaurant , really modest price ( main , side , drink = approx £ 15 pp ) , aware restaurant take reservation , wait common , worth ! , wonderful time Hilton Canary Wharf . return area London , would absolutely return hotel . beautifully furbish room , excellent helpful staff , delicious food convenient location make stay memorable one . 
 Quality Hotel 	 stay order catch early flight City Airport . Hilton really well locate Canary Wharf . right next shopping area restaurant . the room well appoint comfy bed decent high pressure shower . the restaurant doubtless good one go something much modest surround area prefer . the hotel quiet great partner light sleeper . the one moan hotel breakfast order room service not turn time - v.early flight want coffee 5.30am . not even begin 6 am . however doubt would matter visitor . a good example Hilton good business traveller . 
 Sep 11 2008 	 fantastic Hilton highly recommend ! 	 hotel immediately respond forthcoming assist full ( thank Stephanie ! ) e - mail question rate , know beginning would hotel true Hilton spirit guest friendliness . even well expectation ; true fantastic weekend break Hilton Canary Wharf . Heathrow airport take metro , first Picadilly line Green Bank switch Jubilee line . take one hour 15 - 20 minute go totally underground . canary Wharf station go high elevator , outside turn leave , walk trough glass ( Jubilee ) building , pass pedestrian bridge see Hilton slightly leave . 5 - minute walk . inside everything modern many people lounge Cinnamon Bar Café late Friday afternoon , give relax atmosphere . direct 14th floor executive lounge Diamond Hilton status . receive warm welcome check - in go smooth . go room excellent cup coffee together snack . every afternoon serve cake , pastry sandwich look taste good . our room comfortable , high quality King bed , easy chair ottoman working desk chair . plenty wardrobe space , coffee / tea facility two complimentary bottle water . check - in ask newspaper would prefer surprise already find issue room . ( small detail make hotel excellent . ) bathroom spacious clean separate bath shower . we go back executive lounge happy hour ( 6:00 till 8:00 p.m. ) , kind alcoholic drink free . quality food present surprisingly good , variety cold hot item . even healthy snack , grill vegetable stick . lounge two computer available free internet . we arrangement breakfast dinner . dinner offer 3 - course meal could make choice six course . food absolutely delicious also service great . evening Geerjanneke Netherlands Hoon South Korea serve we , two enthusiastic young person proper skill dignity . good wine selection , first evening bottle red wine , second make choice glass . expensive , extremely quality good . table rather small restaurant . return find bed prepare , two bathrobe slipper chocolate . breakfast outstanding well ; Cinnamon restaurant arrangement . see executive lounge also good . go Greenwich Maritime Museum Royal Observatory easy ; station DLR ( sort light rail ) next hotel . also go center London problem , Jubilee line 12 minute westminster station ( Big Ben , change Horse Guards etc . ) . mention superb weekend would choose hotel whenever would London . also rate reasonable weekend , DBB rate attractive . 
 Aug 31 2008 	 excellent - surprisingly spacious 	 Stayed meeting pleasantly surprise . although right outside step South Quay dlr station , not use 's five minute 's walk Jubilee line station Canary Wharf . the staff friendly attentive , food excellent . surprise size room . ' standard ' room , compare London room massive , well appoint comfortable . good business facility , would definitely stay recommend colleague . one stop North Greenwich O2 , would good place stay people attend concert something . 
 Aug 31 2008 	 consistently great 	 Professional check -in . efficient polite staff . stay alone business trip month previously , time bring spouse combination business leisure trip , build hope big way breakfast . disappointed- first class selection , quality freshness along pot fresh coffee replace every time need . Rooms- great . a / c great . planning return soon . canary wharf great base sight - see London . only cons- gym small . 
 Aug 18 2008 	 Fantastic hotel 	 arrive back weekend stay hotel - super . nice room , breakfast excellent , friendly staff clean . would stay another weekend London . excellent value money . 
 Aug 12 2008 	 lovely modern Hilton Hotel 	 stay hotel one night special deal include dinner , bed breakfast . must say weekend excellent value money . room spacious 21 square metre , nice , clean , modern , discreetly luxurious , safe , internet access , climate control , iron board iron , bath robe , Crabtree Evelyn Toiltetries , shampoo , conditioner , body wash , body lotion , soap . one need anything extra take simple phone call housekeeping . well equip fitness centre side . dinner menu really nice high quality , customer service friendly . breakfast high quality , serve one orange juice , tea / coffee ( type one require , decaf expresso , regular expreso , regular coffee , selection speciality tea , rest self service , extras side kipper , haddock poach egg . fantastic fresh fruit selection include passion fruit , kiwi , pineapple , mango among other . delicious bread selection several type speciality bread . cold meat , smoke trout , smoke salmon smoke mackerel , olive . anything one could possibly want . executive lounge look nice , 14th floor nice view Canary Wharf dock . minor problem lukewarm water shower . 
 Aug 4 2008 	 another fantastic stay Hilton Canary Wharf 	 get back second stay Hilton Canary Wharf , agree reviews superb hotel . room large comfortable , nice touch bottled water waiting room arrive , replenish second day . price bottled water hotel comment elsewhere , ask restaurant staff & quot ; tap water & quot ; happily oblige . love buffet dinner include part room deal first night - possibly good buffet ' ve ever see wonderful selection starter , main course dessert . return holiday States healthy eat high agenda , great able help variety fresh vegetable fruit . also nice help two dessert ! service restaurant good . impressed dinner buffet , opt dine hotel second night . the breakfast comment review , agree great . great selection cereal , full cooked breakfast large choice fruit continental - style breakfast , load cake pastry . absolutely fantastic . couple problem stay , deal professional courteous manner , would harsh even mention . review raise point would like cover ... hotel , opinion , difficult find . right next South Quay dlr station , short stroll Canary Wharf tube station . not stopwatch , find hard believe even 5 - minute walk , literally round footbridge building 's foyer . certainly need get taxi hotel station , one reviewer say ! restaurant like café . find stylish place eat , wih fantastic food excellent staff . there safe bedroom , whenever around hotel entrance least two member staff duty , not know security issue . time aware DLR noise drinking bar ground floor . not hear anything bedroom , not even aware restaurant although guess probably hear listen . find quite funny two constant theme seem crop review hotel - firstly , conveniently locate walk Jubilee line station , secondly noisy situate next dlr station . use live dockland area , love use DLR . Jubilee line might quicker , dlr much nice train run mostly grind . check engineering work travel weekend . 
 Jul 28 2008 	 disappoint 	 husband stay hotel last weekend mainly attend concert O2 arena . hotel extremely difficult find - signpost complicate matter hotel appear middle building site ! however , check - in friendly & amp ; efficient . room clean . Restaurant appear like cafe - food average . staff friendly opinion appear little clueless . one word advice , please ensure take valuable go , probably disappear return , hence never stay ! 
 Jul 9 2008 	 Brilliant 	 stay family room June 3 month old baby . good hotel stay UK ever - nothing much trouble staff attitude fantastic . public area hotel bit jaded process renovate . even room service good ! definitely recommend 's location mainly business traveller family room ace ! get one overlook thame .... 
 Jul 3 2008 	 Great Place O2 visitor 	 Fantastic Hotel Easy Access DLR Tube servicesstaff freindly professional second stay . definitly stay . go show etc O2 place stay Fantastic Steve & amp ; Sharon 
 Jun 10 2008 	 Great O2 Arena . 	 stay one night stopover UFC 85 O2 Arena . first thing do register car park , £ 15.00 concierge tell we could come go like 24 hour . us godsend , security , piece mind flexibilty afford we worth £ 15.00 without doubt . checkin effortless reception staff polite professional . room 9th floor modern , spacious clean . experience noise issue nearby dlr , may fact room opposite side hotel , probably worthwhile request walk hotel hear train pass . good night sleep comfortable bed breakfast / checkout spot . summary , back next UFC would not change thing . thank Hilton . 
 Jun 8 2008 	 Fantastic Hotel Service . 	 return 2 night stay Hilton . reason styae attend event O2 ( UFC ) . hotel within 5 min walk Canary Whar Station . it little tricky find , ask someone like find sorted rest stay . the Hotel beautiful inside , modern clean staff friendly . twin room 7th floor nice , bed comfortable . my gripe stay Hilton Honours Member booking tell may upgrade would definitely access exec lounge . get case , refuse Exec lounge . overall , would definitely stay ! ! ! ! 
 Jun 7 2008 	 great hotel 	 book direct hilton find fantastic rate include dinner breakfast £ 95 night room ( 2 people ) stay 2 hilton various London hotel well far . spotless , great decor , fantastic food ( service dinner little slow ) location find fine ok centeral London stop tube centre . go Grenwich day tourist sight second day . no problem hotel stay another weekend summer ( get book ) 
 Jun 2 2008 	 another excellent stay ..... 	 husband stay two night end May 2008 . get fantastic deal Hilton website dinner , bed breakfast two night . fly abroad London City Airport , hotel excellently position we . also find easy get city centre Canary Wharf indeed time tube journey Covent Garden 20mins door door . the dinner include package amazing quality value . expect buffet dinner whereas actuallly receive three course la carte menu . would eat restaurant expense positive experience . every member staff encounter helpful friendly - breakfast well organise , business centre great , reception efficient . the room hotel particularly big London standard , price , good value . overall , think perfect hotel London weekend . 
 May 13 2008 	 perfectly Acceptable Business Canary Wharf 	 ' ve stay twice work March 2007 & amp ; Feb 2008 . experience identical time . hotel fine - find bed & amp ; room comfortable decent size , can not say bathroom small poor water pressure . time start week breakfast hotel - see cost , decide pick breakfast one shop underground shopping center run office building . say hotel extremely generous ultra - late check ( 5pm - ish ) minimal charge . make huge difference allow relax , workout , shower , etc . comfort private room depart long haul back Australia ( work would pay additional night purpose ) . would request hotel reason go back Canary Wharf work reason ' m give average . note London tourist - Canary Wharf want . long tube ride place want visit dull night unless like dining restaurant cater business crowd . 
 may 13 2008 	 Best Hilton stay ! 	 stay many different Hiltons year without doubt well stay . stay Hiltons 5 star 4 star plus rating Canary Wharf well they . we standard room large , modern clean . breakfast excellent wide range fruit , pastry , hot option Hilton come across . always plenty staff hand bar , restaurant , reception . the location hotel fine . want get centre London take 5 minute walk Reuters Plaza pick Jubilee Line . quick use DLR . 
 May 2 2008 	 Thank 	 Booked hotel proximity start London marathon night race . arrival unexpectedly upgrade , extra cost , executive suite direct executive check - in 14th floor , greet extreme courtesy complimentary drink . everything wonderful , beyond expectation . staff helpful , polite friendly ; accomodation luxurious . food perfect , particularly breakfast serve early thoughtfully prepared requirement marathon runner mind . can not recommend hotel highly - pity building site around , 's fault presumably will not go ever ... 
 Apr 20 2008 	 Excellent can not wait go back ! 	 birthday treat book deal vip ticket tutankamun exhibition o2 . hotel room lovely tempt go exhibition glad . o2 easy get hotel , one stop . staff fantastic , concierge incredibly helpful want information buy sandwich locally , give accurate information pressure use hotel restaurant . carpark great bonus particularly part London , happy pay security convenience . breakfast brilliant ask coffee 11 am service due finish hint rush we . slight inconvenience roadwork directly outside hotel mean unable drive directly hotel . great experience can not wait return Hilton . 
 Apr 3 2008 	 Fabulous Hotel 	 book stay Hilton website get good deal bed breakfast . minute step door , staff could pleasant helpful . Diamond Hilton Honours , upgrade executive floor give beautiful spacious room . bed comfortable . room immaculate . separate shower bathroom great . we arrive 9.30 able check great week - end . the executive lounge good nice breakfast selection . wide selection restaurant . Canapes drink available lounge 6 - 9pm good selection drink . the hotel bite DLR next hotel tube station 5 min walk . we great stay would hestation return . 
 Mar 31 2008 	 Happy Hilton 	 pleasant surprise find capacious immaculate room reserve we part weekend deal . room non smoking high , request - every convenience could possibly want - include bathroom scale , - incidentally dare try - week - end breakfast delicious include hot cold choice everything fresh raspberry cashew nut . the Friday evening buffet style dinner also come part excellent value - pay advance package - great variety starter main puds . usual bottled water way price , rest food service good seem minor moan expect city hotel unfortunately . previous reviewer right area around Canary Wharf building site moment -but room comfortable sleep good size tv generous beverage tray - people visit London stay around hotel day look window . dlr station right opposite hotel line work fine visit . greenery Greenwich within stop Tower London 10 15 minute - careful train get - instruction little confusing fault Hilton . station man oyster card would save lot confusion ticket day . the Hilton staff young , smile efficient . however , contact hotel suggest add local map knowledge information base - nobody could give we information friend holiday townhouse - two three block away -and go ask local estate agent ! small niggle spoil stay - towel bathrobe replace day - drop shower head - taxi order arrive 3 minute flat - brand new estate .Just note drive hotel - garage due one way constuction work around seem absolutely park elsewhere cab Kings Cross could find - need good direction . really good hotel - well 5 * importantly one make feel really pleased . well do Happy Hilton . 
 Mar 29 2008 	 excellent 	 really nice hotel , nice roomsexcellent customer service ! 
 Mar 27 2008 	 Beware DLR ! 	 book Hilton part birthday weekend see Eagles O2 . brilliant ! hotel convenient O2 one stop DLR South Quay Canary Wharf , one stop Jubilee line North Greenwich . we upgrade Junior Suite Executive Lounge check access . check fine even though one chair check . weekend mostly couple get seat ? junior suite 12th floor far reach view south . good view wing west see Eye central London . the west wing also away dlr track much less noisy . even though 12th floor could hear sound train every 3 4 minute - virtually right night ! afternoon tea lounge leave hotel 6 pm could take advantage open bar hot snack . real waste money . suggest open 5 pm give weekend guest chance pre show drink snack . breakfast lounge good . plenty choice nice quiet . we would stay visit o2 hopeless central London . 
 Mar 24 2008 	 Perfect 	 clean , friendly helpful staff , decent breakfast , comfy bed can not fault hotel quite picky 
 Mar 5 2008 	 Brilliant 	 great hotel lovely room , king size bed , polite helpfull staff . find good deal book advance although Hilton centre London within minute use Jubilee Line ( forget DLR weekend undergo perpetual maintenance work ) . good restaurant nearby ; hotel restaurant popular little beyond budget . hotel also easy reach O2 dome Greenwich Maritime Museum . I would definitely use hotel , get good advance deal rate similiar much low quality hotel centre London . 
 Mar 3 2008 	 internal treasure external nightmare . 	 can not fault hotel be actually it.my problem photograph use advertise , really moment half building site next , view wall tatty plastic sheet blow wind . 
 Feb 27 2008 	 Excellent 	 HILTON CANARY WHARF brilliant hotel every respect .The bedroom clean comfortable spacious . breakfast great massive variety food . the staff superb , nothing much trouble especially two concierge . our weekend faultless , definitely good hotel stay . hotel easy access nice surrounding another bonus . 
 Feb 21 2008 	 beautiful hotel 	 great hotel little way . review say 15 minute walk tube , feel like forever rush see London take taxi station rest time . get little expensive ( 5 pound - $ 10 - one way ) . beautiful hotel . learn experience take away trip glass water expensive - first day quick lunch lounge want stay hydrated save money order water . land pay $ 20 water . not ! staff nice room . probably would stay close town next time though . 
 Feb 15 2008 	 Smart Stay Hilton 	 stay one night can not complain . fly Zurich leave Washington next morning . incoming flight land London City Airport convenient Hilton ; take DLR LCY drop front hotel ; make change train . front desk staff warm welcome note elevated track DLR foot hotel , specifically ask room side hotel would not hear platform / train noise . happy give quiet room high floor - quiet . room smartly decorate though read chair room eye less back . not stay hotel much - sleep - relatively horrible experience President Hotel night early , great four star hotel . bed quite comfortable ; television - plasma - work fine mention , staff friendly , outgoing attentive . hotel one stop Canary Wharf DLR walk seven minute . downside stay far east London make connection Heathrow ' ve really get quite slog . leave hotel 8 not get check - in Terminal 3 10:30am . take DLR two tube line . bit hair - raise experience leave 7 am . 
 Feb 11 2008 	 good 	 get rate hotel ( tend find cheap booking online ) pay £ 180 two night two room include breakfast . another trip take two teenage boy London weekend . check friendly , efficient problem whatsoever . wish book hounere - interconnecting , one twin one double . tend trouble usually hotel request nice even ask . room large clean modern , although well suited business traveler expect area absolutely complaint front ; nice view clear morning wake bonus . service could fault , staff friendly meet request courtesy efficiency . breakfast brilliant , fill we till late afternoon , another bonus fussy kid . thing qualm , hotel fault way get central part London , option dlr underground , always convenient travel around . would probably stay , much young one area , Hilton hotel . 
 Jan 30 2008 	 simply Excellent ! 	 bedroom - spacious , clean , modern comfortable . dinner - Well present , tasty quickly serve . Breakfast - SuperbStaff - FaultlessBest stay ' ve hotel year ! 
 Jan 15 2008 	 Great Hotel 	 book Hilton hotel read several review Trip Advisor say disappoint . , sister niece go Spice Girls concert look hotel convienient O2 arena . arena one stop away Canary Wharf train station less 5 minute walk hotel . also large number underground shop restaurant also handy visit . early flight saturday helpful check staff room ready arrive 10.30am great early morning start Dublin . would absolutely hesitation recommend hotel , room beautiful modern aswell large comfy . 
 Dec 6 2007 	 Superb .... second none service 	 go London birthday weekend book Tutankhamun Exhibition O2 arena want find somewhere close stay . Hilton mermber book canary Wharf Hilton . arrive 1 pm , go check tell upgrade suite free charge check - in 14th floor executiove lounge locate . room amazing , bed huge , decor modern , clean immaculate , pillow mattress heavenly ...... towel change twice day , bed turn night time robe slipper choclate leave bedside tv turn classic FM walk room warm homely . facility get executive lounge incredible , complimentary breakfast include cooked breakfast , complimentary afternoon tea serve 3 pm 6 pm complimentary soft alcoholic drink 6 pm 9 pm serve nibble canape . drink include famous brand alcohol help ! ! ! ! staff meet friendly professional , book dinner first night include washeld main restaurant , choice great , 5 starter , 5 main 5 dessert , even give 2 glass complimentary champagne birthday ... really nice touch . definately return , hotel not mddle Lonson next hotel Doklands Light Railway - South Quay Station footbridge side hotel Canary Wharf Station Jubilee Line - 15 min top central London 2 stop O2 arena . 
 Dec 6 2007 	 depends look ? 	 stay Hilton whilst work Canary Wharf . room ( executive ) good size like seperate shower bath ensuite . bed comfortable small reading light good . real side general lack light room . hotel seem ignore central lighting day table floor lamp . the big negative hotel general space , bar way open cold . invite ! 
 Oct 22 2007 	 Fantastic Hotel 	 due originally stay Hilton one night due disaster hotel staying move short notice . check ok go room spacious . bed comfortable good night sleep . negative thing room next DLR bit noisy not bother much . breakfast ( per usual Hilton hotel ) delicious fill also . find hotel convenient want go Greenwich DLR station next door hotel , go center London nearer place stay get almost anywhere tube . great stay staff courteous helpful throughout & amp ; would absolutely recommend hotel anyone stay around Canary Wharf . 
 Oct 22 2007 	 simply Excellent ! 	 arrival greet friendly smile fast efficient check - in . nice large room , clean airy . furnishing good condition bed comfortable . bathroom clean , good quality complimentary toiletry . breakfast , good choice continental cook breakfast plus additional choice make order . staff make hotel special , often large hotel chain spend £ ' 000 's appearance facility let staff . staff Hilton London Canary Wharf credit hotel management - friendly , efficient always hand help . I strongly recommend hotel whether stay business pleasure . 
 Oct 18 2007 	 Good Room 	 stay two night . room good . first room big bed , request , window front DLR , little depressing . ask change get nice room , not check bed , two single bed put together , comftorable couple ; see , late change . bad point . buffet breakfast good , dinner one night . 
 Oct 7 2007 	 wonderful hotel ! 	 spend 3 night wonderfull hotel parent inlaw , good time . stay London , absolutely good hotel ever stay London . the room large modern . look new clean , complentary water chocolate big plus ! breakfeast buffet fine plenty choose . choose package include dinner first night , 3 course menu excellent . we stay 12th floor access excutive lounge 14th floor , breakfast day arrival waitng room . also end every evening night cap lounge area , really nice great view London . we absolutely stay hotel next time go London - complaint ever ! ! ! 
 Sep 4 2007 	 function amazing hotel 	 well , could long one . PLEASE read . my husband make large function hotel , follow 4 room overnight stay . firstly , thank Lorenz Muller , Stephanie Suttle Oliver Reiter fantastic help function , thank guy : ) function fantastic , food ( 180 people ! ) good , staff work hard , without complaint . so 100 % food staff . all guest impress really great venue . the overnight stay lovely , executive floor , unfortunatly time use facility . I think use hotel soon . in fact would use hotel reason flash , 5 * around . Francine Howard . 
 Sep 2 2007 	 warm welcome family 	 stay 10 day -- Aug 17 - 27 -- 2 young teen . hhonor member access executive lounge ( stunning view London skyline 14th floor ) . 2 adjoining room great rate -- single room would part London . accommodation impeccably clean , spacious , comfortable modern . find accesss Exec lounge great value -- amazing free breakfast buffet , light food ( include fruit ) refreshment day long , tea sandwich cake tea time , evening hot cold hor d'oeuvres / open bar enough make light meal . ( give low value dollar vs pound right , huge money saver , also jet lag hungry odd hour , could easily get light snack beverage ) . lounge offer free internet access meeting space work also . hotel make reservation top London attraction save time line ( like Tower London ) . also great find daughter 's lose toy , turn collect sheet send hotel laundry -- Oliver manager personally take care , return beloved bunny within day . lounge concierge staff extremely helpful welcoming -- go way give personal service greet name . close Canary Wharf tube station Jubilee line DLR South Quay station train stop right hotel door . like theater , TKTS booth right Canary Wharf DLR station platform identical one Leicester Square Central London , get ticket early 10 a.m. also easy access via DLR Greenwich , great market Sunday lovely park , museum & amp ; observatory . 
 Aug 28 2007 	 amazing high standard ! 	 hotel really bring Hilton chain , fame deserve . visit several Hiltons London , hotel amazing . simply good london Hilton , modern comfortable ! since Hilton Hhonors Gold member , suite upgrade give ! 
 Aug 27 2007 	 Fantastic Hotel - highly recommend . 	 stay Hilton London Canary Wharf 17th 19th August . meet friend 11 am Friday room ready we . we stay offer 2 night B & amp ; B Dinner 1st night , £ 209 per couple . excellent deal great value money . meal Friday night buffet lovely , plenty starter , main course desert choose much want eat . breakfast everything could possibly think , fantastic keep we go day ! hotel modern , standard double room huge ! really nicely furnish bathroom lovely . spotlessly clean . rate standard hotel highly , really feel like weekend luxury . staff nice friendly always greet smile . towel change every day turndown service . come back evening find curtain draw , bed turn , little chocolate pillow bottle water table complimentary . arrive bottle still bottle sparkile water table complimentary . come turn bed provide use . really nice touch . we choose hotel close O2 Dome , see Prince ( great ! ) . 's ideal location Dome , Jubilee line couple minute walk hotel Dome 1 stop away . Canary Wharf really nice area shopping mall , bar restaurant nearby area feel safe . people mention 's bit London , not find problem . 's lovely area stay tube station closeby centre London time . we fly London City Airport take DLR ( Docklands Light Railway ) South Quay outside hotel . be go buy day pass tube , day pass include use dlr.our friend drive London Friday morning , park hotel car park , lock completely secure , not leave 5 pm Sunday charge 2 day £ 15 per day . we fantastic time stay hotel would definitely stay . recommend everyone . thing suggest ask high floor , DLR run alongside hotel would think would hear bit noise low floor , 11th Floor not hear all . please not hesitate contact need information hotel area . 
 Aug 21 2007 	 London 's good 	 great weekend Hilton Canary Wharf . good deal website , also everything well expect . staff , room , food , etc . compare hotel hotel stay London area , one league , far well other ! good know : despite quite remote downtown London , top , new fast , Jubilee Line , be downtown London fast , comfortable easy . 
 Aug 20 2007 	 great location 02 arena 	 great location train station next door . check pleasant staff really nice make we feel really welcome . room lovely , clean , fresh well present . Didnt andy drink food hotel go 02 arena . check quick also staff really warm . 
 Aug 12 2007 	 favourite mistake ! 	 arrive , could not understand hotel receive hot cold review TA website . neither could understand not swim pool picture hotel 's website . get home double - check realise thought have book Hilton Docklands actually Hilton Canary Wharf ( thold taxi driver Hilton Docklands , deliver we ) . happy mistake turn ! modern , elegant , clean , great situation - excellent rate £ 102 net . choose ( rather sister hotel ! ) one close O2 , going see musical legend . can not understand reviewer say 's convenient London 's attraction . couple tube stop be wherever want go . the bar restaurant Canary Wharf footbridge , neigbourhood feel completely safe . I would thoroughly recommend hotel anyone planning trip London . 
 Aug 6 2007 	 put other shame 	 Hilton Canary Wharf excellent hotel put other rate class shame . it one amazing quality rare find day , especially term hotel , Hilton Hotel meet expectation , many way exceed expectation . the hotel fantastic , contemporary comfortable ; room good size offer every facility one could require . the location hotel excellent , position immediately next South Quay Docklands railway , line run outside hotel room window ; whisper sound hear inside . the staff friendly courteous drink price bar appear reasonable ( location mind ) .I eat hotel give indication standard food , anything like hotel would suspect would issue either . I pay £ 85.00 room one night ( include breakfast ) , feel exceptional value . rate available one website immediately name hotel booked pay , maybe hard find rate elsewhere . I find hard fault hotel ; help make visit Docklands area London thoroughly lovely enjoyable weekend . 
 Aug 3 2007 	 High Standards Docklands 	 Hilton short walk Canary Wharf tube station well locate within dockland . build fairly anonymous dwarf high skyscraper around inside clean , modern well furnish . room generously size usual facility furnishing good standard little predicatable . we stay one night whilst see show nearby O2 arena . respect , 's ideal . one stop tube - could even walk be energetic . the bar restaurant area smallish well appoint . week much business hotel . evening bar scene sparse tourist minority . staff excellent - normal Hilton standard would say service good . if be visit business O2 - go Hilton . be visit London tourist - would stay near centre . hotel bit far dockland interesting visit really London tourist mind . overall - good experience . 
 Jul 22 2007 	 bit luxury 	 great hotel ! book 2 night break dinner first night platinum card , reception tell check dedicated executive reception desk . parking hotel ( £ 15.00 / night ) make way executive floor receptionist book we tell we would entitle use executive lounge offer complementary bar extensive selection alcoholic soft drink , aswell range snack crudite canape . we make way well furnished , large , modern room complementary fruit & amp ; dip , mineral water , tea / coffee & amp ; biscuit , quality bathroom toiletry , newspaper , iron & amp ; board , safe etc - every small detail thought of . our dinner meal buffet - style offer extensive choice . preceeded meal drink exec lounge , continued dinner . the follow morning breakfast choice amazing : full english + extensive buffet choice smoke salmon , meat , cheese , cereal , bread , yoghourt , fresh fruit , even juicer create health drink . find breakfast fill we rest day decide opt offer exec lounge second evening - not need another dinner . we find staff friendly helpful time . the hotel easy find first evening , discover great location within walk distance Canary Wharf offer - excellent ! even manage walk south across river Greenwich right edge Lewisham son live - bone - weary get back though . all - in - all great stay , good value money feel need buy lunch second night 's dinner exec lounge hand . exec lounge also offer breakfast , venture main restaurant option . 
 Jul 19 2007 	 Faultless 	 back two night 's Hilton Canary Wharf happy record top mark hotel staff . I book stay use reward point little anxious would not get treatment have pay cold hard cash , second class treatment here . in fact , feel quite spoil attentiveness reception staff particular put special special occasion we . the room splendid - modern design , comfortablebreakfast - could expect morelocation - centre good shopping mall hand Docklands Light Railway front doorservice - attentive , friendly , informative , individualextra touch - ice cakeI ' ve stay many hilton , whilst Hilton Cologne still top personal list , good Hilton ' ve experience UK . even knock spot five star hotel splurge early week - much well value service make we feel like matter . thank staff make stay perfect . 
 Jul 10 2007 	 Excellent hotel highly recommend ! 	 back UK last Sunday , Hilton Canary Wharf last stop one week journey UK . second time husband stay Hilton hotel . previous one Hilton Paddington . time book Hilton website get good deal . time , 109pounds / night / double room include first night dinner two day breakfast . comment : location -- compare Paddington , be central , locate London 's cbd beautiful modern surrouding . hurry , walk oxford circus station take 10 - 12 min , underground shoppingmall opposite hotel one popular shopping spot east London . usually , reach Bond Street within half hour take subway . the room -- room spacious stylish compare Paddington . everything quite new . bed comfortable love sofa window . bathroom also great clean . food -- three - course dinner first night much well Paddington many choice . breakfast brilliant many choice . similar Paddington . the staff -- staff Hilton Canary Wharf excellent , friendly helpful efficient . see hotel successful management team . definitely come back visit london next time . 
 Jul 5 2007 	 Good London Hotel quite distant central London 	 ' ve stay Hilton location least four time . good hotel . choose b / c new construction , large hotel room , modern clean bathroom . absolutely complaint hotel except central . however , ' ve able get good rate thru Hilton website , £ 70 / night , include first night dinner breakfast every morning . breakfast buffet good , dinner , good London standard . be worth £ 70 - 100 / night , would not pay . 
 Jun 30 2007 	 Fine Functional 	 book night 2 day course pleasantly surprised . much business hotel incredibly efficient check in / out staff attentive ' I.T . fixit ' man ever come across - really go extra mile get room broadband funtione dodgy new laptop . room large - nice room swing cat way inclined , good well light desk work great shower . despite able wave eye contact traveller dockland light railway run outside room ( 2nd floor - would advise ask high one ) much noise . dockland - like visit anlother country - sterile - full suited clone scene - interesting day two . 
 Jun 24 2007 	 Great Hotel Great Area 	 take day work Dublin come favorite city , London . originally plan stay hostel fun , since feel weather , one night hostel , decided use Hilton HHonors point stay . absolutely fantastic experience . hotel easy get either dlr ( South Quay ) Tube ( Canary Wharf 2 minute walk ) , area often overlook tourist , include nice restaurant , shop , 3 tall building UK ( one , Citigroup HQ , view room ) . check staff extremely nice , room large lot open space , bathroom clean comfortable , bed quite comfy . breakfast little dissapointing , actually pay ( give free since hotel full could give room upgrade ) would darn right angry . health club quite good , concierge fantastically helpful recommend good indian restaurant ( Mem Saheb , try ) , find post office , odd end . would certainly stay without second thought ... be almost nice take break busy area like Knightsbridge , Bayswater , etc . still actually London 
 May 6 2007 	 business like 	 stay business week March . hotel convenient London City Aiport EXCEL exhibition centre . the room large clean tea / coffee make faciltie mini bar . also complimentary bottled water morning . breakfast good usual selection plus extra , freshly make omelette choice . I dine restaurant twice complaint . overall good business hotel . would stay holiday . 
 May 4 2007 	 satisfied Customer ! 	 wonderful hotel experience nearly every way -- location outstanding ( beautifully re - developed waterfront area modern financial district London ) hotel decor amenity could well , attentive friendly helpful staff , renowned ( good reason ) buffet breakfast . two minor complaint ... fancy control shower system far intuitive . eventually stumble correct setting , idea able make work second time ( write instruction would helpful ) traveler without laptop ( avail in - room wireless access ) business - relate expense account , fee internet use Business Center exorbitant ( alternative internet cafe immediate area ) 
