Super 	 spend three night President Hotel mid - November excellent stay . slightly concerned report sort 50/50 , good good , either lucky ( doubt ! ) , people understand expect money . room clean recently refurbish , thing agree , bed " brick - hard " rustle bit ! ..... like orthopaedic bed … .. get accustomed even ! oh yes key … you would never take , make reasonable shoe - horn ! ! Breakfast ( full English ) efficient buffet selection always plentiful , never encounter queue mention elsewhere . we book Thomsons Superbreak everything go smoothly , even train time ! good value money . 
 good hotel- terrible breakfast ! 	 take boyfriend weekend away surprise birthday hotel . hotel good location explore London- close tube station , open - top bus starting point , local pub , Tesco suppliess , near nice restaurant . comfortable room , altho bed bite crackly protect sheet top mattress , clean . good service staff . get breakfast- start boyfriend 's birthday . do not want much early start breakfast suppose serve 10 am get 9 - 30am table dirty plate clear away , thing bun jam plate put anyway- sure choice early hang around bit not bring anything else . tea pot sugar put . orange juice . decide leave find nice cafe around corner . disapointe start day . so follow day do not even bother go breakfast . maybe day put we ! would maybe stay hotel bed breakfast basis . 
 3 star ? ? ? ? beg differ ! 	 whoever rate fleapit 3 star obviously live hovel ! isthis really well expect standard accomodation 2009 ? many hotel London choose , please accept advice pay alittle avoid stress atempte sleep chaos . true , location convenient , apply many hotel London . food , room , staff etc leave much desire , struggle find anything positive say . find astounding reviewer award place 5 5 , welcome . 
 Excellent Location comfortable need update 	 stay President one night . location good minute course venue 10 minute walk king Cross . room comfortable clean . everything work hairdryer would useful . meal evening ok good value price . restaurant generally clean staff attentive . breakfast fine . 6th floor not suffer noise problem . overall hotel quite dingy seem little natural light . use restaurant convenience not much way ambience . think hotel fine price comfortable bed night night could brighten bit . 
 fine hotel excellent location 	 book travel agent superbreak , idea hotel like . look tripadvisor find review say bad . find hotel clean , helpful staff desk restaurant . expect 5 star accommodation price pay like , room well heat , shower good , flatscreen tv , hairdryer trouser press room overall happy stay . agree reviews breakfast luke warm , feel much make time leave eat . 7.45 morning long opening . would gripe still able enjoy . go pre theatre meal night . good value food although suggest early sit food already set buffet 5.30 . would go back would not want costly hotel hardly due sightseeing theatre . excellent location tubestation take london use piccadilly line ( mind get oyster card get quickly cheap ) .if 1st time london like , book big bus sightseeing tour desk get around see sight , last 48hrs ( hop hop ) time year first stop round corner . 
 Oct 5 2008 	 London Baby ! ! 	 unsure good hotel give previous comment pleasantly surprise cleanliness professionalism president , hotel good condition lot ammenitie side breakfast not good price great hotel . 
 Oct 5 2008 	 great location 	 stay three night hotel son . location perfect despite report basic standard positively surprised . well , ordinary busy hotel breakfast basic even upgrade comtinental english find place quite comfortable consider price . staff nice . return . 
 Oct 4 2008 	 well worth money 	 stay hotel couple day ago . honest , hotel well worth money . ' cheap , clean , friendly staff locate within walk distance lot thing London like SoHo Covent Garden . would definitely recommend hotel think ' important location value money rather flat screen tv ' . 
 Oct 2 2008 	 Fourth Time Prez 	 praise tourist - class hotel enough . room clean comfortable . great location , Bloomsbury , Russell Square park one side tiny little jewel Queen Square other . easy walk Theatreland , Piccadilly , Leicester Square , Charing Cross book shop , Strand , river , etc . , etc . helpful , polite staff . complimentary newspaper lobby every morning , reasonably price roomservice . good english breakfast dining room include reasonable room rate , deliver room via room service small additional charge . this base London , happy it . it be hip , contemporary , luxe fashionable . not look thing hotel , , look elsewhere . but clean comfortable basic excellent rate , fine place . 
 Sep 29 2008 	 good clean hotel . 	 book hotel not expect much judging review read . need stay London two night last minute book directly hotel website . get special offer get free 3 course meal choice several hotel chain restaurant . feel good deal get hotel Central London price pay meal would cost £ 40 excellent . stay many hotel London travel 3 - 4 time year since stay use hotel regularly . review say hotel basic without minibar fancy toiletry experience not get use anyway . would rather walk nearby shop coke pay £ 2.00 minibar always take toiletry travel . check - in simple give room straight away even though 8 am . room reasonable size London clean . tea coffee make facility be fuss coffee try pret manger road . bathroom reasonable size bath shower . hotel also offer room service reasonable price London hotel standard . pay £ 10 day breakfast drink plentiful . rate include full english breakfast pretty much London hotel enjoy set we day . meal include rate excellent . choose carvery restaurant hotel enjoy roast lamb dinner salad starter fruit salad/ huge black forest gateaux dessert . would definitely recommend ! hotel part chain Bloomsbury use hotel facility stay . the location hotel excellent behind Russell Square tube station also near newly refurbish Brunswick shopping centre plenty shop restaurant large Waitrose . hotel also short distance central attraction Oxford Street Covent Garden . pub near hotel ' the friend hand ' also serve excellent food reasonable price . for price pay happy accommodation . want luxury , get cheap central London . 
 Sep 28 2008 	 great base city trip 	 would recommend basic , clean , friendly large hotel be unfamiliar London want good base , big breakfast friendly staff . within walking distance Oxford Street St Paul 's Cathedral , provide ' ve get a - z , will fine . we , sadly , member family surgery hospital minute 's walk away . , need use base reason , great also . near good restaurant pub . the breakfast large cook . dining room slightly unatmospheric room clean , public area welcome bright . nice staff meet anywhere , especially consider stress under . Nearest tube ( 1 minute walk : ) Russell Square . would definitely use place base . £ 70 night think London great value . 
 Sep 22 2008 	 Great Location ... 	 old hotel need refurbishment ! return 7 night stay . decent sized room queen bed , wardrobe , small set drawer old tv working channel . room clean service well every day housekeeping . bathroom small fan , toilet seat several large crack . shower powerful lot hot water . mattress old uncomfortable , however , pillow extremely thin & amp ; need replacement . could hear people room either side we quite easily door slam shut not ease close . location convenient restaurant , cafe 's convenience store Russell Square tube station 1 block away . quite noisy outside night early morning even window close ( 5th floor quiet side away busy street ) . include continental breakfast meager selection cold , hard , pre - make toast , 4 type cereal orange & amp ; grapefruit wedge , tea & amp ; coffee . could upgrade add egg , bacon , sausage & amp ; bean $ 15.00 staff friendly & amp ; helpful except woman check . overall ok , will try somewhere else next time . 
 Sep 14 2008 	 well expect ! 	 not expect much hotel reading review , pleasantly surprised . staff friendly welcoming . key ridiculous enormous keyring ever see life , least not forget hand ! room clean well present . breakfast nothing ordinary ok . hotel well locate well ; could walk theatre Oxford Street shop . price realistic hotel ; want something impressive , pay , especially London ! 
 Sep 7 2008 	 never ! ! ! 	 start .... would recommend hotel anyone ! would rather pay little extra stay somewhere treat like human being . stay hotel 5 night thinking would great unfortunately 4 night long . arrive request could walk shower take 3 different staff member tell three different thing make confuse work hotel back home know be not go good hotel . three staff member attitude stand counter wait lady stayin do not speak much english ask one young girl something pretty much say sorry could not care less u want go see someone else . enough rudeness ask speak Manager lady charge do not really care say either . last day could not get quick enough . make sure travel agent aware go soon speak stop pass phone message put call room ( find get home friend family tell we leave message ) . anyways end complaint would like finish say DONT GO ! ! 
 Aug 28 2008 	 Good Value 	 anyone want reasonable hotel good location , fit bill . although could lick paint public area , room clean reasonable size . shower powerful plenty hot water . recomend hotel anyone overnight business stay . 
 Aug 28 2008 	 pay money take youe choice 	 stay President 3 night would expect budget hotel . the room clean staff ok restaurant . the staff reastaurant do not appear train think serve bowl soup pass table chef start rant start serve veg carvery , shouting & quot ; do not serve ... & quot ; pile plate stuff want think food bad would reflect go bin instead leave serve table leftover . the hotel well situate place stay tight budget do not expect top class service . 
 Aug 27 2008 	 Nice hotel 	 hotel nice , well hotel London . good location , next British Museum 15 minute Trafalgar Square Picadilly . next tube , well . staff kind . problem room , noisy ask change room solve problem inmediately . continental breakfast vary . return London , would stay hotel . 
 Aug 12 2008 	 Reasonable Hotel London 	 stay President Hotel last week view ok liitle tired need TLC1 . room clean bed comfortable2 . breakfast need avoid cost bother .. breakfast Waverley Hotel approx 200 yard away main road £ 5.95 inc hot coffee etc etc god value serve 7 am - 11 am ish3 . staff friendly location good west endetcone thing start clean room 8 am want lie suggest get disturb sign ! ! ! ! ! well place ... pay yer money ! ! ! ! sure Waverley charge look really good ! CheersBill Julie 
 Jul 28 2008 	 absolutly dreadful 	 heart drop rounded corner hotel . everything drab , lifeless everything poor quality , include reception staff . porter good thing hotel , always helpful courteous . room horrible . sheet blanket old tear , towel threadbare toilet look like have not clean since instal . overall would recomend anyone 
 Jul 22 2008 	 much well expect 	 hotel part Transat Tour little nervous read review Trip Advisor . grant , Ritz , hotel fine . room clean nearly small thought . bathroom newly renovate . staff hotel friendly helpful . yes , continental breakfast little boring 7 day not horrible . room look Russell Square lovely park . noise street street busy night . not unbearable daughter sleep soundly every night . neighbourhood feel safe . everything minute hotel , bank machine , great pub , lot little restaurant , grocery store , mini mart Russell Square subway stop . great hotel stay explore London . lobby hotel internet terminal 1 Pound 15 minute . laptop wireless could use hotel lobby area . British Museum short walk away 3 - 5 minute . want Hop Hop Bus Tour 2 minute hotel . recommend get Oyster card use Subway travel . 
 Jul 22 2008 	 nothing special o.k 	 stay president week end . location good . near site London quiet calm area . hotel price high get . compare european destination max , 2 star hotel . room clean o.k . continental breakfast , simple . did'nt go 2nd day . room sticky noisy , lot truck come early morning collect rubbish ... would recommend hotel think could even bad London . 
 Jul 21 2008 	 great location 	 book stay double room April 2008 . really enjoy stay hotel . room ready little check - in greatthe room clean . towel bed linen change also soap / shampoo mini bottle Daily . room standard . decent size bathroom large mirror wall . tv good reception , Trouser press , wardrobe full length mirror inside open quite hanger inside . tea / coffee make facility honest tea stale do not enjoy . room top floor back hotel do not mind request high floor . back room hotel noisy early morning delivery van . rather loud wake major problem end day stay busy city expect . breakfast nice . Guest much want , lot choice , bacon egg , bean , toast , sausage , cerial , milk , fresh orange , tea , coffee , egg , kipper , tomato , fruit . breakfast room divide two room . one English full breakfast continental . every morning breakfast time strong smell kipper . find funny put hotel . hotel staff pleasant . information desk locate hotel guest purchase attraction ticket theatre ticket etc . internet access locate seat area near reception . hotel great location , close Russell Square tube station . also close cash machine / bank , post office , mini market , restaurant tesco mini market opposite tube station . far hotel there s great pub serve set menu reasonably price . from London Kings Cross station hotel take min taxi little long foot . get taxi hotel price range £ 5.50 - £ 7.50 one way . I would deffinatley recommend hotel visit . 
 Jul 19 2008 	 British Museum fan stay 	 stay 2 night free . cost would 93 pound / not double , $ 185 nowadays . London hotel expensive , pound strong , price range would like simple hotel good location , nice option . close Russel Square tube stop , right Russel Square park ( lovely cafe ) . British Museum couple short block away , Charing Cross Road lead sort cute shopping street , Old Compton Street ( gay area ) Leicester Square . skeptical see hotel map , reality , location ideal . hotel look little lackluster . could use makeover . room fine . strong shower , view park , simple decor comfortable bed . not like florescent lighting , plastic ( sure ) mattress sheet could hear move around bed . however , sleep fine , happy . continental breakfast include we , cereal , bread coffee / tea juice nice large room skylight . free wi - fi salon well . distance Heathrow hotel 1 hour Picadilly tube ... transfer require . hear fast way make journey , love change train . 4 pound ( $ 8 ) one way ticket . next trip London would like stay different hotel different location , one work fine visit . area feel residential , nice . 
 Jul 11 2008 	 certainly good pick 	 hotel lovely hotel great location Russel Square . extremely close many bus stop Russel Square tube station , also tesco extra around corner get food supply may need . one thing would mention location across road hotel , noisy bar . music go hour huge let hotel anything prevent . however , stop sleep . book ( think 's 2 night , get free 3 course roast dinner first night . gorgeous ! portion good size lovely tasting . 8 different type dessert choose ! breakfast room morning split two room , full english continental breakfast room . book full english go room , yet food look lovely end . full english however , great selection food vary egg , fruit , cereal , toast , bacon , tomatoe lot . gorgeous ! service great , bell boy know exactly time . one even stand terrential rain catch cab ! however , staff reception desk unfortunately knowledgable , request query get send straight bell boy , ok know do . the room quite standard homely . room bath shower attatche toilet . thing would mention room website say room equip hairdryer refridgerator , yet neither privilege . have know beforehand would brought hairdryer home , work ok end . overall would recommend hotel anyone look stay Russel Square area . minor problem think stand would recommend hotel indefinitely ! 
 Jul 11 2008 	 dreadful ! 	 stay President 2 night honestly say be one bad hotel ' ve stay . room basic not something normally bother not particularly clean , sink massive crack not even hairdryer ! noisy would expect consider location find impossible sleep . breakfast poor waiting staff actually clear plate people still eat . ' ve stay much cheap hotel London far well quality would give President miss be plan trip big smoke . 
 Jun 26 2008 	 Great City break 	 go London city break January 3 day . the President hotel good going day . the hotel provide breakfast bar . it internet access . room basic - tv - bathroom basic bed . tube station 2 minute walk ( russel square ) convent Gardens 10 minute away taxi . to get Oxford circus would take tube holborn change central line ( westbound ) be 2 stop away . 
 Jun 17 2008 	 nice good location 	 stay 1 night part weekend break away . Russell Square good location walk distance touristy place . walk Thames direction walk Covent Garden / Leicester Square / China Town take 20 min . would recommend . 
 Jun 14 2008 	 Nice Hotel 	 hotel nice great location . Russell Square route Picadilly line Heathrow . the room comfortable , luxurious . breakfast good ( include ) .if use hotel reservation system fill Social Security Number . necessary need ( American ) .Russell Square nice near West end show . Buy Oyster card Underground . 
 May 17 2008 	 Ï will go 	 choose President president good review mistake . I stay 1st floor single room two night . receptionist nice enough let bring luggage room despite not know already clean ( noon ) . quality daily cleaning good , bathroom . single room , actually big enough two people relatively short visit . room not perfectly soundproof ; could hear traffic street , door open people talk corridor , 's unheard come british building , ? however , trouble get sleep . hotel guest seem senior citizen european country , can not say heard anyone ' make noise' . if look luxury , go somewhere else . want get safe , clean warm place spend night still money spend city , fine choise . 
 May 7 2008 	 Basic 	 positive thing say clean . room small . everything loo paper soap tea bag breakfast cheapest possible could provide . eat ' canteen style ' breakfast enjoyable . not eat sausage taste like sawdust tea ! 
 May 6 2008 	 Fair hotel 	 I ve return 2 night stay President hotel partner , find hotel within perfect reach Russell square tube , ( 2 min walk ) great go see show London attraction . upon arrival welcome front house staff , tell room etc . lobby/ front house , date rather concerned room go likeOur room 261 great walk smell clean corner room get 2 large window open fully , also seem refurbe long ago slight smell paint . bath room good size mold around bath etc , v small moan size towel . we can not comment food do not eat hotel early start long dayswould go back ... yes 
 May 4 2008 	 definitely budget hotel 	 be expect american - type hotel like Hilton Mariott , . would rate 2 - star hotel . front desk - concierge staff not bad ( fillipino one good ) . lot european hotel guest ( not speak English ) see Contiki tour group restaurant one morning . continental breakfast 9 day stay : can fruit , toast , tea coffee , cereal , hot chocolate , white whole wheat roll , jam butter . extra 4 pound , hot breakfast , look greasy . get voucher half - price meal , warn expect order regular meal , small version . stern hostess front entrance resturant , Carvery , must show room slip Continental breakfast stamp allow go back continental crowd sit . front area hot breakfast crowd , eagle eye , will make sure pay sit . subway , Russell Square , one short block away - cross street go block turn right . Tesco 24 hour mini - mart right across street stock milk sandwich . location central , get pay . room small clean . door heavy slam rather loudly . use National Express dot - to - dot service get use tube Heathrow . may stay price right . 
 May 3 2008 	 good hotel 	 family ( include kid ) stay 7 night hotel end April 2008 . three remarks.1 ) location ideal ! perfect ! great possible opporunitie ! President large 3 - star hotel ( one really book room almost season ) , reside heart London . add huge supermarket 3 - minute walk , view Russell square garden ( room ) underground station 50 meter . oh , serious street noise ! area fill hotel , expensive.2 ) hotel clean , staff well train friendly.3 ) Breakfast - h - mm ... menu absolutely day 30 year hotel exist rich . tea coffee far ideal . . London 's way feed guest . hotel find : traditional british breakfast . experience London hotel high league : precisely picture . way londoner eat morning . 's pity , really , tell nothing wrong specific hotel . conclusion : really good London budget hotel . would like stay . 
 Apr 29 2008 	 Nice hotel good lcoation 	 arrive hotel check . give key instruct go . reach room find maid cleaning tell we ready yet . go hotel bar seem nice enough . general hotel date front house staff helpful . when get room adequate clean lovely view Queens Square . location hotel brilliant tube .. however want go 10 min walk covent garden 20 min London Eye ! breakfast vary varied plenty choice however ... probably end sit next strange set canteen style busy time many spare seat . 
 Apr 25 2008 	 totally reliable past ten year 	 discover President 's 10 year ago stay least 14 time since . exactly promise price - clean , friendly tourist class hotel . never complain cleanliness problem . staff always friendly . breakfast reminiscent army day usual b & amp ; b look price ! could not find well location price - tend walk everything 's block away subway be tired end day . handy night convienence store opposite subway need late night snack . many affordable restaurant within short walk . helpful hint- 2 3 people travelimg Heath row way home conciercge order private mini - cab cost small amount public transportation . 
 Apr 22 2008 	 happy service great ! 	 , family 6 , stay 2 room ( twin rollaway ) night . room fine ( London room always small little run , especially & quot ; less 100 pound & quot ; price bracket . President fine , well ! ) . breakfast super filling ( travel 3 teenager , mind ! ) . impressed service . everyone beyond kind helpful . concierge save we incredible amount headache fair amount money book we van airport next a.m. ( instead we try & quot ; Underground scramble & quot ; , originally plan ) . never relax easy transfer hotel airport , really bless tired family . President become standard budget accomodation -- decent room , good breakfast , GREAT service . feel like actually get well pay , especially London . thank you~ ! 
 Apr 17 2008 	 great location 	 stay hotel 2 night , check quick reception staff friendly . hotel close underground approx 10 min walk covent garden . breakfast not much would still return would recommend other . read review go bit apprehensive vanish arrive hotel . plan anither trip london shortly book . 
 Apr 15 2008 	 Ignore London Snobbery 	 Ignore moaner stay HotelI return stay HotelIf want Hotel central oneif want clean Hotel oneif want Hotel like Ritz Hilton go spend £ 150 £ 300 per night . hand want spend £ 93 two people include Breakfast Hotel . ye date stay well know hotel International Drive Florida well hotel feel like Ritz Hilton . do not fool London Snobbery review Hotel bad way , people stay London hotel 1 2 Nights . President good Hotel job , hotel staff friendly , breakfast great . 
 Apr 13 2008 	 Pleasant stay President ! 	 come back weekend break capital . ( 10th anniversary present parent ) President part chain hotel physically link Imperial Hotel make huge ! underground parking ( £ 18 per 24 hour ) relatively easy find ( google map ) . check - in swift find room easy ( 5th floor ) . room expect 3 * hotel - quite spacious , clean basic - complimentary toiletry , trouser press tv ( Hairdryer though - slightly annoying have not pack mine think hotel would one ! ) bed kingsize quite firm ( that s fine ) heating room quite hot quick call reception get turn . ensuite Bath / shower - excellant fast fill bath hot water ! sleep window open find shut noisy outside vehicle come go . soon fall sleep problem . breakfast full english continental buffet style . ample supply although tea be not particularly tasty ( probably boil away urn past 2 hour ) Breakfast serve 7.30 - 10 am catered - fruit , cereal , porridge , toast , juice , cook etc ... however find wait 15 min sunday morning queue amount get buffet breakfast ( marathon everyone want feeding ! ) waiter speed around clearing table , restock etc ... good get rush . great stay would definitely come back . within easy walk distance Covent Garden . Nearest tube Russell Square 2 min walk . 
 Apr 12 2008 	 job ! 	 President suit need well . although appearing date slightly run , room clean bathroom . size fine one night stay , bed firm comfortable , lot wardrobe space , powerful hot shower . pleasant view old georgian building front hotel 4th flooronly negative room hot could not find way turn radiator . meant window open time , even night ( fairly noisy ) huge waste energy . also kipper serve English breakfast extemely strong smelling , whole ground floor permanently smell fish result , put first impression walk hotel . breakfast plentiful whilst anything amazing fill we day . very friendly porter help we leave bag day leave luggage room ( securely locked ) remember we come pick again . in summary , long be expect luxury , President clean , comfortable excellent location venture around London ( 10 min walk Euston Station ) . would come back . 
 Apr 7 2008 	 hate 	 start . get food first evening meal ( carvery ) decide eat , first english breakfast decide eat , service terrible one staff smile breakfast cold carvery disgusting , veg sit bath water lose taste , chicken dry need gravy make palitable . get fresh fruit wrong ? ( eat President ) could tell difference orange , mango peach , know apple crunchi rest . meal one staff ask enjoy meal . room , clean expect good night sleep , forget . door slam night guest come , wall paper thin , windows single glaze noise fan extractor constant . yes location central that s . want good night sleep , good food , smile staff forget it . just one question President Hotel , bulk customer DSS ? 
 Apr 5 2008 	 impress President 	 impress President . room clean tidy ... single galze window allow noise draughty , door slam shut cause disturbance night - though unlikely deliberate guest . little soundproof room . room view overlook noisy delivery yard seem use 24hrs day . not ask everything ok ! staff rarely even aknowledge we ( 3 day stay ) food appal hot item avaiable coffee ! ! decent food be not president ! ! return recommend ! ! suppose 3 star hotel accord information available book - would not give three star ! ! ! 
 Feb 20 2008 	 great location 	 hotel pretty good value money . the location great , easy get anywwere london . would not really recommend english breakfast , bit greasy . room lovely grand size great view . clean , good size bathroom . problem cleaners morning noisey . last morning not peek reckon people complain nice one . overall good hotel explore London . 
 Feb 19 2008 	 fussy . 	 believe people carp place . every one know pay earth hotel room London unusual find hotel reasonably price comfortable . think President offer exactly look , three night stay - bed fine make clean sheet day , lot hot water , tv work well , good breakfast , could eat much little like . go London attend theatre , enjoy beautiful building , sit hotel room , President suit , tourist , well . would hesitation stay recommend anyone else . 
 Jan 18 2008 	 Great Location 	 Nice hotel , excellent location . hop , skip jump away cash machine , food mart , post office tube station . we travel London least twice year always stay one imperial hotel President happen part chain . room clean staff easy deal . wonderful mall close everything need . excellent coffee shop ! ! ! ! ! People travel London must always remember room small North America . 
 Jan 9 2008 	 ` ` cheap cheerful '' 	 admit little weary go president hotel reading review however ws pleasently suprise get . honest outside little put grey exterior , get pleased . staff helpful desk porter help we room bag . the room small though clean bathroom clean important . do not good view be not plan spending alot time look room window . breakfast fine although do not much eat , ( sure whether food drink nite ) good ! boyfriend another couple get room next great ! go one theatre show obviosly do not know go , porter offer call we taxi take we straight , think helpful ! overall think price , president hotel great choice we ! location excellent staff helpful ! although room basic clean think that s main thing ! like much book back feb 2008 ... would definately reccommend anyone visit london near future ! ! : ) 
 Jan 4 2008 	 hotel strictly frill . 	 spend three night President though stay fine ; probably kind hotel Americans use . frill European hotel - mean frill . small , utilitarian room , florescent light even comfortable chair sit . consider hotel price inflation go London combine devaluation dollar pound ; something give . book single room three night put top floor ; , could tell , single room . room single bed , small desk , color tv [ work fine ] small bathroom small bar soap small bottle shampoo [ not even use . ] small window look Russell Square Tube Station block half away . be 24 hour Tesco Metro [ convenience store / market ] across Tube stop decent pub half block hotel . wide variety people stay - backpacker family business folk - one property grate . be inclined go back hotel relax - 's sleeping . sure , bed comfortable enough room clean - 's basic accommodation ; like school dorm hotel room charge $ 115 night room . also note lot laundry trash hallway , tear carpet , chip paint kind small maintenance issue be likely find well maintain property . another issue security . not problem neighborhood , Bloomsbury , not consider dangerous . hotel relatively modern structure large lobby man front desk . ' m sure kind cctv coverage / security hotel , assume be relatively secure . night , one checking room key possible someone walk street gain elevator access . room magnetic key card provide somewhat high degree security . part rate deal get book hotel 's website , offer free buffet breakfast three night . go first morning ; skip complimentary breakfast [ say something . ] food bit rough look - scramble egg , bacon , toast - do well ; utilitarian . toast burn brittle ; egg not taste right . end walk Pret - a -Manger [ across Tube station ] buy breakfast sandwich . , would recommend hotel ? ' ve got save money option ; beat sleep street . be able fork ; mean . ' ve London 30 + time past ten year find less suitable place will not even mention . well travel , 45 year old , educate professional man stay well hotel world [ include four season Canary Wharf ] President let . not enjoy overall trip London suspect experience President big part . 
 Dec 20 2007 	 expensive low - budget low - standard hotel . 	 stay three day early December 2007 . location good . 5 minute walk underground station , perfect . staff friendly arrival . got room , first thing hit we surreal heat . apparently heater way , adjust mechanism break , take minute figure turn , open window cool sauna . get good view room , small . terrible lighting , single bulb , unpleasant bright cathode lighting throughout . bathroom small , without kind extras , hairdryer . room clean . double bed small size , reasonable comfortable , mattress hard side . there quite bit noise night , people came go . could audibly hear closing door , talk hall etc . next morning go continental breakfast , include price room . breakfast restaurant separate two department , & quot ; English breakfast & quot ; back & quot ; Continental breakfast & quot ; . english breakfast look delicious bacon egg , oh , get english breakfast , would pay 4 pund extra per person per day . kindly tell go back , feed insult breakfast ' ve ever . seriously , ' ve never tea coffee taste bad . bread taste feel like day old . would not serve enemy . and basically sum stay nicely . consider pay , around 70 pound day , hotel stay truly disappointing . hotel 40 - 50 pound day , would ' ve say & quot ; ok , be expect & quot ; , . would recommend hotel anyone . 
 Dec 19 2007 	 great ! ! ! 	 great hotel , room clean , comfortable & amp ; warm . buffet breakfast good food . hotel russell square good location theatre & amp ; shop convent garden 6min walk . can not really say anything bad everything ask . bad thing get anywhere stay london hard sleep night noise . 
 Dec 17 2007 	 depend price vary average good 	 book double room travel agent 107euros ( around 70 pound ) per night . room fifth floor rather big side , clean . look new , good heating could control accord wish , bathroom big enough , good view Queen Anne square room tea / coffee make facility . breakfast continental type , juice , coffee / tea , can fruit , cereal , cold toast , bread roll , butter marmelade . the hotel central Russell Tube Station close , 2 minute walk , near bus stop Aldwych , Holborn King 's Cross - St Pancras 4 minute walk British Museum St Pancras church . we lose flight due airport strike Greece return othe hotel one night . get similar room face way main entrance lot noise night ( delivery truck , people carry thing ) thin wall , time 90 pound - whih wasnot worth it . so depend price pay , hotel good choice stay London . we try pub near hotel - opposite entrance - name ' Friend Hand ' admit atmosphere good foo great . also , visit Brunswick centre , 5 minute walk , good choice hang ... Strada italian food - bit expensive though - , starbusk , Nandos good cheap chicken food shop shopping 
 Dec 7 2007 	 okay 	 eight girl London weekend ! room clean & amp ; tidy . problem total weekend include top price ticket dirty Dancing show cost we £ 168.00 could not fault . breakfast good value , bit like canteen hey cost we peanut ! location good wherever want go , £ 6.00 cab ! not spend much time honest ! ! 
 Dec 4 2007 	 Great Location 	 Booked Imperial Hotels ' website receive & quot ; BOGO & quot ; internet special , include first night 's dinner choice several affiliated restaurant . food good , service good . everything ask supply . twin bed hard , move another room soft bed first 2 night . first 2 night spend room overlook ugly roof - top room ' window . last 4 night nice handicapped room large much comfortable overlook street . free internet access lounge area , free breakfast ok- fry bacon , egg ( poach , fried & amp ; hardboile ) , bland sausage , can fruit , prune , juice , cold toast , tomato . Rolls & amp ; butter good . Russell Tube Station close - 3 minute walk , bus stop across street . 8 minute walk British Museum . Glen helpful - thank ! Hertz Rental on - site . 
 Dec 1 2007 	 will not go back - disappointing ! 	 hotel give we distinct impression cater tourist probably never come back incentive offer good service potentially return customer . actually live far London stay one night - pity book stay week vacation . room fairly small , wall paper thin . decor ugly , dingy looking , date . center London , would think would card key well security , traditional metal key ( turn leave ) . extras offer room - washcloth , blow dryer , iron ( even ask one ) , shower cap ( shampoo tea ) . bed support , least sheet clean . housekeeping start knock everyone 's door 8a.m . - chance sleep we . strange . continental breakfast - HORRIBLE . choose cereal , thin white bread , coffee / tea , 's . want full english breakfast ( not look good ) pay additional four pound get sit & quot ; nice & quot ; side dining area . stay Saturday dining room full chaotic ( line even ) like military chow hall - food bad ! want leave bag hotel checkout , pay ( 50p ) . guest already overpay hotel room , annoying . bonus hotel location . 's Russell Square , close Russell Square tube stop ( one away King 's Cross ) . place book give hotel three star , easy two star ( low end ) . will not go back would not recommend even budget traveller - pay much less get President hotel ( even London ) . 
 Nov 30 2007 	 would recommend ! 	 attend conference hotel recommend organiser , secretary automatically book . sure close conference venue , ' emailed organiser say certainly would recommend it . I book single room 7th floor ; floor think refurbish . think refurbishment involve diving double room two single . mean room pokey , tiny shower bath . could live single bed see well day two pillow flat ' even feel like one pillow . the bad heat . colleague floor we problem sleep due unbearable heat room , even heat right . one colleague say sleep window curtain wide open , November . also open window , toss turn uncomfortable bed sound come outside . feel jet lag morning lack sleep . I ask receptionist could move large room , case would help . surly unhelpful answer simply ' ' .breakfast adequate ' . second morning new cutlery available take another table . ask ketchup tell none colleague point be . if want stay old London hotel experience eccentricity come , yes , hotel . want slick , modern , efficient hotel definitely avoid President . 
 Nov 26 2007 	 never go back 	 three colleague arrive 10 pm go room find hot cold water . one colleague trouble get room , extreme difficulty get staff help . one go help ask would give kiss let . tell water would back & quot ; 10 minute & quot ; phone reception . 15 miniute later back reception tell 10 minute water would back , would change room yet . 30 minute later still water tell point change room room water . true point agree change room . room move musty smell cigarette hot water cold water . point give , purchase expensive bottle mineral water bar . try get sleep , difficult seem lorry park behind hotel constant beep vehicle reverse night . the hotel , apart reception area , dilapidate far see cynical attempt extract money customer provide appalling level service 
 Nov 25 2007 	 good location awful breakfast 	 stay work trip . great location , step Euston station , close Covent garden rest London city centre . room ok term size ( compare London 's standard ) seem clean . Bathroom ok . ( stay 6th floor , dunno low floor room look .... ) . bad point : continental breakfast unexistent , old chewy bread jam , cereal . go , make sure get english breakfast . dinner nice restaurant pub close , serve good food ( give chinese one try ... amazing ! ) . 
 Nov 21 2007 	 pleasantly surprised- average 3 star accomodation . 	 read many review hotel prior stay , mediocre , good go ahead book perfect location fact not going spend much time room , case . flight London overnight , request early check - in , fully expect ( rightly ) provide secure space luggage room ready occupation afternoon . much surprise , upon arrival shortly 9 am , swiftly attended send straight room ! space clearly recently renovate sparkle clean fresh shower pressure like jet . recently stay & quot ; 5 star & quot ; Bermuda resort receive terrible service old , tired clean room refreshing contrast . 
