stick 	 stay 2 night . excellent staff , especially breakfast wine cheese staff . Front desk staff good also . agree irish girl , Dos Caminos , good restaurant around corner . you good location walk everywhere . you go wrong hotel , value breakfast wine cheese make extra dollar spend . 
 Dec 30 2008 	 gracious hotel 	 visit NYC holiday spend time friend , shop , dine enjoy theater , able within walking distance . away congestion midtown , yet beautiful Park Avenue Grammercy , Hotel Giraffe stunning lobby , wonderful breakfast architecturally detailed room every amentity . throughout 3 - day weekend experience warmth professional courtesy every member staff , make stay delightful ! 
 Dec 27 2008 	 Excellent Valentine 's 	 stay Giraffe holiday , idea hit : excellent romantic escape . be think NYC Valentine 's Day couple getaway , perfect place stay . refurbish , spacious , comfortable room relax lounge fine wine food serve , Giraffe make visit beyond memorable . writer work New York City series Giraffe feature . look series early 2009 http : //www.menstraveler.com . 
 Dec 27 2008 	 will back ! 	 return solo trip New York spend Christmas sister . ' m fond travel alone really like spend Christmas home ... stay Hotel Giraffe truly great . moment check tough travel day west coast 5:30 check - out , feel right home . the staff friendly gracious front desk bell - staff , lovely woman serve morning breakfast bar ( grand ) , housekeeping . room lovely amenity would expect fine , well - run establishment . thank Hotel Giraffe ! will back New York often visit sister home hotel ! 
 Dec 27 2008 	 mostly lovely ! 	 get back 3 night Xmas break Hotel Giraffe . spend far much time look ' perfect ' place stay 18 month old little girl . want extra bit special . important get one bedroom suite ( separate lounge bedroom ) easy come New York , without pay small fortune , especially want quality . Giraffe cheap expect pay bit quality Hotel NY . lady answer initial reservation enquiry efficient helpful , via email . always respond quickly request . good first impression make . recc good place eat Christmas day . turn great thank that . when arrive early room ready great . allow we check 1 pm appreciated . room although dark comfortable extras robe , bottled water , toiletry even umbrella closet ! add nice touch . shame forget ipod dock bedroom . room clean . cold evening find difficult get right temp noisy a / c . noisy outside though , guess depend room locate Hotel . good spacious bathroom , although keen see door ! possibly do help light . good shy side .... breakfast fresh enough . Disappointed highchair Hotel . spend lot time chase little sweetheart around lobby croissant ( hopefully irritate Guests ! ) complimentary wine evening welcome . the lovely lady play piano sweet little girl , thank , really make we feel relaxed . one gripe do not feel Christmas like Hotel . really want special away home , expect atmosphere . Felt lack something . Guess would still opinion be not Christmas , too . a Christmas tree lobby would nice . not expect staff break ' Jingle bell ' enter lobby , little cheer would go miss . do not get we wrong staff friendly ( Jose guy door courteous , nothing much trouble ) unfortunately couple other reception lack enthusiasm , let really . smile would nice . when come back NY likely try somewhere else , would definately say give Hotel Giraffe try . nice touch / extra , make overall good place stay . 
 Dec 8 2008 	 highly recommend 	 ' ve stay hotel four five time . service excellent , accomodation quite lovely . can not beat convenient location , near subway lot taxi bus . light breakfast include stay lobby , extra $ 5 deliver room . staff friendly . review write demand sophisticated traveler , ex New Yorker . 
 Dec 4 2008 	 Great Service 	 stay Hotel Giraffe Thanksgiving weekend family see family friend . service excellent : friendly accommodating . free access nearby ( three block ) New York Sports Club appreciate . complimentary wine hor d'oeuvre every evening lobby miss . one word warn : avoid paella Barna , restaurant basement ! kind amateurish . 
 Dec 4 2008 	 toilet roll really need ribbon ? 	 Hotel Giraffe stand sort anonymous chain hotel usually find middle major city . service efficient courteous without sycophantic . room , although be typical box - shape , comfortable roomy enough . facility standard would expect upper - range hotel . location superb , minute ' walk Empire State Building , stretch Park Avenue safe comparitively quiet ( be still noisy anyone use 24 hour roar city ) . could live without so - call luxury touch like ribbon around toilet roll , way access Cable tv decoder keep cupboard door open , wrong . overall enjoy stay . not exciting , glamorous stylish hotel ' ve ever stay , ideal place stay holiday central Manhattan . 
 Dec 3 2008 	 top location 	 boyfriend stay Hotel Giraffe Thanksgiving weekend . hotel fantastic location within easy walk distance key sight Empire State Building , Fifth Avenue Grand Central Station . staff friendly helpful , happy research information attraction , bar restaurant . the roof terrace would great summer view not spectacular . the cheese wine offer average . 1 white 1 red pick can not fussy . cheese bland low quality , scratch like european cheese . I would definitely stay , would also research hotel . 
 Dec 2 2008 	 Awesome ! 	 recently spend wonderful Thanksgiving weekend Hotel Giraffe . staff service make hotel winner . last year , stay large chain hotel comparison level attention customer satisfaction Hotel Giraffe offer . good recommendation know hotel choice return New York next year . 
 Dec 1 2008 	 want nothing good ! 	 stay Hotel Giraffe past 8 year keep gettte well well . hotel like private apartment city ! staff know name atmosphere calm relax heart bustle city . Hotel Giraffe city 's well keep secret ...... back ! ! John PerezHouston , Texas 
 Nov 30 2008 	 great location great hotel . 	 Loved hotel . nice , clean , comfortable . french door lead little balcony wonderful touch , also make room nice bright . ( also love switch - operate screen blind night ) . quiet night ( occasional siren police etc imagine unescapable anywhere city ) , much tranquil area Times Square , example ( read : go go home bed , actually get sleep ) .The room oasis walk city . location amazing . go uptown shop see museum . walk right door Madison Square Park block away shop much . go downtown wander . service good , although smile would nice . the breakfast simple really need get day start . we would definitely go again . of note , book hotel website get deal . look package , well sometimes . 
 Nov 27 2008 	 wonderful stay 	 return 4 night stay wonderful time . husband take 2 son aged 19and 22 book double , double fair size . request high floor get room 11th floor .. birthday celebration wine chocolate leave nice touch arrival . find hotel relaxed comfortable staff helpful , would definately stay next visit would highly recommend . 
 Nov 25 2008 	 Superb Experience 	 spend 4 night Hotel Giraffe . check check , every element stay superb . extremely well train attentive staff . helpful restaurant recommendation , direction every detail stay . great value 21 day advance book discount plan . room beautiful , maintain new yesterday , service nicely morning turn service night . nice quiet location away traffic noise Midtown , extremely convenient everything , whether cab subway . would recommend anyone want enjoy truely boutique atmosphere ! 
 Nov 14 2008 	 Taxi ! ! City Hall please - be getting marry ! ! 	 went NY September get marry Giraffe certainly meet expectation . very helpful staff sort baggage arrival early check room need get City Hall straight away get marriage licence . room superb – plenty space , clean tastefully decorate furnish . balcony could stand view 26th Street . know beforehand would request similar type room Park Avenue bother balcony . staff continue helpful throughout stay , want much , advise good place buy wedding bouquet , sort taxi Central Hall wedding day , etc . we use roof top bar one evening bit disappoint – small full loud , brash , drunken office worker . many previous reviewer mention cheese wine evening certainly go well day hit bar restaurant evening . however sure happy people serve drink unavoidable waiting staff would often disappear . try several local bar – favourite include Pete ' Tavern,129 , East 18th Street Molly ' Pub , 287 , Third Avenue . let 230 Fifth , 230 Fifth Avenue -boast spectacular view Manhattan Skyline . picture view must take point drinking area sit view block bamboo screen service appalling – give wait . slight glitch end stay bill include several item charge mini bar even though ' anything – fact door stiff think break one time open . however resolve although explanation could happen . would certainly recommend hotel already consider venue first anniversary next year . 
 Nov 11 2008 	 wonderful hotel ... 	 husband previously wonderful stay Hotel Giraffe 2006 plan take mother birthday trip NYC do not hesitate book Hotel Giraffe again . we exec double perfect 2 double bed room plenty space lovely bathroom . bed really comfortable . the hotel spotlessly clean area . hotel lovely quite small personal service never intrusive . breakfast serve lobby lovely perfect start day sightseeing NYC.I think favourite thing hotel relaxed calm - sometimes New York get quite hectic really feel nice come back tranquil peace hotel giraffe chill out . the location also perfect literally 1 minute walk 6 subway route really easy get everywhere city . also lovely restaurant block really handy do not feel like get cab anywhere . try Dos Caminos great , busy mexican right next door blue Smoke truely american rib experience ( round corner 27th ) brilliant hotel would never consider stay anywhere else NYC . 
 Nov 11 2008 	 Best Gramercy 	 hotel wonderful Gramercy Park hotel terrible . we stay medical conference not want large hotel near Grand Central . Hotel Giraffe staff , service , room , cleanliness , breakfast , top notch . lobby relax comfortable visit guest , room spacious balcony . everything perfect great location near lot fun restaurant easy access Times Square Village . Carol Colitti Levine 
 Nov 4 2008 	 wonderful ! 	 stay one week Giraffe praise enough . deluxe room 2 double bed family 4 ( include 2 teenage daughter ) . room attractive decent size . particularly like electronic blind - great first thing morning lazily press button bed clunk clunk , blind lift reveal New York . feel like James Bond film . room also balcony must quite rare city . every evening come back busy day find music play softly bed turn chocolate leave pillow . initially arrive not keen look main lounge area , think need soft lighting table lamp . although morning bustle jolly guest breakfast . think breakfast exceptionally good . wonderfully fresh food , include bagel , croissant , roll , fresh fruit salad , cereal yogurt - daily paper read . lounge lovely informal feel morning . Most evening make use complimentary wine cheese . try make effort New York exhaust great get back relax glass 2 prosecco heading dinner . pianist play grand piano too . location wise , think perfect couple block away either direction subway 23rd 28th street , 2 stop Grand Central Station , one change Times Square . even though reception desk small , find staff courteous helpful . happy telephone various tour want book on . one highlight trip see New York Knicks play Madison Square Garden . real showbiz / sporty extravaganza ! 20 minute walk back hotel afterwards . Grand Central Station also see - spectacular . food market inside rival food hall Harrods . Empire State Building - go late evening . go 11 pm ( close 2 am ) queue . wonderful night time vista . take 2 hour bike tour Central Park see good bit . get half price ticket show TKTS Times Square . Opens 2 pm . Ellen Stardust Diner Times Square singing waiting staff . loved . food extremely ordinary , not go food ! 4 main sight every day , relaxing drink back hotel welcome . back Giraffe . think could find well hotel . Loved ( quite hard please ! ) 
 Nov 2 2008 	 Disappointing price 	 wife recently ( end Oct 2008 ) stay Giraffe three night - short not believe hype page ( believe write hotel ) - perfectly ok place stay hotel expensive - & quot ; boutique hotel & quot ; luxurious although try claim - fact rather wear / tired staff pretty indifferent concept customer service - would well holiday inn similar place lot less money . genuinely smart boutique hotle NYC - one . 
 Oct 20 2008 	 chain hotel try Hotel Giraffe instead 	 Hotel Giraffe nice personal one chain hotel . breakfast right , fresh fruit bagel , wine cheese every evening nice after - shopping treat . like decor room , pretty spacious NYC . give thumb . 
 Oct 20 2008 	 great location 	 book hotel 3 night stay 4 we ( , hubby 2 daughter age 18 & amp ; 20 ) .We share double , double room easily big enough . good sized bathroom use toiletry replace daily . spotlessly clean , comfortable bed . good breakfast wine cheese provide early evening ( although never back time ) . great location - walk Central Park , Times Square everywhere ! staff helpful pleasant . would definitely stay . 
 Oct 19 2008 	 Midwestern Charm NYC 	 hear good thing friend Hotel Giraffe reputation well earn . 's little pricey , much extra guest feel like really appreciate business . check simple . arrive complimentary wine cheese assortment live music . busy NYC , relax break . room beautifully decorate extremely comfortable . breakfast , include rate , another amenity make hectic NYC much easy manage . location 26th Park can not beat . highly recommend hotel gladly return future . 
 Oct 19 2008 	 continue maintain high standard 	 fourth stay hotel , stretch number year , impressed consistently keep high standard . service excellent - staff helpful , pleasant inform . hotel well maintain , often case boutique property . invite , comfortable place stay ! 
 Oct 14 2008 	 Hotel Giraffe gem ! 	 ' m New Yorker look short getaway city . find Hotel Giraffe . location close subway central many part city , include Greenwich Village , want explore . hotel room size ample nice amenity , include robe flat screen tv . love lobby comfortable seating ; great location complimentary breakfast . would like return summer spend time rooftop seat area , also look relaxed comfortable . 
 Oct 13 2008 	 Great Little Boutique Hotel 	 great little hotel non tourist location . staff exceptionally friendly helpful . offer breakfast lobby right wonderful wine cheese reception 5 daily . room spacious comfortable . conveniently locate close subway numerous restaurant shop . wonderful city park ( Madison Square Park ) one block west great place 7 year old daughter play . really enjoy stay would not hesitate go back . 
 Oct 5 2008 	 absolutely Perfect ! 	 recommend hotel highly enough ! choose hotel celebrate birthday also spend first trip New York . look something central , also main tourist area , certain uniqueness . hotel perfect count . find staff excellent , nothing much trouble , help make birthday special . room gorgeous comfortable , view way Park Avenue South balcony , cheese wine great find location perfect - several great restaurant nearby - Voce Dos Caminos - subway stop couple minute walk away . hotel everything look . would definitely stay recommend friend already ! 
 Sep 28 2008 	 Fantastic Hotel Giraffe 	 stay Hotel Giraffe Sept 08 last fling baby arrive , fantastic time . room spacious cute balcony watch world go . bed comfy selection pillow , bathroom clean well stocked . little touch make special though - robe slipper , luxurious toiletry , complimentary bottle water , ihome dock could play music . 11th floor definitely recommend street noise get loud . the staff always efficient polite , helpful information taxi - catch . continental breakfast fresh real treat , wine cheese evening lovely way unwind hard day 's shopping . barna roof terrace also fine place cocktail heading evening ( tapas delicious ) . room service Barna restaurant downstair quick plentiful . the hotel locate great neighbourhood - great restaurant bar suit taste style , close subway easy grab cab Park Ave . Madison Square Park short block away lovely hour picnic - pick take 23rd street enjoy greenery calm while . in , fab hotel great location - highly recommend ! 
 Sep 19 2008 	 wow Great Escape ! 	 usually business trip leave bore uninspiring hotel , though time around splurged go something different . different get ! Giraffe incredible ! long day deal unrelenting client , Wine Cheese available lounge outstanding . staff helpful help navigate way around city , even provide map highlighting must see spot . room beautifully appoint cushy , like . downside stay room next mine small child scream two four night . baby cry , mean , stick nipple poor kid mouth something ! stay great . I m LA , deal Taxis bit , get swing thing quickly . I definatly return . 
 Sep 18 2008 	 Stick neck try Giraffe 	 hotel well locate friendly . mid - town Soho / Greenwich Village , hotel near several great restaurant within short walk , subway stop couple block away Park Avenue . breakfast fresh basic -- fruit pastry bagel -- wife say authentic New York style . our room quite nice , would suggest avoid 12th floor stay , outdoor bar go well past midnight night , meet room directly adjacent . our tv hard figure , staff help we time problem . business center , single computer lobby available first come first serve . rate competitive . would stay Giraffe recommend friend . 
 Sep 18 2008 	 Perfect Choice 	 first stay New York City hotel . location need , away Time Square crowd , yet close enough thing walk , take subway , etc . room large NY standard ( town business ) , decor fun , staff attentive . lobby great breakfast morning , all - hour espresso machine , wine / cheese / piano late afternoon . issue too - soft bed resolve quickly . negative spotty internet availability staff could bit knowledgable simple issue like subway , tourist attraction , etc . since small concierge , people desk know bit . would definitely stay next time . 
 Sep 17 2008 	 great place chaos NEW YORK CITY ! 	 scour web seem eternity somewhere stay New York trip , come across Hotel Giraffe . throw name initially check site , know place want stay , not disappoint . deluxe queen room nice spacious . nice clean bathroom ( ' m always bit weary ) attentive staff . breakfast selection enough get start day wine cheese evening perfect way relax day street head dinner . , Hotel Giraffe add greatly New York experience would definately stay next visit . 
 Sep 7 2008 	 New Favorite Hotel 	 lovely hotel ! travel 2 year old go perfectly . breakfast daily convenient , one day wake late Jasmine kind enough bring breakfast room ! desk staff helpful patient ! love neighborhood , fannypack sight ! clean room , spacious well - appoint . free internet bonus , . definitely stay ! 
 Sep 4 2008 	 Great Hotel Great Location 	 great hotel . can not wait go back . large well appoint room . clean comfortable . breakfast great . wine cheese reception great experience well . exceptionally friendly helpful staff . close subway stop main attraction NYC 
 Aug 27 2008 	 Giraffe perfect New York perch . 	 New York five day deliver son college . sister come New Orleans could fun city . staff Giraffe -- mostly group affable young man -- welcome helpful . double bedded room BIG New York standard , furnishing modern warm , bed comfy bathroom nice - sized nice toiletry . loved bath robe . really , really love fact almost always little something drink snack lobby . make feel comfortable personal . wonderful , easy place New York . 
 Aug 19 2008 	 Giraffe pleasant surprise NYC 	 excellent small hotel - room lovely clean , maid service excellent , nice breakfast lobby take rooftop patio , complimentary wine / cheese late aft . , staff friendly helpful . top floor popular weekend event place busy know , problem ! handy clothing shop nearby head south 5th ave . 
 Aug 19 2008 	 wonderful stay Giraffe 	 last weekend family go quick trip New York City . look somewhere nice expensive stay Giraffe exceed expectation . service everyone , particularly Jose , outstanding ; always present eager help never intrusive . room gorgeous nice amenity plenty room 3 we two double bed . really appreciate amount natural light day shade lower night block light city . huge room , serve purpose well . decor simple elegant . bed little hard pillow little soft , provide hard pillow closet . use bed become comfortable . bathroom also quite spacious small room particularly appreciate cloth provide wipe steam mirror exit shower . personally enjoy lobby area sit read book enjoy cup coffee . plenty natural light high ceiling classic decor beautiful flower arrangement . great setting breakfast , afternoon tea wine cheese evening . breakfast standard breakfast , coffee good everything always fresh . wine cheese evening great way unwind day go dinner . look boutique hotel New York wonderful location exceptional service , Giraffe place ! 
 Aug 18 2008 	 consistently great 	 second time Hotel Giraffe great experience first . celebrate birthday indicate book room ( hotel 's site ) . bottle champagne waiting ice enter room , compliment hotel . chocolate ! wine evening , breakfast morning , warmth helpfulness staff make price difference Manhattan hotels- will not find level quality cheap . love robe slipper hang closet . staff super helpful direction subway system , restaurant pick ( try Ray 's pizza Porchao across intersection ) , recommendation night . stay , without doubt . 
 Aug 13 2008 	 excllent small hotel New York 	 stay Hotel Giraffe two night thoroughly enjoy experience . staff polite helpful . room clean comfortable , breakfast morning wonderful . small hole sheet first night think bit shoddy , complimentary Prosecco appear room anniversary make . 
 Aug 11 2008 	 nice 	 husband stay Hotel Giraffe past weekend , combination Birthday / Anniversary celebration . note make reservation , unlike many guest , greet wine chocolate room . know courtesy , one guest , really guest . hotel charm another reviewer add cookie cutter , chain hotel . especially like complimentary wine cheese evening reception . Saturday go 2:00 show check hotel , nice glass wine snack head late dinner . thing disappoint not piano player . unless he / she come left . anyway , room spacious clean . pleasantly surprised room balcony overlook city . romantic beautiful . course traffic loud night , learn experience always travel fan & quot ; white noise & quot ; . , not bothersome . bed not comfortable , not think 's uncommon hotel , least perspective . think decor could kick notch , average nonetheless . continental breakfast nice , nothing fancy . coffee weak & quot ; cappuccino / espresso & quot ; machine like something convenience store either not work well not tasty . also crowd difficult find seat eat morning , little annoying , get it . the staff friendly helpful . hold bag car checkout could stay city long , nice . the one thing really great hotel rooftop bar . husband head dinner drink quaint / romantic place relax go back room . overall would recommend hotel friend would stay future . 
 Aug 7 2008 	 what s hype ? 	 ok take trip advisor recommendation .... overly pleased . care area . ask room high floor get hotel small hear noise NIGHT . bed comfy . otherwise ok clean room , breakfast free fresh ( bagel really good ! ) . staff ok . ok stay really worth money though . 
 Jul 29 2008 	 Giraffe Amazing 	 year ago husband stay Hotel Giraffe two month work assignment love , year come time us plan trip NYC celebrate birthday recommend choose Giraffe . glad . incredible experience hotel 5 day period July . hotel conveniently locate great neighborhood , couple block # 6 subway train . felt welcome complimentary bottle champagne chocolate staff place room honor birthday . also upgrade comfortable suite balcony extra charge . hotel lobby great place relax day . feature complimentary continental breakfast morning happy hour evening . quality food beverage option nice . room clean daily maid service first rate . hotel night club basement get pretty crowded night . staff manage crowd via separate entrance never hear club noise within hotel . fact would ' ve never know even club someone hotel mention we pass . noise issue solve street traffic noise come 4th floor window night , simply close thick fabric blind go sleep solve issue . hotel incredible - personalize attention , clean , spacious room , modern decor , amentitie location . definitely back ! 
 Jul 26 2008 	 mixed bag nice try 	 Hotel Giraffe really like two different place . night , elevator full drunk , yell hipster 20 - something tourist ( maybe guest ) go rooftop bar . morning , breakfast , mostly old folk -- mean * old * old ; wonder people hear noise night previous whether work fine could not hear well . place overall seem veneer modernity sophistication , surface lack quality break illusion . room nicely decorate , effort make lend upper - end feel , look closely detail -- plain institutional box tissue , unwrapped roll toilet paper , creaky old air con unit -- tell story . kind & quot ; play hip hotel & quot ; theme persist elsewhere : desk staff whose suit not fit quite right make strained effort cordiality , clearly pay attention guest practice job ; breakfast staff stand pour guest cup coffee bar , disappear minute time require serve ( not mind , awkward since stand - by - to - serve thing go ) . overall , guess impression & quot ; nice try & quot ; . kind rate , though , would prefer stay someplace know business hospitality pat -- thoroughly nice instead try . 
 Jul 23 2008 	 great room great price 	 stay couple friend girl weekend away . hotel work well we -- size room amazing NYC hotel . enough room 4 girl spread without bump one another ! ! excited go downstairs nightly wine cheese bar , however disappoint wine choice . overall , good hotel convenient location ! 
 Jul 22 2008 	 Hotel Giraffe excellent 	 stay Hotel Giraffe long weekend July 18 - 21 , 2008 , can not think single bad thing say place . service great , room immaculate , location central . would not hesitate recommend anyone . definitely stay next trip NYC . 
 Jul 20 2008 	 fantastic boutique hotel 	 love stay Hotel Giraffe . room large ' ve experience Manhattan . food provide - breakfast , wine cheese , - unique add friendly feel hotel . would definitely stay . 
 Jul 20 2008 	 Hotel Giraffe : still great place stay ! 	 much good use . . . except Hotel Giraffe . we stay three year ago love . love second time . though arrive early , expect wait , room ready within minute . room immaculately clean well decorate . Maid service excellent . especially enjoy afternoon wine cheese meet many interesting guest . we come NYC see five Broadway show wonder whether hotel 's location far way convenient . not . everything want short walk short cab ride away . Hotel Giraffe like stylish European Hotel . will back . 
 Jul 18 2008 	 Loved Giraffe 	 stay Giraffe day sight - see visit NYC two teenager . accomodation clean beautifully decorate consist separate bed - room living room sofa - bed ( extra tv ! ) kid . we praise Giraffe staff enough - reception breakfast bar concierge / doorman friendly helpful . problem pick - up hire car morning departure receptionist volunteer help we sort , spend quite . great service ! 
 Jul 15 2008 	 great service . great ammenitie price . 	 want stay different part town typical business trip Midtown , stay love . great neighborhood plenty shopping restaurant . quick walk Union Sq . ammentitie like free internet , free breakfast , free wine happy hour evening make nice nickel dim . room bathroom trendy nice size . would stay sure ! 
 Jul 13 2008 	 Love Giraffe 	 husband return fabulous 4th July weekend Hotel Giraffe . second time stay Giraffe return near future . front desk staff helpful check in / out breeze . room large , bathrobe provide bath product nice . especially love complimentary wine cheese evening reception piano player add ambiance . cookie cutter , chain hotel , Giraffe provide value oasis calm within NYC . 
 Jul 6 2008 	 Fantastic NYC hotel ! 	 one - night getaway anniversary New York City , take lot time research review hotel . trip Advisor right ! ! Hotel Giraffe wonderful ! bit expensive , even NYC , room large , breakfast nice ( bagel , yogurt , fruit , pastry , coffee , etc . ) also complimentary beverage cookie day . cocktail hour w/ complimentary wine / champagne cheese . , least get something money ! mention anniversary surprised upgrading room suite . huge beautiful . decor classy overwhelming . small balcony , . staff extremely attentive friendly . ask concierge advice go , even print train schedule we unable get computer line . highly recommend hotel wonderful experience city ! 
 Jun 30 2008 	 great experience Giraffe 	 woman alone New York daunting find Giraffe feel secure pamper . breakfast evening wine cheese hour especially welcoming . room large luxurious everything umbrella slipper provide . although long way Museum mile excellent subway connection advantage within easy walk distance great shopping Soho Greenwich Village . 
 Jun 29 2008 	 NIce Boutique Hotel NYC 's Midtown Area 	 hotel excellent alternative stay major chain . recently remodel , room nicely appoint well keep . think however , rate go much less major chain nice boutique hotel . credit however , rate NYC go substantially last couple year . , could time easily get room 5 - star hotel almost less , room Giraffe . the location Park Avenue South central attraction mid - town area . suite nice regular unit , quite spacious . because travel NYC often business , stay several time . consistency great , several business amenity key . free wireless room lobby area ( well hard - wire need ) . also printer lobby , stand - alone laptop , case need print boarding pass , browse web . free continental breakfast morning . nothing fancy , fruit , juice , bagel , etc . I would say big thing lack hotel & quot ; scene & quot ; good restaurant . small boutique hotel , really gather people ( plenty place close ) . side restaurant open late , food mediocre good ( , plenty place close ) . 
 Jun 5 2008 	 Perfect Fit true NYC experience 	 New York resident , suspect stay New York hotel . notwithstanding forego , Hotel Giraffe perfect option getting engage . room spacious , clean beautiful , give bottle prosecco note engagement , arrive late , & quot ; upgrade necessity & quot ; suite . staff extremely friendly helpful . out - of - towner , definitely well option traditional chain hotel . 
 Jun 1 2008 	 good time Giraffe 	 wife stay Hotel Giraffe 6 night sightseeing shopping end May 2008 . first visit New York choose hotel reading review Trip Advisor . location : hotel centrally locate Midtown near subway station , close Flatiron building far Empire State Building . main hotel district not find problem . we buy Metrocards first day find easy get subway bus . direct subway line hotel Times Square Herald Sq ( Macys ' ) connection difficult always lot taxi necessary . plenty cafe restaurant nearby Park Lexington Avenues . accomodation : booked & quot ; Superior King & quot ; room balcony comfortable good size City Centre hotel . decor stylish room well equip useful free WiFi . thing could add would kettle make tea coffee available hotel lounge time need . we 9th floor face 26th street find room quiet . well insulate good air conditioning , staff : staff pleasant helpful without intrusive . reception always well staff . generally : one feature hotel inclusive continental style buffet breakfast . hot breakfast plenty choice cereal , fruit fruit juice , hard boil egg , roll , tea , coffee etc . I mention book wife birthday stay . pleasantly surprise wine belgian chocolate leave room return day . another feature piano music cheese wine lounge evening . make pleasant break sightseeing shopping . overall please Hotel Giraffe would definitely stay . 
 May 30 2008 	 Nice Hotel beware light sleeper ... 	 really want love hotel . across street office come visit business trip great part town . review past traveler sound wonderful . hotel nice ... extremely clean , decent sized room tastefully decorate . good sized bathroom marble counter . plus complimentary internet breakfast great perk . unfortunately , problem hotel little hotel level noise busy street locate . first night stay get late grueling day deal flight delay , etc . want rest room . within short time get room , hear loud slamming / crank sound street . call front desk ask sound tell trash pickup would stop minute . 30 minute later ( midnite ) call noise still go . ask move high floor ( 7th ) , hotel sell night . noise finally stop , street noise still pretty loud . next day , hotel staff agree move room 5th floor face Park Ave instead 26th , since trash pickup 26th . nice accomodate , really appreciate . unfortuately , move help much street noise . sure high floor would help ( hotel go 12th floor ) . third night finally find way drown street noise - turn A / c room make pretty loud hum noise turn iPod soothe music ( room ihome dock iPod ) . definitely helped finally get good night sleep . , bottom line - great hotel not mind either hear street noise ok cold room hum sound A / c ! ! 
 May 29 2008 	 big service small hotel - Hotel Giraffe 	 clean room - check . friendly service - check . great location - check . hotel not impose like big one city , need enjoyable adult stay . check easy , staff take care need . the hotel include basic - nice , small lobby nice view window eat complimentary breakfast , cool rooftop garden enjoy drink cigar . of course , location nice - great mix residential , office retail , get anywhere city quickly via subway cab . couple enjoy city , be perfect . 
 May 27 2008 	 Clear Favorite 	 stay due discount friend wedding , stay 4 - 5 hotel previous trip say , will never stay else . room good size well equip , breakfast perfect , wine cheese great way start evening . Roof Bar also cozy place grab dinner drink . good food near blue Smoke right around corner BBQ Haru sushi , park bar short walk away reasonably price drink . 
 May 20 2008 	 Dependable Giraffe ! 	 3rd visit Giraffe . count good service , clean moderately sized room upgrade , daily continental breakfast daily wine cheese reception large main lobby area ( except Sunday ) . two minute walk subway station green line upper midtown / Central Park south tip Manhattan 10 - 15 minute subway ride max . nice area walk - Gramercy Park , Madison Square Park close ( 3 - 5 minute ) Union Square 10 - 15 minute walk lot modestly price restaurant within walking distance . nightclub next door Barna ( also restaurant ) - young crowd 20 's 30 's noisy evening music , good request room high building possible escape nightclub noise less extent street level noise traffic either would concern . will not disappoint book hotel - bear mind small & quot ; boutique & quot ; hotel will not trappings big hotel like Hilton etc . look for . James Ottawa , Canada 
 May 20 2008 	 Giraffe terrific ! 	 fourth time stay Giraffe continue wonderful . room comfortable nicely appoint great amenity - flat screen , ipod docking station , cable , etc . staff always courteous helpful . absolutely love breakfast include room - fabulous bagel , pastry , cereal , fresh fruit , juice , capuccino , yogurt much . also lovely cocktail hour wine , cheese cracker . lobby lovely , spacious comfortable . hotel also great location easy access either uptown downtown . definitely back can not wait . 
 May 15 2008 	 Delightful Hotel Giraffe 	 comfortable accommodation medium - size room . hotel staff courteous . clean . like ambiance lobby complimentary wine cheese . continental breakfast include good N.Y. pastry . coffee cookie available time . computer printer lobby guest 's free use . 
 May 12 2008 	 wonderful 	 second visit Giraffe , thorougly enjoy stay . fact , book family well , everyone love experience . well travel , find Giraffe accommodate every way . yes , room not ready prior 3 , keep mind end , checkout 1 pm . one great advantage comfortable lobby complimentary breakfast morning , cappuccino & amp ; cookie throughout day , 5 pm , cheese , cracker wine . lobby condusive talking meeting friend city . room comfortable many ammenitie . drawback , noise street , find NYC hotel . doorman lobby staff wonderful , pour rain , sure flag cab we . try Giraffe , will not disappoint . 
 may 7 2008 	 great place stay back . 	 Hotel Giraffe great base one week stay city , perfect location uptown downtown . subway station 2 block away ( 5 min walk max ) booking ask high floor grant , would recommend try get high room New York hotel street noise loud . the room good size lot hang drawer space massive bed flat sreen t.v . get little balcony look onto city , also get lot nice little thing like bottled water , bath robe slipper room spotlesly clean . the hotel door staff concierge staff great job , always willing help need ice room , get taxi reserving seat manhattan top restaurant . nothing problem seem genuinely happy help . the lobby area nice place relax unwind away crazy city outside , get bit breakfast morning , coffee / tea biscuit day drop wine evening , play cool relax music day bit piano playing evening ..... good . great place stay , back . if could recommend NYC highlight would ' Top Rock ' , ' Century21 ' discount shopping , great NYC Restaurants : ' Lombardi 's ' , ' Patsy 's ' ' Tao ' 
 May 2 2008 	 Giraffe Gem ! 	 hotel deserve rave review 's receive date ! book strength Trip Advisor review spot . almost afraid rave want go back book . amazing gem fairly central location - quiet block Empire State Building / Madison Square Garden / Macy 's . 5 min walk lovely Madison Park . our room balcony spacious , spotless clean twice day ! cosy king size bed , fabulous bath power shower . towel stock chocolate pillow - brilliant . staff courteous attentive . complimentary breakfast ideal morning fuel - lovely bagel / juice / croissant / tea / coffee / fruit along morning paper . evening wine cheese coffee / tea throughout day . there be amazing irish pub / steakhouse McCormacks around corner - beautiful steak , good beer local new york atmosphereExcellent hotel - absolute gem . definately back ! 
