City 	 City Inn chain fairly new modern group Westminster City Inn London 's big new build hotel 30 year . I London delight find Westminster branch CIty Inn Westminster locate 5 minute walk Houses Parliament + Big Ben also within walking distance London Eye , Westminster Abbey many place eat . near tube station Pimlico 5 minute walk away . also Wesminster also nice area feel safe walk back night . the staff hotel super - nice well really efficient - make big difference . I find room easily big enough large bed really warm thank thick duvet - seem rare many hotel . big pillow also nice addition . as well also MAJOR plus point standard City Inn feature - iMac computer system every room ! ! - mean fully fledge internet system free use . brilliant handy check local attraction , check transport time , restaurant , map etc etc well ( want ) keep email , ebay , facebook etc away home - free room ! course also hook ipod system well . City Inn Westminster Pizza Express restaurant right next door use weather bad - take away want bring back room eat watch dvd like : ) pros : * great location - 5 minute walk near tube station + Houses Parliament ( tube access give London within easy reach ) * comfortable warm room * room computer imac system - great look information email etc ! * nice polite staff * not want venture far eat hotel restaurant Pizza Express restaurant next door . * Quiet - could not hear traffic outside all . con * choice continental full breakfast - go include continental though full breakfast look nice - quite pricey ( continental fine ) . * honestly think anything not like ! not sure stay London originally pay really cheap rate regret . stay City Inn hotel decide give London venue try really glad . comfortable convieniant stay friendly staff - certainly place top list next time visit . 
 ACCEPTABLE DEAL 	 hotel acceptable decent value get deal range 130 - 150 gbp per night ( per room ) . nothing more . pros : quiet , well equip ( internet , imac room , etc.but also dryer , iron board ) , general service acceptable ( expect anything stellar ) . guest service good . room clean ok , spotless ( trace hair bathroom ) . shower modern functional . con : bathroom small . mattress way way way soft ( bend one edge risk fall ground ) , 20 min queue sit breakfast table ( never see ) . 
 comfortable clean great value ! 	 stay City Inn Westminster one night long layover London . first trip city , not anything compare think City Inn great . check - in process quick , room ( 5th floor ) great . seem private party hotel restaurant , guest stay floor , bit worried would noisy . actually nice quiet , bed clean comfortable . my favorite thing hotel in - room iMac . use tv computer , able charge iPod . overall great stay , definitely recommend . Underground Circle Line not operate stay London , ' m really sure convenient hotel transportation . 10 minute walk Big Ben even short nearby cafe ( Pret Manger Starbucks- although not open 9 am Saturdays ! ) .I also highly recommend Heathrow Express Paddington Station . convenient , 15 minute cab ride Paddington City Inn . 
 Modern Chic ! 	 second trip London ( first Mother travel ) , must say pleasantly surprised . first trip London stay one Novotel chain hotel impress , not sure expect hotel , absolutely PERFECT need . start : check - efficient . day almost always 5 people front desk , make check in / out , use concierge , ask question , etc efficient . even night usually 3 people work . absolutely love . customer service top notch well . every time walk door receive smile someone front desk , usually someone ask day . Decor - 's state - modern . absolutely love . lobby fun relaxing . room stunning . bathroom bite small bath , fine need . be 2 girl get dolled everyday , plenty space . also believe mom call & quot ; shaving mirror & quot ; PERFECT put eye makeup . love . room also computer free internet access ! amazing , able keep contact daughter home . great way make away much easy handle ! downside would window face towards courtyard , could see lot people 's room , know could probably see mine unless make sure curtain COMPLETELY close . not really bother not room much anyways . 's LONDON goodness sake ! ; ] location - location hotel EXCELLENT . 's walk distance London Eye , Parliament , Westminster Abbey , many restaurant . be also little convenience type store 2 block awesome late night snack = ] be 5 min walk tube station , be nice neighborhood . never feel unsafe walk back night . restaurant - eat restaurant breakfast . review correct almost always queue get . wait 15 min get seat . manager however go line let check bag , coat , accessory , etc ... not want hold ate . pretty awesome , since luggage we . food average . opt breakfast buffet rather full english breakfast . get kind late bit pick , probably would well luck pay full english breakfast look delicious . this hotel bite expensive place stay London , afford , DEFINITELY pay extra go . stay basic room offer blow away , ' m sure . take advice , stay CITY INN WESTMINSTER ! ! ! 
 May 7 2009 	 absolutely Perfect Hotel 	 great hotel . stay husband 3 night absolutely perfect . modern clean hotel . 15 minute walk Leicester Square , London Eye . the staff helpful pleasant . really great time . hotel enjoy good night sleep . 
 May 4 2009 	 defintely good round hotel London 	 probably 10th time stay City Inn . really fantastic round hotel . room spacious , WHite company toiletry , iMac room - could want . even give free internet access - real rarity UK hotel . book far enough advance get really good deal , especially weekend . location pretty good admit will not suit everybody . basically 5 - 6 minute walk Westminster Abbey . think great try hotel bracket yet find one match . mega bonus park free road outside hotel weekend . 
 May 4 2009 	 great location comfy bed 	 Hotel great location , 10 minute walk Westminster tube station , Houses Parliament & amp ; Westminster Abbey , Pimlico tube 5 min walk . staff pleasant & amp ; helpful . early check bonus . room clean & amp ; bed extremely comfortable . Breakfast prepay excellent , great choice continental & amp ; english breakfast . would definately stay . free internet room handy & amp ; hotel also DVD 's CD 's available reception . 
 May 4 2009 	 Greast Value - Excellent location 	 stay get great start concierge suggest save £ 40 parking road rather car park ! honest sure many hotel would . book City Club room allow early check late check . room nicely size comfortable , good facility extra like bathrobe . whilst bathroom small , well appoint shower good , nice toiletry large towel - pet hate towel not even wrap round body properly ! snack bar early evening good , service little slow much issue . also room service nice well . disappointment breakfast serve lukewarm ' freshly cook ' breakfast . complain quickly recitifie many apology staff . ideally locate , almost next door Tate 10 min stroll take Houses Parliament London Eye . get great rate book direct hotel enquiry deal promptly . highly recommend great value brilliant location excellent facility . 
 May 2 2009 	 Perfect every way ! 	 anyone visit London City Inn every way perfect choice . stay one night whilst go O2 concert . short tube ride king Cross Pimlino - 5 minute away . hotel brilliantly locate Westminster , 5 minute walk Houses Parliament Whitehall . room well appoint , clean tidy , exceptionally peaceful comfy bed touch mac room - go back London 3 time next 6 month concert already reserve hotel advance . would stay anywhere else 
 May 1 2009 	 good bad 	 persuade boss let stay city inn rave previous stay , wish have not bother . the recession seem hit hotel bad ! ! ! call make reservation speak someone call Isha , seem one hell bad mood , unhelpful , unpleasant talk , complete contrast previous experience speak ugu . however decide must bad day proceed stay , wish have not ! upon arrival 120 people check 3 people reception deal , , lengthy process check in . finally check , room great , say staff seem long cheery , miserable look work really want there . the couple day seem , staff smile , really feel though recession bite seem less staff previous visit . say money cost definitely go look around elsewhere , particularly go gut reaction way badly serve reservation Isha . 
 May 1 2009 	 excellent usual 	 think fifth stay City Inn , course perfect . try get suite like last time fully book . the secret good place , may make hard book in . it luxury , good value money . 
 Apr 29 2009 	 briliant hotel 	 hubby stay hotel 2 night could fault anything .... room clean bright .. choice breakfast plentey .... side location .. hide neatly many building could never get bearing ... quite way theatre , catch cab everywhere , cost alot money ..... fab hotel ... 
 Apr 20 2009 	 Fantastic Hotel ! 	 stay City Inn Hotel 4 night Easter holiday . find hotel Trip - Advisor ; search least 50 other hotel web end seem good combination price location . arrive hotel late night , warm welcome person work check - in . room 2nd floor , hight would like still good ; room window look opposite building , we problem anyway would not stay view . room nice ; bed confortable , like much idea computer room free Internet free coffee tea service . bathroom big , clean nice . not take breakfast hotel want discover little cafe around , breakfast seem nice . try next time . location hotel excellent ; 10 minute walk Westminster tube , dock take Greenwich . also like walk even walk piccadily central location ; like walk couple time walk centre hotel . think important hotel safe neighbourhood , maybe safe London , quiet location still centre . , would recommend business traveller tourist sure stay next time London 
 Apr 19 2009 	 spacious quiet clean 	 writing imac room ( instant hit teenage child - decent selection dvd cd borrow free charge nice ) . arrive early room ready . although twin bed extra bed provide speedily . likewise non work fridge instantly change - staff wonderful - efficient courteous . shower room compact clean shower good . quiet effective air conditioning mile well noisy system hotel . location good main road unusually quiet London . tea coffee selection include fairtrade herbal tea . bed comfortable room well lay - simple comfy . disadvantage bit way go west end Tate Britain round corner Westminster door step compensation . taxi always wait door event . I do not bother food bar lively expensive cocktail little slow arrive . really minor grumble would highly recommend hotel . look budget accommodation ( London not really place visit budget destination ) think City Inn beat . 
 Apr 17 2009 	 Faultless stay 	 lucky get room special Lastminute.com rate £ 10 . quality hotel amaze we - would hesitation recommend , even normal rate . check - in perfect start one - night stay . one person already check ahead , one member staff immediately visible . magic , another member staff appear back office welcome hotel offer check . ( Compare Marriott ' ve see staff peer back office quickly sneak back sight see queue ! ) hotel modern trendy , comfortable welcoming time . area , include room , immaculately clean . room enormous , perfectly big enough . bathroom tiny , nice shower make forgiveable . bed nice comforable , room nice quiet , make excellent night 's sleep . location hotel hussle bussle city , easy enough walk lot main attraction London , bus tube ride . walk Westminster Station 10 minute quote hotel website . great feature hotel computer broadband internet room , extra charge . one night , work nearby , would imagine could great feature tourist business traveller alike . dinner City Cafe great . food delicious , menu sound tempting indeed - have see menu post around hotel , could not resist try . feel food drink price pretty reasonable quality food excellent service . sadly , not time breakfast morning - walk restaurant way work , wish could eaten breafast look fantastic . can not wait return - will one first choice hotel next time want stay town . 
 Apr 16 2009 	 Fantastic ! 	 stay five wonderful night wife two young kid . check swift , room great ask cot extra bed happily accommodate . service food fantastic . location , 10 minute Tube that s pram 6 year old , bus stop outside . walk big ben , house parliament etc main attraction within walking distance . hotel reside quiet secluded area westminster welcome day sightseeing crowd . hotel stay family whenever London . thank 
 Apr 16 2009 	 hotel one good London ! ! 	 go valentine day . get valentine package . amazing ! ! staff friendly . food incredible ! ! resturant feature Masterchef imagine good food . room amazing . bed comfy . complain hotel ! twice come back second time give we free cocktail £ 20 ! amazing ! ! ! 
 Apr 15 2009 	 good location good price 	 nice location , clean room , good value . quite small room , see relation price pay . get handicap room , staff care mention apologize check . hairdryer work , replace request.imac room instead tv great . log Spotify listen favorite music , check weather forecast booking . 
 Apr 14 2009 	 love suite 	 city suite college - aged daughter . spacious conmfortable . staff great ! ! anything ask provide . view nice . like review state , lot resturant neighborhood , pub . however , cost - cutter market around corner buy grocery . City Inn lounge bar nice . would stay London . 
 Apr 14 2009 	 great stay ! 	 staff courteous - ask room view Parliament building upgrade we suite without charge we . room spacious , clean loved bathroom - great lighting ! ! would definitely stay ! dessert coffee restaurant - delicious - try restaurant regular meal next time ! ! definitely worth ... 
 Apr 11 2009 	 Great Hotel - Great location 	 stay two night part theatre break package . hotel bright , modern minimalistic , turn reflect decor design room . room great , clean spacious , bed extremely comfortable . set side street noise endless London traffic . staff superb ! curteous welcoming . check check faultless . breakfast time staff extremely busy , yet still maintain sense humour high professional value . breakfat one good ever hotel , black pudding well ever ! really recommend hotel enough ! ! 
 Apr 10 2009 	 not believe hype ! 	 stay xmas / new year break hate , website advertise wrong tube station get point disintereste staff . reception bland devoid character rather like ikea show room pretty much sum hotel . room stay consent hum noise similar travel plan air con disturb sleep . also fire alarm early 30/31 December , badly handle , staff tell we go back bed fireman attend false alarm , yet interestingly enough leave hotel walk- 5/6am several fire engine hurtle past see fireman hotel foyer left- suggest good mislead bad lie staff . the breakfast awful , send stone cold toast back four time give , offer selection tea choice breakfast think pretty poor 4 * hotel even find tea label swim around inside tea pot ! staff rude , unhelpful dismissive claim language barrier could help - charge service drink order bar serve . order room service tell 3 January could fulfil full menu shop shut- complete lie , would bother vegetarian option could ! eventually manager give bottle champagne , overhear front desk compare hotel other stay London- little late . I mention sky bar advertise website , discuss booking express much would like see view firework New Years bound hotel guest - discover arrive hotel . stay clear hotel unless want sleep noisy bland price , hype establishment adjacent office block view . 
 Apr 10 2009 	 WICKED ! 	 second stay City Inn Westminster countless trip London various hotel vary budget , star rating , location etc City Inn beat . first trip take Caledonian Sleeper Glasgow mean arrive London around 7 am long check - in time hotel usually 12 late 3 pm ( wtf ? ) find hotel early check option 8 am , price either far less hotel category give try . room ready wait arrive 7.30am high floor request , hotel 10 minute either Pimlico Westminster tube station well connected . get Victoria within 20 minute walk , great location show Wicked Billy Elliot ! room service Restaurant also great value money like spend much day enjoy London little time eat show start ! almost reluctant write review keep one . totally perplexed hotel well know , location , price , staff , service room size price hard push get find well value accommodation London ! 
 Apr 4 2009 	 great value money good location 	 agree previous positive comment hotel . city overprice hotel room norm stand gem £ 90 per night ( include breakfast ) . room spacious well kitte imac good idea ( even tricky work first ! ) . bathroom clean little small . well locate Westminster easy access London 's sight . would definitely recommend hotel . 
 Apr 1 2009 	 high standard great value good location . 	 Prepay rate great value ( £ 99 plus vat ) , stay . ideal business leisure . high standard cleanliness modern decor . breakfast though - bit pricey , even continental . 
 Mar 31 2009 	 fabulous location facility food 	 fabulous location . hotel well place sightseeing still remain hide away calm relax perfect chill get back . stay suite fantastic . breakfast good good stock buffet also full english order . eat la carte evening food amazing - good decent sized portion . one drawback drink quite expensive . great hotel one definatley stop . 10 10 ! 
 Mar 24 2009 	 Great Hotel Great Staff expensive drink 	 back three night City Inn . everything place , except price booze , excellent . staff , reception restaurant bar service friendly helpful . breakfast really good , good porridge ' ve ever eat hotel . with regard position , disappointment shortage place eat immediate neighbourhood , surprising give 's proximity Houses Parliament , Westminster Abbey , Embankment London Eye among tourist attraction . I would not hesitate recommend hotel anyone , tourist business , would certainly go back ( perhaps sneak bottle illicit brandy suitcase ) . 
 Mar 21 2009 	 great hotel nice quiet location 	 Stayed weekend love hotel . room spacious staff friendly helpful . nice quiet location always good big city . would stay . 
 Mar 18 2009 	 impressed 	 Fashion Week London many hotel full . find one internet decide take chance -- - lucky we ! nice trendy place good service cool lounge . room decent size ( London ) price right well . the Tube station 5 minute walk Westminster Big Ben less ten minute away , location good , safe neighborhood . I consider hotel good discovery certainly repeat next time London . 
 Mar 16 2009 	 Compact ok 	 book one night stay Saturday night fairly last minute . arrive hotel upgrade club room ( book standard room ) 7th floor , good & quot ; side & quot ; view onto Thames . room double bed single roll - a - way . room small shower room tiny , room get cat let alone swing . toiletry far dispencer shower gel opinion Travel Lodge . floor ceiling window along outside wall make room open , also comfortable chair small table desk iMac function tv internet . do not like use computer tv , remote size packet chewing gum easy loose ! bed comfortable , bed towel good quality . the staff ( use reception ) pleasant professional . although request removal roll - a - way bed go Saturday afternoon 5 hour later return still . call reception return remove within minute . on Sunday morning lot noise , bang every minute two , do not know do not pertain nice sleep Sunday morning . standard check time 4 pm real treat , usually try extend 2 pm trial ! overall would say hotel ok , although small room , one night fine . 
 Mar 16 2009 	 Nice hotel location could ' ve well 	 overall hotel great - problem . nicely furnished , clean affordable . hotel personnel helpful . the problem location business district . tourist find inconvenient place . close metro least 10 minute walk restaurant , pub bar area . I would recommend hotel business traveler 1st 2nd time tourist London 
 Mar 9 2009 	 perfect 	 stay City Inn , Westminster August 2008 mum good friend . opinion good hotel ' ve ever stay . first book not expect iMac room , think have business room pleasantly shock saw . breakfast lovely room clean could not hear traffic road outside . get Pimlico underground walk quite way find another way entrance , much quick easy find . friend & quot ; internet - holic & quot ; find iMac good part fair not one bad thing hotel . overall , amazing ! ! 
 Mar 8 2009 	 Great value - friendly staff - highly recommend 	 back fantastic 2 night stay , hotel great value , room compact everything need , bar restaurant 1st class . travel husband 2 young child adjoining room 4th floor thoroughly enjoy . breakfast excellent lot choice never busy ( serve until11.00am ) ! can not speak highly enough staff ! amazing nothing much trouble check inn / concierge / waiter waitress fantastic . look forward go back soon . 
 Mar 2 2009 	 Great Hotel wonderful find ! 	 find hotel Trip advisor live high rating , lovely room , wonderful access free internet . staff helpful easy ask question . downside bit walk tubestation , bad look map window view room . great weekend rate , still worth pay . oh bed simply amazing . 
 Feb 28 2009 	 quiet comfortable contemporary hotel 	 wife stay weekend theatre break . stay London many time find hotel one good , London , price . internet room form iMac also wireless free charge commendable . room quiet fairly dark light switch ; find essential sound night ' sleep . definitely use hotel hesitation recommend . 
 Feb 28 2009 	 wonderful 	 go city inn 3 night break , everything spot , lovely greeting , arrive early room ready , fantastic room , comfortable bed , helpful staff , breakfast cook order , wouldnt.go anywhere else . 
 Feb 25 2009 	 fantastic value 	 one good value proposition London . ' ve staid bad hotel three time rate City Inn . clean , good service , quite modern feel . extra plus iMac system - travel leisure , need internet connectivity , not want hassle bring computer . 
 Feb 24 2009 	 hotel like - excellent ! 	 stay City Inn Westminster weekend 20th Feb sister , daughter neice . ' m fussy stay . find everything hotel excellent . exactly say tin . good value . not bother upload traveller photo hotel website photo show exactly everything . check - in efficient nice friendly staff . room fresh spotlessly clean , bathroom spotless supply . breakfast excellent along excellent service . oh like & quot ; mirror art & quot ; lobby , really classy suited area perfectly . step hotel Big Ben London eye within easy walk distance well Buckingham Palace . close tube station Westminster Pimlico . will look forward City Inn open city . 
 Feb 23 2009 	 Great Hotel Great Staff great Breakfast ! 	 second visit City Inn Westminster . arrive check - in staff fantastic , informative friendly . room good ever , clean , great facility , great shower ! visit bar Saturday evening late , good atmosphere efficient polite staff . make use concierge could use internet room well ! polite helpful . breakfast restaurant good ( note previous review state not great , clearly day complaint make take note ) room service breakfast next day equally good . worth every penny . nothing fault hotel , good location , great staff etc etc ! ! not stay otherwise will not able book ! ! 
 Feb 23 2009 	 Superb ! ! 	 stay hotel 17th Febfound check really friendly allow we check room 10-30am.the room look new although know hotel year old . room spotless IMac provide free internet , Ipod connection , tv , etc . Bathroom White Company toiletry bathrobe provide standard . hotel really handy Westminster 's near tube Pimlico 1 stop Victoria coach / tube / train station . 
 Feb 23 2009 	 simply work 	 stay one night mid - February . find ! take away tacky , unnecessary frill typical mid - budget hotel without sacrifice comfort amenity City Inn Westminster . good value , exceptionally helpful staff , comfortable bed , tasty breakfast , free wi - fi , super clean . ask ? well , possibly bath ( shower ) well location ( good Tate Britain Houses Parliament , good restaurant , shop West end ) . give excellent price , sacrifice will gladly make . 
 Feb 22 2009 	 Cool trendy 	 great value hotel heart London . modern , clean comfortable friendly staff . feature iMac room free wi - fi - fab ! five minute walk river tube connection West End . will stay every time visit London . 
 Feb 18 2009 	 great location value 	 stay suite one night attend conference Westminster . go suite due relative good value hotel dissapointe . location excellent Houses Parliament , Abbey etc . , wife little dissapointed lack shop City ( credit card ) . Love Apple computer room room service good - provide dress gown suit fuller sized man matter minute , equally croque monsieur order 10 pm come within 20 minute . moan relate bar staff - drank bar 3 occassion time leave wait age drink serve - eventually go bar ourself . Waitresses seem well train somewhat offhand shame bar well appoint pleasant environment good selection whisky . do not want end negative note though echo reviewer great find centre London 
 Feb 16 2009 	 nice 	 finish relax stay City Inn . hotel modern clean , situated great location ; five minute Westminster tube across water MI6 building . room nice , clean bed comfy . imac good idea however picture tv often break possibly due bandwidth constraint . we book four course meal hotels restaurant perhaps weak part stay . food well present however bake salmon raw middle pasta bland . however level service staff outstanding . breakfast bland affair serve cold toast . in summary , find hotel enjoyable . situation excellent staff extremely helpful , however food fail maintain high standard . 
 Feb 15 2009 	 Comfortable Westminster 	 ' ve good stay . comfortable , spacious , warm , clean , efficient , friendly . usual international bland magnolia design , despite iMacs bathrobe . beware : list price not include tax . reason , mislead ? , pay VAT , breakfast , one two cab get actually want , may long bargain hotel dream . 
 Feb 14 2009 	 Beautiful Hotel 	 beautiful hotel not city center , great location explore Westminster area around Tate . pimlico tube station restaurant short walk away . price reasonable - especially consider expensive London hotel . amazing room well worth price . our twin room beautiful - spotlessly clean new fixture . imac room computer , tv radio - great amenity . one corner room small business center desk , table two chair . marvelous place stay ! 
 Feb 11 2009 	 Best London 	 favorite hotel London , Convenient , stylish , great room , great service - bit pricey well worth it . overall either business pleasure highly recommend . 
 Feb 3 2009 	 Good Hotel Good Location rubbish city 	 stay last weekend see show West End . spend many happy hour search right London hotel , whole seem veryoverpriced get , although probably sum London general . make mistake driving , word advise , ' bother , London hell todrive around , arrive sit afternoon heaving , hotel fairly easy find though locate embankment across river MI5 building . the car park locate back hotel , check get , bit annoying ' know , dump car double yellow wonder round front hotel check in . the hotel convert office block use usual City Inn DNA , withglass chrome everywhere , nice modern contempary theme . check quick , member staff good explain Features hotel . finally get " fort knox " ( car park ) , tiny , around 30 small space , ' seem lot hotel size , drive large car 4x4 doubt get park , also underground car park access via steep hill , drive sport car , car low ground , also will not get ! ! ( prob good drive hotel - if car park £ 20 night ! ! ) get room , identical room City Inn Birmingham westaye week – clean , modern , great bed , quiet good air - con / heating system , also I - mac , love . bathroom tiny although ' annoy , get nerve ! location great , walk everywhere ' set foot tube ( hate ) 30min walk west end / Covent garden , 10min eye , around 45min Harrods / science museum ( want tube , near station around 7min , Westminster ) ' eat hotel menu look good dining area . we book via hotel website pay £ 79 night , I ve see cheap . good value good base seeing sight , however think thatIt flatter " 9th " rate hotel London ; surly London well offer give famous hotel around , budget doubt find much well . would stay – yes , however doubt go London , Old , dirty , busy overpriced city , similar Paris ( another city will not go back hurry ) 
 Feb 2 2009 	 another good break 	 return another positive stay City Inn Westminster . minor incident housekeeping , promptly resolve , adequate compensation make . unfortunately , look like information need give we non - business traveller know staff leave message ( ' m techno - savvy ) , unnecessarily complain receive message . sorry ! one thing realize time much enjoy quiet neighborhood . past , ' ve agree reviewer lack facility . time , hustle bustle city centre , wonderful get tube Pimlico relax walk back hotel . finally test tube Westminster , much busy walk back hotel . distance short person ? Pimlico tube : 10 minute ( not feel like ) . westminster tube : 12 minute ( feel long ) .I also finally chance eat Pizza Express behind hotel , good job take care single diner , food fine . 
 Jan 30 2009 	 lovely hotel 	 totally love hotel . beautiful room , great breakfast , super nice staff really great computer room free dvd 's . downside surrounding prettu dull restaurant . 
 Jan 26 2009 	 ` ` easily one good hotel London '' 	 girlfriend spend Christmas 2008 City Inn honestly say one good hotel stay London regular visitor Capital , recommend everyone . off side street , next Thames brisk walk Westminster Station , perfect sight London , five ten minute Big Ben ! hotel 's staff superb . room spacious , spotless , everything want contemporary design . from Apple computer , dvd player WI FI access , excellent ' sort bar area ' coffee tea facility , large clothe wardrobe luggage space top , way ! without question five star hotel three star price , hide gem sure . 
 Jan 25 2009 	 Fantastic - Best London 	 stay City Inn Westminster New Years Eve 2009 . minute walk Lambeth Bridge get good view firework . arrive tube hotel short 5 -10 minute walk Pimlico Tube Station . follow sign Tate Gallery stone throw . really easy find . I impress comfort bed , cosy duvet pillow - always nice surprise . London room really good size . heating / air conditioning really easy operate get comfort room right . I also love tv Apple Mac monitor free internet access & amp ; sky channel . also play CD 's though free dvd library reception . the hotel great location , yet quiet even though full stay . we snack lounge bar impress standard food . also surrounding lovely create good ambience . if go back entrance towards car park Pizza Express restaurant overlook Thames . eat New Years Eve fantastic meal . worth note go London New Year , stay extra night see New Years Day parade 12 pm . whole Westminster , Trafalgar Picadilly close traffic perfect able walk everywhere . - great hotel , contemporary everything need . certainly good ' ve stay London . 
 Jan 21 2009 	 excellent modern hotel 	 book stay overnight part theatre package delighted choice . hotel modern , clean , comfortable within easy walk distance ( 10 min ) Pimlico & amp ; Victoria underground station . tate literally 2 min away . able check early day arrival ( Saturday ) , quick lunch bar afternoon explore . restaurant staff responsive need quick dinner theatre evening food good , freshly prepare tasty . room well lay , nice touch - like Applemac entertainment system , free internet efficient air conditioning . give central location , room really quiet . staff friendly , helpful attentive would return hotel without hesitation . 
 Jan 20 2009 	 Excellent 	 book londontown.co.uk two night £ 160 . price will get pokie hole mixed review . place everything plus . room spacious well equipped . also apple imac free internet . nice touch . stay girlfriend Jan 16 - 18 . nearby tube . ( westminster Pimlico ) right thame beside london eye westminster . great area feel safe night . hotel restaurant quite plush reasonable price . 1 starter 2 main 1 dessert 2 bottle red wine £ 75 . go 
 Jan 20 2009 	 Brilliant ! 	 get back great three night stay City Inn complaint . the hotel literally 5 minute Pimlico underground , far walk . westminster underground 7 minute walk direction great view Houses Parliment Big Ben . the hotel extremely modern . hotel restaurant lovely , eat twice , take advantage steak chip complimentary glass wine time . meal standard night . breakfast great , continental serve buffet style option order full cooked breakfast alternative . the Millbank Lounge nice drink , little pricey . seem bar London pricey use ! ( cocktail lovely worth price least stay ! ) hotel room really clean spacious enough two we . overall , staff friendly , hotel clean food great . perfect january getaway : ) 
 Jan 9 2009 	 would definitely go back 	 get feel ' ve really think thing hotel , quiet location sense spaciousness bathrobe every room . aside slight lack storage space , room well - design feature usual accoutrement . cannily , instead tv set 's iMac build - in freeview tuner . well able watch telly , use listen cd , watch dvd ( be library 100 title borrow reception ) surf web . say , not feel comfortable use site require password - maybe be paranoid . main downside room compact bathroom . be large one ibis - style pod much ( be shower bath ) . also , shower lukewarm good second morning . real complaint 's much vegetarian selection bar menu nearest tube station 15 minute ' walk away . none would put stay . price , be unlikely find anywhere well London . 
 Jan 8 2009 	 Christmas City Inn 	 spend day Christmas period City Inn family Xmas getaway . pleased location , almost south bank Thames within easy walk distance Westminster , Buckingham Palace , Horseguards etc . useful no / very little public transport Xmas & amp ; box day . hotel smart , bright modern Xmas decoration sight unless count Rubics cube Xmax Tree . critisism way . room reasonable size , comfortable well appoint . good shower room facility . reception staff concierge helpful attentive . negative room service advertise 24 hour ; two evening row room service respond unavailable . one evening promise call back room service reception receive brief call someone say phone not work would call back . not ! satisfactory one party ill go dining room .... dinner ... twice . book Xmas lunch dining room quite pricey @ £ 71.50 per head ( incl compulsory service charge ) . Xmas lunch frill quite disappointing practically menu offer night £ 24.95 plus service . plus though , Santa come gratis gift child , nice touch . we try breakfast dining room .... ask wait 15 min table although many onoccupied time ..... go , across Lambeth Bridge find decent little caff cum river cruise office full English £ 5.95 . bargain ! evening go Millbank Lounge Bar , open , staff seem busy order take . downstair bar friendly efficient , though . decent irish coffee make . on two day call housekeeping clean room do day . when check last day mention slight disappointment think might due busy Xmas period tell hotel busy Xmas ! despite bad point overall impression ok lot forgive excellent location hotel , great , value money room . go . 
 Jan 7 2009 	 little gem hide behind Tate ! 	 impressed arrive City Inn , reception area clean bright staff helpful . able check room around four hour early . the room clean everything give we expect tea coffee facility vanity kit apply remove make up . the bed wonderfully comfortable , although duvet heavy even though bitterly cold outside overheated night . the staff friendly helpful give we useful information upon arrival . one negative alarm call book one room 7 am never come . thankfully one call make everyone time breakfast pre book flight London Eye . breakfast serve quickly efficiently although order cook breakfast get little muddle . inclined let slide though restaurant exceptionally busy get hot food deliver quickly . upon check ask leave luggage store staff room behind reception able collect promptly yime train . all would recommend hotel , shop around deal . well hotel £ 150 night mark . 
 Jan 6 2009 	 Nice hotel 	 hotel great special Christmas season . front desk staff let we check early nice . bed soft helpful computer room check attraction look location . really not much view room , location nice , small neighborhood . metro stop 10 minute walk quiet area front desk staff helpful give direction answer question . bathroom not great , sort small still nice . room great size plenty space room . could walk hotel center town , nice 20 30 minute walk . room service well price prompt . get back hotel tired spend evening , nice choice dvd friend enjoy thing slow holiday . pillow bed super soft . hear horror story London hotel small cramp , one not price outrageous , either . great stay ! would go back , definitely . 
 Jan 6 2009 	 Beautiful New Years Eve Break 	 choose hotel due location New Year celebration London . excellent price package include evening meal breakfast . room clean well present along wifi access great entertainment system . the staff helpful booking stage check restaurant food service excellent . have couple small issue quickly sort General Manager staff , make believe people really believe give top notch customer service . we recommend consider stay whilst London , great location easy access major attraction . 
 Jan 5 2009 	 Hidden Gem 	 go London New Years Eve firework . want hotel close embankment nice close . smart glass hotel , reception area spacious plenty check - in desk . ( one little niggly point stage , make sure take card use pay accomodation , go rigmarole refund original card charge one bring . can not really see point , payment room book originally . must reason say never experience ! ! ) . room nice clean bright bathroom . bath shower , not problem . excellent breakfast morning . NY Day buffet style include hot food serve 7 am 3 pm ! ! 2nd morning , hot food serve table , plenty choice mean portion . far well way breakfast nice hot , luke warm tend 4 * hotel stay whilst London . nice bar 1st floor , bit pricey London . double measure tho . staff friendly nothing much . ( Hello Paola check - out , helpful . ) . definately back . 
 Jan 5 2009 	 good location shame food 	 stay bring new year . first time London new year book new year eve package . upgrade room suite great view lovely size bathroom . clean could hear lift get great night sleep especially bed hudge soft . good thing place bar . bar man take special pride job , watch make cocktail pleasing , especially italian guy huge passion lack london bar , start night lovely . my problem stay new year eve buffet extremely poor . dish bland except beef wellington ok . wait around age buy cutlery serve us vegtable beef wellington lay cold plate wait line . disapointe . also pudding adverage . would well stay home get mark food . also go sky bar , great view lot champagne canape salty bring round waiter often enough offer people . bad , shame city inn tight . staff extremely friendly check bill check . try charge we amount £ 40 . Lady check we also short change we £ 10 realise home . 
 Jan 5 2009 	 perfect hotel central london 	 really love hotel , bad experience london year ago good one . we nice clean modern room . everything want include , also free internet imac . do try breakfast restaurant , everything else ok , good service nice people will know person like treatet , definitly use hotel I m London time , well help bad currency course britisch money , make availabel . like ten minute walk tube , bus 88 go sight central london , would recomend one subway . go hotel , westminster abbey , bigben , travalqar square , regent street , picadilly circus , oxford circus ...... .... 
