almost 	 London 21 - 24.11.2009 . stay Premier inn situated center London ( 50 m London Eye Big Ben ) . unconventional reception good ( check - in check - in machine want , wait ) . reserve twin bedroom get extra large bedroom one double bed one bed extra ! ! ! great ! ! ! room perfect . extra clean nice clean bathroom , flat tv , hairdrayer , cofee machine ... breakfast good can not describe ... full english buffet breakfast ... planty everthing ... word ... one one thing ok shampoo bedroom stay empty three day . definetly ' m go Premier inn ... 
 Aug 1 2008 	 excellent choice 	 come back two day break London County Hall excellent choice . I previously book family Travellodge Covent garden get nervous reading trip advisor review find one rebooke . thank goodness ! well situated hotel right next London Eye easy walk bridge Houses Parliment Big Ben . our room clean adequate size stay husband two child 11 14.our room front not road noise . good job window open night due 27c room .A fan provide extra sheet want swap duvet . breakfast next morning excellent . early quiet fresh . £ 15 4 we ( kid eat free ) good start day . although class budget hotel feel smart clean like cheap end hotel market especially familie excellent value money one great London location- 25 min walk Buckingham palace - 3 major sight right hotel . Slug Lettuce pub round corner good dinner fish chip shop mini mart close plus restaurant hotel . an excellent choice stay London ! 
 Jul 29 2008 	 Lovely Weekend London 	 stay hotel 2 night end July . really enjoyable stay . location excellent , next London Eye . staff really delightful , nothing much trouble . room quite spacious , spotlessly clean bed really comfy ! food good breakfast great value . although air con bedroom , provide large fan job . definitely stay . 
 Jul 15 2008 	 Best Location London ! 	 friend stay location week April . would hesitate recommend hotel other ! can not beat location price . London room standard , room quite large 2 bed . lots room luggage move around . bed sooo comfortable not want get ! bathroom good size large tub . tea coffee room , always greet hallway maid leave morning . find employee friendly helpful . breakfast buffet always hot offer something everyone . 's worth get part room price . London Eye right around corner easily catch boat Tower London . 2 woman travel , feel completely safe comfortable walk around area night . not pass place ! 
 Jul 13 2008 	 Excellent Hotel 	 stay Premier Inn London County Hall 4 night June 2008 . room clean , spacious , functional fairly quiet . conveniently locate near London Eye , Big Ben , Westminster Abbey , London Aquarium attraction . easy access tube ( Waterloo Charing Cross Stations ) bus . staff friendly helpful . great breakfast £ 7.50 adult , good value . mini - mart across street use purchase small item grocery need . highly recommend hotel . would stay . 
 Jul 10 2008 	 great hotel perfect position 	 wife find hotel TripAdvisor book location . hear Premier Inn glad end book four night stay London . the hotel locate County Hall building Thames right near House Parliament Westminster Abbey . arrive London train catch tube Waterloo station , upon five minute walk hotel . check breeze give standard double room quite large comfortable bed . bathroom good size , negative room fridge room . the location hotel fantastic sight seeing , right next door London Eye , stroll across Westminster Bridge see Big Ben , Houses Parliament Westminster Abbey ( especially great sight night ) . Waterloo tube station close , also easy get around . we also purchase full english breakfast , expensive convert australian dollar , hotel great selection eat much like breakfast time finish get day . also good selection pub eat Waterloo reasonable price . while pricey Australians , great hotel stay . 
 Jul 9 2008 	 Convenient Family Hotel 	 husband , teenage son , spend three night County Hall . find british version Travel Lodge Hampton Inn . location superb sightseeing , near Westminster Bridge , London Eye , close Waterloo Station . even walk Tate along Thames one day . marriott block view , could see London Eye window -- walk outside around corner Thames . room quite large three London many british family child ( kid teen ) stay . opt breakfast cross street range choice include Starbucks . clerk front desk answer question quite helpful . price reasonable London . family happy hotel . 
 Jul 9 2008 	 fabulous location ! 	 hotel literally right next London Eye . extremely close Westminster Tube station - across bridge ! also close Waterloo station . make getting everywhere need go simple easy ( go ahead get Oyster Card ! ) .The room small , basic , clean , surprisingly quiet fairly comfortable . room & quot ; view & quot ; Marriott 's loading area - real exciting . a / c fan room other note . like poster , not think would choose breakfast . basic - egg ( poach scramble ) , sausage , mushroom , toast , croissant , cereal , yogurt , fruit , juice , coffee , tea . taste average . wait , except Sunday ( give leave ) . not allow lounge seating use beyond - 's buffet ! plenty restaurant choose nearby . one lift inoperative entire stay , make trip up / down exasperate ! unlocked , unalarmed stair use . staff friendly usually say hello . I would expect price States , would likely stay London . 
 Jul 9 2008 	 good stay . 	 wife , teenage daughter stay 3 day May . come sightseeing surprize theatre show daughter birthday treat . hotel well place within center London . walk top site . London Eye right next door hotel . could see window . room face Jubilee garden . room clean tidy double bed sofa bed . bathroom also clean , sign bathroom door say make sure door close shower smoke alarm may go ! ! ! staff fantastic . everyone see give we smile say hello . reception desk helpful , anything help . pay breakfast stay boy load eat . ( be unlimited ! ! ) go back many time like . breakfast hall start get busy around 08:30ish , find ok . worth pay little stay nearer center London , stay travel city . we would definitely go back . 
 Jul 9 2008 	 Excellent choice 	 stay April 2005 , write positive review , please able . hotel still & quot ; reasonably price & quot ; ( well London standard pretty much universally exorbitant ) breakfast good value , especially Kids 16 eat free adult deal . bar comfortable COOL place ( hot London day ) relax day 's sightseeing . check - in superior last time arrive little early , room ready ... miliary style obsession rigidly adhere check - in time seem tohave change . thing find uncomfortable room temperature . hot aircon way cool . notice say renovation take place , include cool , moment soon ! fan provide least move air around bit . also relate & quot ; obsession & quot ; Missing Top Sheet ..... family call UK Land Missing Top Sheet . not anyone use pair sheet UK ? way stay cool night bed provide duvet . special mention Lenny , baggage store room man . gem . friendly , always helpful , make stay little bit friendly pleasant ( though nothing wrong staff either ) . appreciate able order morning newspaper , slip door good time prior breakfast . 
 Jul 4 2008 	 wonderful location great family ! 	 really enjoy stay two week ago . family room husband , two child , age 15 12 . price great location next London Eye Big Ben . ( 104 pound / night ) room basic quiet enjoy breakfast buffet free child . easy access underground tube go London see sight . staff friendly able adjust night miss connection London weather delay flight day . we highly recommend hotel . 
 Jul 1 2008 	 Premier Inn London County Hall London 	 stay Premier Inn London County Hall June 2008 . good place stay , room air conditioner . unaware booked room . hotel conveniently locate Thames River near London Eye , Big Ben , Westminster Abbey attraction . staff friendly get room ready we check could rest long flight . great ! ! ! 
 Jun 27 2008 	 Fab location great hotel 	 stay Premier Travelinn County Hall last weekend 2nd time . room basic , would expect clean tidy . staff lovely , young girl reception helpful . staff speak see , even not meet would say good morning . one criticism breakfast , food hot almost £ 8 not believe worth . would really recommend hotel due 's location , right next London Eye accross Houses Parliament Big Ben . go london great , cheap hotel go back real soon . work mate go London next month unfortunately could not get would stayed could . 
 Jun 26 2008 	 Loved Premier 	 Premiere Inn Fabulous experience . room plain , clean spacious . location ideal well . staff good part . attentive curteous . regular visitor disneyworld love Premier could teach Disney world staff many thing . genuinely warm helpful make young daughter ' first trip London fantastic experience . go paris next year sad Premier location . 
 Jun 23 2008 	 Excellent allround 	 would agree reviewer , stay family room GBP 99 per night ( book 6 mth ahead ! ) . hotel fine fire alarm work well . good part hotel location access tube ( waterloo Westminister ) many bus route yard away . great breakfast ( get early ) . highly recommend hotel . 
 Jun 16 2008 	 Exceeded Expectations 	 want somewhere central London - perfect , right next Eye , right Thames . review say could noisy - find perfectly quiet except drunken patron try enter room mistake . clean . everything work . staff friendly , excessively - say hello pass - want acknowledge everyone pass . good value money 
 Jun 5 2008 	 Great Location 	 good thing hotel location next Thames London Eye ( although entrance back building ) . 's lot immediate vicinity tourist attraction restaurant small shop 's easy get bus foot west end along south bank . would not call cheap , London 's reasonable . the hotel perfectly adequate ; clean , functional , good size room - respect well expensive hotel - staff friendly courteous ( although command english language seem problem large proportion staff . the restaurant fine , nothing exceptional , perfectly adequate good restaurant right accross road . lunch hotel pretty poor . our child feel sofa bed provide comfortable , may partly excuse go bed night . I think may noisy outside , not . 
 Jun 4 2008 	 almost perfect 	 agree thing traveller say . great location within easy walk distance many major attraction . room small clean comfortable . staff friendly . two minor complaint bar quite busy Friday night table not clear . think one person serve drink deal lot food order maybe need staff weekend . also breakfast plentiful tasty long queue hot food queue rush stop waiter clear table two occasion ! however apologetic ( time ) . probably would not bother breakfast another time plenty nearby place eat . 
 May 30 2008 	 ideal location - love ! 	 return family break Premier Inn County Hall , London . it first trip London , say perfect ! Hotel - clean , friendly , helpful staff . breakfast much could eat ! kid eat free ! location could'nt well - right beside London Eye , within walk distance Houses Parliament , Big Ben , Trafalgar Square , Downing Street , Buckingham Palace , Horseguards Parade etc . County Hall 27 business locate building ! Marriott Hotel next door ( lovely £ 300 night ! ) London Aquarium , McDonalds , Art Musuems , Namco Amusment Arcade ideal kid wet weather ! place eat - eat hotel , look nice , full night . breakfast good , full english pastry fruit . much want ! evening eat Giraffe situate pedestrianise walkway ( approx 10 min walk ) . happy hour every night 5 - 7pm also good deal food . kid love , food lovely adult well , without break bank ! ( average cost family 4 drink £ 35 - 45 ) also plenty place nearby , really spoil choice . room - room ( room 402 ) family room , huge ! ! overlook Jubilee Gardens , v clean . small clean bathroom , frill bedroom , comfy bed TV . air con room , huge stand fan need . ( need , quite muggy warm ) stay 4 day manage London Sights kid age 10 11 . pay full attraction , manage get discount voucher via web thing ! would defo go - hesitation ! ! ! ! 
 May 25 2008 	 Excellent stay 	 would agree positive comment people . especially appreciate friendly , helpful staff . seem really happy job . location perfect . room spacious comfortable . book another stay July . breakfast superb . set we day . great able wander time along South Bank soak atmosphere . would recomme use Charing Cross Station walk across Bridge rather Waterloo . Great london eye , bus , boat etc . 
 may 23 2008 	 First Class experience 	 three day stay , wife . stay pleasant indeed . staff extremely polite helpful . every member staff meet go around hotel , always acknowledge we friendly greeting . nothing much trouble . situation hotel fault . heart London , across Westminster bridge Houses Parliament Big Ben . easy access bus , tube station . the accommodation spacious , clean , comfortable . breakfast must . £ 7.50 adult , free child , good value . eat , varied selection . terrific . set we sightseeing beautifully . this second visit hotel , would recommend anyone look central , cheap , friendly accommodation . we back . 
 May 18 2008 	 nothing budget hotel 	 husband spend 8 night Premier Inn County Hall early April . apprehensive stay internet say & quot ; cheap budget hotel & quot ; . far ! room spacious , bed comfy pillow comforter . furniture basic meet every need . room bathroom sparkle cleanliness . awesome view Julibee Garden Park , Thames River London Eye ( Room 200 ) . room come coffee , tea , cookies hair dryer . customer service closet floor provide iron ironing board need . every staff member helpful . tell staff booking stay would encompass wedding anniversary . check greet anniversary card . eat breakfast 4 morning . may think expensive two people wide variety food fill evening meal . location , location , location . rarely use tube . able walk everywhere ( 60 's ) mini - mart across street use purchase small item grocery need . highly recommend hotel . 
 May 18 2008 	 great location ! 	 stay Premier Inn , County Hall London 5 night March honeymoon . the location superb , could not fault . right behind London Eye bridge Big Ben . also within 5 minute walk tube , easy get attraction well . the breakfast great , buffet choice good find full not eat lunch ! downside safe room staff front desk not knowledgable . ask good way get Madame Tussauds ( tell we have never leave ) also ask could recommend shuttle service airport say no . apart would definitely stay . 
 May 16 2008 	 Perfect location 	 return 10 day trip England / Ireland . since London 3 night , need place central easy access tube . Premier Inn County Hall exactly . right next London eye quick walk Waterloo tube station . plus reasonably price nice accommodation . hotel well keep overall lobby room modern decor . definitely would stay location convenience everything . 
 May 14 2008 	 Excellent accommodation 5 star service staff 	 excellent choice accommodation family . book family room 3 boy ( age 2,3 & amp ; 9 ) husband . room large , bed comfy ; bath deep water pressure good . importantly staff great . really helpful ; step front ( know ) always someone offer help we stair stroller . help we access lift load kid end long day . the breakfast good quality location easy . think really affordable central option look base family . fridge room microwave ; shop across road buy bit piece require . we back next time visit London . 
 may 12 2008 	 Good Choice Hotel Excellent Location 	 write , hotel excellent location . room comfortable big thought would . family room , although husband . bed maybe queen size , plus two twin bed , one floor . move corner room way . easy pick bus tour , include duck tour ( inclined ) area . we walk everywhere , really great location . Traffic London , despite congestion charge , awful . sit cab sightseeing bus long time go anywhere . consider walk take underground . my husband eat breakfast times hotel . say good , potatoe kind ! 's small convenience store across street entrance . great pick thing , like Kleenex , hotel not provide any . there also noodle place , restarant Subway nearby . in addition normal tourist site , consider visit Churchills Bunker . WWII defense Britain coordinate . interesting within walk distance . the room drawer plenty open shelf . safe room problem . would not mind charge ... would nice safe place store thing . all nice stay , fairly quiet . would stay . 
 May 2 2008 	 great short break 	 stay 2 night Easter school holiday wife twin daughter ( aged 8 ) . large family room overlook Jubilee Gardens . one double bed , 1 single 1 matresss floor ( complaint - would much trouble provide & quot ; family room & quot ; 2 single bed ? ) . say neither girl trouble sleep busy day sight seeing ! ! ! hotel staff friendly , breakfast really good value ( kid eat free ) location good . like fact guest could use lift - need key operate . cheap hotel London , would back heart beat . extra cost make location quality service . really good hotel family - maybe - maybe - will meet Lennie Henry seem like Premier Inns ! ! ! ; - ) 
 May 1 2008 	 Fantastic Location 	 first trip London greatly enhance great location hotel . locate London Eye , across bridge Big Ben , Westminster Abbey etc . , many London site within walking distance . price also reasonable London , room acceptable . room comfortable , clean , well maintain . staff especially friendly quick offer help . sight restaurant offer nice full breakfast buffet good dinner menu pleasant surprise . locate historic County Hall building , would definitely stay hotel recommend family friend . 
 Apr 27 2008 	 great ! ! ! ! 	 stay many london hotel much expensive case disappoint quality advertise . hotel complete reverse . lovely comfy bed , clean tidy room , good shower fantastic location . plesant staff good price . breakfast good . resturant evening meal reasonably price fantastic food . delighted stay premier inn often . convert . 
 Apr 18 2008 	 room 202 great 303 so - so 	 stay twice -- room 303 , slow - drain 2 - faucet sink smelly bathroom , small window , make room dim dreary . second visit stay Room 202 , huge window , bright cheerful , sink one faucet , seem generally clean update room 303 . room huge , two extra bed kid . price great , skimp much - even box tissue room , seem quite stingy . nevertheless , could afford stay London not find hotel , location great , right next London Eye . look spare clean , great place , would definitely stay . also , quiet -- huge thing . hear little noise hall morning , much . bed super - comfortable . eat breakfast , be healthy -- juice sugar , ' m guess bacon contain nitrites . fruit salad stay bright taste funny -- must spray sulfite something keep apple go brown . eat organic home , great we . 
 Apr 14 2008 	 clean comfy great location ! 	 stay January 07 weekend , iv never sleep well ! guarentee actually deliver ? ! ? ! whole hotel lovely clean staff friendly helpful . amazing location - right next london eye great people watch enjoy delicious food restaurant ! ( end eat night good reasonable ! ! ) around corner tube station really convinient beautiful building ! 
 Apr 11 2008 	 excellent location well worth visit 	 like many review page , Premier Inn - County Hall clean well locate hotel convenient London Eye Southbank . locate massive County Hall building , also house Mariott Hotel , Dali museum aquarium . entrance Premier Inn side building opposite Thames river . Westminster Bridge London Eye border building either side . Waterloo Underground station easy 5 minute stroll hotel entrance . Waterloo Underground stop make easy get many touristy thing throughout London 3 line run station . give fact , hotel location make easy get around London . in term room . avoid 5th floor not like smell stale smoke . though entire hotel ( London ) smoke - free , think 5th floor use smoking still stale odor floor . originally assign room 5th floor ask move discover smell . reassign 6th floor fine . room basic , comfortable clean . bathroom basic ( photo attest ) , clean electric towel warm . large sign bathroom door advise door keep close shower set fire alarm . ( pneumatic door close close door ) . keep close shower problem fire alarm . water pressure good plenty hot water . provide squeeze bottle mount onto wall dual purpose lotion use shampoo body wash . big towel hand towel , small washcloth . towel basic , mid - range towel . County Hall building require fire alarm test weekly . occur Thursdays 10:30 11:00 . note alarm loud , be around time , will not notice fire alarm test . term handicap access , not notice wheelchair ramp escalator mobility impared patron . series step will need walk get hotel ( sometimes smoker congregate outside around entrance ) . get hotel , ramp elevator get different level . staff friendly helpful . Knowledge local attraction varied staff staff . 2 computer workstation could check e - mail ( 5 GBP 1 hour ; 10 GBP 24 hour ) . breakfast area clean well lit . not eat can not comment food quality . in summary , hotel good value . stay 4 day ( April 2 - 6 , 2008 ) average 119 GBP per night . convenient everything city easy locate be lose ( London Eye quite visibile need orient ) . would stay basic , frill , conveniently locate hotel London . 
 Apr 10 2008 	 great location 	 stay 3 night early April . examine 2 Premier Inns London well . half price twice distance town . short stay , hotel save lot time . long stay , bit time subway every day save lot money . this 5th Premier Inn stay pretty much . room big enough family 3 problem , 4 squeeze possible . provide kettle instant coffee tea , hairdryer , much else . internet access room fee , one computer lobby internet , fee , bar restaurant location . breakfast cost 7.50 GBP per adult , kid free . eat deal big breakfast person , really worth . every day good wide selection . hotel Starbucks Subway ( sandwich ) right across street along several place eat nearby , include small shop buy water thing like that . the reason hotel worth 100 GBP night without breakfast location . walk London Eye 2 minute . walk Parliment Westminster Abbey less 10 . walk across new pedestrian bridge river towards Trafalger Square 15 minute . Waterloo subway station 1 block away . able pack lot every day without spend time travel back forth . the fire alarm go one day 0830 . make lot people mad . around 30 business build system connect . would stay short visit . expensive stay long time , get . 
 Apr 2 2008 	 do not stay fact do not go london unless absolutly 	 HiDo stay hotel . fact go London unless absolutely .. later ... crappyist hotel ever stay .. bad motel 6 .. sauder furniture , old crappyist , smoke alarm go every morning fire alarm super sensitive take shower set . fact sign every bathroom door say please keep door close set fire alarm .. I m kid .. sad true . vend machine not work ... disappointed assure .... we , heater room never work bring portable . big deal build not 200 year old drafty hell .. old super crappy ... need ever stay middle London everything Tube / Subway ride anyways ... tube go everywhere .. large world .. London exactly twice expensive US , Big Mac value meal $ 12 , fish chip $ 35 .. cold , rain every day , sun never ever shine , miserable place . plus site see one day center city . also , Big Ben , house parliament West Mister abbey BUILDING .. leave brochure . hate England .. freak 20 degree , $ 12 McD 's , people rude , hotel sux cost fortune .. Ill repeat , do not go London unless absolutely to.for question picture sucky room email ... johnobennett @ yahoo.com 
 Mar 31 2008 	 great value great location 	 third time stay hotel continue deliver value money . two adult two child ( 12 10 ) plus breakfast around £ 100 per night next London Eye across river Westminster exceptional value . spend four night quiet room enjoy spacious bar excellent self - service breakfast manner choice . staff courteous friendly . room bit cramp extra bed youngest expect . stay main holiday would want large room second room . short break little less space price worth pay location . 7 minute Houses Parliament go way Waterloo 5 minute walk . need central location visit Imperial War Museum , Adelphi Theatre , Cabinet War Rooms / Churchill Museum ( go 's great experience ) , British Museum Terracotta Warriors O2 Dome Tutankhamun . also plenty choice nearby restaurant South Bank , especially useful foot tired trip back river would one journey many . price Premier Inn fault - deliver say . already think return trip world 's great city 
 Mar 31 2008 	 Location Location Location 	 recently stay Premier Inn County Hall one night ( Saturday night ) . location brilliant- directly opposite London Eye , within walk distance many tourist attraction tube station . we know Premier Inns like- character , town night not want blow load cash room , excelent choice- need room night plan day , view fine firnishing important us- usually case stay city . room fairly large city standard , well appoint clean bathroom , bed extremely comfortable able enjoy good undisturbed night 's sleep right heart city . we enjoyable stay & amp ; next time stay overnight town , would hesitate stay Premier Inn . 
 Mar 29 2008 	 perfect ! 	 review spot . absolutely perfect location , good price , clean , comfortable hotel friendly staff . I stay four night Easter weekend friend . arrival say reservation twin room ; allocate we double . say really want twin ( be fond , ......... ! ) . moment look like go problem , find we spacious family room ( number 607 ) . almost two seperate room - one double bed , one single bed could clearly also function sofa ( see lot traveller 's photo ) . lot space we perfect . a point note stay . - entrance hotel small flight step . currently walk stick due ankle injury . problem present get past smoker always seem present step ! - not prebook breakfast buffet . not eat hotel last morning - happily take cash we breakfast table . - hotel remarkably quiet give size number guest . Slept like log . - small convenience store directly opposite hotel supply drink , snack , toiletry etc reasonable price . - bar one round corner fantastic weekend brunch . - follow South Bank sign exit Waterloo underground near exit hotel . - good way travel lot tourist sight hotel Thames Clipper riverboat service . civilised way travel past St Paul 's , Tate Modern , Globe Theatre , Tower London , HMS Belfast , Tower Bridge , Canary Warf , Greenwich , way O2 ( Millennium Dome ) . even sell beer board ! , would definitely stay next trip London . 
 Mar 28 2008 	 Location Location- family room nice size 	 say before- Premier Inn is- much like Holiday Inn US . location fantastic- quick cab ride come Eurostar Paris Easter Sunday . could close London eye great landmark find way back hotel . we large family room double bed , twin almost thick matress floor . ton floor space need two Moms 2 daughter . cutoff 99 pound room / night ( shame really $ 200 / night ) age 15 quickly drop year age daughter ! breakfast 2 ( kid 16 eat free ) 7.50pound $ 15 ok . day 1 , breakfast pack 9 am hot food line ( runny egg , bean , meat ) take 25 minute appealing . run mugs station leave empty staff deal masse . day two well complete breakfast without leave build worth . could even order porraige like camp oatmeal ! taxi stand right mini market right front walk many site underground station . also sell phone card use hotel phone call US.I also shock little front desk staff know area . something really improve upon standard large chain . all & amp ; , fantastic location , lot space , clean price right family 4 ! 
 Mar 23 2008 	 excellent location ! 	 husband book sure compare price wise London hotel ( approx 100pounds / night ) . complaint acout location , write next Thames London eye . extremely accessible public transport enjoyable wander around city sight i.e Westminster , Houses Parliamant , Buck . palace etc . Breakfast include , lot cafe area . dinner hotel one night not particularly enjoyable , find cheap well nearby . air - con bit stuffy summer ( yes get hot , even Australians ! ) fan provide help greatly . comfortable , average hotel excellent location . 
 Mar 23 2008 	 spotlessly clean comfortable ..... 	 stay short break London Wednesday March 19 Saturday March 22.our room - 222 - spotlessly clean , bed comfortable receive warm friendly welcome reception . breakfast perfectly adequate would rate experience either ' above average ' ' excellent ' two problem encounter . develop heavy cold stay decide go Friday night weather freezing instead eat hotel 's restaurant ' slice' . we turn promptly 8.00pm booking , order food 10 minute later 8.50pm receive bottle water diet coke . at stage explain member staff could wait long leave restaurant . dinner eaterie across street entitle ' Locale ' enjoyable . the weather Saturday even worse cold decide pay £ 25 extra keep room 4.00pm due depart Heathrow . we go return around 1.30pm relax couple hour . on three separate occasion cleaning staff bang door demand know still checkout 12.00noon . the situation complicated fact people could understand English . I ask one lady speak french attempt explain situation . go reception explain problem . however , prove ineffective cleaner bang loudly door . little communcation staff would avoid problem . 
 Mar 21 2008 	 family friendly good location ! ! 	 travel couple kid find hotel perfect location . turn hope , clean , quite cheap . book room overlook Jubilee Gardens recommend another Tripadviser user , disappointed . Breakfast awesome , staff lovely . could fault place would lack staff knowledge regard service around hotel . even handout would useful . reception not reliable incoming message never get wake call day departure never happen , leave we frantic chaos taxi Gatwick wait downstairs . would go back ? ... hell yes ! next time alarm clock print out local service ! 
 Mar 14 2008 	 's Premier Inn - less 	 ' ve stay Premier Inn , will know expect . price good location - perfect tourist convenient enough business visit tube / bus close . room decent size , clean everything work . bed actually surprisingly comfortable sleep well 4 night . drawback room overlook inner courtyard huge array bin pretty noisy empty . breakfast good value £ 7.50 reasonably quiet 7.30am . not try restaurant plenty good place area . staff pleasant helpful ( even though direct non - existent taxi rank 5.30am last morning ! ) want clean , reasonably well furnish room prime location , winner . not go expect character ( would never know County Hall ) add extra . 
 Feb 28 2008 	 Excellent - Location Efficient Value - recommend 	 HIGHLY RECOMMENDED - hotel & quot ; back & quot ; old GLC building , embankment , behind London Eye . excellent central location tourist . deliver need expect quality budget hotel . Front desk staff efficient want book week time full week , happily spend recommend call suitable premier inn property find room . nice human touch . massive hotel , job well . large double room , guess room could small . room Bathroom clean modern . breakfast good value , good choice , hot food good variety , efficient despite size hotel . big problem almost always full - easy see why . ideal location base sightseeing , probably need book month advance want room . guess even difficult school holiday etc . worth take trouble property though - will not regret it . this get possibly good location good value hotel entire city . HIGHLY RECOMMENDED 
 Feb 26 2008 	 number 26 ranking ? must joke ... 	 two good thing hotel : location breakfast 7.5 pound . & quot ; Easy Jet & quot ; atmosphere depressing . view ever , light , functional room full message purple ... plan away whole day guess ok . also inconvenient : pay everything use use : room rate , breakfast , internet , everything . cut time check - out . 
 Feb 24 2008 	 absolutely brilliant base . 	 stay one night two daughter , two friend daughter , three room we . arrival staff reception polite , pleasant helpful . room huge spacious bathroom plenty towel supply . everything spotlessly clean . ask chambermaid could extra pillow cheerfully deliver within minute . bed comfortable breakfast excellent , much eat buffet style extensive choice . keep we go hour ! service safely leave luggage check room man polite member staff . location quite simply superb , minute walk Waterloo station right next river London eye . we enjoyable walk back Covent Garden evening theatre , clear night view bridge approach County Hall quite simply breathtaking ! enjoy drink hotel 's bar finish day . ' no frill ' hotel excellent base shall definitely return . 
 Feb 23 2008 	 Bang every buck 	 honeymoon stay hotel 2nd Feb 7th Feb 2008 . pro con : pro : Great Location ... walk distance waterloo west minister tube station . large room Size Comfortable Beds Cons : one need lug bag stair reach hotel quite uncomfortable incase u carry heavy luggage . complimentary bottled water room . the final word , choose hotel comfortable stay helpful reception staff make pleasure . definitely recommend . 
 Feb 22 2008 	 Quality time Family 	 book ticket Tutankahmun Exhibition O2 Arena - half term - thought would make short break it . we stay Hotel 3 night , two daughter age 11 9 . book breakfast also seem good value money - child eat free two pay adult . on arrival greet helpful friendly reception staff - however , early ( can not book 2 pm ) - facility whereby leave luggage - - venture big city . our room exactly need - could adjust temperature good - bathroom clean tidy , although little date . we evening meal hotel also - menu not particularly great - palatable - good value money - ' ve order meal 6.30pm - choose item main menu - child eat £ 1 ! ! ! first evening - two course , main dessert - drink - bill come £ 37 ! ! really not feel could complain . surrounding acceptable travel family . breakfast selection outstanding - really could eat much want - great choice - not actually experience queue - go breakfast morning 8.15 - 8.30 - seem get busy around 8.45 - 9.all - outstanding value money - family trip London - £ 134 night - four us - include breakfast - 's £ 33.50 per person per night - bed outstanding breakfast ! ! 's 5 * luxury - 's clean , warm , tidy welcoming - want luxury - book Marriott next door - pay price ! ! travel family - definitely go back - location perfect , accommodation ideal - fault whatsoever ! ! 
 Feb 21 2008 	 great hotel fab location ! ! 	 family visit Premier Inn County Hall 19th January peruse trip advisor follow recommendation . book line use website . Tip -check offer page ' day ' great offer particularly London ( current offer -Book stay Hammersmith weekend May 5th get family room full breakfast entrance 2 adult 2 kid Kew Gardens £ 99 ! ! ) Premier inn fully meet expectation . location great central location.- behind London Eye ! Thames next Millenium Bridge bridge Houses Parliament ... easily walkable . Tube minute away . County Hall building exhibition event worth check . area feel safeThe hotel standard travel inn staff friendly booking painless . advise room be not available 14:00 could leave bag reception ( great want go get day unencumbered ) check 12:00 also convenient . room modern , clean comfortable adequate storage . issue bathroom either ... lovely towel usual toiletry provision . shower good ( temp / pressure ) view across field front ' Eye ' . room directly overlook Thames towards Parliament ( Marriot ) tea make facility tea/ coffee provide ( hot chocolate ... ) ask provision get reception smilethere costa cafe bar within hotel arrive back hectic day ( 11 pm ish ) bar open busy . noticed people carry huge cup hot chocolate room .... ... yummy ! £ 1.80 ish ) . noise downstairs outside ( Mika concert grass area outside follow Monday ... bet not quiet night ! wish stay long ! ) bed extremely comfortable * * * * * 2nd child low level bed even comfortable ! Tip several step hotel ... not believe disabled accessfor first timer ... Millenium bridge map show area .... mmmm think british museum short walk .... nope definately get tube ! ! check whether plan tube maintenance time go . we go London dungeon . buy ticket anything accept fast track ( e.g . last minute . com ... great discount ! £ 10 ) join end probably long queue . McDonalds coffee shop close queue . ate wait ! London Dungeon suitable young child . british museum release 500 ticket day Terracotta army ... get early ... ( not walk ... ) tube easy use ... not get map ' information centre 's ' station provide one . the RED BUS TOURS LOCAL FARES ... dont pay full price CANT get travel LIMITED AREA ( can not remember name company though ... sorry ! worth ask ) hope help 
 Feb 20 2008 	 Lovely Hotel Great Location 	 family ( wife two twin girl age 10 ) stay hotel three night whilst visit London see two Westend show , namely Sound Music & amp ; Grease . say fantastic time thoroughly enjoy hotel . this three star hotel locate one good spot London . right beside London Eye Thames river straight opposite Big Ben . lot happen around nice walk , River Cruises , bus trip etc Waterloo Underground 4 - 5mins walk away . staff polite helpful room large - family room ( 401 ) two double bed one single bed , bathroom also massive double sink . at Waterloo Underground get Bakerloo Line main shopping area / theatre quickly . buy daily ticket £ 10 give we unlimited access Underground day ( kid free 9 ) .When return London definitely return hotel cost approx £ 115 per night we include breakfast . 
 Feb 14 2008 	 Fab Location Good Deal Room could use update 	 stay two night two child first weekend Feb. half term . room huge , big needed family four . location fabulous - beat see much London . hotel quiet ( really sensitive towards noise ) 9:30 pm 7:30 next day . breakfast hotel one morning , crazy busy . queue long - move relatively fast ton food . since kid 16 eat free fabulous deal . breakfast second morning bagel place across street . pay bagel etc huge meal PTI day . major side fact room institutional ( florescent light , picture wall , plastic - like curtain ) bathroom need redone . room clean could get , chair , etc wear shabby quality . say , still think would stay due location price . 99 £ night London - unless someone tell nice place around price even little . recommend Soho Pizzaria great place take kid great food . 
 Feb 5 2008 	 Great Families 	 can not get central . £ 100 family 4 sharing room make really affordable . avoid breakfast though queue long , plenty cafe nearby . 
