San 	 love location hotel along service inside outside room . great able get everywhere want go walk front door . people hospitable . 
 good hotel good location 	 7 night Westin . begin think 5th floor really noisy SF downtown hotel , relatively quiet . ourse hear fire fighter regular tour downtown . also applicable & gt ; 30th floor . the room stylish roomy . even healthy stepper thing locate next floor ceiling window . nice , clean bathroom well . bar restaurant also nice , rather expensive . 
 Mar 12 2008 	 good value 	 stay one night business February 2008 . previously stay Westin St Francis Union Square notice Market Street Westin not well locate , Thursday night walk hotel Westfield mall pass unsavoury character Market Street ! still , location handy shopping Market Street , cable car , 5 min Union Square Westin less expensive St Francis . my room # 619 even double glazing could hear hum large air - conditioning unit outside roof floor . light sleeper , could bother you . the room good size ( dominate huge plasma tv ) however bathroom small . bed incredibly comfortable . business perspective desk nice large proper ergonomic desk chair . internet access $ 15 / day . I order room service breakfast 6 am ( early time cater ) disappoint tell would not able oatmeal available 6.15am . leave airport time , order muesli instead - delighted next morning get breakfast deliver 15 min early hot bowl oatmeal . small favour perhaps , feel like personalise treatment appreciate extra effort staff . 
 Mar 4 2008 	 cancel Confirmed pre - pay reservation 3 day arrive 	 know be think . can not possible . well would never think hotel ( especially 4 - star Westin ) would act sleazy manner , 100 % true . I book stay two month advance pre - pay reservation . receive reservation confirmation number hotel . , two day arrival call hotel courtesy inform would arrive late , say reservation cancel . press could happen , tell hotel overbooke nothing could accomodate . make matter even bad fact hotel even call let know cancel . perfectly content let fly six hour San Francisco arrive midnight tell place stay . it painfully obvious cancel reservation less expensive rate ( since book two month early ) could get someone else book last - minute . still shock action total disregard customer service , include refusal anything accomodate ( find room nearby hotel ) . beware book Westin ... might room show ! 
 Feb 29 2008 	 great hotel location 	 Westin Market street probably favorite among W Hotel , Westin St Francis , Grand Hyatt , Palace Hotel San Francisco . nice , modern , clean room , . next Market Street , near Yerba Buena garden short walk Financial / Embarcadero area . staff friendly helpful . workout facility clean plenty equipment not need go elsewhere workout . XYZ restaurant W Hotel nearby well dining option Westin hotel . 
 Feb 27 2008 	 Great Place Stay 	 travel San Francisco business stay Westin Market Street . hotel extremely clean staff great . well within walking distance China Town office . complaint pay internet access . price , internet include . 
 Feb 22 2008 	 great experience 	 stay Westin Market St. Presidents ' Day weekend . have ask adjoining connect room , upgrade suite adjoining king end hall . absolutely noise room next we , street noise fire truck run 3rd St. frequently . our room spotless ( trust , check bed behind bathroom door ! ) well appoint . living room nice seem end back hotel hour dinner . great view bay , & amp ; Park , bit Bay Bridge , downtown . could even watch ice skate next Moscone Center night ! use concierge minor thing -- get boarding number flight , make dinner reservation , check direction time . write multi - stop direction husband daughter . young man give we direction first night attitude , two young woman work Sunday friendly knowledgeable . we buffet breakfast , think overprice , get double bill call front desk , apologize remove charge completely , free meal , excellent : ) location great . usually stay Le Meridien Financial District , right market make easy get around use bus street car . quibble Westins general extremely crappy bath amenity . would not use shampoo dog ! surely emphasis spa experience ( even plant living room ) could come something not leave hair feel like door mat ? 
 Feb 20 2008 	 good stay Westin Market St . 	 wife , stay Westin three day Feb 14 - 17 , 2008 find hotel average . check - in quick , give we choice King bed two Queen bed . room clean , safe not work , fix within 10 minute . large screen plasma tv . extra coffee request provide . bed comfortable , linen good quality , make daily . hotel staff prompt courteous . hotel close Union Square cable car line , close SF Museum Modern Art , close Ferry Bld . cable car ride away Chinatown Fisherman 's Wharf . house limo service provide return airport $ 8 cab . driver great . con ; Street noise noticable . 9th floor , quiet 11:00 . breakfast ; food good general Westin , pricey . room bar fridge overprice convenient , automate system charge one drink not . store close , around corner . area tip : eat across street California Pizza Kitchen ( fusion style menu ) . food good price okay . also eat Lefty O'Doules , ( big comfort food menu ) , Union Square . unique sport decor , self - serve food , good sized portion , fresh bread . try -- price 10 $ good - sized sandwich side . stay couple day not car , get transit pass . let use cable car bus . Bart extra . car parking expensive ; 40 $ hotel , 20 $ across street street tough navigate . give hotel recommendation would stay . 
 Feb 18 2008 	 okay great 	 recently stay hotel 3 night , think stay okay , nothing great . good point : Heavenly Bed good location . negative point : service decent great , maid service spotty , think food okay , really expensive . overall , bad hotel , price pay , think will try somewhere else next time go back San Fran . tip : car , park across street , hotel park $ 42 day , will save $ 20 . also , eat restaurant , be wear black , ask black napkin . eat breakfast restaurant one morning , cover tiny white piece thread white napkin use . tell hostess , say black napkin could use ( never tell ) . 
 Feb 12 2008 	 pretty good 	 mostly good review . 2 connect room since 3 adult , 1 toddler 1 baby . room nice basic . bed comfortable come someone sleep well away home . we get great rate Hotwire - $ 160.00 per night per room . avid runner find treadmill awesome workout room . ok - good . the bellhop helpful . help open door rest loading . come room key work cleaning lady open door promise return reprogramme key - 45 minute go get ourselves . pay $ 15 per day internet access total ripoff . wifi stinks- pretty tech savvy not think enough access point . other , hotel clean quiet , conveniently locate Chi town dock across street Office Depot around corner Kinko's . I would stay long bring isp card . 
 Feb 12 2008 	 Mixed experience 	 stay hotel recently 5 night get good dose highly variable experience . GOODThe Heavenly Bed heavenly . 's bed overtly super - comfortable luxurious ; 's effortlessly go sleep without think . almost like freakin magic . amazing . the gym decent . amazing well average . run machine need well maintenance . the restaurant b'fast also decent average price point . the badi order Amazon.com ship hotel Amazon split 3 delivery . hotel audacity charge $ 15 small box $ 45 receive $ 30 cd 's ! absolutely criminal ask . concierge refuse reduce charge one $ 15 delivery fee bad enough . addition , charge $ 29 minibar charge exactly $ 0 worth item . bad , charge twice day internet access refuse deduct one two charge . the Heavenly Shower bad overengineered gimmick . would well rainshower head personal opinion . overallthe hotel good look pretty good position town . staff unacceptably rude hotel cost class . put simply , plenty well option far away . plan return hopefully improve time . 
 Feb 8 2008 	 would terrible pay full price 	 experience unpleasant service normally expect level hotel . experience first time rude operator Westin Market Street . not know kind operator exist hotel ( Jan 20 , 2008 morning ) . survival anything westin environment ? key box room not work ( jan 25,2008 ) mechanic fix . take 30 -40 min . security call hotel manager arrange we place wait manager available not apologize way later . Maid service consistent , fail provide trivial supply hand towel one day next day , etc . the service Argonaut Hotel ( jan 26 - 30 ) much well contrast loose service westin . otherwise , think may get expect 3 - 4 star hotel . 
 Feb 4 2008 	 Good experience 	 stay two night summer . location great ! attraction shop right around corner . check fast person desk nice . however , boyfriend want cash traveler 's check day later , man desk rude act like huge inconvenience . excellent view 32nd floor . although room spacious clean , admit furnishing room old wear . bathroom especially show wear tear . hand bed comfortable . book , make sure request renovate room . 
 Jan 25 2008 	 Loved ! ! 	 cousin & amp ; spend 4 night Westin Market Street San Francisco ( January 3 - 7 , 2008 ) . great experience . staff friendly bellman helpful give direction scoop town . hotel short cab ride pier cost $ 11.00 ( include gratuity ) . California Pizza Kitchen , Subway , Starbuck be directly across street . step around corner 7 - 11 . GREAT ! GREAT ! location , accommodation , close everything . buffet breakfast ok . would recommend go somewhere else breakfast . eat meal , rate food . wait go back would stay heartbeat ! happy Traveling ! 
 Jan 25 2008 	 stay ! 	 First Gold Starwood prefer Guest . use point get room one night . SPG use point highly recommend call book room . get upgrade unavailable SPG website . get corner King Suite 30th floor . hotel build April 2007 everything like new . service excellent . check , front desk order rollaway room . promptly arrive 5 minute walk room . great location ! drive would park across street . pay $ 19/ day . bad city . everything hotel great would definitely stay . 
 Jan 25 2008 	 great place stay ! 	 book great deal expedia . hotel centrally locate shop . clean , well maintain , friendly staff amazing bed . Westin promote bed experience truly ! would not hesitate recommend hotel . 
 Jan 23 2008 	 nice picky snob . 	 hotel nice . snob come hotel room hotel perfect . get awesome deal Hotwire upgrade we Starwood prefer guest . think upgrade anyone . every employee super nice . service average . location unbeatable food increadable . really love hotel San Francisco much fun . 
 Jan 23 2008 	 well second Time Around 	 stay Westin Market Street 4 day really enjoy stay . concierge extremely helpful , recommend make reservation several wonderful restaurant ( include Tommy Toy 's ) . much well stay several day back September service terrible , totally unresponsive . 
 Jan 14 2008 	 Great Location Great Stay 	 stay 5 night July fabulous time . hotel close Union Square lot shop find . order room service breakfast one morning although slightly pricey side service food excellent . hotel character find concierge extremely helpful . downside room location ; close elevator shaft , find little noisy throughout night . would make sure next time stay get room little away elevator . the room bed especially fantastic love floor ceiling window . bathroom elegant plenty accessory provide . Westin Market St exceptional great value quality offer . 
 Jan 10 2008 	 great location great room great service . 	 first arrive hotel initial impression great . feel hotel lobby dark , cold welcoming . request room high floor make city view , however , althogh room high floor , room back build look non -descript view say least . request another room front face view staff happily arrange , new view spectacular , fussy view room , request front face high floor room . room comfortable mattress bed die . consierge hotel helpful . critism hotel restaurant . over - price pretencious , fely sit wind tunnel . yes , ok food alright , San Francisco , plenty well cheap place eat , please learn mistake ! ! location great public transport link , find ideal use base explore city . would definetly stay hotel future . tourist destination , plan many hand via internet , please feel free email want information . one must hire bike cycle Golden Gate Bridge village Sausilito . definetly highlight trip . 
 Jan 8 2008 	 Great Location ! 	 hotel prime location ! 2 block Union Square shopping , Macy 's , Virgin Records , Apple , Westfield Mall etc . 10 minute walk China Town , highly recommend . many great restaurant around well . BART station around corner . hotel clean staff excellent . concierge knowledgeable know everything be . the bed comfortable t.v . large average size room . room 27th floor view quite sight ! would return hotel many time ! 
 Jan 6 2008 	 Westin Service would expect 	 1 . rude front desk2 . breakfast buffet choices3 . Valet Parking take forever4 . room ok , lack attention : i.e . cotton ball , q tip , shoe shine , room slipper 
 Jan 5 2008 	 love hotel 	 stay three night not want leave . really convenient location comfortable . room beautiful staff professional obliging . highly recommend . 
 Dec 29 2007 	 great view ! location ! bed ! staff ! 	 property recently renovate comfortable business leisure . bed & quot ; heavenly & quot ; , shower dual Speakman head , plasm tv cable , complimentary fitness center terrific location near shopping , public transportation , restaurant . entire staff professionally accomodate every request promptly ( many ! ) . hotel conveniently locate upscale area Union Square wonderful view Bay Bridge city -- high floor , well . valet parking entrance third ( away loud , busy tourist area ) get bit congest Saturday car enter city . recommend Westin 100 % ! 
 Dec 26 2007 	 Westin great hotel . 	 great visit Westin - service excellent , room lovely , food great . cool , modern lobby . complaint - pleasant ! 
 Dec 20 2007 	 enjoy stay 	 get really good rate $ 109 / night hotwire . not expect much , really enjoy room . huge , comfortable & quot ; heavenly bed & quot ; , large flat screen television , huge desk nice bathroom . not eat restaurant go bar . location convenient . lot shop place eat within walking distance . complaint parking expensive , typical San Francisco . would recommend hotel , especially get good rate . 
 Dec 17 2007 	 comfortable good location shop 	 stay Westin Market St ( use Argent ) couple night travel onward NZ . hotel enjoy good location near BART station ( 30 min airport ) stone 's throw shop , Union Sq cable car stop . room comfortable ( great & quot ; heavenly & quot ; bed ) floor ceiling window nice ( look like ) newly furnish bathroom . eat restaurant breakfast one day excellent . would recommend hotel great base explore city . 
 Dec 17 2007 	 Westin Market St. Hotel 	 Stay- December 7 - 9 , 20072 couple ( 2 room ) & amp ; 1 toddlerwe fantastic experience Westin Market Street San Francisco . 1 . excellent service- arrive early ( 9:30am ) airport want check bag check see room available one , let we check . family arrive later day check well request crib . problem crib exactly need . ( move side , though , baby sit stand , might hard get . ) also request fridge keep baby 's milk cold arrive timely manner well . 2 . location : hotel locate Market St. 3rd . block half Montgomery BART station directly line trolly car # 30 bus take we around town . quick 10 - 15 minute walk Union Square many restaurant close vicinity . 3 . comfortthe legendary bed Westin great ! super comfy pollow bed . bathroom tiny , clean maid staff super friendly . & quot ; pod & quot ; coffee tea machine free room ask maid tea coffee , give we ton ! husband even like shampoo ! one issue hotel mini fridge . normal stock fridge weight sensitive billing process . arrive item miss one room . call immediately , show bill ready checkout . call front desk , however , take care problem right away fuss . overall , excellent experience would definitely try stay hotel . get amazing deal hotwire . highly recommend . 
 Dec 11 2007 	 love everything ! 	 stay property three night September , absolutely love place ! probably one good hotel ' stay US . book though Hotwire , still get gorgeous Starwood Preferred Guest room high floor check . new , modern spacious room huge ceiling floor window . view room totally breathtake . check around midnight ' get kingbe , settle two queen . problem since queen like kingbed , European Standards . ensure bed heavenly , like state Westin commercial ! relax ! location hotel super brilliant , two block Nordstrom / Bloomingdales Union Square . less walk everywhere SF Westin take BART tram / bus , leg hurt ! chinatown also close . thing complain internet - connection . pay fortune log , connection horrible . ' even get check e - mail . stay away internet park car car park directly across road . ' cost half hotel ' valet parking charge . ' def . stay Westin Market Street , ever get chance go back beautiful SF would highly recommend everyone else . 
 Dec 6 2007 	 Love Hotel 	 nice place stay . 's little find fault . lobby beautiful spacious . staff courteous efficnient . bar restaurant beautiful nice selection food drink . great location . room seem new modern . spacious desk work . wish desk - level outlet plug laptop , though . gorgeous bathroom , sparkle clean . bed . .. ahh , bed . wish one like home . suspect get somewhat small room buy room Priceline . think many hotel . anyway , would definately stay . thumb ! 
 Nov 27 2007 	 Nice Hotel 	 Nice Hotel good location . hotel Market Street teh name state . one block away third street . big difference . I upset follow . upon departure , doorman get taxi airport . accept gratuity , also , discreetly , take money taxi driver . tip TripAdvisor reader . need tip bellman hotel go SFO . cab drivers tip . 
 Nov 24 2007 	 Weekend friend getaway 	 enjoy stay Westin San Francisco Market Street . location superb- walk distance Union Square , China Town , cable car go Fisherman 's Wharf . room clean comfortable . well rest stay hotel . book hotel winery tour package get excellent deal . , Westin San Francisco Market Street make weekend San Francisco enjoyable extremely relaxing . highly recommend hotel . 
 Nov 15 2007 	 nice comfortable 	 although live Bay Area , stay one night part business function . my room clean spacious expect . super comfortable bed , nice linen pillow . noise level low , could not hear people upstairs walk - people walk door morning . not bother restaurant - 's overprice young , snotty staff . great location , nearby shopping , restaurant transportation . 
 Nov 12 2007 	 Westin Market Street nice San Francisco 	 find stay Westin Market Stree pleasant . good location streetcar cable car . nice tourist like we . concierge service EXCELLENT ! first time SF nice delightful people help we . even help we get ticket Alcatraz Tour ! room nice clean amenity great . nice restaurant hotel find convenient breakfast . ( search strange city food ! ) upon arrival , front desk find 10th anniversary upgrade we high room ( view ) . first time hotel do . little pricey , would recommend hotel anyone . 
 Nov 5 2007 	 good hotel great location 	 stay twice enjoy time . room standard Westing decor ... modern clean looking may find spartan . great location particularly thing Yerba Buena art center go SFMOMA . also convenient shopping public transportation . eat venetian restaurant Ducca hotel turn great meal ... would highly recommend food -- generic hotel restaurant . nice outside bar fire would great weather permit . the staff part accomodate . quibble would late checkin front desk make ia big deal arrive early say room may available . etc . etc . life can not figure say without first checking room ... indeed available . 
 Oct 31 2007 	 nice .. impressed ! 	 stay Westin San Francisco Market Street couple night business trip . rate little high , normally San Fran hotel nice clean . room spacious comfortable . staff friendly appreciated doorman offer limo service taxi take back airport . much comfortable ride price . 
 Oct 30 2007 	 Good Hotel - Great Location 	 gf stay 8/10 12/10 thoroughly enjoy stay . as say primarily business hotel room therefore rather functional anything else . however reasonable size clean . internet access room not work not realise last day decline hotel offer move room . the good thing hotel , certainly we , location . situate block Union Square associate shopping restaurant . cable car line begin 5 min walk away although probably well walk later stop will not queue . want get Fishermans Wharf quick cable car $ 10 cab . I would recommend hotel stay short long would choose one tourist orient . 
 Oct 26 2007 	 Great Base SF average room money 	 good clean hotel . great lobby , match functional room , bizzarely fridge place middle floor ! great bed hotel expensive quality room . hotel internet next useless ! plus side good base see San Fran . close main shopping area public transport ( include trolley bus ) . 
 Oct 23 2007 	 Perfect Hotel 	 book stay West Market Street SF Oct. 13 - 14 . GREAT location . close shopping , Union Square Westfield Shopping Center $ 10 cab ride Fishermans Wharf , Pier 39 , Ghiradelli Square ect . BART system extremely close . pay little hotel worth location proximity tourist attraction . hotel sepctacular . lot people check take 5 - 7 minute check find normal busy hotel like . well guest empty opinion . definately give much lively upbeat feeling . room small hotel ' ve stay elegant . simple decor yet stylish . thing look forward Heavenly Bed exception . always fall deep sleep . overall complaint . express checkout great cause course , busy front desk . consierage helpful check left bag hotel free room great . stay hotel disappoint . 
 Oct 18 2007 	 could not cool room 	 general , enjoy stay Westin lot . room extremely clean , white duvet feel especially . bed comfortable . always want fit sheet roll around lot , although fit , tuck well enough stay place night . beef typical thermostat room seem set narrow range guest change . always cold , yet could turn thermostat enough feel comfortably cool . can not imagine hot blooded person would feel . finally turn 60 still feel hot . 7th floor room . not know whether be like . thing prospective guest might interested : sink inside bathroom , one person shower another outside bathroom use sink . window go way floor , nice , parent young kid might wary . plusse helpful staff , good location say early , , clean . fancy , wide screen tv . internet option $ 9 day , $ 15 wireless . 
 Oct 15 2007 	 Basic Hotel 	 stay hotel property past weekend one night Standard room category . Gold Starwood Preferred Guests hotel able extend late check - out able upgrade room category upon arrival . although understand hotel cater generally business traveler , leisure traveler , would pay $ 200 Standard Room , even peak - time San Francisco . book room initially $ 300 per night two day arrival rate lower $ 199 , go low $ 159 several hour check - in . business traveler expense reimburse , guess would matter rate pay . call hotel directly , take hotel operator sometimes excess 10 ring answer call . sure hotel offer guest ' concierge service would sure inquire make plan stay go require assistance Concierge . make use fitness / spa restaurant faculty comment aspect hotel . information , valet parking hotel $ 42 per night plus taxis . hotel accommodation taxis 14 % . park car across street public parking garage turn four Seasons alley way find Jesse public parking garage pay $ 20 max/ per day . advise Jesse parking garage close 10 11 open next morning . car stick next morning need car throughout night , park . check - in hotel consistent convention hotel . busy check - in staff honor priority check - in line Gold / Platinum Starwood Guest member . Standard Room give low floor 36 floor hotel view another rooftop 's A / c unit . look alley way four season guest bring car valet park . really small room . generally prefer stay hotel room start 400 - 500 sq ft Standard Room category hotel 's standard guest room half size . king bed , desk / chair , dresser flat screen television , bath shower / tub combination . well ventilate , even air conditioning set 65 degree throughout entire stay . toiletry Westin brand variety ( really good ) sheet towel available sale make exclusively Westin hotel chain . tall individual may feel head may hit ceiling set really low . leave DND sign door housekeeping honor sign can not comment aspect hotel 's service . option whether want sheet change daily leave alone entire duration stay . order room service : three drink , entree one order appetizer come around $ 80 dollar . significant portion bill go taxis , fee , gratuity . food average come half hour . bell - desk ALWAYS busy . valet bring car less five minute . leave wait housekeeping attendant bring something leave room , grant fault , take 10 - 15 minute make call someone send . think excessive amount time maybe expect . check - out , like check - in take fair amount time wait well even though 3 front desk agent 3 guest front we . wait probably 10 - 15 minute check - out . , honor priority check - in / out line Gold / platinum guest . bill send room check - out correct need dispute anything bill . location excellent would fair assessment say hotel able get job do need clean comfortable place stay San Francisco ; however , want personable hotel , place stay . like mention , leisure traveler pay $ 200 Standard Room , assure unless upgrade well room , regret price consistent value may expect . know would mad pay $ 300 room . 
 Oct 13 2007 	 nice base SF activity 	 stay Westin market street two day SF friend 's wedding . location great -- right trolley line , one block BART , walk distance shop Union Square -- recent hotel refresh great job take old , dowdy SF property bring Starwood standard . room modern , bed comfortable , bathroom spacious , air conditioning work tv sufficiently large luxurious . large , business - center hotel , staff good job deal crowd lobby ; rate ( $ 224 / night ) include breakfast buffet , nice touch reasonably large buffet . course , San Francisco great food option close keep mind pick rate . gym nice expansive hotel gym . negative : one thing seem get upgrade elevator bank seem overmatched number people try get hotel crunch time . get hotel seems consistently involve dodge lot car come parking garage / valet stand . 
 oct 9 2007 	 Loved Westin San Francisco Market Street 	 stay 5th 9th October . say excellent ! service superb ! room fantastic . stay 36th floor . clean . staff excellent . definitely hotel would want stay . downpoint area . female walking alone , feel comfortable section city . , hotel highly recommend husband co - worker convention . 
 Sep 30 2007 	 Westin Pluses minus 	 choose Westin specifically & quot ; heavenly bed & quot ; . decide go suite wish not spend extra money . modern decor style . room oddly shape , decor , well , bland . two chair , short , shallow sofa , huge wooden coffee table , work desk chair , dresser tv make living room . bedroom king size bed , chair , another dresser tv . living area bedroom flat screen tv . closet bedroom miniscule closet living area lock . clock living area , clock radio bedroom . 16th floor suite nice floor ceiling window two side , look numerous ugly rooftop . bed not soft remember , reason choose hotel . beautiful work desk living area though , lot plug business person many electronic ! bring laptop WiFi work great ( extra charge , course ! ) mini bar soda drink corner living area . coffee maker coffee cd player . my room not ready first arrive , leave bag go awhile ( lobby , indeed , dark ) . return , find restaurant not open 5:30 dinner . walk couple hour hungry 4:30 . nice doorman point towards Thirsty Bear , spanish restaurant block away . delicious food . love shower Westin . two shower head . since travel solo ... always plenty towel ! bathroom fine soap , shampoo , conditioner , makeup mirror , hairdryer . nice marble counter floor , make cold floor ... ... know stand cold floor bare foot , leg cramp make feel well ? helpful tip walk hill San Francisco ! another reviewer say weave way numerous car park front Westin 's entrance . correct . later evening , come back theater 10 pm , could barely get sidewalk door , many car . however , find front desk , room service , everyone assist person phone polite helpful . late checkout graciously handle . WiFi ( charge ) room movie ( will pay one go theater ) . room service twice , late snack breakfast . food fine service friendly . the hotel nice enough , find quiet except sirens street hour . close everything room exceptionally clean . thing equal , think come back , would try another hotel . Nothing Westin , really . not like modern decor bed disappointment . 
 Sep 29 2007 	 westin ok 	 really look forward stay Westin Market Street , follow revamp westin hotel . unfortunately rather dissapointed . the lobby area dark unwelcoming , , combine impersonal manner staff give poor first impression . also need manoever way numerous car process enter leave hotel , certainly need wit you . there 6 lift , do not know work , however wait lift quite occasion . the room clean functional . bed comfortable , room quiet . shower provide moderate water pressure , washbasin failed hold water 30 second . think hotel undergo full refit ! breakfast first morning , good experience . food overcook cold , although good selection fresh fruit choose . result , food drink hotel . we enjoy time San Francisco , would stay hotel return . 
 Sep 27 2007 	 Wonderful Westin 	 hotel business type hotel weekend away find wonderful . good rate advertise grand opening something . room clean , comfortable ( bed fabulous ! ! ! ) room quiet night . on negative note , try two different time attempt wait bar . ignore visit several cocktail waiter 10 minute go bartender get drink take another 10 minute . one drink leave . second time ignore never make attempt enter bar eat restaurant hotel , assume type staff . negative thing really disappointed , hotel tv , advertise rather go night , stay order first run movie , relax enjoy . well , second night dinner , decide . get ready snack cocktail purchase local store nothing . two hour attempt try order movie enjoy room , system unable order movie . big disappointment ! ! ! overall quite pleased long rate future definitely go back hotel , bring cocktail next time ! ! 
 Sep 22 2007 	 Mixed experience 	 rent two room overnight stay elderly mother . room quite spacious , whereas mine small side oddly shape . room nicely furnish , large hdtv smallish bathroom . price right weekday San Francisco $ 179 per room . breakfast hotel restaurant fine , though room could warm ( temperature - wise design - wise ) . main problem unpleasant encounter rude staff personnel . attendant park car ( valet parking ) quite unfriendly , , remark steep $ 48 nightly charge , roll eye tell bargain compare rate another hotel street . give car rough handling . three front desk staffer also unpleasantly indifferent , another gracious . 
 Sep 19 2007 	 Good Stay 	 wife recently stay Westin weekend vacation . everything room / hotel recently remodel , include flat screen hdtv room . location ideal - next Martket St , close public transportation ( not rent car - take BART town $ 5 SFO - BART stop short walk hotel ) . problem service staff - helpful . book Expedia receive discount rate book flight hotel time $ 165 per night . stay 5th floor . downside get street noise - not bad enough interrupt sleep . would stay . 
 Sep 17 2007 	 Argent Reborn Westin 	 stay three night starwood 3 night price 2 offer , work $ 154 per night . be warn exorbitant 14 % room tax rate booking ; add check , could transparent . as SPG Gold give corner room , great view San Francisco water beyond . have superb , massive , flat screen plasma room , though mini bar nibble stock yet ( seem sensor tray instal , ready go empty ) .Check noticeably fast , 4 pm check honour without problem ; maid even refresh room last morning help make pack tidy affair I . bathroom small , seem norm SF hotel . the location beat ; four minute walk South Side Union Square round corner Four Seasons opposite Fantastic San Francisco Museum Modern Art , new unmissable Olafur Eliasson light show . wire web connection easy access , swift affordable ( $ 15.99 ) though need check email , pop Market Street Apple store get online minute free . two tip ; rent car , get Hybrid ( Prius ) charge half price ( $ 22 / night ) environmentally friendly car vs. $ 42 regular vehicle . second : go Macy 's take room key state ID Customer Services 11 % discount . VERDICT : Dependable Westin heavenly bed , modern , clean property great improvement variable experience Westin St. Francis nearby Union Square . 
 Sep 16 2007 	 Nice New hotel~ ! 	 book hotel via Spg website . get excellent deal 149 / night busy weekend . stay property twice , time get upgrade nice corner room ( xx25 xx01 ) spg gold . platinum will get upgrade corner suite ( likely ) . hotel sell pretty often b / c right next convention center . easy 5 min walk ( safe ) bart station also lot convinent /fast food store nearby ( quiznos , starbuck , McDs , taco bell 7 - 11 ) . CPK right across street . SF shopping center Union square approx 2 - 3 block away . big cinema right behind hotel . easy access Ferry building / fisherman 's wharf via bus / cable car . the room 22 floor consider & quot ; grand deluxe / premier & quot ; room well view city . reviewer suggest . hotel nice , new gym 4th floor , swimming pool tho ( common norcal ) . hotel mostly business traveller likely people time really use gym facility . afterall , hotel business hotel , not expect much . service prompt slow . people work front desk young knowledge could limit attitude certainly need polish deal customer . afterall , still nice hotel , comfortable bed AC work great hotel , perfect place traveller who s visit SF first time ! 
 Sep 14 2007 	 Beautiful Hotel Great Location 	 great hotel right middle everything downtown . would highly recommend Westin , especially get good deal site like Hotwire . -Short walk BART station Market St. little long walk & amp ; Park many attractions.-room nice clean ( although little small ) . -there state - of - the - art gym 4th floor brand new equipment.-i 5th floor , room 10th floor look like would nice view downtown.-Nice flat panel tv Aeron desk chair room.-only complaint : be extra charge internet access business center expensive . hand , probably find place nearby free WiFi pretty easily 's Kinkos right street . think high - end hotel provide service like free . 
 Sep 13 2007 	 expect 	 get hotel check inn trainee . when ask upgrade say full , expect upgrade since gold member point program . so get small room 6th floor view . the 2nd last day stay go reception finally get upgrade much big room corner view . I say one nice hotel San Fran . will try Westin Union square next time . ask room high floor disappoint ! ! 
 Sep 11 2007 	 Loved Westin . 	 Westin Market Street San Francisco great place stay . clean classy check smooth quick . boyfriend stay birthday walk Cigar Bar diner drink night . hotel centrally locate within walk distance cable car .. Westin room great large flat screen tv room comfortable bed . view ' much not request great view upon booking room . would recomend hotel traveler especially business traveler . 
 Sep 11 2007 	 nice ! 	 Aahh ... could Westin brand worthy redemption ? stay realy Westin dump lately hotel like ray sunlight . nice room , nice lobby , good restaurant , pretty good room service . gripe room need tend upon check - in hair leave behind last guest housekeeping come take care asap . housekeeping step bit think hotel real winner . 
 Sep 10 2007 	 Hotel primarily suit business traveler 	 hotel location nice , simple walk distance great shopping , chinatown good restaurant . $ 12 cab ride Pier 39 . also appreciate well appoint room , heavenly bed large flatscreen tv . bathrm , tub etc similar average room . that say must note hotel design business traveler ( be company pay stay ) minimal complimentary value add service tourist . park rental car Westin cost $ 50 per night , make local phone call $ 1 per call , use internet get coffee morning also charge per day . 
 Aug 24 2007 	 great refurbishment 	 recent refurbishment old Argent great improvement . lobby room & quot ; Westin & quot ; feel ; simple stylish highly functional . heavenly bed large flat - screen tv make staying evening long day pleasure . location great conventioneer shopper . not try restaurant & quot ; Ducca & quot ; lunch dinner breakfast decent , $ 20 , ' m sad say be actually fairly good price compare hotel nearby . the opening Westin make four Starwood hotel space block half . be less in - your - face Hip W , less frilly Palace less expensive St Regis . thing find say place _ exactly _ like every Westin , sometimes 's good thing . oh , valet parking painfully expensive ( $ 40 ) , be problem San Francisco hotel : - ( 
 Aug 24 2007 	 staff exceptional ! 	 recent stressful business trip San Francisco , stay first time Westin 's Market Street location . every time call staff help -- tv remote quit work , in - room internet service terrible , leave complete bill behind room -- get unbelievably great service . new remote deliver three minute ; service charge web access remove bill ; bell captain go room fetch forget paperwork ! probably nice gesture make hotel restaurant ( Ducca 's ) manager : midday flight know would miss breakfast lunch last minute meeting . wait lobby shuttle 10:30 a.m. , pop restaurant , not yet open lunch . explain predicament manager , whose staff mostly break anticipation lunch rush . sit bar , go kitchen , rustle snack cup coffee bring within minute . bolt much - need food , thank ask check . none . & quot ; could not give want want , 's charge . & quot ; way run hotel ? bet . will stay . great job Westin ! many thank . 
 Aug 21 2007 	 great location ! 	 stay two night -- book via Priceline $ 130 per night . 7th floor great view parking lot across street . bit street noise Third Street bed make . awesome location close Union Square , Chinatown , North Beach BART F Street car line . 
 Aug 21 2007 	 good deal can not complain 	 BF plan weekend getaway SF get good deal online . argent great location , Union Square , within walk distance historic trolley , public transportation . good flew not want rent car drag luggage city . desk staff neither rude extra friendly . first room give we stain bed spread , however , ask different room , promptly apologize give we another high nice view . hotel undergo construction time , lobby noisy , half cover plastic smelled paint . 's business hotel , price location , good find . 
