Broken 	 book hotel four night Sat 21 November , check tell boiler broken would stay another nearby hotel night . organise taxi take four we drive hour Quality Inn near Wembley Stadium . pay 4 star London end 2 star next door Wembley Stadium take hour get ! next day bunch people , book hotel own group across road - appear boiler break ! not get pick taxi 12.00pm next day , waste whole day 4 day break . people weekend , weekend spoil . hotel , find nice food really good . not believe broken boiler excuse - accord taxi driver - double book room time shift patron like around time . least put people nearby hotel , outside London . 
 great value ! 	 stay 3 night partner .. last minute book good price,225 GBP/3 night . the room really nice , big , really can not understand complaine size .. 's right size hotel room .. ( u will not take u guy , come on ! ) anyway , bed nice , decoration also , big flat tv opossite bed . the bathroom great ! even small flat tv want watch something be take shower .. maybe not high expectation , believe , u be extremely strange , u will love .. stay go back London .. 
 uncomfortable bed shabby furniture Free WiFi lobby 	 location WiFi good thing hotel . two different room - furniture shabby . hotel list remodel . year - 1990 ? bed uncomfortable ; could feel spring tick . service staff nice . put annex build street hotel first night . ask move room hotel solo traveler not feel safe unmonitored building . move follow morning . very close Earl 's Court tube station several breakfast shop . 
 Mar 1 2007 	 great stay Shaftesbury ! 	 arrivaljust return home hotel husband love stay . trip actually present husband , plus trip football match , e - mail ahead hotel ensure firstly Shaftesbury sister hotel Hogarth across street ( someone note book Best Western Shaftesbury , could also place Hogarth full ) also inform gift husband could place really nice room . arrive hotel kindly upgrade we , arrive room find chocolate fresh rose . nice touch ! roomnow room small , perfectly adequate , fridge , microwave , flat screen plasma , iron board , safe etc . also nice little touch vanity kit , shoe polish , sewing kit available . also lovely fruit bowl pick . room highly finish nicely decorate , also get paper deliver morning too . the AREAThere plenty go around Earls Court . come tube station , Hogarth road literally straight front hotel 2min walk . nice coffee shop , also little & amp ; , Sainsburys , boot etc . find nice bar Prince Teck , Courthouse end Hogarth road , nice . Earsl Court also blue picadilly line call place Leicester Square , Covent Garden , Westminster , really handy ! great trip London , return go back Shaftsbury Kensington . 
 Feb 27 2007 	 Shaftesbury Earls Court 	 wonderful picture room bathroom . would good two small people want walk around room get bathroom wardrobe . the room small ! every facility , iron board , microvave , safe etc . but , room small open ironing board . it small watch tv unless sit bed . it small access wardrobe . it small two people sleep bed ! ! ! ! ! advertise double room , fact 3/4 bed . the safe workevery day ask reception tea coffee room , every day tell reception safe working . we stay five day hotel . day two lift stop work ! would never stay 
 Feb 24 2007 	 great hotel 	 fantastic stay . read numerous review various hotel London , choose one combination location , price postive review site . room large expect , newly renovate , plasma tv room pretty spacious bathroom . lovely view 4th floor breakfast ground floor dining room good . the issue check - in . like other , mistakenly go Shaftesbury Hotel across street . eventually find reservation , tell we hotel full upgrade we premium room sister hotel across street walk we . arrive , realize error go wrong address . issue say upgrade we premium room , fact , exactly book . get right hotel , check - in process much smooth desk staff much helpful . overall great hotel , good value , excellent location near tube station direct line Heathrow . bonus point free internet access . would stay ! 
 Feb 24 2007 	 use ! 	 ' ve book hotel directly website week go London . stay one night february quite low season , worth waiting day holiday try book & quot ; last minute & quot ; low price room . spend 76 pound bed breakfast one excecutive room . room big would expect executive room definitely one nice room ' ve stay London . look like refurbish recently , high standard . flat tv modern looking bathroom . downpoint room smoking room sometime , could smell little bit . partially fault , ask non - smoking room , one night could not bother complain ask different one . room face street , 3rd floor , could not really hear noise all . breakfast buffet good choice food . very convenient location , minute walk Earl 's Court Tube station . 
 Feb 17 2007 	 Great Value 	 4 night stay Hilton Kensington business , move Shaftesbury remain two night stay near action . wish stay entire trip . room 30 - 40 % small Hilton , room superior & quot ; almost & quot ; every way . include 69 sterling vat inclusive room price executive single broadband internet , microwave , fridge , safe , iron & amp ; board , BIG bathroom bathtub , plasma tv , extra pillow , desk , large fluffy towel , 2 phone perfectly adequate gym . also restaurant bar use they . the staff polite helpful allow early check - in noon . match wish list perfectly : bright room , bath tub , smoking . Earls Court tube 2 - 3 minute walk street . plenty restaurant bar immediate vicinity hotel . the view great second floor , come look window , rather work close restaurant activity . the thing would like improve comfort bed , though uncomfortable , Hilton , toiletry . bring toiletry standardly offer liquid combo hair wash / body soap small bottle lotion . overall average price London . 
 Feb 7 2007 	 Excellent ! 	 much well expect . book room day expect much . despite fact get low ground room tiny window top corner room everything allright . staff friendly broken toilet flush fix within minute . nice room , clean , modern stylish . amazing bathroom ! would definately stay , worth money . next time request upper floor room . 
 Feb 1 2007 	 perfectly reasonable value 	 read mixed review also stay problem ( pre refurb ) , stay conference Earls Court three night . check pleasant staff , find upgrade & quot ; club & quot ; room . make way ( get lose , that s due sense direction ! ) , although basement room ( natural light ? ) clean , reasonalbe size comfortable bed . DARK ... even light . ( see photo ) large flat screen tv wall nice touch , free mineral water fridge bowl fruit . there number thing point anyone stay .... ( complaint , advice ! ! ) 1 . eat breakfast hotel . expensive IMHO overrate . turn leave hotel , wlak earl court road ( one minute ) turn leave . Benys Cafe great cook english breakfast much tea / coffe want £ 4.90 ! 2 . reccomende eatery . there LOT eaterie immediate area , similar standard . 2 particular stand , do not name hand ( receipt go expense ! ) . one Indian One Chines , Kenway road ( next rd hogarth ) .3 . reccomend Drinking . the Prince Teck Earls court Road ( one minute away ) lovely real old fashioned pub . fruit machine annoy , real ale hand pull . £ 3 pint ( typical london price ) free WI - FI ( ask password behind bar ! ) overall , relatively good ( dark ! ) experience . stay room cost remain less & quot ; well & quot ; hotel area . trust , LOT bad hotel area similar money . 
 Jan 26 2007 	 Perfect Romantic Getaway 	 take partner theatre see & quot ; phantom opera & quot ; birthday book hotel efter read mixed result . upon arrival find hotel easy locate ( see road opposite tube station ) . inside reception look stunning , staff exceedingly friendly even though foreign could not really speak much english , still try welcome smile convosation . 5 minute wait show room ( fast service London hotel ) room perfect every way , apart one flaw . one sachet coffee ! everything close hotel could easily walk safely throgh street . bed clean , bathroom clean ... single piece dirt find . departure express feeling would happily return hotel without question ... perfect romantic getaway . 
 Jan 22 2007 	 excellent 	 33 - 37 hogarth kensington londonJust return long weekend break . we would recommend hotel anyone . staff lovely , rom excellent , lovely clean , include flat screen tv , iron , iron board , hairdryer , fridge , tea making , even microwave . breakfast first class , plenty choose , restaurant beautiful . location close earl court tube station , perfect travel around london . would hestitate book hotel . 
 Jan 17 2007 	 pleasantly surprised 	 thank info review pleasant one night stay Shaftesbury Kensington . check - in tell basement room quickly inform request room high floor ( strictly true , ... ) . , without hassle give room 4th floor . get find warm , nicely furnished , spotlessly clean double - bedded room nice ensuite bathroom ( inc bath shower Grohe fitting ) . room contain everything might need inc broadband connection , flat - screen tv , kettle , iron etc etc . impressed - especially consider relatively low price pay . drop star bit hassle morning try get breakfast pre - pay for . all would definitely stay . 's convenient attend Earls Court / Olympia exhibition . 
 Dec 28 2006 	 Nice ! ! 	 like hotel lot . first reserve Hogarth across street refurbishment send we Shaftesbury indeed reservation name . extra charge , course . think hotel well & quot ; 2 star & quot ; rating . room cosy , small . problem though . can not comment restaurant not go . location excelent : 5 minute walk Earl 's Court metro station . neighborhood quite , peaceful , excellent . can not really comment staff need interact ... problem whatsoever . giant tv sreen bedroom wall plus ! want quiet neighborhood , close metro station , cosy room size much importance fairly price , recommend one . also , recently refurbish , look like new . also like toillet ! 
 Dec 8 2006 	 terrible place stay really disappoint 	 book one night stay internet website ' ve use , pay advance . arrive 1.30pm first problem find address hotel name not match . hotel name , picture website , show Best western Premier Shaftesbury Kensington hotel , address Hogarth Hotel accross road . go Best Western tell reservation name direct road sister hotel - Hogarth . duly trot Hogareth , also reservation direct back Best Western . show staff reservation detail tell would contact reservation department find problem . wait 50 minute eventually tell room await Hogarth . get receptionist say ' we get book find room ' - welcome . room pretty poor . smallest ever see . 18 inch edge bed bathroom door . bed short - ' m 5 ft 6 & quot ; . not enough room wash hair shower cubicle , small . hair dryer , control heating ( freeze central heating not ) , towel big brown streak coffee cup filthy . finally , bad thing room maybe 10 ft away tube line tube thunder past every minute . I ask reception change room , tell come back later have sort . new receptionist record request . I feel annoyed charge money false pretence . book pay room hotel not get stay in . overall hotel poor . 
 Nov 27 2006 	 well appoint hotel 	 great hotel . lovely room ( double top floor , although small - expect London hotel - furnish high standard plamsa tv bedroom bathroom ) . hotel 2 minute Tube 10 minute Earl 's Court . will stay business end town . 
 Nov 26 2006 	 great hotel great price 	 return 5 night stay Shaftesbury Kensington , love ! like many other already book hotel read bad review post site , truly dread trip London . arrive little check - in , bag securely check room ready . show room promptly 2 pm , immediately pleased . yes room small american standard , London amongst expensive real estate world , expect price point really . room well appoint , large screen tv , refrigerator , tea & amp ; coffee facility microwave neatly house build cabinet . room regular size double bed , nice bathroom . shower work well , copious amount hot water relax bath . room service daily immaculately clean . find room little cold first night , mention reception . immediately send engineer , point control behind curtain , use toasty warm rest stay . hotel actually Earls Court , 3 minute walk tube . Earls Court tube District Piccadilly line , directly connect Heathrow . rest city , shop sight within easy reach . lot great restaurant area include great Chinese ( Dragon Palace ) , Thai , indian , french great coffee shop . also Marks Spencers foodhall sell great snack meal microwave ! ! breakfast buffet excellent full english continental selection , good quality , fresh produce use . word warn ... want breakfast book advance , be much cheap ! oh yes , staff mostly Europeans , speak good english , polite helpful time . would definitely recommend hotel , stay visit great british capital ! ! ! 
 Nov 26 2006 	 4 * Earls Court 	 stay 4 night business trip . whilst little far central London , room well decorate refurbish . not confuse sister hotel street - part group ! flat screen tv play though first night radiator rattle sort reason ! free cable broadband laptop - definite plus ! good breakfast spread eastern - theme restaurant . bit poor menu choice - ' ve get buzz Earls Court around 2 Sainsburys Somerfields around corner add in - room microwave ... ; ) 2 min Earls Ct tube plus leisure traveller - would definitely stay leisure break ! staff friendly helpful . , pleasant welcome stay . 
 Nov 20 2006 	 Perfect 	 make another reservation ( next week ) thought would post belate review last April 's stay ... love hotel . excellent amenity , fair price , great location , all - important requirement -- sound proofing , climate control , internet -- meet spade . general newness , cleanliness , stylishness well beyond need . location terrific . staff delightful efficient . ( sure single amusingly small -- think 's kinda fun ... ' m play football , work sleep ) .My impression really can not well price either ( London ) , least without drastic drop comfort service . travel pretty inexpensively , fit ; anything less risk . anyway . favorite London hotel . -- ahr ( aka Bolzano ) 
 Nov 17 2006 	 love 	 always check Trip Advisor make decision hotel horrify read bad review hotel . however , pleased experience reviewer . happy hotel , staff lovely review aware need ask room basement get lovely room 2nd floor . room amazing , good size free water fruit nice suprise . bathroom nice ..... everything nice ! location ideal , across road Earls Court station would highly recommend hotel people would like stay future . 
 Nov 16 2006 	 Love love love ! 	 love hotel ! room large , desk , proper area store luggage , microwave , huuuge tv tonne channel , room cosy . clean . staff nice . REALLY like ! : be lot homey hotel , quiet , never hear neighbour . love mini fridge , could get whenever want keep bit food ... safe room , nice wardrobe , refill soap , tea , coffee etc . everyday . bath shower . LOVELY ! 
 Nov 16 2006 	 nice room convenient location 	 pleased stay Shaftesbury . spend fair amount time internet look hotel Kesington area . book two room , executive double executive single two night . room exactly picture web site . smallish ( London standard ) , newly refurbish , perfectly clean well equipped . shower great ( often disappointed water pressure UK ) , room microwave fridge . area safe , staff helpful , location convenient . complaint . room noisy ( other complain . ) view alley behind , not book view . would recommend hotel without hesitation . 
 Nov 14 2006 	 clean room small cosy 	 stay Shaftesbury 26th Oct 30th ' 06 . booked website directly get good deal , bettter use website number hotel together . good thing could say hotel clean . room modern , huge cosy . Bathroom modern well light . room include microwave , fridge , safety deposit box , big plasma tv air condition great room sometimes warm basement . one thing room basement , window pity . could hear tube pass Earls Court Tube Station minute half 's walk - whole & quot ; & quot ; point . hotel great location hotel staff foreigner not know anything area , not depend information . order room service first night arrive late - food nice way overprice , not eat . altogether be fussy be London see London will not spend much time hotel anyway , stay get good price ! 
 Oct 18 2006 	 Nice refurbish room 	 stay SHAFTESBURY KENSINGTON fashion week . book two room & quot ; hotelsdirect.co.uk & quot ; get really good rate ( 79 lbs . ) . STAFF always busy , time , seem overwhelmed customer ' request . whenever deal though , polite try give well . what like stay cozy ROOMS . stay 4 night , feel comfortable trouble make home . room third floor , face street , quiet , spacious , fairly comfortable queen size bed ( comfortable mean mattress 's firm - back trouble prefer soft bed ) nice amenity already describe reviewer website . BATHROOM also nice . brandnew , modern fixture impeccably clean . complaint ( mostly concern lady ) lighting could well ( be bit dim side , especially try apply make - up bathroom mirror - rather difficult ) .My standard high ( use work Four Seasons ) definitely recommend hotel need comfortable room come back evening . London business not need perk would look hotel go vacation ( pool , attentive concierge , etc . ) . another plus : Earl 's Court TUBE STATION two minute walk street . be look something central location , see review & quot ; Grange Holborn Hotel & quot ; 
 Oct 17 2006 	 mixed 	 average hotel average location . nothing exception note nothing terrible report . 
 Oct 12 2006 	 bad experience hotel ever ! 	 book Shaftesbury ( 4 stars- allegedly ) month advance , pay deposit internet . attract hotel romantic package offered- room look cosy clean offer even state upon enter room would greet fruit basket ! turn hotel 9 pm discover sell room another guest . point we direction sister hotel ( 3 star allegedly ) road . could not complain manager on - site , go home . we arrive new hotel new room- well cupboard ! tiny . not bad , within three second enter room realise actually right next tube line ! could hear train go loud clear could also even feel vibration track . so get sleep soon last train 12.00am wake around 5.30am first day . this unacceptable . morning complain sister hotel stay re - direct Shaftesbury whereupon receptionist tell & quot ; pissed & quot ; get complaint . language receptionist also unacceptable . manager finally arrive address complaint busy send receive text message mobile phone . seem preoccupied me- customer . this hotel view complete violation trading standard fair trading . give pay , direct hotel star lower state , sleep uncomfortably tiny room next railway . God help anyone turn 9 pm later expect sleep Shaftesbury ! 
 Sep 25 2006 	 Clean Hotel Horrible Service 	 book job London client put hotel . London fashion week really nothing available . Shaftsbury great location short walk Earls Court Underground Station could get anywhere really need go point . hotel clean , probably good thing say . room small decorate indian inspire fashion . bed uncomfortable linen hard paper . room basement window . room nice bathroom complimentary soap . also falt screen tv 's 10 local chanel . staff lazy , slow idea anything . wake call 45 min late every morning air conditioning High could lower , room 40 f ...... freezing ! ! ! ! get fix last night . never go restaraunt becasue look awful priced want eat curry 8 morning . would never stay hear . plus hotel location clean . 
 Sep 24 2006 	 not get SHAFTEDbury Hotel 	 moment arrive horror begin . room would ready till 2:00 pm 10:00 flight New York . ok understandable . then tell we must pay advance entire stay . stay 4 star hotel world never . inform staff shrug repeat robotic & quot ; policy & quot ; , policy mention nowhere website . they offer show we room basement immdiately say way ' m give room 3rd floorWe finally get room although room modern comfortable 42 & quot ; plasma TV , bathroom also modern incredibly ill design . plugs razor hairdryer place next soap dispenser make un - usable upon examination even real plug dummy plate . wash basin clog water take forvever go seriouly dangerous overflooding . inform desk nothing do till day 3 . day 3 water go literally go front desk threaten leave water run till overflow lobby .Apparently hotel abject fear theft . hairdryer locate bathroom inside draw desk room secure screw draw every morning wake wife dry hair . the iron also secure iron board make totally cumberson carry location . iron board guillotine . would stay open two occasion come close chop toe . take two day replace iron board numerous call front deskthe worst hot day week a / c shut could reset next morning . point wife enough . demand see manager tell due 9:00 . 8:30 go check email . return 9:30 tell still arrive . I tell please call cell phone find exactly would arrive . finally 10:05 Mr Zahid arrive begin express outrage way hotel run . throughly apologize , tell appreciated apology type monetary restitution make order assuage situation . Mr Zahid say would get back settlement . next day come - word Zahid , follow morning leave day Zahid see we lobby inform we grant we free breakfest rest stay . already miss day befire since inform day since afetr 10:00 breakfest . Mr Zahid make quick arrangement get we breakf day . next morning go breakfest list charge 18 pound ( $ 36.00 ) breakfest . explain complimentary head waiter shruggs say check desk . see Zahid two day later tell happen say personally take care next day- thing - list .. a / c stay fix two long exhausting trip Bath arrive 7:00pm find A / C not work maintenance go home would repair tonight . upon check guess hit charge breakest $ 36.00 day . flip tell would pay call Zahid leave wait cab airport . come back tell excess charge eliminate . wait cab 30 min ask ' m tell not call taxi private car contract . leave walk Earls Court get cab 5 minsin short nice hotel , totally mismanage inept staff . would reccomend would ever stay 
 Aug 29 2006 	 nice 	 organise good friend 's hen weekend London last weekend one party stay previously Shaftesbury Kensington twice love - plus get great deal online 3 night . love hotel staff courteousour 4 room great ... immaculate - like picture . I think staff polite other call confirm book lady desk actually quite rude incident slightly time helpful . would thing would stop give 5 star . 
 Aug 26 2006 	 Lovely Hotel great visit 	 husband first trip London . celebrate 50th birthday . book flight package deal review read great pleasantly surprised . hotel approximately 5 minute away Earl 's Court tube station . area great base . stay week feel comfortable . area much offer great little restaurant , pub , grocery store , pharmacy , much . hotel room lovely , bathroom quite modern . microwave small fridge coffee maker room . I would definitely class 4 star . staff hotel quite pleasant restaurant food good . continental breakfast include package could upgrade English Breakfast selection offer Continental Breakfast quite enough husband . also enjoy couple wonderful meal Restaurant evening supper . we find quite simple use tube visit site daily basis . purchase subway pass week get around entire week . would definitely recommend hotel other . Lynne FrankOntario , Canada 
 Aug 24 2006 	 enjoy stay 	 stay S. Kensington two night really like . room descibe photo , really clean pretty . executive suite ( regular two person room ) still spacious comfortable . need stick room key slot wall turn light , air conditioning not work , may need turn air conditioning ceiling ( , be kid ) . staff helpful house request . however , ask find information anything else- location , time travel , tour option hour operation- less helpful . , good stay would stay . 
 Aug 18 2006 	 problem .... 	 , like many people book hotel check review arrival pleasantly suprise . hotel staff friendly polite , although foriegn ( somewhat pre - requisite hotel think ) check tell upgrade ' double ' ' executive double ' . well , think can not bad take hotel room like picture website ... ( see exist ) room 14 way ! room small , bang knee edge bed small bruise reminder stay overall , well expect . the hotel good position , yet say street walk slightly put especially night ... maybe lucky ... get nice room could not hear thing tube ... would not stay hotel , that s would prefer little central , hey good time hope ! make sure get room 14 ! ! ! ! ! ! 
 Aug 18 2006 	 Super Hotel ! 	 read review leave , leary would find find hotel nice indeed . hotel staff friendly bent backwards help we anyway possible . room comfortable clean food restaurant good . restaurant visibly pleasing well . would recommend hotel would stay . 
 Aug 14 2006 	 slip badly last 6 month ... 	 stay London every weekend handful hotel regularly choose stay . early 2006 , routinely stay London Shaftesbury Kensington hotel find fantastic value great in - room feature ( plasma screen , microwave , free internet , etc ) . however , hotel appear go downhill somewhat . none telephone room work , internet access , room ridiculously small ground , room noisy ( could hear tube bustle past ) reception staff seem overwhelmed , amateurish . understand common amongst mid - range London hotel , however seriously standard hotel hold . I might try one day , meantime want really nice mid - range , good value hotel , well location , try Regency Jury 's . Queensgate South Kensington . 
 Aug 6 2006 	 great Stay Comfortable room . 	 Shaftesbury London Kensington expect . hotel staff kind , helpful . room feel like home . although basement room , really make feel like ground , special window touch . bed comfortable , amenity great- happy use refrigerator ( mini bar ) well microwave- tastefully hide lovely desk cabinet . bathroom clean , large modern . bathtub great long walk city . power go 2 hour one evening , hotel staff offer free drink snack bar repair . also offer candle wish stay thi room - nice . breakfast restaurant plentiful , many choice . location perfect we , right tube- close Earls Court station , plenty market nearby . would deffinately stay Shaftesbury ! 
 Aug 3 2006 	 not deceive ! 	 book hotel specifically within easy walk distance event attend Earl 's Court follow day , review read favourable . hotel nicely place quiet street , reception , small , spotless , doorman courteous ! however , despite call hotel confirm reservation week trip , arrival inform rather rude reception staff hotel full companion would transfer hotel Piccadilly ! travel several hour , face problem underground , understandably unhappy decision , , enquiry give impression hotel aware day prior stay case ! ! question hotel call arrival could make arrangement , staff unhelpful . book us taxi order we sit reception arrive - take 55mins ! ! ! - whisk we establishment mile away location require ! meantime , informed save time could settle bill fill check - in card , consent . however , announce wished pay cash , request rudely receive , tell could use credit card make reservation ! ask see senior manager mention legal background suddenly change mind ! ! ! ! ! ! would recommend try elsewhere , decide upon hotel . companion London weekend , due complete incompetence establishment force curtail original plan , allow extra time pay travel cost restaurant event , definitely book ! 
 Jul 26 2006 	 not live review 	 disappointed stay ! book two night , double celebration , go Wimbledon husband 's 60th birthday . book ask upgrade one ' romantic room ' - hear nothing ring hotel bit trouble find booking eventually get someone find - say want upgrade ( obviously pay ) tell ask reception arrival - pointed would arrive 6 tell would problem . arrive show awful room - word lie 9 inch bed wall round - impossible two people dress room together - one go bathroom - jest ! ( room 104 way ) nowhere suitcase , go passageway door fire might got time - also window open ( illegal would think ) Needless say ask change tell room available night would change next day . incidentally previous occupant leave coat wardrobe , get hurry doubt . change next day give room expect upgrade ( ie see website ) also give free bottle wine compensation think inadequate , reduction room rate give . would hesitant stay . 
 Jul 19 2006 	 Believe hype run away ... 	 spend less 2 hour hotel flee different hotel Covent Garden . although big fan ot area Kensington stay lovely tourist - class hotel , Hogarth Hotel unfortunately leave we less fond memory . specifically book hotel adertise website allegedly 3 - star hotel : - high - speed internet access every room- air conditioning every room ( plus London , June , temp hit 90 ) - & quot ; executive double & quot ; suite desk , table , double bed , etc.- modern facility , incluidng multiple electric outlet , due recent renovationsour visit start badly arrive early hotel ( 8 ) inquire able check least leave luggage . mumbling desk clerk claim reservation spend 10 minute stare computer screen driver 's license point name register . we fill registration card go entire registration process , soon finish , tell we come back 12 noon actually & quot ; check in . & quot ; frustrating . we able check luggage hotel , though ( concierge nice efficient ) go breakfast . return noon check different clerk , young woman , inform we policy guest pre - pay night ( also advertise site , claim prepayment need ) .We wearily pay fee headed room . as room ... travel London many time stay hotel , ' m aware size difference London hotel room ( small small ) american one ( usually large ) . however , even London standard , room completely unlivable . literally 6 inch clearance around bed , place single suitcase , bag , backpack travel item , closet , desk , table , counter , wardrobe storage , hanger wall . bathroom door could open 6 inch hit bed . large item room 42 - inch flat screen tv mount wall . my boyfriend immediately realize could stay room ( actually , could even get suitcase room ) , go back desk change room . we put slightly large room ( 12 inch clearance around bed ) closet desk , feel might fine purpose . however , 2 minute , learn hard way right tube station , every 2 minute room would shake . bad , room air condition even fan , shut window block train noise , room temperature soar stifle . finally , go check internet access , find & quot ; not hook yet & quot ; accord front desk . also find half electric outlet yet & quot ; hooked & quot ; room . proverbial final straw . we find another hotel London ( Radisson Kenilworth , highly recommend ! ) call cab . go front desk get refund , base fact room amenity blatantly falsely advertise spend less 2 hour room . desk clerk insist charge we 1 night 's stay ( $ 125.00 ) anyway , although refund rest force - prepay amount . the moral story : check room pay , really want give hotel try ( let us say be really large tv train noise ) , not expect internet outlet working room . 
 Jul 17 2006 	 place bet take chance . 	 day leave , stumble across site review Shaftesbury Kensington Hotel lo , heart sink , ready cancel trip altogether . however , pleasantly surprised end . initially , phone hotel try confirm reservation , however company own hotel also own one across road ( hogarth ? ) convert house across road . result centralise booking system effectively mean ask room , call pass someone not hotel all . on arrive Earl 's Court , 2 minute walk hotel . however , arrive 2 reception staff labour English berate american woman proclaiming & quot ; book May ( 2 - 3 month ago ) expect nice room , one street ! window . get claustrophobia , panic attack go hospital , be go pay ? send hotel across road , send back ! & quot ; fill joy , however present booking number hand plastic card - key . book room , would specify want one 2nd floor A / C ; supply . the room quite small fridge microwave honking huge flat - screen display , initially , quite worried , place look good , could not get light work dread go wrestle people reception . change room one work light , would still window etc . ? however , spot unlabeled slot door , fed card key , light turn . rocket science , still , would nice sign somewhere tell weary traveller & quot ; light way & quot ; .I not bring laptop unable check free internet access ( Via RJ45 socket reel stuck table ) . claim be go internet via tv point , currently not work tv bbc1,2 ITV , C4 , C5 , CNN news channel . impressive , still , be free . the room face Hogarth Rd extremely quiet . break air - vent frame allow street noise , double - glazing keep majority out . the ( bless ! ) a / c work fine , however point remote ceiling unit bit hit - and - miss controling remote mount wall . mini - safe wardrobe not bolt anything , assume many people liable steal safe complete posession . Putting & quot ; disturb & quot ; sign not really seem make difference , morning door knock cry & quot ; Service ? & quot ; copy Telegraph dump floor outside . bolt door actually get privacy sign suppose grant . similarly , sign say & quot ; disturb & quot ; one side also say & quot ; room ready service & quot ; . be matter time wag decide turn sign around cleaner disturb honeymooner ! second night get back hotel 10:30pm , leave lift find darkness . light corridor ; corridor one window face light well ( much use night ) light switch could find . grope way along corridor reach fire door next set room ( one ) find dark inside cow . dig mobile phone try find door / room number pathetic light screen . light room work ok , phone reception ask could turn light corridor , ' m sure understand still , take hour half actually turn . Tne next day , still could not find light switch corridor . room service tidy room every day ( irregardless disturb sign ) though not appear change bedsheet , however towel replace day . , find place well appoint though need staff - transplant . however , quite understand trip could turn disaster other . pay money , take chance . 
 Jul 16 2006 	 not get fool - real NIGHTMARE 	 not anything good say hotel except bathroom nice . not expect get sleep will not happen . will hear loud noise vibration TUBE every 3 minute 1 am resume back 5 am . & quot ; musty & quot ; smell entire hotel horrible will leave London clothing reek disgusting odor . mention STAINS bed cover leave wonder ever launder ? . staff seem pleasant may not speak much ENGLISH , therefore , noone really react express ongoing complaint . reservation pre - pay 12 night nightmare hotel . 4 night 2 room change later , could not bare stay another minute . hotel REFUSED refund monie , although quickly fill room vacancy ( hummm , wonder change sheet clean bathroom ? ) . oh , relocate Marriott Maida Vale ( way , superb hotel ) , car driver comment routinely hear compaint U.S guest also dupe . save lot misery book room Marriott . ' m currently persue type refund , although not actually expect happen ... , would much like right hotel establishment MUCH much like wrong ! ! 
 Jul 15 2006 	 McDonald 's quarter pounder market haute cuisine .... 	 return 4 day business trip London book & quot ; Kensington & quot ; hotel ( bang middle Earls Court ! ) read horrendous review . believe review , 's . room mainly tiny bruise shin prove . first room basement ( specify book upper floor ... ) windowless . join queue irate guest reception desk demand room / hotel move . unhappy angry guest reception permanent feature hotel . receptionist bad people , merely under - train , under - resource seem lack management back . beware policy swiping debit / credit card room service advance , refuse . room ... well first emotion one relief . relief heavy dark brown stain bedspread melt chocolate nothing else . much - vaunted & quot ; interactive & quot ; tv seem enter passive mode ( small sign reception admit ) aircon seem 2 setting , Siberia . bathroom small clean whilst fascinated , note elsewhere , highly fashionable totally impractical hand basin . give tip , prise plug fingernail / hair grip turn upside thread point upwards , problem solve . probably unwise central bath plug . the lift work intermittently , perhaps gather sense paranoia allow suspect always work downward journie action upwards .... think basic management / marketing issue . market place budget hotel brass knob ( employ people - skilled receptionist ) ' m sure would happy bunny . current sale drift sophisticated boutique - style Kensington hotel , quite frankly , cynical deception . many unhappy guest American feel , sorry . hotel 100 % devoid spacious luxury personal service would expect upmarket 4 * hotel . . Book place net 70 quid night use reasonably clean quiet dormitory whilst explore London will ok ( hence 2 rather one star award ) . book full rate expectation sophistication peerless service need therapy / professional help month . 
 Jul 7 2006 	 lovely room unprofessional staff watch credit card 	 room truly 4 star . one get pretty spacious microwave , flat screen tv , work broadband connection , modern bathroom comfortable queen size bed . really enjoy face quiet street could sleep window open . now bad side hotel ( unfortunately minor one ) : housekeep good : sheet change throughout 7 night stay clean bathroom come back find stain floor make . carpet hoover . I stay hotel , month ago remember problem electrical system . well 4 month later still problem electricity 3 blackout 2 night ( one last half hour ) . take 2 day problem fix work fine . if would not mind stay get point afraid give credit card ask authorisation without inform ( take pre - authorisation already upon check ! ) happen twice first time think mistake . second time could think behave unprofessionally . mention fact least give warning . find sms service alert let know instantly card authorise . complain deny do . show evidence ( i.e . text message ) tell block money debit card . warn check want pay cash even offer pay full balance 5 day check tell worry -as pre - authorisation already . meanwhile card maxe could book airfare internet . take 72 hour get amount back card airfare double . this spoilt stay again . on top serious communication problem staff one staff member unable understand try say keep repeat sentence ( obviously not listen have say ) .be careful handing credit card -it poor / unprofessional behaviour 4 star hotel- staff become quite irritable see complain . anything entitle irritable still make effort deal respectful manner . it be pity poor management like spoil otherwise nice hotel 
