great 	 stay hotel numerous time business leisure . great comfortable room fun bar . love lavender smell hallway . 
 Apr 22 2007 	 Wish could move ! ! ! 	 book hotel base past review say past traveler lie ! book room one night way SF . go Napa Valley spend one night end trip SF . husband 's birthday book nice King room , believe King Deluxe Waterview room . arrive , upgrade we ( reason ) King Circular Suite . room AWESOME ! ! ! ! hope lucky enough enjoy room ! ! ! room big spacious , 6 picture window overlook Bay Bridge Ferry Building . aside great view , room great feature rainshower , Bose stereo , flat panel tv , remote control window shade ( may particular room ) , high quality linen .... list go ! location great close everything - car can not imagine anyone problem see site location . staff friendly welcoming upon arrival anytime question . I would not hestitate recommend hotel anyone ! ! ! 
 Apr 19 2007 	 Excellent Hotel 	 16 day trip US stay 7 different hotel vital far good one . because : ) general atmosphere energy hotel superb . b ) service excellent ; personnel attentive time simple , gentle efficient c ) decoration nice room public area hotel ) location convenientWe stay ( three night ) room face back building roof ventilator etc . want quiet room check two room end room without view cozy indeed quiet ( preferred room face Mission Street window floor ceiling feel less cosy expose ) .room spacious clean , bed good ( excellent ) , nice bathroom , standard amenity plus free wireless internet flat tv . ( room look well reality hotel ' website . we breakfast Americano ok ( nothing special ) lack fresh orange juice , cheese , ham etc usually eat Europe . we happy discover excellent hotel . 
 Apr 11 2007 	 Great experience Vitale 	 planning quick two night trip SF impress Hotel Vitale 's web sight talk friend live Bay area , decide book room . I disappoint one time stay ... find staff professioinal courteous . great room 8th floor look bridge . room comfortable yet stylish ..... recently hotel room take almost cookie cutter appearance .... W 's , Ritz etc . general appearance regardless city . case Vitale . previously stay Campton Clift among other .... although unpleasant experience , also nothing memorable . enjoy energy hotel go back soon . 
 Mar 31 2007 	 good hotel San Francisco 	 book hotel primarily 's location across Ferry Building could roll bed , go run SHOP Saturday farmer ' market . also right across street great restaurant , Boulevard . turn good hotel ( 30 ) stay ever SF . beautiful room view Bay Bridge light night boat bay . whisper quiet room 7th floor ( rare SF ) . excellent friendly staff . reasonably price 1 hour massage . back over . spend extra $ 100 bay view room , well worth . 
 Mar 26 2007 	 Perfect stay 5 year anniversary 	 husband stay Hotel Vitale three night celebrate 5th anniversary , absolutely wonderful . room gorgeous - modern comfortable sparkling clean . stay river view king amazing view Bay Bridge , newly refurbish Ferry Building . bathroom large rainfall shower . room nice touch like coffeetable book cd player ambiance cd like . also , really nice bathrobe slipper . we eat one breakfast Americano restaurant one room service - , food delicious service prompt courteous . staff - valet , bell captain , front desk staff , concierge friendly knowledgeable . even sprinkle bed rise petal give we free bottle champagne gourmet chocolate , mention anniversary ! location perfect - directly Embarcadero - touristy Fisherman 's Wharf part , picturesque part newly refurbish Ferry Building gourmet food stall cute shop host farmer 's market morning . block walking reach either must - do - once trolley convenient mass transit take anywhere city matter minute . I can not say enough good thing hotel . lot travel , say one make top 10 list . probably favorite hotel US . can not wait go back ... Outstanding ! ! ! ! 
 Mar 24 2007 	 Best Hotel USA 	 Hotel Vitale San Francisco amazing . hesitate price , 100 dollar mind , well worth extra . fabulous style , brilliant service , lavish hotel feel small waterside ultra modern minimalist hotel . fabulous aesthetic cool cool surrounding . restaurant world term food ambience bang across road Ferry building full interesting shop bar , side Bay . glad not go crowded ambience Union Square get round seeing , Hotel Vitale embody everything want day San Francisco . think spa bit pricey book coud not get go , rest , gorgeous bed , divine linen , lovely people superb . travel West Coast Texas New York not hit hotel like one . 
 Mar 19 2007 	 Lovely possibly overrate ? 	 beautiful boutique hotel . say , little stay . book waterfront deluxe room , , nice . problem encounter noise Americano Bar right we . reviewer mention , quite bar scene outside . young , single beautiful , be great place . old , tired sleep lightly , third floor room bar bad idea . practically hear individual conversation , window closed drape pull . however , front desk staff gracious move we another room , high floor . Kudo be . unfortunately , leave behind deluxe bathroom , water give we turndown , one less chair paper morning . guess forgot move we . can not help wonder often people request move third fourth floor . fair , Thursday night weather absolutely beautiful . however , hotel staff tell we happen every Thursday / Friday / Saturday night . going stay want deluxe water view room , ask room 5th floor . my quibble ; almost $ 50.00 charge Valet Parking ... wow ! ' ve stay fine hotel world never pay almost $ 50.00 less 24 hour parking . guess expectation much high hotel could meet . would stay . design devotee , love hip atmosphere 40 , money , place . otherwise , warn . 
 Mar 19 2007 	 definitely return ! 	 love Hotel Vitale ! go much need mom - of-3 - kid get - away , pick great place spend 24 hour . service excellent , room beautiful clean ... linen die ! ... restaurant fantastic ! zero complaint . bath rooftop star ... treat ! went run along waterfront , shop Union Square ... great weekend . definitely return Hotel Vitale next time need R & amp ; r . 
 Mar 17 2007 	 exceptional stay Vitale 	 have stay Vitale four previous business trip pleasant experience mar pretentious indifference staff member . someone clearly something right , visit ( combination business pleasure ) exceptional every way . young folk behind reception desk warm welcoming . concierge , Keith , extremely helpful . service hotel 's restaurant swift solicitious , food ( breakfast ) first - rate . well - appoint room scrupulously clean , . wife enjoy excellent massage yoga class ( remarkably , latter free ) beautiful spa / studio hotel 's top floor . four - day visit wonderfully restful . definitely back ! 
 Mar 17 2007 	 love 	 amazing hotel comfy bed , spa wonderful hotel team helpful . my complaint would americano restaurant , think well , ok upmarket link quality standoffishness coldness character . remember join joie de vivre club checking . partner member paying would give point . bit unfair.go baghdad cafe castro want real food . 
 Mar 17 2007 	 Love ! 	 vitale chic hotel offer luxurious , unique pleasant stay . truly cater sense fresh lavender scent room hallway , texture wall special lighting . ' super relax . bedroom modern , comfortable clean , decorate light blue warm beige . bed ' pillow fluffy cozy , definitely get good night sleep . bathroom , large marble tile spacious extremely well equip nice size shower stall . bathroom provide toiletry product Fresh , add spa feeling . ' great location near bay . ' walk distance fine restaurant , cafe , shop far Fisherman ' Warf . ' great business traveler tourist . highly recommend anyone . 
 Mar 14 2007 	 great hotel wonderful atmosphere 	 zen - like atmosphere relax location absolutely perfect ! right across street busy marketplace , find anything everything eat drink . also convenient Sausalito ferry . sure take market Tuesdays Saturdays local farm bring item . the hotel staff professional helpful . everyone wear smile . hotel bar restaurant really busy Friday night major single scene . rest stay hotel bar ( Americana ) subdue pleasant . try pomagranate martini -- fantastic ! ! ! great outdoor patio heat lamp cool evening . eat one breakfast hotel restaurant quite good well present . one good massage ' ve ever spa . ' m pretty picky come massage somewhat leary hotel spa one unbelievable ! clean professional . also advertise soak tub never chance try . might want check out . I would definitely recommend hotel like get away large , corporate - type hotel prefer & quot ; boutique & quot ; style hotel . PS . room small view 3rd floor disappointing ' m sure ask large , well view . 
 Mar 13 2007 	 Bad Valet Service - scratch car 	 room nice . valet service poor . cause 1 meter scratch passenger side door . call keep re - route different people end nothing car . would never stay . 
 Mar 6 2007 	 beautiful hotel ! 	 stay Vitale less 24 hour , leave hope could stay long . front desk agent kind finding take almost 15 hrs get San Fran NY bad weather . put beautiful Bridge view room big expect . great lounge music quietly play walk room delicious chocolate water . love fresh brand toiletry bed unbelievably comfortable . robe , slipper dinner want , be get . food room service GREAT ! get pasta bolognese , amazing . look pretty lively bar area downstairs , wish enough energy head , bed call . 
 Feb 23 2007 	 Fun hotel professional staff 	 husband stay Vitale President 's Day weekend birthday . mention birthday confirm reservation hope would go well booking . room service apparently put notice , bring little chocolate cake w / a birthday card large bottle mineral water first night . nice touch . next night turn - down service , house keeping also bring birthday card . nice . hotel modern without edgy . welcome yet hip . room nice , though little small ( maybe b / c book expedia ? ) pleasant decor pale blue green . Excellent & quot ; fresh & quot ; bath product . enough work space desk , need . like lounge chair window , cozy . staff completely professional housekeeping concierge . nice helpful , even busy weekend . location excellent - right across street Ferry Building , within walk distance good SF restaurant , couple block BART station . 
 Feb 18 2007 	 live hotel . 	 wow . let begin say expect good , good turn . , happily surprised . I book king waterview suite acutally well view Bay Bridge water . Valet professional nice . check quick , actually , check 7 pm saturday night . anna front desk , nice . Americano happen corporate type hipster . the room . wow . mention online reservation would anniversary weekend boyfriend . place rise petal shape heart bedand complimentary bottle champagne ice bucket two champagne flute table , ' happy anniversary ' card , cd play electronica ( relax kind ) beautifully light bedisde table . not cost extra . complimentary . love . awesome staff . we dinner reservation Foreign Cinema , ask could call we taxi . actually , shuttle car site . cost we $ 20 exclude tip . well take cab want save cash , go date . case , date go Lincoln shuttle car instead . when come back dinner , actually still quite hungry . ( though tasty , yes , Foreign Cinema serve small portion ) .So go downstairs Americano . unfortuantely stop serve food 11 pm . barback , Louie really cool person . take drink outside small table near heating lamp enjoy ambiance Embarcadero water . after , return room 1 , still little hungry . apparently , guest order Pizza pizza delivery man go back fourth floor floor deliver food . we be glad order Cable Car Pizza . pretty darn good food deliver 1 am . good tiramisu too . we drink champagne , even beautiful rainfall shower , lol . I not find negative , hear people hall . muffle though . even hear sneeze . not care , hear we ? oh well . lol ! Sugar Fresh product good . smell light lemony . I love love love pillow ! call hotel see kind buy ! morning , Discovery Channel tape bike race outside window Embarcadero . watch get ready day . People crowd around , take picture biker get autograph . cool thing see . it check time , unfortunately . Anna , front desk , offer hold bag til get back shop around city , even though already check . still able leave car valet til 5 pm , problem . I definitely back . definitely ! great staff , chic , modern relax decor , great service , great view ! loved place start finish . 
 Feb 13 2007 	 fantastic hotel will not want leave ... 	 spend night September 2006 . complete joy . not view wall , not ask one . hotel clean smart funky . room big lovely bathroom continue Fresh ! toiletry . although note negative review staff , find beyond helpful , generally make we feel great make service second none . bar lively look like post work crowd like , not feel like traditional hotel bar . situation quay lovely store restaurant real treat opposite wonderful Boulevard give hotel distance wise pretty much second dining option . look traditional glamour , old school Nob Hill hotel not . look boutique hotel service 5star resort reasonable rate , will not disappoint . would stay look forward trip back . I stay Lambourne 4 night prior stay Vitale without doubt bad hotel ever stay . see long site ? one hope depressed staff get help need someone decide put misery . 
 Feb 11 2007 	 central trendy . great place stay 	 really cool contemporary design , excellent location . service bit snoby . what modern hotel 
 Feb 10 2007 	 Hotel Vitale 	 find Hotel Vitale wonderful . corner room architecturally modern interesting curve wall nice window . room look onto SF street scene perfect . tub huge bathroom decadent . not eat hotel , walk Rubicon wonderful . great hotel great location quite modern forewarned . 
 Jan 25 2007 	 could live hotel ... 	 stay Hotel Vitale special occasion book two different suite group . family suite roomy comfortable king bed comfy fold - out sofa living room area . like gauzy curtain could pull separate & quot ; room . & quot ; bathroom fantastic lovely complimentary toiletry , could also purchase special bath product . deep soak tub dream . lovely view bay Ferry Plaza , fun watch bustle farmer 's market . service attentive , felt welcome warm washcloth check - in staff treat birthday celebration generously bottle champagne room personal note manager . room service breakfast tasty timely . book reservation special occasion receive good service , thoughtful thorough , rush decision . the bar scene evening quite happen great wine selection tasty cocktail . love decor . lobby room beautifully decorate , eco - modern warm relaxing . could happy live hotel extend time , bank account would allow ! 
 Jan 21 2007 	 Hotel Vitale - Pinch ! must dream ... 	 enjoy weekend Vitale past December . everything expect ... restful , gorgeous view bay , perhaps good bed ever , great food restaurant Americano , warm friendly service throughout , rooftop tub , good -- perfect location . wake Saturday morning stroll across street Ferry Building weekly Saturday Farmers Market . enjoy fresh roasted coffee , breakfast pastry sight kind interesting product . December amazing ... imagine wonderful market must summer fall ! stayed dine hotel restaurant Americano Saturday evening . despite great restaurant ' ve enjoy San Francisco , delightfully pleased quality food service encounter ... glad opt dine enjoy evening romance hotel . all ... GREAT PLACE ! thank Vitale ! 
 Jan 16 2007 	 Poor First Impression 	 stay 10th January 3 night last leg Honeymoon . we travel fiji Auckland , sit Auckland airport day 12 hour flight San Francisco . breeze US immigration case approach carousel . outside cab ready take we Vitale , arrive within hour touching , greate member staff clearly important customer we , simply tell we room not ready nothing could guarenteed 3.00pm , currently 12.30.after long journey expect well welcome , afterall hotel know flight be expect . hotel aspire great thing attitude something fundamental need address . country well know 's customer focusse service bit disappoint greet attitude . I ask could wait drink reception , answer ! luckily another staff member intervene , although not tell we anything different manner acceptable . offer room 4th floor , hour later , room 7th floor would ready , wait extra hour bar . room ok , partial bridge view although expect habour front room , comfortable enough bed linen excellent , room not big expect either . after long day opt room service evening good . eat Americano last evening buzzing afterwork crowd , restuarant busy , wine list good food good . eat one Market evening honest even though expensive would probably opt eat rather Americano , be nothing wrong Americano one Market give little bit dollar . we would stay hotel , bar restuarant good lively place , 's shame last place Honeymoon greet abrasive staff member , maybe look career not customer face . 
 Jan 10 2007 	 Perfect ! 	 stay vitale husband 5 night New Year period love ! first visit city find location hotel perfect . 's Embarcadero opposite Ferry Building , great restaurant Farmers ' Market weekend . lovely view Bay Bridge room . for people location may little quiet 's bustle Union Square area etc - transport easy though . streetcar also Trolley stop right hotel . we not eat hotel ( buy breakfast Ferry Building ) use bar several time . be quite lively early evening cocktail fab ! ! staff friendly helpful concierge . problem bathtub fix promptly . New Year 's Eve bottle champagne put everyone 's room ( nice touch ! ! ) . also birthday cake waiting room arrival ! room allocate fairly small ( though not problem we ) bathroom large . tastefully decorate clean . Liked turndown service cd play return room . , perfect stay would highly recommend hotel anyone like minimalist style professional service . Loved San Francisco would recommend nearby Slanted Door restaurant well Asia de Cuba Clift hotel . 
 Jan 9 2007 	 room share Claudia Schiffer 	 husband book Bay view room birthday . arrive , start wrong foot front desk staff insist book city view room . husband , polite coax , start get insistent ( irritated ) personality - less staff member hit button screen realize someone else last name reservation . Non plusse , find room inform we would ready hour so . we take walk , return find room ready . encounter Bay view room , partial Bay view room . want find anything wrong husband arrange , try say anything huge GAP ad Claudia Schiffer opposite building 's wall leer . lay bed , think , well could pull curtain face , see leave , Bay bridge . alas , curtain pull way . so lay back bed accept situation , looked leave reflect large mirror Claudia Schiffer . I can not ! proclaim , know drop 3 bill room . so try get well room , option Claudia eye level floor above . so take walk find ecstacy Mandarin oriental positive aspect Vitale charge we time car park . Gee . the staff clearly inexperienced problematic could appease right room . know hotel tell intrusive ad ( light night not think darkness help ) , informed & quot ; Gap own town stay here . & quot ; Ouch . 
 Jan 8 2007 	 Bathroom Bloopers 	 stay Hotel Vitale overnight layover , San Francisco numerous time , like try different hotel pick Hotel Vitale . the staff 20 - 30 something ; overall , friendly , professional , accomodating . stay suite view Bay Bridge . room decorate modern minimalism , touch warmth , like cozy bed big duvet . bed bit soft side , restful sleep . extra pillow blanket neatly package canvas bag , sit floor . bit odd , consider huge empty shelf closet . overall , hotel promote relaxation serenity , like new age music white noise cd 's stack beside cd player . the room service prompt food hot , well prepared , meal awesome . choc . chip cookie milk dessert really hit spot . register room , husband different surname . meet extreme suspicion order we , person take order keep question differ surname . perhaps make pay food arrival room ; late night , decide pursue issue . feel badly room service person , force make two trip : deliver food run downstair process credit card payment . something take note travel someone different surname . ah , bathroom . bathroom amazing glass - in rainfall shower , handy cut - out glass wall reach run shower get . however , 5 ' 2 & quot ; , find arm reach water faucet . therefore , husband run shower . minor thing , convenient . also , major thing appreciate slide door bathroom sit inch door opening . well travel extremely good friend spouse .... every little sound carry room know mean . , thing remain private two people . overall , nice stay Hotel Vitale , would return bathroom door deal breaker we . not care , hotel great location staff wonderful , plus well - taste room service ' ve yet . 
 Jan 1 2007 	 good 5 * ... 	 book hotel 3 day stay Christmas follow review Tripadvisor . want something bit up - market usual motel style place ' ve previously stay SF . room hotel not disappoint - luxurious , stylish exceptionally quiet room . really like location - easy get around good access public transport even within walk distance main shopping area . the negative comment regard pricing - room great value , charge fortune extra breakfast parking ( eg $ 4.50 americano coffee , $ 49 valet parking ) - Christmas Day everywhere else closed pay price - rest trip go elsewhere pay much less - within easy walk distance hotel . overall , would definitely stay . 
 Dec 27 2006 	 Loved Vitale ... 	 long overdue ... wife stay Hotel Vitale Honeymoon June 2005 . stay Deluxe belive . corner view amazing view Embarcidaro ( spelling ? ) Oakland bridge . can not begin say awesome hotel . first time San Fran recommend everyone stay ever since . 
 Dec 17 2006 	 Quite Good 	 stay hotel several time past six month . room comfortable / modern : great bed , large bathroom ( good toiletry ) , incredible water view ( 4th floor ) . Nicer W almost luxurious Four Seasons . service generally professional ; ' ve never use concierge . location cut two way -- 's end Mission St. , be give great view , be across street Ferry Building marketplace . two SF 's good restaurant within block : Boulevard & amp ; Slanted Door . one egregious fault : $ 40 / night parking . Overall be go - to choice SF $ 300 / night . 
 Dec 5 2006 	 Beautiful Hotel 	 travel Hotel Vitale part honeymoon really enjoy stay . arrival find staff friendly get room find bottle Champagne ice , box chocolate card congratulate we . also find upgrade corner room two floor ceiling window look across Bay Bridge Embarcadero . room lovely relax plenty room relax christmas CD playing arrival nice touch . bath bathroom however think room bath huge shower lot lovely smell toiletry . complimentary yoga session roof every morning ( never get time attend ! ) overall feel hotel trendy lay back . eat / drank hotel bar Thanksgiving day service quality excellent . location wise really like hotel might everyone 's financial district tourist end . find easy walk place sightseeing bus actually drop off / pick quite near hotel would good option get around . could change anything would like tea coffee make facility ( though plenty coffee house around ) altogether really enjoy stay Hotel Vitale . 
 Nov 26 2006 	 will back ! Loved Vitale ! 	 lot research , decide stay Hotel Vitale San Francisco trip . let say , disappointed . fantastic ! arrive airport around 10:00 room we ! pay courtyard view , upgrade we Bay View room ready . fabulous . view really add atmosphere highly recommend . room bit small , space utilize well opinion . bathroom spacious . tub room huge . definitely one good hotel tub ever . fresh bath product nice appreciated touch . the hotel nightly turn service leave bottled water chocolate . also turn nice cd . always great thing come back to . the Vitale offer complimentary Town Car service within mile hotel , nice . use time . car unavailable , be still easy get around . bus street car stop right next hotel California Street cable car 2 block away . location bit typical tourist path ( ) Union Square Fisherman 's Wharf , issue we . we travel San Francisco least 3 time year since know way around , slightly remove & quot ; main & quot ; tourist drag really non - issue overall , preferred . highly recommend Hotel Vitale . definitely stay . 
 Nov 24 2006 	 average 	 room average . location ok , far tourist activity - if look . LOT local hang restaurant . price bad , impressed decor , location , service . 
 Nov 19 2006 	 nice San Francisco getaway 	 wife go Hotel Vitale September 06 getaway week - end visit family . hotel little hard find , worry GPS . otherwise , might well make map . check slow , make people responsible uncomfortable sitting stare , place else go past give time . room nice , modern clean , pay little extra , view Bay Bridge . service around superior staff quite nice . room come nice amenity like , buy spa . nice day , sit rooftop enjoy view bay ferry building ( Saturday excellent farmer ` market . ) place child quite expensive , city ` excellent restaurant nearby trolley ride away . enjoyed stay much . 
 Nov 18 2006 	 Ups down Hotel Vitale 	 entire family meet San Francisco little brother 's 21st birthday . decide stay Hotel Vitale since parent stayed really treat well prior trip SF . book four room entire weekend far advance trip . hotel chic great atmosphere , checking realize put room look onto another fold building directly next entire air conditioning unit hotel . unsure whether would need additional room stay check - in receptionist mention would easy book another room . however ask whether room available well view , tell hotel completely full . entire family arrive different time , figure would check back everyone arrive see hotel able accomodate request . parent arrive , hotel check one room already check note would impossible switch room . after finally check room little convincing , hotel able locate nice room stay . despite hassle , nice switch room . , hotel nice , pretty hip bar connect lobby . hotel perfect location check ferry building , walk Union Square , explore Chinatown . room nice bed extremely comfortable . additionally , hotel relaxed feel staff extremely polite . without headache upon check entire family enjoy stay . issue bellman 's insistance take hotel car instead hail cab . need two cab go 10 block , bellman seem hesitant hail cab sedan park entrance way . good offer car could manage $ 20 per car . hail cab , fare $ 6 . seem collusion hotel car company . Hotel Vitale may want follow Le Meridien 's lead offer free hotel car service advance notice . 
 Nov 10 2006 	 good hotel San Francisco ! 	 hotel incredible ! room modern clean . bathroom spotless . soaps shampoos smell great . flatscreen tv CD player awesome . view - room face bay Bay Bridge outstanding . elevator , hear relax music watch relax video flat screen door . rent car consierge easy efficient . location near port baseball field well - everything walk distance . not chance take advantage Sunday Yoga morning class next time plan . 
 Oct 11 2006 	 Loved Lemon Soap : - ) 	 hotel ideally situate within walking distance every attraction . hotel high standard room excellent .... would recomend ( do many time ) hotel anyone visit San Fran . bar downstairs get busy everyone finish work . restaurant fantastic food great .... 
 oct 9 2006 	 Excellent ! ! ! 	 Everytime stay nice hotel keep compare vitale SF . really nice place stay . spacious room ( king ) , nice clean . comfy bed linen . free water room , every night little chocolate pillow - find really nice touch attention detail form hotel owner . great location , rooftop terrace nice chair , view Embarcadero Oakland bridge .... simply great stay . can not wait stay ! 
 Oct 9 2006 	 Overdelivers ! 	 5th wedding anniversary Husband surprise booking room Hotel Vitale weekend . mention occasion book room check ( room 622 ) bottle champagne room - along note wish we Happy Anniversary ! everyone staff professional accomadating . check noon see people check even though check not 3 pm , accomdate everyone . room calm , quiet , luxurious . room also quite spacious see attention detail throughout . & quot ; city view room & quot ; nice view Bay Bridge water . sheet bed close 1,000 thread count , mattress comfortable . use live SF , area hotel favorite right Embarcadero parallel water great walking run . also short walk Ferry Building , shop Embarcardero , great restaurant . this hotel really think everything show . room CD player ... along great CD 's enjoy throughout weekend . also wonderful robe slipper take home you . we couple bath ritual hotel spa ( $ 60 per person ) . outdoor bathtub , neat soak top hotel downtown SF.We go dinner Restaurant Bix ( 15 minute walk ) EXCELLENT . high standard spoil SF restaurant exceed expectation . get back room turn service come sprinkle rose petal bed ! maid also turn CD . , Husband not request ... . next morning brunch Americano ( hotel restaurant ) . food great . night Amercicano turn major hot spot . go recently Friday night happy hour hour wait get . great outdoor patio comfortable chair bamboo plant right Embarcadero ... great people watch . the hotel relationship YMCA Bay Club close . be free workout . be actually nice , half block away . Working Bay Club cost $ 10 . hotel complimentary yoga class morning . we recommend everyone look forward stay ! 
 Oct 3 2006 	 Sunday Night Locals Special - Great Deal Great Property ! 	 last weekend , husband spend Sunday night Hotel Vitale celebrate wedding anniversary . experience nearly perfect every way . definitely recommend property ! room & quot ; Partial Ocean View & quot ; room $ 219+tax one night , parking include . least 30 % discount post rate . definitely terrific price overnight , close - to - home get away mind . the room ( Room 449 ) well - appoint , spacious ( unlike lot hotel area ) , view pretty good . could see ferry build part bay enjoy lounge chaise look window . I really enjoy little touch like nice product large size container , extra cushy robe slipper , flat screen tv locate perfect viewing distance bed . we go Spa Monday & quot ; go Glow & quot ; special , $ 85 50 minute . also good deal - also worth . ' ve lot spa , not experience quite like outdoor , rooftop soak tub ! definitely recommend that . my ( minor ) complaint price room service fact in - room coffee service . be coffee - head , pack setup get ready trek Peet 's Ferry Building . $ 18++ room service pot definitely worth ! 
 Sep 15 2006 	 Great 	 stay Hotel Vitale one night month mother . think absolutely great . arrive early ( around 11 a.m. ) give we room promptly despite premature arrival . bed comfortable location perfect . bar downstairs perfect evening cocktail enjoy lovely weather . definitely return . 
 Sep 13 2006 	 Hotel Vitale Fabulous 	 stay Hotel Vitale three night husband 's birthday . note occasion make online reservation greet bottle champagne , chocolate cake handwritten birthday note room arrive . room offer beautiful view bay bridge . design hotel room clean , soft modern high quality furnishing , fresh bath product , flat screen tv , etc . service exceptional . location excellent . one good hotel experience ' ve ever . 
 Aug 31 2006 	 Hotel Vitale winner ! ! ! 	 live SoCal , NorCal native long - time resident . partner decide stay city birthday , want find hotel not standard cookie - cutter major - chain type ( although reward member many ) . not even remember land Hotel Vitale site , instantly hooked . reason : Ferry Building . foodie , know already be go SF , KNOW want Saturday morning , hotel right across street , poise perfect striking distance . browse site , amazed little hidden gem find . book one well room TERRIFIC view ( room 606 ) spa shower , take plunge open mind high hope . the Hotel Vitale disappoint . moment get , modern elegance property wonderful . partner little recalcitrant first ( put , could think hotel , first sight , LESS & quot ; type & quot ; ) get room ... advise hotel partner 's birthday . get ( late Fri night ) , await bottle champagne ice ... Cook be something cheap , either ! impressive bottle Chandon Brut . accompany personalized card manager , well personalized card partner ( housekeeping staff turndown ) . worried minbar , intend purchase food farmer 's market / Ferry Building Sat , nosh throughout weekend . worry -- minibar one electronic - sensor one charge room breathe something ... able remove item make room purchase , replace do . housekeeping seem dig immediately , nothing move touch regard . end purchase lot nibble farmer 's market/ ferry building , spend one night watch in - room movie luxurious feast room justice . superior room closet type armoire couple drawer , well small curtained area iron board iron . closet include two robe , two COMPLIMENTARY pair slipper . bellman quickly rustle two additional suitcase rack set , space problem . window - seat couch cashmere throw , bedding -- - well , good sleep live , not want leave ... receive card invite us free yoga session desire . complimentary & quot ; Fresh & quot ; toiletry well overprice ' honor bar ' one , not impress we enough try . in - room honor bar also include Dean & amp ; Deluca treat , Scharffenberger chocolate , airplane booze , etc . , clever & quot ; intimacy kit & quot ; package * ahem * item case forget something ... give either NY Times , SF Chronicle , ask . paper arrive clever canvas sack hang door daily . be worried clang maid cart ice machine , forget . hotel retro euro - style , call front desk ice . hotel QUIET . overlook Embarcadero , right outdoor bar area , noise never bother we even late - night . able open window degree . the concierge wonderful . ask , give canvas hotel logo shop bag purchase ferry building . something people not mention -- go around back corner hotel bar , be f - line trolley stop , get board huddle masse Embarcadero / Ferry building site . use F - line , literally door - to - door service , need walk maybe 1/2 block . dine Americano , enjoy several drink outdoors . use spa , rooftop space look wonderful . hotel real mean kid - friendly , nice kid 's program family traveler call & quot ; Kids VIP & quot ; , child personalize ID card lanyard give he / her check - in , child one handle check - in procedure , make kid feel special important . think con hotel bathtub super - deluxe view room ( go high - end room ) . shower fiend ( spa shower GREAT slippery product use -- stall mat ) quite happy rainfor - style shower . would go ? already book convention next year ! 
 Aug 28 2006 	 Great Hotel Bachelorette Party ! 	 stay Hotel Vitale bachelorette weekend wonderful . service , decor bed awesome . staff beckon call love sleeping bed ! ! hotel kind enough give we bottle champagne tray gourmet cupcake group super sweet . love rooftop terrace ( view ! ) overall hotel great . overnight park $ $ $ 40 / night complaint .... go bar hotel lot fun well . next time go hotel , go romantic trip hotel good scenario ... great stay overall . thank Hotel Vitale ! ( specifically Nicole Muller ) 
 Aug 22 2006 	 Good Experience 	 wife stay room 455 ( superior water view room ) vitale five night August 2006 . first trip SF . 48 year young live Denver . overall good experience Vitale . plusse -The hotel quiet . rare exeception , rev motorcycle Embarcadero midnight , room service cart tip - over , exception far . room either side we occupy stay , never hear noise neighbor . never hear & quot ; normal & quot ; traffic Embarcadero ( Market Mission street ) .bee new , hotel also clean . as reviewer note , bed extremely comfortable . the room thermostat work efficiently . the computer room second floor three computer , connect printer . fast internet connection . visit computer room several time always least one available machine . Maid service seem visit room twice per day . LOCATION ! love location Embarcadero . Ferry Building right across street , many restaurant also within block two . TIP : want cheap good breakfast , food court office building directly south hotel , across Steuart Street . eat breakfast yes Burger Malts ( yes ( pun ) , serve breakfast 10:30am ) . however , food court close weekend . another Tip : restaurant area , Financial District , close Sunday . plan accordingly . the hotel staff friendly helpful . the hotel offer limo service SFO $ 45 . taxi ride SFO $ 42 . question : offer limo service SFO hotel ? might good question ask arrive , limo obviously much comfortable taxi , price . the view room advertise : Bay Bridge , bay , Ferry Building right . Bay Bridge , light night , quite nice . want close drape night . say , drape close block light . there plenty electical outlet desk . handy cell phone charger laptop . minus - previous reviewer note , dresser drawer room . closet ( approx 3 - foot wide ) , plenty hanger . ( small drawer closet . ) one must definitely live one 's suitcase . other comment - roof - top area hotel amazing . see many guest use , under - utilize . besides table chair , propane heating device roof area keep one warm , , view quite nice . suspect hotel employee would well start one propane heater . wish take advantage use roof , heater least once . the window room open . the mini - bar sale toiletry comment reviewer . silly overprice , non - issue we . never open mini - bar . the plasma tv quite nice . besides usual local channel , ESPN , CNN , Fox , USA , TBS , TNT , etc , pay - per - view movie available , include first - run adult theme .... & quot ; Free & quot ; tolitrie include standard shampoo , lotion , etc . hair dryer bathroom ( locate bag underneath sink ) .check - out time noon . ask receive 1:00 check out . we visit Americano Restaurant . weekday evening seem crowded . read hear good business fincancial district crowd work day . seem true . the chime Ferry Building clock tower begin ring 8:00am , every thirty minute thereafter . I understand complimentary coffee lobby certain time , even bother . morning walk across street Ferry Building go Peet 's Coffee . short walk also enjoyable ; see city come life . aforementione food court also several place buy coffee . this pricey hotel , plusse , especially location , make worth price , opinion . note hordes tourist Union Square Wharf area . deal constantly crowd seem worth premium . we enjoy stay would gladly return Vitale . 
