Great 	 recently stay daughter . really nice hotel downtown location . Close Soho , China Town Greenwich Village . subway 5 min walk Uptown Manhattan . staff friendly helpful . would recommend hotel . within 20 min walk financial district , World Trade Centre Staten Island Ferry . great Value money , good restaurant . room clean although big , everything could want . want drink central tea / coffee make service floor . 
 May 10 2007 	 beautiful hotel kid - friendly 	 use live neighborhood , shop flower market use hotel build . ' ve always admire tribeca Grand afar , ' ve move away NYC , ' ve chance stay . go long way make NYC far pleasant agreeable experience live ! plusse : beautiful hotel . sound mask system adjust external noise hear . supply pet goldfish , son * adore * . room small , perfectly adequate three we . staff kind attentive . room serene & amp ; clean . bose speaker ipod . negative : little hard navigate website reservation purpose . example , web , keep say none room allow child & amp ; book second room ( 20 month son ! ) . know not seem rational , call able make single room reservation without trouble . annoying waste time computer try figure . 
 May 10 2007 	 always fantastic stay 	 third time ' ve stay Tribeca Grand reason keep return know relax guarantee flawless service . ny famous hotel - ' ve sample quite , many high price range . one top every time term ease convenience . its beautiful , be sure meet polite , friendly staff preference record previous stay . check easy present credit card , point nobody bother unless request something , case deal promptly professionally mistake . this particular trip spend first half week St Regis book family also stay . family leave city could not wait check head back tribeca . contrast noteable - one uppity staff make long trail error ( even possible 3 day ? ) , check tribeca Grand breath fresh air . recommend highly enough . expect good service somewhere cool ? ! try - disappoint . 
 Apr 29 2007 	 love 	 upgrade Grand room lovely - fabulous view , enormous comfy bed , great decor bathroom . find white noise system work well we top floor maybe help ! staff helpful friendly even manage get we cab street gridlocke Saturday afternoon . vibe trendy hotel pride long queue nightclub go past bar lobby Friday night . go atmosphere part ! 
 Apr 28 2007 	 grand price 	 book Tribeca Grand due 's proximity venue tribeca Film Festival . amazing place stay NYC $ 400 per night , proximity activity reason stay . price , enough value . bright spot , list side long . issue front desk , repeat three level personnel simple billing matter resolve . room small unexciting . clearly favor bar / lounge resturant term staff attention detail . look burger , be fine want Filet , go around corner Pepolino ( italian ) . wireless internet room inexpensive ( $ 10 per day ) charge computer wish access . go lobby free wireless . use find room speedy connection . lobby wireless painfully slow . plus side , like brown decor , love place . not , really stay elsewhere . doormen hotel extremely helpful cute well . doorman give we well resturant recommendation concierge . hat boy . stay 8th floor neither bar / lounge noise subway / street noize bother we review . book hotel reservation online discount pricing check often phone line low price stay . price drop book stay top , able get low price reservation . recommendation .... value Embassy Suites around corner . 
 Apr 11 2007 	 Trendy friendly 	 book Tryst Tribeca package ( include breakfast room fun gift like early check - in late check - out ) upgrade executive room huge , lovely decorate view ! ! ! huge window , almost window wall , great bed linen , nice bathroomthe negative point mentionne review , noise / music come form atrium eveningeven sound reduce system litlle annoying , furthermore put music loud 4 guest atrium ? ? rest everything perfect , super location want travel metro ( 5 line pass ) friendly staff ( little bit less bar ) would surely come back 
 Mar 27 2007 	 tribeca Grand ? never 	 positive hotel champagne upon arrival soft towel . , bad experience . & quot ; recently refurbish renovated room & quot ; ironically cheap rate ( $ 324 ) . think know -- awful musty / mildewy smell , mostly bathroom also detect vent system night . call front desk ask another room tell none available except smoke room . believe room must recently refurbish due kind water damage stench still . 2nd floor directly nightclub , loud even white noise machine build room . every often , room tremble along loud rumble . look window street one level , notice sidewalk subway grate instead . every time subway go underground , feel hear - thru night . couple little detail -- like leave one chocolate pillow . suppose split 2 ? also valet park car garage 5 block away think okay change station Sirius radio - could not leave station alone 5 block ride ? live across river come NYC overnight several time year like try new hotel . one would definitely stay , recommend . 
 Mar 15 2007 	 Sweet Stay ! 	 get benefit hip NYC hotel , without accompany attitude . attention detail , smile , answer question good sense 's go town . great choice . 
 Feb 26 2007 	 almost quite . 	 husband want night away kid book room Tribeca Grand . first , great . like small size hotel , great location etc . even great white noise system use cancel noise city ( thought ) . 11:45 pm , white noise system break music bar outragously loud . call reception send technician room 12:30am clear machine break . move room well . television not work new room . the hotel market bar scene place go weekend , clear priority make bar crowd happy . design hotel atrium , noise travel right room ! many great place stay NYC would recommend Tribeca Grand . definitely will not stay . money , smooth . 
 Feb 20 2007 	 fabulous hotel 	 fantastic stay Tribeca . concierge service faultless book we amazing restaurant . room wonderful large ! fault breakfast bed great end go breakfast . also cocktail bar ready mix really want well make cocktail price pay . say would highly reccomend hotel . 
 Feb 19 2007 	 great time 	 take advantage package hotel offering include champagne upon arrival , breakfast bed , complementary drink bar , etc . check - in check - out experience great . staff cordial helpful . fact , concierge make we last minute dinner reservation turn one good restaurant ' ve ever . plan return hotel every year . 
 Feb 11 2007 	 exactly look 	 stay long weekend January love . arrival hand champagne package also include candle room , chocolate cover strawberry complementary cocktail . room not big , well appoint big flatscreen , cd player cool selection cd , pet goldfish , etc . complimentary concierge service brilliant . manage get we great restaurant Friday restaurant week restaurant book London lose reservation . even Saturday night 6 pm manage get we 8 pm table STK . impressed . usual tourist location prepare pay regular cab ride want go around Manhattan , hotel make . great bar scene well , noise not problem . 
 Feb 6 2007 	 Fabulous Stay 	 Loved Tribeca Grand ! bar locate many time ( Church ) decide stay last trip ny . new favorite place ! checked greet pamper hot towel refreshingly festive , much need ( long flight ) glass champagne . room comfortable notice extra make stay absolutely wonderful ! background noise instal every room drown sometimes loud noise go along hotel stay guest nearby . sleep like baby ! brunch delicious late night scene fabulous left friend nearby haute go back hotel club cocktail late night snack . highly recommend Tribeca Grand ! ! 
 Jan 24 2007 	 LOUD ! ! ! atrium style hotel popular bar lobby . 	 give neutral rating hotel sure people look , definitely I . due delayed flight , arrive hotel 1:30 Friday night -- -- surprised see loud popular bar lobby -- -- would possibly problem hotel , atrium style build even though room one upper floor , could clearly hear beat bar 's music . room silence machine create white noise ( i.e. , static sound ) suppose cover noise ; noise static bother too . luckily pack earplug ( always , case encounter something like ) - , since tired , fall asleep quickly . to hotel 's credit , next morning front desk extremely understanding say could stay another night becuase noise . also hold bag assist we find another hotel . although push we sister hotel , Soho Grand , suggest end stay . post hotel soon . in summary -It loud ! loud ! , LOUD ! ! ! ! good location nice room friendly professional staff . 
 Jan 16 2007 	 wonderful stay 	 although stay brief wonderful . greeting doorman ; front desk bartender everyone friendly , helpful make stay memorable . room service prompt generous . light we old eye could see would perfect . 
 Jan 1 2007 	 nearly quite ... 	 ' ve stay number 4 - 5 star hotel past unfortunately Tribeca Grand fail live upto billing . whole hotel nicely appoint . room nicely decorate , lounge also good . main problem staff hotel seem interupted pose guest ! presence seem hinderence front desk personnel whenever ask question . arrive weigh luggage doorman stand watch we struggle front door without offer help . check receptionist seem aloof we well . hear visitor hotel receive complimentary drink upon arrival . not offer we . we order room service meal first night hotel standard cooking disappointing . far level expect hotel 4 star . not bad , lack level care attention flavour . we venture bar later stay stop one staff ask require seating . say yes go find ' hostess ' take we seat approx . 3 step away stop we ! ! ! hotel seem suffer lack confidence staff . People not seem know be . also seem many staff interested preen rather attend need guest . its shame not firm hand control hotel . great facility , need decide whether run benefit customer rather staff . 
 Dec 20 2006 	 newly Renovated room make Pleasant Stay 	 check hotel show small , somewhat depressing room . ask something bit big end newly renovate deluxe king room ( complimentary upgrade ) . room nice duvet , Frette bathrobe large fluffy towel ; wireless internet , bigscreen tv modern , sort masculine color scheme . like room service good . would consider everything excellent 4 star hotel -- compare favorably 4 star NYC . obviously quite good 5 star . 
 Nov 27 2006 	 enjoyable 	 lovely hotel , fantastic food helpful staff . lovely extra - goldfish room , top rate music equipment provide , complimentary paper morning , chocolate pillow night , yummy bathroom product . also great location , six block West Broadway /Spring Street shopping district Tribeca Theare / bar , cafe etc .... can not wait go back . 
 Nov 7 2006 	 worth 	 stay two night business trip bad hotel experience ever . bathtub drainage badly clog first attempt take shower . call desk expect kind apology room switch , simply say & quot ; oh yeah will call engineer . & quot ; maid try enter room without even knock . ironically , windows street soundproof minimal noise street ; hear occaisonal honk . noise within hotel , however , unberable night . especially weekend , hotel turn club something loud music noise go well past 1 am . their service restaruant also horrible . sunday brunch wait 5 minute even seat one breakfast not bring something order appear check . great . overall , hotel 's forte downtown location level security price ( $ 600 + per night ) find well hotel elsewhere ( Sofitel favorite excellent amiable service ) . 
 Oct 26 2006 	 modern classy hotel 	 Tribaca Grand lokke New York . the interior quite dark , low lighting , fixture lobby , bar dining area modern chic . could not fault bellhop , receptionist conceirge throughout stay , helpful smartly dressed . Jason , concierge , team helpful we whenever question . the room good , view hotel interchange , view have . the bed FANTASTIC , solid HUGE compare home . got great night sleep trek NY city day , help blackout curtain noise minimiser . the bathroom room need serious updating , tile crack shower fixture go wall , slip , expose hole wall . paint job dodgy ( would complain painter house ) cosmetic problem . large bathroom , top class hotel give tiny tiny bottle shower gel , pet hate . minibar price joke , not touch bar price match , one glass wine small beer $ 20.great location subway , red blue line within 2 minute , even close dive Moondance Diner ( see Friends Spiderman ) . 's shack pancake soooooo good . if tab company , would recommend , would say eat drink staying spouse family bill would quickly mount . 
 Oct 2 2006 	 expensive pretty good value overall 	 great location , close subway line short walk downtown amenity , SoHo , Wall Street , Chinatown , Lower East Side , Little Italy etc . lay back efficient , friendly , helpful accommodate staff . bed extremely comfortable - room huge NYC ! ! fantastic opulent Sunday brunch bargain $ 29.00 . like design , like vibe ; preponderance young - ish fashionista / medium type sprinkle weekend suburbanite . get pretty hectic Saturday night bar - not always want hang problem find plenty decent place neighbourhood . good place thing . load great touch - cd BOSE wave player room , free bike hire , unexpected welcome glass champagne arrival . watch price room service minibar - silly ( $ 10 small tin nut ? ) - definitely stay . 
 Sep 30 2006 	 tribeca trial Error 	 Booking new hotel favourite full always game trial error ... tribeca get good mark 's location , interior design , restaurant door service ... star attraction hotel always room .. , disappointment . first good point ... location . Close Soho , low manhattan great restaurant . door staff star show ... knowledgeable , friendly , good look willing help ( tip monkey ! , US unusual ) . breakfast menu great , service friendly food delicious ! interior ... post - industrial chic - emphasis chic , expose iron metal / wood ( brown ... could use well lighting hall / corridor ) stunning atrium . let ... room . small , include bathroom metallic industrial appearance .. light poor , faux Paul Smith toiletry bonus . towel small , bit rough cotton . room , bed comfortable noise reduction filter ( necessary friday night atrium bar noise reach trendy - party crescendo ! ) work ... thankfully ! , overall ... feel like 70 's beige office turn hotel experiment . expensive ... impressive thing return guest programme get goldfish bowl w/ live goldfish room choice pillow . , return get suppose . staff friendly efficient ... business centre joke ... cramp former utility closet tuck behind concierge . charge $ 15 day use internet closet keep walk back forth front desk ' centre ' get / return key ... concierge control business closet .. desk right next door ! ? ! ? spoil business traveller , need stay ' hippest ' hotel .. , end day ... bedroom important part Tribeca Grand really average . want entertain impress guest , excellent choice lobby / atrium bar . however , would opt Soho House Gansevoort want perfect combination form function impress . even sister hotel Soho Grand rate well ... , tribeca decent fall - back hotel make change chain . 
 Sep 17 2006 	 Loved Hotel ! ! ! 	 wondeful stay staff accommodate . 
 Sep 15 2006 	 would definetly stay 	 stay week recently work / personal trip little hesitant give review noise etc decide stick reservation . great stay , moment arrive find staff attentive pleasant . order room service one night great , call tell flavour ice cream not available , think hilarious . find room great size , stay shoe box new york although not spend much time room , 's home week want feel like bit space , . not find room noisy , fact amazed loud lobby seem till walk door disappare behind closed door . bar nice , drink one night breakfast one morning , good . hitch come check - out check bill large bar bill charge room mine , deal efficently , genuine mistake quickly new bill . would stay , location great shopping , bar - short taxi ride meat packing district , great bar eat , quiet enough not noisy outside hotel . do not touch mini bar - silly price , nearby store stock water snack week . would also make sure know address hotel , taxi driver drop friend mine Soho Grand instead whilst short walk , find driver 's good know address - 6th Ave Church St ought ... 
 Sep 7 2006 	 5 * 	 little complain regard establishment . stay 3 time say service receive constant 1st class . stay occasion Labor day weekend one Grand Guest suite . traditionally busy time , yet staff make we feel like people stay . service request handle promptly ( importantly ) accurately . staff naturally friendly , welcomingly relax always available . it trouble free stay ( due problem shower ) rectify issue within 30 minute raise . force find downside stay would ( begrudgingly ) complain air con system , time seem mind ( even set would eventually find settle chilly 69f even set 75f ) . probably user error.1st class hotel always advise . 
 Aug 25 2006 	 Pleasant Experience Tribeca Grand 	 stay hotel business trip . think location great close 1 A / c / e subway line ( convenient downtown office ) . bed super comfortable room surprisingly quiet ( 7th floor ) . thing not like bathroom . although fully functional , try trendy cold feel . room fine size , quite happy breakfast menu lobby restaurant - happy accommodate special request ( change side , type toast , etc . ) . staff also friendly towards colleague 's young child visit one morning . one negative - true hotel charge internet access - charge access . think part include amenity - least reduce rate people stay day two . 
 Aug 20 2006 	 really enjoy stay Tribeca Grand 	 stay one night tribeca LOVED every second . arrive 3 hour drive give glass champagne along hand towel freshen . nicely surprised room . lovely room rise bed , strawberry chocolate great view rooftop garden across street . convenient place stay shopping dining . also next day go Tenament Museum Orchard Street - would highly recommend tour ancestor imagrate country . staff extremely helpful friendly . would recommend hotel anyone want comfortable easy place stay area interesting lot . 
 Aug 18 2006 	 Wish could stay long ! 	 love look hotel moment walk lobby . bellhop friendly , front desk staff extremely helpful . prior stay , read review mention lot noise- expect . however , not hear noise room . perhaps always enjoy cd great stereo . companion also love hotel , hope stay next visit NY . tiny issue receive unrequested wake call first two day stay . notify front desk , issue automatically resolve . the area around hotel great restaurant , cool little bar walking distance . subway close , concierge helped find place want go . love hotel would recommend anyone could afford . 
 Aug 7 2006 	 Excellent hotel 	 wife spend past Saturday night hotel great time . weekend package include breakfast bed , NY Times 2 cocktail . upgrade high floor room much appreciate . the room large NYC standard standard hotel outside NYC . view ok top floor 8th floor view NYC height great . bed comfortable plasma tv nice . bathroom interesting stainless steel . the hotel staff excellent . helpful . bar trendy 2 cocktail excellent consider value $ 13 , free token great . the hotel quiet area low NYC actually excellent location walk take subway . Canal St. shopping 3 short block away great shopping restaurant SoHo 5 6 block away . overall , would highly recommend hotel . 
 Jul 31 2006 	 will not want leave ! 	 moment arrive wonderful boutique , know fantastic weekend . level service receive set new expectation level hotel judge . room impeccable every way , hip trendy vibe well - conceive amenity offering . tribeca Grand perfect mix soft sensual lighting edgy NY vibrancy set perfect tone either business pleasure , staff friendly , accommodate professional . kudo guy ! ... love package ! 
 Jul 29 2006 	 Loved Tryst tribeca 	 stay Tribeca grand last week love everything . staff could not enough we , wonderful . Tryst Tribecca special fantastic early check late check . champagne nice touch rose , candle , goldfish 2 free drink bar breakfast bed include . room nice size ( expect small ) perfect . modern update clean . one night Trbeca Grand highlight week New York . 
 Jul 27 2006 	 good hotel downtown NY . one favorite hotel US 	 spend Saturday night ( ) tribeca Grand hotel inNYC . wonderful experience check - in check - out . every employee kind , courtous helpful . room arespotless amenity like flat screen television cd . we look forward next visit hope soon . 
 Jul 25 2006 	 hectic NYC ! 	 original hotel NYC Midtown Manhattan close touristy thing , service so - so impersonal . however , switch Tribeca Grand , lovely experience . close great shopping accessible subway , etc . overall , room , feel though someone 's ( well - decorate ) home -- carpet soft clean , linen nice , plasma tv make husband happy room service great ! however , attribute make stay we service . exceptional . staff make life much easy stay highly enjoyable . already plan next visit , include hotel . 
 Jul 16 2006 	 overprice tired tatty 	 expensive . probably height cool design . desparate need refurbishment . service good room horrible . 
 Jul 10 2006 	 Great Engagement weekend 	 girlfriend stay hotel tribeca Tryst - a package engage couple . hotel , tribeca tryst package , staff amazing . complaint . breakfast bed delicious great shopping afterwards worth price hotel . bed comfortable ever experience hotel . 
 Jul 6 2006 	 great hotel 	 stayed try somewhere else advice - alternative dreadful shift tribeca one night . compare other good / great value , room good size , fitting great ( big plasma tv etc ) , bathroom actually use ( ! ) , , helpful staff ( show NY indifference traveller ) . get room , breathe sigh relief & quot ; thank goodness & quot ; . will need go outside food much choose Soho nearby . subway 50 m away get anywhere quick . stay four time we compare even flash hotel ( get put travel biz ) , keep come back . REcommended + + + . 
 Jun 28 2006 	 Loved Tribeca Grand ! 	 husband stay Tribeca Grand three night first week June although not want pay $ 511 per night everything like area splurge ! worth ! right around corner Canal Street love shop bag watch fun . one block away subway could get we anywhere want go near kind fun little restuarant include Landmarc eat Tribeca Bar hang . husband hung Busters garage watch Carolina Hurricanes play feel completely safe walk home ! even stumble Bubble Lounge one night cool ! hotel staff friendly accomodate . give we umbrella day rain concierege satff helpful find we place eat . although comment room loud bar , not find case , noise system drown everything except husband 's snore ! definitely go back tell friend ! go back also get gold fish , fruit cheese etc . 
 Jun 23 2006 	 Perfection NYC 	 four we stay two bedroom suite Tribeca Grand June 11 - 14 . arrive early , excellent staff front desk check we right away give room 6th floor . great room ! extremely comfortable , spotlessly clean , huge window view activity Manhatten neighborhood . although late sleeper , ( bed comfy get early ! ) , never bother housekeeping knock door , room always make return hotel . staff member deal nice , go way helpful , even retrieve cellphone leave cab , brine right room . room service excellent , food arrive quickly , steak frite chocolate cake die . hotel kind wrap subtle , luxurious comfort , course make one eager go back experience . worth every cent can not wait return . 
 Jun 3 2006 	 Fantastic Hotel 	 stay Tribeca Grand Hotel 22nd May til 30th May 2006.firstly fantastic hotel & amp ; great location . hotel blend surround area , big hotel sign 's clock stand outside hotel name - would'nt think hotel here . the hotel staff brilliant helpful & amp ; friendly , could'nt ask . concierge 's work hotel good & amp ; recommend great eating place we , ( love steak go place call ' the Strip House ' 's pricey well steake 'd ever ) . hotel room simple nothing flashy nice clean . ambudance alcohol mini bar nibble - choice cd 's listen . pay extra booking room view - hindsight need bother hotel tribeca receptionist say there s really much view here . after read much review hotel site , take advice go ' Bubbys ' morning breakfast - & amp ; good choice set we day ahead - try sour cream pancake fantastic . on get around New York buy week subway pass around $ 24 great use subway alot whilst . hotel surround good restaurant also pharmacy road & amp ; great little bar call tribeca Tavern . second time New York & amp ; plan go back soon , weather great high 80 's & amp ; memorial weekend there . so next time go back stay Tribeca Grand without doubt . this hotel & amp ; stay tribeca area meet need - want stay somewhere that s tourist trap noise level Time Square hotel & amp ; surround area . 
 May 12 2006 	 Loved ! ! ! ! 	 horrible experience Jumeirah Essex House move Tribeca Grand Hotel Tribeca Film Festival surprised room available eventhough 1 night . room large NY hotel standard . bathroom large furniture date , modern . extra touch like cd player CD 's room check . staff extremely attentive , especially Eric bellman helpful restaurant recommendation shop . hotel buzzing film festival front desk still accomodate everyone equally . bar / restaurant hotel miss . relax decor nice . location hotel great be stay near Tribeca SoHo , even village . 
 May 11 2006 	 Fun Time .. Great Locale 	 Great Location do not want tourist insanity Times Square . great quiet neighborhood . easy access subway take thing touristy . , walk great SoHo shopping . staff super super nice , helpful ... white noise machine dull sound bar , altho one room break . negative yes Network could not watch Yankee game room ... also , bit put email suggestion Manager share good experience website like one ... go anyway . tho ... great great place enjoy NYC without tourist hell . 
 May 8 2006 	 great week - end Tribeca Grand 	 not know expect , moment walk everyone encounter ( especially front desk ) pleasant helpful . room small well do .... wide screen tv , bose music player great pillow . definitely stay . 
 Apr 30 2006 	 Good Hotel fair location 	 stay Tribeca Grand Easter Weekend . concierge helpful making reservation arrive . front desk bell staff friendly upon check - in well . request non - smoking room , one one newly refurbish floor , really strong smoke odor . nice helpful move we . get stuff together , get back day , we set new room . hassle we . I think hotel good New York , not thrilled location . close walk Soho , really feel except day walk Soho piddle around , get cab get destination . think know go stuff tribeca , could great , go Soho area , stay there . we eat hotel , not know food , drink bar time , service irregular . 
 Apr 27 2006 	 great hotel shame staff 	 stay Tribeca Grand Feb 2006 , disappointed . build impressive - room surround Atrium overlook trendy bar area , really look great ( apart fact close whole Saturday night hotel guest private party ) . room pretty cool spacious ( especially bathroom ) - Bose stereo room etc . main disappointment regard staff , ( experience ) surly , unattentive concerned look good ( ! ) provide good service . ask broken light bulb change room three time weekend , never do . arrive , half use bottle shampoo etc bathroom . nothing terrible , would expect expensive hotel like . tribeca ok , personally would stay Soho somewhere rather tribeca . 
 Apr 24 2006 	 comfortable great rate 	 spend week - end tribeca Grande NYC . rate week - end package well available hotel check , rate quality , room comfortable spacious . price include breakfast complimentary cocktail . travel City past four year visit daughter student , stay Le Parker Meridien , Soho Grande . Parker Meridien favorite , close second . price much less pay visit , hotel , include return guest discount , would never ask . room comfortable spacious , great light . decor contemporary atrium - open hallway lobby plan - make feel welcome secure . staff make effort available interested seeing stay pleasant . 
 Apr 16 2006 	 great hotel 	 great hotel convenient location . 's right heart soho / tribeca / greenwich area . 5 - 10 min walk west broadway / broadway metro round corner . really get feel new york .... hotel staff warm friendly face . concierge helpful & quot ; local & quot ; tip oppose sell tourist package . recommend two lovely little cafe breakfast - Bubbys Cuppin . hotel good vibe subtle lighting . not NY warn hotel room small , room Tribeca Grand perfect . right city break . the hotel bar , Church Lounge always buzz impose noisy . great place drink go out . there film premiere look like staff use ! ! ! 
 Apr 8 2006 	 Nice Place 	 daughter want sample SOHO , Chelsea , andthe Village two day . relunctantly , book hotel without knowledge might get . well . perfect location three area . swell time . hotel staff conceirge top notch . would hestitate stay destination somewhat . 
 Mar 9 2006 	 Excellent ! 	 partner & amp ; love Tribeca Grand . staff wonderful , room great lot add extra like safe room full sized iron ironing board ' white noise ' control . 4 night stay bother either street sound noise bar - can not work whether ' white noise ' thingy huge amount shop / walk do . room good size bed great size ! - bath little small size though 's moan .. walk really easily Soho , China Town & amp ; Little Italy walk 's thing 's Subway within 200metres . would recommend without hesitation . 
 Feb 28 2006 	 Terrific Time tribeca 	 girlfriend book Tryst Tribeca package stay Tribeca Grand last weekend February ' 06 . effusively greet hotel staff , show room hotel 's top floor gracious bellman , even give quick tour several room floor undergone renovation ( soon come entire hotel ) . new room look lovely , room fine , even & quot ; old age & quot ; ( not seem old ) .... package element , gear towards romance , excellent - champagne upon arrival chocolate cover strawberry , room service breakfast , drink house bar - enhance experience . close Tribeca Soho shop well many great restaurant neighborhood offer . , perfect experience one look forward near future . 
 Feb 24 2006 	 Great Hotel 	 great hotel . be get right balance boutique chique functional stuff . also get upgrade request , deluxe room problem , charge ! comfortable stay , nice service great part city base . 
 Feb 23 2006 	 wonderfully romantic weekend 	 husband stay Hotel celebrate birthday . purchase Tryst Tribeca package , give ealry check - in , late check - out , rise bed , champagne toast , drink coupon trendy lounge lobby , coupon room breakfast ( delicious ! ) , chocolate cover strawberry nice romantic thing . nice . room Bose Wave Radio great selection movie date . room think could use redecorate , little stale . everything clean . toiletry nice plentiful . hotel movie 2 week Notice High Grant . nice can not wait another reason celebrate something else . also middle trendy tribeca also hop Soho great boutique shop . love . 
 Feb 19 2006 	 Great Experience Tribeca Grand 	 say spoil stay amazing hotel great experience ! Manhattan HUGE ... although desire stay know name hotel b / c would know quality ... recommend I . I love ! great location ... walk distance Canal , Ground Zero ... short cab ride Theatre District . Great Service , comfortable bed , Funky yet invite interior .... pleasant experience ! hot spot bar hotel overwelmingly huge ! right ! hope stay ! 
 Feb 15 2006 	 see picture - least expensive room 	 make error photo description must correct . describe least expensive room , pay , perhaps due snow cancellation upgrade we despite incredibly low rate . not want anyone disappoint . the hotel good staff ever experience . would anything . one couple ask concierge could borrow snow boot - unfortunately could accomodate request , reflect level service patron come expect , concierge apologize could help . car deliver 20 minute late , due low price not goinig ask adjustment - not , wonderful gentleman desk offer courtesy . time slow , sweet bellboy gentle snowball fight child . it lovely experience . room perfectly clean although absolutely exquisite - standard NYC - size room , carpet little old , room little dim ( could request strong lightbulb ) . be really 4.5 . in - room fax , internet access , Aeron chair wonderful . worry noise , floor 2 room hide behind ( beside ) elevator would block noise . not hear peep , even white noise turn . hotel peaceful respite loud crowd uptown provide easy access 2 subway line . will back , even high rate . 
 Jan 5 2006 	 memorable tribeca Grand 	 wife recently pleasure stay Tribeca Grand . service flawless moment arrive departure . room meticulous . hotel location within easy reach great restaurant decide travel uptown subway literally doorstep . hotel staff constantly smile would go way please . would hesitate stay Tribeca Grand , plan future . treat stay marvelous hotel . Donald Elizabeth Ichton 
 Jan 3 2006 	 well think ! 	 fiance stay Tibeca Grand Dec 30 , 2005 Jan 2 , 2006 could not get reservation Mercer . all talk noise first level bar incorrect problem although 5th floor . 8 floor , ask high go . service great find staff friendly , welcome accomodate without & quot ; New York attitude & quot ; many hotel staff seem have . great bar ( price ) great business centre . concierge also helpful . Book hotel 's website get good rate little goody , like welcome cheese platter free local call . I would definitely stay Tibeca Grand ! 
 Jan 2 2006 	 Loved Tribeca Grand 	 stay tribeca Grand two night New Year 's Eve party . Grand King room top floor ( 8th ) . room good size NYC . Bose stero CD 's nice touch . noise atrium mention poster bother we . walk SoHo Grand well , care lobby / bar area . New Year 's party blast . would definitely stay . 
 Jan 2 2006 	 Great Hotel ! ! 	 husband come back spend New Years weekend NYC tribeca Grand HotelThey offer different package website purchase 1st class package . $ 399.00 first night 2nd night discount $ 221 , New Years weekend think steal . check , offer we glass champaign ginger syrup twist . bellman take bag head atrium , incredible . 's modern trendy home - y feel . glass elevator overlooks atrium , take we room . room nice size decorate modern simple . internet access work station right room include fax machine . also 24 hour business center computer main level . we receive complimentary plate fruit chocolate first night nice touch . we order pizza room service one evening room 25 minute . menu not price far room service go . Sunday morning brunch set atrium world ! ! $ 25.00 person plus drink total bill brunch 2 us $ 77.00 . hotel accomodate pet . vet pet service available . even pet menu order think neat . staff extremely helpful . anything want , could make happen ease . it 1 block , C , e train travel convenient . 2 block canal street shopping short walk Little Italy . I ' m one get star strike , husband wait friend lobby Paul Sorvino ( actor ) come daughter get room . kinda cool staying hotel . ; ) live NYC 7yrs since ' ve move Chicago , stay quite hotel around city come visit . tribeca Grand far favorite . plush yet affordable 's easy get around city . great neighborhood , great food , Great Hotel ! ! 
 Dec 21 2005 	 slightly average 	 Believe , $ 1700 ( tax include ) bad 4 night quality hotel low Manhattan Xmas high season . big beef small size room low water pressure shower . Friday Saturday night get quite noisy popular lobby bar building 's central atrium design . staff fairly friendly helpful . room service certainly nothing stellar . overall adequate stay think will try someplace different next time . 
 Dec 15 2005 	 cut 	 spend wonderful weekend girlfriend Tribeca Grand . service second none hotel real & quot ; wow & quot ; factor moment see centrepiece hotel bar - Church Lounge - exudes cool . light sleeper may advise take ear plug anticipate distract soft murmur bar patron hear hotel room , look taste heaven , try one cocktail . 
 Nov 29 2005 	 wonderful experience Grand 	 husband decide spend 10 year anniversary New York City . decide tribeca Grand reason ... 1- pet friendly ( unable get dog sitter night ) 2- away Times Square ( love tribeca close Soho , etc . ) 3- love & quot ; Tryst Tribeca & quot ; deal ( include early check , 4 p.m. check , breakfast , complimentary champagne toast arrival , 2 drink , chocolate cover strawberry , etc . ) . get take advantage include ( due timing , etc.- definitely next time ! ) . consierge service stay frequent contact we prior stay help we plan special occasion , confirm dinner reservation , etc . stay , hotel staff could not courteous ! ! hear noise outside room time ( overnight Friday ) . loved & quot ; white noise & quot ; control room- could make louder soft like ( never leave home without sharp Image sound machine , nice surprise ! ) . check in / out take almost time , staff prompt help we bag get car park retrieve timely leaving . room clean comfortable . consierge available time continue give we wonderful guidance throughout visit . highly recommend hotel , wonderful staff terrific location ! ! can not wait return another & quot ; Tryst ! ! & quot ; 
 Nov 26 2005 	 Disappointing 	 never cease amaze little one get ny usd $ 400 per night . disappoint Tribeca Grand , good reason . one help bag arrive depart . in - house food average , mention room service arrive without cutlery . room small clearly decorate ' on cheap ' . small important observation ; tv remote control impossible use . turn television every time want change channel . also $ 10 daily charge wireless internet connection . kid ? scratch rate ' m afraid . 
 Nov 16 2005 		 use great place fall well average . stab guest outrageous rate weekend , $ 600 230 sq ft room - Four Seasons not even go high . also seem fallen victim high staff turnover leave classless , slang mouthed , outer bourrough , & quot ; ' m cool work & quot ; staff . problem problem : never bellman , housekeeping 's & quot ; knock quickly enter every 20 minute & quot ; , basic fumble behalf staff . travel New York West Coast usually stay Mercer . would advise pay extra $ $ $ ( maybe less high TG 's rate ) stay 60 Thompson Mercer room large , bar less & quot ; Jersey & quot ; , staff respectful . 
 Nov 1 2005 	 will not come back 	 stay TG 4 night business trip . convention start Sunday , spend weekend New York . room top floor could sleep noise downstair well noisy neighbor 4 . call security 4 am go suite next door let know noisy . room extremely small . the hotel try hard trendy show quality . find decor dark depressing . will not come back hotel . Soho Grand much well hotel price pretty much . 
