good 	 ' ve stay Ridgemount nearly 20 year -- travel alone , take group student SUNY Geneseo , play friend . Mrs Mr Rhees , owner , son long - time employee make hotel home - away every sense word . true , room well other , clean clean daily , warm winter , friendly small room . be free tea / coffee machine lounge . breakfast wildly generous wait - staff kind tourist not quite know difference B & amp ; b restaurant . leave purse , laptop , first - bear room doubt everything return . the location priceless . several major bus line , 2 short block two Tube stop , long block British Museum , big Waterstone 's world right across street ! Bliss ! ( eat Wagamamma leave almost New Oxford St. ) small fee laundry -- priceless service day carry - on baggage ! Drop morning , pick night = budget traveler 's delight . five time ' ve take group student January study - abroad class 's Ridgemount make possible . small group ( 10 - 12 ) SUNY staff one faculty member admin person , be much work without net faculty member . ridgemount net . know kid get 24/7 good advice London travel help main desk , know safe time around hotel , Rhees family pitch help sort situation . Mrs Rhees bring tea juice room sick student class Canterbury son drive we hospital another occasion . wonderful family genuinely want help way possible . ( provide shoulder cry tired / exhaust / piss - off professor . ) people write bad review may know hard find clean , safe , affordable room middle London . the two good room # 20 ( small double one flight garden side ) # 2 , tiny single first landing . ( # 2 bath microscopic , entire west wall room giant window opening back garden summer 's like sleep terrace -- fabulous . ) street side noisy summer ( duh ? ) winter window close , 's problem . many room without bath , nice option break . share facility extremely clean . bed great real cotton sheet generous blanket -- need , heat generous ' ve every experienced 2 + decade constant visit London . stay long couple week , go London House ( Goodenough College / Club Mecklenburgh Square ) option expensive not academic / member . I really can not say enough good ridgemount . stay ! 
 wonderful stay clean great service ( small room ) 	 stay Ridgemount four day , room private bathroom , happy . pick base favorable review Tripadvisor . excellent thing hotel : - CLEAN -- one speck dirt anywhere room bathroom . housekeeper clean room every day standard.- Breakfast -- serve downstairs 7 - 9 . unlimited juice , hot drink , cereal , toast , jam , plus hot meal , usually subset thing : tomato , egg , cheese , ham , sausage . be vegetarian , will modify dish you.- Friendly -- owner staff meet exceptionally friendly , eager help , seem really enjoy jobs- Free luggage storage -- useful last day- free internet -- wifi reach room 3rd floor- free hot drink day- cold soda 50 pence- amazing location -- 5 minute British Museum , less 5 minute Tube Goodge St. 15 minute walk St. Pancras , train Paris . thing know come : - room small- noise Gower Street- elevator , carry luggage stairsother information : - hotel provide bar soap , shampoo- & quot ; disturb & quot ; sign -- maid knock door see could come clean room ... though will admit sleep bit lateall , want clean , conveniently locate , comfortable ( albeit small ) room , reasonable price ( London standard ) , ridgemount place go . 
 Jul 25 2008 	 enjoy much ! 	 boyfriend stay ridgemount 11 day June 2008 . find location convenient - 4 tube station close , not change line much - pick one need . Oxford street ( shopping area ) Regent park also within 15 minute walk . room clean large enough accommodate two people : double bed , two night - table , armchair , tv , wardrobe . bathroom not large , tiny either . towel change every day . tv couple channel , not watch tv , really . the staff great . always try help interested well - being . huge thank : - ) thing so - so breakfast . combo egg , bacon , sausage bean every day . personally not eat large breakfast , cereal orange juice hotel pick cup coffee nearby Starbucks every day . the price great , . friend stay & quot ; big & quot ; hotel price , say hotel well every way . so , need well - locate , cheap nice place stay London - look ! 
 Jul 23 2008 	 Lovely Choice 	 stay Ridgemount 20 22 July 2008 triple ensuite room . book review TripAdvisor not disappoint . room look Gower St clean . staff helpful able recommend restaurant last night London . breakfast good , fill serve smile . leave , daughter stay husband move luggage double room helpful expect . location first rate great tube station around corner many fine restaurant within walking distance . next trip London definitely Ridgemount Hotel . 
 Jul 15 2008 	 Second Home ! 	 Ridgemount Hotel EXCELLENT place stay next trip London ! whether travel group fly solo , feel comfortable charming hotel situate Central London . everyone work helpful , knowledgable , interested guest . 's ' ve stay throughout past 8 year . ' ve even bring student spring break . room clean eat carpet , english breakfast certainly something look forward start day . plus , be much right around Ridgemount ( Waterstone 's bookstore , Russell Square , university , sundry shop , excellent restaurant , especially British Museum ) . not even leave street get taste London 's offering . 
 Jul 10 2008 	 good value hotel helpful owner . 	 spend 4 night Ridgemount June 8 - 12 . arrive Euston station , able walk hotel 15 minute . room 2nd floor , expect , small - double bed , overly cramp , comfortable . bathroom quite reasonable size ( London budget hotel ! ) , , could turn around without fall toilet . even shelve bathroom - unbelievable luxury ! everything nice clean . hot London stay , air conditioning , provide fan window open , fine . window overlook back garden , ask room away busy main road . fairly quiet time . small lounge big screeen tv , well free internet access ( find bit temperamental ) , ( free ) coffee machine , give good workout every afternoon . breakfast good juice , good coffee , bacon , egg , tomato ( sausage bake bean ) & amp ; endless toast & amp ; marmalade . breakfast staff really lovely , Mr Reece ( owner ) cook brekkie . Mr & amp ; Mrs Reece helpful every day hint go get around - even see Tower bridge open night thank host tip . hotel 5 minute walk Goodge St. underground , lot cafe & amp ; restaurant near station , well & amp ; food & amp ; Tesco food outlet . walk Oxford St. 15 minute several time . choose hotel proximity British Museum - minute walk . find ideally situate , great time . 
 Jul 9 2008 	 Loved - clean 	 sister stay Ridgemount three night June - July 2008 . good review site true ! * arrive little early check check - in time * room toilet / shower sparkle clean comfortable * staff , particularly proprietor Mr & amp ; Mrs Rees , unfailingly polite , friendly helpful , sometimes go well beyond would expect normal hotel staff * look forward full - service english breakfast every morning * free internet station lounge , along tv , game , book * free coffee tea coolest drink dispenser ever see * Nearest tube station 3 - 5 minute walk away . also walk British Museum 7 - 10 minute . I definitely try stay Ridgemount next trip London , definitely recommend place other , particularly budget . 
 Jul 1 2008 	 Great Place Price ! 	 husband stay Ridgemount Hotel late April 2008 ( on - a - budget ) anniversary trip . price , place fantastic . certainly not fancy , clean , safe , great location service fabulous . major flight delay , get late night kind enough stay open we . in - suite room , share restroom . room small , uncomfortably . breakfast great enjoy every morning . computer internet access handy . never really figure coffee machine downstairs , ok . three day London able walk take underground every major sight want see , include airport . hotel conveniently locate seem safe neighborhood . trouble find place eat near hotel ( especially late night ) , make work . overall , highly recommend hotel anyone travel budget . excellent choice price would stay return London . 
 Jun 28 2008 	 great bargain ! 	 stay 5 night June , wonderful stay . come Paris Eurostar , hotel close St. Pancras station , taxi fare cheap . arrive check - in , find room already available . staff wonderful , 's place get know people stay hotel . lounge front computer ( free internet ! ) , tv , book game . full english breakfast ( free ! ) every morning also great way start day . owner always ask plan breakfast offer we direction tip save money . get room share bathroom , problem . sink room , several shower toilet floor , always clean . room face onto Gower street , traffic noise not bad ( bad loud spaniard staying room next we ) . would definitely consider stay return london ! 
 Jun 17 2008 	 NIce Location staff ! 	 husband stay Ridgemount hotel week early May . hotel 5 minute walk distance tube station 1 minute bus stop . course , walk Oxford street sometimes nice day . british museum near hotel visit morning avoid tourist . stay room top floor tough bring suitcase without lift . scared step might unstable . back lawn yard hotel small pretty flowering . love seat bench . 
 Jun 12 2008 	 close Multi Tube station 	 stay hotel end May 2008 . loved . owner staff knowledgeable accommodating . get check problem let we drop bag could start explore city . bed comfortable quiet . 
 Jun 6 2008 	 mayjah ! 	 friend stay Ridgemount May totally awesome room accomodate comfortable , location golden , pretty much settle right middle everything - site transportation ! food amazing last least people even well hospitable , knowledgeable .. much thank Allan ! plus internet access fun game main common room keep friend really entertain ! ! .. know ever go back London question ... I m stay Ridgemount Hotel ! 
 May 23 2008 	 love 	 stay Ridgemount Hotel couple occasion find service Bloomsbury location superb ! love Goodge St station close accessible , also number museum , park shop within minute walk . family - run atmosphere comfort stay far home . everyone helpful recommendation city love morning breakfast ... great start day full trekking sight - seeing ! 
 May 21 2008 	 another great Trip Advisor find . cheap Cheerful Friendly Convienient 	 book one night stay January 2008 base tripadvisor review not disappoint . the review bang , nice place good location great price . we get tube 5 minute walk hotel . arrival staff friendly take we room . grant , big decor little date , immaculately clean . bathroom glisten . the breakfast nice & quot ; full english & quot ; go treat . allow we leave bag loungue check out . Everytime walk past reception ask go tell good way get . could not fault they . the hotel 10 min stroll British Museum go see Terracotta Army ( slight disappointment ) .All , great base London sight seeing from . anyway , another great Trip Advisor find . cheap , cheerful , Friendly , Convienient Spotless . 
 may 19 2008 	 Loved Ridgemount Hotel 	 recently spend week London find Ridgemount Hotel excellent choice . location convenient ( 2 block British Museum easy walk two Underground station several bus line . room pleasant , staff friendly helpful , ( include ) english breakfast pleasant tasty . drawback ( least old folk like we ) would lack elevator . would certainly choose hotel future visit . 's even computer internet available guest ' use . nice place excellent value . recommend . 
 May 7 2008 	 would never stay anywhere else ! 	 husband love travel London Ridgemount always stay . clean , comfortable ; great breakfast , excellent location . however , good aspect ridgemount assistance receive holiday plan - obtain football ticket , delay may tube , local restaurant , etc . ridgemount really make travel London easy special . 
 May 2 2008 	 Clean Comfortable Affordable 	 base info TripAdvisor decide book 2 room . Contacted Hotel website receive prompt reply . be impressed willingness meet need . stay Ridgemount March three night . 2 double room rear building notice noise . room small expect clean bed comfortable . breakfast good . owner helpful . location seem good get sight want see . would definitely stay . 
 Apr 26 2008 	 enjoyable stay . friendly helpful host . 	 Ridgmount offer great value give location expensive city stay . small hotel well locate two subway station within easy walk distance . find easy travel many sight want visit great London . owner / staff friendly helpful . room small expect . queen size bed rather small double bed would helpful tall people . overall happy choice Ridgmount . 
 Apr 19 2008 	 impressed service even without stay yet 	 call ridgemount 18 April book Quad ensuite Jul08 , advise available room . Eddie ( hope spelt name correctly ) mention quad share showroom facility available . little hesitant confirming room , Eddie go extra mile advise couple hotel name nearby similar facility , even give contact detail . happy assistance provide , impressed sense service . stay opportunity future . Gim ... sunny island Singapore 
 Apr 14 2008 	 clean good breakfast 	 stay Ridgemont 2 nite stay London . proprietor helpful daily sightseeing . across street bus Picadilly Circus near 2 tube stop . breakfast basement good , cereal , egg , sausage , ham ( salty ) , juice , good coffee . room quite clean old nice , tall ceiling , mattresse fine , ensuite bathroom small standing shower good water pressure , amenity ( expect ) . tv work even tell . payphone facility , free use computer & amp ; internet library info book lounge . free coffee day long via machine . 5 people room , adequate , limited surface area closet space . would recommend . 
 Mar 9 2008 	 love RIdgemount Hotel . 	 ' ve stay twice always recommend friend planning visit London . 's charming , adorable , friendly owner divine . safe neighborhood quick simple walk Goodge Street station . ' m definitely love Ridgemount Hotel . 
 Mar 9 2008 	 Amazing Value Money 	 Ridgemount Hotel minute walk Goodge Street station , excellent location anyone visit central London . book check staff friendly courteous endeared hotel warm homely feel . room top floor contain wash basin , small fit wardrobe , terrestrial television end - to - end single bed . amenity spotless , little date . share facility adequate ( hot water would take minute use first thing morning ) clean . see large , expensive room could comment suitability couple ; however , Ridgemount Hotel would perfect single professional limited fund , would certainly stay . 
 Feb 28 2008 	 Fantastic Location helpful staff Substantial Breakfast Affordable 	 stay Ridgemount Hotel London Christmas day New Year 's Eve . hotel run family like B & amp ; b . though modest , substantial seat English breakfast , near couple Tube stop , etc . elevator breakfast basement . however , staff helpful , free internet service lobby , ridgemount affordable , location make easy walk British Museum ( Rosetta Stone , Elgin Marbles , etc . ) , British Library ( Gutenberg Bible , Magna Carta , Shakespeare , Beatles ) , Theatre District , king Cross Train Station ( take photo Harry Potter 's Platform 8 3/4 ) , et al . plus Cafe Nero around corner , make great coffee sandwich . this third trip London family ( husband , wife , two high school aged daughter ) . normally book flight hotel arrangement several month advance , find great deal non - stop airfare book plane ticket one month prior arrival . place recommend we another hotel stay previously . stay new renovate establishment , place work we give circumstance . thank recommendation ! Bottom line : ridgemount helpful staff , fantastic location walk Tube access , offer substantial english breakfast , affordable . 
 Feb 23 2008 	 fine 	 wife ( 70 's ) stay five day see sight London . could describe B & amp ; b renovate home many room . location excellent , safe area near bus subway line . room old , clean neat . bed comfortable , bathroom share room . coffee tea free lobby , free internet also . hotel nearby , row convert home also . breakfast tasty adequate . staff courteous helpful especially owner , Mr & amp ; Mrs. Rees son . give we lot good information place see good way get . room quiet . public telephone lobby , room . 6 english tv channel , elevator . cost reasonable , enjoy stay , would use . 
 Feb 14 2008 	 Fantastic Budget Hotel 	 family 4 ( 2 adult 2 teenager ) spend 6 night January summary great , central , clean , fabulous filling breakfast ( cook breakfast include every day ) owner staff extremely welcome helpful . yes , room small however enough room 4 us family room . family room top floor - load step carry bag , unable climb carry not stay . bed also small tall people . we love hotel definitely stay , else family 4 stay 96 pound London handy tube station , bus door , theatre - showing & quot ; Rock & quot ; - definite must see , pub around corner cheap budget style meal . a place recommend everyone . 
 Feb 6 2008 	 Great Value Money 	 meet girlfriend London long weekend . look save money use elsewhere , come across hotel . I pay 50 pound single en suite room locate around corner ground floor lobby . room tiny ( expect London ) , come equip closet , table , small tv . bathroom decent size . complaint room door locate adjacent door lead downstairs breakfast . look sleep , probably not good room . however , breakfast 9 am daily work fine . hotel free instant coffee / tea lobby breakfast typical english adequate . staff work reception helpful ask food / drink recommendation well . I would definitely stay . clean , pleasant great location hard beat price . 
 Jan 31 2008 	 Disappointing 	 book neighbouring hotel , transfered hotel due overbooking . we put large room cellar . there tea / cofee make facility room , although provide free lounge . our room directly reception . Everytime somebody walk around upstairs , floorboard creak . window rattle night , untill wedge cardboard 3 am . the dining room next door bedroom , mean woken staff chat outside bedroom early . the staff pleasant room clean basic . the English cook breakfast poor . if want cheap hotel probably 1 night . I personaly would never go ! 
 Jan 28 2008 	 wonderful stay 	 stay 3 night ridgemount single en - suite room 50 pound night . room quite small comfortable clean single bed , small tv , closet decent size bathroom . owner also nice quite willing help direction place visit . 's great location Bloomsbury across street University London British Museum several tube stop ( Goodge St , Russell Square ) 5 - 10 minute walk several bus line 5 minute away . easy walk Oxford St shopping . go London year plan stay . note , not lift ( elevator ) room several floor carry large suitcase tiresome . overall great stay . 
 Jan 27 2008 	 Fantastic Hotel central London 	 stay one night january . reason pick particular hotel review site alI say not dissapointe . great value well get charge £ 54 twin room plus full breakfast ! hotel sort location hard beat . stay many hotel london include Radisson Mayfair service hotel well ! good point : - -great staff give warm welcome moment step door til leave.-Comfortable lounge area serve free tea coffee plus soft drink machine charge 50p coke - Spotless , clean hotel.-LOCATION ! 10 min walk covent garden , bus service 1 block away Tube service 2 block away . 15 min walk king cross/ St. Pancres Int Rail Stations £ 4.50 taxi . bad point : -- ( ) non - smoking hotel . smoker mean run outside do not mind prefer smoking room . and fo one bad point reason return , non - smoker smoker do not mind smoking room go outside great choice . 
 Jan 22 2008 	 ridgemount hotel experience 	 recently stay 3 night ( jan . 08 ) hotel , arrival warmly welcomed.we take room show everything else was.the staff helpful give direction also pleasant.the room small adequate spottlessly clean . nice comfortable lounge free tea coffee access enternet . full english brekkie big bonus mean did'nt go look eat set sightseeing.the hotel great location , ten minute walk oxford st . plenty tube station within walking distance . 
 Dec 28 2007 	 wonderful small hotel 	 choose Ridgemount lot research , web site , good choice . unlimited budget travel , thrilled find well - review hotel , within budget , centrally locate . get Heathrow easy Tube ride Russell Square station , short walk . Goodge Street station bit close , would involve change Picadilly line northern line . room # 2 , single en - suite , perfect need . room small , tiny , know go , stay London several time past . half flight stair , overlook lovely garden , still bloom , back . suitcase fit cupboard , room cluttered . bathroom fine , shower good pressure plenty hot water , shower , room bend . bed comfy , linen change daily . the daily breakfast good , consist egg , bacon third item rotate sausage , baked bean , grill tomato . serve staff friendly efficient . owner extremely nice offer good advice ask . the location could not well . British Museum 5 minute walk , Covent Garden West end 10 minute walk , several Tube line close . , excellent budget hotel , stay . 
 Dec 12 2007 	 Great Single Traveler 	 decide book hotel great location Bloomsbury price right . single ensuite room first flight stair view garden . the room small , really not need busy roam around London . room clean sufficient . however thing not like hotel : -The small tv receive channel - the warm cold tap sink separate , meaning could not get warm water - the toilet difficulty flush - Breakfast finish 9amthis hotel far receive North America , european standard good selection . would recommend budget single traveler . 
 Dec 10 2007 	 Location Vs get 	 good – location - ' beat location hotel – we walk , plus handy tube bus . staff – friendly helpful , room clean tidy every day , plenty hot water shower . cooked breakfast plus price . free internet bonus to . the bad – small room - double ' stay many hotel around world room class single . double bed wheel allow pull wall , room 2.4 m wide bit long bed . noisy - front hotel 3rd level need keep window closed keep noise , ok winter would quite uncomfortable summer – try back room want quiet . no lift – big issue could drag bag 3 flight narrow stair . even though appear bad point outweigh good point ' tempt stay base purely get money – ' surprised could beat get standard get . 
 Dec 10 2007 	 nice clean place budget 	 choose hotel read mostly good review . not disappointed . staff helpful travel advice . room clean definitely luxurious . stay room single ( twin ) bed top floor . haul luggage stair easy get do . pretty hot top floor August , ask get small fan cool thing tolerable level . bathroom mostly keep clean several scatter various floor . find hot water shower erratic top floor pretty reliable middle floor , use stay . breakfast adequate though little much pork - laden . use tube Heathrow get hotel . locate close tourist stuff , stone 's throw away British Museum short walk away wide variety ethnic cuisine . like pakistani food , walk Drummond road area near hospital tower . hospital also offer nice look city . take elevator one high floor save ride over - hype London Eye . buy tube ticket day go hit sight . summary great place traveler budget want clean place sleep night . pay 40 pound ( $ 80 ) /night . 
 Dec 1 2007 	 great stay great value ! 	 choose Ridgemont reading review Tripadvisor glad ! stay 5 night September wonderful time . cost 50 pound night , great value London . room small , expect . however room extremely clean enough space single person . back hotel , choose read street could loud . although , top floor lift , difficult bag , get use . able walk everywhere London want , yet close tube well . free Internet access great check email , although one computer . first trip London wonderful time . stay return ! 
 Nov 26 2007 	 Top Location ; Top Value Money 	 Gower Street , head south , become Bloomsbury Street , Endell Street , Bow Street , Wellington Street , Lancaster Place , Waterloo Bridge . almost straight shoot south bank , right alongside theatre district . meantime , back north , near British Museum . write , Ridgemount rate # 62 London , hundred dollar per night , several one thousand . fifty - seven seventy pound , $ 114 $ 140 round number , treasure ultimately pay US dollar ( pound desk , course ) . beyond value , ridgemount family run apparently own good employer : entire staff cheery helpful , breakfast room clean . make mistake : basic hotel small stark room barely help lounge internet connection ( wireless ) typical english breakfast . location value , comparison . 
 Nov 26 2007 	 great stay 	 stay Ridgemount last week 3 night . single room - # 2 back building . room small , expect . - use room sleep dress . en - suite room bathroom not quite small expect , still small . shower great water pressure steamy hot , perfect get London chill you . the hotel easy find use tube LHR . also centrally locate could walk almost everywhere . staff friendly room clean every day fresh towel . offer free internet , printer check - in flight pick boarding pass airport . room price excellent central London - £ 50 / night include full breakfast . actually never make breakfast day stay late every night . I plan stay Ridgemount next year . 
 Nov 18 2007 	 good hotel London budget ! ! ! ! ! ! 	 mirror sentiment previous reviewer , almost not want give ridgemount glow review ' m terrified will book next time ' m London . this hotel follow : SpotlessWell managedfantastically locatedextremely safe neighborhoodthe management beyond compare , location die , room immaculately clean , food service beyond compare . last trip stay Ramada Encore - West , pleasant stay , nice decor , great price , friendly staff , one block away East Acton station , 15 - 20 min Centeral London tube could wear . for price , score amazing hotel city . could not ask place ever stay London - unless price suddenly become object lifetime . the Rees Family friendly helpful people wish continued success . the drawback think Americans standard , room small . one issue think people , American otherwise , trouble elevator three floor . third floor think would die time get luggage upstairs . breakfast every morning excellent , be free internet access , tv room lounge , free coffee tea , soft drink machine ( 50p ) , restaurant around , pub around corner , bus stop across street block , three tube station within two - four block walking distance . be also Boots Sainsbury 's block away case need anything . they wonderful people . I highly encourage stay . 
 Nov 3 2007 	 recommend budget hotel close British Museum 	 0.25 km British Museum & amp ; London Underground subway stop ; not think get well value city expensive London ; google hotel name website ; positive review hotel receive quite justifiedpro ; good location ; inexpensive , especially London ; pay 39pounds include breakfast tax single ; reserve without attach bath upgrade room attach bath extra cost . clean ; owner prompt & amp ; responsive e mail inquiry visit ; genuinely want run good establishment ; helpful & amp ; make fast buck ; windows double glaze keep noise ; sit breakfast service table table cloth real china cutlery ; computer internet service loungecon ; elevator / lift ask low floor room prepare climb steep stair ; room small size ; choice breakfast though adequate [ egg , bean , bacon , toast , tea / coffee ] BUDGET tips LONDON ; inexpensive way meal buy sandwich [ 1.40pound upwards ] , drink , fruit , etc . MARKS SPENCER FOOD store major Underground stop , railway station airport ; National Gallery self - service cafe Trafalgar Square sandwich half - price 4 pm . cheap way Gatwick Airport London Southern Railway [ 8.9 pound one way ] ; almost half cost Gatwick Express & amp ; take 20 minute 
 Nov 1 2007 	 great location 	 hotel excellent location close major London attraction . extremely good family . stay 3 child 2 room we . room , although little date , clean tidy . downside , room en - suite mean treck hall way first thing morning , dining room opposite next door ! staff helpful friendly . breakfast adequate service good . would recommend family look good value / on budget . 
 Oct 30 2007 	 Best keep secret London ! 	 almost not want give glow review hotel deserve lot praise clean room , friendly staff , cental location . London many time believe find home away home . find clean safe hotel sometimes hit miss affair believe hotel fit bill . yes , leave single en suite 4th floor ( elevator ) back face away Gower Street may know one busy street London . cut right thru Bloomsbury . breakfast ( egg , meat , cereal , juice , toast ) fill swiftly serve ; never get serve . free computer ( coffee ) lounge . room # 30 small spotlessly clean plenty shelve ( dresser ) lie stuff . bathroom real bathroom , think clean every day . location can not beat ; British Museum , Goodge Street station Russel Square station mere 5 minute walk away . load pub , fast food , cornor store Tottenham Court Road . University London across street find small museum associate field study . give plenty time reserve room always fill . 
 Oct 29 2007 	 Great reasonably Priced Hotel 	 choose Ridgemount Hotel couple reason . around corner office visit , reasonably price close Euston Station . also read review trip advisor hotel look get positive review . the staff friendly . check member staff give london map ask would visit . tell good way get place . know London helpful . staff serve breakfast also friendly . food delicious toast seem never end ... service also quick . the location seem central also . 5 - 10 min walk British Museum close tube . also British Museum could jump bus tour city . my reservation would room small . not really anywhere put suitcase keep get way . however , anyway stay 2 night adequate . not spend much time room anyway . also en - suite glad own . I would definitely recommend hotel . great value money , excellent central location great service . 
 Oct 28 2007 	 good value good location 	 Ridgemount offer excellent value location 's pretty good museum movie fan . free internet access lounge useful , one pc always available . nice little walk Euston enjoy ( probably much ) friendly pub around Shaftesbury Avenue . staff friendly room ok . 
 Oct 14 2007 	 Good Location 	 Return week ago London . Ridgemount Hotel excellent location , 15mins walk theater distric . also close tube station . hotel staff helpful . room bit small think 's norm London mid range level . 
 Oct 5 2007 	 Good Location - Good Hotel 	 Hotel good location . 15/20 minute walk Thames Theater District . plenty good restaurant / bar 5 - 10 minute away . staff friendly . room 4th floor , guy Reception help carry luggage . share bathroom outside door convenient . room plenty space include sink / tv / fan . overlook garden , noise issue . full english breakfast good ! good value location . 
 Oct 3 2007 	 family - run neat clean charming first class location 	 stay three day ridgemount . wonderful experience ! room : room top , 3rd floor ? ? , number 29 , en - suite , rear window , therefore sleep ok , much noise , size appear quite tiny , would say approx . 1,90 mtrs 3,00 mtrs ... plus bath room , ... magic thing : small room wonderful ! ! ? ? charming , neat , clean utmost practical , would call „ minimalism " , call practical smart . room unstuffy , light airy . large shelf wall place stuff ( bag , tour guide , map , .. ) , large mirror , hair dryer , nice red velvet chair , small open ( door ) cupboard ( enough space put thing ) , special space luggage , bathROOM door , instal unit . desk , personally miss . want write memoire hotel room postcard , personally write cafe . phone two button ... use ... perhaps connect reception ? downside ) enough clothe - hanger cupboard , three , ( convinced staff would help immediately bring subject ) b ) bed , kind move little , wheel . check share - facilite : see two wc ` ( rear window ) two shower ( window ) , four room separate door . look excellent impeccable I . breakfast : breakfast downstairs , typical London breakfast room . typical , : white linen table , cheerfull staff welcome " good morning " table , ask would like cereal bring table , well tea / coffee , second course ask / offer English breakfast ( egg , bacon ... ) bring table , . toast orange marmelade give , . help - yourself service . glass orange juice place table moment " good morning " , sort welcome drink , think . nice start day . Owner ( ? ? ) see sometimes times breakfast area . couple minute obviously leave reception seat come help little support busy service - staff . like ! price : 50 pound per night single en - suite , incl . taxis breakfast . unbeatable ! ! ! ! ADD - on Lobby free internet access . get two key : front door room door , guest staff access house . make feel extra safe . location : busy area , 4 Minutes tube ( googde street ) , bus directly front hotel , 10 - 15 minute walk west end /Soho / Covent Garden . STAFF : FRIENDLY always need something . family - run outstanding charm . 
 Sep 10 2007 	 thank ath Ridgemount Hotel 	 stay Ridgemount Hotel several time lat 2 year go treatment cancer chinese doctor London . always like come home family arrive hotel . staff friendly willing help way . love next stay month 20th 23rd . since come first time never think stay another hotel . thank , friend Ridgemount Hotel . strong enough word describe gratitude kindness friendship last 2 year . tell people China hotel start live next year travel China London stay . thank ever much . Hulda Bjornsdottir , Iceland 
 Sep 4 2007 	 pleasant stay 	 clean hotel . location great , walk many destination also tube station near ( goodge street ) . breakfast excellent abundant . within reasonable walking distance reach centre London nightlife theatre restaurant ( Soho , Covent Garden , Leicester Square ) . stay four night ensuite triple price 87 pound ( great value money consider price London ) .The staff helpful kind , owner give we precious advice visit London . certainly come back . 
 Aug 28 2007 	 excellent location good value money 	 stay Ridgemount 10 night June . hotel excellent choice not want spend fortune accommodation , location perfect , hotel within walk distance thing central London . staff helpfull room nice clean . definitely stay next visit London . 
 Aug 24 2007 	 Loved Ridgemount ! 	 come London see British Museum mostly , hotel 3 short block backdoor museum . also enjoy walk bit Oxford Street fun shopping , even little Trafalger Square enjoy British Gallery child climb grand lion Admiral Nelson 's column . ask quiet room back , sleep quite well . manager wife wonderfully helpful whenever need direction Tower attraction . major subway ( Metro ) stop 3 minute west . breakfast excellent ! stay future visit . 
 Aug 14 2007 	 Good Budget Hotel Good Location 	 Ritz , nice , clean , friendly hotel convenient location tour London . request rear room , avoid hotel 's available . street - face room lot traffic hot day summer . necessary close window seal noise , fan provide room , comfortable . hotel locate street hotel , close number tube station bus route . stone 's throw British Museum . breakfast nothing special , adequate . btw 81 pound 2 adult child . 
 Aug 14 2007 	 great value excellent location 	 good : affordable inn convenient location . ensuite room breakfast include daily . breakfast get repetitive warm meal good way start day . service definitely good . room bathroom clean . 's Grower St. major bus line pretty much everywhere ( Covent Garden , theater , Piccadilly , Trafalgar Square , etc . ) ! walk British Museum ( be really good Thai place across street musem ) . 's Tesco around corner ( Tottenham Court ) hotel stock drink , sandwich , snack . good : major street . room face street despite double window , get loud . ear plugs . room small - not expect 5 - start comfort comfortable place be look place sleep . overall , would recommend place . 's convenient affordable . staff nice ! 
 Aug 13 2007 	 wonderful small hotel great location 	 stay Ridgemount Hotel four different time always enjoy hospitality friendliness proprietor ( Rees family ) staff . room small clean experienced problem use share bath facility . full english breakfast substantial tasty great way prepare day walk sight - seeing . hotel conveniently locate subway ( 5 - minute walk ) bus stop ; also enjoy walk London location . British Museum short walk , book lover enjoy large Waterstone be across street hotel . ree 's go way provide helpful information interest tourist ( attraction , transportation schedule route , phone card , banking , etc . ) . think ridgemount excellent value money look forward stay hotel future trip London . 
 Aug 1 2007 	 Budget small clean room~ 	 first round world trip May / June 06 - 6 country , 10 city , 9 hotel throughout Asia , Europe America . backpack , still budget . London third stop . first visit absolutely love ! fashion , shopping , theatre , history , building everything , much see little time , good place visit . Ridgemount Hotel locate Gower Street many hotel near . 10 min walk Tottenham Court Road station ( one main station ) , 5 min walk Goodge Street station , well bus stop around . also easy walk main street – Oxford Street ( shop ) & amp ; Charing Cross Road . Soho , Chinatown , Leicester Square ( theatre & amp ; cinemas ) , Covent Garden Piccadilly Circus ( place always see movie show big billboard ) also walk distance . tip : buy travel pass zone 1 – 2 unlimited usage bus train ; take everywhere without worry much excessive transport expense . hotel manage husband / wife . friendly helpful . feel like well look relative . staff also nice . ' really see around besides breakfast table , serve well . the room get small , 5 ' 1 , bed door take 2 – 3 step , 1 step bathroom , put luggage underneath table would room stand . ' know people cope room size , ' say like much . despite size , room clean . big window face garden , quite pleasant get nice view natural sunlight . night time , quiet could actually see fox walk fence . pay approximately 49 pound one night delicious English breakfast include . breakfast however , everyday – cereal , milk , coffee , tea , juice , fruit , toast , egg , bacon , sausage , baked bean , tomato etc . 3rd day London , find proper meal actually eat . find eat difficult London , many option available besides fast food food chain shop . go Chinatown , pay 5 pound yukkie Chinese ! chinese ' provide nice chinese food , ' know else be . the weather horrible London , always rain . example , 2 hour sunshine morning follow pour rain afternoon heavy wind . make sure always umbrella bag wear water proof jacket . jean always soak wet cold , pleasant , nevertheless , experience London weather must - do , always something talk ( lol ) .I think term price , location quality hotel , ' bad , would recommend budget , otherwise , personally would probably try different hotel next time especially since plenty London . 
